शीर्षक,विवरण
बजेट सक्ने असारे गोष्ठी,"असारे हिलाम्मे विकास विकृत नियमितआकस्मिकता हो, नेपालको सन्दर्भमा। यतिखेर सरकारी कर्मचारीलाई बजेट खर्चमा भ्याइनभ्याइको स्थिति छ। कोही हिलाम्मे विकासतिर मोहित हुँदै छन् त कोही गोष्ठीसेमीनारतिर। अर्को बजेट सक्न कर्मचारीलाई अनुगमन का आकर्षक भत्ता र सुविधा उपलब्ध गराउँदै भ्रमणमा पठाउने खेल बाक्लिँदै छ। यस्ता खेलका मूलभूत उद्देश्य सरकारी ढुकुटीमा रजाइँ गर्नु हो। यसखाले विकृतिले जरा गाडेको लामो समय भइसकेको छ। कहाँसम्म भने दुईतिहाइका बलशाली सरकार हुँदा पनि रोकिने छाँटकाँट देखिन्न। पछिल्लो समयमा हाम्रो शासकीय संयन्त्रभित्र अर्को रोग झांगिदै छ, असारे गोष्ठीसेमीनार। असार लाग्नासाथ गोष्ठीनिम्ति धुलिखेल पुगेका कानुन मन्त्रालयका उपसचिवहरू मदिरामञ्चनका दृश्य प्रस्तुत गरिसकेका छन्। उनीहरूको कुटाकुट को घटनाले सार्वजनिक चासो र बहसको रूप लिएको छ। यसले के देखाउँछ भने असार महिनाभर रातका वाससहित देशका महँगा होटेल र रिसोर्टहरू सरकारी गोष्ठीमा भरिभराउ हुनेछन्। बाटो कानुन मन्त्रालयले देखाइसकेको छ। असारे गोष्ठीले विकृतिको रूप लिनुको कारण हो, जसरी पनि बजेट सक्नु। हाम्रा शासकीय वृत्तका पात्र नागरिकले तिरेको करमा अनेक ढंगबाट तर मार्छन् नै, त्यसमा गोष्ठी पनि पर्छ। हाम्रा कर्मचारी गोष्ठी र सेमीनार शीर्षकमै बजेट छुट्ट्याउँछन्। बजेट शीर्षकमै भएपछि त्यस्ता कामले वैधानिकता पाउने नै भयो। गोष्ठीसँगै उपल्ला तह र लेखा शाखाका कर्मचारीलाई कमिसन प्राप्त हुन्छ, बोझिलो बिलबाट। त्यहीकारण कर्मचारी महँगा गोष्ठीनिम्ति आकर्षित हुन्छन्। उपलब्धिहीन गोष्ठीनिम्ति उपल्ला कर्मचारी र कहिलेकाहीं त मन्त्री पनि बेफुर्सदिला हुनेछन्। गोष्ठीबाट उपलब्धि हुने भए मुलुकले काँचुली फेरिसक्थ्यो। देश विकृतिविसंगतिविहीन भइसक्थ्यो। गोष्ठीका दृश्य संघ मात्र होइन, प्रदेश र स्थानीय तहसम्म देखिनेछ। किनभने हाम्रा कर्मचारी जसरी पनि बजेट सक्ने संस्कृतिमा हुर्केका हुन्। सरकार यस्ताखाले महँगा गोष्ठीसेमीनारबाट बेखबर छैन। सरकारले नै यस्तो विकृति रोक्न मितव्ययीनिम्ति मार्गदर्शन बनाएको छ। दुईतिहाइ बहुमतको सरकारले ०७५ वैशाख २७ मा सार्वजनिक खर्चमा मितव्ययिता र प्रभावकारिता कायम गर्नेसम्बन्धी नीतिगत मार्गदर्शन घोषित गरेको थियो। त्यो चालीसबुँदे मार्गदर्शन फजुल खर्ची रोक्न यावत् नीति अख्तियार गर्ने र त्यसरी अनुचित तवरमा खर्च गर्न उत्साहित हुने कर्मचारीलाई कारबाही गर्नेसम्म बुँदा सामेल छन्। वास्तवमा त्यो मार्गदर्शन कागजमा मात्र नराखी कार्यव्यवहारमै उतारिएको भए कानुन मन्त्रालयका कर्मचारी कुटाकुट गर्ने हैसियतमा पुग्ने थिएनन्। किनभने त्यो मार्गनिर्देशनमा सरकारी खर्चमा सभा, सम्मेलन, गोष्ठी, सेमीनार, अन्तरक्रिया जस्ता कार्यक्रम सञ्चालन गर्दा सकभर सरकारी निकायकै सभाहल प्रयोग गर्नुपर्ने हुन्थ्यो। सम्बन्धित संस्था वा सरकारी सभाहल उपलब्ध हुन नसक्ने अवस्थामा मात्रै अधिकतम मितव्ययी हुने गरी कार्यक्रम आयोजना गर्न सकिन्छ। हरेक सरकारी कार्यालयसँग सभा हल नभएका होइनन्। तर सरकारी हलमा थोरै खर्चमा गोष्ठी गर्दा उपल्ला अधिकारीलाई आकर्षक कमिसन उपलब्ध हुँदैन। त्यो मार्गदर्शन कार्यान्वयन भए या नभएको अनुगमन गर्न मुख्य सचिवकै नेतृत्वमा पाँच सचिवसम्मिलित उपल्लो तहकै समिति छ। यो समितिको मूलभूत दायित्व अनुचित प्रकृतिका फजुल खर्चमा निगरानी र नियन्त्रणमा राख्नु हो। यसले फजुल खर्च गर्नेहरूका विषयमा छानबिन गरी विभागीय कारबाहीका निम्ति सिफारिस गर्नेसम्मको अधिकार पाएको छ। तिनीहरू सक्रिय भएको भए यसरी अनियमितता, फजुल खर्च, अपव्ययले उग्र रूप लिने थिएन। माथिल्लो तहकै समितिको उपस्थिति कतै भेटिँदैन र देखिँदैन पनि। यसले के आशंका गराउँछ भने उपल्ला कर्मचारीले सरकारलाई सहयोग गरिरहेका त छैनन् ? सरकारले जिम्मेवारी पूरा नगर्नेहरूमाथि कारबाहीको औजार चलाउनुपर्ने देखिन्छ। असार सुरु भइसकेको छ, हामीसँग दुईतिहाइको सरकार छ। कानुन मन्त्रालयले गोष्ठी सुरु गरिसकेका छन् र अरू मन्त्रालय तथा सरकारी निकायको हालत पनि उस्तै हुनेछ। त्यसकारण बेलैमा मार्गदर्शन उल्लंघन गर्नेलाई कारबाही गर्ने सरकारी शैली देखिनुपर्छ, त्यसो भएको खण्डमा मात्रै फजुल खर्चका दृश्य मञ्चनमा कमी आउनेछ।"
नेपालगन्जमा १८ केजी अफिमसहित चारजना पक्राउ,"नेपालगन्ज : ठूलो परिमाणमा लागूऔषध अफिमसहित चार जनालाई प्रहरीले पक्राउ गरेको छ । आज बुधबार बिहान नेपालगन्ज२२ पुरैनीबाट साढे १८ केजी अफिमसहित चार जना कारोबारीलाई पक्राउ गरिएको प्रहरीले जनाएको छ । पक्राउ पर्नेमा जाजरकोटको त्रिवेणी नलगाड नगरपालिका बस्ने ५० वर्षीय पृथ्वीबहादुर बिक, २५ वर्षीय बीरबहादुर बिक, २५ वर्षीय राजेन्द्र बिक र पूर्वी रुकुम उत्तरगंगा नगरपालिका९ मैकोटकी ४९ बर्षीया शर्मिला मगर छन् । प्लास्टिकमा बेरिएको अफिमसहित रिक्सामा चढेको अवस्थामा उनीहरुलाई पक्राउ गरिएको थियो । रिक्सा चालकलाई पनि प्रहरीले सोधपुछका लागि नियन्त्रणमा लिएको जनाएको छ । अभियुक्तहरुले अफिम जाजरकोटबाट ल्याएर भारततर्फ निकासी गर्न लागेको प्रारम्भीक अनुसन्धानबाट खुलेको बाँके जिल्ला प्रहरी प्रमुख अरुण पौडेलले जानकारी दिए । पक्राउ पर्नेहरुले भने आफूहरु भरियामात्र भएको बयान दिएका छन् ।"
"फसी देगः पुनर्निर्माण : समय १० दिन, काम बाँकी ४० प्रतिशत","भक्तपुर : म्याद थप गरिएअनुसार यहीं आउँदो असार १५ गते भक्तपुर दरबार क्षेत्रस्थित फसी देगः (सिलु महादेव मन्दिर) पुनर्निर्माण भइसक्नु पर्छ। तर पुनर्निर्माणको काम जेठभित्र ६० प्रतिशतमात्रै सकिएको छ। जसअनुसार बाँकी ४० प्रतिशत काम सकाउन १० दिनमात्रै बाँकी छ। मन्दिरको जगको सम्पूर्ण काम सकिएको छ तर मन्दिरको माथिल्लो भाग उठेको छैन। मन्दिर उठाउन चार कुनामा काठका दुईदुई थाम उठाइएका छन्। मन्दिरको शिव लिङ्ग छ्याङ्गै छ। मन्दिर पुनर्निर्माणको ठेक्का भक्तपुरस्थित प्राकृतिकजेभीसानु सुवाल कन्स्ट्रक्सनले पाएको थियो। पुरातत्व विभागमार्फत तिनीहरुले भ्याटबाहेक तीन करोड ७४ लाख २७ हजार ४५ रुपैयाँमा उक्त ठेक्का पाएका हुन्। ठेक्का सम्झौतानअनुसार गत वर्षको असार मसान्तभित्रै मन्दिरको पुनर्निर्माण सक्नुपर्ने विभागअन्तर्गत भक्तपुरमा रहेको स्मारक संरक्षण तथा दरबार हेरचाह कार्यालयका प्रमुख मोहनसिंह लामाले जानकारी दिए। उक्त समयमा नसकिएपछि ठेक्काको म्याद २०७६ असार १५ गतेसम्म थप गरिएको उनी बताउँछन्। उनले बाँकी १० दिनमा फसी देग पुनर्निर्माण नसकिने सुनाए। अबको १० दिनमा फसी देगः पुनर्निर्माण सकिँदैन, प्रमुख लामाले भने, त्यसैले ठेकेदारले म्याद थपको लागि निवेदन दिएका छन्। उनका अनुसार खरिद ऐनअनुसार अब एक वर्ष म्याद थप गर्न सकिन्छ। तर ठेकेदारहरुले भने तीन महिनाभित्र मन्दिर पुनर्निर्माण सकाउने बताएको छ। म्याद थप भए तीन महिनाभित्र फसी देग पुनर्निर्माण सकाउँछौं, ठेकेदार परशुराम वैद्यले भने, मन्दिर पुनर्निर्माण सुरु गरेदेखि धेरैपटक डिजाइन परिवर्तन हुँदा काम गर्न ढिलाइ भयो। उनका अनुसार सुरुमा काठको स्ट्रक्चरल डिजाइन थिएन। उक्त डिजाइन थपिएपछि काठ र ढुंगा खोज्न नै एक वर्ष समय बितेको उनले सुनाए। अहिले काठ र ढुंगामा बुट्टा कुँद्ने काम भइरहेको उनको भनाइ थियो। काठको आधा काम सकिएको छ, ठेकेदार वैद्यले भने, ढुंगाकै काम बढी बाँकी छ। मन्दिरको आधार तयार भइसकेको र काठ तथा ढुंगाका बुट्टेदार थामहरु तयार भएपछि मन्दिर उठ्न धेरै समय नलाग्ने उनको जिकिर थियो। ग्रन्थकुट शैलीअन्तर्गत मन्दिरका चार दिशामा निस्कने भागको बाहिर दुईदुई वटा बुट्टेदार ढुंगे थाम र भित्र पनि दुईदुई वटा ढुंगे थामकै बुट्टा भएका काठका थाम रहने उनले जानकारी दिए। १८९० र १९९० सालको भूकम्पमा समेत उक्त मन्दिर भत्किएको थियो। सुरुमा उक्त मन्दिर भारतको उत्तराखण्डस्थित केदारनाथको मन्दिर जस्तै ग्रन्थकुट शैलीमा निर्माण गरिएको थियो। तर १९९० सालको भूकम्पपछि पुनर्निर्माण गरिँदा ग्रन्थकुट शैलीलाई छाडेर शिखर शैलीमा पुनर्निर्माण गरिएको प्रमुख लामाले जानकारी दिए। उक्त मन्दिर २०७२ सालमा पुनः भत्किएपछि अहिले काठको स्ट्रक्चरसँगै ग्रन्थकुट शैलीमै पुनर्निर्माण गर्न लागिएको उनको भनाइ थियो। काठ र ढुंगाको अभावले मन्दिर पुनर्निर्माण रोकिएकाले म्याद थप हुने प्रमुख लामा बताउँछन्। उनका अनुसार पुनर्निर्माणको डिजाइन र काम दुवै बढेकाले लगत इस्टिमेट रकम पनि बढेको छ। मन्दिर पुनर्निर्माण भइसक्दा करिब चार करोड पुग्ने उनले अनुमान गरे।"
प्रेसको भविष्य अन्धकारमा धकेल्ने प्रयत्न,"काठमाडौं : नेपाल पत्रकार महासंघले सरकारले मिडियालाई अप्ठेरो पर्नेगरी नयाँ कानुनी प्रावधान ल्याएको भन्दै चिन्ता व्यक्त गरेको छ। प्रेस स्वतन्त्रता, विधिको शासन, विचार तथा अभिव्यक्ति स्वतन्त्रता र मानवअधिकारमाथि आघात पुग्नुपूर्व नै गम्भिर हुनसमेत महासंघले सरकारको ध्यानाकर्षण गरेको छ। संसदमा पेश भएको मिडिया काउन्सिलसम्बन्धी विधेयक, सूचना प्रविधिसम्बन्धी विधेयक, विज्ञापन नियमन गर्ने सम्बन्धमा व्यवस्था गर्न बनेको विधेयक र प्रस्तावित आमसञ्चारसम्बन्धी विधेयकका कतिपय दफा प्रेस तथा अभिव्यक्ति स्वतन्त्रताका विश्वव्यापी मान्यताविरुद्ध रहेको ठहर महासंघको छ। तेस्रो चरणको आन्दोलनसम्म आइपुग्दा पनि सञ्चार जगतले उठाएका जायज मागलाई सम्बोधन गर्नेतर्फ सरकार उदासिन देखिएकोप्रति महासंघ दुःख प्रकट गर्दछ, महासंघका महासचिव रमेश विष्टले बुधबार जारी गरेको विज्ञप्तिमा भनिएको छ, प्रेस तथा अभिव्यक्ति स्वतन्त्रताको पक्षमा जारी आन्दोलन अझै बृहत सहभागितामा सशक्त ढंगले अघि बढाउन महासंघ दृढ छ। प्रेस विरोधी सञ्चार कानुनमा रहेका प्रावधान खारेज गर्न महासंघ पुनः जोडदार माग गर्दछ। यदि महासंघले उठाएका जायज मागलाई यथाशीघ्र सम्बोधन नगरिए प्रेस तथा अभिव्यक्ति स्वतन्त्रताको रक्षार्थ महासंघ कठोर रुपमा प्रस्तुत हुन बाध्य हुनेछ। विज्ञप्ति जस्ताको तस्तै प्रेस विज्ञप्ति नेपाल पत्रकार महासंघले स्थापनाकालदेखि नै प्रेस स्वतन्त्रता, विधिको शासन, विचार तथा अभिव्यक्ति स्वतन्त्रता र मानवअधिकारको रक्षाका लागि अनवरत संघर्ष गर्दै आएको छ । यी मूल्यमान्यता कमजोर हुँदा लोकतन्त्र बलियो हुन सक्दैन भन्ने महासंघको दृढ अडान रहँदै आएको छ । यसै परिप्रेक्ष्यमा पछिल्ला दिनमा सरकारले लोकतन्त्रका स्थापित मूल्यमान्यतामाथि खलल् पुग्नेगरी विभिन्न कानुन निर्माण प्रक्रियालाई तीब्र पारेको छ । खासगरी प्रेस तथा अभिव्यक्ति स्वतन्त्रताको निर्वाध उपभोग तथा नागरिकको अभिव्यक्ति स्वतन्त्रतामाथि बन्देज लगाउने गरी मस्यौदा तयार भई संसदमा पेश भएका छन् । संसदमा पेश भएको मिडिया काउन्सिलसम्बन्धी विधेयक, सूचना प्रविधिसम्बन्धी विधेयक, विज्ञापन नियमन गर्ने सम्बन्धमा व्यवस्था गर्न बनेको विधेयक र प्रस्तावित आमसञ्चारसम्बन्धी विधेयकका कतिपय दफा प्रेस तथा अभिव्यक्ति स्वतन्त्रताका विश्वव्यापी मान्यताविरुद्ध देखिएका छन् । अतः लोकतन्त्रको आधारस्तम्भमाथि नै गम्भीर आघात पुग्ने त्यस्ता प्रावधानका विषयमा महासंघको गम्भीर ध्यानाकर्षण भएको छ । महासंघले प्रेस स्वतन्त्रताविरोधी यस्ता प्रावधान सच्चाउन निरन्तर सजग गराउँदै आइरहेको पनि छ । यद्यपि आजका दिनसम्म सरकारका तर्फबाट ठोस ढंगले समस्या समाधान गर्न कुनै चासो र चिन्ता देखिएको छैन । संविधानको प्रस्तावनामा व्यवस्थित पूर्ण प्रेस स्वतन्त्रताको आधार स्तम्भ नै खलबलिने गरी ल्याइएका विधेयकका यस्ता प्रावधानले आमसञ्चार र सञ्चारकर्मीको भविष्य नै अन्धकारमा धकेलिने खतरा टड्कारो बन्दै गएको छ । प्रेसमाथि संकुचन र नियन्त्रण गर्नु भनेको अन्ततः लोकतन्त्रमाथिकै आक्रमण हो भन्ने महासंघको ठहर छ । तेस्रो चरणको आन्दोलनसम्म आइपुग्दा पनि सञ्चार जगतले उठाएका जायज मागहरुलाई सम्वोधन गर्नेतर्फ सरकार उदासिन देखिएकोमा महासंघ दुःख प्रकट गर्दछ । प्रेस तथा अभिव्यक्ति स्वतन्त्रताको पक्षमा जारी आन्दोलन अझै बृहत सहभागितामा सशक्त ढंगले अघि बढाउन महासंघ दृढ छ । प्रेस विरोधी सञ्चार कानुनहरुमा रहेका प्रावधान खारेज गर्न महासंघ पुनः जोडदार माग गर्दछ । यदी महासंघले उठाएका जायज मागलाई यथाशीघ्र सम्वोधन नगरिए प्रेस तथा अभिव्यक्ति स्वतन्त्रताको रक्षार्थ महासंघ कठोर रुपमा प्रस्तुत हुन बाध्य हुने छ । रमेश विष्ट महासचिव"
नेपाली रेलवार्ता टोली बेइजिङमा,"बेइजिङ : काठमाडौंकेरुङ रेलमार्ग निर्माणका विषयमा छलफल गर्न आएका नेपाली टोली बुधबार बेइजिङ आइपुगेका छन्। उक्त टोली छिङताओ सहरबाट उच्च गतिको रेलयात्रा गर्दै बेइजिङ आइपुगेका हुन्। काठमाडौंबाट सोमबार चीन प्रस्थान गरेको उक्त टोली सछ्रवान प्रान्तको छङ्तु सहरबाट समुद्री सहर छिङताओ पुगेका थिए। चीनको राजधानी बेइजिङबाट करिब ५ सय ५० किलोमिटर टाढा पर्ने सानतोङ प्रान्तको छिङताओ सहरसम्मको हवाइ दूरी २९६३२ नटिकल माइल्स छ। छिङताओबाट बेइजिङसम्म करिब ४ घण्टाको उडान समय लाग्छ। सामान्यतया उच्च गतिको रेलबाट करिब पाँच घण्टामा यात्रा तय गर्नसकिन्छ। उच्च गतिको रेलबाट साढे तीन घण्टामा नै छिङताओबाट बेइजिङसम्म पुग्न सकिन्छ। बेइजिङस्थित राजदूतावास स्रोतका अनुसार, नेपाली टोलीले छिङताओबाट बेइजिङसम्मको रेल यात्रा अनुभव बटुल्नका लागि गरेका हुन्। रेल सञ्चालन तथा सम्बन्धित् पक्षको जानकारी हेतु यस्तो कार्यक्रम तय भएको हो। काठमाडौंकेरुङ रेलमार्ग आयोजनाबारे भौतिक पूर्वाधार तथा यातायात सचिव देवेन्द्र कार्कीको नेतृत्वमा आएको सात सदस्यीय टोलीले बिहीबार चिनियाँ टोली नेशनल रेल्वे अथोरिटीका पदाधिकारीसँग छलफल गर्नेछन्। विशेषत काठमाडौकेरुङको विस्तृत परियोजना प्रतिवेदन (डीपीआर) निर्माणका विषयमा छलफल केन्द्रित रहने बताइएको छ। रेल सञ्चालन सम्बन्धमा मानवीय स्रोत विकासकाबारे पनि छलफल हुनेछ। प्रधानमन्त्री केपी ओलीले २०७२ चैतमा चीनसँग गरेको व्यापार तथा पारवहन सम्झौतामा यो रेलमार्गलाई समावेश गरिएको थियो। साथै २०७६ वैशाखमा राष्ट्रपति विद्यादेवी भण्डारीले गरेको चीन भ्रमणका क्रममा पनि यो रेलमार्ग सम्बन्धमा डीपीआर अघि बढाउने विषयमा छलफल भएको थियो। सोही भ्रमणवधिमा दोस्रो बीआरआई फोरमले संयुक्त विज्ञप्ति जारी गर्दै चीनको बीआरआईमा समेत यो रेलमार्गलाई महत्वका साथ सूचीकृत गरिएको छ।"
बझाङ दुर्घटना : दश जनाको सामूहिक दाहसंस्कार,"बझाङ : जीप दुर्घटनामा सोमबार मृत्यु भएका दश जनाको सेती नदीमा सामूहिक दाहसंस्कार गरिएको छ। जिल्ला अस्पताल सिमखेतबाट शवयात्रा सुरु भएको थियो। मृतकका आफन्त, शुभचिन्तक, स्थानीय, जनप्रतिनिधि, राजनीतिकर्मी, कर्मचारी लगायतको ठूलो संख्यामा सहभागी थिए। सामूहिक अन्त्येष्टि स्थलमा सबै भावुक देखिन्थे। दुर्घटनामा सन्देश खड्काका परिवारका ४ जनाको मृत्यु भएको थियो। बुवा कलक खड्का, आमा जुनधाराको पार्थिव शरिरमा उनले दागबत्ती दिएका थिए। भाइ सरोज र बहिनी विपना खड्काको शव सेती बगरमै गाडिएको छ। कोटदेबलका सात र रनाडाका दुईको धौलाबगर मसानघाँटमा चालकको कपडे मसानघाटमा अन्त्येष्टि गरिएको हो। सेती बगरमा गाउँका ९ जनाको जनाको शव जलिरहँदा सबैका आँखा रसाएका देखिन्थे। अब यस्तो घटना कहिले नहोस। सरकारले ध्यान दिनुपर्छ, अन्त्येष्टिमा सहभागी कोटदेबलका फोन बहादुर खड्काले भने, दुर्घटना न्यूनिकरण गर्न सबै सचेत हुनुपर्छ। प्रमुख जिल्ला अधिकारी सुरेस सुनारले घटना नदोहोरिन दिन प्रशासनले पहल गर्ने बताए। उनले ग्रामिण क्षेत्रका जिर्ण सडकको सुधार नभएसम्म जीप सञ्चालनमा रोक लगाइने प्रष्ट पारे। मष्टा गाउँपालिकाले नौैं जनाको मृत्यु भएको भन्दै बुधवार शोक बिदा दिएको थियो। जीप मालिकले मृतकका परिवारलाई जनही तीनतीन लाख क्षतिपूर्ति दिने सहमति भएको छ। दुर्घटनामा घाईते भएका पाँच जनाको स्वास्थ्यमा सुधार हुँदै गएको परिवारजनले बताएका छन्।"
जहाजमा आगो दन्किदा रमिते बने मन्त्री,"विराटनगर : काठमाडौंबाट म्याउण्टेन फ्लाइटका लागि बुधबार बिहान उडेको अरनिको एयरलाइन्सको ३०१ कल साइन भएको जहाजको इन्जिनमा खराबी आयो। त्यही जहाज आपतकालीन रुपमा विराटनगरमा अवतरण गर्नुपर्ने भयो भन्दै विमानस्थललाई जानकारी गराइयो। आपतकालीन अवतरण गराउँदा आउन सक्ने समस्यालाई मध्यनजर गर्दै विराटनगर विमानस्थलमा सबै तयारी गरिएको थियो। त्यत्तिकैमा बुधबार बिहान ८ बजे विराटनगर विमानस्थलमा चालक दलका सदस्यसहित ५४ जना बोकेको जहाज अवतरण भयो। त्यसको दुई मिनेट भित्रै एक्कासी जहाजमा आगो दन्कियो। धुँवाको मुस्लो छुट्यो। आगो निभाउन दमकल घटनास्थलतर्फ हुइँकिए। एम्बुलेन्स र इस्ट्रेचरसहितका उद्धारकर्मी पनि त्यतै लागे। दमकलले आगो निभाउन थाले।उद्धारमा खटिएका नेपाली सेना, नेपाल र सशस्त्र प्रहरी, रेडक्रमकर्मी एवं विमानस्थलका कर्मचारी उद्धारमा सक्रिय भएर खटिए। बल्लबल्ल आगो नियन्त्रणमा आए पनि जहाजको केही भाग जलिसकेको थियो। दुर्घटनामा चारजना यात्रुको मृत्यु भएको जानकारी विमानस्थलले दियो। शव पोस्टमार्टमका लागि कोसी अस्पताल लगियो। २० जना गम्भीर घाइतेमध्ये ११ जनालाई नोबेल शिक्षण अस्पताल र ९ जनालाई हाम्रो अस्पतालमा उपचारका लागि भर्ना गरियो। मध्यम घाइते १५ जनामध्ये १० जनाको नोबेल र पाँचजनाको हाम्रो अस्पतालमा उपचार सुरु गरिएको विमानस्थलले जानकारी दियो । १५ जना सामान्य घाइते भएका थिए। घटनाका बारेमा ५५ मिनेटमै विमानस्थलले अपडेट दिइरहेको थियो। विमानस्थल वरपरका बासिन्दा अचम्म मानेर घटना नियालिरहेका थिए। कतिपयको मुहारमा डर र भय प्रष्ट झल्किएको थियो । विराटनगरबाट जहाजमार्फत विभिन्न ठाउँमा जानका लागि पुगेका यात्रुहरु पनि डराएर आत्तिएका थिए। यो वास्तविक घटना नभइकन जहाज दुर्घटना भएका बेला हुनसक्ने जोखिम न्यूनीकरणका लागि गरिएको उद्धारको पूर्व अभ्यास थियो। बिना पूर्व सूचना गरिएको अभ्यासका कारण त्यहाँको वातावरण त्रासपूर्ण बन्नुका साथै विमानस्थल वरपर बसोबास गर्ने स्थानीय बासिन्दा आत्तिएका थिए। निक्कै रमित लाग्दो पूर्व अभ्यास हेर्नका लागि प्रदेश १ का आन्तरिक मामिला तथा कानुनमन्त्री हिक्मत कार्की, मोरङका प्रमुख जिल्ला अधिकारी रमेशकुमार केसी, मोरङ प्रहरी प्रमुख एसपी विश्व अधिकारीलगायत विमानस्थल पुगेका थिए। यसका लागि रेडक्रस, विभिन्न अस्पताल र जनप्रतिनिधिले सहयोग गरेका थिए। विराटनगर विमानस्थलका प्रमुख टेकनाथ सिटौलाले विमानस्थलमा संकट योजना पूर्णकालीन अभ्यास गरिएको जानकारी दिए । विमानस्थलमा यस्तो अभ्यास प्रत्येक दुई वर्षमा गर्ने गरिएको उनको भनाइ छ। 'विमानस्थलभित्र जहाज दुर्घटना भएको खण्डमा मानवीय र भौतिक क्षति न्यूनीकरण तयारीको स्तर र अवस्थालाई बढाउन विभिन्न निकायसँग समन्वय गरेर यस्तो अभ्यास गर्ने गरिन्छ,' उनले भने, 'यसले जहाज दुर्घटनामा परिहालेमा तयारीको स्तर र क्षमता के हो भन्ने पनि प्रष्ट पार्छ।' सिटौलाले उद्धारलाई प्रभावकारी बनाउन र उद्धारकर्मीको क्षमता बढाउन पनि पूर्व अभ्यासले महत्वपूर्ण भूमिका खेल्ने बताए ।"
के हो डाक्टर दम्पत्तिको दाइजो विवाद ?,"वीरगन्ज : बुधबार वीरगन्जमा डा राजेश शाहले दाइजो विवादबारे प्रष्ट्याउन पत्रकार सम्मेलनको आयोजना गरे।श्रीमती डा निलमसँगको सम्बन्धबारे जानकारी गराउँदै गर्दा उनी त्यहीँ पुगिन्।पत्रकार सम्मेलनमा निलम पुगेपछि दम्पत्तिको विवाद पत्रकारसामू छताछुल्ल भयो। बिहेको समयमा माइती पक्षले दिएको दाइजो नपुगेर श्रीमानको परिवारले आफूलाई हिंसा र दुर्व्यवहार गरेको भन्दै केही दिनअघि पत्रकार सम्मेलन गरेकी थिइन्। विवाहका बेला माइती पक्षले ३५ लाख रुपैयाँ दिएको निमलमको दाबी छ। पुनः राजेशको परिवारले २५ लाख रुपैयाँ नगद वा एउटा कार मागेर मानसिक र शारीरिक यातना दिएको भन्दै निलम मिडियासम्म पुगेकी थिइन्। श्रीमान राजेश भने दाइजोमा एक रुपैयाँ पनि नलिएको दाबी गर्छन्।बिहेका बेला दाइजोमा एक रुपैयाँ पनि लिएका थिएनौँ। अहिले थप २५ लाख नगद वा कार मागेको भन्ने आरोप निराधार हो, उनी भन्छन्, दाइजो मागेको प्रमाण छ भने म जस्तोसुकै सजाय भोग्न तयार छु। आफू र आफ्नो परिवारले निलममाथि घरेलु हिंसा नगरेको राजेशको दाबी छ। एक त उनी पाँच वर्षदेखि मेरो घरमा बसेकी छैनन्, म पनि अध्ययनका लागि विदेशमा बस्दै आएको छु, उनले भने, अब यो अवस्थामा मैले वा मेरो बुबाआमाले उनीसँग कहिले र कसरी हिंसा गरे? उनले अब आफू श्रीमतीसँग बस्न नसक्ने भन्दै सम्बन्ध विच्छेदका लागि अदालतमा मुद्दा दर्ता गराएको बताए। अदालतमा डिभोर्सको मुद्दा विचाराधिन छ। अदालतको निर्णय जे आउँछ, म त्यसलाइ स्वीकार गर्छु, उनले भने। श्रीमानले गरेको पत्रकार सम्मेलनमा पुगेकी निलमले आफू अन्यायमा परेको बताइन्। अदालतको अन्तरिम आदेशपछि आफू श्रीमान्को घरमा बस्दै आएको उनको दाबी छ। घरमा सासू, ससुरा, देबर सबै आउँछन्, उनले भनिन्, तर मेरो श्रीमान् कहिल्यै आउँदैनन्, म मेरो श्रीमान्सँगै बस्न चहान्छु। पत्रकार सम्मेलनमै डा दम्पत्तिको घम्साघम्सी : श्रीमानको गलामा सल बेरेर तानेपछि  (तस्बिरसहित)"
