शीर्षक,विवरण
हचुवाले निगम चल्दैन,"पाँच वर्षअघि नेपाल वायु सेवा निगम आन्तरिक उडानमा झन्डै जहाजविहीन अवस्थामा पुग्न लागिसकेको थियो । तीन थान ट्विनअटरबाहेक निगमसँग आन्तरिक उडानका लागि जहाज थिएनन् । १९ सिटे सानो जहाज ट्रंक रुटमा निजी क्षेत्रका अत्याधुनिक र ठूला जहाजसँग प्रतिस्पर्धी हुन नसकेपछि निगमको उडान दुर्गम भाग र निजी क्षेत्रका जहाजको प्राथमिकतामा नपरेका क्षेत्रमा केन्द्रित थियो । यहीबीच आन्तरिक उडानमा जहाज थप्ने निगमको प्रस्तावलाई सरकारले स्वीकार गर्यो । तिनताका धेरै लामो तर्कवितर्कपछि निगमले अन्तर्राष्ट्रिय उडानमा दुई जहाज थपेको थियो । यही क्रममा आन्तरिक उडानका लागि पनि चीनसँग जहाज खरिद गरिने भयो । चिनियाँ जहाज खरिद गर्ने वा नगर्ने भन्ने सम्बन्धमा निर्णायक कारण भने चीनले प्रस्ताव गरेको सहुलियत कर्जा, प्राविधिक सहयोग, चार जहाज किन्दा दुई थान वाई १२ जहाज सित्तैमा दिने प्र्र्रस्ताव थिए । नेपाली आकाशका लागि चिनियाँ जहाज विलकुल नयाँ थिए । यसका लागि न दक्ष पाइलट थिए, न त अन्य प्राविधिक नै । चिनियाँ जहाज सञ्चालनका लागि निगमसँग पर्याप्त तयारी थिएन । केवल आन्तरिक उडानमा जहाज थप्ने भन्ने हुटहुटीमा थपिएको थियो । बेलाबेला जहाज बिग्रिरहने समस्याका कारण नियमित उडान नहुने समस्या भने दोहोरिइरहेकै छ । निगमले चीनबाट भिœयाएको ५६ सिटे दुई थान मोर्डन आर्क (एमए) ६० जहाज ट्रंक रुटहरूमा उडाएर निजी क्षेत्रका स्थापित वायुसेवाहरूसँग प्रतिस्पर्धा गर्नुपर्ने थियो । त्यसमा निगम नराम्ररी असफल भएको छ । आर्थिक वर्ष २०७३७४ देखि नै चिनियाँ जहाजको सञ्चालनमा निगमले ठूलो घाटा बेहोर्दै आएको छ । निगमले २०७३७४ र २०७४७५ मा गरी ९१ करोड ५७ लाख रुपैयाँ घाटा बेहोरेको छ । अघिल्लो आर्थिक वर्षको वासलातमा घाटा अझै तन्किने देखिन्छ । आन्तरिक उडानमा ठूलो घाटा बेहोरिरहेको निगमलाई हालै संसद्को अन्तर्राष्ट्रिय सम्बन्ध समितिले आन्तरिक उडानमा प्रयोग भएका दुवै एमए ६० जहाज बिक्री गर्न निर्देशन दिएको छ । निगमले चिनियाँ जहाजको सञ्चालनमा दक्षता देखाउन नसकेको र सुरुदेखि नै घाटामा रहेको संसदीय समितिको अध्ययनका आधारमा निगमलाई अन्य चारवटा वाई १२ जहाजको दक्षतापूर्वक सञ्चालन गर्न आवश्यक चिनियाँ सहयोगका लागि कूटनीतिक पहल गर्न आग्रह गरिएको छ । चिनियाँ पक्षले जहाज बेच्ने समयमा प्रतिबद्धता गरेअनुसारको प्राविधिक सहयोग नदिएको नेपाल वायु सेवा निगमको तर्क छ । निगमले जहाज खरिद गर्नुअघि नै यस्ता पक्षमा विचार पुर्याउन जरुरी थियो । व्यावसायिक संस्थानले नाफा आर्जनका लागि आन्तरिक उडानमा कस्ता जहाज प्रतिस्पर्धी हुन सक्छन् भन्ने सामान्य अध्ययनसम्म नगरी जहाज किन्नमा मात्र ध्यान दिएको देखिन्छ । आन्तरिक उडानमा मात्र होइन, अन्तर्राष्ट्रिय उडानका लागि ल्याइएका वाइडबडी ए ३२०२०० कै पनि उडान गन्तव्य खोज्न निगम असफल देखिन्छ भने सरकारकै पनि कूटनीतिक पहल भएको देखिँदैन । जहाज किनेर थन्क्याएर राखेर यसले निगमको प्रतिकूल वित्तीय स्वास्थ्यलाई अझै खराब बनाउनेछ । एकातिर जहाजको साँवाब्याजको किस्ता भुक्तानी गर्नुपर्ने नियमित चक्र घडीको सुईझैं घुमिरहेको छ । अर्कातिर भएका जहाजको उपयोगबाट व्यवसाय विस्तार गर्न नसक्दा निगमलाई ऋणको भारले थिचिरहेको छ । जहाज थपेर मात्र हुँदैन; चुस्त व्यवस्थापन, उपयुक्त र कार्यान्वयनयोग्य बिजनेस प्लान, दक्ष जनशक्ति, प्राविधिक दक्षता जस्ता विहंगम पक्षमा विचार पुर्याउन जरुरी छ । घाँटी हेरेर हाड निल्नुपर्नेमा हचुवा तालमा निगम विगतदेखि चल्दै आएको छ । जुनसुकै व्यवस्थापनको कालखण्डमा पनि यसमा सुधार नहुनु दुःखद हो । निगम दिनप्रतिदिन तन्नम हुँदै गएकाले चिनियाँ जहाज तत्काल बेच्न आवश्यक छ । अपरिपक्व, योजनाविहीन र अव्यावसायिक पाराले निगम डुब्दै गएकाले यसमा सुधार अत्यावश्यक छ । आगामी दिनमा कमिसनको लालचसहित हुने यस्ता खरिद प्रक्रियाको अन्त्य हुनु जरुरी छ ।"
जातीय विभेदविरुद्ध न्याय माग्न प्रशासनमा,"दुनै,डोल्पा : जातीय विभेद भएको भन्दै दलितको टोली जिल्ला प्रशासनमा पुगेको छ ।न्यायका लागि गुहार माग्दै दलित जिल्ला प्रशासनमा पुगेका छन्। नयाँ संविधान लागु भएपनि दलितले दैनिक अपमानित हुनु परेको गुनासो बोकेर पहिलो पटक जिल्ला प्रशासन कार्यालय डोल्पा पुगेको दलित अगुवा लिलाबहादुर टम्ट्टाले जानकारी दिए । सरकारी कर्मचारी, शिक्षक, धामी,पुजारी र ब्राह्मणबाट दैनिक दलित जातीय विभेदका कारण अपमानित हुनुपरेको डोल्पो दलित शसक्तिकरण केन्द्रका अध्यक्ष हरिचन्द्र बिटालुले बताए। विभिन्न सभा सम्मेलनमा सार्वजानिक पदधारण गरेकाले नै जातीय विभेद गर्दै आएकले अपमानित हुनु परेको दलितको गुनासो छ। दलितमाथि भएको गलत क्रियाकलाप गर्नेहरुमाथि कारवाही गरिदिन माग गर्दै दलित अगुवाहरु जिल्ला प्रशासनमा पुगेपछि प्रमुख जिल्ला अधिकारी मुकेशकुमार केशरीले ततत्काल कारवाही गर्ने प्रतिबद्धता जनाएका छन्। शिक्षकले नै विभेद गर्छन् डोल्पाका शिक्षकले नै दलित भन्दै छुवाछुत र जातीय विभेद गरेको आरोप दलित अगुवाले लगाएका छन्। बाटोमा हिँडि रहेको अवस्थामा दलित भनेर जातीय विभेद गरेको भन्दै जिल्ला प्रशासनमा मुद्धा परेको छ । भदौ २९ गते शिक्षक लक्ष्मण कार्की र शिक्षिका शान्ती कार्कीसहित अन्य दुईजना साना नानीले दलित भन्दै बाटो भन्दा अलग बसेर आफूलाई जातीय छुवाछुत तथा विभेद गरेको भन्दै डोल्पो दलित सशक्तिकरण केन्द्र डोल्पाका अभियान्ता जयन्द्र विकले जिल्ला प्रशासनमा मुद्धा दिएको जानकारी दिए। उनले भने, ' हरेक दिन दलितले जातीयताको अपमान खेप्नु परेको छ ।' विद्यालयमा दलित बालबालिका र शिक्षक भएकै कारण बालबालिकाकाले दिवा खाजा सुख्खा खाने गरेको दलित अगुवा राजीमान सार्किीले दु:ख व्यक्त गरे। मन्दिरमा पनि छुवाछुत जिल्लाका विभिन्न स्थानका मठ मन्दिर तथा स्थानमा दलितलाई जान निशेध गरिएको छ । जिल्लाका गल्ली मष्टा,छल मष्टा,रहलगायत अन्य विभिन्न मन्दिरमा दलितलाई प्रवेशमा निषेध गरिएको दलित महिला सशक्तिकरण केन्द्र डोल्पाकी अध्यक्ष उर्मिला विश्वकर्माले बताइन्। विशेषगरी उपल्ला जातीका पैंसावाला र पहुँचवालाले नै दलितलाई शोषण गर्दै आएको उर्मिलाको आरोप छ।"
धरानमा पहिरोले घर बगायो,"धरान : धरान उपमहानगरपालिका ४ स्थित निशाने खोलामा आएको बाढीले एक घर बगाएको छ। मंगलबार राति आएको पहिरोले स्थानीय भक्तबहादुर राईले संचालन गर्दै आएको एवान होटलसहितको घर बगाएको हो। कोसी लोकमार्गस्थित धरानभेडेटार सडकखण्डमा बाढीपछि गएको पहिरोका कारण होटलसहितका अन्य पाँच घर उच्च जोखिममा परेका छन्। घरमाथिबाट पहिरो जानथालेपछि स्थानीय देविका राई, सन्तोष राई, उत्तरुमाया राई, पुजा राई र अर्जुन राईले संचालन गर्दै आएका होटलसहितका घर जोखिममा रहेको इलाका प्रहरी कार्यालय धरानका निमित्त प्रमुख हेमराज ओलीले जानकारी दिए। उनले पहिरोको उच्च जोखिममा परेका परिवारलाई सुरक्षित स्थानमा सारिएको बताए। पहिरोकै कारण निशान खोला नजिकैकै सडकसमेत कटान हुन थालेको छ। पहिरोले धरानधनकुटा सडकखण्ड अन्र्तगत निशाने खोला नजिकैको सडकसमेत कटान गर्न थालेकाले यसको बेलैमा नियन्त्रण गर्न स्थानीयले माग गरेका छन्।"
सिन्धुलीमा बस दुर्घटना : २३ घाइते,सिन्धुली : सिन्धुलीको मरिनबाट काठमाडौं जाँदै गरेको बा ३ ख ९६८४ नम्बरको बस दुर्घटना हुँदा २३ जना घाइते भएका छन्। सुनकोसी गाउँपालिका कानढुंग्रीस्थित बीपी राजमार्गमा दुर्घटना हुँदा २३ जना घाइते भएका छन्। घाइतेमध्ये ६ जनाको अवस्था गम्भीर छ। जिल्ला प्रहरी कार्यालय सिन्धुलीका प्रमुख चक्रबहादुर सिंहका अनुसार बसका चालकसहित गम्भीर घाइते ६ जनालाई थप उपचारका लागि काभ्रेको धुलीखेल र काठमाडौं पठाइएको छ। घाइते सातजनाको सिन्धुलीको खुर्कोटस्थित विभिन्न सामुदायिक अस्पतालमा उपचार भइरहेको छ। बाँकी ११ जना उपचारपछि घर फर्केका छन्। बस अनियन्त्रित भएर सडकबाट २० फिट तल खसेको छ। त्यसैगरी बाढीले मध्यपहाडी लोकमार्ग अवरुद्ध भएको छ। सिन्धुलीको गोलन्जोर गाउँपालिकास्थित बहादुरे खोला र बलेनी खोलामा आएको बाढीले सडकअवरुद्ध भएको हो। अवरुद्ध सडक खुलाउने प्रयास भइरहेको प्रहरीको भनाइ छ।
गृहमन्त्रीका भाइ नरेश एक लाख धरौटीमा रिहा,"काठमाडौं : काठमाडौं जिल्ला अदालतले गृहमन्त्री रामबहादुर थापा बादलका भाइ नरेशकुमार थापालाई एक लाख धरौटीमा रिहा गरेको छ। बुधबार जिल्ला न्यायाधीश मेदीनीप्रसाद पौडेलको इजलासले मुद्दाको पुर्पक्षका लागि एक लाख धरौटी माग गरेको थियो। धरौटी वापत नगदै बुझाएर थापा घर फिरेका छन्। थापाविरुद्ध आपराधिक लाभ र संगठित अपराधको अभियोगमा मुद्दा चलाइएको थियो। जिल्ला अदालतका श्रेस्तेदार आनन्द श्रेष्ठका अनुसार हत्याका आरोपीसँग मोबाइल सम्पर्क भएको आधारमा थापालगायतका प्रतिवादीलाई सजायको मागसहित मुद्दा चलाइएको थियो। सोही मुद्दाका अन्य प्रतिवादी पवन खड्का, सुरेन नगरकोटी, शैलेश प्रजापति, विनोद लामा, वीरबल भट्टराई र मनबहादुर पुन मगर भने पुर्पक्षका लागि जेल चलान भएका छन्। उनीहरु अन्तिम फैसला नभएसम्म थुनामै रहनेछन्।"
ब्लड क्यान्सरले छोरा गुमाएका बाआमाको बिन्ती अब छोरीहरू बचाइदिनुस्,"सन्धिखर्क : आँगन नभएको सानो घरको बलेनीमा मुख फाटेको ताउलोमा आधा पानी देखिन्छ। दुई कोठामध्ये एक कोठामा पुराना कपडाबाट बनाइएको एउटा डसना, पुरानो कम्बल र पुरानो कपडाको खोल भएको सिरक। दुई बालिका यहीँ खेलिरहेका छन्। यी दुई नानीहरूलाई क्यान्सर र मुटु रोग लागेको छ। वर्ष दिनअघि ब्लड क्यान्सरबाट भाइ गुमाएका उनीहरू आफैं त्यस्तै समस्याबाट ग्रसित भएका छन्। तर आर्थिक अभावका कारण उनीहरूको उपचार हुन सकेको छैन। अर्घाखाँचीको छत्रदेव गाँउपालिका ४ केरुंगाको कोटमुनीका रामबहादुर सुनारको परिवारको दुःख लामो छ। उमेरले ४१ वर्ष लागेका रामबहादुरले एक वर्षअघि ब्लड क्यान्सर लागेका ५ वर्षका छोरा विष्णुलाई आर्थिक अभावले उपचार गर्न नसकेर गुमाउनु पर्यो। छोरा गुमेको एक वर्ष नहुँदै दुई छोरी मध्ये एकलाई ब्लड क्यानसर र अर्कीलाई मुटु रोग लागेको छ। गाउँपालिकाले सहयोगको आग्रह गर्दै बनाइदिएको पत्र देखाउँदै सृष्टि र सुश्मा। फोटोः प्रेमनारायण आचार्यअन्नपूर्ण 'जो होचो, उसैका मुखमा घोचो' भने जस्तै भएको छ यो परिवारमा। ९ वर्षकी सुश्मा रगतको क्यान्सरबाट पीडित छन्। ७ वर्षकी सृष्टि मुटु रोगी छन्। आर्थिक अभावले अस्पताल लैजान नसकेर घरमै राख्नु पर्ने बाध्यता सुनाए रामबहादुरले। मजदुरी गरेर बिहान बेलुका छाक टार्ने उनले पैसा अभावले छोरीहरूलाई उपचार गर्न लैजान नसकेको बताए। 'एउटीलाई ब्लड क्यान्सर, अर्कीलाई मुटु रोग', अन्नपूर्णसँग उनी भक्कानिए, 'एउटीलाई गंगालाल लैजान भनेको छ, अर्कीलाई भरतपुर हस्पिटल। अवस्था कमजोर भएकाले मैले उपचार गर्न लैजान सकेको छैन।' सुश्मालाई भरतपुरस्थित क्यान्सर अस्पताल र सृष्टिलाई काठमाडौंको गंगालाल अस्पताल लैजान डाक्टरले सुझाव दिएका छन्। उपचार त के अस्पताल लैजान भाडा पनि नभएको सुनाउँदा उनी झन् सुकसुकाउँछन्। 'छोरा डिल्ली (भारतको दिल्ली) मा बितेको हो। अहिले छोरीहरूलाई त्यस्तै भयो', भक्कानिँदै उनी भन्छन्, 'मलाई सहयोग गर्दिनुस्। नत्र नानीहरूले उपचार नपाउने भए।' सम्पत्तिको नाममा गाउँको एक रोपनी भिरालो जमिनमा बनेको यो घरमात्र भएका उनी छोरीहरूलाई पनि छोराजस्तै अकालमा गुमाउनुपर्ने हो कि भन्ने भयमा छन्। बहिनी काखमा च्यापेकी सुश्मा। फोटोः अन्नपूर्ण आमा कमला गहभरी आसु पारेर आफ्ना दुःख सुनाउँछिन्। 'पैसा नहुँदा इलाज गर्न पाइएन। घरमै नानीहरू हेर्दै रुन्छौँ', उनी भन्छिन्, 'आय स्रोत नहुँदा बाबु गयो। अब यिनीहरूको के हुने हो ?' 'देश विदेशमा रहेका दाजुभाइ, दिदीबहिनी सबैले सहयोग गर्नुस्। बाबु त रोगैले गयो, छोरीहरू बचाउन चाहन्छौँ', उनले अन्नपूर्णसँग बिन्ति बिसाइन्। सुश्मा र सृष्टि दुबै स्थानीय चन्द्रज्योति आधारभूत विद्यालयमा कक्षा ३ र २ मा पढ्छन। सहयोगको अपेक्षामा रहेका रामबहादुर र कमलालाई छत्रदेव गाँउपालिकाले एउटा पत्र बनाइदिएको छ सहयोग गर्नुस् भनेर। तर सहयोग खोज्न कहाँ जाने भन्ने पनि उनीहरूलाई मेसो छैन। अशिक्षा र गरिबीको मारमा रहेको यो ठाउँमा अरुजस्तै रामबहादुर र कमलालाई परिवार नियोजनका साधन र गर्भान्तरका बारेमा जानकारी छैन। काखमा ७ महिनाकी छोरी छन्। र, कमला फेरि गर्भवती छन्।"
एक महिनामै दुई करोड क्षतिपूर्ति,काठमाडौं : वैदेशिक रोजगार पीडितले छोटो समयमै क्षतिपूर्ति पाउन थालेका छन्। वैदेशिक रोजगार विभागले भदौ महिनामा मात्रै वैदेशिक रोजगार पीडितलाई २ करोड १४ लाख रुपैयाँ क्षतिपूर्ति दिलाएको हो। विभागका महानिर्देशक भीष्मकुमार भुसालका अनुसार दुई सय ९५ पीडितलाई क्षतिपूर्तिस्वरूप उक्त रकम भराइएको हो। भदौ महिनामा संस्थागततर्फ १६७ र व्यक्तिगततर्फ ४८ उजुरी दर्ता भएका थिए। भदौ महिनामा दर्ता भएका उजुरीमध्ये संस्थागततर्फ ८५ र व्यक्तिगततर्फ ४० मुद्दा फरफारक भएको महानिर्देशक भुसालले बताए। यसअघि दर्ता भएका संस्थागततर्फका १ सय ७० वटा मुद्दा पनि फरफारक भएका छन्। विभागका अनुसार टर्कीको रोजगारीका क्रममा ठगिएका १ सय ७० जनाको क्षतिपूर्ति भराइएको हो। टर्की पीडितले मात्रै ९७ लाख रकम क्षतिपूर्ति पाएकाले अन्यभन्दा बढी क्षतिपूर्ति भराइएको विभागले जनाएको छ। यसअघि एक महिनामै एक करोडसम्म क्षतिपूर्ति भराइएको थियो। विभागका अनुसार भदौ महिनामा ४१ मुद्दा दायर भएका छन्। २ करोड ८५ लाख बिगो दाबीसहित वैदेशिक रोजगार न्यायाधीकरणमा दर्ता भएका हुन्।
डोल्पाको मुड्केचुलाका २ वडा कार्यालयमा आगलागी,"दुनै,डोल्पा : डोल्पाको मुड्केचुला गाउँपालिकाका दुईवटा वडा कार्यालयमा आगलागी भएको छ । गाउँपालिकाको १ र ३ नम्बर वडा कार्यालयमा आगलागी भएको हो । भदौ २८ गते राति अकस्मात आगलागि हुँदा वडाकार्यालय जलेर करिब १५ लाख बराबरको क्षति भएको प्रहरीले जानकारी दिएको छ । आगलागीबाट कार्यालयका फर्निचर, वल्र्डलिंकको सामान, कागजात, प्रिन्टलगायत अन्य सामाग्री सबै नष्ट भएको ३ वडाका अध्यक्ष भानुभक्त बोहोराले जानकारी दिए । अध्यक्ष बोहोराका अनुसार कागजत जलेर खरानी भएपछि सेवा प्रभावित भएको छ।"
विवाहको १० महिना नपुग्दै बुहारीको हत्या : पति र सासूविरुद्ध उजुरी,"गोपाल भण्डारी कपिलवस्तु : बुद्धभूमि नगरपालिका ६ वैरिहवामा एक महिलाको मृत्युको घटना शंकास्पद देखिएको छ। स्थानीय २२ वर्षीय शिला नाऊको सोमबार राति घरमै हत्या भएको आरोप माइती पक्षले लगाएका छन्। परिवारले भने उनको मृत्यु भएको दाबी गरेका छन्। शिलाको घाँटी थिचेर हत्या गरेको र पछि आगो लगाएर आत्महत्याको रुप दिइएको उनका पिता रामकुमार नाउको आरोप छ। उनको हत्यामा पति २२ वर्षीय जगदीश नाऊ र सासू वासमती संलग्नता रहेको दाबीसमेत उनको छ। मृतक शिलाका पिता रामकुमारले ज्वाइँ जगदीश र सासू वासमतिविरुद्ध ज्यान मार्ने उद्योगमा जिल्ला प्रहरी कार्यालयमा किटानी जाहेरी दिएका छन्। प्रहरीले घटनाको अनुसन्धान भइरहेको बताएको छ। शवको पोष्टमार्टम रिर्पोटपछि मात्र घटना हत्या वा आत्महत्या भन्ने थाहा हुन्छ, प्रहरी नायब उपरीक्षक सुनिल मल्लले भने, पोष्टमार्टम रिर्पोट नहेरी केही भन्न सक्ने अवस्था छैन। कपिलवस्तु नगरपालिका ५ शिवरामपुरकी शिलाको १० महिना अघि मात्रै विवाह भएको थियो। विवाहपछि समय समयमा आफ्नी छोरी उपर घरेलु हिंसा हुने गरेको मृतक पिता रामकुमारले सुनाए। घर झगडा भएको त सुनेकै थिएँ, उनले भने, यस पटक भने छोरीको ज्यान नै लिए। शिलाका पति जगदीशले भने उनले शरीरमा आगो लगाएर आत्महत्या गरेको बताएका छन्।"
इलाम साहित्य महोत्सवको तयारी पूरा,"इलाम : इलाममा साहित्य महोत्सव असोज ३ गतेदेखि दुई दिनसम्म चल्नेछ।इलाम साहित्य समाजका अध्यक्ष प्रकाश थाम्सुहाङका अनुसार महोत्सव साहित्य र पर्यटनका लागि महत्वपूर्ण हुने बताए। पर्यटकीय जिल्ला इलामलाई कला, साहित्य, संस्कृतिको चिन्तन स्थलको रुपमा विकास गर्नका लागि महोत्सवको आयोजना गरिएको अध्यक्ष थाम्सुहाङको भनाइ छ। कार्यक्रममा दुई सयको हाराहारीमा साहित्यकार, कलाकार, विश्लेषकदेखि दलका नेता सहभागी हुनेछन्।महोत्सवमा विभिन्न सत्रमा छलफल हुनेछ। उद्घाटन समारोहमा प्राडा संजीव उप्रेतीले आलोचनात्मक चेत र लोकतन्त्रका विषयमा आधा घण्टा बोल्नेछन् । सत्ता कि प्रतिपक्षका विषयमा श्रवण मुकारुङ, मोमिला जोशी, मनु मञ्जीलसँग कवि विमल वैद्यले बहस गर्नेछन् । 'अ' मा अल्झेको इलामको विषयमा लेखक, पत्रकार केदार शर्माले युद्यप्रसाद वैद्य, महेश बस्नेत, राजेन्द्र बरालसँग बहस गर्ने कार्यक्रम छ । राजन मुकारुङ, मिश्र वैजयन्ती, उज्ज्वल प्रसाईसँग महेश पौडेलले मानक माथि प्रश्न शीर्षकमा बहस गर्नेछन्। अधिकारको पेवा विषयमा जेवी विश्वकर्मा, सीमा आभास, कृष्ण धराबासीसँग समीरबाबु कट्टेलले बहस गर्नेछन् । किन बिक्न छोड्यो पुस्तक ? शीर्षकमा बालिका थपलियाले प्रेम ओझा, प्रकाश बुढाथोकी, बीना थिङसँग बहस गर्नेछन्। पर्यटनको आयामका विषयमा इलामका अग्रज पत्रकार धर्म गौतमले हरिश्चन्द्र राई, केशव धौराली, डादेवी क्षेत्री दुलाल र चन्द्र घिमिरेसँग बहस गर्नेछन् । दोस्रो दिन उन्मुक्त पुस्ता, फरक आयाम, कुकुर कविता जस्ता पछिल्ला साहित्यिक आन्दोलनका बारेमा मुनाराज शेर्माले चर्चा गर्ने कार्यक्रम छ। निर्माणको जिम्मा शीर्षकमा सुरेश नेम्बाङ, रवि सिंह र दिपक गौतमसँग सन्तोष नेम्बाङले बहस चलाउने छन् । करोड क्लब र अफवाहका विषयमा अन्वेश थुलुङ राईले दयाहाङ राई, यज्ञश, ब्रजेशसँग सिनेमा चर्चा गर्नेछन्। नेपाली साहित्यमा मुन्धुममुन्दुम विषयमा भूपालराई र धर्मेन्द्र विक्रम नेम्बाङले गणेशकुमार राईसँग बहस गर्ने कार्यक्रम छ । गीतको दुःखका बारेमा गणेश रसिक, कोमल निरौला, गुरुङ सुशान्तसँग युवीर चेम्जोङले छलफल गर्नेछन्। सुरेन्द्र राईले प्रकाश आङदेम्बे, दिनेश डिसी र स्वास्तिमा खड्कासँग सिनेमा बहस गर्नेछन्।कार्यक्रमको अन्त्यमा पत्रकार बसन्त बस्नेतले संस्कृति पर्यटन तथा नागरिक उड्ययन मन्त्री योगेश भट्टराई, नेपाली कांग्रेसका प्रवक्ता विश्वप्रकाश शर्मा र लेखक खगेन्द्र संग्रौलासँग गणतन्त्र कोबाट खतरामा छ विषयमा बहस गर्नेछन्। इलाम साहित्य समाजले स्थानीय तह, प्रदेश सरकार, पर्यटन बोर्ड, नेपाल प्रज्ञा प्रतिष्ठानलगायत संस्थासँगको सहकार्यमा महोत्सवको आयोजना गर्न लागेको हो।"
