शीर्षक,विवरण
संरक्षित अपराधकर्म,"राजनीतिक अपराध कर्मको शृंखलामा नाम थपिएको छ, पूर्वमन्त्री तथा सांसद अफताब आलमको। उनीमाथि बाह्र वर्षअघि संविधानसभा पहिलो निर्वाचनताका इँटाभट्टा जलाएर दुईजनाको हत्या गरेको अभियोग लागेको थियो। यद्यपि यो प्रकरणमा महान्यायाधिवक्ताको कार्यालयबाट मुद्दा नचल्ने निर्णयसँगै आलमलाई उन्मुक्ति मिलेको थियो। त्यतिबेला राजनीतिक आड र संरक्षणमा आलमलाई चोख्याएको टीकाटिप्पणी नआएको होइन। दोषीलाई माफी दिँदा मुलुकमा दण्डहीन संस्कृति बस्छ र लोकतान्त्रिक आधारमा खिया लाग्छ भनी चारैतिरबाट आएको आवाज कुल्चियो। तर त्यो प्रकरणमा महान्यायाधिक्ताको निर्णयलाई सर्वाेच्च अदालतले अस्वीकृत गरेपछि घटनाको अनुसन्धान हुन्छ र दोषीले सजाय पाउँछन् भन्ने आशा पलाएको थियो। तर अदालती आदेशलाई सात वर्षसम्म अर्थहीन तुल्याइयो। र, यतिबेला अदालतको आदेश कार्यान्वयन गर्न बमविस्फोट घटना अनुसन्धान सुरु भएको छ। त्यही क्रममा प्रमुख विपक्षी कांग्रेस सांसद आलम पक्राउ परेका हुन्। सँगै अपराधजन्य कसुर, जसले गरे पनि कुनै न कुनै बेला सजायको भागीदार बन्नुपर्छ भन्ने सन्देश गएको छ। यद्यपि उनको हकमा अदालतबाट दोषी करार हुन बाँकी नै छ। अदालतको आदेश कार्यान्वयननिम्ति सात वर्ष लाग्नु भनेको कानुनी शासनका दृष्टिकोणले नेपाल कति कमजोर रहेछ भन्ने देखाउँछ। यो राजनीतिक मूल्य, मान्यता र लोकतान्त्रिक आदर्शका निम्ति नहुँदाको परिणति हो। भर्खरै मात्र निवर्तमान सभामुख कृष्णबहादुर महराले पदीय सीमा नाघ्दा जेलको वास भएको छ। उनको ४० वर्षको राजनीतिक लगानी बालुवामा पानीसरह भएको छ। उनी राष्ट्रिय जीवनमा मर्यादाक्रमका हिसाबले पाँचौं स्थानमा सूचीकृत थिए। अर्थात्, राष्ट्रपति, उपराष्ट्रपति, प्रधानमन्त्री, प्रधानन्यायाधीशपछि सभामुख पद पर्छ। अझ सभामुख त कानुन निर्माता थलोका मुख्य हर्ताकर्ता पात्र थिए। जनकपुर हत्याकाण्डदेखि अवैध सम्पत्ति आर्जन राखेको अभियोगमा पूर्वमन्त्री सञ्जय साह पनि जेलमै छन्। लोकतान्त्रिक कालखण्डमा संसद्मा हत्या, भ्रष्टाचार, बमकाण्ड अभियोगदेखि राहदानी दुरुपयोगका क्रियाकलापमा संलग्न माननीय हरूको सूची लामो बन्यो, सूची लम्बिने क्रम निरन्तर छ। त्यसमा कोही भूतपूर्व भइसकेका छन् त कोही बहालवाला। अपराधमा संलग्न ठूला भनिएका पात्रहरूलाई राजनीतिक प्रभाव र संरक्षणका कारण जस्तोसुकै अपराधमा पनि उन्मुक्ति मिलिरह्यो। ठूलाबडा अपराधकर्मी दण्डित नहुँदा हाम्रो समाजले अपराधको भयबाट मुक्ति पाउँदैन कि भन्ने सन्देश छाइरह्यो। दबाब परेपछि मात्रै कथित ठूला भनिएका फौजदारी कसुरको छानबिनमा पर्ने गर्छन्। नागरिक दबाबकै कारण महरा प्रहरी हिराहतमा छन् र आलम न्यायिक हिरासतमा। राजनीतिलाई अपराधीकरणको सिकारबाट जोगाउन ठूलालाई पनि सजायको भागीदार बनाउनैपर्छ। महराआलम भनेका सर्वोच्च विधायिका संस्था संसद्का प्रतिनिधि हुन्। उपल्ला तहका पात्र अपराधजन्य घटनामा आरोपित हुनु भनेको संसद् मात्र होइन, पद्धतिकै निम्ति खेदपूर्ण क्रियाकलाप मानिन्छ। सांसद भनेका लोकतान्त्रिक मूल्यमान्यता र संस्कारका स्रोत बन्नुपथ्र्यो, बन्नुपर्छ पनि। किनभने तिनैद्वारा निर्मित कानुनी जगमा मुलुक सञ्चालित हुन्छ र नागरिकले पनि तिनैद्वारा अनुमोदित कानुन मान्नुपर्छ। तर जब कानुन निर्माता बेइमान हुन्छन्, तब नागरिकले निराशाको मार खेप्नुपर्छ। लोकतन्त्रमा जनताका मन जित्दै मत लिने कर्म हुनुपर्छ। डरत्रास सिर्जित मत लिनु भनेको लोकतान्त्रिक संस्कारसंस्कृतिको खिलाफभित्र पर्छ। कुनै बेला बम र बन्दुकको राजनीतिबाट सत्ता या पद प्राप्ति होला, तर त्यो क्षणिक हुन्छ। जब पदले सम्मान र मर्यादा आर्जन गर्न सक्दैन, त्यस्तो पदको अर्थ रहन्न। राजनीतिमा पैसा र बमबन्दुकको आड लिनेहरूको भाउ सधैंभरि उचाइमा रहन्न। अनुचितबाट राजनीति आफूमा केन्द्रित गर्न सकिन्छ भन्ने सोचले पनि सधैंभरि काम गर्दैन। त्यस्ताखाले अपराध कर्ममा संलग्न पात्रले कुनै न कुनै दिन जेलको छिँडीमा पुग्नैपर्छ, महरा हुन् कि आलम। दोषी सजायको भागीदार बन्नैपर्छ जुन लोकतान्त्रिक पद्धतिको आधारभूत मान्यता हो। समाजका हरेक पात्रका व्यवहार कानुनसम्मत हुनुपर्छ। कानुनी दायित्वबाट जतिसुकै ठूला पात्र भए पनि उन्मुक्ति पाउने छैनन् भन्ने सन्देश जानु जरुरी छ।"
संवैधानिक नियुक्तिमा सन्तुलन,"सरकारी सेवामा ऊर्जाशील समय बिताएर थाकी पाकिसकेका अनुभवी बाट मात्र आयोगको महत्वपूर्ण जिम्मेवारी पूरा हुन सक्ला ? केही दिनअघि अधिवक्ता टीकाराम भट्टराईले संवैधानिक अंग कि पूर्वप्रशासकको क्लब शीर्षकको एउटा लेखमा उदाहरणसहित संवैधानिक अंगहरूमा पूर्वप्रशासकहरूको मात्र नियुक्ति हुने गरेको र सोभन्दा बाहिर जतिसुकै योग्य व्यक्ति भए पनि नियुक्ति हुन नसकेको तर्फ इंकित गर्दै नेपालका संवैधानिक निकायहरू थाकिसकेका पूर्वप्रशासकको क्लब जस्ता भए भन्ने र हालसालै सर्वोच्च अदालतका पूर्वन्यायाधीश बलराम केसीले अन्नपूर्ण पोस्ट् दैनिकमा नत्र अख्तियारको के काम ? शीर्षकमा अहिले पनि अख्तियार आवश्यकताअनुसार सक्रिय नभएको तर्फ इंगित गर्दै अख्तियारमा अनुसन्धान गर्नसक्ने तालिमप्राप्त व्यक्तिको नियुक्ति हुनुपर्ने आशयको आलेख प्रकाशित गर्नुभएको छ। यी दुवै लेखकले संवैधानिक निकायमा नियुक्ति गर्दा योग्य तथा विषय विज्ञहरूको सन्तुलन मिलाउनुपर्नेतर्फ सजग गराउनुभएको हो। यस सन्दर्भमा संविधानको धारा २८३ मा व्यवस्थित संवैधानिक अंग र निकायका पदमा नियुक्ति गर्दा समावेशी सिद्धान्तबमोजिमको सन्तुलन मिलाउनुपर्ने व्यवस्था पनि स्मरणीय हुन्छ। यी विषयका अतिरिक्त यस्ता नियुक्तिहरूको प्रभावकारिताका लागि अन्य महत्वपूर्ण विषयमा पनि सन्तुलन मिलाउनुपर्नेतर्फ संविधानले यथेष्ट ध्यान दिएको छ। तर ध्यान दिनुपर्नेहरूले त्यसतर्फ ध्यान दिएको देखिँदैन। संवैधानिक अंगहरूमा नियुक्तिका लागि स्नातक वा स्नातकोत्तरको शैक्षिक योग्यता, दलीय असम्बद्धता, विभिन्न विषय क्षेत्रमा १० वा २० वर्षको कार्यानुभव, ४५ वर्ष उमेर पुगेको र उच्च नैतिक चरित्र भएको जस्ता योग्यता निर्धारण गरिएका छन्। यस्ता योग्यता तोकिनुमा परिपक्व, बुद्धिमत्तापूर्ण र विवेकशील निर्णय हुन सकोस् भन्ने आशय रहेको बुझ्न सकिन्छ। स्नातक वा स्नातकोत्तर उपाधि प्राप्त गरेको हुनुपर्ने विषयले अध्ययन वा ज्ञानको परिपक्वता, दलीय असम्बद्धताले निष्पक्षताको परिपक्वता, विभिन्न विषय क्षेत्रको अनुभवले ततोत्रको परिपक्वता, ४५ वर्ष पुगेको हुनुपर्नाले व्यावहारिकताको परिपक्वतालाई अपेक्षा गरिएको मान्नुपर्छ। सर्वप्रथम उमेरका सम्बन्धमा सबै आयोगहरूमा ४५ वर्ष पूरा गरेको हुनुपर्ने व्यवस्था छ। शैक्षित योग्यता कम्तीमा स्नातक भएको र तोकिएको विषय क्षेत्रमा २० वर्षको कार्यानुभव भएको हुनुपर्ने व्यवस्थाका कारण निम्नतम उमेर ४५ वर्ष नपुगेको व्यक्ति योग्य हुन सक्ने अवस्था नै आउँदैन। २५ वर्षको उमेरमा स्नातक गरी वृत्ति सुरु गरेर २० वर्षको अनुभव हासिल गरिसक्दा जोकोही पनि ४५५० वर्ष पुगेकै हुन्छ। उमेरको उपल्लो हद ६५ वर्ष रहेको सन्दर्भमा ४५ देखि ६५ वर्ष अर्थात् २० वर्ष अन्तरालको व्यक्ति आयुक्तको पदमा कार्यरत हुन सक्ने देखिन्छ। यो त कानुनी अवस्था मात्र हो। व्यवहारमा सरकारी सेवाको व्यक्ति मात्र नियुक्त हुन जाँदा ५८ वर्ष सेरोफेरोका व्यक्ति मात्र नियुक्ति लिन सफल भएको अवस्था छ। किनकि सेवाको उत्तरार्ध नपुगी वा सेवानिवृत्त नभई कोही पनि आयोगको नियुक्तिमा इच्छुक हुँदैनन्। सरकारी सेवाबाहिरको व्यक्ति पनि कम्तीमा ५० वर्ष नपुगी आयुक्त हुन सक्ने अवस्था हुँदैन। यसरी हेर्दा सरदर ५० देखि ६० अर्थात् १० वर्ष अन्तरालका आयुक्तहरू कार्यरत हुनसक्ने अवस्था हुन्छ। अधिवक्ता टीकारामजीले उठाएजस्तै सरकारी सेवामा ऊर्जाशील समय बिताएर थाकी पाकिसकेका अनुभवी बाट मात्र आयोगको महत्वपूर्ण जिम्मेवारी पूरा हुन सक्ला ? भन्ने प्रश्न उपस्थित हुन्छ नै। जागिरे जीवनभरि सामान्य प्रशासन सेवाअन्तर्गत प्रशासन र व्यवस्थापन क्षेत्रमा काम गरी सामान्यज्ञको दाबी गर्नेहरू पनि आयोगहरूका लागि आवश्यक विशेषज्ञ क्षेत्रमा कसरी योग्य हुन सक्लान् ? यहाँनेर, आयोगहरूले सम्हाल्नुपर्ने जिम्मेवारी र समाजमा व्यप्त विकृतिमा सुधारात्मक परिमाण देखाउनुपर्ने कामको चाप र जनदबाब हेर्दा रातबिरात खटेर काम गर्न सक्ने युवा र अपेक्षाकृत परिपक्व उमेरको सन्तुलन प्रभावकारी हुन सक्ने प्रतीत हुन्छ। यस्तो सन्तुलन मिलाउन तीनवटा उपाय अवलम्बन गर्न सकिन्छ। पहिलो, संविधानकै चालु प्रावधानअनुसार सकेसम्म आधा आयुक्तहरू सरकारी सेवाबाहिरका ४५५० र आधाजति सरकारी सेवाका ५५५९ उमेर समूहका व्यक्तिलाई नियुक्ति गर्ने। ६० वर्ष नाघेर ६ वर्षको सेवा अवधि पनि पूरा गर्न नपाउनेलाई जागिर खुवाउन वा अन्य निहित उद्देश्य पूरा गर्नगराउन मात्र नियुक्ति नगर्ने। दोस्रो, विद्यमान प्रावधानलाई स्नातक गरेको, १० वर्ष अनुभव हासिल गरेको र ३५ वर्ष पूरा गरेको व्यक्तिलाई नियुक्त हुन सक्ने गरी संशोधन गरी उपरोक्तानुसारको सन्तुलन मिलाउने। तेस्रो, निम्नतम उमेर र कार्यानुभवको अवधि पुगेका जोसुकै सामेल हुनसक्ने गरी खुला र पारदर्शी प्रतिस्पर्धाबाट नियुक्ति हुनसक्ने व्यवस्था मिलाउने। अब विषय क्षेत्रको सन्तुलनका सम्बन्धमा विचार गरौं। संविधानमा आयोगको कार्य प्रकृतिअनुसारकै विषय क्षेत्रको प्रतिनिधित्व हुने गरी योग्यता तोकिएको देखिन्छ। उदाहरणका लागि अख्तियारका लागि लेखा, राजस्व, इन्जिनियरिङ, कानुन, विकास वा अनुसन्धानको क्षेत्र, लोकसेवामा विज्ञान, प्रविधि, कला, साहित्य, कानुन, जनप्रशासन, समाजशाश्त्र वा राष्ट्रिय जीवनका अन्य क्षेत्र, राष्ट्रिय मानव अधिकारमा मानव अधिकारको संरक्षण र संवद्र्धन, बालबालिकाको हकहित वा राष्ट्रिय जीवनका विभिन्न क्षेत्र, राष्ट्रिय प्राकृतिक स्रोत तथा वित्तमा प्राकृतिक स्रोत वा वित्त व्यवस्थापन, अर्थशास्त्र, कानुन, व्यवस्थापनको क्षेत्र, राष्ट्रिय महिलामा महिलाको हकहित वा लैंगिक न्याय वा महिला विकास वा मानव अधिकार र कानुनको क्षेत्रमा अनुभव भएको हुनुपर्ने व्यवस्था छ। निर्वाचन आयोगका लागि भने कुनै विषय क्षेत्र तोकिएको छैन। यसरी विभिन्न विषय क्षेत्रको अनुभव खोजिनुका कारण आयोगको कामको प्रकृतिअनुसार ५ जना आयुक्तहरूले विभिन्न क्षेत्रको प्रतिनिधित्व गरून् र सामूहिक दिमाग (मिटिङ अफ द माइन्ड) बाट परिपक्व निर्णय हुन सकोस् भन्ने हो। उदाहरणका लागि अख्तियार राष्ट्रसेवकहरूले गर्ने भ्रष्टाचारको अनुसन्धान गरी अभियोगसहित अदालतमा मुद्दा दायर गर्ने निकाय भएकाले सोही प्रकृतिसँग मिल्दो विषय क्षेत्रको अनुभव तोकिएको छ। सायद त्यसैले अख्तियारका लागि भेटेरीनरी विषयको, लोकसेवाका लागि कृषि अर्थशास्त्रको र वित्त आयोगका लागि कला साहित्यको अनुभव नराखिएको होला। हाम्रो अभ्यासमा भने विभिन्न विषय क्षेत्रको प्रतिनिधित्वलाई संविधानको भावनाअनुकूल बुझिएको पाइँदैन। हालसम्मका नियुक्तिहरूको विश्लेषण गर्ने हो भने नियुक्तिकर्तामा दुई प्रकारको भ्रम रहेको प्रस्ट देख्न सकिन्छ। पहिलो, कुनै सरकारी सेवामा (खासगरी निजामती, प्रहरी र राष्ट्रिय अनुसन्धानका क्षेत्रमा) २० वर्ष वा तोकिएको अरू कुनै वर्षको सेवाअवधि पुगेको जोसुकै पनि योग्य हुन्छ भन्ने भ्रम र तोकिएको योग्यता पुगेको भएपछि विभिन्न विषय क्षेत्रको प्रतिनिधित्व गराइरहनु पर्दैन भन्ने भ्रम। पहिलो भ्रम, अख्तियारकै उदाहरणबाट हेरौं। अख्तियारका लागि लेखा, राजस्व, इन्जिनियरिङ, कानुन, विकास वा अनुसन्धान क्षेत्रको अनुभव हुनुपर्छ। के यस योग्यताले वन र कृषि सेवामा ३० वर्ष काम गरेको, भूगोल विषयमा २१ वर्ष काम गरेको व्यक्ति नियुक्तिका लागि योग्य हुन्छ ? राष्ट्रिय अनुसन्धान विभाग, सशस्त्र प्रहरी र नेपाल प्रहरीकै पनि महानिरीक्षक र नायब महानिरीक्षक हुँदैमा योग्यता पुगिहाल्छ ? अख्तियारका लागि तोकिएको अनुसन्धान क्षेत्रको अनुभव भनेको अपराधको कार्यविधिगत अनुसन्धान तहकिकात र अभियोजनको क्षेत्र हो कि गुप्तचरीको क्षेत्र पनि हो ? सशस्त्र प्रहरीले अपराधको अनुसन्धान गर्छ ? नेपाल प्रहरीकै हकमा पनि अनुसन्धानको क्षेत्रमा कुल जनशक्ति मध्ये १० प्रतिशत पनि कार्यरत छैनन् (हेर्नुहोस् २० भदौ २०७६ को अन्नपूर्ण पोष्ट्)। अनुसन्धान क्षेत्रमा २० वर्षको अनुभव नभई गोलाबारुद, खरिद, डाक्टर, इन्जिनियर र दंगामा काम गरेको प्रहरी स्वतः योग्य कसरी होला ? विषय क्षेत्रहरूको किटानीको अर्थविशेषज्ञको खोजी पनि हो। तर जागिरे जीवनभरि सामान्य प्रशासन सेवाअन्तर्गत प्रशासन र व्यवस्थापन क्षेत्रमा काम गरी सामान्यज्ञको दाबी गर्नेहरू पनि आयोगहरूका लागि आवश्यक विशेषज्ञ क्षेत्रमा कसरी योग्य हुन सक्लान् ? १२ वर्ष प्रमुख जिल्ला अधिकारी र १० वर्ष जिल्ला विकास अधिकारी भएको व्यक्ति विशिष्ट श्रेणीमा पुगेकै आधारमा विकासको क्षेत्र भनेर अथवा १५ वर्ष प्रमुख जिल्ला अधिकारी ५ वर्ष अर्थ मन्त्रालयमा काम गर्दैमा राजस्व क्षेत्रको अनुभव मानेर अख्तियारमा नियुक्त गर्न मिल्छ ? सिफारिस र सुनुवाइकर्ताले योग्य ठानेर नियुक्त भई अदालतबाट अयोग्य घोषित भएका लोकमानसिंह कार्कीबाहेक अरू नियुक्तिका बारेमा कुरा गर्न आधिकारिक नहोला। तर विगतका नियुक्तिहरूमा माथिका योग्यताको कसीमा अवश्य फितलो छ भन्न हिचकिचाउनु परोइन। दोस्रो भ्रम, आयोगहरूका लागि तोकिएका सबै विषय क्षेत्रको सम्भव भएसम्म सन्तुलित नियुक्ति गरिरहनु पर्दैन भन्नेतर्फ हेरौं। फेरि पनि अख्तियारकै उदाहरण सटिक हुन सक्छ। के अख्तियारका नियुक्तिहरूमा तोकिएका लेखा, राजस्व, इन्जिनियरिङ, कानुन, विकास वा अनुसन्धानका क्षेत्रको सन्तुलन मिलाइएको पाइन्छ ? पाँचजना आयुक्त हुने आयोगमा पाँचैजना वा बहुसंख्यक आयुक्त कानुन नै कानुनका वा लेखैलेखाका वा राजस्वै राजस्व मात्र राखिनु सन्तुलित र संविधानको आशयअनुकूल हुन्छ ? भ्रष्टाचारको अपराधलाई कुनै आयुक्तले लेखाको नजरले, कुनैले राजस्वको नजरले, कुनैले निर्माण र खरिदको नजरले, कुनैले कानुनी व्याख्याको नजरले, कुनैले विकास र प्रमाण संकलन, परीक्षण र अभियोजनको नजरले हेरोस् र अदालतमा समेत टिकाउ हुने परिपक्व निर्णय हुन सकोस् भन्ने अपेक्षा गरिएको हो। तर सम्बन्धित निकायतर्फ हेर्दा तस्बिर धमिलो देखिन्छ। यहाँ त राष्ट्रिय प्राकृतिक तथा वित्त आयोगमा समेत सबै सामान्यज्ञ वा वित्त क्षेत्रका मात्र हुनुपर्छ। संविधानले तोकेको कानुन र अन्य क्षेत्रको प्रतिनिधित्व चाहिँदैन भन्नेसम्मको भ्रम उत्पन्न गराइन्छ। निर्वाचन आयोगका लागि कुनै विषय क्षेत्रको योग्यता तोकिएको छैन भन्दैमा कामको प्रकृतिका आधारमा त्यहाँ राजनीतिशास्त्र, कानुन, विवाद समाधान, भूगोलको ज्ञाता र अनुभवी विशेषज्ञको आवश्यकता छैन जस्तो गरिन्छ। संवैधानिक आयोगहरूले आफ्नो गुरुत्तर दायित्व निर्वाह प्रभावकारी रूपले सम्पादन गर्दा देशले अपेक्षा गरेको लक्ष्यमा पुग्न मद्दत पुग्ने र कमजोर वा सोचेजस्तो कार्य नहुँदा लक्ष्य पराजित हुने भएकाले यिनीहरूको गठन गर्दा पर्याप्त सन्तुलन मिलाउन आवश्यक छ। आयोगहरू बहुक्षेत्रको सन्तुलित प्रतिनिधित्वबाट एकदर्शी नभई सर्वदर्शी हुन सकून् भन्ने आशा गर्न सकिन्छ। विद्वान् लेखकद्वयले अपेक्षा राख्नुभएको सबै क्षेत्रका योग्य व्यक्तिहरू र आयोगको प्रकृतिअनुकूलका तालिम प्राप्त व्यक्तिहरूको सन्तुलित नियुक्तिको प्रसंग अझ एक कदम अग्रगामी छ। अग्रगमनको अपेक्षा किन नगर्ने ? आचार्य उपराष्ट्रपति कार्यालयका सचिव हुन्।"
खुलामञ्चमा फेरि टहरा,"काठमाडौं : खुलामञ्चमा फेरि व्यवसायीले कब्जा जमाएका छन्। अस्थायी बसपार्क रहेको यसक्षेत्रमा काठमाडौं महानगर र गुठी संस्थानको मिलेमतोमा व्यवसायीले फेरि कब्जा गरेका हुन्। ६ महिनाअघि काठमाडौं महानगरले बसपार्कका ४० टहरा हटाएको थियो। स्थानीयको चर्को गुनासोपछि अवैध संरचना हटाउन महानगरका मेयर विद्यासुन्दर स्वयम त्यहाँ पुगेका थिए। बसपार्कको दुईमाजु गुठी मन्दिर परिसरमा व्यवसायीले पुनः अस्थायी टहरा निर्माण गरेका छन्। धार्मिक र सांस्कृतिक महत्व जोडीएको दुईमाजु मन्दिर रहेको क्षेत्रमा अहिले १७ व्यवसायीले टहरा ठड्याएका छन्। व्यवसायीले त्यहाँ रेडिमेड कपडा, फलफूल, झोला, उपहार आदिका पसल खोलेका छन्। गुठी संस्थानले उक्त स्थानलाई मन्दिर परिसरमा आवश्यक पुजा सामाग्री राख्न र सामन्य सरसफाइ गर्न भन्दै टहरा बनाउन अनुमति दिएको हो। गुठी संस्थानबाट टहरा बनाउन अनुमति लिएको व्यवसायीले अरूलाई करारमा व्यवसाय गर्न दिएका हुन्। गोरखा भिमसेन गाउँपालिका तान्द्राङ७ की अमृता भट्टराइले १७ व्यवसायीलाई करारमा व्यवसाय सञ्चालन गर्न दिएकी हुन्। उक्त स्थानमा व्यवसाय गर्न पाँच वर्षको अनुमति लिएकी भट्टराइले प्रतिस्टल ३५ हजार रुपैयाँ लिएर भाडामा दिएकी हुन्। ०७५ मंसिर २१ मा काठमाडौं महानगर२८ अन्तर्गत उक्त मन्दिर परिसरको खाली जग्गामा सामान्य व्यवसाय गर्न गुठी संस्थानबाट सम्झौता भएको हो। गुठी संस्थान र अमृता भट्टराईबीच १३ सर्तमा सम्झैता भएको छ। संस्थानले मासिक १५ हजार लिई ६ महिनाको ९० हजार गुठी संस्थानलाई दिने सम्झैतामा उल्लेख छ। सम्झौता पत्रमा गुठी संस्थान शाखा कार्यालय काठमाडौंका निवर्तमान कार्यालय प्रमुख वैकुण्ठप्रसाद रेग्मी र अमृता भट्टराइको हस्ताक्षर छ। हाल उक्त मन्दिर परिसरमा मरिण ठाकुर इन्टरनेशनल प्रालि अन्तर्गत व्यवसाय सञ्चालनमा ल्याइएको छ। मन्दिर परिसरमा व्यवसाय चलाउनेमा झलकप्रसाद गेलाल, दुर्गा शाह, अनिताकुमारी थापा, अमृता मैनाली, सुरेन्द्र मानन्धर, टेकबहादुर जोगी, होमबहादुर खड्का, दिपक गौतम, भगवानप्रसाद शर्मा, रेशमबहादुर पाण्डे लगायत छन्। उक्त स्थानमा व्यवसाय गर्न महानगरमा व्यवसाय दर्ता समेत गरिएको छ। काठमाडौं महानगरले पनि मन्दिर परिसरमा टहरा बनाउन अनुमति दिएको छ। २८ वडा अन्तर्गत पर्ने बसपार्क क्षेत्रमा टहरा निर्माण गर्न काठमाडौं महानगर भवन निर्माण इजाजत विभागका प्रमुख सुरज शाक्यले स्विकृति दिएका छन्। गुठी संस्थानले यही स्विकृतिलाई आधार मानेर मन्दिर परिसरमा स्टल राख्न व्यवसायीलाई अनुमति दिएको हो। व्यवसायीले टहरा पुनः निर्माण गरेपछि उक्त स्थानबाट टहरा हटाउ प्रयास भएको वडा नम्बर २८ का वडाध्यक्ष भाईराम खड्गीले जानकारी दिए। वडाको सिफारिस बिनै गुठी संस्थान र महानगरले व्यवसाय सञ्चालन गर्न दिएकोमा अध्यक्ष खड्गीले आपत्ति जनाएका छन्। गुठी संस्थानका प्रमुख शैलेन्द्र पौडेलका अनुसार सम्झौताभन्दा बाहिर गएर मापदण्ड विपरित टहरा निर्माण भएको जन गुनासो आएपछि प्राविधीक टोलीलाई प्रतिवेदन प्रस्तुत गर्न लगाएको छ। प्रमुख पौडेलले भने, केहि दिनमै प्रतिवेदन आएपछि मापदण्ड विपरित बनाएको भेटिए भत्काइने छ। व्यवसायीक कब्जामासपना महर्जनखुलामञ्चमा फेरि व्यवसायीले कब्जा जमाएका छन्। अस्थायी बसपार्क रहेको यसक्षेत्रमा काठमाडौं महानगर र गुठी संस्थानको मिलेमतोमा व्यवसायीले फेरि कब्जा गरेका हुन्। ६ महिनाअघि काठमाडौं महानगरले बसपार्कका ४० टहरा हटाएको थियो। स्थानीयको चर्को गुनासोपछि अवैध संरचना हटाउन महानगरका मेयर विद्यासुन्दर स्वयम त्यहाँ पुगेका थिए। बसपार्कको दुईमाजु गुठी मन्दिर परिसरमा व्यवसायीले पुनः अस्थायी टहरा निर्माण गरेका छन्। धार्मिक र सांस्कृतिक महत्व जोडीएको दुईमाजु मन्दिर रहेको क्षेत्रमा अहिले १७ व्यवसायीले टहरा ठड्याएका छन्। व्यवसायीले त्यहाँ रेडिमेड कपडा, फलफूल, झोला, उपहार आदिका पसल खोलेका छन्। गुठी संस्थानले उक्त स्थानलाई मन्दिर परिसरमा आवश्यक पुजा सामाग्री राख्न र सामन्य सरसफाइ गर्न भन्दै टहरा बनाउन अनुमति दिएको हो। गुठी संस्थानबाट टहरा बनाउन अनुमति लिएको व्यवसायीले अरूलाई करारमा व्यवसाय गर्न दिएका हुन्। गोरखा भिमसेन गाउँपालिका तान्द्राङ७ की अमृता भट्टराइले १७ व्यवसायीलाई करारमा व्यवसाय सञ्चालन गर्न दिएकी हुन्। उक्त स्थानमा व्यवसाय गर्न पाँच वर्षको अनुमति लिएकी भट्टराइले प्रतिस्टल ३५ हजार रुपैयाँ लिएर भाडामा दिएकी हुन्। ०७५ मंसिर २१ मा काठमाडौं महानगर२८ अन्तर्गत उक्त मन्दिर परिसरको खाली जग्गामा सामान्य व्यवसाय गर्न गुठी संस्थानबाट सम्झौता भएको हो। गुठी संस्थान र अमृता भट्टराईबीच १३ सर्तमा सम्झैता भएको छ। संस्थानले मासिक १५ हजार लिई ६ महिनाको ९० हजार गुठी संस्थानलाई दिने सम्झैतामा उल्लेख छ। सम्झौता पत्रमा गुठी संस्थान शाखा कार्यालय काठमाडौंका निवर्तमान कार्यालय प्रमुख वैकुण्ठप्रसाद रेग्मी र अमृता भट्टराइको हस्ताक्षर छ। हाल उक्त मन्दिर परिसरमा मरिण ठाकुर इन्टरनेशनल प्रालि अन्तर्गत व्यवसाय सञ्चालनमा ल्याइएको छ। मन्दिर परिसरमा व्यवसाय चलाउनेमा झलकप्रसाद गेलाल, दुर्गा शाह, अनिताकुमारी थापा, अमृता मैनाली, सुरेन्द्र मानन्धर, टेकबहादुर जोगी, होमबहादुर खड्का, दिपक गौतम, भगवानप्रसाद शर्मा, रेशमबहादुर पाण्डे लगायत छन्। उक्त स्थानमा व्यवसाय गर्न महानगरमा व्यवसाय दर्ता समेत गरिएको छ। काठमाडौं महानगरले पनि मन्दिर परिसरमा टहरा बनाउन अनुमति दिएको छ। २८ वडा अन्तर्गत पर्ने बसपार्क क्षेत्रमा टहरा निर्माण गर्न काठमाडौं महानगर भवन निर्माण इजाजत विभागका प्रमुख सुरज शाक्यले स्विकृति दिएका छन्। गुठी संस्थानले यही स्विकृतिलाई आधार मानेर मन्दिर परिसरमा स्टल राख्न व्यवसायीलाई अनुमति दिएको हो। व्यवसायीले टहरा पुनः निर्माण गरेपछि उक्त स्थानबाट टहरा हटाउ प्रयास भएको वडा नम्बर २८ का वडाध्यक्ष भाईराम खड्गीले जानकारी दिए। वडाको सिफारिस बिनै गुठी संस्थान र महानगरले व्यवसाय सञ्चालन गर्न दिएकोमा अध्यक्ष खड्गीले आपत्ति जनाएका छन्। गुठी संस्थानका प्रमुख शैलेन्द्र पौडेलका अनुसार सम्झौताभन्दा बाहिर गएर मापदण्ड विपरित टहरा निर्माण भएको जन गुनासो आएपछि प्राविधीक टोलीलाई प्रतिवेदन प्रस्तुत गर्न लगाएको छ। प्रमुख पौडेलले भने, केहि दिनमै प्रतिवेदन आएपछि मापदण्ड विपरित बनाएको भेटिए भत्काइने छ।"
