शीर्षक,विवरण
नक्सा सच्याउन कूटनीतिक पहल,"नेपालको भूमि कालापानी र लिपुलेकलाई भारतले आफ्नो पार्दै नयाँ नक्सा जारी गरेको छ। यसले त्यो भूमि अझै छाड्न नचाहेको देखाउँछ। जम्मुकश्मीर दुई भागमा विभाजन गरेपछि भारतले नेपालको भूमिलाई आफ्नोमा पार्दै एकलौटी ढंगमा नक्सा सार्वजनिक गरेको हो। नयाँ नक्सामा कृत्रिम काली नदीबाट वास्तविक काली नदी स्वीकारेको भारतले कालापानी र लिपुलेकमा अझै आधिपत्य कायम राख्न चाहेको छ। नेपालले नक्सा सच्याउन तत्काल कूटनीतिक पहल थाल्नुपर्छ। भारतीय नक्सामा लिम्पियाधुराबाट काली नदी बगेको देखिएको छ। काली नदीको यथार्थको विषयमा नेपालभारतबीच विवाद रहँदै आएको थियो। यो नेपालको भूमि हो। भारतचीन युद्धका बेला ५७ वर्षअघि निर्जन भूमिमा भारतले सैन्य अखडा बनाएको थियो। दुई देश युद्धमा रहेका बखत नेपालका शासकले कतै पनि नढल्किने रणनीतिअनुरुप भारतले भूमि हड्प्दा पनि मौनता साधेको थियो। कालापानीमा कृत्रिम काली नदी बनाएर नेपाली भूभाग अतिक्रमण गरेको थियो। पञ्चायतकालभरि यो मौन रह्यो, बहुदलसँगै कालापानीका विषय उठेको हो। पुराना सन्धि, सम्झौता र नक्सामा लिम्पियाधुराबाट बहने नदीलाई काली उल्लेख भएको छ। सन् ६० दशकमा भारतीय नक्सामा काली नदी लुकाएको थियो। तर, कालापानी र लिपुलेकलाई भारतमा राख्दै आएको थियो। यसमा काली नदी पुनस्र्थापित छ। कालापानी र लिपुलेक मात्र होइन सुस्तालगायतका ७१ स्थान भारतले अतिक्रमण गर्दै आएको तथ्यांक छ। धेरै सीमा स्तम्भसमेत हराएका छन्। यस्ता स्थानमा पनि अतिक्रमण भएको भनिरहेको अवस्थामा उनीहरूले नयाँ नक्सामा त्यो भूभाग पारिदिएका हुन्। विगत पाँच वर्षदेखि नेपाल भारतको सीमांकन भइरहेको छ। कालापानी र सुस्ताको विवादका विषयमा दुवै देशका परराष्ट्र सचिवस्तरीय बैठक बसेर टुंग्याउने सहमति परराष्ट्रमन्त्रीस्तरमा नै भएको थियो। तर, दुवै देशका सचिवबीच बैठक गरी समस्या समाधान गर्न सकेका छैनन्। उल्टै २०७२ जेठ १ मा भारत र चीनले लिपुलेकलाई द्विपक्षीय व्यापारिक कोरिडोर बनाउने सम्झौता गरे। नेपालका कूटनीतिज्ञ बेखबर रहे। नेपालभारतचीनको त्रिदेशीय बिन्दुमा नेपालको सहमति बेगर दुई देशले सम्झौता गरी नेपालको सार्वभौमिकता अवमूल्यन गरेका थिए। तत्कालीन प्रधानमन्त्री सुशील कोइरालाले दुवै देशलाई पत्राचार गरेर त्यो विषयमा ध्यानाकर्षण गराउँदै समाधानका लागि कूटनीतिक नेतृत्वलाई जिम्मा दिए। भूकम्पको पीडा र संविधान जारी गर्ने तयारीमा रहेको नेपालले त्यतिबेला मलिन विरोधमात्र जनाए पनि नेपालमा रहेको तथ्यांक भने बटुलेको थियो। तर, यो विषयमा नेपालले भारत र चीनसँग प्रष्ट कुरा राख्न सकेको पाइँदैन। भारतले काली नदीको यथार्थ स्वीकारेका कारण अब नेपालले कूटनीतिक चतुर्यार्इंलाई प्रदर्शन गर्ने बेला आएको छ। सुगौली सन्धिमा काली नदीसम्मको भूभाग नेपालको भएको स्पष्ट छ। यो मौकाको फाइदा उठाएर नेपालले कालापानीबाट भारतीय सेना हटाउने मात्र होइन, लिपुलेक र कालापानी लिम्पियाधुरासम्मको भूभागमा दाबी गर्नुपर्छ। आफ्नो भूमि फिर्ता गराउनेदेखि चीनभारतको बीचको द्विपक्षीय व्यापार सम्झौता सच्याउन लगाउनुपर्छ। परराष्ट्र मन्त्रालयले विज्ञप्ति जारी गरी कालापानी क्षेत्र नेपालको भूभाग भएकामा सरकार स्पष्ट छ भनेको छ। दुई मुलुकबीच सुल्झाउन बाँकी रहेका सीमासम्बन्धी विषय आपसी सहमतिमा टुंग्याउन आवश्यक रहेको तर एकपक्षीय ढंगले लिएको निर्णय नेपाल सरकारलाई मान्य नहुने पनि बताएको छ। सरकार अन्तर्राष्ट्रिय सीमाना रक्षाका लागि प्रतिबद्ध रहेको जनाउँदै ऐतिहासिक दस्ताबेज एवं तथ्य प्रमाणका आधारमा कूटनीतिक माध्यमबाट समाधान गर्न पनि सरकारले जानकारी गराएको छ। तर, यो समस्या सम्बोधन गर्न वक्तव्य मात्र होइन कडा कूटनीतिक प्रतिवाद आवश्यक छ। दुई ठूला शक्तिको बीचमा रहेको नेपालका कूटनीतिज्ञ चनाखो बन्न आवश्यक छ । मुलुक आकारमा साना ठूला हुन सक्छन्। आफ्नो भूगोल र जनताको रक्षा मुलुकको पहिलो प्राथमिकता हुनुपर्छ। कूटनीतिक हैसियत बराबरी नै हो। सामान्य लोभ लालचमा परेर हो मा हो मिलाउने कूटनीति अन्त्य हुनुपर्छ। हीनभाव नबोकी इतिहासमा झैं सबल कूटनीति देखाउन सक्नुपर्छ।"
ल्याण्डफिल निर्माण ढिलाइ : पुसबाट मात्र फोहोर फाल्न मिल्ने,"काठमाडौं : काठमाडौंको बञ्चरे डाँडामा स्यानेटरी ल्याण्डफिल साइट निमार्णमा ढिलाइ भएको छ। दसैंतिहार लगत्तै फोहोर फाल्न मिल्ने भनिए पनि त्यो पूरा हुन सकेको छैन। सहरी विकासमन्त्री मोहम्मद इस्तियाक राईले बैशाख १२ गते ल्याण्डफिल साइट निमार्णको शिलान्यास गरेका थिए। दुई महिनामा नै फोहोर व्यवस्थापन गर्न सकिने गरी पूर्वाधार बन्ने घोषणासमेत गरिएको थियो। सहरी विकास तथा भवन निर्माण विभागले बैशाख २२ मा लुम्बिनीकोशी एण्ड न्यौपाने जेभीलाई एक वर्षमा काम सम्पन्न गर्ने गरी ठेक्का सम्झौता गरेको थियो। निर्माण कम्पनीका प्रतिनिधि निरञ्जन खनाल पुसबाट मात्रै पहिलो चरणमा फोहोर फाल्न मिल्ने बताउँछन्। पहिलो चरणमा फोहोर प्रशोधन केन्द्रको भवन निर्माण कार्य भइरहेको छ। भवनको डीपीसी भइसकेको छ। फोहोर व्यवस्थापन गर्ने स्थानमा खन्ने काम भइरहेको छ। ल्याण्डफिल साइटमा जियोमेम्रेन बिछ्याउने काम सुरु भैसकेको छ, खनालले भने, कुनै अवरोध भएन भने पुस अन्तिमसम्मा फोहोर फाल्न सकिन्छ। डिजाइन परिर्वतन र सडक अवरोधले ढिलाइ भएको खनाल बताउँछन्। डिजाइन परिवर्तन हुँदा एक महिनासम्म काम गर्न पाएनौं, उनले थपे, सिसडोलको फोहोर पहिरो जाँदा २ महिना २० दिन सडक अवरुद्ध भयो। दसैं तिहारमा काम हुन पाएन। सम्झौता अवधिमै निर्माण सम्पन्न हुने खनालको दावी छ। हाल निर्माण भइरहेकोले फोहर व्यवस्थापनमा पटकपटक आउने समस्या छिट्टै अन्त्य हुने सहरी विकास तथा भवन निर्माण विभागका उपमहानिर्देशक आपद्यकुमार मैनालीले बताए। हाल फोहोर व्यवस्थापन गरिँदै आएको सिसडोलभन्दा करिब दुई किलोमिटर अगाडि बन्चरेडाँडो छ। ल्याण्डफिल साइटमा धादिङ जिल्लाको धुनीबेंसी१ का केही भूभाग र नुवाकोट ककनी गाउँपालिका २ र ३ का केही भूभाग पर्छन्। ल्याण्डफिल साइट निर्माण क्षेत्रको क्षेत्रफल एक हजार ७ सय १९ रोपनी छ। धादिङ र नुवाकोटका स्थानीयले थप पाँच हजार रोपनी जग्गा अधिग्रहण गर्नुपर्ने माग गर्दै आएका छन्। हाल अधिग्रहण भएको क्षेत्रभन्दा तीन किलोमिटर वरपर अधिग्रहण गर्नुपर्ने स्थानीयको सरकारसँग माग छ। यो ल्याण्डफिल साइटले उपत्यकाको फोहर ५० वर्षसम्म धान्न सक्ने बताइएको छ। काठमाडौं उपत्यकाको फोहोर व्यवस्थापन बन्चरेडाँडामा गर्न सरकारले २५ वर्षअघि नै निर्णय गरेको थियो। ल्यान्डफिल साइटको कन्सेप्चुअल डिजाइन २०५८०५९ मै बनेको थियो। जापान सहयोग नियोग (जाइका)ले बनाएको डिजाइनअनुसार ल्यान्डफिलसाइट निर्माण गर्न एक अर्ब ८६ करोड लागत अनुमान गरेको थियो। सहरी विकास मन्त्रालयले भने जम्मा एक अर्ब ६५ करोडमै यसको पूर्वाधार बनाउन सकिने अनुमान गरेको छ। सोहीअनुसार पूर्वाधार निर्माणका लागि पहिलो चरणको काम सुरु भएको हो। २०७५ मंसिर १७ गतेको मन्त्रिपरिषद् बैठकले सहरी विकास मन्त्रालयलाई पूर्वाधार निर्माणको जिम्मेवारी दिने निर्णय गरेको थियो। सरकारले दीर्घकालीन ल्यान्डफिल साइट बनाउनकै निम्ति आवश्यक पूर्वाधार निर्माण गर्न चैत्रमा मात्रै पोनै दुई अर्ब रुपैयाँ निकासा गरेको थियो। उपत्यकामा दैनिक उत्सर्जन हुने करिब एक हजार मेट्रिक टन फोहोर सिसडोलमा व्यवस्थापन गरिँदै आएको काठमाडौं महानगरपालिकाका वातावरण व्यवस्थापन विभागका प्रमुख हरिकुमार श्रेष्ठले बताए। सुरुमा काठमाडौं महानगरपालिका, ललितपुर महानगरपालिका र किर्तिपुर नगरपालिकाको मात्रै फोहोरको व्यवस्थापन सिसडोलमा गरिँदै आएको थियो। हाल काठमाडौं, ललितपुर र भक्तपुरका १७ वटा नगरपालिकाको फोहोर पनि सिसडोलमा फालिँदै आएको आएको श्रेष्ठले बताए। काठमाडौं महानगरबाट पाँच सय १६, कीर्तिपुर नगरपालिकाबाट ६, कागेश्वरी मनहराबाट २०, चन्द्रागीरिबाट ३०, गोकर्णेश्वरबाट ६०, टोखाबाट ३५, तार्केश्वरबाट ३५, बुढानिलकण्ठबाट ३५, दक्षिणकालीबाट १५, नागार्जुनबाट ३५, शंखरापुरबाट ८, ललितपुर महानगरबाट एक सय ३०, गोदावरीबाट २५, महालक्ष्मीबाट ३०, मध्येपुरथिमीबाट ३०, चाँगुनारायणबाट १५ र सुर्यविनायकबाट २५ मेट्रिकटन फोहोर संकलन हुँदै आएको श्रेष्ठले बताए।"
सवारी रुट इजाजत डिजिटाइज गरिने,"काठमाडौं : सवारी रुट इजाजत डिजिटाइज गरिने भएको छ। यातायात व्यवस्था विभागले रुट इजाजतलाई डिजिटाइज गर्ने तयारी गरेको हो। विभागका महानिर्देशक गोगनबहादुर हमालले रुट इजाजतलाई एकीकृत गर्न डिजिटाइजको तयारी गरिएको जानकारी दिए। विभागले यातायात कार्यालयमा कागजको प्रयोगलाई क्रमसः विस्थापित गर्ने रणनीतिअनुरुप डिजिटाइज गर्न खोजेको छ। विभागले २०७२ सालदेखि कागजी लाइसेन्स (सवारी चालक अनुपतिपत्र) स्मार्ट कार्डमार्फत वितरण गर्दै आइरहेको छ। लाइसेन्सको आवेदन पनि अनलाइनमार्फत भर्न मिल्ने व्यवस्था गरिसकेको छ। यातायातका सबै सेवालाई सेवाग्राहीमैत्री बनाउने नीतिअनुसार रुट इजाजत डिजिटाइज गर्न खोजिएको खोजिएको हमालले बताए। सवारी रुट इजाजत ढड्डा (कागजी अभिलेख)मा राख्ने गरिएको छ। हालको व्यवस्थाअनुसार कुनैसडकमा कति सवारीले सञ्चालन अनुमति प्राप्त गरेका छन्। विभाग र यातायात कार्यालयसँग एकीकृत विवरण छैन। सडकको क्षमताअनुसार सवारी सञ्चालन भइरहेका छन् कि छैनन् भन्ने यकिन विवरणको अभाव छ। रुट इजाजतको डिजिटाइज गर्दा सवारीको संख्यासँगै सडक (माटे, कच्ची, ग्रावेल, मौसमी, पक्की) को विवरण पनि समावेश गरिनेछ। सडकको पनि विवरण हुने भएकाले कुनैरुटमा कति सवारीलाई इजाजत दिन सकिन्छ भन्ने विवरण कम्प्युटरमा सिञ्चत हुन्छ। सार्वजनिक यातायातले प्रत्येक चारचार महिनामा सवारी रुट इजाजत नवीकरण गर्नुपर्ने हुन्छ। कम्प्युटर प्रणालीअनुसार रुट इजाजत व्यवस्थित नभएकाले सवारी धनीको मागका आधारमा रुट इजाजत वितरण हुँदै आइरहेको छ। डिजिटाइजसँगै यातायात कार्यालयसँग रुटको एकीकृत तथ्यांक हुनेछ। सडकको क्षमता तथा यात्रुुको मागका आधारमा नयाँ रुट इजाजत वितरण गर्न सहज हुने विभागको अपेक्षा छ। विभागले यातायात क्षेत्रको सिन्डिकेट अन्त्य गर्दा प्रतिस्पर्धाका आधारमा रुट इजाजत वितरण गरिने उद्घोष गरेको थियो। त्यसका लागि महेन्द्र राजमार्गमाबाट उत्तरतर्फको पहाडी र हिमाली सडकको अध्ययन गरेको थियो। तर, मुलुुक संघीय व्यवस्थामा गएसँगै यातायात कार्यालय विभागबाट प्रदेश मातहतमा गएका छन्। रुट अध्ययनको प्रतिवेदन प्रदेशमार्फत यातायात कार्यालयमा पठाइएको थियो। प्रतिस्पर्धाको आधारमा रुट इजाजत दिने प्रक्रिया अघि बढ्न सकेको छैन। कागजी दस्तावेजका आधारमा रुट इजाजको विवरण एकीकरण गर्न झन्झटिलो छ। एउटा यातायात कार्यालयले वितरण गरेको रुट इजाजतको अभिलेख अर्को कार्यालयको सहज पहुँचमा छैन, हमालले भने, रुट इजाजतलाई डिजिटाइज गर्न सकिए कम्प्युटरबाट हेर्न सकिन्छ। यातायात समितिको एकाधिकार अन्त्य हुनु अघिसम्म समितिको सिफारिसको आधारमा रुट इजाजत दिइने गरिएको थियो। समिति यातायात कम्पनीमा रुपान्तरित भएका छन्। नयाँ कम्पनी पनि थपिने क्रममा छन्। कम्पनीमार्फत सञ्चालन भएका यातायात सेवालाई व्यवस्थित र परादर्शी बनाउन पनि रुट इजाजत डिजिटाइज गर्नुपर्ने अवस्था सिर्जना भइसकेको उनको भनाइ छ। यातायात व्यवस्था विभागका परामर्शदाता ईपदमबहादुुर शाहीले रुट इजाजतलाई डिजिटाइज गर्ने प्रक्रिया अघि बढाउन लागिएको बताए। कम्प्युटर सफ्टवेयरमार्फत रुट इजाजत डिजिटाइज गर्ने हो। थोरै खर्चमा सफ्टवेयर निर्माण गर्न सकिन्छ। यसका लागि विभागले यातायात कार्यालयसँग छलफल पनि चलाएको छ। उनका अनुसार रुट इजाजतलाई डिजिटाइज गर्न कार्यालय पनि सकारात्मक देखिएका छन्।"
रिचार्ज कार्ड छपाइमा कानुन उल्लंघन,"काठमाडौं : नेपाली मुद्रण उद्योगले कानुनविपरीत दूरसञ्चार कम्पनीको रिचार्ज कार्ड छाप्ने गरेको पाइएको छ। औद्योगिक व्यवसाय ऐन, २०७३ मा रिचार्ज कार्ड सुरक्षित मुद्रण (सेक्युरिटी प्रिन्टिङ) मा छाप्नुपर्ने उल्लेख छ। नेपालमा अहिलेसम्म सुरक्षित मुद्रणसम्बन्धी मापदण्ड नै छैन। नेपाल टेलिकमको रिचार्ज कार्ड हाल मिराज प्रिन्टिङ सोलुसन प्रालिले छापिरहेको छ। ऐनअनुसार अनुसूची१ को दफा ७ सँग सम्बन्धित अनुमति लिनुपर्ने उद्योगमा सुरक्षात्मक छपाइ उद्योगसमेत राखिएको छ। सोही ऐनको दफा ५ मा यस्ता उद्योगले दर्ताअघि उद्योग तथा लगानी प्रवद्र्धन बोर्डबाट अनुमति लिनुपर्ने प्रावधान छ। यद्यपि, हालसम्म कुनै पनि सुरक्षात्मक छपाइ उद्योगले अनुमति नलिएको बोर्डले जानकारी दिएको छ। उद्योग विभागका निर्देशक प्रेम लुईंटेलले त्यस्ता उद्योगलाई बोर्डले अनुमति नदिएको पुष्टि गरे। सुरक्षण छपाइका लागि हाल कुनै पनि उद्योगलाई अनुमति प्रदान गरिएको विभागमा प्राप्त अभिलेखबाट देखिएको छैन,उनले भने। कानुनी व्यवस्था नभइ स्वदेशी उद्योगलाई रिचार्ज कार्ड छाप्न दिइएको पाइएको छ। निर्देशनपछि कानुन उल्लंघन स्वदेशी मुद्रण उद्योगले रिचार्ज कार्ड छाप्न दौडधूप गर्यो। सार्वजनिक लेखा समितिले स्वदेशी मुद्रण उद्योगलाई रिचार्ज कार्ड छपाइको जिम्मा दिन तत्काल आवश्यक ठान्यो। २०७२ भदौ १८ मा समितिले सञ्चार तथा सूचनाप्रविधि मन्त्रालय र नेपाल टेलिकमलाई निर्देशन दियो, रिचार्ज कार्ड छपाइमा स्वदेशी उद्योगलाई उचित मूल्यांकन गरी सहभागी गराऊ। नेपाल टेलिकमले आफ्नो बोलपत्रमा संशोधन गर्दै स्वदेशी उद्योगलाई समावेश हुने गरी रिचार्ज कार्ड खरिदको व्यवस्था गर्यो। तर सञ्चार तथा सूचना प्रविधि मन्त्रालयले कुनै नीतिगत व्यवस्था नगरी बोलपत्रमा उल्लेख थियो। स्वदेशीले पाउनुपर्छ लेखा समितिका सचिव रोजनाथ पाण्डेले कानुन मिचेर स्वदेशी उद्योगलाई सहभागी गराउन नमिल्ने बताए। उनले नीतिगत व्यवस्था गरेर स्वदेशी उद्योगलाई प्रतिस्पर्धामा सहभागी गराउनुपर्ने बताए। उनले भने, हामीले सरकारलाई सुरक्षात्मक छपाइमा स्वदेशी उद्योगलाई सहभागी गराउ भनेको हो। तर कानुन मिचेर सहभागी हुनेगराउने छुट कसैलाई छैन। नीतिगत व्यवस्था गर्नुपर्छ। स्टिकर पनि छपाउन दबाब अन्तःशुल्क स्टिकर छपाइमा समेत स्वदेशी उद्योगलाई सहभागी गराउन लेखा समितिले दियो। तर आन्तरिक राजस्व विभागले पुरानै प्रक्रियामार्फत स्टिकर छपाउन टेन्डर आह्वान गर्यो। समितिले तत्काल पत्राचार गर्दै उक्त टेन्डर स्थगित गर्न निर्देश दियो। अर्थ मन्त्रालयले यसका लागि कानुनी आधार खोजी गर्यो। सोही क्रममा अर्थले उद्योग मन्त्रालयलाई पत्राचार गर्दै सुरक्षण मुद्रणमा दर्ता भएको अभिलेखबारे सोध्यो। उद्योग विभागले सुरक्षात्मक छपाइका लागि हालसम्म कुनै पनि उद्योगलाई अनुमति प्रदान गरिएको विभागमा प्राप्त अभिलेखबाट नदेखिएको भन्ने जवाफ पठाएको थियो। सुरक्षण मुद्रण उद्योग दर्ताका लागि हालसम्म कुनै मापदण्ड तय नभएको विभागले जनाएको छ। अनुमति नलिएको उद्योगलाई सुरक्षण मुद्रणको जिम्मा दिन नमिल्ने अर्थ मन्त्रालयका एक उच्च अधिकारीले बताए। उनले भने, सुरक्षात्मक छपाइ जस्तो संवेदनशील विषयमा मापदण्ड बिना स्वीकृति दिन मिल्दैन। मस्यौदा बन्यो, अनुमोदन भएन मापदण्डका लागि २०७१ चैत १८ मा अर्थ मन्त्रालय अन्तर्गत राजस्व व्यवस्थापन महाशाखाले नेपालमा सुरक्षित मुद्रण उद्योगलाई मान्यता दिने सम्बन्धमा अध्ययन गर्न उद्योग विभागका महानिर्देशकको संयोजकत्वमा राष्ट्र बैंक, आन्तरिक राजस्व विभाग, अर्थ मन्त्रालय, सञ्चार तथा सूचना प्रविधि मन्त्रालय, मुद्रण विभाग, कानुन मन्त्रालयलगायत सम्बन्धित निकायका प्रतिनिधिसहित सात सदस्यीय कार्यदल गठन गरेको थियो। मुद्रण विभागले छपाइको जिम्मा आफूले पाउनुपर्ने अडान राख्दै तत्कालीन अवस्थामा कार्यदल बहिस्कार नै गरेको अर्थ मन्त्रालयका सहसचिव धनीराम शर्मा बताउँछन्। उनी भन्छन्, कार्यदलमा म पनि सदस्य थिएँ। हामीले मापदण्डको मस्यौदा बनाएर बोर्डमा पठायौं। तर मापदण्ड अहिलेसम्म स्वीकृत भएको छैन। लेखा समितिले निर्देशन दिएपछि २०७२ मंसिर २९ मा तत्कालीन औद्योगिक प्रवद्र्धन बोर्डको बैठकले सुरक्षित मुद्रण उद्योग दर्ताका लागि तय गर्नुपर्ने मापदण्ड सिद्धान्ततः स्वीकृत गरी लागू गर्ने प्रस्ताव गर्यो। प्रस्ताव आगामी बैठकमा पेस गर्ने निर्णय गरेको थियो। तर, त्यसपछिको १२ पटकको बैठकमा पनि प्रस्तावले स्थान पाएन।"
नेपालचीन रेल बैठक काठमाडौंमा,"काठमाडौं : नेपालचीनबीच अन्तरदेशीय रेलसेवा निर्माणसम्बन्धी पाँचौं चरणको वार्ता काठमाडौंकेरुङ रेलमार्गको सम्भाव्यता अध्ययनमा केन्द्रित हुने भएको छ। केरुङसम्म निर्माण हुने चरणमा रहेको रेल्वे सेवा विस्तार गरी काठमाडौं ल्याउनेसम्बन्धी वार्ता डिसेम्बरभित्र काठमाडौंमा आयोजना गर्न दुवै पक्ष सहमत भएका छन्। चिनियाँ टोलीको भ्रमणमा नेपाली पक्षले काठमाडौंकेरुङ रेलमार्ग सम्भाव्यता अध्ययन कार्यान्वयनको चरणमा लग्ने विषयमा केन्द्रित हुने भौतिक पूर्वाधार तथा यातायात मन्त्रालयको गुणस्तर तथा वैदेशिक सहयोग महाशाखा हेर्ने सहसचिव गोपालप्रसाद सिग्देलले जानकारी दिए। अन्तरदेशीय रेल्वे सेवा विस्तार सम्बन्धमा प्रत्येक वर्ष दुई पटक नेपालचीनबीच रेल सेवा विस्तारसम्बन्धी द्विपक्षीय वार्ता हुँदै आएको छ। असारमा चौथो चरणको वार्ता चीनमा आयोजना गरिएको थियो। यस पटकको वार्ता नेपालमा हुँदै छ। चिनियाँ राष्ट्रपति सी चिनफिङबाट असोजमा भएको दुईदिने भ्रमणका क्रममा काठमाडौंकेरुङ रेलमार्गको सम्भाव्यता अध्ययन गर्ने विषयमा सम्झौता भएको थियो। भौतिक पूर्वाधार तथा यातायात मन्त्रालय र चीनको यातायात मन्त्रालयबीच नेपाल अन्तरदेशीय रेल्वे सेवा विस्तारसम्बन्धी परियोजनाको सम्भाव्यता अध्ययनका लागि सम्झौता भएको थियो। काठमाडौंकेरुङ रेलमार्गको सम्भाव्यता अध्ययन चीनबाट हुने निश्चित छ। यसलाई छिटो सम्पन्न गर्नुपर्छ भन्ने पक्षमा छौं, सिग्देलले भने, अध्ययनका लागि चिनियाँ टोलीलाई सहजीकरण गर्नुपर्ने दायित्व छ। सम्भाव्यता अध्ययनलाई कसरी छिटो र तीव्र गतिमा सम्पन्न गर्न सकिन्छ भनेर छलफल गर्ने तयारीमा जुटेको सिग्देलले बताए। चिनियाँ टोलीले सम्भाव्यता अध्ययनका लागि रेलमार्ग निर्माण हुने क्षेत्रको नक्सा, जनसंख्या, घरटहरा, निकुञ्ज र जंगलको विवरण माग गरेको थियो। यस पटकको वार्ताको मुख्य एजेन्डा काठमाडौंकेरुङ रेलमार्ग सम्भाव्यता अध्ययनमा केन्द्रित हुनेछ। सम्भाव्यता अध्ययनका लागि चीनसँग सम्झौता भइसकेको छ। चीनको आर्थिक तथा प्राविधिक सहयोगमा रेलमार्गको सम्भाव्यता अध्ययन हुनेछ। काठमाडौंमा हुने वार्ताले सम्भाव्यता अध्ययनका लागि नेपाली पक्षले गर्नुपर्ने कामको टुंगो लगाइनेछ। चीनमा आयोजना भएको वार्तामा पनि सम्भाव्यता अध्ययन पूर्व नेपालको तर्फबाट हुनुपर्ने कामको विषयमा छलफल भएको थियो। उक्त वार्तामा चिनियाँ टोलीले सम्भाव्यता अध्ययनका लागि रेलमार्ग निर्माण हुने क्षेत्रको नक्सा, जनसंख्या, घरटहरा, निकुञ्ज र जंगलको विवरण माग गरेको थियो। यस पटकको वार्तामा पनि चीनले नेपालसँग यस्तै विवरण माग गर्न सक्ने मन्त्रालयका अधिकारीको भनाइ छ। सम्भाव्यता अध्ययनका लागि आवश्यक कागजात तथा रेखांकन स्थलमा पर्ने विवरण प्राप्त गरेपछि चीनले प्रक्रिया अघि बढाउनेछ। चिनियाँ पक्षले सम्भाव्यता अध्ययन गर्न केकस्तो विवरण माग गर्छन् भन्ने टुंगो लागिसकेको छैन। सम्भाव्यता अध्ययनका लागि आवश्यक पर्ने विवरण छिटो उपलब्ध गराउन मन्त्रालय तत्पर अवस्थामै रहेको सिग्देलको भनाइ छ। सम्भाव्यता अध्ययनले अनुमानित लागत र रेलमार्ग संरचनाको प्रारम्भिक टुंगो लगाउनेछ। यो अध्ययनका आधारमा विस्तृत परियोजना प्रतिवेदन (डीपीआर) र निर्माण मोडालिटीको टुंगो लाग्नेछ। काठमाडौंकेरुङ रेलमार्गको पूर्वसम्भाव्यता अध्ययन सम्पन्न भइसकेको छ। चीनकै आर्थिक तथा प्राविधिक सहयोगमा सम्भाव्यता अध्ययन गरिएको हो। २०७५ मंसिरमा नेपाल भ्रमणमा आएको चीनको नेसनल रेल्वे अथोरिटीका डेपुटी एडमिनिस्ट्रेटिभको नेतृत्वको टोलीले काठमाडौंकेरुङ रेलमार्गको पूर्वसम्भाव्यता अध्ययन प्रतिवेदन नेपाललाई हस्तान्तरण गरेको थियो। पूर्वसम्भाव्यता अध्ययनअनुसार रेलमार्ग सञ्चालन गर्न सकिने देखिएको छ। जटिल भौगोलिक संरचनामा रेलमार्ग निर्माण गर्नुपर्ने हुन्छ। रेलमार्ग निर्माण गर्दा बढीमा तीन प्रतिशतभन्दा उकालो नचढ्ने गरी बनाउने गरिन्छ। रेलमार्ग बनाउँदा सय मिटरसम्म बढीमा तीन मिटरको मात्रै उचाइ हुन सक्ने र सोभन्दा बढी भए रेल जान नसक्ने अन्तर्राष्ट्रिय तथा प्राविधिक अभ्यास छ। तसर्थ, ३ प्रतिशतभन्दा कम उकालो जान सक्ने गरी रेलमार्ग बनाउनुपर्ने भएकाले खोलामा पुल, पहाडमा सुरुङ र उकालो हुने अवस्थामा अनिवार्य लामो घुम्ती बनाउनुपर्छ। रसुवागढी सीमा नाकादेखि काठमाडौंसम्मको दूरी पनि ७२२५ किलोमिटर हुने प्रतिवेदनमा उल्लेख छ। रेलमार्गको ९८५ प्रतिशत खण्ड पुल तथा सुरुङमा रहनेछ। यसमा चार वटा स्टेसन रहनेछ भने सातवटा सुरुङमार्ग निर्माण गर्नु पर्नेछ। आयोजना सम्पन्न गर्न नौ वर्ष लाग्ने प्रतिवेदनमा उल्लेख छ। रेलमार्ग निर्माण गर्न करिब ३ खर्ब रुपैयाँ लाग्ने प्रारम्भिक अनुमान छ।"
