शीर्षक,विवरण
दोस्रो चरणमा प्रवेश आवश्यक,"स्वास्थ्य तथा जनसंख्या मन्त्रालयले नेपालमा दोस्रो संक्रमित व्यक्ति पुष्टि गरेसँगै मुलुकलाई महामारीको जोखिमबाट मुक्त गर्न सरकार र आम नागरिक थप चनाखो हुनुपर्ने भएको छ। फ्रान्सबाट कतार हुँदै चैत ४ मा नेपाल आएकी ती युवतीमा कोरोना भाइरसको संक्रमण भेटिएपछि उनीसँगै यात्रा गर्ने अरूमा पनि निगरानी बढाउनुपर्ने भएको हो। समयमै अन्तर्राष्ट्रिय उडान बन्द नगर्दा अरू पनि संक्रमित व्यक्ति भित्रिएका छन् कि भन्ने आशंका जन्माएको छ। भारतको छिमेकी सहर लखनउमा लन्डनबाट आफ्नो घर फर्केकी एक गायिका कनिका कपुरले १४ दिन एकान्तवास (सेल्फ आइसोलेसन) मा नबसी विभिन्न समारोह र भोजभतेरमा सहभागी हुँदा सिंगो सहर लकडाउनको स्थितिमा छ। विश्व स्वास्थ्य संगठनको प्रारम्भिक प्रतिवेदनले एउटा संक्रमित व्यक्तिले औसतमा २६ व्यक्तिलाई संक्रमित तुल्याउँछ र ती व्यक्तिहरूसँग भेटेका नयाँ १० जना मानिसबाट एक साता पनि नबित्दै ३५ सयभन्दा बढी जनसंख्यालाई संक्रमित तुल्याइदिन्छन्। त्यसपछि त परिस्थिति कल्पना बाहिर पुग्छ र महामारीको रूप लिन्छ। इटालीले त्यस्तै खराब अवस्थाको सामना गरिरहेको छ। विश्वका शक्तिशाली देशहरू र अझ खासगरी भन्ने हो भने प्रमुख आर्थिक शक्तिहरू यो महामारीसँग जुझ्न सकिरहेका छैनन्। नेपालले आफ्नो क्षमता र वस्तुस्थिति नियालेर रक्षात्मक उपाय अपनाउनु नै सबैभन्दा बुद्धिमानी हुन्छ। सरकारले केही अत्यावश्यक निर्णय लिएको छ। मुलुकका सीमानाका वस्तु आपूर्तिबाहेक मानिसहरूको आवतजावत बन्द गर्ने, अन्तर्राष्ट्रिय उडान बन्द गर्ने, लामो दूरीका सवारी रोक लगाउने र मानिसहरूलाई अत्यावश्यक अवस्थामा बाहेक घरबाहिर नजान, २५ जनाभन्दा बढी जम्मा नहुन गरेका आह्वान सकारात्मक छन्। अब ढिला नगरी थप कदम चाल्नुपर्छ। जति धेरै परीक्षण गर्यो, उति धेरै मानिसको जीवन जोगाउन सकिन्छ। कतार हुँदै आएकी ती युवतीमा संक्रमण देखिएको छ। एकछिनका लागि सोचौं कतार नेपालीको श्रम गन्तव्य मुलुक पनि हो। वैदेशिक रोजगारबाट फर्केका कति मानिस नेपाल फर्केर आफ्ना घरपरिवारकहाँ पुगिसकेका छन्। तिनले अरू कति यात्रु, आफन्त र साथीभाइ भेटे होलान्। अशुभ नसोचौं, सबै ठीकठाक होस्। तर हामी समयमै रक्षात्मक त हुनैपर्छ। अब एउटा संक्रमित व्यक्ति मात्रै हो भनी बस्ने बेला यो होइन। यतिबेलाको महत्वपूर्ण कदम भनेको दोस्रो चरणको सुरक्षा उपाय अपनाउने नै हो। संक्रमितका घरपरिवार त क्वारेन्टिनमा बसिसकेका छन्। अब उनीसँगै जहाजमा आउने अन्य यात्रुलाई पनि पहिचान गरी परीक्षण गरौं। त्यसपछि क्रमशः दैनिक धेरैभन्दा धेरै परीक्षण गर्दै उपचार गर्नेतर्फ लागौं। यसो गरे मात्र हामीले धेरैको जीवन जोगाउन सक्छौं। अत्यावश्यक स्वास्थ्य सेवा, विद्युत्, पानी, दैनिक उपभोग्य वस्तुबाहेक अन्य सेवा केही अवधिका लागि बन्द गर्नु नै बुद्धिमानी हुन्छ। यस्तो बेलामा राज्यलाई सहयोग गर्नु नागरिकको कर्तव्य हुन्छ। आफू जहाँ बसेको छ, त्यही बसौं। यात्रा र भेटघाट नगरौं। यात्रा र भेटघाट गर्नु भनेको अरू समस्या थप्नु हो। जति कम संक्रमित, त्यति छिटो समस्या नियन्त्रणमा लिन सहज हुन्छ भनी जर्मनीले दुईजनाभन्दा बढी मानिस आपसमा हिँडडुल गर्न, भेटघाट गर्नसमेत प्रतिबन्ध लगाएको छ। यो भाइरसले पद, प्रतिष्ठा, धनीमहाजन, गरिब, जात, धर्म, भूगोल केही भन्दैन। जर्मन चान्सलर एन्जेला मर्केल नै संक्रमित भएपछि एकान्तवासमा छिन्। कोरोना भाइरसको संक्रमण नियन्त्रण गर्न सबैभन्दा महत्वपूर्ण भूमिका नागरिककै हुन्छ। उनीहरूले मर्यादित र अनुशासित हुने हो भने सरकारलाई यो समस्या नियन्त्रण गर्न केही सहज हुने थियो। बाह्य मुलुकमा यात्रा गरेर फर्केका मानिसहरू अनुशासित भएर १४ दिन (परीक्षणकाल) मा एकान्तवासमा बसे पुग्छ। जस्तो चीनबाट फर्केका पूर्वराजदूत लीलामणि पौडेल, अस्ट्रेलियाबाट फर्केका गायक दीपक बज्राचार्य र उनको टोलीलगायत केही व्यक्ति मर्यादित भएर एकान्तवासमा छन्। यसरी आफू संयम भइदिँदा अरू संक्रमित हुनु पर्दैन। अरूले दुःख पाउनुपर्दैन भन्ने चेतना संक्रमणको सम्भावित जोखिममा रहेका व्यक्तिले अपनाउनु उत्तम हुन्छ।"
कोरोना रोकथाम उच्चस्तरीय समन्वय समिति बैठकका आठ निर्णय,"काठमाडौं : विश्वव्यापी संक्रमणको रुपमा फैलिएको कोरोना (कोभिड१९) भाइरस संक्रमणलाई रोक्न सरकारले सीमा बन्द गर्दा अलपत्र परेका नेपालीलाई एक पल्ट प्रवेशको मौका दिइएको छ। मंगलबार सिंहदरबारमा बसेको कोरोना भाइरस रोकथाम तथा नियन्त्रण उच्चस्तरीय समन्वय समिति बैठकले यस्तो निर्णय गरेको हो। नेपालभारत सीमा नाकामा अलपत्र नेपालीलाई अन्तिम पटक नेपाल प्रवेशको मौका दिने गरी यो निर्णय भएको हो। सरकारले स्वास्थ्य जाँचपछि नेपाल प्रवेश गर्नेले अनिवार्य क्वारेन्टाइनमा बस्नुपर्ने निर्णय गरेको सरकारका प्रवक्ता एवम् अर्थमन्त्री युवराज खतिवडाले जानकारी दिए। विशेषगरी दक्षिण नाकामा सयौंको संख्यामा भारतबाट फर्किएका नेपाली अलपत्र परेर समस्यामा परेका देखेका छौँ, खतिवडाले भने, यी नागरिकको पीडालाई देखेर हामीले अन्तिम पटक प्रवेशको मौका दिने निर्णय भएको छ। नेपाल प्रवेश भएपछि क्वारेन्टाइनमा राख्ने विषयमा प्रदेश सरकार र स्थानीय सरकारसँग समन्वय हुने मन्त्री खतिवडाको बताए। जनताको स्वास्थ्यका लागि सरकारले गरेको आह्वानलाई सबै नागरिकले अबलम्बन गरेको भन्दै मन्त्री खतिवडाले सबैलाई धन्यवादसमेत दिएका छन्। नाकामा अलपत्र नेपालीलाई अन्तिम पटक प्रवेशको मौका : १४ दिन क्वारेन्टाइनमा बस्नै पर्ने सरकारले शुक्रबारदेखि सीमा नाका बन्दको घोषणा गरेको थियो भने मंगलबारबाट पूरै देशभर लक डाउन गरेको छ। थप निर्णय जस्ताको तस्तै :"
कोरोना नियन्त्रणका कोषमा राप्रपाको पाँच लाख सहयोग,"काठमाडौं : सरकारले गठन गरेको कोरोना (कोभिड १९) भाइरस संक्रमण र नियन्त्रण कोषमा राष्ट्रिय प्रजातन्त्र पार्टी (राप्रपा)ले पाँच लाख सहयोग गरेको छ। मंगलबार राप्रपाले पाँच लाख उपलब्ध गराउने निर्णय गरेको हो। कोरोना भाइरसको प्रकोपलाई सामना गर्न नेपाल सरकारले गठन गरेको कोभिड१९ विशेष कोषमा राष्ट्रिय प्रजातन्त्र पार्टीले ५ लाख उपलब्ध गराउने निर्णय गरेको छ, राप्रपाको विज्ञप्तिमा भनिएको छ। त्यसैगरी यसअघि प्रमुख प्रतिपक्षी दल नेपाली कांग्रेसले ५० लाख दिने निर्णय गरेको छ।"
सैनिक फौज ब्यारेकमै,"काठमाडौं : जंगीअड्डाले कोरोना भाइरस संक्रमणबाट जोगिन सैनिक फौजलाई ब्यारेकभित्र लकडाउन गरेको छ। अत्यावश्यक कामबाहेक सैनिक फौज बाहिर निस्किँदैनन्। फौजीले खटिएको स्थानमा ड्युटी गरिरहेका छन्। कोरोना संक्रमण रोकथामका लागि फौजलाई खटिएको स्थानमै लकडाउन गरिएको हो। सैनिक प्रवक्ता विज्ञानदेव पाण्डेले कोरोना संक्रमणबाट जोगिन फौजलाई ब्यारेकभित्रै लकडाउन गरिएको बताए। कोरोना भाइरसको संक्रमणबाट जोगिन अधिकतम सतर्कता अपनाएका छौं, प्रवक्ता पाण्डेले अन्नपूर्णसँग भने, चिकित्सक टोलीलाई तैनाथी अवस्थामा राखेका छौं। जंगीअड्डाले चिकित्सकको टोली तयारी अवस्थामा राखेको छ। उनीहरूलाई आवश्यकताअनुसार अन्य सरकारी टोलीसँग समन्वय गरी खटाउने तयारी छ। जंगीअड्डाभित्र आधा सैनिक अधिकारी लकडाउन छन् भने बाँकी घरबाट काम गरिरहेका छन्। मुलुकभरका ब्यारेकभित्र रहेका सैनिक अधिकारीलाई बाहिर जान बन्देज लगाइएको छ। सर्वसाधारणलाई सैनिक ब्यारेकभित्र पस्न निषेध गरिएको छ। अत्यावश्यकबाहेक सैनिक अधिकारीको बिदा कटौती गरिएको छ। ब्यारेक हाताभित्रका वासस्थानमा खाटको दुरी कम्तीमा एक मिटर राख्ने व्यवस्था मिलाइएको छ। अनावश्यक भेटघाट र गतिविधि निषेध गरिएको छ। ब्यारेकबाहिर हुने सबै तालिम बन्द गरिएको छ। बिदा सकाएर फर्किएकाहरूलाई १४ दिन क्वारेन्टाइमा राखिनेछ। क्वारेन्टाइन बसेपछि मात्र उनीहरू अन्य फौजसँग मिसिनेछन्। जंगीअड्डाले भीड नहोस् भनेर झन्डै आधाजसो फौजलाई घरबाट काम गर्न भनेको छ। सेनाले कोरोना रोकथाम र सम्भावित महामारी रोक्न चिकित्सकसहितको टोली गठन गरेको छ। जंगीअड्डाले कोरोनाको जोखिम न्यूनीकरण गर्न सैनिक चिकित्सकसहित रथी तथा अन्य अधिकृतसहितको विशिष्ट टोली गठन गरेको हो। सेनाको यो टोलीले अन्य सरकारी निकायसँग समन्वय गर्नेछ। संक्रमण देखिए अन्य सरकारी निकायसँगको समन्वयमा सैनिक चिकित्सकको उक्त टोली फिल्डमा उत्रिनेछ। नेपाली सेनाका पृतनाहरूले मुलुकभर आइसोलेसन वार्ड र क्वारेन्टाइनस्थल बनाएका छन्। पूर्वी पृतनाले १ सय ५४ बेडको आइसोलेसन वार्ड र ४ सय ४० बेडको क्वारेन्टाइनस्थल बनाएको छ। मध्य पूर्वी पृतनाले १ सय ९ आइसोलेन वार्ड र २ सय १ क्वारेन्टाइनस्थल बनाएको छ। मध्य पृतनाले १ सय ८७ बेडको आइसोलेसन वार्ड र ३ सय ५८ बेडको क्वारेन्टाइनस्थल बनाएको छ। पश्चिम पृतनाले ६४ बेडको आइसोलेसन वार्ड र ५९ बेडको क्वारेन्टाइनस्थल, मध्यपश्चिम पृतनाले १ सय २५ बेड क्षमताको आइसोलेसन वार्ड र २ सय ४१ बेडको क्वारेन्टाइन, उत्तरपश्चिम पृतनाले ७७ बेडको आइसोलेसन वार्ड र २ सय ६० बेडको क्वारेन्टाइन बनाएका छन्। सुदुरपश्चिम पृतनाले १३ बेडको आइसोलेसन र ५२ बेडको क्वारेन्टाइन बनाएको सेनाले जनाएको छ। उपत्यका पृतनाले ७० वटा बेडको आइसोलेसन वार्ड बनाएको छ। सेनाले मातहतलाई कोरोना रोकथाम र नियन्त्रणबारे विभिन्न युनिटमा प्रशिक्षणका कार्यक्रम सञ्चालन गरिरहेको छ। सरकारले सीमा क्षेत्रमा स्थापना गरेको हेल्थ डेस्क र चिकित्सकको सुरक्षाका लागि सैनिक टोली परिचालित छ। प्रदेश सरकारसँगको समन्वयमा सेनाले सातै प्रदेशमा क्वारेन्टाइन र आइसोलेसन वार्ड तयार पारेको हो। कोरोना भाइरसको रोकथाम तथा न्यूनीकरणका लागि राष्ट्रिय सेवा दलबाट तालिम लिएका विद्यार्थीलाई सचेतना फैलाउन स्वयंसेवकका रूपमा परिचालन गरेको छ। सेनाले पर्सनल प्रोटेक्टिभ इक्युपमेन्ट (पीपीई), मास्क, पञ्जा, स्यानिटाइजर उत्पादन सुरु गरेको छ। सेनाले मातहतलाई पञ्जा, स्यानिटाइजर उपलब्ध गराएको छ। उसले आवश्यकताबाहेकका विभिन्न समारोह, कार्यक्रम, दैनिक हुने पिटी परेडमा पनि उच्च सतर्कता अपनाएको छ। विशेष परिस्थिति र आवश्यकताअनुसार जंगीअड्डाले मातहतलाई बिदामा छाड्ने व्यवस्था मिलाएको छ। कोरोना संक्रमण रोकथाम र नियन्त्रणका लागि संक्रमितको उपचार गर्न सदैव तयार रहेको नेपाली सेनाले जनाएको छ।"
"नेपाल एक्लो हुनेछैन, चीन साथमै छ","काठमाडौं : नेपालका लागि चिनियाँ राजदूत होउ यान्छीले कोभिड१९ कोरोना भाइरसको महामारीसँग लड्न चीन सदैव नेपालको साथमा रहेका बताएकी छिन्। सोमबार राति ट्विट गर्दै यान्छीले नेपालमा चिकित्सा सामग्री सयोग पुर्याउने प्रयास भइरहेको जानकारी दिएकी छिन्। उनले नेपाली र अंग्रेजी दुवै भाषमा ट्विट गर्दै लेखेकी छिन् हामी नेपालीहरुका लागि प्रार्थना गर्छाैँ, नेपालका हाम्रा साथीहरुलाई मेडिकल सामग्री सहयोग गर्नका लागि सक्दो प्रयास भइरहेको छ'। चीनको हुपई प्रान्तको वुहान सहरबाट सुरु कोरोना भाइरस अहिले विश्वभर फैलिएको छ। ठूलो प्रयासपछि चीनले भने अहिले भाइरसको महामारीलाई लगभग नियन्त्रण गरिरहेको छ। अहिले अति प्रभावित देशमा सहयोग पुर्याउन लागिपरिरहेको छ।"
प्रदेश १ मा १० करोडको कोरोना रोकथाम कोष,काठमाडौं : विश्वव्यापी त्रासको रुपमा फैलिएको कोरोना (कोभिड१९) भाइरसको रोकथामाका लागि प्रदेश नम्बर १ सरकारले १० करोडको कोष खडा गरेको छ। मंगलबार प्रदेश सरकारले १० करोडको कोष निर्माण गर्ने निर्णय गरेको हो। यसलाई प्रदेश नम्बर १ कोरोना जनसुरक्षा कोष नाम दिइएको छ। कोषमा प्रदेश सरकारले १० करोड जम्मा गरेको छ। उक्त कोषमा मुख्यमन्त्री शेरधनराईसहति मन्त्री रा राज्यमन्त्रीले एक महिनाको पारिश्रमिक जम्मा गर्ने निर्णय भएको छ।
नाकामा अलपत्र नेपालीलाई अन्तिम पटक प्रवेशको मौका : १४ दिन क्वारेन्टाइनमा बस्नै पर्ने,"काठमाडौं : विश्वव्यापी संक्रमणको रुपमा फैलिएको कोरोना (कोभिड१९) भाइरस संक्रमणलाई रोक्न सरकारले सीमा बन्द गर्दा अलपत्र परेका नेपालीलाई एक पल्ट प्रवेशको मौका दिइएको छ। कोरोना भाइरस रोकथाम तथा नियन्त्रण उच्चस्तरीय समन्वय समिति बैठकले नेपालभारत सीमा नाकामा अलपत्र नेपालीलाई अन्तिम पटक नेपाल प्रवेशको मौका दिने निर्णय गरेको हो। सरकारले नेपाल प्रवेश गरेकालाई अनिवार्य १४ दिन क्वारेन्टाइनमा बस्ने शर्तसहित प्रवेशको अनुमति दिने निर्णय गरेको हो। सरकारले स्वास्थ्य जाँचपछि नेपाल प्रवेश गर्नेले अनिवार्य क्वारेन्टाइनमा बस्नुपर्ने निर्णय गरेको सरकारका प्रवक्ता एवम् अर्थमन्त्री युवराज खतिवडाले जानकारी दिए। विशेषगरी दक्षिण नाकामा सयौँका सङ्ख्यामा भारतबाट फर्किएका नेपाली अलपत्र परेर समस्यामा परेका देखेका छौँ, खतिवडाले भने, यी नागरिकको पीडालाई देखेर हामीले अन्तिम पटक प्रवेशको मौका दिने निर्णय भएको छ। नेपाल प्रवेश भएपछि क्वारेन्टाइनमा राख्ने विषयमा प्रदेश सरकार र स्थानीय सरकारसँग समन्वय हुने मन्त्री खतिवडाको बताए। जनताको स्वास्थ्यका लागि सरकारले गरेको आह्वानलाई सबै नागरिकले अबलम्बन गरेको भन्दै मन्त्री खतिवडाले सबैलाई धन्यवादसमेत दिएका छन्। सरकारले शुक्रबारदेखि सीमा नाका बन्दको घोषणा गरेको थियो भने मंगलबारबाट पूरै देशभर लकडाउन गरेको छ।"
कोरोना जोखिम सामना कोष : प्रतिपक्षी कांग्रेसले दियो ५० लाख,"काठमाडौं : सरकारले कोरोना भाइरसको जोखिम सामना गर्न बनाएको कोषमा प्रमुख प्रतिपक्षी दल नेपाली कांग्रेसले ५० लाख सहयोग गर्ने भएको छ। सरकारले बनाएको कोषमा पार्टीले ५० लाख दिने निर्णय गरेको कांग्रेस प्रवक्ता विश्वप्रकाश शर्माले जानकारी दिए। नेपाल सरकारले निर्माण गरेको कोषमा प्रमुख प्रतिपक्षी दल नेपाली कांग्रेस पार्टीका तर्फबाट पचास लाख रुपैयाँ एकमुष्ट जम्मा गर्ने निर्णय भएको छ, प्रवक्ता शर्माले भने। यसअघि नै कांग्रेसका संघीय सांसदले कोषमा १५ दिनको तलब दिने निर्णय भएको थियो। प्रवक्ता शर्माले कोरोनाविरुद्धको संघर्षमा सबै एक साथ रहेको भन्दै सरकारले निर्माण गर्ने कोषमा पार्टीको तर्फबाट एकमुष्ट ५० लाख रुपैयाँ दिने निर्णय भएको प्रष्ट पारे। आइतबार प्रधानमन्त्री निवास बालुवाटारमा बसेको मन्त्रिपरिषद् बैठकले कोरोनाको सम्भावित संक्रमणबाट बच्न र आवश्यक सामग्री खरिद गर्न प्रधानमन्त्री कार्यालयले व्यवस्थापन गर्ने गरी केन्द्रीय कोष खडा गर्ने निर्णय गरेको थियो। कोषमा सरकारले ५० करोड राख्ने र मन्त्रीले एक महिनाको तलब योगदान गर्ने निर्णय भइसकेको छ। कोषले कोरोना नियन्त्रणका लागि आवश्यक औषधि, उपकरण खरिददेखि क्वारेन्टाइन व्यवस्थापनको काम गर्नेछ। सरकारले एक साताका लागि भारत र चीनसँगका सबै नाका बन्द गर्दै देशभर लकडाउन गरेको छ।"
आजबाट नेपाल एक साता लकडाउन,"काठमाडौं : सरकारले अन्ततः देशै लकडाउन गरेको छ। मंगलबार बिहान ६ बजेदेखि लागू हुने गरी चैत १८ गते बिहान ६ बजेसम्म लकडाउन गर्ने निर्णय सरकारले गरेको हो। यससँगै अब एक साताका लागि सर्वसाधारण घरबाट बाहिर निस्किन पाउनेछैनन्। सरकारले यो निर्णय आइतबारको मन्त्रिपरिषद् बैठकबाटै गरेको र त्यसको सार्वजनिकीकरण मात्र सोमबार गरिएको सरकारका प्रवक्ता तथा अर्थमन्त्री डायुवराज खतिवडाले जानकारी दिए। कोरोना संक्रमण फैलने सम्भवना देखिएकाले संक्रमण रोग ऐन २०२० को दफा २ को अधिकार प्रयोग गरी रोग रोकथाम र निर्मूलका लागि यो निर्णय लिइएको मन्त्री डा खतिवडाले बताए। यो एकप्रकारले सरकारको आदेश हो। आइतबारकै मन्त्रिपरिषद् बैठकले गरेको निर्णय थियो, आज मात्र हामीले सार्वजनिक गरेका हौं, उनले भने, कोरोना संक्रमण रोकथाम र नियन्त्रणका लागि पनि अब यसलाई हामी सबैले लागू गर्नुपर्छ। लकडाउनपछि सुनसान देखिएको सिंहदरबार रामशाहपथ सडक। तस्बिर : दीपेन श्रेष्ठ विश्वव्यापी महामारीका रूपमा फैलिएको कोरोना संक्रमण (कोभिड१९) रोकथाम र नियन्त्रणका लागि सरकारले यस्तो कदम उठाएको हो। यो निर्णयपछि अब सुरक्षाकर्मी, स्वास्थ्यकर्मी र अत्यावश्यक सेवाका अनुमतिप्राप्त कर्मचारीबाहेक अन्यले घरबाहिर निस्किन पाउँदैनन्। त्यसबाहेकका कर्मचारीलाई भने कार्यालय प्रमुखले आवश्यकताका आधारमा बोलाउने गरी घरघरमै अलर्ट अवस्थामा राख्ने गरी बिदा दिने निर्णय पनि भएको उनले सुनाए। लकडाउनपछि निजी तथा सार्वजनिक सवारी साधन पनि चल्न बन्द हुनेछन् भने आन्तरिक हवाई उडान बन्द हुनेछन्। लामो दूरीका सवारी साधन र अन्तर्राष्ट्रिय हवाई उडान भने सरकारले यसअघि नै बन्दको घोषणा गरेको थियो। सोमबार मात्रै नेपालसँग सीमा जोडिएको अन्तर्राष्ट्रिय नाका उत्तरी चीनतर्फका २ वटा मोटरेबल र अरू चारवटा गरी ६ र दक्षिण भारततिरका ३९ वटा मोटरेबल र १ सय २५ वटा आउजाउ गर्न मिल्ने गरी कुल १ सय ६४ वटै नाका पनि सिल गरेको थियो। लकडाउनपछि सुनसान बनेको तिनकुने सडक। तस्बिर : अन्नपूर्ण पर्यटनमन्त्री योगेश भट्टराईका अनुसार सरकारको यो निर्णयपछि अब सुरक्षाकर्मी, स्वास्थ्यकर्मी र अत्यावश्यक सेवाका कर्मचारी मात्र हिँड्न पाउनेछन्। अन्यका लागि घरभित्रै बस्नुपर्ने हुन्छ। फ्रान्सबाट दोहा कतार हुँदै गत चैत ४ गते नेपाल आएकी एक १९ वर्षीया किशोरीलाई कोरोना भाइरस पोजिटिभ देखिएपछि सरकार नेपाललाई लकडाउन गर्ने निर्णयमा पुगेको हो। निर्णय सार्वजनिक गर्नुअघि सोमबारै उपप्रधान तथा रक्षामन्त्री ईश्वर पोखरेलको संयोजकत्वमा रहेको कोभिड१९ संक्रमण रोकथाम तथा नियन्त्रण उच्चस्तरीय समिति बैठकले कोरोना भाइरससँग सम्बन्धित व्यक्ति, उपचारमा संलग्न स्वास्थ्यकर्मी, संक्रमति व्यक्तिलगायतले पालना गर्नुपर्ने विधि, सुरक्षित उपाय अपनाउन प्रयोग गरिने तयारीका विषयमा केन्द्रित हुने गरी क्वारेन्टाइन व्यवस्थापन मापदण्ड २०७६ स्वीकृति गरेको मन्त्री खतिवडाले बताए। सरकारले सोमबार साँझदेखि काठमाडौं बलम्वुस्थित सशस्त्र प्रहरीको अस्पताललाई सञ्चालनमा ल्याएको छ। उक्त अस्पताललाई सरकारले डेडिकेटेट अस्पतालका रूपमा सञ्चालन गर्ने आइतबारको मन्त्रिपरिषद् बैठकबाट निर्णय लिएको थियो। सेनाको चिकित्सकको संयोजकत्वमा नेपाल प्रहरी, सशस्त्र प्रहरी र आवश्यकताअनुसार सरकारी, सामुदायिक निजी क्षेत्रका चिकित्सक स्वास्थ्यकर्मी परिचालन गरी सोमबारदेखि नै उक्त अस्पताल सञ्चालनमा ल्याउने निर्णय सरकारले गरेको छ, मन्त्री खतिवडाले भने, यसका लागि रक्षा मन्त्रालय, गृह मन्त्रालय, परराष्ट्र र अर्थ मन्त्रालयले आवश्यक समन्वय गर्ने निर्णय भएको छ। के गर्न पाँइदैन ? औषधि उपचार, खाद्य वस्तु खरिदजस्ता अत्यावश्यक काममा बाहेक कोही पनि घरबाट बाहिर निस्कन पाउँदैनन्। अनुमतिप्राप्त सवारी साधन, स्वास्थ्यकर्मी र सुरक्षाकर्मीले प्रयोग गर्ने सवारी साधनबाहेक सबै सार्वजनिक या निजी यात्रुवाहक सवारी साधन सञ्चालनमा पूर्ण रोक लाग्नेछ। सुरक्षा निकायबाट प्रयोग हुने वायुयान तथा तोकिएका अन्य उडानबाहेक अन्य सबैै आन्तरिक व्यावसायिक उडान बन्द हुनेछन्। स्वास्थ्य सुरक्षा, खाद्यवस्तु, दूध, खानेपानी, विद्युत्, दूरसञ्चार, सूचना तथा सञ्चार, भन्सार क्वारेन्टाइन, फोहोरमैला व्यवस्थापनजस्ता अति आवश्यक सेवावाहेक अन्य कार्यालय सञ्चालनका लागि आवश्यक पर्ने कर्मचारी मात्र उपस्थित हुने व्यवस्था गरी अन्य कर्मचारीलाई आवश्यक परेको बखत तत्काल उपस्थित हुने गरी सम्बन्धित कार्यालय प्रमुखले बिदा दिने। औषधि तथा स्वास्थ्य उपकरण, खाद्यवस्तु, खानेपानी, दूध, इन्धन उत्पादन गर्ने उद्योगबाहेक निजी क्षेत्रमा सञ्चालित उद्योग कलकारखानामा काम गर्ने श्रमिक कर्मचारीलाई सम्बन्धित उद्योगले बिदा दिने व्यवस्था मिलाउने। व्यवसायीले औषधि र औषधिजन्य सामग्रीको नियमित आपूर्तिको व्यवस्था गर्ने। अभाव देखाई मूल्यवृद्धि गर्ने वा कालोबजारी गर्ने, लुकाउनेलाई प्रचलित कानुनबमोजिम नियन्त्रणमा लिने, सामग्री जफत गर्ने गरी रोगको रोकथाम र उपचारको काममा उपयोग गर्ने। संक्रामक रोगको ऐन २०२० को दफा २ को उपदफा २ मा जारी आदेशको कार्यान्वयन मिलाउन सबै प्रमुख जिल्ला अधिकारीलाई स्थानीय ऐन २०२८ को पनि आवश्यकताका आधारमा प्रयोग गर्न पाउने। अपहेला गर्ने वा काममा बाधा पुर्याउनेलाई सोही ऐनबमोजिम सजाय गर्ने।"
नाकामा अलपत्र नेपालीलाई अन्तिम पटक प्रवेशको मौका : १४ दिन क्वारेन्टाइनमा बस्नै पर्ने,"काठमाडौं : विश्वव्यापी संक्रमणको रुपमा फैलिएको कोरोना (कोभिड१९) भाइरस संक्रमणलाई रोक्न सरकारले सीमा बन्द गर्दा अलपत्र परेका नेपालीलाई एक पल्ट प्रवेशको मौका दिइएको छ। कोरोना भाइरस रोकथाम तथा नियन्त्रण उच्चस्तरीय समन्वय समिति बैठकले नेपालभारत सीमा नाकामा अलपत्र नेपालीलाई अन्तिम पटक नेपाल प्रवेशको मौका दिने निर्णय गरेको हो। सरकारले नेपाल प्रवेश गरेकालाई अनिवार्य १४ दिन क्वारेन्टाइनमा बस्ने शर्तसहित प्रवेशको अनुमति दिने निर्णय गरेको हो। सरकारले स्वास्थ्य जाँचपछि नेपाल प्रवेश गर्नेले अनिवार्य क्वारेन्टाइनमा बस्नुपर्ने निर्णय गरेको सरकारका प्रवक्ता एवम् अर्थमन्त्री युवराज खतिवडाले जानकारी दिए। विशेषगरी दक्षिण नाकामा सयौँका सङ्ख्यामा भारतबाट फर्किएका नेपाली अलपत्र परेर समस्यामा परेका देखेका छौँ, खतिवडाले भने, यी नागरिकको पीडालाई देखेर हामीले अन्तिम पटक प्रवेशको मौका दिने निर्णय भएको छ। नेपाल प्रवेश भएपछि क्वारेन्टाइनमा राख्ने विषयमा प्रदेश सरकार र स्थानीय सरकारसँग समन्वय हुने मन्त्री खतिवडाको बताए। जनताको स्वास्थ्यका लागि सरकारले गरेको आह्वानलाई सबै नागरिकले अबलम्बन गरेको भन्दै मन्त्री खतिवडाले सबैलाई धन्यवादसमेत दिएका छन्। सरकारले शुक्रबारदेखि सीमा नाका बन्दको घोषणा गरेको थियो भने मंगलबारबाट पूरै देशभर लकडाउन गरेको छ।"
