शीर्षक,विवरण
ज्याला मजदूरीको मार सम्बोधन,"कोरोना भाइरस फैलन नदिन थप रक्षात्मक कदम अपनाउँदै एक साताका लागि देशव्यापी बन्दाबन्दी (लकडाउन) घोषणा भएको छ। महामारी फैलिंदै गर्दा लकडाउन गर्नैपर्ने वाध्यात्मक स्थिति थियो। अत्यावश्यक सेवाका स्वास्थ्यकर्मी, सुरक्षाकर्मी, विद्युत्, पानी, फोहोरमैला संकलन, भन्सार तथा क्वारेन्टीन बाहेकका सबै सेवा तथा व्यवसाय बन्द भएका छन्। पहिलो एक साताका लागि घोषणा भएको बन्दाबन्दी अवस्था हेरेर सरकारले पुनः थप गर्न समेत सक्छ। अथवा, सरकारले थप नगरे पनि उद्यम, व्यवसाय सामान्य अवस्थामा फर्कन अझै लामो समय लाग्ने देखिन्छ। यस्तो अवस्थामा निम्न आय भएका वा ज्यालादारीबाट जीवन गुजारा गर्नेहरुको जीवन संकटमा परेका हुन सक्छन्। आर्थिक गतिविधि ठप्प भएपछि दैनिक ज्याला मजदूरीमा काम गर्नेहरुको रोजीरोटी सबैभन्दा पहिला बन्द भएको छ। एक जना ज्याला मजदूरी गर्नेसँग आश्रित उसको जहान परिवार, बालबच्चा, वृद्धवृद्धा समेत भोकै पर्नुपर्ने बाध्यतामा छन्। उनीहरु रोगबाट भन्दा भोकबाट प्रताडित हुनुपर्ने स्थितिमा परेका हुन सक्छन्। एकातिर कोरोना भाइरसको महामारीसँग जुझ्न शरिरमा रोग प्रतिरोधी क्षमता बलियो बनाउनुपर्ने समय छ। अर्कोतिर मानिसहरु दुई छाक हातमुख जोर्न पनि गाह्रो पर्ने अवस्था आँखै अगाडि छ। यस्तो पीडा हामी कहाँमात्र होइन, कोरोना भाइरसको महामारी सामना गरिरहेका सबैजसो मुलुकमा व्याप्त छ। मंगलबार बिहानदेखि सामाजिक सञ्जालमा एउटा भिडियो भाइरल भइरहेको छ, टर्कीका सडकमा मानिसहरुले खानाका प्याकेटहरु (ड्राइ फुड) राखिदिएका छन्। ताकि अत्यावश्यक पर्ने मानिसहरुले सहजै खानेकुरा पाऊन् र त्यहाँ भोकमरी नलागोस्। यो त परोपकारका लागि केही मानिसहरुले गरेको कामको एउटा उदाहरण भयो। तर अन्य देशहरुमा सरकारले आर्थिक राहतका योजनाहरु अघि सारिरहेको छ। अर्थतन्त्र बचाउने, रोजगारी कायम राख्ने, गरिबी र भोकमरी बढ्न नदिने उद्देश्यले यस्ता राहतका प्याकेजहरु आएका छन्। हामीकहाँ सरकारले राहत प्याकेजका लागि तयारी गरिरहेको भन्ने सुनिन्छ तर अझसम्म कुनै पनि राहतका कार्यक्रम सार्वजनिक गरिएको छैन। कोरोना भाइरसका कारण बढीजसो सहरी क्षेत्र आक्रान्त छन्। सहरी क्षेत्रमै गरिबीको दर बढी छ। दैनिक ज्याला मजदुरीमा जीवन निर्वाह गर्नेहरु रहने भएकाले लुप्त गरिबी पनि सहरमै बढी छ। यस्तो अवस्थामा तिनलाई सम्बोधन गर्ने यथोचित् उपाय सरकारले लिनुपर्छ। सरकारका सामु एकातिर नागरिकको जीवन रक्षा गर्नुपर्ने काम छ भने अर्कोतिर तिनको गुजारा चल्ने विकल्प पनि दिनुपर्ने चुनौती बढेको छ। भोलि धेरै मानिसहरु क्वारेन्टिनमा बस्नुपर्ने अवस्थामा तिनलाई के खुवाउने भनेर सोच्नुपर्ने अवस्था छ। सरकारले आइतबारको मन्त्रिपरिषद्को बैठकबाट कोरोनाविरुद्धको कोष स्थापना गरेको छ। उक्त कोषमा दुई दिनमै ८ करोड रुपैयाँभन्दा बढी संकलन भइसकेको अनुमान गरिएको छ। कोषको आकार बढ्दो क्रममा छ। कोषमै योगदान गर्नेमध्येका एक पूर्व अर्थसचिव रामेश्वरप्रसाद खनालले भनेका छन्, कोषको प्रयोग रोजगारी गुमाएका दैनिक ज्यालादारीमा काम गर्नेलाई राहत दिन प्रयोग गरिदिए हुन्थ्यो। कोषमा योगदान गर्ने अन्य धेरै व्यक्ति तथा संस्थाहरुले आपत्मा पर्नेले सहयोग पाओस् भन्ने सदिक्षा राखेका छन्। त्यसकारण सरकारले स्थापना गरेको यो कोषलाई कोरोनाका बिरामीको उपचारसँगै आर्जनको बाटो खोसिएका ज्यालामजदूरी गर्नेलाई राहत दिनका लागि समेत प्रयोग गर्न सकिने उद्देश्यले सञ्चालन गर्नुपर्ने हुन्छ। हुँदाखाने र गरिबलाई यस्तो समय चुनौतीका पहाडले थिचिदिन्छन्। तिनका लागि बोलिदिने, तिनको आवाज सुनिदिने परोपकारी कमै हुन्छन्। फेरि एकादुईले दुईचार जनालाई उपकार गरेर समस्याको समाधान पनि त हुँदैन। त्यसकारण सरकारले उनीहरुको आवाज सुन्नुपर्छ। यो आवाज सरकारसम्म पुगिरहेको जस्तो देखिदैंन। सरकारले अन्य धेरै व्यवस्थापनमा अल्झनुपर्दा यो पाटोमा सोच्न या यसका लागि गृहकार्य गर्न नभ्याएको हुनसक्छ। तर ज्यालामजदूरीमा जीवन निर्वाह गर्ने अतिविपन्नका समस्यालाई अन्देखा गर्न भने मिल्दैन। तसर्थ, यथाशक्य छिटो ज्यालामजदूरीमा बाँच्नेले खेपिरहेको मारलाई सरकारले सम्बोधन गर्नुपर्छ।"
कोरोना रोकथाम तथा नियन्त्रण समितिका १२ निर्णय,"काठमाडौं : कोरोना (कोभिड १९) भाइरस संक्रमण रोकथाम तथा नियन्त्रण उच्चस्तरीय समन्वय समितिको बैठकले बुधबार एक दर्जन महत्वपूर्ण निर्णय गरेको छ। बुधबार दिउँसो रक्षा मन्त्रालयस्थित पुतली बगैचामा समितिका संयोजक उपप्रधान तथा रक्षामन्त्री ईश्वर पोखरेलको अध्यक्षतामा बसेको बैठकले लकडाउनपछिको अवस्थाको समीक्षा गर्दै विभिन्न निर्णय गरेको हो। समितिले गरेका १२ निर्णय १स्वास्थ्य तथा जनसंख्या मन्त्रालय र कृषि तथा पशुपन्छी विकास मन्त्रालयको स्वास्थ्य सम्बन्धी प्रोटोकल पालना गरी चीनतर्फका रसुवागढी र तातोपानी नाकाबाट मालसामान आयात निर्यात कार्य सुचारु गर्ने। यससम्बन्धी आवश्यक समन्वय गृह मन्त्रालय र अर्थ मन्त्रालयले गर्ने। २अति आवश्यक बैंकिङ सेवा गृह मन्त्रालय र अर्थ मन्त्रालयको समन्वयमा सुचारु गर्ने। ३औषधि, खाद्यवस्तु, पानी, दूध, फलफूल, तरकारी, पशुपन्छी र माछाको दाना, कुखुराका चल्ला ढुवानी गर्ने र फर्केर जाने सवारी साधनलाई सुचारु गर्ने। यस्ता सवारी साधनले यात्रु ओसारपसार गर्न नपाउने। ४औषधि उत्पादन, ग्याँस बोटलिङजस्ता कार्यमा संलग्न हुने श्रमिकहरूलाई कार्यस्थलसम्म आउन जानका लागि सम्बन्धित उत्पादक संस्थाले सवारी साधनको व्यवस्था गर्ने। गृह मन्त्रालयले सो सवारी साधनका लागि आवश्यक अनुमति दिने। ५ ठूला खाद्य स्टोर तथा पसलहरूले आवश्यक खाद्यवस्तुहरू होम डेलिभरी गर्ने व्यवस्था मिलाउने। यसका लागि गृह मन्त्रालयले सीमित संख्याका सवारी साधनलाई अनुमति दिने। ६स्थानीय तहले वडास्तरमा दूध, तरकारी, फलफूल लगायत अन्य खाद्यवस्तु बिक्री वितरण गर्ने पसलहरूमा भीडभाड नहुने, मास्क र स्यानिटाइजरको प्रयोग गर्ने र ग्राहकहरूबीच भौतिक दूरी कायम हुने गरी सञ्चालन गर्न सहजीकरण गर्ने। ७अति आवश्यक परी खाद्यान्न ढुवानी गर्नुपरेमा गृह मन्त्रालय, संस्कृति, पर्यटन तथा नागरिक उड्डयन मन्त्रालय र उद्योग, वाणिज्य तथा आपूर्ति मन्त्रालयको समन्वयमा हवाई ढुवानी गर्ने व्यवस्था मिलाउने। ८इन्डक्सन चुल्हो प्रयोग गर्न प्रोत्साहन दिन अर्थ मन्त्रालय, ऊर्जा, जलस्रोत तथा सिंचाइ मन्त्रालय र उद्योग, वाणिज्य तथा आपूर्ति मन्त्रालयले समन्वय गरी विद्युत महसूल र भन्सार महसूल छूट दिने व्यवस्था मिलाउने। ९गृह मन्त्रालय र संस्कृति, पर्यटन तथा नागरिक उड्डयन मन्त्रालयको स्वीकृतिमा नेपालका विभिन्न स्थानहरूमा रहेका विदेशी नागरिकहरूलाई हवाई उद्धार गरी काठमाडौं ल्याई त्रिभुवन अन्तर्राष्ट्रिय विमानस्थलबाट आफ्नो देश फर्की जान सहजीकरण गर्ने। यसरी ल्याइएका विदेशीहरूलाई विमानस्थलबाटै आफ्नो देश फर्की जाने उडानको समय नमिलेको अवस्थामा सो अवधिभर विमानस्थल नजिकको होटेलमा निजहरूकै खर्चमा क्वारेन्टाइनमा राख्ने। १०स्थानीय तहहरूले आआफ्नो क्षेत्रभित्रका वडाहरूमा तेस्रो मुलुक र भारतबाट आएका व्यक्तिहरूको स्वास्थ्यसम्बन्धी विवरणसहितको अभिलेख प्रत्येक दिन अद्यावधिक गर्ने। स्थानीय स्वास्थ्य संयोजकले कोभिड१९ को लक्षण देखिएका व्यक्तिहरूको विवरण प्रत्येक दिन प्रमुख जिल्ला अधिकारीलाई उपलब्ध गराउने। यस्तो विवरण प्रमुख जिल्ला अधिकारीले राष्िट्रय आपत्कालीन कार्यसञ्चालन केन्द्रमा र सो केन्द्रले आपत्कालीन स्वास्थ्य कार्यसञ्चालन केन्द्रमा प्रत्येक दिन साँझ ६ बजेभित्र पठाउने। ११प्रदेश र स्थानीय तहहरूले क्वारेन्टाइनको व्यवस्था गरी सञ्चालन गर्ने व्यवस्था मिलाउने। १२सञ्चार तथा सूचना प्रविधि मन्त्रालयले प्रधानमन्त्री तथा मन्त्रिपरिषद्को कार्यालय, गृह मन्त्रालय र स्वास्थ्य तथा जनसंख्या मन्त्रालयमा ४ अंकको टोल फ्री टलिफोन सेवा जडान गर्ने व्यवस्था मिलाउने।"
घरभित्रै बस्न राष्ट्रपति र प्रधानमन्त्रीको आग्रह,"काठमाडौं : राष्ट्रपति विद्यादेवी भण्डारी र प्रधानमन्त्री केपी ओलीले सर्वसाधारणलाई घरभित्रै बसिदिन आह्वान गरेका छन्। विश्वव्यापी महामारीको रूपमा फैलँदै गरेको कोरोना भाइरस (कोभिड १९) को रोकथाम र नियन्त्रणका लागि सर्वसाधारणलाई घरभित्रै बसिदिन राष्ट्रपति र प्रधानमन्त्रीले बुधबार आह्वान गरेका हुन्। राष्ट्रपति भण्डारीले बुधबार एक सन्देश जारी गर्दै सरकारका आधिकारिक निकायले जारी गरेका निर्देशन एवं आचारसंहिता पालना गर्दै घरमै बसेर आफू र आफ्नो परिवारको अमूल्य जीवनको रक्षा गर्न आह्वान गरेकी हुन्। उनले कोरोनाको रोकथाम तथा नियन्त्रणका लागि नेपाल सरकारले चैत ९ देखि २१ गतेसम्म मुलुकभर अत्यावश्यकबाहेक सबै सेवा र हाललाई अन्तर्राष्ट्रिय सीमानाकासमेत बन्द गर्ने निर्णयबाट आमजनताको दैनिक जीवनमा केही कठिनाइ भए पनि सरकारको सुझबुझपूर्ण र सामयिक निर्णयलाई सबैले गम्भीरतापूर्वक आत्मसात् गर्नुपर्ने बताएकी छन्। कोरोना भाइरसको संक्रमण रोक्न सामाजिक दूरी कायम गर्दै सरसफाइसहित घरमा बस्नु नै उत्तम विकल्प हुने कुरामा पुनः जोड दिन चाहन्छु, राष्ट्रपति भण्डारीले सन्देशमा भनेकी छन्। उनले नेपाल सरकारद्वारा कोरोनाको संक्रमण रोक्नका लागि लागू गरिएको लकडाउनको अवधिमा घरमै बस्नुपरेको अवस्थालाई सिर्जनात्मक, रचनात्मक र उत्पादनमूलक बनाउन ध्यानाकर्षणसमेत गराएकी छन्। उनले यस समयलाई सबैले मुलुकको अर्थतन्त्रलार्ई स्वावलम्बी र आत्मनिर्भर बनाउनका लागि के गर्न सकिन्छ भन्ने विषयमा अध्ययन, अनुसन्धान र चिन्तन मनन गर्ने काममा सदुपयोग गर्न पनि सुझाव दिएकी छन्। राष्ट्रपतिले यस घडीमा संयमित बन्दै घातक भाइरसविरुद्धको अभियानलाई सुदृढ तुल्याएर अमूल्य मानव जीवनको रक्षार्थ सम्बद्ध सबै पक्षलाई आआफ्नो ठाउँबाट क्रियाशील हुन आह्वानसमेत गरेकी छन्। उनले कोरोनाविरुद्ध लड्न स्वास्थ्यसम्बन्धी भौतिक पूर्वाधार तथा प्राविधिक तयारीसहित आवश्यक प्रबन्ध मिलाउन संघ तथा प्रदेश सरकार, जिल्ला समन्वय समिति, नगरपालिका र गाउँपालिकाबीच सुदृढ समन्वय कायम हुनुपर्ने भन्दै त्यसका लागि सम्बद्ध सबै पक्षको ध्यानाकृष्टसमेत गराएकी छन्।प्रधानमन्त्री भन्छन्, घरभित्रै बसिदिनुसप्रधानमन्त्री केपी ओलीले पनि देशवासीलाई घरभित्रै बसिदिन आग्रह गरेका छन्। आफूले पनि निवासबाटै सरकार सञ्चालन गरिरहेको भन्दै प्रधानमन्त्री ओलीले सर्वसाधारणलाई पनि घरभित्रै बसिदिन आग्रह गरेका हुन्। मिर्गौला पुनः प्रत्यारोपणपछि आफ्नै सरकारी निवास बालुवाटारमा स्वास्थ्यलाभ गरिरहेका प्रधानमन्त्री ओलीले बुधबार सामाजिक सञ्जालमा ट्विट गर्दै घरमा बसिदिन सर्वसाधारणलाई आग्रह गरेका हुन्। म पनि घरमै बसेर सरकार सञ्चालन गरिरहेको छु, तपार्इंहरू पनि घरमै बस्नुहोस्, प्रधानमन्त्री ओलीले भनेका छन्।"
कोभिड१९ महामारी : राज्य र नागरिकको सहकार्य आवश्यक,"काठमाडौं : सत्तारुढ नेपाल कम्युनिष्ट पार्टी (नेकपा) निकट नेपाल बुद्धिजीवी सङ्गठनले नागरिकप्रति संवेदनशील राज्य र आत्मअनुशासित नागरिकको एकताको बलमा कोभिड१९ विरुद्ध दृढतापूर्वक लड्न सकिने जनाएको छ। विश्वका सरकार र नागरिक कोभिड१९ का विरुद्ध योजनाबद्ध र अनुशासित ढङ्गले सङ्घर्ष गरिरहेको उल्लेख गर्दै सो सङ्गठनले सफलता हासिलका लागि राज्य र नागरिकको सहकार्य अत्यावश्यक भएकामा जोड दिएको छ। सङ्गठनका संयोजक डा दिनेशचन्द्र देवकोटा र सहसंयोजक कृष्ण केसीले जारी गरेको विज्ञप्तिमा नेपाल सरकारका तर्फबाट नागरिकका लागि अत्यावश्यक वस्तुको आपूर्ति र स्वास्थ्य परीक्षणमा देखिएको संवेदनशीलता र महामारीविरुद्ध लड्न नागरिकलाई गरेको आग्रह नागरिकको सुरक्षाका लागि नै भएको स्पष्ट गरेको छ। 'सरकारले लिएका नीतिगत र व्यवहारिक निर्णयलाई दृढतापूर्वक पालना गरेर मात्र सम्भावित जोखिमलाई न्यूनीकरण गर्न सकिन्छ। यसतर्फ सचेत रहन हामी अपिल गर्दछौँ। बुद्धिजीवीहरु समाजका सचेत र अगुवा नागरिक हुनुका नाताले नागरिकलाई सही सूचना र सन्देश प्रवाह गर्नु, समस्या परेका बखत खुला दिलले सहयोग गर्नु पनि हाम्रो जिम्मेवारी हो', विज्ञप्तिमा भनिएको छ।"
प्रतिनिधिसभाको बैठक २३ गतेसम्म स्थगित,काठमाडौं : संघीय संसद् अन्तर्गत प्रतिनिधिसभाको बैठक चैत २३ गतेसम्मका लागि स्थगित भएको छ। चैत ६ गते दिउँसो १ बजेका लागि बोलाइएको बैठक सरकारले अघि सारेको कोरोना संक्रमण नियन्त्रण अभियान सफल बनाउन भन्दै स्थगित गरिएको थियो। चैत १३ गतेसम्मका बैठक स्थगित गर्ने निर्णय गरेपनि बुधबार एक सूचना जारी गर्दै चैत २३ गते आइतबारसम्म स्थगित गर्ने निर्णय भएको संघीय संसदको कार्यवाहक महासचिव गोपालनाथ योगीले जानकारी दिए। कोरोना भाइरसको महामारी नियन्त्रणका लागि मंगलबार बिहान ६ बजेदेखि 'लक डाउन' गरिएको छ । नोबेल कोरोना नियन्त्रण गर्न ईश्वर पोखरेलको संयोजकत्वमा बनेको उच्चस्तरीय समितिको सोमबार साँझ बसेको बैठकले पूर्ण रुपमा लक डाउन गर्ने निर्णय गरेको थियो। प्रधानमन्त्री केपी शर्मा ओलीले सार्वजनिक र निजी क्षेत्रबाट प्रदान गरिने अत्यावश्यक बाहेकका सबै सेवा बन्दको घोषणा गरेका थिए। शुक्रबार राष्ट्रका नाममा सम्बोधन गर्दै चैत ९ गतेदेखि २१ गतेसम्म सार्वजनिक र निजी क्षेत्रबाट प्रदान गरिने अत्यावश्यक बाहेकका सबै सेवा बन्दको घोषणा गरेका हुन्। सरकारले नरोकेको अत्यावश्यक सेवामा केके पर्छ ?
सहज बैंकिङ सुविधा दिने बैंकर्स सङ्घको प्रतिबद्धता,"काठमाडौं : कोरोना सङ्क्रमण फैलन नदिन सरकारले घोषणा गरेको साताव्यापी लकडाउनलाई पूर्ण कार्यान्वयन गर्दै वाणिज्य बैंकले उपभोक्तालाई सहज बैंकिङ सुविधा दिने प्रतिबद्धता जनाएका छन् । नेपाल बैंकर्स सङ्घको आज बसेको अनलाइन बैठकले विपद्को समयमा सर्वसाधारणको कमाइको पूर्ण सदुपयोग हुने गरी बैंकका आवश्यक शाखा खोलेर पूर्ण सेवा दिने निर्णय गरेको हो । बैठकपछि सङ्घले जारी गरेको प्रेस विज्ञप्तिअनुसार उपभोक्तालाई एटीएममा पर्याप्त रकम उपलब्ध गराउने, एटीएम नभएका शाखा सीमित समयका लागि खुला गर्ने निर्णय गरेको छ । विज्ञप्तिमा भनिएको छ, 'लकडाउनका बेलामा पनि वाणिज्य बैंकका शाखाले एलसी ट्रेजरीलगायत अत्यावश्यक सेवा दिनेछ ।' बैठकले अत्यावश्यक वस्तुको आयातमा बैंकले दिने सेवा सबै शाखाबाट उपलब्ध गराउने निर्णय गरेको छ । निर्णयमा भनिएको छ, 'बैंकका शाखाले एटीएममा पर्याप्त रकम राख्नेछन् । ती शाखाबाट नगद कारोवार हुने छैन । एटीएम नभएका शाखा भने सीमित समयका लागि खुला गरिनेछ । एटीएम भएको स्थानमा शाखा खोलिने छैन ।' बैंकका शाखाले दुई आधिकारिक व्यक्तिको सम्पर्क नम्बर ग्राहकलाई उपलब्ध गराउने र ग्राहकले ती व्यक्तिलाई अत्यावश्यक परेको खण्डमा सेवा लिन सम्पर्कसमेत गर्न सक्नेछन् । यस्तै सङ्घले ग्राहकलाई डिजिटल बैंकिङमार्फत कारोवार गर्न आग्रह गर्दै स्थानीय तथा सरकारी निकायलाई बैंकका कर्मचारीलाई स्वास्थ्य तथा सुरक्षा उपकरण उपलब्ध गराइदिनसमेत आग्रह गरेको छ ।"
"म घरमै बसेर सरकार सञ्चालन गरिरहेको छु, तपाईँ पनि घरमै बस्नुहोस् : प्रधानमन्त्री","काठमाडौं : प्रधानमन्त्री केपी शर्मा ओलीले आफूले निवासमै बसेर सरकार सञ्चालन गरिरहेकाले सबैलाई घरमै बस्न आह्वान गरेका छन्। बुधबार साँझ ट्वीट गर्दै प्रधानमन्त्री ओलीले सबैलाई घरमा बस्न आग्रह गरेका हुन्। ओलीको सन्देशमा भनिएको छ, म पनि घरमै बसेर सरकार सञ्चालन गरिरहेको छु, तपाईँहरु पनि घरमै बस्नुहोस्। विश्वव्यापी सङ्क्रमण भइरहेको कोरोना (कोभिड१९) भाइरस रोकथाम र नियन्त्रणका लागि जारी लकडाउन को बुधबार दोस्रो दिन प्रधानमन्त्री ओलीले घरमा बस्न आग्रह गर्दै ट्वीट गरेका हुन्। विश्वभर कोरोना भाइरसको त्रास छ। नेपालमा समेत अहिलेसम्म तीनजना संक्रमितको उपचार भइराखेको छ। सरकारले समयमै सचेत भएर कोरोना भाइरस रोकथाम र नियन्त्रणको सरकारी प्रयासलाई सफल बनाउन लकडाउन उलंघन नगर्न आग्रह गर्दै आएको छ।                !_ बन्दबन्दीमा_नेपाल      ()  ,"
एनआरएनएको भूमिका खोज्दै सरकार,"काठमाडौं : उच्च शिक्षा र रोजगारीका लागि विदेशमा रहेका नेपाली कतिलाई कोरोना भाइरस (कोभिड१९) संक्रमण भएको छ भन्ने तथ्यांक संकलनमा सरकार जुटेको छ। परराष्ट्र मन्त्रालयले यस विषयमा आफ्ना नियोगमार्फत गैरआवासीय नेपाली संघ (एनआरएनए), अवैतनिक दूत र त्यहाँको सरकारी (स्थानीय) तथ्यांक उपयोग गर्न भनेको छ। सरकारले खाडी मुलुकमा कति नेपालीलाई कोरोना संक्रमण भएको र कति जना कम्पनीको क्वारेन्टाइनमा रहेको तथ्य खुलाउन सकेको छैन। यकिन तथ्यांक पाउन दूतावासको एकल प्रयासले मात्र सम्भव देखिँदैन। त्यसका लागि नेपाली समुदायको हातेमालो आवश्यक हुने परराष्ट्रका अधिकारीको भनाइ छ। त्यसकै लागि एनआरएनएसँग पहल गर्न भनिएको हो। एनआरएनएले कामदारबाट रकम उठाएर राजनीति गर्ने तर उनीहरू संकटमा पर्दा वास्ता नगर्ने भन्ने सन्देश जान नदिन पनि सरकारले उनीहरूलाई सचेत गराएको हो। दुई वर्षमा सम्मेलन गर्ने र सरकारी बजेटमा कार्यक्रम गरेर हल्ला गर्ने एनआरएनएलाई यसमा चासो राख्न आग्रह गर्न सरकारले दूतावासलाई निर्देशन दिएको थियो। नेपालीहरू दिनहुँ प्रभावित भइरहेको अवस्थामा एनआरएनएले त्यहाँ रहेका नेपालीको संख्या पहिचान गरी त्यसको तथ्यांक उपलब्ध गराउन सक्ने बुझाइ सरकारको छ। एनआरएनएको १ सय ७५ भन्दा बढी मुलुकमा राष्ट्रिय समन्वय परिषद् (एनसीसी) छ। ती संयन्त्रमार्फत उनीहरूले नेपालीको वास्तविकता पत्ता लगाउन सक्छन्। त्यसमा अग्रसर हुन सरकारले उनीहरूलाई आग्रह गरेको परराष्ट्र अधिकारीले बताएका छन्। सबैजसो राजदूतले टेलिफोन सम्पर्कमा एनआरएनए र सरकारी निकायसँग समन्वय गरी नेपालीमा संक्रमण पत्ता लगाई उनीहरूको उपचारमा पहल गरिएको बताएका छन्। अमेरिकामा चार, पोर्चुगल, बहराइनमा तीनतीन, यूएईमा दुई र बेलायतमा एक जनामा संक्रमण भएको भनिएको छ। संक्रमितको संख्या योभन्दा बढी हुन सक्ने सरकारी अधिकारीको आकलन छ। अन्य मुलुकमा पनि नेपाली यसरी बिरामी परेको छ कि भन्ने विषयमा सरकारले उनीहरूको अवस्थाबारे जानकारी माग गरेको हो। अमेरिका र बेलायतमा एकएक गैरआवासीय नेपालीको मृत्यु कोरोनाका कारण भएको छ। बेलायतमा ७० कटिसकेका र अमेरिकामा ५० पुगेका नेपालीको मृत्यु भएको हो। यूएईमा रहेकाको उपचार भएको र दुवै बिरामी ठीक हुने अवस्थामा पुगेको जानकारी आबुधाबीस्थित दूतावासले दिएको छ। पोर्चुगलका तीन नेपाली पनि ठीक हुने अवस्थामा रहेको पोर्चुगल हेर्ने पेरिसस्थित दूतावासले जनाएको छ। त्यहाँ क्वारेन्टाइनमा रहेका नेपालीमा संक्रमण देखिएको छैन। दूतावासका अधिकारी इमेल र फोनमा मात्र काम गरिरहेका छन्। उनीहरू मानिसको सम्पर्कमा आएका छैनन्। सोही कारण पनि समुदायमार्फत संख्या यकिन गर्न खोजिएको हो। परराष्ट्रसचिव शंकरदास वैरागीले सबैसँगको सहकार्यमा आफ्ना नागरिकको चासो दिँदै समस्या परेको भए जसरी पनि उपचार गराउने र संकटमुक्त गराउने पहल नेपाल सरकारले गर्ने बताए। एनआरएनए अध्यक्ष कुमार पन्तले आफ्नै संयोजकत्वमा उच्चस्तरीय हेल्थ कमिटी बनाएको र आईसीसीमार्फत संयोजकै तोकेर अध्ययन थाल्ने भनेका थिए। त्यसमा कति काम भयो भनेर दूतावास अधिकारीले थाहा पाउन सकेका छैनन्। परराष्ट्र मन्त्रालयले यसबारे चासो राखिरहेको छ। उनीहरूले नियोग तथा दूतावासहरूसँग सहकार्य गरी समस्या समाधानमा हातेमालो गर्ने भने पनि त्यसमा उत्साहित नभएको आरोप दूतावास अधिकारीको छ। उनीहरू निर्वाचनअघि मात्र जुर्मुराउने हुन अन्य बेला कुनै कार्यक्रम हुने भयो र मञ्चमा बस्न पाउने अवस्थामा बढी अग्रसर हुने यस्ता सामाजिक कार्यमा दैनिक कर गरिरहनुपर्ने अनुभव एक कूटनीतिज्ञले सुनाए। उनीहरूको आन्तरिक बैठकले कोर्डिनेटरमार्फत सम्बन्धित मुलुकमा उत्पन्न सामाजिक, आर्थिक तथा नेपाली समुदायको स्वास्थ्य अवस्थाको वस्तुगत मूल्यांकन गर्ने र हेल्थ कमिटीलाई जानकारी गराउने भनिए पनि प्रभावकारी देखिएको छैन। उनीहरूको चासोमा त्यहाँको अवस्था मूल्यांकनभन्दा भिसामा समन्वय गर्नेजस्ता विषय परेको छ। कोरोना भाइरसले उत्पन्न सामाजिक, आर्थिक तथा स्वास्थ्य स्थितिको असर तथा प्रभावबारे उनीहरुले पनि ध्यान दिनुपर्ने परराष्ट्र नेतृत्व तहको धारणा छ।"
तातोपानी र रसुवा नाका खोल्ने निर्णय,काठमाडौ : उपप्रधान तथा रक्षामन्त्री ईश्वर पोखरेल नेतृत्वको समितिले कोभिड१९ रोकथाम तथा नियन्त्रण उच्चस्तरीय समितिले मालसामान आयात निर्यात गर्न सिन्धुपाल्चोकको तातोपानी र रसुवाको रसुवागढी नाका खुलाउे निर्णय गरेको छ। बुधबार बसेको बैठकले माघ १५ गतेदेखि बन्द रहेको उक्त नाका खुलाउने निर्णय गरेको हो। स्वास्थ्य तथा जनसंख्या मन्त्रालय र कृषि तथा पशुपन्छी विकास मन्त्रालयको स्वास्थ्य सम्बन्धी प्रोटोकल पालना गरी चीनतर्फका रसुवागढी र तातोपानी नाकाबाट मालसामान आयात निर्यात कार्य सुचारु गर्ने निर्णय भएको छ। उक्त निर्णय अनुसार त्यसको आवश्यक समन्वय गृह मन्त्रालय र अर्थ मन्त्रालयले गर्ने उल्लेख छ।
