शीर्षक,विवरण
६ करोडको सान्दर्भिकता,"अर्थमन्त्री युवराज खतिवडाले निर्वाचन क्षेत्र पूर्वाधार विकास कार्यक्रमको रकम ६ करोड पुर्याएर आफ्नै दलका सांसदको चित्त बुझाउने कोसिस गरेका छन्। अर्थमन्त्रीले गत वर्ष पूर्वाधार कार्यक्रम हटाउँदा नेकपाका सांसदले उछितो काढेका थिए। पूर्वाधार कार्यक्रमको औचित्य, पारदर्शिता र सान्दर्भितामाथि प्रश्न उठिरहेका बेला अर्थमन्त्रीले दुई करोड थपेर कार्यक्रम ल्याएका छन्। विगतमा स्थानीय तहहरू बलियो बनिसकेका थिएनन्। गाउँमा बजेट जाँदैनथ्यो। यसको वितरण प्रणाली पनि असमान थियो। कुनैकुनै विकास क्षेत्रभन्दा बलिया र सत्तामा हालीमुहाली गर्ने नेताको एउटै जिल्लामा जाने बजेट बढी हुन्थ्यो। खानेपानी, कुलो, इनार, बाटोघाटो, विद्यालय, स्वास्थ्य चौकी भवनजस्ता न्यूनतम पूर्वाधार निर्माणका लागि पनि केन्द्रकै मुख ताक्नुपर्ने अवस्था थियो। अर्कोतर्फ बलिया र सत्ताको चाबी सम्हाल्नेहरूको मात्र बजेटमा हैकम थियो। त्यसैले प्रत्येक निर्वाचन क्षेत्रमा समान वितरण सिद्धान्तको जगमा निर्वाचन क्षेत्र पूर्वाधार विकास कार्यक्रम ल्याइएको थियो। एक हदसम्म उक्त कार्यक्रमले न्यूनतम रकम सबै क्षेत्रमा जाने र सरकारको कोषमा सबै जनताको समान हक स्थापित गर्ने काम गरेको थियो। सत्ताको छायाँ पनि नपरेका जनताका लागि त्यसले सिटामोलको काम गरेको थियो। तर आज मुलुकको अवस्था फेरिएको छ। संघीयताले केन्द्रको अधिकार गाउँसम्म पुर्याएको छ। ससाना योजना र विकासका लागि केन्द्रको मुख ताक्नु पर्दैन। यस्तो अवस्थामा सांसदले वितरण गर्ने खुत्रुके आयोजनाले मुलुकको आर्थिक विकास र समृद्धिमा टेवा पुग्न सक्दैन। त्यस्तै सांसदहरूले परिवर्तित राजनीतिक र प्रशासनिक संरचनाअनुसार पूर्वाधार विकासका कार्यक्रमलाई रूपान्तरण गर्न सकेका छैनन्। कार्यकर्तामुखी योजना र चुनावमा गरिएका प्रतिबद्धताअनुसार ससाना योजनामा बजेट बाँडेर भोटको राजनीति को बचाउ मात्र गरेका छन्। स्थानीय तहका वडाध्यक्षले बाँड्ने योजनाको प्रकृति र केन्द्रका सांसदले बाँड्ने पूर्वाधार विकासका कार्यक्रममा कुनै भिन्नता छैन। बरु, कार्यकर्ता मात्र खुसी पार्ने लक्ष्य राख्दा केन्द्र, प्रदेश र स्थानीय तहले एउटै योजनामा बजेट खन्याएर राज्यकोषको दुरुपयोग भइरहेका घटना सार्वजनिक भएका छन्। योजनाको वर्गीकरण, छनोटमा प्राथमिकता, बजेट सञ्चालनमा पारदर्शिता र मितव्ययिता अपनाउन नसक्दा सांसद कोषको औचित्यमा प्रश्न उठेको हो। सांसद विकासका नेतृत्वकर्ता हुन् कि नीति निर्माणकर्ता ? बौद्धिक वर्गबाट प्रश्न पनि उठेको छ। विकास निर्माणको काम विधायिकाको हो वा कार्यकारीको ? यो प्रश्नको किनारा नलगाउने हो भने कार्यकर्ता खुसी पार्ने पूर्वाधार विकास कार्यक्रमका नाममा राज्यकोषको दोहन भइरहने छ। सांसदलाई विकास निर्माणका फाइलमा हस्ताक्षर गर्ने सीमित कार्यमा अल्झाएर मुलुकको आर्थिक विकास र समृद्धिका लागि ठोस योजना र नीति निर्माणको मूल जिम्मेवारी र दायित्वबाट वञ्चित गराउनु हुन्न। यही कारण सांसद विभाजित छन्। केही स्थानमा त हात हालाहालको घटना भएका छन्। कार्यकर्ताबाट सांसदलाई विमुख नबनाउन, भोटको सुरक्षा गर्न र चुनावी क्षेत्रमा पकड जमाइराख्न भने यसले मद्दत पुगेको छ। तर सर्वविवादित यस कार्यक्रमको औचित्य र सान्दर्भिकता देखिँदैन।"
सञ्चारकर्मीविरुद्ध अफवाह फैलाउनेलाई कारबाहीको माग,"काठमाडौं : नेपाल पत्रकार महासंघले सञ्चारकर्मीविरुद्ध अफवाह फैलाउनेलाई कानूनी कारबाहीको माग गरेको छ। महासंघले आइतबार एक विज्ञप्ति जारी गर्दै सञ्चारकर्मीको सुरक्षामा ध्यान दिन सम्बन्धित निकायसमक्ष माग गरेको हो। ज्ञानेन्द्र शाहीले सामाजिक सञ्जालको दुरुपयोग गरी कर्णाली प्रदेशका सञ्चारकर्मीहरुको आत्मसम्मानमा चोट पुर्याएको समेत महासंघको निष्कर्ष छ। शाहीले केही समयदेखि कर्णाली प्रदेशका केही पत्रकारको नामै तोकेर सामाजिक संजालमा भ्रष्टचारीको आरोप लगाउँदै आएका थिए। उनी प्रहरीको कुटपीटबाट घाइते समेत भएका छन्। महासंघको विज्ञप्तिमा भनिएको छ,समग्र सञ्चार क्षेत्र र सञ्चारकर्मीविरुद्ध सामाजिक सञ्जालको माध्यमबाट अफवाह फैलाउनेहरु विरुद्ध कानुनी कारबाही गर्न र सञ्चारकर्मीको सुरक्षामा ध्यान दिन महासंघ सम्बन्धित निकायसमक्ष जोडदार माग गर्दछ। सामाजिक सञ्जालको गलत प्रयोगले समाजमा सञ्चारकर्मीहरुप्रति नकारात्मक धारणा फैलाउने, घृणा पैदा गर्ने, कार्य सम्पादनमा हतोत्सायी बनाउने र असुरक्षित बनाउने गरेको समेत महासंघको ठहर छ।"
सवारी दुर्घटनामा एक जनाको मृत्यु,दाङ : दाङमा आइतबार भएको सवारी दुर्घटनामा एक जनाको मृत्यु भएको छ। दाङको तुलसीपुर उपमहानगरपालिका ८ कृष्णमन्दिर नजिक ट्याक्टरले साइकलयात्रीलाई ठक्कर दिँदा एक बृद्धको मृत्यु भएको प्रहरीले जनाएको छ। आइतबार बेलुका तुलसीपुरबाट पश्चिम दाङ जाँदै गरेको रा १ त १७०७ नम्बरको ट्याक्टरले सोही तर्फ जाँदै गरेको साइकललाई ठक्कर दिँदा साइकल चालक दंगीशरण गाउँपालिका वडा नं ५ सलौरा निवासी ५० बर्षिय भीमबहादुर चौधरीको मृत्यु भएको जिल्ला प्रहरी कार्यालय दाङले जानकारी दिएको छ। दाङका प्रहरी नायब उपरीक्षक विनोद विक्रम शाहका अनुसार चौधरीको घटना स्थलमै मृत्यु भएको हो। शवलाई राप्ती प्रादेशिक अस्पताल तुलसीपुरमा राखिएको छ। यसैबीच आइतबार नै घोराही उपमहानगरपालिकाका कामदार बोकेको ट्याक्टर दुर्घटना हुँदा २२ जना घाइते भएका छन्।
सिआईबी भन्दै यात्रुबस लुटने गिरोह पक्राउ,"निजगढ : पूर्वपश्चिम राजमार्ग अन्तर्गत बाराको पथलैयानिजगढ सडकखण्डको जंगलमा यात्रुबाहक बसमा लुटपाट गर्ने गिरोहलाई पक्राउ गरी प्रहरीले आइतबार सार्वजनिक गरेको छ। इलाका प्रहरी कार्यालय निजगढको प्रहरीले गत शुक्रबार बिहान राजमार्गको १४ किलो भन्ने स्थानमा गाडी तेर्साएर बस लुटपाट गर्ने सात जनालाई सार्वजनिक गरेको हो। पक्राउ पर्नेमा सिन्धुली मरिन घर भई हाल निजगढ नगरपालिका ८ बस्ने २६ वर्षीय संघर्ष थिङ, सर्लाही हरिवन नगरपालिका ८ का २४ वर्षीय विजय लामा, सिन्धुली हरिहरपुर गाउँपालिका ७ का ३६ वर्षीय टाइगर भनिने सुनिल तामाङ, रौतहट गजुरामाई नगरपालिका २ का ३४ वर्षीय ज्ञानबहादुर थिङ, काभ्रे महाभारत गाउँपालिका २ का ३० वर्षीय विशाल पाख्रिन, महोत्तरी बागडा ५ घरभइ हाल बर्दिबास नगरपालिका ११ मा बस्ने २१ वर्षीय सन्तोष भनिने रमेशकुमार यादव र सर्लाही हरिवन नगरपालिका १० का २७ वर्षीय दिलकुमार दोङ रहेका छन्। दोङ बस लुटपाटमा प्रयोग गरिएको बा १७ च ४८७६ नम्बरको स्कोरपियो गाडीका चालक हुन्। प्रहरीका अनुसार काठमाडौंबाट जलेश्वरका लागि छुटेको ना ७ ख ४७९० नम्बरको बसमा सुन तस्करी भएको सूचना पाएको र सो सुन लुटन लुटेराले योजना बनाएका हुन्। पक्राउ परेका मध्ये सन्तोष भनिने रमेशकुमार यादवले सुन तस्करी भएको सूचना अन्यलाई जानकारी गराएका थिए। यादवको सूचनाको आधारमा अन्यले पथलैयामा बसेर बस लुटपाट गर्ने योजना बनाएका थिए। बस लुटनका लागि लुटेरा समुहले सिमराबाट स्कोरपियो गाडी भाडामा लिएको र सोही गाडी तेर्साएर गाडीका बसका परिचालक (कन्टेक्टर) सञ्जयकुमार उपाध्यायलाई कुटपिट गर्दै लुटपाट गरेका थिए। राजमार्गमा १० मिनेट गाडी नियन्त्रणमा लिएर उनीहरुले आफूहरु सिआईबीको प्रहरी रहेको र सोधपुछका लागि आएको भन्दै परिचालकलाई नियन्त्रणमा लिएर कुटपिट गरेको प्रहरीको भनाइ छ। बसको पछिल्लो सिटमा लगेर परिचालकलाई कुटपिट गर्दै लुटेराले ४५ हजार नेपाली रुपैयाँ, दुई हजार भारतीय रुपैयाँ र मोबाइल एक थान लुटेर फरार भएका थिए। बस लुटपाट भएपछि निजगढस्थित इलाका प्रहरी कार्यालयका प्रहरीलाई बस चालक गणेश भुषालसहित यात्रुले सूचना दिएका थिए। घटनाको सूचना पाउनेबित्तिकै प्रहरी निरीक्षक विक्रम लामाको कमाण्डमा रहेको प्रहरीले टोलीले काठमाडौंतराई एक्सप्रेस हाईवेमा ज १२ प ४६८० मोटरसाइकलमा सवार निजगढ नगरपालिका ८ बस्ने थिङलाई शंकाको आधारमा नियन्त्रणमा लिएको थियो। प्रहरीका अनुसार थिङकै बयानका आधारमा घटनाको वास्तविकता खुलेको र अन्यलाई नियन्त्रणमा लिएको प्रहरी निरीक्षक लामाले जानकारी दिए। थिङको बयानका आधारमा प्रहरीले अन्यलाई जीतपुरसिमरा उपमहानगरपालिका १६ स्थित टांगियावस्तीको जंगलमा अन्य ६ जनालाई नियन्त्रणमा लिएको प्रहरीको भनाइ छ। उनीहरुबाट घटनामा लुटिएको नगद र मोबाइलसमेत प्रहरीले बरामद गरेको छ। नियन्त्रणमा लिइएकालाई पाँच दिन म्याद थप गरी थप अनुसन्धान भइरहेको प्रहरी निरिक्षक लामाले जानकारी दिए। यसरी बन्यो योजना काठमाडौँबाट जलेश्वरका लागि छुटेको बसमा सुन तस्करी भइरहको सूचना यादवले थाहा पाएपछि आफ्ना साथीलाई जानकारी गराए। यादवकै योजनामा सबै पथलैयामा भेला भए। बस लुटनका लागि पथलैयाबाट ४ किलोमिटर दक्षिणतर्फ रहेको सिमराबाट स्कोरपियो गाडी भाडामा लिए। गाडी र मोटरसाइकलमा बस पर्खेर उनीहरु बसे र बस पथलैयाबाट पूर्वतर्फ लागेपछि १४ किलोमिटर जंगलसम्म पछ्याए। बस पछ्याउदै गरेका उनीहरुले गाडी तेर्साएर चालकतर्फको ढोकामा गए। चालकले ढोका नखोलेर यात्रुतर्फ भागेको प्रहरीको भनाइ छ। बस रोकेर भित्र प्रवेश गरेका उनीहरुले आफूहरु सिआईबी प्रहरी रहेको र यात्रुलाई नआत्तिन आग्रह गरे। बसको परिचालकलाई सिटको पछाडि लगेर कुटपिट गर्दै नगद र मोबाइल लुटेर फरार भएका थिए।"
टीकापुरमा थारुहरुको बृहत् भेला हुने,"काठमाडौं : राजधानीमा सम्पन्न थारुहरुको एक भेलाले आगामी ७ भदौमा टीकापुरमा थारुहरुको बृहत् भेला आयोजना गर्ने निर्णय गरेको छ। टीकापुर घटनामा ४२ महिना जेल जीवनपछि रिहा भएका लक्ष्मण थारुले शनिबार भएको भेलाको निर्णयबारे आइतबार रिपोर्टर्स क्लबको पत्रकार सम्मेलनमा उक्त जानकारी दिएका हुन्। थरुहटरथारुवान राष्ट्रिय सम्मेलन तयारी समितिले आयोजना गरेको पत्रकार सम्मेलनमा टीकापुर घट्नाबारे छानबिनका लागि गठित गिरिशचन्द्र लालको प्रतिवेदन यथाशिघ्र सार्वजनिक गर्न माग गरेको छ । लालको प्रतिवेदनमा आजीवन कैद सुनाइएका सांसद रेशम चौधरी लगायत टीकापुर घटनामा मुछिएका सबै बन्दी निर्दोष सिफारिश गरिएकाले प्रतिवेदन सार्वजनिक गर्न सरकारले आलटाल गरेको भेलाको ठहर छ । विद्यमान ७ प्रदेश हामी कुनै पनि हालतमा स्वीकार्दैनौं । लक्ष्मण थारुले आफू ४२ महिनापछि काठमाडौको मिडियासामु पहिलोपटक आएको बताउँदै भने, अखण्ड सुदुर पश्चिम, कर्णाली प्रदेश माग्नेले मागेको पाए, मधेश प्रदेश माग्नेले पनि पाए, हामी थारुहरुले किन नपाउने ? थरुहटरथारुवान राष्ट्रिय सम्मेलन तयारीका लागि थारु कल्याणकारिणी सभाका सहमहामंत्री मिनराज चौधरीको संयोजकत्वमा १०१ सदस्यीय तयारी समिति गठन गरिएको छ । साथै, संविधानको विरोधस्वरुप भेलाले असोज ३ गते थारु युवा दस्ताको राष्ट्रिय सम्मेलन गर्ने निर्णयसमेत गरेको छ । सोही सम्मेलनमा थारुहरुलाई चित्त नबुझेको संविधानका धाराहरु जलाउने निर्णय भएको बताइएको छ । शनिबार भएको भेलाले आगामी चुनावसम्मको रणनीति तयार गरी थरुहट आन्दोलन गर्ने तयारी गरेको हो । आन्दोलनबिना थारुहरुको अधिकार सुनिश्चित नहुने ठहर गर्दै यस्तो अभियानको थालनी गर्नुपरेको नेता लक्ष्मण थारुले बताए । उनले यस अघि थरुहटरथारुवान संयुक्त संघर्ष समितिसँग गरिएका वार्ता कार्यान्वयन गर्न माग पनि गरे । भन्छन्, आगामी १० महिनासम्म शान्तिपूर्ण आन्दोलन गर्नेछौं । त्यत्तिले सुनुवाई नभए आन्दोलनको स्वरुप फेरिने छ ।"
राजा वीरेन्द्रको सम्झना (तस्बिर),काठमाडौं : २०५८ जेठ १९ गते नारायणाहिटीमा भएको दरबार हत्या काण्डमा ज्यान गुमाएका तत्कालीन राजा वीरेन्द्र शाह र उनको परिवारको आइतबार सम्झना गरिएको छ । राजधानीलगायत देशभरका विभिन्न स्थानमा रहेका वीरेन्द्रको शालिकमा माल्यार्पण गर्दै उनको सम्झना गरिएको हो ।ललितपुरको जावलाखेलमा रहेको वीरेन्द्रको शालिकमा माल्यार्पण गर्दाका केही दृश्य : तस्बिर : सुनिता डंगोल
गंगालालका इन्जिनियरको प्रमाणपत्र नक्कली,"काठमाडौं : शहीद गंगालाल राष्ट्रिय हृदय केन्द्रमा कार्यरत इन्जिनियर प्रदीपकुमार यादवको शैक्षिक प्रमाणपत्र नक्कली भएको पाइएको छ। अख्तियार दुरुपयोग अनुसन्धान आयोगले इन्जिनियर यादवको विरुद्ध विषेश अदालतमा मुद्दा दायर गरेपछि प्रमाण पत्र नक्कली भएको बाहिर आएको हो। तत्कालीन इन्जिनियर यादवले केन्द्रमा इलेक्ट्रिसिटी सहायक पदमा नियुक्ति भएकोमा इन्जिनियर पदमा बढुवा हुने प्रयोजनका लागि पोखरा विश्वविद्यालय, परीक्षा नियन्त्रणको कार्यालय, कास्कीबाट जारी भएको ब्याच्लर अफ इलेट्रिकल एण्ड इलेक्ट्रोनिक इन्जिनियरिङ तहको शैक्षिक प्रमाणपत्र र नेपाल इन्जिनियरिङ परिषद्, नक्साल, काठमाडौंबाट जारी भएको साधारण दर्तावाला इन्जिनियरको नाम दर्ता प्रमाणपत्र समेत नक्कली एवं झुट्टा बनाई पेश गरी शहीद गंगालाल राष्ट्रिय हृदय केन्द्र बाँसवारी, काठमाडौंमा इलेक्ट्रसिटी सहायक पदमा करार नियुक्ति भई पाएको छ। नक्कली प्रमाण पत्र प्रयोग गरीइन्जिनियर पदमा बढुवा भई सरकारी ओहदामा बहाल रहीको अरोप उनीविरुद्ध भ्रष्टाचार निवारण ऐन कैद र जरिवानाको सजाय मागदाबी विशेष अदालत मा आरोपपत्र दायर गरिएको अख्तियारका प्रवक्ता एवं सहसचिव प्रदीपकुमार कोइरालाले जानकारी दिए।"
अत्यधिक गर्मीपछि कोहलपुर र बैजनाथका स्कुल बिदा,"नेपालगन्ज : अत्यधिक गर्मीका कारण बाँकेको कोहलपुर नगरपालिका र बैजनाथ गाउँपालिकाका विद्यालयले गर्मी बिदा दिएका छन्। दुई पालिकाका क्रिसा, प्याब्सन र एन प्याब्सनमा आबद्ध संस्थागत विद्यालयले वर्षे बिदा कट्टा हुने गरी जेठ १९ देखि २६ गतेसम्म गर्मी बिदा दिएका हुन्। १६ जेठमा गरिएको निर्णयमा क्रिसा कोहलपुरका अध्यक्ष दिनेश सिग्देल, प्याब्सन कोहलपुरका अध्यक्ष यम रावत, एन प्याव्सन कोहलपुरका अध्यक्ष किशोरजंग मल्ल, एन प्याब्सन बैजनाथका अध्यक्ष श्याम कुँवर र व्याब्सन बैजनाथका सचिव प्रकाश शाहले हस्ताक्षर गरी संयुक्त सूचना जारी गरेका हुन्। अत्यधिक गर्मीका कारणले विद्यालयमा अध्ययनरत बालबालिका प्रभावित हुने देखिएकाले वर्षे बिदाबाट कट्टा हुने गरी गर्मी बिदा दिने निर्णय गरिएको सूचनामा उल्लेख छ। जल तथा मौसम विज्ञान विभागको राँझास्थित हावापानी फिल्ड कार्यालयका अनुसार सन् २०१३ यता ७ वर्षमा नेपालगन्जमा मे महिनामा सर्वाधिक अधिकतम् तापक्रम मापन गरिएको छ। यो वर्षको मे ११ र २० तारिखका नेपालगन्जमा अधिकतम् तापक्रम ४३५ डिग्री सेल्सियस मापन गरिएको छ। दिउँसो लु चलेर यहाँको जनजीवन प्रभावित भएको छ।"
यार्साबाट ९० लाख राजश्व,"मुगु : मुगुम कार्मारोङ्ग गाउँपालिकाले यार्सा संकलकबाट ९० लाख राजश्व उठाएको छ। २ नम्बर क्षेत्रमा पर्ने यार्सा पाटनमा गएका संकलनकर्ताबाट पालिकाले उक्त रकम उठाएको गाउँपालिकाका सूचना अधिकारी तीर्थराज शाहीले जानकारी दिए। मुगुम कार्मारोङ्ग गाउँपालिका२ मुगु गाउँका आधा दर्जनभन्दा बढी पाटन क्षेत्रमा यार्सा गुम्बु पाइन्छ।संकलनकर्ताबाट प्रति व्यक्ति २ हजार र बाहिर जिल्लाबाट आउनेबाट २ हजार ५ सय रुपैयाँ प्रवेश उक्त शुल्क उठाएको थियो। मुगु गाउँको छापाखोला, च्यार्कु, रिमार, ठुलोकोखि, स्यानकोखि, चाल्ने ,टाँके र हङ्गदङ्गखोलालगायतका पाटन क्षेत्रमा पाइने यार्सागुम्बु सकंलनकर्ताबाट गाउँपालिकाले जेठ १३ गते देखि १८ गतेसम्म मुगु गाउँको सिरानीचौरमा प्रवेश शुल्क उठाएको थियो। यो वर्ष जिल्लाभित्र र बाहिरबाट ४ हजार संकलनकर्ता पाटन क्षेत्र प्रवेश गरेका छन्।पालिकाका सूचना अधिकारी शाहीका अनुसार अघिल्लो वर्ष ६२ लाख रकम उठेको थियो।जेठ १८ गतेबाट यार्सा पाटन खुल्ला गरिएको थियो।"
सडक दुर्घटनामा पत्रकारसहित दुईको मृत्यु,"काठमाडौं : काठमाडौंको धोविघाटमा आइतबार दिउसो सवारी दुर्घटना हुँदा एक पत्रकारसहित दुई जनाको मृत्यु भएको छ। विपरीत दिशाबाट आउँदै गरेको बा १६ च ४७४३ नम्बरको स्कार्पियोले बा ४३ प ९८६३ नम्बरको मोटरसाइकललाई ठक्कर दिँदा मोटरसाइकलमा सवार दुई जनाको मृत्यु भएको हो। मृत्यु हुनेमा मोटरसाइकलमा सवार नुवाकोटका २८ वर्षीय चन्द्रमणि मधुहारी र गोदावरी, ललितपुरका ४० वर्षीय गोविन्द घिमिरे शर्मा रहेको नर्भीक अस्पतालले जानकारी दिएको छ। शर्मा नेपाल कृषि पत्रकार प्रतिष्ठान (जोना) का नवनिर्वाचित अध्यक्ष थिए। उनी किसान टेलिभिजनका सञ्चालक पनि थिए।"
