शीर्षक,विवरण
आर्थिक सुत्रको कमजोर धरातल,"स्थानीय सरकारको लेखा र प्रतिवेदन प्रणाली व्यवस्थापन गर्ने सर्भर सुत्र मा समस्या आउँदा यसमा प्रविष्ट भएका खर्चका सबै विवरण गायब भएको छ। महालेखा नियन्त्रक कार्यालयले अझै पनि सर्भर ह्याक भएको आशंकामा प्रहरीलाई अनुसन्धानका लागि आग्रह गरेको छ। सर्भर ह्याक भएको हो या होइन भन्ने अझै यकिन भने छैन। मुलुक संघीय संरचनामा प्रवेश गरेसँगै स्थानीय सरकारका लेखा र प्रतिवेदन प्रणाली केन्द्रीकृत गर्ने गरी सबनेसनल ट्रेजरी रेगुलेटरी एप्लिकेसन (सुत्र) को डिजाइन गरिएको हो। २०७५ पुसदेखि सञ्चालनमा आएको सुत्रको सञ्चालनदेखि नै केही समस्या रहेको देखिन्छ। खासगरी डाटा ब्याकअपमा ध्यान नपुगेका कारण यसमा प्रविष्ट भएका डाटा गायब भएका हुन्। सञ्चालनको सर्भर र डाटा ब्याकअपको फरक सर्भर राखेर डाटाको सुरक्षा गर्नुपर्नेमा सञ्चालनको मात्र सर्भरका भरमा रहेको अनुमान गरिएको छ। सुत्रको सर्भर बिग्रेसँगै यसले स्थानीय सरकारको खर्च अन्धाधुन्ध हुने खतरा उत्पन्न भएको छ। केन्द्रीय तहबाट अनुगमनको अभावमा अनियमित खर्च हुने सम्भावना त्यत्तिकै छ। नियमित रूपमा खर्च सुत्रमा प्रविष्ट हुँदा कुनै अस्वाभाविक खर्चको अवस्थालाई अनुगमन गर्न सहज हुन्थ्यो। सुत्र सञ्चालनमा आएपछि अब यसअघि भएका खर्च स्थानीय सरकारका लेखा उत्तरदायी कर्मचारीले पुनः प्रविष्ट गर्नुपर्छ। एक मुष्ट खर्चको विवरण प्रविष्ट गर्नुपर्दा दोहोरो कामको झञ्झट त भयो नै, खर्चको यकिन गरेर यसका म्यानुअल हिसाबकिताब खोज्दै खर्च प्रविष्ट गर्नुपर्ने हुन्छ। संघीयता कार्यान्वयनमा आएसँगै स्थानीय सरकारले अनुशासनमा बाँधिन अनिच्छा देखाउँदै आएका थिए। उनीहरूले केन्द्र सरकारले पठाएका लेखापालन लिने र आफैंले नियुक्त गर्न पाउनुपर्ने अडान दोहोर्याउँदै आएका छन्। बजेट अनुशासनका लागि केन्द्र सरकारले लेखापाल पठाउँदै आएको छ। सुत्रको विकास पनि स्थानीय सरकारलाई बजेट अनुशासनमा बाँध्ने प्रयासस्वरूप भएको हो। सबै सरकारका छुट्टाछुट्टै ट्रेजरी सञ्चालन गरे पनि खर्चको केन्द्रीकृत विवरण सुत्रमार्फत महालेखा नियन्त्रक कार्यालयको पहुँचमा रहने व्यवस्था गरिएको हो। सुत्र असफल भएमा स्थानीय जनप्रतिनिधिले मिलानमा लेखाका उत्तरदायी कर्मचारीमाथि नाजायज दबाब दिन थाल्छन्, जुन अहिले पनि चलिरहेको छ। खर्चको केन्द्रीकृत रिपोर्टिङ हुने व्यवस्थाले स्थानीय जनप्रतिनिधिलाई मनखुसी खर्च गर्न सम्भव थिएन। सुत्र असफल भएको खण्डमा यो स्थानीय जनप्रतिनिधिका लागि बाँदरलाई लिस्नु सरह हुन्छ। संघीय संरचनामा ७६१ ओटा ट्रेजरी सञ्चालन हुने भए पनि तल्लो तहका सरकारले संघबाट अनुदान लिने गर्छन्। संघले अनुदान हस्तान्तरण गर्दा खर्चको अवस्था हेरेर दिने व्यवस्था गरेको छ। केन्द्रीकृत रिपोर्टिङ प्रणाली नभएको खण्डमा संघीय सरकारले कहाँ कति खर्च भयो भन्ने कुनै आधार फेला पार्न सक्दैन। यसले गर्दा संघमा स्रोत कम हुने र स्थानीय सरकारमा रकम थुप्रेर बस्ने जोखिम हुन्छ। स्थानीय सरकारले खर्च गर्न नसके पनि विभिन्न कोष बनाएर बजेट राख्दै आएका छन्। यो बजेट लुकाउने उपाय पनि हो। यस्ता कोषमा स्रोत विन्यास गरे पनि यथार्थमा खर्च भएको हुँदैन। संघ सरकारले कोष बनाएर स्रोत थुपार्ने प्रवृत्ति समस्याका रूपमा रहेको जनाएको छ। कोषमा स्रोत विन्यास गरे पनि सुत्रमार्फत संघ सरकारले कोषमा स्थानीय सरकारले कति स्रोत विन्यास गरेका छन् यकिन गर्न सहज हुन्थ्यो। सुत्रजस्ता प्रणाली सञ्चालन गर्दा एउटा सञ्चालन सर्भर र अर्को डाटा ब्याकअप सर्भर राख्नुपर्छ। यसले गर्दा सञ्चालन सर्भर ह्याक भए या त्यसमा समस्या आए पनि डाटा ब्याकअप सर्भरबाट पुनप्र्राप्ति (रिकभर) गर्न सकिन्छ र डाटाको क्षति हुनबाट जोगाउन सकिन्छ।"
"उपसभामुखले राजीनामा दिने, सभामुखमा नेम्वाङकै सम्भावना","काठमाडौं : उपसभामुख शिवमाया तुम्बाहाङ्फेले बिहीबार राजीनामा दिने तयारी गरेकी छन्। सभामुखको निर्वाचन प्रक्रिया अघि बढाउन उपसभामुख तुम्बाहाङ्फेले राजीनामा दिन लागेकी हुन्। संसद् सचिवालयले पुस १४ गते सभामुख निर्वाचनको तालिका बनाएको छ। सत्तारुढ नेकपाले सभामुख लिन तुम्बाहाङ्फेलाई राजीनामा गराउन लागेको हो। सभामुख र उपसभामुख फरक फरक दलको हुनुपर्ने संवैधानिक व्यवस्थाका कारण नेकपाले उपसभामुख छाड्न लागेको हो। उपसभामुख तुम्बाहाङ्फेले राजीनामा दिएपछि सभामुख र उपसभामुख दुवै पद रिक्त हुनेछन्। दुवै पद खाली हुँदा ज्येष्ठ सदस्यले बैठकको अध्यक्षता गरि निर्वाचन प्रक्रिया सुरु गर्नेछन्। उपसभामुखज्यूले भोलि (बिहीबार) राजीनामा दिने तयारी छ, उनको सचिवालय स्रोतले भन्यो, पर्सि (शुक्रबार) निर्वाचन प्रक्रिया अघि बढाउनुपर्ने भएकाले बिहीबार नै उपसभामुखज्यूले राजीनामा दिने तयारी गर्नुभएको छ। यौन दुव्र्यवहारको आरोपमा कृष्णबहादुर महराले राजीनामा दिएपछि सभामुख रिक्त भएको हो। उपसभामुखले राजीनामा दिएपछि निर्वाचन प्रक्रियासम्म ज्येष्ठ सदस्यका हैसियतले राजपाका सांसद महन्थ ठाकुरले प्रतिनिधिसभा बैठकको अध्यक्षता गर्नेछन्। ज्येष्ठ सदस्यको हैसियतले अध्यक्षता गर्न ठाकुरले राष्ट्रपतिसमक्ष फेरि शपथ लिने कि नलिने विषय टुंगो लागेको छैन। यसअघि पनि प्रतिनिधिसभाको पहिलो बैठकको अध्यक्षता गर्ने बेलामा पनि ठाकुरले राष्ट्रपतिबाट ज्येष्ठ सदस्यको हैसियतमा शपथ लिएका थिए। ज्येष्ठ सदस्यको एकपटक शपथ लिइसकेकाले फेरि शपथ गराउने कि नगराउने भन्नेमा टुंगो छैन, सचिवालय स्रोतले भन्यो, उपसभामुखज्यूको राजीनामा आयो भने त्यससँगै शपथको पनि टुंगो लाग्छ। संसद् सचिवालयले पुस १४ गते सभामुख निर्वाचनको तालिका बनाइसकेको छ। सचिवालयले पुस १३ गते मनोनयन दर्तालगायत प्रक्रिया पूरा गर्ने र १४ गतेको प्रतिनिधिसभा बैठकमा चुनाव गराउने कार्यतालिका बनाएको छ। चुनावी प्रक्रियाका लागि सचिवालय पूर्ण तयारीमा छ, सचिवालयका महासचिव मनोहरप्रसाद भट्टराईले भने। सभामुखको निर्वाचन प्रस्तावद्वारा संसद्मा निर्णय गरिन्छ। सभामुखका लागि एकभन्दा बढी प्रस्ताव परे क्रमशः प्रस्तावमाथि निर्णय गरिन्छ। जुन प्रस्तावलाई बहुमत सदस्यले समर्थन जनाउँछन्, त्यही प्रस्तावका सांसद सभामुख निर्वाचित भएको घोषणा गरिन्छ। एउटा मात्र प्रस्ताव परे निर्विरोध भएको घोषणा गरिने व्यवस्था नियमावलीमा छ। नेम्वाङकै सम्भावना नेकपाले भावी सभामुखबारे औपचारिक निर्णय गरेको छैन। पार्टी अध्यक्षद्वय केपी ओली र पुष्पकमल दाहालले सभामुखबारे निर्णय गर्ने नेताहरू बताउँछन्। तर सभामुखमा पूर्वसभामुख सुवास नेम्वाङकै सम्भावना रहेको उनीहरू बताउँछन्। पुनःस्थापित प्रतिनिधिसभा, अन्तरिम व्यवस्थापिका, दुवै संविधानसभा र संविधान बनेपछिको रुपान्तरित संसद्मा नेम्वाङ सभामुख थिए। पार्टी र सरकारको स्पिरिट समात्न सक्ने, कानुन र संविधानका जानकार तथा अनुभवका कारण उनी नै सभामुख बन्ने सम्भावना रहेको नेकपाका नेता बताउँछन्। महराको राजीनामालगत्तै आफू सभामुखमा इच्छुक नभएको सार्वजनिक अभिव्यक्ति दिएपछि पार्टीका अध्यक्षद्वयले सभामुखबारे नबोल्न निर्देशन दिएको नेम्वाङ बताउँछन्। प्रधानमन्त्री एवं पार्टी अध्यक्ष ओलीको रोजाइमा नेम्वाङ नै रहेको बालुवाटार स्रोत बताउँछ। तर पूर्वमाओवादीका नेताहरू भने पूर्वमाओवादीकै कोटाबाट सभामुख बनाउन पार्टी अध्यक्ष दाहालमाथि दबाब दिइरहेका छन्। यसअघि पूर्वमाओवादीको कोटाबाट कृष्णबहादुर महरा सभामुख बनेकाले यसपटक पनि पूर्वमाओवादीकै कोटाबाट सभामुख बन्नुपर्ने उनीहरूको भनाइ छ। सभामुखमा पूर्वमाओवादीबाट अग्नि सापकोटा, देव गुरुङ र पम्फा भुसालले चाहना व्यक्त गरेका छन्। उपसभामुख तुम्बाहाङ्फेले पनि सभामुखमा दाबी गरिरहेकी छन्। राष्ट्रपति विद्यादेवी भण्डारीको चाहना पनि तुम्बाहाङ्फेलाई सभामुख बनाउने छ। पार्टी अध्यक्ष दाहाल बिहीबार काठमाडौं फर्केपछि सभामुखको उम्मेदवार टुंगो लाग्ने नेताहरू बताउँछन्।"
विद्युत महसुलमा गम्भीर लापरबाही,"काठमाडौं : उच्च अदालत पाटनले लोडसेडिङका बेला नेपाल विद्युत् प्राधिकरणबाट ठूला उद्योगलाई डेडिकेटेड फिडर सुविधाअन्तर्गत ट्रंक लाइन उपभोग गर्न दिँदा महसुलमा गम्भीर लापरबाही गरेको ठहर गरेको छ। अदालतले प्राधिकरणका नाममा न्यायिक टिप्पणी लेख्दै लापरबाहीबारे ध्यानाकर्षणसमेत गराएको छ। गत असोज ५ गते भएको फैसलाको पूर्ण पाठमा यस्तो ठहर भएको हो। प्रतिष्ठित मानिएका गोल्छा समूह, अग्रवाल समूहलगायत १२ उद्योगले डेडिकेटेड फिडर सुविधाअन्तर्गत प्राधिकरणलाई महसुल बुझाउनु नपर्ने दाबीसहित उच्च अदालतमा रिट दिएका थिए। यो सुविधाअन्तर्गत प्राधिकरणले सबै उद्योगबाट ९ अर्ब ९ करोड रुपैयाँभन्दा बढी महसुल असुल हुनुपर्ने दाबी प्राधिकरणको छ। लोडसेडिङका बेला देशभरिका २ सय ९८ उद्योगप्रतिष्ठानले डेडिकेटेड फिडरको सुविधा उपभोग गरेका थिए। तीमध्ये ५८ उद्योग तथा प्रतिष्ठानले मात्र डेडिकेटेड फिडर तथा ट्रंक लाइन उपभोग गरेबापतको महसुल तिर्न बाँकी रहेको भनाइ प्राधिकरणको छ। ती उद्योगबाट ९ अर्ब ९ करोड रुपैयाँ असुलीका लागि प्राधिकरणले ताकेता गरेपछि कतिपयले अदालतमा रिट हालेका थिए। जगदम्बा सिन्थेटिक प्रालिको नै साढे ३ अर्ब रुपैयाँ विद्युत् महसुल बक्यौता छ। उद्योगहरूसँग २ वर्ष ७ महिनाको महसुल बक्यौता छ। सञ्चालकले समयमै महसुल नउठाएको भन्दै प्राधिकरणविरुद्ध अख्तियारमा उजुरीसमेत हालेका थिए। यसबारे संसद्को सार्वजनिक लेखा समितिमा पनि प्रश्न उठेको थियो। छानबिनपछि लेखा समिति र अख्तियारले डेडिकेटेड फिडर सुविधाअन्तर्गतको महसुल चाँडो असुल्न निर्देशन दिएपछि प्राधिकरण तातेको हो। छुट बिलिङ भन्दै प्राधिकरणले अदालतमा लिखित जवाफ पठाएको छ। उच्च अदालत पाटनका मुख्य न्यायाधीश नहकुल सुवेदी र टेकनारायण कुँवरको संयुक्त इजलासले तयार गरेको पूर्ण पाठमा महसुल उठाउन प्राधिकरणको गम्भीर लापरबाही देखिएको ठहर गरिएको हो। उद्योगहरूले जडान गरेको विद्युत् लाइन हाइटेन्सन सप्लाई रहेको निष्कर्षमा उच्च अदालत पुगेको छ। प्राधिकरण विद्युत् नियमावली, २०६९ को विनियम १६ (६) मा प्राधिकरणको एक सबस्टेसनबाट अर्को सबस्टेसन जोड्ने ट्रंक लाइन र रिङमेनबाट ग्राहकलाई विद्युत् लाइन नदिने व्यवस्था छ। उद्योगले ट्रंक लाइन जडान गरेको निक्र्योलसहित रिट खारेज हुने निर्णय दिएको छ। ट्रंक लाइनबाट आपूर्ति लिइरहेका कुनै ग्राहकले डेडिकेटेड फिडरसरह आपूर्ति लिन चाहेमा सोबापतको महसुल तिरेर मात्र लिन सक्ने व्यवस्था विनियमावलीमा छ। डेडिकेटेड फिडरमा परिणत नगरेकै कारण देखाएर ट्रंक लाइनबाट विद्युत् खपतको महसुल नतिर्ने छुट नरहेको अदालतले फैसलामा उल्लेख गरेको छ। प्राधिकरण विनियमावलीअनुसार डेडिकेटेड वा ट्रंक लाइनबाट विद्युत लिएबापत साबिकको महसुलभन्दा १ दशमलव ६ गुणा बढी तिर्नुपर्छ। उद्योगीले अनिवार्य महसुल तिर्नुपर्ने भए पनि प्राधिकरण लामो समयसम्म उदासिन रहेकोमा अदालतले न्यायिक टिप्पणीमार्फत असन्ुतष्टि जनाएको हो। ०७३ साउन १ गते लागू भएको विद्युत् महसुल संकलन विनियमावलीले निर्धारण गरेअनुरुपको ट्रंक लाइन र डेडिकेटेड फिडरको महसुल दर लागू गर्न लामो समय प्राधिकरण मौन रहेको अदालतले जनाएको छ। सम्बन्धित विनियमावलीबमोजिम बिलिङ नगरी बिलिङ छुट भएको भनी ०७५ फागुनमा मात्र उक्त महसुलअनुसारको बिलिङ गर्दा सम्बन्धित ग्राहकमा अन्योलको अवस्था सृजना भएको देखियो, अदालतले पूर्ण फैसलामा भनेको छ, मुलुकभर लोडसेडिङ कायम रहेको अवस्थामा निवेदक उद्योगहरूलाई उपलब्ध गराएको विशेष विद्युत् आपूर्तिवापत विनियमावलीले निर्धारण गरे बमोजिमको महसुल तत्काल बिलिङ नगरी नेपाल विद्युत् प्राधिकरणले गम्भीर लापरवाहीपूर्ण कार्य गरेको देखिएकाले सम्बन्धित निकायको ध्यानाकर्षण गर्न यो न्यायिक टिप्पणी गरिएको छ।"
भारतीय पर्यटकलाई पोखरामा अवरोध,"पोखरा : नेपाल भ्रमण वर्षको मुखैमा आएर भारतीय पर्यटकलाई कास्की प्रशासन र व्यवसायीले पोखरामा अत्तो थापेका छन्। कास्की प्रशासन र पर्यटन व्यवसायीको साझा संस्था पोखरा पर्यटन परिषद्ले भारतीय पर्यटकका बसलाई पर्यटकीय गन्तव्यमा पुग्न रोकेका छन्। बस होटलमै पार्किङ गर्न उनीहरूले उर्दी जारी गरेका छन्। यहीँ विषयलाई लिएर भारतीय पर्यटकका गाडीमाथि पोखरामा प्रतिबन्ध लगाइएको भन्दै भारतीय सञ्चार माध्यमले समाचार दिएका छन्। पर्यटन व्यवसायी त्यस्तो समाचारकै कारण यहाँ भारतीय पर्यटक नआउने चिन्तामा परेका छन्। पोखरा पर्यटन परिषद्ले होटल होटल पुगेर त्यहाँ आएका भारतीयका गाडीमा गन्तव्यमा बस नलैजान आग्रह गरिएको सूचनाको स्टिकर टाँसेको छ। पोखरा पर्यटन परिषद्का अध्यक्ष चिरञ्जीवी पोखरेलले पोखराकै व्यवसायीका गाडी प्रयोग आऊन् भन्ने आफूको चाहना रहेको सुनाए। सबै गाडी कतै लैजान नपाइने भनेका छैनौं, निजी गाडी गन्तव्यमै पुयाए हुन्छ, ठूला गाडी लैजाँदा पार्किङ समस्या भयो भनेका हौं, उनले भने, भारतमै पनि एउटा प्रान्तमा अनुमति लिएको गाडी अन्त जान पाउँदैन, हाम्रोमा पनि त्यस्तै व्यवस्थित हुनुपर्छ भन्ने हाम्रो भनाइ हो। भारतीय गाडी चालकलाई पोखराको सडकबारे जानकारी नहुँदा दुर्घटना र जाम बढेको पोखरेलले सुनाए। पोखरामा भएका साइटसिट स्पोर्टमा मात्रै भ्रमण गराउने, पोखरा राम्ररी नघुमाई फर्काएको पाइयो, उनले भने, सबै ठाउँ साइटसिट उसैले गराउने, सबै ठाउँ अस्तव्यस्त पनि उसैले बनाउने र हाम्रा सवारी जति ग्राहक कुरेर छेउ लागेर बस्ने तालले समृद्धि प्राप्त हुन सक्दैन। भारतका भाडाका सवारी साधन जथाभावी यहाँ चलाउन दिनुभन्दा यहीँका चलाउनु पर्छ भनेर व्यवस्थित गर्न खोजिएको पोखरेलले बताए। उनले भारतीयलाई रोक नलगाएको र व्यवस्थितमात्रै गर्न खोजेको प्रष्टोत्ति दिए। पश्चिमाञ्चल क्षेत्रीय होटल संघ (हान) पूर्वअध्यक्ष हरि शर्मा गैरेले भारतीय गाडी गुड्नै रोकेको सन्देश गएको जानकारी दिए। मेरै होटलमा आएका पाहुनाका गाडीमा स्टिकर टाँस्दै रहेछन्, मैले खबरदार मेरा पाहुनाका गाडीमा नटाँस भनेर हकारें, उनले अन्नपूर्णलाई सुनाए, भ्रमण वर्षको मुखमा यस्तो भएपछि पर्यटक कसरी आउँछन् ? भारतीय मिडियाले पोखरामा नो इन्ट्री इन्डियन भन्ने समाचार दिएको छ। यस्तो बेलामा भारतीयलाई गाडीलाई रोक लगाउनु गैरजिम्मेवारी भएको गैरे बताउँछन्। एकातिर चलिए पोखरा, जाऊँ है पोखरा भन्ने अनि यहाँ आएका पर्यटकलाई आउन पाउँदैनौं भन्ने नै कुनै तरिका हुन्छ ? उनले भने। कास्कीका सहायक प्रमुख जिल्ला अधिकारी श्रीनाथ पौडेलले भने भारतीय गाडीलाई रोक नलगाइएको बताए। उनले भारतीय ठूला गाडी सबै गन्तव्यमा पुग्दा साँघुरा सडकमा समस्या भएको र पार्किङ व्यवस्थापनमा कठिनाइ भएको हुँदा व्यवस्थित गर्न मात्रै भनिएको जानकारी दिए। पर्यटन परिषद्को सूचनाका कारण भारतीय पोखरा आउनै डराएको भारतको सुनौलीका एक पत्रकार आलोक जोशीले बताए। भारतीय थाइल्यान्ड, मलेसिया, सिंगापुर र इन्डोनेसिया जान छाडेर पोखरा आइरहेका छन्, उनले भने, तर, त्यस्तो सूचनाका कारण पर्यटन पोखरा जान मानेका छैनन्। उनले आफ्नै गाडी लिएर जान पाइने कारण भारतीयका लागि पोखरा र नेपालका धेरै ठाउँमा सस्तो गन्तव्य बनेको पनि बताए। सस्तो र सजिलो भएर पो भारतीय पोखरा आएका छन्, उनले भने, आफ्नै गाडी लैजान नपाएपछि कहाँ आउँछन् र ?"
एमसीसी सहायता नचाहिए नलिनू : अमेरिका,"काठमाडौं : अमेरिकाले नेपाललाई आवश्यक नभए मिलेनियम च्यालेन्ज कर्पोरेसन (एमसीसी) सहायता नलिन सुझाव दिएको छ। एमसीसीका विषयमा सत्तारूढ दलभित्रै विवाद चर्किएपछि अमेरिकाले यस्तो सुझाव दिएको हो। अमेरिकाले यसबारे अनावश्यक बहस नगर्नसमेत चेतावनी दिएको छ। नेपालमा विकास गरी गरिबी कम गर्ने उद्देश्यले आएको पाँचवर्षे परियोजना एमसीसीलाई सरकारले औपचारिक रूपमा स्वीकार गरिसकेको छ। तर सत्तारूढ दलकै केही प्रभावशाली नेताहरूले यसलाई विवादमा तानेपछि अमेरिकी अधिकारी असन्तुष्ट बनेका हुन्। यही कारण नेपाल र अमेरिकाको सम्बन्ध चिसिन पुगेको अधिकारीहरूको बुझाइ छ। सत्तारूढ दलका कतिपय नेताले नेपाली कानुनभन्दा एमसीसी किन ठूलो भन्ने प्रश्न उठाइरहेका छन्। संसद्बाट पारित गराउने हो भने यसका अधिकांश बुँदा संशोधन गर्नुपर्ने माग उनीहरूको छ। प्रधानमन्त्री केपी ओलीले भने हिउँदे अधिवेशनमा एमसीसी पारित हुने जनाउ अमेरिकालाई दिइसकेका छन्। सत्तारूढ नेकपा अध्यक्ष पुष्पकमल दाहालसहित माधव नेपाल, झलनाथ खनाल र वामदेव गौतम पक्षधर नेताले एमसीसीलाई आईपीएसको हिस्साका रूपमा लिँदै आएका छन्। उनीहरू असंलग्न र पञ्चशीलमा आधारित सम्बन्ध अवलम्बन गरेको नेपालले एमसीसीमा सहभागिता जनाउन नहुने पक्षमा छन्। यस्तै नेताहरू भीम रावल र देव गुरुङले पनि एमसीसीको चर्को विरोध गरिरहेका छन्। सत्तारूढ दलका नेताले एमसीसीका विरोधमा उत्रिएको देख्दा अमेरिकी राजदूत र्यान्डी बेरी आश्चर्यमा परेको दूतावास स्रोतले बतायो। हाम्रो मनसाय नेपाललाई असजिलो पार्ने छैन। जुन ढंगले बहस भएको छ त्यो असहजझैं देखिन्छ, एक अधिकारीले भने। नेपालको विकास होस् र यस क्षेत्रका भूमिका निर्वाह गरोस् भन्ने अमेरिकी चाहना रहेको ती अधिकारीको भनाइ छ। उनले भने, नेपालले एमसीसी अस्वीकार गरे हामी त्यहीअनुरूप तयार छौं। नेपाल हाम्रो पुरानो मित्र मुलुक हो। अमेरिकी अधिकारीहरूले एमसीसीलाई इन्डो प्यासिफिक रणनीति (आईपीएस) सँग नजोड्न पनि आग्रह गरेका छन्। अमेरिकी राजदूतले यसअघि नै भनेका छन्, आईपीएस हाम्रो आफ्नो नीति हो। यसमा अन्य मुलुकको झंै सदस्य बनेर सहकार्य गर्न आवश्यक छैन। अमेरिका छद्म रूपमा नआई खुला रूपमै आएर काम गर्छ। परराष्ट्र र अर्थ मन्त्रालयका अधिकारीले विरोधका नाममा विरोध गर्न वा सरकारसँग बार्गेनिङ गर्नका लागि केही बुझेका नेताले समेत एमसीसीबारे आपत्ति जनाइरहेको भन्दै चिन्ता व्यक्त गरेका छन्। आगन्तुक पुस्तिकामा हस्ताक्षर गरेको भिडियो हेरेर आईपीएसमा हस्ताक्षर गर्यो भनेर कराउने नेता देख्दा दिक्क लागेको छ, परराष्ट्रका एक अधिकारीले भने, हामी कस्तो कमजोर नेताको कजाइँमा रहेछौं ? अध्ययन र सोचाइ खोइ ? पूर्वमन्त्री एवम् कांग्रेस नेता डा रामशरण महतले पनि अध्ययन गरेका भन्दा पार्टी संगठन पढेर आएका नेताका कारण समस्या देखिएको बताए। उनले बुझेका नेताले पनि सत्ताका लागि बार्गेनिङ गरिरहेको भन्दै यसमा जनता चनाखो हुनुपर्ने बताए। उनले भने, आईपीएस र एमसीसी फरक हुन्। एमसीसी सुरु हुँदा आईपीएसको कुरै थिएन। एमसीसी विशुद्ध आर्थिक समृद्धिका लागि सहयोग सम्बन्धमा केन्द्रित छ। एमसीसी अमेरिकाबाट नेपालमा आउन लागेको सबैभन्दा ठूलो दुईपक्षीय सहयोग हो। २०१७ सेप्टेम्बर १४ मा नेपाल र अमेरिकाबीच उक्त सहयोग सम्झौतामा वासिङ्टन डीसीमा हस्ताक्षर भएको हो। सम्झौतामा तत्कालीन अर्थमन्त्री ज्ञानेन्द्रबहादुर कार्कीले हस्ताक्षर गरेका थिए। यसमा अमेरिकाको ५६ अर्ब र नेपालको १३ अर्बको लगानी छ। पूर्वप्रधानमन्त्रीहरूले समेत एमसीसीलाई अनेकन् बार्गेनिङको विषय बनाउँदा शक्ति मुलुकसँग सम्बन्ध बिग्रने विषय किन चासोमा रहेन ? छिमेकीले पनि शक्ति मुलुकसँगको सम्बन्ध बिगार्न चाहेको देखिँदैन। तर हामी बुज्रुक भएर अघि बढेका छौं, डामहतले भने। उनका अनुसार एकै पटक पचास अर्बभन्दा बढी सहयोग अनुदान आउनु चानचुने विषय होइन। एमसीसी विश्वव्यापी गरिबी न्यूनीकरण गर्न अल्पविकसित तथा विकासोन्मुख मुलुकलाई दिने सहायताका रूपमा सन् २००४ मा स्थापित सहायता संयन्त्र हो। यो सहायता अमेरिकाको सत्ता र प्रतिपक्ष दुवैले पारित गरेपछि मात्र सम्बन्धित मुलुकमा पुग्नेछ। यसैले सहयोग लिने मुलुकले पनि संसद्बाटै पारित गर्नुपर्ने प्रावधान छ। अमेरिकाले ४४ मुलुकमा यो कार्यक्रमअन्तर्गत सहयोग गरिरहेको छ। नेपालले कम्बोडिया, भेनेजुयला, उत्तर कोरिया वा त्यो स्तरको मुलुकका विषयमा वैचारिक सहकार्य गर्ने र सत्तामा जाने जोडघटाउका लागि विश्व शक्ति मुलुकलाई खेलाँची गरेर चिढ्याउनु राम्रो होइन, पूर्वराजदूत डा दिनेश भट्टराईले भने, हामीले कोसँग निहुँ खोजेका छौं त्यो ध्यान दिनुपर्छ। छिमेकी चीनले अघि बढाएको बीआरआई रणनीतिमा सदस्य नै बनेर खुला बहस गर्ने अनि एमसीसीको विरोध गर्नुमा राजनीतिक उद्देश्य झल्किएको उनको बुझाइ छ। उनले भने, एमसीसी र बीआरआईका आआफ्नै लक्ष्य होलान्। तर, हामीले नेपाललाई फाइदा हुने सहयोग लिन चुक्नु हुन्न। एमसीसीलाई संसद्को यसै अधिवेशनबाट अनुमोदन गराउने तयारी सरकारले गरेको छ। एमसीसी हिउँदे अधिवेशनमा पारित नभए अमेरिकाले समय नथप्ने भएको छ। उपप्रधान तथा रक्षामन्त्री ईश्वर पोखरेलले एमसीसीलाई रोक्न नहुने बताए। उनले भने, प्रसारण लाइन र सडकको स्तरोन्नति आफंैमा अर्थपूर्ण काम हो। यसलाई रोक्न हुँदैन। एमसीसीलाई राष्ट्रिय गौरवको परियोजनाअन्तर्गत राखेर अघि बढाउने नीति सरकारको छ। आईपीएस होइन एमसीसी परराष्ट्रमन्त्री प्रदीप ज्ञवालीले एमसीसी राष्ट्रिय हितका पक्षमा रहेको बताएका छन्। राष्ट्रिय सरोकार तथा समन्वयन समितिको बैठकमा बुधबार परराष्ट्रमन्त्री ज्ञवालीले एमसीसीलाई गलत तरिकाले नबुझ्न अनुरोध गरे। यो सम्झौता कोसँग गरिरहेका छौं भन्नेतिर नजाऊँ, हामीले कस्तो परिस्थितिमा गरिरहेका छौं भन्नेतिर जाऊँ, उनले भने, विकासका लागि एमसीसी महŒवपूर्ण छ। इन्डोप्यासेफिक नीति (आईपीएस) सँग एमसीसीलाई नहेर्नसमेत उनले अनुरोध गरे। यसलाई इन्डोप्यासिफिकसँग जोड्न हुँदैन, सैन्य गठबन्धनसँग पनि यसको सम्बन्ध छैन, उनले भने, हामीले अध्ययन गरेर ऊर्जा तथा सडकमा लगानी गर्दा उचित हुने भएपछि एमसीसीको सम्झौता गरिएको हो।"
