शीर्षक,विवरण
असान्दर्भिक समन्वय समिति,"किन चाहियो जिल्ला समन्वय समिति ? यो विषयमा कतै आवाज उठेको थिएन । साधारण खर्च अचाक्ली वृद्धि हुँदै गएको पृष्ठभूमिमा अधिकारविहीन संस्था किन राख्ने ? कतैबाट प्रश्न उठेकै थिएन । जिल्ला समन्वय समिति भोजपुरकी उपप्रमुख अनिशा खड्काकै गुनासो सुन्ने हो भने यो संस्था आवश्यक छैन । उनको प्रस्ताव छ, भूमिकाविहीन पदाधिकारी हुनुभन्दा पद हटाए हुन्थ्यो । अब जिल्ला समन्वय समिति राख्ने या नराख्ने विषयमा बहस हुनु आवश्यक छ । हो, गाउँ तथा नगरपालिका अधिकारविहीन हुँदा जिल्ला विकास समिति प्रभावशाली संस्था थियो । जिविसका सभापति हुन जिल्लास्तरका नेताहरूको होडबाजी चल्थ्यो । विकास खर्चमा डाडुपन्यू चलाउन पाउने हुँदा स्थानीय विकास अधिकृत (एलडीओ) बन्ने ध्याउन्नमा उपसचिवसहसचिवहरू लाग्थे । कार्यकारिणी अधिकारसम्पन्न सभापति र एलडीओको जिल्लामा सान र मान बेग्लै हुन्थ्यो । नयाँ संविधानले गाउँ र नगरलाई अधिकार सम्पन्न तुल्याउँदै प्रभावशाली स्थानीय तहमा रुपान्तरित गर्यो । सँगै जिल्ला विकास समितिहरू जिल्ला समन्वय समिति मा परिणत भए । संविधान र कानुनतः यो कार्यकारिणी भूमिकाविहीन संस्था बन्यो । गाउँनगरमा निर्वाचित जनप्रतिनिधि पहिलाको जिविसका पदाधिकारी जस्तै ठान्दै जिल्ला समन्वय समितिको पदाधिकारी बन्न गए । तर, गाउँ तथा नगर पदाधिकारी कार्यकारिणी सम्पन्न र आफूहरू चाहिँ कार्यकारिणी अधिकारविहीन भएको देखेपछि आफ्नै पदलाई असहज ठान्दैछन् । हुन पनि समन्वय समितिमा जिल्लास्तरका सक्रिय राजनीतिक नेताहरू निर्वाचित भएका छन् । तर, अधिकार, काम र भूमिका नभएपछि तिनलाई दिन काट्नै गाह्रो भएको छ । अब उनीहरू गुनासाका मुठो बनाउँदैछन् । संविधानतः गाउँ र नगरपालिकाबीच समन्वय गर्ने, विकासमा सन्तुलन हेर्ने, अनुगमन गर्ने, संघ र प्रदेश कार्यालयबीच समन्वय गर्ने अधिकार प्राप्त छ । त्यसअतिरिक्त प्रदेशले बनाएका कानुनमा आधारित रहेर काम गर्नेसम्मको व्यवस्था छ । जिल्ला समन्वय समितिका निम्ति अझसम्म पनि प्रदेशले कानुन बनाइदिएका छैनन् । समन्वय समितिलाई स्थानीय सरकार सञ्चालन ऐन २०७४ ले पनि केही अधिकार दिएको छ । उसले जिल्लाभित्रका विकास निर्माण प्रभावकारी बनाउन वर्षमा एक पटक समीक्षा गर्ने अधिकार पाएको छ । अर्काे त, उसलाई गाउँ र नगरपालिकाका कामको गुणस्तर अनुगमन गर्ने र निर्देशन दिने जिम्मेवारी प्राप्त छ । अनुमगनका क्रममा आर्थिक अनियमितता या भ्रष्टाचारका विषय हेर्ने अधिकार समन्वय समितिलाई प्राप्त छैन । त्यसकारण अनुगमन को अर्थ पनि देखिन्न । त्यसअतिरिक्त समन्वय समितिकै पदाधिकारीहरूको गुनासो छ, गाउँ र नगरपालिकाले निर्देशन पालना गर्दैनन् । जिल्लाको गाउँ तथा नगरपालिकामा जुन पार्टीको वर्चश्व हुन्छ, त्यही पार्टीका जिल्लास्तरका नेताहरू समन्वय समितिका पदाधिकारी निर्वाचित भएका हुन्छन् । तिनले आफ्नै पार्टी नेता तथा कार्यकर्ताबाट भएका कामको निष्पक्ष अनुगमन र मूल्यांकन हुन्छ भन्ने विश्वास पनि गर्न सकिन्न । तिनै पदाधिकारीले समन्वय समितिको भूमिका र काम के हो भन्ने प्रश्न उठाएको पृष्ठभूमि हाम्रासामु आएको छ । यसरी अन्यौलग्रस्त संस्था किन राख्ने, पदाधिकारी र कर्मचारी किन पाल्ने ? स्वाभाविक प्रश्न उब्जिएको छ । भूमिकाविहीन ७७ जिल्ला समन्वय समितिका पदाधिकारी, कार्यालय, पदाधिकारी र कर्मचारीका निम्ति राज्यकोषकै ठूलै रकम खर्च भइरहेको छ । हो, स्थानीय तहमा आर्थिक अनियमितता, अनुचित नियुक्ति र राजनीतिक आग्रहपूर्वाग्रहका कारण स्रोत बाँडफाँट पनि न्यायोचित हुन सकेको छैन । यस्ता विकृतिविसंगति र भ्रष्टाचार नियन्त्रण गर्न बरु जिल्ला समन्वय समिति खारेज गरी त्यो ठाउँमा अख्तियार दुरुपयोग अनुसन्धान आयोगको संरचना विस्तार गर्नु उपयुक्त देखिन्छ । किनभने आयोगको कार्यालय केन्द्र र प्रदेशस्तरीय मात्र छन् । स्थानीय तहमा आर्थिक अनियमितता, भ्रष्टाचार, राजनीतिक कार्यकर्ताहरूको भर्ती केन्द्र बनाउँदै नागरिकको करमाथि बोझ बढाएको दृश्य छताछुल्ल भइरहेका छन् । बग्रेल्ती विज्ञ भर्ती भएका छन् । तर विज्ञका रूपमा स्थानीय तहका नेताका छोराछोरी, आफन्त र कार्यकर्तालाई जागिर दिलाएका छन् । विना प्रतिस्पर्धा तोकका आधारमा भर्ती भएकाहरूको योग्यता खोजिएको छैन र जसको अनुमगमन समेत हुँदैन । यसमा नियन्त्रण गर्ने संस्था आवश्यक छ । स्थानीय सरकारलाई स्वच्छ र स्वस्थ बनाउन यसबारे संघ र प्रदेश संसद्मा गम्भीर बहस हुनुपर्छ । कामविनाको संस्थाका निम्ति राज्यको सम्पत्ति खर्चिनु हुन्न । कुनै संस्था आवश्यक छैन भने संविधान र कानुन संशोधन गरेरै भए पनि विकल्प खोज्नु उपर्युक्त हुन्छ ।"
अन्ततः हारिन् विष्णुमाया,"चितवन : क्यान्सर लागेको थाहा पाउँदा चौथो स्टेजमा पुगिसकेको थियो। यस्तो अवस्थाको क्यान्सरलाई चिकित्सकहरू अन्तिम अवस्था मान्छन्।त्यसबेला डाक्टरले विष्णुमाया खरेलको आयु तीन महिना तोकेका थिए। जब डाक्टरले त्यहाँ उनको आयु तीन महिना तोकिदिए, परिवार पूरै हतास र निराश हुन पुग्यो। त्यो घोषणाको सामना आफैंमा भयंकर पीडादायी क्षण थियो। उनले आफूलाई सम्हालेर क्यान्सरलाई चुनौती दिइन्। निधन हुनुभन्दा केही घण्टासम्म उनी मलाई केही हुँदैन भन्दै आफन्त र साथीभाइसँग रम्दै थिइन्। उनको साहस र हिम्मतले लम्बिएको आयु देखेर चिकित्सक नै दंग परे। अन्तिम स्टेज भनिएको क्यान्सरसँग झन्डै तीन वर्षसम्म उनी जुधिरहिन्। तीन महिनाको म्याद पाएकी उनी ३४ महिनासम्म क्यान्सरसँग लडिन्। अन्नतः आइतबार राति उनले क्यान्सरसँग हार खाइन्। पुरानो मेडिकल कलेजमा उनको निधन भएको हो। २०७४ वैशाखमा उनलाई चौथो स्टेजको क्यान्सर देखिएको थियो। पछिल्ला दुई महिना उनी कमजोर हुँदै गइन्। उनको अवस्थाले चिन्तित परिवारलाई उनको बोलीले राहत दिन्थ्यो। बोलीमा कमान्डिङ भ्वाइस थियो, उनका श्रीमान् डा प्रमोद लामिछानेले भने, अन्तिम अवस्थामा पनि मलाई केही हुँदैन भन्दै रोगसँग लड्ने हिम्मत गरिन्। बिरामी अवस्थामा पनि डा विष्णुमाया खरेल आफैंले सञ्चालन गरेको एलाइभ अस्पतालको व्यवस्थापनमा सक्रिय थिइन्। निधन भएकी उनी पेसाले दन्त चिकित्सक थिइन्। क्यान्सरको उपचारमा रहँदा पनि उनले बिरामीको दाँत उपचार गरिरहेकी थिइन्। उनलाई तीन चरणमा १८ सर्कलको केमो लगाइएको थियो। कतिपय बिरामीको पहिलो चरणको केमोथेरापी समेत सहन नसकी निधन हुन्छ। सबै चरणको केमोथेरापी सकिँदा पनि उनको हिम्मत कम थिएन। क्यान्सर लागेर यति लामो समय बाँचेकी उनलाई देखेर उपचारमा संलग्न चिकित्सक दंग परेका थिए। बिपी कोइराला मेमोरियल क्यान्सरका मेडिकलक अंकोलोजिस्ट डा गुरुशरण शाहले उपचारसँगै बिरामीको आत्मबलले आयु लम्बिएको बताए। चौथो स्टेजको क्यान्सर लागेर यति लामो बाँचेको देख्दा छक्क पर्यौं, उनले भने, क्यान्सर लाग्दैमा मरिने होइन, उपचारसँगै हिम्मत चाहिन्छ भन्ने कुरा समाजका लागि उहाँको जीवन अर्को उदाहरण बनेको छ। डिम्बासयमा क्यान्सर लागेको थाहा पाएपछि विष्णुमायाले दिल्लीको बीएलके अस्पतालमा उपचार गरेर बाँकी भरतपुरको सेन्ट्रल अस्पतालमा उपचार गरिन्। खरेल दम्पतीले पेटमा ११ हप्ताको बच्चा र अन्तिम स्टेजको क्यान्सर भएको एकैपटक थाहा पाएका थिए। विष्णुमायालाई देख्नेहरू चकित पर्थे।"
कोरोना प्रभाव : ठूला नाकामा मात्रै निगरानी,"परासी भैरहवा : भारतमा कोरोना संक्रमितको संख्या बढिरहेका बेला देशका दक्षिणी सीमावर्ती नाका जोखिममा छन्। यीनै नाकाबाट दैनिक सयौं नेपाली र भारतीयसहित तेस्रो देशका पर्यटक नेपाल भित्रिन्छन्। ३३ जना संक्रमित र करिब ३० हजारलाई क्वारेन्टाइनमा राखिएको भारतमा संक्रमण अझै फैलिने जोखिम छ। भारतसँग सीमा जोडिएको प्रदेश ५ त्यसको जोखिममा छ। सीमाका ५ ठूला नाकामा हेल्थ डेस्क राखेर निगरानी गरिएको छ। प्रदेशमा अन्य दजनौं साना नाका छन्। जहाँबाट भारतीय र नेपालीको निर्वाध आवतजावत भइरहेको छ। ती नाकामा निगरानी छैन। भारतीय बजारमा किनमेल गर्नसमेत नेपालीले जान छाडेका छैनन्। अहिलेसम्म रूपन्देहीको बेलहिया, नवलपरासीको महेशपुर, कपिलवस्तुको कृष्णनगर, दाङको कोइलावास र बाँकेको जमुनाहा नाकामा हेल्थ डेस्क स्थापना गरिएको छ। पर्याप्त उपकरणबिनै राखिएका यी डेस्कले प्रभावकारी काम गर्न सकेका छैनन्। स्वास्थ्यकर्मीसमेत थोरै छन्। दैनिक ३६ भन्दा बढी बस नेपाल प्रवेश गर्ने बेलहिया नाकामा २ जना मात्र स्वास्थ्यकर्मीले परीक्षण गर्छन्। थोरै जनशक्ति भएकाले परीक्षणमा कठिनाइ भइरहेको उनीहरू बताउँछन्। रूपन्देहीका सहायक सीडीओ भरत शर्माले जनशक्ति नथपिउन्जेल निगरानी खासै प्रभावकारी नहुने बताउँछन्। कोरोना भाइरस (कोभिड१९) बाट सुरक्षित रहन पश्चिम नवलपरासीका सीमा क्षेत्रमा स्वास्थ्य सहायता कक्ष (हेल्प डेस्क) स्थापना गरिएको छ। नवलपरासीमा साना नाका बन्द गर्न छलफल चलाइएको छ। जिल्लाको पश्चिमी क्षेत्र भारतको उत्तर प्रदेश र बिहारसँग जोडिएको छ। स्वास्थ्य कार्यालयको समन्वयमा नगरगाउँपालिकाले सीमामा हेल्प डेस्क स्थापना गरेका हुन्। पहिलो चरणमा सबैभन्दा बढी आवतजावत हुने प्रमुख नाका महेशपुरमा स्वास्थ्यकर्मी खटाएर परामर्श र परीक्षण सुरु गरिएको पाल्हीनन्दन गाउँपालिकाका अध्यक्ष दीपक गुप्ताले बताए। प्रमुख नाकामध्ये बिस्नुपुरा पनि भएकाले त्यहाँ पनि डेस्क स्थापनाको तयारी भएको गुप्ताले बताए। जनशक्ति अभावले हेल्प डेस्क सबै नाकामा राख्न समस्या छ। सकभर प्रमुख नाकाबाट मात्र आवतजावत गर्न सूचना निकाल्ने तयारी गरेका छौं, उनले भने। महेशपुरमा राखिएको डेस्कमा अहिलेसम्म ३ सयले परामर्श र स्वास्थ्य परीक्षण गराएको स्वास्थ्य कार्यालय प्रमुख गौरव ढकालले बताए। ती सबै भारतबाट आएका हुन्। कोरोनासँग मिल्दोजुल्दो लक्षण (ज्वरो आउने, टाउको दुख्ने, रुघा लागेका) देखिएकाको स्वास्थ्य परीक्षण गरी अस्पताल जान सुझाएको उनले बताए। सबै वडामा माइकिङ गरेर सचेतना कार्यक्रम थालेको छ। पक्लिहवामा हेल्प डेस्क स्थापनाको तयारी गरेको छ, सुस्ता गाउँपालिकाका अध्यक्ष रामप्रसाद पाण्डेले भने। अन्य सहायक नाका बन्द गरेर प्रमुख नाकामध्येका २३ वटाबाट मात्र आवतजावत गर्ने व्यवस्था मिलाउन लागिएको उनले बताए। प्रमुखमध्येको भुजहवामा पनि आइतबार हेल्प डेस्क राखेर परामर्श र परीक्षण सुरु गरिएको सरावल गाउँपालिकाका अध्यक्ष राधेश्याम चौधरीले बताए। प्रतापपुरको झोलनीपुर पनि आवतजावत गर्ने प्रमुख नाकामा पर्छ। यहाँ डेस्क स्थापना गर्न पहल भइरहेको प्रतापपुर गाउँपालिकाका अध्यक्ष राजकुमार शर्माले बताए। बस सञ्चालन जोखिममा नेपालभारत दैनिक दर्जनौं बस आवतजावत गर्छन्। भारतको राजधानी दिल्ली, लखनऊ, बनारसका लागि पोखरा, काठमाडौं, बुटवल, भैरहवा, कृष्णनगर, अर्घाखाँचीलगायत ठाउँबाट दिनहुँ दुई दर्जनभन्दा बढी बस छुट्छन्। उताबाट पनि नेपालका यी सहरका लागि बस आउँछन्। यसबाहेक सरकारी स्तरबाटै नेपालभारत मैत्री बस पनि सञ्चालनमा छन्। नेपालभारत चल्ने बसका अधिकांश यात्री नेपाली र भारतीय हुन्। यी बसमा कोरोना प्रभावितसँगै अन्य सहरबाट दैनिक हजारौँ नेपाली र भारतीय आइरहेका छन्। तर उनीहरूको स्वास्थ्य परीक्षण हुँदैन। यसबाट संक्रमणको जोखिम बढेको छ। सीमाका हेल्थ डेस्कमा तेस्रो मुलुकका नागरिकको मात्र स्वास्थ्य परीक्षण हुने गर्छ। परीक्षण नहुँदा नेपालभारत चल्ने बसबाट दुवै मुलुकमा भयावह संक्रमण हुन सक्ने देखिएको छ। जोखिम न्यून गर्न तत्काल नेपालभारत बस सेवा रोक्नुपर्ने सरोकारवाला बताउँछन्। रूपन्देहीका साना नाकामा पनि कुनै निगरानी छैन। रूपन्देहीका सीडीओ महादेव पन्थले तेस्रो मुलुकका नागरिकसँगै शंकास्पद लागेको अवस्थामा नेपाली र भारतीयको पनि सीमाका हेल्थ डेस्कमा स्वास्थ्य परीक्षण हुने बताए।"
होलीमय बुटवलको ट्राफिकचोक,रुपन्देही : तराई क्षेत्रमा मंगलबार होली मनाइएको छ । प्राय होलीको दिन बुटवलको ट्राफिकचोकमा अध्याधिक भीड हुने गर्दथ्यो । त्यहाँ हुने सांगीतिक कार्यक्रम हेर्न मानिसहरु ठूलो संख्यामा जम्मा हुने गर्दथे । जसका कारण सवारी साधन ओहोरदोहोर गर्न पनि समस्या हुन्थ्यो । तर अहिले ट्राफिकचोकमा कुनै सांगीतिक कार्यक्रम राखिएको थिएन । तर पनि होलीको रौनकले कोरोनाको त्रासलाई भूलाएको जस्तो देखिन्थ्यो । सांगीतिक कार्यक्रम नहुँदा होली खेल्नेको जमात छरिएर रहेको थियो । सडकका पेटीहरूमा रंग दलेकाको ताँती थियो । होलीमा रम्ने आकाशेपुलमा पनि उत्तिकै थिए ।
जबरजस्ती रंग दल्ने दुई महिला पक्राउ,धरान : होलीका दिन मंगलबार जबरजस्ती रंग दल्ने दुई महिला पक्राउ परेका छन् । धरान उपमहानगरपालिका १९ स्थित हरियाली सामुदायिक वन छेउमा सर्वसाधारणलाई जबरजस्ती रंग दली झगडा गर्ने महिलालाई पक्राउ गरिएको इलाका प्रहरी कार्यालय धरानका डिएसपी ढुण्डीराज न्यौपानेले बताए । पक्राउ पर्नेमा स्थानीय कुमारी राई र दिलु गौतम छन् । उनीहरूले जबरजस्ती रंग दलेर विवाद गरी झगडा गरेका कारण पक्राउ गर्नु परेको डिएसपी न्यौपानेले बताए । होलीकै दिन विना हेलमेट सवार रहेको र तीन जना सवार रहेका चारवटा मोटरसाईकल र एउटा स्कुटर नियन्त्रणमा लिएको न्यौपानले बताए । होलीका दिन सदाझैं भिडभाड देखिने धरान मंगलबार सुनसान छ । धरान बजार पूर्ण रुपमा बन्द रहे पनि सडकमा होली खेल्ने मानिस छैनन् । केहि युवायुवतीले भने सामान्य होली मनाएका छन् ।
प्रेस लेखेको मोटरसाइकलमा लागूऔषध,"सिमरा : प्रेस लेखेको मोटरसाइकलमा लागूऔषध ओसारपसार गर्ने भारतीय नागरिकसहित दुइजनालाई प्रहरीले पक्राउ गरेको छ । इलाका प्रहरी कार्यलय सिमराको प्रहरी टोलिले नौ सय थान प्रतिबन्धित लागूऔषध फेनारगन, डाइजीपाम र नुफिनसहित दुई जनलाई पक्राउ गरेको हो । पक्राउ पर्नेमा वीरगन्ज महानगरपालिका १५ का ३० वर्षीय जितेन्द्रकुमार सिंह र भारत बिहारका २२ वर्षीय नासिर आलम रहेका छन् । सिंहलाई ना ६२ प ६२६७ नम्बरको मोटरसाइकल र आलमलाई साइकलसहित नियन्त्रणमा लिइएको प्रहरी नायव उपरीक्षक गोविन्द पुरिले जानकारी दिए । लागूऔषध बिक्री गर्न ल्याइरहेको सूचना पाएपछि खटिएको प्रहरी टोलीले जाँच गर्ने क्रममा उनीहरुलाई पक्राउ गरेको डिएसपी पुरीले बताए । सिंहले प्रयोग गरेको मोटरसाइकलमा प्रेस लेखिएको छ । पक्राउ परेका सिंह भने पत्रकारिता क्षेत्रका होइनन् । उनले लागूऔषध ओसारपसार र बिक्री गर्न मोटरसाइकलमा प्रेस लेखेर दुरुपयोग गरेको देखिन्छ । प्रारम्भिक अनुसन्धानबाट राजमार्गमा चेकजाँच नहोस् भनेर प्रेस लेखेको मोटरसाइकल प्रयोग गरेको हुनसक्ने देखिएको डिएसपी पुरीले बताए । प्रेसको दुरुपयोग गरिएको मोटरसाइकल कसको नाममा दर्ता भएको अनुसन्धानबाट खुल्ने र पक्राउ परेकालाई लागूऔषध मुद्दामा कारवाही गरिने डिएसपी पुरीले जानकारी दिए ।"
गृहमन्त्रीका भाइले गरे आत्मसमर्पण,काठमाडौं : गृहमन्त्री रामबहादुर थापाका भाइ नरेश थापाले डिल्लीबजार कारागारमा आत्मसमर्पण गरेका छन्। उनले गत सोमबार जेलमै पुगेर आत्मसमर्पण गरेका हुन्। निर्माण व्यवसायी महासंघका अध्यक्ष शरद गौचनको गोली हानी हत्या गर्ने मुख्य अभियुक्त समिरमानसिंह बस्न्त्यातसँग नरेशको फोन सम्पर्क र भेटघाटपछि उनी विवादमा आएका थिए। प्रहरीको केन्द्रीय अनुसन्धान ब्यूरोले अनुसन्धान गर्दा नरेशको सम्पर्क बस्न्त्यातसँग रहेको रहस्य खुलेको थियो। फिरौती असुलीमा धम्की दिएको आरोपमा पक्राउ परेका नरेश नगरकोटी र पवन खड्कासँग समेत नरेशको भेटघाट र सम्पर्क देखिएको थियो। ब्यूरोले नरेशलाई समेत प्रतिवादी बनाएर अदालतमा मुद्दा दर्ता गरेपनि उनी छुटेका थिए। पछि उच्च अदालत पाटनले नरेशलाई पक्राउ गरेर थुनामा राख्न प्रहरीलाई आदेश दिएको थियो। फरार हुँदै आएका नरेशले गत सोमबार आफैं कारागारमा आत्मसमर्पण गरेको जानकारी डल्लीबजार कारागारले जनाएको छ।
वीरगन्जमा छैन होलीको रौनक,"वीरगन्ज: तराई मधेसमा सद्भाव र आत्मियता साटासाट गर्दै मनाइने होली पर्वको वीरगन्जमा भने पहिलेको जस्तो यसपाली रौनक देखिएको छैन। पहाडि र हिमाली जिल्लामा सोमबार नै होली पर्व मनाइएको छ भने तराई मधेसमा भने यसपाली मङगलबार र बुधबार गरी दुई दिन मनाइँदैछ । तराई मधेसमा होली पर्व तिथीले मङगलबार नै परेको भएपनि पर्सा, बारालगायतका मधेसका जिल्लामा अधिकांशले मङगलबा होली मनाएका छैनन् । उनीहरुले बुधबार मनाउने भएका छन् ।मङगलबार फाट्टफुट्टले मात्र होली मनाएका छन् । तराई मधेसमा मङगलबारका दिन माछामासु नखाने चलन छ। अधिकांशले खानपानकै कारण मङगलबार नभइ बुधबार मात्रै होली मनाउने भएका हुन् । जसका कारण वीरगन्जमा मङगलबार होलीको खासै उल्लाश र रौनक देखिएको छैन। यसका साथै कोरोना भाइरसको संत्रासले पनि तराई मधेसको होलीलाई केही प्रभाव पारेको छ । वीरगन्जमा होलीका लागि संचालनमा आएका पसल सुनसान देखिएका छन् । मिठाइ पसलमा पनि पहिलेको होलीको जस्तो कारोबार नभएको वीरगन्जको माइस्थनमा रहेको ओम स्वीट्सका सन्चालक उमेश साह बताउँछन् । वसन्त ऋतुको आगमनसँगै आपसी मेलमिलाप र सद्भावनाको सन्देश लिइ आउने फागु पर्व परम्परागत रूपमा विभिन्न रङ लगाएर र लोला खेली मनाउने चलन छ ।"
कर्णालीमा हच्किए विदेशी दाता,"सुर्खेत : पूर्वाधार विकास र सामाजिक रूपान्तरणमा लगानी गर्दै आएका अन्तर्राष्ट्रिय गैरसरकारी संस्था (आईएनजीओ) ले कर्णालीमा अनुदान घटाउन थालेका छन्। स्थानीय र प्रदेश सरकार गठन भएपछि आईएनजीओले कर्णालीबाट हात झिक्न थालेका हुन्। यसअघि आईएनजीओले आफैले योजना बनाएर लगानी गर्दै आएका थिए। स्थानीय र प्रदेशले आफ्ना योजनालाई टेवा पुग्ने गरी काम गर्न दबाब दिन थालेपछि दाता हच्किएका हुन्। दाताले अनुदान घटाएपछि कर्णालीमा क्रियाशिल गैरसरकारी संस्था (एनजीओ) संकटमा पर्न थालेका छन्। आफैंले अघि सारेका भौतिक पूर्वाधार निर्माणका क्षेत्रमा मात्र लगानी गर्न प्रदेशले एनजीओ र आईएनजीओलाई निर्देशन दिदै आएको छ। सरकार र प्रदेशको नीतिसँग आफ्ना योजना सञ्चालन गर्न नसक्ने भएपछि दाताले अनुदान घटाएका हुन्। कर्णालीको गरिबी, स्वास्थ्य, अशिक्षा र सामाजिक पछौटेपन अन्त्य गर्न दर्जनभन्दा बढी विदेशी संघसंस्थाले लगानी गर्दै आएका थिए। दाताले अनुदान घटाएपछि यहाँका एनजीओले पनि आफ्ना कार्यक्रम र कर्मचारी कटौती गरेका छन्। सुर्खेतको गैरसरकारी संस्था सुन्दर नेपालसँग दुई वर्ष अघिसम्म विभिन्न ११ कार्यक्रम थिए। सामाजिक रूपान्तरण र आयमूलक क्षेत्रमा विभिन्न जिल्लामा क्रियासिल यो संस्थामा एक सय ५८ कर्मचारी थिए। तर कर्णाली प्रदेशले स्पष्ट नीति नबनाउँदा दाताले लगानी रोके। अनुदान घटेपछि धेरै संस्थाले ठूलो संख्यामा कर्मचारी र कार्यक्रम कटौती गरे। प्रदेशले स्पष्ट नीति नबनाउँदा दाताले लगानी रोक्न थालेका सुन्दर नेपालका कार्यक्रम संयोजक खिमबहादुर रेग्मीले बताए। दैलेखमा दर्ता भएको सामाजिक सेवा केन्द्र (सोसेक) ले पनि कार्यक्रम र कर्मचारी कटौती गरेको छ। विगतमा १४ वटा कार्यक्रम सञ्चालन गर्दै आएको सो संस्थासँग हाल नौं वटा कार्यक्रम छन्। संस्थाले दैलेखसहित सुर्खेत, कालिकोट र अछामसम्म कार्यक्षेत्र विस्तार गरेको थियो। दाताको सहयोग घट्दै गएपछि हाल सोसेकसँग सीमित कार्यक्रम र कर्मचारी रहेका सो संस्थाका उपकार्यकारी निर्देशक वसन्त श्रेष्ठ बताउँछन्। प्रदेशबाट संघ संस्थालाई नियन्त्रण गर्ने खालका अभिव्यक्ति आउनु र प्रदेशको प्रस्ट नीति नबन्दा दाता हच्किएका उनको ठहर छ। जाजरकोटको पाँचतारा युवा संरक्षण मञ्चको कार्यक्षेत्र पनि खुम्चिएको छ। यसअघि जुम्ला, सुर्खेत र जाजरकोटमा कार्यक्षेत्र बनाएको मञ्च अहिले जाजरकोटमा मात्रै सीमित छ। स्थानीय तहले विकास निर्माण मात्र लगानी गर्नुपर्ने अभिव्यक्ति दिन थालेपछि दाताले लगानी घटाएको मञ्चका कार्यकारी निर्देशक छवि पन्तले बताए। गैरसरकारी संस्था महासंघ कर्णाली प्रदेशका अध्यक्ष हरिप्रसाद अधिकारी दाताले प्रदेश सरकारको नीति कुरिरहेको बताउँछन्। उनी भन्छन्, कर्णालीमा ठूलो लगानी र दाता आउन खोजिरहेका छन्, तर प्रदेशको स्पष्ट नीति नआउँदा दाता अलमलमा परेका हुन्। प्रदेश सरकारले भने दाता र एनजीओ लखेटने नीति नभएको जनाएको छ। भूमि व्यवस्था, कृषि तथा सहकारी मन्त्री विमला केसी भन्छिन्,संघसंस्था लखेट्ने हाम्रो नीति छैन, बरू प्रदेशको आवश्यकता अनुसार परिणाममुखी काम गर्नेगरी गैससहरू एकद्वार नीतिमा आउनुपर्छ। दाताको लगानी चेतनामुलक अभियान भन्दा पनि भौतिक पूर्वाधारको क्षेत्रमा केन्द्रित हुनुपर्ने उनको तर्क छ।"
कतारमा नेपालीलाई प्रतिबन्ध,"काठमाडौं : नेपालीहरुको प्रमुख श्रम गन्तव्य कतारले नेपालीसहित १४ मुलुकका नागरिकलाई कतार प्रवेशमा अस्थायी प्रतिबन्ध लगाएको छ। कोरोना भाइरसको संक्रमणको जोखिम बढेपछि कतारले नेपालसहित चीन, भारत, बंगलादेश, इजिप्ट, इरान, इराक, लेबनान, पाकिस्तान, फिलिपिन्स, दक्षिण कोरिया, श्रीलंका, सिरिया र थाइल्याण्डका नागरिकलाई आफ्नो देश प्रवेशमा प्रतिबन्ध लगाएको हो। कतारमा कोरोना संक्रमितको संख्या बढेको पुष्टी भएपछि उक्त कदम चालिएको हो। कतारमा झण्डै ४ लाख नेपाली कार्यरत छन्। कतारको राष्ट्रिय ध्वजाबहाक विमान सेवा कतार एयरवेजले भने बुकिङ पछिसार्ने सुविधा दिएको छ। कतारमा सन् २०२२ मा फिफा वल्र्डकप आयोजना हुँदै छ। नाकाबन्दीको भूमरीबाट बाहिरिँदै गरेको कतारी अर्थतन्त्र विश्व फुटबल मेलापछि पुनर्जागृत हुने अपेक्षा थियो। त्यसपछि नेपाली कामदारलाई थप अवसर सिर्जना हुने अनुमान गरिएको थियो। कतारले कामदार लिन प्रतिबन्ध लगाएपछि नेपालले त्यहाँबाट प्राप्त गर्ने रेमिट्यान्स घट्ने छ।"
