शीर्षक,विवरण
पीडितलाई न्याय देऊ,"सर्लाहीमा एक व्यक्तिले गरिब तथा निमुखालाई ऋण दिई आफूखुसी तमसुक गराएको पाइएको छ। पीडितले न्याय खोज्दै राजनीतिक दलका नेतादेखि मन्त्रीसम्मका घर धाउन थालेपछि यो तथ्य बाहिर आएको हो। सर्लाहीका श्यामकृष्ण साह कलवार (परदेशी) ले ऋण दिने नाममा २९९ जना स्थानीयलाई पीडित बनाएको पाइएको छ। पीडितका अनुसार कलवारले दिएको ऋणभन्दा कैयन् गुणा बढाएर असुलउपर गर्दा रहेछन्। एउटा ऋणीबराबर विभिन्न बहानामा सातवटासम्म तमसुक बनाउने गरेको खुलेको छ। दुई लाख ऋण लिएकालाई १० लाखसम्मको कागज बनाएको पीडितले खुलासा गरे। ऋण दिएर कैयन् गुणा बढाउने मात्रै हैन, किस्ता बुझाउन जानेलाई दुव्र्यवहारसम्म गर्ने गरेको खुलेको छ। ऋण बुझाइसकेपछि पनि अझै बाँकी छ भन्दै टर्चर दिन थालेपछि दुर्गा चौधरी र उनका ससुरा आत्माहत्या गर्न बाध्य भए। कतिपय घरवारविहीन भएका छन् भने कतिपयको गाउँबाट उठिबास लागेको छ। मुलुकी अपराध संहिता ऐनले व्यक्तिगत कारोबारमा १० प्रतिशतभन्दा बढी ब्याज लिन र दिन नपाइने उल्लेख छ। १० प्रतिशतभन्दा माथि ब्याजको कारोबार गर्न बैंक तथा सहकारीले मात्रै पाउँछन्। तर, कलवारले बढीमा ६० प्रतिशतसम्म ब्याज लिएर ऋण दिने गरेका छन्। ब्याज मात्रै हैन, सेवा शुल्क भन्दै कलवारले एक लाखको १० हजारभन्दा बढी असुल्दै आएका छन्। महिनामा किस्ता बुझाउन एक दिन मात्रै ढिला भयो भने एक लाखको एक हजार फाइन तिराउँदै आएको पीडितको गुनासो छ। फिल्मको कथाजस्तै लाग्ने यो घटनाका पीडितको अवस्था दर्दनाक छ। ऋण चुक्ता गरे पनि जालसाजी गरेर बनाएको तमसुकको ऋणले उनीहरू चुर्लुम्मै डुबेका छन्। ऋण नतिरेको भन्दै कलवारले परिवारलाई नै तनाव दिइरहेका छन्। कतिपय पीडितको घरमा त पक्राउ पुर्जी नै आउन थालेको छ। कतिपय फरार अभियुक्तको सूचीमा छन्। धन्न ! स्थानीय नेताको आग्रहका कारण पीडितलाई प्रहरीले पक्राउ गरेको छैन। तर, उनीहरूले कहिलेसम्म तनावपूर्ण जीवन जिउने ? लिँदै नलिएको ऋणको भारी कहिलेसम्म बोक्ने ? यस्तो अवस्थामा मजदुरी गरेर दुई छाक टार्ने पीडितको हालत के होला ? जिल्ला प्रशासन कार्यालय पनि अदालती मुद्दा भन्दै पन्छिने गरेको छ। कलवार भने पीडित न्याय माग्दै काठमाडौं आएको थाहा पाएपछि सबै नेतासँग चिनजान छ, तिमीहरूले केही गर्न सक्दैनौ भन्दै धम्क्याइरहेका छन्। तमसुकको प्रमाणका आधारमा कलवार दह्रो देखिए पनि त्यो दबाबमा गरिएको एक फर्जी पत्रजस्तो भएको छ। तत्कालको अवस्थामा उनले अदालतमा मुद्दा दर्ता गर्दा सबै पीडितलाई मुद्दा लाग्ने अवस्था छ। तर, यसको व्यावहारिक पाटो पनि हेर्नुपर्छ। दुई छाक टार्न नसकेर परिवारका सदस्य विदेश पठाउन ऋण लिने गरिब तथा निमुखाले कसरी २० लाखभन्दा बढी ऋण लिन्छन् ? ऋणदाता कलवारले लिएको पैसा फिर्ता हुने केही आधारबिनै किन यतिका धेरै रकम ब्याजमा दिन्छन् ? यो घटना हेर्दा मुलुकी अपराध संहिता ऐन आकर्षित हुन्छ। ठगी, जालसाजी र शरीर बन्धक बनाएर झूटो प्रमाण बनाएको मुद्दामा कलवारलाई कारबाही हुनसक्छ। किनकि, उनले सन्फी चौधरीलाई बन्दुक देखाई कागज गरेको आरोप पनि छ। यी विभिन्न मुद्दामा कलवारलाई कारबाही गर्न सक्ने प्रशस्त आधार छन्। घटना नयाँ हैन, केही वर्ष पुरानै हो। करिब १५० जना पीडित संगठित भएर कलवारविरुद्ध संघर्ष समिति बनाएर एक वर्षदेखि न्यायको खोजीमा छन्। यसबीचमा विभिन्न पार्टीका शीर्ष नेतालाई भेटे तर न्याय पाउन सकेका छैनन्। उनीहरूको एउटै पीडा छ नखाएको ऋणबाट मुक्त हुन विभिन्न अड्डाअदालत धाउँदाधाउँदै मजदुरी गर्ने समय बित्छ। अब परिवार कसरी पाल्ने ? यसबारे सरकार मात्र होइन, सत्तारुढ पार्टीका शीर्ष नेता पनि जानकार छन्। सत्यतथ्य बुझी समस्या समाधानमा चासो देखाउनुपर्छ। रकम बुझाइसकेका पीडित फेरि पनि पीडित हुन नपरोस्। पीडकले कारबाही र पीडितलाई न्याय दिलाउन राज्यसंयन्त्रले गम्भीर पहल गर्नुपर्छ।"
"२० रोपनी जग्गा सरकारकै : सर्वोच्च, ३० वर्षअघि बनाइएको थियो निजी",काठमाडौं : सर्वोच्च अदालतले तीन दशकअघि निजी बनाइएको झापा नकलबन्दाको झण्डै २० रोपनी जग्गा सरकारको नाममा कायम हुने फैसला गरेको छ। सर्वोच्चका न्यायाधीशद्वय डा आनन्दमोहन भट्टराई र डामनोजकुमार शर्माको संयुक्त इजलासले सोमबार यस्तो फैसला गरेको हो। २०४८ सालमा निजी कायम भएको यो जग्गा सार्वजनिक रहेको भन्दै परेको उजुरीमा अख्तियारले समेत छानबिन गरेको थियो। अख्तियारले पनि जग्गा सरकारी नै ठहर गरेको थियो। त्यसपछि अख्तियारविरुद्ध नकलबन्दा टी स्टेटका तर्फबाट सर्वोच्चमा रिट दायर भएको हो। सर्वोच्चले जग्गामा व्यक्तिको कानुनी दाबी नपुग्ने निश्कर्षसहित रिट खारेज गरेको छ। सर्वोच्चले अख्तियारको निर्णयलाई नै सदर गरेको छ। राजनीतिक पहुँच प्रयोग गरी सो जग्गा आफ्नो नाममा पारेको पाइएको छ।
छक्याएर भाग्न खोज्दा प्रहरीले गोली चलायो,"नेपालगन्ज : चोरी डकैती मुद्दामा अदालतबाट दोषी ठहर भएर फरार रहेका व्यक्तिलाई प्रहरीले पक्राउ गरेको छ। पक्राउ परिसकेको अवस्थामा उनी भाग्न खोजेपछि गोली प्रहार गर्नुपरेको प्रहरीले बताएको छ। गोली लागेका उनी घाइते छन्। सोमबार दिउँसो तीन बजेतिर भारतबाट नेपाल आउँदै गरेको सूचनाको आधारमा बाँकेको बैजनाथ४ बानियाभारका नरेन्द्र न्यौपानेलाई इलाका प्रहरी कार्यालय कोहलपुरको टोलीले नियन्त्रणमा लिएको हो। इप्रका प्रमुख डीएसपी हेमबहादुर शाही नेतृत्वको टोलीले पक्राउ गरी मोटरसाइकलमा ल्याउँदै गर्दा चलिरहेको मोटरसाइकलबाट भाग्ने क्रममा गोली प्रहार गर्नुपरेको इप्रकाले जनाएको छ। डीएसपी शाहीले भने, नेपालगन्ज २० राँझा चोकभन्दा उत्तरतिर केही पर पुगेपछि मोटरसाइकलबाट भाग्नै लाग्दा इन्काउन्टर गरेका हौं। बायाँ खुट्टामा गोली लागेका न्यौपानको नेपालगन्ज मेडिकल कलेज शिक्षण अस्पताल कोहलपुरमा उपचार भइरहेको छ। साबिक बेलुवा गाविस७ (बाँसगढी नगरपालिका१) देउरालीमा यूएनको गाडी लुटपाट गरेको कसुरमा न्यौपानेसहितलाई जिल्ला अदालत बर्दियाले ६ वर्ष कैद २७ हजार ९०० रुपैयाँ जरिवाना गर्ने फैसला गरेको थियो।"
गौहत्या जघन्य अपराध : तरुण दल,"काठमाडौं : प्रमुख प्रतिपक्षी कांग्रेसको भातृ संगठन नेपाल तरुण दलले सुर्खेतको कटकुवामा भीरबाट लडाएर कयौँ गाई मारिएको घटनाको छानबिन गर्न माग गरेको छ। घटनाको निन्दा गर्दै तरुण दलले दोषीलाई कारबाहीको माग गरेको हो। तरुण दलले सोमबार विज्ञप्ति जारी गर्दै गौहत्या जघन्य अपराध भएको जनाएको छ। गाई हाम्रो राष्ट्रिय जनावरका साथै धार्मिक दृष्टिकोणले पनि छुट्टै महत्व राख्ने जनावर हो, विज्ञप्तिमा भनिएको छ, संविधानले पनि संरक्षित गरेको गाईको हत्या गर्नु जघन्य अपराध हो । तरुण दलले यस्ता घटना दोहोरिन नदिन सरकारको ध्यानाकर्षण गराएको छ। कटकुवामा भीरबाट लडाएर मारिएको अवस्थामा दुई दर्जन बढी गाई भेटिएका थिए। बिहीबार नेपालगञ्जबाट दैलेख लैजानेक्रममा ८ वटा ट्रकमा लगिएको २९० वटा गाईमध्ये सुर्खेतको कटकुवामा २३ वटा गाई मृत भेटिएको थिए।"
गत वर्षै पाउनुपर्ने सामाजिक सुरक्षा भत्ता अझै आएन,"दार्चुला : दार्चुलाको शैल्यशिखर नगरपालिकाले गत आर्थिक वर्ष २०७५०७६ को तेस्रो चौमासिकको सामाजिक सुरक्षा भत्ता अहिलेसम्म वितरण गरेको छैन। जेष्ठ नागरिक, अपांग, असहाय, एकल महिलाले गत आर्थिक वर्षभित्रै पाउनुपर्ने सामाजिक सुरक्षा भत्ता नपाएका हुन्। हरेक वर्ष असार महिनामा सामाजिक सुरक्षा भत्ता पाउँदै आएको थिए, यो वर्ष भदौमा समेत भत्ता पाएको छैन', शैल्यशिखर नगरपालिका ८ का ७८ वर्षीय लालमनी जोशीले भने। वृद्धभत्ता नपाउँदा घरमा नुन, तेलसहित दैनिक उपभोगका सामान किन्न समस्या भएको उनी सुनाउँछन्। नगरपालिकाको कमजोरीका कारण झण्डै २३ सय जनाले सामाजिक सुरक्षा भत्ता नपाएका हुन्। परिचयपत्रको आधारमा स्थानीय तहले सामाजिक सुरक्षा भत्ता वितरण गर्दै आएकोमा यो वर्षदेखि बैंक खाता मार्फत भुक्तानी गर्न खोज्दा ढिलाइ भएको शैल्यशिखर नगरपालिकाका निमित्त प्रमुख प्रशासकीय अधिकृत सुरेन्द्र बहादुर बिष्टले बताए। तर गत माघ महिनामा बैंक खाता खोलेकाहरूले समेत अहिलेसम्म रकम नपाएको स्थानीय गंगादत्त जोशीले बताए। कोष तथा लेखा नियन्त्रण कार्यालय दार्चुलाका सूचना अधिकारी ईन्द्रसिह धामीका अनुसार गत आर्थिक वर्षमै सबै स्थानीय तहको सामाजिक सुरक्षा भत्ता निकासा भइसकेका बताए। सामाजिक सुरक्षा भत्ता नपाउँदा यो वर्षको गौरा पर्व समेत खल्लो भएको जेष्ठ नागरिक नारायण जोशीले बताए। शैल्यशिखर नगरपालिकाले मेघा बैंक गोकुलेश्वरलाइ सामाजिक सुरक्षा भत्ता वितरणको जिम्मेवारी दिएको छ। बैंकका सहायक ईन्चार्ज अनिल धामीले नगरपालिकाले ढिलागरी रकम निकासा गरेको बताए। 'अहिले चेक काट्ने काम भइरहेकोले छ। भदौ २० गतेदेखि रकम वितरण गर्छौँ', उनले भने। निमित्त प्रमुख प्रशासकीय अधिकृत बिष्टले अहिले सबै लाभग्राहीको बैंक खाता खुलिसकेको बताए।"
उपल्लो मुस्ताङमा र्याफ्टिङ परीक्षण विफल,जोमसोम : उपल्लो मुस्ताङको कालिगण्डकी नदीमा ट्रायल परीक्षण गरिएको साहसिक जलक्रिडा (र्याफ्टिङ) जोखिमका कारण विफल भएको छ। सोमबार चराङको छुने सुम्दादेखि वारागुङ मुक्तिक्षेत्रको मुस्ताङ गेड सम्मको लक्ष्य बनाई परीक्षण गरिएको र्याफ्टिङ मध्य दूरीमा पुग्दा विफल भएको हो। करिब २० किलोमिटर दूरी कटेपछि लोघेकर दामोदरकुण्डको घिलिङ खोचको अन्धगल्छीमा आइपुग्दा र्याफ्टिङमा पूर्ण विराम लागेको हो। भिजिट नेपाल २०२० लाई लक्ष्य गर्दै नयाँ पर्यटकीय गन्तब्यको खोजी गर्ने उद्देश्यले कालिगण्डकी नदीमा पहिलो पटक र्याफ्टिङ गरिएको हो। सांसद ईन्द्रधारा बिष्टको पहलमा गण्डकी प्रदेशले र्याफ्टिङ आयोजना गरेको हो। कर्णाली र्याफ्टिङका चालकले ३ वटा बोटमा २६ व्यक्तिलाई सयर गराएका थिए। यसअघि लोघेकर दामोदरकुण्ड गाउपालिका चराङका स्थानीय आमा समूहले र्याफ्टिङ टोलीलाई शुभकामना दिएका थिए। पर्यटन प्रर्वद्धन गर्ने सपना बोकेर गरिएको र्याफ्टिङ परीक्षणमा भूगोल बाधक बनेको सांसद बिष्टले बताए। उनका अनुसार करिब ३५ किलोमिटर र्याफ्टिङ गर्नुपर्नेमा ५० प्रतिशत दूरी मात्र कट्न सकेको जानकारी दिए। नेपाल पर्यटन बोर्ड तथा उद्योग पर्यटन वन तथा वातावरण मन्त्रालयले र्याफ्टिङका लागि प्राविधिक सहयोग गरेका थिए।
"रुकुमपश्चिममा बाढीपहिरो, दुईको मृत्यु","रुकुम : रुकुमपश्चिममा बाढीपहिरोमा परी स्कुले बालिकासहित दुई जनाको मृत्यु भएको छ। जिल्लाको आठविसको नगरपालिका १० घारीखोलामा ट्यूसन पढ्न हिँडेकी बालिका र चौरजहारी नगपालिका १३ मा गाउँ फर्कदै गरेका एक पुरुषको मृत्यु भएको जिल्ला प्रहरी कार्यालय रुकुमपश्चिमले जानकारी दिएको छ। आठविसकोट नगरपालिका की १६ वर्षीया कमला केसी घरबाट सोमबार बिहान ट्युसन पढ्न घर नजिकै रहेको बालविकास माविमा जाँदै गर्दा माथिबाट आएको पहिरोले पुरेर गम्भीर घाइते भएकी थिइन्। उनको नगर अस्पताल राडीमा उपचारको क्रममा मृत्यु भएको हो। यस्तै, चौरजहारी नगरपालिकामा सल्यानको दार्मा गाउँपालिका १ पैपाडाँडाका ५० वर्षीय ठोके ओलीलाई बाढीले बगाउँदा मृत्यु भएको हो। चौरजहारीबाट घरफर्कँदै गर्दा चौरजहारी नगरपालिका १३ मा रहेको दार्मा खोलामा आएको बाढीले बगाउँदा उनको मृत्यु भएको प्रहरीले जनाएको छ।"
मालपोतका पूर्वकर्मचारी घुससहित पक्राउ,काठमाडौ : अख्तियार दुरुपयोग अनुसन्धान आयोगले भूमिसुधार तथा मालपोत कार्यालय बाराका पूर्वकर्मचारीलाई घुससहित नियन्त्रणमा लिएको छ। भूमिसुधार तथा मालपोत कार्यालय बाराकएको मुद्दा फाँटका पूर्व करार कर्मचारी हरिमोहन सिंह क्षेत्रीले सोमबार सेवाग्राहीसँग १ लाख रुपैयाँ घुस लिँदै गरेको समयमा पक्राउ गरिएको हो। उनलाई नियन्त्रणमा लिइ अनुसन्धान भइरहेको अख्तियारले जनाएको छ।
पत्रकारलाई लाइसेन्सको व्यवस्था गर्न प्रस्ताव,"काठमाडौं : नेपाल मिडिया काउन्सिल विधेयकमा पत्रकार बन्नका लागि कठोर व्यवस्था माग गर्दै सांसदहरूले संशोधन दर्ता गराएका छन्। सोमबारसम्म म्याद लिएर संशोधन माग गरिएकोमा सांसदहरुले सहजै पत्रकार बन्ने व्यवस्था अन्त्य गर्न प्रस्ताव गर्दै संशोधन दर्ता गराएका हुन्। राष्ट्रियसभामा दर्ता गरिएको संशोधनमा पत्रकारिता पेशामा विकृति देखिन थालेको भन्दै पत्रकारका लागि लाइसेन्ससम्मको व्यवस्था गर्न प्रस्ताव गरिएको छ। यसका लागि सत्तारुढ नेकपाका सांसदको आवाज सशक्त देखिएको छ। सत्तापक्षीय अधिकांश सांसद परीक्षा लिएर मात्रै पत्रकारिता पेशामा संलग्न हुन पाउने व्यवस्थाको पक्षमा देखिएका छन्। सात्तारुढ सांसद डा विमला पौड्यालले पत्रकार बन्नका लागि परीक्षा लिनुपर्ने प्रस्ताव दर्ता गराएकी छन्। पत्रकारको गुणस्तर मापन गर्न आवश्यक पाठ्यक्रम बनाउने, परीक्षा प्रणाली विकास गर्ने परीक्षा लिने, संशोधन प्रस्तावमा भनिएको छ, परीक्षाफल प्रकाशित गर्ने र लाइसेन्स दिने व्यवस्था गरौँ। उनले प्रस्तावित विधेयकको दफा ५ मा रहेको काउन्सिलको काम, कर्तव्य र अधिकार शीर्षकमा उस्तो उपदफा थप गर्न प्रस्ताव गरेकी छन्। डा पौड्याल पत्रकारलाई जरिवाना गराउनेको विपक्षमा उभिएकी छन्। प्रस्तावित विधेयकको दफा १८ (१) मा प्रकाशक, सम्पादक, पत्रकार वा संवाददाता १२ हजारदेखि १० लाखसम्म जरिवाना हुने व्यवस्थाको सट्टा पत्रकारलाई सचेत गराउने सम्बन्धित पक्षबीच वार्ता गराउने, मेलमिलाप गराउने वा उच्च अदालतमा लैजान आवश्यक सहजीकरण गर्ने काम काउन्सिलले गर्नुपर्ने संशोधन प्रस्ताव दर्ता गराएकी छन्। यस्तै, सत्तारुढ दलका १४ जना सांसदले संयुक्त रूपमा संसद सचिवालयमा दर्ता गराएको संशोधन प्रस्तावमा समेत पत्रकारिताम प्रवेश गर्ने व्यक्तिलाई परीक्षा लिने व्यवस्था गर्नुपर्ने उल्लेख गरिएको छ। जसका लागि काउन्सिलले परीक्षा लिने व्यवस्था मिलाउन सांसदको माग छ। उनीहरूले दर्ता गराएको संशोधनमा पत्रकारका लागि काउन्सिलले वर्षको दुई पटक परीक्षा लिनुपर्ने व्यवस्था गर्न माग गरिएको छ। उनीहरूले प्रस्तावित विधेयकको दफा १५ पछि पत्रकारिता व्यवसायी परीक्षा परिच्छेद थप गरेर यस्तो व्यवस्था गर्न माग गरेका हुन्। वर्षको कम्तिमा दुईपटक काउन्सिलले पत्रकारिता व्यवसायीको परीक्षा सञ्चालन गर्नेछ। यस्तो परीक्षा लिखित वा मौखिक रूपमा लिइनेछ। मौखिक परीक्षाको अंकभार पूर्णङ्कको १० प्रतिशतभन्दा बढी हुने छैन, उनीहरूको संशोधन प्रस्तावमा भनिएको छ। परीक्षाका लागि विशेषज्ञसहित तीन सदस्य पत्रकारिता व्यवसायिक परीक्षा समिति गठन गर्न प्रस्ताव गरेका छन्। उनीहरूको संशोधन प्रस्तावमा पत्रकारिता व्यवसायीमा दर्ता हुन नैतिक पतन नभएको, फौजदारी मुद्दामा सजाय नभोगेको नेपाली नागरिकले मात्र पत्रकारको रूपमा दर्ता गर्ने व्यवस्था मिलाउन प्रस्ताव गरेका छन्। पत्रकार बन्नका लागि पत्रकारिता वा अन्य कुनै विषयमा स्नातक उपाधि प्राप्त गरी निरन्तर तीन वर्ष सञ्चार प्रतिनिधि भई काम गरेको हुनुपर्ने प्रस्ताव गरेका छन्। यस्तै, सत्तारुढ दलका सांसदले परीक्षामा पास भएको नेपाली नागरिकले मात्रै पत्रकार हुने व्यवस्था ल्याउन संशोधन प्रस्ताव दर्ता गराएका छन्। कम्तिमा १५ वर्ष निरन्तर पत्रकारिता गरेको व्यक्तिलाई वरिष्ठ पत्रकारको उपाधि दिन प्रस्ताव गरिएको छ। जसका लागि काउन्सिलको सिफारिसमा मन्त्रालयले निर्णय गर्ने व्यवस्था ल्याउनुपर्ने सांसदको संशोधन प्रस्तावमा उल्लेख गरिएको छ। तर, यो ऐन प्रारम्भ हुनुअघि पत्रकारितमा त्रियाशील भएका र प्रेस प्रतिनिधि पास पाएकाको हकमा यो लागू नगर्न उनीहरूको प्रस्ताव छ। यस्ता पत्रकारको एक वर्षभित्र लगत तयार गरी काउन्सिलले प्रमाणपत्र उपलब्ध गराउनुपर्ने प्रस्ताव आएको छ। यस्तै, दफा १८ मा रहेको जरिवानाका विषयमा सत्तारुढ सांसद नरम देखिएका छन्। काउन्सिलले जरिवाना लिने भन्दा पनि मध्यस्तकर्ताको भूमिकाको व्यवस्था गर्न संशोधन हालिएको छ। राजपा सांसद वृषेशचन्द्र लालले काउन्सिलले जरिवाना लिने व्यवस्थाको विपक्षमा संशोधन हालेका छन्। प्रस्ताविध विधेयकको दफा १८ (१) मा कसैको मर्यादा वा प्रतिष्ठामा आँच पुर्याएको देखिएमा काउन्सिलले सम्बन्धित आमसञ्चार माध्यम, प्रकाशक, सम्पदक, पत्रकार वा सम्वाददातालाई २५ हजारदेखि १० लाखसम्म जरिवाना गर्नसक्ने व्यवस्था गरेको छ। यसमा लालले जरिवानाको सट्टा सार्वजनिक रूपमा क्षमायचना गर्न लगाउने, तथा कालोसूचीमा राखी नाम सार्वजनिक गर्ने व्यवस्था गर्न संशोधन दर्ता गराएका छन्।"
पशुपतिनाथमा तीज रमाइलो (भिडियो),"काठमाडौं : पशुपतिनाथ मन्दिरमा बिहानैदेखि पूजा एवं दर्शन गर्ने भक्तजनको लाम लागेको छ। भाद्र शुक्ल तृतीयाका दिन मनाइने हरितालिका तीजमा पशुपतिनाथ प्रवेश गर्न व्यवस्था गरिएका चार वटा लाइन रहेका छन् । दर्शनार्थीले सहज मन्दिरमा दर्शन गर्न बिहान ३ बजेदेखि नै पशुपतिनाथ मन्दिरका चारै ढोका खोलिएको छ। मन्दिरका चार ढोका आजराति लाम नसकिएसम्म खुला गरिने जनाइएको छ। रातो, हरियो र पहेँलो पहिरनमा सजिएका महिला भक्तजनको पशुपति क्षेत्रमा लर्को छ। विसं २०६५ देखि भक्तजनका लागि बन्द गरी जल ल्याउन मात्र उपयोग गरिएको पशुपतिनाथको पूर्वी ढोका आजदेखि सधैँका लागि खोलिएको पशुपति क्षेत्र विकास कोषका सदस्यसचिव डा प्रदीप ढकालले जानकारी दिए। पहिलो लाम गुह्येश्वरीगौरीघाटउमाकुण्डदक्षिणामूर्तिरुद्रगाडेश्वरवासुकी हुँदै उत्तर ढोकाबाट, दोस्रो लाम जयवागेश्वरीभुवनेश्वरीशङ्कराचार्य मठ हुँदै फलामेपुलपश्चिम सानो ढोकाबाट मन्दिर प्राङ्गण प्रवेश गर्ने व्यवस्था मिलाइएको छ। यसैगरी तेस्रो लाम एयरपोर्टतर्फबाटपिङ्गलास्थानवनकालीचार शिवालय हुँदै पञ्चदेवल पूर्वबज्रघरदक्षिण ढोकाबाट, चौथो लाम बत्तीसपुतलीगौशाला तर्फबाट पिङ्गलास्थानवनकालीचार शिवालय हुँदै पञ्चदेवल पूर्वबज्रघरदक्षिण ढोकाबाट मन्दिर प्राङ्गण प्रवेश गर्ने व्यवस्था मिलाइएको छ। भिडियो हरितालिका (तीज) पशुपति दर्शन गर्न आउने भक्तजनको सुरक्षाका लागि चार हजार सुरक्षाकर्मी पशुपति क्षेत्रमा खटाइएको छ। शान्ति सुरक्षालाई ध्यानमा राखी मन्दिर आउँदा बहुमूल्य गरगहना नलगाई आउन कोषले भक्तजनमा आह्वान गरेको छ। पशुपति परिसरमा कम्तीमा पनि सात लाख दर्शनार्थी प्रवेश गर्ने प्रारम्भिक अनुमान गरिएको छ। पशुपतिमा दर्शन गर्न आउने भक्तजनको सवारी पार्किङका लागि गुह्येश्वरी पारि, सिफलचौर, तिलगङ्गाको खाली स्थान, कोषको कार्यालय परिसर र गौशालास्थित महानगरीय ट्राफिक प्रहरी प्रभागको कार्यालयमा व्यवस्था गरिएको छ। सरकारी नम्बर प्लेटका सवारीलाई कोष कार्यालय र सुरक्षा निकायका सवारीलाई प्रहरी प्रभाग एवं अन्यत्रका स्थलमा बाँकी सवारी पार्किङ गर्ने प्रबन्ध गरिएको छ। जुत्ता चप्पल राख्ने व्यवस्थाका लागि वरुणधारा, कैलाशडाँडामुनि, कोषको कार्यालय, भुवनेश्वरी, वाग्मतीपारि राममन्दिरको मुनि लगायत स्थान छुट्याइएको छ। नाचगान एवं भक्ति सङ्गीत प्रस्तुतिका लागि हंसमण्डप, वनकाली, गौशाला, जयवागेश्वरी, मित्रपार्क तोकिएको छ। तीजको व्रत बस्ने भक्तजनले उमामहेश्वरका नामले समेत चिनिने शिव पार्वतीको पूजा आराधना गर्छन। सत्ययुगमा हिमालयपुत्री पार्वतीले भाद्र शुक्ल तृतीयाका दिन निराहारा व्रत बसी महादेवको पूजा आराधना गरेपछि पतिका रुपमा प्राप्त गरेको विषय पौराणिक ग्रन्थमा व्याख्या गरिएको छ।"
