शीर्षक,विवरण
एक व्यक्ति एक पद नारामा सीमित,"सत्तारुढ नेकपा एकता जिल्ला तहसम्म पुगेको छ। नत्र एक वर्षदेखि एकता केन्द्रीय तहमा मात्र सीमित थियो। एकतापछि चर्कैसँग उठेको र मापदण्डसमेत बनेको एक व्यक्ति एक पद सवाल भने उल्लंघन भएको छ। सचिवालयले निर्णय विशेष आन्तरिक परिपत्र जारी गरी शासकीय पदमा रहेका र जनप्रतिनिधिलाई कार्यकारी जिम्मेवारी नदिने मापदण्ड बनाएको थियो। पटकपटक जिल्ला नेतृत्व सिफारिस गर्न कार्यदल बने। कार्यदलबाट सिफारिस पनि भयो। सिफारिस भताभुंग पारी झन्डै एकतिहाइ कार्यकारीहरू जिल्ला अध्यक्ष र सचिवहरूले दोहोरो कार्यकारी जिम्मेवारी पाए। केन्द्र, प्रदेश र स्थानीय तहका जनप्रतिनिधिले नै पार्टीको जिम्मेवारी पाएका छन्। त्यसो त, राजनीतिमा एक व्यक्ति एक पद विवाद र बहसमै सीमित छ। कांग्रेसमा पनि बेलाबखत यो विषय उठ्छ र मत्थर हुन्छ। पार्टीलाई गतिशील तुल्याउन, सबै नेताकार्यकर्तालाई योग्यता र क्षमताका आधारमा कामको जिम्मेवारी तोक्ने उद्देश्यसहित आकर्षक तवरमा यो नीति घोषित हुन्छ। नेतृत्व वृतबाट कार्यान्वयन गरेर छाड्ने उद्घोष हुन्छ। तर, यो मामला सैद्धान्तिक बहसमा सीमित हुने क्रम नियमित छ। जब नेतृत्वले निर्णय लिने बेला आउँछ, तब उनीहरू आधारभूत रूपमा यसलाई स्वीकार गर्न चाहँदैनन्। एक व्यक्ति एक पदको नीति अक्षरशः लागू गर्दा आफू र आफ्नो गुटअनुकूलको राजनीतिक परिस्थिति बन्दैन। सत्तारुढ दल नेकपाभित्र यही दृश्य मञ्चन भएको छ, जिल्ला कमिटी अध्यक्ष र सचिव चयनका बखतमा। उनीहरूले संसदीय भूमिकामा आफ्नो प्रभावकारिता देखाउने कि पार्टी जिम्मेवारीमा ? यी दुवै कार्यकारी जिम्मेवारीमा पर्छन्। केन्द्रीय समितिमा भएका नेताले समेत तल जिम्मेवारी पाएका छन्। यसले अरू आकांक्षीका लागि आफ्नो भाग खोसेको भान परेको छ। यस्ता विषय कसरी सम्बोधन गरेर जाने भन्ने चुनौती नेकपामा देखा परेको छ। घोषित विधि र मापदण्डमा टेकेर निर्णय लिनेभन्दा शीर्ष नेताहरूको भागबन्डाका आधारमा निर्णय लिने संस्कार विकास भएको छ। यस्ता प्रवृत्तिले पार्टीलाई तदर्थवादमा फसाउँछ। संघीयतापछिको केन्द्र, प्रदेश र स्थानीय तहमा नेकपाको बाहुल्य छ। अर्कोतर्फ, यिनै कमिटीहरूले जिल्ला र त्यसअन्तर्गतका पार्टी संगठनको अधिवेशन गर्नुपर्ने दायित्व पाएको छ। अधिवशेनसम्म जाँदा कैयन् वैचारिक बहसका शृंखला आउँछन्, त्यसका लागि पनि नेताकार्यकर्तालाई तयार पार्नुपर्ने हुन्छ। हिजोका गुटगत र समूहगत आग्रहपूर्वाग्रह अझै यथावत् छन्, तत्कालीन दुवै पार्टीतिर। यसलाई मेटाउने वा बढाउने भन्नेमा संघर्षले मात्र निर्धारण गर्दैन, तलको संघर्षसँग पनि जोडिन पुग्छ। माथिल्लो तहका नेताहरूलाई यत्तिकै गुटगत आधारमा विभाजित गर्ने या एकताबद्ध गराउन दबाब बढाउने भन्ने धेरै हदमा जिल्ला कमिटीकै नेतृत्वको हातमा छ। महाधिवेशनसँग सीधा जोडिन पुग्ने र प्रभाव राख्ने भनेको जिल्ला कमिटी नै हुन्। भोलि महाधिवेशनमा उठाउने कैयन् वैचारिक राजनीतिक सवालमा बहस चलाउने थलो पनि जिल्ला तहकै कमिटी हो। नेकपाले समाजवादको फराकिलो विषय मात्र उठान गरेको छ। नेपालमा स्थापित गर्ने समाजवाद कस्तो हुने ? समाजवादको स्वरूप, चरित्र अथवा नेपाली समाजको आफ्नो मौलिकता त्यसमा के हुन्छ ? समाजवादमा पुग्ने बाटो के हुने ? कुनकुन काम गरेपछि समाजवादको आधार पूरा हुने ? यी थुप्रै बहसका बीचबाट नेकपाले महाधिवेशनबाट एउटा निष्कर्ष निकाल्नुपर्ने अवस्था छ। त्यसको बहसको जग यिनै जिल्ला कमिटी हुन्। जिल्ला पदाधिकारी चयनपछि नेतृत्वले एकताको गाँठो दरिलो पारेको भनिरहेका छन्, तर किचलो र गुनासा झाँगिने खतरा पनि उत्तिकै छन्। दुईतिहाइ सरकार र शक्तिशाली कम्युनिस्ट पार्टी बन्दासमेत काम गर्न नसक्ने र संगठनलाई चलायमान बनाउन नसक्दा भने नेकपा चरम क्षयीकरणको दिशातिर नजाला भन्न सकिन्न। पार्टीलाई व्यवस्थित ढंगले सञ्चालन गराउने हो भने कमजोरी सच्चाउन ठोस पहलकदमी चाल्नुपर्छ। तर नेकपाका नेताहरूको गति र मती हेर्दा त्यस्तो देखिन्न। गुनासा र समस्याले उचाइ लिनुपूर्व उचित ढंगले समाधान खोजिनुपर्छ।"
लागुऔषध र मापसेबाट दुईको मृत्यु,विराटनगर : अत्याधिक मात्रामा लागुऔषध र मादक पदार्थ सेवनका कारण मोरङमा बिहीबार दिउसो दुईजनाको मृत्यु भएको छ । विराटनगर महानगरपालिका४ स्थित नोबेल शिक्षण अस्पताल छेउको नहरमा ४५ वर्षीय जगेश चौधरीको शव फेला परेको छ । धनुषा घर भएका उनी विराटनगरमा ज्याला मजदुरी गर्दैआएको प्रहरीले जनाएको छ । बिहानैदेखि अत्याधिक मात्रामा लागुऔषध सेवन गरेपछि नहरको डिलमा सुतेका उनी त्यहीँ मृत फेला परेको प्रारम्भिक अनुसन्धाबाट खुलेको मोरङ प्रहरी प्रमुख एसपी मनोजकुमार केसीले बताए । चौधरीले सेवन गरेको लागुऔषधको नाम भने पत्ता लगाउने प्रयास भइरहेको प्रहरीले बताएको छ । यस्तै बुढीगंगा गाउँपालिका१ स्थित आरती स्ट्रिप्सको उत्तरपूर्वतर्फ भित्री सडकमा ४३ वर्षीय भुवन भण्डारी मृत फेला परेका छन् । इलाम नगरपालिका१२ घर भएका उनी आरती स्ट्रिप्सकै कामदार थिए । अत्याधिक मादक पदार्थ सेवनकै कारण उनको मृत्यु भएको प्रारम्भिक अनुसन्धाबाट खुलेको छ । स्थानीय बासिन्दाले भण्डारीको शव देखेपछि प्रहरीलाई खवर गरेका छन् । चौधरी र भण्डारीको शव पोष्टमार्टमका लागि कोसी अस्पतालमा राखिएको छ ।
खानेपानीमन्त्री मगरलाई छैन क्यान्सर,"भक्तपुर : खानेपानीमन्त्री बीना मगरको स्वास्थ्य अवस्था सामान्य रहेको छ। गएको माघ १३ गते क्यान्सरसम्बन्धी सम्पूर्ण जाँच गराएकी उनलाई क्यान्सरसम्बन्धी कुनै लक्षण नदेखिएको हो। दुई महिनाअघि गराइएको जाँचको रिपोर्टसहित बिहीबार पुनः फलो अपको लागि अस्पताल पुगेकी उनी स्वस्थ रहेको अस्पतालका मेडिकल डाइरेक्टर प्राडा ऋषिकेशनारायण श्रेष्ठले जानकारी दिए। उहाँ (मन्त्री बीना मगर) फलो अपको लागि बिहीबार अस्पताल पुग्नुभएको हो, उनले भने, उहाँको सम्पूर्ण रिपोर्ट नर्मल छ। क्यान्सरसम्बन्धी कुनै लक्षण देखिएन। दुई महिनाअघि नियमित स्वास्थ्य जाँच गरेकी अस्पतालकी स्त्रीरोग विशेषज्ञ डा सृष्टि श्रेष्ठले नै बिहीबार मन्त्री मगरको स्वास्थ्य जाँच गरेकी थिइन्। त्यसबेला मन्त्री मगरले नियमित स्वास्थ्य जाँचसँगै पाठेघर र स्तनको समेत परीक्षण गराएकी थिइन्। नियमित स्वास्थ्य जाँचको लागि रगत लिइएको थियो। त्यस्तै अल्ट्रासाउन्डसमेत गरिएको थियो। खानेपानी मन्त्रीज्यू सम्पूर्ण रिपोर्ट राम्रो छ, स्त्रीरोग विशेषज्ञ डा श्रेष्ठले भनिन्, उहाँले जस्तै सबैले बेलो बेलामा आफ्नो नियमित स्वास्थ्य जाँच गराउनुपर्छ। जसले रोग हुन लागे नलागेको सुरुमै थाहा हुन्छ र उपचारबाटै निको गर्न सकिन्छ। चिकित्सकहरुले सबै रिपोर्ट राम्रो भएको र स्वास्थ्य अवस्था सामान्य भएको जानकारी दिएपछि मन्त्री मगरको अनुहार चम्किलो देखिएको छ। मन्त्री मगरले धेरै पहिल्यै रिपोर्ट आए पनि फुर्सद नपाउँदा फलो अपमा आउन नसकिएको प्रतिक्रिया दिइन्। उनले भक्तपुर क्यान्सर अस्पतालको सेवाबाट आफू प्रभावित भएको सुनाइन्। उक्त अवसरमा मन्त्री मगरले अस्पतालको खानेपानीको लागि हुने डीप बोरिङ क्षेत्रको अवलोकनसमेत गरेकी थिइन्। अघिल्लोपटक अस्पताल पुग्दा उनले अस्पतालले भोग्दै आएको खानेपानी समस्या समाधान गरिदिने वचन दिएकी थिइन्। सोही वचनअनुसार मन्त्रालयले अस्पताल परिसरमा डीप बोरिङ गर्ने भएको अस्पतालका मेडिकल डाइरेक्टर प्रोडा श्रेष्ठले जानकारी दिए। अस्पतालले खानेपानीको लागि मासिक दुई लाख रुपैयाँ खर्च गर्दै आएको उनको भनाइ थियो। उनका अनुसार डीप बोरिङ गर्न एक हप्ताअघि खानेपानी मन्त्रालयका प्राविधिकहरु आएर ठाउँ छनोट गरेर गएका छन्।"
पुननिर्माणको निरीक्षणमा प्रधानमन्त्री,"काठमाडौं : गोरखा भूकम्पको स्मृति अवसरमा राष्ट्रिय पुनर्निर्माण प्राधिकरण र काठमाडौं महानगरपालिकाको संयुक्त आयोजनामा पसन्तपुर क्षेत्रमा स्मृति सभा भएको छ। सभामा प्रमुख अतिथिका रुपम प्रधानमन्त्री केपी शर्मा ओली उपस्थित थिए। स्मृति सभापछि प्रधानमन्त्री केपी शर्मा ओलीले वसन्तपुर दरबार क्षेत्रमा पुनर्निर्माण भइरहेका काष्ठमण्डप, नौतले दरबारलगायतका संरचनाको अवलोकन गरे। स्मृति सभाअघि प्रधानमन्त्री केपी शर्मा ओलीले त्रिपुरेश्वरस्थित पुनर्निर्माण भइरहेको त्रिपुरा सुन्दरी मन्दिरको अवलोकन भ्रमण गरेका थिए। तस्बिर : दीपेन श्रेष्ठ"
सम्झौता नै गर्दैनन् लाभग्राही,"दोलखा : भूकम्पपीडित कोही नछुटून् भनेर सरकार पटकपटक गुनासो आवेदन, पुनः जाँच, सर्वेक्षण, पुनर्सर्वेक्षण, आवेदन गर्न आह्वान गर्छ। तर लाभग्राही सूचीमा परिसकेकाहरु भने निजी आवास पुनर्निर्माणका लागि सम्झौता नै गर्दैनन्। यता आर्थिक वर्षको ९ महिनामा करिब २७ प्रतिशत निजी आवास पुनर्निर्माण सम्पन्न भएको राष्ट्रिय पुर्ननिर्माण प्राधिकरण दोलखाको तथ्यांक छ। कतै लाभग्राही सूचीमा नाम नपरेकोमा गुनासो आइरहन्छ भने लाभग्राही सूचीमा परेकाहरुले चासो नदिएको पाइएको छ। केही समयदेखि सरकारले पुनर्सर्वेक्षणका लागि सूचना जारी गरिरहेको छ। तर विभिन्न प्रक्रिया पूरा गरेर सूचीमा दर्ता भएकामध्ये करिब ८ प्रतिशत लाभग्राहीले निजी आवास निर्माण गर्न सम्झौता गरेका छैनन्। यता घर निर्माण गरिसकेकालाई सरकारले वैशाख १० गतेसम्म १६ अर्ब ६१ करोड ५ लाख १० हजार अनुदान भुक्तानी गरिसकेको छ। निजी आवास पुनर्निर्माण सुरु भएको चौथो वर्षमा पनि दोलखाका अझै साढे ५ हजार लाभग्राहीले घर बनाउने सम्झौता गरेका छैनन्। सरकार भूकम्पपीडित नागरिकलाई सुरक्षित घरमा स्थानान्तरण गर्न थुप्रै पहल गरिरहेको छ भने नागरिक भने घर बनाउन चासो नै दिँदैनन्। भीमेश्वर नगरपालिकामा लाभग्राही सूचीमा परेका जीवन सापकोटाले कस्तो घर बनाउने भन्ने निर्णय गरिनसकेकोले सम्झौता गर्न पनि ढिला गरेको बताए। वैशाख १० गतेसम्म जिल्लाका ७३ प्रतिशतले निजी आवास पुनर्निर्माण गरिसक्दा समेत अझै साढे ७८१ प्रतिशत लाभग्राहीले सम्झौता गरेका छैनन्। जिल्लाका २ नगरपालिका र ७ गाउँपालिका गरी ९ स्थानीय तहका ५ हजार ४ सय ८८ लाभग्राहीले सम्झौता गरेका छैनन्। यो संख्या सुरु लाभग्राही, गुनासो सुनुवाइ र पुनःजाँच तथा सर्वेक्षणबाट आएको तथ्यांकबाट लिइएको राष्ट्रिय पुनर्निर्माण प्राधिकरण दोलखाका निमित्त प्रमुख राजकुमार ढुंगेलले जानकारी दिए। जिल्लामा कुल ७० हजार २ सय ८ जना लाभग्राही पुगेको प्राधिकरण दोलखाले जनाएको छ। सम्झौता नगर्नेमा सबैभन्दा धेरै शैलुङ गाउँपालिकाकाका १४१४ र कम बैत्यश्वर गाउँपालिकाका १३९ जना रहेको निमित्त प्रमुख ढुंगेलले जानकारी दिए। भीमेश्वर नगरपालिकाका १३०५, जिरी नगरपालिकाका १८६, गौरीशंकर गाउँपालिकाका २८७, कालिञ्चोक गाउँपालिकाका ४६७, मेलुङ गाउँपालिकाका ७१८, तामाकोसी गाउँपालिकाका ५६६ र बिगु गाउँपालिकाका ४०६ जनाले पनि सम्झौता गरेका छैनन्। निमित्त प्रमुख ढुंगेलका अनुसार वैशाख १० गतेसम्म जिल्लाका ७३ प्रतिशत अर्थात् ४८ हजार ९ सय १२ हजार लाभग्राहीले घर बनाइसकेका छन्। दोस्रो किस्ता लिनेको प्रतिशत हेर्दा भने करिब ८३ प्रतिशत पुगिसकेको छ। निजी आवास पुनर्निर्माण र प्रबलीकरण गरी लाभग्राहीमध्ये ६५ हजार ४ सय ९० लाभग्राहीले पहिलो किस्ता लिएका छन्। जिल्लाका २३ जनाले अनुदान रकम सरकारलाई फिर्ता बुझाएका छन्।"
सगरमाथा तर्फ लागे साहित्यकार सापकोटा,"काठमाडौं : साहित्यकार लक्ष्मण सापकोटा पहिलोपटक साहित्यिक ब्यानरमा सगरमाथाको चुचुरोतर्फ लागेका छन्। साहित्यकार सापकोटा बिहीबार त्रिभुवन विमानस्थलबाट हेलिकप्टरमा लुक्लातर्फ लागेका हुन्। लुक्लाबाट उनी बिहीबार नै सगरमाथाको आधार शिविरतर्फ लागेका छन्। सगरमाथातर्फ लाग्दै गर्दा सापकोटाले भने, सगरमाथा पुगेर केही विश्व कीर्तिमान राख्ने योजना छ । जसमा दुई कृति विमोचन गर्ने, एउटा कविता वाचन गर्ने, शैव सभ्यता भएको देश नेपालको ओम् शब्द त्यहाँ पुर्याउने काम हुनेछ । यसैगरी, गौतम बुद्ध, लुम्बिनी, पशुपतिनाथको फोटो पनि सगरमाथा पुयाउने काम हुनेछ। उनलाई नेपाल प्रज्ञा प्रतिष्ठानका कूलपति गंगाप्रसाद उप्रेतीले कार्यक्रमका बीच सफलताको कामना गर्दै विदाइ गरिसकेका छन्। सापकोटाका अनुसार, यसअघि मेचीकाली साहित्यिक दौडका क्रममा मेची नदीको पानी र माटो अनि महाकाली नदीको पानी र माटोका साथै नेपालकै होचो भूभाग झापास्थित कचनाकवलको माटो पनि सगरमाथा पुर्याउने काम हुनेछ। राष्ट्रकवि माधव घिमिरे र वरिष्ठ संस्कृतिविद् सत्यमोहन जोशीको हस्ताक्षर भएको रामायणलाई पनि उनले सगरमाथाको टुप्पोमा पुर्याउनेछन्।"
दुई महिनामा ११ सय किलो गाँजा बरामद,"हेटौंडा : मकवानपुर प्रहरीले दुई महिनाभित्रै ठूलो परिमाणमा लागूऔषध गाँजा बरामद गरेको छ। प्रहरीले २०७५ फागुन ८देखि २०७६ वैशाख १ गतेसम्म मकवानपुर १ हजार ११८ किलो गाँजा बरामद गरेको हो। उक्त अवधिमा चरेश ७३ किलो, अफिम सातसय ग्राम, फेनार्गन २९ वटा एम्पुल, व्यूप्रोनोफिन २९ वटा एम्पुल, डाइजेपाम २९ वटा एम्पुल र नाइट्रोभेट ५४७ ट्याबलेट बरामद गरेको मकवानपुर प्रहरी प्रमुख एसपी मुकेश सिंहले बताए। बरामद भएको लागूऔषध बिहीबार हेटौंडा उपमहानगरपालिका१ र भीमफेदी गाउँपालिका१ को सिमानामा नष्ट गरिएको समेत एसपी सिंहल जानकारी दिए। बरामद गरिएको गाँजा मध्ये चारसय ४० किलो आठसय ग्राम नष्ट गर्न बाँकी रहेको सिंहले बताए। अदालतको आदेश आउन बाँकी रहेको गाँजा नष्ट गरिएको छैन,एसपी सिंहले भने। उनका अनुसार आफूले मकवानपुरको नेतृत्व सम्हालेको दुई महिनामै उक्त परिमाणको लागूऔषध बरामद भएको हो।"
नारायणी अस्पतालमा एन्टी रेबिज भ्याक्सिनको अभाव,"वीरगन्ज : वीरगन्जको नारायणी अस्पतालमा एक सातादेखि एन्टी रेबिज भ्याक्सिनको अभाव भएको छ।अभाव हुँदा उपचारका लागि अस्पतालमा पुग्ने सेवाग्राही मर्कामा परेका छन्। कुकुरले टोकेपछि लगाउनुपर्ने एन्टी रेबिजभ्याक्सिन नारायणी अस्पतालले निशुल्क उपलब्ध गराउँदै आएको छ। तर अस्पतालमा एक सातायता एन्टी रेबिज भ्याक्सिन सकिएका कारण नारायणी अस्पतालमा उपचारका लागि पुग्ने सेवाग्राही अस्पताल बाहिरको निजी औषधि पसलबाट चर्को मुल्यमा भ्याक्सिन खरिद गर्न बाध्य छन्। कुकुरले टोकेका घाइतेलाई चिकित्सकको सल्लाहमा आवश्यकता अनुसार चारदेखि पाँचवटा भाइल एन्टि रेबिज भ्याक्सिन लगाउनुपर्ने हुन्छ। अस्पतालमा भ्याक्सिन सकिएको भन्दै स्वाथ्यकर्मीले जनाएपछि सेवाग्राही अस्पताल बाहिरका निजी औषधी पसलबाट पाँच सय ५० रुपैयाँको दरमा भ्याक्सिन खरिद गर्न बाध्य छन्। १० वर्षीय छोरा निरज कुमारलाई कुकुरले टोकेपछि उपचारका लागि बिहीबार बिहान ११ बजे नारायणी अस्पतालमा पुगेका बारा इटीयाहीका अमीरा साह सोनारले अस्पतालमा एन्टि रेबिज भ्याक्सिन नपाएपछि बाहिरको औषधि पसलबाट एउटा भ्याक्सिन पाँच सय ५० रुपैयाँमा खरिद गरेको बताए। डाक्टर साबले अस्पतालमा अहिले सुइ सकिएको छ, चार पाँच दिनपछि मात्रै आउँछ भन्नुभयो, सोनारले भने, 'डाक्टर साबले सुइ छैन भनेपछि औषधि पसलबाट साढे पाँच सय रुपैयाँमा किनेर ल्याए।' नारायणी अस्पतालको आकस्मिक कक्षमा कार्यरत सिनियर अहेब प्रह्लाद साहले पनि अस्पतालमा एन्टी रेबिज भ्याक्सिन सकिएकाले सेवाग्राही निजी औषधि पसलबाट सुइ किन्न बाध्य भएको स्वीकारे। नपाएपछि निजी औषधि पसलबाट किनेर ल्याएको एन्टी रेबिज भ्याक्सिन देखाउँदै बारा इटियाहीका अमीरा साह सोनार। तस्बिरः क्रान्ति शाह साहका अनुसार गत साउनभन्दा पहिले हैटौडमा रहेको मध्यमाञ्चल क्षेत्रीय मेडिकल स्टोरले नारायणी अस्पतालमा हरेक महिना आठ सय भाइल एन्टी रेबिज भ्याक्सिन पठाउँदै आएको थियो। तर गत साउन महिनादेखि भने क्षेत्रीय मेडिकल स्टोरले नारायणी अस्पतालमा महिनामा पाँच सयवटा मात्र भाइल भ्याक्सिन पठाउने गरेको छ। बिरामीको चाप बढ्दै गएको छ तर क्षेत्रीय मेडिकल स्टोरले भ्याक्सिन भने कम गर्दै गएको छ, उनले भने, 'भ्याक्सिन सकिएका कारण बिरामीले बाहिरका औषधि पसलबाट आफै खरिद गरेर ल्याउने गरेका छन्।' पर्साकै ग्रामीण भेगमा रहेको पोखरीया अस्पतालमा पनि केहि महिनादेखि एन्टी रेबिज भ्याक्सिन सकिएकाले ग्रामीण भेगका कुकुरले टोकेका बिरामी पनि नारायणी अस्पतालमै आउन थालेकाले भ्याक्सिनको अभाव हुन थालेको साहले बताए। साहका अनुसार नारायणी अस्पतालमा पर्सा, बारा, रौतहट, सर्लाही, मकवानपुर जिल्लासम्मका बिरामीहरु उपचारका लागि आउने गरेका छन्। एक त पहिलोको भन्दा घटाएर क्षेत्रीय मेडिकल स्टोरले नै भ्याक्सिन कम पठाइरहेको छ, त्यसमा पनि पोखरीया अस्पतालमा पनि भ्याक्सिन नहुँदा गाउँका बिरामी पनि यतै आउने गरेका छन्, उनले भने, 'सीमावर्ति भारतीय बजार र गाउँबाट पनि कुकुरले टोकेका बिरामी यही अस्पतालमा आएर नातागोताको नेपाली नागरिकता पेश गरेर भ्याक्सिन लिएर जान्छन्। एन्टी रेबिज भ्याक्सिनका लागि हैटौडमा रहेको मध्यमाञ्चा क्षेत्रीय मेडिकल स्टोरमा आफूले पटकपटक माग गरिरहेको भएपनि अहिलेसम्म सुइ नआएको उनले बताए। उनले भने, 'अस्पतालले पटकपटक पत्र नै लेखेर भ्याक्सिनको माग गर्दै आएको छ तर मेडिकल स्टोरका कर्मचारीले पठाइ दिन्छौं भन्दै टार्दै आएका छ, कहिलेसम्म आउँछ ठेगान छैन।'"
८३ लाखको फूल बगैंचामा गोलभेडा फल्यो !,"धरान : सुनसरीको धरान उपमहानगरपालिकाले ८३ लाख खर्च गरेर निर्माण गरेको फूल बगैचामा गोलभेडा फल्न थालेको छ। उपमहानगरले वर्ष दिनअघि धरान बजारलाई सुन्दर बनाउन भानुचोकदेखि छाता चोकसम्म रेलिङ बनाएर फूल रोपेको थियो। लाखौं रुपैयाँका फूलका विरुवा हुर्कने गमलामा गोलभेडा फल्न थालेका छन्। धेरै जसो गमलाहरुमा फूलका विरुवा मरिसकेको देखिन्छन्। सोही कारण पनि धरान बजार कुरुप बन्दै गएको छ। धरान बजारलाई सुन्दर बनाउने उदेश्यले मेयर स्वतारा सुब्बाको परिकल्पनामा उपमहानगरले भानुचोकदेखि छाता चोकसम्म रेलिङ लगाई सडकको वरीपरि फलामका खम्बा गाडेर गमलामा फूलका विरुवा रोपेको थियो। उपमहानगरले लाखौं खर्च गरेर तयार पारेको फूल बगैचालाई गोडमेलमा ध्यान नदिँदा पैसा खेर गएको र धरानको सुन्दरतालाई समेत कुरुप भइरहेको स्थानीय मनिता चाम्लिङले बताइन्। गमलामा रोपेको फुल गोडमेल गर्न उपमहानगरले चराजना माली नियुक्ति गरेको छ। तर, उपमहानगरपालिकाका मालीहरुले गमलामा लगाइएको फूलहरु गोडमेल नगरेका कारण गमलामा गोलभेडा र झारपात पलाएको धरान२ का पर्वत श्रेष्ठले बताए। त्यस्तै धरान१३का वडाअध्यक्ष नेत्र काफ्लेले फूल रोपेको बगैचा गोडमेल नगर्नु उपमहानगरको ठुलो कमजोरी भएको बताए। धरान उपमहानगरपालिकाका प्रवक्ता मणिराम राईले पनि लाखौं रुपैयाँ खर्च गरेर निर्माण गरिएको बगैचा गोडमेल नगर्नु उपमहानगरको कमजोरी भएको स्विकार गरे। उनले अबका दिनहरूमा बजारको सुन्दरतामा विशेष ध्यान दिने प्रतिवद्धता समेत जनाए।"
बोक्सीको आरोपमा वृद्ध दम्पत्तिमाथि निर्घात कुटपिट,"विराटनगर : मोरङको सुन्दरहरैंचा नगरपालिका११ मा बोक्सा बोक्सीको आरोपमा एक वृद्ध दम्पत्तिमाथि निर्घात कुटपिट भएको छ। बोक्सा बोक्सीको आरोपमा ६० वर्षे वृद्ध र बोक्सीको आरोपमा उनकी श्रीमतीमाथि एउटै परिवारका चार सदस्यले निर्घात कुटपिट गरेका छन्। लाट्ठी, लात र मुड्कीले निर्घात कुटपिट गर्दा दुबै जना घाइते भएका छन्। घटनापछि दुबैलाई उपचारका लागि नोबेल अस्पताल बेलबारीमा भर्ना गरिएको थियो। तर, नोबेलमा उपचार सम्भव नभएपछि श्रीमतीलाई विराटनगरको कोसी अस्पताल ल्याएर थप उपचार सुरु गरिएको छ। उक्त दम्पत्ति घरमा एक्लै बस्दै आएको थियो। प्रहरीका अनुसार आक्रमणबाट घाइते भएकी वृद्धा मानसिक रुपमा पनि विक्षिप्त बनेकी छन्। वृद्धवृद्धामाथि सुन्दरहरैंचा११ धाती टोल बस्ने ६३ वर्षे टुनका खवास, ३५ वर्षे श्यामलाल खवास, ३१ वर्षे रामकुमार खवास र ३० वर्षे शशिकला खवासले सामूहिक रुपमा आक्रमण गरेको मोरङ प्रहरी प्रमुख एसपी मनोजकुमार केसीले जानकारी दिए। प्रहरीका अनुसार श्यामलाल र रामकुमार टुनकाका छोरा हुन्। शशिकला टुनकाकी बुहारी र श्यामलालकी श्रीमती हुन्। उनी गाउँ घरमा धामी झाक्रीको काम गर्ने महिला पनि भएको जानकारी प्रहरीले दिएको छ। घटनाका पीडित र पीडकको घर लगभग तीन सय मिटर वरपर रहेको प्रहरीको भनाइ छ। प्रहरीका अनुसार घरमा परिवारका सदस्य पालैपालो बिरामी भइरहने भएपछि झरफुकका लागि भन्दै टुनकाको घरमा उनकै बुहारी शशिकला धामी (चिन्ता) बसेकी थिइन। चिन्ता बस्ने क्रममा शशिकलाले वृद्ध दम्पत्ति बोक्सा बोक्सी रहेको बताएपछि परिवारका सबै सदस्य धुरिएर बुधबार विहान साढे १ बजे आक्रमण गरेको एसपी केसीको भनाइ छ। परिवारका चारै सदस्य मिलेर घरमै पुगेर सुतिरहेका उनीहरुलाई ढोका खोलेर बाहिर निस्कन लगाएर निर्घात कुटपिट गरिएको जानकारी उनले दिए। श्रीमान र श्रीमती बोक्सा, बोक्सी रहेको र उनीहरुले नै कहिल्यै निको नहुने गरी टुनामुना गरिदिएका कारण पालैपालो बिरामी भइरहने कुरा चिन्ता बस्ने क्रममा शशिकलाले बकेपछि घटना सुरु भएको प्रारम्भिक अनुसन्धानका क्रममा खुलेको छ केसीले भने।"
