शीर्षक,विवरण
प्रेसको घाँटी निमोठ्ने चेष्टा,"सञ्चार जगत्लाई त्रास र फौजदारीको अभियोगको परिबन्दभित्र पार्ने गरी प्रस्तावित कठोर मस्यौदासँगै राज्य संयन्त्र अनुदारवादी धारतिर मोहित भएको संकेत मिल्दै छ। प्रस्तावित विधेयकका मस्यौदाले कानुनी रूप प्राप्त गरेमा स्वतन्त्र पत्रकारिता सेल्फसेन्सरसिप को मारमा पर्नेछ। प्रेस काउन्सिल विस्थापित गरी विकल्पमा प्रस्तावित मिडिया काउन्सिल पूर्णतः सरकारनियन्त्रित संयन्त्र निर्माण स्वतन्त्र पत्रकारिताको घाँटी निमोठ्न चेष्टा हो। सरकारको मूलभूत उद्देश्य स्वतन्त्र प्रेसनिम्ति सहजीकरण नभई दण्डकेन्द्रित संस्था निर्माण गर्नु रहस्यमय छ। कानुनका मस्यौदाकारका सोच र शब्द हेर्दा निरंकुशतन्त्रीय पञ्चायतकालीन स्कुलिङ मा हुर्केका पात्र जिउँदै रहेको अनुभूत गराउँछ। र, तिनले कुनै दिन वास्तवमै प्रतिगमन निम्त्याउने छन्। आश्चर्य त, संविधान निर्माणका बखत स्वतन्त्रता मात्र पुग्दैन भन्दै पूर्ण थपियो। अझ यतिखेर संसद्देखि सरकारसम्म पूर्ण शब्द वकालत गर्नेहरू हाबी छन्। त्यतिखेर शाहीतन्त्रले प्रेसको घाँटी निमोठेको पृष्ठभूमिमा स्वतन्त्रताले मात्र नपुग्ने बहस छेडिएको हो। शाही शासकजसरी नै कुनै बेला दुस्साहसी नियन्त्रक शासक जन्मिन सक्ने आशंकित धरातलीय पृष्ठभूमिमा पूर्ण थपिएको हो। त्यहीकारण जनप्रतिनिधिनिर्मित संविधानको प्रस्तावनामा पूर्ण प्रेस स्वतन्त्रता शब्दावली राखिएको हो। प्रस्तावना भनेको सम्पूर्ण संविधानको सारतत्व हो। संविधानको व्याख्या हुँदा होस् या कानुन निर्माण गरिँदा, प्रस्तावनालाई आधार मानिन्छ। त्यहीकारण प्रस्तावनामा अंकित शब्दावली को विशेष महत्व हुन्छ। प्रस्तावित कानुनको मस्यौदा हेर्दा लाग्छ, हाम्रा कानुनका मस्यौदाकार कि त संविधानको सामान्य अर्थ, भावना, मर्यादा ख्याल गर्न सक्दैनन् या जनप्रतिनिधि संविधानलाई धज्जी उडाउने प्रतिगमनतन्त्र मतियार फेरि बौरिँदै छन् ? पूर्ण लोकतन्त्रमा पञ्चायतकालीन कानुनी मस्यौदाहरू ब्युँतिनु आफैंमा रहस्यमपूर्ण छ। जनप्रतिनिधि निर्मित सविधानका मूलभूत विशेषता मानिएको पूर्ण प्रेस स्वतन्त्रता को बर्खिलापको मस्यौदाले कानुनी रूप लियो भने त्यो दिनभन्दा दुर्भाग्यको अर्काे दिन हुने छैन। सञ्चार जगत्लाई यसरी घाँटी निमोठिन्छ भने अरू कानुन त झनै कठोर बन्ने निश्चित छ। प्रस्तावित मस्यौदा र सरकारी रबैयाले पूर्ण संविधानको सारभूत मान्यतालाई केवल फुर्का अर्थात् झल्लर मा मात्र सीमित राख्न चाहेको देखाउँछ। हुन त, शासनमा पुगेपछि तुजुक बढ्छ र दम्भ चढ्छ। भोलि शासन ओर्लेपछि आफू पनि त्यही कानुनबाट शासित हुनुपर्छ भन्ने सामान्य चेत हराउँछ। यो हरेकखाले शासकको नियति हो। कानुन प्रयोगकर्ता थलोमा सधैंभरि बुद्धिविवेकले भरिएका असल पात्रले नियुक्ति पाउँछन् भन्ने ठान्नु मूर्खता हुनेछ। कानुन हो कुनै बेला भस्मासुर को हातमा पनि पर्न सक्छ। संसदीय कालखण्डमा निर्मित कानुनलाई अपव्याख्या गर्दै चौधपन्ध्र वर्षअघि भोगिएको शाहीशासनकालीन दृश्य दोहोर्याउन सक्छन्। अझ हामीकहाँ अधिनायकवादीतन्त्र प्रशिक्षित पात्रहरू अनेक रूपरङ र आवरणमा छन्। दलविहीन पञ्चायत र शाही शासनको पतनसँगै तिनीहरू राजनीतिक दलहरूभित्रै घुसपैठ भएका छन्। तिनले निर्णायक राजनीतिक वृत्तलाई उक्साउँदै भासमा जाक्न र कठोर कानुननिम्ति उत्पे्रेरित गर्छन्। त्यसपछि राजनीतिक दललाई पन्छाउँदै अधिनायकवाद निम्त्याउँछन्। त्यहीकारण नेपाल यस्तो मुलुक बन्यो, जहाँ स्वतन्त्रताविरोधी गैरलोकतान्त्रिक शक्ति र पात्रहरू शासनमा बारबार पदार्पण गर्छन्। त्यस्तो अभिशप्त इतिहास नियमितआकस्मिकता बनिरहँदा शासकमा चेत नआउनुको दुर्भाग्य पनि हामीले खेपिरहनुपरेको छ। सरकारको स्पष्ट उद्देश्य आचारसंहिता को दण्ड देखाएर सञ्चार जगत्लाई नियन्त्रणमा राख्न चाहेको देखिन्छ। प्रस्तावित मस्यौदा यथावत् पारित भएमा मिडियाले सरकारको निगरानी गर्ने होइन कि सरकारले मिडियाको निगरानी गर्नेछ। सरकारी संयन्त्रका पात्रहरू भ्रष्टाचार, विकृति, बद्नामीको चंगुलमा डुबे पनि मिडियाले लेख्न नसक्ने अवस्था सिर्जना हुनेछ। यो कानुनअनुरूप त सरकार आफैंले आचारसंहिता बनाउने छ, सरकारनिर्मित संस्थाले आचारसंहिता उल्लंघन भएनभए जाँच गर्ने छ, क्षतिपूर्तिसहितको सजाय तोक्ने छ। आचारसंहिता उल्लंघनमा २५ हजारदेखि १० लाख रुपैयाँसम्म जरिवानाको व्यवस्था राखिएको छ। अर्कोतिर सार्वभौमिकता, अखण्डता, सार्वजनिक शान्तिसुरक्षा प्रतिकूलका समाचार सम्प्रेषण भएमा तीनदेखि आठ वर्षसम्म चर्को कैदको व्यवस्था छ। यसको स्पष्ट परिभाषा नहुँदा अनाहकमा जोकोही पर्न सक्ने खतरा छ। आचारसंहिता उल्लंघन हुने विषयको प्रस्ट नभएपछि सरकारले आफ्ना खराबीविरुद्ध लेख्नेहरूलाई सजिलै सजाय दिलाउने छ। यस्ता संस्था शाही शासनका बेला खडा भएका भ्रष्टाचार नियन्त्रण शाही आयोग बराबर हुनेछ। किनभने, प्रस्तावित मस्यौदाको उद्देश्य असल नियतप्रेरित देखिन्न र लोकतन्त्र धज्जी उडाउन बदनियतपूर्वक ल्याइएको देखिन्छ। निश्चित छ, आचारसंहिता लागू गराउने निकायमा व्यावसायिक विज्ञभन्दा अनेक आवरणका दलीय कार्यकर्ता भर्ती हुनेछन्। उदाहरणनिम्ति हालसम्म नियुक्ति काफी छन्। सत्तारुढ कार्यकर्ता भर्ती गरी संस्थाको मर्यादा पार्ने खेल चर्कैसँग भित्रिएको छ। कृपाका आधारमा नियुक्त पात्रहरू कसप्रति जवाफदेही हुन्छन् त ? सरल र स्वाभाविक जवाफ हुन्छ, नियुक्तिकर्ताप्रति। मिडियाका काम हो सरकारका काममा निगरानी गर्ने, तिनका खराबीलाई पर्दाभास गर्ने र तिनलाई कामनिर्णयप्रति जवाफदेही बनाउने। अब सरकारले नियुक्त गरेका कारिन्दा बाट मिडिया निगरानी गर्न खोजेपछि संविधानप्रदत्त पूर्ण प्रेस स्वतन्त्रता को हविगत के हुन्छ ? सरकारनिर्मित संस्थाहरूलाई सजाय तोक्ने न्यायिक अधिकार दिइयो भने त्यसले निश्चय संविधानप्रदत्त पूर्ण प्रेस स्वतन्त्रता किंवदन्ती बन्नेछ। बाह्य संसार र अझ विशेषगरी लोकतान्त्रिक मुलुकमा प्रेस काउन्सिल हुन् या मिडिया काउन्सिल, तिनको संरचना कस्तो हुन्छ ? त्यस्ता निकायमा सरकार र राजनीतिक दलको के भूमिका हुन्छ ? विधेयकले कानुनी रूप पाउनुपूर्व गहिरो अध्ययन गर्न जरुरी छ। हामीकहाँ त प्रेस काउन्सिल नै सत्तारुढ दलको खेलौनामा रूपान्तरण भएका दृश्य छताछुल्ल छन्। यसमा दल, व्यक्तिविशेष या समयविशेष टिप्पणी गर्नुको अर्थ छैन। हालकै प्रेस काउन्सिललाई दलीय चरित्र र सत्ताको खेलौना बन्ने क्रमबाट जोगाउनुपर्ने अवस्थामा शक्तिशाली मिडिया काउन्सिललाई शासकले दुरुपयोग गर्नेछ। प्रस्तावित मिडिया काउन्सिल विधेयक जनप्रतिनिधिनिर्मित संविधानविरोधी छ । विधिशास्त्रीय मान्यता प्रतिकूल मात्र छैन कि मानवअधिकारको आधारभूत तत्व स्वतन्त्र प्रेस र अभिव्यक्ति स्वतन्त्रतामाथि गम्भीर आँच ल्याउनेछ। त्यसो हुँदा पहिलो त, प्रतिगमनकारी मानसिकता ग्रसित स्वतन्त्रताविरोधी विधेयक सरकारले स्वयं फिर्ता लिनुपर्छ। सरकारी तहबाट जबर्जस्त अघि बढाउन खोजेमा संसद्ले रोक्ने साहस प्रदर्शन गर्नुपर्छ, जनप्रतिनिधिनिर्मित संविधानको रक्षाको खातिर पनि।"
सिन्धुलीमा खडेरीले खायो ५ हजार रोपनीको हिउँदेबाली,"सिन्धुली : सिन्धुलीको सुनकोसी गढतीर क्षेत्रमा पानीको अभावमा ५ हजारबढी रोपनीमा लगाइएको मकै लगायतका हिउँदेबाली खडेरीले सुक्न थालेको छ। जिल्लाको गोलन्जोर र फिक्कल गाउँपालिका अन्तर्गत कोसीगढतिरमा पर्ने खुर्कोट, सुगुरे, बारा, मुर्कीबेसी, ग्वाल्टार, च्याकुटार, डुडभन्ञ्याङ, खाङसाङ लगायतका क्षेत्रका किसानको ५ हजारबढी रोपनी क्षेत्रफलमा लगाइएको मकै लगायतका हिउँदेबाली खडेरीले सुकेर नष्ट हुँदै गएको किसानले बताएका हुन्। गोलन्जोर गाउँपालिका ३ ग्वाल्टारमा मात्र १ हजार ८ सय रोपनी क्षेत्रफलमा लगाइएको मकै पानी अभावमा सुकेर नष्ट हुन थालेको स्थानीय किसान गौरव कार्कीको भनाई छ। लगातार परेको खडेरीका कारण यस्तो अवस्था आएको हो। स्थानीय किसानको २ सय रोपनी क्षेत्रफलमा सिंचाई गरिँदै आएको ठूलो कुलोमा मध्येपहाडी लोकमार्ग निर्माण गर्दा क्षति पुगेपछि पानी आउन छाडेको ५ वर्ष बढी भयो। १ हजार २ सय रोपनी क्षेत्रफलमा सिंचाई गरिने अर्को कुलो मुहान खोलाको मुहान सुक्दा पानीको अभाव भएको छ। सँगै रहेको मूल कुलो पनि सुक्दा थप ४ सय रोपनी क्षेत्रफलमा गरिने सिंचाई कुलोमा पनि पानी छैन, उनले भने। ग्वाल्टार क्षेत्र अन्नबाली उब्जनीको हिसाले पकेट क्षेत्र मानिन्छ। यस क्षेत्रमा प्रायः आकाशबाट वर्षा कम हुन्छ। अर्का किसान पुरुषोत्तम बराल आकाशको वर्षातको कुनै भर नभएको र वषौंदेखि प्रयोग गर्दै आएको कुलोमा पानी सुक्दा लगाएको अन्नबाली तरकारी तथा फलफुल सबै सुकेर नष्ट हुन थालेको बताउँछन्। गोलन्जोर गाउँपालिकाको खुर्कोटदेखि फिक्कल गयाउँपालिकाको खाङ्साङसम्मको झण्डै ४५ किलोमिटर क्षेत्र पुरै सुख्खा क्षेत्र हो। खेतबारी तल सुनकोसी नदी बगेको छ। नदीमाथिका सबै जमिन खडेरीले खाइसक्यो। सिंचाईको व्यवस्था गर्न नसक्दा खडेरीसँगै अनिकाल बढ्ने चिन्ता बढ्दै गयो, किसान बरालले भने। यस्ता क्षेत्रमा माथिबाट आउने खोला तथा खोल्साहरूमा भूकम्प पछि बर्सेनी बढ्ने तापक्रमले सुक्दै गएका छन्। तल सुनकोसी नदीमा पानी भएपनि कुलोमा आउँदैन। लिफ्ट गर्न धेरै ठूलो रकम खर्च गर्नु पर्छ। त्यो किसानबाट सम्भावना छैन। सरकारले वास्ता गरेको छैन, बरालले थपे। सुख्खा क्षेत्र घोषणा गर्न माग हरेक वर्ष पानीको अभावमा लगाइएको खाद्यान्न तथा फलफुल र तरकारी बालीमा समेत क्षति पुग्ने गरेपछि कोसी गढतीर क्षेत्रका किसानहरूले उक्त क्षेत्रलाई सुख्खा क्षेत्र घोषणा गर्न सरकारसँग माग गरेका छन्। विगद चार वर्षदेखि सिंचाईको व्यवस्था नभएको क्षेत्रलाई सुख्खा क्षेत्र घोषणा गर्न गरिएको मागलाई यो वर्षपनि दोहोर्याएको किसान गौरव कार्की बताउँछन्। स्थानीय, प्रदेश र केन्द्रीय सरकारसँग डेलिगेसन गएर गढतीर क्षेत्रलाई सुख्खा क्षेत्र घोषणा गरी सिंचाईको व्यवस्थाका लागि काम गर्न माग गरेका छौं। तर, कुनै तहका सरकारले सुनेका छैनन्, उनले भने। तत्काल सुख्खा क्षेत्र घोषणा गरेर काम नगरे सबै बालीमा आगो लगाएर सरकार विरुद्ध किसानहरू एक भएर आन्दोलनमा उत्रने कार्कीको चेतावनी समेत छ। खडेरीका कारण किसानहरूको वार्षीक उत्पादन गर्ने, धान, मकै, गहुँ, तोरी तथा फलफुल र तरकारी खडेरीले सुक्दा करोडौं नोक्सान हुने भएकाले सरकारले क्षतिपूर्ति दिनुपर्ने खुर्कोटका अर्का किसान दीपेन्द्र आचार्यको माग छ। सिंचाईको सुविधा नभएको क्षेत्रलाई सुख्खा क्षेत्र घोषणा गर्नुपर्दछ। त्यस्ता किसानहरूलाई क्षतिपूर्ति पनि दिनु पर्छ, उनले भने। आपत्तकालीन बाली संरक्षण गर्ने उता गोलन्जोर गाउँपालिकाकाले आपत्तकालिन बाली संरक्षणका लागि पहल गर्ने भएको छ। सिंचाई अभावमा बालीनाली सुकेपछि मकै लगायतका बालीलाई सुनकोसीको पानी तानेर सिंचाई गर्ने व्यवस्था मिलाउने गाउँपालिका अध्यक्ष पुष्प कार्कीले जनाए। तत्काल सिंचाईका लागि कोसीको पानि तानेर सिंचाई गर्ने व्यवस्थाका लागि मोटर, पाइप, तार विद्युतको व्यवस्थापन गाउँपालिकाले गरिदिने छ। अर्को वर्षबाट पालिकाले विशेष कार्यक्रम बनाएर सिंचाईका लागि वैकल्पिक व्यवस्थापनका लागि पहल गर्ने छ, उनले भने।"
कालीगण्डकीमा युवक बेपत्ता,तानसेन : कालीगण्डकी नदीमा पौडी खेल्ने क्रममा एक युवक बेपत्ता भएका छन्। जिल्लाको निस्दी गाउँपालिका १ लिटिपिरिङ्ग घाटमा पौडी खेल्न गएका नुवाकोट जिल्ला डुप्टेश्वर गाउँपालिका २ सानो ओडारे घर भएका २० वर्षीय डोसबहादुर तामाङ बेपत्ता भएका हुन्। निर्माणधिन कालीगण्डकी करिडोरमा छ दिन अघिमात्रै काम गर्न आएका तामाङ गर्मी बढेसँगै साथीहरुसँग दिउँसो नदीमा पौडी खेल्न गएका थिए। पौडी खेल्न बीच भागमा जाने क्रममा उनी बेपत्ता भएको इलाका प्रहरी कार्यालय रामपुरका प्रहरी निरीक्षक भुपाल सिंह रानाले जानकारी दिए। उनको खोजी कार्य भइरहेको प्रहरीले जनाएको छ। उनको श्रीमती सहित २ वर्षको छोरी रहेको उनका काका कृष्णबहादुर तामाङले बताए। गत वर्ष पनि सोही स्थानमा साँखर्दी खोला पुल निर्माणका लागि जाजरकोटबाट आएका एक युवकको डुबेर ज्यान गएको थियो।
शिक्षककै नक्कली प्रमाणपत्र,"काठमाडौं : कोटहीमाई प्रावि कपिलवस्तुकी शिक्षिका नन्दनी श्रीवास्तवको शैक्षिक योग्यताको प्रमाणपत्र नक्कली रहेको पाइएको छ। श्रीवास्तवले प्रावि शिक्षक पदमा नियुक्त हुन माध्यमिक शिक्षा परिषद, उत्तर प्रदेश, भारतबाट हाइस्कुल उत्तीर्ण गरेको झुट्ठा शैक्षिक योग्यताको प्रमाणपत्र पेश गरेको खुलेको हो। उनले पिसिएफ कोटाबाट प्रावि शिक्षक पदमा नियुक्त हुँदा नक्कली प्रमाणपत्र पेश गरेको खुलेपछि अख्तियारले विशेष अदालतमा मुद्दा दायर गरेको हो। उनीविरुद्ध भ्रष्टाचार निवारण ऐन बमोजिम सजायको मागदाबीसहित विशेष अदालतमा मुद्दा दायर गरिएको छ।"
"प्रत्यारोपण केन्द्रका दुई दृश्य : तल नर्सको अनसन, माथि आवेदन","भक्तपुर : भक्तपुरको दूधपाटीस्थित सहिद धर्मभक्त राष्ट्रिय प्रत्यारोपण केन्द्रमा अहिले दुई विपरीत दृश्य देख्न पाइन्छ। एउटा दृश्य आफ्नो रोजगारीको ग्यारेन्टी माग गर्दै केन्द्रमा कार्यरत एक नर्स आमरण अनसनमा छिन्। अर्को दृश्यमा त्यहीं केन्द्रमा रोजगारीको लागि आवेदन दिनेहरुको लर्को छ। केन्द्रले स्थायी पदपूर्तिको लागि एकसय ७० पदको लागि लोकसेवामार्फत विज्ञापन गरेको छ। जसमा स्टाफ नर्सतर्फ नै ९६ पदको लागि विज्ञापन गरिएको छ। उक्त पदको लागि आइतबारसम्ममा तीनसय बढी आवेदन परेको केन्द्रले जनाएको छ। केन्द्रमा आह्वान गरिएको पदमा आवेदन दिनेहरुको लर्को नै लागेको छ। दर्खास्त फारम भर्ने केन्द्रमा यत्रतत्र देखिन्छन्। कोही भर्याङमा, कोही र्याममा बसेर दर्खास्त फारम भर्ने भेटिन्छन्। त्यस्तै कोही पिल्लरमा टाँसिएको सूचना हेर्न व्यस्त छन्, भने कोही बैंक कतातिर छ भनी सोध्नेहरु भेटिन्छन्। अनसनकारी शेर्पाको स्वास्थ्य खस्कियो आफूहरुको रोजगारीको ग्यारेन्टी माग गर्दै शुक्रबारदेखि आमरण अनसन सुरु गरेकी केन्द्रकी नर्सिङ कर्मचारी दिकी शेर्पाको स्वास्थ्य अवस्था खस्किएको छ। आइतबार बिहानसम्म केन्द्रको प्रवेशद्वारमा बसेर अनसनलाई निरन्तरता दिएकी उनलाई साँझदेखि केन्द्रको आकस्मिक कक्षमा राखिएको छ। उनको स्वास्थ्य अवस्था खस्किँदै गएपछि उनलाई आकस्मिक कक्षमा सारिएको उनका सहकर्मीहरुले बताएका छन्। आकस्मिक कक्षमा राखेर उपचार गरिएपछि उनी बोल्न सक्ने भएकी छन्। केन्द्रमा सुरुदेखि काम गर्दै आएका नर्सहरुलाई सेवाबाटै हटाउन खोजिएकाले आन्दोलनमा उत्रन बाध्य भएको उनले सुनाइन्। विज्ञापन गरेर नयाँ नर्स भर्ना गर्दा पुरानाहरु विस्थापितमात्रै हुनेछैनन्। केन्द्रको सेवाको गुणस्तरसमेत खस्कनेछ। सही उपचार नपाएर कसैको ज्यान गयो भने कसले जिम्मेवारी लिने ?, उनले भनिन्, नयाँ नर्सहरुले अंग प्रत्यारोपण जस्तो संवेदनशील क्षेत्रको सेवा दिन सक्दैनन्। नयाँले यहाँको अति संवेदनशीन डाइलासिस मेसिनसमेत सञ्चालन गर्न सक्दैनन्। जसले बिरामीहरुले गुणस्तरीय सेवा पाउँदैनन्। उनले आफूहरु लोकसेवा परीक्षामा असफल हुने डरले आन्दोलनमा नगएको दावी गरे। उनका अनुसार आन्दोलनमा लागे पनि दर्खास्त फारम भरिएको छ। केन्द्रमा सुरुदेखि नै काम गरेको अनुभवको आधारमा आफूहरुको रोजगारी ग्यारेन्टी गर्नुपर्ने उनको तर्क थियो। आफूहरु केन्द्रमै रहँदा केन्द्रको सेवा प्रभावित नभई झन् प्रभावकारी र गुणस्तरीय हुने उनको दावी थियो। सात वर्षदेखि केन्द्रमा काम गर्दै आएका उनले केन्द्रमा कार्यरत नर्सहरु नै सीधै स्थायी हुने गरी प्रक्रिया अघि नबढाएसम्म आमरन अनसन नतोड्न बताइन्। केन्द्रले अनुभवी एवं लामो समयदेखि काम गर्दै आएका आफूहरुलाई पाखा लगाउने नियतका साथ केन्द्रले स्थायी विज्ञापन गरेको आरोप लगाइन्। केन्द्र हुँदै मन्त्रालय र नेपाल नर्सिङ संघबाट आफूहरुको माग सुनुवाइ नभएपछि पछिल्लो समय नर्सहरु आमरन अनसनमा उत्रिएका छन्। माग पूरा गर्न कठिन : केन्द्र यता केन्द्रले भने अनसन बसेकी नर्सको माग पूरा गर्न नसकिने बताएको छ। स्वास्थ्य मन्त्रालयले नै आन्दोलनकारी नर्सहरुको माग पूरा गर्न नसक्ने उत्तर दिइसकेको अवस्थामा मन्त्रालय मातहतको केन्द्रले पूरा गर्न सक्ने अवस्थै नभएको केन्द्रले जनाएको हो। केन्द्रले स्वास्थ्य सेवा ऐनअनुसार नै विज्ञापन गरिएकाले नर्सहरुले भनेझैं केन्द्रमा कार्यरतहरुलाई प्राथमिकता दिने विकल्प राख्न नसकिएको बताएको छ। केन्द्रका कार्यकारी निर्देशक डा पुकारचन्द्र श्रेष्ठले आन्दोलनरत आफ्ना नर्सिङ कर्मचारीहरुलाई आन्दोलन छाडेर काममा फर्कन आग्रह गरेका छन्। उनले केन्द्रका चिकित्सक तथा नर्स र कर्मचारीहरुको रोजगारी सुनिश्चित गर्न नै लोकसेवा आयोगमार्फत परीक्षा लिन लागिएको स्पष्ट पारे। त्यसैले लोकसेवाको परीक्षामा सहभागी हुँदा नै आन्दोलनरत नर्सहरुको भलो हुने उनको भनाइ थियो। स्टाफ नर्समा आवेदन दिने कम केन्द्रमा नर्सहरुको आन्दोलनको कारण स्टाफ नर्समा आवेदन कम परेको छ। केन्द्रले ९६ पदको लागि कम्तीमा पाँच हजार र बढीमा १५ हजार आवेदन पर्ने अनुमान गरेको थियो तर आइतबारसम्ममा जम्मा तीनसय जनाले आवेदन दिएका छन्। आगामी जेठ ३ गतेसम्म आवेदन दिने म्याद तोकिएको छ। दोब्बर शुल्क तिरेर भने जेठ १० गतेसम्म आवेदन दिन सकिने सूचनामा उल्लेख छ। तर नर्सहरुको आन्दोलनको कारण आवेदकहरु अन्योलमा रहेको यसले पुष्टि हुन्छ। सरकारी सेवाको लागि एकैपटक ९६ जना स्टाफ नर्स मागिनु धेरै हो, केन्द्रका प्रशासन प्रमुख हरिहर पोखरेलले भने, यस हिसाबले केन्द्रमा कम्तीमा पाँच हजार र बढीमा पन्ध्र हजार नर्सहरुको आवेदन पर्ने अनुमान थियो। तर आइतबारसम्ममा तीनसयमात्रै आवेदन परे। नर्सहरुको आन्दोलनकै कारण उक्त पदमा ज्यादै थोरै आवेदन परेको उनको भनाइ थियो। उनका अनुसार अरु पदमा भने अपेक्षा गरेभन्दा बढी आवेदन परेका छन्।"
वसन्तमा राजधानीलाई सुन्दर बनाउने फूल (फोटो फिचर),"काठमाडौं : अहिले राजधानीका सडक किनारका सुन्दर फूलले सबैलाई आकर्षित गर्छ। तर, धेरैलाई फूलको नाम भने थाहा हुँदैन। ज्याकारान्डा मिमोसिफोलिया नाम गरेको यो फूल काठमाडौं र ललितपुरका सडक किनारमा देख्न सकिन्छ। फूलको थप आकर्षण सुनिता डंगोलको तस्बिरमा :"
रोकिराखेको ट्याक्टरमा ठोक्किएर स्कुटर चालकको मृत्यु,राजविराज : रोकिराखेको ट्याक्टरमा ठोक्किएर आइतबार सप्तरीमा एक युवकको मृत्यु भएको छ। सुरुङगा नगरपालिका१ हस्पिटल चोकस्थित कदमाहागाईघाट सडकखण्डमा भएको सवारी दुर्घटनामा घाइते उदयपुरको त्रियुगा नगरपलिका ३ का ३२ वर्षीया प्रविण चौधरीको मृत्यु भएको सप्तरी प्रहरीले जनाएको छ। जिल्ला प्रहरी कार्यालय सप्तरीका अनुसार सडक किनारमा रोकिराखेको स १ त ५००२ नम्बरको ट्याक्टरमा चौधरी सवार स १० प ५८८७ नम्बरको स्कुटी ठोक्किएको हो। स्कुटी उदयपुरको गाईघाटबाट कदमाहातर्फ आइरहेको थियो। दुर्घटनामा घाइते भएका चौधरीको उपचारका क्रममा सिरहाको लहानस्थित सप्तऋषी अस्पतालमा मृत्यु भएको हो। ट्याक्टर र ट्याक्टर चालकलाई इलाका प्रहरी कार्यालय कडरबोनाले नियन्त्रणमा लिएको छ।
चकचके आरोपमा निष्कासित बालक पढाउन विद्यालय सहमत,"काठमाडौं : कक्षामा हल्ला र चकचक गरेको आरोपमा निष्काशित पासाङ तामाङलाई पढाउन भीमसेनगोलास्थित कमल नेत्र छुनामुना माध्यमिक विद्यालय सहमत भएको छ। आइतबार विद्यार्थीका अभिभावक, विद्यालय प्रशासन र अभिभावक महासंघका प्रतिनिधिबीच भएको छलफलपछि तामाङलाई पढाउने सहमति भएको हो। तामाङलाई चकचके आरोपमा निष्काशन गरेकोप्रति विद्यालयले आत्मालोचना गर्दै अबदेखि उनलाई विशेष हेरचाह गरेर पढाउने भएको छ। नर्सरीमा अध्ययनरत चार वर्षीय तामाङले साथीभाइसँग झगडा गरेको, साथी र स्कुलका सामान फुटाएको लगायत आरोप लगाउँदै स्कुलले यस वर्षदेखि पढाउन नसक्ने जानकारी अभिभावकलाई गरेको थियो। चकचके भन्दै विद्यार्थी निष्कासित चकचके विद्यार्थी पढाउन सर्त तामाङ गत वर्ष सोही स्कुलमा प्ले ग्रुप मा भर्ना भएका थिए। यस वर्ष विद्यालयले पढाउन नमानेपछि परिवार समस्यामा थिए। बालका बाबु दोस्रो बिहे गरी बसेका छन्। उनकी आमाको आर्थिक अवस्था कमजोर छ। गरिब परिवारकै भएका कारण तामाङकी आमा घरेलु कामदारको रुपमा काम गर्छिन्। अभिभावक महासंघका अध्यक्ष सुप्रभात भण्डारीले भने, जेठ एक गतेबाट पढाउने र त्यो भन्दा अघि बालकलाई परामर्श दिने सहमति भएको छ। उनलाई विशेष माया गरेर पढाउने पनि मौखिक सहमति भएको छ। गत भदौमा पारित भएको अनिवार्य तथा निःशुल्क शिक्षा सम्बन्धि ऐनको दफा १० मा कुनै विद्यालयमा भर्ना भई आधारभूत तहको शिक्षा लिइरहेको कुनै पनि बालबालिकालाई विद्यालयबाट निष्काशन गर्न नपाइने उल्लेख छ। विद्यालय भर्ना भएको बालबालिकाले अनुशासनहीन काम गरेको वा खराब आचरण भएको कारणले निजलाई आधारभूत शिक्षा प्राप्त गर्न वा परीक्षा दिन रोक लगाउन नपाइने उक्त दफाको उपदफा दुईमा लेखिएको छ। आधारभूत तहको शिक्षा प्राप्त गरिरहेको बालबालिकाको अनुशासन, आचरण, पठनपाठन लगायतका विषयमा कुनै सुधार गर्नु पर्ने भएमा विद्यालयका प्रधानाध्यापकले अभिभावकसँग छलफल वा परामर्श गर्नुपर्ने र बालबालिकाले आधारभूत तहसम्मको शिक्षा प्राप्त गर्ने वातावरण सिर्जना गर्न मनोसामाजिक परामर्श वा अन्य आवश्यक उपाय अवलम्बन गर्नुपर्नेछ उप दफा तीनमा व्यवस्था गरिएको छ।"
