शीर्षक,विवरण
वैदेशिक रोजगारका समस्या,"वैदशिक रोजगारमा पठाउने दलालहरूको बोली जति मीठो हुन्छ, व्यवहार उस्तै क्रूर हुन्छ। आकर्षक कमाइ हुने कामको खोजीमा भौंतारिएका व्यक्तिसँग भेट भयो भने दलालहरूले यसरी गफ दिन्छन् कि उनीहरूले भनेअनुसार पैसा बुझाउन सक्यो भने श्रमिकको आर्थिक हैसियत केही वर्षमै कायापलट हुन्छ। सपनामा पनि सोच्न नसक्ने गरी पैसा कमाउन सकिने गफमा भुलेर श्रमिकहरू दलालको भुलभुलैयामा पर्छन् र तत्काल घरघडेरी बेचेर भए पनि दलाललाई कुस्त पैसा एड्भान्सका रूपमा दिइहाल्छन्। यसरी तिरेको पैसाको कुनै कानुनी हैसियत हुँदैन। दलालहरू भने बेपत्ता भइसक्दा पनि रोजगारमा जाने योजनामा रहेकाहरू भने विदेश जाऔंला र पैसा कमाउँला भन्दै दिन गनेर बसिरहन्छन्। तर त्यो दिन कहिल्यै आउँदैन। दलालको फन्दामा परेर सडकको बासमा पुगेका थुप्रै नागरिक दलालको खोजीमा छन्। कोही वर्षौंदेखि कानुनी लडाइँमा छन्। साहुबाट ल्याएको ऋणको सावाब्याज तिर्नुपर्ने र अकारण लड्नुपरेको मुद्दाको थिचोमा परेकाको समस्याबारे राज्य गम्भीर हुनुपर्छ। खराब आचरण भएका केही दलालका कारण समग्र वैदेशिक रोजगार व्यवसायलाई नै बदनाम गराएको छ। मुलुकभर वैधानिक रूपमा ७५२ वटा वैदेशिक रोजगारसम्बन्धी म्यानपावर कम्पनी रहे पनि समाजका कुनाकुनामा दलालहरू फैलिएका छन्। स्वदेशमा एक प्रकारको काम गरेर विदेश पुगेपछि अर्कै काममा लगाउने, कबुल गरेअनुसारको सेवासुविधा नदिनेदेखि आकर्षक मुलुकमा पठाउँछ भन्दै रकम कुम्ल्याएर आफैं फरार हुने प्रवृत्ति यो क्षेत्रमा छ। विदेश गएर रोजगारमा लागे पनि कुनै न कुनै समस्या नभोगेका व्यक्ति भेट्न मुस्किल छ। तुलनात्मक रूपमा प्रदेश २ का नागरिक यो समस्याबाट बढी प्रभावित छन्। दलाललाई लाखौं रुपैयाँ बुझाएर पनि विदेश जान नपाएका र अहिले न्याय पाउने आशामा रहेको दर्जनौं नागरिक अदालती निर्णयको पर्खाइमा छन्। फितलो अनुगमन र उनीहरूले जस्तै गल्ती गरे पनि उच्च राजनीतिक तथा प्रशासनिक पहुँचका कारण कानुनी कारबाहीबाट उन्मुक्ति पाउने गरेका छन्। अपवादबाहेक वैदशिक रोजगारमा जान चाहनेहरूको आर्थिक हैसियत कमजोर नै हुन्छ। यस्ता वर्गको सरकारी निकायसम्म राम्रो पहुँच पनि हुन्न। उनीहरूले राम्रो कानुनी ज्ञान लिन पनि सक्दैनन्। यसैको फाइदा दलालहरूले लिइरहेका छन्। कतिपय दलाल पक्राउ गरे पनि उनीहरूमाथि कडा कानुनी कारबाही हुन सकेको छैन। सत्ता प्राप्तिका लागि मुलुकमा हिजोआज दैनिकजसो सभासम्मेलन हुने गरेको छ। नेताका कोठे बैठकको गन्ती गरिसाध्य छैन। तर यस्ता सम्मेलन वा बैठकमा घामपानी वा हर प्रकारका वाधा प्रवाह नगरी हाड खियाइरहेका दाजुभाइलाई यो बाध्यात्मक अवस्थाबाट मुक्ति दिने विषयमा मन्थन भएको पाइँदैन। बरु विदेशमा दस नंग्रा खियाइरहेकाबाट आर्थिक संकलन गर्ने र कसरी चुनाव वा सत्ता आरोहणका लागि भयाङ बनाउने भन्ने ध्याउन्नमा नेताहरू केन्द्रित भएको पाइन्छ। योभन्दा लाजमर्दो अवस्था अरू केही हुन सक्दैन। विदेशी भूमिमा बेहोर्नुपरेको कष्टको समाधान गर्न नसके पनि स्वदेशभित्र आफ्नै दाजुभाइलाई ठग्नेविरुद्ध भने कडा कारबाही हुनुपर्छ। पीडितलाई न्याय दिनुपर्छ। आफ्नै दाजुभाइलाई ठगेर रातारात धनी बन्ने ध्याउन्नमा लागेकाहरूलाई नियन्त्रण गर्नुपर्छ। रोजगारमा जान चाहनेले बलियो कानुनी आधारविना दलाललाई पैसा दिनुहुन्न। यस्ता विषयमा सरकारी तथा गैरसरकारी संस्थाबाट प्रभावकारी परामर्श दिनुपर्छ। अनुगमनलाई प्रभावकारी बनाउनुपर्छ। सरकारी दरभन्दा बढी रकम असुल्न खोज्ने दलाल पहिचानका लागि रोजगारमा जान चाहनेले पनि सहयोग गर्नुपर्छ। धेरै पैसा कमाउन विदेश नै जानुपर्छ भन्ने सोचाइमा परिवर्तन ल्याउन जरुरी छ। सरकारी स्तरबाट रोजगार सिर्जना हुने नीति तथा कार्यक्रम ल्याउन जरुरी छ।"
अवहेलना मुद्दामा प्रचण्डको जवाफ : मैले अदालतको मानहानी हुने अभिव्यक्ति दिएको छैन,"काठमाडौं : पूर्वप्रधानमन्त्री एवम् नेपाल कम्युनिस्ट पार्टी (नेकपा) प्रचण्डमाधव समूहका अध्यक्ष पुष्पकमल दाहाल प्रचण्डले आफूले अदालतको मान हानि हुने कुनै अभिव्यक्ति नदिएको लिखित जवाफ सर्वोच्च अदालतमा पेश गरेका छन् । अदालतको अवहेलना मुद्दामा आफैँ उपस्थित भएर जवाफ दिनू भनेपछि प्रचण्डले आइतबार सर्वोच्च अदालतमा लिखित जवाफ बुझाएका हुन् । उनले आफूले सार्वजनिक सभामा मुद्दाका विषयमा बोलेको नभइ कार्यकारिणीको बदनियत र उसको संविधानविरुद्धको कामबारे जनतालाई सुसूचित गराउने र आफ्नो धारणा व्यक्त गर्ने काम मात्र गरेको बताएका छन्। आफ्नो उक्त कार्यबाट अदालतको अवहेलना हुनै नसक्ने उनले उल्लेख गरेका छन्। उनले लिखित जवाफमा भनेका छन्। 'निवेदकको बुँदा नम्बर ३४ मा उल्लेख संवैधानिक व्यवस्था स्वीकार गरेर नै संवैधानिक अदालतमा हाम्रो पार्टीका सांसदले रिट निवेदन लिएर आएको तथ्य स्पष्ट नै छ । हरेक नागरिकले आफ्नो मुद्दामा जितको आश गर्नु सामान्य मानवीय स्वभाव हो', उनले लिखित जवाफमा उल्लेख गरेका छन्, 'यस्तो कुरा स्मरण गर्नु, व्यक्त गर्नु मुद्दाको पक्षको अधिकार नै हो । तर, सो कुरा व्यक्त गर्न नै नपाउने, आशा, भरोसा गर्न नपाउने विधिशास्त्रीय कुराभित्र पर्दैन ।' फैसलामा मुद्दाका पक्षले सन्तोष, असन्तोष व्यक्त गर्नु स्वाभाविक भएको उल्लेख गर्दै उनले फैसला अवज्ञा गर्ने वा फैसला उल्लंघन गर्ने काम आफू र आफ्नो दलबाट हुनु नहुने बताए । आफूहरुको जुलुस र भाषणले न्यायपालिकालाई प्रभाव नपार्ने बताउँदै उनले भने, 'सरकार र उसका नातेदार अदालतलाई कमजोर ठान्छन् । त्यसैले यस्ता निवेदन हाल्न लगाउँछन् ।"
बल्ल छुट्याइँदै गाउँ र सहर,"काठमाडौं : हाम्रा देशमा कति गाउँ छन् ? सहर कति छन् ? स्थानीय तहमध्ये ६ महानगरपालिका, ११ उपमहानगरपालिका र २६० वटा नगरपालिका छन्। तर, त्यहाँ हुनुपर्ने सेवासुविधा, पूर्वाधार विकास देखिँदैन। गाउँ त गाउँ नै रह्यो। अब भने सरकारले २०७८ को राष्ट्रिय जनगणनामा गाउँ र सहर छुट्याउने गरी विवरण संकलन गर्ने भएको छ। केन्द्रीय तथ्यांक विभागका निर्देशक तीर्थराज चौलागाईंले जनगणनामा गाउँ र सहर छुट्याउन छुट्टै प्रश्नावली बनाइएको जानकारी दिए। जनगणनाको १ सय १० वर्षको इतिहासमा पहिलो पटक सामुदायिक प्रश्नावली त्यसकै लागि तयार पारिएको छ। सामुदायिक प्रश्नावलीले सहर र गाउँलाई छुट्याउने निर्देशक चौलागाईंको भनाइ छ। स्थानीय तहको वडासम्म पुगेर सुपरिवेक्षकले त्यो प्रश्नावली भराउनेछन्। सहरी सेवासुविधामा बडावासीको पहुँचको अवस्थाको छुट्टै प्रश्नावली राखिएको छ। भौतिक पूर्वाधार, आर्थिक पूर्वाधारसेवासुविधाको अवस्थाबारे विवरण संकलन गरिनेछ। इन्टरनेट, विद्युत्, क्याम्पस, अस्पताल, एम्बुलेन्स सेवा, बजार, बैंक तथा वित्तीय संख्या, सहकारी संख्यालगायत भौगोलिक क्षेत्रभित्र सेवासुविधा उपलब्धताको अवस्थाबारे एकएक तथ्यांक संकलन गरिनेछ। यसका लागि विभिन्न प्रश्नावली यसरी सोधिनेछ। वडाको केन्द्रमा वर्षभरि सडक यातायात सञ्चालन हुन्छ ? बहुसंख्यक बडावासीको सार्वजनिक यातायातको पहुँच छ ? वडामा स्थानीय यातायातनगर यातायात सेवा उपलब्ध छ ? वडाभित्र कालोपत्रे भई बाह्रै महिना चल्न सक्ने सडक कति छ ? वडाभित्र धुलेमाटे सडकको लम्बाइ कति छ ? एक घर, एक धाराको हिसाबले पाइपबाट वितरित सुरक्षित खानेपानी कति घरपरिवारमा पुगेको छ ? घरभित्रैघर परिसरभित्र शौचालय भएको घरपरिवार कति छन् ? शौचालयको फोहोरमैला विसजर्नका लागि ढल सेवा कति घरपरिवारमा जडानमा पुगेको छ ? फोहोरमैला नियमित संकलन गरी व्यवस्थापन गर्ने सेवा कति घरपरवारमा पुगेको छ ? राष्ट्रिय प्रसारण लाइन वा भरपर्दो विद्युत् प्रणालीमा जोडिएको घरपरिवार कति छन् ? वडामा उच्च गतिकोब्रोडब्यान्ड इन्टरनेट सुविधा कति जनसंख्यामा पुगेको छ ? वडामा सुरक्षित घर अर्थात् व्यवस्थित र योजनाबद्ध आवास (जग्गा विकास क्षेत्र, सामूहिक आवास, संयुक्त आवास, एकीकृत बस्ती) क्षेत्रमा बस्ने घरपरिवार कति छन् ? ३० मिनेटको पैदलयात्रामा बजारको केन्द्रसम्म पहुँच भएका घरपरिवार कति छन् ? लगायत गाउँ सहर छुट्याउने प्रश्नावली तयार गरिएको छ। सामाजिक पूर्वाधारसेवा सुविधाको अवस्थाका प्रश्नावली छन्। आधा घण्टाको पैदल दूरीमा उच्च शिक्षाको सेवा उपलब्ध छछैन ? आधा घण्टाको पैदल दूरीमा पुस्तकालय सुविधा उपलब्ध छछैन ? आधा घण्टाको पैदल दूरीमा मेडिकल डाक्टर (एमबीबीएस)को सेवा उपलब्ध छछैन ? आधा घण्टाको पैदल दूरीमा सुरक्षा बेस वा प्रहरी चौकी छछैन ? वडाको मुख्य बस्तीबाट ५ किमि दूरीमा दमकल सेवा उपलब्ध छछैन ? आधा घण्टा दूरीमा हरियाली पार्क वा बाल उद्यान खेल मैदान छछैन ? आर्थिक पूर्वाधार र सेवासुविधाबारे विवरण संकलन गरिनेछ। वडामा परिवार नै बसाइ सरी आउने वा जाने अवस्था कस्तो छ ? आधा घण्टाको पैदल दूरीमा बैंक वा वित्तीय सेवा उपलब्ध भएका घरपरिवार कति छन् ? सहकारी पहुँच भएका घरपरिवार कति छन् ? आधा घण्टाको दूरीमा सिनेमा हलनाचघरकलकेन्द्र, व्यापारिक केन्द्रसपिङ मल छ ? प्रहरी चौकी, सार्वजनिक पुस्तकालय, सामुदायिक सिकाइ केन्द्र वृद्धाश्रम, बालगृह, सार्वजनिक शौचालय, सामुदायिक भवन वा सभाहल, पशुबधशाला, व्यवस्थित शवदाह स्थलशव गाड्ने स्थल, खेलमैदानटुँडिखेल, सार्वजनिक पार्क, वडा कार्यालयको आफ्नै प्रशासकीय भवन, मठमन्दिर, गुम्बालगायतको विवरण छ कि छैन ? जस्ता प्रश्नावली तयार गरिएको छ। निर्देशक चौलागाईंले यी प्रश्नावलीको आधारमा गाउँ र सहर छुट्टिने बताए। २०७८ जेठ २५ देखि असार ८ सम्म राष्ट्रिय जनगणना हुन गइरहेको छ।"
जलहरी भगवान्को गहना,"काठमाडौं : पशुपति क्षेत्र विकास कोषका कोषाध्यक्ष एवं श्रीपशुपतिनाथको सुनको जलहरी निर्माण व्यवस्थापन समितिका संयोजक डा मिलनकुमार थापाले सुनको जलहरी राख्नु नहुने तर्क कुतर्क भएको बताएका छन्। जलहरी राख्ने कार्य प्राणप्रतिष्ठा भनेर आम मान्छेलाई भ्रम परेको उनको भनाइ छ। थापाले सञ्चारकर्मीसँग भने, जब मन्दिर भत्किएर नयाँ बनाइन्छ, जीर्णोद्धार गरिन्छ वा नयाँ मूर्ति राखिन्छ अनि प्राणप्रतिष्ठा गरिन्छ। तर, यो भगवान्को आजको शृंगार भोलि उतारेजस्तै एउटा जलहरीको ठाउँमा अर्को राखिएको हो। वर्षमा चारवटा नवरात्र हुन्छन्। चैत्र नवरात्र, शारदीय नवरात्र, माघ र आषाढ शुक्लमा पर्ने गुप्त नवरात्र। अहिले माघ शुक्ल पक्ष हो, यसमा काम्यकर्मलाई वर्जित हुन्छ, नित्यकर्ममा वर्जित नभएको एक धर्मगुरुले पुष्टि गरे। जलहरी भगवान्लाई चढाइएको गहना हो यसमा प्राणप्रतिष्ठा गर्नुपर्ने जरुरी नभएकाले बेकारको तर्क गर्नु नपर्ने डा थापाको तर्क छ। श्रीपशुपतिनाथमा गत वर्षदेखि नै महारुद्री गर्ने तयार गरिएको थियो। गत वर्षको चैत्र नवरात्रमा गर्ने भनिए पनि कोभिडका कारण स्थगित भएकाले गर्न सकिएको थिएन। आषाढ शुक्ल पक्षमा मूलभट्टले नै यसका लागि संकल्प गरेका थिए। यो नवरात्र शतचण्डी पनि गर्नका लागि रोजिएको कोषाध्यक्ष थापाले बताए। उनका अनुसार, भारतका बनारस र काशीका मन्दिरहरूमा पनि सुनकै जलहरी राखिएको छ। विश्वनाथ मन्दिरमा त खम्बा नै सुनको छ, त्यहाँ पनि भगवान्को पीठिका (जलहरी), मुकुट र पाउ पनि पूरै सुनैसुनको छ। भारतका तिरूपती र सोमनाथ मन्दिरमा त हीराकै मुकुट छ भने गुहावटीस्थित कामाख्या मन्दिरमा गजुर नै सुनैसुनको छ, थापाले भने, नेपालमा त्यसमा पनि पशुपतिनाथ मन्दिरमा किन नहुने ? पुरातत्त्व विभागले मापदण्डविपरीत वा बिग्रिने गरी राखेको भए रोकिसक्थ्यो त्यो पनि छैन। रणबहादुर शाहले तामाको जलहरी राखेकोमा श्री ५ महेन्द्रले चाँदीको फेर्न हुन्छ भने चाँदीको ठाउँमा सुनको राख्न नहुने कसरी हुन्छ भनी उनले प्रश्न गरे। जतिसक्यो राम्रो मन्दिर, मूर्ति बनाउने र सजाउने कुरा जताततैका मठमन्दिरका उदाहरण सबैसामु छर्लंग भएको थापाको भनाइ छ। पशुपतिनाथको मन्दिरमा सुपुष्पदेव नामका राजाले सुवर्ण (सुन) को छानो बनाएर चढाउनुभयो भन्ने कुरा त अभिलेख र वंशावलीहरूमा नै उल्लेख छ। चढाउनै नहुने भए त्यतिबेला किन चढाइयो ? त्यो हुने यो नहुने भन्ने हुन्छ ? डा थापाले भने। इतिहासविद् ज्ञानमणि नेपालको पुस्तक दर्शन स्पर्शनमा समीक्षा मा पनि सुपुष्पदेवले पशुपतिको छानो सुनको बनाएर राखेको उल्लेख छ। कुलचन्द्र कोइरालाको नेपालका आराध्यदेव भगवान् श्रीपशुपतिनाथ नामक कृतिमा पनि यस सम्बन्धमा उल्लेख गरिएको छ। डा स्वामी प्रपन्नाचार्यको पुस्तक ६४ शिवलिंगको विश्लेषणात्मक अनुसन्धान मा लेखिएको छ, शिवलिंग दुई प्रकारका हुन्छन्, प्राकृत र कृत। मानवले निर्माण र प्राण प्रतिष्ठान गरी पूजन गरेको लिंग कृत हो भने प्रकृतिको गर्भभित्र भएका ढुंगाको शिवलिंग प्राकृत हो भनिएको छ। शिवलिंगको इतिहासका बारेमा स्कन्द पुराण केदारखण्डको ३१औं अध्यायमा १४ शिवलिंग पुज्ने गरिएको र तीमध्ये नौ नम्बरमा स्वर्णलिंग शब्द लेखिएको छ।"
नेपाल पाँच वर्षपछि विकासशील,"काठमाडौं : नेपाल अबको पाँच वर्षपछि अतिकम विकसितबाट विकासशील राष्ट्रमा स्तरोन्नति हुने भएको छ। नेपालको १५ औं आवधिक योजनाले सन् २०२२ मै स्तरोन्नति गर्ने लक्ष्य लिए पनि कोरोना महामारीका कारण अर्थतन्त्रमा भारी क्षति भएपछि सन् २०२६ मा धकेलिएको हो। संयुक्त राष्ट्रसंघको कमिटी फर डेभलपमेन्ट पोलिसी (सीडीपी)ले पाँच वर्षपछि स्तरोन्नतिका लागि सिफारिस गरेको छ। स्तरोन्नति तयारीका लागि तीन वर्षको अवधि दिने गरिए पनि कोरोना महामारीका कारण नेपाल सरकारको अनुरोधमा पाँच वर्ष पाएको संयुक्त राष्ट्रसंघका लागि नेपालको स्थायी नियोगले जनाएको छ। सीडीपीको समीक्षा बैठक सोमबारदेखि शुक्रबारसम्म चलेको थियो। उक्त बैठकले बंगलादेश र लाओसलाई पनि स्तरोन्नतिका लागि सिफारिस गरेको छ। स्तरोन्नतिका लागि प्रतिव्यक्ति आय, मानव सम्पत्ति सूचक र आर्थिक एवं वातावरणीय जोखिम सूचकलाई आधार बनाइन्छ। नेपालले प्रतिव्यक्ति आयबाहेक दुई सूचक भूकम्पको वर्ष (सन् २०१५) मै पूरा गरेको थियो। त्यसपछि सन् २०१८ मा स्तरोन्नति गर्नेबारे छलफल हुँदा राष्ट्रिय योजना आयोगले भूकम्पका कारण ठूलो आर्थिक एवं मानवीय क्षति भएको र त्यसपछि पनि प्राकृतिक प्रकोपले सताएको भन्दै नगर्न सल्लाह दिएको थियो। सरकारले पनि त्यहीअनुसार अनुरोध गरेपछि स्तरोन्नति रोकिएको थियो। त्यसपछि सरकारले सन् २०२२ मा विकासशील राष्ट्रमा स्तरोन्नति गर्ने योजना बनाएको थियो। तर, व्यावसायिक संघसंस्था र कतिपय अर्थशास्त्रीले अहिलेकै अवस्थामा स्तरोन्नति गर्न नहुने बताउँदै आएका थिए। संसद्को दिगो विकास तथा सुशासन समितिले एक महिनाअघि मात्रै सरकारलाई स्तरोन्नतिको मिति पछि सार्न आग्रह गरेको थियो। समितिले सहुलियतपूर्ण कर्जा र अनुदानजस्ता अन्तर्राष्ट्रिय सहायता, बौद्धिक सम्पत्तिको अधिकार एवं अन्तर्राष्ट्रिय व्यापार सुविधामार्फत नेपालले पाइरहेको लाभमा असर पर्ने जनाएको थियो। मापदण्डमा के छ ? मानव सम्पत्ति सूचकमा पाँच वर्षमुनिका बाल मृत्युदर, कुपोषण, मातृ (प्रजनन) मृत्युदर, विद्यालय भर्ना दर, प्रौढ साक्षरता र विद्यालयमा लैंगिक समानताको स्तरलाई मापन गरिन्छ। स्तरोन्नतिका लागि यस्तो मानव सम्पत्ति सूचक कम्तीमा ६६ हुनुपर्छ। त्यस्तै, आर्थिक तथा वातावरणीय जोखिम सूचकले आर्थिक जोखिमका चार र वातावरणीय जोखिमका चार उपसूचकका आधारमा राज्यको वर्गीकरण गर्छ। अर्थतन्त्रमा कृषि र वनको हिस्सा, वस्तु निर्यातको अवस्था र स्थायित्व एवं दुर्गम तथा भूपरिवेष्टित अवस्थितिलाई आर्थिक सूचकमा गणना गरिन्छ। भौगोलिक अवस्थाअनुसार जनसांख्यिक विभाजन, प्रकोपपीडितको अवस्था र कृषिजन्य वस्तुको दिगो उत्पादनलाई वातवरणीय सूचकमा समावेश गरिएको छ। यी दुबै सूचकमा नेपालले स्तरोन्नतिका लागि आवश्यक अंक हासिल गरिसकेको छ। सन् २०१८ को त्रिवर्षीय समीक्षामै मानव सम्पत्ति सूचक ७१२ (कम्तीमा ६६ हुनुपर्ने) र आर्थिक तथा वातावरणीय जोखिम सूचक २८४ (३२ भन्दा कम हुनुपर्ने) भएकाले नेपाललाई यी दुई सूचककै आधारमा स्तरोन्नति गर्न बाटो खुला छ। प्रतिव्यक्ति आयमा भने नेपालले थ्रेसहोल्ड भेट्टाउन सकेको छैन। स्तरोन्नतिका लागि प्रतिव्यक्ति कुल राष्ट्रिय आय १ हजार २ सय २२ डलर आवश्यक पर्छ। गत आर्थिक वर्षसम्म नेपालको प्रतिव्यक्ति आय १ हजार ९८ डलर छ। न्यूनतम सीमा भेट्टाउन नेपालले प्रतिव्यक्ति आय १ सय २४ डलर बढाउनुपर्ने हुन्छ। पछिल्लो पाँच वर्षमा नेपालको प्रतिव्यक्ति आय ३ सय २० डलर बढेकाले यो लक्ष्य भेट्टाउन समस्या नहुने देखिन्छ। दुई सूचक पूरा गरेका मुलुकले स्वघोषणाबाट पनि विकासशील मुलुकमा आफूलाई स्तरोन्नति गर्न सक्छन्। राष्ट्रसंघले पनि दुई मापदण्ड पूरा गरेका मुलुकलाई स्तरोन्नति गर्ने व्यवस्था गरेको छ। विश्व बैंकले गत वर्ष नेपाललाई न्यून आय भएको मुलुकको समूहबाट निम्नमध्य आय भएको मुलुकको सूचीमा राखेको थियो। मुलुकहरूले अन्तर्राष्ट्रिय व्यापारमा प्राप्त सुविधाको लाभ लिन आफूलाई यथार्थभन्दा कम वर्गमा सुरक्षित गर्ने प्रचलन पनि छ। एसियामा चार सेर भनेर चिनिने हङकङ, सिंगापुर, दक्षिण कोरिया र ताइवानले सम्पूर्ण सूचकमा विकसित मुलुकको मापदण्ड पूरा गरे पनि आफूलाई विकासशील समूहमै राखेका छन्। फाइदा कि बेफाइदा ?नेपाल उद्योग वाणिज्य महासंघले केही महिनायता तत्काल अति कम विकसितबाट स्तरोन्नति गर्न नहुने भन्दै लबिङ गर्दै आएको थियो। व्यवसायीले खासगरी युरोप, अमेरिकाजस्ता विकसित मुलुकमा पाइरहेको निर्यात सुविधासमेत हट्ने, औषधि उद्योगहरूले उपयोग गरिरहेको बौद्धिक सम्पत्तिको अधिकार पनि खोसिने भन्दै स्तरोन्नतिको विरोध गरेका छन्। विकसित मुलुकले गरिब देशमा बनेको उत्पादनलाई भन्सार सुविधामा आफ्नो देशमा बेच्न पाउने सुविधा दिएका छन्। त्यस्तै, नेपाली औषधि उद्योगले गरिब मुलुक भएकै कारण संसारका जुनसुकै स्थानमा पत्ता लगाइएका नयाँ औषधि सहजै उत्पादन गरेर बेच्न पाएका छन्। स्तरोन्नतिपछि यी सुविधा कटौती हुनेछन्। तर, सन् २०२६ सम्म भने यस्ता अहिले पाइरहेका सुविधा कायमै रहनेछ। कतिपय अर्थशास्त्रीले पनि विश्व व्यापार संगठनले गरिब मुलुकलाई दिएको अधिकार उपयोग गर्न र अन्तर्राष्ट्रिय सहायता पाउन स्तरोन्नति नगर्दा नै फाइदा हुने बताउँदै आएका छन्। कतिपय भने आफ्नो हैसियत बढ्दा पनि अरू गरिब मुलुकको भाग खोस्ने लोभमा बस्न नहुने तर्क गर्छन्। राजनीतिज्ञले भने गरिब मुलुकको संज्ञालाई प्रतिष्ठासँग पनि जोडेर हेर्न थालेका छन्। प्रधानमन्त्री केपी शर्मा ओलीले स्तरोन्नतिलाई महत्त्व दिएका छन्। राष्ट्रसंघका लागि स्थायी नियोगले पनि एक विज्ञप्ति जारी गरी सरकारको सुखी नेपाली, समृद्ध नेपाल अभियानले स्तरोन्नतिको पूर्वतयारीमा महत्त्वपूर्ण सघाउ पुग्ने बताएको छ।"
सडक निर्माण सुस्त,"सुर्खेत : तत्कालीन जिल्ला पञ्चायतले २०२५ सालमा हुलाकी सडक खन्यो। सुर्खेततेलपानीभुरीगाउँ जोड्ने यो सडकको हालत अहिले पनि उस्तै छ। कर्णालीलाई लुम्बिनी प्रदेशको बर्दियासँग जोड्ने यो सडक खण्ड पाँच दशक बितिसक्दा पनि स्तरोन्नति हुनसकेको छैन। कुल ५२ किलोमिटर लामो यो सडकको सुर्खेततर्फ ३२ किलोमिटर भाग पर्छ। यसमध्ये २४ किलोमिटर सडक निर्माण भइसकेको छ। त्यही सडक पनि विस्तार र मर्मत हुन नसक्दा वर्षात्मा सवारीसाधन आवागमनमा अवरोध हुने गर्छ। वर्षौंदेखि सुर्खेततेलपानीभुरीगाउँ सडक निर्माणका लागि स्थानीयले आवाज उठाउँदै आएका छन्। तर, तराई र भित्री मधेस जोड्ने यो छोटो सडक निर्माणको काम अधुरै छ। ट्र्याक खुलेका स्थानमा पनि बजेटले निरन्तरता नपाउँदा निर्माणको काम पूरा हुन सकेको छैन। कर्णालीलाई तराईसँग जोडेर व्यापार व्यवसायका लागि महत्त्वपूर्ण मानिएको यो सडक सरकारको प्राथमिकतामा कर्णालीलाई दक्षिणतर्फ जोड्ने रणनीतिक मार्गका रूपमा लिइए पनि उक्त सडक खण्ड दलहरूको चुनावी नारा मात्रै बन्ने गरेको छ। सडक बनेको खण्डमा वीरेन्द्रनगरबाट बर्दियाको भुरीगाँउ पुग्न सबैभन्दा छोटो मार्ग अर्थात् ५२ किलोमिटर मात्र पार गर्नुपर्छ। तर सडक नबनेकै कारण हाल सुर्खेतबाट कोहलपुर हुँदै बर्दिया पुग्न एक सय ४६ किलोमिटर पार गर्नुपर्ने बाध्यता छ। यस्तै सुर्खेतको धुलियाबिटभेडाबारी सडक खुलेको पनि ४१वर्ष बितिसक्यो। तर हालसम्म यो सडक कालोपत्रे हुन सकेको छैन। २०३६ सालमा नै ट्र्याक खुलेको यो सडक खण्डको अवस्था अहिले पनि उस्तै छ। बरु यो अवधिमा सडकको नाम चारपकट परिवर्तन भयो। सुर्खेतकोहलपुर सडक, धुलियाबिटभेडाबारी सडक, सुर्खेततुलसीपुर सडक हुँदै हाल यसलाई मदन भण्डारी राजमार्ग नामकरण गरिएको छ। तर स्तरोन्नतिको अझै टुंगो लागेको छैन। ४१ वर्षपछि मदन भण्डारी राजमार्ग आयोजनाले तयार पारेको यो खण्डको वातावरणीय प्रभाव मूल्यांकन अध्ययन प्रतिवेदन हाल भौतिक पूर्वाधार विकास मन्त्रालयमा थन्किएको छ। यही कारण पनि यो सडकको काम कहिले अगाडि बढ्छ भन्ने टुंगो नलागेको इन्जिनियर शिवशरण तिमिल्सेनाले बताए। त्यसैगरी निकै महत्त्वपूर्ण आयोजनाको रूपमा लिइएको वीरेन्द्रनगरमा रिङरोड (चक्रपथ) निर्माण थालिएको १५ वर्ष पुग्यो। तर अझै पूरा भएको छैन। आर्थिक वर्ष २०६२०६३ बाट सुरु भएको चक्रपथ अहिले पनि अधुरै छ। कुल ३५ किलोमिटर सडकखण्डमध्ये १५ वर्षमा ११ किलोमिटर मात्रै निर्माण भएको छ। चालू आर्थिक वर्षमा वीरेन्द्रनगरको सुब्बा कुनादेखि बाङ्गेसिमल जोड्न निर्माण गरिसक्ने मेयर देवकुमार सुवेदी बताउँछन्। तर ठाउँठाउँमा विवाद कायमै रहेका कारण चालू आर्थिक वर्षमा पनि आयोजना पूरा हुने सम्भावना देखिँदैन। राजनीतिक नेतृत्व जनताप्रति उत्तरदायी नहुँदा जिल्लाका ठूला आयोजनाहरू अधुरै रहेको नागरिक अगुवा बताउँछन्। ठूला आयोजनाहरू अधुरै रहनुको मुख्य कारण विकासप्रेमी नेतृत्व नहुनु हो लामो समयदेखि भ्रष्टाचार नियन्त्रणको अभियानमा सक्रिय नागरिक सरोकार संघका अध्यक्ष पीताम्बर ढकाल भन्छन्, कुशल र इमान्दार नेतृत्व नभएकै कारण आयोजनाहरूले पूर्णता पाउन सकेनन्।"
