शीर्षक,विवरण
मिचिएको जग्गा फर्काउने अभियान,"भूमाफियाबाट अतिक्रमणमा परेका सरकारी, सार्वजनिक र गुठी जग्गाको विवरण ढिलै भए पनि सार्वजनिक भएको छ। विगतमा मुलुकभर सरकारी स्वामित्वका जग्गा र तीमध्ये भूमाफियाबाट कति अतिक्रमित भएका छन् भन्ने स्पष्ट तथ्यांकसमेत थिएन। सार्वजनिक, सरकारी र गुठीका जग्गा संरक्षण जाँचबुझ आयोगले दुई वर्ष अध्ययन गरेर भर्खरै तयार गरेको प्रतिवेदनले सरकारी जग्गामा रजाइँ गर्ने प्रवृत्ति र पात्रका बारेमा समेत उजागर गरेको छ। साथै यति नै बेला माफियाको कब्जामा रहेको सरकारी जग्गा तुरुन्त राज्यको नियन्त्रणमा ल्याउनुपर्ने र त्यस्ता जग्गामा भौतिक संरचना निर्माण कार्यसमेत रोक्नुपर्ने माग गर्दै नागरिक स्तरबाट पनि दबाब सुरु भएको छ। प्रतिवेदनको मर्म र नागरिकको माग सम्बोधन हुनेगरी सरकारी स्तरबाट तुरुन्त प्रक्रिया आरम्भ हुनुपर्छ। व्यक्ति वा भूमाफियाको कब्जामा पुगेको सरकारी सम्पत्ति सरकारमातहत ल्याउनुपर्छ। राष्ट्रवाद र मुलुक विकासका जति ठूलो गफ हाँके पनि सरकारीसार्वजनिक सम्पत्ति रजाइँ गर्ने मौका मिल्यो भने व्यक्तिगत लाभका लागि जस्तोसुकै अपराध गर्न पनि पछि नपर्ने घातक मानवीय प्रवृत्ति बढ्ने क्रममा छ। मुलुक जतिसुकै कंगाल बनोस् वा अरूलाई जेसुकै होस् आफू भने धनदौलतले सर्वसम्पन्न बन्ने उत्कट चाहना पूरा गर्न सार्वजनिक जग्गासमेत नछोड्ने गलत प्रवृत्ति मुलुकभर झांँगिरहेको छ। मुलुकभर ७० हजार वर्गफिट सरकारी जग्गा रहेको सरकारी तथ्यांक छ। तीमध्ये २० जिल्लामा कुल ८ हजार १ सय ९२ रोपनी जमिन अतिक्रमणमा परेको छ। यी जग्गा सार्वजनिक गुठी, मन्दिर तथा सरकारी जग्गा रहेको छ। यी सबै जग्गाको मूल्य ६ खर्ब रुपैयाँ भन्दा बढी छ। मुलुकको कुल वार्षिक बजेटको ५० प्रतिशत रकमबराबरको जग्गा अतिक्रमणमा पर्दा पनि सरकार टुलुटुलु हेरेर बसेको छ। यो अवस्थाले सरकारी जग्गामा रजाइँ गर्न पल्केकालाई झन् उत्साहित बनाएको छ। यस्तो गलत प्रवृत्तिलाई बेलैमा निरुत्साहित नगर्ने हो भने सरकारी जग्गा मिच्ने र व्यक्तिको नाममा पार्ने प्रवृत्ति बढ्ने निश्चित छ। आयोगले छुट्टाछुट्टै रूपमा गरेको अध्ययनबाट ३३ वटा प्रतिवेदन सरकारलाई बुझाएको छ। सरकारी जग्गा भूमाफियाले व्यक्तिगत बनाउने क्रममा सरकारी कर्मचारीलाई समेत प्रभावित पार्ने गरेका छन्। सरकारी जग्गा अतिक्रमण गर्ने मात्रै होइन, त्यस्ता जग्गा शक्तिको आडमा जग्गा कौडीको भाउमा लिजमा लिने र पछि तोकिएको सर्तविनै फिर्ता नगर्ने गलत अभ्यास पनि भइरहेको छ। सरकारी जग्गा लिजमा लगाउने गरी सरकारले ६ वर्षअघि नै कार्यनीति बनाएको थियो तर उक्त कार्यनीति कार्यान्वयनमा नै आउन सकेको छैन। जसका कारण मुलुकका सात हजार ५ सय ८५ रोपनी जग्गा सरकारी कार्यालयमातहत आउन सकेको छैन। विगतको लिज भंग गरेर चल्तीको भाउमा फेरि लिजमा दिने कार्यनीतिको उद्देश्य थियो। तर विगतमा उच्च राजनीतिक तथा प्रशासनिक शक्तिको आडमा जग्गा लिएकाले न जग्गा फिर्ता गरे न त फेरि सम्झौता गर्न नै आए। ढिलै भए पनि प्राप्त प्रतिवेदनले दिएको सुझाव कार्यान्वयन गर्दै सरकारी, गुठी वा सार्वजनिक जस्तो जग्गा भए पनि व्यक्तिको चंगुलमा पर्न दिनु हुँदैन। अतिक्रमित जग्गा निःसर्त फिर्ता ल्याउनुपर्छ। यस्ता कुकृत्यमा संलग्न व्यक्तिलाई कडा कारबाही हुनुपर्छ। मिचिएको जग्गा फिर्ता ल्याउने सरकारी अभियानमा नागरिकले पनि सहयोग गर्नुपर्छ। सरकारको नराम्रो कामको विरोधसँगै सकारात्मक कामको प्रशंसा गर्दै उसका अभियान सार्थक बनाउन प्रयत्न गर्नु असल नागरिकको कर्तव्य पनि हो।"
बीपीमा इन्टरनेटमा भ्रष्टाचार,"धरान : जतिसुकै अनियमितता गर्दा पनि कुनै वस्तुको मूल्य बजारमूल्यभन्दा कतिसम्म बढाउन सकिएला ? बीपी कोइराला स्वास्थ्य विज्ञान प्रतिष्ठानले खरिद गरेको इन्टरनेटको रेट हेर्नुभयो भने तपाईं चकित पर्नुहुन्छ। नेपाल टेलिकमले प्रति एमबीपीएस २ हजार ६ सय ५२ रुपैयाँ ३७ पैसामा दिने इन्टरनेट प्रतिष्ठानले सुबिसुसँग १३ हजार ३ सय ३० रुपैयाँका दरले बिनाप्रतिस्पर्धा किनेको छ। प्रतिष्ठान व्यवस्थापनको उक्त निर्णयमा आशंका गर्दै आन्तरिक छानबिन समिति बनाएको थियो। उसले दिएको प्रतिवेदनमा कि सम्झौता खारेज गर्नुपर्ने कि बढीमा टेलिकमको दरमा झार्नुपर्ने देखाएको छ। एकपछि अर्को आर्थिक अनियमिततामा फस्दै गएको प्रतिष्ठान फेरि इन्टरनेटमा जेलिएको छ। प्रतिष्ठानमा उपकुलपति डा ज्ञानेन्द्र गिरी र रजिस्ट्रार डा मोहनचन्द्र रेग्मीबीच खरिदमा हस्तक्षेप गर्ने दोहोरी छ। एउटाले गरेका निर्णयमा अर्काले बाधा खडा गर्ने सिलसिलाअन्तर्गत यति ठूलो अनियमितताको पोल खुलेको हो। यस प्रकरणमा अनियमितताको प्रश्न उठेपछि रजिस्ट्रार रेग्मीले प्रतिष्ठानका डा विजय खनालको संयोजकत्वमा सात सदस्यीय छानबिन समिति गठन गरेका थिए। उक्त समितिले रेग्मीलाई इन्टरनेट खरिद गर्दा बिनाप्रतिस्पर्धा सुबिसुलाई ठेक्का दिएका कारण प्रतिष्ठानलाई मासिक ५ लाख ३३ हजार ८ सय ८१ रुपैयाँ पाँच पैसा नोक्सानी भएको प्रतिवेदन बुझाएको छ। पछिल्लो १० महिनामा ५३ लाख ३८ हजार ८ सय १५ रुपैयाँ प्रतिष्ठानलाई नोक्सानी भएको छ। रजिस्ट्रारको समेत मिलेमतोमा निर्णय भएको भए सायद खोजबिन हुने थिएन। मिलेमतोमा भएका धेरै अनियमितता छोपिएर गएका छन्, प्रतिष्ठानका एक वरिष्ठ अधिकारीले भने, उपकुलपति र रजिस्ट्रारको बेमेलले प्रतिष्ठानका गडबडी बाहिर आउन भने सहयोग पुगेको छ। उपकुलपति डा गिरी, निर्देशक गौरीशंकर साह र कम्प्युटर शाखा प्रमुख राकेश दासले सुबिसुसँग मिलेमतो गरी बजार मूल्यभन्दा धेरै गुणा महँगो शुल्कमा इन्टरनेट खरिद गरेका हुन्। सुरुमा दासले साहलाई र साहले गिरीलाई इन्टरनेट खरिदको सिफारिस गरेपछि बिना प्रतिस्पर्धा किनिएको हो। उक्त प्रक्रिया सार्वजनिक खरिद नियमावलीविपरीत रहेको प्रतिष्ठानको जुनियर रेसिडेन्ट वयलफेयर सोसाइटीका उपाध्यक्ष डा पदम नेपालीले बताए। उनले सुबिसुसँग गरिएको सम्झौताअनुसार सेवा भने उपलब्ध नभएको दाबी गरे। प्रतिवेदनमा पनि धेरैले गुणस्तर कमसल रहेको गुनासो गरेका छन्। सन् २०१७ मा प्रतिष्ठानका तत्कालीन उपकुलपति डा बलभद्रप्रसाद दासका पालामा सुबिसुसँगै ३० एमबीपीएस इन्टरनेट खरिद गर्ने सम्झौता भएको थियो। गिरीले वैशाख १२ गते बिना प्रतिस्पर्धा ५० एमबीपीएस पुयाएका हुन्। छानबिनका क्रममा समितिले इन्टरनेट सेवा प्रदान गर्ने सम्पूर्ण कम्पनीका प्रतिनिधिलाई बोलाएर रेट बुझेको थियो। टेलिकमका प्रतिनिधिले प्रति एमबीपीएस २ हजार ६ सय ५२ रुपैयाँ ३७ पैसामा उपलब्ध गराउने अवगत गराएका थिए। टेलिकमले शिक्षण संस्थाका हकमा १० प्रतिशत छुटसमेत दिँदै आएको छ। छानबिन समितिको प्रतिवेदन भने महिना बित्न लाग्दासमेत सार्वजनिक गरिएको छैन। समितिका संयोजक डा खनालले इन्टरनेट खरिदमा भएको यथार्थसहितको प्रतिवेदन बुझाइसकिएको बताए। ०७६ चैतमा प्रतिष्ठानको उपकुलपतिमा नियुक्त भएर आएका गिरीले नियमविपरीत सुरुमै आर्थिक अनियमितता गर्न थालेपछि प्रतिष्ठानको अवस्था धराशयी बनेको छ। गिरी आउनुअघि ३२ करोड घाटामा रहेको प्रतिष्ठान एक अर्ब ७ करोड रुपैयाँ घाटामा पुगेको प्रतिष्ठान स्रोतले जनाएको छ। गिरी आएलगत्तै प्रतिष्ठानको कोभिड अस्पतालमा चाहिने औषधि उकरणबिना प्रतिस्पर्धा खरिद गरी विवादमा तानिएका छन्। यसअघि प्रतिष्ठानमै खरिद गर्दा भ्रष्टाचार मुद्दा खेपिरहेका धरानका व्यवसायी चेतन अग्रवाललाई बिना प्रतिस्पर्धा खरिदको ठेक्का दिएका छन्। त्यसैगरी, प्रतिष्ठानभित्रका होस्टल तथा आवासीय क्षेत्रमा अन्य इन्टरनेट सेवा प्रदायकलाई निषेध गरी सुबिसुलाई एकलौटी दिएको पाइएको छ। जुन अपभोक्ता अधिकारको समेत विपरीत रहेको छानबिन समितिका एक सदस्यले बताए। सुबिसुले प्रतिष्ठानका उच्चपदस्थ अधिकारीहरूलाई निःशुल्क एफटिटिएच सेवा र क्लियर टिभीको बेसिक प्याकेज उपलब्ध गराएको पनि छानबिनमा पाइएको छ। त्यसलाई प्रतिवेदनले भ्रष्टाचारजन्य कसुर भनेको छ। प्रतिष्ठानमा १५ सयभन्दा बढी विद्यार्थी र २ हजारभन्दा बढी स्वास्थ्यकर्मीकर्मचारी गरी करिब ४ हजार आवासीय रूपमा दैनिक हुन्छन्। तिनका लागि तीव्र गति र उच्च गुणस्तरको इन्टरनेट चाहिन्छ। समितिले प्रतिवेदन तयारीका क्रममा चिकित्सक र विद्यार्थीसँग पनि छलफल गरेको थियो। दोस्रो वर्षमा अध्ययनरत विद्यार्थी युवराज अधिकारीले कोभिड महामारीपछि भर्चुअल पढाइ गरिएको तर इन्टरनेट नचलेर धेरै दिन पढाइ रद्द गर्नुपरेको अनुभव सुनाए, प्रतिवेदनमा उल्लेख छ। उक्त गुनासो समितिले सुबिसुका प्रतिनिधिलाई बोलाएर सुनाएको थियो। त्यस क्रममा उक्त कम्पनीका प्रतिनिधिले लगिन बेस्ड वायरलेस वाइफाईका लागि जडान गरिएको डिभाइसले त्यति राम्रो पर्फरमेन्स दिन नसकेको स्विकारेका थिए। र, चाँडै नयाँ डिभाइस थपिने आश्वस्त पारेका थिए। प्रतिष्ठानको मेडिकल तथा डेन्टल फ्याकल्टी कल्याण समाजका अध्यक्ष डा विष्णु पोखरेलले इन्टरनेट, औषधि, उपकरण खरिद गर्दा गरिएका आर्थिक अनियमिततामा संलग्न प्रतिष्ठानका पदाधिकारीहरूलाई कडा कारबाही गर्न सरकारसँग माग गरेका छन्। सुबिसु प्रदेश १ का प्रमुख शेखर भट्टराईले प्रतिष्ठानले अन्य कम्पनीको भन्दा कम मूल्य रहेका कारण सुबिसुसँग खरिद सम्झौता गरेको बताए। सुबिसु धरानका प्रमुख फुर्वा शेर्पालाई अन्नपूर्ण पोस्ट्ले सोध्यो, ५० एमबीपीएस किन्दा प्रतिएमबीपीएस शुल्क कति पर्छ ? उनले प्रति एमबीपीएस ६ हजार ७ सय ८० रुपैयाँमा बिक्री गर्ने गरेको बताए। प्रतिष्ठानका प्रवक्ता डा चूडामणि पोखरेलले इन्टरनेट अनियमितताका विषयमा बुझाइएको प्रतिवेदनका आधारमा प्रतिष्ठानको बैठक बसी आवश्यक निर्णय हुने बताए। उनले इन्टरनेट सेवा सम्बन्धमा प्रतिष्ठानकै चिकित्सकहरूबाट व्यापक जनगुनासो आएको जानकारी दिए।"
भीरकट्यामा अड्कियो अनुसन्धान,"बैतडी : बैतडीको दोगडाकेदार गाउँपालिका७ की १७ वर्षीया भागरथी भट्ट हत्याको अनुसन्धान भीरकट्याको बाटोमा अड्किएको छ। भागरथी पढ्ने विद्यालयदेखि झन्डै ५ सय मिटर दूरीमा रहेको भीरकट्याबाट घटनास्थलसम्मको सम्पर्क प्रहरीले जुटाउन सकिरहेको छैन। भागरथी माघ २१ गते दिउँसो १ बजेर ४५ मिनेट अर्थात् टिफिनका बेला सनातन धर्म मावि खोचलेकबाट घर हिँडेकी थिइन्। उनले खोचलेक बजारको एक पसलमा चाउचाउ किनेको प्रहरीको अनुसन्धानमा खुलेको छ। उनले त्यो चाउचाउ बजारबाट झन्डै ३ सय मिटर दूरीमा रहेको भीरकट्याको भीरमा खाइन्। भीरकट्याको भीरमा चाउचाउ खाएको देख्ने प्रत्यक्षदर्शी भेटिएका छन्। त्यतिबेला दुई जना थिए। दुवै भीरकट्याको भीरबाट छुट्टिए, एक प्रहरी अधिकृतले भने, तर, त्यसभन्दा माथिको लोकेसन पत्ता लगाउन प्रहरीलाई हम्मेहम्मे परेको छ। भीरकट्याबाट घटनास्थल झन्डै दुई किमि दूरीमा छ। ० भीरकट्याको भीरमा दुई जनाले खाएका थिए चाउचाउ० तर, त्यहाँबाट घटनास्थलसम्मको सम्पर्क जुटाउन धौधौ ० त्यो दिन दिउँसो २:४७ मा भागरथीको मोबाइल स्विच अफ० प्रहरीको कुकुर घटनास्थलबाट भीरकट्यातर्फ पछ्याएर अलमलमा त्यस दिन दिउँसो २ बजेर ४७ मिनेटमा भागरथीको मोबाइल स्विच अफ भएको छ। उनको शवनजिकै झन्डै १० मिटरमा ब्याट्री झिकिएको मोबाइल भेटिएको थियो। प्रहरीको तालिमप्राप्त कुकुरले त्यो मोबाइल पत्ता लगाएको हो। प्रहरीको कुकुरले घटनास्थलबाट सय मिटरसम्म भीरकट्याको भीरतर्फ पछ्याएको प्रहरीले जनाएको छ। बलात्कारपछि हत्या गरिएकी भागरथी भट्ट। राति पानी परेकाले त्यसपछि कुकुर अलमलमा पर्यो। तर, अभियुक्त भीरकट्यातिर लागेको अनुमान भने गर्न सकिन्छ, अनुसन्धानमा खटिएका एक प्रहरी अधिकृतले भने, पानी परेकाले अभियुक्तको बास्ना कुकुरले पत्ता लगाउन सकेन। घटनाको अनुसन्धान गर्न सुदूरपश्चिम प्रदेशका प्रहरी प्रमुख डीआईजी उत्तमराज सुवेदी र एसएसपी जनकराज पाण्डेसहित केन्द्रीय अनुसन्धान ब्युरोको टोली प्रहरी चौकी खोचलेकमा छ। तर, प्रहरीले घटनाको कुनै तथ्य बाहिर ल्याउन सकेको छैन। प्रहरीले अनुसन्धानमा रहेको, फराकिलो घेरा साँघुरो भएको मात्रै बताउने गरेको छ। टेक्निकल टिमले भागरथीको मोबाइलका दुई सिम बरामद गरेको छ। तीमध्ये उसका बुवाले प्रयोग गर्ने नेपाली नम्बरको सीमबाट त्यो दिनभर कल भएको छैन। अर्को सीम भारतीय मोबाइल कम्पनीको छ। भारतीय मोबाइलमा केही कल देखिन्छन्। तर, नेपाली सिममा गरिएको कलका आधारमा प्रहरीले खासै सुराक फेला पार्न सकेको छैन, अनुसन्धानमा खटिएका एक प्रहरी अधिकृतले भने। घटनास्थलमै हत्या : प्रहरीभागरथीको शव भेटिएको स्थानमै हत्या भएको हो भन्ने धेरै आधार देखिएका छन्। घटनास्थलमा रगत बगिरहेको भेटेको छ। भागरथीको सर्टको बटन र दुईवटा हेयर ब्यान्ड रबर पनि भेटिएका छन्। उनको च्यातिएको अवस्थाको ज्याकेट पनि घटनास्थलमा भेटिएको छ। यी कुराले घटनास्थलमा हत्या भएको पुष्टि हुन्छ, एक प्रहरी अधिकृतले भने। भीरकट्याबाट घटनास्थलसम्म जाँदा दुईवटा बस्ती छन्। प्रहरी भन्छ, त्यो बस्तीका मानिसले उनलाई घटनास्थल गएको देखेका छैनन्। हामीले एकएक गरेर सबैलाई सोधिसक्यौं तर कोही देखिन भन्छन्। भागरथीको झोला शरीरमा भिरेकै अवस्थामा थियो। सिल्ल भन्ने बस्तीबाट छिरेको भए कसै न कसैले देख्थे। तर, कतै गाउँभन्दा फरक बाटोबाट लगियो कि भनेर पनि अनुसन्धान भइरहेको छ। प्रहरीको कुकुरले पनि प्राय: हिँड्ने गरिएको सडक मुनितिरको वनलाई पछ्याएको थियो, एक प्रहरी अधिकृतले भने। भागरथीका काका शिवराज भट्टले त्यो दिन चडेपानीको भूमिराज माविमा निर्माण सामग्री पुर्याउन चारवटा ट्र्याक्टरले दिनभरि ओहोरदोहोर गरेको बताए। ट्र्याक्टरहरू चलिरहेका थिए। मानिसको ओहोर दोहोर थियो। सडकको ३० मिटरमा बलात्कार हुनै सक्दैन, भट्टले भने, दिनभर बलात्कार गरी राति त्यो ठाउँमा ल्याएर मारिएको हुन सक्छ। २ सय जनासँग सोधपुछप्रहरीले भागरथी हत्या घटनामा कसैलाई पक्राउ गरेको छैन। प्रहरीले झन्डै दुई सय जनालाई सोधपुछ गरिसकेको छ। स्थानीयवासी प्रहरीले पक्राउ नै नगरेको भन्दै गुनासो गर्छन्। तर, प्रहरीले चडेपानीसहित वडा नम्बर ७ का हरेक घरको तथ्यांक संकलन गरेको बताएको छ। हामीसँग वडाभरिको हरेक घरको तथ्यांक छ, डीआईजी सुवेदीले भने, त्यो दिन गाउँ छाडेर को बाहिर गयो ? यसअघिका अपराधमा कोको संलग्न थिए ? कोको फरार थिए ? गाउँभरिमा त्यो दिन चलेका ट्र्याक्टर, मोटरसाइकलसहितका सबैलाई सोधपुछ र अनुसन्धानको दायरामा ल्याइसकेका छौं। डीआईजी सुवेदीले शंकास्पदलाई प्रहरीले नजरमा राखेको बताए। गाउँमै भए पनि उनीहरू प्रहरी कस्टडीमा झैँ छन्, उनले भने, चौकीमा ल्याएकालाई मात्रै पक्राउ भन्न मिल्दैन। अनुसन्धानको दायरामा आएका सबै पक्राउसरह नै हुन्। गाउँले मौनभागरथीको हत्यापछि गाउँ छिरेका प्रहरीलाई चडेपानीका स्थानीयले खासै सूचना दिन मानेका छैनन्। स्थानीयले आन्दोलन नगरिदिएर हामीलाई धेरै सहयोग भइरहेको छ। तर, उनीहरू घटनाबारे खासै बोल्न मान्दैनन्, खोचलेक प्रहरी चौकीमा रहेका डीआईजी सुवेदीले भने। उनले जनताका तर्फबाट पाउने सूचना नै अनुसन्धानका लागि मुख्य स्रोत भएको बताए। सुरुका बेला त कोही बोल्नै मानेनन्, केही थाहा छ भने थाहा छैन भनेर पन्छिए, उनले भने, तर अहिले अलिअलि सूचना आउन थालेको छ। भागरथीको शव १० दिनदेखि जिल्ला अस्पतालमा राखिएको छ। जिल्ला अस्पतालका निमित्त मेडिकल सुपरिन्टेन्डेन्ट डा वसन्त जोशीले काठको बाकस बनाएर अहिले अस्पतालभरिका डिफ्रिजमा बरफ जमाएर जेनतेन शव राखिएको बताए। जेनतेन डिस्कम्पोज हुनबाट जोगाइएको छ। तर, यसभन्दा बढी दिनसम्म राख्दा शव कुहिन थाल्छ, डा जोशीले भने। आफन्तले हत्यारा पक्राउ नपर्दासम्म शव नबुझ्ने भनेपछि तनाव थपिएको छ। बैतडीका प्रमुख जिल्ला अधिकारी मोहनराज जोशीले भागरथीको हत्या अनुसन्धानका लागि चाहिने सबै कुरा संकलन भएर विधि विज्ञान प्रयोगशालामा पठाइसकिएको बताए। यो कुराले परिवारलाई बढी पीडा दिन्छ। परिवारका मान्छेलाई हरेक दिन शवको पीडा थपिरहन्छ, उनले भने, अनुसन्धान तीव्र गतिमा भइरहेकाले शव बुझ्न आग्रह गरेको छु। उनले शव अस्पतालमा राखेर मात्रै होइन, हत्यारा पत्ता लगाउन प्रहरी र प्रशासन आफैँ दबाबमा रहेकाले अनुसन्धानको कुनै कसर बाँकी नराख्ने बताए।"
सहकारी नै दूधको बजार,"काठमाडौं : सहकारी संस्थामार्फत देशभर झन्डै आठ लाख लिटर दूधको बजारीकरण भइरहेको छ। दूधको कुल बजारीकरण हिस्सामध्ये आधा स्थान सहकारी संस्थाले ओगटेको छ। देशभर दैनिक १५ लाख लिटर दूधको माग भए पनि हालसम्म दैनिक १२ लाख लिटर दूधको उत्पादन र कारोबार भइरहेको छ। दूधमा नेपाल अझै परनिर्भर छ। तीन लाख लिटर दूध अपुग रहेको सरकारी आँकडा छ। बचत तथा ऋण सहकारीमै रमाइरहेका सहकारी संस्था पछिल्लो समय कृषि उपजमा पनि सक्रिय बनेपछि दैनिक कुल कारोबार हुने दूधको आधी बजार क्षेत्र सहकारीले ओगट्न सफल भएको हो। दुग्ध उत्पादक केन्द्रीय सहकारी संघका अनुसार देशभर १ हजार ६ सय ५२ वटा दुग्ध सहकारीमध्ये १ हजार २ सयले नियमित रूपमा दूध उत्पादन र बजारीकरण गर्दै आएको छ। अध्यक्ष नारायण देवकोटाका अनुसार सहकारीमार्फत दैनिक आठ लाख लिटर दूध उत्पादन हुने गरे पनि पछिल्लो समय कोभिड१९ का कारण गत वर्ष सहकारीमार्फत सात लाख लिटर मात्रै उत्पादन भएको छ। उत्पादन र बजारीकरणमा सहकारीले आधाभन्दा बढी हिस्सा ओगट्न सफल भएको अध्यक्ष देवकोटाले बताए। सहकारीले सानादेखि ठूला प्रशोधन केन्द्र सञ्चालन गरेका छन्। अध्यक्ष देवकोटाका अनुसार दैनिक १० हजार लिटर दूध बिक्री गर्ने २० भन्दा बढी सहकारी संस्था छन्। सहकारीले दैनिक ५० लिटरदेखि १० हजार लिटरसम्म दूध बिक्री गर्छन्। सहकारीले दुग्ध परिकार दूध, दही, पनिर, घिउ, बटर बनाएर बिक्री गर्छन्। काभ्रे, चितवन, इलाम, रूपन्देही, नवलपरासी र मकवानपुर जिल्लामा सबैभन्दा बढी दूध उत्पादन र बजारीकरण हुने संघले जनाएको छ। उत्पादन क्षेत्रमा लगानी बढाउन सरकारले सहकारी ऐन, २०७४ र सहकारी नियमावली, २०७५ मा विशिष्टीकृत मोडेलको अवधारणा ल्याएको छ। १५ करोड लगानीमा सहकारीमार्फत उद्योग स्थापना गर्न सकिने उल्लेख छ। ऐनको प्रावधानअनुसार प्रदेश १ र लुम्बिनी प्रदेशमा दूध उत्पादन र प्रशोधन गर्ने उद्देश्यले विशिष्टीकृत सहकारी संघमार्फत पाउडर दूध उत्पादन गर्ने तयारी सुरु भएको छ। उनका अनुसार पछिल्लो समय प्रदेश १ का सहकारी दूध उत्पादनमा अब्बल बन्दै गएका छन्। प्रदेश १ को झापा, मोरङ, इलाम र सुनसरीका सहकारी दूध उत्पादनमा क्रियाशील छन्। इलाम दुग्ध उत्पादक सहकारी संस्थाले आफ्ना २ सय ५ जना किसान सदस्य दैनिक एक हजार लिटर दूध उत्पादन हुने गरेको अध्यक्ष परशुराम सापकोटाले बताए। सदस्यले संस्थालाई वार्षिक २ सय ५० लिटर दूध अनिवार्य बिक्री गर्नुपर्छ। धेरैजसो सदस्यले पाँच वटाभन्दा बढी जर्सी गाई होलस्टेन गाई परेका छन्। संस्थाले मिठाई, बम्बईसन, कुरौनी (खुवा) पनिर उत्पादन गरी बिक्री गर्छ। संस्थाको प्रशोधन केन्द्र पनि छ। नेपाल बहुउद्देश्यीय सहकारी संस्थाले झापाको बिर्तामोडमा सञ्चालन गरेको डेरी उद्योगले छलाङ मार्दै गएको छ। भारतको अमूलको झल्को दिने गरी एनएमसीले दूधका विभिन्न परिकार बनाएर बिक्री गर्छ। संस्थाका वरिष्ठ उपाध्यक्ष नारायण कोइरालाले एनएमसीले दूध, पनिर, घिउ, दही, मही, नौनीघिउ, आइसक्रिम, मिठाईलगायत दूग्धजन्य उत्पादन गर्ने गरेको बताए। डेरीले दैनिक १२ हजार लिटर दूध खरिद गर्छ। संस्थाले छिट्टै दैनिक १५ हजार लिटर संकलन गर्ने योजना बनाएको उनको भनाइ छ।"
बस चलाउँदै प्रदेश सरकार,"जनकपुरधाम : प्रदेश २ सरकारले यहाँका आठ जिल्लामा प्रदेश परिवहन सञ्चालनको तयारी गरेको छ। त्यसका लागि ३ करोड ९ लाख ८२ हजार रुपैयाँमा पाँचवटा बस खरिद गरिएका छन्। प्रदेश २ का भौतिक पूर्वाधारमन्त्री जितेन्द्र सोनलले ती बसलाई फागुन अन्तिम सातादेखि सञ्चालनमा ल्याइने बताएका छन्। मन्त्री सोनलले शनिबार मन्त्रालयको वार्षिक प्रगति विवरण सार्वजनिक गर्ने क्रममा प्रदेश परिवहन सञ्चालन कार्यविधि अन्तिम चरणमा पुगेको जानकारी दिए। मन्त्री सोनलका अनुसार कार्यविधि आएसँगै बस सेवा सञ्चालन हुनेछ। पहिलो चरणमा प्रदेशभित्र परिवहन सेवा सञ्चालन गरिनेछ। त्यसपछि यसलाई अन्तरप्रदेशस्तरीय बनाउने योजना मन्त्रालयले बनाएको छ। प्रदेश परिवहन चलाउन सञ्चालक समिति गठन गरिनेछ। सोही समितिले भाडादर पनि निर्धारण गर्नेछ, सोनलले भने, समितिलाई सरकारले निर्देशिका उपलब्ध गराउनेछ। सोहीअनुसार सार्वजनिक यातायातको साधनभन्दा कम दरमा सहज, सुलभ, सुरक्षित र व्यवस्थित तरिकाले प्रदेश परिवहन सञ्चालन गरिनेछ। तीन वर्षमा ३५६ किमि सडकप्रदेश सरकार स्थापनाको तीन वर्ष बित्न लाग्दा प्रदेशभित्र ३ सय ५६ किलोमिटर सडक निर्माण सम्पन्न भएको छ। जसमध्ये ५०९५ किमि कालोपत्रे, ७४९० किमि पक्की ढलान र १ सय ७० किमि ग्राभेल सडक रहेको मन्त्रालयले जनाएको छ। एक निर्वाचन क्षेत्र एक सडक कार्यक्रमअन्तर्गत प्रदेशका ६४ वटा प्रदेशसभा निर्वाचन क्षेत्रमा पाँच किमिका दरले कुल ३ सय २० किमि पक्की सडक निर्माणलाई निरन्तरता दिइएको छ। एक गाउँलाई अर्को गाउँसँग जोड्न र आवतजावत सहज गर्न ३० वटा पुल निर्माण क्रममा छन् भने १४ वटा कल्भर्ट निर्माण गरिएको मन्त्रालयले जनाएको छ। ५९८१ किमि नयाँ कच्ची सडक निर्माण सम्पन्न भइसकेको छ। प्रदेश सरकार सञ्चालनको पहिलो वर्षमा कर्मचारी अभाव र व्यवस्थापनकै कारण विकास निर्माणलाई तीव्रता दिन सकिएको थिएन, सोनलले भने, गत वर्ष विभिन्न योजना सञ्चालनमा ल्याइयो। तर, कोरोना महामारीका कारण सोचेजस्तो उपलब्धि हुन सकेन। चालु वर्षमा सक्दो प्रयास गरेर विकास निर्माणलाई तीव्रता दिइएको उनको भनाइ थियो।"
