शीर्षक,विवरण
अलपत्रलाई सुरक्षितसाथ घर पुर्याऊ : सर्वोच्च,"काठमाडौं : सर्वोच्च अदालतले घर जान पैदल हिँडेका सर्वसाधारणलाई निःशुल्क सवारी साधनको व्यवस्था गरी सुरक्षितसाथ गन्तव्यमा पुर्याउन शुक्रबार सरकारलाई आदेश दिएको छ।सर्वोच्चका न्यायाधीश आनन्दमोहन भट्टराई र सपना प्रधान मल्लको संयुक्त इजलासले उक्त अन्तरिम आदेश दिएको हो। सर्वोच्चले उद्धारमा अत्यन्त प्राथमिकतासाथ काम थाल्न भनेको छ। हाल काठमाडौं र अन्य सहरी क्षेत्रबाट आफ्नो गाउँतर्फ पैदल हिँडेका यात्रीको दर्दनाक अवस्था दर्शाउँदै प्रोपब्लिकका तर्फबाट वरिष्ठ अधिवक्ता डाप्रकाशमणि शर्मा लगायतले दायर गरेको रिटमा यस्तो आदेश भएको हो। स्वास्थ्य परीक्षणसम्बन्धी जनशक्तिको मोबाइल समूहलाई परिचालन गरी पैदल यात्रुको र्यापिड टेस्ट गर्दै सुरक्षाका लागि अपनाउनुपर्ने सबै आवश्यक उपाय अवलम्बन गर्नसमेत सर्वोच्चको आदेशमा उल्लेख छ। सडक यात्रुमा कोरोना संक्रमणको आशंका भए आवश्यकताअनुसार क्वारेन्टाइन र आइसोलेसनमा राखी निको भएपछि वा शंकामुक्त भएपछि गन्तव्यमा पुर्याउन भनिएको छ। अलपत्र र समस्यामा परेका नागरिकलाई सुरुमा सुरक्षित रूपले घरसम्म पुर्याउने व्यवस्था गर्नु राज्यको प्राथमिक दायित्व रहेको स्मरणसमेत सर्वोच्चले गराएको छ। अत्यन्त प्राथमिकतासाथ उनीहरूलाई सरकारको कार्यमा आस्वस्त हुने गरी अविलम्ब सबै राजमार्गबाट सवारी साधनको निःशुल्क व्यवस्था गरी उनीहरूको गन्तव्यमा पुर्याइदिनू, सर्वोच्चले आदेशमा भनेको छ। महिला, बालबालिका, ज्येष्ठ नागरिक, शारीरिक रूपमा अस्वस्थ व्यक्तिको विशेष सुरक्षामा ध्यान दिन जरुरी देखिएको सर्वोच्चले जनाएको छ। रिट निवेदक डा शर्मालगायत कानुन व्यवसायीले बहसका क्रममा काठमाडौं उपत्यकासहित मुलुकका सहरी क्षेत्रमा रोजगारी, व्यवसाय, दैनिक ज्यालादारी, मजदुरी, होटल, रेस्टुरेन्ट, कारखानालगायत कामदारले आर्थिक र शारीरिक रूपमा चरम समस्यामा व्यहोर्नुपरेको भन्दै इजलासको ध्यानाकर्षण गराएका थिए। सर्वोच्चले महामारीको प्रभाव सबैलाई परे पनि आफ्नो सुरक्षित घरबासको व्यवस्था नहुने र रोजगारी गुमेको विपन्न वर्ग, आ िश्रत परिवार र अध्ययनका लागि बसेका विद्यार्थीको स्थिति गम्भीर देखिएको जनाएको छ। घर फर्केका व्यक्तिमा कोरोना संक्रमणको आशंका भए आवश्यकताअनुसार क्वारेन्टाइन र आइसोलेसनमा राखी निको भएपछि वा शंका बाहिर आएपछि गन्तव्यमा पुर्याउन पनि सर्वोच्चले आदेश दिएको छ। निश्चित गन्तव्यमा पुर्याउन वडा, जिल्ला, प्रदेश र पालिकाबीच समन्वय गर्न भनिएको छ। जोखिममा रहेका र पेसा एवं रोजगार गुमाएर तनावमा रहेका व्यक्तिलाई मनोसामाजिक परामर्शको प्रबन्ध गर्नसमेत आदेशमा उल्लेख छ। राष्ट्रिय मानवअधिकार आयोगको अनुगमनले खाद्य सामग्री नहुँदा भोकभोकै जोखिमपूर्ण यात्रा गरेको आयोगले जनाएको छ। खासगरी ज्येष्ठ नागरिक, बिरामी, सुत्केरी महिला र बालबालिकाको यात्रा कष्टप्रद देखिएको आयोग अनुगमनबाट देखिएको छ। आयोगका अनुसार काभ्रे, रामेछाप, सिन्धुली, धादिङ, कपिलवस्तु, बाँके, बर्दिया, कैलालीलगायत जिल्लामा र सीमा नाकामा पैदल यात्रुको बिचल्ली भएको छ।"
कोरोनालाई रकम जुटाउन सांसदको विरोध,"काठमाडौं : निर्वाचन पूर्वाधार विकास कार्यक्रमको रकम कोरोना कोषमा पठाउन कार्यव्यवस्था परामर्श समितिले दिएको सहमतिप्रति नेकपाका सांसदले विरोध जनाएका छन्। पूर्वाधार कार्यक्रम सांसदले आआफ्नो निर्वाचन क्षेत्रमा खर्च गर्न पाउने कोष हो। संसद्को दैनिक कामकारबाहीबारे परामर्श गर्ने समितिले आफ्नो हैसियत बिर्सिएर रकम पठाउन सहमति दिन नसक्ने प्रतिनिधिसभा सदस्य देवेन्द्र पौडेलले बताए। सभामुख अग्निप्रसाद सापकोटाको अध्यक्षतामा गत मंगलबार बसेको समितिको बैठकले यो वर्षको खर्च नभएको रकम कोरोना भाइरस संक्रमण रोकथाम, नियन्त्रण तथा उपचार कोषमा पठाउन सहमति दिएको थियो। नेकपाका २४ जना प्रत्यक्ष निर्वाचित सांसदले शुक्रबार अनौपचारिक बैठक बसी उक्त निर्णयप्रति असहमति जनाएका हुन्। जसमा नेकपा स्थायी कमिटी सदस्यसमेत रहेका सांसद पौडेलसहित महेश बस्नेत, गणेशसिंह ठगुन्ना, गणेश पहाडी, पदम गिरी, एलपी साँवा, सूर्य पाठक, लालबहादुर थापा, राजबहादुर बूढा, यज्ञराज सुनुवार, किसान श्रेष्ठ, ध्रुव शाही, रवीन्द्र शर्मा, भैरवहादुर सिंहलगायत छन्। नेकपा संसदीय दलको कार्यालयमा उनीहरूको अनौपचारिक बैठक बसेको थियो। उनीहरूले पूर्वाधार रकम कोरोना कोषमा पठाउनुपर्ने नेकपा प्रवक्ता नारायणकाजी श्रेष्ठ र कांग्रेस सांसद गगन थापाका अभिव्यक्तिप्रति पनि छलफलमा असन्तुष्टि जनाएका थिए। नोभल कोरोना रोग रोकथाम तथा नियन्त्रण उच्चस्तरीय समन्वय समितिका संयोजक उपप्रधानमन्त्री ईश्वर पोखरेलसँग भेटेरै असन्तुष्टि जनाएको सांसद पौडेलले सुनाए। उपप्रधानमन्त्री पोखरेलले संसद्बाट पारित बजेट र कार्यक्रमका विषयमा परामर्श समितिको निर्णय चित्तबुझ्दो नभएको भन्दै पूर्वाधार कार्यक्रमले आगामी बजेटमा पनि निरन्तरता पाउने विश्वास दिलाएका थिए। उनीहरूले कोरोना महामारी फैलिएर भोकमरी वा आर्थिक संकट देखिए मात्र पूर्वाधार कार्यक्रमको बजेट कोषमा लैजान ध्यानाकर्षण गराएका थिए। पोखरेलले पूर्वाधार कार्यक्रम कानुनका रुपमा आइसकेकाले कसैले पनि हटाउन नसक्ने बताएका थिए। उनीहरूले यसबारे स्वास्थ्यमन्त्री भानुभक्त ढकाल र भौतिक पूर्वाधार तथा यातायातमन्त्री वसन्त नेम्बाङको पनि ध्यानाकर्षण गराएका थिए। सांसद पौडेलले पूूर्वाधार विकास कार्यक्रममार्फत आयोजनाहरू कार्यान्वयनमा आइसकेकाले अहिले स्थगन गर्न नहुने बताए। सांसद सुनुवारले पूर्वाधार कार्यक्रमबारे नकारात्मक मात्र प्रचार गरिएको बताए। सबै निर्वाचन क्षेत्रमा समानुपातिक ढंगले बजेट विनियोजन भई विकास निर्माणमा महत्वपूर्ण योगदान रहेको उनको भनाइ छ। १ सय ६५ वटै क्षेत्रमा समावेशी रूपले बजेट गएको छ, उनले भने, यो हिजोको सांसद विकास कोषजस्तो होइन भन्ने बुझ्न जरुरी छ। प्रतिनिधिसभामा प्रत्यक्ष निर्वाचित सांसदको अध्यक्षतामा बन्ने समितिमार्फत खर्च गर्ने गरी सबै निर्वाचन क्षेत्रमा ६ करोड बजेट पूर्वाधार विकास कार्यक्रममार्फत जान्छ। बजेट बाँडफाँट तथा योजना छनोटमा प्रत्यक्ष निर्वाचित सांसदको मात्र हालीमुहाली हुने गरेको भन्दै समानुपातिक र राष्ट्रियसभा सांसदले यो कार्यक्रमप्रति विरोध जनाउँदै आएका छन्। अर्थमन्त्री डा युवराज खतिवडाले आगामी बजेटमा पूर्वाधार विकास कार्यक्रम समावेश नगर्ने जनाउ दिइसकेका छन्। सांसदहरूले भने यो कार्यक्रम र एक निर्वाचन क्षेत्र एक रणनीतिक सडकको अवधारणालाई निरन्तरता दिन अर्थमन्त्री डा खतिवडालाई दबाब दिइरहेको स्रोतले बतायो। संघका सांसदको सिको गर्दै प्रदेशसभा सदस्यले पनि पूर्वाधार विकास कार्यक्रमका नाममा बजेट लिने र आफूखुसी बाँड्ने गरेका छन्।"
कोरोना विरामी डिस्चार्ज : स्वास्थ्यकर्मीलाई प्रधानमन्त्रीको बधाई,"काठमाडौं : प्रधानमन्त्री केपी ओलीले कोरोना भाइरस (कोभिड१९) संक्रमितको उपचारमा संलग्न स्वास्थ्यकर्मीलाई बधाई दिएका छन्। शनिबार कोरोना भाइरसबाट संक्रमित दोस्रो विरामीको डिस्चार्ज भएको खबर थाहा पाए लगत्तै प्रधानमन्त्री ओलीले स्वास्थ्यकर्मीलाई बधाई दिएका हुन्। ओलीले ट्वीटरमार्फत् डिस्चार्ज भएकी बिरामीको आरोग्यताको कामना गर्दै उपचारमा संलग्न चिकित्सक र स्वास्थ्यकर्मीलाई बधाई दिएका हुन्। कोरोना भाइरसबाट संक्रमित दोस्रो विरामी आज पूर्ण स्वस्थ भई अस्पतालबाट डिस्चार्ज हुनुभएको छ, प्रधानमन्त्री ओलीले ट्वीटमा लेखेका छन्, उहाँको आरोग्यताको कामनासहित उपचारमा संलग्न चिकित्सक, स्वास्थ्यकर्मी तथा संबद्ध सबैलाई बधाई तथा धन्यवाद। दोस्रो कोरोना बिरामी युवती कोरोनासँगको २७ दिन लामो लडाईंलाई जितेर शनिबार घर फर्किएकी हुन्। डिस्चार्ज भएसँगै नेपालमा कोरोना संक्रमण निको भएर घर फर्किने उनी दोस्रो व्यक्ति हुन्। यसअघि गत माघ ९ गते पहिलो पटक नेपालमा कोरोना देखिएका युवकको डिस्चार्ज भएको थियो। अहिलेसम्म नेपालमा ३० जनामा कोरोना पुष्टि भएको छ। शनिबार डिस्चार्ज भएकी युवती स्वास्थ्य जाँचका लागि चैत ९ गते टेकु अस्पताल पुगेकी थिइन्। उनमा चैत १० गते कोरोना संक्रमण पोजेटिभ देखिएको थियो। उनी पूर्ण निको भएर डिस्चार्ज भएकी हुन्। उनी चैत ४ गते फ्रान्सबाट कतारको दोहा हुँदै काठमाडौं आएकी हुन्। उनीसँगै कतार एयरवेजको क्यूआर ६५२ जहाजमा नेपाल आएका बागलुङका दुईजना कोरोना संक्रमण देखिएको थियो। उनीहरुको धौलागिरी अस्पतालमा उपचार भइरहेको छ। कोरोना संक्रमितमध्ये १२ जनाको विराटनगरस्थित कोरोना अस्पताल, पाँच जनाको कैलालीको धनगढीस्थित सेती प्रादेशिक अस्पताल, चार जनाको वीरगन्जस्थित नारायणी अस्पतालमा उपचार हुँदैछ। नेपालमा एकै दिन १४ जनामा कोरोना पुष्टि : संक्रमितको संख्या ३० पुग्यो नेपालमा कोरोना संक्रमण तेस्रो चरणमा पुग्ने जोखिम उदयपुरमा भेटिएका १२ संक्रमितलाई मध्यराति विराटनगर ल्याइयो स्वाब परीक्षण गरिएका १९९ जनाको कोरोना रिपोर्ट नेगेटिभ दोस्रो कोरोना संक्रमित : जो २७ दिनमा कोरोनालाई जितेर घर फर्किइन् अन्य सात जनामध्ये एकको शुक्रराज ट्रपिकल तथा सरुवारोग अस्पताल, टेकु र ६ जनाको पाटन अस्पताल, लगनखेल र धौलागिरी अस्पताल, बागलुङ र भरतपुर कोभिड१९ डायग्नोस्टिक प्रयोगशाला, चितवनमा दुईदुई जनाको उपचार भइराखेको छ।"
कांग्रेस पदाधिकारी बैठकका १५ निर्णय,"काठमाडौं : प्रमुख प्रतिपक्षी दल नेपाली कांग्रेसको केन्द्रीय पदाधिकारी बैठकले समसामयिक विषयमा विभिन्न निर्णय गरेको छ। शनिबार बसेको बैठकले पैदल गाउँ गइरहेका नागरिक र सरकारको राहत, कोरोना परीक्षण र स्वास्थोपचार, स्वास्थ सामग्रीको अभाव र अनियमितता, विदेशमा रहेका नेपालीको विषयमा कांग्रेसले विभिन्न निर्णय गरेको छ। बैठकपछि सार्वजनिक वक्तव्य जस्ताको तस्तै : पैदल गाउँ गइरहेका नागरिक र राहत बारे (१) राजधानी लगायतका शहरमा खान बस्न संकट भएपछि पैदल घर फर्किरहेका नागरिकलाई बीच बाटोमा पानी र खानाको ब्यवस्था गरिरहेका पार्टीका साथीहरू एवं स्थानीय तहको निर्वाचित नेतृत्वको सह्राना गर्दै बैठकले अप्ठ्यारोमा परेका नागरिकलाई गाउँ पुग्ने प्रबन्ध अविलम्ब मिलाउन सरकारलाई आग्रह गरेको छ । सरकारले ब्यवस्थापन गर्न ढिलाइ गरिरहँदा कहिँपनि कसैलाईपनि बाटोमा भोको पर्न नदिई गन्तव्यमा पुग्न सहजीकरण गर्न नेपाली कांग्रेसका साथीहरूलाई बैठकले अपील गरेको छ । (२) केन्द्र र प्रदेश सरकारले घोषणा गरेको राहतको बजेट अझैसम्म निर्धारित क्षेत्र र ब्यक्तिसम्म नपुगेको बिषयमा सरकारको ध्यानाकर्षण गराउने र तत्काल पुयाउन आग्रह गर्ने निर्णय बैठकले गरेको छ । (३) सत्तारूढ दलको नेतृत्व रहेका कयौं स्थानीय तहमा राहत वितरणमा पक्षपातपूर्ण ब्यवहार भएको प्राप्त विवरण अध्ययन पश्चात् बैठकले राहत वितरण कार्य न्यायोचित, पारदर्शी र ब्यवस्थित बनाउन आग्रह गर्दै स्थानीय तहमा सर्वदलीय अनुगमनको ब्यवस्था गर्न माग गरेको छ । (४) साना ठुला सबै ब्यवसायीहरुले ब्यहोरिरहेको प्रतिकूल स्थितिमा निश्चित अवधिको ब्याज मिनाहा देखि ब्याज घटाउने सम्मको निर्णयमा पुग्न सरकार र सम्बन्धित तह समक्ष माग गर्ने निर्णय बैठकले गरेको छ । परिक्षण र स्वास्थोपचार बारे (५) संक्रमितको संख्या बढ्दै गएको एवं लक डाउनको अघिल्लो साता नेपाल फर्केका दुई लाख बढी नागरिकको न्यून संख्या मात्रै क्वारेन्टाइनमा बसेको स्थिति दृष्टिगत गरेर परिक्षणलाई समुदाय स्तरमा पुयाउन अत्यावश्यक बनेको ठहर बैठकले गरेको छ । अतः घुम्ती परिक्षण शिविर मार्फत परिक्षणको दायरा र गति बढाउन बैठकले माग गरेको छ । (६) नियमित रुपले संचालित अस्पतालमा कोरोना परिक्षण र उपचार गरिंदा त्यसले संक्रमण ब्यापक फैलन भूमिका गरेको कतिपय देशको अनुभवबाट शिक्षा लिंदै कोरोना उपचार केन्द्र को अलग ब्यवस्था गर्न बैठकले सरकार समक्ष माग गरेको छ । (७) अन्य रोगका बिरामीले यस बीचमा कयौं जिल्लामा सहज उपचार पाउन नसकेको बिषयलाई गम्भीरतापूर्वक लिएर कार्य गर्न बैठकले सरकारको ध्यानाकर्षण गराउने निर्णय गरेको छ । (८) फ्रन्ट लाइनमा रहेर कार्य गरिरहेका स्वास्थकर्मीहरुलाई कतिपय ठाउँमा हतोत्साहित गर्ने ब्यवहार भएको बिषयलाई गम्भीरतापूर्वक लिंदै बैठकले त्यस्तो स्थिति दोहोरिन नदिन एवं स्वास्थकर्मी र सुरक्षाकर्मी बीच कही पनि असमझदारी उत्पन्न हुन नदिन परिपक्व समन्वयका लागि सरकारको ध्यानाकर्षण गराएको छ । स्वास्थ सामग्रीको अभाव र अनियमितता बारे (९) स्वास्थकर्मीहरुलाई पर्याप्त गुणस्तरीय पीपिइ अझैपनि पुयाउन नसकिएको बिषयलाई सरकारको गैह्र जिम्मेवारीको हदका रुपमा लिंदै बैठकले सबै अत्यावश्यक सामग्री तत्काल पर्याप्त प्रबन्ध गर्न र उपलब्ध गराउन सरकार समक्ष माग गरेको छ । (१०) सामग्री खरिदको अनियमिततामा संलग्नलाई पदमुक्त गरेर अनुसन्धानलाई सघाउन अघिल्लो बैठकले गरेको माग यो बैठकले पुनः दोहोयाएको छ । साथै कुनैपनि प्रकृतिको दबाबबाट मुक्त रहेर अनुसन्धान गर्न बैठकले अपील गरेको छ । बिदेशमा रहेका नेपालीहरु बारे (११) कोरोनाको संक्रमणले बिदेशमा जीवन गुमाएका सबै नेपालीप्रति श्रद्धाञ्जली सहित बैठकले सम्बन्धित परिवारजन तथा नेपाली डायस्पोरामा समवेदना प्रकट गरेको छ । बैठकले उपचाररत स्वदेश र बिदेशका सबै नेपालीको सिघ्र स्वास्थलाभ कामना गरेको छ । (१२) बिदेशमा रहेका नेपाली श्रमिक, विद्यार्थी, ब्यवसायी एवं अप्ठ्यारोमा परेका सबै नेपालीको सुरक्षा र राहतका लागि उच्च स्तरीय कुटनैतिक पहल बढाउन बैठकले सरकारलाई आग्रह गरेको छ । नेपाली दूतावासहरुलाई नेपालीको हितमा बिशेष सक्रियता बढाउन तथा नेपाली जनसम्पर्क समिति, एनआरएन एवं अन्य सबै संस्थालाई साझा जिम्मेवारी बोधले कार्य गर्न अपिल गरेको छ । (१३) अप्ठ्यारोमा परेका नेपालीलाई उद्दार गर्न आवश्यक अध्ययन र तयारी शुरु गर्न बैठकले नेपाल सरकारलाई आग्रह गरेको छ । उद्धार पश्चात् देशभित्र गर्नुपर्ने ब्यवस्थापन बारे पूर्व तयारीमा ढिलाइ नगर्न पनि बैठकले सरकारलाई सजग गराएको छ । (१४) महाकाली पारी धार्चुला आइपुगेका नागरिक लगायत अन्य सिमा नाकामा अलपत्र परेका नेपालीलाई ब्यवस्थित ढंगले प्रवेश दिने र क्वारेन्टाइनमा राख्ने कार्य अझैसम्म नगरिएकोमा सरकारप्रति दुःख व्यक्त गर्दै बैठकले मातृ शोकमा परेका युवालाई धार्चुलाबाट नेपाल ल्याई परिक्षण पश्चात् आमाको काममा सरिक हुन दिन र अन्य सबैलाई पनि क्वारेन्टाइनमा राख्ने गरि नेपाल ल्याउन पुनः माग गरेको छ । अत्यावश्यक खाद्यान्न उत्पादन र कृषकलाई राहत बारे (१५) लक डाउन लम्बिनु संगै खाद्यान्नको अभाव बढ्दै जाने स्थिति दृष्टिगत गरेर अत्यावश्यक खाद्यान्न उत्पादनका लागि स्थानीय सरकारहरु मार्फत जरुरी छलफल, कृषकको स्वास्थ्य परिक्षण एवं कृषि क्षेत्रलाई आवश्यक राहतसम्मको प्रबन्ध गर्न र गराउन बैठकले सरकारको ध्यानाकर्षण गराएको छ । नेविसंघलाई जन्मदिनको शुभकामना (१६) बैशाख ६ गते नेपाल बिद्यार्थी संघको जन्मदिवसको अवसरमा आजको पदाधिकारी बैठकले नेविसंघको विगत र वर्तमानमा आवद्ध स्वदेश र बिदेशमा रहेका सबैलाई हार्दिक शुभकामना ब्यक्त गरेको छ । कोरोना संकटको आजको घडीमा नेपाली विद्यार्थीहरुले उच्च सतर्कता साथ आफ्नो ब्यक्तिगत एवं समुदाय र राष्ट्रको हितमा बिशेष जिम्मेवारीबोधका साथ कार्य गर्न बैठकले अपील समेत गरेको छ । जय नेपाल ! कृष्णप्रसाद पौडेल मुख्य सचिव"
खाद्यान्न ढुवानी गर्ने ट्रकले मदिरा बोकेपछि,"बैतडी : लकडाउनका बेला खाद्यान्न ढुवानी गर्ने भनेर सवारी पास लिएको ट्रकले मदिरा ओसारपोसार गरेको पाइएको छ। शनिबार बैतडी प्रहरीले एउटा ट्रक नियन्त्रणमा लिएको हो। वैशाख ४ गते धनगढीबाट मेलौली खाद्यान्न ढुवानीका लागि पास लिएको से १ छ १५४९ नम्बरको ट्रकमा मदिरा बोकेको पाइएपछि शनिबार नियन्त्रणमा लिइएको जिल्ला प्रहरी कार्यालयका प्रमुख प्रहरी नायव उपरीक्षक डिल्लीनारायण पाण्डेयले बताए। ट्रकबाट विभिन्न ब्राण्डका ४३ पेटी मदिरा बरामद गरिएको उनको भनाइ छ। मेलौलीमा ट्रक चेकजाँच गर्दा इलाका प्रहरी कार्यालय मेलौलीको टोलीले ट्रकबाट मदिरा बरामद गरेको हो। उनले भने, खाद्यान्न ढुवानीका लागि पास लिएको ट्रकले मदिरा ओसारपसार गरेको पाइएपछि हामीले ट्रक नियन्त्रणमा लिएका हौं। ट्रक साहु उत्तमसिंह पुजारा र चालक रोशन पन्तलाई पनि प्रहरीले नियन्त्रणमा लिएको छ। घटनाको अनुसन्धानका लागि इलाका प्रहरी कार्यालय पाटनमा कार्यरत प्रहरी निरीक्षक धनदेव साउदको नेतृत्वमा प्रहरी टोली खटिएको प्रहरी नायव उपरीक्षक पाण्डेयले बताए।"
वीरगन्जका सबै औषधि पसल बन्द,"वीरगन्ज : प्रहरीले दुर्व्यवहार गरेको भन्दै वीरगन्जमा रहेका औषधि पसलहरु शनिबार दिउँसो देखि बन्द गरिएको छ। प्रहरीले अभद्र व्यवहार गरेको आरोप लगाउँदै औषधि व्यापारी र पसलेहरुले वीरगन्जका सबै औषधि पसलहरु शनिबार दिउँसो साढे २ बजेदेखि बन्द गरेका हुन्। लकडाउनमा सरकार र स्थानीय प्रशासनले औषधि पसलहरु २४ सै घण्टा खुल्ला राख्न निर्देशन नै दिए पनि उनीहरुले पसल नै बन्द गरि दिएका हुन्। नेपाल औषधि व्यवसायी संघका अनुसार वीरगन्जमा खुद्रा र थोकका गरि २ सय २९ औषधि पसल छन्। शनिबार दिउँसो माइस्थानचोकमा नेपाल औषधि व्यवसायी संघ पर्साका अध्यक्ष ताजुदिन अन्सारीको मोटरसाइकल प्रहरीले खोसेपछि त्यसैको विरोधमा पसले र व्यपारीहरुले दिउँसो साढे २ बजेदेखि औषधि पसलहरु बन्द गरेका हुन्। घरको सरसामान किनमेल गरेर पसल खोल्न जाने क्रममा माइस्थान चोकमा प्रहरीले आफनो मोटरसाइकल खोसेर नियन्त्रणमा लिएको अध्यक्ष अन्सारीले बताए। बिहान ११ बजेदेखि किसान पसलहरु खुलेपछि घरको सामान किनेर पसल खोल्न जाँदै थिएँ , उनले भने ,'तर प्रहरीले रोकेर मोटरसाइकल नियन्त्रणमा लियो , संघको परिचयपत्र देखाउँदा पनि मानेन। औषधि व्यवसायी संघको परिचयपत्र देखाउँदा पनि प्रहरीले ठाँउ ठाउँमा रोकेर दुर्व्यवहार गर्दै पसल खोल्न जान नदिएपछि त्यसैको विरोधमा सबै औषधि पसलहरु बन्द गरिएको संघका नारायणी अन्चल शाखाका महासचिव पप्पु झाले बताए। यसअघि लकडाउनमा घरबाट पसल खोल्न जाने औषधि पसले र पसलमा काम गर्ने कर्मचारीलाई प्रहरीले बाटोमा अवरोध गरेको थिएन झाले भने ,'तर शनिबार भने अध्यक्ष अन्सारीलाई मात्र नभइ अन्य औषधि पसलेलाई पनि प्रहरीले बाटोमै रोकेर फिर्ता पठाइ दिन थालेको छ। विर्तामा रहेको अशोक फर्मासुयटिकल्सका सञ्चालक रत्नेश कुमार गुप्ताले पनि शनिबार घरबाट मोटरसाइकलमा पसल खोल्न जाने क्रममा पावरहाउस चोकमा प्रहरीले रोकेर दुर्व्यवहार गर्दै फिर्ता पठाइ दिएको गुनासो गरे। संघको परिपचयपत्र देखाउदा पनि प्रहरीले नमानेको उनले बताए। संघका महासचिव झाका अनुसार सवारी पासका लागि लकडाउन शुरु भएकै दिन चैत ११ गते जिल्ला प्रहरी कार्यालयमा जादा प्रहरी उपरिक्षक गंगा पन्तले संघकै परिचयपत्रलाई पासको रुपमा मान्यता दिने बताएकी थिइन्। तर शनिबारदेखि भने प्रहरीले सवारी पास खोजेर बाटोमा अवरोध गर्दै दुर्व्यवहार पनि गर्न थालेकाले पसलहरु बन्द गरिएको झाले बताए। 'यस्तो महामारीको संक्रमणमा सबै घर बसेका छन्। तर हामी आफनो ज्यान जोखिममा राखेर जनतालाई सेवा दिइरहेका छौं , झाले भने ,' घरबाट पसल हिँडेर जान सकिने अवस्था छैन्। टरसाइकलमा जाँदा प्रहरीले रोकेर फिर्ता पठाइ दिन थालेको छ। यस्तो अवस्थामा पसल खोल्न सक्ने अवस्था नै छैन्।'औषधि पसलका सञ्चालक र काम गर्ने कर्मचारीलाई घरबाट पसलसम्म जाने सहज वातावरण नभएसम्म पसलहरु बन्द नै रहने उनले बताए। पर्साकी प्रहरी उपरिक्षक गंगा पन्तले भने औषधि पसलेहरुले लकडाउनमा पाएको सहुलियतको दुरुपयोग गरेको बताइन्। औषधि पसल खोल्न जाँदा नभइ अरु कामका लागि मोटरसाइकलमा हिँडेर लकडाउन उल्लंघन गरेकाले त्यस्ता पसलेहरुको मोटरसाइकल प्रहरीले नियन्त्रणमा लिएको उनले बताइन्। उनले भनिन् ,' औषधि पसलेहरुले पसल नखोले अर्को विकल्प खोजिन्छ तर प्रहरी आफनो कदमबाट पछाडि हट्दैन।"
जनकपुरमा तीन जनामा आरडिटी रिपोर्ट पोजिटिभ,जनकपुरधाम : जनकपुरधामस्थित प्रादेशिक अस्पतालमा तीन जनाको रिपोर्ट पोजिटिभ आएको छ। प्रादेशिक अस्पतालमा गरिएको आरडिटी परिक्षणमा तीनै जनाको रिपोर्ट पोजिटिभ भेटिएको प्रादेशिक अस्पतालले जनाएको छ। कोरोना महामारी संक्रमणको बेला जनकपुरमा पैसा फालेर भागेकी महिला र थप एक जनामा आरडिटी रिपोर्ट पोजिटिभ देखिएको प्रादेशिक अस्पतालले जनाएको छ। जनकपुरधामस्थित महाविर चोकमा जथाभावी पैसा फाली लुकीछिपी भाग्ने पक्राउ परेकी दुवै महिला र थप एक जना गरी तीन जनामा रिपोर्ट पोजिटिभ श्रोतले दाबी गरे। जनकपुरधाममा पैसा छरेर भागेकी दुई जनाको महिलाको हुलिया सार्वजनिक गरेको १२ घण्टा नवित्दै ति महिलाहरुलाई प्रहरीले पक्राउ गरी किटको माध्यमबाट टेष्ट गर्दा पोजिटिभ भेटिएको हो। प्रहरी नायब उपरिक्षक तथा प्रवक्ता रामेश्वर कार्कीले सिसिटीभी फुटेजहरु झिकाएर शंकाष्पद देखिएको र प्रहरीले सार्वजनिक गरेको हुलिया अनुसार मिलेको भन्दै स्थानियवासकै सहयोगमा ति दुवै महिला पक्राउ परेको जनाए। यता धनुषाका प्रमु जिल्ला अधिकारी कोषहरि निरौलाले आफुलाई दुई जना संक्रमणको बारेमा जानकारी भएपनि आधिकारिता पिसिआर बिधिबाट स्वायव टेष्टपछि मात्र कोरोना (कोभिड १९) पुष्टि हुने जनाए।
