शीर्षक,विवरण
ओली र प्रचण्डको वार्ता डोनाल्ड ट्रम्प र सी चिनफिङको जस्तो,"गोरखा : नेकपाका दुई अध्यक्ष केपी ओली र पुष्पकमल दाहाल प्रचण्डको वार्ता हुने भनेको डोनाल्ड ट्रम्प र सी चिनफिङको वार्ता हुने जस्तो रहेको पूर्वप्रधानमन्त्री बाबुराम भट्टराईले आरोप लगाएका छन्। गृहजिल्ला गोरखा पुगेका जनता समाजवादी पार्टीका वरिष्ठ नेतासमेत रहेका भट्टराईले शुक्रबार पत्रकार भेटघाट कार्यक्रममा बोल्दै कोरोना महामारी व्यवस्थापन गर्नुपर्ने बेला सत्तासीन पार्टीका दुई नेताको भेटघाट र वार्ता नै दुर्लभ हुने गरेको टिप्पणी गरे। हामीले यस्ता नेता छानेका छौं, जुन नेता यस्तो कोरोनाको बेलामा आफ्नै पार्टीभित्रको झगडामा रुमल्लिरहेका छन्, उनले भने, उहाँहरुको झगडा महिनौँसम्म चलिरहन्छ। केपी र प्रचण्डको वार्ता हुनु भनेको चाहिँ डोनाल्ड ट्रम्प र सी चिनफिङको वार्ता भए जस्तो, नरेन्द्र मोदी र केपी ओलीको वार्ता हुनु जस्तो गरेर कहिले वार्ता हुन्छ होला भनेर पर्खेर बस्नु पर्छ। कोरोना परीक्षणको दायरा बढाउनु पर्ने, स्वास्थ्य उपकरण जुटाउने, दातृ निकाय खोज्ने, राहतको व्यवस्था गर्नुपर्ने बेलामा सरकार मजाक गरेर बसेको उनको आरोप छ। अहिले कोरोना महामारीको समाधान खोज्ने बेला हो कि अयोध्याखोज्ने बेला हो ? राममन्दिर बनाउने बेला हो कि अस्पताल बनाउने बेला हो ?, उनले भने, हुन त उहाँहरुलाई सुझाव दिनु भनेको भालुलाई पुराण सुनाए जस्तो हो। यसको कुनै अर्थ छैन। अहिले सरकारबिहिनताको अवस्था रहेको उनको टिप्पणी छ। जहिलेसम्म केपी ओली जस्ता मान्छे सत्तामा रहन्छन्, कुनै स्पष्ट नीतिबिना लहडको भरमा देश चलिरहन्छ, उनले भने, सुझबुझ, स्पष्ट नीति, शृङ्खलाबद्ध योजना केही पनि छैन। यस्तो मान्छे प्रधानमन्त्री रहेसम्म देशले दुःख मात्र पाउनेवाला छ। यसलाई नेकपाको आन्तरिक मामिला हो भनेर सहेर बस्ने अवस्था नरहेको भन्दै उनले नेतृत्व परिवर्तनका लागि जनस्तरबाट आवाज उठाउनु पर्ने बेल ाआएको बताए।"
कोरोना कहर : काठमाडौं जिल्ला प्रशासनको १० बुँदे आदेश,"काठमाडौं : जिल्ला प्रशासन कार्यालय, काठमाडौंले कोरोना भाइरस (कोभिड१९) संक्रमणको दर बढ्दै गएपछि कडाई गर्ने निर्णय गरेको छ। शुक्रबार प्रमुख जिल्ला अधिकारी जनकराज दाहालले काठमाडौंमा तत्काल गर्न नहुने कामको सूची सार्वजनिक गरेका हुन्। दाहालले सार्वजनिक गरेको आदेश विपरीत गतिविधि भए स्थानीय प्रशासन ऐन, २०२८ को दफा ६ (३) अनुसार कारबाही हुने बताएका छन्। कोरोना संक्रमण बढ्दै जाँदा जनस्वास्थ्यमा गम्भीर असर पर्न सक्ने अवस्थालाई मध्यनजर गर्दै संक्रमण रोकथाम तथा नियन्त्रणका लागि तत्काल थप सतर्कता अपनाउन सरकारले जारी गरेको स्वास्थ्य मापदण्ड कडाइका साथ पालना गराउन भन्दै जिल्ला प्रशासनले यस्तो आदेश जारी गरेको हो। यो आदेश शुक्रबार राति १२ बजेदेखि भदौ १५ गते राति १२ बजेसम्मका लागि काठमाडौं जिल्लाभर लागू हुने आदेशमा उल्लेख छ। निशेष गरिएका गतिविधि खुला स्थानमा मानिसहरु भेला जम्मा हुन, भीडभाड गर्न, सभा जुलुस गर्न, भीडभाड हुने गतिविधि जस्तै जात्रा, महोत्व सञ्चालन गर्न, दैनिक हुने नित्य पूजाबाहेकका सम्पूर्ण धार्मिक गतिविधि, उद्योग व्यापार व्यवसाय अन्तर्गतका स्वास्थ्य मापदण्ड विपरितका क्रियाकलाप, चाडपर्व लगायतका धार्मिक सांस्कृतिक कार्य गर्नका लागि हुने जमघटहरु, शैक्षिक संस्थाहरु सञ्चालन गर्न, सबै प्रकारका सभा गोष्ठी तालिम, सेमिनार, सिनेमा हल, पार्टी प्यालेस, मनोरञ्जनस्थल, शैलुन, ब्यूटी पार्लर, स्पा, स्वीमिङ पुल, जिमखाना समूहमा खेलिने खेलकुद र खेल प्रस्तुति, पुस्तकालय, संग्रहालय, चिडियाखाना सञ्चालन गर्न, फुटपाथ, खुला ठाउँ र ठेला गाडा साइकल सञ्चालन हुने विभिन्न व्यवसाय, कवाडी संकलन गर्न, उद्योग व्यवसाय सञ्चालका लागि स्वास्थ्य मापदण्ड विपरीत श्रमिक कामदारको ओसार पसार गर्न, टेक वे बाहेक होटल रेष्टुराँ सञ्चालन गर्न।"
समुदायमा कोरोना फैलिएपछि भैरहवामा लकडाउन,"भैरहवा : भैरहवामा समुदाय स्तरमा कोरोना संक्रमण फैलिएपछि लकडाउन गर्ने निर्णय भएको छ। सिद्धार्थनगर नगरपालिका (भैरहवा) को शुक्रबार बसेको बैठकले नगर क्षेत्र भित्र कोरोना संक्रमण तिव्र रुपमा फैलिइरहेकोले रोकथाम र नियन्त्रणका लागि शहरलाई लकडाउन गर्ने निर्णय गरेको हो। बैठकले साउन ३१ गते राति १२ बजेदेखि भदौ ५ गते राति १२ बजेसम्म लकडाउन गर्ने निर्णय भएको नगरपालिकाले जनाएको छ। शुक्रबार मात्रै भैरहवामा ७ जनामा कोरोना संक्रमण पुष्टि भएको छ। यस अघि सिद्धार्थ सिमेन्ट उद्योगका ११ जना कर्मचारीमा संक्रमण पुष्टि भएको थियो। शुक्रबार पुष्टि भएका सात जनामध्ये चारजना भैरहवा हवाई इन्धन डिपोका कर्मचारी, २ जना सुन पसलमा काम गर्ने भारतीय नागरिक र एकजना एसबीआई बैंकको भैरहवा शाखाका कर्मचारी हुन्। बैंकको सेवा बन्द गरी बैंकलाई सिल गरिएको छ। भैरहवामा सामुदाय स्तरमा कोरोना संक्रमण फैलिएको छ, स्वास्थ्य कार्यालय रुपन्देहीका भेक्टर कन्ट्रोल निरीक्षक केदारनाथ शाहले भने, संक्रमण रोक्न सर्वसाधरणको साथ आवश्यक छ। अहिले सबै संक्रमित सम्पर्कमा छन्, भोलिदेखि कन्ट्याक्ट टेसिङ सुरु गर्छौँ। शुक्रबार भैरहवाका ७ जनाका साथै बुटवलका ७ जनामा पनि संक्रमण पुष्टि भएको छ। यो सँगै रुपन्देहीमा शुक्रबारमा १४ जनामा संक्रमण पुष्टि भएको हो। सबैले स्वइच्छाले शुल्क तिरेर निजी प्रयोगशालामा परीक्षण गराएका हुन्। लकडाउनको अवधिमा स्वास्थ्य सेवा, दमकल, सरसफाई तथा अन्य अत्यावश्यक सेवा संचालन हुने नगरप्रमुख हरिप्रसाद अधिकारीले बताए। उनका अनुसार लकडाउनमा खाद्यान्न, तरकारी, फलफूल, दूध तथा दूधजन्य पदाथको विक्रीवितरण आवश्यक दूरी कायम गरी बिहान ६ बजेदेखि ९ बजेसम्म र साँझ ५ बजेदेखि ७ बजेसम्म संचालन हुनेछन्।"
नोबेल अस्पतालमा चिकित्सकसहित थप पाँचजनामा कोरोना संक्रमण,"विराटनगर : विरानगरको नोबेल शिक्षण अस्पतालमा कार्यरत एकजना चिकित्सकसहित थप पाँचजनामा शुक्रबार कोरोना भाइरसको संक्रमण देखिएको छ । अस्पतालका एक चिकित्सक, एक नर्सिङ स्टाफ, दुईजना औषधि पसलका कर्मचारी र एकजना प्रशासनका कर्मचारीमा कोरोना पुष्टि भएको हो । संक्रमित भेटिएको औषधि पसल अस्पतालभित्रै सञ्चालित छ । पाँच जना थपिएसँगै अस्पतालमा संक्रमित हुनेको संख्या नौ पुगेको छ । अस्पतालका जनसम्पर्क अधिकृत नारायण दाहालले यसअघि तीन चिकित्सक र एक जना नर्सिङ स्टाफमा संक्रमण पुष्टि भएको बताए । दुई चिकित्सकमा गत शनिबार पहिलो पटक कोरोना देखिएको थियो । उनीहरुको 'कन्ट्रयाक ट्रेसिङ' गर्दा गत सोमबार एक चिकित्सक र एक नर्समा संक्रमण देखिएको दाहालले बताए । उनकाअनुसार चिकित्सकसहित स्वास्थ्यकर्मी संक्रमित हुन थालेपछि अस्पतालको ओपीडी (बहिरंग ) विभागको सेवा बन्द गरिएको छ । नोबेलमा कार्यरत दुई सय २४ जनाको स्वाब संकलन गरेर पीसीआर परीक्षण गराइएकोमा ७० जनाको रिपोर्ट आउन बाँकी रहेको दाहालले बताए । अस्पतालले आफ्ना स्वास्थ्यकर्मी र कर्मचारीका लागि आइसोलेसन बेड बनाएको छ । संक्रमितहरुलाई त्यहीँ राखिएको छ । संक्रमितमध्ये अस्पतालका एक चिकित्सकको स्वास्थ्य अवस्था गम्भीर बनेपछि थप उपचारका लागि काठमाडौं लगिएको थियो । त्रिवि शिक्षण अस्पतालमा उपचाररत ती चिकित्सकको अवस्था थप जटिल बनेपछि उपचार पद्धती फेर्दै बिहीबार प्लाज्मा थेरापी गरिएको थियो ।"
२४ घण्टामा ५९४ जनामा कोरोना पुष्टि : संक्रमितको संख्या २५ हजार ५५१ पुग्यो,काठमाडौं : नेपालमा कोरोना भाइरस (कोभिड१९) संक्रमितको संख्याले २५ हजार नाघेको छ। स्वास्थ्य तथा जनसंख्या मन्त्रालयका प्रवक्ता प्राडा जागेश्वर गौतमका अनुसार पछिल्लो २४ घण्टामा ५९४ जनामा संक्रमण पुष्टि भएको छ। योसँगै नेपालमा कुल संक्रमितको संख्या २५ हजार ५५१ पुगेको छ। पछिल्लो २४ घण्टामा ११ हजार ५७५ जनाको पीसीआर परीक्षण भएको छ। नेपालमा अहिले सात हजार ९१३ संक्रिय संक्रमित रहेका छन्। अहिले क्वारेन्टाइनमा १४ हजार ६३८ रहेका छन्। पछिल्लो २४ घण्टामा २४० डिस्चार्ज भएका छन्। योसँगै नेपालमा १७ हजार ७७ जनाले कोरोना जितेको छन्। सातै प्रदेशका ३९ प्रयोगशालामा पीसीआर परीक्षण हुँदै आएको छ।
कपिलवस्तुमा ७ प्रहरीसहित २८ जनामा कोरोना संक्रमण पुष्टि,"कपिलवस्तु : जिल्लामा ७ जना प्रहरीसहित २८ जनामा कोरोना संक्रमण पुष्टि भएको छ । तौलिहवास्थित बुद्ध पद्म माविमा संकलन गरिएको २ सय २६ नमूना स्वाबमध्ये २६ जनामा कोरोना संक्रमण पुष्टि भएको हो । यसैगरी कपिलवस्तु अस्पतालका १ जना र शुद्धोधन गाउँपालिकाका १ जनामा कोरोना संक्रमण देखिएको स्वास्थ्य कार्यालयका कोरोना फोकल पर्सन कुमार थापाले बताए । बुद्ध पद्म माविमा संकलन गरिएका ५० जनाको स्वाब परीक्षणको नतिजा भने आउन बाँकी रहेको स्वास्थ्य कार्यालयले जनाएको छ । यसरी संक्रमित हुनेमा ७ जना नेपाल प्रहरी, बैंक तथा वित्तिय संस्था, स्वास्थ्यकर्मी, गृहणी, विद्यार्थी, गैससकर्मी, यातायात व्यवसायीलगायत रहेका छन् । जिल्लामा हालसम्म ९ सय ३५ जनामा कोरोना संक्रमण पुष्टि भएसकेको छ । कोरोना संक्रमणकै कारण ४२ वर्षीय व्यवसायीको मृत्यु भएको छ ।"
अख्तियार र सीआइबीको नाममा ठगी गर्ने पत्रकार पक्राउ,"काठमाडौं : अख्तियारको नाम लिएर ठगी गरेको आरोपमा एक पत्रकारलाई प्रहरीको केन्द्रीय अनुसन्धान ब्यूरो (सीआईबी)ले पक्राउ गरेको छ। धादिङ निलकण्ठ नगरपालिका१४ घर भई काठमाडौं तारकेश्वर नगरपालिका११ नेपालटार बस्ने शकंर अधिकारीलाई ठगीको आरोपमा पक्राउ गरेको सीबीआईका प्रवक्ता बेलबहादुर पाण्डेले जानकारी दिए। उनले आफूलाई आलोचना साप्ताहिकका संवाददाता भएको बताएको सीआइबीले जनाएको छ। काठमाडौंका एक व्यवसायीलाई अख्तियारमा मुद्दा परेको छ। उक्त मुद्दा सदर भइ पक्राउको लागि सीआइबीमा पत्रचार भएको छ। मुद्दा हेर्ने सीआइबीका ईन्सपेक्टरले ५ लाख दिएमा मुद्दा ढुस बनाउने नत्र कुनै पनि समयमा तपाईलाई प्रहरी पक्राउ गर्छ भन्दै डर त्रास देखाई धम्क्याएर सीआइबीको नाममा रकम असूल गरी ठगी गर्न खोजेको भन्दै उनलाई निन्त्रणमा लिएको हो। बसुन्धाराबाट पक्राउ परेको अधिकारीलाई आवश्यक कारवाहीको लागि ममहानगरिय प्रहरी वृत,महाराजगञ्ज पठाइएको प्रहरी उपरीक्षक पाण्डेले जनाकारी दिए। ठगीमा अन्य व्यक्तिको संलग्नता हुने सक्ने भन्दै अनुसन्धान भइरहेको छ ।"
एउटै उद्योगका ५१ जनामा कोरोना संक्रमण,"विराटनगर : मोरङको बूढीगंगा गाउँपालिकामा रहेको एउटै उद्योगमा कार्यरत ५१ जनालाई कोरोना भाइरसको संक्रमण पुष्टि भएको छ । बूढीगंगा१ मा रहेको आरती स्ट्रिप्स प्रालिमा कार्यरतमध्ये ठूलो संख्यामा मजदुर र कर्मचारीमा कोरोना देखिएको हो । एक साताको अवधिमा संक्रमित बनेकामध्ये अधिकांश मजदुर छन् । सुरुमा दुई मजदुरमा कोरोना देखिएपछि उनीहरुको 'कन्ट्रयाक ट्रेसिङ' गर्दा अरुमा पनि संक्रमण पुष्टि भएको वडाध्यक्ष युवराज पौडेलले बताए । उनकाअनुसार उद्योगमा कार्यरतमध्ये दुई सय जनाको स्वाब संकलन गरेर पीसीआर परीक्षण गराउँदा ५१ जनाको रिपोर्ट पोजेटिभ आएको हो । कर्कट पाता र फलामे डण्डी उत्पादन हुँदै आएको उद्योगले 'लकडाउन' खुल्ने वित्तिकै लुकाइछिपाइ भारतीय मजदुर ल्याएर काममा लगाउँदा कोरोना फैलिएको हुन सक्ने आशंका गरिएको पौडेलको भनाइ छ । 'सुरुमा दुईजनामा संक्रमण देखिएको थियो । त्यसपछि पनि उद्योग निरन्तर चलिरहयो,' उनले भने, 'तत्काललै सिल गरेर मजदुरलाई क्वारेन्टाइनमा राख्नु पर्नेमा त्यसो गरिएन । त्यसको परिणाम स्वरुप अहिले ठूलो संख्यामा मजदुर र कर्मचारी संक्रमित हुने अवस्था बन्यो ।' स्थानीय बासिन्दाले पनि जबरजस्ती उद्योग चलाउँदा कोरोना व्यापक रुपमा फैलिएको गुनासो गरेका छन् । यसअघि ३० जनामा संक्रमण देखिएकोमा बिहीबार २१ जना नयाँ संक्रमित थपिएका हुन् । संक्रमितलाई उद्योगभित्रै आइसोलेसन बनाएर राख्न मोरङ प्रशासनले निर्देशन दिएको छ । संक्रमण पुष्टि भएका केही कर्मचारी होम आइसोलेसनमा छन् । उद्योगमा पाँच सय बढी मजदुर कार्यरत रहेको जनाइएको छ । उद्योगमा कार्यरत एक कर्मचारीले सक्रमण पुष्टि भएकामध्ये दुई भारतीय नागरिक सम्पर्कविहीन बनेको बताए । परीक्षणका लागि स्वाब संकलन गरिएपछि उनीहरु सम्पर्कबिहीन बनेकोर पछि रिपोर्ट पोजिटिभ आएको उनको भनाइ छ । ती कर्मचारीले सम्पर्कविहीन बनेकाहरु भागेर भारततिरै गएको हुन सक्ने बताए । अहिले उद्योगमा संक्रमण फैलिएर अवस्था भयावह बनेपछि वरपरका बासिन्दा पनि त्रसित बनेका छन् । उद्योगमा काम गर्नेहरु आसपासका घर र बस्तीमा डेरा बस्ने गर्थे । डेरा बस्नेहरुमा पनि कोरोना संक्रमण देखिएपछि स्थानीय बासिन्दामा त्रास बढेको वडा अध्यक्ष पौडेलको भनाइ छ । उनकाअनुसार उद्योगका मजदुरबाट कोरोना समुदायमा फैलिएको हुन सक्ने आशंका गरिएको छ । बूढीगंगाको उद्योग र आसपासका क्षेत्र सिल गरेर सर्वसाधारणलाई हिँडडुल र सवारी साधन आवतजावतमा कडाई गरिएको छ । संक्रमितसँग सम्पर्कमा रहेकाको 'कन्ट्रयाक ट्रेसिङ' गर्दै परीक्षणको दायरा फराकिलो पार्न उद्योग आसपासको क्षेत्रमा कडाई गरिएको प्रमुख जिल्ला अधिकारी कोषहरि निरौलाले बताए । संक्रमण घटेर अवस्था सामान्य नभएसम्म कडाई जारी रहने उनको भनाइ छ ।"
पैनीले बगाएर बालकको मृत्यु,विराटनगर : मोरङको पथरीशनिश्चरे नगरपालिका ३ मा पैनीले बगाएर शुक्रबार दिउँसो एक बालकको मृत्यु भएको छ । पैनीले बगाउँदा स्थानीय वर्तबहादुर थापाका छोरा ४ वर्षीय केशव थापाको मृत्यु भएको इलाका प्रहरी कार्यालय पथरीका डीएसपी दिलिप गिरीले बताए । उनकाअनुसार बालक घरदेखि लगभग दुई सय मिटर पर रहेको पानीको पैनीमा पुलबाट खसेका थिए । खेल्दै जाने क्रममा तर्न खोज्दा बाँसको भाटाले बनाएको पुलबाट खसेका बालकलाई पैनीले बगाएर लगभग दुई सय मिटरजति तल पुर्याएको गिरीको भनाइ छ । पैनीले बगाउँदै गर्दा उद्धार गरेर स्थानीय बासिन्दाले उपचारका लागि ल्याउने क्रममा बालकको बाटोमै मृत्यु भएको प्रहरीले जनाएको छ । शव पोस्टमार्टमका लागि उर्लाबारीको मंगलबारे अस्पतालमा लगेर घटनाको अनुसन्धान सुरु गरिएको डीएसपी गिरीको भनाइ छ ।
सरकारले नसुनेको जुगलबासीको त्यो गुहार : अकालमै लिदीबासीले ज्यान गुमाए,"काठमाडौं : सम्भावित घटनाबाट जोगिन सिन्धुपाल्चोकस्थित जुगल गाउँपालिका२ का स्थानीयले समयमै जानकारी गराउँदा सरकारको वेवास्थाका कारण लिदीमा थुप्रैको ज्यान गएको छ। लिदीमा शुक्रबार विहान साढे ६ बजे गएको पहिरोले ३५ घर बगाएको छ भने ३८ जना बेपत्ता छन्। यो समाचार तयार पार्दासम्म बेपत्तामध्ये ११ जनाको शव निकालिएको छ। बस्ती जोखिममा रहेको भन्दै सो गाउँपालिका ८ जनाले साउन २२ जिल्ला विपद व्यवस्थापन समिति सिन्धुपाल्चोकमा जोखिमयुक्त बस्तीको अध्ययन गरी आवश्यक प्रक्रिया अगाडि बढाइदिन अनुरोध गरेका थिए। साविक गोल्चे गाविस वडा १, २, ३, ४ र ५ हालको जुगल गाउँपालिका वडा नम्बर २ मा अविरल वर्षासँगै आएको बाढी र पहिरोका कारण हाम्रो बस्ती अत्यन्तै जोखिममा रहेको छ, पत्रमा भनिएको छ। उनीहरुले ३६ मेघावाटको बलेफी ए हाइड्रोपावरको सुरुङ निर्माणका क्रममा ब्लाष्टिङ लगायतका विस्फोटक कार्यका कारण बस्ती नै हल्लिएको बताएका थिए। अविरल वर्षाको कारण पहिरोमा रुपान्तरित भएर नाम्फा, सन्नगाउँ, लिदी, झल्के, निम्लुङ, बैगाड टोल समेतका ५०० भन्दा बढी घर जोखिममा रहेकाले बस्ती नै अन्यत्र सार्नुपर्ने भन्दै सरकारलाई भनेका थिए। सो भेगका स्थानीयले सरकारलाई झकझकाएको यो पहिलो पटक भने होइन। १ वर्ष अघि तत्कालीन विपद व्यवस्थापन समितिकी संयोजक गोमादेवी चेमजोङलाई पनि ध्यानाकर्षण गरेका थिए। जोखिममा रहेको बस्ती त्यतिबेला अध्ययन गर्ने बताइए पनि हालसम्म कुनै अध्ययन भएको छैन्। त्यसो त २०७२ वैशाख १२ गतेको भूकम्पपछि भूगर्वविद सो ठाउँलाई उच्च जोखिममा उल्लेख गरेका थिए। साउन २२ गते नै जुगल गाउँपालिकाले जिल्ला विपद व्यवस्थापन समितिलाई वडा नम्बर २ मा रहेको सानो नाम्फाका २९ घर, नाम्फासुकुलीको १६० घरधुरी, लिदीका १७० घरधुरी, सञ्चगाउँझुल्केका १०७ घरधुरी र निम्लुङबैगाडका २० घरधुरी जोखिममा रहेको भन्दै आवश्यक अध्ययन गरिदिन पत्र पठाएको थियो। लगत्तै जिल्ला प्रशासन कार्यालयले आन्तरिक मामिला तथा कानुन मन्त्रालय विपद व्यवस्थापन निर्देशक समितिलाई साउन २३ गते नै पत्र पठाएर अध्ययन गर्न अनुरोध गरेको थियो। सोही दिन प्रशासनले भू तथा जलाधार व्यवस्थापन कार्यालयल सिन्धुपाल्चोकलाई पनि पत्राचार गरेको थियो। प्रधानमन्त्री तथा मन्त्रिपरिषदको कार्यालय, सभामुखको सचिवालय, बागमती प्रदेशको मुख्यमन्त्री तथा मन्त्रिपरिषदको कार्यालय, राष्ट्रिय पुननिर्माण प्राधिकरण काठमाडौं, राष्ट्रिय पुननिर्माण प्राधिकरण जिल्ला कार्यालय सिन्धुपाल्चोक, विद्युत विकास विभाग काठमाडौं र बागमती प्रदेश सदस्य सुरेश नेपाललाई बोर्धाथ पठाएका थिए।"
