शीर्षक,विवरण
तमाम आमाबुवालाई हार्दिक शुभकामना,"भनिन्छ मातृदेवो भवः पितृदेवो भवः। अर्थात्, बुवाआमा देवतासमान हुन्। पूर्वीय संस्कार अंगालेको हाम्रोजस्तो देशमा अझ देख्न, छुन र अनुभूत गर्न सक्ने खास भगवान् मातापिता हुन्। जसले जन्माउँछन्, हुर्काउँछन्, पढाउँछन्, बढाउँछन् र जिन्दगीभरि पुग्ने सम्पत्तिको जन्मजात हकदार बनाइदिन्छन्। वास्तवमा उनीहरू इतिहासका साक्षी हुन्, सम्मानका हकदार हुन्। नेपालको सन्दर्भमा ज्येष्ठ नागरिकसम्बन्धी ऐन, २०६३ ले ६० वर्ष माथिका नागरिकलाई ज्येष्ठ नागरिक भनेको छ। यिनै उमेरसमूहका नागरिकले जीवनकालमा सँगालेका ज्ञान, सीप र अनुभव नयाँ पुस्ताका लागि मार्गदर्शन हुन्छन्। संयुक्त घरपरिवार प्रणालीमा चलेको हाम्रो समाजमा एउटै घरमा परिवारका धेरै सदस्य हुन्छन्। जहाँ ज्येष्ठ नागरिकहरूलाई उच्चसम्मान गरिन्छ। ज्येष्ठ नागरिककै सल्लाहमा परिवार चल्छ। उनीहरू पुज्य हुन्छन्। ज्येष्ठ नागरिकहरूलाई सम्पूर्ण भाषा, धर्म, संस्कृति र समुदायको अलौकिक तीर्थस्थल र मानव सभ्यताका प्रमाण एवं पुञ्जका रूपमा लिइन्छ। उनीहरूबाट लिन सक्ने ज्ञान अथाह हुन्छन्। तर, पछिल्ला दिनमा विकसित मुलुकका संस्कृति र मान्यताका प्रभावले नेपाली समाज र घरपरिवार अछुता छैनन्। वयस्क सदस्यहरू परिवारबाटै अलग भई छुट्टै बस्न रुचाउन थालेपछि संयुक्त परिवार विखण्डित हुन थालेका छन्। यस्तै संस्कार भित्रिँदा ज्येष्ठ नागरिकहरूसमेत एक्लो हुन थालेका छन्। परिवारमा अटाउने कतिपय बुवाआमा, हजुरबुवाहजुरआमा वृद्धाश्रम पुगेका छन्। घरबाट टाढा पारिँदैछन्। इतिहासको एउटा आश्रममा खुम्चँदैछन्। समाजमा विशिष्ट स्थान राख्ने ज्येष्ठ नागरिकका लागि मानव अधिकार पूर्ण रूपमा उपभोग गर्न नपाएको गुनासो बढ्दै छ। जुन यथार्थ हो पनि। नेपालको संविधानको धारा ४१ मा ज्येष्ठ नागरिकलाई राज्यबाट विशेष संरक्षण तथा सामाजिक सुरक्षाको हक हुनेछ भनी हक प्रत्याभूत गरिएको छ। पहिलोपटक नेपालको संविधानको मौलिक हकमा ज्येष्ठ नागरिकको हकलाई उल्लेख गर्दा ज्येष्ठ नागरिकका मानव अधिकार संरक्षणमा राज्यको सकारात्मक धारणा रहेको मान्न सकिन्छ। तर राज्यको विशेष संरक्षण तथा सामाजिक सुरक्षा भन्ने विषयमा स्पष्टता देखिँदैन। यसको कार्यान्वयनका लागि ज्येष्ठ नागरिकसम्बन्धी ऐन, २०६३, सामाजिक सुरक्षा ऐन, २०७५ र ज्येष्ठ नागरिकसम्बन्धी नियमावली, २०६५ छन्। ज्येष्ठ नागरिकसम्बन्धी ऐनले सामाजिक सुरक्षा गर्ने, उनीहरूमा रहेको ज्ञान, सीप, क्षमता र अनुभवको सदुपयोग गर्दै उनीहरूप्रति गर्ने श्रद्धालाई समेटेको छ। ऐन र नियमावलीले ज्येष्ठ नागरिकलाई धेरै सम्मान गरेको छ। तर, व्यवहारमा नभएको गुनासो उत्तिकै छ। नेपालको जनगणना २०६८ अनुसार ६० वर्ष वा सोभन्दा माथिका २१ लाख ५३ हजार ३ सय ३० जनसंख्या छन्। एक सय वर्ष र सो माथिका ३ हजार ५ सय ६६ नागरिक छन्। यो संख्याको बढोत्तरी बर्सेनि ३५ प्रतिशत छ। संयुक्त राष्ट्रसंघले ६० वर्षमा अवकाश लिने र त्यसपछिको उमेरलाई वृद्धका रूपमा मान्यता दिएको छ। विश्वका धेरै मुलुकले ज्येष्ठ नागरिकलाई उचित सम्मान दिएका छन्। वृद्ध अवस्थामा सुविधा दिएर घुम्न पठाउने, रमाइलो वातावरण बनाउने र स्वास्थ्य उपचारको सम्पूर्ण जिम्मा लिने गरेका छन्। तर, नेपालमा भने वृद्ध अवस्थामा पनि आफ्ना अधिकारका लागि लड्नु परेको छ। संविधानमा नै उल्लेख भएका र ऐनले दिएका अधिकार र सुविधाका लागि पनि आन्दोलन गर्नु परेको छ। ज्येष्ठ नागरिकसम्बन्धी ऐन, नियमावली, कार्यविधि बने पनि त्यसको प्रभावकारी कार्यान्वयन छैन। ऐन बनेको १५ वर्ष बित्यो। राज्यले उनीहरूप्रति दिनुपर्ने सेवा दिन ढिला भइसक्यो। अब ढिला गर्नु हुँदैन। ज्येष्ठ नागरिकको ज्येष्ठता कायमै राख्न सामाजिक रूपमा परिवारले आफ्नो भूमिका देखाउनुपर्छ। ज्येष्ठ नागरिक बोझ होइनन्, गौरव हुन्। भार होइनन्, हाम्रा भाग्य हुन्। अन्तर्राष्ट्रिय जेष्ठ नागरिक दिवसका अवसरमा सबै विशिष्ठ नागरिकलाई शुभकाना !"
सम्पत्तिले सन्तान नै पराइ,"काठमाडौं : मानिसले जीवनभर दुःखसुख गरेर आफ्ना सन्तान हुर्काउँछन्। तर, बुढेसकाल लागेपछि तिनै छोराछोरीले अंशको लोभमा आमाबाबुलाई पराइ बनाइदिन्छन्। अंशबण्डा गरेर सम्पत्ति हस्तान्तरण गरेपछि ज्येष्ठ नागरिकको बिचल्ली हुने गरेको छ। जीवनभर खेती किसानी गरेर छोरालाई डाक्टर बनाए पनि बुढेसकालमा सडकको बास भएको पशुपति विकास क्षेत्रमा भेटिएका एक ज्येष्ठ पुरुषले गुनासो गरे। छोराहरूलाई आफूले दुःख गरेर हुर्काएको, तर जागिर खाए थालेपछि आफूलाई नै हेला गरेर पशुपति क्षेत्रमा आउन बाध्य बनाएको सिन्धुलीका एक ज्येष्ठ नागरिकले बताए। सम्पत्ति बाडेपछि छोराछोरा हेला गर्नेदेखि घरबाट निकालेर असहाय बनाउने प्रवृत्ति समाजमा बढेको छ। समाजमा व्यक्तिवादी विचारधारा हाबी हुँदै गएको र पँुजीवादी अर्थव्यवस्थाले बढावा पाएकाले पनि समाजमा यस्ता प्रवृत्ति बढ्दै गएको समाजशास्त्री सम्राट शर्माले बताए। पश्चिमा देशमा बुढाबूढी भएपछि त्यसको जिम्मेवारी सबै सरकारले लिने हुँदा छोराछोरीलाई अपनत्व पनि नहुने गरेको पाइन्छ। पूर्वीय चिन्तन र परम्परालाई अँगाल्दै हुर्किएकाहरूले समूहमा बस्नुपर्छ भन्ने सोच हुने र आमाबाबु, आफन्तलगायतका सम्बन्धमा धेरै अप्नत्व हुन्छ। तर, पनि हिजोआज ग्लोबलाइजेसनले गर्दा समाजमा पुनर्गठन हुने चरणमा यस्ता समस्या देखा पर्ने गरेका उनले बताए। मानवशास्त्री डाडम्बर चेम्जोङले राज्य नीति कानुन र पितृसतात्मक सोचको उपजका कारण नै ज्येष्ठ नागरिकको समस्या समाजमा विद्यमान रहेको जनाए। ज्ञान, सोच, सामाजिक, ऐतिहासिक तथा विगतको जनजीवनको विषय पुस्तान्तरण हुनुपर्नेमा सम्पत्ति हस्तान्तरण हुने प्रवृत्ति नै गलत भएको उनको विश्लेषण छ। छोराछोरी बराबर भने पनि सम्पत्ति छोरालाई मात्रै हस्तान्तरण गर्ने परम्परा सयौं वर्षदेखि चल्दै आएको उनले औंल्याए। सरकारी नीति पनि पनि सम्पत्तिमै केन्द्रित हुँदै आएको छ, उनले भने। हिजोका दिनमा पनि धेरैले घर छोडेर आमाबाबुलाई तीर्थ लैजाने प्रचलन थियो भने आज आमाबाबुलाई वृद्धाश्रम पुर्याइने प्रवृत्ति बढेको उनले बताए। ज्येष्ठ नागरिकको नाममा भएको सम्पत्ति हड्प्ने प्रयत्न गरे कानुनले त्यसलाई दण्डनीय अपराधका रूपमा लिएको अधिवक्ता चिरन्जिवी खतिवडाले बताए। ज्येष्ठ नागरिकको संरक्षण र सामाजिक सुरक्षा गर्ने सम्बन्धमा व्यवस्था गर्न बनेको ऐन, ज्येष्ठ नागरिकसम्बन्धी ऐन, २०६३ले ज्येष्ठ नागरिकको संरक्षण र सामाजिक सुरक्षा गर्ने, निजहरूमा रहेको ज्ञान, सीप, क्षमता र अनुभवको सदुपयोग गरी निजहरूप्रति श्रद्धा, आदर तथा सद्भावको अभिवृद्धि गर्ने सम्वन्धमा तत्काल व्यवस्था गर्न वाञ्छनीय भएको उल्लेख गरेको छ। ज्येष्ठ नागरिकलाई आर्थिक हैसियत तथा इज्जत आमदअनुसार पालनपोषण तथा हेरचाह गर्नु परिवारको प्रत्येक सदस्यको कर्तव्य हुने पनि ऐनमा जनाइएको छ। त्यसैगरी ज्येष्ठ नागरिकले आफ्नो अंश लिई परिवारबाट अलग बसेको वा बस्न चाहेको अवस्थामा बाहेक निजले चाहेको परिवारको सदस्यले आफ्नो साथमा राखी पालनपोषण गर्नुपर्ने ऐनमा उल्लेख गरिएको छ। ऐनमा कसैले ज्येष्ठ नागरिकको इच्छाविपरीत निजलाई परिवारबाट अलग राख्न वा अलग बस्न बाध्य गराउनु नहुने बताइएको छ। प्रत्येक छोराछोरीले आमाबाबुलाई एकासगोलमा बसेको वा कानुनबमोजिम भिन्न भइसकेको जेसुकै भए तापनि आर्थिक तथा समाजिक हैसियतअनुसार आवश्यक हेरचाह, स्याहार सम्भार, औषधोपचार वा रेखदेख गर्नुपर्नेछ, मुलुकी देवानी संहितामा भनिएको छ। यही ऐनमा अपुतालीसम्बन्धी व्यवस्था पनि छ। जसले नजिकबाट ज्येष्ठ नागरिकको स्याहार सम्भार हेरचाह गर्छ उसले नै अपुताली हक पाउँछ। मालपोत, भूमिसुधार कार्यालयमा ज्येष्ठ नागरिकले सम्पत्तिको हक हस्ताक्षरण गर्दा क्रस चेक गर्नुपर्छ। यावत् कानुन व्यवस्था हुँदा हुँदै पनि कार्यान्वयनमा समस्या हुँदा ज्येष्ठ नागरिकले दुःख पाइरहेका अवस्था छ। महिला, बालबालिका तथा ज्येष्ठ नागरिक मन्त्रालयका उपसचिव निराजन घिमिरेले राजीखुसीले सम्पत्ति हस्तान्तरण गरेपछि समस्या परेको भन्दै उजुरी आउने गरेको बताए। स्वइच्छाले दिएको विषय हुन्छ, सम्पत्ति पाएपछि आफनै सन्तान छोडिने गरेका छन्, उनले भने । ज्येष्ठ नागरिकसम्बन्धी कानुन व्यवस्थाकै कारण वृद्धावृद्धा समस्यामा पर्दै आएकाले सम्पत्ति हस्तान्तरणको कानुनी व्यवस्थामा परिवर्तन गर्नुपर्ने उनको भनाइ छ। उपसचिव घिमिरेले आफैं यस विषयमा अध्ययन गरेर मन्त्रालयलाई सुझाव पनि दिएका छन्। छोराछोरालाई सम्पत्ति हस्तान्तरण गर्दा एक भाग भने आफूले राख्न पाउने व्यवस्था गर्नुपर्ने उनको सुझावमा छ। उनले ज्येष्ठ नागरिक विषयमा प्राथमिकता पनि नपर्ने गरेको बताए। उनले ज्येष्ठ नागरिकको संरक्षण, सम्मान र अनुभव अन्तर पुस्ता हस्तान्तरण विषयलाई हुनुपर्ने बताए। मन्त्रीको संयोजकत्मक केन्द्रीय ज्येष्ठ नागरिक कल्याण समिति छ तर त्यो पनि सक्रिय हुन सकेको छैन। यो समितिलाई सक्रिय बनाएर प्रदेश, जिल्ला, स्थानीय तहस्तरमा संरचना विस्तार गर्न सकेमा ज्येष्ठ नागरिक क्षेत्र धेरै काम हुनेछ। बिमाको अनिवार्य र निःशुल्क व्यवस्था गरेमा ज्येष्ठ नागरिकको संरक्षण हुन्छ। बिमा अनिवार्य गर्नुपर्छ। सामाजिक सुरक्षा भत्ता न्यून रहेकाले स्वास्थ्य समस्या हुँदा उपचारमा बिमाले सहयोग गर्नेछ। हवाई यातायातमा छुट दिँदैनन् यातायातमा ज्येष्ठ नागरिकलाई ५० प्रतिशतको छुटको व्यवस्था छ। तर, हवाई यातायातमा यो छुट उनीहरूले पाउँदैनन्। मन्त्रालय सूचना अधिकारीसमेत रहेका घिमिरेले सार्वजनिक यातायात र हवाई सेवा सबै छुट दिने व्यवस्था राज्यको भएको बताए। उनी आफैंले समेत हवाई सेवा छुट नपाएको गुनासो गरे। कार्यान्वयनमा सरकार जिम्मेवार हुन नसकेको उनी स्वीकार गर्छन्।"
प्रविधिसँग घुलमिल ज्येष्ठ पुस्ता,"काठमाडौं : विराटनगर मुनालपथकी ८१ वर्षीया मनमाया कोइरालासँग मोबाइल छ। छोराछोरी र नातिनातिनाहरूले फोन उठाउन सिकाएका छन्। घण्टी आएपछि मोबाइल फोन उठाउंँछिन्। तर, कसैलाई फोन गर्नुपर्यो भने डायल गर्न जान्दिनन्। उनले सामान्य शिक्षासमेत लिएकी छैनन्। त्यसैले अक्षर चिन्दिनन् तर पैसाको कारोबारमा भने खप्पिस छिन्। परिवारले राष्ट्रिय वाणिज्य बैंकमा खाता पनि खोलिदिएका छन्। वृद्धाभत्ता लिन बैंकमा खाता खोलिएको उनले बताइन्। आफूले केही जान्दिन। टाठोबाठो मान्छे नभए कागजात बनाउन सकिँदैन, उनले भनिन्, यसैले खाता खोल्न परिवारको सहायता लिएँ। उबेलामा घरकी एउटी छोरी, सबैकी प्यारी थिएँ। पढाउने चलन थिएन। ७ वर्षकै उमेरमा उनको विवाह भएको थियो। त्यसकारण घरव्यवहारमै सीमित भइन्। ५७ वर्षमा पति बिते, एकल जीवन बिताउनुपर्यो। त्यति बेला पतिले नागरिकता नबनाई दिएका कारण एकल भत्ता बुझ्न नपाएको उनले सुनाइन्। नागरिकता बनाउन गाउँका टाठाबाठाको सहायता लिएको बताउँछिन्। आफू निरक्षर भएपछि परनिर्भर हुनुपरेको उनको गुनासो छ। प्रौढ शिक्षा लिएपछि सामान्य अक्षर चिनेकी ७२ वर्षीया मोहनकुमारी बस्नेत भने केही हदसम्म मोबाइल चलाउन जान्छिन्। उनको घर अर्घाखाँची हो। हाल काठमाडौंमा बस्ने गरेकी छिन्। नातिहरूले उनको मोबाइलमा नेपाली अक्षरमा सम्पर्क नम्बर सेफ गरिदिएका छन्। नेपालीमा भएका सम्पर्क नम्बर हेरेर फोन गर्नसमेत सक्छिन्। तर, यसबाहेकका मोबाइल भित्रका अन्य काम भने गर्न नआउने बताउँछिन्। साधारण अक्षर चिन्ने भए पनि वृद्धाभत्ताका लागि बैंकमा खाता खोल्दा औंठाछापकै प्रयोग गरिन्। उनको खाताखोल्न बुहारीले सहयोग गरेकी थिइन। औंठाछापलाई एटीएम कार्ड नदिने भनेपछि हरेक त्रैमासमा बैंक नै धाउनुपर्ने उनले सुनाइन्। स्वास्थ्य बिमाको कार्ड उनले ३ वर्षअघि लिएकी थिइन्। उपचार गर्न अस्पताल जाँदा आवश्यक खर्च सोही कार्डबाट प्रयोग गर्ने गरेकी छन्। यसबाट राहत मिलेको उनले सुनाइन्। बिमा कार्ड थियो, तर मलाई सुविधा पाउने थाहा थिएन, उनले भनिन्, पछि बुहारीले भनेर उसैले सबै काम गरिदिई। आफूले नजानेपछि जानेकासँग सहयोग लिनैपर्यो। अधिकांश ज्येष्ठ नागरिक आधुनिक प्रविधिसँग परिचित छैनन्। तर, घुलमिल हुने प्रयत्न गरिरहेका छन्। केन्द्रीय तथ्यांक विभागले २०७८ मा ११ लाख १० हजार ज्येष्ठ नागरिक रहेको प्रक्षेपण गरेको छ। साक्षरभन्दा निरक्षरको दर बढी छ। विभागले २०६८ मा गरेको जनगणनाका आधारमा ६० वर्षदेखि ६४ वर्षसम्मका उमेर समूहको साक्षरदर २६२ प्रतिशत मात्रै छ। यस्तै, ६५ वर्षमाथिको साक्षरता दर २०८ प्रतिशत छ। यसबाहेक १० वर्ष अघिका उक्त उमेर समूहका व्यक्तिहरू अहिले ज्येष्ठ नागरिक बनिसकेका छन्। जनगणनालाई आधार मान्दा ज्येष्ठ नागरिकको औसत साक्षरतादर २३५ प्रतिशत देखिन्छ। बाँकी निरक्षर रहेको यसबाट पुष्टि हुन्छ। यसर्थ, निरक्षरको संख्या बढी भएकाले जतिसुकै नयाँ प्रविधि भित्रिए पनि उनीहरूले यसको सुविधा पाउन सकेका छैनन्। अहिले मोबाइल नहुने व्यक्ति कमै छन्। प्रायःज्येष्ठ नागरिकहरूले स्मार्ट फोनभन्दा साधारण मोबाइल प्रयोग गरेको पाइन्छ। विश्वले प्रविधिमा फड्को मारेको छ। नेपालमा पनि नयाँनयाँ प्रविधिका मोबाइल, कम्प्युटर लगायतका विद्युतीय सामग्रीहरू भित्रिएका छन्। ज्येष्ठ नागरिक भने आफ्ना पालामा त्यस्ता प्रविधि नभएकाले सामान्य रूपमै घुलमिल हुने कोसिसमा रहेको बताउँछन्।"
"जोसिला जोशी, भन्छन् चिन्तन गरौं, चिन्ता नगरौं","उहाँको दैनिकी पहिला जस्तै छ सेक्सपियरको नाटक एज यु लाइक इट (तपाईंलाई मन परेबमोजिम)ले मेरो मन अति नै छोएको छ। यसमा जीवन के हो भन्ने प्रश्न आउँछ। पात्रहरू संवाद गर्छन्। ज्येष्ठ नागरिकको जीवन शब्दचित्रमा उतार्छन्। सेक्सपियरले भन्नुभएको छ द वल्र्ड इज लाइक अ स्टेज। अर्थात्, संसार एउटा डबलीजस्तै हो। डबलीमा जति पनि मान्छे छन् उनीहरू आआफ्नो भूमिका निर्वाह गर्न आएका हुन्। जे काम गर्नुपर्ने हो त्यो सकेर आफ्नो ठाउँ फर्किनुपर्छ। डबलीमा भूमिका निर्वाह गरेर निस्किनु नै जीवन हो। हरेकले जीवनमा भूमिका सकियो भने फर्किएर जानुपर्छ। जीवन भनेकै डबलीभित्र पस्ने, भूमिका निर्वाह गरी निस्कने हो। तर, त्यसलाई टुक्राटुक्रा गरेर हेर्दा बालक, किशोर, जवानी हुँदै वृद्ध हुन्छन्। सेक्सपियरले जीवनलाई सात खण्डमा विभक्त गर्नुभएको छ। मान्छेले जसरी एउटा बालकका रूपमा जन्म लिएको हुन्छ, वृद्ध भएपछि ठीक बालकजस्तै हुन्छ भन्ने सन्देश दिनुभएको छ। उसको दाँत हुँदैन। कान भए पनि सुन्दैन। जिब्रोले स्वाद थाहा पाउँदैन। मान्छेले सात खण्डमा अभिनय गरेर जानुपर्छ। नेपाली साहित्यमा नाटककार बालकृष्ण सम मलाई असाध्यै मन पर्छ। उहाँको मुकुन्द इन्दिरा अत्यन्तै रोचक छ। उहाँले पनि जीवनलाई विभिन्न खण्डमा छुट्याउनुभएको छ। मुकुन्द इन्दिरामा भनेका छन् जब पुग्यो एक, भुइँमा खुटा टेकजब पुग्यो दुई, आ मेरो बुई यसैगरी भनेका छन् जब पुग्यो चालीस मनमा कुरा हालिस् जब पुग्यो पचास पेटमा बतास जब पुग्यो साठी हातमा लाठी जब पुग्यो नब्बे हब्बे न कब्बे जब पुग्यो सय यमराजको भए यो कविताजस्तै सुनिन्छ। यसलाई सवाई भनिन्छ। उहाँले नाटकमा उमेर बढ्दै जाँदा विभिन्न भूमिका र परिस्थिति पार गर्नुपर्छ भन्ने सन्देश दिनुभएको छ। ००० जुरेली चरीको जीवनदर्शनसबैले मलाई १ सय २ वर्ष पुगिसक्दा पनि बलियो भन्ठानेका छन्। म ठूलो भइन्जेल आमाको दूध खान्थेँ। त्यसैले मेरो शरीर बलियो भएको हुन सक्छ। जेठो छोरो भएकाले अलिकति रुनेबित्तिकै आमाले दूध चुसाइहाल्नु हुन्थ्यो। आमाको दूध निकै पोसिलो हुन्छ। त्यसैले काम गरेको हुन सक्छ। म सधैंभरि गाईको ताजा दूध पनि एक मुठी खार्ने गर्थें। हाल कोरोनाले गर्दा टुटेको छ। अरू खाना सामान्य नै हो। दालभात, तरकारी, कहिलेकाहीँ मासु खाने हो। अरू ज्येष्ठ नागरिकलाई जीवनप्रति गुनासा होलान्। तर, म कहिल्यै गुनासो गर्दिनँ। चिन्तनमनन गर्नुपर्छ, चिन्ता गर्नु हुँदैन। भोलि के होला भनेर पीर लिनु हुँदैन। अरूले के भन्लान् ? चामल छ कि छैन ? यावत् कुराको चिन्ता लिनु हुँदैन। जिन्दगीलाई सरल ढंगमा अगाडि बढ्न दिनुपर्छ। मलाई जुरेली चरीको जीवनदर्शन खुब मन पर्छ। उसलाई भोलिको वास्ता छैन। कहाँ जाऊँ, के खाऊँ भन्ने तनाव छैन। जे पाइन्छ त्यसमै सन्तोष मान्नुपर्छ। सादा जीवन र उच्च विचार हुनुपर्छ। लोकगीत तथा लोकभाकाको अध्ययन रुचाउने भएकाले यसै सिलसिलामा मैले जुरेलीको गीत रचना गरेको थिएँ। के खायो, के लायो होला मेरो माया रेलीमाई जुरेली चरीले। मान्छे सधैं दौडधुप, लोभलालच, चिन्तामा हुन्छ। फलानाले यस्तो गयो उस्तो गयो भन्छ। मेरो केही भएन भन्छ। तर, चराले जस्तै आनन्दको जिन्दगी जिउन जान्नुपर्छ। जुरेलीले कहाँ चिन्ता लिन्छ ? प्रसिद्ध कवि जोन किड्सले जुरेलीबारे कविता लेख्नुभएको छ। तिमी जीवन्त छांै। तिमीलाई मृत्युवरण गर्न आमाले जन्माएको होइन। गीत गाउँदै आनन्द लिन्छौं भन्दै तारिफ गर्नुभएको छ। मलाई पनि जुरेली दर्शन मन पयो। नचाहिँदो चिन्ता किन लिने ? निस्फिक्री तनावमुक्त हुनुपर्छ। सन्तोषम् परम सुखम। असन्तुष्टि सदा दुखी। ००० उमेरले नदिएपछि के गर्ने ? राज्यले मलाई सबै कुरा दिएको छ। १० रुपैयाँ जाने हुलाक टिकट निकालिदिएको छ। २५ सय जाने चाँदीको सिक्का निकालिदिएको छ। सय र हजार जाने सिक्का पनि छ। तक्मा पनि उपलब्ध गराएको छ। योभन्दा बढी मलाई केही चाहिन्न। कहीँ असन्तोष र गुनासो छैन। स्वास्थ्य अलिकति बिग्रिएको हो। त्यसैले अस्पताल गएर आएको हुँ। म किस्ट अस्पताल जाने गरेको छु। मैले त्यहाँ अंगदान गर्ने घोषणा पनि गरेको छु। किस्ट अस्पतालले दैनिक रूपमा मेरो स्वास्थ्य स्थितिबारे बुभ्दै आएको छ। बेलाबेला अस्पतालमै बोलाउँछ। अस्पतालमा चिकित्साशास्त्र पढिरहेका भाइबहिनीले मेरो शरीरका बारेमा अध्ययन गर्न पनि चाहेका छन्। एक दिन मर्नु परिहाल्छ। धर्म, संस्कृतिलाई विश्वास गरे पनि मेरो फोक्सो, आँखा, मिर्गौला काम लाग्न सक्छ। खरानी हुनुभन्दा कसैलाई प्रत्यारोपण गरोस् भनेर अंगदान गर्ने निधो गरेँ। मेरो दिनचर्या सामान्य भइरहेको छ। पढ्न धेरै सक्दिनँ। पढ्दा, लेख्दा मुन्टोको नशा दुख्छ। तापनि कहिलेकाहीँ पढ्छु। उमेरले नदिएपछि के गर्ने ? बेलाबेला कार्यक्रममा पनि उपस्थित हुन्छु। ००० आउनेहरू सबैलाई भेट्नुहुन्छ : राधादेवी जोशीउहाँ (सत्यमोहन जोशी)को दैनिकी पहिला जस्तो थियो अहिले पनि उस्तै छ। उहाँलाई भेट्न आउनेको धेरै चाप हुन्थ्यो। अहिले पनि हुन्छ। आज पनि तीनचार समूह मान्छे बिहानैदेखि आइसके। कोही बिहान मुख नधुँदै आउँछन्। आउनेहरूलाई सबैलाई भेट्नुहुन्छ। जति बेला पनि फोन आउँछ। सबैसँग कुरा गर्नुुहुन्छ। उहाँ जहिल्यै व्यस्त भएकाले मचाहिँ बोल्नै पाउँदिनँ। सधंै व्यस्त हुँदा कहिलेकाहीँ दिक्क लाग्थ्यो। तर, उहाँको जीवनशैली जस्तो भए पनि त्यसमै रमाएँ। कहिल्यै झगडा परेन। एकले अर्कालाई सहयोग नै गरिरह्यौं। अहिले पनि राति १०११ बजेसम्म पढेर बस्नुहुन्छ। बिहान ४ बजे नै उठेर रेडियो बजाएर खबर सुन्नुहुन्छ। मैले पढाइ, लेखाइ जानिनँ। त्यसैले फुर्सदको समय सदुपयोग गर्दै जजंका (पूजाआजालाई आवश्यक सामग्री) बनाउन थालेँ। यो सबै धागोबाट बनाउने हो। पहिला नेपाली बोल्न आउँदैनथ्यो। उहाँलाई भेट्न आउनेहरूसँग नेपाली बोल्ने भएको छु। थाइराइडको अप्रेसन गरेकी छु। खुट्टामा समस्या छ। उभिन सक्दिनँ। केही समातेर मात्र एकछिन उभिन सक्छु। हिजो पनि झन्डै लडेँ। निल्न गाह्रो भएको छ। गुलियो मन पराउँछु। उहाँ एक दिन बिराएर खसीको मासु खान रुचाउनुहुन्छ। आजकल कोही भएन भने उहाँ भान्सामा पसेर पकाउनु पनि हुन्छ। तर, एक जना सघाउने बहिनी घरैमा बस्नुभएको छ। कोरोनाका बेला नआउनु भनेका थियाँै। त्यति बेला कहिलेकाहीँ उहाँले पकाउनु पनि हुन्थ्यो। घरमा एक जना नर्स हुनुहुन्थ्यो। उहाँलाई पनि नआउनु भनेकाले आउनुभएको छैन। उहाँ अरूलाई दुःख दिनु हुँदैन भन्नुहुन्छ। आमाहरूले हाम्रो विवाह पक्का गरिदिनुभएको थियो। त्यति बेला म १३ वर्षकी थिएँ। मेरो उमेर ९० सालमा १० वर्ष पूरा भएको थियो रे ! १४ वर्षमा छिन्नमस्ताबाट विवाह गरेर यहाँ आएकी हुँ। हाम्रो गुफाभन्दा अगाडि ईही गर्नुपर्छ। १७ वर्षमा गुफा राखेको थियो दिदीसँगै। गुफाबाट निस्कँदा उहाँले सिन्दुर राखेपछि हामी पहिलो पटक बोलेका थियौं। श्रीमान्श्रीमती धेरै बोलेको त्यो बेला राम्रो मान्दैनथे। त्यसैले कम बोल्थ्यौं। उसै पनि बोल्न लाज मान्थ्यौं। १९ वर्षमा हाम्रो पहिलो सन्तान छोरी जन्मिइन्। जब छोरी रोइन् तब मात्रै धेरै बोलचाल हुन थाल्यो। बच्चा रोए पनि कहिल्यै बोक्नुभएन। उहाँका भाइबहिनी, आमाले बच्चा हेर्न सघाउनु हुन्थ्यो। बच्चा रोयो लिन आऊ मात्रै भन्नुहुन्थ्यो। उहाँ खालि पढ्ने अनि बाहिर जाने मात्रै गर्नुहुन्थ्यो। घरमै लाइब्रेरी राखेर पढ्नुहुन्थ्यो। साथीहरूसँग कलेज जाने, यताउता जाने गर्नुहुन्थ्यो। खालि किताब हेर्ने। तस्बिरहरू : सुनिता डंगोल (१०२ वर्षीय संस्कृतिविद् जोशी र उनकी श्रीमती राधादेवीसँग ज्येष्ठ नागरिक दिवसका अवसरमा अन्नपूर्णकर्मी नितु घलेले गरेको कुराकानीमा आधारित)"
