शीर्षक,विवरण
दसैंले राष्ट्रिय एकताको भावना अझ विकास गर्न सकोस् : प्रधानमन्त्री देउवा,"काठमाडौं : प्रधानमन्त्री शेरबहादुर देउवाले दसैंले राष्ट्रिय एकताको भावना विकास गर्न सहयोग गर्ने विश्वास व्यक्त गरेका छन्। विजया दशमीको शुभकामना दिँदै उनले दसैं जस्ता चाडपर्वले राष्ट्रिय एकताको भावनालाई अझ विकास गर्न सकोस् भन्ने चाहना राखेका हुन्। बडा दशैं लगायतका हाम्रा सांस्कृतिक पर्वहरुले नेपाली समाज र मानव जीवनमा भातृत्व, भावनात्मक एकता र राष्ट्रिय गौरवका निम्ति विशिष्ट योगदान पुऱ्याउँदै आएका छन्, उनले भनेका छन्, यस पर्वले सम्पूर्ण नेपालीहरूको मुहारमा खुसी ल्याउन सकोस् र राष्ट्रिय एकताको भावना अझ विकास गर्न सकोस् भन्ने कामना गर्दै विजयादशमीको हार्दिक शुभकामना व्यक्त गर्दछु। उनले विविधताकाबीच एकता नेपालीहरूको पहिचान भएको भन्दै सम्पूर्ण जाति, भाषा, धर्म, संस्कृति र सभ्यताहरुको संरक्षण र विकास गर्नु साझा दायित्व रहेको बताएका छन्। प्रधानमन्त्री देउवाले कोभिड १९ को जोखिम कायमै रहेकाले स्वास्थ्य मापदण्ड पालना गरी दसैं मनाउन समेत आग्रह गरेका छन्।"
बडादसैंले नयाँ उत्साह र सकारात्मक ऊर्जा थप्नेछ : राष्ट्रपति भण्डारी,"काठमाडौं : राष्ट्रपति विद्यादेवी भण्डारीले बडादसैंले सम्पूर्णमा नयाँ उत्सा, उमङ्ग र सकारात्मक ऊर्जा थप्ने विश्वास व्यक्त गरेकी छिन्। शुक्रबार दसैंको शुभकामना सन्देश दिँदै उनले दसैंले सम्पूर्ण नेपालीमा नयाँ उत्साह प्रदान गर्ने विश्वास व्यक्त गरेकी हुन्। शुभकामना सन्देशमा उनले कोभिड १९ महामारीको जोखिम कायमै रहेको भन्दै सरकारले लागू गरेका स्वास्थ्य मापदण्ड पालना गरेर दसैं मनाउन आग्रह समेत गरेकी छिन्। बडादसैं पर्व, २०७८ ले हामी सबैमा नयाँ उत्साह, उमङ्ग र सकारात्मक ऊर्जा थप्ने विश्वास छ, शुभकामना सन्देशमा राष्ट्रपति भण्डारीले भनेकी छिन्, कोभिड१९ महामारीको संक्रमण्बाट जोगिन नेपाल सरकारले लागू गरेको जनस्वास्थ्यका मापदण्डहरूको पालना गर्दै होसियारीपूर्वक दसैं मनाउनका लागि सबैमा आग्रह गर्दछु। राष्ट्रपति भण्डारीले दसैं नकारात्मक प्रवृत्तिका विरुद्धमा सकारात्मक प्रवृत्तिले विजय हासिल गरेको खुसीयालीमा मनाइने बताउँदै यो कृषिसँग पनि सम्बन्धीत रहेको बताएकी छिन्। उनले वर्षाको हिलोमैलो पछि सुरम्य शरद् ऋतुमा मनाइने दसैं पर्व शक्तिको उपासना, कृषि औजार तथा हतियारको पूजा गरी मनाइने नेपालीहरूको मौलिक सांस्कृतिक चाड भएको बताएकी छिन्। यस्तै राष्ट्रपति भण्डारीले दसैंलगायतका नेपाली समाजको मौलिक पहिचानका रूपमा रहेका चाडपर्वले राष्ट्रिय एकता सुदृढ गर्न थप मद्दत पुग्ने विश्वास व्यक्त गरेकी छिन्।"
अमेरिकी राजदूत बेरीले लगाए दसैंको टीका,काठमाडौं : नेपालका लागि अमेरिकी राजदूत रेन्डी बेरीले दसैंको टीका ग्रहण गरेका छन्। उनले महाराजगञ्जस्थित अमेरिकी दूतावासमा टीका ग्रहण गरेका हुन्। राजदूत बेरीले दूतावासमा मान्यजनबाट टीका तथा जमरा ग्रहण गरेको तस्बिर सामाजिक सञ्जाल फेसबुकमा राखेका छन्। आफूले टीका ग्रहण गरेपछि उनले बालबालिका तथा अन्य व्यक्तिलाई पनि टीका लगाइदिएका छन्। नेपाल पञ्चाङ्ग निर्णायक समितिका अनुसार दसैंको टीका लगाउने उत्तम साइत बिहान १० बजेर २ मिनेटमा रहेको थियो। तर साइत नकुर्नेहरूले भने बिहानैदेखि टीका लगाइरहेका छन्। नवरात्रको पहिलो दिन घटस्थापनादेखि सुरु हुने दसैंको आज विशेष तथा प्रमुख दिन हो। आज मान्यजनबाट आशीर्वादसहित टीका तथा जमरा लगाउने चलन रहेको छ। टीका कोजग्रत पूर्णिमासम्म लगाउने चलन रहेको छ।
प्रधानमन्त्रीबाट मन्त्री तथा उच्च अधिकारीले लगाए दसैं टीका,"काठमाडौं : प्रधानमन्त्री शेरबहादुर देउवासँग मन्त्री तथा उच्च सरकारी अधिकारीले विजयादशमीको अवसरमा टीका ग्रहण गरेका छन् । प्रधानमन्त्री निवास बालुवाटारमा प्रधानमन्त्रीबाट गृहमन्त्री बालकृष्ण खाँण र सञ्चार तथा सूचना प्रविधिमन्त्री ज्ञानेन्द्रबहादुर कार्कीले विजयादशमीको टीका लगाएका हुन्। मुमाको हातबाट शुभसाइतको टीका लगाएपछि प्रधानमन्त्रीबाट टीका ग्रहण गरेको सञ्चारमन्त्री कार्कीले बताए। त्यस्तै प्रधान सेनापति प्रभुराम शर्मा, महान्यायाधिवक्ता खम्मबहादुर खाती र नेपाल सरकारका तीनवटै सुरक्षा निकायका प्रमुखले प्रधानमन्त्रीबाट टीका लगाएका छन्। कोभिड१९ महामारीको जोखिमलाई मध्यनजर गरी आवश्यक स्वास्थ्य सावधानी अपनाएर मन्त्री निवासमा सीमित सङ्ख्याको उपस्थितिमा टीका लगाइएको हो।प्रधानमन्त्री शेरबहादुर देउवाबाट दशैंको टीका तथा जमरा ग्रहणपछि सञ्चार तथा सूचना प्रविधिमन्त्री ज्ञानेन्द्रबाहदुर कार्की।"
लोप हुँदै पिङ संस्कृति,"दमौली : वर्षमा एकदिन धर्ती छाड्नुपर्छ भन्ने मान्यता छ । गाउँघरमा वर्षमा एक पटक भएपनि दसैँमा टीका लगाएपछि पिङ खेलेर जमिन छाड्नुपर्छ भन्ने चलन कायमै छ । विशेषगरी दसैंको बेलामा पिङको छुट्टै महत्व हुन्छ । विगतका वर्षहरुमा दमौली सदरमुकाममा पनि पिङ हाल्ने प्रचलन थियो । दसैँ मनाउन गाउँ गएकाहरुले पनि गाउँमा पिङ हालेर रमाइलो गर्दथे । तर विस्तारै पिङ हाल्ने प्रचलन हराउँदै गएको छ । आजभोलि ग्रामीण भेगमा पनि निकै कमै मात्र पिङ देख्न सकिन्छ । पहिला पहिला दसैँ आउनु अगावै पिङ हालेर रमाइलो हुने भएपनि आजभोलि त्यस्तो प्रचलन हराउँदै आएको व्यास नगरपालिका५ का राजकुमार श्रेष्ठले बताए। 'दसैँमा पिङ खेल्ने, रमाउने परम्परा हराउँदै गयो, आधुनिकताका कारण यी सबै इतिहासमा सीमित हुने हो की भन्ने चिन्ता छ,' उनले भने, 'आजभोलि त पिङ पनि देख्न छाडियो ।' भिमाद नगरपालिका९ का शिवकुमार आलेले गाउँघरमा पिङ हाल्ने प्रचलन घट्दै गएको बताए । विगतका वर्षहरुमा प्रत्येक गाउँमा पिङ देख्ने गरिएपनि आजभोलि फाट्टफुट्ट मात्रै पिङ देखिने उनले बताए। 'पहिला पहिला जताततै पिङ देखिन्थ्यो, पिङ खेल्न पालो कुर्नुपथ्र्यो, आजभोलि विस्तारै घट्दै छ,' उनले भने। यस वर्ष भने दसैँमा गाउँघरमा मानिसको चहलपहल बढेको उनले बताए । 'यो वर्ष खोप लगाएको हुनाले सहर सुनसान, गाउँ रमाइलो भएको छ,' उनले भने, 'दसैँ मान्न सहरबाट गाउँ फर्किनेको चहलपहल राम्रो छ ।' व्यास नगरपालिकाले विगत दुई वर्षमा खुल्लामैदानमा रोटे पिङ हालेको थियो । गत वर्ष कोरोना कहरका कारण पिङ हालिएन । रोटे पिङ संरक्षणका लागि व्यासले ३१ वर्षपछि दमौलीमा उक्त पिङ हालेको थियो । तर यस वर्ष दमौलीमा पिङ देखिएको छैन । केही ठाउँमा भने संस्कृति र परम्पराका लागि भन्दै स्थानीयवासीले पिङ हालेका छन् । बन्दिपुरस्थित टुँडिखेलमा स्थानीय व्यवसायीले पिङ हालेको होटल व्यवसायी किसान प्रधानले जानकारी दिए। 'दसैँमा पिङ खेल्ने परम्परालाई बचाउन यो वर्ष टुँडिखेलमा पिङ बनाएका छौं, 'प्रधानले भने। व्यास नगरपालिका५ भुपटोलका कृष्णकुमार श्रेष्ठले पनि व्यक्तिगत लगानीमा पिङ निर्माण गर्नुएको छ । पछिल्लो समय लोप हुँदै गएको पिङको संरक्षण र यसको महत्वलाई उजागर गर्नका लागि व्यक्तिगत लगानीमा पिङ हालेको उनले जानकारी दिए। 'आधुनिकतासँगै यस्तो पिङ आजभोलि देख्न पाइँदैन, यसको संरक्षणका लागि पनि पिङ बनाएको हूँ,' उनले भने। पिङ निर्माणका लागि डेढ लाख खर्च भएको छ । नेपालीहरुको महान चाडमा चङ्खे पिङ हालेर संस्कृतिको जगेर्ना गर्न महत्वपूर्ण भूमिका खेलेको स्थानीयवासी प्रेमकुमार श्रेष्ठले बताए। रासस"
मधेशी समुदायमा दसैं रौनक,"महोत्तरी : पहिलेपहिले दसैंको टिकालाई मधेशी समुदायले खासै वास्ता गर्दैन्थ्यो । पहाडी समुदायमा रौनकता देखिएपछि मधेशी समुदायमा खासै यसको आकर्षण हुदैन्थ्यो । मधेशी समुदायले विजयादशमीको दिन माता देवी भवानीको माटोको मूर्ति सेलाउने कार्यमा व्यस्त हुन्थ्यो । एकातिर पहाडी समुदायमा दसैंको हर्षोल्लासमय वातावरण रहन्थ्यो भने मधेशी समुदायले मूर्ति सेलाउनमै सिमित हुन्थ्यो । तर, पछिल्लो समयमा समुदाय नै परिवर्तनतर्फ लम्किएको छ । कोरोनाको कहरबाट पिल्सिएका समुदायमा विजयादशमीको रौनकता बिहानैदेखि छाएको छ । मधेशी र पहाडी समुदायले यसपर्वलाई साझा पर्वको संज्ञा दिएका छन् । मधेशी समुदाय पनि शुक्रबार परम्परागत रुपमा टीका, जमरा लगाइरहेका छन्। यहाँका मधेशी समुदायमा विजयादशमीको रौनकता छाएको छ । मधेशी समुदायले मात्रै मनाउँदै आएको छठपर्व पहाडी समुदायमा समेत मनाउन थाल्नु र पहाडी समुदायले मनाउने दसैं पर्व मधेशीले मनाउनु नै एकताको सन्देश दिएको सहकारी अभियानकर्मी रामचन्द्र सिंह कुशवाहाले बताए । उनले भने, मधेशको संस्कृति पहाडमा र पहाडको संस्कृति तराईमा विस्तार हुनु नै राष्ट्रिय एकता र भाइचारामा वृद्धि हुनु हो । यस पहिचानलाई फराकिलो गर्दै टिका ग्रहण तथा मान्यजनबाट आर्शिवाद लिने परम्परा क्रमिक रुपमा मधेशमा बढ्दै गएको छ । तराई मधेशमा नौरथा (नवरात्री) को पनि अलग्गै विशेषता रहेको छ भने मनाउने तरिका पनि आफ्नै छन्। अष्टमी र नवमीको आआफ्नै विशेषता छ । पहाडमा मनाउने दसैं उत्सव र चाडपर्वको हिसाबले पहाडी समुदायले मनाउने गर्दछ । त्यस्तै, मधेशमा निराहार ब्रत बसेर अष्टमी पर्व मनाउने गरिन्छ । यता महानवमीका दिन फलाहार गरेर कपाल नकाट्ने, अनुहार नहेर्ने, नङ नकाट्ने निराहार बसेर दुर्गा माताको पूजा गर्ने गर्दछन् भने मधेसमा मन्दिरमा ढोग गर्ने जईलाई धारण गर्ने गरिन्थ्यो । अहिले दुवै समुदायले एक अर्काको घरमा पुगेर दसैं टिका थाप्ने गरेका छन् । यसरी शान्ति र सद्भावको सन्देश बोकेर आउने दसैं पर्वले सम्पूर्ण हिन्दु नेपालीहरुमा साच्चिकै शान्तिको अनुभुति दिलाउने गर्दछ । कोरोना महामारीको दुईवर्ष पछि यसवर्ष आफन्तबाट टाढाटाढा बसेका परिवारका सदस्यहरु आआफ्नो जन्मस्थल आएका छन् । उनीहरु अहिले आफन्तसँग भेट् गर्ने तथा मान्यजनबाट टीका र जमरा प्रसादको रुपमा आशिरवादस्वरुप ग्रहण गरिरहेका छन्।"
सुदूरपश्चिमका किसानलाई दसैंले छोएन,"बैतडी : धान भित्र्याउने समयमै दसैं सुरु भएपछि सुदूरपश्चिमका किसान खेतबारीमै व्यस्त छन् । धान, मकै र अन्य तरकारीबाली भित्र्याउनका लागि किसान खेतबारीमा नै व्यस्त हुनुपरेको स्थानीयवासीको भनाइ छ । वर्षदिनमा एकपटक मात्रै आउने दसैं मनाउन घर फर्किएकाले आफन्तसँग भेटघाटमा रमाइरहेका छन् । तर सुदूरपश्चिम प्रदेशका किसानलाई भने दसैं लागेको अनुभूति हुन सकेको छैन् । बडादसैँको खुशी र उमङ्ग सबैतिर छाइरहँदा यतिबेला यहाँका किसान खेतबारीमै देखिन्छन् । बर्खेबाली भित्र्याउन चटारो भएकाले यस प्रदेशका किसान अहिले खेतबारी मै व्यस्त देखिन्छन् । बिहान सबेरै खेतबारी तथा खरफागला पुग्ने यहाँका किसान साँझ अबेर मात्रै घर पुग्ने गर्दछन् । दसैंभन्दा पनि यहाँका किसानलाई बर्खेबाली भित्र्याउन तथा खर काट्नमै व्यस्त रहेका बैतडीको दोगडाकेदार गाउँपालिका३ श्रीकोटका हेमराज गिरीले बताए । 'मकै र धानबाली भित्र्याएको, आजभोलि भटमास, सोइटालगायत दलहन बाली भित्र्याउन लागिएको छ,' उनले भने, 'महिला भने खर काट्नमै व्यस्त छन् ।' कैलाली र कञ्चनपुरका किसानलाई पनि आजभोलि धान भित्र्याउनमै दिन जाने गरेको छ । दसैंभन्दा पनि उनीहरुलाई बालीनाली भित्र्याउनमै दिन जान गरेको छ । उनीहरुका लागि खेतमै दसैं छ । लगातारको वर्षाका कारण यसअघि पाकेको धान भित्र्याउन नपाएकाले हालसम्म मौसमले साथ दिएको कञ्चनपुर वेदकोटका किसान मोहन विष्टले जानकारी दिए। 'मेहनत गरेर पलाएको धानबाली भित्र्याउन नपाउने भन्ने चिन्ता थियो, मौसमले आजभोलि साथ दिएको छ,' उनले भने, 'दसैंभन्दा पनि किसानका लागि खेतमा लगाएको बाली भित्र्याउने मुख्य प्राथमिकता छ ।' वर्षदिनमा एकपटक आउने चाडमा रमाइलो गरि मनाउन रहर भएर पनि फुर्सद नपाउँदा खेतमै अधिकांश समय जाने गरेको किसानको भनाइ छ । यो समय यहाँका किसान बढी व्यस्त हुने भएकाले दसैं खासै मनाउन पाउँदैनन् । बर्खेबाली भित्र्याउने र हिउँदे बाली छर्ने समय रहेकाले यहाँका किसानलाई दसैंतिहार मनाउनभन्दा पनि खेतबारीमै बढी व्यस्त हुन्छन् । सुदूरपहाडका महिलाहरु भने यो समय बढीजसो खरफागला काट्नमै व्यस्त हुने गरेका बैतडीका केशरी भट्टले बताए । उनले भने, 'यो समय भनेको कामको चटारो हुने हो, महिला भने बिहान उज्यालो नहुँदै खरफागला पुन्ने गर्छन, राति अबेर मात्रै घर पुग्छन् ।' त्यसैले होला, दिनभरि काममा व्यस्त हुने किसानलाई दसैंले छोएको छैन् । उनले भने, 'खाना खाने फुर्सद समेत नहुने किसानलाई दसैंको रमाइलोबारे थाहा नै हुँदैन, दसैंभन्दा पनि काम सक्यान मै ध्यान बढी हुन्छ, त्यसमै सन्तुष्ट हुनुपर्छ ।' तराईका किसानको मुख्य आम्दानीका स्रोतका रूपमा धानबाली रहेकाले दसैं मनाउनेभन्दा पनि धेरै समय खेतमै हुन्छ । यो प्रदेशअन्तर्गत तराईका दुई जिल्ला कैलाली र कञ्चनपुरमा उत्पादन हुने धान पहाडका सात जिल्लामा आपूर्ति हुने गरेको छ । सुदूरपश्चिम प्रदेशमा कूल एक लाख ८१ हजार ३९६ हेक्टर जग्गामा बर्खे धान खेती हुने गरेको कृषि विकास निर्देशनालयले जनाएको छ । सबैभन्दा बढी तराईको जिल्ला कैलालीमा ७२ हजार ५०० हेक्टर र कञ्चनपुरमा ४८ हजार ४९० हेक्टर जग्गामा धान खेती हुने गरेको छ । यस्तै पहाडी क्षेत्रका डोटी, डडेल्धुरा, बाजुरा, बैतडी, बझाङ, दार्चुला र डडेलधुरा जिल्लामा गरी झण्डै ६० हजार ४०६ हेक्टरमा धान खेती हुने गरेको छ । यो प्रदेशमा बर्खे धानको वार्षिक उत्पादन पाँच लाख ८६ हजार ३५३ मेट्रिक टन हुन्छ ।रासस"
तालबाराहीमा भक्तजनको भीड,पोखरा : फेवाताल बीचमा रहेको तालबाराही मन्दिरको दर्शनका लागि डुंगा सयर गरेर जाँदै भक्तजन । विजयादशमीको अवसरमा शुक्रबार बिहानैदेखि तालबाराहीको दर्शन गर्न भक्तजनको भीड लागेको छ।
"आज विजया दशमी, टीका लगाउने उत्तम साइत १० बजेर २ मिनेटमा",काठमाडौं : आज बडादसैंको दसौँ दिन अर्थात् टीकाको दिन हो। यो दसैंको प्रमुख दिन पनि हो। आज मान्यजनबाट टीका र जमरा थापेर दसैं मनाइन्छ। नेपाल पञ्चाङ्ग निर्णायक समितिका अनुसार साइत हेर्नेहरूका लागि घटस्थापनाका दिनदेखि पूजा आराधना गरिने देवीलाई बिहान ८ः१९ बजे विसर्जन गरिने साइत छ। त्यस्तै टीकाको उत्तम साइत १०ः०२ बजे रहेको छ। टीका लगाउने मानिस पूर्व फर्कनुपर्ने समितिले जनाएको छ। आजको दिनदेखि कोजग्रत पूर्णिमासम्म दुर्गा भवानीको प्रसाद लगाउन सकिन्छ। किम्बदन्तीअनुसार दशमीकै दिन दुर्गा भवानीले दानवी शक्तिमाथि तथा रामले रावणमाथि विजय हासिल गरेका थिए। सत्यले असत्यमाथि विजय पाएका कारण यस दिनलाई विजया दशमी भनिएको बताइन्छ।
दुर्लभ सानो खैरो गिद्धको अनुसन्धान,"कञ्चनपुर : शुक्लाफाँटा राष्ट्रिय निकुञ्ज र वरपरका क्षेत्रमा रहेका विश्वमै दुर्लभ मानिएको सानो खैरो गिद्धको अनुसन्धान गरिएको छ। शुक्लाफाँटा नगरपालिका३ मा आएको विदेशी अनुसन्धान टोलीले दुई दिन गिद्धको अवस्थाबारे अनुसन्धान गरेको हो। जर्मनका ट्रोस्टेन प्रोहेल र क्याट्रिन प्रोहेलसहित सौराहास्थित चितवन राष्ट्रिय निकुञ्जका नेचर गाईड यमनारायण महतोको टोलीले उक्त गिद्धको बासस्थान, आहारा र सङ्ख्याबारे अनुसन्धान गरी बिहीबार फर्किएको शुक्लाफाँटाका नेचर गाइड सुमन चौधरीले जानकारी दिए। अनुसन्धानकर्ता विदेशी पाहुनाको टोली खयरकन्द्रा सामुदायिक घरवास (होमस्टे)मा दुई दिन बसेर निकुञ्जको मध्यवर्ती क्षेत्रमा अनुसन्धान गरी फर्किएको छ उनले भने, शुक्लाफाँटा राष्ट्रिय निकुञ्ज र त्यसको वरपरका सामुदायिक वनमा सानो खैरो गिद्धको बासस्थान छ। सुरुका दिनमै सानो खैरो गिद्ध देख्न पाएपछि उत्साहित भएका उनीहरूले यसको संरक्षणका लागि सम्बद्ध पक्षले चासो दिनुपर्ने बताएको नेचर गाईड चौधरीले बताए। अनुसन्धानकर्ताले निकुञ्जको मध्यवर्ती क्षेत्रमा प्रकृति, पन्छी र मानवबीच घनिष्ट सम्बन्ध रहेको र यस्तो सम्बन्ध नेपालभरको बसाईमा अन्त देख्न नपाएको बताएका थिए। उक्त टोलीले चितवन राष्ट्रिय निकुञ्ज, लुम्बिनी, दाङ, बर्दिया, कैलाली, कञ्चनपुरलगायत नेपालको हिमाली क्षेत्र मध्यपोखरा र मुस्ताङसम्म पुगेर पनि अनुसन्धान गर्ने बताइएको छ। उक्त गिद्ध नेपाललगायत दक्षिणपूर्वी एसियामा पाइने गरेको छ। यस प्रजातिका गिद्ध ३५० मिटरदेखि एक हजार ५२५ मिटरसम्मको उचाइमा पाइने गर्दछ।"
