शीर्षक,विवरण
"माधव नेपालका यी मन्त्री, जसले पदबाट हटाएको दुई दिनपछि थाहा पाए","धनगढी : सुदूरपश्चिम प्रदेशमा मन्त्रिपरिषद् हेरफेर भएको आज तीन दिन पुगेको छ। सत्तारुढ नेपाली कांग्रेसलाई स्थानीय चुनावमा सत्ता गठबन्धनका लागि राजी गराउन निर्वाचन आचारसंहिता लाग्नुअघि शुक्रबार राती मन्त्रिपरिषद् हेरफेर गरिएको थियो। माधव नेपाल नेतृत्वको नेकपा एकीकृत समाजवादीका तीन मन्त्रीलाई फिर्ता बोलाएर कांग्रेसबाट तीन जना नयाँ मन्त्रीलाई राति नै सपथ गराइएको थियो। एकीकृत समाजवादीले फिर्ता बोलाएकामध्येका एक मन्त्री हुन् तारालामा तामाङ। कञ्चनपुरबाट निर्वाचित प्रदेश सांसद तामाङ यसै वर्ष असोजदेखि आर्थिक मामिला मन्त्री थिए। ६ महिनामै भागवण्डाको राजनीतिले उनले शुक्रबार मन्त्री पद गुमाए। उनको ठाउँमा प्रकाश रावलले जिम्मेवारी पाएका छन्। तर आफूले मन्त्री पद गुमाएको जानकारी भने उनले आइतबार मात्रै पाए। माधव नेपालको पार्टीका उनी यस्ता मन्त्री हुन् जसले राजा शासनमा जस्तै पद गएको पछि मात्रै थाहा पाए। त्यसैले उनले फेसबुकमा लेखेका छन्, सुदूरपश्चिम प्रदेश सरकारको मन्त्रिमण्डलमा हेरफेर भयो रे भन्ने सुनियो त! तामाङले मन्त्रिपरिषद् हेरफेरबारे सल्लाह नभएको र जानकारी पनि नगराएको बताएका छन्। सामाजिक सञ्जालबाट हेरफेरको जानकारी पाएको उनको भनाइ छ। कांग्रेसलाई सरकारमा सहभागी गराउन सुदूरपश्चिम मन्त्रिमण्डलबाट एकीकृत समावादीका तामाङसहित पूर्णा जोशी, लालबहादुर खड्कालाई फिर्ता बोलाइएको थियो। मन्त्री फिर्ता बोलाएपछि समाजवादी सुदूपश्चिममा असन्तुष्टि छाएको छ। कांग्रेसबाट संसदीय दलका नेता रणबहादुर रावल र गोविन्द बोहरा मन्त्री र टेकबहादुर रैका राज्यमन्त्री बनेका थिए।"
नवौँ तथा अन्तिम पटक जिब्रो छेडाउँदै बुद्धकृष्ण,"भक्तपुर : मध्यपुरथिमि नगरपालिका बोडेमा हरेक नयाँ वर्षको वैशाख २ गते मनाइने विश्व प्रसिद्ध जिब्रो छेड्ने जात्रा मा यस वर्ष नवौँ पटक बोडेका ४९ वर्षीय बुद्धकृष्ण वागं श्रेष्ठले जिब्रो छेडाउने भएका छन्। मध्यपुरथिमि नगरपालिकाले सञ्चालन गरेको नेपाल कोरियामैत्री नगरपालिका अस्पतालमा लामो समयदेखि एम्बुलेन्स चालकका रुपमा कार्यरत बुद्धकृष्णले यस वर्ष आफूले अन्तिम पटक जिब्रो छेडेर जात्रालाई निरन्तरता दिन लागेको बताए। बुद्धकृष्णले भने, मानवीय सेवा र कलासंस्कृतिको संरक्षणमा लाग्दै आएको मैले यस वर्ष वैशाख २ गते नवौँ पटक जिब्रो छेडेर जात्रालाई निरन्तरता दिने भएको छु, यो मेरो अन्तिम पटक हो, अर्को वर्ष म जिब्रो छेड्दिन, मेरो उमेरका कारणले पनि समस्या हुन्छ, अब युवापुस्ताले यो जात्रालाई जोगाउन जिब्रो छेड्न तयार हुनुपर्छ, लोप हुन दिनुहुँदैन, युवापुस्ता तयार हुनुपर्छ। जिब्रो छेड्ने व्यक्तिले तीन दिनअघिदेखि केही नखाई व्रत बस्नुपर्छ। व्रत बसेदेखि जिब्रो नछेडेसम्म सुत्नसमेत नहुने र जिब्रो छेड्दा पीडा नहोस् भनेर सात दिनअघिदेखि नै नूनसमेत खान नहुने उनी बताउछन्। व्रत बस्नेले जिब्रो छेड्नुअघि शक्ति प्राप्त होस् भन्ने कामनासहित बोडे क्षेत्रका विभिन्न देवीदेवताको पूजाआजा गर्ने र जिब्रो छेड्ने पाँचो गणेशको पाटीमा पुगेपछि जात्राका नकर्मी नाइकेले एक महिना अगाडिदेखि तयार पारेर तेलमा डुबाएर राखेको फलामको १० इञ्च लामो सुइरो जिब्रोमा छेडेर महादीप बोकेर एक घण्टा नगर परिक्रमा गरेर बोडेको महालक्ष्मी मन्दिरमा पुगेर सुइरो झिकेपछि जात्राको समापन हुने र भोज खाने प्रचलन छ । बोडेको नीलबाराही मन्दिरसँग जोडिएको कथा र किंवदन्तीलाई पछिल्लो समय बिगारेर प्रचार गरेकामा दुखेसो व्यक्त गर्छन बुद्धकृष्ण । उनी भन्छन्, यो जात्रा नीलबाराही देवीको प्रतिष्ठासँग जोडिएको छ, जिब्रो छेड्ने व्यक्ति नीलबाराहीका देवगण हुन् तर यहाँका केही व्यक्तिले भनेको भन्दै पत्रकारले जिब्रो छेड्ने व्यक्तिलाई ख्याक र राक्षससँग जोडेर प्रचार गर्दा परम्पराको बदनाम भएको छ, त्यसैले पनि युवापुस्ता जिब्रो छेड्न तयार छैनन्, जिब्रो छेड्ने व्यक्ति ख्याक वा राक्षर होइनन्, देवगण हुन् यो सबैलाई बुझाइदिनुपर्यो। केही वर्ष अगाडिसम्म जिब्रो छेड्ने व्यक्तिले नै जात्राको सबै खर्च व्यहोर्नुपर्ने र भोजसमेत खुवाउनुपथ्र्यो भने जनप्रतिनिधि आएपछि नगरपालिकाले जात्रा सञ्चालनका लागि सहयोग गर्दै आएको छ। जुजुभाइ बाँस श्रेष्ठले जिब्रो छड्ने बेलामा स्थानीय क्लब र युवाको सक्रियतामा जात्रालाई जोगाउन आर्थिक सङ्कलन गरी कोष खडा खरिएको थियो भने जनप्रतिनिधि आए पनि नगर प्रमुख मदन सुन्दर श्रेष्ठले यहाँका अधिकांश जात्रा परम्पराको संरक्षणका लागि भन्दै बजेट छुट्याएपछि यो जात्रा सञ्चालनमा पनि राहत मिलेको छ। नगर प्रमुख श्रेष्ठ भन्छन्, यहाँको पहिचान नै कला, संस्कृति हो, त्यसैले यहाँका मठ, मन्दिर, पाटीपौवा, पोखरी, धारा, इनार, पार्क मात्रै नभई अमूर्त कलाकारुपमा रहेको नाच, जात्रा, पर्व परम्परालाई पनि जोगाउनुपर्छ भनेर मैले हरेक वर्ष नगरपालिकाबाट बजेट छुट्याए, यस वर्ष पनि जात्रा चलाउन नगर पालिकाले बजेट दिएको छ, यसले जात्रा परम्परा र पर्वको संरक्षणमा टेवा पुगेको महसुस गरेको छु। परापूर्वकालदेखि चल्दै आएको जिब्रो छेड्ने जात्रा सयौँ वर्षदेखि कोरोना सङ्क्रमणका कारण विसं २०७६ मा रोकिए पनि त्यसपछि फेरि जात्राले निरन्तरता पाउँदै आएको छ। जात्रा मध्यपुरथिमि बोडेका श्रेष्ठ थरीले प्राचीन पाँचो गणेश मन्दिर परिसरमा हजारौँ भक्तजनको उपस्थितिमा जिब्रो छेड्ने प्रचलन छ। जिब्रो छेडिसकेपछि ती व्यक्तिले अर्धचन्द्राकार महादीप बोकेर बोडे शहर परिक्रमा गर्ने र बोडेकै महालक्ष्मी मन्दिरको परिक्रमापछि उक्त सुइरो जिब्रोबाट झिकेर महालक्ष्मी मन्दिरमै ठोकेर घाउमा महालक्ष्मी मन्दिरको माटो लगाउने प्रचलन छ। हालसम्म १२ जनाबाट निरन्तर १०७ वर्ष जिब्रो छेडेका छन्। अहिलेसम्म १९६९ देखि १९९० सम्म हर्कनरसिंह बाँस श्रेष्ठले २२ पटक, विसं १९९१ देखि २०२२ सम्म बेखानारायण हाय श्रेष्ठ ३२ पटक, २०२३ मा हरिदेव किला श्रेष्ठले एक, २०२४ देखि २०२६ सम्म हरि भासिंक श्रेष्ठले तीन, २०२७ र २०२८ मा इन्द्र बाटा श्रेष्ठले दुई, २०२९ देखि २०३१ सम्म हर्केश्वर ब्याँ श्रेष्ठले तीन, २०३२ देखि २०३८ सम्म चन्द्रसेन द्यों श्रेष्ठले सात, २०३९ देखि २०४६ सम्म दीलकुमार खपे श्रेष्ठले सात, २०४७ मा मुनि घों श्रेष्ठले एक, २०४८ मा धर्मराज बलाय श्रेष्ठले एक, २०४९ देखि २०६० सम्म कृष्णचन्द्र बाग श्रेष्ठले १२ पटक, बुद्धकृष्ण बाग श्रेष्ठले २०६१ देखि २०६४ सम्म तथा २०७३ देखि २०७५ सम्म सात र जुजुभाइ बाँस श्रेष्ठले २०६५ देखि २०७२ सालसम्म आठ पटक जिब्रो छेडाएर जात्रालाई निरन्तरता दिएको बताएका छन्।"
अध्यक्ष ओली नुवाकोट आउँदै,नुवाकोट : नेकपा एमालेका अध्यक्ष तथा पूर्व प्रधानमन्त्रि केपी शर्मा ओलीको नुवाकोट आउने कार्यक्रम तय भएको छ। आसन्न स्थानीय तहको निर्वाचनको सन्दर्भमा आयोजित जिल्लास्तरीय चुनावी सभालाई सम्वोधन गर्न अध्यक्ष ओली आगामी वैशाख २ गते शुक्रबार नुवाकोटको विदुर आउने कार्यक्रमतय भएको एमाले नुवाकोटले जनाएको छ। अध्यक्ष ओलीले एमाले जिल्ला कमिटीद्वारा आयोजित चुनावी भेलालाई सम्बोधन गर्न नुवाकोटको विदुर नगरपालिका४ वट्टार आउने कार्यक्रम निश्चित भएको आयोजक तथा नेकपा एमाले नुवाकोटका जिल्ला अध्यक्ष बद्री मैनालीले जानकारी दिए। वट्टारमा एमाले जिल्ला कमिटीले आयोजना गर्ने चुनावी सभालाई सम्बोधन गर्न अध्यक्ष ओली वैशाख २ गते दिउँसो १२ बजेर ३० मिनेटमा नुवाकोट आउने कार्यक्रम तय भएको अध्यक्ष मैनालीले जानकारी दिए। अध्यक्ष ओलीले चुनावी अभियान तीब्र पार्न जिल्लाका नेता कार्यकर्ताहरूलाई निर्देशनसमेत दिने कार्यक्रम रहेको छ।
तनहुँका पाँच पुल यसै आर्थिक वर्षमा सम्पन्न हुने,"तनहुँ : तनहुँमा निर्माणधीन तेह्र वटामध्ये पाँच वटा पुल यसै आर्थिक वर्षमा सम्पन्न गर्ने लक्ष्य रहेको छ। बाँकी रहेका आठ पुलको बोलपत्र पश्चात निर्माणकार्य अघि बढाइएको पूर्वाधार विकास कार्यालय इकाई कार्यालय तनहुँले जनाएको छ। शालिकराम करिडर अन्तर्गत ऋषिङ गाउँपालिका४ र ५ जोड्ने ज्वालाखोला पुल, ऋषिङगाउँपालिका५ लुक्दी खोला पुल, घिरिङ गाउँपालिका४को तिरमदी खोला पुलको निर्माणकार्य अन्तिम चरणमा पुगेको छ। त्यसैगरी घिरिङ गाउँपालिका१ पुट्टार द्रौपद पुल, भीमाद नगरपालिका र ऋषिङ गाउँपालिका जोड्ने फेदी खोलामा निर्माणधीन अवस्थामा रहेको पुल यसै आर्थिक वर्षमा सम्पन्न गर्ने योजना रहेको छ। बोलपत्र भएका आठ वटा पुलको तीन वर्षको ठेक्का म्याद रहेकाले यसैवर्ष सम्झौता गरी निर्माणको चरणमा रहेको कार्यालयका सिनियर डिभिजन इञ्जिनीयर घिमिरेले जानकारी दिए। पूर्वाधार विकास कार्यालय इकाई कार्यालय तनहुँमार्फत निर्माणधीन अवस्थामा रहेका पाँच वटा सडकको म्याद थप गरी निर्माणकार्य अघि बढाइएको उनले बताए। कोरोनाका कारण पटकपटक निर्माण कार्य अवरुद्ध हुँदा समयअवधिभित्र सम्पन्न गर्न नसकेका सडकको म्याद थप गरिएको हो। आगामी आर्थिक वर्षभित्र सम्पन्न गर्ने गरी विभिन्न चरणमा म्याद थप गरिएको कार्यालयका साइट इन्चार्ज होमनाथ गौतमले जानकारी दिए। उनका अनुसार जिल्लाको दुलेगौँडाहर्कपुर सडक आगामी असारसम्म, भानुमार्ग आगामी फागुनसम्म, मानपुरडेढगाउँ मोटर मार्ग फागुनसम्म र आँबुखैरेनीछिम्केश्वरी आगामी असोजसम्म म्याद थप गर्न लागि मन्त्रालयमा पठाइएको छ। त्यसैगरी दासढुङ्गादेउपुर सडक आगामी असारसम्म म्याद थपको लागि प्रक्रियामा राखिएको सो कार्यालयले जनाएको छ। जिल्लाको देवघाटबाट घिरिङ गाउँपालिका हुँदै केलादीघाट कालीगण्डकी नदीको तिरैतिर स्याङ्जा, पाल्पा जोड्ने गरी शालिकराम करिडरको तीव्रगतिमा काम भइरहेको छ। करिब ६८ किलोमिटर सडकमध्ये दासढुङ्गादेउपुरसम्म छ किमी कालोपत्र भएको छ भने २५ किमी ग्राबेल गरिएको र बाँकी ३७ किमी ग्राबेल गर्न बाँकी रहेको कार्यालयका सिनियर डिभिजन इञ्जिनीयर घिमिरेले बताए।"
"पाँच दलीय चुनावी संयन्त्रमा तल्लो तहका प्रतिवेदनमाथि छलफल, गठबन्धनले भोलि निर्णय गर्ने","काठमाडौं : सत्ता गठबन्धनको पाँच दलीय चुनावी संयन्त्रको बैठकमा स्थानीय तहबाट आएका प्रतिवेदनमाथि छलफल भएको छ। संयन्त्रले चुनावी गठबन्धनको अवस्थाबारे प्रदेश, जिल्ला र स्थानीय तहबाट प्रतिवेदन तयार गरेर केन्द्रलाई पठाउन निर्देशन दिएको थियो। निर्देशनबमोजिम आएका प्रतिवेदनमाथि छलफल भएको सञ्चारमन्त्री ज्ञानेन्द्रबहादुर कार्कीले जानकारी दिए। तल्लो तहबाट धेरै प्रतिवेदन आएका छन्। त्यसबारे पनि आज छलफल भएको छ, उनले भने, संयन्त्रले पाएको जिम्मेवारीअनुसार सत्ता गठबन्धनको शीर्ष तहलाई सुझावहरु दिन्छ। संयन्त्रमा चुनावी गठबन्धनलाई प्रभावकारी र संगठिन बनाउने बारेमा छलफल भएको मन्त्री कार्कीले बताए। स्थानीय तह निर्वाचनमा कसरी गठबन्धनलाई प्रभावकारी रुपले अगाडि बढाउनेबारेमा छलफल भयो। यी सबै कुराहरुसहित भोलि ९ बजे शीर्षस्त नेताहरुको बैठक बस्छ। कसरी अगाडि बढ्ने भन्ने छिनोफानो हुन्छ, उनले भने। भोलि बालुवाटारमा बस्ने सत्ता गठबन्धनको बैठकले कसरी अगाडि बढ्नेबारेमा छलफल गर्ने उनको भनाइ छ।"
भक्तपुरमा बिस्काः जात्राको रौनक (फोटो फिचर),काठमाडौं : भक्तपुरको ऐतिहासिक तथा सांस्कृतिक बिस्काः जात्रा सुरू भएको छ। भक्तपुरको पाँचतले मन्दिर टौमढी अगाडि राखेर बनाइएको भैरवनाथको रथ तानेसँगै जात्राको सुरूवात भएको हो। प्रत्येक वर्ष नयाँ वर्षको चार दिन अगाडिदेखि प्यागोडा शैलीमा बनाइएको तीन तले भैरवनाथको रथ तानेर बिस्काः जात्रा मनाउने चलन छ। यो जात्रा नौ दिन आठ रात लामो हुन्छ। रथलाई दुवैतिर डोरीले तान्ने गरिन्छ। एकातिर ६ वटा र अर्कोतिर चारवटा मोटो डोरी राखेर युवाले रथ तान्ने चलन छ। भैरबनाथको रथ तानेर सुरु हुने जात्रा वैशाख ५ गते पाँचतले मन्दिर अगाडि नै रहेको भैरवनाथको रथलाई तानेर सम्पन्न हुनेछ। जात्राअन्तर्गत लिंगो उठाउने र रथ तान्ने गरिन्छ। जसलाई हेर्न हजारौं सर्वसाधारण उपस्थित हुने गरेका छन्।
मतदानस्थलको निरीक्षण : सुरक्षा संवेदनशीलताको अनुगमन,"नुवाकोट : स्थानीय तहको निर्वाचनका लागि नुवाकोटमा सबै पक्षले तयारी सुरु गरेको छ। सरकारीस्तरबाट मतदान स्थलको निरिक्षण तथा अनुगमन कार्य सन्चालन गरिएको छ। सुरक्षा निकायका प्रमुखहरुले स्थलगतरुपमै मतदानस्थल पुगेर निरीक्षण सुरु गरेका हुन्। विदुर नगरपालिका तथा आसपासका गाउँपालिकाको मतदानस्थल निरीक्षण गरिएको जिल्ला प्रशासन कार्यालय नुवाकोटले जनाएको छ। विदुर, सुर्यगढी, म्यागङ गाँउपालिकाको मतदान स्थलको निरिक्षण तथा अनुगमन भएको छ। मतदानस्थलको अवस्था, निर्वाचनका सामग्रीहरु पुर्याउनको लागि सडकको अवस्था र निर्वाचन पश्चात मुख्य निर्वाचन अधिकृतको कार्यालयसम्म सुरक्षित तरिकाले मतपेटिका ल्याई मतगणना सम्पन्न गर्ने उद्धेश्यले मतदान स्थलको निरिक्षण तथा अनुगमन कार्य गरिएको प्रमुख जिल्ला अधिकारी नारायणप्रसाद रिसालको भनाई छ। उनका अनुसार नुवाकोटको १२ वटै स्थानीय तहको सबै मतदान स्थलको निरिक्षण तथा अनुगमन गरी वास्तविक वस्तु स्थितिको बारेमा जानकारी लिई मतदानको लागि मतदानस्थल तयारी अवस्थामा राख्नको लागि अनुगमन तथा निरीक्षण गरिएको हो। उक्त क्रममा प्रहरी चौकीहरुको निरीक्षणसमेत गरिएको छ। मतदानस्थलहरुका साथै सामरी प्रहरी चौकी, किम्ताङ प्रहरी चौकी र देउराली प्रहरी चौकीको निरिक्षण गरिएको हो। १२ स्थानीय तह रहेको नुवाकोटमा १ सय ३२ मतदान स्थल र २ सय ८७ वटा मतदान केन्द्र रहेका छन्। आवश्यकताको आधारमा यसअघिको निर्वाचनमा भन्दा ३ वटा मतदानस्थल थपिएको छ भने २ वटा मतदान केन्द्र घटाइएको छ। आवश्यकता, भौगोलिक विकटता, सडक सञ्जालको अवस्था र यसअघि भएका निर्वाचनको आधारमा नेपाल प्रहरी, शसस्त्र प्रहरी र नेपाली सेनाको टोलीले सुरक्षा योजना बनाइने प्रजिअ रिसालले बताए। मतदान स्थलको निरिक्षण तथा अनुगमनमा प्रमुख जिल्ला अधिकारी नारायणप्रसाद रिसालको नेतृत्वमा जिल्ला प्रहरी कार्यालयका प्रमुख प्रहरी उपरिक्षक रामप्रसाद शाह, शसस्त्र प्रहरी प्रमुख मदन ढुङ्गाना, अनुसन्धानका प्रमुख हेमन्त चौधरी, जवरजंग गणका सैनिक अधिकृतको टोलीको सहभागिता रहेको छ।"
एमालेले भरतपुरको मेयरमा विजय सुवेदीलाई उम्मेदवार बनाउने,चितवन : भरतपुर महानगरपालिकाको मेयरमा नेकपा एमालेले उम्मेदवार टुंगो लगाएको छ। एमालेले प्रदेश सांसद विजय सुवेदीलाई मेयर उम्मेदवार बनाएको हो। यसअघि उनी चितवन क्षेत्र नम्बर २ (ख) बाट बागमती प्रदेशसभामा विजयी भएका थिए। महानगरपालिकाको बैठकले मेयरमा उम्मेदवारको नाम सिफारिस गरेको हो। आइतबार बसेको महानगर कमिटीको बैठकले मेयरमा सर्वसम्मतरुपमा सुवेदीको नाम सिफारिस गरेको छ। सुवेदी सर्वसम्मत रुपमा मेयरमा सिफारिस भएको पार्टीका महानगर कमिटी अध्यक्ष शंकर थपलियाले जानकारी दिए। सुवेदीको प्रस्तावकमा पार्टीका केन्द्रीय सदस्य देवी ज्ञवाली र संघीय सांसद कृष्णभक्त पोखरेलले समर्थन जनाएका छन्। ज्ञवाली र पोख्रेल दुबै मेयरको दाबेदार थिए। यसअघि ज्ञवाली माओवादी केन्द्रका रेणु दाहालसँग झिनो मत अन्तरले पराजित भएका थिए। सांसद सुवेदी बागमती प्रदेशका पूर्वसामाजिक विकास मन्त्री हुन्। उनले एमाले चितवनको पार्टी प्रमुख भएर तीन कार्यकाल नेतृत्व गरेका छन्। उनी प्रतिनिधि सभा निर्वाचनमा भने दुई पटक पराजित भएका थिए ।
एनसेलले ल्यायो नयाँ वर्षमा आकर्षक अफरहरु,"काठमाडौं : एनसेलले नयाँ वर्षमा नयाँ अफरहरु सार्वजनिक गरेको छ। नयाँ वर्ष २०७९ को अवसरमा एनसेल आजियाटा लिमिटेडले आफ्ना ग्राहकका लागि आकर्षक न्यू इयर कम्बो अफर र रिचार्ज योजना ल्याएको छ। अफरहरु आइतबारबाट संचालनमा आएको एनसेलले जनाएको छ। यस आकर्षण अन्तर्गत न्यू इयर कम्बो प्याक अन्तर्गत ग्राहकले ७ दिन र २८ दिन समयसिमा रहेका विभिन्न प्याकहरु सूचारु गर्न सक्ने कम्पनीले जनाएको छ। यस्तै प्याक अनुसार ग्राहकले अल नेट भ्वाइस, अल टाइम डेटा, अल नेट एसएमएस र नन् स्टप अन नेट भ्वाइस सेवा जस्ता आकर्षक सेवा बण्डलिङबाट फाइदा लिन पनि सक्ने एनसेलले जनाएको हो। त्यस्तै रिचार्ज योजना अन्तर्गत प्रत्येक ग्राहकले रु ५० वा सो भन्दा बढिको हरेक रिचार्जमा बोनस स्वरुप फेसबुक, टिकटक, यूट्युब प्रयोग गर्न सोसल मिडिया प्याक प्राप्त गर्ने कम्पनीले जनाएको हो। कम्बो प्याक अन्तर्गत ७ दिनको समयसिमा रहेको प्याक ग्राहकले करसहित मात्र रु ९६ मा सुचारु गर्न सक्छन् र यस प्याकमा बण्डल गरिएको १ जिबि अल टाइम डेटा र कुनै पनि नेटवर्कमा कल गर्न सकिन १०० मिनेट अल नेट टक टाइमबाट फाइदा लिन सक्छन्। त्यस्तै ग्राहकले रु १६८ मा ५ जिबि अल टाइम डेटा र १०० मिनेट अल नेट टक टाइम रहेको अर्को ७ दिने प्याक मात्र रु १६८ मा सुचारु गर्न सक्ने एनसेलले जनाएको हो।"
शैल्यशिखरमा कांग्रेसबाट पुन: धामी मेयरको उम्मेदवार,दार्चुला : दार्चुलाको शैल्यशिखर नगरपालिकामा कांग्रेसकोतर्फबाट मेयरको उम्मेदवारमा अमरसिंह धामी सर्वसहमत चयन भएका छन्। हालपनि कांग्रेसको तर्फबाट शैल्यशिखर नगरपालिकामा मेयरको जिम्मेवारीमा रहेका धामी पुन: मेयर पदका लागि सर्वसम्मत चयन भएको कांग्रेस शैल्यशिखर नगरपालिकाले जनाएको छ। आसन्न स्थानीय तहको निर्वाचन नजिकिदैं जाँदा शैल्यशिखरका विभिन्न वडाहरुमा कांग्रेसले सर्वसम्मत रुपमा वडा अध्यक्षका उम्मेदवार टुग्ंयाएको पनि कांग्रेस शैल्यशिखरले जनाएको छ।
