शीर्षक,विवरण
"मनाङमा बाढी : चार टहरा र पक्की पुल बगायो, ६ घर विस्थापित","बेंसीसहर : बुधबार रातिदेखिको वर्षाले स्थानीय खहरे खोलामा आएको बाढीले हिमालपारीको मनाङ सदरमुकाम चामेको नयाँबजार क्षेत्र जोखिममा पारेको छ। शुक्रबार दिउँसो घट्टेखोलामा आएको बाढीले ४ टहरा र एक पक्की पुल बगाएको छ। २ किलोमिटर सडक क्षतविक्षत बनाएको छ। मनाङका प्रमुख जिल्ला अधिकारी विष्णु लामिछानेले बाढीले केही पक्की घरहरुको जग हल्लाएको र आँगन बगाएको बताए। एभरेष्ट होटलको शौचालय, कुखुराको खोर बगाएको र मुख्य भवनको जग धरापमा पारेको लामिछानेले बताए। उनका अनुसार बाढीका कारण दर्जनौ घरहरु जोखिममा परेका छन्। बाढीबाट विस्थापित परिवारलाई चामे गाउँपालिकाको भवनमा, लोकप्रिय मावि र आफन्तकोमा राखिएको छ। मनाङको चामे बजारमा बाढी पसेकाले नेपाली सेना, सशस्त्र, नेपाल प्रहरी र स्थानीयले बाढी नियन्त्रण गरेका थिए। वर्षा जारी रहेकाले जोखिम कायमै रहेको उनले बताए। सदरमुकाममा एक्कासी बाढी चलेपछि स्थानीय त्रसित बनेका छन्। यतिबेला मनाङमा सञ्चार छैन, खानेपानी छैन, विद्युत, टेलिफोन केही छैन प्रारम्भिक कक्षा पढाइ कार्यक्रम मनाङका जिल्ला संयोजक मनोज सुवेदीले भने, पानी पर्न नरोकिएकाले सबैजना डराई डराई बस्नुपरेको छ। बढीले बिहीबार तिमाङखोला र स्यार्कुखोलाको काठको पुल बगाएको थियो। पुल बगाउँदा बेसीशहरचामे सडकखण्ड अबरुद्ध बनेको छ। पुल बगाएपछि तिमाङ क्षेत्रबाट सवारीसाधन तल्लो क्षेत्र आउन र माथिल्लो क्षेत्र जान सकेका छैनन्। दुईवटा पुल बगाएपछि तत्कालका लागि आवतजावत बन्द भएको स्थानीय कमल गुरुङले बताए। तिमाङखोलाको काठेपुल गत वर्षको बाढीले पनि बगाएको थियो। निरन्तरको वर्षासँगै आएको बाढीले तिमाङखोलामा निर्माण गरिएको बेलिब्रिज पुलसमेत जोखिममा रहेको छ। गुरुङका अनुसार बाढीले स्यार्कुखोला लघु जलविद्युत आयोजनाको ३० मिटर कुलो, बाँध, ह्युमपाइप, घट्टासमेत बगाएको छ।"
निषेधाज्ञामा होटल सञ्चालन गर्नेलाई जरिवाना,"विराटनगर : कोरोना महामारी नियन्त्रणका लागि लगाइएको निषेधाज्ञाका समयमा होटल एवं मदिरा पसल सञ्चालन गर्ने नौजनाविरुद्ध जिल्ला प्रशासन कार्यालय मोरङले जरिवानाको फैसला गरेको छ । निषेधाज्ञा उल्लंघन गर्दै भीडभाडका साथ खुलेआम रूपमा ग्राहकलाई मदिरा बिक्री गरिरहेको अवस्थामा विराटनगरबाट पक्राउ परेकालाई मोरङका प्रमुख जिल्ला अधिकारी कोषहरि निरौलाको इजलासले जरिवाना तिराउने फैसला गरेको हो । मोरङ प्रशासनका नायव सुब्बा रमेशकुमार निरौलाले होटल एवं मदिरा पसल सञ्चालक नौ जनालाई जरिवानावापत जनही २५ हजार रुपैयाँ लिएर छाड्ने फैसला भएको जानकारी दिए । उनका अनुसार विराटनगर महानगरपालिका४ का देवानन्द थन्दार, सालो गिरी, विराटनगर९ का गौतम वर्णमाल, गोपाल भट्टराई, विराटनगर१५ की मीनु तामाङ, विराटनगर१६ का ओमनाथ चौधरी, सञ्जय यादव, बहादुर यादव र विराटनगर१७ का कृष्ण भुजेललाई जरिवाना तिराउने फैसला बिहीबार भएको हो । जरिवानावापतको रकम तिर्ननसक्दा बहादुर यादव पूर्पक्षका लागि कारागार चलान भएका थिए । तर मुद्दाको फैसला भएको भोलिपल्ट शुक्रबार जरिवाना तिरेर उनी कारागारमुक्त भएको निरौलाले बताए । उनका अनुसार अरु आठजना फैसला अनुसार जरिवानावापतको रकम तिरेर बिहीबार नै छुटेका थिए । नासु निरौलाले जरिवाना गरिएकाहरु सबैलाई बुधबारराति पक्राउ गरेर प्रहरीले कारबाहीका लागि भोलिपल्ट प्रशासनमा उपस्थित गराएको जानकारी दिए । होटलमा मदिरा सेवन गरिरहेको अवस्थामा पक्राउ परेका सातजनालाई भने प्रशासनले जनही एक हजार रुपैयाँ जरिवाना तिराएको उनले बताए । सरकारले जारी गरेको कोभिड१९ संकट व्यवस्थापन अध्यादेश २०७८ अनुसार निषेधाज्ञा उल्लंघन गर्नेलाई कारबाहीस्वरूप जरिवाना तिराइएको निरौलाको भनाइ छ । उनका अनुसार ऐनको परिच्छेद ५ को दफा २१ को उपदफा १ क बमोजिम निषेधाज्ञा जारी भएको समयमा रक्सी पसल र होटल खोलेर ग्राहाक भेला पार्दै खुवाउने तथा पसल सञ्चालन गर्नेमाथि कारबाही भएको हो । ऐनको उल्लंघन कोही कसैले गरेमा तत्कालै व्यक्तिलाई अधिकतम एक लाख र संस्थालाई अधिकतम पाँच लाख रुपैयाँसम्म जरिवाना गर्ने अधिकार प्रमुख जिल्ला अधिकारीलाई छ । मन्त्रिपरिषद्को सिफारिसमा राष्ट्रपति विद्यादेवी भण्डारीले जेठ ६ गते प्रमाणीकरण गरेपछि अध्यादेश कानुनको रूपमा देशभर लागू भएको हो । कोरोना भाइरसको संक्रमण दर उच्च रहेको मोरङमा वैशाख १९ गतेबाट निषेधाज्ञा जारी गरिएको छ । मोरङ प्रहरी प्रमुख एसपी सन्तोष खड्काले निगरानी बढाएर सबैतिर कडाई गर्दै निषेधाज्ञा उल्लंघन गर्नेलाई पक्राउ गरेर कारबाहीको दायरामा ल्याउन थालिएको जानकारी दिए । कोरोना महामारीमा जनतालाई संक्रमणबाट जोगाउन निषेधाज्ञा लगाइएको भए पनि कुरा नबुझ्नेहरुले जथाभावी उल्लंघन गर्ने गरेको उनको भनाइ छ । कोरोनाको चेन ब्रेक गर्न विभिन्न प्रयासहरु भइरहेका छन्, एसपी खड्काले भने, अटेर गर्ने र कोरोना फैल्याउने खालका गतिविधी गर्नेलाई धमाधम कानुनको दायरामा ल्याउन थालिएको छ । उनका अनुसार कोरोना नियन्त्रणका लागि सडक एवं सार्वजनिकस्थलमा भीडभाड हुन नदिने, बजार पसल तथा सवारी साधन सञ्चालनमा कडाइ गर्ने, होटल तथा मदिरा पसल सञ्चालन गर्न नदिने, मास्क तथा सेनिटाइजर वितरण गर्ने, खुलेआम हिँडडुल गर्नेलाई मास्क लगाउन आग्रह गर्ने काम निषेधाज्ञाका समयमा प्रहरीले गरिरहेको छ । त्यस्तै स्वास्थ्य मापदण्ड पालनामा जोड दिने, सावधानी अपनाउन सबैमा आग्रह गर्ने, कोरोनाविरुद्ध जनचेतनामुलक कार्यक्रम सञ्चालन गर्ने तथा निषेधाज्ञाको पालना गराउने एवं उल्लंघन गर्नेलाई कारबाही गर्ने काम भइरहेको एसपी खड्काले बताए ।"
बाँकेका स्वास्थ्यकर्मी दिनभर आन्दोलित (फोटो फिचर),"नेपालगन्ज : ड्यूटीमा रहेकै बेला स्वास्थ्यकर्मीमाथि सांघातिक आक्रमण भएको भन्दै बाँकेका स्वास्थ्यकर्मी शुक्रबार बिहानैदेखि आन्दोलित भएका छन्। भेरी अस्पताल परिसरमा भेला भएर स्वास्थ्यकर्मीले पीडकमाथि कारवाहीको माग गर्दै प्रहरी, प्रशासनविरुद्ध नारा लगाइरहेका छन्। भेरी अस्पताल नेपालगन्जको कोभिड विशेष आइसोलेसन वार्डमा कार्यरत स्वास्थ्यकर्मीमाथि ड्यूटीमै रहेको बेलामा बिहीबार राति आक्रमण भएको थियो। अस्पतालको आइसीयूमा उपचाररत दाङका डिल्लीबहादुर रावतको मृत्यु भएपछि बिरामीका कुरुवासहितका व्यक्तिले स्वास्थ्यकर्मीको लापरबाहीले मृत्यु भएको भन्दै नर्समाथि सांघातिक आक्रमण गरेको आन्दोलित स्वास्थ्यकर्मीहरुले बताएका छन्। आक्रमणबाट जोगिन एकजना डाक्टर र ४ जना नर्स शौचालयमा लुकेका थिए। आक्रमणकारीले शौचालयको ढोका फुटाएर कुट्न थालेपछि डाक्टर र नर्सको टोली दुई तले घरको शौचालयको झ्यालबाट हाम फालेर ज्यान जोगाएका थिए। स्वास्थ्यकर्मीमाथि आक्रमणपछि आपू लुम्बिनी प्रदेशको मुख्यमन्त्री शंकर पोखरेलको मान्छे भएकाले कसले के गर्न सक्छ भन्दैै आक्रमणकारीले थप धम्काएपछि बिहीबार मध्यरातिसम्म अस्पताल परिसरमा स्वास्थ्यकर्मी आन्दोलित भएका थिए। उनीहरुले अस्पतालमा राजनीति गर्न नहुने, मुख्यमन्त्रीको आडमा स्वास्थ्यकर्मीलाई कुट्न पाइँदैन लगायतका नारा पनि लगाएका थिए। नेपाल चिकित्सक संघलगायतका स्वास्थ्यकर्मीका १५ वटा संघसंस्थाले शुक्रबार विज्ञप्ति प्रकाशित गरी दोषीलाई कारबाही, स्वास्थ्यकर्मीको उचित सुरक्षा व्यवस्था गर्न माग गर्दै जिल्लास्थित सबै स्वास्थ्य संस्थामा आन्दोलनको घोषणा गरेको जनाएका छन्। आन्दोलनरत स्वास्थ्यकर्मी घटनाको विरोध गर्दै जिल्ला प्रशासन कार्यालयमासमेत पुगेका थिए। घटनामा संलग्नलाई कारवाही गर्न गृहमन्त्रालयले निर्देशन दिएको छ। प्रधानमन्त्री केपी ओली र राष्ट्रपति विद्यादेवी भण्डारीलेसमते घटनामा संलग्नलाई कारवाही गर्न माग गरेका छन्। महामारीको समयमा स्वास्थ्यकर्मीमाथि आक्रमण हुनु निन्दनीय भएको भन्दै चौतर्फी विरोध भएको छ।"
अर्बनको अध्यक्षका रवीन्द्रकुमार,"अस्ट्रेलिया : विगत १० वर्षदेखि अस्ट्रेलिया बस्दै आएका रवीन्दकुमार शर्मा अर्बन नेपाली समाज सिड्नीको अध्यक्ष चयन भएका छन् । यसैगरी, समाजको उपाध्यमा जितेन्द्र श्रेष्ठ र सबिन डाँगी, महासचिवमा सन्तोष आचार्य, सचिवमा राजेश टण्डन, कोषाध्यक्षमा तमन्ना शर्मा, महिला संयोजकमा सबला बस्नेत, युवा संयोजकमा युद्दीका कँुबर चयन भएका छन । सदस्यहरूमा मनोज अधिकारी, भूपेन्द्र कँडेल, आयुष अधिकारी, निशान कार्की, धीरेनबहादुर थापा र दीपेन्द्र घिमिरे चयन भएका छन् । समाजले सल्लाहकारहरूमा दिनेशकुमार पोखरेल, मनऋषि धिताल, रमेश बानियाँ, राजकुमार श्रेष्ठ, राजु गिरी र शशी राईलाई चयन गरेको छ भने समाजले पूर्वअध्यक्ष अशोक उप्रेतीलाई संरक्षकको रूपमा चयन गरेको छ । आगामी दिनमा नेपालीहरूको हक हितको पक्षमा लागि पर्ने प्रतिवद्धता व्यक्त गर्दछु, अध्यक्ष पदमा चुनिएपछि शर्माले भने ।"
मुस्ताङमा थपियो निषेधाज्ञा : जेठ २२ गतेसम्म लकडाउन,"जोमसोम : दोश्रो लहरको कोरोना भाइरसको संक्रमण जोखिम कायमै रहेको जनाउँदै हिमाली जिल्ला मुस्ताङमा शुक्रबार पूनः तेश्रो पटक एक साताका लागि निषेधाज्ञा थप गरिएको छ। यसअघि वैशाख ३० गते जारी गरिएको निषेधाज्ञा दोश्रो पटक जेठ १५ गते राति १२ बजे कायम गरिएकोमा त्यसलाई थप गर्दै जिल्ला प्रशासन कार्यालयले जेठ २२ गतेसम्मका लागि तेश्रो पटक निषेधाज्ञा जारी गरेको हो। जिल्ला कोभिड१९ संकट व्यवस्थापन समितिले निषेधाआज्ञाका कारण मुस्ताङमा कोरोना संक्रमण क्रमशः न्यूनिकरण हुँदै गइरहेको ठहर गरेको छ। सीसीएमसीले कोभिड संकटग्रस्तक्षेत्र मुस्ताङको वारागुङ मुक्तिक्षेत्र , घरपझोङ र थासाङ गाउँपालिका भित्र लागु हुने गरी तेश्रो पटक निषेधाज्ञा थप गरेको मुस्ताङकी प्रमुख जिल्ला अधिकारी हिरादेवी पौडेलले जानकारी दिइन्। दुर्गम जिल्लाको रुपमा परिचित हिमाली मुस्ताङको एकमात्र जिल्ला अस्पतालमा क्रिटिकल बिरामीको उपचारका लागि चाहिने आवश्यक भेन्टिलेटर, आईसीयू,जनशक्ति र आवश्यक स्वास्थ्य सुरक्षा उपकरण तथा स्वास्थ्य सामग्री लगायतको अभाव रहेकाले कोरोना रोकथाम तथा नियन्त्रण गर्न चुनौती रहेको उल्लेख गर्दै निषेधाज्ञाको अवधि थप गरिएको प्रजिअ पौडेलको भनाइ छ। मुस्ताङमा कोरोनाको दोश्रो भेरियन्ट जोखिमसँगै संक्रमितको संख्या वृद्धि भइरहेको छ। जिल्ला स्वास्थ्य कार्यालय मुस्ताङका अनुसार बिहीबारसम्म मुस्ताङमा संक्रमितको संख्या २ सय २६ पुगेको छ। जसअन्र्तगत उपल्लो मुस्ताङको लोमान्थाङमा ११, वारागुङ मुक्तिक्षेत्रमा १ सय ३६, घरपझोङमा ८३ जना र थासाङ गाउँपालिकामा ९६ जनामा कोरोना संक्रमण देखिएको जिल्ला स्वास्थ्य प्रमुख टिकाराम भण्डारीले जानकारी दिए।"
चर्चित चपली बैठकको भित्री कथा : क्याप्टेन थापासँगको विशेष वार्ता (भिडियो),"काठमाडौं : एमालेको एकता जोगाउने क्रममा एमाले अध्यक्ष तथा प्रधानमन्त्री केपी ओली र वरिष्ठ नेता माधव नेपालबीच भएको बहुचर्चित चपली बैठकको भित्री कथाको खुलासा भएको छ। उक्त वार्ताको साक्षीका रुपमा रहेका लेखक तथा व्यवसायी क्याप्टेन रामेश्वर थापाले के सहमति भएको थियो र कसरी तोडियो भन्ने खुलासा गरेका छन्। एपी वान एचडीको तमसो मा ज्योतिर्गमय सम्वादमा सहभागी लेखक क्याप्टेन थापाले चपली बैठकको वृत्तान्त बाहिर ल्याएका हुन्। विभाजनको डिलमा पुगेको एमालेको एकता जोगाउन क्याप्टेन थापाकै विशेष पहलमा वैशाख ३० गते दुवै नेता थापाको चपलीस्थित निवास बसेर साढे चार घन्टा वार्ता गरेका थिए। पुरानो तिक्ततालाई बिर्सेर मिलेर अघि बढ्ने सहमतिसहित दुवै नेता वार्ताबाट उठेका थिए र सहमतिका लागि कार्यदलसमेत गठन भएको थियो। चपली वार्तापछि राजीनामा दिन तयार भएको माधव पक्ष ब्याक भएको थियो। तर जब एमालेको आधिकारिक उम्मेदवार बनेका रामबहादुर थापा बादललाई माधव पक्षले अहसयोगका कारण हार्ने अवस्था बन्यो, त्यसपछि सहमति भाँडियो। जब जब मुलुकको राजनीतिले जटिल मोड लिन्छ, त्यतिबेला दलबीच सहमतिको वातावरण बनाउन क्याप्टेन थापाले व्यक्तिगत रुपमा पहल गर्दै आएका छन्। यसअघि २०७२ मा संविधान जारी गर्नका लागि दलहरूबीच सहमतिको वातावरण तयार गर्न पनि क्याप्टेन थापाले विशेष भूमिका निर्वाह गरेका थिए। विभाजित दलहरूलाई एक ठाउँमा ल्याएर १६ बुँदे सहमति गराउन उनले पहल गरेका थिए। पहिलो संविधानसभाको विघटनपछिको राजनीतिक भ्याकुम र तीव्र ध्रुवीकरणका बेला पनि दलहरूबीच सहमतिको वातावरण बनाउन उनले सहयोग गरेका थिए। एमाले र माओवादीबीचको एकता डिललाई सफल बनाउन पनि उनको महत्वपूर्ण भूमिका थियो। बहुमतको बलियो सरकार बनाएर मुलुकमा राजनीतिक स्थिरता कायम गर्ने र समृद्धिको यात्रा अघि बढाउने उद्देश्यले आफूले सक्दो योगदान गरेको क्याप्टेन थापा बताउँछन्। आफ्नो सक्रियता कुनै राजनीतिक वा व्यापारिक उद्देश्यले प्रेरित नभएको स्पस्ट पार्दै थापा भन्छन्, मेरो सक्रियता जनता र मुलुकको हितको लागि हो। म सधै लोकतन्त्र, राष्ट्रियताप्रति प्रतिबद्ध छु। मेरो चाहना वा स्वार्थ भनेको राजनीतिक स्थायित्व र आर्थिक समृद्धि मात्रै हो। क्याप्टेन थापा मुलुकको राजनीतिकलाई नियमित लिकमा फर्काउनका लागि दलहरू मिल्नुको कुनै विकल्प नरहेको बताउँछन्। राष्ट्रिय राजनीति र भूराजनीतिका विविध पक्षबारे टिकाराम यात्रीले क्याप्टेन रामेश्वर थापासँग गरेको विशेष सम्वाद"
के महिनावारी पूर्व जन्मको पाप हो ?,"नारी सुन्दरताका बयान प्रशस्तै सुनिन्छन्। ती कतिपय बयान शास्त्रीय कालबाटै गरिँदै आएका छन् भने केही समय परिवर्तनसँग पछिल्लो पटक गर्न थालिएका हुन्। गृहलक्ष्मी, मृग नयनी, धर्ती माता, आधा आकाश जे सुकै भनेपनि नारीलाई समाजका प्रत्येक सदस्यले अन्तर हृदयबाट हेर्ने दृष्टिकोण बिलकुल फरक छ। जस्तासुकै पीडालाई दबाएर अप्ठेरो परिवेशमा पनि मुसुक्क हाँसी दिनुपर्ने बाध्यतामा धेरै नारी यो समाजमा संघर्ष गरिराखेका छन्। एकातिर उनीहरु सामू प्राकृतिक वा जैविकीय देनका पद्वतिका आधारमा हुने नियमित चक्रले अप्ठेरोमा पर्छन् भने अकोतिर घर व्यवहार र व्यवहारिक समस्याले झन् धेरै। यी सबै अप्ठेरालाई बाध्यता वा प्रकृतिको उपहार मान्दै आफ्ना कर्तव्यमा नारीलाई हिँडाइरहेको हुन्छन्। बाल्यकालबाट यौवनकालमा प्रवेश गर्नुको संकेत हो रजस्वला। यसलाई प्राकृतिक नियम वा नियमित प्रक्रिया जे सुकै भने पनि प्रारम्भ चरणमा एउटी नारीमा रजस्वलाका समयमा हुने शारीरिक र मानसिक पीडालाई कम आक्नु हुँदैन। त्यो बेला नारीको जीवन संवेदनशील मात्र होइन खतरामा पर्ने सम्भावना पनि हुन्छ। रक्तश्राप हुने र पेट दुख्नेसँगै मस्तिष्कमा तरंग हुने अनेक शंका उपशंका र त्रासले डेरा जमाइरहेका बखत कति नारीलाई मनोसामाजिक परामर्शको आवश्यकतासम्म पर्छ। तर हाम्रो समाजले त्यही समयमा उनलाई छिछि र दुरदुर मात्र गर्दैन उनले खाने थाल बटुका अलग राख्नुपर्ने, दूध, दही जस्ता पोषिला खानेकुरा खान दिइदैन। त्यो मात्र होइन। फलफूल छुन नहुने भनेर टाढै राखिन्छ। केही समुदायका महिला पहिलो पटक महिनावारी हुँदा माइतीको मुख हेर्नु नहुने, माइती घरभन्दा अलग बस्नुपर्नेसँगै पश्चिम नेपालमा त छाउपडी गोठमा गएर एक्लै बस्नुपर्दा ज्यान नै गुमाउनु परेका उदाहरण धेरै छन्। रजस्वलालाई नियमित प्रकृया नभएर पूर्वजन्मको पाप हो भन्ने बुझक्कड पनि यही समाजमा छन्। जो नारीकै योनीबाट जन्म लिएका हुन र मरोणप्रान्त उनकै सामिप्यता चाहन्छन्। किन विभेद ? कसले बनायो नियम ? अब गहिरिएर सोचौं, के साँच्चै रजस्वला पूर्व जन्मको पाप हो ? अनि उनीहरुले यो अवस्थामा माइतीको मुख हेर्नु, नहुने, दही, दूध खाँदा पाप लाग्ने, छुट्टै थाल बटुकामा खानुपर्ने, पश्चिमतिर छाउपडी गोठमा बस्नुपर्ने, फलफूल छुँदा झर्ने यी सबै विकृति र कुसंस्कार किन ? कसले सुरुवात गर्यो यो नियम ? सायद मानव विकासको सुरुवातमा त्यो बेलाका बुझक्कडले जे गरे समय चक्र परिवर्तन हुँदै जाँदा त्यसलाई संस्कारका रुपमा लिइन थाल्यो र अहिले पनि त्यो क्रम जारी छ। महिनावारीका विषयमा गरिने टिप्पणी र त्यो भएका बखत नारीले गर्नु हुने र नहुने नियम बनाइएका बेला र अहिलेको परिवर्तन र विकासक्रमलाई हेर्ने हो भने त्यही बेलाको सापेक्षतासँग मात्रै मेल खान्छन्। मेरो विचारमा महिलालाई रजस्वला हुँदा त्यो बेला परिवार र समाजले गर्ने व्यवहार त्यही समयसँग मात्रै सार्थक छ। पितृ सत्ताले जकडेको हाम्रो समाजमा २१ औं शताब्दीसम्म आइपुग्दासम्म सबै क्षेत्रमा पहुँच बनाउन नसकेका महिलाको अवस्था कल्पना गर्ने हो भने पनि उत्तर सहज छ वास्तवमा रजस्वलाको चौंथो दिनसम्म रक्तश्राप धेरै हुने र आराम पनि पर्याप्त चाहिने भएकाले त्यो समय आराम गर्नुपर्ने वैज्ञानिक कारण छ। समाजका फुइफुट्टाले पछिल्लो समय महिनावारी भएका महिला फोहोरी हुन्छन्, उनीहरु भान्छाकोठामा जानु हुँदैन, अलग्गै बस्नुपर्छ भन्ने अर्थ लगाएर महिलाको स्वास्थ्यमाथि खेलवाड मात्रै गरेनन्। त्यसलाई नियमकै रुपमा लाद्नसम्म सफल भए। आङ ढाक्ने एकसरो कपडासम्म नपाउने त्यो बेलाका नारीले आफ्नो सरसफाइमा ध्यान दिनु त्यति चानचुने कुरा थिएन। यो बेला पर्याप्त सफा कपडा र सेनिटरी प्याडको कल्पना पनि गर्न कठिन थियो। भनिन्छ पितृ कार्जेमा ७ दिन र देव कार्जेमा ५ दिन रजस्वला बार्नुपर्छ। रजस्वला भएको सातदिनसम्म सामान्यतः रक्तश्राव हुने भएकाले ७ दिन बार्नुपर्ने नियम पनि त्यो बेलाका लागि सान्दर्भिक नै मान्न सकिन्छ। किनभने सरसफाइमा ध्यान नदिँदा मठ मन्दिर र तरकारी टिप्न करेसाबारीमै जाँदा पनि रजस्वला भएका महिलाको योनीबाट बग्ने रगत चुहिएर फोहोर हुन्छ भन्ने मान्यता अनुसार त्यो बेलाको सापेक्षतामा ७ दिन बार्न भनियो पछि त्यो नियमका रुपमा परिणत भयो। हिन्दु धर्म शास्त्रका अनेक ग्रन्थमा पनि महिनावारीलाई नियमित प्रकृया भनिएको छ। ती शास्त्रले महिनावारी भएका महिलालाई काज किरिया गर्न र धार्मिक कार्यमा सहभागी नगराउन भन्नुको तात्पर्य त्यो बेला महिलाको शारीरिक अवस्था कमजोर हुनका साथै विशेष स्याहारको आवश्यकता पर्ने भएकाले त्यस्ता कार्यमा सहभागी नगराउन भनिएको तर्क गर्ने आचार्यहरु प्रशस्तै छन्। सामान्य र एउटा शारीरिक प्रक्रियालाई गलत ढंगले हेर्नु र महिनावारी भएकै समयमा एकान्तमा बस्ने, छाउ गोठमा रहनुपर्ने र त्यस्तै अवस्थामा बलात्कारको शिकार बन्नुपर्ने जस्ता घट्ना आजका दिनमा देखिनु दुःखद् हो। भ्रमलाई चिर्न सक्ने यस्ता कुरा फेरि सुन्नु पर्ने थिए। रजस्वला उमेर पुगेपछि निश्चित उमेर समूहसम्म हुने नियमित प्रकृया हो। यो पूर्वजन्मको पाप होइन। यदि महिलामा रजस्वला नहुँदो हो त मानव चक्र नै ठप्प हुन्थ्यो। अनि यो समयमा उनीहरुमाथि अपमान चाहिँ किन ? दिवस औपचारिकताका लागि मात्र होइन। यी र यस्ता भ्रम चिर्न केन्द्रित बन्नुपर्छ।"
डाक्टर लिएर संक्रमित पत्रकारको घरदैलोमा पुग्दै प्रेस यूनियन,"कपिलवस्तु: नेपाल प्रेस यूनियनका पदाधिकारीहरु डाक्टर सहित स्वास्थ्यकर्मीको टोलीलिएर स्वास्थ्य परामर्श सेवा दिन कोरोना संक्रमित पत्रकारहरुको घर दैलोमा पुगेका छन् । नेपाल प्रेस यूनियनका सभापति गोपाल भण्डारीको नेतृत्वमा जिल्ला सचिव मणि प्रसाद गैरे, कोभिड फोकल पर्सन विनोद अधिकारी लगायत कपिलवस्तु आयुर्वेद केन्द्रका प्रमुख डा प्रवेश श्रीवास्तव र डा आशीषकुमार चौधरी सहितको स्वास्थ्यकर्मीको टोली निरन्तर रुपमा कोरोना संक्रमित पत्रकारको घर दैलोमा पुगी स्वास्थ्य परामर्श सेवा प्रदान गरिरहेका छन् । घर दैलोमा पुगेका डाक्टर सहितको स्वास्थ्यकर्मीको टोलीले संक्रमित पत्रकारको घर परिवारमा पनि ज्वरो नाप्ने, अक्सिजनको लेभल नाप्ने र अन्य स्वास्थ्य परामर्श दिने गरेको नेपाल प्रेस यूनियनका सचिव मणि प्रसाद गैह्रेले बताए । स्वास्थ्यकर्मी सहितको प्रेस यूनियनको टोलीले नेपाल पत्रकार महासंघकी जिल्ला उपाध्यक्ष स्वेता गिरी लगायत ६ जना कोरोना संक्रमित पत्रकारको घरमा पुगी स्वास्थ्य तथा परामर्श सेवा, स्वास्थ्य सामाग्री, हेल्थ किट, च्यवन प्राशलगायत डई फ्रुट प्रदान गरेका छन् । आयुर्वेद केन्द्रबाट गएका डाक्टरहरुको टोलीले संक्रमित पत्रकारहरुलाई रोग प्रतिरक्षात्मक क्षमता बढाउने खालका औषधिहरु प्रदान गरी यसको सेवन विधिका बारेमा र संक्रमणकालमा गरिने विभिन्न योग अभ्यासका बारेमा जानकारी गराएका छन् । कोरोना संक्रमणका बेला टोल समाजबाटै हेय भावले हेरिरहेको अवस्थामा डाक्टर सहितको पत्रकार टोली घर दैलोमा आई परामर्श दिँदा संक्रमित पत्रकारहरुमा ठूलो आत्मवल एवं हौसला बढेको नेपाल पत्रकार महासंघकी उपाध्यक्ष स्वेता गिरीले बताइन् । संक्रमित पत्रकारहरु निशा विश्वकर्मा, संजय मल्ल, शुशीला बेलवासे, रामु पौडेल र शुमेश श्रीमालले नेपाल प्रेस यूनियनले जिल्लामै पत्रकारहरुका लागि उदाहरणीय भूमिका खेलेको भन्दै आफुहरुले गरेको कोरोना विमाको प्रक्रियालाई पनि अघि बढाइदिन सहयोग गर्न आग्रह गरेका छन् । रात विरात र अन्य समयका लागि डाक्टरहरुसँग मोवाईलबाटै सम्पर्क गर्न सकिने व्यवस्था प्रेस यूनियनले मिलाएको छ । यसका लागि मेडिकल अफिसर डा अमूल्य पाठक, कोभिड विशेष नर्स समूहकी लुम्विनी प्रदेश परामर्शदाता सुमित्रा ढकाल र कोभिड फोकल पर्सन विनोद अधिकारी स्वयंसेवीभावले खटिएका छन् । कपिलवस्तु जिल्लामा कुल १ सय ६० जना पत्रकारहरु छन् । जिल्लामा हाल सम्म ६ जना पत्रकारलाई कोरोना संक्रमण भइसकेको छ । कोरोना संक्रमण हुने पत्रकारहरुलाई आवश्यक सहयोग, अक्सिजनको व्यवस्थापन र मनोपरामर्श सेवाप्रदान गर्न नेपाल प्रेस यूनियनले जिल्लाका विभिन्न स्वास्थ्य संस्थासँग समन्वय गरिरहेको युनियनका जिल्ला सभापति गोपाल भण्डारीले बताए ।"
