शीर्षक,विवरण
अपांगता भएकालाई अवसर दिऔं,"भूकम्पमा परेर अपांगता भएका ३१ वर्षीय ऋषि खनाल जीविकोपार्जनको सिप खोजिरहेका छन्। तर, राज्यको कुन निकायले कसरी दिलाउँछ, मेलो पाउन सकेका छैनन्। परिवारलाई सुख दिने सपना बोकेर विदेसिन हिँडेका उनी उड्नु दुई दिनअघि महाभूकम्पमा परे। होटलमा ८२ घण्टा पुरिएका उनी भाग्यवश उद्धार हुन पाए। तर, दुर्भाग्य अंगभंग भए। बुबाआमा, पत्नी र छोराको एक मात्र सहारा उनी स्वयं अरूको सहारामा बाँच्ने अवस्थामा पुगे। त्यसयता उनको जिन्दगीको तितो कथा अपांगता भएका धेरै जनाको प्रतिनिधि व्यथा हो। २२ हजार तीन सय ९ भूकम्पका घाइतेमध्ये केही हजारको अवस्था ऋषिजस्तै छ। दस वर्षअघिको जनगणनाकै तथ्यांक आधार मान्ने हो भने मुलुकभर अपांगता भएका व्यक्तिको संख्या ५ लाख १३ हजार छ। जनयुद्धदेखि विभिन्न प्राकृतिक विपत्तिका साथै सडक दुर्घटनामा हुने घाइतेको संख्या अलग्गै खोज्नुपर्ने हुन्छ। तर, साझा समस्या खोज्न हरेक अपांगता भएकालाई नियाले पुग्छ। ऋषिजस्ता लाखौं नागरिक भनिरहेका छन्, सीप सिकेर जीविकोपार्जन गर्न चाहेका छौं। तर, सरकारले सामाजिक सुरक्षा भत्ता दिनेबाहेक अपांगता भएकाहरूको रोजीरोटीबारे चिन्ता लिएको पाइँदैन। भूकम्पबाट अंगभंग भएकाहरूलाई विभिन्न संघसंस्थाले काठमाडौंमा निःशुल्क सिपमूलक तालिम दिने भनेर आश्वासन नदिएका होइनन्। तर, त्यो आश्वासनमा सीमित रह्यो। सम्भवतः अपांगता भएकालाई देखाएर वा तिनका तस्बिर बिक्री गरेर तिनले सहयोगडलर आर्जन गरे। वास्तविक पीडितका लागि केही गरेनन्। मेरो जिन्दगी त गयो गयो। छोराछोरीको भविष्य कसरी निर्माण गर्ने ? विदेश पनि जान सकिनँ, कसरी परिवार पाल्ने ? जस्ता तनावमा देखिन्छन् भूकम्पबाट अंगभंग भएकाहरू। उदाहरण ऋषि नै हुन्। खासमा अपांगता भएकाहरूलाई सिप सिकाउने सरकार वा संघसंस्था चाहिएको छ। क्षमताले भ्याएसम्म पसिना चुहाउन तयार छन् तर त्यो अवसर पाउन सकेका छैनन्। वास्तविक अवस्था बुझेर ऐनकानुनबमोजिम अपांगता परिचयपत्र पनि सही ढंगले वितरण नगरेको उनीहरूको गुनासो छ। क वर्गमा परे मासिक दुई हजार रुपैयाँ आउने भए पनि त्यसबाट समेत सरकारले वञ्चित गरेको गुनासो गर्नेहरूको संख्या हजारौं छ। अपांगता भएका व्यक्तिका सवालमा ऐनकानुनको हिसाबले नेपाल दक्षिण एसियामै अगाडि देखिन्छ। त्यसको प्रभावकारी कार्यान्वयन र तिनको जीवनस्तर सुधार गर्ने सन्दर्भमा भने पछाडि छ। २०६८ को जनगणनाअनुसार देखिएका पाँच लाख १३ हजार अपांगता भएका व्यक्तिमध्ये दुई लाख ३५ हजार एक सय ३६ जनाले मात्रै परिचयपत्र प्राप्त गरेका छन्। कानुनअनुसार सरकारले उनीहरूलाई चार प्रकारको परिचयपत्र वितरण गर्नुपर्छ। अति अपांगतालाई नीलो र पूर्ण अपांगता हुुनेलाई रातो परिचयपत्र दिइएको छ। नीलो परिचयपत्र पाउनेलाई प्रतिमहिना ६ सय र रातो परिचयपत्र पाउनेलाई एक हजार रुपैयाँ भत्ता दिँदै आएको छ। सरकारी तथ्यांकअनुसार रातो परिचयपत्र लिने ३८ हजार १७, नीलो लिने ७५ हजार पाँच सय ४६, पहेंलो लिने ७२ हजार ८८ र सेतो लिने ४९ हजार चार सय ८५ छन्। एक तथ्यांकअनुसार अपांगता भएका व्यक्तिको सिप विकास र सशक्तीकरणका लागि सरकारी र गैरसरकारी संस्थाले ठूलो लगानी गरेको देखिन्छ। त्यति मात्र होइन, अर्थ मन्त्रालय, शिक्षा मन्त्रालय, महिला, बालबालिका तथा ज्येष्ठनागरिक मन्त्रालय र समाज कल्याण परिषद्को सीधा स्वीकृतिमा सयौं विदेशी संस्थाले अपांगताका क्षेत्रमा काम गरिरहेका छन्। त्यस्ता संस्थाहरूको सञ्चालन तथा खर्च प्रणालीबारे गहिरो निगरानी हुन नसक्दा अपांगता भएका व्यक्तिका लागि ठोस काम हुन सकेको देखिँदैन। थोरैले मात्र पारदर्शी काम गरेको पाइन्छ। संविधानले अपांगता र फरक क्षमता भएका व्यक्तिलाई विशेष प्राथमिकतामा राखेको छ। राख्नु र सोहीअनुसार गर्नु फरक कुरा हुन्। अतः अपांगता भएका व्यक्तिलाई सरकारले विशेष सिप, शिक्षा र तालिम प्रदान गर्नुपर्छ। त्यस्ता अवसर विकेन्द्रित गरिनुपर्छ। अपांगता भएका व्यक्तिको सहज पहुँचमा हुनुपर्छ। अपांगता असक्षमता होइन, बरु फरक क्षमता हो। तिनको संरक्षण र क्षमताको कदर गर्नु राज्यको दायित्व हो।"
घट्यो वैदेशिक रोजगार,"काठमाडौं : विश्वव्यापी रूपमा फैलिएको कोरोना भाइरसले वैदेशिक रोजगारी खुम्चिएको छ। कोरोनापछि चार गुणाले वैदेशिक रोजगारी खुम्चिँदा बेरोजगारी भयावह बन्ने देखिएको छ। श्रमविज्ञ डागणेश गुरुङले रोजगारी सिर्जना हुन नसकिरहेकाले वैदेशिक रोजगारी खुम्चिँदा अवस्था भयावह बन्ने बताए। कोरोनापछि भारतसहित वैदेशिक रोजगारीबाट १० लाख श्रमिक फर्किएका छन्। नेपालबाट ७ लाखभन्दा बढी भारतीय कामदार कोरोना पछि काममा फर्किएका छैनन्। कोरोनापछि भारतीय कामदार नफर्र्किएकाले तत्काल उनीहरूको ठाउँमा नेपालीलाई अवसर दिनुपर्ने भए पनि त्यसो हुन सकेको छैन। वैदेशिक रोजगार विभागका अनुसार कोरोनापछि (चैत्र २०७६ देखि चैत्र २०७७ सम्म) १ लाख ३ हजार ३५ जना नेपाली वैदेशिक रोजगारीमा गएका छन्। यो अघिल्लो वर्षको सोही अवधिको तुलनामा करिब चार गुणाले कम हो। त्यसअघि गत वर्षको सोही अवधिमा (चैत्र २०७५ देखि चैत्र २०७६ सम्म) वैदेशिक रोजगारीमा जाने नेपालीको संख्या ३ लाख ६८ हजार थियो। कोरोनाले गर्दा पछिल्लो समयमा कम्पनीले विदेशी श्रमिक ल्याउन रोक लगाइरहेका छन्। श्रमिक चाहिए पनि असहज परिस्थितिका कारण श्रमिक माग गर्न सकिरहेका छैनन्। कोरोनाको दोस्रो लहर सुरु भएसँगै नेपालसहित गन्तव्य मुलुकमा पनि थप चिन्ता बढाएको छ। विभागका अनुसार कोरोनायता दैनिक पाँच सय कामदार वैदेशिक रोजगारीमा गइरहेका छन्। कोरोनाअघि दैनिक एक हजार पाँच सयभन्दा बढी कामदार दैनिक वैदेशिक रोजगारीमा जाने गरेका थिए। वैदेशिक रोजगार व्यवसायी संघका महासचिव सुजितकुमार श्रेष्ठले कोरोनाले वैदेशिक रोजगार प्रभावित भएको बताए। गन्तव्य मुलुकमा कोरोनाको जोखिम कायमै रहेकाले वैदेशिक रोजगारीमा अन्योलता बढाएको छ, उनले भने। कोरोनाको दोस्रो लहर सुरु भएसँगै व्यवसायी थप चिन्तित भएका छन्। कोरोनाले कतार, साउदी अरब, दुबई, ओमन, मलेसिया तथा युरोपेली मुलुक प्रभावित हुँदै आएका छन्। जापान, इजरायल र दक्षिण कोरियाले श्रमिक लगेका छैनन्। गन्तव्य मुलुकमा कोरोनाको जोखिम कायमै रहेकै अवस्थामा दोस्रो लहरको आतंक बढेपछि वैदेशिक रोजगार तहसनहस बन्न पुगेको छ। कोरोनाको जोखिम बढेसँगै गन्तव्य मुलुकबाट रोजगारी गुमाएर फर्कने क्रम बढेको छ। कोरोना नियन्त्रण व्यवस्थापन समितिका अनुसार कोरोनाका कारण असहज परिस्थितिमा विदेशमा अलपत्र परेका ४ लाख ३६ हजार ४ सय ६६ जना स्वदेश फर्किएका छन्। गन्तव्य मुलुकबाट रोजगारी गुमाएर फर्किने अधिक, वैदेशिक रोजगारीमा जाने न्यून तथा स्वदेशमा पर्याप्त रोजगारी सिर्जना हुन नसक्दा बेरोजगारको विकराल स्थिति देखिएको छ। विभागका अनुसार चैत्र महिनाको तेस्रो सातासम्ममा १७ हजार ५ सय ८५, फागुन महिनामा १९ हजार ८ सय ८, माघमा १७ हजार ८ सय ८७ जना, पुसमा १४ हजार ७ सय ५३, मंसिरमा १२ हजार ४ सय ३१, कात्तिकमा ७ हजार ७ सय ९७, असोजमा ८ हजार ९७, भदौमा १ हजार ५ सय २५, साउनमा ३ हजार १ सय ५२ जना कामदार विदेश पुगेका छन्। अन्य देशको तुलनामा साउदीमा बढी कामदार पुगेका छन्। गत वर्ष चैत्रमा सरकारले लकडाउन घोषणा गरेको थियो। लकडाउनअघि नै वैदेशिक रोजगारी ठप्प भइसकेकाले चैत्रमा कोही पनि वैदेशिक रोजगारीमा गएनन्।"
"काठमाडौं उपत्यकामा १६ वैशाखदेखि निषेधाज्ञा : केके खुल्ने, केके बन्द हुने ?","काठमाडौं : कोरोना संक्रमणको जोखिम बढ्दै गएकाले उपत्यकाका तीन जिल्ला काठमाडौं, ललितपुर र भक्तपुरमा १६ वैशाखदेखि निषेधाज्ञा लगाउने निर्णय भएको छ। सोमबार बसेको उपत्यकाका तीन जिल्लाका प्रमुख जिल्ला अधिकारीको संयुक्त बैठकले यस्तो निर्णय गरेको हो। निषेधाज्ञाको विस्तृत सूचना केहीबेरमा सार्वजनिक हुँदैछ। निषेधाज्ञा अवधिभर अति आवश्यक बाहेकका सबै सेवा बन्द हुने छन्। तीन जिल्लाका सिडीओहरूको निर्णय गृहमन्त्रालयबाट अनुमोदन भएपछि सार्वजनिक सूचना जारी हुनेछ। आइतबार बसेको कोभिड १९ संकट व्यवस्थापन केन्द्र (सीसीएमसी) ले काठमाडौंलगायतका सहरी क्षेत्रमा संक्रमणको जोखिम बढ्दै गएकाले निषेधाज्ञा जारी गर्न सरकारलाई सिफारिस गरेको थियो। अत्यावश्यकबाहेक सबै सेवा स्थगित हुनेछन्। सार्वजनिक र निजी यातायात बन्द हुनेछन्। अत्यन्त जरुरी नपरेसम्म बाहिर निस्कन नपाइने व्यवस्था गरिएको छ। तर एम्बुलेन्स, शव बाहन, प्रेसको गाडी चल्न पाउने भएका छन्। त्यसैगरी होटल तथा रेष्टुरेन्टले होम डेलिभर गर्न अनुमति दिने तयारी छ। बैंक तथा वित्तीय संस्थाले तोकिएको मापदण्ड पालना गरेर सिमित जनशक्तिमा काम गर्नुपर्ने व्यवस्था गरिएको छ। सरकारी कार्यालयले पनि मापदण्ड पालना गरेर खोल्न सकिने व्यवस्था मिलाइएको छ। खाद्यान्न, तरकारी, दूधलगायत दैनिक उपभोग्य वस्तु बिक्री गर्ने पसल हरेक दिन निश्चित समयसम्म खोल्न पाइने छ। विद्यालय, पार्टी प्यालेस, सिनेमा हल, सार्वजनिक सभा तथा जुलुसलगायतका भीडभाड हुने गतिविधिमा यसअघि नै सरकारले प्रतिबन्ध लगाइसकेको छ।"
सुर्खेतमा पनि १४ वैशाखदेखि निषेधाज्ञा,"दैलेख : कोरोना भाइरस (कोभिड१९) को संक्रमण फैलिन थालेपछि मंगलबार मध्यरातदेखि सुर्खेतमा एकसाताको लागि निषेधाज्ञा घोषणा गरिएको छ । विश्वव्यापी रुपमा फैलिइरहेको कोभिड१९ को नयाँ भेरियन्टसहितको संक्रमण छिमेकी जिल्ला बाँके, बर्दिया लगाएत सुर्खेत जिल्लामा पनि तीब्ररुपमा बढ्दै गएको भन्दै एक साताका लागि निषेधाज्ञा घोषणा गरिएको हो । प्रमुख जिल्ला अधिकारी छविलाल रिजालका अनुसार वैशाख १४ गते राति १२ बजेदेखि २१ गते राति १२ बजेसम्म का लागि निषेधाज्ञा लागू गरिएको हो। कोभिड१९ को चेन ब्रेक गर्न र संक्रमणको जोखिम नियन्त्रण रोकथाम र उपचारका लागि निषेधाज्ञा घोषणा गरिएको प्रमुख जिल्ला अधिकारी रिजालले जानकारी दिए । यो अवधिमा आवश्यक सेवा र त्यसका लागि प्रयोग हुने सवारी साधन बाहेक अन्य सबै प्रकारका सेवाहरु बैंक तथा वित्तीय संस्था, सवारी साधन, पसल व्यवसाय बन्द रहनेछन् । स्थानीय प्रशासनले अत्यावश्यक काम बाहेकको हिँडडुलमा समेत निषेध गरेको छ । यो एक साताको अवधिमा स्वास्थ्य, शान्ति सुरक्षा, विद्युत, सूचना तथा संचार, खानेपानी, फोहोरमैला व्यवस्थापन, ग्यास पेट्रोलिमय पदार्थ, तरकारी, खाद्य तथा दुग्ध पदार्थ औषधि पसल, बैंकको एटिएम सेवा जस्ता अत्यावश्यक सेवाहरु एवं सार्वजनिक निर्माण कार्य र हवाइ सेवाहरु सञ्चालनमा रहनेछन् । यस्तै एम्बुलेन्स, शववाहन, दमकल, झण्डावाल सरकारी र निलो (कुटनीतिक) प्लेटका सवारी साधनहरु, अत्यावश्यक सेवा सञ्चालनमा खटिएका जनशक्तिले प्रयोग गरेका सवारी साधनहरु (परिचयपत्र अनविार्य हुनुपर्ने) सञ्चालन गर्न पाइनेछ । यी सेवा र कार्यमा संलग् कर्मचारी व्यक्तिहरुले अनिवार्य रुपमा कर्मचारी परिचय पत्र एवं पोषाक लगाएको हुनुपर्ने प्रशासनले जनाएको छ । प्रशासनले मास्क, भौतिक दूरी लगायतका जनस्वास्थ्यका मापदण्डको अनिवार्य पालना गरी दैनिक उपभोग्य वस्तुहरु तरकारी, खाद्य, दूध र ग्यासका पसलहरु बिहान ६ बजेदेखि ९ बजेसम्ममात्र सञ्चालन गर्न भनेको छ । आदेशको पालनना नगरी काममा बाधा पुर्याउने व्यक्तिलाई संक्रामक रोग ऐन २०२० तथा स्थानीय प्रशासन ऐन २०२८ बमोजिम कारबाही हुने स्थानीय प्रशासनले जनाएको छ ।"
ओली गुटका मान्छेलाई सरकारी निर्णय लाग्दैन ?,"काठमाडौं : नेकपा एमालेका नेता डाभीम रावलले प्रधानमन्त्री ओली र उनका गुटका मानिसलाई सरकारी निर्णय लाग्दैन कि भन्दै प्रश्न गरेका छन्। सोमबार सामाजिक सञ्जाल ट्वीटमा रावलले कोरोनाबाट जोगिन अरुलाई भेला बैठक, समारोह नगर्न आग्रह गर्ने प्रधानमन्त्री ओली र उनका निकटस्थहरू नै भेला, बैठक र समारोह गरिरहने भन्दै प्रश्न गरेका हुन्। कोरोनाबाट जोगिन अरुलाई भेला बैठक, समारोह नगर्न भन्ने तर प्रधानमन्त्री ओली र उहाँका निकटस्थहरू नै भेला, बैठक र समारोह गरिरहने यो के हो? प्रम ओली गुटलाई सरकारी निर्णय लाग्दैन र? कि उहाँको गुट सरकारी निर्णय र कानुनभन्दा माथि हुने कतै गोप्य अध्यादेश जारी भइसक्यो? कानुनका सामु सबै बराबर होइन र ? नेपालमा कोरोना भाइरस (कोभिड१९) संक्रमण दिनानुदिन बढ्दै गइरहेको छ। आइतबार कोरोनाबाट २८ जनाको मृत्यु भएको छ भने ३१ सय भन्दा धेरैमा संक्रमण देखिएको छ । सरकारले २५ जनाभन्दा बढी मानिस भेला नहुन आदेश दिएको छ। तर प्रधानमन्त्री भने उद्घाटन र विभिन्न बैठकमा व्यस्त छन्। कोरोना भाइरसको संक्रमण नियन्त्रणका लागि देशका विभिन्न जिल्लामा निषेधाज्ञा जारी गरिएको छ । कोरोना रोकथाम तथा नियन्त्रणका लागि काठमाडौं उपत्यकामा पनि १६ वैशाखदेखि निषेधाज्ञा जारी गरेको छ।"
सिरहाको धनगढीमाई नगरपालिकामा धनीपूर्जा वितरण,"सिरहाः वर्षौदेखि गाउँब्लोकमा घर बनाएर बसोबास गरे पनि जमिनको पूर्जाबाट वञ्चित रहँदै आएका सिरहा धनगढीमाई नगरपालिकाका स्थानीयहरुले जग्गाधनी पूर्जा पाउने भएका छन् । धनगढीमाई नगरपालिका नगर प्रमुख हरि नारायण चौधरी र नापी कार्यालय लहानका प्रमुख ई रबिन सिंहद्वारा संयुक्त रुपमा पहिलो चरणमा ३० जना जेष्ठ नागरिक, महिला दलित जग्गाधनीलाई पूर्जा वितरण सुरु गरेको हो । बाँकी रहेको जग्गाधनी पूर्जा बितरण कार्यक्रमलाई नगरपालिका र नापी कार्यालय लहानको समन्वयमा वडा कार्यालयमार्फत् बितरण गरिने नगर प्रमुखश्री हरि नारायण चौधरीले बताए । विशेषतःविपन्न परिवारले उक्त नगरपालिकामा वर्षौदेखि गाउँब्लकको जग्गामा सयौंले बसोबास गरे पनि हालसम्म जग्गाधनी लालपूर्जा पाउन सकेका थिएनन् ।"
"प्रमुख जिल्ला अधिकारीको बैठक, उपत्यकामा थप कडाइ गर्ने तयारी","काठमाडौं : कोरोना भाइरस (कोभिड १९) संक्रमण नियन्त्रण गर्न उपत्यकामा थप कडाइ गर्ने तयारी गरिएको छ । कोरोना रोकथाम तथा नियन्त्रणबारे थप रणनीति बनाउन काठमाडौं, भक्तपुर र ललितपुरका प्रमुख जिल्ला अधिकारीको संयुक्त बैठक बसिरहेको छ। बैठक दिउँसो १ बजे बस्न लागेको जनाइएको छ। कोरोना संक्रमण नियन्त्रण तथा रोकथामका लागि आजै बेलुका मन्त्रिपरिषद् बैठक समेत डाकिएको छ । मन्त्रिपरिषद्ले यसअघि नै रात्रिकालीन व्यवसाय पूर्णरुपमा बन्द गरेको छ । आइतबार बसेको संकट व्यवस्थापन केन्द्र (सीसीएमसी)ले पाँच सयभन्दा बढी संक्रमित फेला परेका ठाउँमा निषेधाज्ञा लगाउन मन्त्रिपरिषद्लाई सिफारिस गरेको थियो । सीसीएमसी बैठकले २ सय भन्दा बढी सक्रिय संक्रमित रहेका पहाडी क्षेत्र र ५ सयभन्दा बढी सक्रिय संक्रमित रहेका तराईका जिल्ला तथा सहरी क्षेत्रमा वैशाख १५ गतेदेखि निषेधाज्ञा जारी नगरे स्थिति नियन्त्रणबाहिर जाने बताएको छ।"
माधवपक्ष माथिको कारवाही रोक्न सर्वोच्चले दिएन अन्तरिम आदेश,"काठमाडौं : सर्वोच्च अदालतले माधवकुमार नेपालसहित एमाले नेताहरूमाथि एमालेले अघि बढाएको कारबाही रोक्न अन्तरिम आदेश दिन अस्वीकार गरेको छ। माधवझलनाथ समूहका नेताहरूको रिटमाथि सुनुवाइ गर्दै न्यायाधीश प्रकाश ढुंगानाको एकल इजलासले स्पष्टीकरण सोधेको आधारमा अन्तरिम आदेश दिइरहन नपर्ने ठहर गरेको हो। माधवकुमार नेपाल, भीम रावल, घनश्याम भुसाल र सुरेन्द्र पाण्डेले संयुक्त रुपमा १४ बुँदे मागसहितको रिट पेश गरेका थिए। माधव पक्षीय नेताहरुले निर्वाचन आयोगमा भएको एमालेका अभिलेख र विवरणमा कुनै परिवर्तन नगराउनु भन्ने परमादेश आयोगका नाममा जारी हुनुपर्ने माग गरेका थिए। आफूहरुले दल त्याग गरेको भनी एमालेले कारवाही गर्न सक्ने पूर्ण आशंका भएकाले उक्त कार्य रोक्न माग गरेका थिए। साथै संघीय संसद सचिवालयलाई सांसद पद रिक्त गर्ने प्रक्रियाको पत्र गएमा सो कार्य नगर्न परमादेश माग गरेपनि अदालतले अन्तरिम आदेश नदिएको हो। रिटनिवेदकको तर्फबाट वरिष्ठ अधिवक्ताहरु शम्भु थापा, हरिप्रसाद उप्रेती, खगेन्द्रप्रसाद अधिकारी र डा चन्द्रकान्त ज्ञवाली र अधिवक्ताहरु सुरेन्द्र थापा, टिकाराम भट्टराई, गोविन्दप्रसाद शर्मा र अम्बरबहादुर राउतले बहस गरेको सर्वोच्चले जनाएको छ। अदालतले माग बमोजिम आदेश जारी हुनु नपर्ने कुनै आधार कारण भए सबुत प्रमाणसहित बाटोको म्याद बाहेक १५ दिनभित्र लिखित जवाफ पेश गर्न विपक्षीको नाममा आदेश दिएको छ। एमालेको पक्षमा आउने प्रतिवद्धतासहित सप्रमाण जवाफ प्राप्त भएमा पार्टीले विचार गर्ने नै छ भनी उल्लेख भएको व्यहोराबाट स्पष्टिकरण सोधिएको तर त्यस उपरको जवाफ र कुनै कारवाही भई सकेको अवस्था निवेदन सम्वद्ध मिसिलबाट देखिंदैन।जारी आदेशमा भनिएको छ,हालको प्रारम्भिक अवस्थामा पार्टीको आन्तरिक कार्य व्यवस्थापनको सिलसिलामा स्पष्टिकरण सोधिएकै भरमा मात्र माग गरे बमोजिमको अन्तरिम आदेश जारी गरिरहनुपर्ने अवस्था नदेखिंदा अन्तरिम आदेश जारी गर्नु परेन। कानुन बमोजिम गर्नुहोला।"
खोप आपूर्तिका लागि कूटनीतिक सक्रियता बढाउन सरकारलाई देउवाको आग्रह,"काठमाडौं : नेपाली कांग्रेसका सभापति शेरबहादुर देउवाले कोभिड१९ विरुद्धको खोपको परिपूर्तिका लागि कूटनीतिक सक्रियता बढाउन सरकारसँग आग्रह गरेका छन्। उनले नेपालमा ठूलो संख्यामा खोपको आवश्यकता भएपनि सरकार समयमा गम्भीर नहुनाले खोपको समुचित व्यवस्था हुन नसकेको आरोप लगाएका छन्। सोमबार जारी गरेको विज्ञप्ति जारी गर्दै उनले संकमितहरुको उपचार पूरा गर्न देशको स्वास्थ्य संरचनाले धान्नै नसक्ने स्थिति बनेको उल्लेख गरेका छन्। देउवाले जारी गरेको विज्ञप्तिमा भनिएको छ, परिस्थितिलाई थप जटिल हुन नदिन तत्काल कोभिड१९ को संक्रमणलाई रोक्ने हर सम्भव उपायहरु गर्न म सरकारसँग माग गर्दछु। साथै संकमितहको उपचारका लागि आवश्यक स्वास्थ्य संरचना, स्वास्थ्य सामाग्रीहरुको उपलब्धता र स्वास्थ्यकर्मीहरुको मनोवल उच्च राख्न आवश्यक व्यवस्था मिलाउने तर्फ सरकार गम्भीर हुन माग गर्दछु। उनले चाडोभन्दा चाडो आवश्यक खोपको व्यवस्था मिलाउनेतर्फ ठोस योजनासहित कुटनैतिक सक्रियता बढाउनुपर्नेमा जोड दिएका छन्। विकसित राष्ट्रहरुले खोप उत्पादक संस्थाहरुसँग आआफ्नो देशहरुको आवश्यकताभन्दा पनि बढी संख्यामा अग्रिम बुकिङ सुरक्षित गरेको बताउँदै देउवाले अग्रीम बुकिङ गर्न नसकेका नेपालजस्ता देशहरुलाई वुकिङ भएको संख्यामध्येबाट खोप सुविधा उपलब्ध गराउनसमेत आग्रह गरेका छन्। उनले कोभिड१९ वाट सुरक्षित हुन, अनिवार्य मास्क लगायतका सुरक्षा व्यवस्था र सक्रमण रोकथामका लागि आवश्यक अन्य स्वास्थ्य सुरक्षा प्रोटोकलको अनुसरण गर्न अनुरोध गरेका छन्।"
मन्त्रिपरिषद् बैठक : आन्तरिक उडान तत्काल नरोक्ने,काठमाडौं : सरकारले आन्तरिक उडान तत्काल नरोक्ने भएको छ। सोमबार बसको मन्त्रिपरिषद् बैठकले कोरोना नियन्त्रणका लागि कोभिड१९ संकट व्यवस्थापन केन्द्र (सीसीएमसी) ले गरेका विभिन्न सिफारिसलाई परिमार्जनसहित पारित गरेको हो। विदेशबाट आउने यात्रुले अनिवार्य रुपमा होटल क्वारेन्टाइनमा बस्नुपर्ने बैठकले निर्णय गरेको छ। हवाई यात्रुहरूमा स्वास्थ्य प्रोटोकल कडाइपूर्वक पालना गरेनगरेको निगरानी सम्बन्धित निकायले गर्ने बताइएको छ। सीसीएमसीले बैशाख १५ गतेदेखि आन्तरिक हवाई उडान रोक्न सिफारिस गरेको थियो। सीसीएमसीले गरेको सिफारिस अनुसार भौतिक उपस्थितिमा हुने पूर्व निर्धारित सबै प्रकारका परीक्षा अर्को आदेश नभएसम्मको लागि स्थगित गर्ने निर्णय मन्त्रिपरिषद् बैठकले पारित गरेको छ। विद्यालय तथा शिक्षण संस्थाहरुले भर्चुअल तथा वैकिल्पक विधिबाट पठनपाठन गर्नुपर्ने भएको छ। बैठकले पहाडी तथा हिमाली जिल्लामा २०० र उपत्यकाका साथै तराईमधेसमा ५०० बढी संक्रिय संक्रमित भएका जिल्लामा स्थानीय प्रशासनले वैशाख १६ गतेबाट निषेधाज्ञा जारी गर्न सक्ने बैठकले निर्णय गरेको छ। यसैगरी सीमानाकामा कडाइ गर्न निर्देशन दिएको छ।
