शीर्षक,विवरण
एकान्तकुनामा यसरी बिक्री गरिन्छ लाइसेन्स,"काठमाडौं : डिजिटल प्रणालीबाट सेवा सहज भयो। तर यसको दुरुयोग भने डर लाग्दो छ। बिचौलीया र कर्मचारीले यो प्रणालीको हदैसम्म दुरुपयोग गरेर मालामाल बन्न सक्छ। सेवाग्राहीको व्यक्तिगत विवरण सिस्टमबाट मेटेर अर्कैको बनाइदिन पनि सक्छ। यस्तै जघन्य अपराध भएको छ, यातायात व्यवस्था कार्यालय, सवारी चालक अनुमति पत्र, एकान्तकुना, ललितपुरमा। यहाँका कर्मचारीहरु बिचौलियासँग सेटिङ मिलाएर अख्तियारीको दुरुपयोग मात्रै गरेका छैनन्, विविध कारणले नवीकरण नभएका तथा स्वतः रद्द भएका ५३३ जनाको नाममा जारी भएको सवारी चालक अनुमतिपत्र चोरबाटोबाट नयाँ व्यक्तिको नाममा पुनः जारी गरेको खुलेको छ। यसरी बिक्री भयो लाइसेन्स यातायात व्यवस्था कार्यालय एकान्तकुनाका सूचना अधिकारी कपिल सिलवालका अनुसार हामीले इडीएलआरएसभीआरएस स्टिम प्रयोग गर्छौं। त्यसमा एडिट एप्लिकेन्ट भन्ने टुल छ। यो विधि प्रयोग गरेर लाइसेन्सबाहक (चालकअनुमतिपत्र लिएका व्यक्ति)को सम्पूर्ण विवरण परिवर्तन गर्न सकिन्छ। त्यो टुल्स किन राखिएको हो भने, कहिलेकाहीँ चालक अनुमतिपत्र बाहकको नाम, ठेगाना, थर, केही विषय, विवरण गलत भयो भने सच्याउनका लागि राखिएको हो। यो टुलस्को दुरुपयोग गरेर एउटा व्यक्तिको नाममा रहेको लाइसेन्सलाई अर्कै व्यक्तिको फोटो, सिग्नेचर, औंठा छापसम्म परिवर्तन गरि अर्कै नामको व्यक्तिको नाममा कायम गरेको छ। यातायात व्यवस्था सेवा कार्यालय एकान्तकुनाले यो सिस्टम २०७३ साल मंसिरदेखि लागू गरेको थियो। सूचना अधिकारी सिलवाल भन्छन्, सिस्टमको दुरुपयोग गरेर पाँच सय ३३ वटा लाइसेन्स जारी भएको अख्यिारको छानविनमा आएको छ। छानविनमा नआएको अरु थुप्रै कति होला। यो प्रणालीमा अत्यन्तै लुपहोल (चोरबाटो) छन्। र, इडीएलआरएसभीआरएस कमजोर प्रणाली पनि हो। प्रमुखसहित १७ विरुद्ध मुद्दा लाइसेन्स प्रकरणमा यातायात व्यवस्था कार्यालय, सवारी चालक अनुमतिपत्र, एकान्तकुना, ललितपुरका तत्कालीन कार्यालय प्रमुख सम्बरबहादुर कार्की र राजुभाइ कुस्मा, मेकानिकल इन्जिनियर विजयराज गिरीसमेत गरी १२ जना कर्मचारी र ५ जना बिचौलिया गरी १७ जना बिरुद्ध अख्यियार विशेष अदालतमा मुद्दा हालेको छ। अनि घुस खाने बाटो फेरियो अब पहिलाजस्तो सरकारी अड्डामा हाँकाहाँकी घुस चल्दैन। सबै ठाउँमा सीसी क्यामरा जडान छ। अनि सेवाग्राहीको हातमा क्यामरा भएको मोबाइल छ। कर्मचारीहरु कार्यालयमा घुस लिन डराउँछन्। लाइसेन्सको ट्रायल दिने ठाउँमा पनि सीसी क्यामरा झुण्डियाइएको छ। घुस खाएर फेल गरेकालाई पास गर्नु कसैले हिम्मत गर्दैन। यातायात कार्यालयमा काम गरिरहेका एक वरिष्ठ अधिकृत सुनाउँछन्, कमाई खाने भाँडो सुक्यो। न कमाई पेट नमान्ने भयो। अनि कर्मचारीले बिचौलियासँग सेटिङ मिलाए सिस्टम दुरुपयोग गरौं। हाम्रो सबै सवारी साधन र चालक अनुमतिको विवरण इडीएलआरएसभीआरएस प्रणालीमा इन्ट्री छ। केही विवरण गल्ती भयो भने सच्याउने सुविधा पनि यसमा छ। यसको फाइदा उठाउँदै कर्मचारीले बिचौलियासँग मिलेर अर्काको नाममा जारी रहेको लाइसेन्सका विवरण मेटाउँदै नयाँ व्यक्तिको विवरण राखेर चालक अनुमतिपत्र जारी गरेको यसैको करामत हो। दुरुपयोगको हद अड्डाका ढड्डा च्यातिए। किराधमिराले खाए। कति हराए। भिडभाडको अड्डामा सेवाग्राही हैरानी हुन थाल्यो। अभिलेख नभेटाएर कामै नहुने भयो। अनि सरकारले अनलाइन प्रणाली ल्यायो। सिस्टम बनाएर सबै कागजात सर्भरमा राख्ने काम भयो। तर, कर्मचारीले बिचौलियासँग मिलेर डिजिटल प्रणालीको पनि चरम दुरुपयोग गरेका छन्। पाँच वर्षभित्र नवीकरण नगराएर चालक अनुमतिपत्र स्वतः रद्द हुन्छ। तर यस्ता लाइसेन्सहरुलाई पनि दलालहरुसँगको लेनदेनमा कर्मचारीहरु पुनः अर्को व्यक्तिको नाममा जारी गर्नु पछाडि ठूलो खेल छ। अब पहिलाजस्तो पैसा दिएर ट्रायलमा ठेलुवा पास हुँदैन। ट्रायल पास गर्नेको हातमा मात्रै लाइसेन्स पर्छ, यातायात विभागमा काम गर्ने एक कर्मचारी भन्छन्, युवाहरुले फयाट्टै पास गर्छन्। बुढापाखाहरु गर्न सक्दैन। लाइसेन्स विना ट्राफिकले बाटोमा गाडी गुडाउन दिँदैनन्। अनि त्यस्ता व्यक्तिहरु बिचौलियामार्फत् लाइसेन्स लिन्छन्। कमाउन विदेश जानेहरु पनि छिटोका लागि दलालकै भर पर्ने गरेको उनले सुनाए। बिचौलिया मालामाल चोरबाटोबाट लाइसेन्स बनाउन कति खर्च लिन्छ बिचौलियामार्फत् कर्मचारीले भन्ने प्रश्नमा उनले भने, घुसको कुनै रेट हुँदैन। उनका अनुसार पहिला बिचौलियाले २५३० हजार दिएर काम गराउँछन्। यो अवस्था दलाललाई कमाई निकै थोरै हुन्छ। तर कमाउने बाटो बनिहेको हुन्छ। मनग्य पैसा पाएर कर्मचारी हैसिएर एक, दुई पटक काम गर्छ। चरा फाल्दै जसरी सिकारीले चरालाई जालमा फसाउँछ, त्यसैगरी बिचौलियाले कर्मचारीलाई फसाउँछन्। अनि २५३५ हजार दिएर काम गराएको ठाउँमा घटाउँदै गएर ५ सयमा झार्छ। उता बिचौलियाले मनग्य माल कमाउँछ। काम गरेन भने बिचौलियाले कर्मचारीलाई थर्काउँछ, काम गर्नु भएन भने अख्तियारमा मुद्दा हालिदिन्छु। कर्मचारी डराएर खुरुखुरु काम गरेर बिचौलियालाई पठाउँछ। सेवाग्राहीलाई सास्ती, बिचौलियालाई मस्ती देशको सबैभन्दा बढी सेवाग्राही पुग्ने अड्डा हो ललितपुरको एकान्तकुनास्थित यातायात व्यवस्था कार्यालय। जहाँ बाटैबाट बिचौगियाले सेवाग्राहीलाई घेर्छ। झुक्याएर काम गराइदिने नाममा लुट्छन्। टोकन लिएर लाइन बसेका सेवाग्राहीले वर्षदिनसम्म पनि लाइसेन्स पाउँदैन। तर बिचौलियामार्फत् जाँदा चाँडै लाइसेन्स बन्ने गरेको सेवाग्राहीहरु बताउँछन्। यातायात कार्यालय वरिपरि करिब ३ सय बढी बिचौलियाहरु छन्। कर्मचारीसँग सेटिङ मिलाएर दलालहरुले चोर बाटोबाट काम गराउँछन्। यसरी यातायात कार्यालय दलालको कब्जामा परेको सेवाग्राही बताउँछन्। बागमती प्रदेशअन्तर्गतको यो कार्यालय बिचौलियाले चलाइरहेका छन्। त्यसको मारमा सोझासाझा सेवाग्राही परेका छन्। ट्रक, बस, टिपरको लाइसेन्स बनाइदिने भन्दै सेवाग्राहीसँग १ लाख २० हजारसम्म लिने गरेका छन्। बिचौलियाहरु भित्र नजानुस्, कामै हुँदैन, भन्छन्। सेवाग्राहीको आत्मबल कमजोर बनाउँछन्। नुवाकोटको नवराज चालिसे भन्छन्, टोकन लिनेहरु पालो कुरेर बस्छन्। बिचौलियाले चोरबाटोबाट आफ्नो फाइल कर्मचारीको टेबलमा पुर्याएर काम गराउँछन्। कर्मचारीहरु दलालबाट घुस खान पल्केका छन्। त्यस्तालाई कसले छेक्ने? लाइसेन्स बनाउन मैले कतिलाई बैनामा पाँच सय दिए। तर लाइसेन्स बनेको छैन। जोड्दा १० हजार जति बैनामै गयो होला। सबै ठगेर भाग्छन्, बिचौलीबाट ठगिएकाहरु एक युवा फतफताउँदै थिए। गाडीको बुलबुक रिन्यू गर्न इलामबाट त्यहाँ पुगेका इन्द्र कुमार राई भन्छन्, बिचौलियाले बाटैमा सेवाग्राहीलाई झुक्याउँछ। यहाँ उनीहरुकै राज्य चल्ने गरेको सुनाए। काम लिएर आएका पुगेका ललितपुरका ५२ वर्षीय श्याम डंगोलको अनुभुति उस्तै छ। सरकारी कार्यालयको बेथिति कहिलेसम्म हामीले भोग्ने?, उनी प्रश्न गर्छन्। यातायातले यात्रा सजिलो भएको छ। तर गाडी गुडाउन लाइसेन्स चाहिन्छ। त्यो कागज लिन र रिन्यू गराउन सेवाग्राहीले ठूलै संघर्ष गर्नु पर्ने रसुवाका पासाङ्ग दिनडुय तामाङ्ग भन्छन्।"
"बाबुसँग असहमति, सरकारी गाडी तोडफोड","विराटनगर : आफ्ना बाबुले गरेको निर्णयमा असहमति जनाउँदै मोरङको ग्रामथान गाउँपालिकाका अध्यक्ष जयप्रकाश गच्छदार थारुका छोरा ज्योती गच्छदार थारुले सरकारी गाडी तोडफोड गरिदिएका छन्। ज्योतीले गाउँपालिकाको प्रदेश १को १ झ ५७८ नम्बरको गाडी मंगलबार साँझ तोडफोड गरिदिएका हुन्। गाउँपालिका परिषरमै राखिएको बेला गाडी तोडफोड गरिएको हो। ढुंगाले प्रहार गरेर पछाडिको शिशा फुटाइएको छ। गाडी गाउँपालिका अध्यक्ष जयप्रकाशले नै प्रयोग गर्दै आएका थिए। गाउँपालिकाको बजेट निर्माणलगायतका विषयमा मंगलबार दिनभर छलफल भएको थियो। विभिन्न समिति निर्माणको विषयलाई पनि छलफलको एजेन्डा बनाइयो। तर कांग्रेसबाट बहुमतसहित अध्यक्षमा निर्वाचित जयप्रकाशले एमालेबाट निर्वाचित वडाअध्यक्षहरुलाई कार्यपालिकाभित्रका विभिन्न समितिमा जिम्मेवारी नदिएको विषयमा विवाद भयो। अन्ततः एमालेका वडाध्यक्षलाई पनि केही समितिको जिम्मेवारी दिन जयप्रकाश तयार भए। तर उनका छोरा ज्योती भने एमालेलाई पेलेर जानुपर्छ भन्ने पक्षमा थिए। एमालेबाट निर्वाचित भएकालाई जिम्मेवारी दिन नहुने माग राख्दै आएका ज्योतीले निर्णयप्रति असहमति जनाउँदै आफ्ना बाबुले चढ्दै आएको सरकारी गाडी तोडफोड गरिदिएको एक जनप्रतिनिधिले बताए। गाउँपालिका अध्यक्षले एमालेका वडाध्यक्षलाई केही समितिको संयोजक बनाउन सहमति दिएपछि विवाद भएछ, ती जनप्रतिनिधि भन्छन्, त्यसको विरोधमा उत्रिएर उनकै छोराले गाउँपालिकाको गाडी तोडफोड गरिदिएका हुन्। गाउँपालिका अध्यक्ष जयप्रकाशलेपनि आफ्नो छोराले गाडी तोडफोड गरिदिएको स्वीकार गरेका छन्। तर घटनालाई भने सर्वदलीय बैठक राखेर बुधबार मिलाइएको छ। सहमतिका नाममा तोडफोडमा संलग्न ज्योतीलाई कारबाही नगरिकन उन्मुक्ति दिइएको हो। सरकारी गाडी तोडफोड गरिएको भएपनि गाउँपालिका अध्यक्षका छोरा भएकाले उन्मुक्ति दिइएको भन्दै चौतर्फी विरोध भएको छ। त्यसअघि जयप्रकाशले छोराले जाँड खाएर गाडी तोडफोड गरेकाले कारबाही हुने बताएका थिए। मेरो छोरा वा नाति जो भए गलत गर्ने छुट छैन। कारबाहीको प्रक्रिया अघि बढाइसकिएको छ, उनले भनेका थिए, उपाध्यक्ष, वडाध्यक्षलगायतका जनप्रतिनिधिसँग छलफल गर्छु। कारबाही अघि बढाउने विषयमा प्रहरीसँग पनि सल्लाह भइसकेको छ। तर अध्यक्षको प्रतिवद्धताविपरीत गाडी तोडफोडमा संलग्न उनका छोरालाई भने कुनै कारबाही भएन। उल्टै सर्वदलीय बैठक राखेर आगामी दिनमा यस्तो गतिविधि नगर्ने सर्तमा उन्मुक्ति दिइएको छ। अध्यक्ष जयप्रकाशले सर्वदलीय बैठकको सहमति अनुसार कारबाही अघि नबढाइएको बताए । एक पटकलाई गल्ती भइहाल्यो । अब दोहोर्याएमा कारबाही अघि बढाउने सहमति बैठकमा भएको छ, उनले भने, गाडी मर्मत गर्दा लाग्ने खर्च बेहोर्ने सर्तमा सहमति भएको हो। गाउँपालिका स्थानीय सरकार नै भएकाले यति निर्णय लिन सक्ने अधिकार छ। तोडफोड गरिएको गाडी बनाउने र कारबाही अघि नबढाउने विषयमा बैठकमा सहभागी सबै दलका प्रतिनिधिले हस्ताक्षर गरेको उनको भनाइ छ। एमालेबाट गाउँपालिकाको उपाध्यक्ष निर्वाचित गुणवतिदेवी धामी थारुले गाउँपालिका अध्यक्षका छोराले उदण्डता प्रदर्शन गरेको बताइन्। गाउँपालिका अध्यक्षले एमालेलाई पेलेर जाने नीति लिएपछि आफूहरुले फरक मत राखेको उनको भनाइ छ। हामीले फरक मत राखेपछि गाउँपालिका अध्यक्ष सहमतिमा आउनु भयो। तर उहाँकै छोराले बाबुसँगको रिस सरकारी गाडीमाथि पोखिदिएको पायौं, उनले भनिन्, सार्वजनिक सम्पत्तिमा क्षति पुर्याउनु सरासर गलत काम हो। हामीले विरोध गर्यौँ।यस विषयलाई कार्यपालिका बैठकमा उठाइएपनि सर्वदलीय बैठक राखेर चौतर्फी दबाबमा घटना मिलाइएको गुणवतिदेवीको भनाइ छ। सर्वदलीय बैठक राखेर छोरालाई कारबाही अघि नबढाउने भन्दै सुरुमा अध्यक्षले नै हस्तक्षर गर्नुभयो, उनले भनिन्, त्यसपछि हामी पनि बाध्य भयौं।"
भलिबल संघ डोटी अध्यक्षमा खड्का,"डोटी : डोटी जिल्ला भलिबल संघको अध्यक्षमा राजबहादुर खड्का चयन भएका छन्। बधबार सिलगढीमा सम्पन्न पाँचौ जिल्ला अधिबेशनबाट खड्काको नेतृत्वमा १३ सदस्यीय जिल्ला कार्य समिति गठन भएको हो। कार्य समितिको वरिस्ट उपाध्यक्षमा नरेन्द्रबहादुर खड्का, उपाध्यक्षमा योगेन्द्र बिक्रम शाही चयन भएका छन्। त्यसैगरी सचिबमा गणेशबहादुर कठायत, कोषाध्यक्षमा प्रसिष महरा चयन भएका छन्। समितिको सदस्यहरूमा सिताराम नाथ, भूपेन्द्रबहादुर खड्का, लालबहादुर जोरायल, डम्बरराज भट्टराई, राजेश श्रेष्ठ, नवराज मलासी, बेदप्रसाद जोशी र सुजित राना रहेका छन्।"
पाँच वर्षदेखि १२ वर्षमुनिका बालबालिकालाई भोलिदेखि फाइजर खोप,"काठमाडौं : भोलिदेखि पाँच वर्षदेखि १२ वर्षमुनिका बालबालिकाका लागि कोरोना भाइरसविरुद्धको खोप फाइजर बायोएनटेक लगाइने भएको छ। जिल्ला स्वास्थ्य कार्यालयले आज पत्रकार सम्मेलन गरी काठमाडौंमा खोप लगाउनका लागि तयारी पूरा भएको जनाएको हो। कार्यालयका प्रमुख वसन्त अधिकारीले भोलिदेखि यही असार १५ गतेसम्म काठमाडौं जिल्लाका एक लाख ९० हजार बालबालिकालाई कोरोना भाइरसविरुद्धको खोप लगाउने जानकारी दिए। देशभरि ३९ लाख बालबालिकालाई कोरोना भाइरसविरुद्धको खोप लगाइने छ। उनका अनुसार बालबालिकालाई खोप लगाउनका लागि एक हजार ३०० खोप केन्द्र तोकिएका छन्। खोप यही असार ५ गते अमेरिकाको सहयोगमा कोभ्याक्समार्फत् करिब २२ लाख मात्रा आएको थियो। कार्यालयले काठमाडौंका बालबालिकालाई विद्यालयमा नै खोप केन्द्र स्थापना गरी खोप लगाउँदै छ। उनले विद्यालयबाहेक बालमन्दिर र कारागारमा समेत खोप लगाइने छ। स्वास्थ्य सेवा विभागका महानिर्देशक डा दीपेन्द्ररमण सिंहले खापको प्रभावकारिता नेपालमा ९१ प्रतिशत रहेकाले सबैले खोप लगाउन आग्रह गरे। खोप लगाउनका लागि खोप केन्द्रमा एक जना तालिम प्राप्त स्वास्थ्यकर्मी राखिने छ। कार्यालय प्रमुख अधिकारीले खोप लगाएमा बालबालिका केही असर देखिने भएकाले खोप केन्द्रमा नै उपचारको व्यवस्था गरिएको जानकारी दिए। उनका अनुसार बालबालिकालाई खोप लगाएपछि समस्या देखिए तत्काल उपचारका लागि एड्रिलाइन इन्जेक्सनसमेत खोप केन्द्रमा राखिने छ। खोप लगाएपछि टाउको दुख्ने, वाकवाकी लाग्ने, बान्ता हुने, सुई लगाएको ठाउँ रातो हुने, शरीर चिलाउने, बिमिरा तथा डाबर आउनेजस्ता समस्या हुने गर्छन्। असार ९ गतेदेखि १५ गतेसम्म २७ जिल्ला बालबालिकालाई पहिलो मात्रा र सोही समूहलाई साउन २ देखि ८ गतेसम्म दोस्रो मात्राको खोप दिइने छ। यस्तै दोस्रो चरण ५० जिल्लामा भदौ ५ देखि ११ गतेसम्म पहिलो मात्रा र सोही समूहलाई दोस्रो मात्रा भदौ २७ देखि असोज १ गतेसम्म सञ्चालन गरिने छ। पाँच वर्षदेखि १२ वर्षमुनि उमेरका विद्यालयले तयार गरेको कक्षागत सूची, नामावली, विद्यालयले उपलब्ध गराएको परिचयपत्रको आधारमा खोप लगाइने छ। यस्तै विद्यालयमा सूचीकृत नभएका बालबालिकाको हकमा उमेर खुल्ने परिचयपत्र वा निजको अभिभावकले स्वःघोषणा गरेको उमेर पुगेका बालबालिकालाई खोप लगाइने छ। खोप एक स्थानीय तहलाई एकै चरणमा सम्पन्न गर्ने गरिने छ। खोप केन्द्रमा कम्तीमा एक जना खोप दिने स्वास्थ्यकर्मी र थप लक्षित सङ्ख्याको आधारमा थप स्वास्थ्यकर्मी तथा दुई जना स्वयंसेवक र प्रति २०० थप लक्षित सङ्ख्याको लागि थप एक जना स्वयंसेवक परिचालन गरिने छ।"
सेनाले गरिब उठाएको सुहाएन,"दैलेखको दुल्लु नगरपालिका८ साहुवाडास्थित गढी क्षेत्रमा करिब ५४ रोपनी जग्गामा १८ वर्षदेखि नेपाली सेनाको भवानी बक्स गण बसेको छ। त्यो जग्गा २५ दलितसहित ४३ घरपरिवारको हो। स्थानीयको जग्गामा वार्षिक बालीनालीको क्षतिपूर्ति तिर्ने गरी सेनाको बेसक्याम्प स्थापना गरिएको थियो। सशस्त्र द्वन्द्वको बेला सुरक्षा हुने ठानेर सेनालाई जग्गा दिएका वा दिन बाध्य पारिएकाहरूको दैनिकी भने सधैं कष्टकर बन्यो। द्वन्द्वको बेला त उनीहरूले सुरक्षा पाएको भनेर चित्त बुझाए। शान्ति प्रक्रियापछि चांही जनताले सांच्चै पिडित बनेको महुसस गरे। जग्गाको लालपुर्जा त छ, तर भोगचलन गर्न पाएका छैनन्। सेनाले कब्जा गरेपछि कतिपयसंग त एक टुक्रा पनि जमिन बांकी रहेन। जग्गा भएर पनि सुकुम्बासी बन्नु परेको छ। कसैसँग घरबास मात्र बचेको छ। एक चौथाइ परिवारको त उठीबास नै लागेको छ। कोही भारत पलायन भएका छन्। जग्गा उपभोग गरेबापत सामान्यबाहेक पीडितले कुनै राहत र क्षतिपूर्ति पाएका छैनन्। न त जग्गा अधिग्रहण गरेर स्थानीयलाई मुआब्जा नै दिइएको छ। देशमा शान्ति सम्झौता भएको १६ वर्ष बितिसक्दा पनि सेनाले स्थानीयको जग्गा फिर्ता गरेको छैन। द्वन्द्वका बेलामा देशभर नै धेरै ठाउँमा सुरक्षा बेस क्याम्पहरू स्थापना भएका थिए। तत्कालीन सरकारलाई सुरक्षाफौज राख्नुपर्ने बाध्यता थियो। स्थानीय माग थियो। तत्कालीन आवश्यक्ताका आधारमा सरकारी र निजी जग्गामा नेपाली सेना, सशस्त्र प्रहरी बल, नेपाल प्रहरीलाई राखिएको थियो। शान्ति प्रक्रियापछि धेरै ठाउँमा सुरक्षा निकायले कब्जा गरेका जग्गा फिर्ता भएका थिए, तर दुल्लुमा भएन। द्वन्द्व सकिएर देश शान्ति प्रक्रियामा आएको डेढ दशक बढी समय हुँदा पनि सशस्त्र द्वन्द्वकै धङधङ्गी आउने गरी सेनाले निमुखा र गरिब जनताको जग्गा कब्जा गरिरहनु संघीय गणतान्त्रिक मुलुकको लागि शोभनीय कुरा होइन। यसरी निरन्तर जग्गा कब्जा हुनुले रक्षकबाटै जनताले असुरक्षित महसुस गर्छन। राष्ट्रिय सुरक्षाको पहरेदार नेपाली सेनालाई संघीयतामा पनि स्थानीयको जग्गा कब्जा गरेको आरोप लाग्नु उचित होइन। साथमा लालपुर्जा, जग्गामा सेना : सरकारले नै बनायो सुकुम्बासी शान्ति प्रक्रियापछि पनि दुल्लुवासीले सेना हटोस् भन्ने चाहेका छैनन्। त्यही कारण पनि सशस्त्र द्वन्द्वका बेला स्थापना गरिएका सुरक्षा निकायलाई सरकारले व्यवस्थापन गर्दा पनि दुल्लुको सैनिक क्याम्प नहटेको हो। सेनाको गण नै हटाउनु पर्दैन। स्थानीयले पनि हटाऊ नै भनेका छैनन्। सर्प पनि मर्ने लठ्ठी पनि नभाँचिने गरी सरकारले सेनाका लागि सोही क्षेत्रमा जग्गा उपलब्ध गराएर स्थानीयको जग्गा फिर्ता गर्नुपर्छ। सरकारले दुल्लुको ४३ घरको बस्ती नै स्थानान्तरण पनि गर्न सक्छ। रारा राष्ट्रिय निकुञ्ज बनाउँदा मुगुका जनतालाई बाँके र बर्दियामा स्थानान्तरण गरे झैं दैलेखमै कतै उपयुक्त स्थानमा स्थानान्तरण गर्न सक्छ। स्थानीयलाई उचित मुआब्जा दिएर सो जग्गा सेनाले नै प्रयोग गर्न सक्छ। यस्तो मुआब्जा नेपाली सेनाको भवानी बक्स गणले त दिनै सक्दैन। न त सैनिक हेडक्वाटरले नै दिन सक्न सक्छ। नेपाल सरकारले राष्ट्रिय गौरवका आयोजना बनाउँदा जसरी मुआब्जा दिन्छ, त्यसैगरी सैनिकले प्रयोग गरेको स्थानीयको जग्गाको पनि मुआब्जा दिनुपर्छ। यतिका वर्षसम्म सेनाले जग्गा उपभोग गरेबापत सरकारले स्थानीयलाई राहत र क्षतिपूर्ति पनि दियो भने मात्र जनमुखी सरकारले जनताप्रति न्याय गरेको ठहर्छ। सेनाले कब्जा गरेको जग्गाको लालपुर्जा देखाउँदै स्थानीय दलित महिला। तस्बिर : हिक्मतबहादुर नेपाली"
नागरिकता विधेयक संसदमा अगाडि बढाउने प्रधानमन्त्रीको प्रस्ताव,"काठमाडौं : प्रधानमन्त्री शेरबहादुर देउवाले नागरिकता विधेयक संसदमा अगाडि बढाउने प्रस्ताव गरेका छन्। सत्ता गठबन्धनको बुधबार अपराह्न बालुवाटारमा बसेको बैठकमा प्रधानमन्त्री देउवाले विधेयक अगाडि बढाउन प्रस्ताव गरेको सञ्चारमन्त्री ज्ञानेन्द्रबहादुर कार्कीले जानकारी दिए। प्रधानमन्त्रीको प्रस्तावमाथि छलफल भएको र विधेयक अगाडि बढाउन अग्रसरता लिने निर्णय भएको उनले बताए। प्रधानमन्त्रीज्यूले नागरिकताको विधेयकलाई अगाडि बढाउने प्रस्ताव गर्नुभयो, उनले भने, हाम्रो समाजमा बुबा र आमा नागरिक र सन्तान अनागरिकको अवस्था छ। यसलाई अन्त्य गर्न अग्रसरता लिने निर्णय भएको छ। बैठकमा शान्ति प्रक्रियाका कामलाई निष्कर्षमा पुर्याउनका निम्ति पनि छलफल केन्द्रित भएको मन्त्री कार्कीले जानकारी दिए। कानुन मन्त्रीले शान्ति प्रक्रियाको काममा अहिलेसम्म प्रगति विवरण समीक्षाका साथ बैठकमा प्रस्तुत गर्नुभयो, उनले भने। समग्रमा नागरिकता विधेयक अगाडि बढाउने र शान्ति पक्रियालाई चाँडै नै निष्कर्षमा पुर्याउने बारेमा छलफल भएको मन्त्री कार्कीले बताए। उनका अनुसार बैठकमा अन्य समसामयिक राजनीतिक घटनाक्रमको विश्लेषण भएको थियो।"
कर्मचारी कटौती हुँदा जोमसोम अस्पतालको फार्मेसी सेवा बन्द,जोमसोम : जिल्ला अस्पताल जोमसोममा संञ्चालन भईरहेको औषधि बिक्री कक्ष (फार्मेसी) सेवा बन्द भएको छ। २०७५ साल मंसिरमा सदरमुकामको घरपझोङ गाउँपालिकाले १ जना फार्मेसी कर्मचारी व्यवस्थापन गरेपछि सञ्चालनमा आएको सेवा ३ वर्षपछि मंगलबार बन्द भएको जनाईएको छ। जिल्ला अस्पताल जोमसोममा नागरिकले स्वास्थ्य परीक्षण गराईपनि अस्पतालमा सुपथ मूल्यको औषधि बिक्री कक्ष (फार्मेसी) नहुँदा बिरामीले महङ्गो मुल्यमा औषधि खरिद गर्न बाध्य थिए। मुस्ताङको जोमसोम अस्पतालमा स्वास्थ्य चेकजाँच गर्न आउने सेवाग्राहीहरुलाई आर्थिक भार कम गर्ने उद्देश्यले ३ वर्षअघि घरपझोङ गाउँपालिकाले १ जना फार्मेसीलाई मासिक तलब दिने गरी कर्मचारी व्यवस्थापन गरेको थियो। घरपझोङ गाउँपालिकाले व्यवस्थापन गरेको कर्मचारीलाई ५ औं तहको सरकारी तलब सुविधा दिने गरी मासिक ३० हजार उपलब्ध गराउँदै आईरहेको थियो। स्थानीय तहको दोश्रो कार्यकालमा नयाँ जनप्रतिनिधि आएपछि भएपछि जोमसोम अस्पतालको करारमा भर्ना गरीएको फार्मेसी कर्मचारीलाई यसअघि उपलब्ध गराउँदै आईरहेको सेवा कटौती गरेको जोमसोम अस्पतालका निमित्त मेडिकल सुपरिटेन्डेन डा विशाल तिवारीले जानकारी दिए। उनका अनुसार घरपझोङ गाउँपालिकाले असार २ गते कार्यपालिका निर्णय गरेर फार्मेसी कर्मचारी कटौती गरेको पत्र पठाएको डा तिवारीले उल्लेख गरे। घरपझोङ गाउँपालिकाले जोमसोम अस्पताल प्रदेश सरकार अन्तर्गत पर्ने र फार्मेसी कर्मचारी व्यवस्थापन गर्ने हो भने जिल्लाका ५ वटै पालिकाले अपनत्व लिनु पर्ने जनाएको डा विशाल तिवारीको भनाई छ। घरपझोङ गाउँपालिकाले फार्मेसी कर्मचारीलाई दिने पारिश्रमिक नदिने भएपनि जोमसोम अस्पतालको औषधि बिक्री कक्ष अहिले बन्द हुने अवस्था आएको डा तिवारीले बताए।
