शीर्षक,विवरण
अस्ट्रियाका चर्चित दुई सम्पादकले दिए राजीनामा,"भियना : अस्ट्रियाका दुई प्रख्यात सम्पादकले व्यापक भ्रष्टाचारको काण्डमा नाम जोडिएपछि पदबाट राजीनामा दिएका छन्। भ्रष्टाचार काण्डमा उनीहरूसहित पूर्व कन्जरभेटिभ चान्सलर सेबास्टियन कुर्जलगायत शीर्ष राजनीतिज्ञले राजीनामा दिएका छन्। सन् २०१९ मा सार्वजनिक भएको तथाकथित इबिजागेट भ्रष्टाचार काण्डले अस्ट्रियाको राजनीतिमा हलचल मच्चाएको छ र शीर्ष राजनीतिज्ञ, व्यवसायी र मिडियाबीचको घनिष्ठ सम्बन्धलाई उजागर गर्ने सामग्री सार्वजनिक भएको छ। शीर्ष अखबार डाई प्रेसका प्रकाशक तथा प्रधान सम्पादक रेनर नोवाकले आफूमाथि लागेको आरोपको आन्तरिक छानबिन नभएसम्म उक्त शीर्षकमा आफ्नो दैनिक जिम्मेवारी त्याग्ने उनको समूहले घोषणा गरेको छ। सार्वजनिक प्रसारक ओआरएफले वरिष्ठ सम्पादक म्याथियास श्रोमलाई आन्तरिक छानबिन नभएसम्मका लागि बिदामा बस्न आदेश दिएको छ। लीकका अनुसार नोवाकले ओआरएफमा नियुक्त हुने विषयमा छलफल गर्न पूर्व चान्सलर कुर्जको सहयोगीसँग सन्देश आदानप्रदान गरेका थिए भने श्रोमले पूर्व अति दक्षिणपन्थी नेता तथा उपकुलपति हेन्ज क्रिश्चियन स्ट्रेचसँग मैत्रीपूर्ण नोट आदानप्रदान गरेका थिए। गत हप्ता पाठकहरूलाई लेखेको पत्रमा नोवाकले सन्देशहरूको समग्रता र अनुपयुक्त निकटता को लागि माफी मागेका थिए। गत महिना अष्ट्रियाका राष्ट्रपति एलेक्जेन्डर भान डेर बेलेनले उक्त प्रकरणसँग सम्बन्धित नयाँ खुलासापछि देशको राजनीतिक संस्कृतिमा व्यापक सुधार गर्न आह्वान गरेका थिए। सन् २०१९ मा स्पेनिस रिसोर्ट टापु इबिजामा खिचिएको एक भिडियोमा स्ट्रेचले नक्कली रूसी कुलीन वर्गलाई चुनावी अभियानको सहयोगको बदलामा सार्वजनिक ठेक्का प्रस्ताव गरेको देखाइएको थियो। युरोपका कन्जरभेटिभहरूको वन्डरकिन्ड भनेर चिनिने पूर्व चान्सलर कुर्जले भिडियो सार्वजनिक भएपछि भएको अनुसन्धानमा मुछिएपछि गत वर्ष राजीनामा दिएका थिए। कुर्ज आफैले कुनै पनि गलत कामको आरोपलाई अस्वीकार गरेका छन् र अहिलेसम्म उनीमाथि कुनै आरोप लगाइएको छैन।"
राष्ट्रपति भण्डारी आइसल्याण्ड प्रस्थान,काठमाडौं : राष्ट्रपति विद्यादेवी भण्डारी आइसल्याण्डको औपचारिक भ्रमणका लागि सोमबार त्यसतर्फ प्रस्थान गरेकी छन्। राष्ट्रपति भण्डारी १८ सदस्यीय नेपाली प्रतिनिधिमण्डलको नेतृत्व गर्दै साँझ ६ बजे कतार एयरवेजको विमानबाट त्यसतर्फ प्रस्थान गरेकी हुन्। महिला राजनीतिज्ञको विश्वव्यापी सञ्जाल वुमन पोलिटिकल लिडर्स (डब्लुपीएल) कार्यक्रममा सहभागी हुन आइसल्याण्डतर्फ प्रस्थान गरेको परराष्ट्र मन्त्रालयले जनाएको छ। राष्ट्रपति भण्डारी कात्तिक २१ देखि २६ गतेसम्म आइसल्याण्डको भ्रमणमा रहनेछिन्। उनी कात्तिक २६ गते बिहान ७ :३० बजे स्वदेश फर्किने कार्यतालिका रहेको छ।
मतदातालाई बाड्न एमाले नेताको घरमा राखिएका चापाकल र पाइप बरामद,"वीरगन्ज : पर्साको बिन्दबासिनी गाउँपालिकामा मतदातालाई प्रभावित पार्ने नियतले बाड्नका लागि नेकपा एमालेका नेताको घरमा राखिएको चापाकल र पाइप सोमबार प्रहरीले नियन्त्रणमा लिएको छ। पर्सा क्षेत्र नम्बर ३ अन्तर्गत पर्ने विन्दवासनी गाउँपालिका४ अमरपट्टीस्थित एमाले नेता धिरज चौरसियाको घरमा भण्डारण गरी राखिएका १६ थान चापाकल सेट, १६ थान जिआइ पाइप र २ हजार फिट प्लाष्टिक पाइप सोमबार प्रहरीले जफत गरेको हो। चौरसिया गत स्थानीय तहको निर्वाचनमा वडा नम्बर ४ मा एमालेबाट वडाध्यक्षका प्रत्याशी थिए। उनको घरमा स्थानीय मखलाल भन्ने दीपक चौरसियाले गाउँमा बाडन भनि ल्याएर राखेको अवस्थामा चापाकल र पाइपहरू बरामद गरिएको पर्साका प्रहरी प्रवक्ता प्रहरी नायब उपरीक्षक दीपक गिरीले बताए। अमरपट्टीस्थित सशस्त्र प्रहरी बेस क्याम्पबाट सशस्त्र प्रहरी नायब निरीक्षक सुरेश न्यौपानेको नेतृत्वमा प्रहरी चौकी अमरपट्टीबाट समेत खटिएको टोलीले चौरसियाको घरबाट ती सामानहरू बरामद गरेको हो। बरामद गरिएका ती सामानहरू प्रहरी चौकी अमरपट्टीमा राखिएको र यस बारेमा अनुसन्धान भइरहेको प्रहरी नायव उपरीक्षक गिरीले जानकारी दिए। कांग्रेसका स्थानीय नेता कार्यकर्ताले भने एमालेबाट निर्वाचित गाउँपालिका उपाध्यक्ष ज्योति चौरसियाले सोमबार गाउँपालिका कार्यालयको स्टोरबाट ती सामानहरू बुझेर मतदातालाई प्रभावित पार्नका लागि एमाले नेता धिरजको घरमा लागेर राखेको बताएका छन्। तर गाउँपालिका उपाध्यक्ष चौरसियाले यस बारे आफूलाई केही थाहा नै नभएको बताइन्। उनले आफूले गाउँपालिकाको कार्यालयबाट कुनै पनि चापाकल वा पाइप बुझेर नलगेको बताइन्। पर्सा क्षेत्र नम्बर ३ मा प्रतिनिधिसभा सदस्यमा जसपाएमाले गठबन्धनबाट एमालेका राज कुमार गुप्ता र पाँच दलीय गठबन्धनबाट कांग्रेसका सुरेन्द्र प्रसाद चौधरी उम्मेदवार छन्।"
जनकपुरधाममा जलवायु सम्मेलन,"जनकपुरधाम : जनकपुरको मोनाष्टिक स्कूलले जलवायु सम्मेलनको आयोजना गरेको छ। सम्मेलनलाई नेपालका लागि कतारका राजदूत युसुफ बिन मोहम्मद अल हइलले सम्मेलनको उद्घाटन गरे। उनले विद्यालयले शिक्षा मात्र नभई आगामी पुस्ताका लागि गुणस्तरीय प्रकृति संरक्षण अभिभारा समेत हरेक नागरिक र संघ संस्थाले जोगाउन आवश्यक रहेको बताए। राजदुत हइलले शिक्षा मात्र नभई प्रकृति संरक्षणमार्फत भविष्यको सन्तति जोगाउन सकिए आगामी दिन सुखद हुने संकेत गरे। उनले भने, 'दिनानुदिन प्रकृतिमाथि मानिसहरूले प्रहारले गर्दा वातावरण विनाश हुँदै गएको अवस्थामा बालबालिकाहरूलाई वातावरण संरक्षणको जिम्मेवारी बोध गराइनु व्यवहारिक कन्भेन्सनले ठुलो टेवा पुग्छ।' उनले स्कूल लेभलदेखि नै बालबालिकाहरूलाई प्रकृतिको महत्व, प्रकृति संरक्षणको उपाय, संरक्षणको कारणका बारेमा एक अध्यायय राखे पृथ्वीको जीवजन्तुले पनि राहतको सांस लिने बताए। आइतबार र सोमबार दुई दिन चलेको जलवायु सम्बन्धी वातावरण सम्मेलनमा काठमाडौं, भक्तपुर, तनहु, भैरहवा, सिमरा, हेटौडा, झापा र धनुषा जनकपुर गरि २० वटा विद्यालयका प्रध्यानाध्यापक, शिक्षक एवम् दुई सय विद्यार्थीहरूको सहभागिता थियो। 'भविष्यका सन्तानका लागि प्रकृतिको संरक्षण' नारा दिएर आयोजना गरिएको सम्मेलनमा प्रकृतिको संरक्षण सम्बन्धमा माटाका सामग्री निर्माण र प्रदर्शनीमा प्रतिस्पर्धा गराइएको थियो। प्रतिस्पर्धामा ईस्ट हरिजन स्कूल झापा प्रथम, मोनाष्टिकले दोस्रो र राष्ट्रिय विभूति समुदायिक शिक्षा सदन सिमरा (बारा) तेस्रो स्थान प्राप्त गरेको थियो। यसैगरि कोलेबरेटिभ आर्टस एण्ड कलेजमा मोनाष्टिक स्कूलले प्रथम, धनुषा महेन्द्रनगरको दर्शनिया आरएसके एकेडमी दोस्रो र तेस्रो झापाको फक्तालुंग स्कूलले प्राप्त गरेको मोनाष्टिकका प्रबन्धक निर्देशक डा सोनु साहले जनाए। वक्तित्वकला (स्पीच) प्रतिस्पर्धामा झापाको मोडेल स्कूल प्रथम, मोनाष्टिक सिनियर सि र दोस्रो मोनाष्टिककै जुनियर ए र हेटौंडाको नर्वोदय विद्यालयले प्राप्त गरेको थियो। तेस्रो स्मारिका पब्लिक स्कूल झापाले प्राप्त गरेको छ। अन्तिम विषयवस्तुअन्तर्गत पेपर प्रीजेन्टेशनमा स्मरिका स्कूल झापा प्रथम, नर्वोदय हेटौंडा दोस्रो र मोनाष्टिकले तेस्रो स्थान प्राप्त गरेको छ। सम्मेलनमा कन्भेन्सन च्याम्पियनसीपमा हेटौंडाको नर्वोदयले विजेता बन्न सफल भएको छ।"
मतदान स्थलमा कर्मचारी खटाउने हुम्लाको निर्णय विवादित,"सिमकोट : आगामी मंसिर ४ गते हुने प्रतिनिधिसभा र प्रदेशसभाको निर्वाचनका लागि जिल्लाका ५८ मतदान स्थल र ५९ वटा मतदान केन्द्रमा खटाइने कर्मचारीको निर्णय सुरुमै विवादित भएको छ। प्रमुख जिल्ला अधिकारीको संयोजकत्वमा रहेको निर्वाचन जनशक्ति व्यवस्थापन समितिको सिफारिसअनुसार मुख्य निर्वाचन अधिकृतको कार्यालयले सार्वजनिक गरेको उक्त निर्णयप्रति प्रतिपक्ष दल नेकपा (एमाले) ले लिखित रूपमै असहमति जनाएपछि उक्त निर्णय विवादित भएको हो। जिल्लामा रहेका संघीय, प्रदेश सरकार मातहतका सरकारी कार्यालय, सातवटा स्थानीय तहबाट प्राप्त नामावलीका आधारमा गर्ने जनशक्ति व्यवस्थापन एकतर्फी भएको भन्दै एमालेले असहमती जनाएपछि मतदान केन्द्रमा कर्मचारी खटाउने निर्णय प्रारम्भमै विवादित बनेको हो। मुख्य निर्वाचन अधिकृतको कार्यालय हुम्लाले सार्वजनिक गरेको मतदान स्थल जनशक्तिको सूचीमा मतदाता नामावली भएकै मतदान केन्द्रमा कर्मचारी खटाउने, वरिष्ठ कर्मचारीलाई छाडेर कनिष्ठ कर्मचारीलाई खटाइएपछि उक्त निर्णयको विरोध भएको हो। आयोगले जारी गरेको प्रतिनिधिसभा सदस्य तथा प्रदेश सभा सदस्य निर्वाचन (जनशक्ति व्यवस्थापन) निर्देशिका, २०७९ अनुसार नभई समितिमा रहेका पदाकिकारीहरूले मनपरी रूपमा मतदान अधिकृत, सहायक मतदान अधिकृत र अन्य कर्मचारीको छनोट गरेकोले आफूहरूले बाध्य भएर लिखित रूपमै विरोध गर्नु परेको नेकपा (एमाले) जिल्ला कमिटी हुम्लाका उपाध्यक्ष डबल रातले जानकारी दिए। 'कर्मचारी खटाउने जनशक्ति व्यवस्थापन समितिको निर्णय राजनीतिक आस्थाका हिसाबले एकतर्फी त छँदैछ' उपाध्यक्ष रावतले अन्नपूर्णसँग भने, 'खार्पुनाथ गाउँपालिकाको मानधारा माध्यमिक विद्यालय भकुण्डामा मतदाता नामावली भएका व्यक्तिलाई सोही मतदना केन्द्रमा कर्मचारीका रूपमा खटाउने गैरकानूनी निर्णय समेत भएकाले हामीले बाध्य भएर प्रमुख निर्वाचन आयुक्त समक्ष लिखित रूपमा असन्तुष्टी जनाउनु परेको हो।' मतदान स्थल जस्तो संवेदनशील स्थानमा सरकारी कर्मचारीमात्रै खटाउने निर्णय भएपनि मुख्य निर्वाचन कार्यालय हुम्लाले केही गैरसरकारी संस्थामा काम गरेका कर्मचारीलाई समेत खटाइएको पाएपछि आफूले पार्टी (एमाले) को तर्फबाट विरोध जनाएको उपाध्यक्ष रावतले दावी गरे। यस बारेमा मतदान स्थल जनशक्ति परिचालन समितिका संयोजक समेत रहेकी प्रमुख जिल्ला अधिकारी सीता परियारले कुने प्रतिक्रिया दिन मानिनन्। निर्वाचनको अधिकांश काम मुख्य निर्वाचन अधिकृतको कार्यालयबाटै सम्पादन हुने भएको बताएकी अधिकारी परियारले घुमाउरो रूपमा जनशक्ति व्यवस्थापनमा आफ्नो संलग्नता नरहेको बताइन्। उता मुख्य निर्वाचन अधिकृत दिलप्रसाद आचार्यले जनशक्ति व्यवस्थापनको निर्णय सार्वजनिक हुँदै विवाद आएको प्रति आश्चर्य प्रकट गरे। समितिका संयोजक (प्रमुख जिल्ला अधिकारी) को सिफारिस र बैठकको निर्णय अनुसार आफूले सूची सार्वजनिक गरेको प्रतिक्रिया दिएका मुख्य निर्वाचन अधिकृत आचार्यले कुनै व्यक्ति विशेषको नामका बारेमा उजुरी भए त्यसमा पुर्नविचार गर्न सकिने बताए। आयोगले जारी गरेको निर्देशिकामा मतदाता नामवली भएको मतदान केन्द्रमा कुनै पनि कर्मचारी खट्न नपाउने स्पष्ट व्यवस्था भएको बताएका निर्वाचन आयोगका प्रवक्ता सालिग्राम शर्मा पौडेलले हुम्लामा त्यस्तो भएको भए तत्काल निर्णय सच्याउन लगाउने जानकारी दिए। जनशक्ति व्यवस्थापनको जिम्मा प्रमुख जिल्ला अधिकारीको संयोजकत्वमा मुख्य निर्वाचन अधिकृत, सुरक्षा निकायका प्रमुख समेतको संलग्नतामा हुने कानूनी व्यवस्था छ पौडेलले अन्नपूर्णसँग भने, सरकारी कर्मचारीको हकमा जुन मतदान केन्द्रमा आफ्नो मतदाता नामावली छ त्यस मतदान केन्द्र, शिक्षकको हकमा मतदाता नामावली भएको र दरबन्दी भएर अध्यपन गराइरहेको विद्यालयमा मतदान केन्द्र छ भने त्यसमा कुनैपनि हालतमा मतदान कर्मचारी पठाउन मिल्दैन।' ५८ वटा मतदान केन्द्र र ५९ वटा मतदान स्थल भएको हुम्लामा मुख्य निर्वाचन अधिकृतको कार्यालयले गरेको जनशक्ति परिचालन सम्बन्धी निर्णयमा एक जना गैरसरकारी संस्थामा कार्यरत कर्मचारीलाई खटाइएको छ। एकजना निर्वाचन अधिकृतको कार्यालयमा कार्यरत कर्मचारीलाई मतदाता नामावली भएकै मतदान केन्द्रमा खटाइएको छ। उक्त निर्णयलाई लिएर नेकपा (एमाले) जिल्ला कमिटी हुम्लाले प्रमुख निर्वाचन आयुक्त दिनेश थपलियालाई ध्यानाकर्षण पत्र पठाएको छ।"
नदी दोहन गर्ने उपकरण सिल,नुवाकोट : नुवाकोटमा कानून विपरीत नदीजन्य सामग्री दोहन भइरहेको पाइएको छ। मापदण्ड विपरीत नदीमा उपकरण प्रयोग भएको पाइएपछि जिल्ला प्रशासन कार्यालय नुवाकोटले क्रसरको स्थगत अनुगमन गरेको छ। कानूनविपरीत नदीजन्य सामग्रीको उत्खनन् गरिरहेको सरकारी अधिकारीहरूको टोलीले फेला पारेपछि नुवाकोटको विदुर नगरपालिका ५ गंगटे नजिकै तादी खोला बगरमा रहेको एक क्रसर उद्योगका उपकरणहरू नियन्त्रणमा लिएर सिल गरेको हो। सहायक प्रमुख जिल्ला अधिकारी वेदप्रसाद अर्यालको टोलीले विभिन्न पाँच थान उपकरणहरू नियन्त्रणमा लिएको र प्रहरीले सिल गरेको जिल्ला प्रशासन कार्यालय नुवाकोटले जनाएको छ। मापदण्ड विपरीत नदीजन्य सामग्री उत्खनन् गरेको फेला परेको प्रमुख जिल्ला अधिकारी नारायणप्रसाद रिसालले जानकारी दिए। उनका अनुसार दुई स्थान स्काभेटर र तीन थान ट्रिपर नियन्त्रणमा लिएर प्रहरीले त्यसलाई सिल गरेको छ। मापदण्ड विपरीत तादी खोलाबाट सो क्रसर उद्योगले नदीजन्य सामग्रीको उत्खनन् गरेको अनुगमन टोलीले निष्कर्ष निकालेपछि तत्काल सो क्रसर उद्योग वन्द गरिएको प्रजिअ रिसालको भनाइ छ। उनका अनुसार नियन्त्रणमा लिएर सिल गरिएका यन्त्र उपकरण कानून अनुसार कारवाही गरिने तयारी छ। विदुर नगरपालिकाले पाँच दिनअघि मात्र बर्डस्टोन क्रसर उद्योगलाई नदी उत्खननको अनुमति दिएको थियो। कानून उल्लंघन र अवैध भएपछि सो क्रसर आइतबार अपराह्नदेखि रोकिएको सहायक प्रजिअ वेदप्रसाद अर्यालले बताए। कार्यक्षेत्रभन्दा बाहिर र तोकिएको भन्दा बढी खनेको पाइएपछि तत्कालका लागि बन्द गराइएको प्रजिअ रिसालले जानकारी दिए। कार्यालयले बर्डस्टोन क्रसर उद्योगलाई ३१ दिनका लागि १५ हजार घनमिटर उत्खनन् गर्न अनुमति दिएको थियो। यहि कात्तिक १७ गते क्रसरले पाएको अनुमतिका आधारमा नदी उत्खनन् हुँदै थियो। विदुर नपाले अवैध क्रसरलाई अनुमति दिइएको गुनासो तथा उजुरी आएपछि जिल्ला प्रशासन कार्यालयले आइतबार दिउँसो अनुगमन गरेको थियो।
चीनमा तीन नयाँ राष्ट्रिय उत्पादन केन्द्रहरू निर्माण हुँदै,"बेइजिङ : चीनको उद्योग तथा सूचना प्रविधि मन्त्रालयले तीनवटा नयाँ राष्ट्रिय उत्पादन नवप्रवर्तन केन्द्रहरू स्थापना गर्न लागेको जनाएको छ। झेजियाङ, जियाङसी र सिचुआन प्रान्तका अनुसन्धान एवं प्राविधिक फर्महरूद्वारा समर्थित इनोभेसन सेन्टरहरूले क्रमशः ग्राफिन, भर्चुअल रियालिटी, र अल्ट्राहाइडेफिनिशन भिडियो उद्योगहरूमा ध्यान केन्द्रित गर्ने जनाइएको छ। केन्द्रहरूले प्रमुख जेनेरिक प्रविधिहरूमा काम गर्नेछन् र यी उद्योगहरूमा प्राविधिक अनुसन्धान र विकासलाई बढावा दिनेछन्। मन्त्रालयले नयाँ उत्पादन नवप्रवर्तन केन्द्रहरूलाई प्राविधिक आविष्कार खोज्नका लागि उत्पादनका प्राथमिक क्षेत्रहरूको उच्च गुणस्तरीय विकासका लागि बलियो समर्थन प्रदान गर्न उनीहरूको क्षमता सुधार गर्न मार्गदर्शन गर्ने समेत बताएको छ।"
पोखरा अन्तर्राष्ट्रिय विमानस्थलमा एरो थाईको जहाजबाट यान्त्रिक उडान हुने,"काठमाडौं : देशकै तेस्रो पोखरा अन्तर्राष्ट्रिय विमानस्थलमा यान्त्रिक उडान हुने भएको छ। नोभेम्बर ३० अर्थात् मङ्सिर १४ गतेका दिनमा यान्त्रिक उडान गर्नका लागि आवश्यक सम्पूर्ण प्रक्रिया पूरा भइसकेको नेपाल नागरिक उड्डयन प्राधिकरण (क्यान)ले जनाएको छ। उक्त यान्त्रिक उडानका लागि २५ तारिखमा एरो थाईको प्राविधिक टोलीसहितको जहाज नेपाल आउने तयारी भएको नागरिक उड्डयन प्राधिकरण (क्यान) का महानिर्देशक प्रदीप अधिकारीले जानकारी दिए। उनका अनुसार उक्त जहाजले यान्त्रिक उडानमार्फत् विमानस्थलमा कम्युनिकेशन, नेभिगेसन र सर्भिलेन्समा जडित उपकरणले काम गरेनगरेका विषयमा जाँच गर्नेछ। एरो थाईको जहाजले एक साता पोखरा विमानस्थलमा यान्त्रिक उडान गर्ने प्राधिकरणका छ। उक्त कम्पनीको जहाजले देशका अन्य विमानस्थलमा पनि यान्त्रिक उडान गर्नेछ। सोही कम्पनीले गत वर्ष फागुन ६ गते मुलुकको दोस्रो अन्तर्राष्ट्रिय विमानस्थलका रूपमा रहेको भैरहवास्थित गौतमबुद्ध अन्तर्राष्ट्रिय विमानस्थलमा यान्त्रिक परीक्षण उडान गरेको थियो। एरो थाईको प्राविधिकसहितको विशेष जहाजले १० दिनसम्म परीक्षण उडान गरेको थियो। चराविज्ञले छोटो अनुसन्धान गरी चराचुरुङ्गी अनुकूल उडान हुने गरी सुरुआतमा रातिको समयमा उडान गर्ने गरी विमानस्थल सञ्चालन गर्ने प्राधिकरणको योजना बनाएको छ। हालको आन्तरिक विमानस्थल दिउँसो र अन्तर्राष्ट्रिय विमानस्थलमा रात्रिकालीन उडान गर्ने योजना रहेको महानिर्देशक अधिकारीले बताए। उनले भने, 'देशकै महत्वपूर्ण पर्यटकीय गन्तव्य पोखरामा पर्यटन प्रवद्र्धन तथा आर्थिक गतिविधि बढाउन विमानस्थलले महत्वपूर्ण भूमिका खेल्ने विश्वास लिएका छौं। विमानस्थल सञ्चालन भएसँगै पोखरा अन्तर्राष्ट्रिय सम्पर्क सञ्जालमा सिधा जोडिनेछ।' करिब तीन हजार ९०० रोपनी क्षेत्रफलमा फैलिएको यो विमानस्थल निर्माणमा झण्डै २२ अर्ब लगानी हुने प्राधिकरणको भनाइ छ। विमानस्थलमा हालः दुई हजार पाँच सय मिटरको धावनमार्ग र ४५ मिटर चौडाइ तथा धावनमार्गको मोटाइ ३४ सेन्टिमिटर रहेको छ। एटीसी टावर, सात वटा भवन, एउटा ह्याङ्गर पनि निर्माण गरिएको छ। पोखरा अन्तर्राष्ट्रिय विमानस्थलको सम्पूर्ण निर्माण कार्य सम्पन्न भएको आयोजना प्रमुख चिनियाँ सरकारी स्वामित्वको ठेकेदार कम्पनी सीएएमसीले विमानस्थल निर्माण गरेको हो। अन्तर्राष्ट्रिय नागरिक उड्डयन सङ्गठन (आइकाओ) को मापदण्डअनुसार फोरडी मोडल मा पर्ने पोखरा विमानस्थलमा बोइङ ७५७ र एयरबस ३२० वा सो सरहका जहाजको उडान अवतरण हुने बताइएको छ। उक्त विमानस्थलमा तीन वटा न्यारोबडी, चार वटा एटीआर र चारवटा ट्वीनअटर गरी ११ वटा जहाज पार्किङ गर्न सकिन्छ। पोखरा अन्तर्राष्ट्रिय विमानस्थलमा नोभेम्बर ३० मा यान्त्रिक परीक्षण उडान गरी जनवरी १ देखि व्यावसायिक उडान सञ्चालन हुने बताइएको छ।"
एपीएफ बेलबारी गोल्डकपको उपाधि नजिक,विराटनगर : विभागीय टिम सशस्त्र प्रहरी बल (एपीएफ) काठमाडौं मोरङको लक्ष्मीमार्गमा जारी पाँचौं संस्करणको बेलबारी अन्तर्राष्ट्रिय आमन्त्रण गोल्डकप फुटबल प्रतियोगिताको उपाधिनजिक पुगेको छ। प्रतियोगिताको पहिलो सेमिफाइनल खेलमा सोमबार आयोजक डाँगीहाट युथ क्लबलाई २१ गोल अन्तरले स्तब्ध बनाउँदै एपीएफले फाइनलमा स्थान सुरक्षित गरेको हो। उपाधि रक्षाका लागि उसले राजारानी फुटबल क्लब र सिरहाको सहलेस युथ क्लबबीचको विजेतासँग प्रतिस्पर्धा गर्नुपर्ने छ। घरेलु मैदानमा आयोजकमाथि हाबी भएको एपीएफका लागि दुवै गोल मध्यान्तरपछि मात्रै सम्भव भयो। पहिलो हाफमा दुवै टिमबाट गोल हुन सकेन। पहिलो हाफ गोलरहित भए पनि मध्यान्तरपछि चम्किएको एपीएफ अन्ततः आयोजकलाई निराश बनाउँदै नतिजा आफ्नो पक्षमा पार्न सफल भएको हो। एपीएफको जितमा कप्तान टोप विष्ट र नवीन लामाले गोल गरे। आयोजकका आशिम राईले सान्त्वना गोल फर्काए। रोमाञ्चक एवं संघर्षपूर्ण खेलको ४९ औँ मिनेटमा एपीएफले गोलको खाता खोलेर अग्रता लिएको थियो। पोलमा ठोक्किएर रिबाउण्ड भएको बललाई कप्तान टोप विष्टले पोस्टको दिशा दिँदा आयोजक दबाबमा पर्यो। खेलको ६५ औँ मिनेटमा नवीन लामाले निर्णायक गोल गर्दै एपीएफलाई उपाधिनजिक पुर्याउँदा आयोजक सम्हालिन सकेन। सेन्टरबाट पाएको पासमा अघि बढेका उनले विपक्षी खेलाडीलाई बिट गर्दै बललाई 'फ्रेम'को बाटो देखाउँदा आयोजक हार स्वीकार्न बाध्य भयो। आयोजकका काशिम राईले खेलको ७२ औँ मिनेटमा सान्त्वना गोल फर्काए। करिब ३५ यार्ड टाढाबाट उनले गरेको प्रहारले सिधै पोस्टको बाटो तय गर्दा एपीएफका गोलरक्षक राजु नगरकोटीले कुनै मौका पाएनन्। तर उक्त गोल आयोजकलाई जितका लागि पर्याप्त भएन। अर्को गोल थप्न नसकेका कारण खेलमा फर्किन नपाएको आयोजकको फाइनलमा पुग्ने लक्ष्य पूरा हुन पाएन। खेलको ४२ औँ मिनेटमा अग्रता लिनबाट आयोजक चुकेको थियो। मौसम लिम्बूले गरेको प्रहारमा एपीएफका गोलरक्षक नगरकोटी बाधक बनिदिए। नगरकोटीले बचाउ गर्दा रिबाउण्ड भएको बलमा विक्रम धिमाल असफल हुनु आयोजकका लागि दुर्भाग्यपूर्ण बन्यो। त्यसबाहेक आयोजकले गोल गर्ने अरु केही अवसर गुमायो। जसका कारण घरेलु मैदानमा नतिजा विपक्षीलाई सुम्पिनुपर्ने परिस्थिति बन्यो। एपीएफले पनि गोल गर्नका लागि पाएका केही राम्रा अवसरलाई सदुपयोग गर्न सकेन। पटकपटकको प्रहारमा आयोजकका गोलरक्षक किशोर गिरी बाधक बनिदिएपछि एपीएफले पनि खेलमा फराकिलो अन्तरको जित निकाल्न सकेन। खेलको म्यान अफ दी म्याच एपीएफका कप्तान टोप विष्ट घोषित भए। उनले नगद ५ हजार पुरस्कार पाए। प्रतियोगिताको अन्तिम सेमिफाइनल खेलमा मंगलबार धनकुटाको राजारानी फुटबल क्लब र सिरहाको सहलेस युथ क्लबबीच प्रतिस्पर्धा हुने गोल्डकपका प्रवक्ता नरेन्द्र बस्नेतले जानकारी दिए।
प्रदेशसभा सदस्यका उम्मेदवार न्यौपानेको प्रतिवद्धतापत्र सार्वजनिक,"हेटौंडा : मकवानपुर प्रतिनिधिसभा क्षेत्र नम्बर १ प्रदेशसभा (ख) मा राष्ट्रिय प्रजातन्त्र पार्टी (राप्रपा) का उम्मेदवार गुञ्जनबहादुर न्यौपानेले चुनावी प्रतिवद्धतापत्र सार्वजनिक गरेका छन्। सोमबार हेटौंडामा पत्रकार सम्मेलनमार्फत् न्यौपानेले ७ बुँदे चुनावी प्रतिवद्धता सार्वजनिक गरेका हुन्। उनको प्रतिवद्धतापत्रमा हेटौंडा अस्पताललाई स्तरोन्नति गर्ने, प्लस टु सम्म निःशुल्क अध्ययनको प्रबन्ध मिलाउने, बेरोजगार युवालाई सीपमुलक तालिम दिने, औद्योगिक क्षेत्रको विकास तथा विस्तार गरी स्थानीय युवालाई रोजगारी दिने उल्लेख गरेका छन्। सबै जातजाति, भाषाभाषीको हितमा राज्यको चासो र लगानी बढाउँदै यौनिक तथा अल्पसंख्यक समुदायको विकासमा पहलकदमी गर्ने उनले बताए। प्रदुषण नियन्त्रण गर्ने, विभिन्न जातजातिको भाषा तथा लिपी अध्ययन प्रतिष्ठान बनाउने, कम ब्याजदरमा ऋण प्रवाह गर्न बैंकहरुलाई पहल गर्ने, वन जंगल सार्वजनिक, जग्गा नदी तट क्षेत्रलाई व्यवस्थित गरी त्यसलाई आम्दानीसँग जोड्ने, धार्मिक क्षेत्रको संरक्षण गर्ने, दीर्घ रोगीलाई निःशुल्क स्वास्थ्य परीक्षणको व्यवस्था मिलाउने, आयुवेर्दिक र प्राकृतिक उपचार पद्धतीमा जोड दिने उनले बताए। २०४७ सालदेखि राजनीतिमा सक्रिय रहेका न्यौपानेले आफू निर्वाचित भएपश्चात् संघीयता खारेजीका लागि अग्रणी भूमिकामा रहेर पहल गर्नेसमेत उल्लेख गरेका छन्।"
