शीर्षक,विवरण
"सर्वोच्चमा धेरै समस्या छन्, हामी सुधारको प्रक्रियामा छौँ : कामु प्रधानन्यायाधीश कार्की","काठमाडौं : सर्वोच्च अदालतका कायममुकायम प्रधानन्यायाधीश दीपककुमार कार्कीले न्यायपालिका जनआस्थामा आधारित संस्था भएको बताएका छन्। जुम्लामा आयोजित उच्च अदालत सुर्खेत जुम्ला इजलास र जिल्ला अदालत जुम्लाको नवनिर्मित भवनको समुद्घाटन कार्यक्रमलाई सम्बोधन गर्दै कायममुकायम प्रधानन्यायाधीश कार्कीले मुद्दा दर्तादेखि फैसला हुँदासम्म पूरा गरिने न्याय सम्पादनबाट सेवाग्राहीलाई मिल्ने सन्तुष्टिले न्यायपालिकाप्रतिको आस्था बढ्ने बताए। सुदृढ न्यायपालिका बनाउन वरिष्ठ न्यायाधीश हरिकृष्ण कार्कीको संयोजकत्वमा उच्चस्तरीय समिति गठन भएको उनले जानकारी गराए। सर्वोच्च अदालतमा धेरै समस्या छन्। हामी सुधारको प्रक्रियामा छौँ र चाँडै त्यसको प्रतिफल आउँदैछ, कामु प्रधानन्यायाधीश कार्कीले भने, अब हामी छिटो छरितो र निष्पक्ष ढङ्गबाट काम होस् भनेर गोलाप्रथा वा मेसिनबाट पनि न्यायसम्पादनका कार्य गर्दैछौँ, अदालतको काम कारबाहीप्रति सेवाग्राहीको धारणा सन्तोषजनक नहुँदा अपेक्षित प्रतिफल नआउने भन्दै उनले उनीहरूप्रतिको हाम्रो दायित्व बोधले मात्र न्यायसम्पादन पूर्ण हुने जनाए। वरिष्ठ न्यायाधीश कार्कीले मेहनत, इमान्दारिता र निष्ठाबाट हुने न्यायालयको कामले जनतामा विश्वास बढ्ने बताए। जनताको सहजताका लागि मुद्दालाई वर्गीकरण गरिएको जनाउँदै वरिष्ठ न्यायाधीश कार्कीले सबैको सकारात्मक सहयोगबाट न्याय सम्पादनमा प्रभावकारिता बढ्ने तर्क गरे।"
बजेट कार्यान्वयन भए देशलाई आत्मनिर्भरतातिर लैजान्छ,"काठमाडौं : सरोकारवालाहरुले सरकारले संसदमा पेश गरेको बजेट स्वागतयोग्य भएको बताउँदै कार्यान्वयन भए देशलाई आत्मनिर्भरतातिर डोर्याउने बताएका छन्। उनीहरुले आयतलाई प्रतिस्थापन र कृषि क्षेत्रलाई प्राथमिकता दिनु सकारात्मक भएको बताए। नेपालको अर्थतन्त्र र बजेट बारे आयोजना गरेको कार्यक्रममा बोल्दै पूर्वगभर्नर दिपेन्द्र बहादुर क्षेत्री बजेट विगतको भन्दा तुलनात्मक रुपमा जनताको जीवनसँग जोडिन खोजेको बताए। नेपालको वार्षिक बजेटभन्दा बढी व्यपार घाटा हुने अवस्था सिर्जना भएको बताउँदै बजेटले त्यसलाई घटनाउने प्रयास गरेको बताए। नेपालको अर्थतन्त्र श्रीलंकाको जस्तो भइसकेको बजारमा हल्ला भएजस्तो संकट नआएको बताउँदै क्षेत्रीले नेपाली अर्थतन्त्रलाई बजेट चलायमान गरेको बताए। 'राजनीतिक वृतमा विरोधी खेमामा रहेका नेताहरुले श्रीलंका उर्जा बनेको छ, श्रीलंकाको उदाहरण दिएर नेपाली अर्थतन्त्र पनि त्यही बाटोमा जाँदैछ भन्ने गरिन्छ। उनीहरुले अहिलेको सरकार आएपछि ऋण बढेर गएको छ, विदेशी मुद्रा आर्जन गर्ने स्रोतहरु घट्दै गइसकेका छन् भनेर चर्चाबीच आएको बजेटले नयाँ आशाका किरण देखाएको छन्' क्षेत्रीले भने। यसअघि सरकारले महँगीलाई ६ प्रतिशतभन्दा माथि नजाने भनेपनि यो बजेट आउने बेलासम्म ७ प्रतिशत भन्दा बढी पुगेको बताउँदै क्षेत्रीले अघिल्लो सरकारले भनेको कुरा पूरा भयो त भन्ने प्रश्न उठेको बताए। उनले वैदेशिक रोजगारीमा जानेको संख्या बढ्ने र विप्रेशण घट्ने गरेको चर्चामा रहेको बताए। त्यस्तै, गैर आवशीय नेपाली संघ (एनआरएनए)का अध्यक्ष विनोद कुँवरले सरकारले पेश गरेको बजेटलाई स्वागतयोग्य भएको बताए। कुँवरले परनिर्भता बढ्दै गएको नेपाली अर्थतन्त्रलाई बजेटले आत्मनिर्भरतातिर डोर्याउने प्रयास गरेको बताए । बजेटले विश्वका ८० देशमा छरिएर बसेका नेपालीलाई नेपालमै लगानी गर्ने वातावरण बनाउन संघको माग रहेको बताउँदै बजेटले सम्बोधन गर्ने प्रयास गरेको बताए । उनले विदेशमा कमाएको रकम र सीपलाई नेपालमै लगाउने वातावरण बनाउन आवश्यक रहेको बताए । त्यस्त, बजेटले ऊर्जा क्षेत्रलाई सम्बोधन गरेको बताए। उनले आफूले पनि नेपालमा ऊर्जा क्षेत्रमा लगानी गरेको बताउँदै अध्यक्ष कुँवरले बजेटले उत्पादन भएको ऊर्जा खपतको समस्यालाई पनि सम्बोधन गरेको बताए। अध्यक्ष कुँवरले वैदेशिक लगानी भित्र्याउन वानडोर नीति आवश्यक भएको बताए। नेपालमा डकुमेन्टमा समस्या भएको बताउँदै भने, 'गैर आवशीय संघका साथीहरुले लगानी गर्ने भनेर नेपाल आउँछन् तर डकुमेन्टमा निकै झन्झट छ, त्यो पार गर्न नसकेर लगानी फिर्ता हुने गरेको छ। सरकारले अब वानडोर पोलिसी बनाउनुपर्छ।' उनले विदेशीलाई पाँच करोडबाट दुई करोड लगानी गर्न पाउने कुरा बजेटमा समेटिनु सकारात्मक कुरा भएको बताउँदै विदेशी लगानी बढ्न अपेक्षा गरे। त्यसैगरी नेपाल उद्योग वाणिज्य महासंघका केन्द्रीय सदस्य संदिप अग्रवालले सरकारले संसदमा पेश गरेको आगामी वर्षको बजेटले निजी क्षेत्र उत्साहित भएको बताए। बजेटले अर्थतन्त्रलाई आत्मनिर्भर बनाउने प्रयास गर्नुको साथै यसका कमीकमजोरीलाई केलाएको बताए। 'अर्थतन्त्रलाई आत्मनिर्भर बनाउनको लागि हाम्रो अर्थतन्त्रमा भएका कमीकमजोरी केलाउने सरकारले राम्रो प्रयास गरेको छ। नयाँनयाँ नीति नियमको थालनी गरेको छ। निर्यत र कृषि क्षेत्रका समस्या पनि सम्बोधन गर्ने प्रयास गरेको छ। युक्रेन युद्ध र कोभिड१९ को समस्याले के देखाएको छ भने खाद्य सुरक्षामा हामी आत्मनिर्भर बन्नुपर्छ। तर हामी आयतमै निर्भर छौं, यस पटकको बजेट कृषिलाई बढवा दिने प्रयास गरेको छ,' अग्रवालले भने। उनले विदेशबाट आउने नेपाली कामदारले नेपालीमै लगानी गर्ने र उनीहरुका एयरपोटमा जानेलगायतका केही व्यवहारिक कठिनाई पनि सरकारले समाधान गर्ने आशा महासंघले लिएको बताए।"
"ओली र देउवासँग भेटेपछि बालेनले भने, काठमाडौंको परिवर्तनका लागि सहकार्यको पहल हो","काठमाडौं : काठमाडौं महानगरपालिकाका मेयर बालेन्द्र शाहले महानगरमा परिवर्तन ल्याउन विभिन्न पक्षसँग सहकार्यको पहल थालिएको बताएका छन्। प्रधानमन्त्री एवं कांग्रेस सभापति शेरबहादुर देउवा र एमाले अध्यक्ष केपी शर्मा ओलीसँग भेट गरेको तस्बिर फेसबुकमार्फत सार्वजनिक गर्दै मेयर शाहले सहकार्यका लागि सरोकारवाला सबैसँग भेट गरेर पहल गरिने उल्लेख गरेका छन्। मेयर शाहले सपथग्रहण गरेकै दिन प्रधानसेनापति प्रभुराम शर्मासँग भेट गरेका थिए। मंगलबार उनले बैंकरहरुसँग भेट गरेका थिए। मतगणनाअघि नै ओलीसँग भेटेका शाहले बुधबार प्रधानमन्त्री देउवासँग बालुवाटार पुगेर भेट गरेका थिए। भेटबारे विभिन्न थरी टिकाटिप्पणी भइरहेका बेला मेयर शाहले बुधबार साँझ फेसबुकमार्फत स्पष्ट पारेका हुन्। हाम्रो लक्ष्यहरु विशाल र पवित्र छन्। आममान्छेको जीवनमा सकारात्मक परिवर्तन ल्याउन विशेष र बृहत सोचको आवश्यकता छ। यसका लागि सबैसँग सहकार्य अनिवार्य छ, उनले भनेका छन्। राजनीतिकरुपमा आफूहरुलाई यो अभियानमा स्वतन्त्र भएकाले केही सजिलो भएको अनुभव उनले उल्लेख गरेका छन्। किनकि स्वतन्त्र हुनुको अर्थ केवल चुनावमा उम्मेदवारी दिदा मात्रै रहदैन । स्वतन्त्र हुनुको अर्थ कुनै पनि पार्टी वा समूह वा नेताप्रति निरपेक्ष रहनु पनि हुन्छ। सबैसँग सम्मानजनक निकटताको अभ्यास गर्नुमा पनि हुन्छ, उनले भनेका छन्। मेयर शाहले काठमाडौंको उन्नति, समृद्धि र सकारात्मक परिवर्तनका लागि धेरैभन्दा धेरै व्यक्तिसँग भेट गरेर छलफल गर्ने, सुझाव समेट्ने र सहकार्यका लागि पहल गरिरहेको उल्लेख गरेका छन्। यो सिलसिला उम्मेदवारी घोषणा गर्नुभन्दा पहिलेदेखि सुरु भएर निकै पछिसम्म पनि रहिरहने छ, उनले भनेका छन्, समय अनुकूलताका कारण कसैसँग अघि वा पछि भेट हुन सक्छ। यसलाई अन्यथा नबुझिदिन अपिल गर्दछौँ। यसैक्रममा ओली तथा देउवासँग भेट गरेको उल्लेख गर्दै शाहले भनेका छन्, भेटघाटका क्रममा उहाँहरुले दिनु भएको प्रेरणाले हामीलाई थप उर्जावान बनाएको छ।"
रातो मच्छिन्द्रनाथको रथलाई जावलाखेल पुर्याइयो फोटो फिचर,ललितपुर : रातो मच्छिन्द्रनाथको रथलाई जावलाखेल पुर्याइएको छ। बुधबार रथलाई लगनखेलबाट जावलाखेल पुर्याइएको हो। राष्ट्रप्रमुखको उपस्थितिमा भोटो देखाउँदै यो जात्रा सकिने परम्परा छ। तस्बिर : सुनिता डंगोल
सप्तकोसीको खयर टापुबाट ३ सय ५० किलो गाँजा बरामद,"विराटनगर : सुनसरीको बराहक्षेत्र नगरपालिका२ स्थित सप्तकोसी नदीको खयर टापुबाट सशस्त्र प्रहरीले बुधबार ३ सय ५० किलोग्राम गाँजा बरामद गरेको छ। सप्तकोसी नदीहुँदै तस्करी गरेर ल्याइएको लागुऔषध गाँजा ११ वटा बोराभित्र प्याक गरी बालुवाले छोपेर राखेको अवस्थामा बरामद गरिएको सशस्त्र प्रहरी बल सुनसरीका प्रमुख एसपी विक्रम होमागाईंले जानकारी दिए। उनका अनुसार पूर्वी पहाडी जिल्लामा अवैध खेती गरेर उत्पादन गरिएको गाँजा जलमार्ग हुँदै भारततिर कटाउन खोजिएको हुनसक्ने आशंका छ। नदीको एउटा भंगालो पारिपट्टि तस्करीको गाँजा लुकाएर राखिएको विशेष सूचना बिहान ६ बजेतिर आएको एसपी होमागाईंले बताए। त्यसलगत्तै गाँजा नियन्त्रणमा लिन सशस्त्र प्रहरी बल प्रदेश १ का प्रमुख डीआईजी कमल गिरीले विशेष टोली परिचालन गरेका थिए। सशस्त्र प्रहरी निरीक्षक निगम राई नेतृत्वको टोलीले बिहान ९:४० बजेतिर नदीको भंगालोबीचको टापुमा गाँजा फेला पारेको हो। उक्त गाँजा नदीको भंगालो कटाएर ल्याउनका लागि पौडीबाज सशस्त्र प्रहरी खटाइएको थियो। बरामद गरिएको गाँजा सशस्त्र प्रहरीका अर्का निरीक्षक भूपेन्द्र बस्नेतको नेतृत्वमा डुंगासहित गएको ११ जनाको विपद् उद्धार टोलीले जोखिम मोलेर नदीको भंगालो कटाउँदै ल्याएको हो। एसपी होमागाईंका अनुसार गाँजा तस्करीमा संलग्नको पहिचान भएको छैन। बालुवाले पुरेर राखेको अवस्थामा लागुऔषध गाँजा बरामद भयो। तर तस्करीमा संलग्नहरु कोही पनि भेटिएनन्, उनले भने, खोजी तीव्र पारेर उनीहरुको पहिचानको प्रयास भइरहेको छ। गाँजा भने आवश्यक अनुसन्धान र कारबाहीका लागि नेपाल प्रहरीको जिम्मा लगाइएको छ। तस्करीमा संलग्न गिरोहले सवारीसाधनको प्रयोग गरेर गाँजाको ओसारपसार गरिरहेका थिए। तस्करीको रुट पहिल्याएर कडाइ गर्न थालिएपछि जलमार्ग हुँदै गिरोहले गाँजाको अवैध धन्दा चलाइरहेको पुष्टि भएको सशस्त्र प्रहरीले जनाएको छ। सवारीसाधनबाट हुने तस्करीको रुट पत्ता लगाएर ठाउँठाउँमा ब्लकिङ गर्दै चेकजाँच तीव्र पारेपछि तस्करीमा संलग्नले नयाँ उपाय लगाउन थालेको पाइयो, डीआईजी गिरीले भने, पछिल्लो समय सप्तकोसी नदीबाट जलमार्ग हुँदै गाँजाको तस्करी हुन थालेको खुल्यो। गाँजा तस्करी रोक्न सशस्त्र प्रहरीले प्रदेश १ मा विशेष अभियान चलाइरहेको जानकारी उनले दिए। रातको समयमा बाँस र ट्याक्टरको ट्युब प्रयोग गरेर जलमार्गबाट गाँजा ओसारपसार गर्न थालिएको हुनसक्ने सशस्त्रको भनाइ छ। सशस्त्रका अनुसार भोजपुर, धनकुटासमेतका पहाडी जिल्लामा अवैध खेती गरेर उत्पादन गरिने गाँजा सुरक्षाकर्मीलाई छल्नका लागि जलमार्गबाट तस्करी गर्न थालिएको पाइयो। लागुऔषध ओसारपसार लगायतका अवैध धन्दा नियन्त्रणमा लिनलाई सम्भावित स्थानमा विशेष निगरानी बढाउन निर्देशन दिएर डीआईजी गिरीले सशस्त्र प्रहरीको विशेष टोली परिचालन गरेका छन्। सबै ठाउँमा निगरानी बढाउँदै अवैध धन्दा नियन्त्रण गर्नका लागि सशस्त्रलाई २४ घण्टा नै तैनाथ गरिएको गिरीले बताए। सुरक्षाकर्मीलाई छलेर तस्करले लागुऔषध गाँजा भारततर्फ लैजाने गरेका छन्। नेपालमा भन्दा दोब्बर बढी मूल्य पाइने भएपछि लुकाइछिपाइ गाँजा भारत लग्ने गरिएको प्रहरीको भनाइ छ। नेपालमा एक किलो गाँजाको मूल्य २० हजारभन्दा बढी पर्ने प्रहरी अनुसन्धानले देखाएको छ। सशस्त्रले यसअघि वैशाख १६ गते राति सुनसरीको भोक्राहानरसिंह गाउँपालिका६ बाट १ सय ४८ किलो गाँजा बरामद गरेको थियो। प्रदेश १०२००२ ख ८६१४ नम्बरको ट्रकमा राखेर भारततर्फ कटाउन खोजिएको गाँजासहित ट्रक चालक धनकुटाको शहीदभूमि गाउँपालिका४ का ३६ वर्षीय हेमप्रसाद राई पक्राउ परेका थिए। सशस्त्रलाई पैसा बुझाएर गाँजा छुटाउनभन्दै आएका शहीदभूमि२ का ३६ वर्षीय हिक्मत राई र ३५ वर्षीय आशिष राईसमेत ५ लाख ५० हजार रूपैयाँ नगदसहित पक्राउ परे। गाँजा छुटाउनलाई सशस्त्रसँग सेटिङ मिलाउनभन्दै पैसा बोकेर आएका हिक्मत र आशिषले प्रयोग गरेको को ४० प २२११ नम्बरको मोटरसाइकल पनि सशस्त्रले नियन्त्रणमा लिएको थियो।"
विदुर नगर कार्यपालिकामा एमालेको एकल बहुमत,"नुवाकोट : नुवाकोटको विदुर नगरपालिकाको नगर कार्यपालिकामा नेकपा एमालेको एकल बहुमत भएको छ। विदुरमा बुधवार सम्पन्न कार्यपालिका सदस्य निर्वाचनमा सबै पदमा एमालेका उम्मेदवार विजयी भएका हुन्। एमाले विदुर नगरकमिटीका अध्यक्ष नवीन प्रधानका अनुसार नगर कार्यपालिकाको ८ सदस्यका लागि भएको निर्वाचनमा एमालेका ८ जना नैं उम्मेदवार विजयी भएका छन्। निर्वाचनमा प्राप्त नतिजा अुनसार एमालेका उम्मेदवारहरू सवु मिजार, सावित्री राई, इन्दिरा मिजार, राधिका तामाङ, विन्दा तिमल्सिना आचार्य, शिवबहादुर विश्वकर्मा, सीताराम मिजार र दीपक कुमाल आगामी पाँच वर्षका लागि विदुर नगर कार्यपालिकाको सदस्यमा विजयी भएका छन्। विदुरमा २३ सदस्यीय कार्यपालिका र ७० सदस्यीय नगरसभामा नेकपा एमालेको स्पष्ट बहुमत रहेको अध्यक्ष प्रधानले बताए। उनका अनुसार नगर कार्यपालिकामा पनि एमालेको स्पष्ट बहुमत भएको छ। विदुर नगरमा निर्वाचित ६७ मध्ये ३७ सिट एमालेको रहेको छ।"
कोरियामा सिजनल वर्कर पठाउने स्थानीय तहको तयारीमा गृह र श्रम मन्त्रालयको चासो,"काठमाडौँ : गृहमन्त्री बालकृष्ण खाण र श्रम रोजगार तथा सामाजिक सुरक्षामन्त्री कृष्णकुमार श्रेष्ठबीच वैदेशिक रोजगारीमा नेपाली श्रमिक पठाउने विषयमा देखिएका समस्या समाधानबारे छलफल भएको छ। बुधबार गृह मन्त्रालयमा भएको छलफलमा गृहसचिव टेकनारायण पाण्डे, श्रम मन्त्रालयका सचिव एकनारायण अर्याल, गृहप्रवक्ता सहसचिव फणिन्द्रमणि पोखरेल, अध्यागमन विभागका महानिर्देशनक नारायणप्रसाद भट्टराई, वैदेशिक रोजगार विभागका महानिर्देशक शेषनारायण पौडेललगायत दुवै मन्त्रालयका उच्च पदस्थ अधिकारीहरूको सहभागिता थियो। बैठकमा श्रम स्वीकृतिजस्तै रिलेसन भिसा र भिजिट भिसामा विदेश जाँदा पनि पहिल्यै स्वीकृति लिनुपर्ने व्यवस्था गर्नेबारे छलफल भएको थियो। त्यसका लागि अध्यागमन विभागले रिलेसन भिसा र भिजिट भिसामा विदेश जानेहरूले स्वीकृति लिनका लागि एप्स निर्माण गर्ने र सोको व्यवस्थापन छुट्टै शाखामार्फत गर्ने विषयमा कुराकानी भएको गृह मन्त्रालयले जनाएको छ। प्रस्तावित व्यवस्था कार्यान्वयन भएमा भिजिट भिसामा नक्कली कागजात बनाइ विदेश पुग्ने र काम नपाइ बिचल्लीमा पर्ने समस्याको समाधान हुने बारेमा छलफल भएको थियो। घुम्न जानेले एप्समा भरेको विवरण र पेस गरेका कागजातको यथार्थता एकीन भएपछि अनुमति दिँदा सरकारसँग विदेशमा घुम्न जानेको अभिलेख हुने र बिचल्लीमा परेर फर्किन पर्ने समस्या समाधान हुन सक्ने सहभागीहरूले बताएका थिए। बैठकमा केही स्थानीय तहले कोरियाका स्थानीय तहसँग भगिनी सम्बन्ध गाँस्दै सिजनल वर्कर पठाउने सहमति गरेको विषयमा पनि कुराकानी भएको थियो। नेपालको कानुनमा श्रम स्वीकृति दिने अधिकार संघ सरकारलाई मात्र दिइएकाले प्रदेश तथा स्थानीय सरकारले त्यसरी सिधै पठाउन नमिल्ने सहभागीहरूले बताए।"
प्रदेश र संघीय निर्वाचनको रणनीति बनाउन जुट्यो राप्रपा,काठमाडौं : राप्रपाको केन्द्रीय कार्यसम्पादन समितिको बैठक काभ्रेको धुलिखेलमा सुरु भएको छ। स्थानीय निर्वाचनको समीक्षा र आगामी प्रदेश र संघीय निर्वाचनको रणनीतिक तयारीबारे छलफल गर्न कार्यसम्पादन समिति बैठक बसेको हो। बैठकको अध्यक्षता पार्टी अध्यक्ष राजेन्द्र लिङ्देनले गरेका छन्। बैठकमा पार्टीका पूर्वअध्यक्षहरू पशुपतिशम्शेर जबरा र डा प्रकाशचन्द्र लोहनीलगायत शीर्षस्थ नेताहरू सहभागी छन्। स्थानीय तह निर्वाचनपछि बसेको राप्रपा कार्यसम्पादन समितिको यो पहिलो बैठक हो। बैठक भोलिसम्म चल्ने प्रवक्ता एवं प्रचार विभाग प्रमुख मोहन श्रेष्ठले जानकारी दिएका छन्।
भैरहवाको फोहोर व्यवस्थापनका लागि मेयर सक्रिय,"भैरहवा : रुपन्देहीको सिद्धार्थनगर नगरपालिका (भैरहवा) का प्रमुख ईस्तियाक अहमद खाँन नगरको फोहोर व्यवस्थापनका लागि सक्रियताका साथ लागेका छन्। नगरको फोहोर व्यवस्थापन नगरवासीका लागि ठुलो समस्या बनेको र व्यवस्थापन नहुदाँ नगरवासीले समय समयमा सास्ती समेत खेप्नु परेको छ। फोहोर व्यवस्थापन हुन नसक्दा नगरपालिकाले नगरको फोहोर खुल्ला रुपमा डण्डा नदी छेउमा फाल्ने गरेको छ। ग्रिन, क्लिन र ईन्भोरमेन्ट फ्रेन्डली सिटी योजना अनुरुप हालै सम्पन्न स्थानीय तहको निर्वाचनबाट निर्वाचित प्रमुख खाँनले पदभार ग्रहण लग्तै उनी फोहोर व्यवस्थापन र नगरको विकासमा लागेका हुन्। पदभारग्रहण गरे लगत्तै उनले नगरको फोहोर व्यवस्थापनका लागि जर्मनको टोलीसगँ कार्यालयमै छलफल गरेका थिए। नगरलाई ग्रिन, क्लिन र ईन्भोरमेन्ट फ्रेन्डली सिटी बनाउनका लागि नगरको फोहोर व्यवस्थापन निकै आवश्यक छ नगर प्रमुख खाँनले भने, फोहोर व्यवस्थापनको समस्या समाधान भए नगरलाई नमुना नगर बनाउन समय लाग्दैन।उनले थपेनगरको फोहोर व्यवस्थापन छिट्टै समाधान गर्ने कोशिसमा छु। योजना अनुरुप नगर प्रमुख खान नगरपालिकाको प्रमुख प्रशासकिय अधिकृत तुल्सीराम मरासिनी सहितको टोलीको साथमा भक्तपुर जिल्लको मध्यपुर थिमी र काठमाण्डौँको गोर्कणेश्वर नगरपालिकाले गरेको फोहोर व्यवस्थापन लगायत संचालित योजनाहरुको अध्ययन र अवलोकन गरेका छन्। मध्यपुर थिमी नगरपालिकामा फोहोरबाट मल बनाउने विधी र गोर्कणेश्वर नगरपालिकामा फोहोरलाई आगो लगाउने विधीको अवलोकन र जानकारी लियौँ नगरपालिकाका प्रमुख प्रशासकिय अधिकृत तुल्सीराम मरासिनीले भने, अन्य स्थानमा पनि फोहोर व्यवस्थापनको विधी हेर्छौ, बुझ्छौँ त्यसपछि अन्तिममा सहज र उचित तरिकाले फोहोर व्यवस्थापन गर्नबारे निर्णय लिन्छौँ। नगरको विकास गर्न आवश्यक ठूला योजना र बजेटको लागि नगर प्रमुख खान काठमाडौंसहित विभिन्न स्थानमा अवलोकन र छलफल गरिरहेका छन्।"
जेठमै रोपाइँ गर्न भ्याइनभ्याइ,"बाग्लुङ् : असार नलाग्दै यहाँका किसानलाई रोपाइँको चटारो छ। सिञ्चित र दुई बाली फल्ने खेतमा रोपाइँ छिटो हुन्छ। जिल्लाकै धेरै धानखेती हुने गलकोटको मजुवा फाँटलगायतका ठाउँमा मध्यजेठबाटै रोपाइँ सुरु भएको कृषि ज्ञान केन्द्रले जनाएको छ। केन्द्रका प्रमुख भानु भट्टराईले बाह्रैमास सिँचाइ सुविधा पुगेका र खोला आसपासका खेतमा रोपाइँ छिटो हुने बताए। वर्षा पनि भइरहेकाले रोपाइँलाई सहज बनाएको छ, उनले भने, असारसम्ममा अधिकांश ठाउँमा रोपाइँ सकिइसक्छ। गलकोट नगरपालिका७ बामियाका सचित्र गुरुङले रोपाइँले किसान बेफुर्सदिला बनेको बताए। उनी आफैँ पनि चार दिनयता लगातार घरकै रोपाइँमा खट्नुभएको छ। चिसापानीमा गुरुङको १५ मुरी धान फल्ने खेत छ। रोपाइँको चापाचाप छ, गलकोटको मजुवा, आँगाखेत, बाह्रमुरीलगायतका फाँटमा रोपाइँ चलिरहेको छ, गुरुङले भने, गलकोटमा धेरैजसो रोपाइँ जेठमै सकिन्छ। त्यसक्षेत्र भएर बग्ने दरमखोला र गौँदी खोलाबाट आएका कुलाले त्यहाँको ठूलो उब्जाउ भूमिलाई सिञ्चित गर्ने भएकाले रोपाइँ छिटो हुने गरेको हो। त्यहीँमाथि दैनिकजसो वर्षा हुन थालेपछि किसानलाई थप राहत मिलेको छ। नेपालमा सामान्यतया अङ्ग्रेजी महिना जुन १० मा मनसुन भित्रिने गरे पनि कहिलेकाहीँ भने अलि छिट्टै मनसुन सक्रिय हुने गर्छ। केन्द्रका अनुसार गलकोटसहित कुश्मीसेरा, खरबाङ, निसी, बुर्तिबाङलगायतका क्षेत्र छिटो रोपाइँ हुनेमा पर्छन्। रोपाइँ हुने मुख्य महिना असार भए पनि ती ठाउँमा पहिल्यै रोपाइँ सुरु भइसक्छ। मकै बाली हुने खेतमा भने किसानले मकै झिकेपछि असार अन्तिम र साउनसम्मै रोपाइँ गर्छन्। यहाँको दक्षिण अमलाचौर, नारायणस्थान, बिहुँ, पाला, मालिका, बुर्तिबाङको उपल्लो भेगलगायतका ठाउँमा भने रोपाइँ ढिलो हुन्छ। असार लागेपछि रोपाइँ भएको क्षेत्रको विश्लेषण गरेर नियमित तथ्याङ्क दिन सकिने केन्द्रका प्रमुख भट्टराईले बताए। जिल्लाको कूल पाँच हजार ८५० हेक्टर क्षेत्रफलमा धान खेती हुँदै आएको छ। त्यसमध्ये १० हेक्टरमा मात्र चैते धान लगाइन्छ। यस वर्ष धानखेती हुने क्षेत्रफल बढ्ने अनुमान छ, प्रमुख भट्टराईले भने, उन्नतमा कम र स्थानीय जातकै धानमा किसानको बढी आकर्षण देखिन्छ। परालको जोहो र चामलको स्वादका लागि किसानले स्थानीय जातकै धान रोज्ने गरेको उनको भनाइ छ। उन्नत धानतिर किसानलाई आकर्षित गर्न केन्द्रले बीउ वितरण, बीज वृद्धिलगायतका कार्यक्रम सञ्चालन गर्दै आएको छ। उन्नत जातको धान लगाउँदा १५ प्रतिशतसम्म उत्पादन बढाउन सकिने प्रमुख भट्टराईले बताए। रासस"
