शीर्षक,विवरण
अर्बौं लगानीको उपयोग गर,"सभा, सम्मेलन र समारोहहरू आयोजना गर्ने गतिलो सम्मेलन केन्द्र मुलुककै लागि अभाव थियो। त्यसमाथि सम्मेलन पर्यटनका लागि मुलुकका प्रमुख र पर्यटकीय सहरहरूमा सम्मेलन केन्द्रको आवश्यकता हो। सभा, सम्मेलन र समारोहहरू आयोजना गर्ने गतिलो सम्मेलन केन्द्र मुलुककै लागि अभाव थियो। त्यसमाथि सम्मेलन पर्यटनका लागि मुलुकका प्रमुख र पर्यटकीय सहरहरूमा सम्मेलन केन्द्रको आवश्यकता हो। त्यही आवश्यकता पूरा गर्न बुटवलमा १ अर्ब ११ करोड रुपैयाँमा निर्मित सम्मेलन केन्द्रको हालत भने बिजोग छ। २ हजार ७ सय क्षमताको सम्मेलन केन्द्र अहिलेसम्म मुलुकमा अन्त छैन। पाँच हजार क्षमताको ध्यान केन्द्रले ध्यानी पाएको छैन, सरकारलाई त्यता ध्यान छैन। बिजोग ध्यान केन्द्र र अन्तर्राष्ट्रिय सम्मेलन केन्द्रको मात्रै होइन, बुटवल क्षेत्रमा मात्रै अर्बाैं लगानीका पूर्वाधार बेकामे भएका छन्। जगजाहेर छ, गौतमबुद्ध अन्तर्राष्ट्रिय विमानस्थलबाट नियमित रूपमा अन्तर्राष्ट्रिय उडान हुन सकेको छैन। जुन प्रयोजनका लागि विमानस्थलमा ४० अर्ब लगानी भएको हो, त्यसको औचित्य पुष्टि गर्ने प्रयत्न सरकारबाट हुन सकेको छैन। विमानस्थल बनाउँदैमा कुनै जहाज उडेर फुत्त आउने होइन। आकाशमा पनि त्यसका लागि मार्ग चाहिन्छ, भारतीय आकाश हुँदै आउने छोटो मार्ग खुलाउन सरकार हात बाँधेर बसेको छ। अर्काे त अन्तर्राष्ट्रिय वायुसेवा कम्पनीहरू व्यापारबिना किन नेपाल आउँथे, बुटवल आउँथे र ? विदेशी पर्यटक यात्रुको खोजी त परै नेपाल सरकारले वैदेशिक रोजगारीका लागि जाने लुम्बिनी क्षेत्रका बासिन्दाका लागि आवश्यक श्रम स्वीकृतिलगायत प्रबन्ध गरिदिन सकेको छैन। कार्यविधि र नियममात्रै बनाउने काम पनि नगरिदिनाले झन्डै ६० करोड खर्चेर तयार रूपन्देही विशेष आर्थिक क्षेत्रले कुनै उद्योग, कलकारखाना पाउन सकेको छैन। पूर्वाधारबिना विकास र समृद्धि सम्भव छैन। त्यसैले तिनमा सरकारी लगानी स्वाभाविक थियो। आफ्नै स्रोत र विदेशी ऋण वा अनुदानसम्म लिएर बनेका पूर्वाधार बेकामे हुनुले प्रस्ट भएको छ पूर्वाधार भएरमात्रै हुँदैन, त्यसको उपयोग पनि गर्न सक्नुपर्छ। यसले कताकता के ती पूर्वाधार आवश्यक भएरै बने कि राजनीतिक तृष्टिका लागि तयार भए भन्ने पनि प्रश्न उठेको छ। आवश्यकताभन्दा पनि हचुवामा पूर्वाधार निर्माण गर्दा राष्ट्रको पुँजी खेरमात्रै जाँदैन, उल्टै ऋणको भारीले पनि थिच्छ भन्ने पाठ लिन जरुरी छ। आउँदा दिनका लागि त्यो पाठ लिँदै आज तयार भइसकेका पूर्वाधार कुनै पनि हालतमा उपयोगमा ल्याउने जिम्मेवारी सरकारको हो। केवल शिलान्यास, उद्घाटनको रहर पूरा गर्न वा कसैको राजनीतिक रोटी सेक्ने नाममा राष्ट्रको लगानी बालुवामा पानी हुन दिनु हुँदैन। वर्षाैंवर्ष लगाएर बनेका पूर्वाधार उपयोग नहुँदा फेरि मर्मतसम्भारकै लागि खर्चनुपर्ने दिन नआओस्।"
बुधबार दिउँसो देशका पहाडी क्षेत्रमा वर्षा हुने,"काठमाडौं : बुधबार दिउँसो देशका पहाडी क्षेत्रमा वर्षा हुने भएको छ। मौसम पूर्वानुमान महाशाखाका अनुसार बुधबार दिउँसो देशका पहाडी भूभागका थोरै स्थानहरूमा मेघगर्जन चट्याङसहित हल्कादेखि मध्यम वर्षाको सम्भावना रहेको छ। साथै देशको उच्च पहाडी तथा हिमाली भूभागका थोरै स्थानमा हल्का हिमपातको सम्भावना छ। बुधबार राति कोशी र गण्डकी प्रदेशका पहाडी भूभागका एकदुई स्थानमा मेघगर्जन चट्याङसहित हल्का वर्षाको सम्भावना छ। कोशी, गण्डकी र कर्णाली प्रदेशका उच्च पहाडी तथा हिमाली भूभागका एकदुई स्थानमा हल्का हिमपातको सम्भावना रहेको महाशाखाले जनाएको छ।"
कोहलपुरमा डुबेर दुई बालकको मृत्यु,"बाँके : बाँकेको कोहलपुरमा नहरमा डुबेर आज दुई बालकको मृत्यु भएको छ। मृत्यु हुनेमा कोहलपुर नगरपालिका१२ चप्परगौडीका १५ वर्षीय मनसुन बराल र नौ वर्षीय अनिल भट्टराई रहेको इलाका प्रहरी कार्यालय, कोहलपुरका प्रहरी नायब उपरीक्षक सुन्दर तिवारीले जानकारी दिए। बराल स्थानीय दीपज्योति बोर्डिङ स्कुल तथा भट्टराई ज्ञानज्योति स्कुलमा अध्ययनरत थिए। सिमरी नदीको बन्दा नहरमा नुहाउन गएका पाँचमध्ये दुई जना डुबेको सूचना मृतकका आफन्तले प्रहरीलाई दिएका थिए। घटनाको थप अनुसन्धान भइरहेको प्रहरीले जनाएको छ।"
जनकपुरधामका प्रमुख साहलाई यस वर्षको महामूर्खको उपाधि,"जनकपुरधाम : जनकपुरधाममा एउटा यस्तो महोत्सव हुन्छ, जहाँ महामूर्ख बन्न तछाड मछाड हुन्छन्। जो सबैको सामुन्ने विना कुनै संकोच भन्न र स्विकार गर्छन, कि म महामूर्ख हु। जनकपुरधाममा हुने एउटा सम्मेलन, जहाँ सबैभन्दा ठूलो मूर्ख अर्थात (महामूर्ख) को उपाधि लिन तछाडमछाड हुन्छ। त्यो महामूर्खको उपाधि लिन सामान्य व्यक्ति मात्र नभई समाजमा विद्वान कहलिएका राजनीतिकज्ञ, बुद्धिजीवि, लेखक, साहित्यकार, कलाकार, पत्रकार नेताहरू बीच प्रतिस्पर्धा हुन्छ। प्रतिस्पर्धामा उत्रिने मध्ये एकजनाले महामूर्खको उपाधि पाउँछन् भने अन्य प्रतिस्पर्धीहरू विभिन्न शीर्षकमा मूर्ख को उपाधि पाउँछन्। यसैबीच महामूर्ख सम्मेलन २०७९ मा जनकपुरधाम उपमहानगरपालिकाका मेयर मनोज साह महामूर्ख भएका छन्। जनकपुरधाम स्थित मिथिला नाट्यकला परिषद्ले (मिनाप) प्रत्येक वर्ष आयोजना गर्ने व्यङग्यात्मक सांस्कृतिक कार्यक्रममा महामूर्ख सम्मेलनमा महजोडी सहित १३ जनालाई अन्य उपाधि प्रदान गरिएको छ। को को मूर्ख, अनि के उपाधि यसवर्ष सञ्चारकर्मी ऋषि धमलालाई पटमूर्ख, सञ्चारकर्मी वीरेन्द्र रमणलाई सोटाचन्द, महोत्तरीको मटिहानी नगरपालिकाका नगर प्रमुख हरिप्रसाद मण्डललाई वैशाखनन्दन, तमलोपा नेतृ विभा ठाकुरलाई गन्धपसारैन, पूर्वखेलाडी अरुण लाल कर्णलाई खबसुरता, याज्ञवल्क्य संस्कृत माध्यमिक विद्यालयका प्रधानाध्यापक संजय झालाई लोढाशंकर, व्यवसायी बलराम साहलाई बज्रसोटा, अधिवक्ता रेखा झालाई मनटुटिया, इन्जिनियर रत्नेश्वरलाल कर्णलाई डपोरशंख, कवियत्री किरण झालाई टुनमुसरी, मधेश प्रदेशको वन मन्त्रालयका कर्मचारी लालबाबु यादवलाई हराशंख र मोनाष्टिक माध्यमिक विद्यालयका निर्देशक डा सोनुकुमार साहलाई बज्रकिट लगायतको हास्यास्पद उपाधि प्रदान गरिएको थियो। महामूर्खको उपाधि पाएपछि नगरप्रमुख साहको अनुहारमा अनौठो मुस्कान देखिएको थियो। उनलाई प्रशस्ती पत्र, लाटोकोसेरोको मुकुट, मालाले सुशोभित गरी सम्मान गरिएको छ। यी हुन् हालसम्मका महामूर्ख २०६१ सालबाट हुँदै आएको महामूर्ख सम्मेलनमा पहिलो महामूर्खको उपाधि मैथिली कवि नरेश ठाकुर, २०६२ मा एमाले नेता शीतल झा, २०६३ मा जनकपुर नगर पालिकाका तत्कालीन मेयर हरि बहादुर बिसी, २०६४ मा सद्भावना नेता ओमकुमार झा, २०६५ मा बरिष्ठ साहित्यकार डा राजेन्द्र विमल, २०६६ मा पूर्वमन्त्री एवं नेकपाका नेता रामचन्द्र झा भएको थिए। २०६७ मा नेपालका चर्चित राजनीतिक विश्लेषक सिके लाल, २०६८ मा साहित्यकार रामभरोष कापडि़ भ्रमर, २०६९ मा नेपाली काँग्रेस धनुषाका सभापति रामसरोज यादव, २०७० मा तमलोपाका पूर्वसभासद डा विजयकुमार सिंह र २०७१ मा एमाले नेताएवं सांसद शत्रुधन महतोलाई प्रदान गरिएको थियो। यसैगरी २०७२ सालमा स्मशान घाट (स्वर्गद्वारी) बनाएर चर्चा बटुलेका पवन सिंघानियालाई महामूर्खको उपाधि प्रदान गरिएको थियो भने २०७३ सालमा मधेस आन्दोलनका कारण कार्यक्रम स्थगित गरिएको थियो। गतवर्ष अर्थात २०७४ सालमा राष्ट्रियसभा सदस्य एवं राजपाका उपाध्यक्ष वृषेशचन्द्र लाल, २०७५ सालमा जनकपुरधाम उपमहानगरपालिकाका मेयर लालकिशोर साह र २०७६ मधेश प्रदेशका मुख्यमन्त्री लालबाबु राउत गद्दी, २०७७ सालमा महजोडी मदन कृष्ण श्रेष्ठ र हरिवंश आचार्य एवम् २०७८ सालमा अर्थविद डा भोगेन्द्र झालाई महामूर्खको उपाधि प्रदान गरिएको थियो।"
उद्यमी महिलालाई सम्मान,"काठमाडौं : नेपाल महिला चेम्बरले ११३ औं अन्तर्राष्ट्रिय महिला दिवसका अवसरमा उद्यमी महिलालाई सम्मान गरेको छ। काठमाडौंको कमलपोखरीस्थित रुसी संस्कृति केन्द्रमा चेम्बरले महिला उद्यमीलाई सम्मान सहित सांस्कृतिक कार्यक्रम गरेको हो। नेपाल महिला चेम्बरबाट सम्मानित हुनेमा उद्योगतर्फ शुभद्रा अधिकारी ढकाल, निर्याततर्फ पार्वता खरेल बिमली, आईटितर्फ न्हशला जोशी, कृषितर्फ सरिता भट्टराई श्रेष्ठ र स्वास्थ्य तर्फ स्वरुपा श्रेष्ठ छन्। राष्ट्रिय महिला आयोगकी सदस्य कृष्णकुमारी पौडेल खतिवडाले सामाजिक संरचना विविधतापूर्ण रहेको उल्लेख गर्दै महिला हिंसा बढ्नु दुःखद भएको बताइन्। आधुनिक विश्वमा महिलालाई अगाडि बढ्न सहज देखिए पनि घर परिवारकै साथ नपाउँदा हरेक जसो क्षेत्रमा अगाडि बढन कठिन र चुनौतीपूर्ण हुने गरेको खतिवडाले बताइन्। राजनीतिक दलका नेताहरू जिम्मेवार नहुँदा राजनीतिकर्मी महिला अवसरबाट बन्चित हुनु परेकोमा रोष प्रकट गर्दै संविधान बनाउनेले नै कानुन उल्लंघन गरेको खतिवडाले जिकिर गरिन्। नेपाल चेम्बर अफ कमर्सका वरिष्ठ उपाध्यक्ष कमलेश कुमार अग्रवालले ५० प्रतिशत हिस्सा ओगटेका महिला पछाडि पारिएको जिकिर गर्दै आर्थिक, सामाजिक, बौद्धिक, सांस्कृतिक, क्षेत्रमा प्रोत्साहन गर्नुपर्ने बताए। पुरुषका तुलनामा महिलालाई कम ज्याला दिने गरिएको भन्दै अग्रवालले विभेदको अन्त्य गर्नुपर्ने औंल्याए। नेपाल महिला चेम्बरकी अध्यक्ष उर्मिला श्रेष्ठले हरेक वर्ष हुने यस्ता कार्यक्रमले महिलालाई अघि बढ्न हौसला मिल्ने बताइन्। अधिकांश महिला विभेद र उत्पीडनमा पिल्सिरहन वाध्य रहेको अध्यक्ष श्रेष्ठले बताइन्। महिलालाई अगाडि बढाउन महिला स्वयंको भूमिका, सहभागिता एवं प्रतिनिधित्व अर्थपूर्ण हुने श्रेष्ठको भनाइ छ। नेपाल महिला चेम्बरकी महासचिव लिमा अधिकारीले उत्पादनशील क्षेत्रमा लगानी विस्तार गरेर महिला उद्यमशीलताको विकास गर्नुपर्ने बताइन्। कृषि वस्तुको आयातमा रोक लगाउनुपर्ने भन्दै अधिकारीले आत्मनिर्भर कृषिका लागि पहल गर्नुपर्ने बताइन्। राष्ट्र संघले नारी दिवसका लागि यो वर्ष डिजिटल इनोभेसन एण्ड टेक्नोलोजी फर जेन्डर ईक्वालिटी भन्ने नारा तय गरेको छ"
एक वर्षदेखि रोकिएको सडकको काम अघि बढ्यो,"जोमसोम : चीनसँग व्यापारिक मार्ग विस्तार गर्ने उद्देश्यले सुरु गरिएको राष्ट्रिय गौरवको (बेनीजोमसोमकोरला) सडक अन्तर्गत बेनीजोमसोम काम अघि बढेको छ। एक वर्षदेखि अलपत्र परेको ७६ किमी सडकको काम मंगलबारदेखि सुरु गरिएको हो। निर्माण कम्पनी पप्पु गौरी पार्वती कोशी एण्ड न्यौपाने जेभीले ठेक्का सम्झौता गरेको बेनीजोमसोम चौथो खण्डको कोवाङजोमसोम सडक स्तरोन्नति तथा कालोपत्रे गत वर्षदेखि अघि बढ्न सकेको थिएन। तीन वटा संयुक्त कम्पनीले जोईन भेन्जरका रूपमा २०७३ असारमा कोवाङजोमसोम १६ दशमलव पाँच किलोमिटर सडक स्तरोन्नति तथा कालोपत्रे गर्ने जिम्मा लिएको थियो। दाँयाबाँया ड्रेनसहित ११ मिटर सडक र त्यसमाथि अस्फाल्ट कालोपत्रे गर्न कम्पनीले ९९ करोड ६२ लाखमा ठेक्का सम्झौता गरेको थियो। तीन कम्पनीको ठेक्का सम्झौता रहे पनि पुरै कामको जिम्मा कोशी एण्ड न्यौपाने जेभी एक्लैले गरेको थियो। तर,कोशी एण्ड न्यौपानेले सडकको कामबीचैमा अलपत्र छाडेको थियो। उसले आफूले काम नगरी प्रतिनिधिका रूपमा सप्तकोशी जलाधार कन्ट्रक्सनका भाबेस बोहरालाई सुम्पिएको थियो। उनले पनि केही प्रतिशत सडकको काम गरी बैंकका आर्थिक भार थेग्न नसक्दा गत असारदेखि सडकको काम अलपत्र पारेर बेपत्ता भएका थिए। लामो समयदेखि सडकको काम रोकिए पछि सडक विभाग र आयोजनाले कम्पनीलाई काममा फर्किन ध्यानाकर्षण गरायो। आयोजनाले सूचना प्रकाशित गरेरै काममा नर्फिए कालोसूचीमा राख्ने अल्टिमेटम दियो। त्यसपछि कम्पनीको फर्म कालोसूचीबाट जोगाउन जोईनकै अर्को पार्टनर गौरी पार्वतीले फागुन १ गतेदेखि सडकको अधुरो काम पूरा गर्न आइसकेको आयोजनाले जनाएको छ। यस कम्पनीले उपल्लो मुस्ताङको चराङछोसेर २५ किमी सडकको काम पनि अन्तिम चरणमा पुग्दा अलपत्र छाडेको थियो। यो काम पनि गौरी पार्वतीले नै गर्ने आयोजनाले उल्लेख गरेको छ। चराङछोसेर ग्रोभेल सडकको कामको ठेक्का ५८ करोड २६ लाखमा सम्झौता भएको थियो। यहाँ ९० प्रतिशत काम सम्पन्न भइसकेको छ।"
विशेष अदालतबाट सफाइ पाएका चार मुद्दामा अख्तियारले दियो सर्वोच्चमा पुनरावेदन,"काठमाडौं : अख्तियार दुरूपयोग अनुसन्धान आयोगले विशेष अदालतबाट सफाइ पाएका चार मुद्दामा सर्वोच्च अदालतमा पुनरावेदन दिएको छ। विशेष अदालतको फैसलामा चित्त नबुझेपछि सर्वोच्च अदालतमा पुनरावेदन गरिएको अख्तियारका प्रवक्ता देवीप्रसाद थपलियाले जानकारी दिए। प्रवक्ता थपलियाका अनुसार विशेष अदालतबाट विभिन्न मितिमा फैसला भएकामध्ये गैरकानुनी लाभ तथा हानी,सार्वजनिक सम्पत्ती हानिनोक्सानी,राजश्व हिनामिना र गलत लिखतसम्बन्धी गरी चार मुद्दामा आयोगको निर्णयअनुसार मंगलबार सर्वोच्च अदालतमा पुनरावेदन गरिएको हो। दिनेश अर्याल,दीपिका रेग्मी,डोमा शेर्पा र कृष्णकुमार नेपालविरुद्ध मुद्दामा विशेष अदालतले सफाइ दिएको थियो।"
कारको ठक्करबाट बालिकाको मृत्यु,सर्लाही : सर्लाहीको बलरा नगरपालिका२ मा सोमबार साँझ कारको ठक्करबाट एक बालिकाको मृत्यु भएको छ। मृत्यु हुनेमा स्थानीय हरेशन सहनीकी १८ महिने छोरी माया कुमारी रहेकी छिन्। हिजो साँझ ६ बजे भारतीय नम्बरको कारले बाटोमा खेलिरहेकी बालिकालाई ठक्कर दिएको थियो। दुर्घटनामा गम्भीर घाइते भएकी बालिकाको उपचारका क्रममा प्रादेशिक अस्पताल मंलगवामा मृत्यु भएको छ। ठक्कर दिने कारसहित चालकलाई प्रहरी चौकी छन्किटोलाले नियन्त्रणमा लिएको छ।
वैदेशिक रोजगार व्यवसायी संघका अध्यक्ष भण्डारीलाई ६ महिना कैद,"काठमाडौं : वैदेशिक रोजगार व्यवसायी संघका अध्यक्ष राजेन्द्र भण्डारी दोषी ठहर भएका छन्। वैदेशिक रोजगार न्यायाधिकरणले ६ महिना कैद र १ लाख रुपैयाँ जरिवानाको फैसला गरेको छ। औरोरा ह्युमन रिसोर्स प्रालिका सञ्चालक भण्डारीलाई न्यायाधिकरणले वैदेशिक रोजगार कसूरमा दोषी ठहर गरेको हो। भण्डारीले दुबइस्थित रोजगारदाता कम्पनी टिम फर्निचर मा ११ जना कामदार पठाउन नक्कली कागजात पेश गरेको न्यायाधिकरणको अनुसन्धानमा देखिएको छ। भण्डारीले वैदेशिक रोजगार विभागबाट स्वीकृति प्राप्त गर्दा नक्कली कागजात पेश गरेको कसुर न्यायाधिकरणले जनाएको छ। न्यायाधिकरणका अध्यक्ष रमेशकुमार खत्री र सदस्य निशा बानियाँ र गोपीचन्द्र भट्टराईको इजलासले दोषी ठहर गरेको हो। उक्त मुद्दामा प्रेस सञ्चालक शेरबहादुर महर्जनलाई ३ महिना कैद र ५० हजार रुपैयाँ जरिवाना फैसला सुनाइएको छ। उनले कागजात खडा गर्नका संलग्नता भएको ठहर गर्दै दोषी किटान गरेको हो। २०७१ असार २१ मा नेपाल निक प्रेसमा छापा मारि कागजात बरामद गरिएको थियो। भण्डारीलाई वैदेशिक रोजगार ऐन २०६४ को दफा (४७) १ को प्रावधान अनुसार सजाय सुनाइएको हो। २०७१ असार २१ मा नेपाल निक प्रेसमा छापा मारी कागजात बरामद गरिएको थियो। भण्डारीलाई वैदेशिक रोजगार ऐन २०६४ को दफा (४७) १ को प्रावधान अनुसार सजाय सुनाइएको हो। वैदेशिक रोजगार न्यायाधिकरणले भण्डारीको कम्पनीसहित ५३ वटा म्यानपावर कम्पनीका सञ्चालकलाई ६ महिना कैद र १ लाख जरिवाना सुनाएको थियो। न्यायाधिकरणले २०७८ फागुन १६ गते ५३ वटा म्यानपावर सञ्चालकलाई ६ महिना कैद र १ लाख रुपैयाँ जरिवाना गर्ने फैसला गरेको थियो। न्यायाधिकरणका प्रवक्ता आनन्दराज पन्तले अधिकांश सञ्चालक सर्वोच्चमा गएकाले उक्त मुद्दा विचाराधीन भएको बताए। अधिकांश सञ्चालकहरू सर्वोच्चमा गएका छन्। अन्तिम भएपछि मात्रै कैद र जरिवाना असुली हुन्छ। न्यायाधिकरणको फैसला सर्वोच्चले सदर गरेमा कार्यान्वयन हुने र सफाइ पाएमा त्यही अनुसार हुने उनले बताए। न्यायाधिकरणका एक सदस्यका अनुसार उक्त पक्ष कार्यान्वयन गर्न राजी भएमा दैनिक ३ सय रुपैयाँ तिरेर ६ महिना कैद किन्न पाइने व्यवस्था गरिएको बताए। न्यायाधिकरणले औरोरा ह्युमन रिसोर्स प्रालि, आरएनआर, ग्लोबल जब, एस इम्प्लोइमेन्ट, अञ्जली ओभरसिज, दीप गेट वे, सिटिजन ओभरसिज, इम्पाएर इन्टरनेसनल, लिभर्टी एचआर, मस्राक, मादी ओभरसिज, लक्की ओभरसिज, मेरिगोल्ड ओभरसिज, मोविरा ओभरसिज, प्रदेशी ओभरसिज, आरके म्यानपावर, सिग्नल ओभरसिज, स्टार रे म्यानपावर, सार्क, किस्ट, साउदी नेपाल इम्प्लोइमेन्ट, पर्फेक्ट, स्वस्तिक ओभरसिज लगायत छन्।"
"पानीको भरपर्दो स्रोत खोज्दै टौदह, अस्तित्व नै खतरामा पर्ने चिन्ता","हाल पानी भरिएको र आसपासको डिल क्षेत्र झण्डै ९२ रोपनीको छ। तर कुनै बेला पानीले ढाकेका स्थानमात्रै एक सय १२ रोपनी थियो। कीर्तिपुर : साइबेरियादेखि आएका पर्यटक चरा फर्किन थालेका छन्। यी चराहरु वैशाखसम्ममा फर्किसक्छन्। त्यतिबेलैदेखि टौदहको पिरलो पनि सुरु हुन्छ। बर्खा लाग्नु अघिसम्म पानी घट्दै जान्छ र माछालगायत पानीमा आश्रित जलचर अक्सिजनको अभावमा मर्न थाल्छन्। पानी कम हुन थालेपछि दहको आकर्षण पनि कम हुँदै जान्छ। पानीको स्थायी मुहान वा स्रोत नहुनु टौदहको सबैभन्दा ठूलो चुनौती हो, टौ दह संरक्षणमा लागि परेका रामप्रसाद आचार्य भन्छन्, बर्खामा वरपरका जमिनबाट रसाएर पुग्ने पानीबाटै टौदह भरिने गर्छ। त्यसकारण यसमा पानीको सतह बर्खामा बढ्ने र हिउँदमा घट्छ। हाल पानी भरिएको र आसपासको डिल क्षेत्र झण्डै ९२ रोपनीको छ। तर कुनै बेला पानीले ढाकेका स्थानमात्रै एक सय १२ रोपनी थियो। जसको प्रमाण अहिले पनि वरपरका खेतमा भेटिने तालको सीमाका पिलर अझै भेटिने गरेको उनको भनाइ छ। बर्खा र हिउँदको यही चक्रबीच बागमतीको पश्चिमी किनारामा रहेको टौदहलाई अहिले कीर्तिपुर नगरपालिकाको वडा६ अन्तर्गतपर्ने भूभागबाट बगेका पानीले भरिदिन्थ्यो। हिउँद र सुख्खायाममा सतह घटदै जान्थ्यो र अर्को वर्षामा फेरि उसै गरी सतह बढने क्रम हुन्थ्यो। करिब दुई दशकयता टौदहमा पानी प्रवाह गर्ने जमिनमाथि कङ्क्रिट रचना थपिँदैछन्। जसले स्वाभाविक रुपमा टौदहमा जमिन रिचार्ज भएर पुग्ने पानीलाई कम गराउँदैछन्। कीर्तिपुर नगरपालिकाकै धनी वडा मानिने त्यस क्षेत्रमा प्राकृतिक मुहान मानवबस्तीमा खाने पानी पुर्याउनकै लागि ठिक्क बन्दैछन्। अनि नजिकैको खहरे खोला जस्ता स्रोतका पानीमा प्रदूषण बढदै जाँदा टौदहमा हुल्न नमिल्ने बन्दैछन्। नदी बाङ्गो गरी बग्दै जाँदा कुनै स्थानमा गोलाकार बग्ने र पछि त्यो ठाउँ छोडेर सोझै बग्दा पहिले बगेको स्थानमा बाँकी रहेको पानीबाट बनेको ताललाई अक्सबो लेक भनिन्छ। यस्तो ताल रिचार्ज हुने एक मात्र आधार वर्षे पानी नै हो। खहरे खोलाबाट पानी ल्याउन पनि मुहान आसपासका उद्योगका दूषित पानी मिसिएका कारण जोखिम छ। विगतमा जस्तो वर्षामा परेको पानी सतहको जमिनबाट सोझै दहमा जाओस् भन्न पनि सकिन्न, आचार्य भन्छन्, घनाहुँदै गरेको बस्तीबीचबाट बग्ने वर्षे पानी प्रदूषित हुने सोझै दहमा पढाउँदा दह आश्रित् माछालगायतका जलचर र चराचुरुङ्गी लगायतका प्राणीलाई असर पुग्नसक्छ। कुनै पनि कारणले दहको पर्यावरण खलबलीएमा टौदहको अस्तित्व नै खतरामा पर्ने उनको चिन्ता छ। टौदहमा पानीको कुनै स्थायी स्रोत विगतमा थियो कि ? वा अहिले पनि भूमिगत रुपमा त्यस्तो स्रोत छ कि भन्ने अनुमानका आधारमा अध्ययन नभएको होइन। तर कतैबाट त्यस्तो सङ्केत पाइएको छैन। त्यसो भए कहाँबाट पानी आएर टौदह बन्न पुग्यो होला ? किंबदन्ती अनुसार भगवान कृष्णले दहका रुपमा काठमाडौँ उपत्यकाको पानी कटुवाल दह नजिकैको पर्वत काटेर बगाउन थालेपछि त्यहाँ रहेका नाग पनि पानीसँगै बगेर जान थाले। त्यसपछि कृष्णले ती नागहरुलाई आश्रय दिन टौदह सृष्टी गरेका हुन्। त्यसका लागि भीमसेनले एक कोदालो खनेर टौदह बनाएको र त्यसको माटो नजिकैको डाँडामापरिणत भएको कथन त्यहाँ छ। भूगोलका शिक्षकसमेत रहनुभएका आचार्य टौदह अहिले केही मिटर पूर्वबाट बग्ने बागमतीले बनाएको एउट अक्स बो लेक (गो खुर ताल) हुनसक्ने बताउँछन्। नदी बाङ्गो गरी बग्दै जाँदा कुनै स्थानमा गोलाकार बग्ने र पछि त्यो ठाउँ छोडेर सोझै बग्दा पहिले बगेको स्थानमा बाँकी रहेको पानीबाट बनेको ताललाई अक्सबो लेक भनिन्छ। यस्तो ताल रिचार्ज हुने एक मात्र आधार वर्षे पानी नै हो। त्यही कारण टौदहको क्षेत्रफल पनि सधैँभरी एक नाशको छैन। यसरी पानी घटबढ हुँदाको असर टौदहका माछालाई परिरहन्छ। पानी कम भएको बेला अक्सिजन नपुगेर कैयौँ माछा मरेका छन्। गत वर्षमात्रै टौदह संरक्षण समितिले तीन टन जति मरेका माछा टौदहबाट निकालेर पुरिएको थियो। माछा मार्न प्रतिबन्धित हुनु र बौद्धधर्माबलम्बीले माछाको भुरा अनगिन्ती सङ्ख्यामा ल्याएर छोडिरहँदा दहले नै थाप्न नसक्ने गरी माछा बढेका थिए। एउटै माछा नौ किलोसम्मको फेला परेका आचार्य बताउँछन्। असिमित रुपमा भुरा छोडिने र टौदह घुम्न आउने आगन्तुकले माछाको आहाराको रुपमा भटमासको मस्यौरा खुवाउन थालेका कारण माछाको सङ्ख्या बढेको आधारमा समितिले अहिले भुरा छोड्न र मटमासको मस्यौरा बेच्न पनि बन्देज लगाएको छ। त्यति गर्दा मात्रै पनि दहको संरक्षण नहुने सरोकारवाला पर्यावरणविद् जैलव राईको भनाइ छ। टौदहलाई पुरानै तरिकाबाट रिचार्ज गर्ने अवस्था सिर्जना गर्न नसके पनि जैविकविविधता संरक्षण हुने गरी कदम चाल्नुपर्ने उनको सुझाव छ। कीर्तिपुर नगरपालिका६ का अध्यक्ष पृथ्वीमानसिंह बस्नेत अघिल्ला वर्षमा जस्तो टौदहले ठूलो दुःख नदिएकाले यस वर्षको सुख्खामा पानीको कमी नहुने उनी बताउँछन्।  रासस"
