शीर्षक,विवरण
अन्तर्राष्ट्रिय सहायताको ३६ अर्ब ९० करोड शोधभर्ना हुन बाँकी,"काठमाडौं : वैदेशिक ऋण र अनुदानबाट स्रोत व्यहोरिने गरी वार्षिक बजेटमा राखिएका योजना तथा कार्यक्रमको करिब ३७ अर्ब शोधभर्ना हुन बाँकी रहेको देखिएको छ। महालेखा नियन्त्रक कार्यालयले तयार पारेर अघिल्लो हप्ता अर्थ मन्त्रालयलाई बुझाएको गत आर्थिक वर्ष २०७८७९ को केन्द्रीय लेखाको एकीकृत वित्तीय विवरणानुसार विभिन्न दातृ निकायबाट ३६ अर्ब ९० करोड २२ लाख ५७ हजार चार सय ५४ शोधभर्ना हुन बाँकी रहेको देखिएको हो। जसमध्ये वैदेशिक अनुदानतर्फ १५ अर्ब २७ करोड ८५ लाख ४६ हजार दुई सय १० शोधभर्ना प्राप्त गर्न बाँकी छ। त्यस्तै वैदेशिक ऋणको २१ अर्ब ६२ करोड ३७ लाख ११ हजार दुई सय ४४ शोधभर्ना हुन बाँकी रहेको देखिन्छ। सरकारले हरेक वर्ष ल्याउने वार्षिक बजेटको आकारको तुलनामा सरकारी राजस्व न्यून हुने गरेको छ। जसकारण विभिन्न दातृ निकायबाट ऋण र अनुदान लिएर सरकारले घाटा बजेट पूर्ति गर्छ। तर दातृ निकायबाट लिएको ऋण र अनुदानको रकम भने समयमै सरकारको खातामा आउन सकेको देखिँदैन। महालेखा नियन्त्रक कार्यालयले तयार पारेको गत आर्थिक वर्षको केन्द्रीय लेखाको एकीकृत वित्तीय विवरणानुसार सबैभन्दा बढी स्थानीय तहले खर्च गरेको रकमको शोधभर्ना पाउन बाँकी छ। गत असार मसान्तसम्ममा स्थानीय तहले १४ अर्ब नौ करोड एक लाख ८५ हजार तीन सय ६८ शोधभर्ना लिन बाँकी छ। जसमध्ये अनुदानतर्फको शोधभर्ना बाँकी रकम चार अर्ब ११ करोड ६८ लाख ५५ हजार दुई सय चार र वैदेशिक ऋणतर्फको शोधभर्ना बाँकी रकम नौ अर्ब ९७ करोड ३३ लाख ३० हजार एक सय ६४ बराबर छ। त्यस्तै प्रदेशको आठ अर्ब ५१ करोड १८ लाख ५२ हजार आठ सय ९२ शोधभर्ना हुन बाँकी छ। जसमध्ये अनुदानतर्फ चार अर्ब ९५ करोड ६७ लाख ५६ हजार आठ सय ९२ र ऋणतर्फ तीन अर्ब ५५ करोड ५० लाख ९६ हजार शोधभर्ना हुन बाँकी रहेको देखिन्छ। सरकारको सङ्घीय सञ्चित कोष व्यवस्थापन गर्ने निकाय अर्थ मन्त्रालयले समेत शोधभर्ना लिन बाँकी छ। गत असार मसान्तसम्ममा अर्थ मन्त्रालयले १३ करोड ५८ लाख ७२ हजार एक सय ४४ अनुदान शोधभर्ना लिन बाँकी छ। त्यस्तै वित्तीय व्यवस्थातर्फको १३ अर्ब ८५ करोड ५३ लाख १९ हजार चार सय ७४ ऋण रकम पनि शोधभर्ना भएको देखिँदैन। शोधभर्ना पाउन बाँकी अनुदान रकमतर्फ शिक्षा, विज्ञान तथा प्रविधि मन्त्रालयले मात्रै चार अर्ब ४५ करोड ८८ लाख ८७ हजार नौ सय ४७ बाँकी छ। त्यस्तै उद्योग, वाणिज्य तथा आपूर्ति मन्त्रालयले १९ करोड ४५ लाख ७९ हजार नौ सय १५, गृह मन्त्रालयले ६५ करोड ४३ लाख ६० हजार एक सय ५९, सहरी विकास मन्त्रालयले १७ करोड ३१ लाख ५४ हजार नौ सय ८७ र स्वास्थ्य मन्त्रालयले २८ करोड १६ लाख २६ हजार २२ बराबर शोधभर्ना लिएको छैन। अन्तर्राष्ट्रिय सहायताको रकम शोधभर्ना हुन नसक्दा त्यसको नकरात्मक असर अर्थतन्त्रमा देखिन्छ। गत चैत १५ गते बसेको राष्ट्रिय विकास समस्या समाधान समिति (एनडेक)को ४९ औँ बैठकले अन्तर्राष्ट्रिय विकास सहायताबाट सञ्चालित योजना तथा कार्यक्रममा सरकारले पाउनुपर्ने रकम लामो समयसम्म शोधभर्ना हुन नसक्दा यसले नेपालको विदेशी मुद्रा सञ्चितीमा समेत नकारात्मक असर देखिएको भन्दै त्यसबारे अध्ययन गर्न कार्यदलसमेत गठन गरेको थियो। त्यस्तै महालेखा परीक्षकको ५९औँ प्रतिवेदनले पनि वैदेशिक सहायताको शोधभर्ना पाउन नसक्नु गम्भीर समस्याका रूपमा रहेको औँल्याएको छ।"
मेक्सिकोविरुद्ध अर्जेन्टिना विजयी,दोहा: फिफा विश्वकपको समूह सीअन्तर्गत शनिबार राति भएको खेलमा अर्जेन्टिनाले मेक्सिकोलाई २० गोलको नतिजामा पराजित गरेको छ। लुसेल रंगशालामा जारी खेलको पहिलो हाफ गोलरहित बराबरीमा सकिएको थियो। दोस्रो हाफमा आक्रामक शैली अपनाएको अर्जेन्टिनाका लागि ६४औं मिनेटमा कप्तान लियोनेल मेसीले गोल गर्दै अग्रता दिलाएका थिए। मेसीको गोलसँगै अग्रता लिएको अर्जेन्टिनाका लागि एन्जो फर्नान्डेजले ८७औं मिनेटमा दोस्रो गोल गरेका थिए। पहिलो खेलमा साउदी अरबसँग अप्रत्यासित पराजयपछि अर्जेन्टिना जित्नै पर्ने दबाबमा थियो। यो जितसँगै अर्जेन्टिना नकआउट चरण नजिक पुगेको छ। शनिबार नै भएको अर्को खेलमा पोल्यान्डले साउदी अरबलाई २० को नतिजामा पराजित गरेको थियो। समूह चरणको अन्तिम खेलमा अर्जेन्टिनाले पोल्यान्ड तथा मेक्सिकोले साउदी अरबसँग खेल्ने छ।
"समानुपातिकतर्फ ६ प्रदेशमा एमाले, एक कांग्रेस अगाडि","काठमाडौं : प्रदेशसभा समानुपातिकतर्फ नेकपा (एमाले) छ प्रदेशमा पहिलो भएको छ। प्रदेशसभा सदस्य समानुपातिकमा निर्वाचन आयोगले आज साँझ ८ बजेसम्म अद्यावधिक गरेको मतपरिणामअनुसार प्रदेश नं १ मा (एमाले) ले तीन लाख ४६ हजार दुई सय ४४ मत प्राप्त गरेको छ। त्यसैगरी कांग्रेसले तीन लाख छ सय ४९ र नेकपा (माओवादी केन्द्र) ले एक लाख एक हजार तीन सय ७२ मत पाएको छ। यस प्रदेशमा जनता समाजवादी पार्टी, नेपाल, नेकपा (एकीकृत समाजवादी) र जनमत पार्टी, सङ्घीय लोकतान्त्रिक राष्ट्रिय मञ्चलगायत पार्टीले एक लाख पुयाउन सकेका छैनन्। मधेस प्रदेशमा भने कांग्रेस समानुपातिकमा एक लाख ८० हजार आठ सय १६ मत पाएको छ भने (एमाले) ले एक लाख ५४ हजार सात सय ९२ हजार मत प्राप्त गरी दोस्रो स्थान रहेको छ। जसपा नेपालले एक लाख २६ हजार तीन सय ८६ र जनमत पार्टीले एक लाख दुई हजार आठ सय ४४ मत प्राप्त गरेको छ। माओवादी केन्द्रले ७० हजार पाँच सय ६२ मत प्राप्त गरी पाँचौँ स्थानमा छ। बागमती प्रदेशमा एमालेले तीन लाख ८४ हजार चार सय ८३ मत ल्याएको छ। कांग्रेसले तीन लाख ३६ हजार ८४, राष्ट्रिय प्रजातन्त्र पार्टीले दुई लाख एक हजार तीन सय ९३, माओवादी केन्द्रले एक लाख ८७ हजार एक र नेपाल मजदुर किसान पार्टीले ६१ हजार ५६६ मत पाएको छ। गण्डकी प्रदेशमा एमालेले तीन लाख ११ हजार तीन सय ८९, कांग्रेसले दुई लाख ८८ हजार तीन सय ७३, माओवादी केन्द्रले एक लाख १२ हजार दुई सय २१ र राप्रपाले ५४ हजार सात सय ३६ मत पाएको छ। लुम्बिनी प्रदेशमा एमालेले तीन लाख ९३ हजार नौ सय, कांग्रेसले तीन लाख ६२ हजार, ३२, माओवादी केन्द्रले एक लाख ३९ हजार चार सय ७४ र राप्रपाले ९७ हजार सात सय एक मत पाएको छ। त्यसैगरी कर्णाली प्रदेशमा एमालेले एक लाख ४६ हजार आठ सय २०, कांग्रेसले एक लाख ३० हजार ६६, माओवादी केन्द्रले एक लाख १७ हजार ६२ र एकीकृत समाजवादीले २९ हजार ५१ मत प्राप्त गरेको छ। सुदूरपश्चिम प्रदेशमा एमालेले दुई लाख १० हजार ५६, कांग्रेसले एक लाख ९७ हजार नौ सय १०, माओवादी केन्द्र ले ९२ हजार सात सय ९५ मत प्राप्त गरी तेस्रो स्थानमा रहेको छ।"
"साविक विजेता फ्रान्स नकआउट चरणमा, एम्बाप्पेको दुई गोल","दोहा: किलियान एम्बाप्पेको दुई गोलप्रेरित फ्रान्स समूह डीमा डेनमार्कलाई पराजित गर्दै विश्वकपको नकआउट चरणमा पुगेको छ। चार वर्षअघि रुसमा विश्व विजेता बनेको फ्रान्स यसपाली पनि नकआउट चरणमा पुग्ने पहिलो टिम बनेको हो। समूह चरणको पहिलो खेलमा अस्ट्रेलियालार्य ४१ गोलको नतिजामा पराजित गरेको फ्रान्सले शनिबार डेनमार्कविरुद्ध कठिन जित निकाल्यो। पहिलो हाफमा डेनिस रक्षापंक्ति छिचोल्न नसकेको गर्न नसकेको फ्रान्सका लागि ६१औं मिनेटमा एम्बाप्पेले पहिलो गोल गरेका थिए। त्यसको सात मिनेट नबित्दै क्रिस्टियन एरिकसनले गरेको गोलसँगै डेनमार्कले बराबरी गरेको थियो। तर, निर्धारित ९० मिनटको खेल सकिन चार मिनेट बाँकी रहँदा एम्बाप्पेले दोस्रो गोल गर्दै फ्रान्सको अन्तिम १६ यात्रा तय गरे। एम्बाप्पेले ६१औं मिनेटमा गरेको गोलसँगै साविक विजेता फ्रान्सले अग्रता लिएको थियो। फ्रान्सले समूह चरणको अन्तिम खेलमा ट्युनिसियासँग खेल्ने छ। यसै समूहबाट अर्को टिमको टुङ्गो भने तेस्रा खेलपछि मात्रै लाग्ने छ। शनिबार नै भएको खेलमा ट्युनिसियालाई १० गोलको नतिजामा पराजित गरेको अस्ट्रेलियाको तीन अंक छ भने पहिलो खेलमा अंक बाँडेका ट्युनिसिया र डेनमार्कको एकएक छ।"
बन्दुक आक्रमणमा नाइजेरियामा १५ जनाको मृत्यु,नाइजेरिया : उत्तरी नाइजेरियामा भएको बन्दुक आक्रमणमा १५ को मृत्यु हुनाका साथै अन्य ११ जना घाइते भएको स्थानीय अधिकारीले शुक्रबार जानकारी दिएका छन्। कादुना राज्यका चारवटा गाउँमा अज्ञात बन्दुकधारीले घातक हमला गरी सो आक्रमण गरेको राज्यका आन्तरिक सु(रक्षा र गृह मामिलाका आयुक्त शमूएल अरुवानले बताएका छन्। बन्दुकधारीले पैसा सङ्कलन गर्नका लागि गाउँमा आक्रमण गरेको तर गाउँलेको प्रतिरोधको गरेका थिए।
१२५ क्षेत्रको मतपरिणाम सार्वजनिक,"काठमाडौं : यही मंसिर ४ गते सम्पन्न प्रतिनिधिसभा तथा प्रदेशसभा सदस्य निर्वाचनअन्तर्गत हालसम्म एक सय २५ क्षेत्रको मतपरिणाम आइसकेको छ। निर्वाचन आयोगको सूचना प्रणालीमा प्रविष्ट भएको विवरणानुसार प्रतिनिधिसभातर्फ पहिलो हुने निर्वाचित हुने प्रणालीतर्फ ती क्षेत्रको मतपरिणाम सार्वजनिक भइसकेको छ भने चार क्षेत्रबाहेक अन्य क्षेत्रमा मतगणना भइरहेको छ। समानुपातिक प्रणालीको मतगणना पनि एकैसाथ भइरहेको छ। दोलखा, स्याङ्जा२ र बाजुरामा मतगणना सुरु हुन बाँकी रहेको छ। दोलखा र स्याङ्जामा सत्तापक्ष र प्रतिपक्षबीच विवादका कारण मतपेटिका सङ्कलन भइसके पनि गणना सुरु हुन सकेको छैन। त्यहाँका विवाद भएका मतदानस्थलमा पुनः मतदान गराउने या मतगणना सुरु गर्ने भन्ने विषयमा आयोगले निर्णय गर्न बाँकी रहेको छ। बाजुराको बूढीनन्दा नगरपालिका५ स्थित नन्देश्वरी मावि, पिपलचौर मतदान केन्द्रमा आज मतदान सम्पन्न भएको छ।"
महोत्तरीमा मतपेटिकाभित्र मतदाताको पत्र : नेताहरूले देश लुटेर खाइसके,बर्दिबास : महोत्तरी क्षेत्र नम्बर १ मा मतगणना गर्ने क्रममा मतदाताको फेरी अर्को पत्र फेला परेको छ। भँगहा नगरपालिका३ को मतपेटिकामा भेटिएको उक्त पत्रमा ती मतदाताले नेताहरूले नेपाल देश लुटेर खाइसकेको टिप्पणी गरेका छन्। नेताहरूले जनतालाई ठुलो धोका दिएर स्वीजरल्याण्डको बैंकमा पैसा जम्मा गरेको पनि ती मतदाता आरोप लगाएका छन्। नेपालको नेताले किसानका बारेमा केही विकास नगरेको पत्रमा उल्लेख गरेका छन्। यसअघि पनि मतपेटिकाभित्र पत्र भेटिएको थियो। उक्त पत्रमा मतदाताले शैक्षिक योग्यता र उमेरको हद लागू गर्नुपर्ने माग राखेका थिए। त्यस क्षेत्रमा उम्मेदवारी दिने सबै नेताहरू भ्रष्ट भएको हुनाले आफूले मत दिन नसकेको उनले पत्रमा उल्लेख गरेका थिए। सानो अर्धकट्टीमा लेखिएको उक्त पत्रमा जनता मत खसाल्न बाध्य भएको हुनाले मत हालेको समेत उनले उल्लेख गरेका थिए।
इलाम२ मा एमालेका सुवास नेम्वाङ निर्वाचित,"इलाम: इलाम २ बाट नेकपा एमालेका सुवासचन्द्र नेम्वाङ निर्वाचित भएका छन् । उनले ११४ मतान्तरले जित हासिल गरेका हुन्। नेम्वाङले ३० हजार २० मत प्राप्त गरेका छन्। उनका निकटतम प्रतिद्वन्द्वी नेपाली कांग्रेसका डम्बर खड्काले २९ हजार ९०६ मत प्राप्त गरे। मत परिणाम अनुसार जनता समाजवादी पार्टीका उम्मेदवार यामप्रसाद लिम्बुले ७२४, राष्ट्रिय प्रजातन्त्र पार्टीका गणेशप्रसाद दुलालले ५१०, लोकतान्त्रिक समाजवादी पार्टीका निरमणि माङ्मु लिम्बुले ६९ मत पाएका छन्। मतगणनाका क्रममा केही विवाद भएपछि स्थगित मतगणना सहमति पछि राति ९ बजेदेखि सुरु भएको थियो । इलाम२को क मा कांग्रेसका गोविन्द गिरी र ख मा एमालेका राम रानाले जितेका छन्। इलाम१ को मतगणना जारी छ।"
"पोल्यान्डसँग २० ले हार्यो साउदी अरब, लेवान्डोस्कीको पहिलो गोल","दोहा : फिफा विश्वकपको समूह सीअन्तर्गत शनिबार भएको खेलमा पोल्यान्डले साउदी अरबलाई २० गोलको नतिजामा पराजित गरेको छ। एजुकेसन सिटी रंगशालामा पहिलो हाफमा १० को अग्रता लिएको पोल्यान्डले दोस्रो हाफमा थप एक गोल गर्यो। कप्तान रोबर्ट लेवान्डोस्कीले ३९औं मिनेटमा दायाँ तर्फबाट गरेको क्रसमा १८ यार्ड बक्स भित्र अन्मार्क्ड रहेका पिटर जेलेन्सकीले उत्कृष्ट गोल गर्दै पोल्यान्डलाई अग्रता दिलाएका थिए। पहिलो हाफको खेल सकिन एक मिनेट बाँकी रहँदा पोल्यान्डका क्रिस्टियान बेलिकले सली अल शेहेरीलाई पेनाल्टी एरियामा फाउल गरेपछि साउदीले पेनाल्टी पाएको थियो। यद्यपि, सलिम अलदावसरी पेनाल्टीमा चुक्दा साउदीले बराबरी गर्ने मौका गुमाएको थियो। निर्धारित समयको खेल सकिन ८ मिनेट बाँकी रहँदा कप्तान लेवान्डोस्कीले गरेको गोलसँगै पोल्यान्डले जारी विश्वकपमा पहिलो जित दर्ता गर्यो। साउदी अरबका मिडफिल्डर अब्दुलेला अलमाल्कीले पेनाल्टी एरिया नजिकै बलमाथि नियन्त्रण गुमाउँदा शतर्क रहेक लेवान्डोस्कीले त्यसको फाइदा उठाए। युरोपेली फुटबलमा प्रभावशाली फरवार्ड भए पनि विश्वकपमा भने लेवान्डोस्कीको यो पहिलो गोल हो। पोल्यान्डबाट एक सय ३६ खेलमा लेवान्डोस्कीले ७७ गोल गरेका छन्। सन् २०१८ विश्वकपमा डेब्यू गरेका लेवान्डोस्कीको टिम चार वर्षअघि समूह चरणबाट बाहिरिएको थियो। समूह चरणका तीन खेलमा दुई गोल गरे पनि लेवान्डोस्कीको नाम स्कोर सिटमा थिएन। आजको जितसँगै दुई खेलमा चार अंक जोडेको पोल्यान्ड नकआउट चरण नजिक पुगेको छ। यद्यपि, समूह चरणको अन्तिम खेलमा अर्जेन्टिनासँग खेल्ने भएकाले कठिन चुनौती अझै बाँकी छ। समूह चरणको अन्तिम खेलमा मेक्सिकोसँग जित निकाल्न सके साउदी अरब समूह चरण पार गर्ने सफल हुनेछ।"
ट्युनिसिया १० ले पराजित,दोहाः मिचेल ड्युकको एक गोलप्रेरित अस्ट्रेलियाले फिफा विश्वकपको समूह डीमा शनिबार ट्युनिसियालाई १० नतिजामा पराजित गरेको छ। अल जानोब रंगशालामा जारी खेलको २३औं मिनेटमा ड्युकले हेडरमार्फत सुन्दर गोल गरेका थिए। क्र्याग गुडबिनले बायाँतर्फबाट गरेको क्रसमा ड्युकले पेनाल्टी एरिया भित्रबाट गरेको प्रहार सोझै गोलमा परिणत भयो। ट्युनिसियन गोलकिपर ऐमेन डामेनले रोक्ने कोसिस गरे पनि उनको प्रयास असफल बन्दा उत्तर अफ्रिकी मुलुकले गोल खायो। ट्युनिसियाका मोहम्मद ड्रागरले ४१औं मिनेटमा ६ यार्ड बक्सको दायाँ तर्फबाट गरेको सशक्त प्रहार अस्ट्रेलियन सेन्टर ब्याक ह्यारी सोटारले उत्कृष्ट ब्लक गरे। ट्युनिसियाविरुद्धको गोलसगै ड्युक विश्वकपमा हेडरमार्फत गोल गर्ने दोस्रो खेलाडी बनेका छन्। पूर्व कप्तान टिम काहिलले सन् २०१४ को विश्वकपमा सर्बियाविरुद्ध र २०१४ विश्वकपमा चिलीविरुद्ध हेडरमार्फत गोल गरेका थिए। आजको जितसँगै पहिलो खेलमा फ्रान्स ४१ गोलको नतिजामा पराजित भएको अस्ट्रेलिया समूह चरण पार गर्ने सम्भावना जिवित राखेको छ। पहिलो खेलमा डेनमार्कसँग गोलरहित बराबरी खेलेको ट्युनिसियाको पनि नकआउटमा पुग्ने सम्भावना जिवित छ।
