शीर्षक,विवरण
"सुरु भयो फिफा विश्वकप,आयोजक कतार र इक्वेडर भिड्दै","दोहा : कतारको दोहामा फिफा विश्वकप २०२२ औपचारिकरुपमा सुरुआत भएको छ। आइतबारदेखि सुरु भएर एक महिना चल्ने विश्वकपको उद्घाटन खेलमा आयोजक कतार र इक्वेडर भिड्दै छन्। केही बेरअघि सुरु भएको विश्वपको उद्घाटन समारोह सकिएर अहिले किकअफको तयारी हुँदैछ। चर्चित हलिउड अभिनेता मोर्गन फ्रिम्यानले संसारका विभिन्न कुनाबाट फुटबलको महाकुम्भ अवलोकन गर्न कतार पुगेका दर्शकलाई अल बायट रंगशालामा सम्बोधन गरे। यस्तै, उद्घाटन समारोहकै क्रममा कतारले यसअघिका विश्वकपलाई पनि मस्कट प्रदर्शन गरेर सम्झिएको छ। दक्षिण कोरियाली म्युजिक ब्यान्ड बीटीएसका जङ कुकले ड्रिमर गीतमा प्रदर्शनसमेत गरेका छन्। उनको त्यो गीत विश्वपकको आधिकारिक गीतमध्ये एक हो। कतारका राजा तामिम बिन हमाद अल थानीले सबैलाई स्वागत गर्दै विश्वकप सुरु भएको घोषणा गरेका थिए। नेपाली समयअनुसार ९ : ४५ बजे रेफ्री ड्यानियल ओर्साटोले ह्विसल बजाएपछि कतार र इक्वेडरबीचको खेल सुरु हुनेछ।"
"उद्घाटन खेल हार्ने पहिलो आयोजक बन्यो कतार, इक्वेडर २० ले विजयी","दोहा : इनर भ्यालेन्सियाको दुई गोलप्रेरित इक्वेडरसँग २० को नतिजामा पराजित भएसँगै कतार विश्वकपको इतिहासमै उद्घाटन खेलमा पराजित हुने पहिलो आयोजक टिम बनेको छ। आइतबारदेखि कतारमा सुरु भएको विश्वकपको उद्घाटन खेलको पहिलो हाफमै २० को अग्रता बनाएको दक्षिण अमेरिकी टिम इक्वेडर दोस्रो हाफमा त्यसको बचाऊ गर्दै सहज जित सुनिश्चित गर्यो। आयोजक राष्ट्रकारूपमा पहिलो पटक विश्वकप खेल्ने मौका पाएको कतारमाथि निरन्तर आक्रमण गरेको इक्वेडर दुई पटक मात्र फिनिसिङमा सफल भएको थियो। कतारका गोलकिपर साद अल शीबले भ्रमणकारी टिमका कप्तान इनर भ्यालेन्सियालाई १८ यार्ड बक्समा लडाएपछि इक्वेडरले पेनाल्टी पाएको थियो। कप्तान भ्यालेन्सियाले सोही पेनाल्टीमार्फत गोल गर्दै १६औं मिनेटमा इक्वेडरलाई अग्रता दिलाएका थिए। प्रेसियाडोले ३१औं मिनेटमा दायाँतर्फबाट गरेको क्रसमा भ्यालेन्सियाले हेडरमार्फत उत्कृष्ट गोल गर्दै इक्वेडरको अग्रता दोब्बर पारेका थिए। भ्यालेन्सियाले विश्वकपमा इक्वेडरबाट गरेको यो पाँचौं गोल हो। यसअघि उनले सन् २०१४ मा ब्राजिलमा भएको विश्वकपमा तीन गोल गरेका थिए। ब्राजिलमा उनले समूह 'ई'अन्तर्गत होन्डुरसविरुद्ध दुई र स्वीट्जरल्यान्डविरुद्ध एक गोल गरेका थिए। खेलको तेस्रो मिनेटमै भ्यालेन्सियाले हेडरमार्फत गरेको गोल अफसाइडका कारण रद्द भएको थियो। कतारका प्रमुख स्ट्राइकर अल्मोज अली पहिलो हाफको इन्जुरी समयमा गोल गर्ने सुवर्ण अवसरबाट चुकेका थिए। अल बायट रंगशालामा इक्वेडरलाई समूह 'ए'मा शानदार सुरुआत दिलाएका भ्यालेन्सिया ७७औं मिनेटमा चोटका कारण सब्स्टिच्युट भएका थिए। पहिलो पटक जाडोयाममा आयोजित विश्वकपको पहिलो खेलमा कतार दुर्गभाग्यशाली रह्यो। विश्वकपको ९२ वर्षको इतिहासमा आयोजक राष्ट्र उद्घाटन खेलमा पराजित भएको थिएन। यसअघि सन् २०१८ मा भएको विश्वकपको उद्घाटन खेलमा रुसले साउदी अरबलाई ५० गोलको नतिजामा पराजित गरेको थियो। यस्तै २०१४ मा आयोजक ब्राजिलले उद्घाटन खेलमा क्रोएसियालाई ३१ गोलको नतिजामा पराजित गरेको थियो। यो विश्वकपमा ३२ राष्ट्र सहभागी हुने अन्तिम संस्करण हो। सन् २०२६ मा अमेरिका, मेक्सिको र क्यानडामा हुने विश्वकपमा ४८ देश सहभागी हुनेछन्।"
सुरक्षाकर्मीको संयमताले बाजुरामा ठूलो दुर्घटना हुनबाट रोकियो : गृह मन्त्रालय,"काठमाडौं : गृहमन्त्रालयले सुरक्षाकर्मीको संयमताले बाजुरामा ठूलो दुर्घटना हुन नपाएको बताएको छ। गृह सचिव विनोदप्रकाश सिंहले बाजुराको त्रिवेणी नगरपालिका७ स्थित नाटेश्वरी आधारभूत विद्यालयको मतदान केन्द्रमा मतपेटिका खोस्न थालेपछिको उत्पन्न परिस्थिति नियन्त्रणमा लिने क्रममा संयमता अपनाउँदा अपनाउँदै एक जनाको मृत्यु भएको र प्रहरीसहित केही व्यक्ति घाइते भएको जानकारी दिए। मृत्यु हुनेमा स्थानीय सञ्जीव ऐडी रहेको जनाइएको छ। आठ प्रहरी र आठजना निर्वाचन कर्मचारीलाई घेराउ गरेर ढुङ्गामुढा गरी मतपेटिका खोस्न थालेपछि प्रहरीले बाध्य भएर स्थिति नियन्त्रणमा लिन खोज्दा गोली लागेर एक जनाको मृत्यु भएको सूचना आएको जानकारी दिँदै उनले घटनाको अनुसन्धानपछि सत्यतथ्य सार्वजनिक हुने बताए। उनले प्रहरीले पूर्ण अधिकार प्राप्त हुँदाहुँदै पनि धेरै संयमता अपनाएका कारण ठूलो दुर्घटना हुन नपाएको पनि बताए। दुई पक्षीय विवाद भएको र मतपेटिका नै खोस्न थालेपछि घटना हुन पुगेको उनको भनाइ छ। स्थानीयले ढुङ्गा र बाँसले हानेर केही प्रहरीसमेत घाइते भएका उनले बताए। उनले बाजुरा, सुर्खेतलगायत केही क्षेत्रमा मतदान स्थगित भएको र कतै दुई पक्षीय झडप, त कतै विवाद भएको जानकारी आएको पनि बताए। अन्य क्षेत्रमा शान्तिपूर्ण रूपमा मतदान भएको तर सबै जिल्लाको विस्तृत विवरण भने आउने क्रममा रहेको सचिव सिंहले जानकारी दिए। बाजुराका सहायक प्रजिअ लोकेन्द्रबहादुर विष्टले उक्त घटनामा एकजनाको मृत्यु भएको र दुई घाइतेलाई हेलिकप्टरमार्फत उद्धार गरी सुर्खेत पठाइएको जानकारी दिए। सो क्षेत्रमा अहिले नेपाली सेनाको टोलीसमेत पठाइएको गृहमन्त्रालयले जनाएको छ।"
"विश्वकप: पहिलो हाफमा इक्वेडर २० ले अगाडि, भ्यालेन्सियाको दुई गोल",दोहा : आइतबारदेखि कतारमा सुरु भएको विश्वकपको उद्घाटन खेलको पहिलो हाफमा घरेलु टिमविरुद्ध दक्षिण अमेरिकी टिम इक्वेडरले २० गोलको अग्रता लिएको छ। आयोजक राष्ट्रकारूपमा पहिलो पटक विश्वकप खेल्ने मौका पाएको कतारमाथि निरन्तर आक्रमण गरेको इक्वेडर दुई पटक फिनिसिङमा पनि सफल भयो। कतारका गोलकिपर साद अल शीबले भ्रमणकारी टिमका कप्तान इनर भ्यालेन्सियालाई १८ यार्ड बक्समा लडाएपछि इक्वेडरले पेनाल्टी पाएको थियो। कप्तान भ्यालेन्सियाले सोही पेनाल्टीमार्फत गोल गर्दै १६औं मिनेटमा इक्वेडरलाई अग्रता दिलाएका थिए। प्रेसियाडोले ३१औं मिनेटमा दायाँतर्फबाट गरेको क्रसमा भ्यालेन्सियाले हेडरमार्फत उत्कृष्ट गोल गर्दै इक्वेडरको अग्रता दोब्बर पारेका थिए। भ्यालेन्सियाले विश्वकपका इक्वेडरबाट गरेको यो पाँचौं गोल हो। यसअघि उनले सन् २०१४ मा ब्राजिलमा भएको विश्वकपमा तीन गोल गरेका थिए। त्यसअघि तेस्रो मिनेटमा भ्यालेन्सियाले हेडरमार्फत गरेको गोल अफसाइडका कारण रद्द भएको थियो। विश्वकपको ९२ वर्षको इतिहासमा आयोजक राष्ट्र उद्घाटन खेलमा पराजित भएको छैन। यसअघि सन् २०१८ मा भएको विश्वकपको उद्घाटन खेलमा रुसले साउदी अरबलाई ५० गोलको नतिजामा पराजित गरेको थियो।
फर्जी मत खसाल्न खोज्ने २ जना पक्राउ,मलंगवा : सर्लाहीको दक्षिणी क्षेत्र बलरा र उत्तरी क्षेत्र बागमतीमा अर्काको नाममा मत खसाल्न खोज्ने २ जनालाई आइतबार प्रहरीले पक्राउ गरेको छ। बलरा नगरपालिका४ जब्दी प्रावि मतदान केन्द्रबाट स्थानीय २८ वर्षीय आदित्य सिंह र बागमती नगरपालिका१२ बथनिय प्रावि मतदान केन्द्रबाट २० वर्षीय मुस्कान मोक्तानलाई प्रहरीले पक्राउ गरेको हो। पक्राउ परेका दुवैलाई नै नियन्त्रणमा राखिएको र निर्वाचन ऐनअनुसार कारवाही गरिने जिल्ला प्रहरी कार्यालय मलंगवाका प्रमुख प्रहरी उपरीक्षक प्रवीण पोखरेलले जानकारी दिए।
भक्तपुरमा ७० प्रतिशतभन्दा बढी मत खस्यो,"भक्तपुर : भक्तपुरमा शान्तिपूर्ण रूपमा निर्वाचन सम्पन्न भएको छ। भक्तपुरमा प्रतिनिधिसभातर्फ दुई र प्रदेश सभातर्फ ४ वटा निर्वाचन क्षेत्र रहेका छन्। यसअन्तर्गत दुई सय २२ वटा मतदान केन्द्रको व्यवस्था थियो। त्यहाँ एक लाख ९४ हजार चार सय ३९ जना मतदाता रहेका छन्। भक्तपुरका मतदातामध्ये महिलाको संख्या बढी छ। महिला मतदाता ९९ हजार सात सय ५१, पुरुष ९४ हजार ६ सय ८३ र अन्य पाँच जना रहेका छन्। खसेको मतको आधिकारिक प्रतिशत सार्वजनिक हुन सकेको छैन। तैपनि ७० देखि ८० प्रतिशतको हाराहारीमा मत खसेको अनुमान छ। जिल्लामा एक हजार सात सय ७६ जना निर्वाचन कर्मचारी खटिएका थिए। त्यस्तै आठ सय ८६ जना म्यादी प्रहरीसहित दुई हजार दुई सय १८ जना सुरक्षाकर्मी परिचालन भएका छन्। निर्वाचन कर्मचारीसँगै प्रतिमतदान केन्द्र ३ देखि ५ जनासम्म स्वयंसेवक खटिएका थिए। दुई सय २२ मतदान केन्द्रमध्ये १० वटालाई अपांगता मैत्री बनाइएको थियो।"
बैतडीमा मतपेटिका ढुवानी सुरु,बैतडी : बैतडीमा ५२ प्रतिशत मत खसेको छ। आइतबार सम्पन्न प्रतिनिधिसभा तथा प्रदेशसभा सदस्य निर्वाचनमा बैतडीमा ७८ हजार ३६९ मत खसेको जिल्ला प्रशासन कार्यालयले जनाएको छ। जिल्लाका २११ वटै मतदान केन्द्रबाट ३८ हजार २७७ पुरुष र ४० हजार ९२ महिलागरी ७८ हजार ३६९ मत खसेको जिल्ला निर्वाचन कार्यालय बैतडीले जनाएको छ। बैतडीमा १ लाख ५० हजार १५६ मतदाता रहेका थिए। जिल्लामा शान्त वातावरणमा मतदान भएकाले मतपेटिका ढुवानीको काम सुरु भएको जिल्ला प्रहरी कार्यालय बैतडीका प्रमुख डीएसपी प्रेम शाहीले जानकारी दिए। जिल्ला सदरमुकाम आसपासका मतदान केन्द्रबाट मतपेटिका सदरमुकाम पुर्याइएको छ। अन्य ठाउँबाट ढुवानीको काम भइरहेको उनले बताए। भोलि १० बजेभित्रै मतपटिका जिल्ला सदरमुकाम पुग्ने जिल्ला निर्वाचन कार्यालय बैतडीका प्रमुख माधवप्रसाद फुयाँलले जानकारी दिए। भोलिदेखि नै मत गणना सुरु गरिने पनि उनले बताए।
बागलुङमा ५३ प्रतिशत मतदान,बागलुङ : प्रतिनिधिसभा र प्रदेशसभा निर्वाचनमा बागलुङमा ५३ दशमलव ५६ प्रतिशत मतदान भएको छ। यहाँ दुई प्रतिनिधिसभा सदस्य र चार प्रदेशसभा निर्वाचन क्षेत्र छ। एक लाख ९२ हजार २२७ मतदातामध्ये एक लाख २ हजार ९६३ मतदाताले मतदान गरेको जिल्ला निर्वाचन कार्यालय बागलुङका प्रमुख यज्ञ रिजालले जानकारी दिए। जिल्लाभरी शान्तिपूर्ण रूपमा चुनाव सम्पन्न भएको मुख्य निर्वाचन अधिकृत डा दिवाकर भट्टले बताए। मुख्य निर्वाचन अधिकृत भट्टले मतदानस्थलबाट मतपेटिकाहरू मतगणनास्थलमा ल्याउने कार्य भइरहेको बताए। उनले सर्वदलीय बैठक बसेपछि दुवै स्थानमा मतगणना सुरु हुने जानकारी दिए। उनले भोलि (सोमबार) बिहानदेखि मतगणना हुन सक्ने जानकारी दिए। बागलुङमा दुई प्रतिनिधिसभा सदस्यका र चार प्रदेशसभा सदस्यका लागि ३१ जना उम्मेदवार चुनावी मैदानमा छन्।
काठमाडौं उपत्यकाको मतगणना आज रातिदेखि नै हुन्छ : निर्वाचन आयोग,"काठमाडौं : निर्वाचन आयोगले काठमाडौं उपत्यकालगायत केही जिल्लामा आज रातिदेखि नै मतगणना हुने बताएको छ। प्रमुख निर्वाचन आयुक्त दिनेशकुमार थपलियाले काठमाडौं उपत्यकासहित केही जिल्लाहरुमा मतपेटिका ल्याउने काम भइरहेको र मतपेटिका ल्याइसकेपछि सर्वदलीय बैठक बसेर आजैदेखि मतगणना सुरु गरिने बताए। 'निर्वाचन सम्पन्न भएलगत्तै मतपेटिका ल्याउने काम तीव्र पारिएको छ। मतपेटिका ल्याइसकेपछि काठमाडौं उपत्यकालगायत केही जिल्लामा आज रातिदेखि नै मतगणना सुरु गर्न निर्देशन दिएका छौं,' पत्रकार सम्मेलनमा उनले भने। उनले प्रतिनिधिसभा र प्रदेशसभातर्फको मतपत्र मतपेटिकामा अदल बदल भएको गुनासो आएकाले त्यसलाई बदर नहुनेगरी दलीय समतिमा गणना गरिने बताए। त्यस्तै हिमाली क्षेत्रका ७ जिल्लमा नेपाली सेनाको हेलिकोप्टरबाट मतपेटिका सदरमुकाम ल्याउने काम भइरहेको उनको भनाइ छ। बिहान ४ बजेसम्म मतपेटिका ल्याइ ती क्षेत्रमा मतगणनाको काम सुरु गरिने उनले बताए।"
निर्वाचन आयोगले भन्यो सोचेभन्दा कम मत खस्यो,"काठमाडौं : निर्वाचन आयोगले प्रतिनिधिसभा र प्रदेशसभा निर्वाचनमा सोचेजस्तो मत नखसेको बताएका छन्। निर्वाचन आयोगका प्रमुख निर्वाचन आयुक्त दिनेशकुमार थपलियाले प्रारम्भिक विवरणअनुसार ६१ प्रतिशत मत खसेको बताए। जुन आयोगले सोचेभन्दा कम रहेको उनको भनाइ छ। 'विवरण आउने क्रम अहिले पनि जारी छ। हालसम्म प्राप्त विवरणअनुसार ६१ प्रतिशत मतदान भएको देखिन्छ। सम्पूर्ण विवरण आएपछि यो केही प्रतिशत बढ्न सक्छ। तर यो हाम्रो अपेक्षाभन्दा कम हो,' पत्रकार सम्मेलनमा उनले भने। उनले सुर्खेत, नवलपरासी, बाजुरा र गुल्मीका १५ स्थानमा मतदान रोकिएको बताए। सामान्य विवादपछि स्थगित भएको ती स्थानहरुमा सर्वदलीय छलफलबाट पनि पुनः मतदान गर्न नसकिएको उनको भनाइ छ। ती स्थानहरुमा दुई दिनभित्रै मतदा गराउन निर्देशन दिइएको प्रमुख निर्वाचन आयुक्त थपलियाले बताए।"
