शीर्षक,विवरण
"देशको शिर निहुरियो, प्रधानमन्त्रीज्यू","प्रधानमन्त्रीज्यू, तपाईं त अर्कै विधिबाट बन्नुभएको रहेछ। कृपया, राजीनामा दिनुहोस्। प्रितम सिंह नेपालमा यातायात व्यवसाय गर्ने भारतीय नागरिक हुन्। उनी आफ्नो जन्मभूमि भारत भए पनि कर्मभूमि नेपाल भन्छन्। उनको कर्म व्यापार मात्र होइन, प्रधानमन्त्री पुष्पकमल दाहालका अनुसार राजनीति पनि हो। त्यसमाथि नेपालमा प्रधानमन्त्री बनाउने खुबीको राजनीति। अझ भारतसम्म पटकपटक गएर यहाँ प्रधानमन्त्री बनाइदिने हैसियत रहेछ उनीसँग। त्यसभन्दा लज्जास्पद कुरा त सार्वभौम राष्ट्र नेपालका प्रधानमन्त्रीले स्वयं आफूलाई उनले यस पदमा पुर्याउन सहयोग गरेको खुलमखुला भन्नु राष्ट्रिय स्वाभिमानमाथि ठूलो प्रहार हो। आफ्नैबारे प्रधानमन्त्री पुष्पकमल दाहालको भनाइको आधिकारिकता अन्यत्रबाट पुष्टि गराइरहनु आवश्यक हुन्न। दाहालले सोमबार सरदार सिंहको किताब विमोचनमा आफूलाई उनले लगाएका गुन कहँदै भने, मलाई प्रधानमन्त्री बनाउन उहाँ पटकपटक दिल्लीसम्म जानुभयो। यसलाई लिएर देशको राजनीति तरंगित बन्यो। विपक्षी दलले संसद् अवरुद्ध गरे। सत्तारुढ दलकै कतिपय नेताले यसलाई आपत्तिजनक भन्दै मुख खोले। बौद्धिक समुदायले कडा विरोध जनायो। नागरिक समाज आक्रोशित बन्यो। प्रधानमन्त्रीले देशको शिर निहुर्याउने अभिव्यक्ति दिएकामा सबैले लज्जाबोध गरे। तीव्र प्रतिक्रिया आएपछि प्रधानमन्त्री दाहाल उल्टै आक्रोशित देखिए। राजधानीको अर्को कार्यक्रममा आफ्नो भनाइलाई अनर्गल प्रचारबाजी गरिएको दाबी गर्दै सच्याएर भने, मैले भन्न खोजेको यो हो उहाँ (प्रितम सिंह) सामाजिक सेवा र यातायात क्षेत्रमा मात्रै होइन, राजनीतिमा पनि चासो राख्नुहुन्छ। मलाई प्रधानमन्त्री बनाउन कहिले कहाँ, कहिले कहाँ पुग्नुहुन्छ। कहिले दिल्ली, कहिले नेपालका मान्छेसँग लाग्नुहुन्थ्यो उहाँ। सच्याएको यो भनाइ नै स्वयंमा कम आपत्तिजनक छैन। एउटा विदेशी नागरिकले देशको राजनीतिमा चासो राखेको छ। प्रधानमन्त्री बनाउन कहिले दिल्ली, कहिले नेपालका मान्छेलाई भेटेको छ। आफ्नै सहयोगार्थ विदेशी राजनीतिक बिचौलिया प्रयोग गरिएको भन्ने बहालवाला प्रधानमन्त्रीको अभिव्यक्ति के शोभनीय हो ? हामी उसै भूराजनीतिक हस्तक्षेपको लामो शृंखला झेल्दै आएका छौं। कहिले उत्तरले, कहिले दक्षिणले सरकार बनाउनेभत्काउने गर्छन् भन्ने नागरिक तहसम्म परिचर्चा पुगेको छ। राजनीतिक नेतृत्व निष्ठा, स्वाभिमान र सार्वभौमिकताभन्दा पनि आशीर्वाद को आडभरोसामा लिप्त छ। प्रधानमन्त्री दाहालले त त्यसलाई ह्वाङ्गै देखाइदिए। आफैं बके। राष्ट्रिय अस्मितामा चोट पुग्ने यो हर्कत नेपाली जनतालाई स्वीकार्य छैन। बोली फिर्ता लिएर वा जवाफ दिएर टारिने विषय होइन यो। स्वयं प्रधानमन्त्रीको मुखबाट यस्तो सुन्नु पर्ला भनेर जनताले कहिल्यै चिताएकासम्म थिएनन्। आफैंले मत दिएका यही देशका सांसदको बहुमतले प्रधानमन्त्री बनाउने संविधान छ हामीसँग। प्रधानमन्त्रीज्यू, तपाईं त अर्कै विधिबाट बन्नुभएको रहेछ। कृपया, राजीनामा दिनुहोस्। इमान जोगाइरहनुभयो भने घरेलु शक्तिले नै तपाईंलाई फेरि प्रधानमन्त्री बनाउने छ। सत्य ओकल्नुभयो, अब बाटो खोल्नुहोस्।"
रकमान्तर रोग,"कुनै परियोजनामा बजेट परेर पनि खर्च नहुने पर्याप्त कारण देखियो तर अर्को परियोजनामा थप बजेट नभई नहुने अवस्था छ भनेचाहिँ रकमान्तर उचित नै हुन्छ। यस्तो अवस्थामा कानुनी परिधिभित्र रहेर रकमान्तर गरिनुपर्छ। यद्यपि चालु बजेट छ भने चालु र पुँजीगत छ भने पुँजीगत शीर्षकमा पनि १० प्रतिशतभन्दा बढी रकमान्तर हुन्छ भने त्यो कानुनसम्वत भएन। राज्यले वित्तीय अनुशासन पालना नगर्ने रोगको एउटा लक्षण रकमान्तर हो। एउटा शीर्षकमा विनियोजन गरेको रकमलाई अर्को शीर्षकमा सार्ने प्रक्रिया रकमान्तर हो। स्रोत फेर्नुलाई स्रोतान्तर भनिन्छ। यी दुवै काम कुशल विनियोजनको अभ्यास होइनन्। आवश्यकताअनुसार रकमान्तर गर्नुपर्ने भएकाले कानुनी रूपमा रकमान्तर गर्न पाउने व्यवस्था गरिएको हो। कानुनी सीमामा रहेर रकमान्तर गर्नु स्वस्थ अभ्यास हो। तर, कानुनभन्दा बाहिर गएर रकमान्तर गर्नु भनेको वित्तीय अनुशासन पालना नगर्नु तथा लापरबाही गर्नु हो। यो कार्यलाई अनियमितताका रूपमा बुझ्नु पर्ने पनि हुन्छ। जुन कामका लागि बजेट छुट्याइएको छ सो कामका लागि रकम आवश्यकता हुँदाहुँदै निहित स्वार्थवश वा कसैको हितका पक्षमा लागेर कम बजेट परेको वा बजेट नै नपरेको तथा बजेट आवश्यक नपर्ने काम, क्षेत्र, शीर्षकमा सार्नु भनेको अनुचित काम हो। निहित स्वार्थले काम गर्दा अनुचित हुन जान्छ। कहिलेकाहीँ एउटा शीर्षकमा छुट्याएको विविध कारणले खर्च हुन सकेको छैन भने प्रकोप व्यवस्थापन, राहत, पुनरुत्थानलगायत विकासे कामका लागि रकम सारिन्छ भने यो कामलाई उचित मान्न सकिन्छ। उद्देश्य पुष्ट्याइँ नभई व्यक्तिको दबाबमा वा पहुँचवालाले भनेको क्षेत्रमा बजेट लैजान रकमान्तर अनुचित हुन्छ। बजेटमा उल्लेख नभएको आयोजना परियोजनामा पनि रकमान्तर गरेर बजेट लगिएको सुनिन्छ। यो त गर्नै नहुने काम हो। कुनै परियोजनामा बजेट परेर पनि खर्च नहुने पर्याप्त कारण देखियो तर अर्को परियोजनामा थप बजेट नभई नहुने अवस्था छ भनेचाहिँ रकमान्तर उचित नै हुन्छ। यस्तो अवस्थामा कानुनी परिधिभित्र रहेर रकमान्तर गरिनुपर्छ। यद्यपि चालु बजेट छ भने चालु र पुँजीगत छ भने पुँजीगत शीर्षकमा पनि १० प्रतिशतभन्दा बढी रकमान्तर हुन्छ भने त्यो कानुनसम्वत भएन। रकमान्तरका यस्ता अनुचित गतिविधिरूप विनियोजन ऐन, आर्थिक कार्यविधि तथा वित्तीय उत्तरदायित्व ऐनले पनि बर्जित गरेका छन्। धेरैजसो रकमान्तर जेठ, असारलगायत वर्षको अन्त्यमा हुने गरेको छ। असारको १५ गतेपछि कार्यक्रम संशोधन गरेर रकमान्तर गरेर हामी कुन गुणस्तरको विकास खोजिरहेका छौं ? समयमा काम नगर्ने, बजेट सक्न रकमान्तर गर्ने काम कदापी देशको हितमा छैन। प्रतिशतमा देखाउनका लागि मात्र बजेट खर्च पनि होइन नि ! अनावश्यक तथा अनुचित, स्रोत खेर जाने किसिमको र गुणस्तरहीन काम गरेर बजेट सक्नुभन्दा बजेट खर्च नहुनु नै वेश हो। उल्लेखित कारण रकमान्तरले बजेट निर्माण प्रक्रियामै त्रुटि रहेको देखाउँछ। कार्यान्वयन पक्ष त्रुटिपूर्ण छ, छँदैछ लापरबाही पनि देखिन्छ। (अधिकारी अर्थविद् हुन्।)"
बागमती प्रदेशको बजेट बहुमतले पारित,"हेटौंडा : बागमती प्रदेश सरकारले आगामी आर्थिक वर्ष २०८००८१ का लागि ल्याएको बजेट बहुमतले पारित गरेको छ। बिहीबार बसेको प्रदेशसभा बैठकले आगामी आर्थिक वर्षका लागि ल्याएको बजेट पास गरेको हो। यसअघि प्रदेशसभामा सरकारले ल्याएको बजेट प्रति विरोध जनाउँदै आएका प्रमुख प्रतिपक्ष दल नेकपा एमालेसहित राप्रपा लगायतका दलहरूको मागलाई पनि सम्बोधन हुनेगरि सत्तापक्षले छुटेका योजनालाई समावेश गर्ने भएपछि बजेट पास भएको हो। बागमती प्रदेश सरकारले आगामी आर्थिक वर्ष २०८००८१ का लागि ६२ अर्ब ७० करोड ९० लाख रुपैयाँ बजेट विनियोजन गरेको थियो। सरकारले चालुतर्फ २६ अर्ब ७० करोड २७ लाख, पुँजीगत तर्फ ३५ अर्ब ५० करोड ६३ लाख रुपैयाँ र वित्तीय व्यवस्थापन तर्फ ५० करोड रुपैयाँ बजेट विनियोजन गरेको छ। प्रदेश सरकारले कुल विनियोजित बजेट मध्ये चालु तर्फ ४२५८ प्रतिशत, पुँजीगत तर्फ ५६६२ प्रतिशत र वित्तीय व्यवस्था तर्फ ०८ प्रति रकम समावेश गरेको छ। प्रदेश सरकारले आगामी आर्थिक वर्षका लागि ल्याएको बजेट चालु आर्थिक वर्षमा ल्याएको बजेट भन्दा झन्डै ८ अर्बले कम रहेको छ। चालु आर्थिक वर्षका लागि प्रदेश सरकारले ७० अर्ब ९३ करोड ९३ लाख रुपैयाँको बजेट ल्याएको थियो। यसअघि प्रदेशसभा बैठकमा आगामी आर्थिक वर्षका लागि सरकारले ल्याएको बजेट सत्तापक्षको मुख्यमन्त्री र मन्त्रीहरू केन्द्रित मात्रै भएको भन्दै प्रतिपक्ष दलहरूले विरोध जनाउँदै सदन अवरुद्ध गर्दै आएका थिए। साथै प्रमुख प्रतिपक्ष दल नेकपा एमालेसहित राप्रपाले बजेट संशोधन हुनुपर्ने माग राख्दै ९ जना प्रदेशसभा सदस्यले प्रस्ताव पेस गरेका थिए। सरकारले ल्याएको बजेट बहुमतले पारित भएसँगै प्रदेशसभा बैठक अर्को सूचना नआएसम्मका लागि समेत स्थगित भएको छ।"
भारत सरकारको सहयोगमा निर्मित दैलेखमा चार सामुदायिक विकास परियोजनाको उद्घाटन,"काठमाडौं : दैलेखमा भारत सरकारको सहयोग निर्मित चार वटा सामुदायिक विकास परियोजनाको उद्घाटन भएको छ। भारतीय राजदूतावासको विकास साझेदारी प्रभागका द्वितीय सचिव प्रशान्त कुमार सोना र जिल्ला समन्वय समिति दैलेखका प्रमुख नमराज शाहीले संयुक्तरूपमा उद्घाटन गरेका हुन्। नेपालभारत विकास सहकार्यअन्तर्गत भारत सरकारको १० करोड ८६ लाख आर्थिक सहयोगमा दैलेखमा निर्माण गरिएका तीन वटा विद्यालयका भवनहरू उद्घाटन गरिएको हो। जसमा लालिकाँडास्थित श्री मालिका उच्च माध्यमिक विद्यालय, बडाभैरवस्थित श्री भैरव माध्यमिक विद्यालय, बडाखोलास्थित श्री जगदीश माध्यमिक विद्यालय र रामपुरस्थित श्री नारायण क्याम्पसको क्याम्पस भवन रहेका छन्। उद्घाटन समारोहमा गुराँस गाउँपालिकाका अध्यक्ष टोपबहादुर विसी, भगवतीमाई गाउँपालिकाका अध्यक्ष गणेश बहादुर थापा, महाबु गाउँपालिकाका कार्यबाहक अध्यक्ष श्रीमती मन्जु कुमारी शर्मा (पाण्डे), नारायण नगरपालिकाका नगर प्रमुख लोमन शर्मा, समाजसेवी, राजनीतिक दलका प्रतिनिधि, नेपाल सरकारका पदाधिकारी तथा स्थानीय समुदायका अगुवाको उपस्थिति थियो। यी परियोजनाहरु भारत सरकार र नेपाल सरकारबीच भएको सम्झौताअन्तर्गत उच्च प्रभाव सामुदायिक विकास परियोजनाको रूपमा अघि बढाइएको थियो। विद्यालय र क्याम्पस निर्माण परियोजनाको कार्यान्वयन जिल्ला समन्वय समिति दैलेखमार्फत् भएको हो। यी विद्यालय र क्याम्पस भवनले त्यस क्षेत्रका विद्यार्थीलाई गुणस्तरीय शैक्षिक पूर्वाधार उपलब्ध गराई दैलेख जिल्लामा गुणस्तरीय शिक्षाको लागि उपयुक्त वातावरण सिर्जना गर्न मद्धत गर्नेछ। सन् २००३ यता भारतले नेपालमा ५४४ भन्दा बढी उच्च प्रभाव सामुदायिक विकास परियोजना अघि बढाइसकेको छ। जसमध्ये ४८० वटा परियोजना सम्पन्न भइसकेका छन्।"
कांग्रेस जिल्ला सभापतिहरूको बैठकमा सांगठनिक विषयमा छलफल,"काठमाडौं : नेपाली कांग्रेस केन्द्रीय कार्यालयको आयोजनामा पार्टीका जिल्ला सभापतिहरूको बैठक पार्टीको केन्द्रीय कार्यालय सानेपामा आज प्रारम्भ भएको छ। बैठकमा ४२ जिल्लाका पार्टी सभापति र १८ जिल्लाका प्रतिनिधिहरूको सहभागिता रहेको थियो। वर्षा र बाढीपहिरोलगायतका विविध कारणले उपस्थित हुन नसकेका जिल्ला सभापतिहरूलाई जुममार्फत् बैठकमा जोडिएको कांग्रेस कार्यवाहक मुख्यसचिव प्रदीप पराजुलीले जानकारी दिए। बैठकमा कांग्रेसको सदस्यता, क्रियाशील सदस्यताको सन्दर्भमा प्रविधिमैत्री व्यवस्थापन तथा विभिन्न तहको सम्मेलनका बारेमा पार्टीका महामन्त्रीद्वय गगनकुमार थापा र विश्वप्रकाश शर्माले कार्यक्रमको सुरुमा प्रकाश पारे। छलफलमा जिल्ला सभापतिहरू डिगबहादुर लिम्बू (मोरङ), नारायणप्रसाद गौडेल (बाँके), दीपक खड्का (सङ्खुवासभा), पूर्णबहादुर तामाङ (कान्छाराम) (रामेछाप), रामनाथ अधिकारी (धादिङ), बर्मा लामा (दोलखा), राजु थापा (स्याङ्जा), केशव श्रेष्ठ (अर्घाखाँची), रामकृष्ण खाण (रुपन्देही), खिलध्वज पन्थी (गुल्मी), केशरमान रोका (रुकुमपूर्व), कावा सभापति चन्द्रबहादुर राना (नवलपरासीपूर्व), जीतेन्द्रकुमार श्रेष्ठ (ललितपुर)ले आआफ्नो धारणा राखेका थिए। त्यसैगरी बुद्ध लामा (मकवानपुर), ऐनबहादुर शाही (मुगु), पुष्पबहादुर शाह (अछाम), मणिराम रेग्मी (दैलेख), रामसिंह रावल (बाजुरा), शङ्करप्रसाद डाँगी (दाङ), नरेन्द्रबहादुर सिंह (डोटी), सुरेन्द्रप्रसाद सिंह (सर्लाही), पेम्बाछिरिङ तामाङ (रसुवा), रामदेव साह (सप्तरी), कावा सभापति खड्ग बिसी (जाजरकोट), सबुज बानियाँ (काठमाडौँ), रामचन्द्र यादव (सिरहा) र जीत शेरचन (बाग्लुङ)ले आफ्नो धारणा व्यक्त गर्नुभएको पार्टी कार्यालयले जनाएको छ। बैठकमा धारणा राख्ने क्रम जारी छ। भोलि असार २२ गते बिहान ११ बजे पार्टीको केन्द्रीय कार्यालयमा जिल्ला सभापतिहरूको बैठक पुनः बस्ने कार्यवाहक मुख्यसचिव पराजुलीले बताए।"
महानगरको स्वीकृतिबिना सार्वजनिक जग्गा लिजमा लिने दिने काम नगर्न बालेनको चेतावनी,"काठमाडौं : काठमाडौं महानगरपालिकाका मेयर बालेन्द्र शाह (बालेन)ले महानगरको स्वीकृति बिना सरकारी जग्गा लिजमा लिने दिने कार्य नगर्न चेतावनी दिएका छन्। उनले नेपाल सरकारको हक, स्वामित्व, नियन्त्रण वा अधीनमा रहेको सरकारी जग्गाको संरक्षणसम्बन्धी काम कारबाहीलाई काठमाडौं महानगरपालिकाले उच्च प्राथमिकता राखेको जानकारी दिएका छन्। सामाजिक सञ्जालमा उनले भनेका छन्, 'स्थानीय सरकार सञ्चालन ऐन, २०७४ को दफा ९७ को उपदफा (१) ले सरकारी, सार्वजनिक तथा सामुदायिक सम्पत्तिको रेखदेख तथा संरक्षण गर्ने दायित्व स्थानीय सरकारलाई तोकेको छ। मालपोत ऐन, २०३४ को दफा २४ को उपदफा (१) बमोजिम जारी भएको सरकारी जग्गा दर्ता, उपयोग तथा लिजमा उपलब्ध गराउने सम्बन्धी कार्यनीति, २०७९ ले सम्बन्धित स्थानीय तहको कार्यपालिकाको निर्णय सहितको सिफारिस भएमा मात्र नेपाल सरकार मन्त्रिपरिषद्ले निर्णय गरी सरकारी जग्गा लिजमा दिन सक्ने व्यवस्था गरेको छ। सार्वजनिक वा सरकारी प्रयोजनको लागि आवश्यक पर्ने सरकारी जग्गा भने कुनै व्यक्ति, निकाय वा संस्थालाई लिजमा उपलब्ध गराउन नसकिने कुरा सो कार्यनीतिमा स्पष्ट पारिएको छ। उनले महानगरसँग समन्वय नगरी, बिना जानकारी अनुचित स्वार्थसिद्धीका लागि सरकारी जग्गा लिजमा दिने लिने काम भइरहेकोप्रति गम्भीर ध्यानाकर्षण भएको उल्लेख गरेका छन्। 'काठमाडौं महानगरपालिका क्षेत्रभित्रको सरकारी जग्गा काठमाडौं महानगरपालिकासंग समन्वय नगरी, कुनै जानकारी नदिई, कार्यपालिकाको निर्णय सहितको सिफारिस नलिई अनुचित स्वार्थसिद्धीको लागि लिजमा दिनेलिने सम्बन्धी प्रचलित कानून प्रतिकूलको काम कारवाही भइरहेको सम्बन्धमा गम्भीर ध्यानाकर्षण भएको छ। नेपाल सरकारको हक, स्वामित्व, नियन्त्रण वा अधीनमा रहेको सरकारी जग्गाको संरक्षण सम्बन्धी काम कारवाहीलाई काठमाडौं महानगरपालिकाले उच्च प्राथमिकता दिएको छ,' उनले भनेका छन्। प्रचलित कानुन प्रतिकूल भएको लिज सम्बन्धी निर्णय वा त्यसका आधारमा गरिने लिज सम्झौताले कानुनी मान्यता नपाउने हुँदा त्यस्तो कार्यमा संलग्न नहुन काठमाडौं महानगरपालिका सरोकारवालालाई आह्वान गरेको छ। 'काठमाडौं महानगरपालिकाबाट सिफारिस नलिई प्रचलित कानूनी व्यवस्थाको प्रतिकूल हुनेगरी लिजमा प्राप्त गरेको वा गरिने कुनै पनि सरकारी जग्गामा नक्सा पास नगरिने तथा भौतिक संरचना बनाउन स्वीकृती नदिइने कुरा समेत यसै सूचनाद्वारा सूचित गरिन्छ,' सूचनामा भनिएको छ।"
सरकार गठनमा सभामुखको प्रयोग नगर्न कोसी प्रदेश प्रमुखलाई एमालेको ध्यानाकर्षण,"विराटनगर : नेकपा (एमाले) कोसी प्रदेश संसदीय दलले नयाँ सरकार गठनमा सभामुखको प्रयोग नगर्न प्रदेश प्रमुख पर्शुराम खापुङको ध्यानाकर्षण गराएको छ। मुख्यमन्त्री एवं एमाले संसदीय दलका नेता हिक्मतकुमार कार्कीको हस्ताक्षर रहेको ध्यानाकर्षण पत्रसमेत प्रदेश प्रमुखको कार्यालयमा बुझाइएको छ। सभामुख बाबुराम गौतमसमेतलाई बोधार्थ दिइएको ध्यानाकर्षण पत्र प्रदेश प्रमुखलाई बुझाउन कार्कीसहित एमालेका प्रमुख सचेतक रेवतीरमण भण्डारी, प्रदेशसभा सदस्य (सांसद) लीलाबल्लभ अधिकारी, राष्ट्रिय प्रजातन्त्र पार्टी (राप्रपा) संसदीय दलका नेता भक्तिप्रसाद सिटौलालगायत पुगेका थिए। प्रदेशसभाको दोस्रो आम निर्वाचनपश्चात २०७९ साल पुस २४ गते नेपालको संविधानको धारा १६८ को उपधारा २ बमोजिम कार्कीको नेतृत्वमा प्रदेश सरकार गठन भएको थियो। असार १५ गते प्रदेशसभाबाट विश्वास गुमाएपछि एमाले नेता कार्की नेतृत्वको सरकार ढलेको छ। प्रदेश प्रमुखले असार १७ गते संविधानको त्यही व्यवस्था प्रयोग गरेर नयाँ सरकार गठनका लागि आह्वान गरेका थिए। प्रदेश प्रमुखले नयाँ मुख्यमन्त्रीका लागि दाबी पेश गर्न आज साँझ ५ बजेसम्मको समय दिएका छन्। गठबन्धन दलले सभामुख बाबुराम गौतमसमेतलाई गणना गरेर नेपाली कांग्रेस संसदीय दलका नेता उद्धव थापालाई नयाँ मुख्यमन्त्री नियुक्तिका लागि दाबी पेश गर्ने तयारी गरेका छन्। कोसीको ९३ सदस्यीय प्रदेशसभामा एमालेका ४०, कांग्रेसका २९, नेकपा (माओवादी केन्द्र)का सभामुखबाहेक १२, राप्रपाका ६, नेकपा (एकीकृत समाजवादी)का ४ र जनता समाजवादी पार्टी (जसपा)का १ सांसद छन्। सरकार गठनका लागि बहुमत पुर्याउन ४७ सांसद आवश्यक पर्छ। सभामुखलाई गणना नगर्दा कांग्रेस, माओवादी, समाजवादी र जसपा सम्मिलित गठबन्धनसँग ४६ सांसद मात्रै हुन्छन्। एमालेराप्रपाका पनि ४६ सांसद मात्रै छन्। तर, सरकार गठनमा गठबन्धनले संविधानविपरीत सभामुखको प्रयोगको तयारी गरेपछि चौतर्फी विरोध भइरहेको छ। संविधानविद् एवं कानुनका जानकारहरूले सरकार गठनमा सभामुखको प्रयोग गर्न नपाइने बताइरहेका छन्। सरकार गठनमा सभामुखको प्रयोग नगर्न आग्रह गर्दै एमालेले पनि प्रदेश प्रमुखको ध्यानआकर्षण गराएको हो। मैले प्रदेशसभामा विश्वासको मत प्राप्त गर्ने सन्दर्भमा मत विभाजन हुँदा प्रस्तावको पक्षमा ४६ मत प्राप्त गरेको तथ्य स्पष्ट नै छ। सो संख्याबाहेक माननीय सभामुखलाई गणना नगर्दा नयाँ सरकार गठनका लागि मौजुदा प्रदेशसभा सदस्य संख्याको बहुमत संख्या अर्थात ४७ नपुग्ने अवस्था देखिएको छ। तर, माननीय सभामुखलाई समेत गणना गरी बहुमत सावित गर्ने प्रयत्नको सम्भावना प्रति हाम्रो गम्भीर ध्यानाकृष्ट भएको छ, मुख्यमन्त्री कार्कीले बुझाएको ध्यानाकर्षण पत्रमा उल्लेख छ। सभामुखले गत पुस २८ गतेको प्रदेशसभा बैठकमा दलको आवद्धता त्यागको घोषणा गरेको पनि उक्त पत्रमार्फत स्मरण गराइएको छ। उहाँ (सभामुख)ले माओवादी संसदीय दलको सदस्यता परित्याग गरेको कुरा विवादरहित छ। उक्त घोषणा अहिले पनि प्रदेशसभाको विद्युतीय अभिलेखमा सुरक्षित नै छ। त्यसरी अभिलेखमा रहेको कुनै पनि विषय विद्यमान प्रचलित कानुनले लिखत सरह मान्य हुने व्यवस्था गरेको छ। नेपालको संविधानको धारा १८६ बमोजिम प्रदेशसभामा निर्णयका लागि प्रस्तुत गरिएको जुनसुकै प्रस्तावको निर्णय उपस्थित भई मतदान गर्ने सदस्यहरूको बहुमत बाट हुनेछ। अध्यक्षता गर्ने व्यक्तिलाई मत दिने अधिकार हुने छैन, पत्रमा भनिएको छ, तर, मत बराबर भएमा अध्यक्षता गर्ने व्याक्तिले आफ्नो निर्णायक मत दिनेछ भन्ने व्यवस्थाले प्रदेशसभा सदस्य भन्दा माननीय सभामुखलाई अलग्गै र भिन्न विशेष प्रकृतिको पद रहेको तथ्यलाई स्वीकार गरेको छ। अहिले माननीय सभामुख बाबुराम गौतम कुनै पनि दलको सदस्य होइन। उहाँको नाम सरकार गठनका लागि संख्यामा गणना गर्न संविधान, कानुन, संसदीय मूल्य तथा अन्तराष्ट्रिय सिद्धान्त एवं अभ्यास विपरीत हुने र स्वयं सभामुखको गरिमामा समेत प्रश्न उठ्नेछ।"
एमालेको अवरोधपछि राष्ट्रिय सभाको बैठक शुक्रबारसम्म स्थगित,"काठमाडौं : राष्ट्रिय सभाको बैठक शुक्रबारसम्म स्थगित भएको छ। बिहीबार राष्ट्रिय सभा बैठकमा प्रमुख प्रतिपक्ष दलले अवरोध गरेपछि अध्यक्ष गणेश तिमिल्सिनाले शुक्रबार दिउँसो १२:२९ सम्मका लागि स्थगित गरेका हुन्। बुधबारबाट राष्ट्रिय सभा र प्रतिनिधि सभामा नेकपा एमालेका सांसदहरूले प्रधानमन्त्री पुष्पकमल दाहाल प्रचण्डको अभिव्यक्तिलाई लिएर राजीनामा माग गर्दै संसद अवरुद्ध गर्दै आएको छ। प्रधानमन्त्री दाहालको अभिव्यक्तिलाई लिएर एमाले सांसदहरूले बैठक सुरू हुनेबित्तिकै आज दोस्रो दिन पनि राजीनामा माग गरेका छन्। एमाले सांसद भैरवसुन्दर श्रेष्ठले प्रधानमन्त्रीको अभिव्यक्तिले देशको गरिमामा आँच पुर्याएको बताए । श्रेष्ठले भने, गत असार १८ गते भारतीय नागरिक प्रीतम सिंहको जन्म दिनको अवसरमा उनकी छोरीको पुस्तक विमोचमा प्रधानमन्त्री प्रचण्डले दिएको अभिव्यक्तिलाई लिएर देशव्यापी विरोध भइरहेको छ । हाम्रो देशको प्रधानमन्त्री कसले नियुक्ति गर्छ ? प्रीतम सिंह राजनीतिमा चासो राख्नुहुन्थ्यो र मलाई प्रधानमन्त्री बनाउन भूमिका खेलेको भन्ने प्रधानमन्त्रीको अभिव्यक्ति आपत्तिजनक छ । प्रधानमन्त्रीज्यूले जवाफ नदिँदासम्म बैठक सञ्चालन हुन दिँदैनौं । उनले भारतको इसारामा चल्ने प्रधानमन्त्री स्वीकार्य नहुने बताए। के भनेका थिए प्रधानमन्त्रीले ? गत सोमबार राजधानीमा आयोजित पुस्तक विमोचन कार्यक्रममा प्रधानमन्त्रीले दाहालले आफूलाई प्रधानमन्त्री बनाउन प्रीतम सिंह पटकपटक दिल्ली धाएको अभिव्यक्ति दिएका थिए। यो यातायात, सामाजिक सेवा, शिक्षाको क्षेत्रमा मात्रै होइन उहाँ राजनीतिमा पनि रुची राख्नुहुन्छ। उहाँले एकपटक मलाई प्रधानमन्त्री बनाउन धेरै मेहनत गर्नुभयो। धेरैचोटी दिल्ली जानु पनि भयो। काठमाडौँका पार्टीहरुलाई, नेताहरुलाई पार्टीहरुसँग पनि उहाँ लगातार छलफल गर्नुभो। उहाँ राजनीति सफा भयो भने मात्रै देश विकास राम्रो हुन्छ भन्ने विश्वास पनि गर्नुहुन्छ। उनले भनेका थिए, म शान्ति प्रक्रियामा आएदेखि नै धेरै नजिकबाट, हुन त हाम्रो कमरेड पम्फा भुसाल हुनुहुन्छ उहाँको नजिकै घर भएका हुनाले पनि लगातार अन्तर्क्रिया, सहकार्य हुने गर्यो। र हामीले नजिकबाट एक अर्काले चिन्ने, बुझ्ने र महसुस गर्ने पनि गर्यो। प्रधानमन्त्री प्रचण्डको अभिव्यक्तिलाई लिएर सामाजिक सञ्जालमा पनि चर्को आलोचना भइरहेको छ।"
