शीर्षक,विवरण
"विपद्ले बिचल्ली, प्रतिकार्य फितलो","यो वर्ष मनसुनजन्य विपदबाट साढे १२ लाख नेपाली प्रभावित हुने राष्ट्रिय विपद् न्यूनीकरण तथा व्यवस्थापन प्राधिकरणको अनुमान छ। तर तिनलाई कसरी प्रभावित हुन नदिने भन्ने कसरत सरकारले सुरु गरेकै छैन। मनसुन सक्रिय हुन लागेको एक साता नबित्दै बाढी र पहिरोले कोसी प्रदेशमा १२ जनाको ज्यान लिँदा देशका अरू ठाउँमा पनि छिटपुट घटना भइरहेका छन्। बर्खा र बाढीपहिरो नेपालमा नियमित आकस्मिकता हुँदै आएको छ। वर्षैपिच्छे सयौं नेपालीले बाढी र पहिरोमा ज्यान गुमाउँछन्। तर सरकारसँग बाढीपहिरोबाट नागरिकको ज्यान जोगाउने दीर्घकालीन कुनै कार्यक्रम र योजना छैन। नीति बनाउँछ तर कार्यान्वयन गर्दैन। विपद् प्रतिकार्य पनि फितलो छ। मन्त्री र प्रधानमन्त्री बाढीपहिरो प्रभावित क्षेत्रमा हेलिकप्टरमा पुग्छन्। सान्त्वना देखाउँछन् मात्रै, प्रभावितहरूको कहिल्यै पुनस्र्थापना हुँदैन। यसपालि त थुप्रैले ज्यान गुमाए, अर्काेपालि यस्तो नहोला भन्न सकिने कुनै आधार सरकारले तयार गर्दैन। यसपालि ताप्लेजुङ, पाँचथर र संखुवासभामा गएको बाढीपहिरो हराइरहेकाको संख्या मृत्युभन्दा ज्यादा छ। खोला किनारहरूमा वा पहाडका भित्ताहरूमा जहाँ जोखिम छ, त्यसको नक्सांकन गरी व्यवस्थित गर्न जरुरी छ। जोखिमका क्षेत्रहरू पहिचान गर्ने र त्यसअनुसार क्रमशः बस्ती व्यवस्थित गर्न नसकिए बर्सेनि विपद्ले ज्यान लिइरहन्छ, धनमालको पनि नोक्सानी गरिरहन्छ। जस्तो कि यसपालि मनसुनकै सुरुआतमा पुलपुलेसा र जलविद्युत्लगायत पूर्वाधारमा पनि क्षति पुगिसकेको छ। जानकारहरू यसपालि पूर्वीपहाडमा दशकयताकै ठूलो वर्षा भएको बताउँछन्। तर, धेरै पानी पर्नुमात्रै सर्वसाधारणको ज्यान जानुको मूल कारण मान्न सकिन्न। व्यवस्थित बसोबासका लागि सरकारले माखो मारेको छैनमात्रै होइन, विकासका नाममा जथाभावी निर्माण गरिरहेको छ। जसले जोखिम बढाएको छ। पहाडका भित्ताहरू डोजरले कोपरेर जसरी बाटो बनाइएको छ, पहिल्लो समय पहिरोको कारण त्यो पनि हो। त्यसो त नदीकिनारका अव्यवस्थित बसोबास पनि जोखिमका अरू कारण हुन्। देशभरि नै व्यवस्थित बसोबासको योजना बनाएर कार्यान्वयन नगर्ने हो भने हरेक वर्ष यस्ता विपत्ति आइरहन्छन् र मृत्यु भइरहन्छ। यो वर्ष मनसुनजन्य विपदबाट साढे १२ लाख नेपाली प्रभावित हुने राष्ट्रिय विपद् न्यूनीकरण तथा व्यवस्थापन प्राधिकरणको अनुमान छ। तर तिनलाई कसरी प्रभावित हुन नदिने भन्ने कसरत सरकारले सुरु गरेकै छैन। जुन कामका लागि कत्ति ढिला गरिनु हुँदैन।"
सार्वजनिक सवारीको विद्युतीकरण,"पछिल्लो वर्षको बजेटले विद्युतीय सवारीसाधनमा अघिल्लो वर्षको तुलनामा भन्सार महसुल बढाएको छ। काठमाडौं : सन् २०२० मा नेपालमा कुल सवारीसाधनको एक प्रतिशतमात्रै विद्युतीय सवारीसाधन (ईभी) ले ओगटेको थियो। यद्यपि, तिनीहरूको लोकप्रियता बढ्दै गएको छ, जसले निजी क्षेत्रलाई लगानी गर्ने र ईभीका लागि अनुकूल वातावरण सिर्जना गर्ने महत्त्वपूर्ण अवसर प्रदान गरिरहेको छ। यसले पर्याप्त संख्यामा चार्जिङ स्टेसनहरू स्थापना गर्ने, सवारीसाधनको मापदण्डहरू लागू गर्ने र पहुँचयोग्य वित्तीय प्रणालीहरू सुनिश्चित गर्ने कार्यहरू समावेश गर्दछ। तथ्यांकअनुसार चालू आर्थिक वर्षको पहिलो १० महिनामा ८ अर्ब ४१ करोड रुपैयाँबराबरका विद्युतीय सवारीसाधन आयात भएको छ, जसबाट सरकारले भन्सार राजस्व २ अर्ब रुपैयाँ उठाएको छ। यसको विपरीत पेट्रोलियम पदार्थबाट चल्ने सवारीसाधनको वार्षिक आयात लागत एक खर्ब रुपैयाँ रहेको पाइएको छ। विद्युतीय सवारीसाधनको प्रयोगले गति लिएको भए पनि नेपालमा सार्वजनिक यातायातमा यसको प्रयोग न्यून रहेको छ। नेपालमा सार्वजनिक यातायात प्रयोग गर्ने जो कोहीलाई थाहा छ कि यो कष्टपूर्ण छ, त्यसैले देशका धेरै मानिस निजी सवारीसाधन प्रयोग गर्छन्। यसले ट्राफिक जाम र दुर्घटनाका समस्या सिर्जना गर्दछ, नेपाल, बंगलादेश र भुटानका लागि आईएफसी कन्ट्री म्यानेजर मार्टिन होल्टम्यानले भने, काठमाडौं उपत्यकामा वायु प्रदूषणको तीन प्रमुख स्रोतमध्ये सवारीसाधनको उत्सर्जनका कारण समस्या वर्षौंदेखि बढ्दै गएको छ।नेपालको हरितगृह ग्यास उत्सर्जनमा पनि यातायात क्षेत्रको सबैभन्दा ठूलो योगदान रहेको छ। त्यसो भए, यो विद्युतीय मास ट्रान्जिटलाई राम्रो तरिकाले सहरहरूमा जान मद्दत गर्ने माध्यमको रूपमा सोच्ने समय हो। थिगो, महिन्द्रा, वीवाईडी, किया, यामजी, हुन्डाई, टाटा, निसानलगायतका विभिन्न कम्पनीले नेपालमा विद्युतीय सवारीसाधन बिक्री गरिरहेका छन्। तर, आयात घटाउन र आत्मनिर्भरता बढाउन विद्युतीय सवारीसाधनको स्वदेशी उत्पादन स्थापना गर्नु महत्त्वपूर्ण छ। सार्वजनिक सवारीसाधनको विद्युतीकरण अहिलेको आवश्यकता भएको थिगोका प्रबन्ध निर्देशक राजन रायमाझी बताउँछन्। ११ सिटको सार्वजनिक सवारी दैनिक करिब ३ सय किलोमिटर दौडन्छ र करिब ४० लिटर डिजेल खपत गर्छ। यसलाई सजिलैसँग ईभीद्वारा विस्थापित गर्न सकिन्छ, उनी भन्छन्, निजी क्षेत्रले विद्युतीकरण अभियानलाई समर्थन गर्न राम्रो काम गरिरहेको छ तर सरकारी नीति, बैंक र सांसदले निजी यात्रुवाहक सवारीलाई मात्र ईभीको रूपमा हेर्छन्। थिगोले चार्जिङ स्टेसन स्थापना गरेको मूलकोट, सिन्धुली जिल्लाको दोस्रो ठूलो बिजुली खपत गर्ने स्थान भएको छ। हाम्रो नीति र योजनामा स्थिरताको कमीले गर्दा व्यावसायिक ईभीलाई बेवास्ता गरिएको छ, रायमाझी थप्छन्। पछिल्लो वर्षको बजेटले विद्युतीय सवारीसाधनमा अघिल्लो वर्षको तुलनामा भन्सार महसुल बढाएको छ। अघिल्लो बजेटमा प्रदान गरिएको १०० किलोवाटसम्मका सवारीसाधनलाई अन्तःशुल्कमा छुट ५० किलोवाटसम्मका सवारीसाधनमा घटाइएको छ। साथै ५० किलोवाटदेखि १०० किलोवाटसम्मका सवारीसाधनमा १५ प्रतिशत भन्सार र १० प्रतिशत अन्तःशुल्क लगाइएको छ। अघिल्लो वर्षको तुलनामा १०० किलोवाटदेखि २०० किलोवाटसम्मका सवारीसाधनमा भन्सार र अन्तःशुल्क १०१० प्रतिशतले घटाइएको छ र २० प्रतिशतमा झारिएको छ। २०० किलोवाटदेखि ३०० किलोवाटसम्मका सवारीसाधनको भन्सार महसुल ५ प्रतिशतले घटाएर ४० प्रतिशतमा झारेको छ भने अन्तःशुल्क अघिल्लो वर्षको जस्तै ४५ प्रतिशतमा कायम छ। ३०० किलोवाटभन्दा माथिका सवारीसाधनले अझै पनि ६० प्रतिशत कर तिर्नु परेको छ।साथै, चालू बजेटले यसअघि सवारीसाधन निर्माण उद्योगलाई पार्टपुर्जा पैठारीमा दिएको कर छुट हटाइएको छ। यो कदमले नयाँ उद्योग स्थापनालाई निरुत्साहित गर्न सक्ने भएकाले विज्ञहरूमा चिन्ता बढेको छ। विद्युत् उत्पादन बढे पनि सीमित खपतका कारण वर्षायाममा विद्युत् खेर जाने गरेको छ। सन् २०४५ सम्म शून्य कार्बन उत्सर्जन हासिल गर्ने प्रतिबद्धताका साथ सरकारले सबै सवारीसाधनहरू, चाहे आयातित होस् वा स्वदेशमा उत्पादित विद्युतीय हुने दाबी गरेको छ। सरकारले आयात कर बढाउनुको सट्टा स्वदेशी विद्युतीय सवारीसाधन उत्पादनका लागि सहयोगी वातावरण बनाउनेतर्फ ध्यान दिनुपर्ने विज्ञ बताउँछन्।नेपालमा व्यावसायिक ईभीको प्रयोग भर्खरै सुरु भएको छ, तर पछिल्लो समय भन्सार महसुलले उपभोक्ता र निजी सरोकारवालालाई निराश बनाएको छ, रायमाझीले बताए। नेपाल विद्युत् प्राधिकरणले वर्षायाममा हालको वृद्धिसँगै आगामी वर्षहरूमा हिउँदमा विद्युत् खपत बढ्ने प्रक्षेपण गरेको छ। बढ्दो खपत घरायसी बिजुलीको उपयोगले मात्र नभई कलकारखानाको वृद्धि र विद्युतीय सवारीसाधनको प्रयोगले पनि प्रभावित हुन्छ। तसर्थ, सरकारले विद्युतीय सवारीसाधनको उत्पादन र प्रयोग बढाउने प्रयासलाई प्राथमिकता दिनुपर्छ। विद्युतीय सवारीसाधनको उत्पादन विस्तार गरी आन्तरिक उपभोगलाई प्रोत्साहन गरेर पेट्रोलियम पदार्थको आयात घटाउन सकिन्छ। यसले भारतसँगको व्यापार घाटा घटाउन योगदान पुर्याउनेछ र पेट्रोलियम आयात घट्दा वार्षिक २ सय अर्ब रुपैयाँभन्दा बढी बचत हुनेछ। विद्युतीय सवारीसाधनको स्थापनाले प्रविधि हस्तान्तरणमा सहयोग पुर्याउँछ र नेपालमा नवीनतम उच्चस्तरीय प्रविधि पनि भित्रिन्छ। औद्योगिक क्षेत्रमा नयाँ अभ्यासहरू लागू गर्दा अन्य उद्योगहरूमा पनि प्रविधिको महत्त्वबारे चेतना जगाउँछ।विद्युतीकरणका लागि प्रारम्भिक काम दुई र तीनपाङ्ग्र्रे सवारीसाधनमा हुन सक्छ किनभने यसले नेपालको सवारीसाधनको ८० प्रतिशत भाग ओगटेको छ। त्यसपछिका प्रयोग सार्वजनिक बसहरूमा गर्न सकिन्छ, होल्टम्यानले भने। हाल, थिगोले मुख्य रूपमा सार्वजनिक विद्युतीय सवारीसाधनको कारोबार गर्छ। साझा यातायातले चीनबाट ४० विद्युतीय बस आयात गरिसकेको छ तर त्यसमध्ये ६ वटाले मात्रै सेवा दिइरहेका छन्। उपत्यकामा चार्जिङ स्टेसनको अभाव र पूर्वाधारको अन्य सीमितताका कारण करिब ५ सय ६० करोड रुपैयाँमा खरिद गरिएका यी बस बनेपा, ललितपुर र पोखराका पार्किङ स्थलमा अलपत्र पर्न बाध्य भएका छन्। पछिल्लो समय बीपी राजमार्गमा सञ्चालित लामो दूरीका सार्वजनिक यातायातका लागि विद्युतीय माइक्रोबस र भ्यान सञ्चालनमा आएका छन्। तर, यस सम्बन्धमा सरकारी सहयोग र नीति आशाहीन देखिन्छ। यसअघि काठमाडौं उपत्यकाभित्र र बाहिर करिब एक दर्जन सार्वजनिक विद्युतीय बस सञ्चालन गर्दै आएको सुन्दर यातायातले सरकारको सहयोगको अभावले गर्दा केही महिना अघि विद्युतीय बस सेवा बन्द गर्यो। विद्युतीय बस सेवाबन्द गर्ने निर्णय गर्नुको कारण ईभी चार्जिङ स्टेसनको माग शुल्क मिनाहा गर्ने विद्युत् प्राधिकरणको निर्णय कार्यान्वयन गर्न सरकार असफल भएको कम्पनीले जनाएको छ। सन् २०२० देखि विद्युतीय बसहरूको लोकप्रियतामा उल्लेखनीय वृद्धि भएको छ। सन् २०२२ मा विद्युतीय बसको विश्वव्यापी बिक्री लगभग ६६ हजार एकाइ पुगेको छ। यस बजारको प्रमुख शक्ति चीन हो, जसले विश्वव्यापी रूपमा हुने विद्युतीय बस बिक्रीको ८० प्रतिशतभन्दा बढी हिस्सा ओगटेको छ।"
मुद्दा फिर्तामाफीमा सत्ता दुरुपयोग,"अपराधको जात हुँदैन, धर्म हुँदैन। न वर्ण हुन्छ, न त यसको लिङ्ग नै। अपराध अपराध नै हुन्छ। कुनै पनि राज्य सञ्चालनमा विधि र थिति बसाल्न अपराध गर्नेलाई कानुनी सजाय हुनैपर्छ। तर, विडम्बना नै भन्नुपर्छ, मुलुकमा अपराध गर्नेहरू राजनीतिक वा शक्तिको आडमा उन्मुक्ति पाउँदै आएका छन्, त्यो पनि न्यायालयले सजाय तोकिसकेपछि। अर्थात्, जसको शक्ति र सत्ता छ, उसले जे गरे पनि उन्मुक्ति पाउने कार्यले प्रश्रय पाइरहेको छ। यसले एकातिर दण्डहिनतालाई प्रश्रय दिएको छ भने अर्कोतिर, कानुनी राज र लोकतन्त्रलाई गिज्याइरहेको छ। काठमाडौं : सरकारले चाहेको, स्वार्थ गाँसिएको र पहुँच भएकाहरूको मुद्दा कसरी फिर्ता वा माफी हुन्छन् भन्ने यी केही दृष्टान्त हुन्। अदालतले दोषी ठहर गरे पनि सत्ता र शक्तिको आडमा मुलुकमा आममाफी दिने तथा मुद्दा फिर्ता लिने प्रचलन बढ्दै गएको छ। यसले कानुनी शासन र मानवअधिकारका मूल्य मान्यताको खिल्ली उडाउने काम भइरहेको छ। सत्ता र शक्तिको आडमा आफूमाथि आक्रमण गर्नेको मुद्दा फिर्ता लिएको भन्दै उपप्राध्यायक चलाउनेले त अनशन नै सुरु गरेका छन्। तीन वर्षदेखि न्यायको प्रतिक्षामा रहेका उपप्रध्यापक चलाउनेले त्रिवि उपकुलपतिको कार्यालय अगाडि अनशन सुरु गरेका हुन्। त्रिवि समाजशास्त्रका उपप्राध्यापक चलाउने माथि २०७७ वैशाख २० गते सत्तासीन कांग्रेस निकट विद्यार्थी नेताहरूले आक्रमण गरेका थिए। त्यसविरुद्ध जिल्ला अदालतमा मुद्दा पर्यो। तर, ०७९ जेठ ४ गते तत्कालीन महान्यायाधिवक्ता खम्मबहादुर खातीले मुद्दा फिर्ता लिन सकिने राय सरकारलाई दिए। सत्ताको आडमा मुद्दा फिर्ता भयो। आफूले न्याय पाउनुपर्ने भन्दै उपप्राध्यापक चलाउनेले अनशनको बाटो रोजेका हुन्। महान्यायाधिवक्ताको कार्यालय । उपप्राध्यायक चलाउनेमाथि आक्रमण गर्नेको मुद्दा मात्र होइन, हरेक वर्ष बिना अध्ययन सरकारले गम्भीर प्रकृतिका मुद्दा फिर्ता लिने गरेको छ। सरकारका लागि गणतन्त्र दिवस शक्ति र सत्ताको आडामा आममाफी दिनेमुद्दा फिर्ता लिने अवसर बन्न थालेको छ। यसैकारण सरकारप्रतिको जनविश्वास खस्कँदै गएको छ। अभियोगपत्र दायर भएदेखि फैसला र त्यसको परिणामलाई समेत अनदेखा गरी मुद्दा फिर्ता लिनेमाफी दिने गरिएको छ। जसका कारण फौजदारी न्याय प्रशासनमा काम गर्ने निकाय एवं अधिकारीहरूको मनोबल खस्किँदै गएको जानकारहरू बताउँछन्। ट्रान्सपरेन्सी इन्टरनेसनल नेपालका अध्यक्ष पद्मिनी प्रधानांग सत्ता र शक्तिको दुरुपयोग गर्दै मुद्दा फिर्तामाफी दिने गरिएकाले हरेक वर्ष विवाद हुने गरेको बताउँछिन्। सुशासन कायम गर्न राजनीतिक नेतृत्व नै लागेन, प्रधानांग भन्छिन्, कार्यकर्ताको मुद्दा फिर्ता लिने वा माफी दिने प्रवृत्तिले अराजकता निम्त्याउँछ। कानुनी शासनको बर्खिलापमा मुद्दा फिर्ता लिने कार्य भइरहेको छ। सरकारले कोकसका, केकारण र कस्ता प्रकृतिका मुद्दाहरू फिर्तामाफी गरियो भन्ने आधार र औचित्य खुलाउँदैन। जबर्जस्ती करणी, बैंक डकैती, अंगभंग कुटपिट, गोवध, डाँका, कर्तव्य ज्यान, डाँका चोरी जस्ता मुद्दाहरूसमेत फिर्ता लिने गर्छ। नक्कली वा झूटा मुद्दा चलाइएको रहेछ भने मात्र मुद्दा फिर्ता लिने वा माफी दिनुपर्छ, सर्वोच्च अदालतका पूर्वन्यायाधीश बलराम केसी भन्छन्, सत्ता र शक्तिसँग निकट सम्बन्ध भएकाहरूको मुद्दा फिर्ता लिने काम भएको छ। तर, अभियुक्तलाई अन्याय भएको अवस्थामा मात्र मुद्दा फिर्ता लिनुपर्ने हो। केकस्ता मुद्दा फिर्ता लिने वा नलिने भन्ने सम्बन्धमा अन्तिम निर्णय गर्ने अधिकार सरकारको स्वविवेकमा छोड्दा दुरुपयोग बढेको छ। फिर्ता लिने निर्णय कानुनी राय सल्लाह दिने काम महान्यायाधिवक्तालाई मात्र जानकारी दिई गुपचुप निर्णय हुने गरेका छन्। सरकारले गरेका जेजस्ता निर्णयप्रति पनि प्रतिरक्षा गर्ने कानुन व्यवसायीलाई महान्यायाधिवक्ता बनाउने चलन छ। त्यसैकारण महान्यायाधिवक्ताले विवेक प्रयोग नगर्दा जस्ता मुद्दा पनि फिर्ता भइरहेको विज्ञहरू बताउँछन्। महान्यायाधिवक्ताले पनि आफूलाई नियुक्तिका लागि सिफारिस गरेका प्रधानमन्त्रीको गुन तिर्न लाग्छन्। कानुन र संविधानको मनसाय होइन कि प्रधानमन्त्रीको मनसाय हेर्छन्, एक पूर्वमहान्यायाधिवक्ता भन्छन्, महान्यायाधिवक्ताले प्रधानमन्त्रीको कानुनी सल्लाहकार होइन, तामेलदारको भूमिका निर्वाह गरेकैले मुद्दा फिर्तासम्बन्धी कानुनी व्यवस्थाको दुरुपयोग भएको हो। महान्यायाधिवक्ता प्रधानमन्त्रीको सिफारिसमा राष्ट्रपतिबाट नियुक्ति हुने संवैधानिक व्यवस्था छ। प्रधानमन्त्रीले नियुक्ति गर्दा नै आफ्ना निर्णयमा इन्कार गर्ने नभई अक्षरशः कार्यान्वयन गर्नेलाई महान्यायाधिवक्ता बनाउने गर्छन्। महान्यायाधिवक्ताबाट प्रतिरक्षा भइहाल्ने भन्दै सरकारले फौजदारी मुद्दा फिर्ता लिएर दण्डहिनतालाई प्रोत्साहन गरिरहेको छ। कानुनी सल्लाहभन्दा पनि तामेल गर्ने खालका कानुन व्यवसायीलाई नियुक्तिको सिफारिस गर्छन्। तामेलदारबाट के आशा गर्ने ? ती पूर्वमहान्यायाधिवक्ताले प्रश्न गरे। गम्भीर प्रकृतिका मुद्दाहरूमा समेत विषयवस्तुको गम्भीरता नहेरी सरकारले फिर्ता लिएको पाइएको छ। जस्तै उपप्रध्यापक चलाउनेको मुद्दामा तत्कालीन महान्यायाधिवक्ता खम्बबहादुर खातीले मुद्दा फिर्ता लिँदा कानुनको प्रतिकूल नहुने राय दिए। जेठ २९ गतेको मन्त्रिपरिषद् बैठकले उपप्राध्यापक चलाउने विरुद्धको मुद्दा फिर्ता गर्ने निर्णय गरेको महान्यायाधिवक्ता कार्यालयले जनाएको छ। संविधान र कानुनको मर्मविपरीत पञ्चायतकालदेखि गणतन्त्र कालसम्म आफू निकट व्यक्तिको मुद्दा फिर्ता लिने क्रम जारी छ। कतिपय मुद्दा फिर्ता लिए पछि त्यसविरुद्ध अदालतमा मुद्दा परेका छन्। सर्वोच्च अदालतले त्रुटिपूर्ण निर्णयको बदर गरे पनि आदेशमा स्पष्ट मापदण्ड निर्धारण गरेको छैन। पञ्चायतकालमा डीबी लामा अर्थात् दिलबहादुर लामाको भ्रष्टाचारसम्बन्धी मुद्दामा अदालतले दोष्ीा ठहर गर्यो, तर सरकारले मुद्दा फिर्ता लियो। सर्वोच्च अदालतका न्यायाधीश विश्वनाथ उपाध्यायको इजलासबाट अदालतको अनुमतिबिना पक्षले मुद्दा फिर्ता लिन नपाइने फैसला भयो। माफीमिनाहासम्बन्धी संवैधानिक व्यवस्थाबमोजिम उनले माफी पाए। पछि राजनीतिमा लागे र सहायकमन्त्रीसम्म भए। पहिलेपहिले प्रधानमन्त्रीले अनौपचारिक ढंगले महान्यायाधिवक्तासँग कुरा राख्थे। प्रधानमन्त्रीले पेल्न सक्दैनथे, पूर्वमहान्यायाधिवक्ता भन्छन्, अहिले त प्रधानमन्त्रीले जे भन्छन्, हस हजुर भन्ने खालका व्यक्ति छनोट गरी नियुक्ति दिन थालियो। पूर्वगृहसचिव खेमराज रेग्मी महान्यायाधिवक्ताले मुलुक र मुलुकवासीप्रति जिम्मेवार भएर काम गर्नुपर्ने बताउँछन्। संवैधानिक दायित्व निर्वाह गर्न योग्य दिएकाले महान्यायाधिवक्तामा नियुक्त गरिएको हो, रेग्मी भन्छन्, संवैधानिक निकायका पदाधिकारीले अह्राएअनुसार गर्ने हलिगोठाला जस्तो सम्झनु भएन। मातृ दलनै रक्षा कवचत्रिभुवन विश्वविद्यालय, समाजशास्त्र विभागका विभागीय प्रमुखको नियुक्तिलाई लिएर ५२ दिन तालाबन्दी भयो। नेविसंघका विद्यार्थीले गरेको तालाबन्दीको विपक्षमा थिए, उपप्राध्यापक चलाउने। ०७७ असोज २० मा नेविसंघका त्रिवि एकाइ अध्यक्ष हरि आचार्य, सचिव योगेन्द्र रावल, रुपेश शाह, रविनकुमार लामा, निरज रानामगर, सयुज श्रेष्ठ, दीपक ओझालगायतले उपप्राध्यापक चलाउनेमाथि आक्रमण गरे। उनीहरूविरुद्ध ज्यान मार्ने उद्योगअन्तर्गत मुद्दा चलाइएको थियो। भ्रातृ संगठनका विद्यार्थी नेताहरूमाथि ज्यान मार्ने मुद्दा दर्ता भएकाले फिर्ता लिनुपर्ने गरी राय दिन माथिबाट दबाब आयो, महान्यायाधिवक्ता कार्यालय स्रोतले भन्यो, त्यसअनुसार नै राय दिइयो। त्यसैकारण जिल्ला अदालतमा मुद्दा चल्दाचल्दै मन्त्रिपरिषद्को बैठकले जेठ ३० गते मुद्दा फिर्ता लियो।वरिष्ठ अधिवक्ता एकराज भण्डारी सरकारका निर्णयहरू स्वच्छ, निष्पक्ष र न्यायपूर्ण नहुँदा कानुनी शासनको मर्ममा आघात पुग्ने बताउँछन्। अपराधमा राजनीति मिसिएको छ, वरिष्ठ अधिवक्ता भण्डारी भन्छन्, राजनीति अपराधीकरण भएको छ। स्वेच्छाचारी कदम सरकारले लिने मुद्दा फिर्ता र राष्ट्रपतिबाट हुने माफी बर्सेनि विवादित हुने गरेको छ। मुद्दाको किसिम र प्रकृतिको सम्बन्धमा शर्तसहित सरकारले मुद्दा फिर्ता लिन सक्ने संवैधानिक एवं कानुनी व्यवस्था छ। तर, सरकारको निर्णय स्वतः कार्यान्वयन भने हुँदैन। अदालतको सहमतिबिना मुद्दा फिर्ता लिने प्रक्रियाले पूर्णता पाउँदैन। सरकारले निर्णय गरेपछि महान्यायाधिवक्ता वा सरकारी वकिलमार्फत सम्बन्धित अदालतमा मुद्दा फिर्ता लिनुपर्ने कारण र औचित्य सहितको निवेदन दिनुपर्छ। उपप्राध्यापक चलाउनेको मुद्दामा पनि जिल्ला सरकारी वकिल कार्यालय काठमाडौंले निवेदन जिल्ला अदालतमा दिएको छ। सहायक जिल्ला न्यायाधिवक्ता मनिषबाबु पोखरेल मुद्दा फिर्तासम्बन्धी निर्देशिका २०७७ बमोजिम निवेदन दिएका बताउँछन्। महान्यायाधिवक्ता कार्यालय स्रोतले भन्यो, विरोध स्वरूप लगाएको ताला तोडेको कारणबाट विवाद उत्पन्न भएको हो। ज्यान मार्ने नियत होइन। यो पूर्वरिसइवी हो भन्ने तर्क इजलास समक्ष राखिने छ। सरकारी वकिलको निवेदनमाथिको सुनुवाइपछि अदालत सहमत भएमा मात्र मुद्दा फिर्ता हुन सक्छ। अदालतले मुद्दा फिर्ताको आधार, कारण र औचित्य समेतको विचार गरी अनुमति दिन्छ। पूर्वमहान्यायाधिवक्ता सुशील पन्त सरकारले मुद्दा फिर्ता लिने निर्णय गर्नेबित्तिकै पनि मुद्दा फिर्ता नहुने बताउँछन्। महान्यायाधिवक्ताले मुद्दा फिर्ताको सम्बन्धमा विवेक प्रयोग गर्ने हो। कति विवेक प्रयोग गरेको छ भन्ने अदालतले पनि हेर्न सक्छ, पूर्वमहान्यायाधिवक्ता पन्त भन्छन्, अदालतले सहमति नदिई मुद्दा फिर्ता हुँदैन। अदालतमा राजनीतीकरण छछैन त्यो पक्ष जनताले मनन गर्छन्। वरिष्ठ अधिवक्ता भण्डारी राजनीतिक प्रतिशोध लिने उद्देश्यले वैचारिक आस्थाको आधारमा चलाइएका मुद्दाको अन्त्य हुनुपर्ने बताउँछन्। मुद्दा फिर्ताको सवालमा सरकार स्वेच्छाचारी होइन। पूर्ण सतर्क हुनुपर्छ। आग्रहपूर्वाग्रह र पहुँचको भरमा मुुद्दा फिर्ता लिनुहुँदैन, भण्डारी भन्छन् । कस्ता मुद्दा हुँदैन फिर्ता नेपालको संविधान, फौजदारी कसुर (सजाय निर्धारण तथा कार्यान्वयन) ऐन र सरकारी मुद्दासम्बन्धी ऐन २०४९ मा सरकारवादी हुने फौजदारी मुद्दा फिर्ता लिन सक्ने व्यवस्था छ। सरकारी मुद्दासम्बन्धी ऐन २०४९ मा के कस्तो प्रकृतिको मुद्दा फिर्ता लिन मिल्ने वा नमिल्ने भनी स्पष्ट व्यवस्था नहुँदा सरकारले थुप्रै मुद्दाहरू फिर्ता लिएको थियो। मुलुकी फौजदारी कार्यविधि संहिता ऐन २०७४ को दफा ११६ मा फिर्ता लिन नसकिने मुद्दाबारे स्पष्ट व्यवस्था छ। झुट्टा राहदानी वा नागरिकता, अध्यागमन, भ्रष्टाचार, मानव बेचबिखन तथा ओसारपसार वा कारोबारसँग सम्बन्धित मुद्दा फिर्ता लिन नसकिने ऐनमा छ। त्यस्तै वन्यजन्तुको अवैध शिकार तथा व्यापार, सार्वजनिक उपभोगका वस्तुमा विष मिसाइएको, विष प्रयोग गरी वा क्रुर, अमानवीय तवरले वा नियन्त्रणमा लिई ज्यान मारेको, सम्पत्ति शुद्धीकरण, प्राचीन स्मारक संरक्षणसम्बन्धी मुद्दा पनि फिर्ता लिन नसकिने फौजदारी कार्यविधि संहिता ऐनमा उल्लेख छ। त्यस्तै मुलुकविरुद्ध गरिएको जासुसी, हातहतियार तथा खरखजानासम्बन्धी कसुर, आणविक, रासायनिक, जैविक (जीवाणुयुक्त ) वा विषालु हातहतियार उत्पादन वा कारोबारसम्बन्धी मुद्दाहरू पनि फिर्ता गर्न सकिँदैन। विस्फोटक पदार्थसम्बन्धी कसुर, राष्ट्रिय तथा सार्वजनिक सम्पदाविरुद्धका कसुर, मानसिक एवं शारीरिक यातनाजन्य कसुर, बेपत्ता पार्नेसम्बन्धी कसुर, अपहरण तथा शरीर बन्धक, करणीसम्बन्धी कसुर, इलाज (उपचार) सम्बन्धी कसुर, खोटा मुद्रासम्बन्धी कसुरमा पनि फिर्ता नहुने कानुनी व्यवस्था छ। जथाभावी मुद्दा फिर्ता लिनेमाफी दिने कार्यले अराजकता निम्त्याउँछ। कानुनी शासनको बर्खिलापमा छ।पद्मिनी प्रधानांग, अध्यक्ष, ट्रान्सपरेन्सी इन्टरनेसनल नेपाल अभियुक्तलाई अन्याय भएको अवस्थामा मात्र मुद्दा फिर्ता लिने हो। तर, यहाँ त सत्ता र शक्तिको दुरुपयोग गर्दै मुद्दा फिर्ता लिनेमाफी दिने काम भइरहेको छ।बलराम केसी, पूर्वन्यायाधीश  सर्वोच्च अदालत महान्यायाधिवक्ताले सरकारलाई मुद्दा फिर्ताको राय दिँदा विवेक प्रयोग गर्नुपर्छ। विवेक प्रयोग छछैन भन्ने अदालतले हेर्न सक्छ।सुशील पन्त, पूर्वमहान्यायाधिवक्ता"
