शीर्षक,विवरण
"बैंकले बढाए ब्याज, कसको कति ?","काठमाडौं : वाणिज्य बैंकहरूसँग पर्याप्त लगानी योग्य पुँजी हुँदाहुँदै पनि केहीले निक्षेपको ब्याजदर बढाएका छन्। निक्षेप संकलन राम्रै भए पनि गत भदौको तुलनामा असोजमा आठ वाणिज्य बैंकले मुद्दती निक्षेपको ब्याजदर बढाएका हुन्। बाँकी चार बैंकको ब्याजदर तटस्थ छ भने अन्य आठले भने सामान्य घटाएका छन्। बैंकहरूले असोजका लागि ब्याजदर बढेको सूचना आइतबार प्रकाशित गरेका छन्। जसमा बैंकहरूले न्यूनतम ७९९ देखि अधिकतम ११३८ प्रतिशतसम्ममा निक्षेपको नयाँ ब्याजदर कायम गरेका छन्। यद्यपि सञ्चालनमा रहेका २० वाणिज्य बैंकको निक्षेपको औसत ब्याजदर भने न्यूनतम ९८ देखि अधिकतम १०३ प्रतिशत रहेको छ। यसअघि भदौमा पनि समग्र वाणिज्य बैंकको औसत ब्याजदर असोजकै सरह थियो। नेपाल बैंकर्स संघका कार्यकारी निर्देशक अनिल शर्मा अहिले बैंकिङ प्रणालीमा लगानी योग्य पुँजी भए पनि बैंकलाई आफ्नो भइरहेको निक्षेपलाई जोगाउन ब्याजदर बढाउनु परेको बताउँछन्। स्थानीय तहमा जाने ८० प्रतिशत रकम पनि निक्षेपमा गणना गर्न पाउने सरकारले व्यवस्था गरिसकेको छ। उनका अनुसार स्थानीय तहको रकम सबै बैंकलाई बराबर नगई सीमित बैंकमा जाने भएकाले यसले थेग्दैन। तीभन्दा बाहिरका बैंकलाई आफ्नो भइरहेको निक्षेपलाई जोगाउन ब्याजदर बढाउनु परेको उनको तर्क छ। कार्यकारी निर्देशक शर्माले भने, थप कर्जा दिनभन्दा पनि केही बैंकको असोज महिनामा ठूलो मात्रामा निक्षेपको नवीकरण हुने बेला भएको हुन सक्छ। यसैले पनि ती बैंकले प्रणालीमा भएको निक्षेपलाई होल्ड गर्न निक्षेपकर्तालाई आकर्षण गरेर आफ्नो प्रोटोकल मिलाउन यसो ब्याजदर बढाएका हुन्। कतिपय बैंंकको निक्षेप नवीकरण कम भएकाले तिनीहरूले ब्याजदर घटाएका पनि छन्। वाणिज्य बैंकले पछिल्लो समय भद्र सहमति तोडेपछि आफूअनुकूल ब्याजदर घटबढ गर्दै आएका छन्। खुला बजारको सिद्धान्त पनि यही हो। आफू अनुकूल कसैले ब्याजदर बढाउने कसैले घटाउने र कसैले स्थिर राख्ने स्वाभाविक भएको शर्माले औंल्याए। ४ बैंकको स्थिर र ८ को ब्याजदर घट्यो असोजमा निक्षेपको ब्याजदर बढाउने वाणिज्य बैंकमा एभरेस्ट, हिमालयन, नबिल, नेपाल इन्भेस्टमेन्ट मेगा, नेपाल एसबीआई, एनआईसी एसिया, प्राइम बैंक र स्ट्यान्डर्ड चार्टर्ड रहेका छन्। यसमध्ये पनि सबैभन्दा बढी निक्षेपको ब्याजदर तोक्नेमा प्राइम बैंक अगाडि छ। प्राइमले सबैखाले व्यक्तिगत मुद्दती निक्षेपको ब्याजदर ११३५ प्रतिशतसम्म तोकेको छ। यसअघि भदौमा साढे १० प्रतिशतमात्रै थियो। यसैगरी एभरेस्ट र हिमालयन बैंकले मुद्दती निक्षेपको ब्याजदर बढाएर ११०५ प्रतिशत तोकेका छन्। गत भदौमा एभरेस्ट बैंकको अधिकतम १० र हिमालयनको ९९९ प्रतिशत थियो। यस्तै नबिल बैंकको व्यक्तिगत निक्षेपको ब्याजदर भदौमा अधिकतम १०४९ रहेकोमा असोजमा ११०५ प्रतिशत पुर्याइएको छ। मुद्दती निक्षेपको ब्याजदर बढाएको नेपाल इन्भेस्टमेन्ट मेगा र नेपाल एसबीआईको अधिकतम ९९९, एनआईसी एसियाको १०८९ र स्ट्यान्डर्ड चार्टर्डको ब्याजदर न्यूनतम ७९९ देखि अधिकतम ९२९ प्रतिशतसम्म कायम गरिएको छ। यसबाहेकका माछापुच्छे, एनएमबी, प्रभु र सिद्धार्थ बैंकको ब्याजदर तटस्थ रहेको छ। अर्थात् यी बैंकहरूले भने भदौकै मुद्दती निक्षेपको ब्याजदरलाई निरन्तरता दिएका छन्। माछापुच्छे, एनएमबी र सिद्धार्थ बैंकले ९९९ प्रतिशतको अधिकतम ब्याजदरलाई निरन्तरता दिएका छन् भने प्रभु बैंकले १० प्रतिशतलाई नै कायम राखेको छ। यसबाहेकका कृषि विकास, सिटिजन्स, ग्लोबल आईएमई, कुमारी, लक्ष्मी, नेपाल बैंक, राष्ट्रिय वाणिज्य र सानीमा बैंकले भने मुद्दती निक्षेपको ब्याजदर असोजमा घटाएका छन्। भदौको तुलनामा असोजमा मुद्दती निक्षेपको ब्याजदर घटेपछि कृषि विकास बैंकको न्यूनतम ९५१ देखि अधिकतम १००१, सिटिजन्सको १००५, ग्लोबल आईएमईको साढे १०, कुमारीको अधिकतम १०११, लक्ष्मी बैंकको १०, नेपाल बैंकको ९२९ प्रतिशत रहेको छ। त्यसैगरी, राष्ट्रिय वाणिज्यको साढे ९ र सानिमा बैंकको ९९५ प्रतिशत ब्याजदरमा सीमित राखिएको छ। विकास बैंकमा व्यक्तिगत निक्षेपको ब्याजदर घट्यो सबै विकास बैंकहरूले ब्याजदर एकैनासले घटाएका छन्। जसमा व्यक्तिगत निक्षेपको ब्याजदर ११ र संस्थागततर्फको ९ प्रतिशतमा झारेका छन्। भदौमा अधिकतम व्यक्तिगततर्फ १११५ र संस्थागततर्फ ९१५ प्रतिशत ब्याजदर दिएका थिए। अहिले विकास बैंकहरूसँग टन्नै निक्षेप रहेको र थप लगानी पनि नभइरहेकाले ब्याजदर घटाएको डेभलपमेन्ट बैंकर्स संघका निवर्तमान अध्यक्ष प्रद्युम्न पोखरेलले बताए। पोखरेल मुक्तिनाथ विकास बैंकको प्रमुख कार्यकारी अधिकृत (सीईओ) हुन् ।"
काण्डहरू गिजोल्ने कि निखार्ने,"नेतामा पद, प्रतिष्ठा र धन आर्जन प्रमुख छ। त्यसैले ठूला भ्रष्टाचारका काण्डहरूमा ठूला नेताहरू नै संलग्न हुन थाले। विश्वमा काण्डैकाण्डको देश कुन हो भन्दा सायद नेपालको नाम आउँछ। २०४६ सालसम्म त धेरैले केही थाहा पाउँदैनथे। पाए पनि कोही बोल्न सक्दैनथे। कतै बोले आवाज उठाएपछि या त मारिन्थे या त थुनिन्थे। कम्तीमा अंगभंग हुन्थे। यस्ता जे जस्ता काण्ड हुन्थे, सीमित घेराभित्र हुन्थे। जनमानसमा पुग्न पाउँदैनथ्र्यो। अहिलेजस्तो सामाजिक सञ्जाल र सञ्चार जगत् थिएन। धेरै ठूला घटनामात्र बाहिर आउथे। जनता पनि कसैले सुन्ला कि भनेर आपसमा कुरा गर्नसमेत डराउँथे। अचेल त शंकाको भरमा मिडियाले सरकार वा ठूला नेताबारे केही बोल्यो वा लेख्यो भने त्यसैलाई ट्रोल बनाएर सञ्जालभरि फैलाउँछन्। अझै संसद्मा समेत बहस हुने गर्छ। सत्य र यथार्थको खोजीमा होइन, पक्षविपक्षमा सिंगो समाज विभाजित हुन्छ। राजनीतिक दलका कार्यकर्ता हिलो छ्यापाछ्याप गर्छन्। स्वार्थी समूह धमिलो पानीमा माछा मार्न खोज्छन्, मार्छन्। सीमित कार्यकर्ता भएर पनि विचार महान् थियो। अहिले धेरै कार्यकर्ता भएर पनि विचार गौण छ। पद, प्रतिष्ठा र धन आर्जन प्रमुख बनेको छ। राष्ट्रलाई समृद्ध बनाएर आफूलगायत जनतालाई सुखी बनाउने होइन बरु पहिले आफू र आफन्तलाई पद प्रतिष्ठा दिलाएर समृद्ध बनाउने एकसूत्रीय अभियानमा छन्। किनकि राजनीति सेवा नभएर व्यवसाय बन्यो। ठूला भ्रष्टाचारका काण्डहरूमा ठूलाठूला नेताहरू नै संलग्न हुन थाले। तस्कर, दलाल र भ्रष्टाचारीका संरक्षक बन्न थाले। जसले गर्दा आज लोकतन्त्र गणतन्त्र कमजोर मात्र होइन, धरापमा पर्न थालेको छ। जसविरुद्ध लडे, अहिले उनीहरूप्रति आत्मग्लानी हुने अवस्था आउन थालेको छ। धमिजा, लाउडा, वाइडवडी, क्यान्टोनमेन्ट, ३३ किलो सुन, ओम्नी, यती, भुटानी शरणार्थी, बालुवाटार जग्गा, क्विन्टल सुनजस्ता ठूला काण्ड बाहिर आए। यसमा को दोषी, को निर्दाेषी छन् भन्ने छानबिनअनुसन्धानले नै बताउँला। सत्य के हो भने यति ठूला काण्डहरू उच्च पदस्थ राजनीतिक नेतृत्व वा सरकारको प्रत्यक्ष वा अप्रत्यक्ष संलग्नताबिना सम्भव छैन। यस्ता ठूला काण्डहरूको छानबिन सरकारकै मातहतका निकाय वा वर्तमान वा पूर्वसरकारी कर्मचारीबाट गठन गरिएको संवैधानिक निकायबाट हुन सक्दैन। किनकि उनीहरूमा भविष्यमा पद प्रतिष्ठा प्राप्तिको अझै आशा हुन्छ। जसकारण उनीहरू राजनीतिक वा प्रशासनिक नेतृत्वप्रति कठोर बन्न सक्दैनन्। आदेश दिनेले उन्मुक्ति पाउने साना निमुखा र कर्तव्य पालनाको सिलसिलामा आदेशबमोजिम काम गर्ने कर्मचारीमात्र आरोपित हुने अवस्था विद्यमान छ। पुराना काण्डका कुरा गर्न चाहन्नँ। केही समययता केही काण्ड बाहिरिए जसले आमराजनीति तथा जनतामा ठूलो हलचल ल्यायो। भुटानी शरणार्थी काण्डमा पूर्वउपप्रधानमन्त्री, पूर्वगृहमन्त्री तथा बहालवाला सचिवसमेत थुनामा परे र अझै छन्। अदालतमा मुद्दासमेत दर्ता भइसकेको छ तर छानबिनको घेराले अझै माथि राजनीतिक नेतृत्वलाई घोच्न थाल्दा मुद्दा कमजोर हुन्छ कि भने शंका जनमानसमा छ। ललिता निवास जग्गा काण्डमा केही वर्षअघि अख्तियारले पूर्वउपप्रधानमन्त्री, मन्त्रीहरूलाई समेत आरोप लगाई विशेष अदालतमा मुद्दा दर्ता गरेको थियो। अहिले फेरि उक्त काण्ड चर्चामा छ। केही व्यापारी र कर्मचारी पक्राउ गरिएको छ। यस्ता थुप्रै काण्डलाई गिजोलेर होइन, निखारेर जरोमा पुग्नु र दोषीलाई कठोर कारबाही गर्नुपर्छ। ताकि आइन्दा कसैले यस्ता तस्करी गर्ने हिम्मत नगरून्। सर्वाेच्च अदालतले ललिता निवास काण्डमा निर्णयकर्ता पूर्वप्रधानमन्त्रीहरूलाई समेत छानबिन गर्न सक्ने फैसला सुनाए पनि सत्ताको प्रभाव परेको छ। यसरी रातमा उनीहरूको घरमै पुगी साक्षीको रूपमा मात्र देखावटी बयान लिइएको छ। क्विन्टल सुन काण्ड अनुसन्धानकै बाटोमा अल्मलिएको छ। केही थान भरिया समातिए तर मूल र त्यसको नेपाली एजेन्ट पत्ता लागेको छैन। अझ यसबीच दुई हजार केजीभन्दा बढी सुन तस्कर गरिएको आशंका छ। क्विन्टल सुन काण्ड सञ्चारमाध्यमदेखि संसद्सम्म बहसको विषय बनेको छ। सुन पक्रिने काम र अनुसन्धान पनि राजस्व अनुसन्धान विभागले गरेको थियो। सत्ता गठबन्धनका उच्च नेतृत्वकै संलग्नता रहेको भन्ने समाचार आएपछि प्रमुख प्रतिपक्ष दलले यस काण्डलाई उच्चस्तरीय संयन्त्र बनाई छानबिन गर्नुपर्ने माग गर्दै सदन नै अवरुद्ध गर्यो। सरकारले सरकारी संयन्त्रले नै छानबिन गर्न सक्छ भनेर राजस्व अनुसन्धानबाट मुद्दालाई प्रहरी मातहतको केन्द्रीय अनुसन्धान ब्युरोमा पुर्यायो। ब्युरो गृह मन्त्रालय मातहतमा छ भने राजस्व अनुसन्धान केन्द्र प्रधानमन्त्री मातहत छ। प्रमुख प्रतिपक्ष इतिहासकै ठूलो सुनकाण्ड गृह वा अर्थ प्रशासनको संलग्नताबिना हुन सक्दैन भनिरहेछ। सरकारले भने संलग्नता नभएको दाबी गर्छ। अनुसन्धानलाई अन्तिम टुंगोमा पुर्याउँछौं भनिरहेछ। सुन काण्डको छानबिन कसले गर्ने भन्ने सन्दर्भमा संसद्मा प्रमुख प्रतिपक्ष दलले राखेको उच्चस्तरीय न्यायिक छानबिन आयोग गठन गर्नुपर्ने अडानले करिब एक महिनादेखि संसद् चल्न सकेन। सत्ता गठबन्धन दल प्रतिपक्षको प्रस्तावलाई मान्न तयार भएनन्। यतिबेला पनि यो कार्य सीआईबीकै मातहतमा छ। सबै घटना र सन्दर्भका बाबजुद सरकारकै निकायले गर्दै गरेको छानबिनलाई निरन्तरता दिँदै असोज ५ गते न्यायिक आयोग गठन गरी सुन काण्ड छानबिन गर्नेमा सहमति भएको छ। जसले भविष्यमा हुन सक्ने यस्ता काण्डको नियन्त्रण कसरी गर्ने भन्नेबारे पनि ठोस सुझाव लिने भनी लिखित सहमति बनेको छ। बालुवाटार काण्ड उच्चस्तरीय छानबिन आयोगबाट दोषीहरू बाहिर ल्याइएको हो भने कैयौं छानबिन आयोग बिनानिष्कर्ष विघटन पनि भएका छन्। सुन काण्डको सन्दर्भमा पनि इतिहासकै ठूलो काण्ड उच्चस्तरीय आयोग गठन गर्ने माग औचित्यपूर्ण थियो। यति ठूलो तस्करी देशभित्रका मान्छेमात्रको संलग्नता नभई अन्तर्राष्ट्रिय अपराधी तस्करहरूको संलग्नतासमेत भएको सम्भावना देखिएकाले त्यसतर्फ पनि ध्यान दिनु जरुरी देखिन्छ। यस्ता काण्डलाई गिजोलेर होइन, निखारेर जरोमा पुग्ने र दोषीलाई कठोर कारबाही गर्नुपर्छ। ताकि आइन्दा कसैले यस्ता तस्करी गर्ने हिम्मत नगरून्।"
"देशको कला, संस्कृतिलाई जगेर्ना गर्दै मौलिक चाडको गरिमालाई सम्मानजनक बनाऔं : राष्ट्रपति","काठमाडौं : राष्ट्रपति रामचन्द्र पौडेलले परापूर्व कालदेखि चलिआएको रीतिरिवाज, रहनसहन र धार्मिक सहिष्णुताको प्रतिविम्बको रुपमा हरितालिका (तीज) चाड मनाइएको बताएका छन्। हरितालिका (तीज), २०८० को अवसरमा शुभकामना दिँदै उनले नेपाली महिलाहरूले एक सनातन सांस्कृतिक पर्वको रूपमा मनाउने गरेको बताएका हुन्। उनले भने,यस पर्वले धार्मिक तथा सांस्कृतिक महत्त्व बोकेको छ। समाजमा भ्रातृत्व, सदाचार, एकता र सामाजिक सद्भाव कायम गर्न यस पर्वले महत्त्वपूर्ण भूमिका निभाएको छ। परापूर्व कालदेखि चलिआएको रीतिरिवाज, रहनसहन र धार्मिक सहिष्णुताको प्रतिविम्बको रुपमा यो चाड मनाउँदै आइरहेको मैले महसुस गरेको छु। समस्त नारी जाति प्रकृति र सृष्टिका दृष्टिले उच्च स्थानमा पर्दछन्। आदर्शमय सामाजिक वातावरण जीवन्त राख्न, सदाचारयुक्त जीवन शैली अपनाउन तथा देशको कला संस्कृतिलाई जगेर्ना गर्दै आगामी पुस्तालाई हस्तान्तरण गर्न यस्ता मौलिक चाडको गरिमालाई सम्मानजनक बनाई राख्नु अति आवश्यक छ।सन्देशमा भनिएको छ, हरितालिका तीजको मौलिकतालाई कायम राख्दै यसको सांस्कृतिक महत्त्वको जगेर्ना गर्न यो पर्व मनाउने सन्दर्भमा देखिने गरेको भड्किलोपन र खर्चिलोपनलाई हटाउँदै जानु अति आवश्यक रहेको छ। राष्ट्रपति पौडेलले हरितालिका तीजले नेपाली महिलाहरूलाई समाजमा विद्यमान लैंगिक विभेदजातीय विभेद लगायत सबै प्रकारका असमानताहरूको अन्त्य गर्दै समतामूलक समाजको निर्माणतर्फ अग्रसर हुन उत्प्रेरित गर्न सकोस् भन्ने शुभेच्छा व्यक्त गरेका छन्। उनले भने, हरितालिका (तीज) पर्वले हामी सबैमा खुसी र मनोरञ्जन साटासाट गरेर देशका हरेक सार्वजनिक क्षेत्रमा महिलाहरूको समान पहुँचलाई अझ सशक्त रूपमा अघि बढाउन सहयोग पुगोस् भन्ने कामना गर्दै पुन: हरितालिका (तीज) पर्वको शुभकामना प्रकट गर्दछु।"
"मन्त्रीको रहर, विदेश सयर","चालु आर्थिक वर्षको बजेट वक्तव्यमा नेपाल सरकारबाट अनिवार्य रूपमा प्रतिनिधित्व गर्नुपर्ने बाहेक अन्य वैदेशिक भ्रमणलाई निरुत्साहित गरिने उल्लेख भए पनि मन्त्रीहरू अनिवार्य भन्दै विदेश भ्रमणमा गएका हुन्। काठमाडौं : पछिल्लो समय संघीय सरकारका मन्त्रीहरू विदेश भ्रमणमा जाने क्रम ह्वात्तै बढेको छ। चालु आर्थिक वर्षको बजेट वक्तव्यमा नेपाल सरकारबाट अनिवार्य रूपमा प्रतिनिधित्व गर्नुपर्ने बाहेक अन्य वैदेशिक भ्रमणलाई निरुत्साहित गरिने उल्लेख भए पनि मन्त्रीहरू अनिवार्य भन्दै विदेश भ्रमणमा गएका हुन्। बजेट भाषणअघि यस्ता कार्यक्रममा सचिवले देशलाई नेतृत्व गर्ने गरेका थिए। बजेट भाषणपछि व्यवस्था खुकुलो भएसँगै मन्त्रीहरू नै अघि सरेका हुन्। विदेश भ्रमणमा जाने मन्त्रीको सूचीमा अग्रस्थानमै अर्थमन्त्री डा प्रकाशशरण महत आउँछन्। गत जेठ १५ मा बजेट भाषण गरेयता मन्त्री महत, परराष्ट्रमन्त्री एनपी साउद र प्रधानमन्त्री पुष्पकमल दाहाल प्रचण्ड स्वयम् सर्वाधिक विदेश सयरमा गएका छन्। यसअघि पनि कोरोना महामारी र विदेशी मुद्रा सञ्चिति न्यून रहेका बेला सरकारले अत्यावश्यकबाहेक विदेश भ्रमण रोकेको थियो। परिस्थिति खुकुलो बनेसँगै मन्त्रीहरू आफैं सानातिना कार्यक्रम र सम्मेलनमा सहभागिता जनाउन थालेका छन्। बजेट भाषणपछि कुनकुन मन्त्री कहाँकहाँ गए ? जेठ १७ देखि सुरु प्रधानमन्त्रीको भारत भ्रमणमा प्रधानमन्त्री दाहालसहित ६ मन्त्री सहभागी थिए। भ्रमण टोलीमा समावेश मन्त्रीहरूमा परराष्ट्रमन्त्री एनपी साउद, अर्थमन्त्री डा प्रकाशशरण महत, ऊर्जा, जलस्रोत तथा सिँचाइमन्त्री शक्तिबहादुर बस्नेत, उद्योग, वाणिज्य तथा आपूर्तिमन्त्री रमेश रिजाल, भौतिक पूर्वाधार तथा यातायातमन्त्री प्रकाश ज्वाला, कृषि तथा पशुपन्छी विकासमन्त्री डाबेदुराम भुसाल सहभागी थिए। जुन ५ देखि ९ सम्म केन्यामा सम्पन्न संयुक्त राष्ट्रसंघ ह्याबिट्याट एसेम्ब्लीमा सहरी विकासमन्त्री सीता गुरुङ सहभागी भएकी थिइन्। स्विट्जरल्यान्टमा सम्पन्न अन्तर्राष्ट्रिय श्रम सम्मेलनमा श्रम रोजगार तथा सामाजिक सुरक्षामन्त्री शरतसिंह भण्डारी सहभागी भएर फर्केका छन्। यता खेलकुदमा एन्टिडोपिङबारे १८ औं एसियाओसिनिया क्षेत्रीय अन्तरसरकारी वैठकमा सहभागी हुन युवा तथा खेलकुदमन्त्री डिगबहादुर लिम्बू श्रीलंका गएका थिए। चीनमा सम्पन्न १९औं वेस्टर्न चाइना इन्टरनेसनल फेयरमा सहभागी हुने उपप्रधान तथा गृहमन्त्री नारायणकाजी श्रेष्ठ सहभागी भएका थिए। ओमनमा सम्पन्न गैरआवासीय नेपाली संघको ८ औं मध्यपूर्वी क्षेत्रीय सम्मेलनमा उपप्रधान तथा रक्षामन्त्री पूर्णबहादुर खड्का प्रमुख अतिथिको रूपमा सहभागी रहँदा श्रम रोजगार तथा सामाजिक सुरक्षामन्त्री भण्डारी पनि सहभागी थिए। विदेश भ्रमणमा जाने मन्त्रीमात्र छैनन्। संयुक्त राष्ट्रसंघ आर्थिक तथा सामाजिक परिषद्को आयोजनामा सम्पन्न दिगो विकासका लागि उच्च्स्तरीय राजनीतिक मञ्चमा राष्ट्रिय योजना आयोगको उपाध्यक्ष डा मीनबहादुर श्रेष्ठ सहभागी रहे। चीनमा सम्पन्न फोरम अन ग्लोबल एक्सन फर सेयर्ड डेभलपमेन्टमा पनि राष्ट्रिय योजना आयोगको उपाध्यक्ष श्रेष्ठ नै सहभागी भएका थिए। ऊर्जा जलस्रोत तथा सिँचाइमन्त्री शक्तिबहादुर बस्नेतले संयुक्त अरब इमिरेट्समा सम्पन्न अन्तर्राष्ट्रिय सौर्य गठबन्धनको क्षेत्रीय समितिको ५ औं वैठकमा नेपालको प्रतिनिधि गर्दा अजरबैजानमा सम्पन्न असंलग्न राष्ट्रहरूको मन्त्रिस्तरीय बैठकमा नेपालको नेतृत्व परराष्ट्रमन्त्री साउद गरेका थिए। कोरियामा सम्पन्न २०२३ ग्लोबल साइमौल अनडोङ मिनिस्ट्रियल मिटिङमा संघीय मामिला तथा सामान्य प्रशासनमन्त्री अमनलाल मोदी सहभागी रहे। जापानमा सम्पन्न उच्चस्तरीय जाइका अफिसियल वैठकमा भौतिक पूर्वाधार तथा यातायातमन्त्री प्रकाश ज्वाला सहभागी भएर फर्केका छन्। थाइल्यान्डमा सम्पन्न चौथो बहुभाषिक शिक्षाबारे चौथो उच्चस्तरीय नीतिगत मञ्च तथा भाषा र शिक्षाबारे ७ औं अन्तर्राष्ट्रिय सम्मेलनमा शिक्षा, विज्ञान तथा प्रविधि राज्यमन्त्री प्रमिला कुमारी सहभागी बनिन्। भारतमा सम्पन्न तेस्रो जी २० अर्थमन्त्रीस्तरीय वैठकमा अर्थमन्त्री महत सहभागी भएर फर्के। थाइल्यान्डमा सम्पन्न बिमस्टेक परराष्ट्र मन्त्रीहरूको रिट्रिटमा परराष्ट्रमन्त्री साउद उपस्थित भएका थिए। प्रधानमन्त्री नेतृत्वको प्रतिनिधिमण्डल इटलीमा सम्पन्न संयुक्त राष्ट्रसंघ खाद्य प्रणाली २०२३ स्टकटेकिङ मुमेन्टमा सहभागी बनेर फर्कियो। टोलीमा कृषिमन्त्री भुसाल पनि सहभागी थिए। साउन ३१ देखि भदौ ३ सम्म चीनमा सम्पन्न ७ औं दक्षिण एशियाली एक्स्पोजिसन र २७औं चीन आयात निर्यात मेलामा उपराष्ट्रपति रामसहायप्रसाद यादव सहभागी थिए। यसैगरी भदौ ५ र ६ः थाइल्यान्डमा सम्पन्न उच्चस्तरीय युरो एसिया रिजनल रिभ्यु अन भियना प्रोग्राम अफ एक्सन अफ एलएलडीसीमा उद्योग, वाणिज्य तथा आपूर्तिमन्त्री रमेश रिजालले सहभागिता जनाए। यस्तै भदौ ५ देखि ७ सम्म क्यानडामा आयोजित विश्व वातावरण सुविधाको ७ औं सभामा अर्थमन्त्री उपस्थित रहे। भदौ १५ देखि १६ सम्म स्विजरल्यान्डमा सम्पन्न कोअपरेसन इन फाइनान्सिङ, सोसिअल, हुमानिटेरियन, पीपीपी एन्ड ग्रीन प्रोगाम लगानी सहकार्य विषयक कार्यक्रम कर्णाली प्रदेशका मुख्यमन्त्री राजकुमार शर्मा सहभागी भएका थिए। सेडुलमा छन् यी भ्रमण संयुक्त राष्ट्रसंघको ७८औं महासभामा सहभागी हुने प्रधानमन्त्री नेतृत्वको प्रतिनिधिमण्डल शनिबार अमेरिका उडेको छ। टोलीमा परराष्ट्रमन्त्री साउद सामेल छन्। प्रधानमन्त्री अमेरिकाबाटै चीन हुँदै नेपाल आउनेछन्। चीन भ्रमण असोज ६ देखि ८ का लागि तय भएको छ। यसैगरी असोज ८ र ९ गते इजिप्टमा हुने एसियाली पूर्वाधार लगानी बैंकको बोर्ड अफ गभर्नर्सको ८ औं वार्षिक बैठकमा अर्थमन्त्री महतले सहभागिता जनाउनेछन्। सोही अवधिमा चीनमा आयोजना हुने ग्लोबल सस्टेनेबल ट्रान्स्पोर्ट फोरम २०२३ मा भौतिक पूर्वाधार तथा यातायात राज्यमन्त्री नन्दा चपाईंले नेपालको प्रतिनिधित्व गर्नेछिन्। इजिप्टमा हुने जनसंख्या, स्वास्थ्य र शिक्षाको ग्लोबल कंग्रेसः स्वास्थ्य तथा जनसंख्यामन्त्री मोहन बस्नेतले सहभागिता जनाउने कार्यक्रम तय भएको छ भने मोरक्कोमा आयोजना हुने विश्व बैंक समूह र अन्तर्राष्ट्रिय मुद्रा कोषको संयुक्त वार्षिक बैठकमा फेरि अर्थमन्त्री महत जानेछन्। यता मन्त्रिपरिषद्को बैठकले चीनमा आयोजना हुने १९औं एसियाली खेलकुदमा युवा तथा खेलकुद मन्त्री लिम्बूको भ्रमण स्वीकृत गरेको छ। श्रीलंकामा हुने एशियाली संसदमा लंगिक समानतामा समावेशीता तथा विविधता विषयक कार्यक्रममा शिक्षा, विज्ञान तथा प्रविधि राज्यमन्त्री कुमारीले सहभागिता जनाउने छिन्। यसैगरी कात्तिक ७ देखि ९ सम्म मलेसियामा आयोजना हुने एसियाको वातावरणीय दीगो यातायातबारे १५ औं उच्चस्तरीय मञ्च सहरी विकास मन्त्री गुरुङले नेपालको प्रतिनिधित्व गर्नेछिन्। सरकारी टोलीमा सहभागी भई विदेश भ्रमणमा जाने टोलीमा मन्त्रीले दैनिक २ सय ५०, सचिवहरूले दैनिक २ सय २५ तथा सहसचिवहरूले १ सय ७५ डलर दैनिक भ्रमण भत्ता पाउने कानुनमा व्यवस्था छ।"
आजबाट पुन : ३४ पृष्ठको राहदानीका लागि आवेदन खुला,काठमाडौं : राहदानी विभागले आजबाट ३४ पृष्ठको राहदानीका लागि आवेदन खुला गरेको छ। राहदानी विभागले सूचना निकालेर अनलाइन फारम भर्ने सेवाग्राहीले ३४ पृष्ठ राहदानी छनोट गरी आवेदन दिन अनुरोध गरेको छ। ३४ पृष्ठको राहदानीको अभावले गत असारदेखि विभागले ६६ पृष्ठको वितरण गर्दै आएको थियो। ३४ पृष्ठको लागि ५ हजार र ६६ पृष्ठको १० हजार रुपैयाँ शुल्क लिने गरेको विभागले ३४ पृष्ठको राहदानी सकिएपछि ५ हजारमै ६६ पृष्ठको राहदानी वितरण गरिरहेको थियो।
