शीर्षक,विवरण
विदेश भ्रमणको बोझिलो रहर,"मुलुकमा विदेशी मुद्राको सञ्चिति १५ खर्ब ७३ अर्ब रुपैयाँ भएको छ । यो साउनसम्मको तथ्यांक हो । यसले देशलाई चाहिने अत्यावश्यक सामग्री किन्न डेढ वर्षलाई धान्छ । त्यसको आधार भनेको साउनमै भएको आयातको मात्रा हो । तर जथाभावी खर्च गर्न थालियो भने त त्यतिका समयलाई पुग्दैन, क्रय क्षमता घट्छ नै । यसअघि विदेशी मुद्राको सञ्चितिमा ह्रास आएपछि सरकारले विलासिताका वस्तुलगायतको आयातमा कडाइ गर्नु परेको थियो । त्यसो त अर्थमन्त्री डा प्रकाशशरण महतले बजेट भाषणमार्फत सरकारी पदाधिकारी र अधिकारीहरूको विदेश भ्रमणमा पनि कडाइको नीति अख्तियार गर्ने बताएका थिए । उनले अनिवार्य प्रतिनिधित्व गर्नुपर्ने बाहेक वैदेशिक भ्रमणलाई निरुत्साहित गरिने सुनाएका पनि हुन् । व्यवहार भने ठीक उल्टो देखिएको छ, अनावश्यक विदेश भ्रमणमा मन्त्रीहरूको लर्काे लाग्ने गरेको छ । ती त सब भन्ने कुरा न हुन् शैलीमा उनै डा महत आफैं सर्वाधिक विदेश भ्रमण गर्ने मन्त्रीको सूचीमा दर्ज भएका छन् । अनावश्यक तर बहाना बनाएर विदेश सयर गर्नेमा उपप्रधान तथा रक्षामन्त्री पूर्णबहादुर खड्का, उपप्रधान तथा गृहमन्त्री नारायणकाजी श्रेष्ठ, परराष्ट्रमन्त्री एनपी साउद, ऊर्जा, जलस्रोत तथा सिँचाइमन्त्री शक्तिबहादुर बस्नेत, उद्योग, वाणिज्य तथा आपूर्तिमन्त्री रमेश रिजाल, भौतिक पूर्वाधार तथा यातायातमन्त्री प्रकाश ज्वाला, कृषि तथा पशुपन्छी विकासमन्त्री डा बेदुराम भुसाल, सहरी विकासमन्त्री सीता गुरुङ, श्रम रोजगार तथा सामाजिक सुरक्षामन्त्री शरत्सिंह भण्डारी र युवा तथा खेलकुदमन्त्री डिगबहादुर लिम्बू छन् । प्रधानमन्त्री स्वयं विदेश भ्रमणमा रमाइरहेका छन्, जब कि संयुक्त राष्ट्रसंघीय महासभा सरकार प्रमुख नै नगई नहुने कार्यक्रम होइन, दाहाल अहिले त्यहाँ छन् । उत्तरी छिमेकी चीनले बोआओ सम्मेलनमा दिएको निम्तो लत्याएर अहिले अमेरिकाबाट सीधैं चीन हानिने उनको भ्रमणको लक्ष्य खास छैन । खेलकुदको एउटा कार्यक्रमको बहाना जो पाएका छन् र भनेका छन् चीन भ्रमण । विदेश भ्रमणमा जाँदा मन्त्री र कर्मचारीहरूलाई दैनिक भत्ता डलरमा दिइन्छ । जति मन्त्रीहरूको विदेश भ्रमण त्यति नै धेरै शक्तिशाली मुद्रा डलर खर्च हुने हो । उपलब्धिबिनाका भ्रमण मन्त्रीहरूको व्यक्तिगत सोखमात्रै हुन् । विदेश भनेपछि मरिहत्ते गर्ने उनीहरूको मनमौजी प्रवृत्तिले राज्यको ढुकुटीमा नोक्सानी परिरहेको छ । अहिले देशको अर्थतन्त्रमा मन्दी छ । सार्वजनिक खर्च धान्न मुस्किल छ । अर्थतन्त्र उकास्ने उपाय खोज्ने मूल कर्तव्यलाई पन्छाएर स्वयं अर्थमन्त्रीबाट गलत बाटो समातिनु मुलुकका लागि दुर्भाग्य हो । प्रधानमन्त्री पनि विदेश सोझिनु र आफ्नो राजनीतिक दुनो सोझ्याउने उपायमात्रै खोज्नु झन् ठूलो विडम्बना हो । यस्ता अनावश्यक भ्रमण र खर्चमा स्वयं उनीबाट लगाम कसिनुपर्छ । महँगो रहर उनीहरूले त्याग्नैपर्छ ।"
पर्यटन उद्योग बचाऔं,"पर्यटन उद्योगको वर्तमान अवस्था नाजुक छ। नाकाबन्दी र भूकम्पले थला पारेको पर्यटन उद्योगलाई कोभिड१९ ले उठ्नै नसक्ने अवस्थामा पुयायो। पोखरामा अन्तर्राष्ट्रिय विमानस्थल निर्माण सम्पन्न भएपछि पर्यटकको आगमन बढ्ने विश्वासमा पर्यटकीय पूर्वाधारमा अर्बौं लगानी थपियो। तर, अहिलेसम्म व्यावसायिक रूपमा नियमित अन्तर्राष्ट्रिय उडान हुन सकिरहेको छैन। स्तरोन्नति हुँदै गरेको पृथ्वी राजमार्गको कारण पनि यात्रुलाई अर्को सकस छ। पर्यटकीय पूर्वाधारको संख्याको तुलनामा पर्यटकको आगमन न्यून छ। गण्डकी प्रदेशमा पर्यटन उद्योगमा ७ खर्ब जति लगानी छ। पोखरामा मात्र ६ खर्ब जति लगानी छ। हामी पर्यटनबाटै भविष्य देखेर यसैमा लागिरहेका छौं। सरकारले व्यवसायीसँग सहकार्य गर्दै पर्यटन प्रवद्र्धनको काम गर्नुपर्छ। हवाई उडानबाट हो धेरै पर्यटक आउने। नेपाल आउने हवाई भाडा धेरै महँगो छ। पर्यटन विकासका लागि भारतीय, चिनियाँ र बंगलादेशमा पर्यटक भिœयाउने योजना बनाएर प्रवद्र्धनको कार्यक्रम गर्न सकिन्छ। यसो गर्न सकियो भने विश्वकै दुई ठूलो (अर्बाैंको) जनसंख्या भएका भारत र चीनका पर्यटकको आगमन बढ्ने र पर्यटन उद्योगले फड्को मार्छ। ती देशबाट ०५ प्रतिशतमात्र पर्यटक आउने हो भने पनि धान्न सक्दैनौं। कोरोना अघिजस्तै व्यवसायीले अब पनि ६७ प्रतिशतमा झार्नुपर्छ। १६ प्रतिशतसम्म भएकाले व्यवसायीले गरगहना बेचेर, ऋण धन गरेर ब्याज र साँवा तिर्न कोसिस गरे र तिरे पनि। त्यसरी सधैंभरि तिर्न सक्ने कुरा भएन। अहिले व्यवसायी पनि पलायन भएको अवस्था छ। मजदुर विदेश पलायनका कारण दक्ष जनशक्तिको अहिले अभाव छ। होटल रेस्टुरेन्टका लागि आवश्यक सेफ, कुक, राम्रो क्याप्टेन पाइँदैन। राम्रा दक्ष जनशक्ति बिदेसिए। पर्यटन उद्योगमा वर्तमानमा जेजस्ता समस्या भए पनि नेपालको भविष्य पर्यटनमै छ। यसको विकल्प छैन। (श्रेष्ठ पोखरा पर्यटन परिषद्का अध्यक्ष हुन्।)"
अर्थतन्त्र भित्रभित्रै खोक्रो,"रेमिट्यान्सका कारण मात्रै देखिन्छ सबल , सरकारको आम्दानी र खर्च दुवै निराशाजनक काठमाडौं : बृहत्तर अर्थतन्त्रका परिसूचकले देशको अर्थतन्त्र निकै सबल अवस्थामा रहेको देखाउँछन्। शोधनान्तर स्थिति बचतमा छ, अर्थात् देशबाट बाहिरिने रकमभन्दा भित्रिने रकम करिब ३३ अर्ब बढी छ। आयातमा कमी आएको छ। अर्कातर्फ सरकारले १ खर्ब ५४ अर्ब २३ करोड रुपैयाँ आम्दानी गरेर १ खर्ब ३१ अर्ब १४ करोड रुपैयाँ खर्च गरेको छ। मासिक रूपमा हेर्दा वैदेशिक रोजगारीमा जानेले इतिहासकै बढी पैसा स्वदेश पठाइदिएका छन्। देशले वस्तु तथा सेवा आयात गर्दा तथा नेपालीहरू विदेश लैजाँदा हुने खर्च सबै रेमिट्यान्सले धानिदिएको छ। जसकारण देशको विदेशी विनिमय सञ्चिति टम्मै छ। सरकार ढुकुटीमा इतिहासकै बढी डलर जम्मा गरेर बसेको छ। अघिल्लो आर्थिक वर्षमा भएको शोधनान्तर घाटा गत आवमै पूर्ति भई बचत हुन थालेको छ। गत वर्ष आम्दानीभन्दा खर्च बढी भए पनि चालु आवको २ महिना बित्दा सो बजेट घाटाको घाउ विस्तारै पुरिन थालेको छ। तर, के अर्थतन्त्र सबल हुनुको अर्थ देशका नागरिकमा पनि आफ्नो स्तर बढेको महसुस भयो भन्नु हो त ? इतिहासमा चर्चित अर्थशास्त्रीहरूले देशको अर्थतन्त्र मोटाउनु र नागरिकले विकासको अनुभूति गर्नु फरक विषय रहेको जिकिर गरेका छन्। बृहत्तर अर्थतन्त्रमा देखिएको सुधारले सूक्ष्म अर्थतन्त्रलाई विरलै समेट्ने गरेको छ। भित्रभित्रै खोक्रो नेपालको वर्तमान आर्थिक परिस्थितिले अर्थतन्त्र सबल बनेको देखाए पनि आमनागरिक, व्यवसायी तथा प्रत्यक्ष र परोक्ष रूपमा सामेल सरोकारवालामा सबलता महसुस नभएको देखिन्छ। बजारमा खाली सटर छ्यापछ्याप्ति देखिन थालेका छन्। यस्तो हुन थालेको ६ महिना बित्न लागिसक्यो। आमनागरिकबाट वस्तुको माग छैन, व्यवसायीहरू पनि लगानी बढाउन कन्फिडेन्ट छैनन्। पैसाको मुभमेन्ट नहुँदा अर्थतन्त्र चलायमान हुन नसकेको हो। ऋणको माग बढ्न सकेको छैन। नयाँ उद्योग स्थापना नहुँदा रोजगारी सिर्जना हुने त कुरै भएन। बैंकहरूसँग लगानीयोग्य रकम पर्याप्त भए पनि ऋणको माग सोचेअनुरूप छैन। उनीहरू ब्याजदर बढाएरै सकेसम्म धेरै बचत जोहो गर्नतर्फ उन्मुख भइरहेका छन्। उद्योगको उत्पादन र उत्पादकत्व पनि जहीँको तहीँ छ। सूक्ष्म अर्थतन्त्र बिरामी परिसके पनि बृहत्तर अर्थतन्त्र रेमिट्यान्सको भरमा थेगिएको छ। अर्कातर्फ अर्थतन्त्रलाई चलायमान बनाउने सेयर र घरजग्गा कारोबार पनि शिथिलता आएको छ। लगानीकर्ताले अर्बौं नोक्सानी बेहोरिरहेका छन्, कोहीकोहीचाहिँ बैंकको ब्याजदर तिरेरै सबल भविष्यको आशामा बसेका छन्। आर्थिक गतिविधिलाई टेवा पुयाउने पर्यटन क्षेत्रमा पनि चहलपहल छैन। अर्थतन्त्रमा शिथिलता आएको प्रमाण कर्जाको किस्ता तिर्न नसकेर कालोसूचीमा पर्नेहरूको संख्या पनि हो। हरेक दिनका पत्रपत्रिका बंैकहरूका ३५ दिने र लिलाम बढाबढका सूचनाहरूले भरिएका छन्। सहकारी, लघुवित्तको बेथिति उदांगिन थालेको छ। सरकारलाई यी परिस्थितिको मतलब नभएको संकेत देखिन्छ। मन्त्रीहरू विदेश दौडाहामा छन्। देशलाई विदेशी मञ्चमा बलियो देखाउने हेतुमा छन्। र, खोक्रोपन लुकाएर राम्रा तथ्यांक प्रस्तुत गरिरहेका छन्। अंग्रेजीमा यस्तो गर्नुलाई सुगरकोटिङ भनिन्छ। नागरिकमा मन्दी छाउँदा सरकारको चिन्ता उति देखिँदैन। बजेट कार्यान्वयन गर्ने तथा परियोजनालाई सम्पन्न गर्नेभन्दा सरकार जोगाउनमै ध्याउन्न छ। दिनानुदिन भ्रष्टाचारी, ठगी, तस्कर, अपराधीका नयाँ घटना सार्वजनिक भइरहेका छन्। र, यस्ता गतिविधि जोडिन्छन् तिनै हाइप्रोफाइल व्यक्तिहरू। नागरिकमा उत्साह छैन भन्ने प्रमाण उच्चशिक्षा र रोजगारीका लागि युवाहरू बिदेसिने होडबाट पनि दिन सकिन्छ। वार्षिक ८ लाख युवा काम र शिक्षाको खोजीमा बिदेसिन थालेका छन्। देशभित्र पनि ठाउँठाउँका सटरमा टुलेट देखिन थालेका छन्। रोजगारदाताले श्रमिकलाई भनेको बेलामा महिना पुग्नेबित्तिकै दिन सकेका छनैन्। भाडा तिर्न नसकेर साना व्यवसायी भागेपछि घरबेटीहरूले काठमाडौं महानगरपालिकालाई गुहारेको घटना सार्वजनिक भएकै धेरै भइसक्यो। उद्योगी व्यवसायीको पीडा उस्तै छ। उच्च ब्याजदर, नगद प्रवाहमा भएको समस्या, उत्पादनमा कमी, लगानीको योजना स्थगन, अर्थतन्त्रको समग्र बजार मागमा कमी आएको छ। सोही कारण अर्थतन्त्र मन्दीमा छ, निजी क्षेत्रको मनोबल घट्दो छ। अनधिकृत व्यापार स्वदेशी उद्योग एवं सरकारका लागि अर्को खतराको कारक बनिरहेको छ। अवैध व्यापारका कारण एकातिर राज्यले राजस्व गुमाइरहेको छ भने अर्कोतिर स्वदेशी उद्योगहरू प्रभावित भइरहेका छन्। रेमिट्यान्सका कारण देखिन्छ सबल नेपाल राष्ट्र बैंकले सार्वजनिक गर्ने देशको वर्तमान आर्थिक तथा वित्तीय स्थितिअनुसार रेमिट्यान्सका कारण विदेशी मुद्राको ढुकुटीबाहेक अन्य पक्ष कमजोर नै छन्। मूल्यवृद्धि आकासिँदो छ, उपभोग घट्नाले आयात र राजस्व दुवै खुम्चिएका छन्। उत्पादन घट्नाले निर्यातमा ह्रास आएको छ। बैंकबाट प्रवाह हुने कर्जा र प्राप्त हुने खुम्चिएको छ। साउनको आयात गत साउनको भन्दा १६ प्रतिशतले र निर्यात ८७ प्रतिशतले घटेको छ। आयात घट्दा व्यापार घाटा ०७ प्रतिशतले घट्नु सकारात्मक पक्ष हो। तर, रेमिट्यान्सले थेगेको उपभोगमुखी अर्थतन्त्रमा आयात घट्नुले उपभोक्ताको माग खुम्चिएको संकेत गर्दछ। यसबीच इतिहासकै बढी रेमिट्यान्स प्राप्त भएको छ। साउन १ खर्ब १६ अर्ब रुपैयाँ रेमिट्यान्स भित्रिनु देशबाट अध्ययन र रोजगारीका नाममा युवाहरू बाहिरिनुको नतिजा हो। रेमिट्यान्स अघिल्लो वर्षको साउनको तुलनामा २५८ प्रतिशत बढी हो। यस अवधिमा चालु खाता १२ अर्ब ९९ करोडले बचतमा रहेको छ भने शोधनान्तर स्थिति (देश भित्रिने र बाहिरिने रकमको अन्तर) ३२ अर्ब ९० करोडले बचतमा छ। इतिहासमै बढी रेमिट्यान्स आउँदा विदेशी विनिमय सञ्चिति १५ खर्ब ७३ अर्ब १२ करोड पुगेको छ। जुन सञ्चितिले १२५ महिनाको वस्तु आयात र १०३ महिनाको वस्तु तथा सेवा आयात धान्न पर्याप्त रहने देखिन्छ। तर, बैंक तथा वित्तीय संस्थाको निक्षेप संकलन १ महिनामा २३ प्रतिशतले घटेको छ र निजी क्षेत्रमा प्रवाहित कर्जा ०१ प्रतिशतले घटेको छ। अर्कातर्फ वार्षिक बिन्दुगत आधारमा उपभोक्ता मूल्य सूचकांकमा आधारित मुद्रास्फीति ७५२ प्रतिशत छ। जबकि चालु आर्थिक वर्ष यस्तो दर ६५ प्रतिशतमा सीमित राख्ने सरकारको लक्ष्य छ। खाद्य तथा पेय पदार्थ समूहअन्तर्गत मरमसला उपसमूहको वार्षिक बिन्दुगत उपभोक्ता मूल्य सूचकांक ४५५६ प्रतिशत, खाद्य तथा खाद्यजन्य पदार्थको १३२० प्रतिशत, दुग्ध पदार्थ तथा अण्डाको १२१९ प्रतिशत, रेष्टुरेन्ट तथा होटलको ११०५ प्रतिशत र तरकारीको १०८० प्रतिशतले बढेको छ। तर, घ्यू तथा तेल उपसमूहको वार्षिक बिन्दुगत मूल्य सूचकांक १५१३ प्रतिशतले घटेको छ। उस्तै थियो बितेको आर्थिक वर्ष आर्थिक वर्ष २०७९८० को वार्षिक तथ्यांकअनुसार रेमिट्यान्स २१ प्रतिशतले बढेको थियो। गत आवमा १२ खर्ब २० अर्ब ५६ लाख रुपैयाँ रेमिट्यान्स नेपाल भित्रिएको थियो। शोधनान्तर स्थिति, विदेशी मुद्राको सञ्चितिको अवस्था अत्यन्त सकारात्मक थियो। वर्षको शोधनान्तर बचत २ खर्ब ९० अर्ब ५२ करोड थियो। सो बचतले अघिल्लो आवमा भएको २ खर्ब ५५ अर्बको घाटा पूर्ति गरिसकेको छ। २०७९ असार मसान्तसम्ममा कुल विदेशी विनिमय सञ्चिति १२ खर्ब ८० करोडमा रहेकामा २०८० असार मसान्तमा बढेर १५ खर्ब ३९ अर्ब ३६ करोड पुगेको थियो। मुद्रास्फीति, चालु खाता घाटा र प्रत्यक्ष वैदेशिक लगानीको अवस्था भने कमजोर थियो। सरकारले गत आर्थिक वर्ष मुद्रास्फीति ७ प्रतिशतमा राख्ने लक्ष्य लिए पनि असार मसान्तमा ७७४ प्रतिशत थियो। आयात १६१ र निर्यात २११ प्रतिशतले घटेको थियो। प्रत्यक्ष वैदेशिक लगानी ५ अर्ब ९६ करोडमा सीमित भयो। सरकारको आम्दानी र खर्च दुवै निराशाजनक चालु आर्थिक वर्षको २ महिना बित्दा जम्मा साढे ७ प्रतिशत बजेट खर्च भएको छ। चालु आवमा १७ खर्ब ५१ अर्ब रुपैयाँ खर्च गर्ने लक्ष्य राखेको सरकारले भदौ मसान्तसम्म १ खर्ब ३१ अर्बमात्र खर्च गर्न सकेको हो जुन लक्ष्यको ७४९ प्रतिशत हो। जसमध्ये चालुतर्फ ११ खर्ब ४२ अर्ब रुपैयाँ खर्च गर्ने लक्ष्य राखिएकामा ७६८ प्रतिशत र पुँजीगततर्फ ३ खर्ब २ अर्ब खर्च गर्ने लक्ष्य राखिएकामा २७ प्रतिशतमात्र खर्च भएको छ। वित्तीय व्यवस्थातर्फ लक्ष्यको साढे ११ प्रतिशत अर्थात् ३५ अर्ब खर्च भइसकेको छ। खर्चमात्र होइन, सरकारले आम्दानी पनि सोचअनुसार गर्न सकेको छैन। २ महिना सकिँदा वार्षिक लक्ष्यको १०४७ प्रतिशत आम्दानी भएको छ। वर्षभर १४ खर्ब ७२ अर्ब रुपैयाँ आम्दानी गर्ने सरकारको लक्ष्यमध्ये हालसम्म १ खर्ब ५४ अर्ब उठेको छ। राजस्वतर्फ लक्ष्यको ९९२ प्रतिशत अर्थात् १ खर्ब ४१ अर्ब संकलन भएको छ जसमध्ये कर राजस्वको प्रगति ९८ प्रतिशत रहँदा गैरकरको प्रगति ११२१ प्रतिशत छ। सरकारले हालसम्म एक रुपैयाँ पनि अनुदान प्राप्त गर्न सकेको छैन। यस अवधिमा १३ अर्ब रुपैयाँ अन्य आम्दानी गरेको छ। निजी क्षेत्रलाई ढाडस दिएर अमेरिका उडेका थिए प्रचण्ड प्रधानमन्त्री पुष्पकमल दाहाल यतिबेला अमेरिका भ्रमणमा छन्। शनिबार अमेरिका उड्नुअघि नै प्रधानमन्त्री दाहालले सरकारले चालु आर्थिक वर्षको बजेटमार्फत अर्थतन्त्रको सवलीकरणका लागि सुधारात्मक कदमको सुरुआत गरेको पनि बताएका थिए। आर्थिक विकासबाट मुलुकलाई समृद्ध हुँदै बलियो राष्ट्रको रूपमा अगाडि बढाउनुपर्ने अहिलेको आवश्यकता रहेको प्रधानमन्त्री दाहालको भनाइ छ। निजी क्षेत्रको सहयोगमा औद्योगीकरण, उत्पादन वृद्धि, स्वदेशी वस्तु तथा सेवाहरूको गुणस्तर वृद्धि तथा निर्यात प्रवद्र्धन गर्दै अर्थतन्त्रको सवलीकरण हुने विश्वास सरकारले लिएको जिकिर उनको छ। निजी क्षेत्रसँगको सहकार्यबाट नै दिगो विकास हासिल गर्न सकिन्छ भन्नेमा म स्पष्ट छु। यसका लागि वर्तमान सरकार निजी क्षेत्रसँग प्रभावकारी रूपमा सहकार्य गर्दै आएको छ र आगामी दिनमा यसलाई थप प्रभावकारी बनाउँदै लगिनेछ, प्रधानमन्त्री दाहालले आशा देखाउँदै भनेका थिए। अर्थतन्त्रको सुधारका लागि सरकार गम्भीर रहेको र सबै पक्षबाट त्यसमा योगदान आवश्यक रहने उनले बताए। अर्थतन्त्रलाई हामीले नै सुधार गर्नुपर्छ। यो काम सरकार एक्लैले गर्न सक्दैन। निजी क्षेत्रलाई समेत सहकार्य गर्न आग्रह गर्दछु, दाहालले भने, सरकार निजी क्षेत्रको साथमा छ। अर्थतन्त्र सुधारका लागि सरकारले सकारात्मक हस्तक्षेप गरेको छ, गर्दछ। कत्ति पनि विचलित नभई अगाडि बढ्न म निजी क्षेत्रलाई आह्वान गर्दछु। यद्यपि अर्थतन्त्रको सुधारका लागि सरकारको एक्लो प्रयास सम्भव नभएको भन्दै उनले सरकारको पहिलो लक्ष्य आर्थिक रूपान्तरण रहेको दाबी गरे। मुद्रास्फीतिको तथ्यांकले बजारको परिवेश झल्किएको देखिँदैन डा रघुवीर विष्ट, अर्थविद् अर्थतन्त्रको बृहत्तर परिसूचकको कुरा गर्दा हामीले बजेट खर्चको पाटो छुटाउनु हुँदैन। अहिलेको समयमा साढे ७ प्रतिशतमात्र बजेट खर्च भएको छ। अर्थात् बजारमा पैसा पुगेको छैन। राजस्व संकलनले राम्रो संकेत देखाए पनि बजारमा पैसा पम्प हुन सकेको छैन। खर्चमध्ये पनि पुँजीगत खर्च ३ प्रतिशतभन्दा कम छ जबकि २ महिना बितिसक्यो। पहिलो त्रैमास सकिँदासम्म २५ प्रतिशत पुँजीगत खर्च भइसक्नुपर्छ। यो गतिमा आवश्यकताअनुसार नपुग्ने देखिन्छ। दोस्रो कुरा कर्जाको माग छैन। यस्तो बेलामा सरकारले अभिभावकत्व ग्रहण गरेर मन्दीको अवधिमा पुँजीगत खर्च बढाउने, आर्थिक क्रियाकलाप गतिशील बनाउने, रोजगारी सिर्जना गर्ने काम गर्नुपर्ने हो। तर, त्यसो हुन सकेन। निर्माण उद्योगले भुक्तानी नै पाएको छैन। त्यसैले सो क्षेत्रमा उत्साह छैन। खुद्रा क्षेत्रमा झनै सुस्तता छाएको छ। नेपाल राष्ट्र बैंकले सार्वजनिक गरेको आर्थिक परिसूचकमा शोधनान्तर स्थिति धनात्मक हुने भइहाल्यो किनभने आयातमा प्रतिबन्ध लगाएर आपूर्ति कटौती गर्ने प्रयास सरकारबाट भएको थियो। शोधनान्तर बचतमा हुँदा विदेशी विनिमय सञ्चिति अत्यधिक बढी छ। राष्ट्र बैंकले सार्वजनिक गरेको मुद्रास्फीतिको तथ्यांकले बजारको परिवेश झल्किएको देखिँदैन। बजारमा दोहोरो अंकको मूल्यवृद्धि देखिन्छ तर राष्ट्र बैंकको तथ्यले यो स्वीकार्दैन। रेमिट्यान्सले गर्दा अधिकांश परिसूचक सकारात्मक देखिन्छन्। यदि सबै कुरा ठीक छन् भने पहिलो त्रैमास मै १० अर्ब आन्तरिक ऋण उठाउनुको तात्पर्य के ? बैंकमा भएको पैसाले लगानी बढाउनुपर्ने, रोजगारी सिर्जना हुनुपर्ने, अर्थतन्त्रमा भाइब्रेसन ल्याउनुपर्ने, माग बढाउनुपर्नेमा हुन सकेको छैन। ३४ महिनाको अवधिमा लाखौं नेपाली बिदेसिएका छन्। यदि सबै कुरा ठीक छ भने मान्छेहरू विदेश जाँदैन थिए। यी कुराले आमनागरिकमा मन्दीको भय छ भन्ने संकेत गर्दछ जसको कारण मन्दीमैत्री वित्त नीति हो। करको नयाँ औजार, जरिवानाका नयाँ व्यवस्थाले नागरिकमा भय सिर्जना गरेको छ। आर्थिक क्रियाकलाप नहुने, करको बोझ थपिने, अर्कातर्फ मूल्यवृद्धि थेग्नै नसक्ने गरी हुने, यही कारण नै मन्दीको कारक हो। उद्योगको उत्पादन लागत बढ्नु, माग कटौती गर्ने प्रयास हुनुले पनि मन्दी निम्त्यायो। जबसम्म मागको पाटोमा बढोत्तरी दिन सकिँदैन, सुस्तता अन्त्य गर्न सकिँदैन। भाइब्रेसन ल्याउनका लागि सरकारले बजेट खर्च बढाउनुको विकल्प छैन। बैंकले लगानीलाई प्रोत्साहन गर्न ब्याजदर घटाउने नीति लिनुपर्छ राजेशकुमार अग्रवाल, अध्यक्ष, नेपाल उद्योग परिसंघ आर्थिक शिथिलताका बीच मन्दीमा रहेको अर्थतन्त्रमा सुधार आउन नसक्दा अहिले ब्यालेन्स सिट रिसेसनको अवस्था निम्तिएको छ, जुन अर्थतन्त्रका लागि निराशाजनक स्थिति हो। नेपाली अर्थतन्त्रमा सायद अहिलेको पुस्ताले पहिलोपटक प्रष्ट अनुभव गर्न सक्ने गरी कन्जम्प्सन डाउनग्रेडको स्थिति सिर्जना भएको छ। यी दुई परिस्थिति एकैपटक आएको हुँदा अब निजी क्षेत्रको मनोबल बढाएर मात्रै छिट्टै अर्थतन्त्रमा सुधार आउन सक्ने हामीले देखेका छैनौं। तत्काल प्रभावकारी कदम नचाल्ने हो भने अर्थतन्त्र छोटो अवधिमै गहिरो मन्दीमा जान्छ। उठ्नै नसक्ने अवस्था आउन सक्छ। अर्थतन्त्रलाई गहिरो मन्दीमा जानबाट रोक्न आर्थिक सुधारका लागि मौद्रिक, वित्तीय, र संरचनात्मक नीतिहरूमा तत्काल सुधार आवश्यक छ। केन्द्रीय बैंकले लगानीलाई प्रोत्साहन गर्न ब्याजदर घटाउने नीति लिनुपर्छ। वित्तीय प्रणालीमा रहेको तरलता बाहिर ल्याउने नीति अनुशरण गर्नुपर्ने आवश्कता छ। वित्तीय नीतिमार्फत माग बढाउन पूर्वाधार परियोजनालगायतका क्षेत्रमा सरकारी खर्च बढाउनुपर्छ। अर्थात् बजेटको प्रभावकारी कार्यान्वयन महत्वपूर्ण छ। आर्थिक मन्दीका कारण बाँच्न संघर्षरत उद्योगहरूलाई लक्षित आर्थिक सहायता, ऋण पुनर्तालिकीकरण, प्रदान गर्ने कार्यक्रम सञ्चालन गर्नुपर्छ। संरचनात्मक सुधारतर्फ नियामक अवरोधहरू हटाउनुपर्छ। आर्थिक वृद्धिलाई प्रोत्साहन गर्न नवप्रवर्तन र उद्यमशीलता प्रोत्साहनसहित प्रतिस्पर्धी व्यवसाय वातावरण प्रबद्र्धन गर्नुपर्ने आवश्यकता छ। वित्तीय प्रणाली र आर्थिक सम्भावनाहरूमा विश्वास पुनस्र्थापित गर्नुपर्छ। अन्तर्राष्ट्रिय सहयोग लिन सक्नुपर्छ। दिगो आर्थिक पुनरुत्थानलाई केन्द्रमा राख्दै आवश्यकताअनुसार नियामकीय निकायले आफ्नो दृष्टिकोण समायोजन गर्न सक्नुपर्छ। विदेशी ऋणदाताको आर्थिक नीति, निर्देशन अक्षरंश लागू गर्दा पनि यो समस्या आएको छ। उनीहरूले दिएका कतिपय आर्थिक नीति निर्देशनहरू पश्चिमा देशहरूमा प्रभावकारी भए तापनि हाम्रा जस्ता मुलुकमा उपयुक्त नहुन सक्छन्। जस्तो कि कतिपय ऋणहरू पश्चिममा मुलुकमा जोखिमयुक्त मानिय तापनि हामी कहाँ कम जोखिमयुक्त हुन सक्छन्। राष्ट्र बैंकको तथ्यांकअनुसार नै नेपालमा कुल ऋण लगानीको ७६ प्रतिशत घर जग्गा धितो राखिएको ऋण भएकाले कम जोखिमयुक्त मानिन्छ। सोही कारणले उनीहरूको निर्देशन हाम्रो परिप्रेक्षमा हाम्रो अवस्था हेरेर मात्रै लागू गरिनुपर्छ।कर्जाको उत्पादनशील क्षेत्रमा विस्तार हुने नीति अबलम्बन गरिनु अपरिहार्य छ। सरकारको नीति आन्तरिक उत्पादनमुखी हुनुपर्छ ।"
