शीर्षक,विवरण
"उच्चस्तरीय सुझाव समितिले अर्थमन्त्रीलाई बुझायो प्रतिवेदन, कर प्रणाली सुधार गर्न संरचना परिवर्तन गर्नुपर्ने निष्कर्ष","काठमाडौं : कर प्रणाली सुधारसम्बन्धी उच्चस्तरीय सुझाव समितिले सरकारलाई अन्तिम प्रतिवेदन बुझाएको छ। समितिले अर्थमन्त्री वर्षमान पुनलाई आइतबार मन्त्रालय पुगेर प्रतिवेदन हस्तान्तरण गरेको हो। समितिले ६ महिना लगाएर २५८ पृष्ठ र १४० अनूसूची समेटिएको प्रतिवेदन तयार पारेको छ। प्रतिवेदनले राजश्व परिचालनमा वृद्धि, नयाँ रोजगारी सिर्जना तथा सार्वजनिक वित्तको सवलीकरण हुने विश्वास लिएको छ। प्रतिवेदनमा करसम्बन्धी कानुन, करका दर, कर प्रशासन, राजश्व संरचनासहित अर्थतन्त्रका विविध विषयमा सुझाव उल्लेख गरिएको छ। कोभिड१९ महामारी र रुसयुक्रेन युद्धका कारण विश्वकै आपूर्तिमा परेको प्रभावबाट विश्व अर्थतन्त्र नै प्रभावित भएको र त्यसबाट नेपाली अर्थतन्त्रमा पनि असन्तुलन पैदा भएको प्रतिवेदनमा छ। तर, पछिल्लो समय आर्थिक वृद्धिदर र मुद्रास्फितिको अवस्थाबाट समग्र अर्थतन्त्र क्रमशः सुधारको लयमा फर्किन थालेको निष्कर्ष प्रतिवेदनको छ। त्यस्तै विगतमा लिइएका कतिपय संकुचनकारी नीतिका कारण आर्थिक वृद्धिदर, रोजगारी सिर्जना र सार्वजनिक वित्त परिचालनमा अपेक्षित सुधार हुन नसकेको प्रतिवेदनले औंल्याएको छ। विगतमा लिइएका कतिपय संकुचनकारी नीतिका कारण आर्थिक वृद्धिदर, रोजगारी सिर्जना र सार्वजनिक वित्त परिचालनमा अपेक्षित सुधार हुन सकेको छैन, प्रतिवेदनमा भनिएको छ, प्रभावकारी माग र लगानीको वातावरण सुधार नहुँदा आर्थिक वृद्धिदरमा सुस्तता आएको छ। प्रतिवेदन बुझाउँदै समिति संयोजक मल्लिकले मुलुकको कर प्रशासन, आर्थिक वृद्धि र समग्र अर्थतन्त्रको विकासका लागि प्रतिवेदन कोशेढुंगा साबित हुने विश्वास व्यक्त गरे। कम्तिमा आगामी ५ देखि २० वर्षसम्मका लागि राजश्व परिचालनसम्बन्धी नीति निर्माण गर्दा काम लाग्न सुझावहरू प्रतिवेदनमा समेटिएको उनको भनाइ थियो। आर्थिक वृद्धिमा संकुचनको प्रमुख कारण राजश्व संकलन क्षमतामा वृद्धि हुन नसक्नु रहेको ठहर प्रतिवेदनको छ। करको जोखिमभार हेर्न छुट्टै निकाय जरुरी रहेको तथा राजश्व न्यायाधीकरणको विद्यमान संरचनामा परिवर्तन जरुरी रहेको निस्कर्ष प्रतिवेदनको छ। पछिल्लो दशकमा राजश्व वृद्धि हुन नसक्नुमा छुट पनि एउटा कारण रहेको भन्दै प्रतिवेदनले राजश्व छुट नभई करको दायरा बढाउने र कर घटाउने नीति श्रेयस्कर हुने सुझाव प्रतिवेदनको छ। प्रतिवेदन ग्रहण गर्दै अर्थमन्त्री पुनले राम्रो प्रतिवेदन तयार गरेकामा समितिका पदाधिकारीसहित त्यसका संलग्न सबैलाई धन्यवाद दिए। उनले प्रतिवेदन कार्यान्वयन गर्न सरकार प्रतिबद्ध रहेको बताए। राजश्वले साधारण खर्च धान्न पनि धौधौ परेको र देशभित्र र बाहिरका लगानीकर्ता आकर्षित गर्नुपर्ने समयमा प्रतिवेदन आएको उल्लेख गरे। बजेटको पूर्वसन्धामा केही गर्छु भनेर लागेको समयमा राम्रो प्रतिवेदन हात परेको छ, मन्त्री पुनले भने, प्रतिवेदनले सरकारको आर्थिक सुधारको प्रयासलाई सहयोग पुग्ने विश्वास छ। समितिले यसअघि गत १ कात्तिकमा तत्कालीन अर्थमन्त्री डा प्रकाशशरण महतलाई प्रारम्भिक प्रतिवेदन र १ फागुनमा अन्तरिम प्रविवेदन बुझाएको थियो। ती दुई प्रतिवेदनमा भन्दा केही सुधार गरी अन्तिम प्रतिवेदन तयार पारिएको अर्थ मन्त्रालयका सहसचिव एवं समितिका सदस्यसचिव महेश बरालले जानकारी दिए। प्रतिवेदन तयार पार्नुअघि समितिले मुख्यमन्त्रीहरू, राष्ट्रिय योजना आयोगका उपाध्यक्षसहित पदाधिकारी, अख्तियार दुरुपयोग अनुसन्धान आयोगका प्रमुख र अन्य आयुक्त, प्राकृतिक श्रोत तथा वित्त आयोगका उपाध्यक्ष र पदाधिकारी, निमित्त महालेखा परीक्षक, सरकारका मुख्यसचिव, नेपाल राष्ट्रबैंकका गभर्नरलगायतसँग अन्तरक्रिया र कुराकानी गरेको थियो। गत २९ भदौमा मन्त्रिपरिषदले पूर्वअर्थमन्त्री एवं पूर्वसचिव विद्याधर मल्लीक नेतृत्वमा चार सदस्यीय आयोग गठन गरेको थियो। समितिमा पूर्वसचिव लक्ष्मण अर्याल, त्रिभुवन विश्वविद्यालय अर्थशास्त्र विभागका प्राध्यापक डा रामप्रसाद ज्ञवाली र पूर्वप्रशासक एवं भन्सार विज्ञ रामप्रसाद दाहाल सदस्य थिए।"
गुजरातले नेपाललाई दियो ९९ रनको लक्ष्य,"काठमाडौं : गुजरातले नेपाललाई ९९ रनको लक्ष्य प्रस्तुत गरेको छ। टस हारेर ब्याटिङ गरेको गुजरात १८२ ओभरमा अलआउट हुँदै ९८ रनमात्र बनाउनसक्यो। नेपालका लागि गुल्शन झाले ४ र करण केसीले ३ विकेट लिएपछि गुजरात स्तब्ध बनेको थियो। गुजरातका लागि रुद्र पटेलले २३, हेमाङ पटेलले २०, सरल प्रजापतीले १७, अभिषेक देसाईले ११ र स्मित पटेलले १० रन बनाए। अन्य खेलाडीले दोहोरो अंकको रन जोड्न सकेनन्। एसएमएस फ्रेन्डशिप कपअन्तर्गत नेपालले भारतको भापीमा गुजरात र बरोडासँग त्रिकोणात्मक टी२० सिरिज खेल्दैछ।"
मानव बेचबिखन तथा ओसारपसार मुद्दामा फरार प्रतिवादी पक्राउ,काठमाडौं : मानव बेचबिखन तथा ओसारपसार मुद्दामा फरार प्रतिवादी पक्राउ परेका छन्। पक्राउ पर्नेमा सिन्धुपाल्चोकको इन्द्रावती गाउँपालिका४ का ३८ वर्षीय बच्चु बिक सुनार र ४७ वर्षीय दावा लामा रहेका छन्। नेपाल प्रहरी प्रधान कार्यालयको केन्द्रीय अनुसन्धान ब्यूरोको टोलीले सुनारलाई काठमाडौं बुढानीलकण्ठ र लामालाई ललितपुरको महालक्ष्मीबाट पक्राउ गरिएको हो। उनीहरूले तीन जना युवतीलाई आकर्षक वैदेशिक रोजगारको प्रलोभन देखाई लेवनान पठाइदिने भनेर सिन्धुपाल्चोकबाट काठमाडौं र वीरगन्ज हुँदै भारतको शहिदनगर भन्ने स्थानमा पुर्याई एकएक लाखमा बिक्री गरी जबरजस्ती वेश्यावृत्तीमा संलग्न गराएको मुद्दामा सिन्धुपाल्चोक जिल्ला अदालतले फैसला गरेको थियो। फैसलापछि फरार रहेका उनीहरूलाई काठमाडौं जिल्ला अदालतमा उपस्थित गराइएको प्रहरी उपरीक्षक होविन्द्र बोगटीले बताए।
कांग्रेसलाई बहुमत ल्याउनसक्ने पार्टी बनाऔं : देउवा,"काठमाडौं : नेपाली कांग्रेसका सभापति शेरबहादुर देउवाले बहुमत ल्याउनसक्ने पार्टीको रूपमा कांग्रेसलाई स्थापित गर्नुपर्ने बताएका छन्। काठमाडौंमा आयोजित कार्यक्रममा देउवाले अहिले कांग्रेस देशको ठूलो पार्टी भएको भन्दै अब बहुमत ल्याउनसक्ने पार्टीको रूपमा स्थापित गर्नुपर्ने बताएका हुन्। समावेशी समानुपातीक निर्वाचन प्रणालीका कारण अहिलेको अवस्थामा कुनै एक पार्टीलाई बहुमत प्राप्त गर्न सहज भने भएको उनले बताए। सभापति देउवाले अहिलेको संविधानले महिलालगायत सबै समुदायलाई समान अधिकार दिएकाले संसारका सबै संविधानमध्ये उत्कृष्ट संविधान रहेको जिकिर गरे। त्यस्तै उनले संविधानअनुसार पार्टीको विधान बनाएको र कांग्रेस पूर्णरूपमा समावेशी पार्टी रहेको धारणा राखे। कार्यक्रममा नेपाली महिला आनेलनमा महिला सशक्तीकरण, राजनीतिक चेतना एवं सामाजिक जागरण ल्याउने कार्यमा योगदान पुर्याउने महिलाहरूलाई सम्मान गरिएको थियो।"
लागुऔषध नियन्त्रण गर्न देशभर अभियान चलाउँछौं : गृहमन्त्री,काठमाडौं : उपप्रधान एवं गृहमन्त्री रवि लामिछानेले गलत कार्य गर्नेलाई कारवाही गर्न कडा रुपमा निर्देशन दिएका छन्। आइतबार सिंहदरबारमा धरान उपमहानगरपालिकाका मेयर हर्क साम्पाङसँगको छलफलका क्रममा लामिछानेले समाजमा गलत कार्य गर्नेलाई कारवाही गर्न कडारुपमा निर्देशन दिएका हुन्। उनले लागुऔषध नियन्त्रण गर्न देशभरमा नै संयुक्त अभियान चलाउनुपर्नेमा जोड दिए। छलफलमा साम्पाङले विभिन्न विषयमा सहकार्यका साथ अघि बढ्नुपर्ने धारणा राखेका थिए।
सौर्य ऊर्जालाई प्राथमिकतामा राख्नुपर्छ : मन्त्री बस्नेत,"काठमाडौं : ऊर्जा, जलस्रोत तथा सिँचाइमन्त्री शक्तिबहादुर बस्नेतले सौर्य ऊर्जालाई प्राथमिकतामा राख्न आवश्यक रहेको बताएका छन्। आइतबार प्रतिनिधिसभा बैठकमा अन्तर्राष्ट्रिय सौर्य गठबन्धनको स्थापनासँग सम्बन्धित सम्झौतामाथि सामान्य छलफल गरियोस् भन्ने प्रस्तावको छलफलका क्रममा मन्त्री बस्नेतले नेपालमा ऊर्जाको माग र खपत वर्षभरि नै लगभग समान रहे पनि जलविद्युत् उत्पादन भने वर्षायाममा बढ्ने र सुक्खायाममा घट्ने भएकाले सौर्य ऊर्जालाई प्राथमिकतामा राख्न आवश्यक रहेको बताए। उनले सौर्य ऊर्जाको प्रवर्द्धनसहित ऊर्जा पहुँच बढाउन र ऊर्जा सुरक्षालाई सुनिश्चित गर्नका लागि सौर्य गठबन्धन गठन भएको तथा संयुक्त राष्ट्रसङ्घका सबै सदस्य राष्ट्रहरू यसका आबद्ध रहेको बताए। उक्त सम्झौतामा एक सय १८ देशले हस्ताक्षर गरिसकेको र ९७ देशले स्वीकृत नै गरिसकेको ऊर्जामन्त्री बस्नेतले जानकारी दिए। जलवायु परिवर्तनका चुनौतीसँग जुध्नका लागि स्वच्छ ऊर्जा प्रयोगमा जोड दिने तथा ऊर्जा सुरक्षालाई प्रभावकारीरूपमा अगाडि बढाउने प्रतिबद्धताका लागि नेपालले यो सम्झौतापत्रमा हस्ताक्षर गरेको उनको भनाइ छ। बैठकमा सांसदहरूले सौर्य ऊर्जाका क्षेत्रमा ठूलो वैदेशिक लगानी भित्र्याउन सकिने सम्भावना रहेको भन्दै यसको आवश्यकता बढि रहेको धारणा राखेका थिए।"
जोमसोम विमानस्थलमा एक्सरे मेसिन जडान,"जोमसोम : मुस्ताङको जोमसोम विमानस्थलमा हवाई यात्रुहरूको लगेज चेकजाँच गर्ने एक्सरे उपकरण जडान गरिएको छ। नेपाल नागरिक उड्यन प्राविधिकरणले मुस्ताङको जोमसोम विमानस्थलमा पहिलो पटक हवाई यात्रुको सामान चेकजाँच गर्ने एक्सरे मेसिन सञ्चालनमा ल्याएको हो। नेपाल नागरिक उड्यन प्राविधिकरणले जोमसोम विमानस्थलका लागि एक थान एक्सरे मेसिन र त्यसलाई चाहिने एक थान डुएट भ्यु कम्प्यूटर सेट पठाएपछि आइतबारदेखि जोमसोमपोखरा हवाई यात्रुको ससामान एक्सेर मेसिन मार्फत चेंकजाँच गर्न थालिएको जोमसोम नागरिक उड्यन कार्यालयका प्रमुख हिरोण शाहले जानकारी दिए। यसअघि मुस्ताङको जोमसोम विमानस्थलमा त्यहाँ कार्यरत सुरक्षाकर्मीले निकै लामो समय खर्च गरी सामान्य तरिकाले हवाई यात्रुको सामान र झोला चेकजाँच गर्ने गरिन्थ्यो। विमानस्थलमा सुरक्षाकर्मीले हातैले खोतलेर यात्रुहरूले लैजाने झोला र सामान चेकजाँच गर्दा त्यहाँ कार्यरत सुरक्षाकर्मी र हवाई यात्रुलाई समेत निकै सास्ती हुने गर्थ्यो। जोमसोम विमानस्थलमा एक्सरे मेसिन सञ्चालनमा आएसँगै जोमसोमपोखरा हवाई यात्रु, विमानस्थलका कर्मचारी र सुरक्षाकर्मी लगायतलाई निकै ठूलो सहयोग पुगेको विमानस्थल कार्यालयका प्रमुख शाहको भनाइ छ। मेसिन जडान भएसँगै त्यहाँ कार्यरत सुरक्षाकर्मीहरूलाई सामान चेक जाँच गर्ने विधिका विषयमा बेसिक तालिम दिन थालिएको कार्यालय प्रमुख शाहको भनाइ छ। उनले एक्सरे मेसिनमा राखेर उपकरणको सहायताले कम्प्युटर स्क्यान गरेपछि यात्रुलै ओसार पोसार गर्ने सामानको भेरीफाई हुँने बताए। हिमाली जिल्ला मुस्ताङको हवाई सुरक्षालाई चुस्त राख्न जोमसोम विमानस्थल परिसर भित्र र बाहिर ८ वटा सीसीटीभी जडान भइसकेको छ।"
गाँजा तस्करलाई नियन्त्रणमा लिन प्रहरीले गर्यो हवाई फायर,"सिन्धुली : सिन्धुलीमा प्रहरीले हवाई फायर गरेर गाँजा तस्करी नियन्त्रणमा लिएको छ। हरिहरपुरगढी गाउँपालिका७ भुताहा शिरमा प्रहरीले पाँच राउण्ड हवाई फायर गरेर चार बोरा गाँजासहित एक जनालाई नियन्त्रणमा लिएको हो। जिल्ला प्रहरी कार्यालय सिन्धुलीका प्रवक्ता प्रहरी निरीक्षक केशव कटवालका अनुसार हरिहरपुरगढी गाउँपालिका७ का २४ वर्षीय बिच बहादुर वाइबालाई गाँजासहित पक्राउ गरिएको हो। उक्त कार्यमा संलग्न अन्य चार जना भने फरार भएका छन्। अन्यको खोजी कार्य भइरहेको छ। गाँजाको ओसारपसार भइरहेको सूचनाका आधारमा इलाका प्रहरी कार्यालय कपिलाकोट र प्रहरी चौकी क्यानेश्वरबाट खटिएको प्रहरी टोलीले गाँजा सहित नियन्त्रणमा लिने क्रममा हवाई फायर गर्नु परेको थियो, कटवालले भने। ५ जना व्यक्तिहरूले नाम्लोमा बोकी ल्याउँदै गरेको अवस्थामा ४ बोरा ७७ केजी ८० ग्राम गाँजा बरामद गरिएको प्रहरीले जनाएका छ। समूहमा रहेका गाँजा कारोबारीलाई नियन्त्रणमा लिनेक्रममा ३०३ राइफलबाट ५ राउन्ड हवाई फायर गर्नु परेको कटवालको भनाइ छ।"
सातवटा गैँडालाई आन्तरिक स्थानान्तरण गरियो,"चितवन : चितवन राष्ट्रिय निकुञ्जको पश्चिम क्षेत्रबाट चर भाले र तीन पोथी गैँडा पूर्वी क्षेत्रमा स्थानान्तरण गरिएको छ। सात गैँडालाई स्थानान्तरण गरेसँगै आन्तरिक स्थानान्तरणको काम सकिएको निकुञ्ज कार्यालयले जनाएको छ। आठ वर्षदेखि ३० वर्षसम्मका गैँडालाई पश्चिम क्षेत्रबाट पूर्वी क्षेत्रमा स्थानान्तरण गरिएको निकुञ्जका सूचना अधिकारी गणेश प्रसाद तिवारीले जानकारी दिए। पश्चिमी क्षेत्रमा गैँडाको संख्या बढी भएपछि पूर्व क्षेत्रमा स्थानान्तरण गरिएको उनले बताए। सूचना अधिकारी तिवारीका अनुसार यही चैत २ गतेदेखि गैँडा स्थानान्तरको काम सुरु गरिएको थियो। नवलपरासी बर्दघाटसुस्ता पूर्व कावासोतीबाट ३० वर्षको भाले गैँडालाई कसरा क्षेत्रबाट पूर्वको तमोरताल क्षेत्रमा ल्याएर छोडिएको उनले जानकारी दिए। दिव्यपुरी पोष्ट क्षेत्रबाट १७ र आठ वर्षका भाले गैँडालाई खगेन्द्रमल्ली रेञ्जर पोष्ट दक्षिण क्षेत्रमा ल्याएर छोडिएको छ। निकुञ्जको सुकीभार क्षेत्रबाट १४, १६ र १३ वर्षका पोथी गैँडालाई खगेन्द्र मल्ली रेञ्जर पोष्टको क्षेत्रमा र सौराहाको राष्ट्रिय प्रकृति संरक्षण कोष क्षेत्रमा रहेको १० वर्षको भाले गैँडालाई कोसिटपु वन्यजन्तु आरक्ष सप्तरीमा स्थानान्तरण गरिएको सूचना अधिकारी तिवारीले जानकारी दिए। निकुञ्जका हात्ती, हात्ती सारे, प्राविधिक जनशक्ति, कर्मचारी, सुरक्षार्थ खटिएका नेपाली सेना र अन्य कर्मचारी गरी ६० जना जनशक्ति गैँडा स्थानान्तरणमा परिचालन भएका निकुञ्ज कार्यालयले जनाएको छ। राष्ट्रिय निकुञ्ज तथा वन्यजन्तु संरक्षण विभागले गठन गरेको अध्ययन टोलीको प्रतिवेदन अनुसार गैँडा स्थानान्तरण गरिएको हो। पछिल्लो गणना अनुसार नेपालमा सात सय ५२ वटा गैँडा रहेका छन्। जसमध्ये बर्दियामा ३८ र शुक्लाफाँटामा १७ छन्। चितवन राष्ट्रिय निकुञ्जमा छ सय ९४ र पर्सा राष्ट्रिय निकुञ्जमा तीन वटा गैँडा छन्।"
हर्क सम्पाङलाई अर्थमन्त्रीले भने तपाईंको अभियानमा मेरो साथ छ,"काठमाडौं: अर्थमन्त्री वर्षमान पुन अनन्तले धरानबासीलाई पिउने पानीको व्यवस्था गर्न सरकार गम्भीर रहेको बताएका छन् । आइतबार बधाइ दिन मन्त्रालय आएका धरानका मेयर हर्क साम्पाङ राईसँग मन्त्री पुनले धरानको खानेपानी समस्याबारे आफू जानकार रहेको बताए । मन्त्री पुनले खानेपानीको दुःखले कतिपय सर्वसाधारण धरानबाट बसाई सरेर अन्यत्र गएको समेत आफूले सुनेको उल्लेख गरे । सरकारले जनतालाई स्वच्छ खानेपानीको व्यवस्थापन गर्न योजना बनाएको जानकारी दिए । उनले भने,' धरान धेरै राम्रो र सुन्दर सहर हो,त्यहाँ म केही समय बसेको पनि छु। खानेपानी समस्याबारे जानकारी छ । यो बजेटमार्फत केही न केही समाधान खोज्ने प्रयास हुनेछ ।मन्त्री पुनले खानेपानी आयोजनाको माग सम्बन्धित मन्त्रालयबाट आउनुपर्ने भएकाले खानेपानी तथा सरसफाई मन्त्रालयसँग पनि कुरा गर्न सुझाए । म पनि सम्बन्धित मन्त्रालयसँग कुरा गर्छु । यहाँले पनि उताबाट योजना माग गर्नुहोला,'मन्त्री पुनले,म तपाईंको अभियानमा सँगै हुनेछु । मेयर साम्पाङले धरानबाट करिब १५ किलोमिटर दूरीमा पर्ने चतरास्थित सप्तकोशी नदीबाट लिफ्टिङ गरी पानी ल्याउन सकिने विकल्पबारे मन्त्री पुनलाई अवगत गराए । उक्त आयोजनाका लागि करिब ५ अर्ब बजेट आवश्यक पर्ने प्राविधिक अनुमान गरिएको उनको भनाइ थियो । राईले अर्थमन्त्री पुनबारे आममानिसमा सकारात्मक धारणा रहेको पाएकाले आफू योजना माग्न आएको उल्लेख गरे । मन्त्री पुनले पनि राईको काम गर्ने शैलीको प्रशंसा गरे ।"
