शीर्षक,विवरण
"जनधन जोगाऔं, हात्ती बचाऔं","जनधनको क्षति नहोस्। तब मानवसँगको द्वन्द्वमा हात्ती पनि नमारिऊन्। संरक्षित जीवको सूचीमा छ जंगली हात्ती। राष्ट्रिय निकुञ्ज तथा वन्यजन्तु संरक्षण ऐन २०२९ ले यस्ता वन्तजन्तुको सिकार गर्न निषेध गरेको छ। कानुनतः बौलाएको अवस्था, नबाँच्ने किसिमले रोगग्रस्त भएका वा अंगभंग भएकालाई तोकिएको अधिकारीको आदेशले मात्रै मार्न वा पक्रन पाइन्छ। यस्तै, वनक्षेत्रबाहिर आई मानिस वा घरपालुवा पशुपंक्षीलाई धेरै नोक्सान गर्ने वन्यजन्तुलाई मार्नुपर्ने ठहर्याएमा तोकिएको अधिकारीको आदेशले मार्न, पक्रन वा लखेट्न सकिन्छ। तराईका जिल्लामा जंगली हात्ती मानव बस्ती पसेर बिझ्याइँ गर्दै आएको सिलसिला लामो छ। हूलका हूल पस्ने हात्तीले अन्नबाली मात्रै नष्ट गरिदिएका छैनन् कि धेरै व्यक्तिको ज्यानै लिइसकेका छन्। यसरी मानववन्यजन्तु द्वन्द्व बढिरहँदा जनधन जोगाउनुपर्ने चुनौती त छ नै त्यसमाथि संरक्षित जीवलाई बचाउनुपर्ने अवस्था पनि छ। मोरङको सुन्दरहरैंचा नगरपालिका१० स्थित एक सामुदायिक वनमा सोमबार मात्रै गोली हानेर मारेको अवस्थामा जंगली हात्ती भेटिएको छ। जसको पुच्छर गायब छ। जुन चोरी सिकारी समूहले गोली हानेको वनका कर्मचारीको ठहर छ। तर, चोरी सिकारीबाट बचाउन चुनौती त छ नै मानववन्यजन्तु द्वन्द्वतिर पनि गम्भीरतापूर्वक राज्यको ध्यान जानुपर्छ। हात्तीलगायत वन्यजन्तुले क्षति पुर्याएर राहत दिन सरकारले केही महिनाअघि मात्रै नयाँ निर्देशिका ल्याएको छ। जसलाई वन्यजन्तुबाट भएको क्षतिको राहत वितरण निर्देशिका २०८० भनिएको छ। कोही सामान्य घाइते भए २० हजार, गम्भीर घाइते भए दुई लाखसम्म औषधोपचार खर्च दिने कानुनी व्यवस्था छ। शारीरिक रुपमा अशक्त भए जीविकोपार्जन खर्च पाँच लाख, कसैको ज्यान गए १० लाख रुपैयाँ राहत दिने भनिएको छ। यस्तै, भण्डारण गरेको अन्न, घरगोठ र खाद्यान्न बालीमा छुट्टाछुट्टै राहत रकम प्रदान गरिन्छ। यसअघि वन्यजन्तुबाट हुने क्षतिको सहयोग निर्देशिका २०६९ बमोजिम क्षतिको प्रकृति हेरेर राहत सहयोग उपलब्ध गराइँदै आएको थियो। तर, यसरी क्षति भएपछि त्यसबापत राहत दिने अवस्था आउनुभन्दा जनधनको क्षति हुन नदिन नै श्रेयष्कर हुन्छ। त्यसका लागि जंगली हात्ती किन मानव बस्ती पसेर स्थानीयवासीलाई आतंकित बनाउँछन् भन्ने गहिराइसम्म पुग्न आवश्यक छ। वन्यजन्तु विज्ञका अनुसार मानवीय स्वभाव र व्यवहारकै कारण हात्ती आक्रमण बढेको हो। जंगलमा आहारा पाउन छाडेपछि वन्यजन्तु बस्ती छिर्छन्। तर, धपाउन अनेक हतकण्डा अपनाउँदा आक्रोशित बन्छन्। हिंस्रक बन्छन्। त्यसमाथि हात्तीको जैविक मार्गमा अवरोध पुगेको छ। तिनीहरूका त्यस्ता परम्परागत बासस्थान र बाटोहरू संरक्षणमा राज्यका निकायहरू लाग्नुपर्छ। हात्ती करिडोर निर्माणलगायत विकल्पतिर पनि ध्यान दिनुपर्छ। ताकि जंगली हात्ती जंगल छाडेर मानव बस्तीसम्म नपसून्। जनधनको क्षति नहोस्। तब मानवसँगको द्वन्द्वमा हात्ती पनि नमारिऊन्।"
उकुसमुकुस छन् नागरिक,"दलहरू र सरकारको नेतृत्व नसच्चिए सजाय जनताले दिनेछन् । सामान्य जीवनयापन चलाइरहेका हरेक नेपालीलाई सोधौं त तपाईं र तपाईंको परिवार खुसी रहन के चाहनुहुन्छ ? उत्तर आउँछ बिहानबेलुकाको छाक टरोस्। छोराछोरीलाई शिक्षा दिन सकौं। र, रोग लागे उपचार पाइयोस्। अधिकांश नागरिकको चाहना यति हो। कसैले अलि महत्वाकांक्षी हिसाबले सोच्लान्। तर, धेरैको अपेक्षा यतिमै अडिएको छ। हामीले एकपटक आआफ्नो ठाउँबाट सोचौं त हाम्रो दिनरातको मिहेनत केका लागि ? जति घुमाइफिराई भने पनि मूल उद्देश्य हो शिक्षा, स्वास्थ्य र दैनिकी राम्ररी चलोस्। यति भएपछि मात्रै सबैले कमाउने र जमाउने (बचत गर्ने) विषयमा सोच्ने हो। तर, अधिकांश नेपाली दैनिकी कसरी चलाउने भन्ने चिन्ताले नै पिरोलिएका छन्। यही समस्या हल गर्नु सरकारको पहिलो दायित्व हो। सरकार को त ? नेपाली शब्दकोशले भनेको छ देश वा राज्यको शासनमण्डल, राज्यसंस्था, शासनसत्ता वा शासन व्यवस्था। यस्तै, प्रभु, स्वामी वा राजा भनेर पनि अथ्र्याइएको छ। अर्थ जे लगाए पनि देशको शासनसत्ताको बागडोर सम्हाल्नेहरूको समूह नै सरकार हो। उनीहरूको काम भनेकै नागरिकलाई समृद्ध र मुलुकलाई विकसित बनाउने हो। काम, कर्तव्य र अधिकार जे दिए पनि त्यहाँबाट निस्कने नतिजा त आखिर समृद्ध मुलुक होइन र ? मुलुक समृद्ध बन्न त नागरिकको जीवनयापन उक्सनै पर्छ। यो बुझ्ने र सही नीति ल्याई कार्यान्वयन गर्ने नेतृत्व नै सफल सरकार हो। सरकार सफल बन्न मुलुक सापेक्ष नीति हुनुपर्छ। नीति सही र नागरिकमैत्री हुनुपर्छ। अनि त्यसलाई कार्यान्वयन गर्ने आँट नेतृत्व तहमा हुनुपर्छ। हाम्रो मुलुक राजाले मुलुक चलाए। कुनै समय राणाशासन थियो। अहिले दलहरूले अदलबदल हुँदै मुलुकलाई समृद्धिको मार्गमा दौडाउने भाषणमा घिसारिरहेका छन्। २००७ सालदेखिको इतिहास अध्ययन गर्र्ने हो भने हामीकहाँ कुनै पनि समय राजनीतिक स्थायित्व कायम भएको देखिँदैन। त्यसअघि १०४ वर्षे जहानियाँ राणाशासनमा पनि श्रेणीअनुसार आन्तरिक द्वन्द्व चलेकै थियो। सत्ताका लागि नरसंहारसमेत हुन्थ्यो। त्यस बेला पनि सत्ताकै स्वार्थ चलेको इतिहासले छर्लंग पार्छ। त्यसपछि धेरै खालका आन्दोलन भए। प्रजातान्त्रिक शासन व्यवस्थाका लागि कांग्रेसले सशस्त्र क्रान्ति गर्यो। त्यही क्रान्तिले राणाशासनलाई इतिहासमा सीमित बनायो। राणाशासन ढल्दै गर्दा पनि त नागरिकले आफ्नो जीवनयापनमा सुधार चाहेका थिए। राज्यव्यवस्था परिवर्तनसँगै आफू व्यवस्थित बन्न खोजेका थिए। नयाँ कुराको खोजी त हुन्छ नै। तर, राणाशासन अन्त्य भए पनि राजाको शासन गर्ने महत्त्वाकांक्षाका कारण जनताले सोचेजस्तो प्रजातान्त्रिक व्यवस्था अनुभव गर्न पाएनन्। त्यो र योमा फरक नपाएपछि राजा र दलहरूबीच वैमनस्य बढ्दै गयो। राजा राजै बन्ने, दल परिवर्तन चाहने। कुरा मिलेन। २००७ सालमा अन्तरिम शासन विधानलाई आधार मान्दै संविधानसभा निर्वाचन गर्ने सहमति भए पनि त्यो कार्यान्वयन भएन। राजा महेन्द्रले २०१५ सालमा संविधान घोषणा गरी निर्वाचन गराए। कांग्रेसले दुई तिहाइ बहुमत प्राप्त गर्यो। राजनीतिक अस्थिरता, आन्तरिक एवम् भूराजनीतिक प्रभाव चुलियो। राजा महेन्द्रले अन्ततः २०१७ साल पुस १ गते बीपी कोइराला नेतृत्वको सरकार अपदस्थ गरी पञ्चायत व्यवस्थाको सूत्रपात गरे। २००७ सालमा राजनीतिक किचलोले मुलुकलाई जसरी गिजोल्यो, अहिले पनि उस्तै छ अवस्था। हाम्रै बाउबाजेले २९ वर्ष पञ्चायती शासन पनि भोगे। २०४६ सालको राजनीतिक परिवर्तनसँगै राजालाई संवैधानिक दायराभित्र ल्याएर २०४७ सालमा संविधान निर्माण भयो। दलहरूले शासनसत्ता सम्हाल्ने मौका पाए। कांग्रेस र एमालेले मौका पाएको तीन दशक नाघ्यो। पछिल्लो समय नागरिकको स्पिकर बनेर दलहरू च्याउसरी उम्रिए। तर, खै नागरिकले के पाए ? २०४७ पछि पनि राजनीति त अस्थिर नै रह्यो। २०४८ मा बहुमत प्राप्त गिरिजाप्रसाद कोइराला नेतृत्वको सरकार पाँच वर्षसम्म टिक्न सकेन। २०५१ मा मध्यावधि निर्वाचन भयो। एमालेले त्यसमा मौका पायो। मनमोहन अधिकारीको नेतृत्वमा पहिलो वामपन्थी सरकार गठन हुँदै संसद्मा सबैभन्दा ठूलो दलको कुर्सी पनि पायो। तर, मुलुक जहाँको त्यहीँ रह्यो। नागरिकले सरकार र सत्ता परिवर्तनको स्वाद लिन पाएनन्। अहिले पनि त्योभन्दा नयाँ नै के छ र ? हो, व्यवस्थाहरू परिवर्तन भए। २०५२ फागुन १ गते सुरु भएको माओवादी विद्रोहले नागरिकको ध्यान नतानेको होइन। दुःखका दिन जालान् कि भन्ने ठानेर माओवादीलाई पनि नागरिकले शक्तिशाली बनाएकै हुन्। तर, जनभावनाविपरीतको स्वार्थकेन्द्रित राजनीतिको लिसो खसेन। २०५८ सालको दरबार हत्याकाण्डले शासन व्यवस्थाको अवस्थामा धक्का दियो। माओवादीले अघि सारेका अधिकांश मुद्दा जनताका लागि सकारात्मक थिए। तर, यति खेर ती मुद्दा जनताको काँधमा चढेर सत्ताको सुकुलमा पुग्न मात्रै हो कि भन्ने प्रश्न उब्जिएका छन्। नागरिकले प्रश्न गरिरहँदा त्यसको दुरुपयोग गर्ने मात्रै जन्मिए। यसले चाहिँ गर्ला कि, उसले चाहीँ गर्ला कि भनेर मत दिँदादिँदा नागरिकका औंला खिइसके। नागरिक सोधिरहेका छन् अब पुनः नयाँ व्यवस्थाको खोजी गर्ने समय आएको त होइन ? लोकतन्त्र उन्नत व्यवस्था हो। तर, यो व्यवस्थाको महत्वलाई बेवास्ता गरिएको समय पनि हो। यसमा सबै दलले म म भने हुन्छ। कोही पनि पानीमाथिको ओभानो नबने हुन्छ। सोचौं त राजाको ठाउँमा जनताका छोराछोरी राष्ट्रपति बन्न पाएको व्यवस्था होइन र ? नयाँ संविधान जनताले चुनेका आफ्ना प्रतिनिधिले नै बनाएका हुन् नि ! अनि, जनप्रतिनिधि बनेर सत्तामा पुगेकालाई काम गर्न केले रोक्यो ? पुष्पकमल दाहाल प्रचण्ड नेतृत्वमा सरकार बनेको पनि एक वर्ष भयो। अनुभव छैन भनौं, त्यो पनि होइन। उनी यसअघि पनि प्रधानमन्त्री बनिसकेकै हुन्। तर, अहिलेलाई यस्तै भयो। अब गर्छु भनेर जनता कहिलेसम्म भुलाउने ? अझै विगतको गलत प्रवृत्ति र अराजनीतिक संस्कारको पुनरावृत्ति काँचै छ। जनताको भावनाको कदर गर्नुको साटो राजनीति सत्ताकेन्द्रित मात्र छ। यस्तो गलत राजनीतिक संस्कार र प्रवृत्तिले हामी नेपालीको भलो गर्न सक्दैन। नागरिक दिक्क भएका छन्। हामी त जनताका आवाज हौं भनेर उदाएकाहरू पनि खोयाको निसाना बन्न थाले। खोक्रो भाषणले नागरिकको पेट भरिँदैन। एक छाक खान पनि बिदेसिनुपर्ने बाध्यताबाट जनतालाई उकास्न सक्नुपर्छ। राजनीतिक दलदलमा मुलुकलाई कति भसाउने ? राजनीतिकर्मी र नेतृत्व गम्भीर बन्नुपर्छ। नागरिक उकुसमुकुसमा छन्। भनाइ नै छ, धेरै पीडा भए बोली आउँदैन। यो अवस्थालाई समयमै चिनेर दल र सरकारको नेतृत्व नसच्चिए सजाय जनताले दिनेछन्। जनता गरिब भए भोटमा किन्न सकिन्छ र आफू सधैं सत्ता र शक्तिमा रहन पाइन्छ भन्ने कु (विचार) फाल्नुपर्छ। समय र अवस्था सधैं एकनास हुँदैन है !"
"विस्तारमा ढिलासुस्ती, स्थानीयलाई सास्ती","परासी : नवलपरासीमा रहेका हुलाकी सडकको दुर्दशाले स्थानीयलाई सास्ती भएको छ। हुलाकी सडक विस्तारको काममा भएको ढिलासुस्तीले स्थानीय आजितसमेत भएका छन्। जिल्लाका तीन छुट्टाछुट्टै खण्डमा सडक विस्तारको काम भइरहेको छ। २०७६ सालमा तीन खण्डको सडक विस्तार गर्न ठेक्का लगाइएको थियो। तीन खण्डअन्तर्गत प्रतापपुर गाउँपालिकाको कठहवादेखि सुस्ता गाउँपालिकासम्मको सडक विस्तार, परासीदेखि नारायण चोकसम्मको सडक विस्तार र नारायण चोकदेखि त्रिवेणीसम्मको सडक विस्तारका लागि सडक विभागको हुलाकी राजमार्ग निर्देशानलयले ठेक्का लगाएको हो। सडक विस्तार गर्ने सम्झौता अवधि सकिएपछि ती सडक खण्डको दुईदुई पटक म्याद थपिएको छ। गएको मंसिरको म्याद दिएर दोस्रो पटक म्याद थप्दा पनि काम नसकिएपछि आउँदो असारसम्म काम सक्ने गरी म्याद थप्ने तयारी गरिएको हुलाकी राजमार्ग योजना कार्यालय गोरुसिंगे कपिवस्तुका इन्जिनियर युवराज पाण्डेले बताए। समयमा काम नसक्दा बर्खामा हिलो र हिउँदमा धुलोको समस्याले स्थानीय आजित छन्। ठेकेदारले निर्माणमा ढिलाइ गरेपछि स्थानीयले पटकपटक चक्काजामसमेत गरेर विरोध गर्दै आएका छन्। विभिन्न स्थानमा निर्माण सामग्री राख्ने र कल्भर्ट निर्माणका लागि सडक भत्काएर नपुर्दा आवतजावतमा समस्या भएको सरावलका दीपक शर्माले गुनासो गरे। काम ढिलो भएको बारेमा निर्माण कम्पनीहरूले कोभिड र नदीजन्य पदार्थको अभावको बहाना बनाउँदै आएका छन्। पछिल्लो पटक पूर्वपश्चिम राजमार्गअन्तर्गत बुटवलनारायणगढ खण्ड विस्तार थालिएपछि हुलाकी सडकलाई विकल्पका रूपमा प्रयोग गर्न थालिएको छ। अहिले पूर्वबाट पश्चिम जाने सवारीसाधन बर्दघाटदेखि नारायणचोक भएर परासीहुँदै भैरहवा जाने गरेका छन् भने पश्चिमबाट पूर्व जाने सवारीसाधन पनि सोही मार्ग भएर राजमार्ग पुग्ने गरेका छन्। जसले गर्दा हुलाकी सडकमा सवारी चाप बढेर थप समस्या सिर्जना गरेको छ। सवारीको चाप बढ्दा वरिपरिका बस्ती धुलोले ढाकिन थालेका छन्। साइकल, मोटरसाइकल र पैदल यात्रीलाई समेत धुलोका कारण सास्ती हुने गरेको छ। धुलोका कारण मानव स्वास्थ्यदेखि खेतीपातीमा समेत असर पुगेको छ। कठहवा सुस्ता सडकको प्रगति ४० प्रतिशत मात्रै प्रतापपुर गाउँपालिकाको कठहवादेखि सुस्ता गाउँपालिका जोड्ने ९ किलोमिटर सडक विस्तारको लागत २७ करोड रुपैयाँको हो। सडक विस्तारका लागि कन्ट्याक्ट प्रालिले ठेक्का लिएको छ। उक्त सडकको काम अहिले जम्मा ४० प्रतिशत मात्र भएको छ। २०७९ असार मसान्तसम्ममा सम्पन्न हुनुपर्ने काम पूरा नभएपछि फेरि म्याद थपिएको हो। यो सडकखण्डमा विगत दुई दिनदेखि आवश्यक सामग्रीको व्यवस्था गरी संरचना निर्माणको काम भइरहेको हुलाकी राजमार्ग कपिलवस्तुका इन्जिनियर पाण्डेले बताए। स्ट्रक्चरका काम हुँदै छन्। अब दुईचार दिनमा पिचको काम पनि हुन्छ। अहिले केही आसलाग्दो काम भएको छ। पाण्डेले भने। परासी नारायणचोक सडकको काम अलपत्र सदरमुकाम परासीदेखि नारायणचोकसम्मको १२ किलोमिटर सडक विस्तारको काम २५ करोड रुपैयाँको हो। यो सडकको विस्तारको काम पनि अलपत्र छ। रामग्राम नगरपालिकाको बैकुण्ठापुरको घोलामाथि भत्किएको कल्भर्ट नबनाउँदा दुर्घटनाका घटना बढेका छन्। भत्किएको कल्भर्ट नबनाउँदा केही महिनाअघि त्यहाँ मोटरसाइकल दुर्घटनामा एक जनाको ज्यान गएको थियो। द कञ्चन बिरुवा शिवशक्ति जेभीले ठेक्का लिएको छ। काम नगरेपछि हुलाकी राजमार्ग निर्देशनालयले ठेक्का तोडेर आफैं काम गर्ने तयारी गरेको थियो। तर ठेकेदारले काम शीघ्र गर्छु भनेपछि असारसम्मको म्याद थप्ने तयारी निर्देशनालयले गरेको छ। हामीले ठेक्का तोडेर व्यवसायीले राखेको धरौटी रकमबाट काम गर्ने सोच बनाएका थियौं। व्यवसायीले एक पटक फेरि मौका दिनुस् भनेपछि असार मसान्तसम्मको म्याद दिनका लागि फाइल अघि बढाएका छौं, योजना कार्यालयका इन्जिनियर पाण्डेले भने। नारायणचोक त्रिवेणी सडकको काम पनि उस्तै गोपीगन्जको नारायणचोकदेखि त्रिवेणीसम्मको सडकको लम्बाइ १५ किलोमिटरको छ। लागत ५८ करोड रुपैयाँमा विस्तार हुन लागेको सडकको काम पनि उस्तै छ। सडक विस्तारका लागि निर्माण कम्पनीलाई ताकेता गरिरहेको हुलाकी राजमार्ग योजना कार्यालयले जनाएको छ। यो सडक खण्ड विस्तार गर्न बज्र गुरु महालक्ष्मी जेभीले ठेक्का लिएको छ। त्यस सडकखण्डमा अहिले ग्राभेल र माटो उठाउने कामलगायतका काम भएको योजना कार्यालयले जनाएको छ। पुल निर्माणका लागि पाँचौं पटक ठेक्का आह्वान नवलपरासीका विभिन्न स्थानका हुलाकी राजमार्गमा निर्माण गर्न लागिएका पुलका लागि ठेक्का आह्वान भए पनि ठेक्का नपर्दा निर्माण कार्यमा समस्या भएको राजमार्ग योजना कार्यालयले जनाएको छ। पुल निर्माणका लागि अहिले पाँचौं पटक ठेक्का आह्वान गरिएको छ। हुलाकी राजमार्गअन्तर्गतका चार स्थानमा पुल निर्माणका लागि यसअघि चार पटकसम्म ठेक्का आह्वान गरे पनि कुनै पनि व्यवसायीले ठेक्का नहाल्दा समस्या भएको योजना कार्यालयका इन्जिनियर पाण्डेले बताए। अहिले फेरि पुल निर्माणका लागि ठेक्का आह्वान गरेका छौं। ठेक्का हाल्ने मिति पनि अन्तिममा छ, त्यस अवधिसम्म ठेक्का पर्छ कि पर्दैन त्यसपछि मात्र थाहा हुन्छ, उनले भने। ठेक्का आह्वान गरिएका हुलाकी राजमार्गका पुलमा परासी नारायणचोक सडक खण्डका छन्। जसमा रामग्रामको बैकुण्ठापुर, सरावलको मौवा पिपरा, भीमटाँडी र सरावल गाउँपालिका जाने स्थानका पुल रहेको हुलाकी राजमार्ग योजना कार्यालयले जनाएको छ।"
भारतीय विदेशमन्त्रीको भ्रमणमा ऊर्जा प्रमुख एजेन्डा,"काठमाडौं :अंग्रेजी नयाँ वर्षको पहिलो कूटनीतिक भ्रमण भारतबाट हुँदै छ। भारतीय विदेशमन्त्री एस जयशंकर पुस १९ गते नेपाल आउँदै छन्। उनी दुई दिनसम्म नेपालमा रहने छन् । नेपालभारत संयुक्त आयोगको ७औं बैठकमा सहभागी हुन उनी नेपाल आउन लागेका हुन्। टोलीमा विदेश सचिव विनयमोहन क्वात्रा, नेपाल डेस्क प्रमुख अनुराग श्रीवास्तवलगायत उच्च अधिकारीहरू हुने स्रोतको भनाइ छ। भारतीय विदेशमन्त्रीको भ्रमणमा १० हजार मेगावाटको दीर्घकालीन विद्युत् खरिद सम्झौता (पीपीए) मा अन्तिम हस्ताक्षर हुने एजेन्डा रहेको बताइएको छ। चितवनमा बस्ने ११औं नेपालभारत ऊर्जा सचिवस्तरीय संयुक्त निर्देशक समिति बैठकले यसलाई अन्तिमरूप दिने स्रोतले बताएको छ। संयुक्त निर्देशक समितिको बैठक हरेक ६ महिनामा बस्ने गर्छ। दीर्घकालीन पीपीए कार्यान्वयनमा लैजानका लागि दुई देशबीचका सचिवहरूबीच सम्झौता हुन बाँकी छ। गत जेठको अन्तिम साता नै दीर्घकालीन पीपीएका लागि नेपालभारतबीच प्रारम्भिक सम्झौतामा हस्ताक्षर भएको थियो। त्यसपछि भदौमा दीर्घकालीन पीपीएको भारतको मन्त्रिपरिषद्बाट पनि अनुमोदन भइसकेको छ। गत जेठमा भएको प्रधानमन्त्री पुष्पकमल दाहाल प्रचण्डको भारत भ्रमणमा ऊर्जा व्यापारमा ठूलो उपलब्धि भएको बताइएको थियो। भारतीय प्रधानमन्त्री नरेन्द्र मोदीले पनि १० वर्षमा १० हजार मेगावाट बिजुली किन्ने घोषणा गरेका थिए। प्रधानमन्त्री प्रचण्डको भारत भ्रमण लगत्तै नेपाली अधिकारीहरूले दीर्घकालीन पीपीएको मस्यौदा भारत समक्ष पेस गरेको थियो। पञ्चेश्वरको सपना कहिले होला पूरा ? यो भ्रमणले अन्य एजेन्डासँगै पञ्चेश्वर बहुउद्देश्य आयोजनाको संयुक्त विस्तृत अध्ययन प्रतिवेदन (डीपीआर) लाई अघि नबढाउने स्रोत बताउँछ। आगामी भ्रमणमा पञ्चेश्वरसम्बन्धी कुनै पनि निर्णय एजेन्डाको रूपमा समावेश नभएको उच्चस्रोतको दाबी छ। ६७ वर्षबाट नेपाली जनतालाई देखाउँदै आएको पञ्चेश्वरको सपना अझै पनि अनिर्णित छ। दुवै देशका प्रतिनिधि पञ्चेश्वर अघि बढाउने सम्बन्धमा प्रतिबद्ध नभएको नेपालका भारतीय एक पूर्वराजदूत बताउँछन्। हरेक उच्चस्तरीय भ्रमणमा बाह्य रूपमा जसरी बखान गरिन्छ, सोहीअनुरूप भित्रिरूपमा नेपालभारत पक्ष नै प्रतिबद्ध छैन, भन्दै ती पूर्वराजदूतले यही तरिकाले पञ्चेश्वर कहिले पनि अघि नबढ्ने बताए। ऊर्जा मन्त्रालयका एक अधिकारीका अनुसार उच्च राजनीतिक प्रतिबद्धताबिना पञ्चेश्वर अघि बढ्दैन। अहिले दुई पक्षीय संयन्त्रको छलफलबाट मात्र यो मुद्दा पार नलाग्ने उनी बताउँछन्। दुवै देशका डीपीआरमा ५ सयभन्दा बढी असहमतिबाट अहिले २३ वटा विषयमा मात्र सहमति जुट्न सकेको छैन। पानीको उपयोगिताको सम्बन्धमा नै दुवै देशले साझा धारणा प्रस्तुत गर्न सकेका छैनन्। दुवै देशको पानीको उपयोगितासम्बन्धी द्विपक्षीय हितमा भन्दा आआफ्ना स्वार्थमा अल्झदा पञ्चेश्वरको काम अघि बढ्न नसकिरहेको ती अधिकारी बताउँछन्। भारतको केन्द्रीय आयोगले सन् १९५६ मा महाकाली नदीमा पञ्चेश्वर आयोजनाको पहिचान गरेको थियो। सन् १९७८ मा नेपालभारत दुवै पक्षका विशेषज्ञहरूको संयुक्त समूह गठन भई स्वतन्त्र रूपले विस्तृत स्थलगत अनुसन्धान सञ्चालन गर्ने निर्णय गरियो। सन् १९८८ मा जलस्रोत मन्त्रालयअन्तर्गत पञ्चेश्वर बहुउद्देश्यीय आयोजना कार्यालयको स्थापना गरियो। अघिल्लो वर्ष नै अन्तर्राष्ट्रिय विकास नियोगको आर्थिक सहयोगमा नेपाली भूभागभित्र स्थलगत अन्वेषण कार्य सञ्चालन गरिएको थियो। सन् १९९१ मा पञ्चेश्वर उच्च बाँध र रूपालीगाड पुनर्नियन्त्रण बाँध समावेश भएको पञ्चेश्वर बहुउद्देश्यीय आयोजनाको प्रतिवेदन तयार गरेको थियो। जसमा पञ्चेश्वरमा ३१५ मिटर उचाइको रक फिल बाँधको निर्माण गरी ६ हजार ४ सय ८० मेगावाट र रूपालीगाडमा ८३ मिटर उचाइको रिरेगुलेटिङ बाँधको निर्माण गरी २४० मेगावाट गरी कुल ६ हजार ७ सय २० मेगावाट विद्युत् उत्पादन गर्न सक्ने प्रस्ताव रहेको छ। उक्त अध्ययनको आधारमा नेपालले सन् १९९५ मा विस्तृत आयोजना प्रतिवेदन तयार गरेको थियो। नेपाल सरकार र भारत सरकारबीच महाकाली नदीको शारदा ब्यारेज, टनकपुर ब्यारेज र पञ्चेश्वर आयोजना सम्बन्धमा २०५२ साल माघ २९ गतेका दिन सन्धि सम्पन्न भएपछि यो आयोजना द्विराष्ट्रिय लगानीमा संयुक्त रूपमा सञ्चालन गर्ने आधार तयार भएको थियो। २०६६ साल मंसिर ९ गते नेपालभारत संयुक्त जलस्रोत समितिको सचिव स्तरीय पाँचौं बैठकबाट पञ्चेश्वर विकास प्राधिकरण गठन गर्ने सहमति भएको थियो। उक्त बैठकले प्राधिकरणको (पीडीए) को कार्यसूची पनि तयार गरेको थियो। उक्त कार्यसूची नेपाल सरकारबाट अनुमोदन भई भारत सरकारलाई पठाइएको थियो। २०७१ असोजमा काठमाडौंमा सम्पन्न पहिलो बैठकले प्राधिकरणको विधानलाई अनुमोदन गरेको थियो। प्राधिकरणको २०७१ को मंसिरमा नयाँ दिल्लीमा भएको बैठकले यसअघि दुई देशद्वारा छुट्टाछुट्टै तयार पारिएको पञ्चेश्वरको डीपीआरको आधारमा संयुक्त डीपीआर तयार गर्न भारतीय सरकारी स्वामित्वको कम्पनी वापकस लिमिटेडलाई दिने निर्णय गरियो। २०७३७४ मा वापकासले संयुक्त डीपीआर बुझाएको थियो। उक्त डीपीआर महाकाली सन्धिविपरीत भएको भन्दै असहमति भएको हो। प्रधानमन्त्री प्रचण्डको गत जेठमा भएको भारत भ्रमणमा पञ्चेश्वरको संयुक्त डीपीआरलाई ३ महिनामा टुंगो लगाउने सहमति भएको भनिएको थियो। गत असारमा पोखरामा भएको प्राधिकरण सञ्चालक समितिको विज्ञ समूहको बैठकले ३ महिनाभित्र डीपीआरलाई अन्तिमरूप दिने निर्णय गरेको थियो। तर, प्रधानमन्त्रीको भारत भ्रमणको ७ महिना बितिसक्दा पनि डीपीआरको टुंगो लागेको छैन। वर्षायाममा नदीमा आउने पानीलाई बाँधले रोकेर नियन्त्रित रूपमा एकनासले प्रवाह गराइने गरी पञ्चेश्वरलाई अघि बढाइने बताइएको छ। जलाशययुक्त यस आयोजनाको कार्यान्वयन भए महाकाली नदीको तल्लो तटीय क्षेत्र खासगरी कञ्चनपुर जिल्लामा बाढीले पुर्याउन सक्ने क्षति न्यूनीकरण गर्नुका साथै सुक्खायाममा नदीको बहाव बढ्न गई भारतमा करिब १६ लाख हेक्टर तथा नेपालमा करिब ९३ हजार हेक्टर जग्गामा सिँचाइ सुविधा उपलब्ध हुनेछ।"
