शीर्षक,विवरण
जहाँ दूधसमेत बिक्दैन,"कृषि पेसा निरुत्साहित हुनु हो। उत्पादनको क्षेत्रमा निराशा छाउनु हो। त्यस्तो हुनु हुँदैन। हुन दिनु हुँदैन। किसान दूध नबिकेर सडकमा मिल्काउँदै आन्दोलन गर्थे। जमाना मिल्क होलिडेको थियो। तर गाईभैंसीले होलिडे भनेर दूध नदिने कुरा भएन। किसानले नदोहोएर भएन। तर दूध नबिकेपछि किसान सडकमा फाल्थे। त्यस्तो बेला कतिपयका तर्क हुन्थे दूध त घिउ बनाएर राखे हुने। तर एक दिन दुई होइन, सधैं त्यसो गर्ने बर्कत किसानमा हुँदैन र आन्दोलन गर्नु परेको हुन्थ्यो। एक दुईजना किसानले आफ्नै उत्पादन त सम्हाल्न कठिन हुन्छ भने झन् धेरैजनाबाट संकलन गरेको दूधको प्रयोजन भएन र बजार मिलेन भने कुन हालत होला ? दुग्ध विकास आयोजना (डीडीसी)को विराटनगर शाखा त्यही हालतमा छ। दुग्ध पदार्थ बिक्री भएको छैन, भण्डारमा टनका टन दुग्ध पदार्थ थन्किएको छ। अनि थप दूध किसानबाट संकलन गरी कसरी व्यवस्थापन गर्नु ? डीडीसी सरकारी स्वामित्वको संस्था हो। बजार प्रतिस्पर्धी छ। सरकारी स्वामित्वका संस्थाहरू प्रतिस्पर्धात्मक बजारमा खरा उत्रन कमजोरी गर्छन् वा बजार घट्यो भने बजारको खोजी वा निर्यात अथवा अरू उपाय जुराउने सिर्जनशील क्षमता प्रदर्शन गर्न चुक्छन्। डीडीसीको गुणस्तर र साख उत्कृष्ट छ। उपभोक्ता त पाएसम्म डीडीसीकै दूध किन्न मन पराउँछन्। तर सरकारी संस्थानहरूको एउटै र साझा समस्या यसको व्यवस्थापन नै हो। त्यही भएर यो घाटाको दिशामा छ। विराटनगरमा मात्रै किसानबाट संकलित दूधको ३० करोड रुपैयाँ भुक्तानी दिन सकेको छैन। संघ सरकारसँग ऋण लिनुपर्ने अवस्थामा पुगेको छ संस्था। बजार चलेन भने चलायमान बनाउनु कुनै पनि उत्पादकको दायित्व हो। डीडीसीले यथास्थितिमै चल्ने प्रवृत्ति बदलेर बदलिएको बजारमा आफूलाई बिक्ने बनाउने उपाय खोज्नुपर्छ। स्वदेशमा उत्पादन बिक्ने बजार पुग्दैन भने निर्यातै गर्नेसम्मको उपाय रच्नुपर्छ। दूधबाट घिउ र पाउडर दूधमात्रै बनाएर उपाय चलेन भने अरू दुग्ध पदार्थ के हुन सक्छन्, जसको बजार छ, त्यो पनि खोजी गर्नुपर्छ। बजार खोज्नुपर्छ, नभए बनाउन पनि सक्नुपर्छ। डीडीसी थला पर्नु भनेको सीधा असर किसानमा पर्नु हो। किसानको आम्दानीमा तगारो लाग्नु हो। कृषि पेसा निरुत्साहित हुनु हो। उत्पादनको क्षेत्रमा निराशा छाउनु हो। त्यस्तो हुनु हुँदैन। हुन दिनु हुँदैन।"
सरकारको एक वर्ष : जताततै अस्तव्यस्त,"राजनीतिमा अति चलायमान प्रचण्डले कति बेला कोसँग सहमति गर्छन् भन्नेमा सत्तासीन दलकै नेताहरू पनि आशंका व्यक्त गर्छन्। त्यसैकारण कांग्रेससहितको गठबन्धन ५ वर्ष नै ढुक्कले जान्छ भनेर विश्वास गर्ने अवस्था नभएको गठबन्धनका नेताहरू बताउँछन्। काठमाडौं : २०७९ पुस १०। तेस्रोपटक सिंहदरबारको चाबी हातमा लिएपछि प्रचण्डले घोषणा गरेका थिए मेरा लागि यो अन्तिम अवसर हो। देश र जनताका पक्षमा काम गर्नेछु। एक वर्षपछि उनै प्रचण्ड भन्दै छन् अब कामलाई गति दिन्छु। निरन्तरतामा क्रमभंग गर्छु। प्रधानमन्त्री प्रचण्डकै भनाइमा पनि विगत एक वर्षमा देश र जनताले अनुभूत हुने गरी कुनै काम भएन। चौतर्फी आलोचनापछि आफूलाई तातो लागेको अभिव्यक्ति दिन थालेका छन्। केही दिनअघि राज्य व्यवस्था समितिको बैठकमा भनेका थिए अब म सिंहदरबारमै बसेर काम गर्छु। अनुगमन पनि गर्छु। तर, त्यसो भनेको चौबीस घण्टा नबित्दै प्रचण्ड राजधानी बाहिरको कार्यक्रममा देखा परे। एक वर्षको अवधिमा गठबन्धन जोगाउने र दैनिक प्रशासनका नियमित काममा मात्रै सरकार अल्झेको राजनीतिक विश्लेषकहरू बताउँछन्। आर्थिक एवं भौतिक विकास, सुशासन, संघीयता कार्यान्वयन र जनजीवनलाई प्रत्यक्ष फाइदा पुग्ने काम सरकारले गरेन। आश्वासनका पोका व्यवहारमा लागू भएनन्। उल्टै रेशम चौधरी, ल्याह्क्याल लामा, योगराज ढकाल (रिगल)को नियुक्ति र आममाफी प्रकरणमा सरकार आलोचित बन्यो। सुखद र सुरक्षित भविष्य नदेखेर युवाहरू पलायनको क्रम बढ्यो। राष्ट्रिय अर्थतन्त्र संकटमा पर्दा उद्योगीव्यवसायीमा निराशा छायो। समग्रमा भन्दा प्रचण्डको एक वर्षे कार्यकाल यसपटकलाई यस्तै भयो भने झै भयो। १ गठबन्धनमै असन्तुष्टि, सुशासनमा विकृति प्रधानमन्त्री कार्यालयका अनुसार यो वर्षको नीति तथा कार्यक्रम र बजेटमा १ हजार ६ सय क्रियाकलाप पूरा गर्ने प्रतिबद्धता थियो। तर सुरु भए जम्मा १५ वटा। यसबाटै स्पष्ट हुन्छ सरकारको गति। सुशासनका पक्षमा पनि सरकारले उल्लेखनीय काम गर्न सकेन। त्यसैकारण गठबन्धनको प्रमुख ठूलो दल कांग्रेसका नेताहरूले बारम्बार सरकार परिवर्तनको कुरा उठाइरहेका छन्। कांग्रेस नेता शेखर कोइराला, महामन्त्री गगन थापालगायतका नेताहरू प्रचण्ड नेतृत्वको विकल्प नखोजिए मुलुक उभो नलाग्ने धारणा सार्वजनिक गरिरहेका छन्। गठबन्धनको अर्को दल जसपा पनि सरकारका कार्यशैलीप्रति असन्तुष्टि जनाइरहेको छ। रेशम चौधरी र योगराज ढकाल (रिगल)लाई आममाफी दिने तथा ल्याह्क्याल लामाको नियुक्ति प्रकरणले त सुशासनको सरकारी रटानको खिल्ली नै उडायो। सरकारले जनताको विश्सास जित्न नसक्दा अराजक समूहले स्थान पाएका थिए। २ ठूला मुद्दामा हात हाल्यो, अलपत्र छोड्यो ललिता निवास, नक्कली भुटानी शरणार्थी, सुनकाण्ड जस्ता केही ठूला प्रकरणमा सरकारले हात हाल्यो। भ्रष्टाचार नियन्त्रणमा सरकार अघि बढेको भन्दै जनताले प्रसंशा पनि गरे। तर, सरकारले ती प्रकरणलाई कमजोर बनाउने, राजनीतिक रंग दिने र आफ्नालाई जोगाउने धन्दा चलाएपछि जनतामा झन् निराशा छायो। त्यसैकारण केही दिन चर्चामा आएका भ्रष्टाचारका ठूला काण्ड त्यसै सेलाए। ३ मन्त्री हराए, काम सुस्त एक वर्षे कार्यकालमा अधिकांश मन्त्रीले जागिर खाए। देश र जनताका पक्षमा देखिने र अनुभूत हुने गरी कुनै पनि मन्त्रीबाट काम भएन। मन्त्रीका कार्यशैलीप्रति स्वयं प्रचण्ड पनि असन्तुष्ट छन्। त्यसैकारण प्रचण्डले अब मन्त्री फेरेर कामलाई गति दिने बताइरहेका छन्। मलखाद, उखुको भुक्तानी, मिटरब्याज पीडित, लघुवित्त पीडितका समस्यालाई सम्बन्धित मन्त्रीले समाधान गर्न नसक्दा सर्वसाधारणमा मन्त्रीप्रतिको विश्वास हराउँदै गएको छ। ४ अर्थतन्त्र संकटमै, सरकारी खर्च न्यूनइन्डिकेटरले अर्थतन्त्र सबल देखाउँछ। तर, मुलुकको अर्थतन्त्रको अवस्था नाजुक छ। न कुनै उद्योगकलकारखाना खुलेका छन्, न त रोजगारी नै सिर्जना भएका छन्। बजारमा माग नभएको भन्दै उद्योगी व्यवसायी निराश छन्। तर, अर्थतन्त्रलाई सुदृढ र चलायमान बनाउने विषयमा सरकार संवेदनशील पनि देखिएको छैन। विकास खर्चको गति कछुवाकै चालमा छ। आर्थिक वर्षको ५ महिनामा १३ प्रतिशत पनि विकास खर्च भएको छैन। त्यसैकारण अर्थतन्त्र चलायमान बन्न नसकेको अर्थविद्हरू बताउँछन्। अर्कोतिर, राष्ट्रिय गौरवका आयोजना निर्माणको गति पनि निकै सुस्त छ। निर्माण सम्पन्न भएर पनि पोखरा र भैरहवा अन्तर्राष्ट्रिय विमानस्थल सञ्चालन हुन सकेका छैनन्। राष्ट्रिय गौरवकै अर्को आयोजना मेलम्चीको पानी धारामा नआउँदा उपत्यकावासी आन्दोलित छन्। ५ संघीयता कार्यान्वयन कानुन निर्माणमा उदासीन संघीयता कार्यान्वयनमा आएको ८ वर्ष भयो। तर, निजामती कर्मचारी, माध्यमिक शिक्षा जस्ता विधेयक बन्न सकेका छैनन्। अन्तिम चरणमा पुगेको निजामती सेवासम्बन्धी उल्टै सरकारले संसद्बाट फिर्ता लियो। त्यसैकारण मुलुकको स्थायी सरकार भनिने निजामती प्रशासनमा संघीयता आउन सकेको छैन। सरकारले ऐन बनाउन नसक्दा अधिकार नपाएको भन्दै प्रदेश सरकारहरू आक्रोशित छन्। प्रहरी समायोजनमा सरकार उदासीन भएको उनीहरूको आरोप छ। केन्द्रले अधिकार हस्तान्तरण नगरे आन्दोलनमा उत्रिने धम्की दिइरहेका छन्। ६ संक्रमणकालीन न्याय छलफलकै क्रममा प्रधानमन्त्री प्रचण्ड र कांग्रेस सभापति शेरबहादुर देउवाबीच एउटा एजेन्डामा सहमति छ जतिसक्दो चाँडो संक्रमणकालीन न्यायलाई टुंगोमा पुर्याउने। त्यसकै लागि कानुनका जानकार गोविन्द बन्दीलाई ६ महिने मन्त्री पनि बनाइयो। तर, यो विषय टुंगिएन। कार्यकालको एक वर्ष बित्न लागेपछि प्रधानमन्त्री प्रचण्ड संक्रमणकालीन न्याय निरुपणका लागि दलसँग छलफलमा जुटेका छन्। तर, सरकारले त्यससम्बन्धी विधेयक संसद्मा अझै पेस गर्न सकेको छैन। जसका कारण १० वर्षे सशस्त्र द्वन्द्वका पीडितले न्याय पाउन सकेका छैनन्। यो विषयको छिटो निरुपण गर्न अन्तर्राष्ट्रिय समुदाय र मानव अधिकारसम्बन्धी संघसंस्थाले सरकारमाथि निरन्तर दबाब बढाइरहेका छन्। ७ परम्परागत शैली, प्रधानमन्त्री एक्लो प्रधानमन्त्री प्रचण्डले भाषणमा नछुटाउने शब्द हो छलाङ। आफ्नो नेतृत्वमा सरकार बनेपछि उनले सरकारले सबैतिर छलाङ मार्ने उदघोष गरेका थिए। तर, मुखले जति आश्वासन दिए पनि उनी नेतृत्वको सरकार परम्परागत शैली भन्दा माथि उठ्न सकेन। जनतालाई सेवा सुविधा दिने, विकास निर्माणलाई गति दिने, सुशासन कायम गर्ने र अर्थतन्त्रलाई सुदृढ बनाउने दिशामा सरकारले कुनै छलाङ मार्न सकेन। आफूलाई साथ दिने दरिलो टिम बनाउन नसकेको आरोप प्रचण्डमाथि लाग्ने गरेको छ। ८ सुशासन गफमै, भ्रष्टाचार उस्तै ट्रान्सपरेन्सी इन्टरनेसनलका अनुसार मुलुकमा भ्रष्टाचारको ग्राफ बढ्दै गएको छ। सरकार, न्यायालय र संसद्मा भ्रष्टाचार बढेको प्रतिवेदन उसले सार्वजनिक गरेको थियो। सरुवाबढुवा, ठेक्कापट्टा, राजनीतिक नियुक्तिमा भ्रष्टाचार लेनदेनका काण्ड सार्वजनिक भइरहेका छन्। त्यति मात्र होइन, न्यूनतम सेवा सुविधा लिन पनि सरकारी अड्डामा घुस दिनुपर्ने बाध्यताबाट सर्वसाधारण आक्रान्त छन्। त्यसैकारण सरकारले सुशासनको जति गफ दिए पनि जनताले पत्याउने अवस्था छैन। ९ राजनीतिमा अस्थिर, जता पनि ठिक्क प्रधानमन्त्री प्रधानमन्त्री प्रचण्डप्रति गठबन्धनकै दलहरू पनि विश्वस्त छैनन्। सुरुमा एमालेको काँध चढेर सत्तामा पुगेका प्रचण्डले क्षणभरमै काँध फेरेका थिए। राजनीतिमा अति चलायमान प्रचण्डले कति बेला कोसँग सहमति गर्छन् भन्नेमा सत्तासीन दलकै नेताहरू पनि आशंका व्यक्त गर्छन्। त्यसैकारण कांग्रेससहितको गठबन्धन ५ वर्ष नै ढुक्कले जान्छ भनेर विश्वास गर्ने अवस्था नभएको गठबन्धनका नेताहरू बताउँछन्। आफूलाई अप्ठ्यारो पर्दा जोसँग पनि सत्ताका लागि सहकार्य गर्न प्रचण्ड माहिर मानिन्छन्। १० मित्रराष्ट्र कोही चिढिने, कोही नपत्याउने प्रधानमन्त्री दाहालले भारत, चीन, अमेरिका, कतारलगायतका देशको भ्रमण गरे। छोटो समयमा सबैभन्दा बढी विदेश भ्रमण गर्ने अग्रपंक्तिमा प्रचण्ड पर्ने गरेको आरोप पनि छ। तर, उनले दुई ठूला छिमेकीसँग सन्तुलनको व्यवहार देखाउन नसकेको आरोप छ। विपक्षी एमाले अध्यक्ष केपी ओलीले त चीनको सहयोग लिन सरकार डराउने गरेको सार्वजनिक आरोप नै लगाए। भारत, अमेरिकालगायतका देशले पनि प्रचण्ड सरकारलाई पूर्णरूपमा विश्वास नगरेको कूटनीतिका जानकारहरू बताउँछन्। जनतालाई सेवा दिन चुक्यो  विश्वप्रकाश शर्मा, महामन्त्री, नेपाली कांग्रेस जनतालाई सेवा सुविधा (सर्भिस डेलिभरी) मा सरकारले सकारात्मक सन्देश दिनुपर्थ्यो। त्यो भएन। भ्रष्टाचारको फाइल खोल्ने प्रयास गर्नु सरकारको प्रशंसनीय काम थियो। भूकम्प जानेबित्तिकै सरकारको लिएको पहलकदमी राम्रो थियो। तर, पुननिर्माणमा ढिलाइ भयो। अस्थायी टहरा बनाउने काम पनि टुंग्याउन सकेको छैन। यस्ता विषयका कारण सरकारले आलोचना पाउँछ। इजरायलबाट विद्यार्थी ल्याएको काम प्रशंसनीय थियो। तर, रुसको सेनामा काम गरिरहेकाहरूले गुहार माग्दा पनि सरकारले स्वदेश ल्याउने कुनै पहल गरेको छैन। अर्थतन्त्र बिग्रेको भन्दै अलिक अगाडि सरकारको आलोचना भएको थियो। अहिले शोधनान्तर बचतमा गएको अवस्था छ। सेयर मार्केटमा पनि सुधारको संकेत देखिएको छ। कतिपय सकारात्मक काम पनि हुँदै गएका छन्। त्यसैले मिश्रित ढंगले सरकारको समीक्षा गर्नुपर्छ। सरकारले सबै राम्रो गरेको छ, भन्न सकिन्न। आममाफी दिने कुरामा सरकारले गल्ती गरेको छ। सरकारका कामलाई सम्पूर्ण रूपले नराम्रो भएको छभन्दा अन्याय होला। सरकारले राम्रो काम गरेर वाह वाह भएको छ भन्नु पनि उपयुक्त नहोला। सरकार असफलताको बाटोमा राजेन्द्र गौतम , प्रचार विभाग प्रमुख, नेकपा एमाले गठबन्धन सरकारले जे काम गर्छु भनेर सार्वजनिक प्रतिबद्धता गरेको थियो त्यो कामचाहिँ गर्न नै सकेन। अहिलेको आर्थिक अवस्था धराशायी बन्दै गइरहेको छ। ऋण खोजेर कर्मचारीलाई तलब खुवाउनुपर्ने अवस्था छ। सुशासनको आँखाबाट हेर्दा भ्रष्टाचार न्यूनीकरण र नियन्त्रण गर्नका निम्ति अगाडि बढ्छु र मुलुकमा सुशासन कायम गर्छु भन्ने जुन खालको उद्धोष थियो, त्यो भएन। हाम्रो समाजमा जुन खालका साँस्कृतिक मूल्य मान्यताहरू थिए। ती पनि क्रमशः अबमूल्यन हुँदै गइरहेको अवस्था छ। समाजमा अराजकता सिर्जना भइरहेको छ। सरकारले उपयुक्त डेलिभरी दिन सकेको छैन। रोजगारी दिन सकेको छैन। सरकारको समग्र पक्षको मूल्यांकन गर्दा अपेक्षित परिणाम दिन सकेन। सरकार असफलताको दिशातर्प अगाडि बढेको भन्ने हाम्रो पार्टीको निष्कर्ष हो। सरकार सुशासन कायम गर्न, आर्थिक समृद्धि ल्याउनका निमित्त कुनै पनि आयोजना सञ्चालनमा छैनन् विकास आयोजना ठप्प प्रायः छ्न। अहिले भर्खरै मध्यपहाडी लोकमार्गको यात्रा गरेर आउँदा सरकारले छुट्ट्याएका बजेट समयमा नआउँदा लोकमार्गले पूर्णता पाउन सकेको छैन। बजेटप्राप्त नभएर आयोजना सञ्च्चालन हुन सकेको छैन। गठबन्धन जुन तामझाम र उद्देश्यका साथ गठन भयो त्योअनुसार काम हुन सकेनन्। सरकारले आफ्नो औचित्य प्रमाणित गर्न सकेको छैन। सरकार असफल छ। सरकार सफल देव गुरुङ , महासचिव, माओवादी केन्द्रसंसद्को गणित नै पेचिलो छ। सरकार बनाउन गठबन्धन बनाउनैपर्छ। सरकारको मूल्यांकन गर्दा प्रचलित कानुन, ब्युरोक्रेसीको संयन्त्र र स्रोत साधनको उपलब्धताको मूल्यांकन गर्नुपर्ने हुन्छ। प्रधानमन्त्री एक्लो कोही पनि हैन। सिंगो मन्त्रिपरिषद्को मूल्यांकन गर्नुपर्छ। समग्र संरचनाको नाम राज्य हो। अहिले निशंकोच भन्नुपर्छ सरकारको एक वर्षे कार्यकाल सफल भएको छ। गति नै भएन जगन्नाथ खतिवडा, प्रवक्ता, एकीकृत समाजवादी भने जति काम गर्न सकिएन भनेर प्रधानमन्त्री आफैं भनी राख्नुभएको छ। मुलुकको अर्थतन्त्र नेताको कारण मात्र बिग्रेको होइन। रुस र युक्रेनको युद्ध यसको प्रमुख कारण हो। अन्तर्राष्ट्रिय समुदायमा ठूलो व्यापारिक मन्दी र नेपालको आयात मुखी अर्थतन्त्र यी तीन कुरा सँगै जोडिएका छन्। अर्को कुशासनको कुरा छँदै छ।। केही गर्छ कि भनेर आस गरेको सरकारले भ्रष्टाचारमा संलग्नता पुष्टि भएका केही व्यक्तिलाई उन्मुक्ति दियो। जनताको आशा त्यही मर्यो। संस्थागत भ्रष्टाचार मौलायो। जरो जस्ताको त्यस्तै रहन दिन हाँगा काँटे भनेर प्रधानमन्त्री मख्ख हुनुभएको होला। त्यो ठूलो कमजोरी हो। प्रधानमन्त्रीले गर्न नसकेको भनेको निर्यातमुखी अर्थतन्त्र बनाउनसक्नु भएन। कुशासनलाई सुशासनमा वृद्धि गर्न सक्नुभएन। सरकारको राम्रो पक्ष भनेको धेरैवटा दल सामेल भएर धेरै एजेन्डा र विचार एक ठाउँ ल्यायो। तर, सरकारले सही प्रयोग गरेर गति लिन सकेन। प्रधानमन्त्री हौसिएर मसँग समय छैन, यो गर्छु त्यो गर्छु, भन्नुहुन्छ। तर, परिणाम कुनै पनि काममा देखिएको छैन। जनताको आशाअनुसार काम भएन चित्रबहादुर केसी , अध्यक्ष, राष्ट्रिय जनमोर्चा सरकारको एक वर्ष गठबन्धन बनाउनेमै बित्यो। संघीयताको भार चाहेर पनि यिनीहरूले बोक्न सक्दैनन्। नेपालका शासक, प्रशासकको स्थिति, नेपालको भूगोल, अर्थतन्त्र, भौगोलिक अवस्थितिका अनुसार संघीयता कार्यान्वयन गर्न टाउको फोडेर लागे पनि प्रधानमन्त्रीले सक्नुहुन्न। हाम्रो पार्टीले सुरुका दिनदेखि भन्दै आएको हो। यो सरकारले गर्न सक्ने काम भनेको जनतालाई सुशासन दिने, भ्रष्टाचार नियन्त्रण गर्ने, राष्ट्रियताको संरक्षण गर्ने हो। तर, सक्ने काम पनि जनताले आशा गरे जति गर्न सकेनन्। केही भ्रष्टाचारीलाई कारबाही त भयो, तर जनताले कडा कारबाही चाहन्थे त्यो भने हुन सकेन। सबै पार्टीका आ आफ्नै स्वार्थ र चाहना छन्। संसदीय सीमाभित्र गर्न सक्ने काम पनि भएको देखिएन। आशावादी थिए जनता त्यो हुन सकेन। राजनीति पार्टीबाट सत्ता र स्वार्थलाई केन्द्रमा राख्ने काम भएको छ। ७८ सिट भएकालाई नेतृत्व गर्न नदिने ३२ सिटेलाई नेतृत्व गर्न दिइयो। ७८ वालाले विभिन्न माग पूरा गराउन लाग्ने परिपाटी छ। सरकार त्यही प्रवृत्तिबाट गल्छ। लगानीको वातावरण नै बिग्रियोडा रघुवीर बिष्ट, अर्थविद् राजनीतिक हिसाबले मुलुकमा स्थिरता देखिन्छ। तर, आर्थिक हिसाबले नकारात्मक अवस्था छ। बाहिरी अर्थतन्त्र राम्रो छैन। नयाँ रोजगारी सिर्जना हुन सकेको छैन। देशप्रति युवाहरूको आशा मरेको छ। दैनिक हजारभन्दा बढी युवा बिदेसिएका छन्। यो जति नकारात्मक अवस्था अरू के हुन सक्छ ? लगानीको वातावरण बिग्रेको छ। भएका लगानीकर्ताको पनि मनोबल गिरेको छ। नयाँ लगानीकर्ता आउने वातावरण अति नै कम छ। बजेटमा जुन लक्ष्य लिइएको थियो, त्यसमा सरकार असफल भएको छ। बजार भाउ एकदमै अकासिएको छ। यो वर्ष देशको सिंगो अर्थतन्त्र मात्र नभई सरकारको अर्थतन्त्रमा पनि मन्दी छाएको छ। राजस्व पनि उठ्न सकेको छैन। गुड गभर्नेन्सको कमीकमजोरीका कारण पनि लक्ष्य गरिएको राजस्व उठ्न नसकेको हो। सरकारका नयाँ योजना र परियोजनामा पनि उत्साह देखिँदैन। भ्रष्टाचार र चुहावट एकदमै संस्थागत हुँदै गएका छन्। जताततै राजनीति हाबी छ। सुशासनको क्षेत्रमा एकदमै कमजोरी छ। खुला अर्थतन्त्र भनिए पनि व्यवहारमा त्यस्तो छैन। राज्य प्रणालीमै समस्या टंक कार्की, पूर्वराजदूत राज्य प्रणालीमै समस्या छ। ०६२६३ देखि नै सेवा प्रदायकमै समस्या देखिएको हो। हाम्रो प्राथमिकताअनुसार आर्थिक र सामाजिक विकासका काममा जुन गति दिनुपर्थ्यो, त्यो अहिलेको सरकारले मात्र हैन कुनै पनि सरकारले गरेनन्। अहिलेको सरकारमाथि मात्र दोष थोपर्नुको अर्थ छैन। हाम्रो जस्तो देशमा आधुनिक कृषि प्रणालीमा सरकार फोकस हुनुपर्थ्यो। त्यतातिर सरकारको ध्यान जान सकेको छैन। हामीसँग भएको दुर्लभ साधन स्रोतको प्रयोग हुन सकेको छैन। संरचनामा परिवर्तन गर्नतर्फ सरकारको ध्यान छैन। हाम्रा प्राथमिकतामा गाउँमा मन्दिर बनाउने, पशुपतिमा पूजा गर्ने जस्ता विषय छन्। भारत र चीन जस्ता अर्थतन्त्रका उदयमान राष्ट्रहरूको तानातानीमा नलागी हाम्रा समस्या हामी नै समाधान गर्न सक्छौं। भारत र चीनसँग गरिएका एग्रिमेन्ट कहिल्यै समयमा कार्यान्वयन हुन सकेका छैनन्। भारत र चीन तटस्थ बसिरहेको बेला हामीलाई रुस युक्रेन युद्धका विषयमा बोल्न किन हतार परेको ? रुसको निन्दा गर्दैमा नेपालले के पाउने ? र, के नपाउने ? कूटनीतिक विषयमा निर्णय गर्ने कुरामा सरकारले बेलैमा ध्यान दिनुपर्छ। सरकारलाई पास नम्बर मात्रै डालोकराज बराल, राजनीति विश्लेषक सरकारले अलिकति गर्न खोजेको देखिन्छ। भ्रष्टाचारका केही ठूला काण्ड र भुटानी शरणार्थी प्रकरणमा केही काम गर्यो। यी विषयमा गर्न खोज्दा खोज्दै विविध कारणले ब्रेक लाग्न गयो। तर, जनताका पीरमर्का बुझ्ने र सर्भिस डेलिभरीमा सरकार कमजोर देखियो। भारतले १० हजार बिजुली किन्ने लगायतका साधारण कुरामा सहमति भयो, त्यो सकारात्मक हो। महाकाली सन्धिको २८३० वर्ष भइसक्यो। ३ महिनामा डीपीआर बनाउने भनियो, यत्तिकै अल्झियो। विकासका योजनामा पूर्ण गतिशीलता आएको छ। विकास निर्माणका काममा पनि सरकार चुकेको छ। भारतसँग सम्बन्धमा सुधार, संयुक्त राष्ट्रंघका महासचिवको नेपाल भ्रमण, जलवायु परिवर्तनको सम्मेलनमा नेपालका समस्याको उजागर गर्नुलाई सरकारको उपलब्धि मान्न सकिन्छ। अरू कुरा पुरानै रूपमा चलेका छन्। गठबन्धनको सरकारले गरेको यत्ति नै ठूलो उपलब्धि हो। यसअघिका सरकारले पनि गफै लगाएका हुन् के नै गरेका थिए र ? त्यसकारणले यो गरेन, उ गरेन भन्न मात्र सकिँदैन। मैले दिनुपर्दा पास नम्बर सम्म सरकारलाई दिन सक्छु।"
कोटा नछुट्याएको भन्दै मधेस प्रदेश लोकसेवाविरुद्ध थाकसले दियो रिट,"काठमाडौं : थारू कल्याणकारिणी सभा (थाकस)ले थारू समुदायलाई आरक्षण व्यवस्था नगरेको भन्दै मधेस प्रदेश लोकसेवाविरुद्ध रिट दर्ता गरेको छ। थाकसले उच्च अदालत राजविराजमा उक्त रिट दर्ता गराएको हो। थाकसको तर्फबाट अधिवक्ता अजय चौधरीले उच्च अदालत राजविराजमा रिट दर्ता गराएका हुन्। मधेस प्रदेशले थारू समुदायको लागि ५ प्रतिशत आरक्षणको व्यवस्था गरेको छ। प्रदेश निजमती सेवा ऐनअनुसार मधेसीलाई ५४, दलितलाई १७, मुस्लिमलाई १२, आदिवासी जनजातिलाई ६, थारूलाई ५, आर्थिकरूपले विपन्न खस आर्यलाई ४ र अपांगलाई २ प्रतिशतको आरक्षण व्यवस्था गरेको छ। कानुनमा स्पष्टरूपमा आरक्षण व्यवस्था गरिए पनि पटकपटक पदपूर्ति आह्वान गर्दासमेत थारू समुदायलाई आरक्षण उपलब्ध नगराएको थाकसको आरोप छ। यससम्बन्धी मुद्दा हेर्दै आएका थाकसका प्रतिनिधि कुछतनारायण चौधरीले अघिल्ला तीन वटा विज्ञापनमा मधेस प्रदेशले थारू समुदायलाई कोटा नछुट्याएको बताए। 'पछिल्ला तीन वटा विज्ञापन आह्वान हुँदासमेत थारूलाई कोटा छुट्याएको पाइएन। त्यसैकारण मधेस प्रदेश लोकसेवाविरुद्ध रिट दर्ता गराएका छौं,' उनले भने। उक्त रिटको पेसी पुस ११ गते बुधबारलाई तोकिएको छ। यसअघि सर्वोच्च अदालतले ९ महिनाभित्र कानुन बनाएर थारू समुदायलाई आरक्षण व्यवस्था गर्न परमादेश जारी गरेको थियो। त्यसको समयसीमा माघ ४ गते सकिँदैछ। तर हालसम्म संघीय निजामती विधेयक संसदमा दर्ता हुन सकेको छैन।"
