शीर्षक,विवरण
"भोलि किचकबध धार्मिक मेला, तयारी पूरा","झापा : भोलि शनिबार लाग्ने महाभारतकालीन किंवदन्तीसँग जोडिएको ऐतिहासिक किचकबध धार्मिक मेलाको तयारी पूरा भएको छ। हरेक वर्ष माघे शुल्क पूर्णिमास्वस्थानी व्रतका दिन किचकबध मेला लाग्दै आएको छ। भद्रपुर नगरपालिका २ र ३ नम्बर वडामा पर्ने किचकबध धार्मिक स्थलमा लाग्ने मेलाको तयारी पूरा भइसकेको किचकबध, धार्मिक तथा पर्यटकीय स्थल संरक्षण समितिका सहसचिव तथा मेला आयोजक समितिका संयोजक गुणहरि ढुंगानाले जानकारी दिए। किचकबधको धार्मिक पोखरीमा माघे शुल्क पूर्णिमा दिन स्वतःस्फूर्त पानी आउने गरेकोले सो पोखरीमा नुहाउँदा व्रतालु भक्तजनहरूले इच्छाएको मनकामना पुरा हुने धार्मिक विश्वास रहेको छ। भक्तजनहरूले पोखरीमा पैसा फाल्ने, पान र सुपारी राखेर पूजा अर्चना गरी परेवा उडाउने धार्मिक प्रचलन पनि छ। भक्तजनहरूले भीमसेनले किचकलाई वध गरेको मूर्तिमा समेत पूजाअर्चना गर्ने गर्छन्। किचकबध मेलामा झापासहित पूर्वका विभिन्न जिल्लासँगै छिमेकी राष्ट्र भारतबाट समेत भक्तजनहरू आउन गरेकाले घुइँचो नै लाग्ने गरेको छ। महाभारतकालीन किंवदन्ती अनुसार विराट राजाका सालो किचक सेनापति थिए। पाँच पाण्डवकी रानी द्रौपदीको यौवन र रूप माथि कुदृष्टि राख्ने सेनापति किचकलाई भीमसेनले मुड्क्याएर मारेको किंवदन्ती छ। सोही कथावस्तुलाई आधार मानेर यस ठाउँको नाम किचकबध राखिएको र पछि किचकबध ऐतिहासिक, धार्मिक तथा पर्यटकीय स्थलको नामकरण गरिएको जनाइएको छ।"
सामसङले अघिल्लो फोन मोडलहरूमा 'ग्यालेक्सी एआइ' उपलब्ध गराउने,"काठमाडौं : सामसङले अघिल्लो फोन मोडलहरूमा 'ग्यालेक्सी एआइ' उपलब्ध गराउने भएको छ। अझ धेरै ग्यालेक्सी डिभाइसहरूमा मोबाइल एआइको विश्वव्यापी विस्तार लाई गति दिनका लागि नयाँ वान युआइ अपडेट ग्यालेक्सी एआइ ल्याएको हो। सामसङ नेपालले मोबाइल एआईको थप विस्तारका लागि निर्माण गरिएको नयाँ वान् युआई ६१ को माध्यमबाट अब ग्यालेक्सी एस २३ सिरिज, एस२३ एफई, जेड फोल्ड५ र जेड फ्लिप ५ सिरिजहरूमा पनि मार्चको अन्त्यदेखि ग्यालेक्सी एआइ उपलब्ध हुने जनाइएको छ। हालसालै प्रस्तुत गरिएको ग्यालेक्सी एस२४ सिरिजसँग आबद्ध यो अद्यावधिकले अनडिभाइस र क्लाउडमा आधारित एआईलाई संयोजन गर्दै हाइब्रिड विधिमार्फत् प्रयोगकर्ताहरूको मोबाइल एआई अनुभवको स्तरलाई कम्पनीले दावी गरेको छ। ग्यालेक्सी एआइसँग हाम्रो लक्ष्य मोबाइल एआइको नयाँ युगको जननी बन्ने मात्र नभई मोबाइल एआई अझ बढी पहुँच योग्य बनाएर प्रयोगकर्ताहरूलाई सशक्त बनाउनु पनि हो। सामसङ इलेक्ट्रोनिक्स, मोबाइल एक्स्पे्रियन्स बिजनेस प्रमुख तथा अध्यक्ष टिएम र्होले भने यो ग्यालेक्सी एआइको सुरुवात मात्र हो। हाम्रो योजना सन् २०२४ भित्र १० करोडभन्दा बढी ग्यालेक्सी प्रयोगकर्ताहरूलाई यसको अनुभव दिलाउने तथा मोबाइल एआइको असीमित सम्भावनाहरूको उपयोगका लागि नवीन उपायहरूको खोजी जारी राख्ने रहेको छ। व्यवधानहरू रहित सञ्चार सेवा एआई सञ्चालित मोडलहरूमा उपलब्ध सञ्चार सेवा विस्तारित ग्यालेक्सी एआई विशेषताहरूको लाभ अझै धेरै ग्यालेक्सी प्रयोगकर्ताहरूले लिन सक्नेछन्। यी विशेषताहरूमा मेसेज टोन मिलाउने र च्याट एसिस्टको सहायताले १३ भिन्न भाषामा मेसेजहरू ट्रान्सलेट गर्ने सुविधा समेत संलग्न छन्। ग्यालेक्सी प्रयोगकर्ताहरूले लाइभ ट्रान्सलेट मार्फत् रियल टाइमा नै भाषा ट्रान्सलेट गर्न सक्नेछन्। जसले फोन कलहरूका लागि आवाज र टेक्स्ट अनुवादहरू उपलब्ध गराउनेछ। इन्टरप्रिटरको साथमा प्रयोगकर्ताहरू आफ्नो यात्राको दौरानमा स्थानीयहरूसँग तत्काल कुराकानी गर्न सक्षम हुनेछन् किनकी स्प्लिट स्क्रिन विशेषताले प्रत्यक्ष कुराकानीका लागि टेक्स्टहरू अनुवाद गरेर देखाउने कम्पनीले बताएको छ। अतुलनीय उत्पादकत्व ग्यालेक्सी इकोसिस्टममा गरिएको ग्यालेक्सी एआइको व्यापक एकीकरणले एआई समर्थित मोडलहरूमा प्रयोगकर्ताहरूलाई निर्वाध रुपमा दैनिक कार्य गर्न सक्षम बनाउँदै दक्षताको नयाँ स्तरहरू संचालन गराउँछ। सर्कल टु सर्च वीथ गुगल मार्फत् खोज प्रणालीहरूको सुधार गरिएको हुँदा सजिलै आफूले खोजेको कुरामा एउटा सर्कल बनाएर खोज परिणामहरू पाउन सकिनेछ। नोट एसिस्ट जस्ता विशेषताले प्रयोगकर्ताहरूलाई फम्र्याटहरू सिर्जना गर्न, सारांशहरू रचना गर्न र टिप्पणीहरू अनुहवाद गर्न मद्दत गर्दछ भने ब्राउजिङ एसिस्टले समाचार सामग्रीहरूको समग्र सारांशहरू एकै क्षणमा तयार गर्दछ। ट्रान्सक्रिप्ट एसिस्टले मिटिङहरूको रेकर्डिङ गरी सजिलै सारांशहरू तथा अनुवादहरू तयार पार्न सक्छ। ग्यालेक्सी एआइको साथमा सामसङले व्यक्तिको सिर्जनशील सम्भाव्यतालाई उजागर गर्न आफ्नो भूमिकालाई दोब्बर बनाएको छ। ग्यालेक्सीको पछिल्लो अद्यावधिकले ग्यालेक्सी एआई टुलहरूको सेट उपलब्ध गराएको छ। जसले फोटो खिचेपछि पनि रचनात्मक स्वतन्त्रताको अवसर दिन्छ। जेनेरेटिभ इडिट मार्फत् एआई समर्थित उपकरणहरूले फोटोहरूलाई सजिलै रिसाइज गर्ने, रिपोजिसन गर्ने, अथवा रिएलाइन गर्न सक्नेछन्। यस्तै प्रयोगकर्ताहरूले इडिट सजेसनको सहायताले पहिलेभन्दा छिटो र सजिलो तरिकाले कुनै पनि फोटोलाई सजाउन सक्नेछन्। इन्स्ट्यान्ट स्लोमो ले चलायमान फलहरू क्याप्चर गर्न सुस्त गतिको भिडियोहरूका लागि अतिरिक्त फ्रेमहरू तयार गर्ने हुनाले धेरै सटहरू बारम्बार खिच्नु नपर्ने बनाइदिन्छ। सिर्जनशीलता र व्यक्तित्वकरण त्यत्तिमै रोकिदैन, ग्यालेक्सी उपकरणहरूलाई अनुकूलन गर्न एआई निर्मित वालपेपरहरू मार्फत पहिलेभन्दा झन् सजिलो भएको छ। एआई समर्थित उपकरणहरूले प्रयोगकर्ताहरूको सिर्जनशीलतालाई सक्षम बनाएको छ।"
धरान एक्स्पो सुरु,"धरान : स्थानीय उत्पादन र व्यापार व्यवसाय प्रवर्द्धन गर्नका लागि धरान एक्स्पो सुरु भएको छ। शुक्रबारदेखि सुरु भएको एक्स्पोको पर्यटनमन्त्री सुदन किरातीले उद्घाटन गरेका छन्। धरानको व्यापार व्यवसाय प्रवर्द्धन गर्ने र आन्तरिक तथा बाह्य पर्यटकलाई आकर्षण गर्ने उद्देश्यका साथ सुनसरी उद्योग वाणिज्य संघले एक्स्पो आयोजना गरेको हो। स्थानीय कृषि उपज बेसार, अदुवा, अम्लिसोलाई प्रवर्द्धन गर्दै यहाँको आर्थिक गतिविधि वृद्धि गर्न तथा पर्यटन, सूचना प्रविधि, कला संस्कृति, शिक्षा, तथा औद्योगिक व्यापार प्रदर्शनी गर्ने उद्देश्यले एक्स्पोको आयोजना गरिएको अध्यक्ष विजय श्रेष्ठले बताए। एक्स्पोमा १५० वटा स्टल राखिएको छ। ५ लाखभन्दा बढीले अवलोकन गर्ने आयोजकको अपेक्षा छ । फागुन २३ गतेसम्म सञ्चालन हुने एक्स्पोबाट धरानको व्यापार व्यवसाय सञ्चालनमा थप सहयोग पुग्ने आयोजकले जनाएको छ।"
परालको कुन्युमा आगलागी हुँदा जलेर बालकको मृत्यु,"झापा : झापा गाउँपालिकामा आगलागी हुँदा एक बालकको जलेर मृत्यु भएको छ। मृत्यु हुनेमा झापा गाउँपालिका४ स्थित भानटोली निवासी इनाम हुसैन सेखका साढे ४ वर्षको छोरा अतिप हुसैन रहेको जिल्ला प्रहरी कार्यालय झापाका प्रहरी निरीक्षक ढुण्डिराज गिरीले जानकारी दिए। प्रहरीका अनुसार शुक्रबार दिउँसो साढे ४ बजेको समयमा इनामको घर नजिकैको परालको कुन्यूमा आगलागी भएको थियो। सो आगो सल्किएर इनामको एक तले टिनको छानो भएको कच्ची घरमा आगो लागेको थियो। उनको छोरा अतिप आगो लागेको नजिकैको मस्जिद र परालको कुन्यूको चेपमा खेलिरहेका थिए। बालक आगोको चपेटा पर्दा घटनास्थलमै मृत्यु भएको प्रहरी निरीक्षक गिरीले बताए। आगो भद्रपुर र बिर्तामोडको दमकल, स्थानीय, नेपाल प्रहरी र सशस्त्रको सहयोगमा नियन्त्रणले कार्य भइरहेको प्रहरीले जनाएको छ।"
हिउँ परेपछि किसान खुसी,"काठमाडौं : हिउँ परेपछि किसान खुसी भएका छन्। हिमाली जिल्ला दोलखाको शैलुङमा हिउँ परेपछि यहाँका किसान खुशी भएका छन्। आलु रोपेपछि पानी नपर्दा चिन्तित भएका शैलुङका झोर,मनगाउँ लगायतका किसानहरू हिउँदे वर्षा कुर्दा कुर्दा निरास बनेका थिए। बिहीबार हिमपात भएपछि किसानलाई हर्षित बनाएको छ। यसपटक पहिले भन्दा बाक्लो हिउँ जमेको छ। जिल्लामा हिमपात हुँदा कालिञ्चोक, शैलुङ, हनुमन्ते, चेर्दुङु,दोलखाको प्रवेशद्वार खरीढुंगा, जिरी लगायतका उच्च हिमाली भेग सेताम्य भएका छन्। यतिखेर परेको हिउँले माटोमा चिसोपन सोसेर माटोलाई खुकुलो बनाउने, रोग किरा नलाग्ने हुँदा किसानका लागि यो हिउँ अमृत बराबर भएको शैलुङ गाउँपालिका८ का विशाल श्रेष्ठले बताए।"
शनिबार देशका यी स्थानमा हुने छ वर्षा,"काठमाडौं : शनिबार गण्डकी, कर्णाली र सुदूरपश्चिम प्रदेशको पहाडी भूभागमा आंशिकदेखि साधारणतया बदली रही बाँकी भूभागमा आंशिक बदलीदेखि मौसम मुख्यतया सफा रहने छ। मौसम पूर्वानुमान महाशाखाका अनुसार गण्डकी, कर्णाली र सुदूरपश्चिम प्रदेशको पहाडी भूभागको एकदुई स्थानमा छिटपुटदेखि हल्का वर्षाको सम्भावना रहेको छ। गण्डकी, कर्णाली र सुदूरपश्चिम प्रदेशका उच्च पहाडी तथा हिमाली भूभागका थोरै स्थानहरूमा साथै कोशी र बागमती प्रदेशको उच्च पहाडी तथा हिमाली भूभागका एकदुई स्थानमा हल्का हिमपातको सम्भावना रहेको छ। शनिबार राति गण्डकी, कर्णाली र सुदूरपश्चिम प्रदेशको पहाडी भूभागमा आंशिकदेखि साधारणतया बदली रही बाँकी भूभागमा आंशिक बदलीदेखि मौसम मुख्यतया सफा रहने छ। गण्डकी, कर्णाली र सुदूरपश्चिम प्रदेशको पहाडी भूभागका एकदुई स्थानमा छिटपुटदेखि हल्का वर्षाको सम्भावना रहेको छ। गण्डकी, कर्णाली र सुदूरपश्चिम प्रदेशका उच्च पहाडी तथा हिमाली भूभागका थोरै स्थानहरूमा साथै कोशी र बागमती प्रदेशको उच्च पहाडी तथा हिमाली भूभागका एकदुई स्थानमा हल्का हिमपातको सम्भावना रहेको छ।"
"न्याय माग्दै मिटरब्याज पीडितको सिंहदरवार मार्चपास, रात कटाउन फोडे प्रदर्शनी हलको ताला","काठमाडौं : मिटरब्याज पीडितहरूले थानकोटसिंहदरवार पैदल मार्चपास गरेका छन्। पूर्व मेचीदेखि पश्चिम महाकालीबाट पैदल यात्रा गर्दै केन्द्रीय राजधानी आइपुगेका उनीहरूले सरकारसँग न्याय माग गरेका छन्। मिटरब्याजी साहुबाट शारीरिक, मानसिकसहितका अन्याय सहँदै आएका उनीहरूले कानुन संशोधनको मागसमेत गरेका छन्। सरकारले मिटरब्याज पीडितको समस्या समाधानका लागि जाँचबुझ आयोग गठन गरे पनि त्यसले झनै अन्यायमा पारेको उनीहरूको गुनासो छ। सिंहदरवारसम्मै पैदल मार्चपास गर्ने योजना बुनेर आएका उनीहरू शुक्रबार भृकुटीमण्डमै रोकिएका थिए। प्रहरीले निषेधित क्षेत्र भन्दै त्यहाँबाट अगाडि बढ्न दिएन। केहीबेर सडकमै बसेर नाराबाजी गरेका उनीहरू साँझ भृकुटिमण्डस्थित प्रदर्शनी हलको ताला फोडेका छन्। सुरक्षित रात कटाउनुपर्ने माग गरे पनि प्रशासनले नसुनेपछि ताला फोडेर बसेको पीडितहरूको भनाइ छ। तस्बिरहरू : अभिषेक महर्जनअशोक दुलाल"
युवकको हत्या आरोपमा दिदीभाइ पक्राउ,"कपिलवस्तु: कपिलवस्तु नगरपालिका४ पिपरीमा गत शनिबार टाउको काटेर युवकको हत्या गरेको आरोपमा प्रहरीले २ जनालाई पक्राउ गरेको छ। जिल्ला प्रहरी कार्यालय कपिलवस्तुका अनुसार पक्राउ पर्नेहरूमा कपिलवस्तु नगरपालिका४ पिपरीका श्याम कुमार उपाध्याय र उनकी दिदी पुष्पादेवी (गुडिया) रहेका छन्। उनीहरुलाई जिल्ला अदालतबाट म्याद थप गरी अनुसन्धानका लागि गरी जिल्ला प्रहरी कार्यालयमा थुनामा राखिएको छ। महाराजगंज नगरपालिका६ भलवारीका २७ वर्षीय शिव कुमार कुर्मीको टाउको नरहेको अवस्थामा सोमबार शव फेला परेको थियो। सो शवको टाउको आज हत्या गरेको स्थान नजिकै गाडेको अवस्थामा प्रहरीले फेला पारेको छ। प्रहरीले हत्यामा प्रयोग भएका घरेलु हतियारहरु २ थान बन्चरो, कोदालो र अन्य हतियार बरामद गरेको छ। घटनामा संलग्न रहेका अन्यको पनि सूक्ष्म ढंगबाट खोजी कार्यलाई तीव्र बनाइएको प्रहरी नायब उपरीक्षक हरिबहादुर वलीले बताए। हत्या आरोपमा पक्राउ परेकी गुडिया र मृतक कुर्मीबीच प्रेम सम्बन्ध रहेको बताइएको छ। गुडियाका पति वैदेशिक रोजगारीमा रहेका छन्। मृतक कुर्मीकी श्रीमती, छोरी र छोरा छन्। आफ्ना पतिको हत्यामा संलग्न रहेका सबैलाई कडा कारवाही हुनुपर्ने मृतककी पत्नी उर्मिला कुर्मीले माग गरेकी छिन्।"
"झापाबाट चोरी गरिएका मोटरसाइकल ताप्लेजुङ लगेर बिक्री, एकजना पक्राउ","झापा : मोटरसाइकल चोरीका घटनाले झापा प्रहरीलाई हैरान बनाएको छ। दिनहुँ जसो मोटरसाइकल हराएको वा चोरी भएको जाहेरी पर्न थालेपछि झापा प्रहरी अन्य कामकाज छाडेर चोरी गर्ने गिरोहको खोजीमा लागि परेका छन्। यसै क्रममा झापा प्रहरी फागुन ३ गते चोरी गिरोह आबद्धमा एक जनालाई पक्राउ गरेको छ। जिल्ला प्रहरी कार्यालय झापाबाट खटिएका प्रहरी टोलीले मोरङ मिक्लाजुङ गाउँपालिका६ घर भई हाल झापा बिर्तामोड नगरपालिका६ बुट्टावारि बस्ने २७ वर्षीय योगेश मगर भन्ने बालकुमार मगरलाई पक्राउ गरेको छ। बिर्तामोडबाट चोरी भएको प्र१०१०१२ प ३५४७ नम्बर उल्लेख भएको २२० सिसीको कालो रातो पल्सर मोटरसाइकल बिक्री गर्न जाँदै गरेको अवस्थामा मगरलाई पाँचथर हिलिहाङ गाउँपालिका५ बाट पक्राउ गरी झापा ल्याएको जिल्ला प्रहरी कार्यालय झापाका एसपी मिलन केसीले जानकारी दिए। प्रहरीले उनलाई शुक्रबार पत्रकार सम्मेलन गरी सार्वजनिक गरेको छ। मगर पक्राउ परेसँगै उनले बिक्री गरेको आठ वटा मोटरसाइकल समेत फेला परेको छ। सबै मोटरसाइकल ताप्लेजुङ जिल्लाको विभिन्न स्थानबाट फेला परेको एसपी केसीले बताए। गिरोहमा आबद्ध अझै तीन जना फरार रहेको र उनीहरूको खोजी कार्य भइरहेको उनले बताए। झापाबाट चोरी भएका मोटरसाइकल ताप्लेजुङ लगेर ३५ देखि ५० हजार रुपैयाँसम्म बिक्री मगर रहेको प्रारम्भिक अनुसन्धानबाट खुलेको प्रहरी कार्यालय झापाका निमित्त प्रवक्ता तथा इन्स्पेक्टर ढुण्डिराज गिरीले जानकारी दिए। त्यहाँ मोटरसाइकल बिक्री गरेर मगरले रकम बिर्तामोडको आइएमइमा पठाउने र गिरोहका अन्य व्यक्तिले निकाल्ने अनुसन्धानबाट खुलेको इन्स्पेक्टर गिरीको भनाई छ। अहिलेसम्म प्रहरीमा एक सय बढी मोटरसाइकल हराएको र चोरी भएको जाहेरी परेको बताउँदै इन्स्पेक्टर गिरीले भने, यी गिरोहले बेचेका अरू पनि मोटरसाइकल फेला पर्न सक्छ, त्यसतर्फ प्रहरी लागि परेको छ। चोरी गरिएका मोटरसाइकलको नम्बर प्लेट मेटाएर पहाडी जिल्लामा पुयाउने बिक्री गर्न गिरोह सक्रिय रहेको उनको भनाई छ। फेला परेको मोटरसाइकलहरू प्र१०३००५प ८०४३ नम्बरको २२० सिसीको कालो पल्सर, प्र१०१०१६ प १२६ नम्बरको २२० सिसीको कालो निलो पल्सर, प्र१०२०४८ प ३२३७ नम्बरको २२० सिसीको रातो सेतो पल्सर, नम्बर प्लेट उल्लेख नभएको २२० सिसीको कालो रातो पल्सर, को ३९ प १८८४ नम्बरको १५० सिसीको कालो निलो पल्सर, ०१४ प ३१ नम्बर उल्लेख भएको एनएस र बा ७२ प १९९१ नम्बर भएको १५० सिसीको रहेको प्रहरीले जनाएको छ। नम्बर उल्लेख भएको मोटरसाइकलको नम्बर फरक हुन सक्ने भएकाले सम्बन्धी मोटरसाइकल धनीले प्रहरीमा सम्पर्क राख्न अनुरोध पनि गरिएको छ।"
१४ सय रियालमा नेपाली महिला बेच्ने बुढाथोकी प्रहरी फन्दामा,काठमाडौं : वैदेशिक रोजगारीको प्रलोभन देखाएर एक महिलालाई दुबई हुँदै ओमानमा लगेर बेच्ने एक जना पक्राउ परेका छन्। मानव बेचबिखन अनुसन्धान व्युरोले बाँके घर भई टोखा बस्ने ६५ वर्षीय प्रकाश सिंह बुढाथोकीलाई पक्राउ गरेको हो। बुढाथोकीले पीडित महिलालाई कुवेत भन्दै गत फागुन १७ गते भिजिट भिसामा दुबई पठाएका थिए। दुबई पुगेकी पीडित महिलालाई एक महिनासम्म बन्धक बनाइएको र त्यसपछि १४०० रियालमा ओमानमा लगेर बेचेको पाइएको प्रहरी अनुसन्धानबाट खुलेको छ। ओमानमा लगी पीडित महिलालाई शारीरिक तथा मानसिक यातना दिने गरेको प्रहरीले जनाएको छ। ती महिलालाई ओमानी नागरिकको घरमा १८२० घन्टासम्म बिना ज्याला काममा लगाउने गरेको पाइएको प्रहरीको भनाइ छ। व्युरोका सूचना अधिकारी प्रहरी उपरीक्षक ज्ञानेन्द्र प्रसाद फुयालले बुढाथोकीले मेडिकल गराई दुबईको टिकेट काटेर भिजिटि भिसामा पठाएको पाइएको छ। दुबईबाट भिजिट भिसाको दुरुपयोग गरी ओमानमा ती महिलालाई बेचिएको प्रहरी उपरीक्षक फुयालले बताए। बुढाथोकीलाई मानव बेचबिखन तथा ओसारपसार मुद्दामा काठमाडौं जिल्ला अदालतबाट ५ दिनको म्याद लिई अनुसन्धान भइरहेको प्रहरीले जानकारी दिएको छ।
