शीर्षक,विवरण
"इसेवा लाइफ केयर सुरु, ५ लाख ३० हजारसम्मको आर्थिक सुरक्षा पाइने","काठमााडौं : नेपालको पहिलो र अग्रणी भुक्तानी सेवा प्रदायक इसेवाले इसेवा केयरको सफलतासँगै इसेवा लाइफ केयर योजना सार्वजनिक गरेको छ। यसअघि दुर्घटना तथा बिरामी पर्दाको अवस्थालाई मध्यनजर गर्दै सार्वजनिक गरिएको इसेवा केयरलाई ग्राहकले अत्यधिक मन पराएपछि अहिले जीवनकै बीमा हुने गरी इसेवा लाइफ केयर योजना सार्वजनिक गरिएको हो। इसेवा लाइफ केयर एक टर्म लाइफ जीवन बीमा प्याकेज हो। जसले ५ लाख ३० हजारसम्मको जीवन बीमाको ग्यारेन्टी गर्दछ। यो जीवन बीमा योजना सन लाइफ इन्स्योरेन्स् र हिमालयन एभरेष्ट इन्स्योरेन्स्सँगको सहकार्यमा सञ्चालन गरिएको हो। यस योजनामा इसेवा केयरमा जस्तै विभिन्न स्वास्थ्य सम्बन्धी सेवाहरूमा अफर तथा छुटहरू समेत समावेश गरिएको छ। यस योजनामा वार्षिक ७ सयदेखि सुरुवाती मूल्यमा ५ लाख ३० हजार रुपैयाँको लाइफ केयर प्रदान गर्दछ। यस योजनाले सस्तो मूल्यमा १८ देखि ४५ वर्ष उमेर सम्मको बिमाका साथै अन्य स्वास्थ्य सुविधाहरू प्रदान गर्न मद्दत गर्ने अपेक्षा गरिएको छ। यस योजनामा उमेर अनुसार प्रीमियम रकम पनि फरक हुनेछ। यसअघि दुर्घटना तथा बिरामी पर्दाको अवस्थालाई मध्यनजर गर्दै सार्वजनिक गरिएको इसेवा केयरलाई ग्राहकले अत्यधिक मन पराएपछि यसमा जिबन बीमा पनि समावेश गरि इसेवा लाइफ केयर योजना सार्वजनिक गरिएको हो। इसेवा लाइफ केयर योजनामा टर्म लाइफ कभरेज २ लाख ५० हजार, दुर्घटना उपचार खर्च एक लाख, अस्पतालको बेड चार्जमा १० हजार, दुर्घटनाबाट भएको मृत्युमा एक लाख २० हजार, गम्भिर रोगको ५० हजार र ३० भन्दा बढी स्वास्थ्य र सौन्दर्य सम्बन्धित सेवामा ३५ प्रतिशतसम्म छुट प्राप्त गर्न सकिन्छ। इसेवा प्रयोगकर्ताले यो सेवा लिन सुरुमा इसेवाको मोबाइल एप्स् अथवा वेबपेजमा जानुपर्नेछ।"
"एम्बुलेन्समा गाँजा तस्करी, दुईवटा एम्बुलेन्ससहित ३२५ किलो गाँजा बरामद","विराटनगर : बिरामी ओसारपसारमा प्रयोग गरिँदै आएको अतिआवश्यकीय सवारीसाधन एम्बुलेन्समार्फत कोशी प्रदेशमा लागूऔषध गाँजाको तस्करी गर्ने क्रम बढेको छ। सुनसरी र धनकुटाबाट गाँजा ओसारपसारमा प्रयोग गरिएको दुईवटा एम्बुलेन्ससहित आइतबार नेपाल तथा सशस्त्र प्रहरीले ठूलो परिणाममा गाँजा बरामद गरेको छ। दुवै स्थानमा गरेर ३ सय २५ किलोग्राम गाँजा बरामद भएको छ। सुनसरीबाट सशस्त्र र धनकुटाबाट नेपाल प्रहरीले गाँजासहित एम्बुलेन्सलाई नियन्त्रणमा लिएको हो। धनकुटाबाट एम्बुलेन्स चालक पनि पक्राउ परेका छन्। बिरामीलाई उपचारका लागि जतिसक्दो चाँडो स्वास्थ्य संस्थामा पुयाउन मद्दत गर्ने सवारीसाधन एम्बुलेन्स सुरक्षा निकायको चेकजाँच एवं निगरानीमा कम पर्ने गरेको छ। सामान्य अवस्थामा सुरक्षा चेकजाँचमा नपर्ने भएकाले त्यसको फाइदा उठाउँदै गाँजाको अवैध धन्दामा संलग्नले ओसारपसारमा एम्बुलेन्सको प्रयोग गरिरहेको निष्कर्ष प्रहरीको छ। सुनसरीको बराहक्षेत्र नगरपालिका१ स्थित चतराधरान सडकखण्डअन्तर्गत बगुवादेखि सूर्यकुण्ड जाने भित्री सडकबाट सशस्त्र प्रहरीले २ सय ७३ किलोग्राम गाँजा बरामद गरेको छ। सशस्त्र प्रहरी बल कोशी प्रदेशका प्रमुख डीआईजी अन्जनीकुमार पोखरेलले ९ वटा बोरामा प्याक गरी एम्बुलेन्समा लोड गरेर राखेको अवस्थामा गाँजा बरामद भएको बताए। उनका अनुसार सशस्त्र प्रहरी बल सुरक्षा बेस क्याम्प चतराबाट खटिएको टोलीले बिहानका राति २ः३० बजेतिर गाँजा बरामद गरेको हो। विशेष सूचनाका आधारमा को १ च २९३७ नम्बरको एम्बुलेन्सलाई नियन्त्रणमा लिएर खानतलासी गर्दा गाँजा फेला परेको जानकारी पोखरेलले दिए। उनका अनुसार एम्बुलेन्सलाई नियन्त्रणमा लिनसाथ चालक र गाँजा ओसारपसारमा संलग्न रहेका व्यक्तिहरु भने फरार भएका छन्। गाँजा भारततर्फ लैजाने तयारी गरिएको हुनसक्ने सशस्त्रले जनाएको छ। बरामद गाँजासहित एम्बुलेन्सलाई आवश्यक कारबाहीका लागि नेपाल प्रहरीको जिम्मा लगाइएको डीआईजी पोखरेलले बताए। उनका अनुसार पछिल्लो समय एम्बुलेन्ससहित विभिन्न सवारीसाधनको प्रयोग गरेर गाँजा ओसारपसार गर्ने क्रम बढेको छ। त्यस्तै, एम्बुलेन्समा लोड गरेर सुनसरीको धरानतर्फ ल्याउँदै गरेको ५२ किलोग्राम गाँजा धनकुटाको साँगुरीगढी गाउँपालिका६ भेडेटारबाट नेपाल प्रहरीले बरामद गरेको छ। धनकुटाबाट धरानतर्फ आउँदै गरेको मे १ च २०३२ नम्बरको एम्बुलेन्सलाई नियन्त्रणमा लिएर खानतलासी गर्दा गाँजा बरामद भएको कोशी प्रदेश प्रहरी प्रमुख डीआईजी चन्द्रकुवेर खापुङले जानकारी दिए। उनका अनुसार एम्बुलेन्सभित्र गाँजा बरामद भएपछि चालक विराटनगर महानगरपालिका८ का ४८ वर्षीय जयदेव चेललाई पक्राउ गरिएको छ। गाँजा ओसारपसार भइरहेको विशेष सूचनाका आधारमा इलाका प्रहरी कार्यालय भेडेटारबाट खटिएको टोलीले एम्बुलेन्सलाई नियन्त्रणमा लिएर खानतलासी गरेको थियो। पक्राउ परेका चालक चेललाई हिरासतमा राखेर थप अनुसन्धान अघि बढाइएको डीआईजी खापुङले बताए। उनका अनुसार चेलविरुद्ध लागूऔषध ऐनअन्तर्गतको मुद्दा चलाइने छ।"
आईटीएफको अन्तर्राष्ट्रिय प्रतियोगितामा भाग लिने महिला खेलाडीको बिदाइ,"विराटनगर : अन्तर्राष्ट्रिय आईटीएफ तेक्वान्डो प्रतियोगितामा भाग लिन मलेसियातर्फ जान लागेकी एक जना महिला खेलाडीलाई आइतबार विराटनगरमा बिदाइ गरिएको छ। मलेसियामा यही फागुन १७ गतेदेखि २० गतेसम्म हवारङ वाररिअर आईटीएफ तेक्वान्दो वल्र्ड च्याम्पियनसिप हुँदैछ। अन्तर्राष्ट्रिय प्रतियोगितामा भाग लिन मलेसियातर्फ जान लागेकी भोजपुरकी सजिना तामाङलाई बिदाइ गरिएको हो। भोजपुरको षडानन्द नगरपालिका घर भएकी तामाङले पछिल्लो समय आईटीएफमा उत्कृष्ट प्रदर्शन गर्दै आइरहेकी छन्। विगतमा पनि विभिन्न पदकहरू जितेकी छन्। मोरङको निर्वाचन क्षेत्र नम्बर ४ (क)बाट निर्वाचित प्रदेशसभा सदस्य जयप्रकाश चौधरी र कोशी प्रदेश खेलकुद विकास बोर्डका सदस्य सचिव हंशराज वाग्लेले उनलाई संयुक्त रूपमा बिदाइ गरेका हुन्। प्रदेश खेलकुद विकास बोर्डमा कार्यक्रमको आयोजना गरेर तामाङलाई बिदाइ गरिएको हो। प्रदेश सांसद चौधरीले तामाङलाई जितको शुभकामना दिँदै खेल क्षेत्रको विकासका लागि प्रदेश सरकार लाग्नुपर्नेमा जोड दिए। खेलाडीहरूले आफ्नै लगानीमा खेलको अभ्यास गरेर राष्ट्रका लागि खेल्ने गरेका छन्, उनले भने, खेल क्षेत्रको विकासमा सरकारसहित सबै पक्षको ध्यान जान जरुरी छ। सदस्य सचिव वाग्लेले प्रदेश सरकार खेल र खेलाडीप्रति उत्तरदायी भएर लागेको बताए। खेलाडीहरू स्वदेश वा विदेशमा हुने प्रतियोगितामा भाग लिन जाँदा आफ्नो खर्च गरेर जानुपर्ने अवस्थाको अन्त्य गर्न आवश्यक रहेको उनको भनाइ छ। खेल क्षेत्र र खेलाडीको विकासका लागि अब सरकारले विशेष योजना ल्याउनुपर्छ, वाग्लेले भने, कुनै पनि प्रतियोगिता खेल्न विदेश जाने खेलाडीको स्रोत सुनिश्चित हुनुपर्छ। प्रतियोगितामा जानेआउने साथै खानेबस्ने व्यवस्था राम्रो भएमा खेलाडीले उत्कृष्ट प्रर्दशन गर्नसक्ने उनको भनाइ छ। प्रदेश खेलकुद बोर्डले खेल र खेलाडीको प्रवर्द्धनका लागि राष्ट्रिय तथा अन्तर्राष्ट्रिय प्रतियोगितामा पदक विजेताहरूलाई सम्मान गर्ने प्रचलन बसाएको जानकारी वाग्लेले दिए। देशमै पहिलोपटक हाम्रो प्रदेशका खेलाडीहरूलाई गतवर्ष पदकका आधारमा नगदका साथै सम्मानपत्रले सम्मान गरेका थियौं। धेरै वर्षदेखि राष्ट्रिय र अन्तर्राष्ट्रिय प्रतियोगितामा पदक जिते पनि खेलाडीलाई वास्ता गरिएन। उनीहरूलाई सरकारकोतर्फबाट हामीले योजना बनाएर नगदसहित सम्मान गरेका हौं। यसले खेलाडीको मनोवल उच्च हुन्छ, उनले भने। नेपाल अन्तर्राष्ट्रिय आईटीएफ तेक्वान्दो महासंघका केन्द्रीय अध्यक्ष प्रवीणकुमार कार्कीका मलेसियामा हुने अन्तर्राष्ट्रिय प्रतियोगितामा नेपालका तर्फबाट आईटीएफका ४ जना खेलाडीले सहभागिता जनाउने छन्। जसमा एक जना महिला खेलाडी तामाङ रहेकी हुन् । तामाङसहित खेलाडीहरू वीरेन्द्र कुँवर, देवेन्द्र सुनार र कैलाश अर्यालले प्रतियोगितामा भाग लिने जानकारी कार्कीले दिए। उनका अनुसार खेलाडीका साथमा अम्पायर विक्रम बाठा मगरसमेत मलेसिया जाने छन्।"
दार्चुलाको महाकालीमा कार्यरत नगर प्रहरी मृत फेला,दार्चुला : दार्चुलाको महाकाली नगरपालिकामा कार्यरत एक नगर प्रहरी झुन्डिएको अवस्थामा मृत फेला परेकी छिन्। महाकाली नगरपालिका४ खलंगास्थित डेरा गरी बस्ने वडा नम्बर ८ कि २२ वर्षीया रविना पल्याल कोठामा झुन्डिएको अवस्थामा मृत फेला परेको जिल्ला प्रहरी कार्यालय दार्चुलाका प्रहरी निरीक्षक गोविन्द भण्डारीले बताए। आइतबार दिउँसो २ बजेको समयमा आफ्नै कोठामा रहेको पंखाको डण्डीमा झुन्डिएको अवस्थामा मृत फेला परेको र घटनाबारे अनुसन्धान भइरहेको उनले बताए। मृतक पल्याल आजै बिहान १० बजे घरबाट आएको बताइएको र २ बजेदेखि नगरपालिकामा ड्युटी रहेको महाकाली नगरपालिकाका असई मोहन सिंह धामीले बताए।
मोटरसाइकल दुर्घटनामा चालकको मृत्यु,झापा : झापामा मोटरसाइकल दुर्घटनामा चालकको मृत्यु भएको छ। मृत्यु हुनेमा अर्जुनधारा नगरपालिका९ कालीस्थानका ५५ वर्षीय खेम बराल रहेका जिल्ला प्रहरी कार्यालय झापाका प्रहरी निरीक्षक ढुण्डिराज गिरीले जानकारी दिए। प्रहरीका अनुसार शनिबार राती करिब ८ बजे अर्जुनधारा९ चिया बगानस्थित भित्री सडकमा शनिश्चरेबाट कालीस्थानतर्फ जाँदै गरेको प्र१०१०१५ प ९८१७ नम्बरको मोटरसाइकल अनियन्त्रित भई दुर्घटना भएको थियो। दुर्घटनामा घाइते भएका चालक बराललाई उपचारका लागि बिर्तासिटी अस्पताल बिर्तामोड लगिएको थियो। उनको उपचारका क्रममा आइतबार दिउँसो करिब ४ बजे मृत्यु भएको प्रहरी निरीक्षक गिरीले बताए। मोटरसाइकल प्रहरी चौकी शनिश्चरेले नियन्त्रणमा लिएको छ।
स्वास्थ्यकर्मीको निधनमा नगरपालिकामा सार्वजनिक बिदा,"गोरखा : माताहतका एकजना स्वास्थ्यकर्मीको निधन भएको भन्दै गोरखा नगरपालिकाले सोमबार सार्वजनिक बिदा गरेको छ। वडा नम्बर १४ मा कार्यरत अहेब किशोरबाबु सेढाईंको निधन भएपछि नगरपालिकाले सोमबार नगरपालिका मातहतका सबै कार्यालयहरूमा सार्वजनिक बिदा दिएको हो। नगरपालिकाको आइतबारको निर्णयअनुसार सोमबार नगरपालिका कार्यालय, वडा कार्यालयहरू, शिक्षण संस्था तथा स्वास्थ्य संस्थामा सार्वजनिक बिदा दिइएको प्रकाशित सार्वजनिक सूचनामा जनाइएको छ। नगरपालिकाका कर्मचारी, जनप्रतिनिधिको मृत्यु हुँदा शोक त मनाउनु पर्यो नि, नगरप्रमुख कृष्ण रानाले भने, त्यसैले सार्वजनिक बिदा गर्ने निर्णय गरिएको हो।"
सञ्चयकर्ता घुम्ती सेवाबाट तीन सय ७७ सञ्चयकर्ताले सेवा लिए,"खाँदबारी : सङ्खुवासभामा सदरमुकाम खाँदबारीमा कर्मचारी संचय कोष सञ्चालन गरेको सञ्चयकर्ताका लक्षित घुम्ती सेवामा तीन सय ७७ सञ्चयकर्ताले सेवा लिएका छन्। कर्मचारी सञ्चय कोष, सेवा केन्द्र धनकुटाले शुक्रबारदेखि आइतबारसम्म घुम्ती सेवा सञ्चालन गरेको धनकुटा सेवा केन्द्रका प्रमुख दीपेन्द्र सापकोटाले जानकारी दिए। सञ्चय कोषले नेपालमा नै पहिलो पटक घुम्ती सेवामा मार्फत सेवा प्रदान गरेको हो। हिमाली जिल्ला संखुवासभाका सञ्चयकताहरूले धनकुटा तथा विराटनगर पुगेर सेवा लिँदा सास्ती खेप्नु परेकाले जिल्लामा नै पुगेर सेवा प्रवाह गरेको प्रमुख सापकोटाले बताए। जिल्लामा नै सेवा प्रवाह हुँदा सञ्चयकर्ताको समय र आर्थिक भार समेत कम भएको उनको भनाइ छ। घुम्ती सेवामा तीन सय ७७ सञ्चयकर्ताले डिजिटल परिचय पत्र दिएका छन्। यस अघि सञ्चय कोषले हस्तलिखत परिचय पत्र वितरण गर्दै आएको थियो। गोपनीयता, दुरूपयोग रोक्न र सेवा प्राभावकारी बनाउन डिजिटल परिचय पत्र वितरण गरिएको प्रमुख सापकोटाको भनाइ छ। घुम्ती सेवामा सुत्केरी तथा शिशु स्याहार सुविधा अन्र्तगत १३ जनाले सेवा लिएका छन्। सुत्केरी तथा शिशु स्याहार सुविधामा सञ्चयकर्ताले सात हजार पाँच सय रुपैयाँ प्राप्त गरेको सेवा केन्द्रका सूचना अधिकारी देवानन्द बैजनाथले जानकारी दिए। त्यसैगरी अशक्त विशेष सापटी अन्तगत एक जनाले १० लाख रुपौयाँ सापटी समेत लिएका छन्। तीन सय ७२ जनाको केवाइसी अद्यावधिक, आठ जनाको खाता एकीकरण र अवकाश भएका एक जना सञ्चयकर्ताको छुट भुक्तानी समेत लिएका छन्। घुम्ती सेवाको अवसरमा सय भन्दा बढी सञ्चयकर्ता सँग सेवा प्रवाहका बारेमा अन्तरक्रिया समेत गरिएको थियो। सदरमुकाम खाँदबारीमा पनि घर सापटी कर्जा लागु गर्न सञ्चयकर्ताहरूले सञ्चय कोष सँग माग गरेका छन्। कर्मचारी सञ्चय कोषले आफ्नो कार्यालय रहेको जिल्ला केन्द्रित गरेर मात्र घर सापटी कर्जा दिने गरेको छ। हिमाली जिल्लाहरूमा घर सापटी कर्जा लागु गरि सहरीकरणमा टेवा पुग्ने सञ्चयकर्ताहरू बताउँछन्।"
तत्कालीन नापी अधिकृत धानुकसहित ३५९ जना विरुद्ध करिब ८० करोडको भ्रष्टाचार मुद्दा दायर,"काठमाडौं : अख्तियार दुरूपयोग अनुसन्धान आयोगले नियमित विपरीत सरकारी जग्गा व्यक्ति विशेषको रुपमा दर्ता गरी भ्रष्टाचार गरेको आरोपमा नापी कार्यालय झापाका तत्कालीन नापी अधिकृत रामदेव मण्डल धानुकसमेत ३५९ जना विरुद्ध छुट्टाछुट्टै भ्रष्टाचार मुद्दा दायर गरेको छ। अख्तियारका प्रवक्ता नरहरि घिमिरेले झापाको साविक दमक ६ ग को सर्पट नापीको समयमा दमक नगरपालिका वडा नम्बर १३ र १४ कायम रहेको बालुवाटारको (रतुवा र दिपिन खोलाको दोभानबाट उत्तर तर्फ) ४७ विगाहा जग्गा व्यक्ति विशेषको नाममा दर्ता गरेको पुष्टि हुन आएकाले नगरपालिकाका तत्कालीन नापी अधिकृत धानुकसहित १८७ जनाविरुद्ध आज विशेष अदालत काठमाडौंमा भ्रष्टाचार मुद्दा दर्ता भएको जानकारी दिए। व्यक्तिको नाममा गरेको १८ विगाहा १७ करोड १३ धुर जग्गाको न्यूनतम मूल्यांकन ४१ करोड ६२ लाख १९ हजार ८७५ रुपैयाँ बराबर रहेकाले सोही रकम बराबरको बिगो कायम गरी नापी कार्यालय झापाका ९ जना कर्मचारी,सरकारी सार्वजनिक जग्गा गैरकानुनी तरिकाले स्वबासी जग्गादर्ता प्रक्रियाबाट आफ्नो नाममा दर्ता कायम गरेका सुरु जग्गा दर्तावला ६५ जना र विगो असुल उपर तथा जग्गा जफत प्रयोगजनका लागि मात्र प्रतिवादी बनाइएका ११३ जनागरी १८७ जनाविरुद्ध भ्रष्टाचार मुद्दा दायर गरेको अख्तियारले जनाएको छ। यस्तै सोही स्थानको २९ विगाह १७ कट्टा ४ धुर जग्गा व्यक्ति विशेषको नाममा कायम भएको अख्तियारले जनाएको छ। सो मुद्दामा नापी कार्यालयका झापाका तत्कालिन नापी अधिकृतसहित १७२ जनाविरुद्ध मुद्दा दायर भएको हो। व्यक्तिको नाममा कायम भएको २९ विगाहा १७ कट्टा र ४ धुर जग्गाको न्यूनतम मूल्यांकन ३४ करोड ६६ लाख ५४ हजार ८४९ रुपैयाँ रहेको अख्तियारको आरोपपत्रमा उल्लेख छ। प्रतिवादीहरूले स्वबासी दर्ता प्रक्रियाबाट दर्ता गराइ उक्त जग्गाहरू तहतह हुँदै राजीनामा वा अन्य प्रक्रियाबाट आफ्नो नाममा ल्याएको देखिँदा प्रतिवादीहरूलाई भ्रष्टाचार निवारण ऐन २०५९ को दफा ४७ समेतको कानुनी प्रावधान अनुसार सरकारी सार्वजनिक जग्गा नेपाल सरकारको नाममा फिर्ता ल्याउने अख्तियारले मागदावी गरेको आरोपपत्रमा उल्लेख छ।"
उब्जनी घटेपछि रित्तिँदै बस्ती,"सुर्खेत : पहिले पाखोबारीमा अन्नबाली राम्रै फल्थ्यो। सिजन अनुसार तरकारी खेती हुन्थ्यो। नजिकै घाँस पाइने भएकाले पशुपालनबाट स्थानीयले आम्दानी गर्थे। तर पछिल्लो एक दशकयता गाउँमा खेती गर्दा पनि उत्पादन घट्दै गइरहेको छ। सुक्खा र खडेरीका कारण पाखोबारीमा उब्जनी हुन छाडेपछि सुर्खेतको चौकुने र पञ्चपुरीका लेकाली बस्तीहरू रित्तिँदै गइरहेका हुन्। गाउँमा दुख गरेर खेती गर्दासमेत उब्जनी हुन छाडेपछि स्थानीयहरू बसाइ सर्ने क्रम बढेको छ। बढ्दो खानेपानीको संकट र सिँचाइको अभावले गर्दा उब्जनी हुन छाडेपछि स्थानीयले बस्ती नै छाडिरहेका छन्। जिल्लाको चौकुने गाउँपालिकाको वडा नं १ मा रहेका तोलीसैन र सोता गाउँमा पहिलेको जस्तो हिजोआज उत्पादन हुँदैन। आकाशबाट पानी पर्न कम भएको र गाउँमा सिँचाइको सुविधा नहुँदा बारीमा अन्नबाली फल्न छाडेको हो। उत्पादन भएको अन्नले वर्षभरी छाक टार्न हम्मेहम्मे हुन थालेपछि धेरै परिवार गाउँ नै छाडेर अन्यत्रै गएको तोलीसैनकी देवीकला रानामगरले बताइन्। पहिला त हाम्रो गाउँमा ३० घरपरिवार थिए देवीकलाले भनिन्,गाउँमा उब्जनी हुन छाडेपछि १४ परिवार पुर्खाले कमाउँदै आएको घरबारी नै छाडेर अन्यत्रै गइसके, अचेल गाउँमा रहेका कुवाहरू पनि सुक्दै गएका छन्। खडेरीमा यहाँ खानेपानी नै पाउन मुस्किल छ, खेतीमा सिँचाइ कसरी गर्नु ? गाउँमा रहेका पानीका कुवामा पनि पानीको स्रोत घट्दै गएको र सिँचाइको अभावमा अन्नबाली तथा तरकारीको उत्पादन हुन छाडेको उनको भनाइ छ। उब्जनी नहुँदा स्थानीयहरू पछिल्लो समय बस्ती नै छाडेर चौकुनेकै लगाम, पोखरे र छिमेकी जिल्ला कैलालीको लम्कीतर्फ बसाइ सरेर गएका छन्। अधिकांश परिवार बस्ती छाडेर गए पनि गाउँमा रहेका परिवारले उत्पादन घट्दै जाँदा जीविकोपार्जनमा समस्या भोगिरहेका छन्। तोलीसैनमा रहेको २ लाख १५ हजार ५४२ वर्गमिटर जमिन मध्ये हाल अधिकांश जग्गा बाँझो छ। हाल यहाँ करिब ५५ हजार १७३ वर्गमिटर जमिनमा मात्रै खेती हुँदै आएको स्थानीय बताउँछन्। यस्तै तोलीसैनदेखि पश्चिम क्षेत्रमा पर्ने सोता गाउँमा केही वर्ष अघिसम्म ३५ परिवारको बसोबास थियो। तर गाउँमा उब्जनी हुन छाडेपछि अहिले यहाँ केवल ३ परिवार मात्र बसोबास गरिरहेका छन्। बाँकी परिवार आफ्नो घरजग्गा छाडेर अन्यत्रै गएका छन्। यो गाउँमा रहेको २ लाख ८८ हजार २८६ वर्गमिटर खेतीयोग्य जमिन मध्ये हाल करिब ४० हजार वर्गमिटर क्षेत्रफल जमिनमा मात्र खेती गर्ने गरिएको छ। स्थानीय यामबहादुर रानाले गाउँमा उब्जनी हुन छाडेपछि अधिकांश परिवारले बस्ती नै छाडेर गएको बताए। उनले भने,पहिले गाउँमा लगाएको बाली राम्रै फल्थ्यो, त्यसैले वर्षभरी खान पुग्थ्यो। तर पछिल्ला वर्षमा आकाशबाट पानी कम पर्न थाल्यो, पाखोबारीमा सिँचाइ सुविधा नहुँदा उत्पादन घट्दै गएपछि वर्षभरी खान पुग्दैन। खानेपानीको अभावका कारण स्थानीयहरू बस्तीबाट टाढा रहेका खोलाबाट पानीको जोहो गर्न बाध्य छन्। खानेपानीको संकट र सिँचाइको अभावमा बारीमासमेत उब्जनी हुन छाडेपछि धेरै परिवारले गाउँ छाड्दा बस्ती नै रित्तिन थालेको उनले सुनाए। यस्तै अवस्था रहे बाँकी रहेका परिवारले पनि गाउँ छाड्ने अवस्था आउने उनको भनाइ छ। चौकुनेमा मात्र होइन, जिल्लाको पञ्चपुरी नगरपालिकाकामा रहेका लेकाली बस्तीमा पनि यस्तै समस्या छ। पञ्चपुरी नगरपालिकाको वडा नं १ मा रहेका हाँसेगाउँ, फार्सेकाँडा र भक्तडीका बस्तीहरू पनि पछिल्लो समय पातलिँदै गएका छन्। उमेरले ६ दशक पार गरेकी स्थानीय लक्ष्मी शाही भन्छिन्,अचेल हामीलाई खानेपानीको जोहो गर्नै धौधौ भयो, पहिलाको जस्तो वर्षात् पनि हुँदैन। वर्षात् नहुँदा गाउँमा रहेका पानीका मुहान सुक्दै गए, खडेरीले पाखोबारीमा पहिलाको जस्तो उब्जनी हुँदैन। डाडाँको बस्तीमा पानीका स्थायी स्रोत छैनन्। भएका मुहान पनि विस्तारै सुक्न थालेपछि स्थानीय बासिन्दा बर्सेनि बसाइ सरेर जानेक्रम बढ्दो छ। पूर्ववडाध्यक्ष धनबहादुर थापाका अनुसार खानेपानीको अभाव र खडेरीले उत्पादन घट्दै गएपछि यो वडाबाट हालसम्म करिब डेढसय घरधुरी बसाइ सरेर गइसकेका छन्। खानेपानी र सिँचाइको सुविधा उपलब्ध नभए बस्तीहरू विस्तारै रित्तिँदै जाने उनको भनाइ छ। सन् २०१९ मा कर्णाली र सूदुरपश्चिम प्रदेशका बोगतानलगामकर्णाली र रानागाउँमा रहेका जलाधार क्षेत्रहरूको अध्ययनले जलवायु परिवर्तनका कारण पानीका मुहान र सिमसार क्षेत्रहरू सुक्नेक्रम बढेको देखाएको छ। जलवायु विज्ञ सुदीप ठकुरीका अनुसार उक्त अध्ययनले सो क्षेत्रमा पानीका स्रोत सुक्दै गएको, मुहानमा पानीको सतह घटिरहेको र मानवीय क्रियाकलापले गर्दा जलाधार क्षेत्रमा अतिक्रमण बढेको देखाएको छ। उनी भन्छन्,जलवायु परिवर्तनका कारण आकाशबाट कम वर्षात् हुने गरेको छ, खडेरीको समस्या पनि बढ्न थाल्यो। सिँचाइ नहुँदा किसानको बारीमा विस्तारै उब्जनी घट्दो छ, यसले विस्तारै जीविकोपार्जनमा नै समस्या उत्पन्न गराइरहेको छ। उब्जनी नहुँदा जिल्लाका ग्रामीण बस्तीहरू विस्तारै रित्तिन थाले पनि सरकारी तवरबाट भने यसतर्फ कुनै चासो दिएको देखिंदैन। सिँचाइ सुविधाको व्यवस्थापन नभए ग्रामीण क्षेत्रमा खाद्यान्नको संकट बढ्ने र यसले बसाइसराइको दरलाई थप बढाउने विज्ञहरू बताउँछन्। यसलाई रोक्न ग्रामीण क्षेत्रमा खानेपानीको सुविधा उपलब्ध गराउनुपर्ने र खडेरीमा पनि फल्न सक्ने अन्नबालीको खेतीतर्फ स्थानीयलाई आकर्षित गर्नुपर्ने उनीहरूको सुझाव छ।"
एम्बुलेन्सबाट गाँजा बरामद,सुनसरी : सुनसरीमा सशस्त्र प्रहरीले एम्बुलेन्सबाट गाँजा बरामद गरेको छ। आइतबार सशस्त्र प्रहरी बल नेपाल नम्बर ४ गणले एम्बुलेन्सबाट २७३१३० ग्राम गाँजा बरामद गरेको हो। सशस्त्र प्रहरी बल नेपाल सुरक्षा बेश चतराबाट सशस्त्र प्रहरी निरीक्षक बिग बहादुर गोलेको कमाण्डमा खटिएको टोलीले सुनसरीको बराहक्षेत्र नगरपालिका१ चतराबाट सूर्यकुण्डतर्फ जाने भित्री सडक खण्डमा शंकास्पद अवस्थामा रोकिराखेको को १ च २९३७ नम्बरको एम्बुलेन्स चेकजाँचका क्रममा ९ वटा पोकामा लुकाएर राखेको अवस्थामा गाँजा बरामद गरेको हो। बरामद एम्बुलेन्स र गाँजा थप अनुसन्धान तथा कारबाहीका लागि इलाका प्रहरी कार्यालय महेन्द्रनगर चक्रघट्टीमा बुझाइएको सशस्त्र प्रहरी बल नेपाल नम्बर ४ गण सुनसरीका गणपति समेनन्द बज्राचार्यले जानकारी दिए।
