शीर्षक,विवरण
पोर्चुगल पठाइदिने भन्दै १७ लाख रुपैयाँ ठगी गरेको आरोपमा एकजना पक्राउ,"काठमाडौं : वैदेशिक रोजगारीका लागि पोर्चुगल पठाइदिने भन्दै लाखौं रकम ठगी गर्ने एकजना पक्राउ परेका छन्। पक्राउ पर्नेमा सिन्धुपाल्चोक लिसंखुपाखर गाउँपालिका४ घर भइ हाल काठमाडौंको मित्रनगर बस्ने २३ वर्षीय टिकाबहादुर भण्डारी रहेका छन्। उनी टोपेन्द्र घर्तीसमेत दुईजनालाई वैदेशिक रोजगारीका लागि पोर्चुगल पठाइदिने, त्यसका लागि प्रतिव्यक्ति १५ लाख रुपैयाँ लाग्ने र त्यहाँ प्रतिष्ठित कृषि कम्पनीमा काम लगाइदिने आश्वासन दिएर १७ लाख ६० हजार रुपैयाँ लिइ फरार भएका थिए। आफू ठगिएको थाहा पाएपछि पीडितहरूले प्रहरीमा उजुरी दिएका थिए। सोही उजुरीका आधारमा खोजतलासका क्रममा भण्डारीलाई काठमाडौंको मित्रपार्कबाट नियन्त्रणमा लिएको उपत्यका अपराध अनुसन्धान कार्यालयका प्रवक्ता प्रहरी उपरीक्षक रविन्द्र रेग्मीले जानकारी दिए। उनलाई थप कारवाही र अनुसन्धानका लागि वैदेशिक रोजगार विभाग पठाइएको प्रहरीले जनाएको छ।"
कोशीमा हात्ती समस्या : जनताको समस्या बुझ्न मुख्यमन्त्रीको पदयात्रा,"झापा : कोशी प्रदेशका हात्ती पीडितहरूको समस्या बुझेर त्यसलाई समाधान गर्ने उद्देश्यले बोकेर मुख्यमन्त्री केदार कार्कीले हात्ती प्रभावित क्षेत्रमा पदयात्रा सुरु गरेका छन्। जीवजनावर, जंगल, जनतामैत्रीजिम्मेवार जनप्रतिनिधि भन्ने नारासाथ मुख्यमन्त्री कार्कीको झापाको बाहुनडाँगीबाट उदयपुरको जोगीदहसम्मको पदयात्रा सुरु गरेका छन्। मुख्यमन्त्री कार्कीले बुधबार एक कार्यक्रमका बीच मेचीनगर नगरपालिका४ स्थित प्रसाद गौँडाबाट पदयात्राको शुभारम्भ गरेका हुन्। हात्ती तथा पर्यावरण संरक्षणको सन्देशमूलक गीत गाएर अभियान सुरु गर्यो। जीव, जंगल, जनावर, मानिस सबैको संरक्षण गर्ने यो अभियान हो मुख्यमन्त्री कार्कीले भने, यो पदयात्रा ती समस्या पहिचान गर्ने प्रयास हो । सिंगो सरकार हात्ती पीडित जनताको ठाउँमा पुगेर समस्या हेर्न आएको बताउँदै मुख्यमन्त्री कार्कीले भने, पीडितहरूको दुःख बुझ्न आएका हौं। सबैभन्दा बढी मानिसले ज्यान गुमाएको ठाउँमा आइ दुःखको कुरा सुन्दै अघि बढ्ने र हात्तीको ज्यानको पनि संरक्षण गरिने उनको भनाइ छ। त्यस्तै पर्यटन, बन तथा वातावरण मन्त्री गणेश उप्रेतीले प्रदेश सरकारले जनता, बाली र घर बीमा कार्यक्रम कार्यान्वयन गर्ने योजना बनाएर अघि बढेको बताए। उनले पदयात्रामा प्रदेशका सरकारी एवं गैरसरकारी निकाय, संरक्षणकर्मी, सुरक्षाकर्मी, हात्ती विज्ञ, नागरिक समाजको सहभागिता रहने बताए। मुख्यमन्त्री कार्कीसहितको टोलीले जैविक मार्गमै पर्ने ७ स्थानमा रात्रिकालीन विश्राम गर्नेछन्। बाहुनडाँगीबाट सुरु भएको यात्रा फागुन १६ गते उदयपुर जिल्लाको बेलसोतमा पुगेर समापन हुनेछ। झापाबाट उदयपुरसम्म कूल २४३ किलोमिटर पैदल यात्रा गर्ने रुट तय गरिएको छ। चार जिल्लाका विभिन्न २३ स्थानीय तहमा पुगेर स्थानीय जनतासँग साक्षात्कार गर्ने कार्यतालिका रहेको जनाइएको छ। पदयात्रा उद्घाटन कार्यक्रममा भौतिक पूर्वाधार मन्त्री कमल जबेगु, मेचीनगर नगरपालिका प्रमुख गोपालचन्द्र बुढाथोकी, हात्ती पीडित परिवारकी जगणमाया थापालगायतको सहभागी थिए। हात्ती पीडित जनता निराशा हात्ती प्रभावित क्षेत्रमा चासो देखाउँदै मुख्यमन्त्री कार्कीले पदयात्रा सुरु गरेपनि हात्ती पीडितहरू त्यसको प्रभावकारिता कति हुने भन्नेमा विश्वस्त हुन नसकिरहेको पाइएको छ। कोशी प्रदेशको झापा, मोरङ, सुनसरी र उदयपुर जिल्लामा हात्तीको समस्या जटिल बन्दै गइरहेको छ। त्यसमा पनि बिशेष गरी बाहुण्डाँगी क्षेत्रमा वर्षैदेखि बसोबास गर्दै आइरहेका मानिसहरू अझै पनि हात्तीको विध्वंश सहन विवश छन्। हात्तीले मानवीय घर गोठ, खेतबारी तथा अन्नबाली विनाश गर्ने र मानवीय क्षति पुर्याउँदै आएको छ। वर्षौं बितिसक्यो हात्ती पीडितहरूले राज्य गुहारेको। निर्वाचनको मुख्य एजेन्डा हात्ती समस्या समाधान बनाउने तर, निर्वाचित भए पश्चात् हात्ती समस्या समाधानमा खासै चासो नदिने नियति भोग्न हात्ती प्रभावित क्षेत्रका बासिन्दा बाध्य छन्। वर्षभरि मेहनत गर्यो खेतीबाली लगायो तर, हात्तीले एकै रातमा तहसनहस पारिदिन्छ, स्थानीय कर्ण बहादुर सुनारले भने। हात्तीको कारण न त अन्न भित्राउन पाइन्छ न त क्षति बापतको रकम नै समयमा पाइएको स्थानीय टिकाराम आचार्यले गुनासो पोखे। पछिल्लो पाँच दशकयता कोशी प्रदेशका चार जिल्लामा जनसङ्ख्या वृद्धि र मानवीय विकासको आवश्यकताको चाप सँगसँगै हात्तीको जैविक मार्गको सङ्कुचन र प्राकृतिक बास स्थानको क्षयीकरण भएको विज्ञहरूले बताउँदै आएका छन्। झापामा मात्र २०६७ यता वनको तथ्याङ्क अनुसार ५८ जना नेपाली र सात जना गैरनेपालीसहित ६५ जनाको मृत्यु भएको डिभिजन वन कार्यालय झापाका रुद्र न्यौपानेले जानकारी दिए। चालु आर्थिक वर्षमा हात्तीको आक्रमणबाट ६ जनाको मृत्यु भइसकेको छ। अघिल्लो आर्थिक वर्ष २०७९।०८० मा एक गैर नेपालीसहित आठ जनाको मृत्यु भएको थियो। चालु आर्थिक वर्षमा दुई हात्तीसहित अहिलेसम्म १८ हात्ती मृत अवस्थामा भेटिएको उनले बताए।"
बारामा गुडिरहेको मोटरसाइकलमा बाघको आक्रमण,सिमरा : बाराको पथलैयानिजगढ सडकखण्डअन्तर्गत पिलुवा नजिकको जंगलमा बुधबार दिउँसो बाघको आक्रमणमा परी मोटरसाइकल यात्रु घाइते भएका छन्। पर्सा राष्ट्रिय निकुञ्जको जंगलबाट निस्केको बाघले गुडिरहेको मोटरसाइकलमा आक्रमण गर्दा दुई यात्रु घाइते भएका हुन्। घाइते हुनेमा रौतहट बौधीमाई नगरपालिका ३ का राजु साह बानियाँ र कृष्ण साह बानियाँ छन्। उनीहरूको निजगढस्थित सामुदायिक अस्पतालमा उपचार भइरहेको छ। दुवैको अवस्था सामान्य छ। भरतपुरबाट ना३६प ५०११ नम्बरको मोटरसाइकलबाट रौतहट फर्किने क्रममा उनीहरूलाई जीतपुरसिमरा१६ स्थित पिलुवा नजिकको जंगलमा बाघले आक्रमण गरेको हो। घटनापछि उपचारका लागि अस्पताल पुगेका राजुले जंगलबाट निस्केको बाघले आफूलाई आक्रमण गरेको बताए। मोटरसाइकल पछाडि बसेका राजुले बाघले हातमा टोकेर तान्न थालेपछि मात्रै आफूले थाहा पाएको बताए। बाघले हातमा टोकेर तान्न थालेपछि मोटरसाइकल अनियन्त्रित भएर लडेको थियो। मोटरसाइकल लड्दा चालक कृष्ण घाइते भएका हुन्। मोटरसाइकल लड्नासाथ बाघ केही पर भागेको र पछाडि आउँदै गरेको यात्रुबाहक बसका यात्रुले होहल्ला गर्दै उनीहरूको उद्धार गरेका थिए। राजुको शरीरको विभिन्न भागमा चोट लागेपनि स्थिति खतरामुक्त रहेको अस्पतालका चिकित्सकले बताएका छन्। पर्सा राष्ट्रिय निकुञ्जको क्षेत्र विस्तार भएसँगै पथलैयानिजगढ सडकखण्डमा बाघ र हात्तीको चहलपहल बढ्दो अवस्थामा छ। उक्त सडकखण्डको उत्तरतर्फ निकुञ्ज र दक्षिणतर्फ राष्ट्रिय वन क्षेत्र पर्दछ। बारा प्रहरीले उक्त क्षेत्रमा यात्रा गर्दा सुरक्षा सतर्कता अपनाउनसमेत आग्रह गरेको छ।
कोशी सरकार र पहिचान पक्षधरबीच तीन बुँदे सहमति,"विराटनगर : कोशी प्रदेश सरकार र पहिचान पक्षधरबीचको भएको दोस्रो चरणको वार्ता तीन बुँदे आंशिक सहमतिपछि सकिएको छ। बुधबार विराटनगरको इस्टर्नस्टार होटलमा भएको सरकार र प्रदेश पुनः नामकरण संघर्ष समितिको वार्ता आंशिक सहमतिपछि सकिएको हो। दुई पक्षको वार्ता टोलीबीच प्रदेशको पुनः नामांकनको प्रक्रियालाई अगाडि बढाउन सरकार र आन्दोलनरत पक्ष दुबैले ठोस कसरत गरेर निष्कर्षको चरणमा पुर्याउन आगामी वार्तासम्ममा पहल गर्ने सहमति वार्ता टोलीका सदस्य सचिव आन्तरिक मामिला तथा कानून मन्त्रालयका सचिव लक्ष्मीप्रसाद पौडेलले बताए। त्यस्तै फागुन मसान्तसम्ममा प्रदेश खारेजीको आन्दोलनका क्रममा घाइते भएकाहरूको तथ्यांक संकलन गरिने सहमति भएको छ, जसका लागि प्रदेश सरकार र आन्दोलनरत पक्षबाट दुईदुई जना प्रतिनिधिसहित कार्यदल बनाइने छ। उक्त कार्यदलले उपचार खर्चको विवरणसमेत संकलन गरी आगामी वार्तामा पेस सहमति भएको छ। यसअघि आन्दोलनकारीलाई लागेका सबै मुद्दा फिर्ता गर्ने सहमति पनि कोशी सरकारले गरेको छ। यसैगरी कोशी नामकरणका दिन आगामी फागुन १७ मा पहिचान पक्षधरले शान्तिपूर्ण विरोध प्रदर्शन गर्न पाउने छन् । नामकरण भएको दिनलाई शान्तिपूर्ण विरोध गर्ने आन्दोलनरत वार्ता टोलीका संयोजक डकेन्द्रसिं थेगिमले जानकारी दिए। नामकरण भएको दिनलाई कालो दिनका रूपमा मनाउँछौं, उनले भने। यसअघिको वार्तामा दुईपक्षबीच पाँच बुँदे सहमति भएको थियो। सो सहमतिलाई कार्यान्वयन गर्ने पनि सहमति भएको छ। गत फागुन १७ गते प्रदेशको नामकरण भएपछि पहिचान पक्षधर आन्दोलनरत छ।"
प्रधानमन्त्रीले लुम्बिनी प्रदेशसभामा विशेष सम्बोधन गर्ने,"दाङ : प्रधानमन्त्री पुष्पकमल दाहाल र लुम्बिनी प्रदेशका मुख्यमन्त्री डिल्लीबहादुर चौधरीबीच भेटवार्ता भएको छ। लुम्बिनीमा हुन लागेको शिखर सम्मेलनको विषयमा उनीहरूबीच छलफल भएको थियो। प्रधानमन्त्रीले लुम्बिनी प्रदेशसभामा सम्बोधन गर्ने विषयमा समेत छलफल भएको थियो। 'प्रधानमन्त्रीज्यूसँग लुम्बिनीमा फागुन २८ र २९ गते हुन लागेको शिखर सम्मेलनको विषयमा छलफल भयो। सम्मेलनको विषयमा प्रदेश सरकारले गरेको अहिलेसम्मको तयारी तथा अवस्थाको बारेमा जाननकारी गराएको छु। सो अवसरमा प्रधानमन्त्री लुम्बिनीको स्थानी राज्धानी क्षेत्रमा आउने विषयमा समेत छलफल भएको छ,' मुख्यमन्त्री चौधरीले भने। प्रधानमन्त्री दाहालले फागुन १९ गते लुम्बिनी प्रदेशसभालाई सम्बोधन गर्ने मुख्यमन्त्री चौधरीले बताए। 'प्रधानमन्त्रीज्यूले लुम्बिनी प्रदेशको सदनमा विशेष सम्बोधनको कुरा भएको छ। उहाँले फागुन १९ गते लुम्बिनी सदनलाई विशेष सम्बोधन गर्दै हुनुहुन्छ,' उनले भने। लुम्बिनीमा फागुन १८ गतेदेखि हिउदे अधिवेशन सुरु हुँदैछ।"
हट्यो वीरगन्जको कर्फ्यू,वीरगन्ज : वीरगन्जमा दुई फरक धर्मसमुदायबीचको द्वन्द्वका कारण सोमबारदेखि लगाइएको कर्फ्यू बुधबार राति १० बजेदेखि लागू हुनेगरी पूर्णरूपमा हटाइएको छ। पर्साका प्रमुख जिल्ला अधिकारी दिनेश सागर भुषालले सूचना जारी गर्दै वीरगन्जमा लगाइएको कर्फ्यू आदेश राति १० बजेदेखि हटाइएको जानकारी गराएका हुन्। वीरगन्जको अवस्था सामान्य हुँदै गएकाले कर्फ्यू पूर्णरूपमा हटाइएको सूचनामा उल्लेख छ। यसअघि बुधबार बिहान बसेको जिल्ला सुरक्षा समितिको बैठकले वीरगन्ज महानगर क्षेत्रमा सोमबार साँझ ५ बजेदेखि जारी गरिएको कर्फ्यू आदेश बुधबार बिहान ११ बजेदेखि राति १० बजेसम्मका लागिमात्र हटाउने निर्णय गरेको थियो।
गुल्मीमा २१ वर्षीय युवाको शव फेला,गुल्मी : गुल्मीमा २१ वर्षीय युवाको शव फेला परेको छ। जिल्लाको इस्मा गाउँपालिका६ अम्मरपुरका टीकाबहादुर कुमालको मृत अवस्थामा शव फेला परेको जिल्ला प्रहरी कार्यालय गुल्मीले जनाएको छ। गत माघ २५ गतेदेखि सम्पर्कविहीन भएका कुमालको बुधबार बिहान शव भेटिएको हो। उनको शव इस्मा गाउँपालिका वडा नम्बर ०६ बुल्म भिरको थाप्लोमा रुखमा अड्किएको अवस्थामा शव भेटिएको जिल्ला प्रहरी कार्यालय गुल्मीका प्रहरी निरीक्षक किरण सापकोटाले जानकारी दिए। स्थानीयले यात्राको क्रममा सडकमा चप्पल देखेपछि प्रहरीलाई खबर गरेका थिए। कुमालको शव सडकदेखि १ सय ५० मिटर तल खसेको थियो। घर परिवारले फागुन १ खोजतलासी गरिदिन आग्रह गर्दै धनार्जी प्रहरी चौकीमा उजुरी दिएका थिए। शवलाई पोष्टमार्टम गर्नका लागि गुल्मी अस्पताल ल्याइएको छ। घटनाबारे थप अनुसन्धान भइरहेको प्रहरीले जनाएको छ।
लुम्बिनी प्रदेश लोक सेवा आयोगको विज्ञापन रद्द गर्न संवैधानिक आयोगको माग,"काठमाडौं : विभिन्न संवैधानिक आयोगहरूले लुम्बिनी प्रदेश लोक सेवा आयोगले निकालेको विज्ञापनप्रति आपत्ति जनाउँदै रद्द गर्न माग गरेका छन्। मुस्लिम आयोग, थारु आयोग, जनजाती आयोग, समावेशी आयोग, मधेशी आयोग, दलित आयोग र महिला आयोगले बुधबार ललितपुरमा संयुक्त पत्रकार सम्मेलन गर्दै नेपालको संविधान विपरीत र समानुपातिक समावेशिताको सिद्धान्त विपरीत लुम्बिनी लोक सेवा आयोगले पदपूर्तिको सूचना निकालेको भन्दै रद्द गर्न माग गरेको हो। लुम्बिनी प्रदेश लोक सेवा आयोगबाट गत माघ २६ गते प्रकाशित स्थानीय सरकारी सेवाअन्तर्गत सहायकस्तर पाँचौ तहका पदहरूको खुला तथा समावेशी प्रतियोगितात्मक लिखित परीक्षाको विज्ञापन र फागुन ३ गते प्रकाशित उक्त पदहरूकै संशोधित विज्ञापनमाथि गम्भीर ध्यानाकर्षण भएको संवैधानिक आयोगहरूको भनाइ छ। उक्त विज्ञापन नेपालको संविधानको प्रावधान र लुम्बिनी प्रदेश निजामती सेवा ऐनको व्यवस्था विपरीत रहेको थारु आयोगका अध्यक्ष विष्णुप्रसाद चौधरीले बताए। उनले प्रदेश निजामती सेवा ऐनलाई कार्यान्वयन नगरी समानुपातिक समावेशीताको सिद्धान्तका साथै समग्र संवैधानिक प्रावधान एवं कानुनी व्यवस्था विपरीत भएकाले रद्द गर्नुपर्ने बताए। त्यस्तै मुस्मिल आयोगका अध्यक्ष समिम मियाँ अन्सारीले कानुनसम्मत ढंगले पुनः विज्ञापन आह्वान गर्नका लागि सम्बन्धित निकायमा ध्यानाकर्षण गराए। उनले आरक्षणका लागि पटकपटक आवाज उठाए पनि पूर्णरूपमा कार्यान्वयन हुन नसक्नु दुःखद रहेको बताए।"
एमाले कैलाली अध्यक्षका लागि तीन जनाको उम्मेदवारी,"सुखड (कैलाली) : नेकपा एमालेको कैलाली जिल्ला नेतृत्वका लागि तीन जनाबीच प्रतिस्पर्धा हुने भएको छ। निर्वाचन कार्यालयले प्रकासित गरेको उम्मेदवारको अन्तिम नामावली अनुसार कार्यबाहक अध्यक्ष दुर्गा प्रसाद जोशी, वर्तमान सचिव डेजी पाण्डेय र यज्ञराज ढुंगानाबीच प्रतिस्पर्धा हुने भएको हो। कमलसिंह रानाले पनि अध्यक्षमा उम्मेदवारी दिएका थिए। तर, पछि उनले फिर्ता लिए। उपाध्यक्ष पदमा ६ जनाको उम्मेदवारी रहेको छ। गजेन्द्र स्वार, दलबहादुर विष्ट, मदन ओझा, वीरेन्द्र बहादुर रावल, विष्णु बहादुर चौधरी, लोकेन्द्र शाहीले उपाध्यक्षका लागि उमेदवारी दिएका छन्। सचिवमा विष्णुकुमार चन्द, दानबहादुर विश्वकर्मा र ममता प्रसाद चौधरी गरी तीन जनाले उमेदवारी दिएका छन्। चन्द यज्ञराज ढुंगाना प्यानल, विश्वकर्मा जोशी प्यानल र चौधरी पाण्डेय प्यानलका सचिव हुन्। उपसचिवमा राजु गुरुङ, किशोर शाह, चूडामणि भट्ट, मदन रेग्मी, नृप थ्यायत खड्का, चक्र बहादुर विष्ट, भुवन रिजालको उमेदवारी परेको छ। त्यस्तै महिला उपसचिवमा रत्ना कुवर जोशी, अम्बिका विष्ट मल्ल, गंगा कुमारी चौधरी, शान्ति देवी सिंह र गीता चौधरी छन्। निर्वाचन समितिले समयअभावका कारण आज पनि मतदान नहुने जनाएको छ। प्रमुख निर्वाचन अधिकृत मानबहादुर जोराले मतदान भोली (बिहीबार)मात्रै हुने बताए। उनले संशोधित तालिकाको तयारी भइरहेको बताए। आइतबार एमाले अध्यक्ष केपी शर्मा ओलीले एमाले कैलाली जिल्लाको ९औं अधिवेशनको सुखडमा उद्घाटन गरेका थिए।"
कांग्रेस महासमिति बैठक : प्रदेश संरचना बलियो बनाउनदेखि गणतन्त्रमाथि देखिएका खतरासम्मका चर्चा,"काठमाडौं : नेपाली कांग्रेसको महासमिति बैठकको तेस्रो दिन विभिन्न प्रतिवेदनमाथि चार वटा हलमा समूहगत छलफल भएको छ। ललितपुरको गोदावरीमा जारी महासमिति बैठकको तेस्रो दिन उपसभापित पूर्णबहादुर खड्काको नीति प्रस्ताव, महामन्त्री गगनकुमार थापाको सांगठनिक प्रस्ताव, महामन्त्री विश्वप्रकाश शर्माको समसामयिक राजनीतिक प्रस्ताव, प्रवक्ता प्रकाशशरण महतको नेपालको वर्तमान आर्थिक अवस्था, सम्भावना र भावी दिशासम्बन्धी प्रतिवेदन, लेखा समिति संयोजक श्याम घिमिरेको लेखा परीक्षण प्रतिवेदनमाथि समूहगत रुपमा छलफल भएको प्रचार विभाग प्रमुख मीन विश्वकर्माले जानकारी दिए। समूहगत छलफलका क्रममा सबै जिल्लाका जिल्ला सभापतिहरु, भ्रातृ तथा शुभेच्छुक संस्थाका प्रमुखहरू, जनसम्पर्क समितिका प्रमुखहरुले बैठकमा पेश भएका पाँचवटै प्रतिवेदनमा आफ्नो धारणा राखेको उनले बताए। छलफलमा गोदावरी हलबाट ११०, विशंखुनारायण हलमा ९५, फूलचोकी हलमा ९० र कोन्ज्योसोम हलमा ९० जना महासमिति सदस्यहरूले आफ्नो धारणा राखेको विश्वकर्माले बताए। प्रदेश संरचनालाई बलियो बनाउन अधिकार दिनुपर्ने, गणतन्त्रमाथि देखिएका खतरालाई रोक्न नेतृत्वदायी भूमिका निर्वाह गर्नुपर्ने, पार्टी संगठनलाई सक्रिय बनाउनुपर्ने, भ्रातृ तथा शुभेच्छुक संस्थाहरूलाई पूर्णता दिनुपर्नेलगायत सुझाव आएको उनको भनाइ छ। सुशासन कायम गर्न भ्रष्टाचारमा शून्य सहनशीलताको नीतिलाई कार्यान्वयन गर्न पनि अधिकांश महासमिति सदस्यहरुले सुझाव दिएका छन्। महासमिति बैठकअन्तर्गत बिहीबार समूहगत छलफलबाट प्राप्त सुझावहरु प्रदेश सभापतिहरूले पदाधिकारीसहितको उपस्थितिमा हुने महासमिति बैठकमा प्रस्तुत गर्ने र अपरान्ह समापन समारोह गरिने कांग्रेसले जनाएको छ।"
