शीर्षक,विवरण
बक्यौताको बोझ,"डेडिकेटेड लाइन पाएका ठूला उपभोक्ताहरूबाट महसुल लिन नसक्नु ठूलालाई चैन र सानालाई ऐनको व्यवहार प्राधिकरणबाट हुनु हो। झन् प्रधानमन्त्री पुष्पकमल दाहालले बक्यौता उठाउने विषयलाई स्थगित गर्न दिएको निर्देशन कुशासनको द्योतक हो। नेपाल विद्युत् प्राधिकरणले भारतमा बिजुली निर्यात गरेको खबरले सुखद सञ्चार गरे पनि भित्री तथ्य त्यति सुखद छैन। कारण के भने प्राधिकरणले जति रुपैयाँको बिजुली भारतलाई बेचेको छ, त्यसको झन्डै दोब्बरको आयात गरेको छ। गत आवमा प्राधिकरणले १० अर्ब ४५ करोड रुपैयाँको बिजुली बेच्दा १९ अर्ब ४४ करोड रुपैयाँको आयात गरेको थियो। त्यो पनि भारतले नेपाललाई दिने मूल्य निकै कम छ, र उसले भने नेपाललाई महँगोमा बेच्छ। चामलसँग पिठो साटासाटको काइदामा छ नेपालभारतको बिजुली व्यापार। तर, भ्रमित हुँदै रमाउन वा आत्मरतिमा खुसी हुन खासगरी नेपाली नेता अभिशप्त छन्। गत आर्थिक वर्ष प्राधिकरण १२ अर्ब ३३ करोड नाफा गरेको सार्वजनिक भएको छ। तर, त्यसभित्र केही तथ्य छिपेको छ। त्यो के भने प्राधिकरणले उठाउनुपर्ने बक्यौताको हिसाब एकातिर राखेर नाफाको चार्ट अर्काेतिरबाट मात्रै सार्वजनिक गरिएको हो। प्राधिकरणको ४७ अर्ब बक्यौता छ। त्यो भनेको उद्योग व्यवसायबाट उठाउन बाँकी महसुल हो। ४७ मध्येको ठूलो हिस्सा उद्योगधन्दाको भए पनि ८ अर्बचाहिँ घरायसी ग्राहकको हो। बिजुली बाले वा प्रयोग गरेबापतको महसुल उठाउने समस्यालाई कार्पेटमुनि बिच्छ्याएर प्राधिकरणले विद्युत् निर्यात र नाफाका कुरा गर्नु भनेको भ्रमकै खेती गर्नु हो। उठेको महसुल भुक्तानी ६० दिनभित्र गर्नुपर्ने प्राधिकरणकै विनियमावलीमा व्यवस्था छ। सोहीअनुसार घरायसी उपभोक्ताले महसुल नतिरे प्राधिकरणले बिजुलीको लाइन काटिहाल्छ। डेडिकेटेड लाइन पाएका ठूला उपभोक्ताहरूबाट महसुल लिन नसक्नु ठूलालाई चैन र सानालाई ऐनको व्यवहार प्राधिकरणबाट हुनु हो। झन् प्रधानमन्त्री पुष्पकमल दाहालले बक्यौता उठाउने विषयलाई स्थगित गर्न दिएको निर्देशन कुशासनको द्योतक हो। हुकुमी शैली हो। प्राधिकरणले नियमानुसारै दिएको छुटबिल तिर्न आनाकानी गर्नुहुँदैन। उद्योगीले प्रयोग गरेको बिजुलीको महसुल तिर्न छाडेर राजनीतिक पहुँच खोज्नु प्राधिकरणमाथि होइन, राज्यमाथि नै घातको जमर्काे हो। हो, प्रधानमन्त्री स्वयंले राज्यलाई हानि हुने गरी निर्देशन दिनु कदापि न्यायोचित होइन। महागैरजिम्मेवार कर्म हो। धमाधम बिजुली उत्पादन बढेको अवस्थामा उपभोक्ता र खपत वृद्धि गर्ने चुनौती एकातिर छँदैछ, त्यसमाथि बक्यौताको बोझ पनि थपिनु दुर्भाग्य हो। प्राधिकरण नेतृत्व सस्तो लोकप्रियता छोडेर यस्ता गम्भीर समस्या सम्बोधनतिर लाग्नुपर्छ।"
अर्घाखाँचीमा ६६ करोड बजेट फ्रिज,सन्धिखर्क : अर्घाखाँची जिल्लामा संघीय तथा प्रदेश सरकारबाट प्राप्त भएको पुँजीगत र चालूतर्फको ६५ करोड रुपैयाँभन्दा बढी बजेट फ्रिज भएको छ। आर्थिक वर्ष २०७९०८० मा अर्घाखाँची जिल्लामा संघीय तथा प्रदेश सरकारको पुँजीगत र चालूतर्फको विनियोजित बजेटमध्ये ६५ करोड ९९ लाख ९३ हजार रुपैयाँफ्रिज भएको कोष तथा लेखा नियन्त्रण कार्यालय अर्घाखाँचीका कोष नियन्त्रक राजु पाण्डेले बताए। नियन्त्रण कार्यालय अर्घाखाँचीका अनुसार आर्थिक वर्ष २०७९०८० मा प्रदेश सरकारको पुँजीगत तर्फको १ अर्ब ३३ करोड ६५ लाख ८९ हजार विनियोजित बजेटमध्ये २० करोड ५६ लाख ६२ हजार रुपैयाँ बजेट फ्रिज भएको हो। चालूतर्फ ६५ करोड ५३ लाख २१ हजार रुपैयाँँ विनियोजित बजेटमध्ये १३ करोड २ लाख ७६ हजार रुपैयाँ बजेट फ्रिज भएको छ। यस्तै संघीय सरकारको चालूतर्फको ५ अर्ब ३९ करोड २१ लाख ६५ हजार रुपैयाँँ विनियोजित बजेटमध्ये १८ करोड ५३ लाख ७५ हजार रुपैयाँ बजेट फ्रिज भएको छ।
राजधानीमै सामूहिक हत्या कसरी भयो ?,"काठमाडौं : दोलखा कालिञ्चोक८ की ७६ वर्षीया सुभद्रा भुजेल कुसेऔंसीमा गोकर्णमा पितृतर्पण गर्न भदौ २६ गते काठमाडौं आइन्। बालुवाटारमा पसल गरी बसेका छोरा गणेश भुजेलको डेरामा बसिन्। २८ गते पितृतर्पण कार्य सम्पन्न गरिन्। शनिबार घर फर्किने उनको योजना थियो। त्यसैकारण शुक्रबार गैरीगाउँ तीनकुनेमा बस्दै आएका जेठा छोरा कुमारको डेरामा पुगिन्। किनभने, गैरीगाउँबाट दोलखाका लागि बस चढ्न पनि सहज हुन्थ्यो। जेठा छोरा कुमार र बुहारी गैरीगाउँस्थित दिव्य सःमिल अर्थात् काठ उद्योगमा काम गर्थे। त्यहीँ डेरा थियो। आमा सुभद्राले राति जेठो छोराबुहारीको डेरामा बास बसेर बिहानै गाउँ फर्किने सोच बनाएकी थिइन्। तर, त्यही राति सुभद्रासहित छोरा र बुहारीको सामूहिक हत्या भयो। उहाँ (सुभद्रा) को शनिबार घर फकिर्ने तयारी थियो, सःमिल सञ्चालक बालकृष्ण सिवाकोटीले भने, तर राति नै जेठो छोराबुहारीसहित उहाँको पनि हत्या भएछ। काठमिलभित्र अर्का एकजनाको पनि हत्या भएको अवस्थामा शव फेला परेको छ। दिव्य सःमिल एन्ड काठ उद्योग दोलखा कालिञ्चोकका व्यवसायी बालकृष्ण सिवाकोटीको हो। उनले काठ मिलमा सुरक्षागार्डको रूपमा काम गर्न आफ्नै गाउँका कुमार भुजेललाई राखेका थिए। कुमारले काम गरेको २२ वर्ष भएको सिवाकोटीले बताए । पछि उनकी श्रीमतीले पनि त्यहाँ काम गर्न थालिन्।  दिव्य सःमिल एन्ड काठ उद्योगमा शनिबार दिउँसै ताला लाग्यो। उद्योगभित्र र बाहिर प्रहरी टोली तैनाथ थिए। जहाँ शुक्रबार मध्य रातमा एकै परिवारका तीनसहित चार जनाको सामूहिक हत्या भएको थियो। टाउको, घाँटी, शरीरमा धारिलो हतियार प्रहार गरेर निर्मम हत्या गरिएको थियो। परिवार गुमाएका आफन्त मात्रै होइन्, उद्योगमा रहेका कुकुर पनि अस्वाभाविक व्यवहार देखाइरहेका थिए। शनिबार दिउँसो पुग्दा उद्योगको गेट बाहिर कुकुरले आफ्ना मालिक र मालिक्नी खोजिरहेका थिए। घरी सडकमा त घरी उद्योगभित्र कुकुर दौडिरहेका थिए। मारिएका चारै जनाको शव पोस्टमार्टमका लागि शनिबार प्रहरीले त्रिवि शिक्षण अस्पताल, महाराजगन्ज लगेको छ। हत्या आरोपमा एक पक्राउ प्रहरीले हत्या गरेको आशंकामा काठमाडौं महानगरपालिका३२ तीनकुने बस्ने २८ वर्षीय दीपेन्द्र राईलाई नियन्त्रणमा लिएको छ। दीपेन्द्रका बुबा पनि यसअघि त्यही काठ मिलमा काम गर्थे। प्रहरीका अनुसार घटनापश्चात् दीपेन्द्र मध्यरातमा ट्याक्सी चढेर तीनकुने प्रहरी वृत्तमा पुगेका थिए। उपत्यका प्रहरी कार्यालय रानीपोखरीका प्रहरी वरिष्ठ उपरीक्षक एवं प्रवक्ता दिनेशराज मैनालीअनुसार मिलमा सुरक्षा गार्डको रूपमा काम गर्ने ५६ वर्षीय कुमार भुजेल, ५२ वर्षीया उनकी श्रीमती अम्बिका भुजेल, ७६ वर्षीया आमा सुभद्रा भुजेल र मोरङ बेलवारीका २० वर्षीय नवीन राईको हत्या भएको हो। प्रवक्ता दिनेशराज मैनाली भन्छन्, मृतको टाउको र शरीरको विभिन्न भागमा धारिलो हतियारको चोट छ। सामूहिक हत्या प्रकरणको अनुसन्धान गर्न तालिमप्राप्त कुकुर पनि परिचालन गरिएका छन्। काठमाडौं उपत्यका प्रहरी कार्यालय, काठमाडौं उपत्यका अपराध अनुसन्धान कार्यालय र जिल्ला प्रहरी परिसर काठमाडौंको टोलीले घटनाको अनुसन्धान सुरु गरेको छ। उक्त घटनाको अनुसन्धानका लागि एक जनालाई पक्राउ गरिएको छ, मैनाली भन्छन्, तर घटना के कारणले भयो खुल्न सकेको छैन। अन्य केहीलाई पनि अनुसन्धानका लागि नियन्त्रणमा लिएको बताइए पनि त्यस विषयमा प्रहरीले केही खुलाएको छैन। हतियार बरामत प्रहरीले हत्यामा प्रयोग भएको हतियार बरामद गरेको छ। उपत्यका अपराध अनुसन्धान कार्यालय र जिल्ला प्रहरी परिसर, टेकुको टोलीले घटना भएको स्थानमा हत्यामा प्रयोग भएको खुकुरी र अर्को एक धारिलो हतियार बरामद गरेको प्रहरी स्रोतले बतायो। हतियारमा खुकुरी र चुलेसी जस्तो घरमा प्रयोग भएको घरेलु हतियार छन्। शुक्रबार राति ११ः५५ बजे तीनकुनेस्थित दिव्य सःमिलमा चार जनाको हत्या भएको सूचना प्रहरीले पाएको थियो। परिवारसँग समन्वय नगरी शव उठाइएको आरोप सामूहिक हत्या घटनामा प्रहरीले समन्वय नगरेको आफन्तले गुनासो गरेका छन्। हत्या भएको जानकारी पाएपछि प्रहरी घटनास्थलमा शुक्रबार बिहानै आए पनि आफन्तसँग समन्वय नगरी शव उठाएको उनीहरूको भनाइ छ। मृतकका एक आफन्तले भने, घटना भएको जानकारी पाउनेबित्तिकै हामी घटनास्थल पुग्यौं। प्रहरीले तीनकुनेमा गएर उजुरी दिनुभन्यो। कागज सिफारिस लिएर आउनु अनि मात्र हेर्न मिल्छ भन्यो। कागज पनि केही पाइएन, यता हामीसँग समन्वय नै नगरी हतारहतार शव उठाएर अस्पताल पठाइयो। अनुसन्धानका लागि समिति गठनसामूहिक हत्याकाण्डको छानबिनका लागि प्रहरी अधिकृत सम्मिलित अनुसन्धान समिति गठन गरिएको छ। काठमाडौं उपत्यका अपराध अनुसन्धान कार्यालयका प्रहरी वरिष्ठ उपरीक्षक सोमेन्द्र सिंह राठौरको संयोजकत्वमा ५ सदस्यीय अनुसन्धान समिति गठन गरिएको हो। काठमाडौं उपत्यका प्रहरी कार्यालयका प्रहरी अतिरिक्त महानिरीक्षक दीपक थापाका अनुसार अनुसन्धान समितिका सदस्यमा जिल्ला प्रहरी परिसर काठमाडौंका प्रहरी नायव उपरीक्षक हरि खतिवडा, काठमाडौं उपत्यका प्रहरी कार्यालय, रानीपोखरी प्रहरी नायव उपरीक्षक सुवास खड्का, काठमाडौं उपत्यका अपराध अनुसन्धान कार्यालय मीनभवनका प्रहरी नायव उपरीक्षक सुरक्षा केसी र प्रहरी वृत्त, नयाँ बानेश्वरका प्रहरी निरीक्षक वीरेन्द्र केसी छन्। घटनाबारे गहन अनुसन्धान गरेर यथाशीघ्र प्रतिवेदन बुझाउन समितिलाई निर्देशन दिइएको छ। अपराध अनुसन्धानका विविध विधिकोे अधिकतम प्रयोग गरी सूक्ष्म तवरले अनुसन्धान गरी यथाशीघ्र प्रतिवेदन पेस गर्न हुन अनुरोध गरिएको छ, प्रहरी अतिरिक्त महानिरीक्षक थापाले भने। राजधानीमै सामूहिक हत्या कसरी भयो ? राजधानीको अति व्यस्त ठाउँमा चार जनाको हत्या हुँदा पनि प्रहरीले सुइको नपाउनु गम्भीर भएको गैरीगाउँवासी बताउँछन्। गैरीगाउँकी ६० वर्षीया पवित्रा खड्काले मर्निङ वाक गरेर फर्केपछि सामूहिक हत्या घटना थाहा पाएकी थिइन्। मैले बिहानै ८ बजेतिर चार जना मान्छे मारेको थाहा पाए। हतारिएर सःमिल आएपछि मानिसहरूको ठूलो भीड लागेको थियो, उनले भनिन्, मान्छे मारेको हल्ला एकाबिहानै एक अर्काबाट गाउँभरि फैलिएको थियो। मान्छेहरू घटना स्थलतर्फ दौडिएका थिए। उनका अनुसार चारै जनाको हत्या हुँदा पनि प्रहरीले थाहा पाएन। मध्यरातमा हत्या भएकाले स्थानीयले पनि थाहा पाउन नसकेको उनले बताइन्। राजधानीमा मध्यरातमै अपराधका घटनाहरू हुने गरेको पवित्रा बताउँछिन्। मालसामान चोर्न र व्यक्ति हत्या गर्न अपराधीहरूले रातिको १२ देखि १ बजेको समयलाई रोज्छन्। यो बेला मान्छे मस्त निदाएका हुन्छन्, उनी भन्छिन्, तर, यो बेला प्रहरी चनाखो बन्नुपर्ने हो। प्रहरीले नै ध्यान दिन नसकेको देखियो। घटना स्थलमा भेटिएकी पवित्रा भन्छिन्, दर्दनाक घटना हेरेर दुःख लाग्यो। मन रोयो। यहाँ हामी सुरक्षित छैनौं। असुरक्षा बढ्दै गएको यो ज्वलन्त उदाहरण हो। गैरीगाउँमा यसअघि छिटफुट घटना भए पनि यत्रो ठूलो घटना भएको थिएन। स्थानीयवासी भन्दै थिए, हे प्रभु, यो के दिन देख्नु परेको हामीलाई। अब हामी सुरक्षित छैनौं। चारचार जनाको ज्यान लिने पापीहरूलाई फाँसी दिनुपर्छ। सिनामंगल बस्ने ६५ वर्षीय दीपक थापा भन्छन्, चार जनाको हत्या भएको घटना यस क्षेत्रको ठूलो घटना हो। हामीले यत्रो अपराध भएको पहिलो घटना सुन्दै छौं। उनी भन्छन्, काठमाडौंको चोकैपच्छिे पुलिसप्रशासन छ। सीसी क्यामरा छ। यत्रो ठूलो घटना हुँदा ? उनीहरूको नजर कहाँ हरायो ? हत्याको घटना एकाबिहानै सुन्दा धेरै दुःख लागेको उनीले सुनाइन्। गाउँमा घटनाहरू हुँदा स्थानीयले प्रहरीलाई फोन गर्दा पनि समयमा नआउने गरेको स्थानीयहरूले गुनासो गरेका छन्। टोलमा कुनै घटना भयो भनेर हामीले प्रहरीलाई फोन गर्छौं। तर, समयमा पुलिस आइपुग्दैन, थापा भन्छन्, काठमाडौंको ठाउँ बसेर के गर्नु ? अपराधी भागेर कहाँ पुगिसकेका हुन्छन्। घटना भएपछि प्रहरी आइपुग्छन्। घटना स्थलमा भेटिएकी सुकुम्बासी बस्तीकी पविला परियार घटना सुनेर चकित भएको बताइन्। यहाँ बसेको धेरै भयो। मैले यत्रो ठूलो हत्याको ठूलो घटना सुनेको पहिलोपटक हो, उनी भन्छिन्, सरकारमा बस्ने सबै मान्छे काठमाडौंमा बस्छन्। प्रहरीका ठूला हाकिम पनि यही बस्छन्। सरकार पनि त यहीबाट सञ्चालन हुन्छ। अनि यही ठाउँ यत्रो असुरक्षा किन ? सहरमै असुरक्षा छ भने गाउँको अवस्था कस्तो होला ? भन्दै शान्ति टोलकी ३६ वर्षीय शान्ति नेपालीले प्रश्न गरिन्। घटना भएको ठाउँनजिकै प्रहरी बस्छन्। अनि यो ठाउँमै यस्तो घटना हुन्छन् ? सोच्न सक्दैनौं हामी, उनी भन्छिन्, ठाउँका ठाउँ चारचार जना मारिदा गाउँघर, विकट ठाउँ, जहाँ कोही नभएको ठाउँमा कस्तो होला प्रहरी सुरक्षा ?"
पुँजी बजारमा दीर्घकालीन स्थायित्व ल्याउन जोड,"काठमाडौं : सरोकारवालाहरूले नेपालको धितोपत्र बजारमा दीर्घकालीन स्थायित्वमा जोड दिएका छन्। धितोपत्र बजारको नियामक नेपाल धितोपत्र बोर्ड तथा सरोकारवालाहरू बजार, लगानीकर्ता र ब्रोकरहरूले नयाँ औजार तथा विकल्पको अभ्यास र नीतिगत सुधारमार्फत् बजारलार्ई परिपक्व बनाउन सकिने बताएका हुन्। नेपाल आर्थिक पत्रकार संघ (नाफिज)ले आयोजना गरेको आर्थिक मन्दिमा पुँजीबजारः सम्भावना र चुनौती विषयक अन्तरक्रिया कार्यक्रममा बोल्दै नेपाल धितोपत्र बोर्डका अध्यक्ष रमेशकुमार हमालले केही सातामै मार्जिन ट्रेडिङसम्बन्धी नीति आउने बताए। केही दिनमा मै ब्रोकरमार्फत प्रवाह हुने मार्जिन ट्रेडिङ सम्बन्धी नीति कार्यान्वयनमा आउँछ, अध्यक्ष हमालले भने। त्यसका लागि इन्ट्रा डे ट्रेडिङ पनि सञ्चालन हुने जानकारी दिए। धितोपत्र बजारको रिफर्म गर्ने आँट र विज्ञता बोर्ड टिमसँग छ, उनले भने, समग्र अर्थतन्त्रमा देखिएको निराशाले सेयर बजारमा पनि केही कन्फिडेन्टमा कमी देखिएको छ। तर, अर्थतन्त्रका सूचक खराब अवस्थामा नभएको र अझै सुधारउन्मुख भएको छ। सबै सकारात्मक हुनुपर्छ। कन्फीडेन्को कमी छ, त्यसलार्ई बढाउनुपर्छ। बोर्डले हाइड्रोपावर तथा वास्तविक क्षेत्रका कम्पनीमा स्वतन्त्र सञ्चालकहरूको छुट्टै योग्यता तोक्ने पनि उनको भनाइ छ। अध्यक्ष हमालले ब्रोकर कमिसन घटाउने पक्षमा बोर्ड नभएको स्पष्ट पारे। बोर्डले हकप्रद सेयर बारे पनि नयाँ नियम ल्याउने तयारी गरिरहेको छ। साथै सार्वजनिक निष्कासनमा बुक बिल्डिङ विधिमा पनि चाँडै ब्रेक थ्रु हुने विश्वास बोर्डको छ। अध्यक्ष हमालले सार्वजनिक निष्कासनमा १० कित्ते नीतिमा पनि केही पुनरावलोकन गर्ने संकेत गरेका छन्। बोर्डले समग्र बजार र अवस्थाका विश्लेषण र अध्ययन गरेर सुझबुझ पूर्ण निर्णय गर्छ, उनले भने, १० कित्ते नीति पुनरावलोकन गर्नु पर्नेछ। त्यसबारे अध्ययन गर्नेछौं। बजारमा संस्थागत लगानीकर्ताको अभाव भएको बोर्डको निष्कर्ष छ। पछिल्लो समय नेप्से इन्डेक्स र बजार पुँजीकरणलार्ई समयानुकुल रूपमा वैज्ञानिक बनाउनु पर्ने आवाज उठेको छ। साथै, धितोपत्र बोर्डले रियल टाइम निगरानीको आवश्यकता औंल्याएको छ। स्टक ब्रोकर एसोसिएसन अफ नेपालका अध्यक्ष धर्मराज सापकोटा मार्जिन ट्रेडिङअन्तगर्तत रिकभरीमा नीतिगत सहयोग चाहिने आवश्यकता औंल्याउँछन्। यस्तै, अक्सन मार्केट र सेटलमेन्ट ग्यासेन्टी फन्ड जस्ता उपकरण ल्याएर बजारमा स्थायित्व कायम गर्नुपर्ने उनको भनाइ छ। मार्जिङ ट्रेडिङको लागि ऐनमै व्यवस्था गर्नुपर्छ, त्यसो हुँदा सेटलमेन्टमा सहज हुनेछ, सापकोटोले भने। सापकोटाका अनुसार हाइड्रोपावरलगायत वास्तविक क्षेत्रका कम्पनीमा लकइन अवधि सकिएलगत्तै सप्लार्ई चाप बढ्नेछ र त्यस्तो बेलामा मूल्य कम भएको भन्दै लगानीकर्ताले सेयर किन्न थाले फस्नेतर्फ सजग रहन अनुरोध गरे। धितोपत्र ब्रोकर एसोसिएसनका महासचिव कृष्ण गिरी नेप्सेमा नै सूचिकृत कम्पनीको लकिङ डाटा उपलब्ध हुनुपर्ने बताउँछन्। मनिटरी मार्केटको ट्रेजरी बिललगायतका औजारहरू पनि धितोपत्र बजारमा नभएको भन्दै थप उपकरण विस्तारमा जोड उनले दिए। उनले इन्डेक्स फन्ड, सर्ट सेल जस्ता औजार बजारमा चाहिने बताए। सर्ट सेल नभएपनि इन्ट्रा डे ट्रेडिङ जस्ता औजार ल्याउनुपर्ने गिरीको भनाइ छ। नेपाल उद्योग वाणिज्य महासंघका कार्यकारी सदस्यसमेत रहेका सेयर लगानीकर्ता अम्बिकाप्रसाद पौडेल सेयर बजार कति घट्यो र प्रभावित भयो भनेर हेर्नको लागि बढ्दाको इन्डेक्स र बजार पुँजीकरण मात्रै पर्याप्त नहुने बताउँछन्।"
देश र जनतालाई केन्द्रविन्दुमा राखेर काम गर्छौं : अर्थमन्त्री,"ललितपुर : अर्थमन्त्री डा प्रकाशशरण महतले सरकारले देश र जनतालाई केन्द्रविन्दुमा राखेर काम गर्ने बताएका छन्। आज ललितपुरको गोदावरी नगरपालिका ११ स्थित बज्रवाराही चापागाउँ अस्पतालको प्रस्तावित भवनको शिलान्यास कार्यक्रममा मन्त्री महतले विकास निर्माणका योजना सञ्चालन गर्दा सरकारले देशको हित र जनताको आवश्यकतालाई ध्यानमा राखेर काम गर्ने बताएका हुन्। 'देशका सबै नागरिकलाई गुणस्तरीय स्वास्थ्य सुविधा सुनिश्चित गर्नु आवश्यक छ,क्षमताभन्दा हाम्रो आवश्यकता बढी छ,गतवर्ष राजश्व काम उठेको थियो,जसले मागअनुसार सम्बोधन गर्न केही कठिनाइ भइरहेको छ, अहिले अवस्था सुधार हुँदैछ,यति हुँदाहुँदै पनि भएको स्रोतलाई परिचालन गर्दै देश र जनतालाई केन्द्र विन्दुमा राखेर काम गर्ने कुरामा प्रतिबद्ध छौं,'अर्थमन्त्री डा महतले भने। उनले नेपालमा रहेका सम्भावना र रोजगारी सिर्जना गर्ने काममा सकारात्मक सन्देश र बहस हरेक तहबाट हुनु आवश्यक रहेको धारणा राख्दै यसले आत्मविश्वास बढ्नेमा जोड दिए । आर्थिक गतिविधिको चक्र चलायमान बनाउन देशभर सबैको आत्मविश्वास बढाउनु आवश्यक रहेको उल्लेख गर्दै महतले यसमा सबै नागरिकहरुको भूमिका रहेको धारणा राखे। उनले २०५२ सालमा नेपालीको आयु सरदर ५४ वर्ष रहेकामा अहिले बढेर ७१ वर्ष पुगेको जनाउँदै आगामी दिनमा अझै यो सूचक राम्रो बनाउन हरेक नागरिकलाई गुणस्तरीय स्वास्थ्य सुविधा सुनिश्चित गर्नु आवश्यक रहेको धारणा राखे। जिल्ला समन्वय समिति ललितपुरका प्रमुख ऋषिदेव फुयाँलले अस्पतालको भवन निर्माणका लागि बजेटको कुनै कमि र अभाव हुन नहुने बताए । उनले घना बस्तीका जनतालाई प्रभावकारी स्वास्थ्य सेवा दिन भवन चाँडै बन्नु आवश्यक रहेकामा जोड दिए। नगरपालिकाका प्रमुख गजेन्द्र महर्जनले १७ करोड ५० लाखको लागतमा निर्माण हुने यो भवन निर्माणका लागि यस वर्ष बागमती प्रदेश सरकारबाट यस वर्ष ३ करोड ५० लाखको बोलपत्र आब्हान गरिएको जानकारी गराए। जिल्ला अस्पतालको सेवासमेत प्रदान गर्ने बज्रवाराही चापागाउँ अस्पतालमा बहिरङ्ग सेवा र आकस्मिक सेवा लगायतका सेवा सञ्चालन भइरहेका छन् । रासस"
भारतीय राजदूत श्रीवास्तव टीकापुरमा,"टीकापुर : नेपालका लागि भारतीय राजदूत नवीन श्रीवास्तवले भारत नेपालको समग्र आर्थिक विकासको पक्षमा रहेको बताएका छन्। भारतमा आर्थिक विकासको उभार छ, भारत विश्वको पाँचौं आर्थिक शक्ति राष्ट्रका रूपमा विकसित भइरहेको छ, निकट भविष्यमा तेस्रो ठूलो राष्ट्र बन्ने योजना छ,' राजदूत श्रीवास्तवले भने, त्यसैले भारत आफ्नो छिमेकी नेपालको पनि आर्थिक विकास होस् भन्ने चाहन्छ। नेपालको आर्थिक, सामाजिक, सांस्कृतिक, धार्मिक र भौतिक विकास निर्माणका लागि भारतले सहयोग गर्दै आएको उनले बताए। हामी एक असल छिमेकी मात्रै होइन, हाम्रो सांस्कृतिक सम्बन्ध पनि छ, उनले भने, त्यसैले हामीले सडक, पुल, विद्यालय, अस्पताल निर्माणमा सहयोग पुर्याउँदै आएका छौं। यस्तो सहयोगले नेपालको सडक यातायात र व्यापार व्यवसायमा मद्धत पुगिरहेको छ। भारतले सन् २००२ देखि स्वास्थ्य, शिक्षाका क्षेत्रमा वर्षेनि सहयोगका कार्यक्रमहरु गर्दै आइरहेको उनले बताए। भारतीय दूतावासको सहयोगमा सन् २०१० मा सुरु भएर सन् २०१४ मा ३ करोड ५२ लाख रुपैयाँमा क्याम्पस र पुस्तकालय भवन निर्माण भएको थियो। २०७२ मा भएको टीकापुर घटनाका कारण उक्त भवन हालसम्म उद्घाटन हुन सकेको थिएन।"
"आन्दोलनरत चिकित्सक भन्छन् : हामी भगवान होइनौं, विदेश पलायन हुन बाध्य नपार","काठमाडौं : नेपाल चिकित्सक संघको आह्वानमा वीर अस्पतालका चिकित्सक आन्दोलनमा उत्रिएका छन् । आकस्मिक बाहेकका सेवा ठप्प पारेर हातमा कालोपट्टी र पम्पलेट बोकेर उनीहरु प्रदर्शनमा उत्रिएका हुन्। उनीहरुले हामी भगवान होइनौं, केबल इमान्दार प्रयास मात्रै गर्छौं,हिंसा समस्या हो, समाधान होइन, विदेश पलायन हुन बाध्य नपारजस्ता पम्लेट बोकेका छन्। अहिले अस्पतालमा बिरामी टिकट लिन र उपचार गराउन स्वास्थ्य संस्थामा लाइन भएपनि टिकट काटिएको छैन्। केही बिरामी र आफन्त अस्पतालमा टाँसिएको सूचना हेरेर फर्किएका छन्। नेपाल चिकित्सक संघले आकस्मिक बाहेकका सबै सेवा बन्द गर्दा बिरामी मारमा परेका हुन्। आज नयाँ बिरामी दर्ता भएका छैनन्। भदौ २७ गते हेटौँडामा रहेको सञ्चो अस्पतालका चिकित्सक डा विकास थापा र डा प्रशान्त विडारीलाई बिरामीको उपचार गरिरहेको बेला साङ्घातिक आक्रमण गरिएको थियो। डेङ्गी सङ्क्रमण भएपछि थप उपचारका लागि सञ्चो अस्पतालबाट चिकित्सकहरुले चितवन रिफरगरिएको र उपचारका क्रममा बिरामीको यही साउन २५ गते निधन भएपछि सञ्चो अस्पतालमा कार्यरत चिकित्सकद्वयलाई आक्रमण गरेका थिए। सोही विषयलाई लिएर घटनामा संलग्नहरूलाई पक्राउ गरी कारबाही गर्न माग गर्दै नेपाल चिकित्सक संघको आह्वानमा सेवा बन्द गरिएको हो । उनीहरुले सांघातिक घटनामा संलग्न सम्पूर्ण दोषीहरूको अबिलम्ब छानबिन गरी फौजदारी अभियोग तथा स्वास्थ्यकर्मी तथा स्वास्थ्य संस्थाको सुरक्षा सम्बन्धी पहिलो संशोधन ऐन २०७९ बमोजिम कानूनी कारवाहीको सुनिश्चितता हुनुपर्ने र देशभरका स्वास्थ्य संस्थाहरूमा अनिवार्य रूपमा स्वास्थ्य संस्था सुरक्षाबलको व्यवस्था गरी भयरहित वातावरणमा स्वास्थ्य सेवा प्रवाह गर्ने व्यवस्था अबिलम्ब मिलाउनु पर्ने माग गरेका छन्।"
