शीर्षक,विवरण
डिसी फास्टचार्जिङ स्टेसन नेटवर्क विस्तारका लागि शारडा ग्रुप र गोल्छा अर्गनाइजेसनबीच सम्झौता,"काठमाडौं : नेपालमा विद्युतीय सवारी साधनको पूर्वाधार विस्तार गर्ने महत्वपूर्ण कदममा शारदा ग्रुप र गोल्छा अर्गनाइजेसनले डिसी फास्ट चार्जिङ स्टेसनको बृहत् सञ्जाल विकास गर्न सहकार्य गर्न औपचारिक रूपमा एक समझदारी पत्रमा हस्ताक्षर गरेका छन्। नेपालमा विद्युतीय सवारी साधनको पूर्वाधार विस्तार गर्ने एउटा महत्वपूर्ण कदमको रूपमा, यो साझेदारीले इभि प्रयोगकर्ताहरूका लागि सुविधाजनक चार्जिङ स्टेसन उपलब्ध गराउने र राष्ट्रव्यापी रूपमा वातानुकुलित र दिगो (सस्टेनेबल) यातायात प्रविधिलाई प्रवर्द्धन गर्ने लक्ष्य राखेको छ। यस साझेदारीले १ वर्ष भित्रमा, देशभरका १०० स्थानहरूमा फास्टचार्जर स्थापना गर्ने योजना राखेको छ। हाल देशभर १६ भन्दा बढी फास्टचार्जिङ नेटवर्क सञ्चालनमा रहेका छन्। उपभोक्तामाझ विद्युतीय सवारीसाधनको बढ्दो लोकप्रियता र प्रयोगसँगै, पहुँचयोग्य र भरपर्दो चार्जिङ पूर्वाधारको आवश्यकता बढेको छ। हाल पोखरा३ स्थान, काठमाडौं३ स्थान, नारायणघाट३ स्थान, नेपालगन्ज, बुटवल, विराटनगर२ स्थान, वीरगन्ज, बिर्तामोड, बर्दिवास लगायतका स्थानमा विद्यमान चार्जिङ पूर्वाधार रहेका छन्। शारडा ग्रुप र गोल्छा अर्गनाइजेसनबीचको यो संयुक्त पहलले देशका मुख्य राजमार्ग तथा स्थानहरूमा चार्जिङ स्टेसन स्थापना गर्नमा ध्यान केन्द्रित गर्नेछ जसले अन्तत: इभि प्रयोगकर्ताहरूलाई निर्धक्क रूपमा देशभर यात्रा गर्न सजिलो बनाउँछ। यो सम्झौतासँगै ग्राहकलाई सहज सेवा प्रदान गर्ने उद्देश्यले एक वर्षभित्र देशभर १०० वटा डिसी फास्ट चार्जर स्थापना गर्ने साझेदारी योजना रहेको छ। शारदा ग्रुप निसान, ओमोडा र जाइको र जिकर गाडीको आधिकारिक वितरक हो भने गोल्छा अर्गनाइजेसन नेपालका लागि लिपमोटर, सिट्रोन, प्युजियो र काइको आधिकारिक वितरक हो। साझेदारीले शारदा समूह र गोल्छा अर्गनाइजेसनसँग सम्बद्ध सबै ब्रान्डका ग्राहकहरूलाई पहुँच प्रदान गर्दछ। डिसी फास्ट चार्जरको परम्परागत लाभ राष्ट्रव्यापी रूपमा सबै ग्राहकहरूले प्रयोग गर्न सक्छन्। यो सम्झौतासँगै शारडा ग्रुप र गोल्छा अर्गनाइजेसनले बढ्दो विद्युतीय सवारीको बजारलाई अझ प्रोत्साहित गर्ने प्रतिबद्धता प्रमाणित गरेका छन्। यो सम्झौता नेपालको इभि चार्जिङ नेटवर्कको विकासमा अपरिहार्य एक उपलब्धि हो, जसको साथमा यातायात क्षेत्रमा वातानुकुलित र दिगो भविष्यको लागि मार्ग प्रशस्त हुन्छ।"
अनलाइनमा बालयौन दुर्व्यवहारको सामग्री प्रसारण गर्ने व्यक्ति पक्राउ,"काठमाडौं : अनलाइनमा बालयौन दुर्व्यवहारको सामग्री प्रसारण गरेको अभियोगमा नवलपरासी पश्चिम प्रतापुर गाउँपालिका७ का २४ वर्षीय अमन प्रताप हरिजन पक्राउ परेका छन्। नेपाल प्रहरी प्रधान कार्यालय साइबर ब्यूरोबाट खटिएको प्रहरीले जिल्ला प्रहरी कार्यालय नवलपरासी पश्चिमको सहयोगमा उनलाई नवलपरासीबाट पक्राउ गरेको हो। उनी उपर विद्युतीय (इलेक्ट्रोनिक) कारोबार ऐन, २०६३ अन्तर्गतको कसूरमा जिल्ला अदालत काठमाडौंबाट ५ दिन म्याद थप अनुमति लिई यस सम्बन्धमा प्रहरीले आवश्यक अनुसन्धान गरिरहेको छ।"
डिजेल र मट्टितेलको मूल्य वृद्धि,काठमाडौं : नेपाल आयल निगमले डिजेल र मट्टितेलको मूल्य वृद्धि गरेको छ। निगम सञ्चालक समितिको शुक्रबार बसेको बैठकले साविकको खुद्रा बिक्री मूल्यमा प्रतिलिटर डिजेल र मट्टितेलमा ३ रुपैयाँ बढाएको हो। नयाँ मूल्य राति १२ बजेबाट लागू हुने छ। निगमका अनुसार इण्डियन आयल कर्पोरेसनबाट आज प्राप्त पेट्रोलियम पदार्थको नयाँ खरिद मूल्य अनुसार प्रति लिटर पेट्रोलमा ०३२ र डिजेलमा २५४ रुपैयाँले बढेर आएको छ।
ग्राहकको संरक्षणमा विशेष ध्यान दिएका छौं : गभर्नर अधिकारी,काठमाडौं : नेपाल राष्ट्र बैंकका गर्भनर महाप्रसाद अधिकारीले ग्राहक संरक्षणमा केन्द्रीय बैंकले विशेष ध्यान दिएको बताएका छन्। नेपाल बैंक लिमिटेडको ८८औं वार्षिकोत्सवका अवसरमा शुक्रबार काठमाडौंमा आयोजित कार्यक्रममा गभर्नर अधिकारीले ग्राहक संरक्षणका लागि छुट्टै मेकानिज्मसमेत बनाउन लागेको बताए। उहाले ग्राहकहरूलाई बैंकबाट हुने अनावश्यक दबाबको नियमन गर्नका लागि सुक्ष्म निगरानी गरिने धारणा राखे। गभर्नर अधिकारीले सबै बैंकले एउटै नियमनभित्र बसेर प्रतिस्पर्धात्मक सेवा प्रवाह गरुन् भन्ने नीति राष्ट्र बैंकको रहेकाले नेपाल बैंकमाथि पनि अरु निजी बैंकभन्दा फरक दृष्टिकोण नबनाउने स्पष्ट पारे। उनले बैंकको उद्देश्य प्राप्तीका लागि आफ्ना कर्मचारीलाई सन्तुष्ट पार्नसक्नुपर्ने र कर्मचारीसँग पनि सन्तुष्ट ग्राहक हुन जरुरी रहेको धारणा राखे। त्यस्तै उनले उत्पादन क्षेत्रमा लगानी केन्द्रित गर्न सुझावसमेत दिए। वार्षिकोत्सवका अवसरमा बैंकले केही कर्मचारीलाई सम्मान र पुरस्कृत गरेको थियो।
शाओमीले उच्चक्षमता र फास्ट चार्जिङसहितको नयाँ पावर ब्यांकहरू सार्वजनिक गर्यो,"काठमाडौं : ग्लोबल टेक्नोलोजी लिडर शाओमीले नेपालमा तीन वटा नयाँ पावर ब्यांकहरू सार्वजनिक गरेको छ। उक्त लन्चका साथ शाओमीले मोबाइल एक्सेसरिजमा गुणस्तर र विश्वासको साथै आफ्नो प्रतिष्ठालाई पनि थप सुदृढ बनाएको छ। नयाँ उपलब्ध मोडलहरु २२५ वाटको फास्ट चार्जिङ सहितको शाओमी पावर ब्यांक ४ आई १०००० एमएएच, ३३ वाटको सोनिक चार्जसहितको शाओमी पावर ब्यांक ४ आई २०००० एमएएच र २२५ वाटको फास्ट चार्जिङ र बिल्ट इन केबलसहितको शाओमी पकेट पावर ब्यांक १०००० एमएएच रहेका छन्। लन्चको क्रममा शाओमी नेपालका कन्ट्री म्यानेजर मनु मनस्वीले भने, हामी आफ्ना ग्राहकहरूको परिवर्तनशील आवश्यकतालाई राम्रोसँग बुझ्छौं। ग्राहकवर्गले आफ्नो व्यस्त जीवनमा द्रुत र भरपर्दो समाधान खोजिरहेको अवस्थामा हामी उहाँहरूलाई अझ बढी सुविधा, कार्यक्षमता भएको पावर बैँकहरु प्रदान गरी उहाँहरुको डिभाइसमा जुनसुकै समयमा र जहाँसुकै पावर रहिरहोस् भन्ने चाहन्छौँ। यी उपकरणहरूले विभिन्न प्रयोगकर्ताको आवश्यकतालाई ध्यानमा राखी छिटो चार्जिङ क्षमता, बहुउपकरण चार्जिङ र कम्प्याक्ट डिजाइनहरू प्रदान गर्दछ। शाओमी पावर ब्यांक ४ आई १०००० एमएएच (२२५ वाट फास्ट चार्ज) शाओमी पावर ब्यांक ४ आई १०००० एमएएच फास्ट पोर्टेबल पावरको आवश्यकता भएका ग्राहकका लागि उपयुक्त हुन्छ। २२५ वाटको फास्ट चार्जिङ र टाइप सी पोर्टको साथ यस पावर बैँकले स्मार्टफोन, ट्याब्लेटहरू र अन्य ग्याजेटहरू छिटो चार्ज गर्न मद्दत पुर्याउँदछ। यो कम्प्याक्ट डिभाइस युयसवीए र यूसबीसी पोर्टसहित उपलब्ध छ जसले एकै पटकमा तीनवटा ग्याजेहरूलाई चार्ज गर्नसक्छ। उच्च सुरक्षा सुविधाहरू उपलब्ध रहेको यो पावर बैँकले धेरै तात्ने र सर्टसर्किट जस्तो समस्याबाट सुरक्षा प्रदान गर्दछ। मुख्य फिचरहरू: ब्याट्री क्षमता: १०००० एमएएच (३७ वाट आओर) इनपुट (टाइपसी): ५ भोल्ट३ एम्पियर, ९ भोल्ट२५ एम्पियर आउटपुट (टाइपसीयुएसबी): २२५ वाटसम्म डाइमेन्सन: १४७८ ८ ७३९ ८ १५३ सेन्टीमिटर चार्जिङ समय: ९ भोल्ट२ एम्पियर चार्जरसहित लगभग ४ घण्टामा शाओमी पावर ब्यांक ४ आई २०००० एमएएच (३३ वाट सोनिक चार्ज) अधिक पावर र लामो प्रयोग आवश्यक पर्नेहरूको लागि शाओमी पावर ब्यांक ४ आई २०००० एमएएच ३३ वाटको सोनिक चार्ज प्रविधिसहित उपलब्ध रहेको छ। दुईवटा १०००० एमएएचको लिथियमआयन ब्याट्रीहरू सहित यस पावर ब्यांकले दिनभरि एकभन्दा धेरै डिभाइसहरुलाई चार्ज गर्न पर्याप्त ऊर्जा प्रदान गर्दछ। यसको टाइपसी पोर्टले अन्य डिभाइसका साथै पावर ब्यांक स्वयंलाई पनि छिटो दुईतर्फी चार्जिङको अनुमति दिन्छ। मजबुत निर्माण गुणस्तर र १२लेयरको सेफ्टी प्रोटेक्सनको साथ, यो पावर बैँक लामो समयसम्मको प्रदर्शनको लागि निमार्ण गरिएको कम्पनीले जनाएको छ। मुख्य फिचरहरू: ब्याट्री क्षमता: २०००० एमएएच (७४ वाट आओर) इनपुट (टाइपसी): ३० वाटसम्म आउटपुट (टाइपसीयुएसबीए): ३३ वाटसम्म डाइमेन्सन: १५०६ ८ ७२२ ८ २६३ सेन्टीमिटर चार्जिङ समय: ९ भोल्ट२ एम्पियर चार्जरसहित लगभग ६९ घण्टामा शाओमी पकेट पावर ब्यांक १०००० एमएएच (२२५ वाटको साथ बिल्टइन केबल) बिल्टइन टाइपसी चार्जिङ केबलसहित शाओमीको पकेट पावर ब्यांकले सुविधा र स्टाइल दुवै प्रदान गर्दछ। कम्प्याक्ट र शक्तिशाली यो १०००० एमएएच पावर ब्यांकले २२५ वाटसम्मको चार्जिङ लिन सक्छ भने यसले एकै पटकमा तीनवटा डिभाइसहरूलाई चार्ज गर्न सक्छ। यसको टिकाउपना र पकेटसाइजको डिजाइनले यसलाई हरेक यात्रामा प्रयोग गर्न सहज सकिन्छ। मुख्य फिचरहरू: ब्याट्री क्षमता: १०००० एमएएच (३७ वाट आओर) इनपुट: २२५ वाट आउटपुट (टाइपसीयुएसबीएबिल्टइन केबल): २२५ वाटसम्म आयाम: १०५२ ८ २६९ ८ ६५२ मिलिमिटर चार्जिङ समय: ९ भोल्ट२५ एम्पियर चार्जरसहित लगभग ३५ घण्टा बजार उपलब्धता २२५ वाटको फास्ट चार्जिङसहितको शाओमी पावर ब्यांक ४ आई १०००० एमएएच रू३,४९९ मा उपलब्ध छ भने ३३ वाटको सोनिक चार्जसहितको शाओमी पावर ब्यांक ४ आई २०००० एमएएच रू४,९९९ मा उपलब्ध छ। त्यसैगर २२५ वाटको फास्ट चार्जिङ र बिल्ट इन केबलसहितको शाओमी पकेट पावर ब्यांक १०००० एमएएच रू४,२९९ मा उपलब्ध रहेको छ।"
८ लाख बढी जरिवानाका दुई कसुरदार पक्राउ,उदयपुर : आठ लाख रुपैयाँभन्दा बढी जरिवाना तोकिएका दुई कसुरदारलाई शुक्रबार उदयपुर प्रहरीले पक्राउ गरेको छ। जिल्ला प्रहरी कार्यालय उदयपुरबाट खटिएको प्रहरी टोलीले अलगअलग मुद्दामा २ वर्ष कैद र आठ लाख ६८ हजार ६४५ रुपैयाँ जरिवाना तोकिएका उनीहरूलाई पक्राउ गरेको हो। पक्राउ पर्नेमा त्रियुगा नगरपालिका१२ का ५४ वर्षीय वालशेर राई र त्रियुगा५ खारखोलाका ६७ वर्षीय तेजबहादुर रानामगर रहेको डीएसपी राजन चापागाईंले बताए। राईलाई उच्च अदालत विराटनगरले २०७९ चैत ३ गते लेनदेन मुद्दामा दुई वर्ष कैद पाँच लाख जरिवानाको फैसला सुनाएको उनले बताए। त्यसैगरी रानामगरलाई सर्वोच्च अदालतले २०८० वैशाख २९ गते वन मुद्दामा तीन लाख ६८ हजार ६४५ रुपैयाँ जरिवानाको फैसला सुनाएको उनले बताए। दुवैलाई फैसला कार्यान्वयनका लागि शुक्रबार नै जिल्ला अदालत पठाइएको छ।
शनिबार देशका यी स्थानमा हुने छ वर्षा,"काठमाडौं : शनिबार कोशी प्रदेश, बागमती प्रदेश र गण्डकी प्रदेशका पहाडी भूभागमा आंशिक बदली रही बाँकी भूभागमा मौसम मुख्यतया सफा रहने छ। मौसम पूर्वानुमान महाशाखाका अनुसार कोशी प्रदेश र गण्डकी प्रदेशका पहाडी भूभागका एकदुई स्थानमा हल्का वर्षाको सम्भावना रहेको छ। शनिबार राति कोशी प्रदेश, बागमती प्रदेश र गण्डकी प्रदेश पहाडी भूभागमा आंशिक बदली रही बाँकी भूभागमा मौसम मुख्यतया सफा रहने छ।"
कास्कीमा ४८ जना फरार प्रतिवादी पक्राउ,"काठमाडौं : अदालतको फैसला कार्यान्वयनका लागि कास्कीमा ४८ जना फरार प्रतिवादी पक्राउ परेका छन्। जिल्ला प्रहरी कार्यालयका अनुसार एक महिनामा ४८ जना फरार प्रतिवादी पक्राउ परेका हुन्। जिल्ला प्रहरी कार्यालय कास्की तथा मातहत प्रहरी कार्यालयहरू समेतबाट खटिएको प्रहरी टोलीले अदालतबाट विभिन्न मुद्दामा फैसला भई कैद तथा जरिवाना भुक्तान गर्न बाँकी रहेका ३६ पुरुष र १२ जना महिलालाई पक्राउ गरेको हो। पक्राउ परेकालाई फैसला कार्यान्वयनका लागि अदालतमा बुझाइएको सूचना अधिकारी एवं प्रहरी नायव उपरीक्षक वसन्त कुमार शर्माले बताए। पक्राउ परेकाहरूबाट १ वर्ष ६ महिना ६ दिन कैद सजाय र एक करोड दुई लाख एक हजार पाँच सय रुपैयाँ जरिवाना असुल गर्नका लागि अदालतमा उपस्थित गराइएको हो। पक्राउ परेकामध्ये चेक अनादार मुद्दामा ३५, लागू औषध मुद्दामा ५, बैंकिङ कसुर मुद्दामा ४ जना तथा अभद्र व्यवहार, आपराधिक उपद्रव, सार्वजनिक सम्पत्तिको नोक्सान गरी भ्रष्टचार गरेको र लेनदेन बिगो मुद्दामा एकएक जना पक्राउ गरिएको छ।"
बाजुराको स्वामीकार्तिकमा निर्वाचन अधिकृतको कार्यालय स्थापना,बाजुरा : स्वामीकार्तिक खापर गाउँपालिकामा उपाध्यक्ष पदको उपनिर्वाचनका लागि मुख्य निर्वाचन अधिकृतको कार्यालय स्थापना गरिएको छ। आगामी मंसिर १६ गते हुने उपनिर्वाचनका लागि आज स्वामीकार्तिक खापर गाउँपालिका केन्द्र सुईजिउलामा कार्यालय स्थापना गरिएको मुख्य निर्वाचन अधिकृत्त सन्जीव पोखरेलले बताए। मनोनयन दर्तादेखि मतगणना गाउँपालिकामा नै गर्नुपर्ने भएकाले गाउँपालिकाको केन्द्रमा नै कार्यालय स्थापना गरिएको मुख्य निर्वाचन अधिकृत पोखरेलले बताए। भोलिदेखि निर्वाचनका कामहरू अघि बढाउने तयारी रहेको कार्यालयले जानकारी दिएको छ। २०७९ को स्थानीय तहको निर्वाचनबाट निर्वाचित गाउँपालिकाकी उपाध्यक्ष मैनादेवी जोशीको निधनपछि रिक्त पदमा उप निर्वाचन हुन लागेको हो। उपनिर्वाचनको लागि ५ वटा मतदानस्थलमा ९ वटा मतदान केन्द्र तोकिएको छ।
उपनिर्वाचनका लागि ३८ वटा निर्वाचन अधिकृतका कार्यालय स्थापना,काठमाडौं : आसन्न स्थानीय तह उपनिर्वाचनका लागि आज ३८ वटा निर्वाचन अधिकृतका कार्यालय स्थापना गरिएका छन्। उपनिर्वाचन हुने स्थानीय तहमा ३२ वटा मुख्य निर्वाचन अधिकृतको कार्यालय र छवटा निर्वाचन अधिकृतको कार्यालय स्थापना गरिएको निर्वाचन आयोगले जनाएको छ। उपनिर्वाचन हुने सम्बन्धित स्थानीय तह तथा वडाको केन्द्र रहेको स्थानमा निर्वाचन अधिकृतका कार्यालय स्थापना गरिएको आयोगका प्रवक्ता नीता पोखरेल अर्यालले बताइन्। आगामी मंसिर २ देखि ५ गतेसम्म सम्बन्धित मुख्य निर्वाचन अधिकृत र निर्वाचन अधिकृतको कार्यालयमा निर्वाचन कार्यक्रम सञ्चालन हुनेछन्। मंसिर २ गते उम्मेदवारको मनोनयन दर्ता गर्ने कार्यतालिका छ। मंसिर ५ गते उम्मेदवारको अन्तिम नामावली प्रकाशन गर्ने र उम्मेदवारलाई निर्वाचन चिह्न प्रदान गर्ने कार्यक्रम छ। मंसिर १६ गते आइतबार बिहान ७ देखि अपराह्न ५ बजेसम्म मतदान हुनेछ। यसैबीच आयोगले सहसचिव नीता पोखरेल अर्याललाई प्रवक्ताको जिम्मेवारी तोकेको छ। आयोगको आजको निर्णयानुसार अर्याललाई प्रवक्ता तोकिएको सहायक प्रवक्ता दुर्गाप्रसाद चालिसेले जानकारी दिए।
