शीर्षक,विवरण
रंगमञ्चमा उदाएकी अञ्जली,"काठमाडौं : रंगकर्मीहरूको सपनाको सहर हो देशको राजधानी काठमाडौं । जहाँ दर्जन जति नाट्य घरहरूहरू सक्रिय छन् । नाट्य क्षेत्र वा अभिनय क्षेत्रमा करियर बनाउने हजारौं युवायुवती संघर्षरत छन् काठमाडौंमा । त्यसैमध्येकी एक हुन् अञ्जली साह । चैत ६ गतेदेखि काठमाडौंमा सुरु भएको तेस्रो नेपाल अन्तर्राष्ट्रिय नाट्य महोत्सवको क्रममा अञ्जलीले आफ्नो अभिनयको जादुले दर्शकहरूको मन जित्न सफल भइन् । मैथिली भाषाको नाटक साम चको साम चको अबिहा हेको मुख्यपात्रको भूमिकामा देखिएकी अञ्जलीले महोत्सवमा अबल नाट्यकर्मीको रूपमा आफ्नो परिचय बनाएकी छन् । यसअघि कयौं नाटकमा अभिनय गरेकी अञ्जलीले नाट्यकर्मी वीरेन्द्र हमालबाट राष्ट्रिय नाच घरमा प्रशिक्षण पाएकी हुन् । सिरहा पुर्खौली घर भएकी अञ्जली सिन्धुलीको कमलाखोजमा हुर्किएकी हुन् । काठमाडौंमा बसेर स्नातक अध्ययनसँगै रंगकर्ममा लागेकी उनी ग्रामिण परिवेशका कथा बस्तुमा अभिनय गर्न रुचाउँछिन् । मध्यमवर्गीय परिवारमा जन्मेकी अञ्जली अभिनय क्षेत्रमा धेरै उचारचढाव हुने गरेको बताउँछिन् । यस क्षेत्रमा संघर्ष छ तर सफलता पनि छ, उनी भन्छिन्, कला प्रदर्शन गर्न निखारिनु पर्छ र निखारिनका लागि मेहनत आवश्यक छ । आफ्नो परिवारमा कोही पनि कला साहित्य क्षेत्रमा नलागेको सम्झिँदै उनी भन्छिन्, नयाँ क्षेत्रमा आउने पहिलो पुस्तालाई धेरै संघर्ष र मेहनत गर्नुपर्दो रहेछ । सफल हुन सकिन्छ वा सकिँदैन भन्ने चिन्ताले सताउँछ । केही म्युजिक भिडियोमा समेत अभियन गरेकी अञ्जली देशको संस्कृतिलाई उजागर गर्ने खालका कन्टेन्टहरू थोरै मात्रामा आउन थालेकोमा चिन्तित छन् । उनी नेपालको नाट्य क्षेत्र थप व्यवसायिक हुनुपर्नेमा जोड दिँदै भन्छिन्, नाट्य क्षेत्रका कलाकारले यसै क्षेत्रमा जीवन यापन गर्न सक्ने वातावरण अहिलेसम्म बन्न सकेको छैन । राज्यबाट पनि नाट्य क्षेत्र उपेक्षित रहेको जस्तो लाग्छ । यस क्षेत्रलाई व्यवस्थित गरेर देशको कला संस्कृतिको जर्गेना गर्न सकिन्छ । केही दशकअघिसम्म नेपाली कलाकारहरूले विभिन्न देशमा गएर नेपालको कला संस्कृति झल्किने प्रस्तुती दिँदै आएको सम्झिँदै उनले भनिन्, अब पुनः नेपालको रंगकमीले विश्व रंगमञ्चमा सशक्त प्रस्तुती दिनका लागि युवा पुस्तामा राज्यको लगानी हुनुपर्ने छ । तेस्रो नेपाल नाट्य महोत्सव २०२५ को अन्तिम शोमा पनि प्रस्तुती दिएकी अञ्जलीले तराई मधेसमा महिलामाथि हुने हिंसालाई आफ्नो अभिनयमार्फत बेजोर ढंगले पस्किइन् । जसले दर्शकको मन जितेर पुनः उनलाई यस्तै रंगमञ्चमा आउन हौसला प्रदान गर्यो ।"
अन्नपूर्णका कर्मचारीलाई सिटिजन्स बैंकको भर्चुअल क्रेडिट कार्ड,"काठमाडौं : अन्नपूर्ण मिडिया नेटवर्कमा कार्यरत रहेका कर्मचारीहरूलाई सिटिजन्स बैंक इन्टरनेशनल लिमिटेडले भर्चुअल क्रेडिट कार्ड सुविधा प्रदान गर्ने भएको छ। मंगलबार तिनकुनेस्थित अन्नपूर्ण मिडिया नेटवर्कको हेडक्वार्टरमा आयोजित एक समारोहबीच अन्नपूर्ण मिडिया नेटवर्क र सिटिजन्स बैंक इन्टरनेशनल लिमिटेडबीच मिडिया उद्योगमै पहिलो पटक अन्नपूर्ण मिडिया नेटवर्कका कार्यरत रहेका कर्मचारीहरूलाई भर्चुअल क्रेडिट कार्ड प्रदान गर्ने सम्झौता भएको हो। सम्झौतापत्रमा नेटवर्कका महाप्रबन्धक मनोज बस्नेत र सिटिजन्स बैंकका क्रेडिट विभाग हेड समिर अधिकारीले हस्ताक्षर गरेका थिए। हस्ताक्षर समारोहमा नेटवर्कका विभागीय प्रमुखहरू, सिटिजन्स बैंकका रिलेशन अफिसर विवेक श्रेष्ठसहितले सहभागिता जनाएका थिए। हामीले बैंकिङ इन्डस्टीमै पहिलो पटक नयाँ प्रोडक्ट भर्चुअल क्रेडिट कार्ड ल्याएका छौं, सिटिजन्स बैंकका क्रेडिट विभाग हेड समिर अधिकारीले भने, मिडिया उद्योगमा पहिलोपटक अन्नपूर्णमा यो कार्ड प्रयोगमा ल्याई सेवा प्रदान गर्न लागेका हौं। अन्नपूर्ण मिडिया नेटवर्कका कर्मचारीहरूको तलबको डेढ गुणा रकम कार्डमा लिमिट पाउँछन्। बैंकले न्यूनतम २० हजार रुपैयाँदेखि २ लाख ५० हजार रुपैयाँसम्म क्रेडिट लिमिट प्रदान गर्नेछ। फोनपे क्यूआरकोर्टबाट उनीहरूले सजिलै खर्चको भुक्तानी गर्न सक्नेछ। सहजै रूपमा कर्मचारीहरूले भर्चुअल क्रेडिट कार्ड पाउनेछन्। सिटिजन्स बैंकसँगको सहकार्यमा हामीले मिडिया उद्योगमा पहिलो पटक कर्मचारीलाई लक्षित गरि भर्चुअल क्रेडिट कार्ड योजना सञ्चालन ल्याएका हौं, अन्नपूर्ण मिडिया नेटवर्कका महाप्रबन्धक बस्नेतले भने, यसबाट हाम्रा कर्मचारीहरू आवश्यकता परेको अवस्थामा तुरुन्तै खर्च भुक्तानी गर्न सक्नेछ।"
ठाकुररामको स्थगित मतगणना बुधबार १ बजेदेखि,"वीरगन्ज : वीरगन्जको ठाकुरराम बहुमुखी क्याम्पसमा स्थगित स्ववियु निर्वाचनको मतगणना बुधबार दिउँसो १ बजेदेखि सुचारू हुने भएको छ। मंगलबार साँझ जिल्ला प्रशासन कार्यालय पर्सामा जिल्ला सुरक्षा समितिको आयोजनामा बसेको विद्यार्थी संगठनका नेता र उम्मेदवारसहितको बैठकले मतगणना बुधबार दिउँसो १ बजेदेखि सुचारू गर्ने निर्णय गरेको प्रमुख जिल्ला अधिकारी गणेश अर्यालले जानकारी दिए। मंगलबारको बैठकले अवरुद्ध मतगणना बुधबार दिउँसो १ बजेदेखि सुचारु गर्नका लागि जिल्ला सुरक्षा समितिले क्याम्पस प्रशासन र निर्वाचन समितिलाई पत्र लेख्ने निर्णय गरेको प्रजिअ अर्यालले बताए। बैठकले असन्तुष्ट विद्यार्थी संगठनसमूहले आरोप लगाएको फर्जी विद्यार्थी भर्ना,मतपेटिकाको सिल नम्बर फरक भेटिएको लगायतका विषयमा छानबिन र कारबाहीका लागि सहायक प्रमुख जिल्ला अधिकारी सुमन कार्कीको संयोजकत्वमा ५ सदस्यीय छानबिन समिति गठनपनि गरिएको छ। उक्त समितिमा पर्साका प्रहरी नायब उपरीक्षक किशोर लम्सालका साथै विद्यार्थी संगठनबाट पनि दुई जना सदस्य रहने प्रजिअ अर्यालले बताए।"
उद्योगीहरूसँग लिनुपर्ने बक्यौता तत्काल असुल गर्न शाक्यलाई मन्त्री खड्काको निर्देशन,काठमाडौं : जलस्रोत तथा सिंचाईमन्त्री दीपक खड्काले नेपाल विद्युत् प्राधिकारणका नवनियुक्त कार्यकारी निर्देशक हितेन्द्रदेव शाक्यलाई पद तथा गोपनियताको सपथ ग्रहण गराएका छन्। मन्त्री खड्काले नवनियुक्त कार्यकारी निर्देशक शाक्यलाई उद्योगीहरूसँग प्राधिकरणले लिनुपर्ने बक्यौता तत्काल असुल गर्ने प्रक्रिया अघि बढाउन निर्देशन दिए। उनले ऊर्जा क्षेत्र नेपालकै समृद्धिको प्रमुख आधार रहेको भन्दै विद्युत् प्राधिकरणले इमान्दार भएर जनताको पक्षमा नतिजा देखिने गरी काम गर्न निर्देशन दिए। शाक्यले आफ्नो मन वचन र कर्मले आफ्नो योग्यता र क्षमताको अधिकतम प्रयोग गरी प्राधिकरणलाई नयाँ उचाइमा पुर्याउने प्रतिबद्धता जनाए। मन्त्रालयका सचिव सुरेश आचार्यले अहिलेको चुनौतीपूर्ण अवस्थामा प्राधिकरणको साख जोगिने गरी काम गर्न निर्देशन दिएका थिए।
प्रधानमन्त्री ओली र थाइल्याण्डका राजदूतबीच भेटवार्ता,"काठमाडौं : प्रधानमन्त्री केपी शर्मा ओलीसँग नेपालका लागि थाइल्याण्डका राजदूत सुवापोङ सिरिसोर्नले शिष्टाचार भेट गरेका छन्। थाइल्याण्डका प्रधानमन्त्री फेथोङथान सिनावातको मैत्रीपूर्ण निमन्त्रणा नेपालका प्रधानमन्त्रीको पहिलो औपचारिक थाइल्याण्ड भ्रमणको पूर्वसन्ध्यामा राजदूत सिरिसोर्नले प्रधानमन्त्री ओलीलाई भेटेका हुन्। चैत २२ मा हुने बहुक्षेत्रीय प्राविधिक तथा आर्थिक सहयोगका लागि बंगालको खाडीको प्रयास (बिमस्टेक) को छैठौं शिखर सम्मेलन तथा थाइल्याण्ड औपचारिक भ्रमणका लागि प्रधानमन्त्री ओली नेतृत्वको प्रतिनिमिमण्डल चैत १९ गते बैंकक प्रस्थान गर्ने कार्यक्रम छ। भेटका अवसरमा प्रधानमन्त्रीका मुख्य सल्लाहकार विष्णुुसाद रिमाल, परराष्ट्र मन्त्रालयका अधिकारीलगायतको उपस्थिति थियो।"
यस्ता छन् मन्त्रिपरिषद् बैठकका निर्णय,"काठमाडौं : नेपाल विद्युत् प्राधिकरणका कार्यकारी निर्देशक कुलमान घिसिङलाई पदबाट हटाउने मन्त्रिपरिषद्को निर्णय औपचारिक रूपमा सार्वजनिक गरिएको छ। मंगलबार सिंहदरबारमा मन्त्रिपरिषद्का निर्णय सार्वजनिक गर्दै सरकारका प्रवक्ता पृथ्वीसुव्वा गुरुङले कुलमान घिसिङलाई प्राधिकरणको कार्यकारी निर्देशक पदबाट हटाउने र हितेन्द्र देव शाक्यलाई नियुक्त गर्ने निर्णय भएको जानकारी दिए। उनले कुलमान घिसिङलाई पदमुक्त गर्ने निर्णय सुशासनसँग जोडिएको भन्दै अहिलेको आवश्यकताका आधारमा निर्णय गरिएको बताए। उनले सरकारले गरेको निर्णयमा असहमति जनाउने अधिकार रहेको लोकतन्त्रमा विरोध हुनु स्वभाविक रहेको उल्लेख गरे। सरकारले सोधेको स्पष्टीकरण चित्तबुझ्दो नभएको कुलमानलाई हटाइएको उनले बताए। बैठकले संक्रमणकालीन न्यायसंगसम्बन्धी अयाोगको अध्यक्ष तथा सदस्यको नियुक्तिको लागि सिफारिस गर्न सवोच्चका पूर्वप्रधानन्यायाधीश ओमप्रकाश मिश्रको अध्यक्षतामा सिफारिस समिति गठन गर्ने निर्णय गरेको उनले बताए। मन्त्रिपरिषद्ले चैत १९ देखि २३ गतेसम्म थाइल्याण्डमा हुने बिमस्टेकको शिखर सम्मेलनमा सहभागी हुन प्रधानमन्त्रीको भ्रमण स्वीकृत गरेको छ भने राष्ट्र बैंकको गभर्नर नियुक्तिको सिफारिस गर्न उपप्रधान एवं अर्थमन्त्रीको अध्यक्षतामा तीन सदस्य सिफरिस समिति गठन गर्ने निर्णय समेत गरिएको प्रवक्ता गुरुङले बताए। त्यस्तै बैठकले विद्युतीय कारोबार पहिलो संशोधन नियमावली २०८१ स्वीकृत गर्ने, सामुद्रिक यातायात सहयोगसम्बन्धी सम्झौतामा हस्ताक्षर गर्न स्वीकृति दिने लगायतका २७ वटा निर्णय गरेको छ।"
कुलमानलाई बदनियतपूर्वक बर्खास्त गरियो : रास्वपा,"काठमाडौं : राष्ट्रिय स्वतन्त्र पार्टी (रास्वपा)ले नेपाल विद्युत् प्राधिकरणका कार्यकारी निर्देशक कुलमान घिसिलाई बदनियतपूर्वक बर्खास्त गरेको आरोप लगाएको छ। रास्वपाले मंगलबार विज्ञप्ति जारी गर्दै सरकारको उक्त निर्णयप्रति ध्यानाकर्षण जनाएको हो। 'विद्युत प्राधिकरणलाई वित्तीय सुदृढीकरणको बाटोमा लैजान प्रयासरत राष्ट्रसेवकलाई बक्यौता रकम उठाउन नदिने हेतु सरकारका तर्फबाट भए गरेका दुष्प्रयास र बिचौलियाहरुको संरक्षणको शृंखलाअन्तर्गत नै घिसिङमाथि कारबाही गरिएको रास्वपाको निष्कर्ष छ। संविधानले नचिन्ने दुई दलीय संयन्त्रसमेतको सम्मतिमा गरिएका यस्ता जनविरोधी कदमहरूबाट देशमा केही गरौं भन्ने आम युवा र सचेत नागरिक पूर्णतः निरुत्साहित भएको राष्ट्रिय स्वतन्त्र पार्टीको ठहर छ,' कार्यवाहक महामन्त्री कविन्द्र बुर्लाकोटीले जारी गरेको विज्ञप्तिमा भनिएको छ।"
राजसंस्था र हिन्दुराष्ट्रको मागसहित राप्रपाद्वारा आन्दोलन घोषणा,"काठमाडौं : राष्ट्रिय प्रजातन्त्र पार्टीले उपत्यका केन्द्रित आन्दोलनको घोषणा गरेको छ। मंगलबार काठमाडौंमा बसेको राप्रपा आन्दोलन परिचालन मूल समितिले पार्टी पूर्वरूपमा आन्दोलनमा होमिने निर्णय गर्दै आन्दोलनका कार्यक्रम तय गरेको अध्यक्ष राजेन्द्र लिङ्देनले जानकारी दिए। बैठकले चैत २६ गते काठमाडौंमा बागमती प्रदेशस्तरीय विरोधसभासहितको प्रदर्शन गर्ने र वैशाख ७ गतेबाट राजधानी केन्द्रित आन्दोलनका कार्यक्रम गर्ने निर्णय गरेको उनले बताए। बैठकले राजसंस्था, हिन्दुराष्ट्रको पक्ष र संघीयताको विपक्षमा शान्तिपूर्ण रूपमा हुने जुनसुकै आन्दोलनलाई समर्थन गर्ने निर्णय गरेको लिङ्देनले जानकारी दिए। त्यस्तै आन्दोलनका लागि सहकार्य गर्न ढोका खुला गर्ने समेत बैठकले निर्णय गरेको उनले बताए। त्यस्तै बैठकले कुलमान घिसिङलाई पदबाट हटाउने निर्णयप्रति विरोध प्रकट गर्ने निर्णय गरेको छ।"
"पदभार ग्रहण गर्दै शाक्यले भने लोडसेडिङ हुने हल्ला निराधार हो, अब हुँदैन",काठमाडौं : नेपाल विद्युत् प्राधिकरणका नवनियुक्त कार्यकारी निर्देशक हितेन्द्रदेव शाक्यले पदभार ग्रहण गरेका छन्। मंगलबार साँझ प्राधिकरणमा पुगेर नवनियुक्त कार्यकारी निर्देशक शाक्यले पदभार ग्रहण गरेका हुन्। प्राधिकरणमा पुग्दा कर्मचारीहरूले शाक्यलाई स्वागत गरेका थिए। पदभार ग्रहण गरेपछि शाक्यले आफूले न्याय पाएको बताए। यसअघिको आफ्नो योजना अनुसार प्राधिकरणलाई अघि बढाउने उनले बताए। उनले प्राधिकरणभित्र रहेका समस्यालाई सामूहिकरूपमा समाधान गर्ने प्रतिबद्धता जनाए। लोडसेडिङ हुने हल्ला निराधार मात्रै रहेको भन्दै जनताको घरमा अब लोडसेडिङ नहुने उनले प्रष्ट पारे। उनले दुई हप्ताभित्र केही सकारात्मक नतिजा देखिने गरी काम गर्ने बतँए। शाक्यले डेडिकेटेड र ट्रंकलाइन बक्यौताका बिषयमा प्रक्रियागत ढंगले समाधान निकाल्ने दाबी गरे। सोमबार बसेको मन्त्रिपरिषद् बैठकले कुलमान घिसिङलाई हटाएर शाक्यलाई प्राधिकरणको कार्यकारी निर्देशकमा नियुक्त गरेको थियो।
नेपाल मलेसियासँग पराजित,काठमाडौं : एएफसी एसीयन कप छनोटमा नेपाल मलेसियासँग पराजित भएको छ। मलेसियाको जोहोरस्थित इब्राहिम सुल्तान स्टेडियममा भएको खेलमा नेपालले मलेसियासँग २० को हार व्यहोरेको हो। खेलको पहिलो हाफमा मलेसियाका लागि खेलको २९औं मिनेटमा हेक्टर हेभलले गोल गर्दै मलेसियालाई अग्रता दिलाएका हुन्। दोस्रो हाफमा पनि मलेसियाले १ गोल थप गरेको हो। खेलको ७०औं मिनेटमा आरिफ एमनको पासमा कोरविन वोङले गोल गर्दै मलेसियाको अग्रता दोब्बर गरेका हुन्। आजको खेलमा नेपालका लागि रेजिन सुब्बाले नेपालको लागि डेब्यु गरे। नेपालले आजको खेलमा मलेसियासँग आठौं पटक प्रतिस्पर्धा गरेको थियो। आजको खेलमा पराजित हुँदा नेपाल सातौं पटक मलेसियासँग पराजित भएको हो। आठौं खेल खेल्दासम्म पनि नेपालले हालसम्म मलेसियाको पोष्टमा गोल गर्न सकेको छैन। सन् २०२७ मा साउदी अरेबीयामा हुने एएफसी एसीयन कपको अन्तिम चरणको छनोटमा नेपालले मलेसियासहित भियतनाम र लाओससँग होम एण्ड अवेका आधारमा खेल्नेछ। यस खेलको समूह विजेताले एसिया कपमा छनोट हुनेछ।
