शीर्षक,विवरण
युक्रेनी राष्ट्रपति जेलेन्स्कीको भव्य स्वागत गर्दै ह्वाइट हाउस,"काठमाडौं : युक्रेनका राष्ट्रपति भोलोदिमिर जेलेन्स्कीको स्वागतका लागि ह्वाइट हाउसले भव्य तयारी गरेको छ। अमेरिका भ्रमणमा रहेका जेलेन्स्की र राष्ट्रपति डोनाल्ड ट्रम्पबीच शुक्रबार ह्वाइट हाउसमा द्विपक्षीय वार्ता हुँदैछ। ट्रम्प र जेलेन्स्कीबीच द्विपक्षीय भेटवार्ता, दिवाभोज र सञ्चारकर्मीसँग साक्षात्कार कार्यक्रम रहेको छ। युक्रेन र रुसबीच जारी युद्धका कारण पनि यो भेटलाई विश्व जगतले विशेष चासोको रूपमा हेरिरहेका छन्। ट्रम्प र जेलेन्स्कीबीच युक्रेनको खनिज पदार्थमा अमेरिकी पहुँचको विषयमा सम्झौता हुने बताइएको छ। उक्त सम्झौतापछि अमेरिकाले युक्रेनको दुर्लभ खनिज पदार्थमा पहुँच प्राप्त गर्ने दाबी गरिएको छ। ट्रम्पका अनुसार यो सम्झौता अमेरिकी करदाताहरूका लागि धेरै लाभदायक हुने छ। यसले युक्रेनलाई सहयोग गर्न खर्च भएको अर्बौं डलरको क्षतिपूर्ति दिनेछ। यद्यपि अमेरिकी अधिकारीहरू यस सम्झौताको बारेमा आशंका व्यक्त गरेका छन्। सीएनएनको रिपोर्ट अनुसार विज्ञहरूले सम्झौता कार्यान्वयन त्यति सजिलो नभएको बताएका छन्। युक्रेनमा दुर्लभ खनिज छ भन्ने कुनै ठोस जानकारी नभएको उनीहरूको तर्क छ।"
भूमिसम्बन्धी अध्यादेशमा सरकारको नियत राम्रो देखिएन : माधव नेपाल,काठमाडौं : नेकपा एकीकृत समाजवादीका अध्यक्ष माधव कुमार नेपालले भूमिसम्बन्धी अध्यादेशमा सरकारको राम्रो नियत नदेखिएको बताएका छन्। भूमिसम्बन्धी अध्यादेशका विषयमा आयोजित अन्तरक्रियामा अध्यक्ष नेपालले बिचौलियालाई पोस्ने गरी भूमिसम्बन्धी अध्यादेश ल्याएको र यसमा सरकारको नियत राम्रो नदेखिएको बताए। भूमिहीन सुकुम्बासीलाई जग्गामात्र बाँडेर समस्या समाधान नहुने भन्दै उनले त्यसका लागि उपयुक्त नीति अपनाएर सहज जीवनयापनको व्यवस्था गर्नुपर्नेमा जोड दिए। त्यस्तै अध्यक्ष नेपालले दुईदुई पटक संसद विघटन गर्ने प्रधानमन्त्री केपी ओलीको पृष्ठभूमिका आधारमा पनि राम्रो कामका लागि अध्यादेश ल्याएको भन्नेमा आशंका उत्पन्न भएको बताए। उनले प्रक्रिया मिलेर ल्याइएको अध्यादेशलाई समर्थन गर्न नसक्ने स्पष्ट पार्दै फिर्ता लिन सुझाव दिए। अध्यक्ष नेपालले संविधान संशोधनका नाममा अर्को गठबन्धन ल्याएको तर प्रधानमन्त्रीले त्यसलाई २०८७ सालसम्म टार्न खोजेको बताए। अध्यक्ष नेपालले भूमिसम्बन्धी अध्यादेशलाई समर्थन नगर्ने जसपा नेपालको निर्णय स्वागतयोग्य रहेकाले दुविधामा नपर्न सुझाव दिए। उनले वर्तमान सरकार देशका लागि ठूलो समस्यामा रूपमा रहेको बताए।
"सेनाका जवानले आफ्नै घरमा आगो लगाउँदा लाखौंको क्षति, दर्जन चौपाया मरे","दार्चुला : दार्चुलामा एक युवकले आफ्नै घरमा आगो लगाउँदा लाखौंको क्षति भएको छ। जिल्लाको महाकाली नगरपालिका३ बाँजका २८ वर्षीय गौर सिंह महराले बिहीबार राति आफ्नै घरमा लगाएको जिल्ला प्रहरी कार्यालय दार्चुलाका प्रहरी निरीक्षक छत्र बहादुर रावतले बताए। ढुङ्गा र काठले बनेको दुई तले, ६ कोठाको घर पूर्ण रूपमा जलेर नष्ट भएको उनले बताए। आगो लगाउने व्यक्ति नेपाली सेनामा कार्यरत जवान हुन्। बिदामा घर आएको बेला आगो लगाएको बताइएको छ। हाल उनको मानसिक अवस्था ठीक नरहेको स्थानीयले बताएका छन्। यस्तै आगलागीबाट गोठमा रहेका २ वटा गाई, ३ बाच्छा, ३ बाख्रा, एउटा बोका र २ कुकुर गरि ११ पशुचौपाया मरेको प्रहरीले जनाएको छ। घटनाबारे बिहान मात्रै खबर आएको र बिहानै जिल्ला प्रहरी कार्यालयबाट प्रहरी टोली खटिएको प्रहरी निरीक्षक रावतले बताए। यस्तै त्यहाँ नेपाली सेना पनि खटिएको थियो। आगलागीबाट घरमा भएका लत्ताकपडा, अन्नपात लगायत सबै समान जलेर नष्ट भएको छ। घरमा आगजनी गर्ने महरालाई प्रहरीले नियन्त्रणमा लिएको छ।"
नुवाकोटमा हिमपात,"नुवाकोट : नुवाकोटको उच्च भेगमा हिमपात भएको छ। जिल्लास्थित किस्पाङको लेक, ककनी, दुप्चेश्वर, शिवपुरी लगायतका स्थानमा हिमपात भएको हो। हिमपात हेर्न पर्यटकहरू पुगिरहेका छन्। हिउँ खेल्न र अवलोकन गर्न जानेहरूको भिड बढेको छ। आन्तरिक पर्यटकहरू हिउँ परेको स्थानमा पुगेका छन्। चिसो बढेपछि सर्वसाधारण चोकचोकमा भेला भएर दाउरा बालेर आगो तापिरहेका छन्। काठमाडौंबाट नजिक रहेको कारण हिउँ खेल्न काठमाडौंबाट समेत मानिस पुगेका छन्। नुवाकोटको पश्चिमी भेगमा रहेको किस्पाङ गाउँपालिकाको फिकुरी लेकमा पनि बाक्लो हिमपात भएको छ। ककनी, शिवपुरी पनि हिमपातले ढाकिएको छ। पश्चिमी वायुको प्रभावले जाडोयाम सकिन लागेसँगै पानी परेपछि नुवाकोटमा हिमपात भएको हो। हिमपात भएर तापक्रम घटेका कारण उच्च भेगमा निकै चिसो बढेको छ। चिसो र हिमपातले उच्च भेगमा जनजीवन प्रभावित भएको छ। चिसो पीडितहरू चोक तथा घरटहराभित्र बसेर दाउरा बाल्दै न्यानो लिइरहेका छन्। नुवाकोटको ककनी, सिक्रे, माथिल्लो भाल्चे, फिकुरी, काहुले, घ्याङफेदी, उर्लेनी, घ्याङफेदीमा वर्षासँगै हिमपात भएको हो। यसैगरी हिउँदे बालीहरू अन्न तथा तरकारीको खेती गरेका किसानहरू निकै खुसी भएका छन् भने उच्च क्षेत्रमा हिउँ परेपछि स्थानीयवासीलाई कष्ट भएको छ। हिउँ हेर्न नुवाकोटका उच्च क्षेत्रका आसपासका सर्वसाधारण उच्च भेगमा पुगिरहेको फिकुरीका रामचन्द्र नेपालले बताए। सर्वसाधारणलाई न्यानो रहन र तातो खानेकुरा खानका लागि त्रिशूली अस्पतालका डा राजेन्द्र लामाको सुझाव दिए।"
"प्रधानमन्त्रीमाथि बालेनको तीव्र आक्रोश, महासचिव पोखरेलले दिए जवाफ","काठमाडौं : काठमाडौं महानगरपालिकाका प्रमुख बालेन्द्र शाह (बालेन)ले प्रधानमन्त्री केपी शर्मा ओलीमाथि आक्रोश पोखेका छन्। लामो समयदेखि काठमाडौं महानगरपालिकाले प्रमुख प्रशासकीय अधिकृत नपाएपछि मेयर बालेनले प्रधानमन्त्री ओलिमाथि आक्रोश पोखेका हुन्। उनले आफू मदन भण्डारीको सपना पूरा गर्न हिँडेको मान्छे भएको उल्लेख गरेका छन्। आफूलाई हराउने चक्करमा देश नडुबाउन उनले प्रधानमन्त्री ओलीलाई आग्रह गरेका छन्। 'प्रधानमन्त्रीज्यु, भोको पेट मारेर मलाई हराउन खोज्नुभएको छ। हामी त तपाईँकै मदन भण्डारीको सपना पूरा गर्न हिँडेको मान्छे। मलाई हराउने ताकमा, देशलाई चाहिँ नडुबाउनु होला,' उनले फेसबुकमा भनेका छन्। प्रमुख प्रशासकीय अधिकृत नहुँदा महानगरपालिकाको विकासलगायत आयोजनाहरू काम ठप्प भएको छ। मेयर बालेनले प्रमुख प्रशासकीय अधिकृत माग गर्दै सरकारलाई चिठी लखे पनि हालसम्म पनि नपाएपछि सामाजिक सञ्जालमा आक्रोश पोखेको हुनसक्ने बताइएको छ। बालेनको स्टाट्सपछि नेकपा एमाले महासचिव शंकर पोखरेलले काठमाडौं महानगरपालिकामा प्रमुख प्रशासकीय अधिकृत किन टिक्दैनन् भन्ने विषय मेयर बालेनले बुझ्नुपर्ने तर्क गरेका छन्। उनले महानगरपालिकाको सेव प्रवाह रोक्न नहुने उल्लेख गरेका छन्। 'काठमाडौं महानगरका मेयर बालेनले सरकारले कार्यकारी अधिकृत नपठाएको आरोप लगाउँदै तिखो आक्रोश र असन्तुष्टि पोखेको देखिन्छ। तर, किन पछिल्लो समय कार्यकारी अधिकृत त्यहाँ जान मानिरहेका छैनन् भन्ने कुरामा उनको ध्यान पुगेको देखिँदैन। कार्यकारी अधिकृत जान नमान्नुको कारण जे भए पनि सरकारले विशेष व्यवस्था गरेर भए पनि अविलम्व कार्यकारी अधिकृत पठाउनुपर्छ। कार्यकारी अधिकृतको अभावमा महानगरको सेवा प्रवाह र अन्य काममा समेत असर पर्न सक्छ,' महासचिव पोखरेलले फेसबुकमा लेखेका छन्।"
'नो केबलकार' भन्ने कुरामा सैद्धान्तिक सहमति छैन : कांग्रेस,"काठमाडौं : नेपाली कांग्रेसले पाथीभरा केबलकार निर्माणमा देखिएको विवाद वार्ताका माध्यमबाट समाधान गर्नुपर्नेमा बताएको छ। शुक्रबार पार्टी सभापति शेरबहादुर देउवा निवासमा बसेको पदाधिकारीले बैठकले 'नो केबलकार' भन्ने कुरामा कांग्रेसको सैद्धान्तिक सहमति नरहेको कांग्रेस प्रमुख सचेतक श्याम घिमिरेले बताए। वार्ता निष्कर्षमा नपुगेसम्मका लागि निर्माण कार्य स्थगित गर्ने सरकारको कदम स्वागतयोग्य रहेको उनको भनाइ छ। बैठकमा निर्वाचनसम्बन्धी विधेयक, दलसम्बन्धी विधेयकका विषयमा छलफल भएको उनले बताए। विधेयक निर्माणको काम सुस्त देखिएकाले तीव्रता दिने विषयमा छलफल भएको उनले बताए। त्यस्तै आसन्न स्ववियु निर्वाचनमा पार्टीको भातृसंस्थालाई बलियो उपस्थिति गराउने विषयमा पनि छलफल भएको घिमिरेले बताए।"
एनसेलले ल्यायो म्याजिक रिसोर्सेस बोनस अफर; ८ जीबीसम्म बोनस डेटा पाउन सकिने,"काठमाडौं : एनसेलका ग्राहकहरूले अब कुनै पनि प्याक किन्दा निःशुल्क रुपमा बोनस रिसोर्सडेटा, भ्वाइस वा एसएमएस प्राप्त गर्न सक्छन्। म्याजिक रिसोर्सेस बोनस अफरअन्तर्गत, ग्राहकहरूले रिन्यूअल प्याक तथा अन्य प्रोडक्टहरू खरिद गर्दा ८ जीबीसम्म डेटा वा २०० मिनेटसम्म अननेट टक टाइम बोनसका रूपमा प्राप्त गर्न सक्छन्। यो अफर बिहीबार (फागुन १५) देखि लागू भएको छ। अनलिमिटेड सेवा र झन्झटरहित मोबाइल कनेक्टिभिटी सुनिश्चित गर्ने सधैं अन रिन्यूअल प्याक हालैमात्र संचालनमा ल्याएपछि एनसेलले यो बोनस अफर ल्याएको हो। यो बोनस अफर एष्ट्रिक्स१२३ह्यास डायल गरी प्याक खरिद गर्ने ग्राहकहरूको लागि मात्र मान्य हुनेछ। म्याजिक रिसोर्सेज बोनस अफर अन्तर्गत, सधैं अन रिन्यूअल प्याक, होम एण्ड अवे प्याक, अनलिमिटेड भ्वाइस, अनलिमिटेड डेटा लगायत १५ विभिन्न प्याकहरू खरिद गर्ने ग्राहकहरूले बोनस सुविधाहरू प्राप्त गर्न सक्छन्। उदाहरणका लागि, रु ७९९ को होम एन्ड अवे रिन्यूअल प्याक लिने ग्राहकहरूले प्याकमा पाइने २८ दिनको समयावधि भएको मुख्य सेवा ६५ जीबी डेटा बाहेक ८ जीबी डेटा वा २०० मिनेट अननेट टक टाइम वा २०० अननेट एसएमएस बोनस रूपमा प्राप्त गर्दछन्। यस अफरअन्तर्गत समावेश सधैं अन रिन्यूअल प्याकहरूमा प्याक अनुसार ग्राहकहरूले ५ जीबीदेखि ७५ जीबीसम्म डेटा वा २० मिनेटदेखि ८० मिनेटसम्म अननेट टक टाइम, वा १० देखि २०० अननेट एसएमएस बोनसका रूपमा पाउँछन्। त्यसैगरी सात दिन समयसीमा रहेको रु २०० को कम्बो प्याकमा, ग्राहकहरूले प्याकमा समावेश रहेको ५० मिनेट टक टाइम र अनलिमिटेड डेटासँगै बोनस वापत २ जीबी डेटा वा ५० मिनेट अननेट टक टाइम, वा १० अननेट एसएमएस प्राप्त गर्दछन्। त्यस्तै, रु ४९९ को अनलिमिटेड भ्वाइस रिन्यूअल प्याकमा, ग्राहकहरूले ५ जीबी डेटा वा १०० मिनेट अल नेट टक टाइम, वा १०० अननेट एसएमएस बोनस प्राप्त गर्न सक्छन्। बोनस स्वरुप पाइने यी सेवा, सुविधाहरुले ग्राहकको अनुभव वृद्धि गर्नुका साथै हरेक सेवा खरिदमा ग्राहकहरुलाई थप लाभ मिल्ने एनसेलले जनाएको छ।"
संकटालाई हराउँदै आर्मी केपी ओली कप फुटबलको फाइलनमा प्रवेश,काठमाडौं : संकटा क्लबलाई हराउँदै त्रिभुवन आर्मी क्लब जारी केपी ओली कप फुटबल प्रतियोगिताको फाइनलमा प्रवेश गरेको छ। दशरथ रंगशालामा भएको पहिलो सेमिफाइनलमा संकटालाई २१ गोलले पराजित गर्दै आर्मीले फाइनलमा स्थान सुरक्षित गरेको हो। आर्मीको जितमा नवयुग श्रेष्ठ र दिनेश हेम्जनले एकएक गोल गरे। नवयुगले खेलको ७औं मिनेटमा गोल गर्दै आर्मीलाई पहिलो अग्रता दिलाएका थिए। खेलको ६५औं मिनेटमा गोल गर्दै आर्मीको अग्रता दोब्बर बनाए। संकटाका विसन गुरुङले इन्जुरी समयमा एक गोल फर्काए। प्रतियोगिताको दोस्रो सेमिफाइनलमा भोलि आयोजक केपी एफसी र मछिन्द्र एफसीबीच प्रतिस्पर्धा हुनेछ। फाइनल खेल फागुन १९ गते हुनेछ। राष्ट्रिय युवा संघ नेपालको आयोजनामा जारी प्रतियोगितामा ९ टोलीले सहभागिता जनाएका थिए। फागुन १९ गतेसम्म चल्ने उक्त प्रतियोगिताको विजेताले १५ लाख ११ हजार ११ हजार १११ र उपविजेताले ५ लाख रुपैयाँ पाउनेछन्। फाइनल खेलमा अवलोकन गर्न इटालीलाई विश्वकप जिताएका गोलकिपर जियानलुजी वुफोन नेपाल आउने राष्ट्रिय युवा संघ नेपालका उपाध्यक्ष एवं प्रवक्ता कृष्णहरि केसीले जानकारी दिए।
सात स्वर्णसहित लायन्स तेक्वान्दो डोजाङ प्रथम,"सिमराः सात स्वर्ण पदक जित्दै आयोजक लायन्स तेक्वान्दो डोजाङ शुक्रबार बाराको डुमरवानामा सम्पन्न जिल्लास्तरीय तेक्वान्दो प्रतियोगितामा प्रथम भएको छ। आयोजक डोजाङले सात स्वर्ण, तीन रजत र ६ कास्य पदक हात पारेको हो। दोस्रो भएको निजगढको नेत्रोदय तेक्वान्दो डोजाङले चार स्वर्ण, चार रजत र चार कास्य जितेको छ भने दुई स्वर्ण र एक रजत हात पार्दै स्मार्ट सिटी बागदेव तेक्वान्दो डोजाङ तेस्रो भएको छ। प्रतियोगिताको उत्कृष्ट महिला फाइटर आयोजककी सिम्रन लामा घोषित भएकी छिन् भने उत्कृष्ट पुरुष फाइटरको पुरस्कार स्मार्ट सिटी बागदेव तेक्वान्दो डोजाङका सलिम अधिकारी घोषित भएका छन्। प्रतियोगितामा बाराका ९ वटा तेक्वान्दो डोजाङका ८० खेलाडी सहभागी थिए। प्रतियोगितामा प्रथम, द्वितीय र तृतीय भएकासहित राष्ट्रिय विभूति सामुदायिक शिक्षा सदन डुमरवाना, कोल्हबी भैरव तेक्वान्दो डोजाङ, बारा निजगढ तेक्वान्दो डोजाङ, नेरामावि तेक्वान्दो डोजाङ सिंगौल, कलैया तेक्वान्दो डोजाङ र पथलैया तेक्वान्दो डोजाङका खेलाडीको सहभागिता रहेको थियो। यसअघि प्रतियोगिताको उद्घाटन जीतपुरसिमरा उपमहानगरपालिका वडा नम्बर १५ का वडाध्यक्ष रामप्रसाद लामिछानेले गरेका थिए। उद्घाटन कार्यक्रममा आयोजकले नवौं राष्ट्रिय खेलकुदमा मधेस प्रदेशबाट सहभागिता जनाई कास्य पदक जितेका दुई खेलाडीलाई सम्मान गरेको थियो। सम्मानित हुनेमा विक्रान्त डंगोल र विकास तामाङ रहेका छन्।"
झापा ११ माथि रोमाञ्जक जित निकाल्दै आयोजक बन्यो भद्रपुर झापा गोल्डकप च्याम्पियन,"झापा : बी डिभिजन लिगको तयारी गरिरहेको झापा ११ फुटबल क्लबमाथि रोमाञ्जक जित निकाल्दै आयोजकको टिम भद्रपुर ब्लेजर्सले दोस्रो संस्करणको भद्रपुर झापा गोल्डकपको उपाधि आफ्नै पोल्टामा पारेको छ। जितसँगै भद्रपुर ब्लेजर्सले नगद १३ लाखसहित ट्रफी पाएका छन्। भद्रपुरस्थित मेची रंगशालामा शुक्रबार भएको फाइनल खेलमा अर्का घरेलु टोली झापा ११ लाई २० गोल अन्तरले पराजित गर्दै उपाधि चुमेको हो। उपविजेतामा चित्त बुझाएका झापाले नगद ७ लाखसहित ट्रफी पाएका छन्। मेची रंगशालामा खचाखक दर्शकको उपस्थितिमा भद्रपुरले खेलको ३० औं मिनेटमा अग्रता लियो। डिबक्स बाहिरबाट मिलन राईको सर्टपासमा पेनाल्टी एरियाभित्रबाट कप्तान आशिष चापागाईंले बललाइ जाली चुमाउँदै टिमलाई १० ले अग्रता दिलाए। दोस्रो हाफको अतिरिक्त समयमा भद्रपुरका सत्यम शर्माले गोल गर्दै टिमको जित निश्चित बनाए। अवयोमीको हेड बललाई २५ यार्डको दुरीबाट कडा प्रहार गरि शर्माले जाली चुमाएका थिए। दुवै टिमलाई घरेलु दर्शकको समर्थन रहेको खेलको १४ औं मिनेटमा भद्रपुरका विवेक पौडलको प्रहार क्रस बारबाट बाहिरियो। खेलको ४० औं मिनेटमा भद्रपुरका कुलदीप कार्कीको लङ प्रहारमा विदेशी खेलाडी अवयोमीको हेडलाई झापाका गोलकिपर सन्दिप लिम्बूले बचाए। खेलको ५२ ओै मिनेटमा अवयोमीको पासमा मिलन राईको कडा प्रहार गोलकिपर लिम्बूले नियन्त्रणमा लिए। खेलको १८ ओै मिनेटमा झापाका रोहण कार्की चुके। खेलको २३ ओै मिनेटमा समीर तामाङको प्रहार पोष्ट नजिकैबाट बाहिरियो। खेलको ४३ ओै मिनेटमा समीर तामाङले खेललाई बराबरी ल्याउने अवसर गुमाए। बबिन वोहोराको क्रस पासमा तामाङको प्रहार क्रस बारको मध्यभाग लागेर फर्कियो। खेलको ७८ ओै मिनेटमा हरिबहादुर आलेमगरले डिबक्सको लाइनबाट गरेको कडा प्रहार क्रस बारबाट बाहिरियो। सौर्य एअर ओम साई पाथीभरा हस्पिटल गम्भीर राई स्मृति संस्करण अन्तर्राष्ट्रिय आमन्त्रण नकआउट फुटबल प्रतियोगिताको सर्वोत्कृष्ट खेलाडी प्लेयर अफ द टुर्नामेन्ट भद्रपुरका आशिष् चापागाईं भए। उनले नगद एक लाख पाँच हजारसहित टर्फी पाए। आजको खेलको प्लेयर अफ म्याच भद्रपुरका विशाल दर्जी भए। उनले २१ हजार पाए। उदयमान खेलाडी भद्रपुरका राजेश साह, उत्कृष्ट गोलकिपर भद्रपुरका टेकेन्द्र थापा, उच्च गोलकर्ता भद्रपुरका सत्यम शर्मा र वेष्ट कोच भद्रपुरका सचिन्द्र धिमाल भए। उनीहरूले जनही २५ हजार पुरस्कारसहित टर्फी पाएको गोल्डकपका अध्यक्ष दिपेश ढकालले बताए। फाइनल खेलमा टिकट काटेका भाग्यशाली दर्शकहरूमध्ये भोजपुरका दर्शक एन्जल चर्मकारले टिभिएस राइडर मोटरसाइकल पाए। सुनको सिक्री भद्रपुरका विक्रम बराल र नगद ५० हजार भद्रपुरका राजेशकुमार गुप्ताले पाए। विजेता तथा उपविजेतालाई गोल्डकपका अध्यक्ष दीपेश ढकाल, वरिष्ठ उपाध्यक्ष आदित्य पराजुली लगायत समितिका सदस्य, पुरस्कार दाता चण्डीराज ढकाल, हेमराज ढकाल, टीकाराज ढकाल, अन्तर्राष्ट्रिय झापाली समाजका अध्यक्ष मुकुन्द ढुंगाना, कोशी प्रदेशका पूर्वमुख्यमन्त्री उद्धव थापा झापा जिल्ला खेलकुद विकास समितिका अध्यक्ष प्रशान्त भण्डारी लगायतले पुरस्कार वितरण गरेका थिए।"
