शीर्षक,विवरण
प्रधानमन्त्रीलाई संस्कृत विश्वविद्यालयको जग्गा खोजबिन समितिको प्रतिवेदन हस्तान्तरण,"काठमाडौं : प्रधानमन्त्री केपी शर्मा ओलीसमक्ष नेपाल संस्कृत विश्वविद्यालयको जग्गा खोजबिन समितिले आज आफ्नो प्रतिवेदन हस्तान्तरण गरेको छ। प्रधानमन्त्री निवास बालुवाटारमा सो समितिका संयोजक शेखरप्रसाद पौडेलले विश्वविद्यालयको विद्यमान जग्गाहरूको उपयोग, अतिक्रमणको अवस्था र अतिक्रमण हटाउन चालिनुपर्ने कदमका विषयमा सुझावसहितको प्रतिवेदन कुलपति ओलीलाई बुझाएका हुन्। मन्त्रिपरिषदको गत असार २० गतेको निर्णयबाट उच्च अदालतका पूर्व न्यायाधीश पौडेलको संयोजकत्वमा पाँच सदस्यीय जग्गा खोजबिन समिति गठन गरिएको थियो। समितिले दाङमा रहेको विश्वविद्यालयको कूल एक हजार छ सय ६२ बिगाहा जग्गा रहेको र देउखुरी क्षेत्रमा एक हजार तीन सय ३६ बिगाहामध्ये नौ सय १० बिगाहा अतिक्रमण भई २०५९ देखि ती जग्गाबाट विश्वविद्यालयले कुनै आम्दानी प्राप्त नगरेको पाइएको बताए। सोही क्षेत्रमा विश्वविद्यालयको दुई सय बिगाहा जमिन राप्ती नदीले कटान गरेको पाइएको छ। संयोजक पौडेलले जग्गालाई उपयोगमा ल्याउन लिजमा दिन सकिने र अतिक्रमण हटाउन सरकार र राजनीतिक दलको सहयोग आवश्यक हुने सुझाव दिए। प्रधानमन्त्री ओलीले प्रतिवेदन ग्रहण गर्दै अध्ययन र छलफल गरेर आवश्यक प्रक्रिया अघि बढाउने विश्वास दिलाउँदै विश्वविद्यालयहरूमा तालाबन्दी र अतिक्रमणजस्ता अवाञ्छित क्रियाकलाप रोकिनुपर्नेमा जोड दिए। प्रतिवेदन हस्तान्तरणका अवसरमा शिक्षा, विज्ञान तथा प्रविधिमन्त्री एवं सहकुलपति विद्या भट्टराई पनि सहभागी थिए।"
नेपालमा एमसीसी परियोजना स्थगित,"काठमाडौं : नेपालमा सञ्चालित अमेरिकी परियोजना मिलेनियम च्यालेन्ज कर्पोरेशन (एमसीसी) स्थगित भएको छ। जनवरी २० मा राष्ट्रपति डोनाल्ड ट्रम्पले जारी गरेको कार्यकारी आदेशसँगै नेपालमा एमसीसीका परियोजना स्थगित भएको अर्थ मन्त्रालयले जानकारी दिएको छ। अर्थ मन्त्रालयले मंगलबार विज्ञप्ति जारी गरेर अमेरिकी सहायता सञ्चालित एमसीसी परियोजना ९० दिनका लागि स्थगित भएको जानकारी दिएको छ। 'अमेरिकी सहायता संस्था मिलेनियम च्यालेन्ज कर्पोरेशन (एमसीसी)ले २०८१ फागुन २ गतेको इमेल पत्रमार्फत नेपाल सरकार र उक्त निकायबीच २०७४ भदौ २९ मा सम्पन्न कम्प्याक्टअन्तर्गत कार्यान्वयन भइरहेका आयोजनाहरूसँग सम्बन्धित 'एमसीसी फन्ड'बाट भुक्तानी हुने क्रियाकलापहरू अमेरिकी राष्ट्रपतिको जनवरी २० मा जारी ९० दिनको स्थगनसम्बन्धी कार्यकारी आदेशानुसार रोकिएको व्यहोरा सरोकारवालाहरूलाई जानकारी गराइन्छ,' अर्थ मन्त्रालयले भनेको छ। अमेरिकी राष्ट्रपति ट्रम्पले २० जनवरीमा सपथ लिएसँगै वैदेशिक सहायता ९० दिनका लागि निलम्बन गर्नेसम्बन्धी कार्यकारी आदेश जारी गरेको थियो। सो आदेशससँगै अमेरिकी सरकारको सहयोगमा सञ्चालित नेपालका सबै परियोजनाहरू स्थगित भएका छन्। एमसीसी सम्झौतामा के छ? एमसीसीअन्तर्गत अमेरिकी सरकारले ५० करोड डलर (५५ अर्ब रुपैयाँ) अनुदान स्वरूप उपलब्ध गराउनेछ। नेपालका तर्फबाट १३० मिलियन डलर (करिब १४ अर्ब रुपैयाँ)बराबर रकम विनियोजन गर्नुपर्नेछ। उक्त रकम ऊर्जा र यातायात विकासका क्षेत्रमा सम्झौता लागू भएको मितिदेखि पाँच वर्षभित्र परिचालन गरिसक्नुपर्ने प्रावधान छ। सम्झौतामा विद्युत् प्रसारण लाइन निर्माण तथा सडक मर्मतसम्भार समेटिएको छ। काठमाडौंको उत्तरपूर्व अवस्थित लप्सीफेदीबाट काठमाडौंको पश्चिममा रहेको नुवाकोटको रातमाटेसम्मको खण्ड, रातमाटेबाट हेटौंडासम्मको खण्ड, रातमाटेबाट दमौलीसम्मको खण्ड, दमौलीबाट बुटवलसम्मको खण्ड र बुटवलबाट भारतको सिमानासम्मको खण्डमा ४ सय केभी क्षमताका प्रसारण लाइन बनाइनेछ। रातमाटे, दमौली र बुटवलमा तीनवटा सबस्टेसन बन्नेछन्। अनुदानमध्ये ३ सय किलोमिटर प्रसारण लाइन र सबस्टेसन निर्माणमा करिब ४० करोड डलर खर्च गरिनेछ। सडकतर्फ पूर्वपश्चिम राजमार्गको कपिलवस्तु चन्द्रौटाबाट लमही हुँदै बाँके र दाङमा पर्ने शिवखोलासम्म ३ सय ५ किलोमिटर स्तरोन्नतिमा करिब ५२ करोड डलर खर्च गरिनेछ। एमसीसीमा परेका गौरवका आयोजनाहरू मन्त्रिपरिषद्को २०७५ असोज ५ गते बसेको बैठकले एमसीसीको सहयोगका दुई आयोजनालाई राष्ट्रिय गौरवका आयोजना घोषणा गर्यो। जसमा काठमाडौं लप्सेफेदीबाट धादिङको गल्छीरातमाटे प्रसारण लाइन र दमौलीभरतपुरबुटवल प्रसारण लाइन निर्माण आयोजना छन्। एमसीसीको अनुदान कुन क्षेत्रमा परिचालन गर्ने भन्नेमा विज्ञसँग छलफल गरियो। सोही सन्दर्भमा अर्थ मन्त्रालयको संयोजकत्वमा समिति बनाइयो। समितिले आर्थिक वृद्धिका अवरोधहरू पहिचान गर्न विज्ञ टोलीद्वारा अध्ययन गरायो। त्यसपछि सरकारले सहयोगलाई प्रसारण लाइन र सडक स्तरोन्नतिमा खर्च गर्ने निर्णय गरेको हो।"
विकास र समृद्धिमा निजी क्षेत्रको योगदान अत्यावश्यक छ : पर्यटनमन्त्री,"स्याङ्जा : संस्कृति, पर्यटन तथा नागरिक उड्ययन मन्त्री बद्रिप्रसाद पाण्डेले विकास र समृद्धिका लागि निजी क्षेत्रको योगदान अत्यावश्यक रहने बताए। मन्त्री पाण्डेले सरकारले मात्र विकास गर्न नसक्ने जनाउँदै निजी क्षेत्रले अग्रसरता लिनुपर्ने बताएका हुन्। स्याङ्जा सातौं महोत्सवको मंगलबार पुतलीबजार नगरपालिका१ स्थित मालेबगर खेलमैदानमा उद्घाटन गर्दै मन्त्री पाण्डेले लगानीमैत्री नीति राज्यले बनाइदिने र निजी क्षेत्रले कार्यान्वयन गर्नुपर्ने बताए। मन्त्री पाण्डेले थपे, निजी क्षेत्र अगाडि आउने हो। निजी क्षेत्रले लगानीमैत्री वातावरण छ। मुनाफा कमाउन सक्छु भनेर अघि सर्नु जरुरी छ। धनीमानी भनेको माफिया र शोषक भन्ने भाष्य बढेको छ। यस्ता भाष्य चिर्दै धनीमानी मानिसलाई देशमै लगानी गर्न र विदेशमा रहेकालाई पनि स्वदेशमा लगानीको वातावरण बनाई दिनुपर्छ, उनले भने। सरकारले अध्यादेशमार्फत लगानीमैत्री ऐन बनाउने उनले दाबी गरे। केही वर्ष पहिला कुश्मा सुनसान थियो। म्याग्दी, मुस्ताङ हुँदै मुक्तिनाथ पुगिन्थ्यो। सरकारले वातावरण बनायो। कुश्मामा ५६ जना युवा मिलेर निजी क्षेत्रबाट बन्जीजम्पको सुरुवात गरेसँगै चहलपहल र आर्थिक चलायमान भएको छ। आज दैनिक हजारभन्दा धेरै व्यक्ति कुश्मा लक्षित गर्दै त्यहाँ पुग्छन्। पर्यटकीय एवं धार्मिक गन्तव्य समेत बनेको छ। स्याङ्जा धेरै क्षेत्रमा अग्रणी स्थानमा रहेकाले धेरै सम्भावना बोकेको जिल्ला भएको उनले बताए।"
नेपाल कम्युनिष्ट पार्टी (विद्रोही)को कार्यकर्ता हुँ भन्दै चन्दा उठाउँदै हिँड्ने व्यक्ति पक्राउ,"काठमाडौं : नेपाल कम्युनिष्ट पार्टी (विद्रोही)को कार्यकर्ता हुँ चन्दा उठाउँदै हिँड्ने व्यक्ति पक्राउ परेका छन्। पक्राउ पर्नेमा खोटाङको खोटेहाङ गाउँपालिका८ का ३९ वर्षीय भरत कुमार राई रहेका छन्। राईलाई नेपाल कम्युनिष्ट पार्टी (विद्रोही) को कार्यकर्ता हुँ भन्दै विभिन्न स्थानमा चन्दा रकम माग गर्न गएको अवस्थामा पक्राउ गरिएको प्रहरीले जनाएको छ। उनलाई जिल्ला प्रहरी परिसर काठमाडौंको टोलीले नयाँबानेश्वरबाट पक्राउ गरेको हो। सीआरएस अभिलेख अनुसार यसअघि विभिन्न प्रहरी कार्यालयमा मुद्दा दर्ता भई अनुसन्धान कार्य भएको भएको परिसरका सूचना अधिकारी प्रहरी उपरीक्षक अपील राज बोहराले बताए। प्रहरी वृत्त नयाँबानेश्वरमा हातहतियार तथा खरखजाना, विस्फोटक पदार्थ सम्बन्धी कसुर मुद्दा, स्कुटर चोरी मुद्दा, जिल्ला प्रहरी परिसर काठमाडौंमा बैंकिङ कसुर मुद्दा, जिल्ला प्रहरी कार्यालय काभ्रेमा डाँका चोरी मुद्दा दर्ता भएको छ।"
पूर्व राजाले भने  राजगद्दी त्यागेको विषयलाई कमजोरी नठानियोस्,"काठमाडौं : पूर्व राजा ज्ञानेन्द्र शाहले आफूहरूले राजगद्दी त्यागेको विषयलाई कमजोरी नठान्न चेतावनी दिएका छन्। प्रजातन्त्र दिवसको अवसरमा शुभकामना सन्देश जारी गर्दै पूर्व राजा ज्ञानेन्द्रले त्यागले कसैको कद सानो नहुने बताएका छन्। उनले आफूहरूले राजगद्दी त्यागे पनि व्यवस्था बदलियो भन्नेहरूले अवस्था बदल्न नसकेको आरोप लगाए। अहिलेको व्यवस्थाले इतिहासलाई नास गरेर पहिचानको पनि अपमान गरिरहेको उनको आरोप छ। 'प्रजातन्त्र आशा जगाउने प्रणाली हुनुपर्छ। जनताको भरोसा बढाउने प्रणाली हुनुपर्छ। आम जनताको मुहारमा मुस्कान ल्याउने, जनतालाई खुसी र सुखी बनाउने, सबैले खोजेको र हामीले चाहेर रोजेको पनि त्यही प्रजातान्त्रिक व्यवस्था हो। व्यवस्था बदलियो भन्नेहरूले अवस्था राम्ररी बदल्न नसक्नु दुःखको कुरा हो,' उनले शुभकामना सन्देशमा भनेका छन्। पूर्व राजा ज्ञानेन्द्रले आफूहरूले राष्ट्रको हितमा उदारता देखाए पनि अहिलेको व्यवस्थाले सबै पक्षलाई नसमेटेको आरोप लगाए। 'हाम्रो यो नेपाल देश, भक्त पुर्खाहरूले फलाएको र फुलाएको सुन्दर राष्ट्र हो । यो राष्ट्रमा कुनै संकट नआओस् भन्ने हाम्रो परिकल्पना हो। त्यसैले राष्ट्रको हितमा हामीले उदारता राख्दै आयौं। त्यत्ति मात्र होइन हामीले जनताको भलो होस भनेर आफ्नो ओहदा र सुख सुविधालाई पनि त्याग गरेका हौं। त्यागले कसैको कद सानो हुने होइन, र त्यस्तो भावलाई कसैले पनि कमजोरी ठान्नु हुँदैन। कतै कुनै पन पक्ष नगरी सबैलाई समेटेर जाने हाम्रो अभिलाषा हो। हाम्रो त्यागको अर्थ र आसय पनि त्यही नै हो। हाम्रो इतिहासलाई नास गरेर र पहिचानको अपमान गरेर हामी उभो लाग्दैनौ भन्ने कुराको हेक्का राखेर हामी अघि बढौं। विगतका कमीकमजोरी तथा आफ्नो प्रकृति र संस्कृति विरुद्धका त्रुटि सच्याएर अघि बढ्ने चेतना हामीलाई प्राप्त होस्,' उनले भनेका छन्। यस्तो छ पूर्व राजाको शुभकामना सन्देश नेपाली दिदीबहिनी तथा दाजुभाइहरु, नेपालमा प्रजातन्त्रको मिरमिरे विहानी उदय भएको फागुन ७ गतेको शुभ सन्दर्भमा हामी सबै नेपालीलाई हार्दिक शुभकामना व्यक्त गर्दछौं । प्रजातन्त्र स्थापनाका निम्ति उदारता दर्शाइबक्सने हाम्रा जिज्यू बुबाज्यू राष्ट्रपिता श्री ५ त्रिभूवनको सम्झना गर्दै यो अवसरमा मौसुफप्रति हामी श्रद्धासुमन अर्पण गर्दछौं । जनता र राजा मिलेर प्रजातन्त्रलाई सबल बनाउन लागि परेको इतिहास साक्षी छ । त्यसैले, प्रजातन्त्रका निम्ति जीवन दान दिने ज्ञात अज्ञात शहीदहरु र प्रजातन्त्रका लागि कृयाशील रहने सबैपात्रहरुप्रति पनि हामी उच्च सम्मानभाव राख्दछौं । प्रजातन्त्र आजको युगको उत्तम शासन पद्धति हुनु पर्ने हो । आम जनताको मन, मगज र मतका आधारमा देशको विधी व्यवस्था तथा मान्यता अनुसार राज्य संचालन गर्ने  सर्वमान्य आर्दश पनि हुन पर्थ्यो । यसबाट हामी कोही विमुख छैनौं । राष्ट्र भित्रका हरेकवर्ग, समूह वा व्यक्तिको हक अधिकारको संरक्षण गर्दै, प्रतिष्ठा तथा प्रगति अघि बढाउने प्रजातन्त्र  सबैको प्रिय व्यवस्था हुनु पर्दथ्यो । यसमा कहिं कसैको शंका हुन सक्दैन । प्रजातन्त्रको कुरा गर्दा हामीले यसलाई बाद विवाद, द्वन्द विग्रह वा विरोध प्रतिरोधको अर्थले मात्र बुझ्नु हुँदैन । यस प्रणालीलाई हामीले समाजमैत्री र जनहितैषिको रुपमा पनि हेर्नु पर्दछ । सुन्दर शब्द, आकर्षक आर्दशले मात्र प्रजातन्त्र सार्थक हुने होइन। कर्म र व्यवहारमा प्रजातन्त्रलाई उर्ताने सेवाभाव र सही प्रजातान्त्रिक आचरण हुनु पर्दछ । सबैको पहिचान हुनु पर्दछ, सबैको अस्तित्व सुरक्षित हुनु पर्दछ । निषेधको दृष्टिकोण राख्ने राजनीतिले प्रजातन्त्रलाई बलियो बनाउँदैन । पक्ष विपक्षको अहंकार, आआफ्नै खालको स्वार्थ तथा हठवादले पनि प्रजातन्त्रलाई गतिशील बनाउन सक्दैन । आज देशको इतिहास मेटिदै गएको छ । नेपालको अस्तित्व नासिदै गएको छ । नेपालका होनहार जनशक्ति दिनहुँ ताँती लागेर देशबाट बाहिरिदै गएका छन् । नेपालीको पसिना आफ्नो माटोमा होइन, अन्तै पोखिरहेको छ । जन्मदै नेपालीको शिरमा हजार होइन लाखको ऋणभारको बोझ छ । हाम्रा कलकारखाना, व्यापार व्यवसाय निरन्तर धरासायी बन्दै छ । हुँदा हुँदा हाम्रा शिक्षालयहरुमा समेत शिक्षक र विद्यार्थीहरु पातलिदै गएका छन् । नेपालको पद्धति, नीति र गतिविधी ठीक छैन, यहाँ बसेर केही हुँदैन । श्रम, शीप चेतना र ज्ञान भएका हाम्रा नागरिकहरुमा त्यस प्रकारको भाष्य चलि रहेको छ । यस्ता कुराले प्रजातन्त्रलाई शोभनीय बनाउँदैन । प्रजातन्त्र आशा जगाउने प्रणाली हुनु पर्दछ । जनताको भरोसा बढाउने प्रणाली हुनु पर्दछ । प्रजातन्त्र फल्दै फुल्दै जाँदा हामी सबैको भाग्य र भविष्य चम्कन्छ भन्ने भावना जाग्रत गराउने हुनु पर्दछ, तर तीन दशक यताको हाम्रो स्थिति यस्तो छैन । आम जनताको मुहारमा मुस्कान ल्याउने, जनतालाई खुशी र सुखी बनाउने, सबैले खोजेको र हामीले चाहेर रोजेको पनि त्यही प्रजातान्त्रिक व्यवस्था हो । व्यवस्था बदलियो भन्नेहरुले अवस्था राम्ररी बदल्न नसक्नु दुःखको कुरा हो । हाम्रो यो नेपाल देश, भक्त पुर्खाहरुले फलाएको र फुलाएको सुन्दर राष्ट्र हो । यो राष्ट्रमा कुनै संकट नआओस् भन्ने हाम्रो परिकल्पना हो । त्यसैले राष्ट्रको हितमा हामीले उदारता राख्दै आयौं । त्यत्ति मात्र होइन हामीले जनताको भलो होस भनेर आफ्नो ओहदा र सुख सुविधालाई पनि त्याग गरेका हौं । त्यागले कसैको कद सानो हुने होइन, र त्यस्तो भावलाई कसैले पनि कमजोरी ठान्नु हुँदैन । कतै कुनै पन पक्ष नगरी सबैलाई समेटेर जाने हाम्रो अभिलाषा हो । हाम्रो त्यागको अर्थ र आसय पनि त्यही नै हो । हाम्रो इतिहासलाई नास गरेर र पहिचानको अपमान गरेर हामी उभो लाग्दैनौ भन्ने कुराको हेक्का राखेर हामी अघि बढौं । विगतका कमीकमजोरी तथा आफ्नो प्रकृति र संस्कृति विरुद्धका त्रुटी सच्याएर अघि बढ्ने चेतना हामीलाई प्राप्त होस । देशका निम्ति र राष्ट्रका खातिर हाम्रो समर्पण, निष्ठा सदैब हुनेछ । राष्ट्र रक्षाको निम्ति सबैको अनुशासन र इमान्दार प्रयत्न हुनु पर्दछ । हामीले पहिले पनि राष्ट्रिय समस्या सुल्झियोस भनेर त्याग गरेका हौं । अब नेपालको उन्नतिको लागि हामीबाट अरु के के त्याग गर्नु पर्ने हो, हामी तयार छौं । अब समय आयो, राष्ट्र जोगाउने हो भने, राष्ट्रिय एकता कायम राख्ने हो भने, देशको समृद्धि र उन्नतिका निमित्त हामीलाई साथ दिन सबै देशबासीहरूलाई आह्वान गर्दछौं । श्री पशुपतिनाथले हामी सबैको कल्याण गरुन् । जय नेपाल २०८१ साल फागुन ७ गते"
भक्तपुरको चाँगुनारायणमा युवकको शव फेला,काठमाडौं : भक्तपुरको चाँगुनारायण नगरपालिका४ खोरियामा युवकको शव फेला परेको छ। जिल्ला प्रहरी परिसर भक्तपुरका अनुसार १९ वर्षीय निरोज लामाको शव फेला परेको हो। चाँगुनारायण४ स्थित २१ वर्षीय बादल तामाङको घरमा उनको शव फेला परेको प्रहरीले जनाएको छ। निरोज गएराति बादलको घरमा गएको र उनीहरू छुट्टाछुट्टै कोठामा सुतेको परिसरका डीएसपी ढुण्डिराज न्यौपानेले बताए। प्रहरीका अनुसार मंगलबार दिउँसो ३ बजेसम्म पनि नउठेपछि बादल उनलाई बोलाउन जाँदा अचेत अवस्थामा भेटिएका थिए।
प्रकृति लम्साल मृत्यु प्रकरण : ओडीसा राज्य सरकारले बनायो उच्चस्तरीय छानबिन समिति,"काठमाडौं : कलिंगा इन्स्टिच्युट अफ इन्डस्ट्रियल टेक्नोलोजी (केआइआइटी) विश्वविद्यालयका छात्रा प्रकृति लम्सालको मृत्यु प्रकरण सम्बन्धनमा ओडीसा राज्य सरकारले उच्चस्तरीय छानबिन समिति गठन गरेको छ। ओडीसाको सूचना तथा जनसम्पर्क विभागका निर्देशकले विज्ञप्ति जारी गर्दै राज्य सरकारले उच्चस्तरीय छानबिन समिति गठन गरेको र समितिको निष्कर्षअनुसार कानुनी कारबाही अगाडि बढाइने जानकारी दिएको छ। छानबिन समितिमा गृह विभागका अतिरिक्त मुख्य सचिव, महिला तथा बाल विकास विभागका प्रमुख सचिव र उच्च शिक्षा विभागका आयुक्त सहसचिव सदस्यहरू छन्। ओडीसा सरकारले नेपाली विद्यार्थीमाथि गरिएको दमनलाई दुर्भाग्यपूर्ण रहेको बताउँदै त्यस विषयमा तुरुन्तै 'एक्सन' लिइएको बताएको छ। केआइआइटीका सुरक्षा गार्डलाई पक्राउ गर्न र गल्ती गर्ने कर्मचारीहरूलाई निलम्बन गर्न निर्देशन दिइएको विभागको विज्ञप्तिमा उल्लेख छ। त्यस्तै स्थानीय व्यक्तिहरूले पनि नेपाली विद्यार्थीमाथि बल प्रयोग गरेको विषयमा अनुसन्धान भइरहेको जानकारी दिएको छ। गल्ती गर्ने जोकोहीलाई कानुनी दायरामा ल्याउने प्रतिवद्धता ओडीसा सरकारले गरेको छ। 'स्थानीय व्यक्तिहरूद्वारा विद्यार्थीविरुद्ध बल प्रयोग लगायतका दुर्व्यवहारका रिपोर्टहरूको अनुसन्धान भइरहेको छ। गल्ती गर्नेहरूलाई कानुन अनुसार जवाफदेही बनाइनेछ। ओडिशा सरकार प्रत्येक विद्यार्थीको सुरक्षा, मर्यादा र कल्याण सुनिश्चित गर्न प्रतिबद्ध छ। ओडिशा सरकारले छिटो र निष्पक्षरूपमा न्याय प्रदान गर्न सबै आवश्यक कदम चाल्नेछ,' विज्ञप्तिमा भनिएको छ।"
सिस्नेरी खानेपानी आयोजना तीव्र गतिमा अघि बढ्छ : मन्त्री यादव,"काठमाडौं : खानेपानीमन्त्री प्रदीप यादवले मकवानपुरस्थित सिस्नेरी खोलाको खानेपानी आयोजनालाई तीव्र गतिमा अघि बढाउने प्रतिबद्धता जनाएका छन्। काठमाडौं उपत्यकाको खानेपानी आपूर्तिलाई दिगो र भरपर्दो बनाउने लक्ष्यसहित मन्त्री यादवले सिस्नेरी आयोजनाको मुहान निरीक्षण गर्दै स्थलगत अवलोकन गरेका थिए। निरीक्षणपछि सञ्चारकर्मीहरूसँग कुराकानी गर्दै उनले आयोजनालाई यथाशक्य चाँडो सम्पन्न गर्ने स्पष्ट निर्देशन दिएको जानकारी गराए। 'वर्षायाममा मेलम्चीमा कुनै अवरोध आए उपत्यकाबासीले खानेपानी अभाव भोग्न नपरोस् भन्ने हाम्रो उद्देश्य हो। त्यसैले, सिस्नेरी आयोजना तीव्र रूपमा अघि बढाइनेछ,' उनले भने। उक्त महत्वाकांक्षी आयोजना समयमै सम्पन्न गर्न संघीय, प्रदेश, र स्थानीय सरकारको समन्वय अपरिहार्य रहेको मन्त्री यादवको भनाइ छ। उनले अन्तर्राष्ट्रिय विकास साझेदारहरूको प्रविधि, वित्तीय सहयोग र अनुभवबाट परियोजना छिट्टै सम्पन्न हुने विश्वास व्यक्त गरे। उनले भने, 'मैले तीनै तहका सरकार र अन्तर्राष्ट्रिय साझेदारहरूलाई यस आयोजनामा सहयोग गर्न आग्रह गरेको छु। काठमाडौं उपत्यकाका नागरिकलाई भरपर्दो र दिगो खानेपानी उपलब्ध गराउन हाम्रो सामूहिक प्रयास आवश्यक छ।' काठमाडौं उपत्यकाबासी नागरिकलाई बाह्रै महिना पानी वितरण गर्ने एवं २४ घण्टा पानी धारामा पठाउने योजनाअनुसार सिस्नेरी खोला खानेपानी आयोजनाको कामलाई तीब्र रूपमा अघि बढाउन लागिएको मन्त्री यादवको भनाइ छ। मकवानपुरको सिस्नेरी खोलामा बाँध निर्माण गरी पानी सङ्कलन गरिने र आयोजना सम्पन्न भएपछि दैनिक १३ देखि १४ करोड लिटर पानी ललितपुरको भैसेपाटी सैंबु जलाशयमा पठाई ललितपुर क्षेत्रभित्र वितरण गर्ने योजना रहेको काठमाडौं उपत्यका खानेपानी व्यवस्थापन बोर्ड (भ्याली बोर्ड) का कार्यकारी निर्देशक संजीबवीक्रम राणाले जानकारी दिए।"
"कपडासहितको भ्यान नियन्त्रणमा, चालक पक्राउ","विराटनगर : तस्करीको कपडा लोड गरिएको मारुती भ्यानलाई प्रहरीले मोरङको उर्लाबारीबाट मंगलबार दिउँसो नियन्त्रणमा लिएको छ। मोरङ प्रहरीका प्रवक्ता डीएसपी मदन केसीका अनुसार भारतबाट तस्करी गरेर नेपाल भित्राइएको अवैध कपडा लोड गरिएको भ्यानलाई नियन्त्रणमा लिएर भ्यानका चालकलाई पक्राउ गरिएको छ। विशेष सूचनाका आधारमा इलाका प्रहरी कार्यालय उर्लाबारीबाट इन्स्पेक्टर राकेश यादवको नेतृत्वमा खटिएको टोलीले उर्लाबारी नगरपालिका७ पशुपति मार्ग जाने भित्री बाटोबाट भन्सार छलीका कपडासहितको भ्यानलाई मंगलबार दिउँसो ३:३० बजेतिर नियन्त्रणमा लिएको हो। डीएसपी केसीले प्रदेश ३०१०२३ च २४७५ नम्बर भ्यानसहित चालक झापाको भद्रपुर नगरपालिका६ का २१ वर्षीय सुमन राजवंशीलाई नियन्त्रणमा लिइएको जानकारी दिए। उनका अनुसार चालकले भ्यानभित्र राखिएको कपडाको बिल देखाउन सकेनन्। बिल देखाउन नसकेपछि कपडा भारतबाट तस्करी गरेर ल्याइएको पत्ता लागेको उनले बताए। डीएसपी केसीले भ्यानभित्रबाट ५ लाख ५० हजार मूल्य बराबरको विभिन्न प्रकारका कपडा बरामद भएको बताए। बरामद गरिएको कपडा, नियन्त्रणमा लिइएको भ्यान र पक्राउ परेका चालकलाई इलाका प्रहरी कार्यालय उर्लाबारीमा राखिएको छ। आवश्यक कारबाहीका लागि विराटनगर भन्सार कार्यालयमा बुझाइने जानकारी केसीले दिए। प्रहरीले कपडाबाहेक भ्यानको मात्रै ८ लाख बराबरको मूल्यांकन गरेको छ। भारतबाट तस्करी गरेर ल्याइएको कपडा र भ्यानसहित १३ लाख ५० हजार बराबरको मूल्यांकन गरेर भन्सार बुझाउने तयारी गरिएको उनले बताए।"
आगामी वर्षको बजेटको सिलिङ १९ खर्ब,काठमाडौं : आगामी आर्थिक वर्षको बजेट १९ खर्ब हुने भएको छ। राष्ट्रिय योजना आयोगले आगामी आर्थिक वर्ष २०८२८३ को बजेटको सिलिङ करिब १९ खर्बको हुने गरी स्रोत अनुमान गरेको अर्थ मन्त्रालय स्रोतले जनाएको छ। राष्ट्रिय योजना आयोगले मंगलबार अर्थ मन्त्रालयमा राष्ट्रिय स्रोतको प्रारम्भिक अनुमान तथा खर्च सीमा निर्धारण सम्बन्धी प्रतिवेदन २०८१ पेश गरेको छ। अर्थ मन्त्रालयले चालू आर्थिक वर्षमा १८ खर्ब ६० अर्बको बजेट बनाइएकोमा मध्यावधि समीक्षामार्फत १६ खर्ब ९२ अर्ब मात्रै खर्च हुने अनुमान गरेको छ। त्यसैगरी योजना आयोगले आर्थिक वर्ष २०८२८३ को आयोजना तथा कार्यक्रम प्रस्ताव गर्ने सम्बन्धी मार्ग दर्शन पनि अर्थ मन्त्रालयमा पेश गरेको छ।
