शीर्षक,विवरण
अस्पतालमा पालो पर्खाइ,"उखानै छ, आज मर्यो भोलि ओखती ! अर्थात् बिरामी भएकै बेलामा ओखतीमूलो हुँदैन भने त्यसको कुनै अर्थ हुँदै। जीवनै पनि सकिन्छ। आखिर उपचार र ओखतीमूलो भनेको जीवन रक्षाका लागि नै हो। तर उपचार बेलामा नपाउने समस्या नेपालका प्रमुख अस्पतालहरूमै छ। भर्खरै सरकारले बहिरंग सेवा २४सै घन्टा चलाउने भनेको छ। तर, सबैतिर कार्यान्वयन भएको छैन। अनि शल्यक्रिया गर्नुपर्यो भने त पालो नकुरी सुखै छैन। राजधानीको वीर अस्पतालमा अब पालो कुर्नु पर्दैन भनिएको हो। तर, भुक्तभोगी बिरामीको अनुभव बेग्लै छ। शिक्षण अस्पताल वा कान्ति अस्पतालमा पनि पालो कुर्नै पर्छ। त्यो पनि एक दुई दिन वा महिना होइन २ वर्ष नै। २२ वर्ष एउटा बिरामीले शल्यक्रियाका लागि पालो पर्खनुपर्छ भने त्यो के उपचार भयो ? अप्रेसन भनेको सामान्य बिरामीको हुँदैन। औषधि खाएरमात्रै नभएपछि नै अप्रेसन गर्नुपर्छ। अनि त्यही अप्रेसनै बेलामा हुँदैन। २ वर्ष ढिला हुन्छ भने के त्यो बिरामीको सही उपचार भएको मान्न सकिन्छ। नाक, कान, घाँटीको मात्रै नभई मिर्गाैलाको पनि पालो कुर्नुपर्छ। एकातिर मिर्गाैलाको आफ्नै समस्या भएका बिरामीको पत्थरीको अप्रेसनका लागि पनि पालो कुर्नुपर्ने उदेकलाग्दो व्यवस्था लुम्बिनी प्रादेशिक अस्पताल बुटवलमा छ। अझ यो अस्पतालमा त सोम र बिहीबार मात्रै गरी सातामा दुई दिनमात्रै अप्रेसन गरिन्छ। यस्तो किनभने जनशक्ति अभाव छ। उपकरण अभाव छ। अरू भौतिक पूर्वाधारको पनि अभाव छ। देशको अरू सहरका सरकारी अस्पतालमा पनि सातामा दुई दिनमात्रै अप्रेसन हुन्छ। अरू दिन हुँदैन। पालोपालो विभिन्न बिरामीको गरी साताको दुई दिन छुट््याएर किसिमकिसिमका बिरामीका लागि अप्रेसन थिएटर उपलब्ध हुन्छ। संविधानले मुलुकलाई समाजवादउन्मुख भन्छ। तर हालत अर्कै छ। समाजवादमा त स्वास्थ्यका लागि जनताले यति बिघ्न दुःख खेप्नु नपर्ने हो। अझै स्वास्थ्यका सबै सुविधा र सेवा सरकारले निःशुल्क नै दिनुपर्ने हो। यहाँ त बिमा गरेका बिरामीले पनि औषधोपचार पाउँदैनन््, पैसा तिरेर सेवा लिन्छु भन्दा पनि सरकारी अस्पतालमा सास्ती छ। पालोको कुरा त हुँदै भयो। यस्ता तमाम समस्याको निदानका लागि सरकारले स्वास्थ्यमा सबैभन्दा पहिला त बजेट नै अझै वृद्धि गर्नुपर्छ। उत्पादित दक्ष जनशक्तिको विदेश पलायन रोक्नुपर्छ। यहीं आकर्षक सुविधा दिएर राख्न सक्नुपर्छ। सबै सरकारी अस्पताललाई पूर्वाधार, उपकरण र जनशक्तिले भरिपूर्ण बनाएर पालो कुर्नुपर्ने समस्याको निदान हुनसक्छ।"
घाटामा जाने उद्योगहरू नचलाउनुस् : प्रधानमन्त्री ओली,"काठमाडौं : प्रधानमन्त्री केपी शर्मा ओलीले सरकारले चलाएका कुनै पनि उद्योग र संस्थान घाटामा जान नहुने बताएका छन्। सिंहदरबारस्थित प्रधानमन्त्री तथा मन्त्रिपरिषद्को कार्यालयमा उद्योग, वाणिज्य तथा आपूर्ति मन्त्रालय र मातहतका निकायसँग सम्बन्धित विषयमा बुधबार भएको ब्रिफिङमा प्रधानमन्त्री ओलीले उद्योगका लागि सडक बाटो, बिजुलीलगायत पूर्वाधारका वातावरण तयार भइसकेकाले अब औद्योगिकीकरणमा लाग्न आग्रह गरे। 'साना साना लगानीमा धेरै कृषिमा आधुनिकीकरण र स्टार्टअप उद्योग खोलेर बेरोजगारीलाई रोजगारी दिन सकिन्छ। उत्पादन बढाएर आयात विस्थापन गर्न सकिन्छ। नचल्ने र घाटामा जाने उद्योग चलाउन बल नगरौं। डुब्ने र प्रतिफल नदिने उद्योग नचलाऔं,' प्रधानमन्त्री ओलीले भने। मद्यपान र धुमपानसँग सम्बन्धित उद्योगलाई भन्दा रोजगारी सिर्जना गर्ने र समाजलाई सभ्य तथा स्वस्थ्य बनाउने खालका उत्पादनमा जोड दिन आग्रह गर्दै प्रधानमन्त्री ओलीले उद्योगका नाममा भएका बेथिति रोक्न र राम्रा काम गर्नेलाई संरक्षण गर्न निर्देशन दिए। उद्योगमन्त्री दामोदर भण्डारी, नेपाल सरकारका मुख्यसचिव लीलादेवी गड्तौला, प्रधानमन्त्री तथा मन्त्रिपरिषद्को कार्यालयका सचिव राजकुमार श्रेष्ठ, उद्योग मन्त्रालयका सचिव कृष्णबहादुर राउतसहितको छलफलमा प्रधानमन्त्री ओलीले खनिज र पेट्रोलियम पदार्थको अन्वेषण र उत्खनन् कार्यलाई निरन्तरता दिँदै यसका आधारमा विकास गर्न सकिने उद्योगको योजना ल्याउन आग्रह गरे। यसअघि प्रधानमन्त्री ओलीले शिक्षा, सञ्चार, पर्यटन, स्वास्थ्य, कृषि मन्त्रालयसँग सम्बन्धित विषय र सुधारका योजनाका विषयमा सम्बन्धित मन्त्री र सचिवसँग बेग्ला बेग्लै ब्रिफिङ लिइसकेका छन्।"
परराष्ट्रमन्त्री राणा र भाजपा विदेश विभाग प्रमुख चौथाइवालेबीच भेटवार्ता,"काठमाडौं : परराष्ट्र मन्त्री आरजु राणा देउवा र भारतीय जनता पार्टी (भाजपा)का विदेश विभाग प्रमुख विजय चौथाइवालेबीच भेटवार्ता भएको छ। नयाँ दिल्लीको शेराटन होटलमा बुधबार उनीहरूबीच भेटवार्ता भएको हो। भेटमा चौथाइवालेले परराष्ट्र मन्त्री नियुक्त भएकोमा परराष्ट्र मन्त्री राणालाई बधाइ दिएका थिए। 'महत्त्वपूर्ण पदमा नियुक्त हुनुभएकोमा बधाई छ,' उनले एक्समा भनेका छन्। त्यस्तै भेटमा नेपालभारत सम्बन्धको नयाँ आयाम र अवसरहरूबारे छलफल भएको चौथाइवालेले उल्लेख गरेका छन्। परराष्ट्र मन्त्री राणा पाँच दिने भ्रमणका लागि गत आइतबार नयाँ दिल्ली गएकी हुन्। भारतीय विदेश सचिव एस जयशंकरको निमन्त्रणामा उनी भारत भ्रमणमा गएकी हुन्। भ्रमणका क्रममा परराष्ट्र मन्त्री राणाले भारतीय प्रधानमन्त्री नरेन्द्र मोदी र विदेश मन्त्री एस जयशंकरसँग भेटवार्ता गरेकी थिइन्।"
"राष्ट्रियसभा अध्यक्ष र चिनियाँ राजदूतबीच भेटवार्ता, बीआरआई र टीआरसीबारे चासो","काठमाडौं : राष्ट्रियसभाका अध्यक्ष नारायणप्रसाद दाहालसँग नेपालका लागि चिनियाँ राजदूत छन् सोङले शिष्टाचार भेट गरेका छन्। राजदूत सोङले आज सिंहदरबारस्थित अध्यक्ष दाहालको कार्यकक्षमा शिष्टाचार भेट गरेका हुन्। भेटमा द्विपक्षीय साझेदारी, आपसी सहयोग र सम्बन्धका विषयमा कुराकानी भएको उनको सचिवालयले जनाएको छ। सो भेटमा अध्यक्ष दाहालले नेपाल र चीनबीचको सम्बन्ध वर्षौं पुरानो भएको चर्चा गर्दै दुई देशबीचको सम्बन्ध कूटनीतिक तहमा मात्रै नभई जनस्तरमा समेत बलियो र प्रगाढ रहेको बताए। दुई देशबीचका राष्ट्रपतिज्यका तहबाट भ्रमण भएको र विभिन्न समयमा संसदीय टोली, राजनीतिक टोली लगायतको नियमित भ्रमण भइरहेको चर्चा गर्दै अध्यक्ष दाहालले यस्ता भ्रमणले सांस्कृतिक विविधताबारे जानकारी हुने, विकासका नयाँ आयामहरूको विस्तार हुने र पर्यटन प्रवर्द्धनमा सघाउने बताए। बिआरआइलगायत दुई देशबीच विभिन्न समयमा भएका समझदारी र सहमति प्राथमिकताका साथ कार्यान्वयन हुनेमा आफ्नो गहिरो विश्वास रहेको भन्दै अध्यक्ष दाहालले यसले दुई देशको सम्बन्ध थप मजबुत र बलियो हुने बताए। नेपालको पर्यटन प्रवर्द्धनमा चिनियाँ पर्यटकहरूको ठूलो भूमिका रहेको चर्चा गर्दै अध्यक्ष दाहालले पोखरा र लुम्बिनी अन्तर्राष्ट्रिय विमानस्थलमा चीनबाट नियमित उडान सञ्चालन गर्न सके नेपालको पर्यटन उद्योगको वृद्धि हुनेमा विश्वास व्यक्त गरे। राजदूत सोङले राष्ट्रियसभा अध्यक्ष निर्वाचित भएकोमा बधाई तथा कार्यकाल सफलताको शुभकामना व्यक्त गरे। दुई देशबीच कूटनीतिक सम्बन्ध स्थापना भएदेखि नै पारस्पारिक लाभमैत्री सम्बन्ध कायम रहेको भन्दै राजदूत सोङले चिनियाँ राष्ट्रपति सि चिनपिङको नेपाल भ्रमणपछि दुई देशबीचको सहकार्य र सहयोगमा उल्लेख्य वृद्धि भएको र सम्बन्ध नयाँ उचाइँमा उठेको बताए। शान्ति प्रक्रियाको बाँकी कामको रूपमा रहेको टिआरसी विधेयक संसद्बाट पारित हुन लागेकोमा निकै खुसी लागेको भन्दै राजदूत सोङले यसले नेपालको शान्ति, स्थिरता र विकासमा नयाँ फड्को हान्ने बताए। नेपालमा हालै निर्माण सम्पन्न भएका पोखरा र लुम्बिनी अन्तर्राष्ट्रिय विमानस्थलमा चीनका विभिन्न सहरबाट सिधा उडान गर्न चीन इच्छुक रहेको भन्दै राजदूत सोङले त्यसले नेपालमा चिनियाँ पर्यटक आगमनमा उल्लेख्य वृद्धि हुने बताउनुभयो ।"
पदका लागि नभइ केही गरौं भन्ने इच्छाले प्रधानमन्त्री बनेको हुँ : ओली,"काठमाडौं : प्रधानमन्त्री केपी शर्मा ओलीले साना साना पुजीबाट उत्पादन वृद्धि हुने उद्योगहरूमा लगानी गर्न आग्रह गरेका छन्। बुधबार काठमाडौंमा आयोजित स्टार्ट अप नेसन २०३० कार्यक्रमलाई सम्बोधन गर्दै प्रधानमन्त्री ओलीले साना साना उद्योगहरूमा लगानी गरेर पुँजी बढाउनुपर्ने बताएका हुन्। प्रधानमन्त्री ओलीले सानासाना पुँजीबाट उत्पादन वृद्धि हुने उद्योगहरूमा लगानी गरेर युवाहरूलाई स्वदेशमै रोजगारीको अवसर दिनुपर्नेमा जोड दिए। प्रधानमन्त्री ओलीले केही गरौं भन्ने हुटीहुटीले आफू प्रधानमन्त्री बनेको दावी गरे। ' पदका लागि मात्रै नभइ केही गरौं भन्ने इच्छाले प्रधानमन्त्री बनेको हुँ। प्रधानमन्त्री त पहिले नै भइसकेको थिएँ,'उनले भने। प्रधानमन्त्री ओलीले सरकारले लगानी गरेका कुनै पनि स्टार्टअप असफल हुन दिन नहुने बताए। उनले नेपाल अल्पविकसितबाट विकसिततिर उन्मुख भइरहेको भन्दै यसका लागि आर्थिक स्रोत बलियो हुनुपर्ने बताए। त्यसका लागि सानासाना उद्योगहरूमा लगानीका साथसाथै व्यापाक विस्तार गर्नुपर्ने उनको भनाइ छ। उनले दिगो विकासका लक्ष्यहरू हासिल गर्न युवा उद्यमशीलतालाई व्यापक बनाउनुपर्नेमा जोड दिए। कार्यक्रममा उपप्रधानमन्त्री एवं अर्थमन्त्री विष्णुप्रसाद पौडेल,उद्योगमन्त्री दामोदर भण्डारी, श्रममन्त्री शरदसिंह भण्डारीलगायत सहभागी थिए।"
माओवादी केन्द्रको प्रदेशस्तरीय परामर्श बैठक जारी,"काठमाडौं : नेकपा माओवादी केन्द्रको प्रदेशस्तरीय परामर्श बैठक आजबाट सुरु भएको छ। बागमती प्रदेशबाट केन्द्रमा प्रतिनिधित्व गर्ने केन्द्रीय सदस्य र प्रदेश पदाधिकारीहरूको परामर्श बैठक आज र भोलि चल्ने माओवादी केन्द्रले जनाएको छ। पार्टी केन्द्रीय समितिको पूर्ण बैठक बस्नु अगाडि सो बैठकको तयारी स्वरूप हरेक प्रदेशमा परामर्श बस्ने निर्णय पदाधिकारी बैठकले गरेको थियो। माओवादीभित्र नेतृत्वको कार्यशैलीप्रति आन्तरिक विवाद बढ्नुका साथै सरकारबाट हट्नु परेपछि माओवादीले सांगठनिक छलफल अगाडि बढाउन लागेको हो। यसैगरी उपत्यका विशेष तथा सम्पर्क समन्वय प्रदेशमा कार्यरत केन्द्रीय सदस्य तथा प्रदेश पदाधिकारीहरूको बैठक भाद्र ७ र ८ गते, गण्डकी प्रदेशको भाद्र ९ र १० गते, सुदूरपश्चिम प्रदेशको भाद्र १२ र १३ गते,कर्णाली प्रदेशका केन्द्रीय सदस्य तथा प्रदेश पदाधिकारीहरूको बैठक भाद्र १४ र १५ गते, लुम्बिनी प्रदेशका केन्द्रीय सदस्य तथा प्रदेश पदाधिकारीहरूको बैठक भाद्र १६ र १७ गते, तीन वटै केन्द्रीय आयोगका सदस्यहरूको बैठक भाद्र १८ र १९ गते, मधेश प्रदेशको भाद्र २२ र २३ गते,कोसी प्रदेशको भाद्र २४ र २५ गते बस्ने माओवादी केन्द्रले जनाएको छ। यसैगरी जवस मोर्चामा कार्यरत पार्टी केन्द्रीय सदस्य हरू र केन्द्रीय विभागहरूमा कार्यरत पार्टी केन्द्रीय सदस्यहरूको बैठक भाद्र २७ र २८ गते,प्रवास प्रदेशमा कार्यरत पार्टी केन्द्रीय सदस्य हरू तथा प्रदेश पदाधिकारीहरूको बैठक भाद्र ३१ आश्विन १ गते र जेष्ठ कम्युनिष्ट मञ्च र केन्द्रीय सल्लाहकारहरूको बैठक असोज २ र ३ गते तय गरिएको छ।"
दुई ठूला दल मिलेकाले तीव्र आर्थिक विकासको संभावना छ : चन्द्र ढकाल,"काठमाडौं : नेपाल उद्योग वाणिज्य महासंघका अध्यक्ष चन्द्र ढकालले दुई ठूला राजनीतिक दलहरू मिलेर राजनीतिक र नीतिगत स्थीरताको प्रतिवद्धता जनाएकाले आगाामी दिनमा तीव्र आर्थिक विकासको संभावना रहेको बताएका छन्। बुधबार स्टार्टअप नेसन २०३० कार्यक्रमलाई सम्बोधन गर्दै अध्यक्ष ढकालले नेपालले आर्थिक विस्तारमा फड्को मार्ने सम्भावना रहेको बताएका हुन्। अध्यक्ष ढकालले सरकारले निजी क्षेत्रलाई महत्व दिएको,बैंकहरूसँग लगानी गर्न पर्याप्त रकम रहेको र क्रेडिट रेटिंग पनि भइरहेकाले आर्थिक विस्तार हुने सम्भावना रहेको औंल्याएका हुन्। 'अहिले नेपालले तीव्र आर्थिक विस्तार गर्ने सम्भावना छ । दुई ठूला दल मिलेर राजनीतिक र नीतिगत स्थीरताको प्रतिवद्धता जनाएका छन् । हालसम्मकै उच्च विदेशी मुद्राको संचिति छ । भुक्तानी सन्तुलन सहज अवस्थामा छ,'उनले भने,' बैंकहरूसँग लगानी गर्न पर्याप्त रकम छ । क्रेडिट रेटिंग पनि भैरहेकाले विदेशी लगानी आउने सम्भावना छ । ' अर्थमन्त्रालयले हालै सार्वजनिक गरेको सय दिनको कार्ययोजनामा महासंघले लामो समयदेखि उठाउँदै आएको उच्चस्तरिय आर्थिक सुधार आयोग गठन गर्ने विषय पनि रहेकाले यसले अन्तरनिकाय समन्वय गरि अल्प, मध्य र दीर्घकालीन महत्वका बिषयमा महत्वपूर्ण निर्णय गर्ने विश्वास व्यक्त गरे। उनले उद्यमशीलता विकास गर्नुपर्ने बेलामा निजी क्षेत्रलाई निरुत्साहित गर्न नहुने धारणा राखे। उनले भने,'मलाई पूर्ण विश्वास छ सम्माननीय प्रधानमन्त्रीज्यूले निजी क्षेत्रका समस्याहरूलाई सम्बोधन गर्नुहुनेछ । उहाँले निजी क्षेत्रप्रति देखाउनु भएको सदासयताका लागि धन्यवाद पनि दिन चाहन्छु । ' अध्यक्ष ढकालले युवाहरूलाई उद्यमशीलतामा संलग्न गराउन र अर्थतन्त्रमा योगदान पुर्याउन ढिला भइसकेको बताए। सन् १९८० देखि २०१० भित्र अमेरिकामा स्टार्टअपहरूले करिब २५ रोजगारी सिर्जना गरेको विभिन्न अध्ययनहरूले देखाएको बताउँदै उनले भारत संसारको तेस्रो ठूलो स्टार्ट अप संजाल भएको मुलुक बनेको बताए। उनले नेपालजस्तै अति कम विकसित मुलुक बंगलादेशमा वर्षको करिब १० अर्ब स्टार्ट अपमा लगानी हुन थालेको बताए। उनले भने, 'हामीकहाँ पनि यो सम्भावना छ । नेपालमा ६५ प्रतिशत जनसंख्या १५ देखि ६४ वर्ष उमेर समूहका छन् । ती युवाहरू नेपालमा निजी क्षेत्र फस्टाउन नसक्दा रोजगारी दिन सक्ने निजी क्षेत्र भएको मध्यपूर्व र मलेसियामा काम खोज्न गएका छन् ।' उनले स्टार्टअप विकास गर्न युवाहरूलाई सहायता प्रदान गर्ने इन्कुवेसन वा इनोभेसन केन्द्रहरू स्थापना गर्नेमा जोड दिए। त्यसको सुरूवातका रुपमा महासंघले सुदुर पश्चिम प्रदेश सरकार र कैलाली उद्योग वाणिज्य संघको सहकार्यमा इन्कुवेसन केन्द्र स्थापना गर्ने प्रक्रिया सुरू भइसकेको बताए। उनले सरकारले बजेटमा एक अर्ब २५ करोड रुपैया स्टार्ट अपलाई अनुदान प्रदान गर्न छुट्याएको भन्दै अब यसको प्रभावकारी कार्यान्वयन हुने र आवश्यकता भएका युवासम्म यो रकम पुग्ने विश्वास व्यक्त गरे।"
सर्वसाधारणले धरहरा चढ्न अब धेरै दिन कुर्नुपर्दैन : उपप्रधानमन्त्री सिंह,काठमाडौं : उपप्रधानमन्त्री एवं शहरी विकासमन्त्री प्रकाशमान सिंहले उपत्यकाको फोहोरमैला व्यवस्थापनका लागि पहल भइरहेको बताएका छन्। बुधबार सिंहदरबारस्थित मन्त्रालयमा पूर्वाधार पत्रकारसँगको छलफलका क्रममा स्थानीय तहसँग आवश्यक समन्वय गर्दै उपत्यकाको फोहोरमैला व्यवस्थापनका लागि पहल भइरहेको बताएका हुन्। उनले करिडोर नजिकको बस्तीमा डुवानको समस्या समाधानका लागि पनि सम्बन्धित निकायसँग छलफल भइरहको जानकारी दिए । सरकारले अहिले नीति निर्माणमा बढी जोड दिइरहेको उनले बताए । आफूले मन्त्रालय सम्हालेपछि सबै निकायसँगको छलफलका आधारका कामहरूलाई अघि बढाइएको उनले बताए। त्यस्तै उनले सरकारको सय दिनभित्रै धरहरा चढ्न मिल्ने गरि बन्दोवस्ती मिलाउन लागिएको पनि जानकारी दिए । उपप्रधानमन्त्री सिंहले यसअघि सरकार अस्थिर हुँदा प्रक्रियामा ढिलाइ भएको भन्दै अहिले संसदकै दुई ठूला दल मिलेर सरकार बनेकाले नयाँ सहरलाई पनि सुरक्षित र व्यवस्थित गर्दै लैजाने प्रक्रियाले अब गति लिने दावी गरे।
संघीय अस्पतालका बिग्रिएका स्वास्थ्य उपकरण मर्मतको जिम्मा राष्ट्रिय आविष्कार केन्द्रलाई,काठमाडौं : स्वास्थ्य तथा जनसंख्या मन्त्रालयले संघीय अस्पतालका बिग्रिएका स्वास्थ्य उपकरण मर्मतको जिम्मा वैज्ञानिक महावीर पुन नेतृत्वको राष्ट्रिय आविष्कार केन्द्रलाई दिने भएको छ। स्वास्थ्य तथा जनसंख्यामन्त्री प्रदीप पौडेलको उपस्थितीमा बुधबार मन्त्रालय र केन्द्रबीच सो सम्बन्धी सम्झौतामा हस्ताक्षर भएको छ । मन्त्रालयका तर्फबाट गुणस्तर मापन तथा नियमन महाशाखा प्रमुख डा मदन उपाध्याय र केन्द्रका अध्यक्ष महावीर पुनले सम्झौतामा हस्ताक्षर गरेका हुन्। अस्पतालमा खेर गइरहेका उपकरण मर्मत गर्नका लागि सघाउन मन्त्री पौडेलले केही दिन अघि पुनसँग आग्रह गरेका थिए। त्यसलगत्तै मन्त्रालयले केन्द्रसँग औपचारिक सम्झौता गरेको हो । सो क्रममा मन्त्री पौडेलले अस्पतालमा मर्मत अभावमा उपयोगमा आउन नसकेका उपकरणलाई केन्द्रको सहयोगमा मर्मतपछि उपचार सेवामा सहजता आउने विश्वास व्यक्त गरे। केन्द्रको सहयोगमा राज्यको खेर गैरहेको सम्पतीको उपयोगबाट बिरामी पनि लाभान्वित हुने र उपकरण खरिदका लागि हुने खर्चसमेत कम हुने धारणा राखे। केन्द्र प्रमुख पुनले राज्यले आफूहरूलाई विश्वास गरेर ठूलो जिम्मेवारी दिएको भन्दै खुशी प्रकट गरे। उनले यसले आफूहरूलाई हौसला दिएको भन्दै मन्त्री पौडेललाई धन्यवाद दिए। अब केन्द्रले हाल मन्त्रालयअन्र्तगतका १७ अस्पतालमा बिग्रिएर रहेका स्वास्थ्य उपकरणको अवस्थाबारे जानकारी लिनेछ । त्यसपश्चात मर्मत सम्भव भएका सबै उपकरणको केन्द्रका प्राविधिकहरूले मर्मत गर्ने बताइएको छ ।
सम्पत्ती राखेर ऋण दिँदा बैंकहरू साहुजीजस्ता भए : प्रधानमन्त्री ओली,"काठमाडौं : प्रधानमन्त्री केपी शर्मा ओलीले बैंकहरूको ऋण प्रहाव गर्ने प्रणालीप्रति असन्तुष्टि व्यक्त गरेका छन्। बुधबार स्टार्टअप नेसन २०३० कार्यक्रमलाई सम्बोधन गर्दै प्रधानमन्त्री ओलीले परियोजनाको मूल्याकंन गरेर मात्रै ऋण प्रहाव गर्नुपर्ने बताए। उनले सम्पत्ती राखेर ऋण दिँदा बैंकहरू साहुजीजस्ता भएको भन्दै टिप्पणी समेत गरे। 'सम्पत्ती राखेर ऋण दिने होइन, परियोजना धितो राखेर ऋण दिनुपर्यो,'प्रधानमन्त्री ओलीले भने,'साहुजी बैंक होइनन् परियोजनाको मूल्यांकन गरेर ऋण प्रवाह गर्नुपर्यो।' प्रधानमन्त्री ओलीले स्टार्टअपका लागि अनुकूल वातावरण बनेको भन्दै सानासाना पुजीबाट उत्पादन वृद्धि हुने उद्योगहरूमा लगानी र विस्तार गर्न आग्रह गरे। सहकारी आफैमा राम्रो भएको बताउँदै प्रधानमन्त्री ओलीले गैरसहकारी तत्वहरू भित्रिदा देशभरका सहकारी डुब्ने अवस्थामा पुगेको बताए। उनले सहकारीलाई वित्तीय अनुशासनमा ल्याउन सरकारले नयाँ ढंगले काम गर्ने बताए। प्रधानमन्त्री ओलीले भने,' सहकारीमा गैरसहकारी तत्वहरू भित्रिएपछि सहकारी डुब्यो। सहकारी आफैमा राम्रो हो। सरकारले अब सहकारीलाई नयाँ ढंगले अगाडि बढाउँछ। ' प्रधानमन्त्री ओलीले सानासाना पुँजीबाट उत्पादन वृद्धि हुने उद्योगहरूमा लगानी गरेर युवाहरूलाई स्वदेशमै रोजगारीको अवसर दिनुपर्नेमा जोड दिए। उनले युवाहरूलाई विदेश पलायन रोक्न उद्यमशीलताको विकास गर्नुपर्ने बताए।"
