शीर्षक,विवरण
मंकिपक्ससँग कोभिडको जस्तो गल्ती नहोस,"सरकारले पनि नीति, नियमसँगै स्वास्थ्य सेवा चुस्त दुरुस्त पार्ने, सकेसम्म रोग भित्रिन नदिने र भित्रिइहाले नागरिकको स्वास्थ्योपचार गर्ने आवश्यक तयारी अहिलेदेखि नै गर्न जरुरी छ। कोभिड महामारी विश्वका अरू देशमा फैलिँदा नेपालले खास वास्ता गरेन। पूर्वतयारी र प्रतिकार्यको चाँजोपाँजो भएन। नेपालीलाई त्यस्ता रोगले छुन सक्दैन शैलीका हावादारी हल्ला धेरै फिजियो। सरकार पनि मस्तराम बन्यो। कोभिडकै बेला पर्यटनमन्त्री अस्ट्रेलिया भ्रमणमा गएर नेपाल सुरक्षित छ भन्ने हास्यास्पद कार्यक्रम गरे। त्यसबाट विश्व मञ्चमा नेपाल लज्जाको विषय बन्यो। अनि कोभिड १९ ले घेरिहाल्यो। लकडाउन (बन्दाबन्दी) नै गर्नुपर्यो। अनि १० हजारभन्दा बढी नेपालीले कोभिड १९ मा ज्यान गुमाए। अहिले विश्व स्वास्थ्य संगठनले मंकिपक्स भन्ने रोगको महामारी फैलिएको भन्दै आपत्काल घोषणा गरिसकेको छ। तर, नेपाल भने यसबारे केही सोचेजस्तो र जोखिम नियन्त्रण र प्रतिकार्यका लागि तयारीमा देखिन्न। जबकि अफ्रिकी मुलुकहरूमा यो रोगले कैयौंको ज्यान लिइसकेको छ। र, छिमेकी पाकिस्तानसम्म यो रोग देखा परिसक्यो। अब भारतसँग खुला सीमा भएको नेपाल भित्रिन बेर नलाग्न सक्छ। कोभिडभन्दा मंकिपक्स खतरनाक छ। सासकै माध्यमबाट यो एकअर्कामा सर्छ। एउटै ओच्छ्यान प्रयोग गर्दा पनि सर्छ। झन् छुँदा र म्वाइँ खाँदा सर्ने भइहाल्यो। ज्वरो नै मंकिपक्सको पहिलो लक्षण हो। ज्वरोपछि छाला, अनुहार, हत्केला र पैतालाहरूमा बिबिरा (डाबर)हरू देखा पर्छन्। मांसपेशीहरू दुख्ने र संक्रमण जटिल बन्दै र बढ्दै जाँदा दृष्टि गुम्न सक्छ, निमोनिया हुन्छ, मस्तिष्कमा असर पुयाउँछ र अन्तमा ज्यानै पनि जान्छ। पोहोरै विदेशबाट आएकी एकजनामा यो रोग नेपाल देखा परिसकेको हो। ती महिला पछि निको भइन् र रोग फैलन पनि पाएन। यसपछि भने विश्व स्वास्थ्य संगठनले विश्वभर यसको आतंक फैलन सक्ने भन्दै चेतावनी दिइसकेको सन्दर्भ यहाँ मननीय छ। कुनै पनि संक्रमणबाट जोगिने भनेको आफैं हो। सरकारले सबै नागरिकलाई कुनै पनि खालको सुरक्षा दिने होइन। उसले नीति बनाउँछ। पालना गर्ने नागरिकको धर्म हो। तर, सरकारले बनाउने नीति र नियम अटेर गर्ने प्रवृत्ति हुँदा आफैं महामारीको सिकारमात्रै भइन्न, अरूलाई पनि सर्छ। धेरैले दुःख पाउँछन्। एउटाले बिराउने र शाखा पिराउने हुन जान्छ। तसर्थ सरसफाइमा ध्यान दिने, सामाजिक दूरी कायम गर्ने, भिडभाड नगर्ने र रोगबाट जोगिनेतर्फ सबै नागरिक सतर्क हुनुपर्छ। सरकारले पनि नीति, नियमसँगै स्वास्थ्य सेवा चुस्त दुरुस्त पार्ने, सकेसम्म रोग भित्रिन नदिने र भित्रिइहाले नागरिकको स्वास्थ्योपचार गर्ने आवश्यक तयारी अहिलेदेखि नै गर्न जरुरी छ।"
२० वर्ष नपुग्दै ४३ प्रतिशत महिलाको बिहे,"काठमाडौं : संविधानले बालअधिकारलाई मौलिक हकमै सूचीकृत गरेको छ। बालविवाह, बालबालिकाको गैरकानुनी ओसारपसार, अपहरण वा बन्धक बनाउन नपाइने व्यवस्था संविधानमा छ। मुलुकी अपराध संहिताले विवाह गर्न २० वर्ष उमेर तोकेको छ। २० वर्षभन्दा कम उमेरमा हुने विवाह स्वतः बदर हुने संहितामा छ। त्यतिमात्र होइन, २० वर्षभन्दा कम उमेरमा विवाह गर्नेगराउनेलाई तीन वर्षसम्म कैद र ३० हजार रुपैयाँसम्म जरिवाना तोकेको छ। तर, हालै सार्वजनिक भएको सरकारी तथ्यांकले मुलुकमा बालविवाह व्याप्त रहेको देखाएको छ। राष्ट्रिय जनगणना ०७८ मा २० देखि २४ वर्षका व्यक्तिलाई विवाहको उमेरबारे प्रश्न सोधिएको थियो। तपार्इंहरूको विवाह कति वर्षमा भयो ? भनेर २० देखि २४ वर्ष उमेरका महिला पुरुषलाई सोध्दा, दिएको उत्तरअनुसारको तथ्यांक यो हो, राष्ट्रिय तथ्यांक कार्यालयका एक अधिकारीले भने। २० वर्षमुनि ३० प्रतिशत विवाह २० वर्षमुनि अर्थात् गैरकानुनी विवाह गर्नेको औसत दर २९७ प्रतिशत छ। जसमा ४३ प्रतिशत महिला छन्। पुरुषको संख्या १४५ प्रतिशत छ। २७ लाख ३१ हजार ३ सय ३९ जना २० देखि २४ वर्षका युवामध्ये ८ लाख ११ हजार ९ सय ३३ जनाको विवाह २० वर्ष अगावै भएको तथ्यांकले देखाएको छ। अपराध संहिताअनुसार २९७ प्रतिशत गैरकानुनी विवाह छन्। मुलुकी अपराध संहिता २०७४ मा विवाह गर्ने उमेर २० वर्ष तोकिएको छ। गैरकानुनी विवाह मधेस र कर्णालीमा उच्च छ। मधेसमा ५९४ प्रतिशत महिलाको विवाह २० वर्षभन्दा कम उमेरमा हँुदै आएको छ। १५८ प्रतिशत पुरुषको विवाह २० वर्षमुनि भएको छ। मधेस प्रदेशमा औसत ३८७ प्रतिशतको गैरकानुनी विवाह भइरहेको छ। कर्णालीमा ५५६ प्रतिशत महिलाको विवाह २० वर्ष तलै हँुदै आएको छ। २९२ प्रतिशत पुरुषको पनि गैरकानुनी विवाह भइरहेको छ। मधेसमा २० वर्ष तल विवाह गर्ने ४३६ प्रतिशत छन्। कोशीमा १२१ प्रशितशतको गैरकानुनी विवाह भएको छ। जसमा ३९५ प्रतिशत महिला र २६९ प्रतिशत पुरुष छन्। लुम्बिनी प्रदेशमा ३११ प्रतिशत जसमा महिलाको ४३ र पुरुषको १६ प्रतिशत गैरकानुनी विवाह भएको पाइएको छ। सुदूरपश्चिममा ३२२ प्रतिशत जसमा ४२६ महिला र १७७ प्रतिशत पुरुषका विवाह २० वर्षभन्दा कम उमेरमा भएको छ। बागमती र गण्डकीमा कम गैरकानुनी विवाह बागमती प्रदेश र गण्डकी प्रदेशमा तुलनात्मक रूपमा कम छ। गैरकानुनी विवाह गण्डकीमा २५३ प्रतिशत मात्रै छ। जसमा महिलाको ३७५ प्रतिशत र पुरुषको १०७ प्रतिशत छ। बागमतीमा १८७ प्रतिशतको गैरकानुनी विवाह भएको छ। जसमा महिला २६९ र पुरुष १० प्रतिशत छन्। निरक्षर व्यक्तिमा गैरबालविवाह दर उच्च छ। अर्थात्, करिब ५८ प्रतिशत छ। मधेसी दलित र पहाडी दलित तथा भाषिक समुदाय (मुस्लिम) समुदायमा क्रमशः ४७, ४२ र ४० प्रतिशत गैरकानूनी (२० वर्षभन्दा कम उमेरमा ) छ। १५ वर्ष नपुग्दै हुन्छ विवाह कानुनतः अपराध र दण्डनीय भए पनि १५ वर्ष नपुग्दै विवाह गर्ने दर उच्च छ। राष्ट्रिय जनगणनाको तथ्यांकअनुसार अझै २७ लाख ३१ हजार ३ सय ३९ जना २० देखि २४ वर्षका युवामध्ये ५० हजार ८ सय ९७ जनाले १५ वर्ष अगावै विवाह गरेका छन्। अर्थात् करिब २ प्रतिशतले प्रारम्भिक अवस्थामा नै बालविवाह (अर्ली म्यारिज) गरेका छन्। मधेस प्रदेशमा त ५७ प्रतिशत बालिकाको विवाह १५ वर्ष अगावै भएको छ। जनगणना ०७८ अनुसार १९ प्रतिशतको विवाह १५ वर्ष नपुग्दै भएको छ। जसमा बालिकाको ३ प्रतिशत र बालक ०५ प्रतिशत छन्। सबैभन्दा धेरै १५ वर्षभन्दा कम उमेरमा विवाह हुनेमा मधेस प्रदेश छ। मधेसपछि कर्णाली र लुम्बिनीमा १५ वर्ष नहुँदै विवाह हुने दर उच्च छ। मधेसमा ३४ प्रतिशतको विवाह १५ वर्ष नपुग्दै भएको छ। जसमा ५७ प्रतिशत बालिका र ०९ प्रतिशत बालक छन्। कर्णालीमा २ प्रतिशत छन्। जसमा बालिका ३१ र बालक ०६ प्रतिशत छन्। त्यस्तै लुम्बिनीमा १८ प्रतिशतको १५ वर्ष नपुग्दै विवाह भएको छ। जसमा बालिका २८ र बालक ०५ प्रतिशत छन्। कोशी प्रदेशमा १६ प्रतिशतको १५ वर्षभन्दा तल नै विवाह भएको छ। जसमा बालिका २५ र बालक ०४ प्रतिशत छन्। सुदूरपश्चिम प्रदेशमा पनि १६ प्रतिशतको १५ वर्ष तलै विवाह भएको छ। जसमा बालिका २३ र बालक ०५ प्रतिशत छन्। बालबालिका शान्ति क्षेत्र राष्ट्रिय अभियान(सिजप)की अध्यक्ष मीना शर्मा कर्णाली प्रदेशमा बालविवाह नभएको घर नै भेटिन गाह्रो रहेको बताउँछिन्। उनले भनिन्, बालविवाह भयावह छ। बालविवाह उच्च वर्गमा कम र न्यूनवर्गमा उच्च बालविवाह उच्च वर्गमा कम र न्यूनआय भएका वर्गमा उच्च छ। जनगणनाको तथ्यांकअनुसार अतिउच्च वर्षमा ४९ प्रतिशत मात्रै बालविवाह छ। त्यस्तै उच्च वर्गमा ११७, मध्यमवर्गमा १५६, न्यूनवर्गमा १७८ र अति न्यूनवर्गमा २०८ प्रतिशतको १८ वर्ष नपुग्दै विवाह हुने गरेको छ। २० देखि २४ वर्षका कुल जनसंख्यामध्ये १८ वर्ष नपुग्दै विवाह अर्थात् बालविवाह १४१ प्रतिशतको भएको छ। जसमा बालिकाको संख्या २१९ प्रतिशत र बालकको ५ प्रतिशत छ। ७ प्रदेशको तुलना गर्दा सबैभन्दा बढी बालविवाह मधेस प्रदेश भएको छ। १९९ प्रतिशतको मधेसमा बालविवाह भएको छ। जसमा ३२८ प्रतिशत बालिका र ५७ प्रतिशत बालक छन्। कर्णाली प्रदेशमा त २०१ प्रतिशतको बालविवाह भएको छ। जसमा २९ प्रतिशत बालिका र ९५ प्रतिशत बालक छन्। लुम्बिनीमा बालविवाह उच्च नै छन्। १४८ प्रतिशत बालबालिकाको १८ वर्ष नपुग्दै विवाह भएको छ। जसमा २१८ प्रतिशत बालिका र ५५ प्रतिशत बालक छन्। सुदूरपश्चिम प्रदेशमा १३४ प्रतिशतको बालविवाह भएको छ। जसमा १९१ प्रतिशत बालिका र ५५ प्रतिशत बालक छन्। कोशी प्रदेशमा १२८ प्रतिशतको बालविवाह भएको छ जसमा २०१ प्रतिशत बािलका र ४३ प्रतिशत बालक छन्। गण्डकी प्रदेशमा ११९ प्रतिशतको १८ वर्ष पुग्दै विवाह भएको छ। जसमा बालिका १८९ र बालक ३५ प्रतिशत छन्। त्यस्तै बागमती प्रदेशमा ८४ प्रतिशतको बालविवाह भएको छ। जसमा १३२ प्रतिशत बालिका र ३५ प्रतिशत बालक छन्। राष्ट्रिय तथ्यांक कार्यालयका निर्देशक ढुण्डिराज लामिछानेले कानुनमा तोकिएको विवाहको उमेरमा सुधार आवश्यक देखिएको बताउँछन्। पछिल्लो समयमा बालिकाको विवाह गर्ने दरमा केही सुधार आएको छ। सन् २०१९ देखि २०२१ अवधिकमा बालिकाको बालविवाह गर्ने दरमा करिब ११ प्रतिशत बिन्दुले कमी आएको छ। मानव विकास सूचांकअनुसार बालविवाहको अवस्थामा निकै सुधार भएको देखिएको छ। गण्डकी तथा सुदूरपश्चिम प्रदेशमा अन्य प्रदेशको भन्दा धेरै सुधार आएको छ। बागमती, कोशी र लुम्बिनीमा कम सुधार भएको छ। सन् २०१९ मा ३८८ प्रतिशत बालविवाह हुने गरेको थियो। २०२१ मा आएर २१९ प्रतिशतमा झरेको छ। २० देखि २४ वर्षका कुल जनसंख्यामा तुलना गर्दा कोशी प्रदेशमा साढे ८ प्रतिशतले बालविवाहको दरका कमी आएको छ। सन् २०१९ मा २८५ प्रतिशत बालविवाह थियो भने २०२१ मा आएर २०१ प्रतिशत भएको छ। त्यस्तै २०१९ मा मधेस प्रदेशमा ४६ प्रतिशत रहेकोमा २०२१ मा ३२८ प्रतिशतमा झेरेको छ। बागमतीमा २०१९ मा १९७ रहेकोमा २०२१ मा १३२ प्रतिशत भएको छ। गण्डकीमा २०१९ मा ३५५ प्रतिशतबाट घटेर २०२१ मा १८९ प्रतिशत भएको छ। लुम्बिनीमा ३३७ बाट घटेर २१८ प्रतिशत भएको छ। त्यस्तै कर्णालीमा ४४३ बाट २९ प्रतिशतमा र सुदूरपश्चिमा ३५६ प्रतिशतबाट १९१ प्रतिशतमा झरेको छ। बालबालिकाको वैवाहिक अवस्था : ७४ हजार २ सय ५२ विवाहित मुलुकमा १० वर्षमाथिका बालबालिका (१०देखि १७ वर्ष)को संख्या ४६ लाख ६३ हजार ८ सय ७३ छ। ७४ हजार २ सय ५२ विवाहित छन्। अर्थात १६ प्रतिशत विवाहित छन्। जसमा विधुरविधुवाको संख्या ५ सय ३४ छ। १ सय ७ जनाले त पारपाचुके नै गरेका छन्। २ सय २२ जना छुट्टिएर बसेका छन्। विवाह नभएको संख्या ४५ लाख ८८ हजार ७ सय ५८ छ। २३ लाख ८० हजार ५ सय ७५ बालकमा १५ हजार ४०१ जना विवाहित छन्। विवाह नभएकाको संख्या २३ लाख ६४ हजार ८ सय ७७ छ। जबरजस्ती करणीको मुद्दामा १८ देखि २० वर्षबीचको उमेर समूहका व्यक्ति आधाभन्दा बढी छन्। नारायण सापकोटा , सहसचिवराष्ट्रिय मानवअधिकार आयोग बालबालिकाको विषयमा सार्वजनिक भएको तथ्यांक हेर्दा अहिले नै सचेत हुनुपर्ने अवस्था आइसकेको छ। दीपक ढकाल, उपसचिवमहिला तथा बालबालिका मन्त्रालय कर्णाली प्रदेशमा बालविवाह नभएको घर नै भेटिन गाह्रो छ। त्यहाँ बालविवाहको अवस्था भयावह छ। मीना शर्माबालअधिकार अभियन्ता विवाहित बालकको संख्या ०६ प्रतिशत छ। जसमा २१४ जना विधुर छन् ३० जनाले पारपाचुके गरिसकेका छन् भने ५३ जना छुटिएर बसेका छन्। बालिकाको कुल संख्या छ२२ लाख ८३ हजार २९८। तीमध्ये २६ प्रतिशत अर्थात् ५८ हजार ८५१ विवाहित छन्। जसमा विधुवाको संख्या ३ सय २० छ। ७७ जनाले पारपाचुके गरिसकेका छन्। १ सय ६९ छुटिएर बसेका छन्। कुल बालबालिका मध्ये विवाहित बालबालिका १६१ छन्। ग्रामीण क्षेत्रमा धेरै बालविवाह ग्रामीण क्षेत्रमा अझै पनि बालविवाह व्याप्त छ। सहरी क्षेत्र, अर्धसहरी क्षेत्रभन्दा ग्रामीण क्षेत्रमा बालविवाह उच्च रहेको सरकारी तथ्यांकले देखाएको छ। सहरी क्षेत्रमा १०३ प्रतिशत बालविवाह हुने गरेको छ। अर्धसहरीमा १४५ र ग्रामीणमा २२१ प्रतिशत बालविवाह भएको तथ्यांकले देखाएको छ। कोशी प्रदेशमा १६४ प्रतिशत, मधेसमा १५६, बागमतीमा ११४ प्रतिशत, गण्डकीमा १८७, लुम्बिनीमा १८७, कर्णालीमा २६२ प्रतिशत र सुदूरपश्चिममा १५३ प्रतिशत विवाहित बालबालिका छन्। विवाहको उमेरमा बहस विवाहको उमेरमा पुनर्विचार गर्नुपर्ने बहस पनि सुरु भएको छ। गोबिन्दप्रसाद कोइराला (गोबिन्द बन्दी) कानुनमन्त्री हुँदा विवाहको उमेरमा १८ वर्षमा झार्नुपर्ने विषय उठान भएको थियो। विवाहको उमेर सम्बन्धि व्यवस्थाले अपराध बढाएको भन्दै तत्कालीन मन्त्री कोइरालाले नै संशोधनको विषय उठाएका थिए। पछिल्ला केही घटनाक्रमले पनि यो विषय बहसमा आएको छ। राष्ट्रिय मानवअधिकार आयोगका सहसचिव नारायण सापकोटाले विवाह गर्ने उमेर २० वर्ष हुँदा अपराध बढाएको तथ्यांकले नै पुष्टि गरेको बताए। उनले कुल जबरजस्ती करणीको मुद्दामा १८ देखि २० वर्षबीचको उमेर समूहका व्यक्ति आधाभन्दा बढी छन्। पछिल्लो एक अध्ययनको विषय उल्लेख गर्दै उनले भने, जबरजस्ती करणी सम्बन्धमा अदालतमा परेका मुद्दामा १८ देखि २० वर्ष बीचको ५० प्रतिशत र १८ वर्षभन्दा कम उमेरको ५० प्रतिशत छ। यो पछिल्लो अनुसन्धान प्रतिवेदनको तथ्यांक हो। तत्कालीन अवस्थामा विवाहको उमेर बढाउने कारण पनि उनले स्पष्ट पारे। विवाहको उमेर २० वर्ष बनाउनुको कारण बारे स्पष्ट पार्दै भने, कानुन बनाउँदा मुलुकको जनसंख्या वृद्धिदर उच्च थियो,त्यसलाई न्यून गर्न पनि यो व्यवस्था गरिएको हो। कम्तीमा १२ कक्षासम्म सबै पढुन भनेर नै यो व्यवस्था गरिएको हो। तर, पछिल्लो समयमा जनसंख्या बृद्धिदर ऋणात्मकतिर जान थालेको छ। जसले गर्दा नीतिगत विषयमा बहस गर्नुपर्ने अवस्था आउँदै छ। उनले गरिबी, जनचेतनाको अभावलगायतका कारणले बालविवाह भइरहेका कारण उल्लेख गरेका छन्। जेल पठाए पनि, कडा कानुन बनाए पनि बालविवाह रोकिँदैन, त्यसका लागि जनचेतना, गरिबी निवारण, आर्थिक उन्नत्ति आवश्यक छ, उनले भने। उनले त्यसका लागि राष्ट्रिय मानवअधिकार आयोगले राष्ट्रिय जाँचबुझ कार्यक्रम सुरुवात गरेको दाबी गरे। राष्ट्रिय बाल अधिकार परिषद्का अधिकृत रामबहादुर चन्द पनि विवाहको उमेरको विषयमा बहस आवश्यक रहेको बताउँछन्। उनले बाल अधिकारको परिभाषा पुनर्विचार आवश्यकता रहेको बताए। १८ देखि २० वर्षबीचमा हुने विवाह छिटो, गैरकानुनी विवाह हुनसक्छ, १८ वर्षमुुनिको विवाह मात्रै बालविवाह हो, उनले भने। महिला, बालबालिका तथा ज्येष्ठ नागरिक मन्त्रालयका उपसचिव दीपक ढकालले बालबालिकाको विषयमा अहिले सार्वजनिक भएको तथ्यांक हेर्दा अहिले नै सचेत हुनुपर्ने अवस्था आएको बताए। बालअधिकारकर्मी राजेश शर्माले राजनीतिक नेतृत्व नै बालविवाहको विषयमा जिम्मेवार नरहेको बताउँछन्। उनले बालविवाहमा जनप्रतिनिधि, राजनीतिक नेताको नै संरक्षणमा हुने गरेको बताए। राजनीतिक नेता, जनप्रतिनिधिहरूको संरक्षणमा नै बालविवाह भइरहेका छन्। बालविवाहको मुद्दा मिलाउने काम नै नेता र जनप्रतिनिधिको हुन्छ। बालबालिकाहरू नै धर्म, परम्परा, सस्कृति, सामाजिक संरचना, अशिक्षा, गरिबी लगायतका कारणले बालविवाह भइरहेको बताउँछन्। बालबालिकालाई विवाहको नकारात्मक असरको विषय सचेत गराउन नसक्दा पनि बालविवाह कमी आउन सकेको छैन्। खुला समाजको विकाससँगै उनीहरूको उमेर नपुग्दै भागी विवाह गर्ने संख्या बढिरहेको छ। जागृति बाल क्लबकी अध्यक्ष प्रितम कार्की आर्थिक र पारिवारिक अवस्थाका कारण बालविवाह भइरहेको बताउँछिन्। बालक अब्दुल अन्सारी गरिबीको कारणले नै १५,१६,१७ वर्षमा नै विवाह भइरहेको बताउँछन्। के हो गैरकानुनी विवाह र बालविवाह, अर्ली म्यारिज ? संविधान र कानुनअनुसार २० वर्ष नपुग्दै हुने सबै विवाह गैरकानुनी हुन्। त्यस्ता विवाद स्वतः रद्द हुन्छन्। तर, १५ वर्ष नपुग्दै विवाह हुने गरेको सरकारी तथ्यांकले नै देखाएको छ। १५ वर्ष नपुग्दै हुने विवाहलाई अर्ली म्यारिज भनिन्छ।"
युवती बेपत्ता बनाइ हत्या गर्नेलाई कारबाही माग,"बेनी : म्याग्दीको बेनी नगरपालिका९ घतानकी १९ वर्षीय मीना परियारलाई बेपत्ता बनाइ हत्या गर्ने घटनामा संलग्न सबैलाई पक्राउ, सत्यतथ्य छानबिन र दोषीलाई कारबाहीको माग गर्दै बुधबार बेनीमा प्रदर्शन भएको छ। दलित एकता सञ्जाल, परियार सेवा र मिजार समाज म्याग्दीले आयोजना गरेको र्याली बेनी बजार परिक्रमा गरेर जिल्ला प्रशासन कार्यालय अगाडि पुगेर कोणसभामा परिणत भएको थियो। परिवार सेवा समाज म्याग्दीका अध्यक्ष प्रेम परियारले गैरदलितसँगको प्रेम सम्बन्धका कारण गर्भवती अवस्थामा बेपत्ता बनाइ हत्या गरिएकी मीनाको कंकाल भेटिए पनि सबै आरोपीलाई पक्राउ गरि अनुसन्धानमा ढिलाइ भएकाले दबाब दिन कार्यक्रम गरिएको बताए। ६ महिनाकी गर्भवती मीनालाई बेपत्ता बनाउने उनका प्रेमी राम खत्रीलगायत पाँच जनाविरुद्ध किटानी जाहेरी दिएका छौं, मीनाकी भाउजू कमला बर्देवाले भनिन्, जंगलमा गाडिएको अवस्थामा भेटिएको कंकाल, गहना र कपडा मिनाकै भएको पहिचान गरेर जाहेरी दिए पनि प्रक्रियाको बाहनामा सबै आरोपीलाई पक्राउ नगर्दा दोषी उम्कने खतरा छ। गत साउन २७ गते बेनी नगरपालिका९ आँखखेत कालीमूलको जंगलमा गाडिएको अवस्थामा भेटिएको मानव कंकाल, सुनको सिक्री, कपडा र चप्पल २०८० पुस १६ गतेदेखि बेपत्ता मीनाको भएको पहिचान गरेका आफन्तले साउन ३० गते प्रेमी राम खत्रीलगायत पाँच जनाविरुद्ध किटानी जाहेरी दिएका थिए। जाहेरीका आधारमा अनुसन्धानका लागि चार जनालाई पक्राउ गरी हिरासतमा राखिएको र एक जना फरार रहेका जिल्ला प्रहरी कार्यालय म्याग्दीका प्रहरी निरीक्षक राजन रायमाझीले बताए। गंगटा खोज्न गएकाहरूले गाडिएको अवस्थामा मानव कंकाल देखेपछि जनप्रतिनिधिमार्फत प्रहरीलाई खबर गरेका थिए।"
"एनआरएन, निजी क्षेत्र र न्यायाधीशलाई छानबिनको दायरामा ल्याइने","काठमाडौं : प्रतिनिधिसभाको राज्य व्यवस्था तथा सुशासन समितिमा भ्रष्टाचारसम्बन्धी विधेयकमा अख्तियार दुरुपयोग अनुसन्धान आयोगको क्षेत्राधिकारका विषयमा छलफल व्यापकरुप भइरहेको छ। गैरआवासीय नेपाली (एनआरएन), निजी क्षेत्र, न्यायाधीशको छानबिनलाई अख्तियारको दायरामा ल्याउने विषय उठेको छ। अख्तियारले गैरआवासीय नेपाली (एनआरएन)लाई छानबिनको दायरामा ल्याउने प्रस्ताव राखेको छ। अख्तियारले राज्य व्यवस्था तथा सुशासन समितिमा पेस गरेको १० बुँदे सुझावमा भ्रष्टाचार निवारण ऐनमा एनआरएनको कुरा पनि समेट्न सुझाव दिएको छ। अख्तियारले साउन ३१ गते नै पेस गरेको प्रस्तावमा भ्रष्टाचार, अकुत सम्पत्ति आर्जन र घुस, रिसवतअन्तर्गत छानबिनको दायरमा ल्याउने गरी क्षेत्राधिकार विस्तार हुनुपर्ने प्रस्ताव राखेको हो। बुधबारको समितिको बैठकको छलफलका क्रममा सुरुमा यो कुरा प्रधानमन्त्री कार्यालयका सचिव फणीन्द्र गौतमले उठाएका थिए। गौतमले गैरआवासीय नेपालीलाई पनि भ्रष्टाचार निवारण ऐनमा समेट्न अख्तियारले प्रस्ताव गरेको बताए। अख्तियारले भ्रष्टाचार निवारण ऐन संशोधन गर्दा गैरआवासीय नेपाली नागरिकलाई पनि समेट्नुपर्ने माग गरेकाले यसलाई टुंग्याउनुपर्ने हो कि ? गौतमले भने, एनआरएन निजी क्षेत्र हो वा अन्य कुनै हो स्पष्ट गर्दा सहज होला। नेकपा एमालेका सांसद रघुजी पन्तले एनआरएन नेपाली नागरिक हो कि हैन वा विदेशी के हो त्यो कुरा प्रस्ट हुनुपर्ने धारणा राखे। नेकपा एकीकृत समाजवादीका सांसद राजेन्द्रप्रसाद पाण्डेले नयाँ विषय आएको भन्दै छलफल हुनुपर्ने बताए। गैरआवासीय नेपाली नागरिलाई भोटिङ अधिकार छैन, आर्थिक अधिकार दिएपछि के गर्ने हो ? उनले प्रश्न गरे। सांसदहरूको धारणा राखेपछि गृहमन्त्री रमेश लेखकले गैरआवासीय नेपाली नागरिक भनेको नेपाली नागरिककै एक भाग भएको बताए। गैरआवासीय नेपाली नागरिक भनेको नेपाली नागरिककै एक भाग हो। विभिन्न प्रकारमध्ये एक हो। नागरिकता पुनः प्राप्ति छ। राजनीतिबाहेक, आर्थिक, सांस्कृतिक अधिकार दिने भनेको छ। आर्थिक अधिकार गर्न पाउने भनेकाले यो (भ्रष्टाचार मुद्दा लाग्ने विषय) राख्दा हुन्छ भन्ने लाग्छ गृहमन्त्री लेखकले भने। उनले बुधबार नै कुनै निर्णय गर्न नसकिने बताए । सांसद रधुजी पन्त, हितराज पाण्डेलगायतले अर्को बैठकमा छलफल गर्ने प्रस्ताव गरका थिए। भ्रष्टाचार निवारण ऐन २०५९ को संशोधन विधेयकमा अख्तियारले यस्तो प्रावधान राख्नुपर्ने प्रस्ताव गरेको हो। न्यायाधीश र निजी क्षेत्रलाई अख्तियारले छानबिन गर्ने अधिकार माग राज्य व्यवस्था समितिको बैठकमा सांसदहरूले न्यायाधीश र निजी क्षेत्रलाई अख्तियारले छानबिन गर्ने अधिकार बनाउन माग गरेका छन्। समितिको बैठकमा भ्रष्टाचार निवारण ऐन संशोधन विधेयकमाथि आफ्नो धारणा राख्दै नेपाली कांग्रेसका सांसद राजन केसीले उनले यस्तो माग गरे। अख्तियारले मुद्दा हाल्ने तर न्यायाधीशले सफाइ सहजै दिने गरेको भन्दै उनले छानबिन गर्न र अख्तियारले निजी क्षेत्रमा प्रवेश गर्न नहुनेसमेत माग गरे। नेपाल मजदुर किसान पार्टीका सांसद प्रेम सुवालले भ्रष्टाचार मुद्दामा अख्तियारले छानबिन गर्न सक्ने कानुनी व्यवस्था गर्नुपर्ने माग गरेका छन्। बैठकमा बोल्दै सुवालले अहिले भ्रष्टाचार नेता र व्यापारी मिलेर गर्ने भएकाले निजी क्षेत्रलाई पनि अनुसन्धानको दायरमा ल्याउनुपर्ने माग उनले गरे। उनले विगतमा एक जना पनि नेताको काठमाडौंमा घर नभएको तर अहिले बंगला र गाडीहरू कसरी आयो भन्दै प्रश्न गरे। सुवालले छानबिनका लागि आयोग बनाउन समेत सुझाव दिए। सतर्कता केन्द्रले पनि माग्यो कारबाही गर्ने अधिकार राष्ट्रिय सतर्कता केन्द्रले सरकारी कर्मचारीको अनुचित कार्यमाथि कारबाही गर्ने अधिकार आफूलाई दिन माग गरेको छ। राज्य व्यवस्था तथा सुशासन समितिको छलफलमा सतर्कता केन्द्रका प्रहरी नायब महानिरीक्षक निरन्जन विष्टले कसैको पनि क्षेत्राधिकारमा नरहेको अनुचित कार्य आफूहरूलाई दिन माग गरेका हुन्। भ्रष्टाचार अनुसन्धान गर्ने अनुचित कार्य आवश्यक रहेको र माननीयहरू समेतको धारणाका आधारमा अनुचित कार्यमाथि कारबाही गर्ने अधिकार राष्ट्रिय सतर्कता केन्द्रलाई दिन अनुरोध गर्दछु, विष्टले भने। गृहमन्त्री रमेश लेखकले भ्रष्टाचार निवारणसम्बन्धी ऐनमा अनुचित कार्य हेर्नुपर्ने विषय समेत छलफलका लागि पहिचान भएको बताएका थिए ।"
