शीर्षक,विवरण
हिमाली कालो भालुको आतंक बढ्दो,"जोमसोम : मुस्ताङको तलो क्षेत्र थासाङ गाउँपालिकामा हिमाली कालो भालुको आतंकले स्थानीय किसानलाई निकै नै सास्ती पुर्याएको छ। थासाङमा पछिल्लो समय वन्यजन्तु हिमाली कालो भालु र मानव बीचको द्वन्द्व बढ्दै जान थालेको हो। राष्ट्रिय प्रकृति संरक्षण कोष अन्नपूर्ण संरक्षण क्षेत्र आयोजना इलाका संरक्षण कार्यालय जोमसोमको कार्यक्षेत्र रहेको मुस्ताङको थासाङ गाउँपालिकाको तीनवटा हिमाली कालो भालुको आतंकले बढी प्रभावित भएका छन्। त्यसो त उक्त क्षेत्रमा संरक्षित वन्यजन्तु चितुवाले समेत स्थानीय किसानको पशुधनमा क्षति पुर्याउने गरेको पाइएको छ। थासाङको वडा १ ,२ र ३ मा बर्सेनि हिमाली कालो भालुको आतंकले किसानले लगाएको बालीनाली नष्ट गरी क्षति पुर्याउने गरेको थासाङ गाउँपालिकाका उपाध्यक्ष सोमल हिराचनले जानकारी दिए। उपाध्यक्ष हिराचनका अनुसार हिमाली कालो भालुले रातको समय पाक्दै गरेको बालीनाली सखाप पारिदिने गरेको दुःखेसो सुनाए। थासाङको सबै भन्दा बढी भालु प्रभावित क्षेत्र कुञ्जो र ताक्लुङ हो, जति गरे पनि भालुको आतंक रोक्न सकिएन, उपाध्यक्ष हिराचनले भने, मकै पाक्ने बेला र फापर पाक्ने बेलामा भालुले बढी मात्रामा दुःख दिन्छ, भालु आतंकले हाम्रो क्षेत्रमा हैरानै पारिसक्यो। थासाङका उपाध्यक्ष हिराचनले मध्यरातमा खेतबारीमा पसेर हिमाली कालो भालुले बालीनाली सखाप पारिदिने गरेको उल्लेख गरे। उनले भदौ र असोजमा जंगलमा खानेकुरा नपाउँदा भालुले किसानको बालीनाली खाइदिने गरेको बताए। भालुले मुख्यगरी किसानले लगाएको मकैमा ध्वस्त पारिदिन्छ, त्यसपछि फापर बालीमा पसेर बाली खाइदिने र मडारिदिने गर्छ,हामी भालुको आतंकबाट निकै आजित भइसक्यो, उपाध्यक्ष हिराचनले भने। थासाङस्थित कुञ्जो, ताक्लुङ, टिटी, झिप्रा देउराली, धम्पु, नाउरिकोट, सिर्कुङ र सौरु लगायतका गाउँहरूमा हिमाली कालो भालुको आतंकले किसानले लगाएको बालीनालीमा क्षति पुर्याउने गरेको छ। थासाङ गाउँपालिकामा हिमाली कालो भालुको आतंक रोक्नका लागि केही वर्षअघि ओमविकास तथा देउकुमारी फाउन्डेसनको पहलमा महावीर पुनको राष्ट्रिय आविष्कार केन्द्रबाट भालु धपाउने यन्त्र उपकरण व्यवस्थापन गरिएको भएपनि उक्त उपकरण प्रभावकारी बन्न नसकेको थासाङका उपाध्यक्ष सोमल हिराचनले उल्लेख गरे। भालुको आतंक कम गर्न यन्त्र उपकरणको व्यवस्थापन गरिएको थियो, उपाध्यक्ष हिराचनले भने, सुरुमा केही दिन त काम गरेको जस्तो देखिएको थियो, तर, भालुले वास्तविकता थाहा पाएर होला उपकरण चलाउँदा समेत भालुले दुःख दिन भने छाडेन। राष्ट्रिय प्रकृति संरक्षण कोष, अन्नपूर्ण संरक्षण क्षेत्र आयोजना, इलाका संरक्षण कार्यालय जोमसोमले थासाङका हिमाली कालो भालु पीडित किसान घरधुरीलाई क्षति राहत वितरण गरेको छ। कार्यालय चालु वर्षको वार्षिक स्वीकृत कार्यक्रम अन्तर्गतको बजेटमा थासाङका हिमाली कालो भालु पीडित किसान घरधुरीलाई क्षति राहत वितरण गरेको एक्याप जोमसोमका कार्यालय प्रमुख प्रमोदराज रेग्मीले जानकारी दिए। उनका अनुसार थासाङका १,२ र ३ नम्बर वडाका स्थानीय ७१ किसान घरधुरीलाई वन्यजन्तु क्षति राहत वितरण गरिएको हो। यसअघि हिमाली कालो भालु आतंकले पीडित बनेका किसानले क्षति राहतका लागि एक्याप कार्यालयमा निवेदन बुझाएका थिए। सोही निवेदनका आधारमा क्षति मूल्यांकन गरी पीडित किसान घरधुरीलाई क्षति राहत वितरण गरिएको कार्यालय प्रमुख रेग्मीको भनाइ छ। उनले हिमाली कालो भालुले क्षति पुर्याउने गरेको कतिपय स्थानमा एक्यापको सहयोगमा विद्युतीय तारबार लगाउन सहयोग पुर्याएको बताए। एक्यापले सम्बन्धित स्थानका संरक्षण व्यवस्थापन समितिको रोहबरमा क्षति राहत वितरण गरेको जनाएको छ। एक्यापले दिएको जानकारी अनुसार छयोमा १६ घरधुरी, झिप्रा देउरालीमा २२ घरधुरी, कुञ्जोमा १० घरधुरी, ताक्लुङमा ४ घरधुरी र टिटिमा ८ घरधुरी गरी कुल ६० घरधुरीलाई सम्बन्धित स्थानमा पुगेर १ लाख ४३ हजार क्षति राहत वितरण गरेको हो। थासाङ३ छयोमा ४ घरधुरीलाई कुल २३ हजार १२० रुपैयाँ क्षतिपूर्ति प्रदान गरिएको छ। यस्तै थासाङ२ को सौरु, सिर्कुङ र नाउरिकोटमा गरी १३ घरधुरीलाई २४ हजार क्षतिपूर्ति वितरण गरिएको हो। एक्यापले हिमाली कालो भालुको आतंकले क्षति बनाएको मकैको खोया मूल्यांकन गरी क्षति राहत उपलब्ध गराउने गरेको कार्यालय प्रमुख रेग्मीले प्रस्ट्याए। एक्यापले मानव र वन्यजन्तुको द्वन्द्व न्यूनीकरण गर्न र सहअस्तित्व जर्गेनामा यसप्रकारको क्षति राहत वितरण कार्यक्रमले निकै ठूलो टेवा पुर्याउने अपेक्षा गरेको छ।"
ट्याक्टरबाट खसेर किशोर घाइते,दोलखा : भीमेश्वर नगरपालिकामा ट्याक्टरबाट खसेर किशोर गम्भीर घाइते भएका छन्। भीनपा ४ स्थित अपर रोडबाट चरिकोटतर्फ आउँदै गरेको लु ४ त २१२६ नम्वरको ट्याक्टरको पछाडि बसेका वैतेश्वर गाउँपालिका४ घर भई हाल भीमेश्वर नगरपालिका३ चरिघ्याङ बस्ने युवराज बस्नेत गुडिरहेको ट्याक्टरबाट खसेर घाइते भएको प्रहरी कार्यालय दोलखाले जनाएको छ। घाइते बस्नेतलाई दोलखा सदरमुकाम चरिकोटस्थित च्छोरोल्पा अस्पतालमा उपचारपछि थप उपचारका लागि हेलिकोप्टरमार्फत काठमाडौँको ग्राण्डी अस्पतालमा लगिएको तर अवस्था चिन्ताजनक रहेको जनाएको छ। दुर्घटना लगत्तै फरार भएका चालक मकवानपुर घर भएका अशोक रुम्बालाई नियन्त्रणमा लिई थप अनुसन्धान भइरहेको जनाएको छ।
गैरकानुनी रूपमा अमेरिका छिरेका ७ नेपाली निष्कासित,"काठमाडौं : गैरकानुनी ढंगले प्रवेश गरेका सातजना नेपालीलाई अमेरिकाले निष्कासन गरेको छ। उनीहरू गैरकानुनी ढंगले अमेरिका प्रवेश गरेका थिए। निष्कासित हुनेहरूमा जनार्दन रिजाल, चन्द्र अग्री, रुकसिंह बिसी, कमल बिक, सञ्जय भण्डारी, अमित बिसी र अमृत पौडेल रहेका छन्। उनीहरूलाई अमेरिकाले विमान चार्टर गरेर काठमाडौंसम्म ल्याएको हो। उनीहरू कहिले पक्राउ परे भन्ने केही खुलेको छैन। यद्यपि उनीहरू गैरकानुनी ढंगले अमेरिका छिरेको र त्यहाँको अध्यागमन कानुन उल्लंघन गरेको उनीहरूमाथि आरोप छ। अमेरिकी अध्यागमनले उनीहरूलाई बिहीबार साँझ काठमाडौं ल्याइपुर्याएको प्रहरीको उच्च स्रोतले पुष्टि गरेको छ। यस्तै अध्यागमन कानुन उल्लंघन गरेको आरोपमा विनोद नेपाली र विनायक देवकोटालाई समेत निष्कासन गरेको छ। उनीहरूमाथि समेत त्यहाँको अध्यागमन कानुन उल्लंघन गरेको आरोप छ। नपाली र देवकोटालाई भने छुट्टै पठाएको हो। पछिल्लो समय गैरकानुनी रूपमा अमेरिका छिरेका आप्रवासीहरूमाथि कडाइ गरेको छ।"
बास बस्न आएका पुरुषको हत्या गरी फरार रहेकी कमला १५ वर्षपछि पक्राउ,काठमाडौं : कर्तव्य ज्यान मुद्दाकी आरोपी कमला गोले तामाङ १५ वर्षपछि पक्राउ परेकी छन्। उनले दोलखाको गैरीमुदी गाविस ३ का वीरबहादुर तामाङलाई खुकुरी प्रहार गरी हत्या गरेकी थिइन। दोलखाको वैतेश्वर गाउँपालिका१ की कमला तामाङले आफ्नो घरमा बास बस्न आएका वीरबहादुरलाई शरीरका विभिन्न भागमा धारिलो हतियार प्रहार गरी हत्या गरेकी थिइन। २०६७ असोज २० गते राति हत्यागरेपछि उनी फरार थिइन्। उनीविरुद्ध चलेको कर्तव्य ज्यान कसुरमा सर्वोच्च अदालतले २०७२ सालमा १२ वर्ष कैद सजाय तोकेको थियो। हत्यापश्चात विभिन्न ठाउँमा लुकीछिपी भाग्दै हिँडेकी कमलालाई सीआइबी टोलीले यही मंसिर २० गते पक्राउ गरेको हो। उनलाई गोकणेश्वर ४ काठमाडौंबाट पक्राउ गरिएको प्रहरीले बताएको छ।
त्रिभुवन विमानस्थलको अध्यागमन कार्यालयमा भीभीआईपीभीआईपी डेक्स सञ्चालन,काठमाडौं : त्रिभुवन अन्तर्राष्ट्रिय विमानस्थलमा रहेको अध्यागमन कार्यालयमा आजदेखि भीभीआईपीभीआईपी डेक्स सञ्चालन भएको छ । प्रधानमन्त्री केपी शर्मा ओली चीन भ्रमण सकेर स्वदेश फर्कदा मुख्यसचिव एकनारायण अर्यालले डेक्सको अवलोकन गरेर आज सेवा सुचारु गरिएको अध्यागमन कार्यालयले जनाएको छ। यसबाट भीभीआईपीभीआईपी पदाधिकारीको डिपार्चर र एराईभल सोहि डेक्सबाट हुने प्रमुख अध्यागमन अधिकृत तीर्थराज भट्टराईले जानकारी दिए।
"भुटानका राजा भोलि काठमाडौं आउँदै, बौद्ध र स्वयम्भूनाथको दर्शन गर्ने","काठमाडौं : भुटानका राजा जिग्मे वाङचुक भोलि बिहान नेपाल आउने भएका छन्। ड्रुक एयरको उडान नम्बर केबी २०५ बाट उनी शुक्रबार बिहान काठमाडौं आउने भएका हुन्। भारत भ्रमणमा रहेका भुटानी राजा वाङचुक भोलि दिल्लीबाट काठमाडौं आउने भएका हुन्। काठमाडौं आएपछि उनी बौद्धनाथ र स्वयम्भूनाथको दर्शन गर्न जाने छन्। भुटानी राजा वाङचुक १९ सदस्यीय भ्रमण दलको नेतृत्व गर्दै काठमाडौं आउन लागेका हुन्। भ्रमण दलमा राजासहित ऊर्जामन्त्री, विदेशसचिव, नेपालका लागि भुटानी राजदूत, सुरक्षा अधिकारी लगायत सदस्य रहेका छन्। भुटानका राजा नेपाल आउने भएसँगै गृह मन्त्रालयले उनका लागि उच्च सुरक्षा व्यवस्था कायम गरेको छ। उनका सुरक्षाका लागि तीनवटै सुरक्षा निकाय खटिने छन्। भुटानी राजा दर्शनका लागि जाने बौद्धनाथ, स्वयम्भूनाथ र त्यस आसपासका क्षेत्रको सुरक्षा व्यवस्थामा कडाइ गरेको छ। भुटानी राजा वाङचुक भोलि अपराह्न नै भुटान फर्कने छन्।"
अस्पताललाई एन्टिरेबिज खोप हस्तान्तरण,नुवाकोट : नुवाकोटको विभिन्न बजार तथा आसपासका क्षेत्रमा भुस्याहा कुकुरको बिगबिगी बढेको छ। विदुर नगरपालिका तथा आसपासका क्षेत्रभित्र सार्वजनिक स्थानमा भुस्याहा कुकुरको बिगबिगी बढिरहेको स्वास्थ्यकर्मीहरू बताउँछन्। बजारका केही स्थानहरूमा मानिसहरूलाई आक्रमण गर्नुका साथै टोकिरहेको जनस्वास्थ्य निरीक्षक रामराजा भण्डारीले बताए। भुस्याहा कुकुरको बिगबिगी भई सर्वसाधारणलाई आक्रमण गर्न थालेपछि यसको नियन्त्रणमा विदुर नपाले सक्रियता देखाएको छ। नुवाकोटमा एन्टी रेबिज खोप (भ्याक्सिन)को अभावमा बिरामीलाई सेवा दिन समस्या भएको स्वास्थ्यकर्मीहरूको गुनासो रहेको छ। नुवाकोट जिल्ला अस्पताल त्रिशूलीमा एन्टी रेबिज भ्याक्सिनको अभावले उपचार गर्न समस्या भएपछि अस्पतालबाट माग भएअनुसार विदुर नपाको तर्फबाट माग बमोजिम भ्याक्सिन प्रदान गरिएको स्वास्थ्य शाखाले जनाएको छ। त्रिशूली अस्पताललाई ४० डोज एन्टी रेबिज भ्याक्सिन विदुर नपाका मेयर राजन श्रेष्ठले त्रिशूली अस्पतालका निर्देशक डा राजेन्द्र लामालाई हस्तान्तरण गरे।
"लिलाबल्लभलाई मुद्दा नचलाउने निर्णयविरुद्ध सर्वोच्चमा रिट दर्ता, आइतबार पेशी","काठमाडौं : कोशी प्रदेशका निवर्तमान आन्तरिक मामिला तथा कानुनमन्त्री लिलाबल्लभ अधिकारीविरुद्ध मुद्दा नचलाउने निर्णयविरुद्ध सर्वोच्च अदालतमा रिट दर्ता भएको छ। यसअघि आइतबार वरिष्ठ अधिवक्ता दिनेश त्रिपाठीले अधिकारीमाथि मुद्दा नचल्ने जिल्ला सरकारी वकिलको कार्यालय काठमाडौंको निर्णय बदरको माग गर्दै पुन:अनुसन्धान गरी मुद्दा दायर गर्ने निर्देशन माग गर्दै सर्वोच्चमा रिट निवेदन दिएका थिए। तर,अदालतका रजिष्ट्रार भद्रकाली पोखरेलले उक्त रिट दरपीठ गरिदिएका थिए। रिट दरपीठ गरिदिएपछि अधिवक्ता त्रिपाठीले आज पुन: दायर गरेको रिट सर्वोच्चले दर्ता गरेको हो। निवेदनको सुनुवाइका लागि आइतबार पेशी तोकिएको छ। मानव तस्करको आरोपमा गत कार्त्तिक २५ गते अधिकारी पक्राउ परेका थिए। जिल्ला सरकारी वकिलको कार्यालय काठमाडौंले अधिकारीविरुद्ध मुद्दा नचल्ने निर्णय गरेपछि उनी ११ मंसिरमा हिरासतमुक्त भएका थिए। जापान भ्रमणमा जाने क्रममा मानव तस्करी गरेको आरोप अधिकारीमाथि छ। नक्कली परिचयपत्र बनाई संगठित गिरोहलाई रकम बुझाएर जापान पुगेका तीन युवालाई जापानको अध्यागमनबाट फिर्ता गरिएलगत्तै त्रिभुवन अन्तर्राष्ट्रिय विमानस्थलबाट पक्राउ गरेर प्रहरीले अनुसन्धानको दायरामा ल्याएको थियो। नक्कली कागजात बनाएर जापान पुगेका रसुवाका कञ्चन देवकोटा, खोटाङका दावा शेर्पा र जनक राईलाई प्रहरीले पक्राउ गरेर अनुसन्धान गरिरहेको छ। तत्कालीन मन्त्री अधिकारी आर्ट्स काउन्सिल टोकियोले अक्टोबर २९ देखि नोभेम्बर ३ सम्मका लागि आयोजना गरिएको कल्चर एट होट कार्यक्रममा भाग लिन भनेर जापान गएका थिए। अधिकारीले भने तीनजनालाई आफूले हङकङमा भेटेको र फिर्ता ल्याएर नेपाल प्रहरीको जिम्मा लगाएको बताउँदै आएका छन्। तीन जनामध्ये शेर्पासँग खोटाङको ऐंसेलुखर्क२ को वडा सदस्यको नक्कली परिचयपत्र थियो भने देवकोटा र राईले कोशी प्रदेशको आन्तरिक मामिला तथा कानुन मन्त्रालयको कर्मचारीको परिचयपत्र बोकेका थिए ।"
एनपीएलमा बेटिङ खेलाउने ७ जना पक्राउ,"काठमाडौं : कीर्तिपुरस्थित खेलमैदानमा चलिरहेको एनपीएलमा अनलाइन जुवा खेलाएको आरोपमा बिहीबार ३ जना पक्राउ परेका छन्। उनीहरूलाई त्रिवि क्रिकेट मैदानबाटै पक्राउ गरिएको हो। पक्राउ पर्नेमा भारत विहार झारखण्डका सन्दीप कुमार सिंह, प्रिन्सु कुमार सिंह र राकेस शर्मा रहेका छन्। नेपाल प्रहरीको केन्द्रीय अनुसन्धान ब्युरो (सीआईबी)को टोलीले सोमबार दुई र मंगलबार दुईजना भारतीय नागरिक र बिहीबार तीन जनालाई पक्राउ गरेको हो। सीआईबीका प्रवक्ता होविन्द्र वोगटीका अनुसार उनीहरूले मैदानमा नै अनलाइन जुवा बेटिङ खेलाएका थिए। सोमबार पक्राउ पर्नेमा सुमन घोस अमित यादव, मंगलबार पक्राउ पर्नेमा विहारका सुमन्त कुमार र बज्रेस कुमार रहेका छन्। उनीहरूको साथबाट प्रहरीले ६ वटा विभिन्न कम्पनीका मोबाइल र चारवटा भारतीय आधार कार्ड समेत फेला पारेको छ। उनीहरूले एनपीएल भएकै स्थानमा बसेर विभिन्न नामका अनलाइन बेटिङ एप मार्फत पैसाको हारजित हुनेगरी सट्टेबाजी खेलाएका थिए।"
जब प्रधानमन्त्री ओली चीन भ्रमण सकेर नेपाल फर्किए (तस्बिर),"काठमाडौं : प्रधानमन्त्री केपी शर्मा ओली चीन भ्रमण सकेर स्वदेश फर्किएका छन्। चीनको चार दिने भ्रमण सकेर प्रधानमन्त्री ओली बिहीबार दिउँसो त्रिभुवन अन्तर्राष्ट्रिय विमानस्थल आइपुगेका हुन्। ओली स्वदेश फर्किदा त्रिभुवन अन्तर्राष्ट्रिय विमानस्थलको अति विशिष्ट कक्षमा उपप्रधानमन्त्री प्रकाशमान सिंह, गृहमन्त्री रमेश लेखक तथा नेपाल सरकारका उच्च पदस्थ अधिकारीहरुले स्वागत गरेका थिए। यसैगरी नेपाली सेनाको एक टुकडीले सम्मान गर्दै सलामी अर्पण गरेको थियो। सोमबार चीन प्रस्थान गरेका प्रधानमन्त्री ओलीले बेइजिङमा प्रधानमन्त्री ली छ्याङ र राष्ट्रपति सी चिनफिङसँग भेटवार्ता गरेका थिए। भ्रमणमा प्रधानमन्त्री ओली र उनका चिनियाँ समकक्षी लीको उपस्थितिमा नेपाल र चीनबीच विभिन्न समझदारी भएका थिए। यसैगरी चीनको बेल्ट एन्ड रोड इनिसिएटिभ (बीआरआई) परियोजनाका लागि नेपाल र चीनबीच फ्रेमवर्क सम्झौतामा सहमति भएको छ। ओलीले विमानस्थलमा भएको पत्रकार सम्मेलनमा भने नेपाल र चीनबीच फ्रेमवर्क सम्झौताऋण सम्झौता नभएको जानकारी दिए। उनले चिनियाँ राष्ट्रपतिसँग हाम्रो मित्रता अरु कसैका विरुद्धमा नभई हाम्रै पक्षमा भएको बताए । हेर्नुहोस् तस्बिरहरू : तस्बिर : अभिषेक महर्जन"
