शीर्षक,विवरण
बाबुछोराबाट ६६ लाख बढी लग्ने गिरोह पक्राउ,"विराटनगर : आकर्षक कमाइको लोभ देखाएर वैदेशिक रोजगारीमा पठाइदिने भन्दै ६६ लाख रूपैयाँभन्दा बढी रकम ठगी गरेको गिरोहलाई मोरङ प्रहरीले पक्राउ गरेको छ। मोरङ प्रहरीका प्रवक्ता डीएसपी वेदप्रकाश जोशीका अनुसार पीडितले दिएको जाहेरीका आधारमा भारतीय नागरिकसहित ५ जनाको समूहलाई पक्राउ गरिएको हो। उनका अनुसार भारतीय नागरिककै योजनामा ठगी गरेको पाइएको छ। पक्राउ पर्नेमा भारतको जोगवनीका २३ वर्षीय केशव यादव, मोरङको कटहरी गाउँपालिका३ का २२ वर्षीय रोहितकुमार पासवान, ३० वर्षीय बुद्धनारायण मलाह, पथरीशनिश्चरे नगरपालिका५ का २५ वर्षीय वोधराज राजवंशी र विराटनगर महानगरपालिका८ का २३ वर्षीय करण भनिने अमित राय छन्। एउटै परिवारका बाबुछोरालाई विदेश पठाउने भनेर ६६ लाख बढी ठगेपछि प्रहरीले गिरोहलाई फेला पारेको हो। डीएसपी जोशीका अनुसार पक्राउ परेको गिरोहले वाट्सएप, टेलिग्राम, भाइबरसमेतका सामाजिक सञ्जालमा विज्ञापन गरेर युरोप, अमेरिका, कुबेत, दुबईसमेतका देश पठाउने भन्दै रकम ठगी गर्ने गरेको पाइएको छ। क्यानडा पठाइदिने भनेर विभिन्न समयमा अनलाइनमार्फत ६६ लाख ६७ हजार रूपैयाँ ठगी गरेको भनेर विराटनगर११ का महेशकुमार चौधरीले प्रहरीमा जाहेरी दिएका थिए। महेश र उनका छोरा युपेशकुमार चौधरीबाट उक्त रकम ठगी गरेको प्रहरीको प्रारम्भिक अनुसन्धानबाट खुलेको छ। विदेशी मोबाइल नम्बरबाट खोलिएको वाट्सएप प्रयोग गरी ठगी गरेको जोशी बताउँछन्। भिसाका लागि भनेर आवश्यक कागजातसमेत पठाएर भ्रम एवं प्रलोभनमा पारी रकम ठगेको प्रहरीको भनाइ छ। रकम पठाउन विभिन्न व्यक्तिहरुको बैंक खाता प्रयोग गरेको पाइएको प्रहरीको प्रारम्भिक अनुसन्धानबाट खुलेको छ। जिल्ला प्रहरी कार्यालय मोरङबाट खटिएको टोलीले गिरोहका ५ जनालाई माघ ८ गते पक्राउ गरेको हो। गिरोहविरुद्ध ठगी मुद्दा चलाउन अदालतबाट म्याद थप गरेर अनुसन्धानको बाँकी प्रक्रिया अघि बढाइएको डीएसपी जोशीले बताए। मोरङ प्रहरी प्रमुख एसपी नारायणप्रसाद चिमरियाका अनुसार पक्राउ परेकामध्ये ठगीमा भारतीय नागरिक केशव यादवको विशेष संलग्नता छ। उनी ठगीका मुख्य योजनाकार हुन्। यादवले नै पैसाको प्रलोभन देखाएर नेपाली युवाहरुलाई ईसेवा, खल्तीजस्ता डिजिटल वालेट तथा बैंक खाताहरु खोल्न लगाएको चिमरियाको भनाइ छ। डिजिटल वालेट तथा बैंक खाताको युजर एक्सेस र पासवर्ड लिएर यादव आफूले कारोबार गर्ने गरेको उनले बताए। उनका अनुसार पक्राउ परेका अरु ४ जना नेपाली युवाहरु यादवले ठगीमा प्रयोग गरेका व्यक्तिहरु हुन्। एसपी चिमरिया पछिल्लो समय सामाजिक सञ्जालको प्रयोग गरेर ठगी गर्ने प्रवृत्ति बढेको बताउँछन्। सर्वसाधारणलाई विभिन्न प्रलोभन एवं भ्रममा पारेर ठगी गर्ने क्रम बढेको उल्लेख गर्दै उनले प्रविधिको प्रयोगमा ध्यान दिन जरुरी रहेको बताए। पछिल्लो समय सामाजिक सञ्जालमार्फत ठगी गर्ने क्रम बढेको छ । प्रविधिको प्रयोग गरेर ठगिएका उजुरीहरु प्रहरीमा आउने क्रम बढ्दो छ। यस विषयमा सामाजिक सञ्जाल प्रयोगकर्ता आफैं सचेत हुनुपर्छ। पछुताउनु र दुःख पाउनुभन्दा बेलैमा सावधानी अपनाउँदा ठगी वा कुनै समस्यामा पर्ने सम्भावना हुँदैन, एसपी चिमरियाले भने। अपरिचितले कुनै प्रलोभनमा पार्ने प्रयास गरेमा तत्काल प्रहरीमा जानकारी दिन र होसियारी अपनाउन सबैमा उनको आग्रह छ। एसपी चिमरियाले अपरिचितलाई चाँडै विश्वास गर्न नहुने र आफैं सचेत बन्नुपर्ने बताए।"
"युरोपमा पनि अवैध नेपालीमाथि धरपकड, स्पेनले गर्यो ५ नेपालीलाई निष्कासन","काठमाडौं : पछिल्लो समय अमेरिकामा मात्र होइन, विश्वभरिबाट निष्कासनमा पर्ने नेपालीहरूको संख्या बढेको छ। विभिन्न प्रलोभनमा परेर विदेशिएका नेपालीहरू कानुन उल्लंघनको आरोपमा निष्कासनमा पर्ने गर्ने गरेका हन्। त्यस्ता नेपालीहरू दिनहुँ त्रिभुवन अन्तर्राष्ट्रिय विमानस्थलमा ओर्लिने गरेको अध्यागमन स्रोतले जानकार दिएको छ। गत साता युरोपेली मुलुक स्पेनबाट चार जना नेपाली निष्कासनमा परेका हुन्। निष्कासनमा पर्नेमा अनिल बिसी, चिरञ्जिवी शाही, प्रेमराजा बोहोरा, बेलबहादुर कार्की र लोकेन्द्र केसी रहेका छन्। कतार एयरलायन्सको जहाजबाट उनीहरूलाई नेपाल फर्काइएका हुन्। अध्यागमन कानुन उल्लंघन गरेको आरोप उनीहरूलाई स्पेनले निष्कासन गरेको हो। उनीहरू चारै जनासँग पासपोर्टसमेत नरहेको बताइएको छ। पासपोर्ट फ्याँकेर लुकिछिपी बसोबास गर्दै आएका उनीहरूलाई स्पेनको अध्यागमनले निष्कास गरेको स्रोतको भनाइ छ। अमेरिकी राष्ट्रपति डोनाल्ड ट्रम्पले नयाँ कार्यकारी आदेश जारी गरेपछि अमेरिकामा रहेका नेपालीहरू पनि प्रभावित बनेका छन्। ट्रम्प प्रशासन लागू भएपछि केही दिनअघि मात्रै अमेरिकी अध्यागमनले लोकबहादुर ओली, लीलाबहादुर केसी र दीपक केसीलाई निष्कासन गरेको थियो। उनीहरूलाई एयर इन्डियाबाट भारत हुँदै नेपाल पठाइएको थियो। त्यस्तै हालै मलेसियाले १६ जना, टर्कीले ५ जना, दक्षिण कोरियाले पटकपटक गरी ८ जना, जापानले ९ जना, माल्दिभ्सले ३ जना नेपालीलाई निष्कासन गरेको थियो। आकर्षक वैदेशिक रोजगारीको प्रलोभनमा विदेशिएका नेपालीहरू त्यहाँको कानुनबारे जानकार नहुँदा निष्कासनमा पर्ने गरेको विज्ञहरूले बताएका छन्।"
झापामा पिकअपको ठक्करबाट स्कुटर चालकको मृत्यु,झापा : झापामा पिकअपको ठक्करबाट स्कुटर चालकको मृत्यु भएको छ। दुर्घटनामा शिवसताक्षी नगरपालिका९ का १९ वर्षीय सुजल अधिकारीको मृत्यु भएको जिल्ला प्रहरी कार्यालय झापाले जनाएको छ। पूर्वपश्चिम राजमार्ग अन्तरगत शिवसताक्षी नगरपालिका११ स्थित झरना पुलनजिक मंगलबार दिउँसो साढे २ बजेको समयमा बिर्तामोडबाट दमकतर्फ जाँदै गरेको प्र १०२००२ च ६४५४ पिकअप र विपरीत दिशाबाट आउँदै गरेको प्र १०१०१२ प ३३७१ नम्बरको स्कुटर एकआपसमा ठोक्किँदा दुर्घटना भएको थियो । दुर्घटनामा घाइते भएका अधिकारीलाई बीएण्डसी अस्पताल बिर्तामोड पुर्याउँदा डाक्टरले चेकजाँच गर्दा मृत्यु भइसकेको थियो । पिकअप चालक तेह्रथुम म्याङ्लुङ नगरपालिका ४ का ३६ वर्षीय अर्जुन शंकरलाई इलाका प्रहरी कार्यालय सुरुङ्गाले नियन्त्रणमा लिएको जनाइएको छ ।
झापामा ५५ हजार किशोरीलाई पाठेघरको मुखको क्यान्सर रोगविरूद्वको खोप लगाइँदै,"झापा : झापा जिल्लामा ५५ हजार किशोरीलाई पाठेघरको मुखको क्यान्सर रोगविरूद्वको एचपीभी खोप लगाइने भएको छ। जिल्ला स्वास्थ्य कार्यालय झापाका अनुसार विद्यालय बाहिर रहेका १० देखि १४ वर्ष उमेर समूहका ८ हजार ९८१ सहित विद्यालयमा अध्ययनरत कक्षा ६ देखि कक्षा १० सम्मका ४६ हजार १८ गरी ५४ हजार ९९९ जना किशोरीलाई एचपीभी खोप लगाउने जनाएको छ। माघ २२ गते विश्व क्यान्सर दिवसका दिनदेखि माघ २९ गतेसम्म एचपीभी खोप अभियान जिल्लाभर सञ्चालन गर्न लागेको स्वास्थ्य कार्यालय झापाका प्रमुख रमेश बाह्रकोटीले जानकारी दिए। स्वास्थ्य कार्यालयमा मंगलबार आयोजना गरेको एचपीभी खोप अभियान अन्तरगत सञ्चारकर्मीहरुसँग गरिएको अभिमुखीकरण कार्यक्रममा बोल्दै स्वास्थ्य प्रमुख बाह्रकोटीले विद्यालय भन्दा पनि विद्यालय बाहिर रहेका किशोरीहरुलाई खोप लगाउने चौनती देखिएको बताए। कोभिड१९ जस्तै यो खोप पनि अतिआवश्यक रहेकाले विद्यालय बाहिर रहेका किशोरीहरूको पहिचान गरी एक डोज खोप लगाउन स्वास्थ्यकर्मी र स्वयमसेवक वडावडामा परिचालन गरिने उनको भनाइ छ। मेचीनगर, दमक र बिर्तामोडमा माघ २९ गतेसम्म खोप अभियान सञ्चालन हुनेछ । अन्य पालिकाहरुमा माघ २७ गतेसम्म सञ्चालन हुने जनस्वास्थ्य अधिकृत प्रवीण पाठकले जानकारी दिए। उनका अनुसार जिल्लाभर ५७५ विद्यालयमा सञ्चालन हुने खोप अभियानमा ७५५ खोप केन्द्र, ७८१ स्वास्थ्यकर्मी र एक हवार ५१५ स्वयमसेवक खटाइने बताए। पाठेघरको मुखको क्यान्सर विश्वमा चौथो तथा नेपालमा दोस्रो स्थानमा रहेको तथ्याङ्कमा उल्लेख छ। अन्य क्यान्सर रोगभन्दा नेपालमा पाठेघरको मुखको क्यान्सरबाट मृत्यु हुनेको संख्या पहिलो नम्बरमा पर्छ। नेपालमा हरेक एक दिनमा चारजनाको मृत्यु हुने गरेको अध्ययनले देखाएको जनस्वास्थ्य अधिकृत पाठकको भनाइ छ। यो रोगको लक्षणहरूमा तल्लो पेट दुख्ने, योनीबाट गन्हाउने पानी बग्ने, अनियमित रूपमा रगत बग्ने, कमजोरी महसुस हुने, रक्त अल्पता हुने लगायत रहेका छन्। एचपीभीको २०० भन्दा बढी किसिमका प्रजातिहरू हुन्छन्। यसमध्ये कम्तिमा १२ वटा प्रजाति पाठेघरको मुखको क्यान्सर गराउने प्रमुख कारक मानिन्छ भने यस मध्ये पनि १६ र १८ प्रजाति प्रमुख कारक हुन्। नेपालमा ८० प्रतिशत पाठेघरको मुखको क्यान्सर १६ र १८ प्रजातिबाट भएको देखिन्छ। त्यसैले किशोरीहरुलाई सिकोलिन नामक एचपीभी खोप लगाइने उनले बताए।"
नक्कली भुटानी शरणार्थी प्रकरण : सर्वोच्चले सोध्यो सचिव पाण्डेलाई थुनामा राख्नुको कारण,"काठमाडौं : सर्वोच्च अदालतले नक्कली भुटानी शरणार्थी प्रकरणमा पक्राउ परेका सचिव टेकनारायण पाण्डेलाई थुनामुक्तको माग गर्दै दर्ता भएको बन्दीप्रत्यक्षीकरणको रिटमा कारण देखाउ आदेश जारी गरेको छ। न्यायाधीश डाकुमार चुडालको इजलासले पाण्डेलाई थुनामा राख्नुको कारण सोधेको हो। यसअघि माघ १३ र १४ गते सुनुवाइका लागि रिटको पेशी प्रधानन्यायाधीश प्रकाशमान सिंह राउतको इजलासमा तोकिए पनि 'हेर्न नमिल्ने' सूचीमा परेको थियो। आफ्ना पतिलाई गैरकानुनी रुपमा थुनामा राखेको भन्दै पाण्डेकी श्रीमती मञ्जु पाण्डेले गत शुक्रबार सर्वोच्चमा बन्दीप्रत्यक्षीकरणको रिट दायर गरेकी हुन्। प्रधानमन्त्री तथा मन्त्रिपरिषदको कार्यलय,गृह मन्त्रालय, काठमाडौँ जिल्ला अदालत ,महान्यायाधिवक्ताको कार्यालय ,काठमाडौँ जिल्ला सरकारी वकिलको कार्यालय,काठमाडौँ जिल्ला प्रहरी परिसर र सर्वोच्च अदालतलाई रिटमा विपक्षी बनाइएको छ। नक्कली भुटानी शरणार्थी प्रकरणमा पाण्डे गत बैशाख २० गते पक्राउ परेका थिए। नक्कली शरणार्थी प्रकरणमा जिल्ला अदालत काठमाडौंले बालकृष्ण खाँण,टोपबहादुर रायमाझी तथा सचिव पाण्डेसहित १६ जनालाई पुर्पक्षका लागि जेल चलान गर्ने आदेश गरेको थियो। जिल्ला अदालतको उक्त आदेशविरुद्ध खाँणसहित १६ जना उच्च अदालत पाटन पुगेका थिए। पछि खाँण उच्च अदालतको आदेशमा ३० लाख धरौटी बुझाएर रिहा भएका थिए। पाण्डेसहित अन्यलाई भने कारागारमै पठाएको थियो।"
सरकारविरुद्ध समाजवादी मोर्चा उचाल्दै प्रचण्ड,"उनले समाजवादी मोर्चालाई सशक्त नबनाइए मूख्य दलले देशलाई दुर्घटनामा पुर्याउन सक्ने उल्लेख गरे। काठमाडौं : नेकपा माओवादी केन्द्रका अध्यक्ष पुष्पकमल दाहाल प्रचण्डले संविधान संशोधनका नाममा प्राप्त अधिकार खोसिने खतरा उत्पन्न भएको बताएका छन्। समाजवादी मोर्चाले मंगलबार काठमाडौंमा आयोजित राष्ट्रिय राजनीति र समाजवादी मोर्चाको कार्यभार विषयक विचार सभामा बोल्दै प्रचण्डले प्राप्त अधिकार खोस्ने गरी संविधान संशोधन गर्न खोजेको भन्दै त्यस्तो कदम आफूहरुलाई स्वीकार्य नहुने समेत बताएका हुन्। यद्यपी, संविधान संशोधनको प्रचण्डले विरोध गरेपनि समाजवादी मोर्चाकै घटक नेकपा एकीकृत समाजवादीले संविधान संशोधन सम्बन्धी अध्ययन कार्यदल गठन गरेको छ। सत्तारूढ नेपाली कांग्रेस र नेकपा एमालेले संविधान संशोधन सुझाव कार्यदल गठनको गृहकार्य अगाडि बढाएपछि नेकपा एसले पनि उपाध्यक्ष प्रकाश ज्वालाको नेतृत्वमा उपमहासचिव गरिमा शाह,सचिव गणेशबहादुर विश्वकर्मा, स्थायी कमिटी सदस्य रामचन्द्र यादव, पोलिटब्युरो सदस्य घनप्रसाद गौतम,पोलिटब्युरो सदस्य राजन राई, गोविन्द बन्दी र शंकर सुवेदी सदस्य रहेका कार्यदल गठन गरेका छन्। प्रचण्डले सरकारका विगत ६ महिनाका कदम हेर्दा प्रमुख दल र सरकार प्रतिगमनको यात्रामा देखिएकाले समाजवादी मोर्चालाई सशक्त नबनाइए देशलाई दुर्घटनामा पुर्याउन सक्ने उल्लेख गरे। उनले अलोकतान्त्रिक र निरङ्कुश तरिकाले अध्यादेश ल्याइएको आरोप लगाए। माघ १८ गतेको सदन बस्नुभन्दा अगाडि विपक्षी दलहरुको बैठक बसेर साझा धारणा बनाउने र त्यसै अनुसार सदनमा प्रस्तुत हुने उनको भनाइ छ। उनले आफ्नाले जतिसुकै अपराध गरेका भए पनि तुरुन्तै चोख्याउने र राजनीतिक विरोधीलाई प्रतिशोध साँध्ने काम भएको समेत बताए।प्रचण्डले समाजवादी मोर्चालाई गति दिने प्रयास र विपक्षीहरूलाई उद्देश्यमूलक ढंगले अघि बढाउने प्रयास देशप्रतिको चिन्तामा आधारित रहेको उल्लेख गरे।"
नेपालमा प्रत्यक्ष निर्वाचित राष्ट्रपति प्रणाली बनाउनु हुँदैन : पूर्वप्रधानमन्त्री नेपाल,"काठमाडौं : नेकपा एकीकृत समाजवादी अध्यक्ष माधव कुमार नेपालले प्रत्यक्ष निर्वाचित राष्ट्रपति प्रणालीमा नेपाललाई लैजान नहुने बताएका छन्। समाजवादी मोर्चाले मंगलबार काठमाडौंमा आयोजना गरेको कार्यक्रममा उनले नेपालजस्तो संवेदनशील देशमा प्रत्यक्ष निर्वाचित राष्ट्रपति प्रणाली हानिकारक हुने टिप्पणी गरेका हुन्। प्रत्यक्ष निर्वाचित राष्ट्रपति प्रणाली भयो भने के होला हालत ? अमेरिकामा अहिले भागाभाग छ । नेपालजस्तो देशमा प्रत्यक्ष निर्वाचित प्रणालीमा जान धेरै बहस गर्नुपर्छ। मेरो धारणा फरक छ, प्रत्यक्ष निर्वाचित राष्ट्रपतिजस्तो घाँडो प्रणालीमा गयो भने के होला देशको हालत ?पूर्वप्रधानमन्त्री नेपालले भने। उनले वर्तमान सरकारबाट जनताले कुनै आशा गर्न नसकेको बताए। सरकारले काम भन्दा कुरा धेरै गर्ने गरेको भन्दै सरकारबाट जनता निराश भएको बताए। जनताले वर्तमान सरकारको विकल्पको खोजी गरिरहेको उल्लेख गर्दै २०८४ मा विकल्प दिने गरी समाजवादी मोर्चालाई अगाडि बढाउनुपर्ने समेत बताए। समाजवादको लक्ष्य हासिल गर्दै समाजलाई रुपान्तरण गर्न समाजवादी मोर्चा एक भएर अघि बढ्नुपर्ने उनको भनाई छ। अध्यक्ष नेपालले देशमा बसेर निराश हुनुपर्ने अवस्थालाई परिवर्तन गर्न जनताको साथ चाहिने धारणा राखे। उनले नेपालमा समाजवादको जित सम्भव रहेको बताए।"
बिहेको नाममा बंगलादेशी युवतीको तस्करी गर्न चिनियाँ सक्रिय,"बंगलादेशी युवतीलाई भारतको बाटो हुँदै सीमा नाकाबाट अवैधरूपमा प्रवेश गराएर काठमाडौं ल्याइन्छ र उनीहरूलाई स्थल मार्ग र हवाइ मार्गबाट चीनमा तस्करी गरिन्छ। काठमाडौं : बिहेको प्रलोभन देखाएर बंगलादेशी युवतीलाई तस्करी गर्ने चिनियाँहरू नेपालमा सक्रिय भएका छन्। नेपालमा मात्र होइन, त्यस्ता चिनियाँहरू बंगलादेश र भारतमासमेत सक्रिय भएको भेटिएका छन्। बंगलादेशी युवतीलाई भारत हुँदै नेपाल ल्याएर चीनतिर तस्करी गर्न चिनियाँ गिरोह सक्रिय भएको हो। गत साता त्रिभुवन अन्तर्राष्ट्रिय विमानस्थलबाट चीन जान लागेका तीन जना बंगलादेशी युवतीलाई अध्यागमन कार्यालयले प्रस्थान अनुमति दिन अस्वीकार गरेपछि यस्तो खुलेको हो। अध्यागमनका अधिकारीले उनीहरूको चीन यात्रा शंस्कापद देखिएपछि प्रस्थान अनुमति दिन अस्वीकार गरेको थियो। त्यसरी विमानस्थलबाट फिर्ता हुनेहरूमा बंगलादेशी युवतीहरू रिहाना अक्तर रानु, अप्रुमा मर्मा र मिनुचिङ मर्मा रहेका छन्। जब उनीहरू एक चिनियाँ युवकको साथमा अध्यागमन पुगे, त्यसपछि अध्यागमन अधिकृतले उनीहरूसँग आवश्यक कागजपत्र मागे। तर, उनीहरूले अध्यागमन अधिकारीले मागेबमोजिमको न कागजत्र दिनसके, न उनीहरूले विश्वास नै दिलाउनसके। लगत्तै अध्यागमन अधिकारीले उनीहरूलाई प्रस्थान अनुमति नदिई फिर्ता गरिदिए। तर, उनीहरूसँगै भएका चिनियाँले भने अध्यागमनका कर्मचारीसँग केहीबेर गलबदी गरेका थिए। ती चिनियाँ युवकले यी तीन जना युवतीका श्रीमानहरू चीनमा बस्छन् र आफूले उनीहरूको श्रीमानसम्म पुर्याइदिने भनेका थिए। तर, त्यसमा पनि अध्यागमनका अधिकारीहरू आश्वस्त भएनन्। चाइना साउदर्नको विमानबाट ती युवतीहरू चीन जान लागेका थिए। तर, बंगलादेशी युवतीहरूको कागजातमा शंका लागेपछि उनीहरू चीन जान नपाएका हुन्। 'बंगलादेशी युवातीहरूसँग भएको कागजात नै शंस्कापद थियो। उनीहरू एक चिनियाँ पुरुषसँग चीन जान लागेका थिए। चिनियाँ नागरिकले उनीहरू (बंगलादेशी युवतीहरू)को श्रीमान चीनमा रहेको बताएका थिए,' स्रोतले अन्नपूर्णसँग भने, 'उसो भए बंगलादेशबाट चीन किन नगएको? भन्ने प्रश्नमा बंगलादेशी युवतीहरू नाजवाफ बनेका थिए।' नेपाली युवतीलाई पनि चिनियाँ केटासँग विवाह गराएर चीन तस्करी गर्ने गरेको घटना यसअघि नै सार्वजनिक भइसकेको छ। यस्तै प्रकृतिको घटनामा नेपालबाट चिनियाँ नागरिकहरू पक्राउ पनि परेका छन्। तर, पछिल्लो समय बंगलादेशको राजनीतिक अस्थिरताको फाइदा उठाउँदै चिनियाँहरू बंगलादेशी युवतीहरूलाई तस्करी गर्न सक्रिय बनेका छन्। उनीहरूलाई भारतको बाटो हुँदै सीमा नाकाबाट अवैधरूपमा प्रवेश गराएर काठमाडौं ल्याइन्छ। उनीहरूलाई स्थल मार्ग र हवाइ मार्गबाट चीनमा तस्करी गर्ने गरिएको स्रोतको भनाइ छ।"
स्वास्थ्य सेवा ऐनमा नर्सिङ पेसाको हकहित समेटिन्छ : मन्त्री पौडेल,"काठमाडौं : स्वास्थ्य तथा जनसङ्ख्यामन्त्री प्रदीप पौडेलले स्वास्थ्य सेवा ऐनमा नर्सिङ पेसाको पेसागत हकहित समेटिने बताएका छन् । नेपाल नर्सिङ सङ्घको ६३औँ वार्षिकोत्सव तथा साधारणसभामा उनले स्वास्थ्य सेवा ऐनको मस्यौदा बनिरहेको जानकारी दिँदै भने, ऐनको मस्यौदा बन्दै छ । नर्सिङको हकहितका लागि पनि विषय समेट्छौँ । सम्भवतः यही सेसन मा पास गर्छौं । नर्सिङ जनशक्ति पलायन हुन नदिन सुविधा वृद्धि गर्ने, सुरक्षित वातावरणमा काम गर्ने अवसर प्रदान गर्ने, राम्रो काम गर्नेलाई प्रोत्साहन र पुरस्कृत गर्ने, व्यक्तित्व विकासमा ध्यान दिएर काम गर्ने वातावरण तयार गरिने मन्त्री पौडेलले बताए । उनले व्यक्तिगत पहुँचका आधारमा नभई पदोन्नतिका विधिका आधारमा गरिनुपर्ने बताए । मन्त्री पौडेलले भने, श्रम ऐनले तोकेको दक्ष जनशक्तिलाई २२ हजारभन्दा तल दिन पाइँदैन । यसबारे रिपोर्ट गरेमा प्रमाणका आधारमा अस्पतालको सम्बन्ध खारेज गर्छौं । धेरैले रिपोर्ट गर्न डराउनुहुन्छ । आफ्नो अधिकारको लागि आफैँ लड्नुपर्छ । नर्सिङ सङ्घकी अध्यक्ष चन्द्रकला शर्माले नर्सहरू विकराल अवस्थामा काम गरिरहेको बताउँदै यसमा सरकारले ध्यान दिनुपर्ने बताइन् । उनले भनिन्, विश्वव्यापी नै नर्सहरूको खडेरी भइरहेको अवस्था छ । नर्सजस्तो प्राविधिक जनशक्तिलाई दैनिक ज्यालादारीमा काम गराइरहेका छन् । तलब भत्ता, सेवा सुविधा न्यून छ । तलब सरकारले भनेअनुसार पाएका छन् वा छैनन् भन्नेमा अनुगमन हुनुपर्छ । नर्सिङ सङ्घकी पूर्वअध्यक्ष तारा पोखरेलले नर्सहरूलाई देशमै बस्ने वातावरण सरकारले मिलाउनुपर्ने धारणा राखिन् । उनले भनिन्, देशभर एक लाख २० हजार बढी नर्सले लाइसेन्स लिइराख्दा ५० हजार नर्स पनि छन् वा छैनन् भन्नेमा शङ्का छ किनकि नेपालमा काम गर्ने वातावरण छैन । दैनिक ज्यालादारीमा काम गर्ने भए कसले काम गर्छ ? नर्सहरू पलायन भइरहेका छन् । सबै पलायन भए के देशले नर्सलाई आयात गर्न खोजेको हो ? नर्सहरू पलायन हुन नपरोस् । नेपाल चिकित्सक सङ्घका अध्यक्ष अनिलविक्रम कार्कीले नर्सबिना चिकित्सकहरू जहिल्यै पनि अपुरो हुने बताए ।"
पाकिस्तानमा गलत सूचना फैलाउनेलाई ३ वर्षको जेल सजाय हुने,"काठमाडौं : पाकिस्तानले मंगलबार अनलाइन दुष्प्रचारलाई अपराधीकरण गर्दै तीन वर्षसम्मको कारावास सजायको व्यवस्था गरेको कानुन पारित गरेको छ। यो निर्णयलाई पत्रकारहरूले असहमतिमाथि कारबाही गर्न डिजाइन गरिएको बताएका छन्। यो कानुनले जानाजानी अनलाइनमा त्यस्तो जानकारी फैलाउने जोकोहीलाई लक्षित गर्छ, जसलाई उनीहरूले झुटो वा नक्कली र डर, त्रास वा अशान्ति वा अस्थिरताको भावना सिर्जना गर्न सक्ने विश्वास गर्ने सम्भावना छ। मंगलबार पत्रकारहरू विरोधमा ग्यालरीबाट बाहिर निस्किएपछि सिनेटले अनुमोदन गर्नुअघि गत हप्ता थोरै चेतावनीका साथ राष्ट्रिय सभाको माध्यमबाट कानुन द्रूत गतिमा पारित गरिएको थियो। पाकिस्तान फेडरल युनियन अफ जर्नालिस्टका सदस्य वरिष्ठ पत्रकार आसिफ बशीर चौधरीले सरकारले पत्रकारहरूलाई उनीहरूसँग परामर्श गर्ने आश्वासन दिएको तर उनीहरूलाई धोका दिएको र पिठ्युँमा छुरा प्रहार गरिएको बताए। 'हामी वास्तवमै दुष्प्रचार विरुद्धको कानून चाहन्थ्यौँ तर यदि यो खुला छलफलमार्फत नभई डर र दबाबमार्फत गरिँदैछ भने हामी यसलाई हरेक उपलब्ध मञ्चमा चुनौती दिनेछौं,' चौधरीले भने, 'तानाशाही शासनमा पनि यो सरकारले जसरी कानुन जबरजस्ती संसद्मा पारित गरिएको थिएन।' विधेयक अब स्वीकृतिका लागि राष्ट्रपतिकहाँ पठाइनेछ। विश्लेषकहरूका अनुसार धाँधली आरोपले ग्रस्त चुनावपछि र पाकिस्तानका सबैभन्दा लोकप्रिय नेता, पूर्व प्रधानमन्त्री इमरान खानलाई उनको पार्टीले राजनीतिक प्रेरित भनेका भ्रष्टाचारका विभिन्न आरोपमा जेलमा राखिएपछि सरकार वैधानिकताको संर्घषमा छ।"
