शीर्षक,विवरण
"इलाम २ मा सुहाङ नेम्बाङको अग्रता कायमै, मतान्तर हजार बढी","इलाम : इलाम क्षेत्र नम्बर २ को उपनिर्वाचनमा नेकपा एमालेले अग्रता लिएको छ। इलाम नगरपालिका७ स्थित गौतमबुद्ध सभागृहमा हालसम्म फाकफोकथुम गाउँपालिकाको १,२, ३, ४, ५ र ६ नम्बर वडाको मतगणना सकिँदा एमालेका सुहाङ नेम्बाङले ३,७८३ ल्याएका हुन्। उनका प्रतिद्वन्द्वी नेपाली कांग्रेसका उम्मेदवार डम्बर खड्काले २,७८२ मत प्राप्त गरेका छन्। उनीहरूबीच मतान्तर १००१ रहेको छ। यसैगरी स्वतन्त्र उम्मेदवार डकेन्द्र सिंह थेगिमले ७८४ मत,राष्ट्रिय स्वतन्त्र पार्टीका मिलन लिम्बूले ५७० मत प्राप्त गरेका छन्। फाकफोकथुम गाउँपालिका सकिएपछि क्रमशः चुलाचुली र माङसेबुङ गाउँपालिका, माई, देउमाई र इलाम नगरपालिकाको मतपत्र गणना गरिने मुख्य निर्वाचन अधिकृतको कार्यालयले जनाएको छ। शनिबार भएको मतदानमा ६९ हजार दुई सय ८७ जनाले मतदान गरेका थिए। मुख्य निर्वाचन अधिकृतको कार्यालयका अनुसार ३५ हजार एक सय ३५ पुरुष, ३४ हजार एक सय ५० महिला र दुई अन्यले मतदान गरेका छन्। २०७९ मंसिर ४ को प्रतिनिधिसभा निर्वाचनमा इलाम२ बाट निर्वाचित नेपाल कम्युनिष्ट पार्टी (एमाले)का उपाध्यक्ष सुवासचन्द्र नेम्वाङको निधन भएपछि रिक्त सो निर्वाचन क्षेत्रमा उपनिर्वाचन भएको हो।"
सोमबार देशका यी स्थानमा हुने छ वर्षा,"काठमाडौं : सोमबार देशका लुम्बिनी, कर्णाली र सुदूरपश्चिम प्रदेश लगायत देशको पहाडी भूभागमा आंशिकदेखि साधारणतया बदली रही बाँकी भूभागमा मौसम मुख्यतया सफा रहने छ। मौसम पूर्वानुमान महाशाखाका अनुसार कोशी, गण्डकी, कर्णाली र सुदूरपश्चिम प्रदेशको पहाडी भूभागका एकदुई स्थानमा मेघगर्जनचट्याङसहित हल्का वर्षाको सम्भावना रहेको छ। देशको उच्च पहाडी तथा हिमाली भूभागका एकदुई स्थानमा हल्का हिमपातको सम्भावना रहेको छ। लुम्बिनी , मधेश र कोशी प्रदेशका केही र बाँकी भूभागको थोरै स्थानहरूमा हावाहुरीको सम्भावना रहेको छ। सोमबार राति देशको पहाडी भूभागमा आंशिक बदली रही बाँकी भूभागमा मौसम मुख्यतया सफा रहने छ। गण्डकी प्रदेश र कर्णाली प्रदेशको पहाडी भूभागका एकदुई स्थानमा मेघगर्जनचट्याङसहित हल्का वर्षाको सम्भावना रहेको छ। देशको उच्च पहाडी तथा हिमाली भूभागका एकदुई स्थानमा हल्का हिमपातको सम्भावना रहेको छ। साथै लुम्बिनी र कोशी प्रदेशका तराईका केही स्थानहरू र बाँकी भूभागको थोरै स्थानहरूमा हावाहुरीको सम्भावना रहेको छ।"
"इलाम२ मा सुहाङ नेम्वाङले मतान्तर बढाउँदै, यस्तो छ पछिल्लो मत परिणाम",इलाम : इलाम२ को उपनिर्वाचनमा नेकपा एमालेका सुहाङ नेम्वाङले अग्रता कायमै राखेका छन्। उनले मतान्तरसमेत बढाउँदै लगेका छन्। पछिल्लो मत परिणामअनुसार नेम्वाङले ४ हजार ४१३ मत ल्याएका छन्। उनका प्रतिद्वन्द्वी डम्बर खड्काले ३ हजार २५८ मत ल्याएका छन्। डम्बरभन्दा सुहाङ ११५५ मतले अघि छन्। त्यस्तै स्वतन्त्र उम्मेदवार डकेन्द्र सिंह थेगिमले ९६३ मत ल्याएका छन् भने राष्ट्रिय स्वतन्त्र पार्टीका मिलन लिम्बुले ६४५ मत ल्याएका छन्।
"बझाङमा एमालेको अग्रता कायमै, यस्तो छ पछिल्लो मत परिणाम","बझाङ : बझाङ १ (क) को उपनिर्वाचनमा नेकपा एमालेका दमनबहादुर भण्डारीले अग्रता कायमै राखेका छन्। पछिल्लो मतपरिणामअनुसार भण्डारीले ४ हजार १५८ मत पाएका छन्। उनका प्रतिद्वन्द्वी नेपाली कांग्रेसका अभिषेकबहादुर सिंहले ३ हजार ५९० मत पाएका छन्। उनीहरूबीच ५६८ मतान्तर रहेको छ। त्यस्तै माओवादीका जनक बुढाले २ हजार ९६, नेकपा एकीकृत समाजवादीका दिलबहादुर सिंहले १ हजार २२५ र राप्रपाका उम्मेदवारले ९८ मत पाएका छन्।"
ठूला जलाशययुक्त आयोजना निर्माण गर्न अध्ययन थालिएको छ : प्रधानमन्त्री प्रचण्ड,"काठमाडौं : प्रधानमन्त्री पुष्पकमल दाहाल प्रचण्डले विद्युत् प्रणालीमा देखिएको मौसमी असन्तुलन हटाउन ठूला जलाशययुक्त आयोजना निर्माण गरिने बताएका छन् । मर्स्याङ्दीकाठमाडौँ २२० केभी डबल सर्किट प्रसारण लाइन तथा २२० केभी मातातीर्थ सबस्टेसनको आज उद्घाटन गर्दै प्रधानमन्त्री प्रचण्डले आयोजनालाई प्राधिकरणमार्फत अध्ययन कार्य अगाडि बढाइएको जानकारी दिएका हुन्। १२ सय मेगावाटको बूढीगण्डकी जलाशययुक्त जलविद्युत् आयोजना, एकहजार ६३ मेगावाटको माथिल्लो अरुण अर्धजलाशययुक्त जलविद्युत आयोजना, ६७० मेगावाटको दूधकोशी जलाशययुक्त जलविद्युत् आयोजनाको निर्माण प्रक्रिया अगाडि बढाइसकेको छ । प्रधानमन्त्री प्रचण्डले भने,साथै देशलाई दिर्घकालिन रूपमा कायापलट गराउन सक्ने राष्ट्रिय तथा क्षेत्रीय महत्त्वका कर्णाली चिसापानी १० हजार ८०० मेगावाटको आयोजनालाई प्राधिकरणमार्फत अध्ययन कार्य अगाडि बढाइएको छ । विश्व बैंकको नेतृत्वमा एक हजार ६३ मेगावाटको माथिल्लो अरुण र एशियाली विकास बैंकको नेतृत्वमा ६७० मेगावाटको दूधकोशी जलाशययुक्त जलविद्युत् आयोजनाको बित्तिय व्यवस्थापन सम्पन्न हुने चरणमा पुगेको प्रधानमन्त्री प्रचण्डले उल्लेख गरे। देशभित्र उत्पादित विद्युत् स्वदेशमै खपत गर्न सरकारले विद्युत् खपत बृद्धिसम्बन्धी कार्यायोजना मन्त्रिपरिषद्बाट पारित गराएर कार्यान्वयनमा ल्याइएको उल्लेख गर्दै प्रधानमन्त्री प्रचण्डले यसले विद्युत् खपत बढाउनका लागि दिशानिर्देश गर्ने बताए । अहिले करिब ९८ प्रतिशत जनसङ्ख्यामा विद्युत्को पहुँच पुगेको उल्लेख गर्दै प्रधानमन्त्री प्रचण्डले आगामी डेढ वर्षभित्र देशलाई पूर्ण रूपमा विद्युतीकरण घोषणा गर्नेगरी सम्पूर्ण तयारी भइसकेको बताए । उनले भने, पूर्ण रूपमा विद्युतीकरण गर्न सक्ने आधार तयार हुनु एउटा महत्त्वपूर्ण ऐतिहासिक उपलब्धी हो । नेपालको विकासमा यो एउटा मूख्य खुडकिलो हो । मर्स्याङ्दीकाठमाडौँ २२० केभी डबल सर्किट प्रसारण लाइन तथा २२० केभी मातातीर्थ सबस्टेसन निर्माण भएसँगै मर्स्याङ्दी नदी कोरिडोरमा निर्माण भएका र आगामी दिनमा सो क्षेत्र निर्माण हुने जलविद्युत् आयोजनाहरुको विद्युत् काठमाडौँ उपत्यकामा ल्याउन यो आयोजना निर्माण गरिएको हो । यो आयोजनाको निर्माणसँगै देशको सबैभन्दा बढी विद्युत् माग हुने काठमाडौँ उपत्यकाको विद्युत् आपूर्ति पर्याप्त, भरपर्दो, गुणस्तरीय र सुरक्षित हुने विश्वास लिइएको छ । देशको एकीकृत विद्युत् प्रणाली थप सुदृढ बनाउन महत्त्वपूर्ण योगदान पुग्ने विश्वास लिइएको छ । यो पनि पढ्नुहोस यसै आर्थिक वर्षदेखि बंगलादेशमा ४० मेगाबाट विद्युत् निर्यात हुन्छ : प्रधानमन्त्री"
विद्युतीय संचार माध्यमको प्रयोग गरी अपराधजन्य कार्य गरेको भन्दै सिधाकुराविरुद्ध साइबर ब्युरोमा उजुरी,"काठमाडौं : वरिष्ठ अधिवक्ता हरी प्रसाद उप्रेतिले सिधाकुरा डटकमविरुद्ध साईबर ब्यूरोमा उजुरी दर्ता गराएका छन्। सिधाकुरा डटकमका साइबर ब्युरोमा प्रकाशक युवराज कंडेल, कार्यकारी सम्पादकनवीन ढुंगाना,अर्न्तवार्ता दिने राजकुमार तिमल्सिना र सो कार्यमा संलग्न अन्यको पहिचान गरी कारबाही गर्न उजुरी परेको हो। सिधाकुरा डटकम अनलाइनबाट भ्रष्टाचारका चार सय मुद्दा डिसमिस गर्न सर्वोच्चका न्यायाधीशसहित डिल शीर्षक र सो पश्चात निरन्तर रुपमा प्रकाशित अडियो सामाग्री पूर्ण रुपमा झुठा भएको भन्दै कारबाही गर्न उजुरी दिएका हुन्। विद्युतीय संचार माध्ययमको प्रयोग गरी अपराधजन्य कार्य भएको भन्दै उक्त अडियो सामाग्रीमा भनिए जस्तो मिति २०७७ चैत्र ३० मा हामी तीनकुनेस्थित अन्नपूर्ण पोष्टको कार्यालयमा आफूहरु नगएको उनीहरुले स्पप्ट पारेका छन्। सिधाकुरा डटकम भन्ने अनलाईनबाट भ्रष्टाचारका चार सय मुद्दा डिसमिस गर्न सर्वोच्चका न्यायाधीश सहित डिल' शीर्षकमा मिति २०८१०११४ र सो पश्चात निरन्तर रुपमा प्रकाशितप्रसारित डार्क फाइल २,३ र प्रेस काउन्सिलको विज्ञप्ति अस्वीकार गर्ने अडियो सामाग्री पूर्ण रुपमा झुठा भएको, सोमा हामीहरुको नाउँ समेत समावेश गराइएको कार्य सो हुँदा गर्दाको अवस्थामा नै बिद्युतिय संचार माध्ययमको प्रयोग गरी भएको अपराधजन्य कार्य हो। उक्त अडियो सामाग्रीमा भनिए जस्तो मिति २०७७१२३० मा हामी तीनकुनेस्थित अन्नपूर्ण पोष्टको कार्यालयमा गएका छैनौं। सो अडियो सामाग्रीमा उल्लेख भएको विष्णुप्रसाद घिमिरे निवेदक भएको रिट निवेदनमा हामी कुनै पनि पक्षबाट प्रतिनिधित्व गरेका कानुन व्यवसायी होइनौं। उक्त अडियोमा हाम्रा नामबाट सुनाइएको आवाज हाम्रो होइन र हाम्रो उपस्थिति देखाउन सिर्जना गरिएको वातावरण समेत झुठो रहेको छ। २०७७ साल चैत्र ३० गतेको घटना भनिएको उक्त अडियो आज करिब ४ वर्षपछि आएर प्रसारण गरिएको कुराले नै यसप्रति विभिन्न संशय पैदा गरेको छ।साइबर ब्युरोमा दिएको उजुरीमा भनिएको छ, संप्रेषित सामाग्रीमा विभिन्न प्रविधिको प्रयोग गरी झुठो ब्यहोरा सृजना गरी समग्र जनमानसलाई भ्रम फैलाउने कार्य गरी हामी लगायत स्वतन्त्र न्यायपालिकाको आत्म सम्मानमा चरम क्षति पुर्याउने कार्य भै आएको छ। जुन विद्युतीय कारोबार सम्बन्धी कानूनी व्यवस्थाको आधारमा सर्बथा अपराधजन्य नै हो। उक्त अनलाइनबाट प्रसारित उक्त समाचार र अडियो सामाग्री सर्वथा भ्रामक, असत्य, मिथ्यापूर्ण र नियोजित रहेको छ। यसले हामी लगायत स्वतन्त्र न्यायपालिका उपर अक्षम्य प्रहार गरेको छ। निवेदनमा असत्य, भ्रामक, प्रायोजित नियोजित सामाग्रीहरू उत्पादन प्रशारण गर्ने, सामाजिक सञ्जालमा सेयर गर्ने तथा त्यस्ता सामाग्रीहरूको पक्षमा वकालत गर्ने यूट्यूब लगायतका पात्र र प्रवृत्तिहरूले विद्युतीय कारोबार ऐनद्धारा बर्जित कार्यहरु गरेको वास्तविकतामा विवाद नसक्ने निवेदनमा उल्लेख छ। उजुरीमा भनिएको छ,त्यस्ता पात्रहरूलाई कानुनको दायरामा ल्याई कडाभन्दा कडा कारवाही र सजाय गर्न अनिवार्य भएका कारण प्रस्तुत उजूरी लिइ आवश्यक कारबाही र हदैसम्मको सजायका लागी उपस्थित भएका छौं। अत मिति २०६१।१।१४ मा र सो पश्चात निरन्तर रुपमा संप्रेशित सामाग्रीमा उल्लेख भएका अडियो रेकर्डलाइ हामीहरुको प्राकृतिक स्वरसंग विधिविज्ञानको प्रयोगका साथ परिक्षण गरी कुठा प्रविधिको प्रयोगका साथ तयार गरीएको सामग्रीको सम्प्रेषण गरी विद्युतिय संचार माध्ययमबाट हामीहरुको चरित्र हत्या गर्ने कार्य गरीएको हुँदा ति सामाग्रीहरुलाई जफत गरी सोमा बृहत र गहिरो ढंगले अनुसन्धान गरी कारबाहि गरी हदैसम्मको सजाँय समेत गरी पाउँ। सर्वोच्च अदालतले सिधाकुरा डटकमको समाचारले अदालतको अपहेलना भएको भन्दै त्यसका प्रकाशक युवराज कँडेलविरुद्ध प्रतिवेदन निवेदनमार्फत मुद्दा दर्ता गरेको छ। सर्वोच्चका उपरजिस्ट्रार गोबिन्दप्रसाद घिमिरेद्वारा दायर अपहेलना मुद्दाको सोमबारका लागि संयुक्त इजलासमा पेसी तोकिएको छ। सिधाकुरा डटकमले सर्वोच्चका वरिष्ठतम् न्यायाधीश आनन्दमोहन भट्टराईसहित, अन्नपूर्ण मिडिया नेटवर्कका अध्यक्ष रामेश्वर थापा, कान्तिपुर मिडिया ग्रुपका अध्यक्ष कैलाश सिरोहिया, अन्नपूर्ण पोस्ट्का विशेष संवाददाता सुरेन्द्र काफ्ले, वरिष्ठ अधिवक्ताद्वय हरि उप्रेती र किशोर विष्टको नाम जोडेर कीर्ते अडियो बनाई तथ्यहीन सामग्री प्रसारण गरेको थियो। त्यसको न्यायिक र कानुनी क्षेत्रबाट तीव्र विरोध हुँदै आएको छ। हेर्नुहोस् उजुरी विवरण यो पनि पढ्नुहोस सिधाकुराको अडियोविरुद्ध ४ वटा कानुन आकर्षित हुन्छन्, अदालत जान्छौं वरिष्ठ अधिवक्ता उप्रेती र अधिवक्ता विष्टले भने सिधाकुरा डटकमबाट प्रसारित समाचार मिथ्यापूर्ण र नियोजित वरिष्ठ अधिवक्ता उप्रेती र अधिवक्ता विष्टले भने : सिधाकुरा डटकमबाट प्रसारित समाचार मिथ्यापूर्ण र नियोजित सिधाकुराका प्रकाशकविरुद्ध अदालतको अपहेलनामा सर्वोच्चमा प्रतिवेदन निवेदनमार्फत मुद्दा दर्ता, भोलि संयुक्त इजलासमा पेसी विवादास्पद सामग्री प्रशारण गर्ने सिधा कुराका सम्पादक र प्रस्तोतालाई प्रेस काउन्सिलले बोलायो"
महोत्तरीको गौशालामा आगलागी ९ लाखभन्दा बढीको क्षति,"महोत्तरी : गौशाला नगरपालिका२ कठुधारमा आगलागी हुँदा ९ लाखभन्दा बढीको क्षति भएको छ। आइतबार दिउँसो स्थानीय सद्दाम धुनियाँ र निजको भाई मन्सुरको नदाफको घरमा आगलागी हुँदा ९ लाख ७० हजारको क्षति भएको हो। ईलाका प्रहरी कार्यालय गौशालाले दिएको जानकारी अनुसार सो आगलागीमा परि दुईवटा टालीले छाएको घर र परालको कुन्यु (टाल) जलेर खरानी भएको हो। सो आगलागीमा परि सद्दामको घरमा रहेको अन्नपात, लत्ताकपडा, सुनचाँदी र नगद ५० हजार गरि ९ लाख रुपैयाँ बराबरको क्षति भएको प्रहरी निरीक्षक मनोजकुमार यादवले बताए। त्यस्तै छेउमै रहेको क्युम नदाफको ५० हजार रुपैयाँको परालको कुन्यु (टाल) जलेको हो भने छेउमै रहेको मन्सुर नदाफको घर जल्दा ५० हजारको क्षति भएको हो। प्रचण्ड गर्मीका साथै हावाहुरी चल्दा आगो लागेको खबर स्थानीयले प्रहरीमा गरेको थियो। गौशालास्थित इलाका प्रहरी कार्यालयबाट र सशस्त्र प्रहरी बल रामनगरबाट खटेको ३६ जना सुरक्षाकर्मी तथा स्थानीयले आगो निभाउने प्रयास गरेका थिए। अत्याधिक गर्मी र पश्चिमा हावाको बेगले आगो दन्कदै गएपछि बर्दिबास, गौशाला र रामगोपालपुरबाट घटनास्थल पुगेको वारुणयन्त्रको सहयोगले ३ घण्टा लामो प्रयासपछि आगो नियन्त्रणमा आएको इलाका प्रहरी कार्यालय गौशालाले जनाएको छ।"
डाशेखर कोइरालाको प्रस्ताव : राजनीतिक स्थिरता कायम गर्न एमाले र कांग्रेस मिलौं,"काठमाडौं : नेपाली कांग्रेसका वरिष्ठ नेता डाशेखर कोइरालाले राजनैतिक स्थिरता कायम गर्न एमाले र कांग्रेस मिलेर अघि बढ्नुको विकल्प नभएको बताएका छन्। आइतबार मोरङको बुढीगंगा गाँउपालिकाको प्रशासनिक भवनको शिलान्यास कार्यक्रमलाई सम्बोधन गर्दै वरिष्ठ नेता डाकोइरालाले निर्वाचन प्रणाली सुधार र आर्थिक विकास तथा सुशासनका एजेण्डामा कांग्रेस र एमाले एक भएर अघि बढ्नुपर्ने बताएका हुन्। उनले वर्तमान निर्वाचन प्रणालीका कारण मुलुकमा राजनैतिक स्थिरता कायम हुन नसकेको दाबी गरे। उनले राजनैतिक स्थिरता नभएसम्म विकास समृद्धि, आर्थिक विकास र सुशासन कायम हुन नसक्ने धारणा राखे। बुढीगंगा गाँउपालिका वडा नं ५ मा निर्माण हुन लागेको प्रशासनिक भवनका लागि स्थानीय सौहार्द कार्कीले ८ कट्ठा २ धुर जग्गा निशुल्क उपलब्ध गराएका थिए। करिब ११ करोड ८६ लाख रुपैयाको लागतमा निर्माण हुने बुढीगंगा गाउँपालिकाको प्रशासनिक भवनका लागि गाँउपालिकाले चालू आर्थिक वर्षमा १ करोड ५० लाख रुपैयाँ विनियोजन गरेको जानकारी दिएको छ।"
"इलाम २ : कांग्रेसले १६४६ ल्याउँदा सुहाङ ४२ मतले पछाडि, रास्वपा चौथो","इलाम : इलाम क्षेत्र नम्बर २ को उपनिर्वाचनमा नेपाली कांग्रेसका उम्मेदवार डम्बर खड्का निरन्तर अगाडि रहेका छन्। इलाम नगरपालिका७ स्थित गौतमबुद्ध सभागृहमा हालसम्म फाकफोकथुम गाउँपालिकाको १,२ र ३ नम्बर वडाको मतगणना सकिँदा नेपाली कांग्रेसका उम्मेदवार खड्काले १६४३ मत प्राप्त गरेका छन्। उनका प्रतिद्वन्द्वी नेकपा एमालेबाट सुहाङ नेम्बाङले १६०१ मत प्राप्त गरेका छन्। उनीहरुबीच मतान्तर ४२ रहेको छ। यसैगरी स्वतन्त्र उम्मेदवार डकेन्द्र सिंह थेगिमले ४३७ मत,राष्ट्रिय स्वतन्त्र पार्टीका मिलन लिम्बूले ३०५ मत प्राप्त गरेका छन्। फाकफोकथुम गाउँपालिका सकिएपछि क्रमशः चुलाचुली र माङसेबुङ गाउँपालिका, माई, देउमाई र इलाम नगरपालिकाको मतपत्र गणना गरिने मुख्य निर्वाचन अधिकृतको कार्यालयले जनाएको छ। शनिबार भएको मतदानमा ६९ हजार दुई सय ८७ जनाले मतदान गरेका थिए। मुख्य निर्वाचन अधिकृतको कार्यालयका अनुसार ३५ हजार एक सय ३५ पुरुष, ३४ हजार एक सय ५० महिला र दुई अन्यले मतदान गरेका छन्। विसं २०७९ मङ्सिर ४ को प्रतिनिधिसभा निर्वाचनमा इलाम२ बाट निर्वाचित नेपाल कम्युनिष्ट पार्टी (एमाले)का उपाध्यक्ष सुवासचन्द्र नेम्वाङको निधन भएपछि रिक्त सो निर्वाचन क्षेत्रमा उपनिर्वाचन भएको हो।"
परीक्षामा कडाइ गरेपछि हरिखेतान क्याम्पसमा तोडफोड,"वीरगन्ज : वीरगन्जमा रहेको हरि खेतान बहुमुखी क्याम्पसमा आइतबार विद्यार्थीहरूले तोडफोड गरेका छन्। कक्षा १२ को परीक्षामा सहभागी नेशनल ईन्फोटेक (एनआई) कलेजका विद्यार्थीहरूले क्याम्पसमा तोडफोड गरेका हुन्। आइतबार भएको कक्षा १२ को परीक्षामा खटिएका पर्यवेक्षकहरूले परीक्षा मर्यादित बनाउने बहानामा आफूहरूलाई पटक पटक मानसिक यातना दिएको आरोप लगाउँदै भएका आक्रोशित विद्यार्थीहरूले क्याम्पसमा तोडफोड गरेका हुन्। तोडफोडबाट क्याम्पस भवन,क्याम्पसको बस, गाडी, मोटरसाइकल, फर्निचर लगायतमा क्षति पुगेको प्रहरीले जनाएको छ। परीक्षा चलिरहेको समयमा पर्यवेक्षकहरूले बिना कारण आफूहरूको उत्तर पुस्तिका खोस्ने, कलम भुईँमा खस्दा पनि टिप्न नदिने लगायतका मानसिक यातना दिएको भन्दै विद्यार्थीहरूले परीक्षा सकिएपछि क्याम्पसमा तोडफोड गरेका हुन्। तोडफोडमा उत्रिएका एक विद्यार्थीले भने,पर्यवेक्षकको काम परीक्षालाई मर्यादित बनाउने हो, परीक्षार्थीलाई अनावश्यक दुःख दिने होइन। तर हरि खेतानका पर्यवेक्षकहरूले हामीलाई बिना कारण दुःख दिइरहेका थिए। झरेको पेन उठाउँदा समेत उत्तर पुस्तिका खोसेर निष्कासित गर्ने धम्की दिइरहेका थिए। तोडफोड हुन थालेपछि तनावग्रस्त बनेको स्थिति नियन्त्रणमा लिन गर्नका लागि क्याम्पस परिसरमा ठूलो संख्यामा प्रहरी परिचालन गरिएको थियो। प्रहरीले स्थिति नियन्त्रणमा लिएको वडा प्रहरी कार्यालय विर्ताका प्रहरी निरीक्षक पुष्कर बोगटीले बताए। क्याम्पसमा तोडफोडपछि विद्यार्थीहरूले जुलुस निकाल्दै जिल्ला प्रशासन कार्यालयमा पुगेर आइतबारको परीक्षा रद्द गर्न माग गरेका थिए। यता हरिखेतान क्याम्पसका निमित्त क्याम्पस प्रमुख किशोरी राय यादवले भने विद्यार्थीहरूले लगाएको आरोप निराधार रहेको बताए। उनले परीक्षा हलमा चिट चोर्न नदिएपछि त्यसैको निहुँमा एनआई कलेजका विद्यार्थीहरू तोडफोडमा उत्रिएको बताए। क्याम्पसमा तोडफोडबाट भएको क्षतिपूर्ति एनआई कलेजले बेहोर्नुपर्ने उनले बताए।"
