शीर्षक,विवरण
इन्द्रावतीलाई प्रधानाध्यापक पदपूर्ति नगर्न अदालतले दियो आदेश,"सिन्धुपाल्चोक : सिन्धुपाल्चोकको इन्द्रावती गाउँपालिकाले विद्यमान शिक्षा सेवा ऐन विपरीत आफूखुसी नियमावली बनाएर प्रधानाध्यापक नियुक्ति गर्नु कानुन विपरीत भएको भन्दै उच्च अदालत पाटनले पदपूर्ति प्रकृया नगर्न आदेश दिएको छ। गाउँपालिकाले पहिलो पटक सार्वजनिक गरेको सूचना विद्यमान संघ र शिक्षा सेवा आयोगको ऐन नियम विपरीत भएको भन्दै कारबाहीको माग राख्दै उच्च अदालत पाटनमा मुद्दा दायर भएको थियो। गाउँपालिकाले रिक्त नभएको पदमा समेत ऐन विपरीत पदपूर्तिको विज्ञापन जारी गरेको भन्दै उजुरी परेपछि अदालतले प्रमाण पेश गर्न आदेश दिएको थियो। सन्जुमाया तामाङ समेतले इन्द्रावती गाउँपालिका समेतलाई विपक्ष बनाएर हालेको मुद्दामा अदालतका वरिष्ठ अधिवक्ता शंकर सुबेदी र अधिवक्ता बद्री सुवेदीले गरेको बहसपछि निवेदकको निवेदनमा माग भए बमोजिमको आदेश किन जारी हुन नपर्ने हो ? जारी हुन नपर्ने आधार, कारण र नपर्ने भए सबुद प्रमाण सहित म्याद सूचना पाएको मितिले बाटोको म्याद बाहेक १५ दिन भित्र आफैं या कानुन बमोजिम प्रतिनिधि मार्फत लिखित जवाफ पेश गर्न आदेश दिएको थियो। तर, अदालतले आदेश दिएपछि पनि गाउँपालिकाले वैशाख १८ गते दोस्रो पटक विज्ञापन प्रकाशित गरी रिक्त पदपूर्तिका लागि दरखास्त आह्वान गरेको थियो। अदालतले दिएको आदेश अनुसार उपस्थित हुनुपर्नेमा त्यो नगरि पटकपटक पदपूर्तिको सूचना जारी गरेपछि नेपाल शिक्षक संघले ३ बुँदे ध्यानाकर्षण पत्र लेखि विद्यमान ऐन विपरीत कार्य नगर्न माग गरेको छ। पालिकाले पछिल्लो पटक वैशाख २३ गते ७ जना प्रधानाध्यापकको नियुक्ति गरिसकेको छ। हामीले प्रधानाध्यापकको नियुक्ति कार्यविधि २०८० को दफा १० बमोजिम यो प्रकृया गरेका हौं, गाउँपालिकाका प्रमुख प्रशासकीय अधिकृत पूर्णप्रसाद दुलाल भन्छन्। अदालतले आदेश दिएपछि पनि दोस्रो पटक विज्ञापन प्रकाशित गरेर अदालतको आदेशलाई लत्याएको नेपाल शिक्षक संघको ठहर छ। रिक्त रहेका शिक्षक पदमा दलीय कार्यकर्तादेखि विवादित व्यक्तिलाई नियुक्त गर्ने गराउने गरेको समेत आरोप स्थानीय जनप्रतिनिधिहरूमाथि लागेको छ। शिक्षा सेवा आयोगले जारी ऐन अनुसार माध्यमिक तहको प्रधानाध्यापकको हकमा शिक्षाशास्त्र विषयमा कम्तीमा स्नातकोत्तर तह वा सो सरह उत्तीर्ण गरी सम्बन्धित विद्यालयको सम्बन्धित तहमा कार्यरत स्थायी शिक्षकहरू मध्येबाट दरखास्त आव्हान गर्नु पर्ने व्यवस्था गरेको छ। तर इन्द्रावती गाउँपालिकाले सो ऐन नियमलाई आफू खुशी परिमार्जन गरेर स्थायी, अस्थायी र करार सेवा गरेकालाई प्रधानाध्यापकको उम्मेदवारी बन्न पाउने छ भन्दै सूचना प्रकाशित गरेपछि अहिले चौतर्फी बहस सुरु भएको छ। प्रेस काउन्सिल नेपालका पूर्व सदस्य, राजनीतिक विश्लेषक तथा इन्द्रावती गाउँपालिकाका स्थायीबासी सुदर्शन आचार्यले संघीय शिक्षा ऐन विपरीत भएका नियुक्ति बदरभागी भएको टिप्पणी गरेका छन्। गल्ती सच्याउनु महानता हो। मलाई लाग्छ अब सम्मानित उच्च अदालतको अन्तरिम आदेश अनुसार पालिकाले अहिले नै सच्याएर लैजानुपर्छ, उनले भने।"
मंगलबार देशका यी स्थानमा हुने छ वर्षा,"काठमाडौं : मंगलबार देशका पहाडी भूभागमा आंशिकदेखि साधारणतया बदली रही बाँकी भूभागमा आंशिक बदली रहने छ। मौसम पूर्वानुमान महाशाखाका अनुसार कोशी, बागमती र गण्डकी प्रदेशको थोरै स्थानहरूमा तथा मधेश र बाँकी पहाडी भूभागको एकदुई स्थानमा मेघगर्जनचट्याङहावा हुरीसहित हल्का वर्षाको सम्भावना रहेको छ। देशका उच्च पहाडी तथा हिमाली भूभागका थोरै स्थानहरूमा हल्का हिमपातको सम्भावना रहेको छ। मंगलबार राति कोशी र मधेश प्रदेशमा आंशिकदेखि साधारणतया बदली रही बाँकी भूभागमा आंशिक बदलीदेखि मौसम मुख्यतया सफा रहने छ। कोशी प्रदेश लगायत बागमती र गण्डकी प्रदेशका पहाडी भूभागका एकदुई स्थानमा मेघगर्जनचट्याङसहित हल्का वर्षाको सम्भावना रहेको छ।"
"हाम्रो पार्टी फुटाउने प्रधानमन्त्रीको घरमा होइन, मुटुमै ढुंगा हान्छौं : गोविन्द चौधरी","काठमाडौं : जनता समाजवादी पार्टी नेपालका केन्द्रीय कार्यकारिणी सदस्य गोविन्द चौधरीले पार्टी फुटाउने प्रधानमन्त्री पुष्पकमल दाहालको मुटुमै ढुंगा हान्नुपर्ने बताएका छन्। सोमबार पार्टीको बैठकमा उनले प्रधानमन्त्री दाहालले संसदीय अभ्यास विपरीत सत्ता जोगाउन जसपा नेपाल फुटाएको आरोप लगाए। सरकार प्रमुखले आफ्नो पद जोगाउन हाम्रो घरमा ढुंगा फाल्नुभयो। हामी संसदमा संख्याले कम भएका छौं। तर, मानसिकरूपमा कमजोर छनौं। हामी पनि तयारीका साथ उहाँहरूको घरमा होइन, मुटुमा ढुंगा हान्छौं,' उनले भने। पहिचान र अधिकारको एजेन्डालाई स्थापित बनाउन सकड र सदनबाट संघर्ष गर्ने उनले बताए। पार्टी अध्यक्ष उपेन्द्र यादवसँग पार्टी फुटको निर्मम समीक्षा गर्न जरुरी रहेको निवेदन गरे। जबजब हामी बलियो हुन्छौं अनि ठ्याक्कै पार्टी फुटिहाल्छ। यो क्रम निरन्तर किन दोहोन्छ? अध्यक्षज्यूले समीक्षा गर्नैपर्छ,' उनले भने।"
८१ लाख बढी मूल्यको सामानसहितको ट्रक पर्सा प्रहरीको नियन्त्रणमा,वीरगन्ज : वीरगन्जबाट प्रहरीले बिलबिजकभन्दा बढीको सामान लोड रहेको एउटा ट्रक नियन्त्रणमा लिएको छ। करिब ८१ लाख रुपैयाँ मूल्यको सामान लिएर वीरगन्जबाट काठमाडौं जाँदै गरेको ना ५ ख ३०२८ नम्बरको ट्रक प्रहरीले नियन्त्रणमा लिएको हो। वीरगन्ज महानगरपालिका वडा नम्बर २१ हनुमान मन्दिर चोक नजिकै आइतबार राति प्रहरीले उक्त ट्रक रोकेर चेकजाँच गरेको थियो। त्यसक्रममा उक्त ट्रकमा बिलबिजकभन्दा बढी परिणामका हार्डवेयर तथा खुद्रा सामानहरू भेटिएपछि राजश्व छलीको आशंकामा उक्त ट्रक नियन्त्रणमा लिइएको पर्साका प्रहरी नायब उपरीक्षक कुमार विक्रम थापाले जानकारी दिए। ट्रकबाट ८१ लाख ५६ हजार ९४३ रुपैयाँ मूल्यका सामान बरामद गरिएको उनले बताए। सामानसहित नियन्त्रणमा लिइएको उक्त ट्रक थप अनुसन्धान तथा आवश्यक कारबाहीका लागि सोमबार राजश्व अनुसन्धान कार्यालय पथलैयामा बुझाइएको जानकारी थापाले दिए।
बागलुङमा जिल्ला लिग फुटबल प्रतियोगिता सुरु,"बागलुङ : बागलुङमा जिल्ला लिग फुटबल प्रतियोगिता सुरु भएको छ। जिल्ला फुटबल संघ बागलुङको आयोजनामा सोमबारदेखि २०८००८१ को जिल्ला लिग फुटबल प्रतियोगिता सुरु भएको हो। लिगको पहिलो खेलमा बागलुङ कालिका युवा क्लब (बागलुङ सुधार केन्द्र)ले विजयी सुरुवात गरेको छ। बागलुङ कालिकाले उद्घाटन खेलमा रुद्रेपिपल युवा क्लबलाई ३१ गोलअन्तरले पराजित गर्दै विजयी सुरुवात गरेको हो। खेलको १ मिनेटमै रुद्रेपिपलका विजय बोहोराको आत्मघाती गोलको मद्दतले अग्रता लिएको बागलुङ कालिकाले खेलको ११ औं र १३ औं मिनेटमा मनिक श्रेष्ठले गोल गर्दै पहिलो हाफमा ३० गोलको अग्रता दिलाएका थिए। दोस्रो हाफमा रुद्रेपिपलले खेलमा फर्किने प्रयास गरेको थियो। रुद्रेपिपलको लागि खेलको दोस्रो हाफको पहिलो मिनेटमा सन्तोष थापाले सुन्दर गोल गरेका थिए। जितसँगै बागलुङ कालिकाले तीन अंक बटुलेको छ। यस्तै सोमबार नै भएको दोस्रो खेलमा पावर फिटनेश क्लब र कालिका भगवती युवा क्लबले ३३ गोलको बराबरी खेल्दै अंक बाढेका छन्। खेलको चौथो र सातौं मिनेटमा गोल गर्दै बरदान थापाले गोल गर्दै पावर फिटनेशलाई सुरुवाती अग्रता दिलाएका थिए। पहिलो हाफमा दुई गोलको अग्रता लिएको पावर फिटनेशले दोस्रो हाफमा गोल बेहोर्न पुगेको थियो। कालिका भगवतीका सोनाम पुनले ह्याट्रिक गर्दै टिमको हार टारेका थिए। पुनले ५० औं, ५३ औं मिनेटमा गोल गर्दै खेललाई बराबरीमा पुर्याए। ६० औं मिनेटमा मनोज खत्रीले गोल गर्दै पावर फिटनेशलाई पुनः अग्रता दिलाए पनि कालिका भगवतीका सोनाम पुनले ६८ औं मिनेटमा ह्याट्रिक गोल गर्दै खेललाई बराबरीमा पुर्याए। बराबरीपछि दुवै टिमले एकएक अंक बाढेका छन्। जेठ ६ गतेसम्म सञ्चालन हुने जिल्ला लिगमा ८ टिमको सहभागिता रहनेछ। फुटबल संघले ८ टिमलाई दुई समूहमा विभाजन गरेर लिग सञ्चालन गरेको छ। लिगमा एक टिमले तीन खेल खेल्नेछन्। दुई समूहको शीर्षस्थानमा रहने दुई टिमले उपाधि विजेताको लागि प्रतिस्पर्धा गर्नेछन् भने पुछारमा हुने टिम रेलिगेशनमा पर्ने जिल्ला फुटबल संघ बागलुङका अध्यक्ष जय राजभण्डारीले बताए। लिगको समूह कमा बागलुङ कालिका युवा क्लब बागलुङ सुधार केन्द्र, रुद्रेपिपल युवा क्लब, पावर फिटनेश क्लब र कालिका भगवती युवा क्लब रहेका छन् भने समूह खमा रामरेखा फुटबल क्लब, गुठी युनाइटेड क्लब, वीर गोर्खाली युवा क्लब र बालजीवन खेलकुद क्लब रहेका छन्। लिग विजेताले नगद ७५ हजार, उपविजेताले ४५ हजारसहित ट्रफी, मेडल र प्रमाणपत्र प्राप्त गर्नेछन्। लिगमा उत्कृष्ट खेल प्रदर्शन गर्ने पाँच विधाका खेलाडीलाई जनही ५ हजार प्रदान गरिने अध्यक्ष राजभण्डारीले बताए। प्रतियोगिताको उद्घाटन जिल्ला खेलकुद विकास समितिका अध्यक्ष कुमार खड्काले गरेका थिए। प्रतियोगिता अन्तर्गत मंगलबार पहिलो खेल रामरेखा फुटबल क्लब र गुठी युनाइटेड क्लब बीच हुनेछ भने दोस्रो खेल वीर गोर्खाली युवा क्लब र बाल जीवन खेलकुद क्लब बीच हुने जिल्ला फुटबल संघ बागलुङका महासचिव रेशम गोतामेले जानकारी दिए।"
"बैठकमै जंगिए राजकिशोर यादव, भने पार्टी विभाजनको दोष उपेन्द्रजीले लिनुपर्छ","काठमाडौं : जनता समाजवादी पार्टी नेपाल विभाजन भएसँगै किचलोमा फसेको छ। अध्यक्ष उपेन्द्र यादवले मनोमानी ढंगबाट पार्टी सञ्चालन गरेको भन्दै नेताहरूले आरोप लगाएका छन्। सोमबार बालकुमारीमा बसेको बैठकमा यादवले थुप्रै आरोपको सामना गर्नुपर्यो। नेता राजकिशोर यादवले उपेन्द्र यादवप्रति गहिरो असन्तुष्टि पोखे। उनले ठालु नेताहरूकै कारण पार्टी विभाजनसम्म पुगेको आरोप लगाए। ठूलाठालु नेताहरू बसेर जे पनि निर्णय गरिहाल्ने प्रवृत्तिले आज पार्टी विभाजनसम्म पुगेको छ। केन्द्रीय समितिमा छलफल गर्नुपर्ने विषय व्यक्तिले गर्न थालेपछि पार्टी फुट्नु स्वभाविक हो,' यादवको विरोध गर्दै उनले भने। उनले पार्टी विभाजनले नेताकार्यकर्ताहरू पीडदायी अवस्थामा रहेको भन्दै गम्भीर समीक्षाको माग गरे। 'पार्टी विभाजन हुनुको जड के हो? त्यो पत्ता लगाउनुपर्छ,' उनले भने। उनले एमालेमाओवादी नेतृत्वको गठबन्धनमा सहभागी हुनु नै नेतृत्वको कमजोरी रहेको औंल्याए। 'कांग्रेस नेतृत्वको गठबन्ध फेरिँदै गर्दा त्यसको समीक्षा हुनुपर्थ्यो। एमाले नेतृत्वको गठबन्धनअघि सहभागी हुनेनहुने विषयमा छलफल गर्नुपर्थ्यो। तर, अध्यक्षजी एक्लैले आफूखुसी निर्णय गर्नुभयो,' उनले भने। माओवादीएमाले गठबन्धनमा जान नहुने उनको भनाइ थियो। उनले मधेस आन्दोलन सम्झिँदै पार्टीसँग सत्ता र शक्ति हुँदा पनि कमजोर बन्दै गएको बताए। 'उहिले हामीसँग न सत्ता थियो, न मन्त्री। तैपनि राजविराज र लहानबाट औँला ठड्याउँदा सिंहदरबार हलिन्थ्यो। शासकहरूको छातीमा कम्पन पैदा हुन्थ्यो। सत्ताको अनुभवी भएर पनि हामी अहिले किन कमजोर भयौं?,' उनले प्रश्न गरे। मधेसी दलहरूमा निरन्तर आएको फुटप्रति उनी दुःखी भएका थिए। मधेसका मुद्दामा केन्द्रित हुन नसक्दा टुटफुटको शृंखला चलेको उनको भनाइ थियो। 'मधेस आन्दोनपछि मधेसी दलहरूमा निरन्तर टुटफुट देखेका छौं। यस विषयमा गम्भीर समीक्षा गर्ने बेला आएको छ,' उनले भने। उनले पछिल्ला ढेड दसकमा भएका घटनाक्रमबारे गम्भीर छलफल हुनुपर्ने माग गरे। 'मधेस आन्दोलनपछिका १६१७ वर्षमा जेजस्तो घटनाहरू भए, त्यस विषयमा गम्भीर छलफल गरौं,' उनले भने। उनले अध्यक्ष यादवले प्यारो मान्छेहरूको कुरामा विश्वास गर्दा पार्टीभित्र दुर्घटना भएको बताए। 'हिजो पार्टीभित्र मुसाको सवारी गरेर गणेश परिक्रमा गर्नेहरू आज कहाँ छन्? मेरोबारेमा अध्यक्षजीलाई कुरो लगाउने, चिया पसलमा मेरो कुरो काट्ने, बदनाम गराउन प्रोपगण्डा चलाउनेहरू कहाँ छन्? अध्यक्षजीले समयमै मेरो कुरा मान्नुभएको भए अप्रिय घटना हुँदैन थियो,' उनले दाबी गरे। उनले पार्टीलाई बलियो बनाउन काठमाडौं छाडेर मधेस झर्नुपर्ने बताए। उनले मधेसी जनताले चाहेको लक्ष्य भेटाउन मधेस झर्नुको विकल्प नरहेको सुझाव दिएका थिए।"
सुदूरपश्चिमका मुख्यमन्त्रीले विश्वासको मत लिने,"सुदूरपश्चिम : सुदूरपश्चिम प्रदेशका मुख्यमन्त्री दीर्घबहादुर सोडारीले आगामी जेठ ३ गते बस्ने प्रदेशसभा बैठकमा विश्वासको मत लिनु भएका छन्। मुख्यमन्त्रीले विश्वासको मत लिनका लागि आज जेठ ३ गते बिहान १०:३० बजे प्रदेशसभाको बैठक बस्ने सूचना टाँस गरिएको प्रदेशसभा सचिवालयका सूचना अधिकारी युवराज जैशीले जानकारी दिए। यसअघि यही वैशाख २१ र २२ गते मुख्यमन्त्रीले विश्वासको मत लिन बोलाइएको बैठक स्थगन गरिएको थियो। सत्ता साझेदार नेकपा (एमाले)ले आफूहरुको तयारी नपुगेको र थप छलफल गर्नुपर्ने अडान राखेपछि बैठक स्थगित गरिएको थियो। नेकपा (एमाले) संसदीय दलका नेता राजेन्द्रसिंह रावलले जेठ ३ गतेको बैठकमा मुख्यमन्त्री सोडारीलाई विश्वासको मत दिनेनदिनेमा एमाले अझै टुंगोमा पुग्न नसकेको बताए। उनले भने, केन्द्रदेखि प्रदेश तहसम्मका सरकारको समीकरणको सन्दर्भ छ, मुख्यमन्त्रीले विश्वासको मत लिने तरिकामा भर पर्छ, विश्वासको मत लिनेले समन्वय गर्नपनि जान्नुपर्यो। यही वैशाख ६ गते मुख्यमन्त्रीमा नियुक्त सोडारीले संविधानअनुसार एक महिनाभित्र (जेठ ५ गतेभित्र) विश्वासको मत लिइ सक्नुपर्छ। यसअघि विश्वासको मत लिने तयारी गरेका सोडारीलाई असंवैधानिक ढंगले मुख्यमन्त्रीमा नियुक्त गरिएको जिकिर गर्दै नेपाली कांग्रेस संसदीय दलले मुख्यमन्त्रीले विश्वासको मत लिन खोजे अवरोध सिर्जना गर्ने निर्णय गरेको थियो। नागरिक उन्मुक्ति पार्टी (नाउपा) संसदीय दलका प्रमुख सचेतक खुसीराम डगौराले मुख्यमन्त्रीले लिने विश्वासको मतको विपक्षमा मतदान गर्न निर्देशन (ह्वीप) जारी गरेका थिए। नाउपामा देखिएको आन्तरिक किचलो अझै साम्य हुन सकेको छैन। नेकपा (एमाले), नेकपा (माओवादी केन्द्र), नागरिक उन्मुक्ति पार्टीका दुई सदस्य, स्वतन्त्र सदस्य डा तारा जोशीको समर्थनमा नेकपा (एकीकृत समाजवादी) संसदीय दलका नेता सोडारी सुदूरपश्चिम प्रदेशको मुख्यमन्त्रीमा नियुक्त भएका थिए। त्रिपन्न सदस्यीय प्रदेशसभामा नेपाली कांग्रेसका १८, नेकपा (माओवादी केन्द्र)को सभामुखबाहेक १०, नेकपा (एमाले) को ११, नागरिक उन्मुक्ति पार्टीको सात, नेकपा (एकीकृत समाजवादी) पार्टीका चार, राप्रपाको एक र एक स्वतन्त्र सदस्य छन्।"
माधव नेपालको राजनीतिक प्रतिवेदन : समीकरण वा सहकार्य बदलिन सक्छ,"काठमाडौं : नेकपा एकीकृत समाजवादीका अध्यक्ष माधव कुमार नेपालले राजनीतिक समीकरण वा सहकार्य परिवर्तन हुने संकेत गरेका छन्। पार्टीको पोलिटब्युरो तथा केन्द्रीय कमिटी बैठकमा उनले संसदमा रहेका दलहरू सम्मिलित समीकरणलाई तात्कालिक सहकार्यमात्रै रहेको प्रष्ट पारेका छन्। 'अहिले हामी संसदभित्र रहेका विभिन्न राजनीतिक दलहरू सम्मिलित समिकरणमा पनि छौं। यो समीकरण संयुक्त मोर्चा होइन, तात्कालिक राजनीतिक सहकार्यमात्र हो। यो समीकरण वर्तमान संसदको संरचनाअनुसार सरकार निर्माण र सञ्चालनका निम्ति बनाइएको हो। यो दीर्घकालीन होइन। राजनीतिक परिस्थिति बदलियो भने समीकरण वा सहकार्य पनि बदलिन सक्छ,' नेपालले प्रस्तुत गरेको प्रतिवेदनमा भनिएको छ। उनले समाजवाद निर्माणका निम्ति एउटा बलियो कम्युनिष्ट शक्तिको आश्यकता रहेको औंल्याएका छन्। त्यसका लागि विभाजित अवस्थामा रहेका नेपालको कम्युनिष्ट आन्दोलनलाई एकताबद्ध नगरी त्यो बलियो कम्युनिष्ट शक्ति निर्माण हुन नसक्ने उनको भनाइ छ। 'वामपन्थी शक्तिहरूबीच सहकार्यको भावना विकास गर्नु र मोर्चा बनाएर काम गर्दै पार्टी एकताका आधारहरू निर्माण गर्नु पनि आजको एउटा महत्वपूर्ण राजनीतिक कार्यभार हो। यो कार्यभार बहन गर्नुपर्ने दायित्व हाम्रो काँधमा छ,' उनले भनेका छन्। उनले समाजवादी मोर्चालाई वामपन्थी पार्टीहरूबीचको संयुक्त मोर्चा रहेको उल्लेख गरेका छन्। 'यस मोर्चाको मुख्य लक्ष्य र उद्देश्य 'सङ्घीय लोकतान्त्रिक गणतन्त्रको रक्षा र सुदृढीकरण गर्दै समाजवादको नेपाली बाटो तय गर्ने र समाजको अग्रगामी रूपान्तरणको कार्य अगाडि बढाउने' हो। यस उद्देश्य अनुरूप मोर्चालाई राम्रोसँग परिचालन गर्न सकियो भने समाजवादी क्रान्तिलाई अगाडि बढाउन केही न केही योगदान पुग्ने छ,' प्रतिवेदनमा भनिएको छ। उनले एमालेसहितको वर्तमान गठबन्धनका कारण प्रतिनिधसभा र प्रदेशसभासमेत त्रिशंकु भएको आरोप लगाए। यसले सरकारको स्थिरतामा प्रश्न उठिरहेको उनको भनाइ छ। '२०८० फागुन २१ मा उक्त गठबन्धन भत्किएर हाम्रो पार्टी नेकपा ( एकीकृत समाजवादी), नेकपा (एमाले), नेकपा (माओवादी केन्द्र), रास्वपा र जसपा सम्मिलित पाँच दलीय गठबन्धन बनेको छ। पुष्पकमल दाहाल 'प्रचण्ड' कै नेतृत्वमा सरकार बनेको छ। प्रतिनिधि सभा र प्रदेश सभा सबै त्रिशंकु भएको र सबैतिर गठबन्धन सरकार बनाउनुपर्ने अवस्था भएकाले सरकारको स्थिरतामा प्रश्न उठिरहने अवस्था छ,' प्रतिवेदनमा भनिएको छ।"
ग्लोबल आइएमई बैंकलाई ग्लोबल फाइनान्सको बेष्ट बैंक अवार्ड,"काठमाडौं : ग्लोबल आइएमई बैंक लिमिटेड ग्लोबल फाइनान्स म्यागाजिनको बेष्ट बैंक अवार्ड २०२४ बाट सम्मानित भएको छ। ग्लोबल फाइनान्स म्यागाजिनले विश्वभरिका सर्वश्रेष्ठ बैंकहरू छनोट गरी सम्मानित गरेको हो। बैंकको विश्वसनीयता, वित्तीय श्रोत परिचालन, पहुँच विस्तार, रणनीतिक सम्बन्ध स्थापना, व्यावसायिक तथा ग्राहकमैत्री सेवाहरूको विकास, क्रेडिट रेटिङ लगायतका मापदण्डहरूमा ग्लोबल आइएमई बैंक सन् २०२४ को लागि नेपालको उत्कृष्ट बैंक भएको हो। ग्लोबल फाइनान्स म्यागाजिनले अफ्रिका, एशिया प्यासिफिक, क्यारिबियन, मध्य अमेरिका, ल्याटिन अमेरिका, मध्य र पूर्वी युरोप, मध्य पूर्व, उत्तर अमेरिका र पश्चिम युरोप क्षेत्रका उत्कृष्ट बैंकहरूलाई सम्मान गरेको हो। ग्लोबल आइएमई बैंक ग्लोबल फाइनान्सको यस प्रतिष्ठित अवार्डबाट सम्मानित हुने पहिलो नेपाली बैंक हो। ग्लोबल फाइनान्सले यस वर्ष हङकङको एचएसबीसी,संयुक्त राज्य अमेरिकाको बैंक अफ अमेरिका, भारतको स्टेट बैंक अफ इन्डिया, चीनको चाइना कन्स्ट्रक्सन बैंक, नेपालको ग्लोबल आइएमई बैंक,मलेशियाको मेबैंक,बङ्लादेशको स्टान्डर्ड चार्टर्ड बङ्लादेश,फिलिपिन्सको मेट्रो बैंक लगायतका विश्वभरका विभिन्न बैंकहरूलाई विभिन्न विधामा सम्मानित गरेको हो। बैंकका अनुसार ग्राहकहरूको आवश्यकतालाई मध्यनजर गरी समय सान्दर्भिक नविनतम सेवाहरू प्रदान गर्दै आइरहेको ग्लोबल आइएमई बैंकलाई ग्लोबल फाइनान्सबाट नेपालको उत्कृष्ट बैंकको सम्मानले आगामी दिनमा बैंकलाई रचनात्मक सेवाहरू प्रदान गर्न थप उत्साहित गर्नेछ। बैंकका ग्राहकहरूको माया, कर्मचारीको लगनसिलता, शेयरधनीहरू, नियमनकारी संस्थाहरू, अन्य सरोकारवालाको मार्गदर्शनले ग्लोबल आइएमई बैंकलाई उत्कृष्ट बैंकमा स्थापित गरेको बैंकले जनाएका छ। ग्लोबल आइएमई बैंक मुलुकका सतहत्तरै जिल्लामा शाखा सञ्जाल रहेको निजी क्षेत्रको पहिलो वाणिज्य बैंक हो। बैंकको ३५४ शाखा कार्यालय, ३७९ एटिएम, २७७ शाखा रहित बैंकिङ सेवा, ६८ एक्सटेन्सन तथा राजश्व संकलन काउन्टर तथा ३ वटा बैदेशिक प्रतिनिधि कार्यालय समेत गरी १,१०० भन्दा बढी सेवा केन्द्र रहेका छन्। ग्लोबल आइएमई बैंकलाई सबैंका लागि बैंक बनाउँदै बैंकले विभिन्न सेवा तथा सुविधासहितका योजना मार्फत आफ्ना ४६ लाख भन्दा बढी ग्राहकलाई उत्कृष्ट सेवा प्रदान गरी लाभान्वित गरिरहेको छ।"
सभामुखसँगको छलफलमा शेरबहादुर देउवा र रवि लामिछानेले के भने?,काठमाडौं : नीति तथा कार्यक्रमको तयारीबारे सभामुख देवराज घिमिरेले प्रमुख विपक्षी दल नेपाली कांग्रेसका सभापति शेरबहादुर देउवा र उपप्रधान एवं गृहमन्त्रीसमेत रहेका राष्ट्रिय स्वतन्त्र पार्टीका सभापति रवि लामिछानेसँग छलफल गरेका छन्। सभामुख घिमिरेले कांग्रेस सभापति देउवा र रास्वपा सभापति लामिछानेलाई राष्ट्रपति उपस्थित हुने संयुक्त सदनको बैठकअघि नै राजनीतिक सहमति जुटाउन आग्रह गरे। उनले राष्ट्रप्रमुख उपस्थित हुने र अवलोकनका लागि कूटनीतिज्ञहरूलाई आमन्त्रण गरिसकेकाले सौहार्दपूर्ण वातावरण बनाउने भूमिका खेल्न अपील गरे। सभापति देउवाले आफूहरूले गृहमन्त्रीको राजीनामा माग नगरेको बताउँदै संसदीय छानबिन समितिको अडानबाट पछाडि हट्न नसकिने बताए। सरकारले छानबिन समिति बनाउने अवस्था आए आगामी बैठकहरू स्वतः सुचारू हुने उनको भनाइ छ। सभापति देउवाले प्रतिपक्षीको आवाजलाई नजरअन्दाज गर्न नमिल्ने बताए। रास्वपा सभापति लामिछानेले राष्ट्रपतिलाई धन्यवाद दिने प्रयोजनका लागि बोलाइएको प्रतिनिधि सभाको बैठकमा आफूलाई बोल्न दिनुपर्ने बताए। जवाफमा सभामुख घिमिरेले बैठकमा बोल्ने वातावरण भए आफूले समय उपलब्ध गराउने बताए। सभामुखले आज नै प्रधानमन्त्री र राष्ट्रिय सभाका अध्यक्षसँग छलफल गरिसकेका छन्। उनले सत्तारुढ नेकपा एमालेका अध्यक्ष केपी शर्मा ओलीसँग पनि टेलिफोन संवाद गर्ने तय भएको छ।
