शीर्षक,विवरण
एसईई नतिजा : यसपटक पनि विद्यार्थीको कठिन विषय बन्यो गणित,काठमाडौं : यसपटक पनि माध्यमिक शिक्षा परीक्षा (एसईई)मा सबैभन्दा धेरै गणित विषयमा परीक्षार्थी अनुत्तीर्ण भएका छन्। आज सार्वजनिक गरिएको नतिजा अनुसार गणित विषयमा १ लाख २८ हजार २१५ परीक्षार्थी अनुत्तीर्ण भएका छन्। अंग्रेजीमा ८० हजार ६७२ विद्यार्थी अनुत्तीर्ण भए। कुन विषयमा कति अनुत्तीर्ण ? गणित : १ लाख २८ हजार २१५ अंग्रेजीमा : ८० हजार ६७२ साइन्स एण्ड टेक्नोलोजी : ७९ हजार २७१ नेपाली : ५४ हजार ७३५ सामाजिक : ५३ हजार १८६ अर्थशास्त्र : ४२ हजार १५० ऐच्छिक गणित : १८ हजार २२२
"एसईईको नतिजामा सुधार, तर प्रधानमन्त्रीको 'टार्गेट' भएन पूरा","काठमाडौं : राष्ट्रिय परीक्षा बोर्डले शुक्रबार माध्यमिक शिक्षा परीक्षा (एसईई)को नतिजा सार्वजनिक गर्यो। सार्वजनिक नतिजाअनुसार गत वर्षको तुलनामा केही सुधार भएको छ। गत २०८१ चैत ७ गतेदेखि सञ्चालन भएको एसईई परीक्षामा सहभागी ४ लाख ३८ हजार ८९६ विद्यार्थीमा २ लाख ७१ हजार २९९ जना उत्तीर्ण भए। १ लाख ६७ हजार ५९७ परीक्षार्थी फेल भए। बोर्डका अनुसार उत्तीर्ण दर ६१८१ रहेको छ। गत वर्ष एसईईमा ४७८६ प्रतिशत विद्यार्थी उत्तीर्ण भएका थिए। बोर्डका अनुसार २०८१ सालको एसईईको नतिजामा १३९५ प्रतिशतले सुधार आएको छ। यस वर्ष एसईई दिएका १२६ जना परीक्षार्थीको भने परीक्षा रद्द भएको छ। राष्ट्रिय परीक्षा बोर्डका अध्यक्ष डा महाश्रम शर्माका अुसार दुई विषयमा कम जीपीए ल्याउनेले ग्रेडवृद्धिको मौका परीक्षा दिन पाउने छन्। मौका परीक्षा साउन २९ देखि हुनेछ भने कार्यतालिका पछि प्रकाशित गरिने अध्यक्ष शर्माको भनाइ छ। बोर्डले यसपटक पनि पासफेलसहितको नतिजा सार्वजनिक गरेको हो। गत वर्षदेखि बोर्डले यो व्यवस्थाअनुसार नतिजा सार्वजनिक गर्न थालेको हो। त्योभन्दा अगाडि पास तथा फेल अंकित नगरी ग्रेडमात्र सार्वजनिक गरिन्थ्यो। राष्ट्रिय परीक्षा बोर्डले विद्यार्थी पास तथा फेलसहित नतिजा सार्वजनिक गर्न उपयुक्त नभएको शिक्षाविद्को तर्क छ। शिक्षाविद् प्राडा विद्यानाथ कोइरालाले विद्यार्थीलाई फेल गर्न नपाइने बताए। उनले धेरै जना विद्यार्थी पास भएर मख्ख हुनुभन्दा पनि सबै जना पास हुनुपर्ने बताए। कुन विषयमा कति अनुत्तीर्ण ? एसईईमा सबैभन्दा बढी विद्यार्थी गणितमा कमजोर देखिएका छन्। बोर्डले सार्वजनिक गरेको नतिजाअनुसार सबैभन्दा बढी विद्यार्थी गणित विषयमा अनुत्तीर्ण भएका छन्। गणित विषयमा १ लाख २८ हजार २१५ परीक्षार्थी अनुत्तीर्ण भएका हुन्। अंग्रेजीमा ८० हजार ६७२ विद्यार्थी अनुत्तीर्ण भए। त्यस्तै साइन्स एण्ड टेक्नोलोजीमा ७९ हजार २७१, नेपालीमा ५४ हजार ७३५, सामाजिकमा ५३ हजार १८६, अर्थशास्त्रमा ४२ हजार १५० र ऐच्छिक गणितमा १८ हजार २२२ विद्यार्थी अनुत्तीर्ण भएका छन्। कुन जीपीएमा कति विद्यार्थी ? राष्ट्रिय परीक्षा बोर्डले सार्वजनिक गरेको एसईई नतिजाअनुसार ३६ देखि ४ जीपीए ल्याउने विद्यार्थी ४८ हजार १७७ रहेका छन्। त्यस्तै ३२ देखि ३६ जीपीए ल्याउने विद्यार्थी ८१ हजार ३८५ जना र २८ देखि ३२ जीपीए ल्याउने विद्यार्थीहरू ८९ हजार १२४ जना रहेका छन्। यस्तै २४ देखि २८ जिपिए ल्याउने विद्यार्थीहरू ४८ हजार ४७९ जना र २ देखि २४ जीपीए ल्याउने विद्यार्थीहरू ४ हजार १२६ जना र १६ जीपीएदेखि २ जीपीएसम्म ल्याउनेहरू ८ जना रहेको बोर्डले जनाएको छ। कुन प्रदेशमा कति उत्तीर्ण ? राष्ट्रिय परीक्षा बोर्डले सार्वजनिक गरेको नतिजा अनुसार सबैभन्दा बढी बागमती प्रदेशमा उत्तीर्ण भएका छन्। यस्तै कोशीमा ४७ हजार ८३५, मधेशमा ५९ हजार ७४९, गण्डकीमा ४७ हजार ८४९, लुम्बिनीमा ५७ हजार ६८७, कर्णालीमा ४६ हजार ४५५ सुदूरपश्चिममा ५९ हजार ८०४ जना विद्यार्थी उत्तीर्ण भएका छन्। कुन वर्ष कस्तो नतिजा ? सरकारले विद्यार्थीलाई फेल नगर्ने रणनीति लिएसँगै २०७१ पछि ग्रडिङ प्रणालीमा नतिजा सार्वजनिक गर्न थालिएको थियो। जसअनुसार २०७९ को एसईईमा कुल ४ लाख ८४ हजार ९३९ विद्यार्थीमध्ये १३ हजार ९ सय ९२ विद्यार्थीको एनजी मा नतिजा आयो। तल्लो जीपीए ल्याउने विद्यार्थीहरूको सङ्ख्या कम र माथिल्लो जीपीए ल्याउने विद्यार्थीको संख्या बढी थियो। त्यसैगरी २०७८ मा २२ हजार ५३७ विद्यार्थीको ग्रेड एनजी आयो। यो कूल परीक्षार्थीको ४५५ प्रतिशत थियो। त्यस्तै शैक्षिक वर्ष २०७७ मा कोरोना महामारीले गर्दा परीक्षा सञ्चालन हुन नसक्दा विद्यालयले नै आन्तरिक मूल्यांकनको आधारमा एसईईको नतिजा सार्वजनिक गर्ने प्रावधान गरिएको थियो। जसमा ४ लाख ८४ हजार २ सय ७८ विद्यार्थीको नतिजा आन्तरिक मूल्यांकनको आधारमा बोर्डले प्रमाणीकरण गरेको हो। त्यस्तै २०७६ सालमा चार लाख ६२ हजार १३६ विद्यार्थीले एसईई दिएकोमा १६ हजार ८८२ विद्यार्थीले ३६ देखि ४ जीपीए ल्याएका थिए। २०७५ सालमा चार लाख ४९ हजार ६४२ विद्यार्थीले एसईई दिएकोमा आठ हजार २०७ विद्यार्थीले ई ग्रेड ल्याएका थिए। बोर्डले एसएलसी सुरुवातको ८२ वर्षपछि २०७२ सालमा विद्यार्थी फेल नहुनेगरी नतिजा सार्वजनिक गरेको थियो। २०७२ सालको एसईईमा पाँच लाख ८८ हजार १५२ विद्यार्थी सहभागी भएकोमा ३६ देखि ४ जीपीए ल्याउने विद्यार्थीको संख्या १६ हजार ४५४ थियो। ०७२ सालदेखि पास वा फेल केही नभनी ग्रेडमात्र छुट्याउँदै आएको थियो। कति नम्बर आयो भन्ने कुरासमेत नराखी नतिजा प्रकाशन गरिँदै आएको थियो। गत वर्षदेखि भने जीपीएसँगै फेल हुने विद्यार्थीलाई एनजी ग्रेडमा राखिएको हो। नतिजामा सुधार, तर ७० प्रतिशत पुगेन गत वर्ष एसईईको परीक्षामा ४७८७ प्रतिशत परीक्षार्थी मात्रै उत्तीर्ण भएका थिए। कम विद्यार्थी उत्तीर्ण भएपछि प्रधानमन्त्री केपी शर्मा ओलीले नतिजा ७० प्रतिशत पुर्याउने उद्घोष गरेका थिए। तर, प्रधानमन्त्रीको उद्घोषअनुसार नतिजा भने आउन सकेन। गत वर्षको तुलनामा एसईईको नतिजामा १३९५ प्रतिशतले सुधार गर्दै ६१८१ विद्यार्थी उत्तीर्ण भएका छन्। उत्तीर्ण दर सुधार्न प्रधानमन्त्री ओलीले प्रभावकारी रूपमा काम गर्न शिक्षा, विज्ञान तथा प्रविधि मन्त्रालयलाई निर्देशनसमेत दिएका थिए। प्रधानमन्त्री तथा मन्त्रिपरिषदको कार्यालयबाट एम्बिसन गुरू नामक मोबाइल एपमार्फत विद्यार्थीको सहभागिता सुनिश्चित गर्नेगरी काम भएको थियो। उक्त एपमा निजी कम्पनीमार्फत उत्पादित सामग्री विद्यार्थीका लागि राखिएका थिए। एपमा देशभरिका विद्यार्थीले एसईईमा उत्कृष्ट नतिजा ल्याउन भन्ने उद्देश्यले सामग्री राखिएको थियो। तर, त्यो प्रधानमन्त्रीको भनाइ र तयारी अनुसारको नतिजा भने आउन नसकेको शिक्षाविद् बताउँछन्। शिक्षाविद् कोइरालाले प्रधानमन्त्री ओलीले एउटा कुरा भनेर अर्को गर्ने गरेको बताए। 'प्रधानमन्त्रीजीले जे भन्नुहुन्छ त्यो गर्नुहुँदैन,' अन्नपूर्ण पोस्ट्सँग उनले भने। प्रधानमन्त्री ओलीले भने नतिजा सुधार गर्न आफूहरूले गरेको मेहनत काम लागेको बताएका छन्। एसईईको नतिजा आएपछि उत्तीर्ण विद्यार्थीलाई बधाइ दिँदै उनले बितेको वर्षमा नतिजा सुधार गर्न आफूहरूले गरेको मेहनत काम लागेको बताए। नतिजा सुधार गर्न के गर्ने ? एसईईको नतिजा सरकार, अभिवाभक र विद्यार्थीले सोचे जस्तो आउने गरेको छैन। एसईईको नतिजा राम्रो नआउनुमा को दोषी भन्ने प्रश्न उठ्ने गरेको छ। शिक्षाविद् कोइरालाले एसईईको नतिजा सुधार गर्न शिक्षक जिम्मेवार हुनुपर्ने बताए। 'नतिजा राम्रो नआउनुमा शिक्षक नै जिम्मेवार हो भन्न सक्नुपर्छ। शिक्षकले पनि नतिजा राम्रो नआउनुमा आफू नै जिम्मेवार हुँ भनेर स्वीकार्नुपर्छ,' उनले भने।"
"एसईईमा ६१८१ प्रतिशत ग्रेडेड, २८३२ जीपीए ल्याउने विद्यार्थी धेरै",काठमाडौं : राष्ट्रिय परीक्षा बोर्डले माध्यमिक शिक्षा परीक्षा (एसईई) को नतिजा सार्वजनिक गरेको छ। बोर्डका अध्यक्ष डाक्टर महाश्रम शर्माका अनुसार यस वर्ष ६१८१ प्रतिशत विद्यार्थी ग्रेडेड भएका छन्। २०८१ को एसईईमा नियमिततर्फ सहभागी भएका ४ लाख ३८ हजार ८९६ परीक्षार्थीमध्ये ३६ देखि ४ जीपीए ल्याउनेहरू ४८ हजार १७७ रहेका छन्। त्यस्तै ३२ देखि ३६ जीपीए ल्याउने विद्यार्थी ८१ हजार ३८५ जना र २८ देखि ३२ जीपीए ल्याउने विद्यार्थीहरू ८९ हजार १२४ जना रहेका छन्। त्यस्तै २४ देखि २८ जिपिए ल्याउने विद्यार्थीहरू ४८ हजार ४७९ जना र २ देखि २४ जीपीए ल्याउने विद्यार्थीहरू ४ हजार १२६ जना र १६ जीपीएदेखि २ जीपीएसम्म ल्याउनेहरू ८ जना रहेको बोर्डले जनाएको छ। त्यस्तै १२६ जनको परीक्षा रद्द गरिएको बोर्डका अध्यक्ष शर्माले बताए।
"शनिबारदेखि तीनवटा प्रदेशमा भारी वर्षा हुने, बाढीपहिरोको उच्च जोखिम","काठमाडौं : शनिबारदेखि तीनवटा प्रदेशमा भारी वर्षा हुने हुने भएको छ। मौसम पूर्वानुमान महाशाखाले मनसुन विशेष मौसम बुलेटिन जारी गरेर हाल मनसुनको न्यून चापीय रेखा पूर्वमा सरदर स्थानमा तथा पश्चिममा सरदर स्थानबाट दक्षिणतर्फ अवस्थित रहेको र शनिबार साँझबाट उक्त रेखा सरदर स्थानबाट उत्तर तर्फ पश्चिम नेपालको केही नजिक सर्ने सम्भावना देखिएको जनाएको छ। उक्त प्रभावले कर्णाली प्रदेशको पहाडी भूभाग, सुदूरपश्चिम प्रदेश र लुम्बिनी प्रदेशका पहाडी र तराईका भूभागमा मनसुन सक्रिय हुने सम्भावना रहेको जनाएको हो। महाशाखाका अनुसार बंगालको खाडी तथा अरबको सागरबाट प्रवाह हुने जलवाष्पयुक्त हावाको साथै त्यस क्षेत्रहरूमा न्यून चापीय प्रणालीको प्रभावको कारण असार १४ गते शनिबार साँझदेखि सोमबार बिहानसम्म कर्णाली प्रदेशको पहाडी भूभाग, सुदुरपश्चिम प्रदेश र लुम्बिनी प्रदेशका पहाडी र तराईका भूभागका थोरै स्थानहरूमा भारीदेखि धेरै भारी वर्षाको सम्भावना रहेको छ। साथै अन्य प्रदेशको पहाडी भूभागका एकदुई स्थानमा समेत भारीदेखि धेरै भारी वर्षाको सम्भावना रहेको छ। सम्भावित वर्षाको कारणले भूक्षय, बाढी, पहिरो तथा गेग्रान बहावको जोखिम रहेकोले सहरी तथा तराई क्षेत्रहरूमा डुबानको जोखिम रहेको, ठूला तथा साना नदी नाला र खोलाहरूमा पानीको सतह बढ्न सक्ने, दैनिक जनजीवन, कृषि, स्वास्थ्य, पर्यटन, नदी क्षेत्र आसपासका निर्माण कार्य, सडक तथा हवाई यातायात समेत प्रभावित हुन सक्ने भएकोले आवश्यक सतर्कता तथा पूर्व तयारी अपनाउनु हुन सर्वसाधारण तथा सबै सरोकारवाला निकायहरूमा महाशाखाले जनाएको छ।"
"नसाको सुरमा ११ वर्षीया बालिकाको सामूहिक बलात्कारपछि हत्या, ५ जना पक्राउ","सिन्धुपाल्चोक : सिन्धुपाल्चोकको भोटेकोशी गाउँपालिका ५ कोलगाउँमा ११ वर्षीय बालिकाको सामूहिक बलात्कारपछि हत्या भएको छ। हत्यामा संलग्न ५ जनालाई प्रहरीले पक्राउ गरी सार्वजनिक गरेको छ। मदिरा सेवन गरेका ५ जनाले नसाको सुरमा बालिकाको हत्या गरेको प्रहरीले जनाएको छ। पक्राउ पर्नेहरुमा भोटेकोशी गाउँपालिका ५ का २१ वर्षीय निमा तेन्जिङ तामाङ, २२ वर्षीय वाङनिमा तामाङ, २० वर्षीय दावा तामाङ, २२ वर्षीय लाक्पा पासाङ तामाङ र ३२ वर्षीय नामग्याल शेर्पा रहेका छन्। असार १० गते कोलगाउँका पदमबहादुर तामाङको ११ वर्षीया छोरी निशा तामाङ दिनभर वरपर देखिइनन्। बुबा आमा रोजगारीको सिलसिलामा इराक गएपछि दिदीको घरमा बस्दै आएकी कक्षा ७ मा अध्ययनरत तामाङ दिनभरि बेपत्ता भएपछि आफन्तले खोजी थालेका थिए। भोलिपल्ट बिहान कोलगाउँस्थित छ्यादीखोला जंगल क्षेत्रमा स्थानीयले शंकास्पद वस्तु देखेपछि प्रहरीलाई खबर गरेका थिए। सूचना पाएलगत्तै जिल्ला प्रहरी कार्यालय सिन्धुपाल्चोकबाट प्रहरी उपरीक्षक रामेश्वर कार्कीको कमाण्डमा प्रहरी टोली घटनास्थल पुगेको थियो। प्रहरीले घटनाको स्थिति गम्भीर देखेपछि प्रहरी प्रधान कार्यालयस्थित केनाइन कार्यालयका इन्स्पेक्टर कृष्ण बस्नेतको कमान्डमा दुई वटा तालिम प्राप्त कुकुरलाई घटनास्थलमा परिचालन गरिएको थियो। तालिमप्राप्त कुकुरको सहायताले हत्यामा संलग्नहरुको पहिचान गरिएको प्रहरीले जनाएको छ। मदिरा सेवन गरेका ५ जनाले पालैपालो बलात्कारपछि हत्या गरेर छ्यादीखोला जङ्गलमा बालिकाको शव फालेर भागेको अनुसन्धानमा सङ्लग्न अधिकृतहरू बताउँछन्। उनलाई सामूहिक बलात्कारपछि हत्या गरिएको प्रहरीको अनुसन्धान निष्कर्ष छ। हामीले घटनास्थल वरपरका व्यक्तिहरूको गतिविधि र हिँडाइको आधारमा अनुसन्धानलाई अगाडि बढायौं, प्रहरी उपरीक्षक कार्कीले भने घटना स्थलमा प्रारम्भिक छानविन, सवुत संकलन, शारीरिक प्रमाण र कुकुरद्वारा देखाइएको मार्गको आधारमा ५ जनालाई पक्राउ गर्यौं। उनका अनुसार नियन्त्रणमा लिएका व्यक्तिहरुको घर खानतलासी गर्दा अपराधसँग सम्बन्धित दसीप्रमाणहरु बरामद भएको छ। प्रहरीका अनुसार पक्राउ गरिएकाहरु मृतक बालिकाको नातेदार र छिमेकीहरू हुन्। पक्राउ गरिएका ५ जनालाई अदालतबाट ७ दिनको म्याद अनुमति लिई मुलुकी अपराधी संहिता २०७४ को करणी र ज्यान सम्बन्धी कसुरमा थप अनुसन्धान भइरहेको प्रहरीले जनाएको छ।"
घाँस काट्न गएकी महिलाको भीरबाट लडेर मृत्यु,"गुल्मी : गुल्मीमा घाँस काट्ने क्रममा भीरबाट लडेर एक महिलाको मृत्यु भएको छ। जिल्लाको मदाने गाउँपालिका६ स्थित घ्युउपानीकी ३१ वर्षीय लक्ष्मी थापाको मृत्यु भएको जिल्ला प्रहरी कार्यालयका प्रहरी नायब उपरीक्षक (डीएसपी) गंगा बहादुर सारुले बताए। थापा बिहीबार दिउँसो स्थानीय काउले भालुखोला सामुदायिक वनमा घाँस काट्न गएकी थिइन्। तर, साँझसम्म पनि घर नफर्किएपछि परिवार र छिमेकीहरूले खोजी गर्दा किरा चौर भीरमुनि उनको शव फेला परेको थियो। प्रहरी उपरीक्षक सारुका अनुसार गाउँकै सामुदायिक वनमा घाँस काट्न गएकी लक्ष्मीको करिब १५२० मिटर तल भीरमा थापाको मृत शव फेला परेको थियो। स्थानीय र घर परिवारले खोजीको क्रममा थापालाई भीरमा लडेर मृत अवस्थामा देखेपछि उनीहरूले इलाका प्रहरी कार्यालय पुर्कोटदहमा खबर गरेका थिए। त्यसपछि प्रहरी निरीक्षक रेवन्त सेनको नेतृत्वमा ६ जनाको टोली घटनास्थल पुगेको थियो। मृतक थापाका श्रीमान वैदेशिक रोजगारीमा रहेको प्रहरीले जनाएको छ। लक्ष्मीका दुई छोरा रहेका छन्। घटनाबारे थप अनुसन्धान भइरहेको प्रहरीले जनाएको छ।"
एसइईमा ग्रेड प्राप्त विद्यार्थीलाई प्रधानमन्त्रीको बधाई,"काठमाडौं : प्रधानमन्त्री केपी शर्मा ओलीले माध्यमिक शिक्षा परीक्षा (एसइई) मा ग्रेड प्राप्त गरेका विद्यार्थीलाई बधाई दिएका छन्। सामाजिक सञ्जालमार्फत आज प्रधानमन्त्री ओलीले एसइईमा ग्रेड नपाउने विद्यार्थीहरूले यसलाई नै अन्तिम परीक्षा नठान्न र सफलताको अर्को दिन आउने बताए। प्रधानमन्त्री ओलीले एसइई परीक्षाको नतिजा सुधार गर्न आफूले गरेको मेहनतले काम लागेको बताए। 'यसवर्ष करिब ६१८१ प्रतिशत परीक्षार्थीले ग्रेड प्राप्त गर्नुभएको छ। गतवर्ष ४७८६ प्रतिशत परीक्षार्थीले मात्र ग्रेड प्राप्त गर्नुभएको थियो भने ५२१४ प्रतिशत परीक्षार्थी ननग्रेडेड रहनुपरेको थियो। बितेको वर्षमा नतिजा सुधार गर्न हामीले गरेको मेहिनत काम लागेको छ। ग्रेड नपाउने विद्यार्थीहरूले यसलाई नै अन्तिम परीक्षा नठान्नु होला, सफलताको अर्को दिन आउने छ। सबै भाइबहिनीहरूलाई बधाई,' प्रधानमन्त्री ओलीले सामाजिक सञ्जालमा लेखेका छन्।"
विराटनगरमा बारम्बार चोरी गर्ने भारतीय महिलाको गिरोह पक्राउ,"विराटनगर : कोशी प्रदेशको राजधानी विराटनगरमा सिटी सफारीमा चढेर यात्रा गर्ने यात्रुको साथबाट नगद र गहना बारम्बार चोरी भइरह्यो। चोरी भएपछि पीडित प्रहरीमा पुग्थे। तर, लामो समयदेखि प्रहरीले चोरीमा संलग्नलाई पक्राउ गर्न सकेको थिएन। खोजी भने जारी राखेको थियो। बल्ल अहिले चोरीमा संलग्न भारतीय महिलाको गिरोहलाई पक्राउ गर्न प्रहरी सफल भएको छ। यस घटनाले सफारीमा चढ्ने यात्रुको साथमा भएको नगद र गरगहना चोरी गर्ने भारतीय महिलाको समूह विराटनगरमा सक्रिय रहेको पुष्टि गरेको छ। चोरीमा संलग्न गिरोहका ३ जनालाई पक्राउ गरिएको मोरङ प्रहरी प्रवक्ता, डीएसपी कोपिला चुँडालले बताइन्। उनका अनुसार भारत बिहारको पूर्णिया घर भएका २४ वर्षीया प्रियंका धामी, २५ वर्षीया बिहोला धामी र २० वर्षीया अटकारी धामीलाई पक्राउ गरिएको हो। सिटी सफारीमा चढेर यात्रा गर्नेको साथबाट बारम्बार नगद र गहना चोरी हुन थालेपछि प्रहरीले निगरानी बढाएको थियो। त्यस क्रममा ३ जनालाई पक्राउ गरिएको चुँडालको भनाइ छ। उनका अनुसार सफारीमा यात्रा गरिरहेका १ जना वृद्धको साथबाट चोरी गरिएको ३ लाख रूपैयाँसहित उनीहरुलाई पक्राउ गरेर अनुसन्धान एवं कारबाहीको दायरामा ल्याइएको हो। पक्राउ परेकाहरुले मोरङको कटहरी गाउँपालिका४ का ७० वर्षीय नारायणप्रसाद काफ्लेको साथमा भएको रकम चोरी गरेको प्रहरीले जनाएको छ। विराटनगरस्थित बैंकबाट रकम निकालेका काफ्ले बिहीबार सफारी चढेर आफ्नो घरतर्फ जाँदै थिए। उक्त सफारीमा ३ जना महिला पनि चढे। शंकास्पद महिलाहरु विराटनगरमा देखिएको जानकारी पाएपछि प्रहरीले उनीहरुमाथि निगरानी बढाएको थियो। सफारीको पिछा गर्दै जाने क्रममा कटहरी१ बुधहाटबाट तीनै जनालाई नियन्त्रणमा लिइएको डीएसपी चुँडालको भनाइ छ। उनका अनुसार नियन्त्रणमा लिएर शरीर खानतलासी गर्दा वृद्धको साथमा भएको रकम चोरी गरेर लुकाइछिपाइ राखेको पाइयो। बैंकबाट निकालेको रकम वृद्धको साथमा थिएन। पैसा राखेको झोला मात्रै थियो। पैसा भने महिलाहरुले चोरी गरिसकेको पाइएको प्रहरीले जनाएको छ। प्रहरीका अनुसार पीडित काफ्ले गम्भीर रोगका बिरामी हुन्। उनले उपचारका लागि रकम झिकेका थिए। पक्राउ परेकाहरु लामो समयदेखि विराटनगरमा चोरीमा संलग्न रहेको प्रहरीको प्रारम्भिक अनुसन्धानबाट खुलेको छ। मोरङ प्रहरी प्रमुख एसपी नारायणप्रसाद चिमरियाले भने, उनीहरुले सुरुमा रकम झिक्न बैंकमा र सामान खरिद गर्न पसलमा पुग्ने व्यक्तिको निगरानी गर्दा रहेका छन्। रकम निकालिसकेपछि सफारी चढेर गन्तव्यमा जाने क्रममा रेकी गरेर बसेका ती महिला पनि त्यही सफारीमा चढ्ने रहेछन्। अनि रकम चोरी गरेपछि बीचैमा सफारीबाट उत्रिने गरेको पाइयो। मौका मिलेमा सुनचाँदीका गहना पनि चोरी गर्ने रहेछन्। उनका अनुसार चोरी गरिसकेपछि ती महिलाहरु फर्किएर भारततिरै जाने गरेको पाइएको छ। अनि पुनः विराटनगर आएर त्यही शैलीमा चोरी गर्ने गरेको पत्ता लागेको जानकारी एसपी चिमरियाले दिए। बैंकका ग्राहाक र पसलमा सामान खरिद गर्नेहरु सफारीमा चढेर गन्तव्यमा जाने क्रममा चोरीमा संलग्न भारतीय महिलाहरुले निगरानी गर्ने गरेको पाइयो। विशेष गरेर असहाय र वृद्ध उमेर समूहकालाई तार्गेट गर्दा रहेछन्। साथमा बोकेको झोलाबाट नगद र गहना चोरी गरेपछि निस्किएर हिँड्ने गरेको पत्ता लाग्यो, उनी भन्छन्। लामो समयदेखि विराटनगरमा सफारी चढेर यात्रा गर्नेहरुको साथबाट नगद र गहना चोरी हुने गरेको गुनासो प्रहरीमा पुगिरहेको थियो। तर, चोरीमा संलग्नहरु प्रहरीलाई छल्न सफल भइरहेका थिए। निगरानी बढाउँदा अन्ततः सफारीमा यात्रारत यात्रुको नगद र गहना चोरीमा संलग्न भारतीय महिलाको गिरोहलाई पक्राउ गर्न प्रहरी सफल भएको एसपी चिमरियाको भनाइ छ। उनका अनुसार पक्राउ परेका महिलाविरुद्ध चोरी मुद्दा चलाउन शुक्रबार अदालतबाट म्याद थप गरेर अनुसन्धानको बाँकी प्रक्रिया अघि बढाइएको छ। नगद र गहना चोरी हुने जोखिम रहने हुँदा भाडाका सवारीसाधनमा यात्रा गर्दा सावधानी अपनाउन सबैमा उनको अनुरोध छ।"
नेपालले अष्ट्रेलियामा सिरिज खेल्ने,"काठमाडौं : नेपाली राष्ट्रिय क्रिकेट टिमले टी२० विश्वकप छनोटको तयारीका लागि अष्ट्रेलियामा अभ्यास सिरिज खेल्ने भएको छ। नेपालले अष्ट्रेलियामा टप इण्ड टी२० सिरिज खेल्न लागेको हो। नेपाल क्रिकेट संघ (क्यान)ले शुक्रबार एक विज्ञप्ति जारी गर्दै २०२६ मा भारत र श्रीलंकामा हुने टी२० विश्वकप छनोटको तयारीका लागि सिरिज खेल्ने जनाएको हो। नेपालले १४ देखि २४ अगष्टमा अष्ट्रेलियाको टप इण्ड टी२० सिरिजमा भाग लिनेछ। क्यानका अनुसार नेपालले उक्त सिरिजमा कम्तीमा ६ वटा टी२० खेल खेल्नेछ। क्यानले सिरिजबारे अन्य जानकारी र तालिका आगामी हप्ता सार्वजनिक गर्ने बताएको छ। २०२५ टप इण्ड टी२० सिरिजका लागि नेपाल पहिलो टिमको रुपमा दर्ता भएको छ। नेपालले अष्ट्रेलियामा राम्रो तयारीको रुपमा हेरिएको छ। अष्ट्रेलियन क्रिकेटको ठुलो मात्रामा रहेका समर्थकको आँखा उत्तरी क्रिकेटमा तान्ने धेय रहेको छ। एनटी क्रिकेटका प्रथक कार्यकारी अधिकृत(सीइओ) गारभिन डोभीले भने,नेपाल क्रिकेट टिम पछिल्लो वर्षहरुमा निकै राम्रोसँग विकास भइरहेको छ। जसका कारण उनीहरूलाई टप इण्ड टी२० मा नेपाललाई ल्याउन पाउँदा हामी निकै खुसी छौँ। नेपाली क्रिकेट समर्थकको आँखा उत्तरी क्रिकेटमा पनि पर्नेछ।"
थाई एयर एसियाले भैरहवाबाट फेरि उडान भर्ने,"भैरहवा : थाई एयर एसिया भैरहवास्थित गौतमबुद्ध अन्तर्राष्ट्रिय विमानस्थलबाट पुनः व्यावसायिक उडान गर्ने भएको छ। गत कात्तिक १८ गतेदेखि यस विमानस्थलबाट व्यावसायिक उडान थालेको कम्पनीले विभिन्न कारण देखाउँदै बीचमा उडान स्थगित गरेको थियो। केही समय अघि कम्पनीले भैरहवा विमानस्थलबाट उडान अनुमतिको माग गर्दै नेपाल नागरिक उड्डयन प्राधिकरणमा पेश गरेको निवेदन सहितको विन्टर सेड्युल स्वीकृत भएको गौतमबुद्ध अन्तर्राष्ट्रिय विमानस्थलका सूचना अधिकारी विनोदसिंह राउतले बताए। उनले थाई एयर एसियाले अगामी कार्तिक ९ गते देखि साताको दुई दिन आइतबार र बुधबार उडान गर्ने तालिका रहेको बताए। विमान कम्पनीले विगत जस्तै बैंककभैरहवाबैंकक सिधा उडानको अनुमति पाएको छ। हाल विमानस्थलबाट कुनै पनि अन्तर्राष्ट्रिय उडान छैन। सरकारले अन्तर्राष्ट्रिय विमान कम्पनीहरूलाई भैरहवाबाट सेवा प्रदान गर्दा विभिन्न सहुलियत दिने भए पनि उनीहरू उडानका लागि आएका छैनन्। नेपाल एयरलाइन्सले समेत यस विमानस्थललाई छाडेर काठमाडौं केन्द्रित मात्र सेवा प्रदान गर्दा सरकारको आलोचना हुँदै आएको छ। विगतमा भैरहवा विमानस्थलबाट नेपाल एयरलाइन्सका साथै कतार एयरवेज, फ्लाई दुबई, थाई एयर एसिया र जजिरा एयरवेजले उडान गरेका थिए।"
