शीर्षक,विवरण
"कुलिङ पिरियड नराखि विधेयक अगाडि बढाउनु हुँदैन, संसदको अपमान गरी प्रावधान सच्याउनेलाई कारबाही गर्नुपर्छ","काठमाडौं : निजामती विधेयकमा दुईवर्षे कुलिङ पिरियडको व्यवस्थालाई लत्याएर प्रतिनिधिसभाबाट पारित भएपछि पुन: विरोध सुरु भएको छ। अवकाशप्राप्त कर्मचारीलाई पुन: नियुक्ति रोक्न राखिएको दुईवर्षे कुलिङ पिरियडको व्यवस्था राज्य व्यवस्था समितिबाट सर्वसम्मत पारित भएपनि प्रतिनिधि सभामा सभापति रामहरि खतिवडाले पेश गरेको विधेयकको मस्यौदामा कुलिङ पिरियडको प्रावधान कमजोर बनाएपछि सांसदहरु समेत आक्रोशित बनेका छन्। आइतबार बसेको प्रतिनिधिसभा बैठकमा छलफलपछि निजामती विधेयक पारित गरेको हो। संघीय मामिला तथा सामान्य प्रशासनमन्त्री राजकुमार गुप्ताले विधेयक पारित गरियोस् भन्ने प्रस्ताव पेस गरेलगत्तै सभामुख देवराज घिमिरेले विधेयक बहुमतले पारित भएको घोषणा गरेका थिए। सांसद्हरुले आफूहरुलाई धोका दिएको बताएका छन्। नेपाली कांग्रेसका नेता एवम् सांसद शेखर कोइरालाले कुलिङ पिरियड नराखी निजामती विधेयकका अगाडि बढ्न दिनु नहुने बताएका छन्। उनले संसदमा सर्वसम्मत पेस भएको निजामती सेवा विधेयक अनधिकृत रुपमा परिवर्तन गरिनु सार्वभौम संसदप्रति गरिएको अपमान भएको टिप्पणी गरे। उनले यस प्रकरणमा जोडिएकालाई तुरुन्त हदैसम्मको कारबाही अगाडि बढाउन माग गरे। सर्वसम्मतिबाट संसदमा पेस भएको निजामती सेवा विधेयक अनधिकृत रुपमा परिवर्तन गरिनु, गराईनु कुनै सामान्य घटना नभई, देश र जनता प्रति गरिएको घोर अपराध र सार्वभौम संसदप्रति गरिएको अपमान हो। सामाजिक सञ्जालमा उनले लेखेका छन्, यस प्रकरणमा जोडिएकालाई तुरुन्त हदैसम्मको कारबाही अगाडि बढाई, परिवर्तन गरिएको व्यवस्थालाई आजै पुरानै अवस्थामा लैजाउँ। कुलिङ पिरियड नराखी यस विधेयकका अगाडिका काम कारबाही अगाडि बढ्नु हुँदैन र बढ्दैन। नेकपा माओवादी केन्द्रका नेता जनार्दन शर्माले निजामती सेवा विधेयकमा भएको चलखेललाई जनताप्रतिको बेइमानी भएको दाबी गरेका छन्। पूर्वमन्त्री शर्माले फेसबुकमा भनेका छन्,संसदीय इतिहासमा कानुन निर्माणको सर्वोच्च निकायमै कानुनको दफामा हेराफेरी ! जनप्रतिनिधिहरुको अपहरण जनताप्रति बेइमानी, भ्रष्ट र तुच्छ कार्य संसदकै उपहास गर्ने जो कोही भए पनि तत्काल निलम्बन गरी कारबाही अगाडि बढाउनुपर्छ। कांग्रेस सांसद चन्द्र भण्डारीले संसदमा सांसदलाई समेत ढाँट्ने छल्ने र किर्ते गर्ने काम भएको दाबी गरेका छन्। कहाँबाट गल्ती भएको छ ? प्रश्न गर्दै उनले यो अक्षम्य ठूलो अपराधको कारवाही इतिहास बन्ने गरी गर्नुपर्ने माग गरे। संसदमा सांसदलाई समेत ढाँट्ने छल्ने र किर्ते गर्ने गरे पछि ! स्वार्थका लागि यो मुलुक कति ठगिएको होला ? कहाँबाट गल्ती भएको छ ? यो अक्षम्य ठुलो अपराधको कारवाही इतिहास बन्ने गरी गर्नु पर्दछ। कति ठूलो छलछाम !भण्डारीले फेसबुकमार्फत भनेका छन्, दायित्वमा रहेका सम्बद्ध पक्ष पनि परीक्षणको कसीमा हुनुपर्दछ। के के देख्नु , सुन्नु र भोग्नु पर्ने हो ? यो भन्दा ठुलो लज्जा पनि केही हुँदैन !सन्दर्भ ; निजामती कर्मचारी विधेयक !! सांसद सुमना श्रेष्ठले निजामती ऐनमा कुलिङ पिरियड सत्य हो कि भ्रम हो ? भन्दै प्रश्न गरेकी छन् । प्रतिवेदनमा नेपाल सरकारको पूर्वस्वीकृति नलिई भन्ने शब्दहरू पनि हटाइएको छ। यो त डबल नेगेटिभ भएन र ? यो के मुख्यसचिव र सचिवका लागि कुलिङ पिरियड हटाइएको भन्न खोजिएको हो ? यसबारे भाषाका विज्ञ तथा कानूनविद्हरूलाई प्रष्ट्याईदिनुहुन अनुरोध गर्दछु। उनले लेखेकी छन्। थपिएको उपदफा ४ मा निजामती कर्मचारी वा अन्य सरकारी सेवाबाट राजीनामा दिएको वा अवकाश भएको कर्मचारीले सेवाबाट अवकाश भएको मितिले दुई वर्ष अवधि पूरा नभई कुनै पनि संवैधानिक वा सरकारी पदमा नियुक्ति पाउने छैन भन्ने व्यवस्था छ । तर, उपदफा ५ मा संवैधानिक नियुक्ति वा कूटनीतिक तथा नेपाल सरकारले गर्ने अन्य कुनै नियुक्तिबाहेकको पदमा नियुक्ति लिन, (ख) मा अन्तरसरकारी निकाय वा अन्तर्राष्ट्रिय विकास साझेदारबाहेकका निकायबाट सञ्चालित आयोजनामा कर्मचारी वा परामर्शदाताका रूपमा कार्य गर्न र (ग) मा अवकाश हुने पछिल्लो एक वर्षभित्र बहाल रहेको निकायको कार्यक्षेत्रसँग सम्बन्धित रहेको संस्था वा त्यस्तो निकायले नियमन गर्ने संस्थाको कर्मचारी वा परामर्शदाताको रूपमा काम गर्ने व्यवस्था थपिएको छ। र उपदफा ६ मा उपदफा ५ विपरीत कार्य गरे ऐनबमोजिमको सेवा सुविधा लिन नपाउने व्यवस्था गरिएको छ।"
थाइल्याण्डकी प्रधानमन्त्री सिनावात्रा निलम्बित,एजेन्सी : थाइल्याण्डका प्रधानमन्त्री पाटोङटार्न सिनावात्रालाई संवैधानिक अदालतले निलम्बन गरेको छ। कम्बोडियाका पूर्वनेता हुन सेनसँगको टेलिफोन वार्ता चुहावट भएपछि सिनावात्रामाथि राजीनामा दिन दबाब परेको थियो। टेलिफोन कलमा पाटोङ्टार्न सिनावात्राले थाइ सैन्य कमाण्डरको आलोचना गर्दै 'अंकल' भनेपछि विवाद सुरू भएको थियो। यसपछि प्रधानमन्त्री पाटोङ्टार्न शिनावात्राविरुद्ध बर्खास्तको माग गर्दै अदालतमा निवेदन दायर भएको थियो। उनको विरोधमा हजारौं मानिसहरू बैंककको सडकमा उत्रिएर राजीनामा माग गर्दै प्रदर्शनमा उत्रिएका थिए। यद्दपि सिनावात्राले फोन कलका लागि माफी मागेकी थिइन्। गत वर्ष साउन ३२ गते उनी प्रधानमन्त्री नियुक्त भएकी थिइन्।
"कुलिङ पिरियडको छानबिन नभएसम्म एमाले, माओवादी र एसका सांसद सहभागी नहुने भएपश्चात राज्य व्यवस्था समितिको बैठक स्थगित","काठमाडौं : नेकपा एमाले, माओवादी केन्द्र र एकीकृत समाजवादीका सांसदले कुलिङ पिरियडको विषयमा छानबिन नभएसम्म सहभागी नहुने जनाएपछि राज्य व्यवस्था तथा सुशासन समितिको बैठक स्थगित भएको छ। आज बिहान प्रहरी विधेयकबारे छलफल गर्न बोलाइएको राज्य व्यवस्था तथा सुशासन समिति बैठक स्थगित भएको हो। आज बिहान सभामुख देवराज घिमिरेसमक्ष समितिका सदस्यहरूले ध्यानाकर्षण गराएपश्चात पत्रकारसँग कुरा गर्दै एमालेका सांसद पदम गिरीले समिति र सदनले पारित गरेको विषयमा बीचमा बाहेक शब्द घुसाएर संसद्को गरिमालाई धूलिसाथ बनाउने काम भएकाले संलग्नलाई कारबाहीको दायरामा ल्याउनुपर्ने बताए। संघीय निजामती सेवा विधेयकको प्रतिवेदनमा कुलिङ पिरियड सम्बन्धी व्यवस्थामा हेरफेर भएकाले छानबिन र षडयन्त्र गर्नेलाई कारबाही नभएसम्म राज्य व्यवस्था समितिको बैठक नबस्ने बताए। । कहाँबाट त्रुटी भएको हो । जोबाट भएको छ निर्मम कारबाही हुनुपर्छ। गम्भीर छानबिन हुनुपर्छ, यसलाई स्वीकार्य हुँदैन। समितिको छलफलका क्रममा कसैले कुलिङ पिरियड राख्नुहुँदैन, ६ महिना वा १ वर्ष वा २ वर्ष प्रस्ताव राखियो होला तर समितिबाट निष्कर्षमा पुगेपछि जे सहमति भएको हो त्यो जस्ताको तस्तै संसदमा पेश हुने र पारित हुनुपर्थ्यो। गिरीले थपे, यहाँ गम्भीर षडयन्त्र भएको छ,भोलिका दिनमा छानबिन गरेपछि टुंगो लाग्छ। यो छानबिन नभएसम्म राज्य व्यवस्था समितिको बैठक बस्न सक्दैन। जोजो जिम्मेवार हुनुहुन्छ नैतिकताका आधारमा ठाउँ छोड्नुपर्छ। कारबाही भोग्नुपर्छ। त्यसैगरी एकीकृत समाजवादीका सांसद राजेन्द्र पाण्डेले पनि छानबिन नभएसम्म राज्यव्यवस्था समितिको बैठक नबस्ने जनाए। समितिका सदस्यले राज्य व्यवस्था समितिका सभापति र सचिवलाई कारबाही गर्नुपर्ने माग गरेका छन्। संघीय निजामती विधेयकमा समितिले पारित गरेको कुलिङ पिरियडको विषयमा विवाद भएपछि सभापति रामहरि खतिवडाले अन्तिम समयमा बैठक स्थगित गरेका हुन् । समितिमा आज प्रहरी विधेयकमा संशोधन राखेका सांसदहरूसँग छलफल गर्ने कार्यतालिका थियो।"
"कुलिङ पिरियडमा हेरफेर भएपछि समितिका सदस्यले भेटे सभामुख, भने  अपराध गर्नेलाई कारबाही हुनुपर्छ","काठमाडौं : निजामती विधेयक सांसदले पारित गरेको मस्यौदाभन्दा फरकरुपमा प्रतिनिधिसभाबाट पारित भएपछि सांसदहरु सभामुखसँग छलफलमा पुगेका छन्। अवकाशप्राप्त कर्मचारीलाई पुन: नियुक्ति रोक्न राखिएको दुईवर्षे कुलिङ पिरियडको व्यवस्था राज्य व्यवस्था समितिबाट सर्वसम्मत पारित भएपनि प्रतिनिधि सभामा सभापति रामहरि खतिवडाले पेश गरेको विधेयकको मस्यौदामा कुलिङ पिरियडको प्रावधान फरक गरेर अपराध गरिएको सांसदहरुको तर्क छ। आइतबार बसेको प्रतिनिधिसभा बैठकमा छलफलपछि निजामती विधेयक पारित गरेको हो। मंगलबार सभामुखसँग छलफल गरेपश्चात एमालेका सांसद पदम गिरीले निजामति विधेयकमा गम्भीर छानबिन समिति गठन हुनुपर्ने माग गरे। उनले गम्भीर षडयन्त्र भएकाले जिम्मेवार व्यक्तिलाई कारबाही गर्नुपर्ने र संलग्नले नैतिकताका आधारमा राजीनामा दिनुपर्ने बताए। मंगलबार सभामुखसँग छलफल गरेपश्चात एमालेका सांसद पदम गिरीले निजामति विधेयकमा गम्भीर छानबिन समिति गठन हुनुपर्ने माग गरे। उनले गम्भीर षडयन्त्र भएकाले जिम्मेवार व्यक्तिलाई कारबाही गर्नुपर्ने र संलग्नले नैतिकताका आधारमा राजीनामा दिनुपर्ने बताए। उनले भने, निजामति विधेयक महिनौं लगाएर छानबिन भएको विषयमा हो। राज्य व्यवस्था समितिबाट कुलिङ २ वर्ष कुलिङ पिरियड राख्नुपर्छ भनेर सहमति भयो। त्यहि निर्णयका आधारमा अगाडि बढेको हो। तर, अहिले अचम्मको कुरा के भयो भने कुलिङ पिरियड मुख्यमन्त्री, सचिव र सहसचिवलाई हकमा लागू नहुने प्रकारले प्रतिवेदन बन्यो। संसदबाट पारित भयो, त्यो गम्भीर षडयन्त्र हो। सार्वभौम संसद र समितिको अपमान हो। उनले छानबिन गठन नभएसम्म राज्य व्यवस्था समितिको बैठक बस्ने नदिने उल्लेख गरे। कहाँबाट त्रुटी भएको हो । जोबाट भएको छ निर्मम कारबाही हुनुपर्छ। गम्भीर छानबिन हुनुपर्छ, यसलाई स्वीकार्य हुँदैन। समितिको छलफलका क्रममा कसैले कुलिङ पिरियड राख्नुहुँदैन, ६ महिना वा १ वर्ष वा २ वर्ष प्रस्ताव राखियो होला तर समितिबाट निष्कर्षमा पुगेपछि जे सहमति भएको हो त्यो जस्ताको तस्तै संसदमा पेश हुने र पारित हुनुपर्थ्यो। गिरीले थपे, यहाँ गम्भीर षडयन्त्र भएको छ,भोलिका दिनमा छानबिन गरेपछि टुंगो लाग्छ। यो छानबिन नभएसम्म राज्य व्यवस्था समितिको बैठक बस्न सक्दैन। जोजो जिम्मेवार हुनुहुन्छ नैतिकताका आधारमा ठाउँ छोड्नुपर्छ। कारबाही भोग्नुपर्छ। यता नेकपा माओवादी केन्द्रका उपमहासचिव जनार्दन शर्माले गम्भीर अपराध भएकाले कारबाही गर्नुपर्ने धारणा राखे। राज्य व्यवस्था समितिले अगाडि बढाएको निजामती ऐनको बारेमा कुलिङ पिरियडका बारेमा जो अहिले विवाद आएको छ। यसमा नियतबस समितिले पारित गरेको विषयभन्दा बाहिर गरेको भन्ने समितिका सदस्यको भनाई छ। सभापतिले पनि मेरो जानकारी बिना भयो भनेर भन्नुभएको छ। सचिवले यो त स्वभाविकरुपमा लेखिएको भन्नुभएको छ। उनले भने, मैलै अहिले छलफलमा के भने भने, यो संसदको उपहास गर्ने गरी हाम्रो सार्वभौम अधिकारमाथि हस्तक्षेप गर्ने गरी जुन षडयन्त्र गरियो, जुन बदमासी गरियो, यो छानबिन हुनुपर्छ। छानबिन भएर यसको जिम्मेवारी कसले लिने हो ? सचिवले लिने, सभापतिले वा समितिले कसले लिने हो ? लिनुपर्छ। कारबाही हुनुपर्छ। छलछाम गरी कानुनमा हेराफेरी गर्ने हुँदैन। गम्भीर प्रश्न हुनुपर्छ। शर्माले अहिले फलानो मान्छे भनेर भन्न नसकिने भएकाले छानबिन गरी गम्भीर अपराधलाई मान्य नहुने बताए। सामाजिक सञ्जालमा पनि सांसदको आक्रोश नेपाली कांग्रेसका नेता एवम् सांसद शेखर कोइरालाले कुलिङ पिरियड नराखी निजामती विधेयकका अगाडि बढ्न दिनु नहुने बताएका छन्। उनले संसदमा सर्वसम्मत पेस भएको निजामती सेवा विधेयक अनधिकृत रुपमा परिवर्तन गरिनु सार्वभौम संसदप्रति गरिएको अपमान भएको टिप्पणी गरे। उनले यस प्रकरणमा जोडिएकालाई तुरुन्त हदैसम्मको कारबाही अगाडि बढाउन माग गरे। सर्वसम्मतिबाट संसदमा पेस भएको निजामती सेवा विधेयक अनधिकृत रुपमा परिवर्तन गरिनु, गराईनु कुनै सामान्य घटना नभई, देश र जनता प्रति गरिएको घोर अपराध र सार्वभौम संसदप्रति गरिएको अपमान हो। सामाजिक सञ्जालमा उनले लेखेका छन्, यस प्रकरणमा जोडिएकालाई तुरुन्त हदैसम्मको कारबाही अगाडि बढाई, परिवर्तन गरिएको व्यवस्थालाई आजै पुरानै अवस्थामा लैजाउँ। कुलिङ पिरियड नराखी यस विधेयकका अगाडिका काम कारबाही अगाडि बढ्नु हुँदैन र बढ्दैन। कांग्रेस सांसद चन्द्र भण्डारीले संसदमा सांसदलाई समेत ढाँट्ने छल्ने र किर्ते गर्ने काम भएको दाबी गरेका छन्। कहाँबाट गल्ती भएको छ ? प्रश्न गर्दै उनले यो अक्षम्य ठूलो अपराधको कारवाही इतिहास बन्ने गरी गर्नुपर्ने माग गरे। संसदमा सांसदलाई समेत ढाँट्ने छल्ने र किर्ते गर्ने गरे पछि ! स्वार्थका लागि यो मुलुक कति ठगिएको होला ? कहाँबाट गल्ती भएको छ ? यो अक्षम्य ठुलो अपराधको कारवाही इतिहास बन्ने गरी गर्नु पर्दछ। कति ठूलो छलछाम !भण्डारीले फेसबुकमार्फत भनेका छन्, दायित्वमा रहेका सम्बद्ध पक्ष पनि परीक्षणको कसीमा हुनुपर्दछ। के के देख्नु , सुन्नु र भोग्नु पर्ने हो ? यो भन्दा ठुलो लज्जा पनि केही हुँदैन !सन्दर्भ ; निजामती कर्मचारी विधेयक !! सांसद सुमना श्रेष्ठले निजामती ऐनमा कुलिङ पिरियड सत्य हो कि भ्रम हो ? भन्दै प्रश्न गरेकी छन् । प्रतिवेदनमा नेपाल सरकारको पूर्वस्वीकृति नलिई भन्ने शब्दहरू पनि हटाइएको छ। यो त डबल नेगेटिभ भएन र ? यो के मुख्यसचिव र सचिवका लागि कुलिङ पिरियड हटाइएको भन्न खोजिएको हो ? यसबारे भाषाका विज्ञ तथा कानूनविद्हरूलाई प्रष्ट्याईदिनुहुन अनुरोध गर्दछु। उनले लेखेकी छन्। थपिएको उपदफा ४ मा निजामती कर्मचारी वा अन्य सरकारी सेवाबाट राजीनामा दिएको वा अवकाश भएको कर्मचारीले सेवाबाट अवकाश भएको मितिले दुई वर्ष अवधि पूरा नभई कुनै पनि संवैधानिक वा सरकारी पदमा नियुक्ति पाउने छैन भन्ने व्यवस्था छ । तर, उपदफा ५ मा संवैधानिक नियुक्ति वा कूटनीतिक तथा नेपाल सरकारले गर्ने अन्य कुनै नियुक्तिबाहेकको पदमा नियुक्ति लिन, (ख) मा अन्तरसरकारी निकाय वा अन्तर्राष्ट्रिय विकास साझेदारबाहेकका निकायबाट सञ्चालित आयोजनामा कर्मचारी वा परामर्शदाताका रूपमा कार्य गर्न र (ग) मा अवकाश हुने पछिल्लो एक वर्षभित्र बहाल रहेको निकायको कार्यक्षेत्रसँग सम्बन्धित रहेको संस्था वा त्यस्तो निकायले नियमन गर्ने संस्थाको कर्मचारी वा परामर्शदाताको रूपमा काम गर्ने व्यवस्था थपिएको छ। र उपदफा ६ मा उपदफा ५ विपरीत कार्य गरे ऐनबमोजिमको सेवा सुविधा लिन नपाउने व्यवस्था गरिएको छ।"
कांग्रेसले भन्यो कुलिङ पिरियडमा भएको छेडखानी क्षम्य हुँदैन,काठमाडौं : सत्तारुढ दल नेपाली कांग्रेसले निजामती विधेयकको कुलिङ पिरियडसम्बन्धी व्यवस्थामा छेडखानी गरेर विश्वासघात गरेको जनाएको छ। पार्टी केन्द्रीय कार्यालय सानेपामा जारी केन्द्रीय कार्य सम्पादन समितिको बैठकपछि सञ्चारकर्मीहरुसँग कुरा गर्दै कांग्रेसका प्रवक्ता डा प्रकाशशरण महतले विधेयकको कुलिङ पिरियडसम्बन्धी व्यवस्थामा भएको छेडखानी क्षम्य नहुने बताए। राज्य व्यवस्था तथा सुशासन समितिबाट सर्वसम्मतिले पारित भएको विधेयकमा पदीय दुरुपयोग गर्नेलाई छानबिन गरी कारबाहीको दायरामा ल्याउनुपर्ने उनले बताए। माथिल्लो सदनमा विधेयक पारित गर्न बाँकी रहेकाले यसअघि भएका सहमति अनुसार नै कार्यान्वयन हुनुपर्ने उनले बताए।
कांग्रेस बैठकमा मन्त्रीहरूमाथि उठ्यो प्रश्न कार्यसम्पादन सन्तोषजनक नभएको गुनासो,काठमाडौं : सत्तारुढ दल नेपाली कांग्रेसले निजामती विधेयकको कुलिङ पिरियडसम्बन्धी व्यवस्थामा छेडखानी गरेर विश्वासघात गरेको जनाएको छ। पार्टी केन्द्रीय कार्यालय सानेपामा जारी केन्द्रीय कार्य सम्पादन समितिको बैठकपछि सञ्चारकर्मीहरुसँग कुरा गर्दै कांग्रेसका प्रवक्ता डा प्रकाशशरण महतले विधेयकको कुलिङ पिरियडसम्बन्धी व्यवस्थामा भएको छेडखानी क्षम्य नहुने बताए। राज्य व्यवस्था तथा सुशासन समितिबाट सर्वसम्मतिले पारित भएको विधेयकमा पदीय दुरुपयोग गर्नेलाई छानबिन गरी कारबाहीको दायरामा ल्याउनुपर्ने उनले बताए। माथिल्लो सदनमा विधेयक पारित गर्न बाँकी रहेकाले यसअघि भएका सहमति अनुसार नै कार्यान्वयन हुनुपर्ने उनले बताए। सरकारमा नेपाली कांग्रेसको प्रभावकारी उपस्थितसँगै गठबन्धनको विकल्प नभएको उनको भनाइ छ। पार्टीबाट सरकारमा रहेका मन्त्रीहरूको काममा सन्तोषजन नभएको बैठकमा केन्द्रीय सदस्यहरूले धारणा राखेको उनले बताए। संसदभित्र र बाहिर रहेका पार्टीका जिम्मेवार नेताहरूले नै अनुशासनभन्दा बाहिर गएर पार्टीको विपक्षमा अभिव्यक्ति दिने गरेको विषयमा पनि केन्द्रीय सदस्यहरूले ध्यानाकर्षण गराएको उनले बताए। केन्द्रीय समितिको बैठक बुधबार पनि जारी रहने उनले बताए।
सम्पन्न मुलुकले बोलीमा नभई व्यवहारमा आफ्ना सहयताका प्रतिबद्धता पूरा गर्नुपर्छ : प्रधानमन्त्री ओली,"सेभिया (स्पेन) : संयुक्त राष्ट्रसंघीय विकासका लागि वित्तसम्बन्धी चौथो अन्तर्राष्ट्रिय सम्मेलनका क्रममा स्पेनमा रहेका प्रधानमन्त्री केपी शर्मा ओलीले आज विभिन्न उच्चस्तरीय साइड इभेन्टमा सम्बोधन गकरेका छन्। प्रधानमन्त्री ओलीले स्पेन सरकारका अध्यक्ष एवं प्रधानमन्त्री पेड्रो साञ्चेजद्वारा आयोजित विकास सहायतामा नयाँ सोचसम्बन्धी उच्चस्तरीय छलफलमा सहभागी भई उक्त विषयको राउण्ड टेबलमा आफ्ना विचार प्रस्तुत गरे। उनले आजै अल्पविकसित र साना टापु भएका मुलुकहरूको उच्चस्तरीय बैठकको अध्यक्षता गरी सम्बोधन गरे भने राष्ट्र प्रमुख तथा सरकार प्रमुखहरूको पहलमा खानेपानी र सरसफाइ क्षेत्रमा लगानीसम्बन्धी उच्चस्तरीय छलफललाई पनि सम्बोधन गरे। विकास सहायता र विश्व साझेदारीको ऐक्यबद्धतामा नयाँ सोचबारे नेपालको स्पष्ट धारणा व्यक्त गर्दै प्रधानमन्त्री ओलीले विश्वमा कोही पनि पछाडि नपरुन् भन्ने सोचका साथ विकास सहायतालाई च्यारिटीका रूपमा मात्र नलिई गरिबीको अन्त्य र नागरिकको क्षमतावृद्धिका लागि उपयोग गर्दै दिगो शान्ति र विकासका लक्ष्य हासिल गर्न साझा पहल हुनुपर्ने धारणा राखे। 'उस्तै किसिमका सानासाना विकास परियोजनाहरू सरकार र गैरसरकारी क्षेत्रबाट समानान्तर रूपमा सञ्चालन गर्ने प्रवृत्ति पनि देखिएको छ। त्यसरी छरिएको सहायताबाट समतामूलक विकासले गति लिँदैन,' प्रधानमन्त्री ओलीले भने, 'विकास साझेदारहरू निश्चित च्यानलबाट सहायताका लागि अग्रसर हुनुपर्छ। यस कुरालाई सेभियाप्रतिबद्धताले पनि हामीलाई उप्रेरित गरेको छ। हामी सबै त्यस बाटोबाट अघि बढौं।' उनले सम्पन्न मुलुकले बोलीमा नभई व्यवहारमा आफ्ना सहयताका प्रतिबद्धता पूरा गर्नुपर्नेमा जोड दिँदै वास्तवमै जनताको जीवनमा अर्थपूर्ण परिवर्तनका लागि प्रभाव पर्ने क्षेत्रमा सहकार्य हुनुपर्ने बताए। अल्पविकसित मुलुकहरूको उच्चस्तरीय बैठकको अध्यक्षता गर्दै प्रधानमन्त्री ओलीले विकास साझेदारहरूलाई सेभिया (सेभिल्ला) प्रतिबद्धतालाई पूर्ण र इमानदारीपूर्वक सम्मान गर्न आग्रह गरे। त्यसैगरी घरेलु स्रोत परिचालनलाई बलियो बनाउन, निजी लगानीसहित मिश्रित वित्त प्रणालीलाई बढवा दिन, राष्ट्रिय कार्यक्रमहरूमा थप अनुदान र आधिकारिक विकास सहायता (ओडिए)लाई औपचारिक निकायबाट परिचालन गर्न पनि सम्बद्ध पक्षसँग उनले अनुरोध गरे। प्रधानमन्त्री ओलीले विज्ञान, प्रविधि र नवप्रवर्तनको शक्तिलाई सदुपयोग गर्दै पूर्वाधार निर्माण, पहुँच विस्तारसहित हाम्रा जनताको जीवनस्तर सुधारका पक्षमा साझा सङ्कल्पसहित समग्र विश्व एकहुनुपर्नेमा जोड दिए। सेभिया प्रतिबद्धताले हामी सबैलाई आशा र भरोसासहित निष्पक्ष, समृद्ध तर दिगो भविष्य निर्माण गर्ने मौका दिने विश्वास व्यक्त गर्दै प्रधानमन्त्री ओलीले सही वित्तीय विश्लेषणका आधारमा लगानी बढाउँदै गरिबीसँग लड्न, कार्यक्षमता अभिवृद्धि गर्न र दिगो अवसर सिर्जना गर्न एक भई अघि बढ्नुपर्नेमा जोड दिए।"
कुलिङ पिरियडबारे मन्त्री गुप्ताले भने सभापतिजीले हामीलाई पत्तै नदिई प्रतिवेदन हाउसमा पेस गर्नुभयो,"काठमाडौं : संघीय मामिला तथा सामान्य प्रशासनमन्त्री राजकुमार गुप्ताले कुलिङ अफ पिरियडको व्यवस्थामा भएको हेरफेरमाथि छानबिन गर्न सभामुख देवराज घिमिरेलाई आग्रह गरेका छन्। कुलिङ अफ पिरियडको व्यवस्थामा भएको हेरफेरमाथि मन्त्रालयको गम्भीर ध्यानाकर्षण भएको जानकारी गराउँदै मन्त्री गुप्ताले उक्त घटनाको छानबिन गरी दोषीमाथि कारबाही गर्न आग्रह गरे। आइतबार प्रतिनिधिसभाबाट बहुमतले पारित गरिएको संघीय निजामती सेवाको गठन, सञ्चालन र सेवाको शर्त सम्बन्धमा व्यवस्था गर्न बनेको विधेयकमा व्यवस्था गरिएको कुलिङ अफ पिरियडको उद्देश्य र आशय नै उल्ट्याउनेगरी अनधिकृत ढङ्गबाट भएको हेरफेरप्रति आक्रोश व्यक्त गर्दै मन्त्री गुप्ताले भने, यो त सार्वभौम संसदकै अपमान भयो, यो सामान्य घटना होइन। संसदले छानबिन गरी दोषीलाई तत्काल कारबाही गरोस्। राज्य व्यवस्था तथा सुशासन समितिबाट सर्वसम्मतिले पारित भएको विधेयकको प्रतिवेदन संसदमा लैजाने क्रममा हेरफेर भएको हुनसक्ने मन्त्री गुप्ताको आशंका छ। समितिबाट पारित भएको विधेयकलाई म र समितिका सभापति माननीय रामहरि खतिवडासहित माननीयज्यूहरू रघुजी पन्त, दीलेन्द्र प्रसाद बढु, लिलानाथ श्रेष्ठलगायतले मेरै मन्त्रालयमा बसेर असार २ गते हेर्ने अनि संसदमा प्रतिवेदन पेस गर्ने तयारी गरेका थियौं। तर माननीय सभापतिजीले हामीलाई पत्तै नदिई असार १ गते नै प्रतिवेदन हाउसमा पेस गर्नुभयो। त्यहीँनेर समस्या सिर्जना भएको जस्तो लाग्दैछ,' उनले भने। मन्त्रीलाई नै झुक्क्याएर प्रतिवेदन पेस गरिनु गम्भीर आशंकाको विषय भएको मन्त्री गुप्ताको भनाइ छ। व्यापक छलफलपछि गत जेठ २ गते बसेको राज्य व्यवस्था समितिको ७३औँ बैठकले सर्वसम्मतरूपमा सो विधेयक पारित गरेको थियो। लामो कसरतपछि नयाँ आयामसहित निर्माण गरिएको सङ्घीय निजामती सेवा विधेयक जेठ १३ गते बस्ने प्रतिनिधि सभाको बैठकमा पेस गर्ने तयारी गरिए पनि नेकपा माओवादी, राष्ट्रिय स्वतन्त्र पार्टी (रास्वपा) र राष्ट्रिय प्रजातन्त्र पार्टी (राप्रपा) लगायत प्रतिपक्ष दलहरूले संसद अवरोध गरेका कारण अगाडि बढ्न पाएको थिएन।"
