शीर्षक,विवरण
लाओसलाई हराउने लक्ष्य बोकेर नेपाल हङकङ यात्रामा,"काठमाडौं : नेपाली पुरुष राष्ट्रिय फुटबल टिमले एएफसी एसियन कप छनोटको लागि मंगलबार हङकङ उडेको छ। नेपालले एसियन कपको छनोटको तयारीस्वरुप हङकङसँग मैत्रीपूर्ण खेल खेल्नेछ। हङकङसँगको खेल नेपालका लागि वार्मअप खेल हुनेछ। नेपालले जुन ५ मा हङकङसँग खेल्नेछ। उक्त खेलमा सकरात्मक नतिजा निकाल्दै एसियन कप छनोटको खेल खेल्न चाहन्छ। नेपालले एसियन कप छनोटमा लाओससँग १० जुनमा खेल्नेछ। नेपालका प्रशिक्षक म्याट रोसले हङकङ प्रस्थान गर्नुअघि पत्रकारसँग कुरा गर्दै भन्छन्, हामी हङकङसँगको खेलमा जित्नकै लागि खेल्नेछौं। कप्तान किरण चेम्जोङ पनि हङकङसँगको खेलबाट गल्तीहरू सिकेर लाओेससँगको खेलमा राम्रो प्रदर्शन गर्ने बताए। हङकङको खेलबाट हामीले सिक्नेछौं। हरेक खेलबाट हामीले केही चिजहरू सिक्न पाउनेछौं। त्यहाँबाट सिकेर हामी लाओससँग खेल महत्त्वपूर्ण खेल खेल्नेछौं। समुह चरणमा हामी जित्न जानेछौं। हालः टिममा २ नयाँ युवा खेलाडी थपिएका छन्। कुशल देउवा र सृजन राज गौतमले पहिलो पटक राष्ट्रिय टिममा स्थान बनाएका छन्। यसपटक राष्ट्रिय टिमले यो पटकको छनोट खेलका लागि २० दिन लामो प्रशिक्षण गरे। जसमा टिमले ५ दिन मनाङमा हाइअलटिच्युटमा प्रशिक्षण गर्यो। हाइअलटिच्युटमा प्रशिक्षण गर्दा नेपाली टिमका खेलाडीमा एकताको भावना वृद्धि भएको प्रशिक्षक तथा कप्तानले बताए। हङकङमा हुने खेलका लागि हाइअलटिच्युटमा गरेको प्रशिक्षणले कम अक्सिजनमा पनि कसरी खेल्ने भन्ने कुरा सिकायो। हामीले त्यो प्रशिक्षणबाट टिममा एकता पनि पायौं। खेलाडीहरू पनि नयाँ परिवेशमा निकै रमाए। हामी विदेशबाट आएकाहरूलाई पनि यो देशको रमाइलो ठाउँहरू हेर्न पाउनु राम्रो पक्ष रह्यो,' प्रशिक्षक म्याट रोसले भने। कप्तान किरण पनि हाइअलटिच्युटको प्रशिक्षणमा खेलाडीले एकअर्कालाई समर्थन र हौसला दिँदै प्रशिक्षण गरेको बताए। हाइअलटिच्युटमा प्रशिक्षण गर्दा टिम एकताको लागि राम्रो थियो। हामीलाई सास फेर्न पनि गाह्रो भएको थियो। एक अर्कालाई हामी हौसला दिई रहेका थियौं। राम्रो अनुभव भयो, उनले भने। युवा खेलाडीलाई अवसर नेपाली राष्ट्रिय टिममा परेका कुशल देउवा र सृजन राज गौतमले आफ्नो क्षेत्रमा राम्रो प्रदर्शन गरि राष्ट्रिय टिममा मौका बनाएका हुन्। राष्ट्रिय स्तरमा उमेर समूहबाट खेलिसकेका कुशल देउवाले सिनियर टिममा मौका बनाए। उनले नेपाली यु२० टिमको कप्तानी गरिसकेका खेलाडी हुन्। केही समय चोटका कारण मैदान बाहिर रहेका कुशलले बी डिभिजन लिगमा च्यासल युथ क्लबबाट खेलेका थिए। उनले यु२० मा नेपाललाई फाइनलसम्म पुर्याएका थिए। फाइनलमा भने घरेलु मैदानमा नेपालले बंगलादेशसँग हार व्यहोरेको थियो। पोजिसनको आधारमा कुशल मिडफिल्डर हुन्। अर्का खेलाडी सृजन राज गौतम पनि मिडफिल्डमा खेल्ने खेलाडी हुन्। उनी घरेलु फुटबलमा राम्रो छाप छोड्दै राष्ट्रिय टिममा आएका थिए। उनले मलेसिया र सिंगापुरसँगको खेलको बेला पनि राष्ट्रिय टिमको प्रशिक्षणमा मौका बनाएका थिए। तर, उनले अन्तिम टोलीमा भने स्थान बनाउन सकेका थिएनन्। उनले सहिद स्मारक बी डिभिजन लिगमा बागमती युथ क्लबबाट खेलेको थिए। यस संस्करणको नेपाल सुपर लिगमा सृजनले एफसी चितवनबाट खेलेका थिए। यी खेलाडीहरूले अन्तिम टोलीमा स्थान बनाए। यी खेलाडीको बारेमा बोल्दै प्रशिक्षक म्याट भन्छन्, हाम्रो खेलाडीमा केही युवा खेलाडी छन्। उनीहहरू पनि सिनियर टिममा आएर प्रतिस्पर्धा दिइरहेका छन्। कप्तान किरणले पनि राष्ट्रिय टिममा आएका युवा खेलाडीहरूले राम्रो प्रदर्शन गरिरहेको बताए। उनीहरू सुरुमा त लाज मान्थे। अहिले टिममा राम्रोसँग घुलमिल भइसकेका छन्, उनले पत्रकारसँग भने। रणनीति सुधार आवश्यक : प्रशिक्षक रोस नेपाली पुरुष राष्ट्रिय फुटबल टिमका प्रमुख प्रशिक्षक म्याट रोसले सिंगापुरसँगको खेलमा भन्दा टिमले रणनीतिक चातुर्यता देखाउनुपर्ने अनुभूति भएको बताए। उनले राष्ट्रिय टिमको प्रशिक्षणका दौरान मिडिया सेसनमा पत्रकारसँग बोल्दै म्याट भन्छन्, सिंगापुरसँगको खेलमा लामो समयको तयारी थिएन। हामीले रणनीतिक र स्किल एक्जुकेसन (क्षमता प्रदर्शन)मा ध्यान दिनुपर्छ। उनले आफ्नो तर्फबाट रणनीतिक सुधारसहित टिममा सन्तुलन बनाउँदै खेल्दा विपक्षीलाई राम्रो चुनौती पेस गर्न सक्ने बताए। खेलाडीलाई सन्तुलनमा राखेर रणनीतिकरूपमा खेलाउने छौं। यसो गरेमा हामीले विपक्षीलाई राम्रो चुनौती दिन सक्छौं। नेपाली टिम अगाडिका खेलहरूमा भन्दा प्राविधिक र रणनीतीकरूपमा बलियो हुनुपर्ने प्रशिक्षक म्याटले अनुभव गरेका हुन्। हामी रणनीतिकरूपमा अझ बलियो हुनपर्छ। मैले बलियो रणनीति बनाउनुपर्छ। फिफा वरीयतामा २२ स्था माथि रहेको हङकङसँगको मैत्रीपूर्ण खेलमा जित निकाल्न पनि रणनीतिकरूपमा बलियो हुनुपर्ने हुन्छ। हङकङ फिफा वरीयतामा १५३औं स्थानमा रहेको छ भने नेपाल १७५ औं स्थानमा रहेको छ। कप्तान किरण चेम्जोङ पनि प्रशिक्षकको रणनीतिअनुसार टिमले खेलेमा राम्रो नतिजा ल्याउन सक्ने बताए। हामी कोचको रणनीतिअनुसार नै खेल्ने छौं। अहिले कोचको रणनीतीसँग सहज भएको छ। पछिल्लो २ हप्ता यता सहज भएको छ। हामी राम्रो अवस्थामा छौं। खेलाडीले पनि मेरो रणनीति योजनाहरूका बारेमा खुलेर बसेर कुरा गर्न सक्छन्। खेलाडीलाई रणनीतिकरूपमा सँगै लिएर हिँडेका छौं,' प्रशिक्षक म्याटले खेलाडी र आफूबीच सौहार्दपूर्ण सम्बन्ध रहेको खुलाए। नेपालले डिफेन्समा राम्रो गर्दै आक्रमणमा पनि चुनौती दिन चाहन्छ। लाओससँगको खेल निकै महत्त्वपूर्ण छ। त्यसका लागि हामी डिफेन्समा राम्रो गर्दै अट्याकमा पनि चुनौती दिन चाहन्छौं, प्रशिक्षक म्याटले भने। टिममा सबै खेलाडी फिट हुँदा र त्यसमा युवा जोस थपिँदा टिमले राम्रो प्रदर्शन गर्नेमा कप्तान किरण विश्वस्त देखिन्छन्। टिममा इन्टेन्स, फिटनेस राम्रो छ। खेलाडीहरु तिष्ण छन्। डिफेन्समा राम्रो गर्दै हामीले काउन्टर अट्याकमा पहिलो भन्दा राम्रो खेल्न सक्छौं। नेपाली टोली गोलकिपर : विशाल सुनार, दीप कार्की, किरण चेम्जोङ डिफेण्डर : अभिषेक लिम्बु, अनन्त तामाङ, विमल पाण्डे, सनिश श्रेष्ठ, सुमन श्रेष्ठ, योगेश गुरुङ मिडफिल्डर : एरिक बिष्ट, आयुष घलान, कृतिश रत्न छुन्जु, कुशल देउवा, लकेन लिम्बु, मणि कुमार लामा, मनिष डाँगी, रोहन कार्की, रोहित चन्द, सृजन राज गौतम, सुमित श्रेष्ठ फरवार्ड : अन्जन बिष्ट, जिलेस्पी जंग कार्की, सुवास बम ठकुरी"
१८ वर्षपछि आइपीएल च्याम्पियन बन्यो बैंग्लोर,"काठमाडौं : इन्डियन प्रिमियर लिग (आइपीएल) २०२५ को उपाधि रोयल च्यालेन्जर्स बैंग्लोर (आरसीबी)ले जितेको छ। पञ्जाब किंग्सलाई ६ रनले हराउँदै आरसीबीले उपाधि उचालेको हो। १८ वर्षको आइपीएल इतिहासमा पहिलोपटक च्याम्पियन बन्दै आरसीबीले आफ्नो उपाधि प्यास मेटाएको छ। अहमदाबादस्थित नरेन्द्र मोदी क्रिकेट स्टेडियममा टस हारेर ब्याटिङको निम्तो पाएको आरसीबीले १९० रन बनाएको थियो। १९१ रनको विजयी लक्ष्य पछ्याएको पञ्जाबले निर्धारित २० ओभरमा ७ विकेट गुमाएर १८४ रनमात्र बनायो। पञ्जाबका लागि शशांक सिंहले सर्वाधिक ६१ रनको अविजित पारी खेले। अन्तिम समयसम्मको लागि पनि उनी एक्लै टिमको लागि लडिरहे। जोश इङ्लिसले ३९ रन बनाए। ओपनरद्वय प्रियाशं अर्या र प्रभसिम्रन सिंहले क्रमशः २४ र २६ रन बनाए। पञ्जाबका लागि कप्तान श्रेयस अय्यरले फाइनलमा खेल्न सकेनन्। उनी खाता खोल्ने बित्तिकै पेभेलियन फर्किए। अन्तिम ओभरमा पञ्जाबलाई जितका लागि २९ रन चाहिएको अवस्थामा आरसीबीले ६ रन डिफेन्ड गर्दै आरसीबीले १८ वर्षपछि उपाधि जित्यो। यो उपाधिले विराट कोहलीको जर्सी नम्बर १८ लाई प्रमाणित गरेको छ। आरसीबीका लागि भुवनेश्वर कुमार र क्रुनाल पाण्ड्याले समान २२ विकेट लिए। यश दयाल, जोश ह्याजलवुड र रोमारियो सेपहार्डले समान ११ विकेट लिए। त्यसअघि ब्याटिङ गरेको आरसीबीले निर्धारित २० ओभरमा ९ विकेट गुमाउँदै १९० रन बनाएको थियो। आरसीबीका लागि ओपनर विराट कोहलीले सर्वाधिक ४३ रन बनाए। उनले ३५ बलमा ३ चौका प्रहार गरे। अर्का ओपनर फिल साल्टले १६ रन बनाउँदै पञ्जाबका कप्तान श्रेयस अय्यरको हातमा क्याच भए। ६ ओभरमा १ विकेटको क्षतिमा आरसीबीले ५५ रन बनाएको थियो। तेस्रो क्रममा आएका मयंक अग्रवालले २४, कप्तान रजत पाटिदारले २६ रन, लियाम लिभिङस्टोनले २५, जितेश शर्माले २४ रन बनाए। रोमियो सेपहार्डले १७ रन बनाउँदा त्यसपछिका ब्याटरले भने दोहोरो अंकमा रन बनाउन सकेनन्। पञ्जाबको बलिङमा काइल जेमिसन र अर्शदिप सिंहले ३३ विकेट लिए। अजमतुल्ला ओमरजाइ, विजय कुमार वेशक र युजवेन्द्र चहलले ११ विकेट लिए।"
मधेसमा सक्रियता बढाउँदै चिनियाँ दूतावास,"जनकपुरधाम : प्रायजसो पहाड र हिमालमा मात्रै कार्यक्रमहरू सञ्चालन गर्दै आएको चिनियाँ दूतावासले पछिल्लो समय मधेसका जिल्लाहरूमा समेत नयाँ परियोजनाहरू सञ्चालनमा ल्याएको छ। नेपालचीन कूटनीतिक सम्बन्धको ७०औं वार्षिकोत्सवको सन्दर्भमा दुई राष्ट्र बीचको मित्रता र सहकार्य अभिवृद्धि गर्ने उद्देश्यले दूतावासले मधेसमा परियोजनाको सुरुवात गरेको बताएको छ। मधेस प्रदेशमा शैक्षिक पूर्वाधार र सामुदायिक कल्याण सुधार गर्ने उद्देश्यका साथ चीन ग्रामीण विकास प्रतिष्ठानले चीनको नेपालस्थित दूतावासको आर्थिक सहयोग तथा साझेदारीमा दुई वटा परियोजनाहरूको औपचारिक सुरुवात गरेको छ। पहिलो परियोजना उज्यालो भविष्य शिक्षामा केन्द्रित छ। जसमा मधेसका दुईवटा सामुदायिक विद्यालयलाई स्तरोन्नति गरी अत्याधुनिक बनाउन सहयोग गरिएको छ भने अर्को परियोजना आरामदायी सुत्केरी अभियान स्वास्थ्य क्षेत्रलाई केन्द्रित गरी ल्याइएको हो। शिक्षा परियोजना अन्तर्गत मंगलबार जनकपुरको सरस्वती नमुना उच्च माध्यमिक विद्यालयमा एक समारोहको आयोजना गरी गुणस्तरीय शिक्षा प्रदान गर्नका लागि अत्याधुनिक सरसामानहरू वितरण गरिएको हो। राजदूतावासले दुईवटा सामुदायिक विद्यालयहरूलई १ सय ४४ सेट डेस्क बेन्च, स्मार्टबोर्ड, ह्वाइटबोर्ड र स्टेसनरी सामग्रीहरूका साथै ६ सय २ विद्यार्थीलाई पोसाकसमेत वितरण गरेको हो। यस परियोजनाले मधेस प्रदेशका सामुदायिक विद्यालयहरूको पठनपाठन सुविधा सुधार गर्न, शिक्षण वातावरण सम्बृद्ध बनाउन तथा दिगो विकासको लक्ष्य अनुरूप समान शिक्षा प्रवर्द्धन गर्न सहयोग पुग्ने चीन ग्रामीण विकास प्रतिष्ठानकी नेपाल कार्यालयकी निर्देशक सु जोउले बताइन्। हामी मधेसका जनताको जीवनस्तरमा सुधार आओस् भन्ने चाहन्छौं। त्यसैले मधेसबाटै सुरुवात गरेका छौं, निर्देशक जोउले चिनियाँ भाषामै भनिन्, काठमाडौंबाट चीन नजिक छ तर, मधेसबाट टाढा भएको छ। त्यसैले पनि मधेसका जनतालाई चीनको भाषा बुझाउन म आफ्नो मातृभाषामै बोल्छु। हामीलाई स्थानीय सरकार र समुदायले देखाएको विश्वासप्रति आभार प्रकट गर्दछु। यस परियोजनाहरूले नेपालको ग्रामीण क्षेत्रहरूमा गुणस्तरीय शिक्षा, स्वास्थ्य सेवा तथा सुरक्षित खानेपानीको पहुँच सुनिश्चित गर्न योगदान पुर्याउने विश्वास व्यक्त गर्दछु। जोउले मधेसप्रति चिनियाँ जनताको विशेष संवेदना रहेको र यस्ता कार्यहरूले नेपाल चीनको मित्रता अझै बलियो बनाउने बताइन्। विद्यालयमा सामग्री हस्तान्तरण कार्यक्रममा सहभागी भएका नेकपा एमालेका उपाध्यक्ष तथा पूर्वउपप्रधानमन्त्री ईश्वर पोखरेलले चीनको सहयोग मधेसमा आउनु विकास र समृद्धिको लागि निकै राम्रो संकेत रहेको बताए। हामी सबैलाई बदल्न सक्छौं तर, आफ्नो छिमेकीलाई बदल्न सक्दैनौं। त्यसैले छिमेकीसँग सधैं मित्रवत् व्यवहार राख्नुपर्छ, पोखरेलले भने, हामी तीनतिरबाट भारत र एकतिरबाट चीनलाई छिमेकीको रूपमा पाएका छौं र यी दुवै देश शक्तिशाली छन्। त्यसैले नेपालको समृद्धिमा यी दुवै देशको बराबरी योगदान हुनु पर्छ। हामीले हाम्रो देशको सम्पन्नताको लागि सहयोग गर्ने दुवै छिमेकी मित्रलाई हरेक क्षण स्वागत गर्छौं। यसै क्रममा आरामदायी सुत्केरी अभियानअन्तर्गत प्रादेशिक अस्पताल जनकपुरको प्रसूति कक्षमा वातानुकूलन जडान गरिएको छ। नेपालमा सन् २०१६ देखि २०२५ सम्म चीन ग्रामीण विकास प्रतिष्ठानले ३० हजारभन्दा बढी विद्यार्थीलाई लक्षित गरेर लभ प्याकेज र वार्म प्याकेज प्रदान गर्दै आएको छ। २०२४ मा यूएनडीपीको सहकार्यमा २५ वटा विद्यालयका १८ हजार विद्यार्थी र ९ हजार महामारी प्रभावित परिवारलाई जीविकोपार्जन सहयोगसमेत गरेको छ।"
उपाधिका लागि बैंग्लोरले पञ्जाबलाई दियो १९१ रनको लक्ष्य,"काठमाडौं : इन्डियन प्रिमियर लिग (आइपीएल) २०२५ को फाइनल खेलमा रोयल च्यालेन्जर्स बैंग्लोर (आरसीबी)ले पञ्जाब किंग्सलाई १९१ रनको विजयी लक्ष्य दिएको छ। अहमदाबादस्थित नरेन्द्र मोदी क्रिकेट स्टेडियममा टस हारेर ब्याटिङको निम्तो पाएको आरसीबीले निर्धारित २० ओभरमा ९ विकेट गुमाउँदै १९० रन बनाएको हो। आरसीबीका लागि ओपनर विराट कोहलीले सर्वाधिक ४३ रन बनाए। उनले ३५ बलमा ३ चौका प्रहार गरे। अर्का ओपनर फिल साल्टले १६ रन बनाउँदै पञ्जाबका कप्तान श्रेयस अय्यरको हातमा क्याच भए। ६ ओभरमा १ विकेटको क्षतीमा आरसीबीले ५५ रन बनाएको थियो। तेस्रो क्रममा आएका मयंक अग्रवालले २४, कप्तान रजत पाटिदारले २६ रन, लियाम लिभिङस्टोनले २५, जितेश शर्माले २४ रन बनाए। रोमियो सेपहार्डले १७ रन बनाउँदा त्यसपछिका ब्याटरले भने दोहोरो अंकमा रन बनाउन सकेनन्। अन्तिम ओभरमा अर्शदिप सिंहले सनसनीपूर्ण ३ विकेट लिँदै आरसीबीलाई १९० मा नै रोकेको हो। पञ्जाबको बलिङमा काइल जेमिसन र अर्शदिप सिंहले ३३ विकेट लिए। अजमतुल्ला ओमरजाइ, विजय कुमार वेशक र युजवेन्द्र चहलले ११ विकेट लिए।"
नियमित विद्युत् आपूर्ति गर्न माग,"वीरगन्ज : वीरगन्ज महानगरपालिकाका मेयर राजेशमान सिंहले विद्युत् आपूर्ति सेवामा देखिएको समस्याको दीर्घकालीन समाधान गर्न ऊर्जामन्त्री दीपक खड्कासँग आग्रह गरेका छन्। मंगलबार ऊर्जा मन्त्रालयमै खानेपानीमन्त्री प्रदीप यादवसँगै पुगेका मेयर सिंहले ऊर्जामन्त्री खड्कालाई भेटेर विद्युत् आपूर्ति सेवामा देखिएको समस्याको दीर्घकालीन समाधानको माग गरेका हुन्। जेठको प्रचण्ड गर्मीमा तापक्रम ४० डिग्री सेल्सियस पुगेको वीरगन्जसहित मधेस क्षेत्रमा दिनमा पटकपटक विद्युत् आपूर्ति सेवा अवरुद्ध हुने र घण्टौंसम्म अघोषित लोडसेडिङ हुँदै आएकाले जनजीवन अस्तव्यस्त बनेको मेयर सिंहले मन्त्री खड्कालाई जानकारी गराए। पटकपटक विद्युत् आपूर्ति सेवा अवरुद्ध हुँदा अस्पतालमा बिरामीहरूको उपचार प्रभावित भएको, विद्यालयहरूमा पठनपाठनमा असर परेको, बालबालिका, वृद्धवृद्धा, गृहिणी सबैभन्दा बढी समस्यामा परेको, घरमा रहेका विद्युतीय उपकरण र सामग्रीहरू बिग्रिन थालेको, उद्योगहरू धराशायी हुँदै गएको भन्दै मेयर सिंहले ऊर्जामन्त्री खड्काको ध्यानाकर्षण गराए। तसर्थ, जनताको दैनिक जीवनमा परिरहेको यस्तो गम्भीर असरको विषय सरकारको प्राथमिकतामा पर्न आवश्यक रहेको भन्दै मेयर सिंहले विद्युत् आपूर्तिमा अहिले भइरहेको समस्याको दीर्घकालीन समाधान गर्न मन्त्री खड्कासँग आग्रह गरे। साथै, अस्पताल र विद्यालय लगायत अत्यावश्यक क्षेत्रहरूको स्थलगत निरीक्षण गरेर त्यहाँ ट्रान्सफर्मरको मर्मत वा पुनर्स्थापना गर्न उनले मन्त्री खड्कासँग आग्रह पनि गरेका छन्। त्यसपछि मन्त्री खड्काले नेपाल विद्युत् प्राधिकरण मधेस प्रदेशको प्रादेशिक कार्यालयका प्रमुख मनोज यादवलाई फोन गरेर वीरगन्ज महानगरलगायत क्षेत्रमा अहिले विद्यमान विद्युत् आपूर्तिको समस्या समाधान गर्न निर्देशन दिएको भेटमा सहभागी मेयर सिंहका स्वकीय सचिव सत्यराज घिमिरेले जानकारी दिए। मन्त्री खड्काले विशेषगरी अस्पताल र शिक्षण संस्थालगायत क्षेत्रमा तत्कालै स्थलगत निरीक्षण गरेर त्यहाँ विद्युत् आपूर्तिमा देखिएको समस्या समाधानका लागि काम थालिहाल्न यादवलाई निर्देशन दिएको घिमिरेले जानकारी दिए।"
विश्वमा नयाँ वित्तीय व्यवस्था र सशक्त सहकार्यमा प्रधानमन्त्री ओलीको जोड,"काठमाडौं : प्रधानमन्त्री केपी शर्मा ओलीले विकास र समृद्धिका लागि नयाँ वित्तीय व्यवस्था र सशक्त विश्व सहकार्य हुनुपर्नेमा जोड दिएका छन्। स्पेनको सेभिलामा जुन ३० देखि आगामी जुलाइ ३ सम्म हुने विकासका लागि वित्तसम्बन्धी चौथो अन्तर्राष्ट्रिय सम्मेलनको पूर्वसन्ध्यामा आज संयुक्त राष्ट्रसंघका महासचिव एन्टेनियो गुटेरसले आह्वान गरेको भर्चुअल बैठकमा सम्बोधन गर्दै प्रधानमन्त्री ओलीले स्वच्छ प्रणालीगत सुधारका लागि पनि आग्रह गरे। विभिन्न राष्ट्र प्रमुखसरकार प्रमुख सहभागी भर्चुअल बैठकमा प्रधानमन्त्री ओलीले घट्दो विकास सहायता र लगानीका बीच विकासोन्मुख मुलुकले आन्तरिक स्रोतबाट मात्रै धान्न नसक्ने भएको प्रभावकारी विश्व सहकार्यमा जोड दिए। प्रधानमन्त्री ओलीले समृद्ध नेपाल, सुखी नेपालीको राष्ट्रिय आकाङ्क्षाका साथै नेपाल सन् २०२६ सम्ममा अल्पविकसित मुलुकबाट स्तरोन्नति हुने र सन् २०३० सम्म दीगो विकासका लक्ष्य हासिल गर्ने प्रतिबता व्यक्त गरे।"
सिस्ने गाउँपालिका पूर्ण खोप सुनिश्चितता प्राप्त गर्ने जिल्लाको पहिलो स्थानीय तह,रुकुमपूर्व : रुकुमपूर्वको सिस्ने गाउँपालिका पूर्ण खोप सुनिश्चितता प्राप्त गर्ने जिल्लाको पहिलो स्थानीय तह बनेको छ। १६ देखि ५९ महिना उमेर समूहका सबै बालबालिकालाई नियमित खोप सेवा उपलब्ध गराएर सिस्नेले पूर्ण खोप सुनिश्चितता हासिल गरेको हो। यस उपलब्धिपछि अब गाउँपालिकाभित्र पाँच वर्षमुनिका बालबालिकाले खोप सेवाबाट वञ्चित हुनुपर्ने अवस्था नरहने जनाइएको छ। स्वास्थ्य कार्यालय रुकुमपूर्वका निमित्त कार्यालय प्रमुख तथा वरिष्ठ ल्याब टेक्निसियन निमप्रसाद गिरीले सिस्नेले खोप कार्यक्रमलाई प्राथमिकतामा राख्दै समुदायमै पुगेर जनचेतना अभिवृद्धि गरेको र नियमित खोप सेवा प्रभावकारी बनाएको बताए। गाउँपालिका अध्यक्ष कृष्ण रेग्मीले सबै पक्षको सहकार्य र प्रतिबद्धताको परिणाम स्वरूप यो उपलब्धि हासिल भएको बताउँदै आगामी दिनमा अन्य स्वास्थ्य सूचकहरूमा पनि सुधार गर्ने प्रतिबद्धता जनाए।
"प्रचण्डजी भ्रमबाट मुक्त हुनुहोस्, यो जनयुद्ध होइन : राजेन्द्र लिङ्देन","काठमाडौं : राष्ट्रिय प्रजातन्त्र पार्टी (राप्रपा) अध्यक्ष राजेन्द्र लिङ्देनले अहिले जनयुद्धको समय नरहेकाले भ्रममा नपर्न प्रचण्डलाई आग्रह गरेका छन्। राजसंस्था र हिन्दू राज्य पुनःस्थापनाको माग गर्दै संयुक्त जनआन्दोलन परिचालन समितिले मंगलबार काठमाडौंको सिफलमा आयोजना गरेको प्रदर्शनमा लिङ्देनले हिजोकै जस्तो मान्छेलाई तर्साएर आफूमुनि राख्न सकिन्छ कि भन्ने भ्रमबाट मुक्त हुन प्रचण्डलाई आग्रह गरेका हुन्। आफूहरूको आन्दोलन प्रचण्ड वा कुनै दलविरुद्ध नभइ देशमा गणतन्त्रमा नाममा भइरहेको लुटतन्त्र अन्त्य गर्नका लागि भइरहेको उनले बताए। उनले आफूहरूको आन्दोलनविरुद्ध आउने जोकोहीलाई जनताले प्रतिकार गर्ने बताए। अध्यक्ष लिङ्देनले निषेधाज्ञा विस्तार गर्ने, प्रदर्शनलाई रोक लगाउने काम संविधान विपरीत रहेकाले यस्ता निर्णय फिर्ता लिन मागसमेत गरे। राजावादीको प्रदर्शनलाई मध्यनजर गर्दै प्रशासनले सिफलचौर क्षेत्र, कोटेश्वर आकाशे पुलदेखि दक्षिण बालकुमारी क्षेत्र र बल्खु क्षेत्रमा मात्रै प्रदर्शन गर्न पाइने गरी निषेधित क्षेत्र घोषणा गरिसकेको छ। अन्य क्षेत्रमा निषेधित क्षेत्र घोषणा गरेका कारण राजावादीले मंगलबार सिफलचौरमा प्रदर्शन गरेका हुन्।"
काठमाडौं महानगरका प्रहरी प्रमुख पाण्डे निलम्बित,"काठमाडौं : काठमाडौं महानगरपालिकाका प्रहरी बलका प्रमुख राजु पाण्डेलाई निलम्बन गरिएको छ। महानगरका कार्यकारी प्रमुख सरोज गुरागाईँले पाण्डेलाई ६ महिनाका लागि निलम्बन गरेको स्रोतले बताएको छ। यसअघि प्रशासकीय अधिकृत गुरागाईँले पाण्डेलाई स्पष्टीकरण सोधेका थिए। गत चैत २१ गते कार्यालयमा हाजिर हुने क्रममा हुलहुज्जत गरेको भन्दै पाण्डेलाई स्पष्टीकरण सोधिएको थियो। तर, पाण्डेले चित्तबुझ्दो जवाफ नदिएपछि ६ महिनाको लागि निलम्बन गरिएको स्रोतको भनाइ छ। महानगरका उपप्रमुख सुनिता डंगोल र प्रमुख प्रशासकीय अधिकृत गुरागाईंलाई उपेक्षा गर्दै आएको पाण्डेमाथि आरोप छ। उनीमाथि महानगरका प्रमुख बालेन्द्र शाहको पक्षमा वकालत गर्दै आएको आरोप पनि लाग्ने गरेको छ।"
यातायात व्यवसायीको आन्दोलन फिर्ता,काठमाडौं : यातायात व्यवसायीहरूले आन्दोलनका कार्यक्रमहरू फिर्ता लिएका छन्। गण्डकी प्रदेश सरकारले राइड सेयरिङ नियमावली एक महिनाका लागि स्थगित गर्ने निर्णय गरेपछि यातायात व्यवसायीहरूले आन्दोलनका कार्यक्रमहरू फिर्ता लिएका हुन्। मंगलबार साँझ बसेको बैठकले देशव्यापी आन्दोलनका कार्यक्रम फिर्ता लिने निर्णय भएको नेपाल यातायात व्यवसायी राष्ट्रिय महासंघका अध्यक्ष विजयबहादुर स्वाँरले जानकारी दिए। गण्डकी प्रदेश सरकारले राइड सेयरिङ नियमावली ल्याएसँगै यातायात व्यवसायी आन्दोलित बनेका थिए। जसका कारण देशभरिका सार्वजनिक यातायात ठप्प भएको थियो। प्रधानमन्त्री कार्यालयको पत्रपछि गण्डकी प्रदेश सरकार पनि हाललाई उक्त नियमावलीलाई स्थगित गरेको जानकारी दिएको हो।
