शीर्षक,विवरण
आइपीएल विजेता आरसिबीको विजय उत्सवमा भागदौड हुँदा मृत्यु हुनेको संख्या ११ पुग्यो,"बैंग्लोर : भारतको बैंग्लोरस्थित एम चिन्नास्वामी क्रिकेट रंगशाला बाहिर भएको भागदौडमा परेर कम्तीमा ११ जनाको मृत्यु भएको छ। आइपीएल विजेता आरसीबीले विजय उत्सव मनाउने क्रममा भएको भागदौडमा ३३ जना घाइते भएका छन्। कर्नाटक राज्यका मुख्यमन्त्री सिद्धारमैयाले आयोजित पत्रकार सम्मेलन गरेर घटनाका विषयमा छानबिन हुने बताए। 'चिन्नास्वामी रंगशालाको मुख्य गेट अझै खुल्न बाँकी थियो, तर मानिसहरूको ठूलो भीडले सानो गेटलाई धक्का दिँदै भित्र पस्न खोज्दा भागदौड मच्चियो,' प्रहरी अधिकारीलाई उद्धृत गर्दै बीबीसले जनाएको छ। विजय उत्सव मनाउन करिब दुई लाखभन्दा बढी समर्थक पुगेको बताइएको छ। प्रधानमन्त्री नरेन्द्र मोदीले पनि घटनाप्रति दुःख व्यक्त गरेका छन्। उनले मृतकप्रति श्रदाञ्जली अर्पण गरेका छन्। प्रहरीले अहिले स्थिति सामान्य रहेको बताएको छ। भीड व्यवस्थापनमा चुक भएको भन्दै घटनाको आलोचना भइरहेको छ।"
नेपाललाई नेदरल्यान्ड्सले दियो २२६ रनको लक्ष्य,"काठमाडौं : आइसीसी लिग २ अन्तर्गत आज भएको खेलमा नेदरल्यान्ड्सले नेपाललाई २२६ रनको लक्ष्य दिएको छ। आइसीसी क्रिकेट विश्वकप लिग २ अन्तर्गत चौथो श्रृंखलाको दोस्रो खेलमा ४९१ ओभरमा सबै विकेट गुमाउँदै नेदरल्यान्ड्सले नेपाललाई २२६ रनको लक्ष्य दिएको हो। नेदरल्यान्ड्सका लागि नोह क्रोइजले सर्वाधिक ४८ रन बनाए। त्यस्तै स्कट इडवार्डले ४६, विक्रमजित सिंहले ३८, जाच लायन क्याचेटले २७ र रिलोफ भानले २१ रन बनाएर। अन्य खेलाडीले दोहोरो अंकको रन जोड्न सकेनन्। नेपालका लागि सोमपाल कामीले ३ विकेट लिए। त्यस्तै करण केसी, सन्दीप लामिछाने र ललित राजबंशीले २२ विकेट लिए।"
"युवाहरू जागिर खोज्नेतिर होइन, सिर्जना गर्नेतिर लाग्नुपर्छ : प्रधानमन्त्री","काठमाडौं : प्रधानमन्त्री केपी शर्मा ओलीले स्वदेशमै उद्यमशीलता र रोजगारी सिर्जना गर्ने युवाहरूका साथमा सरकार रहने भएकाले उच्च मनोबल र आत्मविश्वास लिएर काम गर्न आग्रह गरेका छन्। बागबजारस्थित आइडिया स्टुडियोमा आयोजित नवप्रवर्तक युवाहरूसँग प्रधानमन्त्री कार्यक्रममा प्रधानमन्त्री ओलीले आफू पहिलो पटक प्रधानमन्त्री हुँदा शिक्षामा जनशक्ति प्रक्षेपणको नीति तर्जुमाका लागि अध्ययन गराएको स्मरण गर्दै आगामी आर्थिक वर्षको बजेटमा जेन्जी पुस्ता र स्टार्टअपका कार्यक्रमलाई उच्च महत्त्व दिइएको बताए। 'युवाहरूले हाल जे जस्तो छ, त्यसैमा सन्तोष मान्नु हुन्न। परिवर्तनका लागि र राम्रोका लागि लाग्ने स्वभाव बोक्नुपर्छ। असन्तोष मान्नुपर्छ भन्नुको अर्थ सामाजिक सञ्जालमा मुख छाड्ने प्रवृत्तिहरू पनि ठीक होइन, त्यस्तो गर्नेहरू उल्टै पारिवारिक तनावमा परेका हुन्छन्। अब युवाहरूले जब खोज्नेतिर होइन, जब सिर्जना गर्नेतिर लाग्नुपर्छ। उद्यमशीलता, रोजगारी, बजारीकरण र नयाँपनका माध्यमबाट स्वदेशमै अवसर छ भन्ने देखाएर कामकै लागि युवाहरू विदेश जाने क्रम रोक्नुपर्छ,' उनले भने। प्रधानमन्त्री ओलीले युवाहरूले रचनात्मकतामा निरन्तरता दिनुपर्नेमा जोड दिँदै सुरङमार्ग, जलमार्गजस्ता पूर्वाधार विकासमा भइरहेकाले सरकार र सबै क्षेत्रको सत्प्रयासबाट मुलुकको समृद्धि हासिल हुने बताए। प्रधानमन्त्री ओलीले आइडिया स्टुडियो को सम्वर्द्धनमा स्वदेशमै उत्पादित सामान तथा आविष्कारहरूको प्रदर्शनी अवलोकन गरेका थिए।"
पूर्वाधार निर्माणमा हुँदै आएको स्रोत चाप वैकल्पिक वित्त कोषबाट परिपूर्ति गरिने,"काठमाडौं : उपप्रधान तथा अर्थमन्त्री विष्णुप्रसाद पौडेलले पूर्वाधार विकासमा मुलुकले खेप्दै आएको स्रोतको अपुग पूर्ति गर्न सरकारले अघि सारेको वैकल्पिक वित्त कोषले सघाउने बताएका छन्। राज्यले संकलन गर्ने राजस्वमध्ये अधिकांश साधारण खर्चमा जाने हुँदा पूर्वाधार निर्माणमा पर्याप्त बजेट छुट्याउन नपाएको भन्दै उनले अन्य स्रोतको जोहो गर्न वैकल्पिक वित्त कोष अघि सारेको उनले बताएका हुन्। नेपाल पूर्वाधार पत्रकार समाज र नेपाल निर्माण व्यवसायी महासंघले बुधबार आयोजना गरेको आगामी आर्थिक वर्षको बजेटमा पूर्वाधार क्षेत्र र कार्यान्वयन विषयक कार्यक्रममा उनले बजेटमा पनि कोषको व्यवस्था गरिएको र वैकल्पिक वित्त कोष विधेयक संसद्ले छिट्टै पास गर्ने पनि जानकारी गराए। लागत र प्रतिफलको सन्तुलन मिलाएर निजी क्षेत्रलाई लगानी गर्न यो बजेटले ढोका खोलेको उनले बताए। ट्रेजरीबाट मात्रै पूर्वाधारका काम सम्पन्न गर्न त्यति सक्षम छैनौं भने स्रोतको अभाव हुने विषय नयाँ भएन, पौडेलले भने, यो बजेटबाट नयाँ प्रबन्ध गरेका छौं। वैकल्पिक विकास वित्त कोष खडा गर्ने तयारीमा छौं। स्वदेश र विदेशको निजी क्षेत्रलाई पूर्वाधार विकासमा आकार्षित गर्नेछौं। उनले आगामी आर्थिक वर्ष २०८२८३ को बजेटमा पनि केही कमीकमजोरी रहेको भए पनि केही सुधारात्मक प्रयास गरेको बताए। आगामी आर्थिक वर्षको बजेट यथार्थपरक र कार्यान्वयनयोग्य बजेट बनाएको उनको दाबी छ। स्रोतको व्यवस्थापन गर्दै यसको दुरुपयोग नहोस् भन्ने मनसायले यो बजेट निर्माण गरिएको छ। ठूला राजमार्गमा बजेट पर्याप्त नभएको आफूले पनि स्वीकार गर्दै अर्थमन्त्री पौडेलले ३ करोडभन्दा कम लागतका आयोजनाहरू नराख्ने अभ्यासको सुरुवात गरिएको बताए। त्यसले आगामी वर्षहरूमा आउने बजेटमा असल अभ्यास बसाल्न सहज हुने उनले बताए। साना आयोजना कटौतीका आयोजनाहरूमा सिर्जित दायित्वको पनि व्यवस्थापन यसले गरेको छ, उनले भने। दिगो पूर्वाधार निर्माणको लागि कंक्रिट, सिमेन्ट, रोडा बनाउने विषय अगाडि बढाएको उनले बताए। रुग्ण अवस्थाका आयोजनाहरूका बारेमा देखिएका कानुनी समस्याहरूका विषयमा पनि छलफल गरेर एउटा निचोडमा पुग्ने उनले बताए। आयोजनाहरूमा खानीजन्य र निर्माण सामग्रीको अभावले आयोजनाको काममा ढिला भएको कुरामा सरकार जानकार छ। बजेटमा यो कुराका लागि समाधान कसरी गर्ने भनेर व्यवस्था पनि राखिएका छन्। खानीजन्य कुरामा सबै प्रकार समस्या समाधान गरेर आयोजना निर्माण सामग्रीको अभाव हुन नदिने हाम्रो पर्याप्त रहनेछ, उनले भने। ठेक्का लाग्छ, समयावधि तोकिन्छ तर निर्माण सामग्रीको अभावले काम ढिला हुने गरेको उनको भनाइ छ। तर, आगामी दिनमा त्यस्तो अवस्था हुन नदिने उनको दाबी छ। ५ करोडभन्दा माथिका योजना मात्र राख्ने अभ्यासतर्फ जानुपर्छ : मन्त्री दाहाल आगामी आर्थिक वर्षको बजेटमा ३ करोडभन्दा कम लागतका योजना नराखिएको भन्दै भौतिक पूर्वाधार तथा यातायात मन्त्री देबेन्द्र दाहालले आउँदा बजेटमा अब ५ करोडभन्दा माथिका योजना मात्र राख्ने अभ्यासतर्फ जानुपर्ने बताए। 'यसले ठूला र प्रभावकारी आयोजनामा बजेट छुट्याउन सहज बनाउँछ,' उनले स्पष्ट पारे । बजेट निर्माण प्रक्रियामा पर्याप्त छलफल भए पनि पुरानै अभ्यास दोहोरिनुका कारण विकास आयोजनाको कार्यान्वयन अझै पनि प्रभावकारी बन्न नसकेको उनको भनाइ छ। उनले आयोजना छनोट र पूर्वतयारीदेखि कार्यान्वयनसम्मको प्रणालीमा सुधार आवश्यक रहेको बताएका हुन्। छलफलमा उनले राष्ट्रिय गौरवका आयोजनामा समेत बजेट छुट्याइसकेपछि मात्रै पूर्वतयारी थालिने हुँदा समयमै काम सम्पन्न गर्न असम्भव बनाइरहेको बताए। मन्त्री दाहालका अनुसार सरकारले आफैं आयोजनाका बाधा हटाउन ढिलाइ गर्ने र अर्कोतर्फ निर्माण व्यवसायीहरूले ठेक्का लिएपछि काम सुरु नगर्ने र राजनीतिक पहुँचको भरमा म्याद थप्ने प्रवृत्तिले आयोजनाहरू अधुरो रहेको उल्लेख गरे। 'पुल निर्माणजस्ता आयोजनामा पनि स्रोत नभइकन ठेक्का दिने प्रवृत्तिले अहिले स्रोत अभावको अवस्था सिर्जना भएको छ,' उनले बताए। उनले हालः धेरै नियामक निकायहरू भए पनि दिगो विकाससँग मेल खानेगरी समन्वयपूर्ण कार्य नभएको बताए। साथै, सार्वजनिक खरिद नियमावलीमा देखिएको अप्ठ्यारो विषयमा पनि सरकार गम्भीर रहेको जनाउँदै उनले भने, म्याद थप गर्दा निर्माण व्यवसायीलाई सबै अतिरिक्त लागत व्यहोर्नुपर्ने नीतिमा संशोधन ल्याइनेछ। सबै पक्षलाई हेरेर मात्रै अघि बढ्छौं। मन्त्री दाहालले भौतिक पूर्वाधार मन्त्रालयअन्तर्गत धेरै आयोजना अझै ठेक्काको प्रक्रियामा रहेकाले कार्यान्वयन अघि नबढेको उल्लेख गरे। 'अब योजना आयोगको सक्रियता पनि आवश्यक छ, योजनाहरू शीघ्र कार्यान्वयनमा जानु पर्छ,' उनले भने। उनको भनाइले सरकार अब योजनाको पूर्वतयारी, स्रोत सुनिश्चितता र कार्यान्वयन क्षमतामा ध्यान दिएर दिगो र परिणाममुखी विकासतर्फ उन्मुख हुने संकेत दिएको छ। बजेट कार्यान्वयनमा निर्मम तरिकाले मनिटरिङ र सुपरिवेक्षण गर्छौं : योजना आयोगका उपाध्यक्ष अधिकारी राष्ट्रिय योजना आयोगका उपाध्यक्ष प्राडा शिवराज अधिकारीले बजेटपछिको योजना आयोगको भूमिकाबारे स्पष्ट पार्दै कार्यान्वयनमा निर्मम अनुगमन र सुपरिवेक्षण दुवै आवश्यक रहेको बताए। अधिकारीले आयोगको भूमिका नियमन, सुपरिवेक्षण र सहजीकरणमा केन्द्रीत हुने स्पष्ट पारेका छन्। योजना आयोगले मनेटरिङ र सुपरभिजन निर्मम तरिकाले गर्छ, उनले भने, कसैले बदमासी गर्छ भने त्यसलाई निर्ममतापूर्वक कारबाही गरिन्छ, तर सबैलाई बदमास ठानेर कानुन बनाउने प्रवृत्ति गलत हो। अधिकारीले बजेटपछिको अवस्थामा योजना आयोग के गर्छ? भन्ने प्रश्न उठ्न सक्ने जनाउँदै, आयोगले क्याटलिस्ट (सहजकर्ता) को भूमिका खेल्ने र कार्यान्वयनमा सहजीकरण गर्ने जिम्मेवारी लिने बताए। पूर्वाधार क्षेत्रलाई विकास र आर्थिक वृद्धिदुवैका लागि प्रमुख चालकको रूपमा उल्लेख गर्दै उनले भने, पूर्वाधार निर्माणको मौजुदा ढाँचा समयमै सम्पन्न नहुने खालको छ। हालका सबै विकास मन्त्रालयको पूँजिगत खर्च गर्ने शैली सन्तोषजनक छैन । अधिकारीले विगतबाट पाठ सिक्ने भनिए पनि व्यवहारमा पुरानै अभ्यास दोहोरिएको टिप्पणी गरे। हामीले माग मात्रै गर्दै आइरहेका छौं, नयाँ काम गर्ने अभ्यास गरिएन। अब त्यसमा अल्झेर हुन्न, नयाँ ढाँचामा काम गर्नुपर्छ, उनले जोड दिए। त्यस्तै नेपाल निर्माण व्यवसायी महासंघका अध्यक्ष रवि सिंहले निर्माण क्षेत्रसँग सम्बन्धित गम्भीर समस्याहरूबारे प्रकाश पार्दै सरकारको नीति र बजेटबीचको असन्तुलनप्रति चिन्ता व्यक्त गरे। अध्यक्ष सिंहले निर्माण क्षेत्रमा कार्टेलिङ र कम कबोल गरेर ठेक्का लिने प्रवृत्तिका कारण परियोजनाहरू समयमा सम्पन्न नहुने अवस्था सिर्जना भएको बताए। 'कम कबोलमा प्राप्त आयोजना समयमा नसकिने र त्यसले लागत बढाउने अवस्था बनिरहेको छ,' उनले भने। सिंहका अनुसार चालु आर्थिक वर्षको बजेटले २५ प्रतिशत पूँजिगत खर्च वृद्धि गर्ने अपेक्षा गरिएको भए पनि त्यो लक्ष्य पूरा हुन सकेन। यद्यपि सरकारले चालु खर्चमा केही नियन्त्रण गरेको उल्लेख गर्दै उनले पुँजीगत खर्चको कार्यान्वयनमा थप व्यवस्थापन आवश्यक रहेको बताए। निर्माण व्यवसायीहरू नीति तथा कार्यक्रमबाट आशावादी भए पनि बजेटमा ती आशाहरू प्रतिबिम्बित नभएको सिंहको भनाइ छ। 'हामीले दिएका सुझावहरू बजेटमा नसमेटिएको उनको गुनासो छ। सिंहले पुँजीगत खर्च गर्ने क्षमता अभिवृद्धि नगर्दासम्म राजस्व संकलनको लक्ष्य पूरा गर्न कठिन हुने बताए। त्यस्तै उनले वर्तमान बजेटले ६ खर्बका आयोजना व्यवस्थापन गर्न नसक्ने उल्लेख गर्दै ४ हजार ६ सय आयोजनालाई बजेटबाट हटाइएपछि त्यसको समुचित समायोजन गरिनुपर्ने माग राखे। नेपाल उद्योग परिसंघका वरिष्ठ उपाध्यक्ष विरेन्द्रराज पाण्डेले निजी क्षेत्रको लगानी अन्य क्षेत्रमा बढे पनि पूर्वाधार सडकमा भने हुन नसकेको बताए। उनले निजी लगानी आकर्षित गर्नका लागि सरकारले सहयोगी नीति ल्याउने पर्ने र त्यसलाई कार्यान्वयनमा लैजानुपर्नेमा जोड दिए। छलफलमा सहभागी अन्य वक्ताहरूले पनि पूर्वाधार क्षेत्रको बजेट कार्यान्वयनमा देखिएको कमजोरी र नीति व्यवस्थापनबीचको दूरीलाई मुख्य चुनौतीको रूपमा औंल्याएका थिए। त्यस्तै स्वतन्त्र ऊजा उत्पादकहरूको संस्था (इप्पान)का अध्यक्ष गणेश कार्कीले सरकारले बजेटमार्फत लिएको हालको ऊर्जा नीतिले निजी क्षेत्रलाई हाइड्रोपावरबाट पन्छ्याउन खोजेको गुनासो राखेका छन्। कार्यक्रममा उनले सरकारले उत्पादन र खपतको सन्तुलनमा मात्र आधारित भएर टेक एन्ड पे विधिमार्फत विद्युत् खरिद सम्झौता (पीपीए) गर्ने नीतिले दीर्घकालीन ऊर्जा विकासमा गम्भीर असर पार्ने दाबी गरे। हामी २८ हजार ५०० मेगावाट विद्युत् उत्पादन गर्ने लक्ष्यसहित अघि बढिरहेका छौं, उनले भने, यसमा स्वदेशी र विदेशी निजी लगानी जोडिएको छ। सरकाले अहिले नै उत्पादन पुगेको ठान्दै हाइड्रोपावर आवश्यक छैन भन्ने सोचका साथ नीतिगत परिवर्तन गरिरहेको छ। उनका अनुसार बजेटमा विद्युत् उत्पादन र खपतको सन्तुलन मिलाएर मात्र पिपिए गरिने भनिए पनि यो अवधारणा व्यावहारिक छैन। यसको अर्थ अहिलेको उत्पादन नै पुग्छ भन्ने हो भने यो नीति निजी क्षेत्रलाई पन्छ्याउने संकेत हो, उनले भने।"
वैदेशिक रोजगारीमा पठाइदिन्छु भन्दै ठगी गर्ने दुई जना पक्राउ,काठमाडौं : वैदेशिक रोजगारीमा पठाइदिन्छु भन्दै ठगी गर्ने दुई जनालाई प्रहरीले पक्राउ गरेको छ। बेरोजगार युवायुवतीहरूलाई आकर्षक तलबको प्रलोभनमा पारी रोजगारीका लागि विभिन्न देशहरू लैजाने भन्दै ठगी गर्ने ५५ वर्षीय वीरबहादुर घिसिङ र ३९ वर्षीय दिनेश खड्कालाई प्रहरीले पक्राउ गरेको हो। उनीहरूलाई थप अनुसन्धान तथा कारबाहीका लागि वैदेशिक रोजगार विभाग ताहाचल पठाइएको प्रहरीले जनाएको छ।
"'आतंकवादको जोखिममा नेपाल, राष्ट्रिय सुरक्षामा रणनीतिक रूपान्तरण आवश्यक'","काठमाडौं : दक्षिण एसियामा आतंकवादको बढ्दो चुनौती र नेपालमा त्यसको प्रत्यक्ष असर पारेको भन्दै राष्ट्रिय सुरक्षामा रणनीतिक रूपान्तरणको आवश्यकता रहेको औंल्याइएको छ। सामाजिक नवप्रवर्तन तथा विदेश नीति केन्द्रले आयोजना गरेको सेमिनारमा सहभागी वक्ताहरूले नेपालको सुरक्षा रणनीति, आप्रवासन नीति, कूटनीतिक अभिव्यक्ति र गुप्तचर संयन्त्रमा देखिएको कमजोरीप्रति चिन्ता व्यक्त गरे। केन्द्रका कार्यकारी अध्यक्ष विजयकान्त कर्णले उद्घाटन मन्तव्यमा नेपाल आतंकवादी समूहहरूको सम्भावित 'ट्रान्जिट पोइन्ट' बन्ने जोखिममा रहेको बताए। उनले नेपालमा भएको विमान अपहरण र कश्मीरमा नेपालीमाथि भभएको आक्रमण त्यसको उदाहरण भएको बताए। त्यस्तै पूर्व परराष्ट्रमन्त्री तथा सांसद एनपी साउदले आतंकवादको खतरा नेपालमै प्रवेश गरिसकेकाले आप्रवासन व्यवस्थापनको कमजोरी र सुरक्षा नीति सुधार्न जोड दिए। सांसद राजकिशोर यादवले पहलगाम आतंकवादी आक्रमणमा नेपालले सार्वजनिक रूपमा प्रतिक्रिया नजनाउनु कूटनीतिक चुक भएको बताए। त्यस्तै पूर्व राष्ट्रिय सुरक्षा सल्लाहकार शंकर दास बैरागीले अन्तर्राष्ट्रिय प्रतिबद्धता र व्यवहारबीचको खाडलले नेपालको विश्वसनीयता कमजोर बनाएको स्वीकार गरे। गुप्तचर संयन्त्र सुधार र डेटा साझेदारी सुदृढ गर्नुपर्ने आवश्यकता रहेको उनको भनाइ थियो त्यस्तै सेवानिवृत्त मेजर जनरल बिनोज बस्न्यातले दक्षिण एसियाली युद्धको स्वरूप बदलिँदै गएको बताउँदै नेपालको आतंकवादविरोधी नीति अझै पनि नरम कूटनीतिमा निर्भर रहेको टिप्पणी गरे। उनले रणनीतिक सुरक्षा समीक्षाको माग गर्दै भने, 'हामीले हाम्रो सुरक्षा कसरी कायम गरिएको छ, फेरि विचार गर्नुपर्छ।' राजदूत मधु रमण आचार्यले नेपालले पहलगाम आक्रमणबारे स्पष्टरूपमा भारतको पक्ष लिनुपर्नेमा जोड दिँदै यस्ता अवसरहरूले विश्वास निर्माणमा सहयोग पुग्ने उल्लेख गरे। लेखक अमिश मुल्मीले आतंकवाद सिधै नेपालबाट नउत्पन्न भए पनि आप्रवासी जनसंख्या र खुला सीमानाका कारण नेपाल पनि प्रत्यक्ष असरमा पर्ने बताए। नेपालले अब प्रतीकात्मक अभिव्यक्तिबाट अगाडि बढेर आतंकवादलाई राष्ट्रिय सुरक्षाको मुख्य प्राथमिकता बनाउनुपर्ने सहभागीहरूले जोड दिएका थिए।"
पौडी खेल्ने क्रममा एक बालिकाको मृत्यु,खाँदबारी : सङ्खुवासभाको मादी नगरपालिका९ स्थित पिलुवा खोला पौडी खेल्ने क्रममा डुबेर एक बालिकाको मृत्यु भएको छ। पाँचखपन नगरपालिका९ घर भई चैनपुर नगरपालिका२ नुनढाकी बस्दै आएकी अन्दाजी १३ वर्षिया समीक्षा लिम्बूको मृत्यु भएको जिल्ला प्रहरी कार्यालयका प्रहरी निरीक्षक अभिषेक श्रेष्ठले जानकारी दिए। पौडी खेल्ने क्रममा गम्भीर घाइतेकी भएकी दिक्षा राईको जिल्ला अस्पताल सङ्खुवासभामा उपचार भइरहेको छ।
"काभ्रेमा बस दुर्घटना हुँदा एक जनाको मृत्यु, तीन घाइते",काभ्रे : काभ्रेमा बस दुर्घटना हुँदा एक जनाको मृत्यु भएको छ। आज पनौतीबाट बेथानचोक गाउँपालिका६ भुग्देउ जाँदै गरेको यात्रुबस भुग्देउस्थित दर्केखोलामा दुर्घटना हुँदा तीन जना घाइते भएका छन्। ६० वर्षीया कृष्णकुमारी तिमल्सिनाको घटनास्थलमै मृत्यु भएको स्थानीय अनिल तामाङले जानकारी दिए। घाइतेको स्थानीय पाँगु भुग्देउ स्वास्थ्य चौकीमा उपचार भइरहेको प्रहरीले जनाएको छ।
"नेपालको दोस्रो विकेट पतन, भुर्तेल पनि आउट",काठमाडौं : नेपालको दोस्रो विकेट पतन भएको छ। कुशल भुर्तेल २५ रन बनाएर आउट भएका छन्। नेदरल्यान्ड्सका माइकल लेभिटले भुर्तेलको विकेट लिएका हुन्। यसअघि अर्का ओपनर आसिफ शेख १९ रन बनाएर पेभेलियन फर्किएका थिए। २२ बलमा उनले ३ चौका प्रहार गरेका थिए। पावरप्लेमा सुस्त सुरुवात गरेको नेपालले १३४ ओभरको समाप्तिमा २ विकेट गुमाउँदै ६३ रन बनाएर खेलिरहेको छ। नेदरल्यान्ड्सले नेपाललाई २२६ रनको लक्ष्य प्रस्तुत गरेको छ।
यस्ता छन् मन्त्रिपरिषद् बैठकका निर्णयहरू,"काठमाडौं : सरकारले पछिल्लो पटक आगामी आर्थिक वर्षको बजेट र सोसँग सम्बन्धित विभिन्न ऐन एवं अन्य कानुन पारित गरेको छ। गत जेठ १५ र १९ गते बसेको मन्त्रिपरिषद्को निर्णय सार्वजनिक गर्दै सरकारका प्रवक्ता पृथ्वी सुब्बा गुरुङले बजेटसँग सम्बन्धित कानुनहरू एवं विभिन्न मन्त्रालयका प्रस्तावपछि भएका निर्णय जानकारी दिए। उनका अनुसार सरकारको आर्थिक वर्ष २०८२र८३ को बजेट वक्तव्यसहितको राजस्व र व्ययको अनुमान सङ्घीय संसद् समक्ष पेश गर्न स्वीकृति प्रदान गर्ने जेठ १५ गते बसेको मन्त्रिपरिषद्को बैठकको निर्णय रहेको थियो। सरकारका प्रवक्ता एवं सञ्चार तथा सूचना प्रविधिमन्त्री पृथ्वी सुब्बा गुरुङका अनुसार आर्थिक वर्ष २०८२८३ को सेवा र कार्यको लागि संघीय सञ्चित कोषबाट केही रकम विनियोजन र खर्च गर्ने सम्बन्धमा व्यवस्था गर्न बनेको विधेयक, राष्ट्र ऋण उठाउने अधिकारको व्यवस्था गर्न बनेको विधेयक, आर्थिक वर्ष २०८२र८३ को लागि नेपाल सरकारको अर्थसम्बन्धी प्रस्तावलाई कार्यान्वयन गर्न बनेको विधेयक सङ्घीय संसद्समक्ष पेश गर्न स्वीकृति प्रदान गर्ने निर्णय भएको थियो। त्यस्तै सामयिक कर असुल ऐन, २०१२ को दफा ३ बमोजिमको सूचित आदेश जारी गर्ने र सोको सूचना नेपाल राजपत्रमा अतिरिक्ताङ्क गरी प्रकाशन गर्ने, भन्सार महसुल ऐन, २०८१ को दफा १३ को उपदफा ९३० बमोजिमको सूचना जारी गर्ने र सोको सूचना नेपाल राजपत्रमा अतिरिक्ताङ्क गरी प्रकाशन गर्ने पनि मन्त्री परिषद्को बैठकले निर्णय गरेको मन्त्री गुरुङले बताए। त्यस्तै मूल्य अभिवृद्धि कर (सत्ताइसौँ संशोधन) नियमावली, २०८२, अन्तः शुल्क (सत्ताइसौँ संशोधन) नियमावली, २०८२, आयकर (सोह्रौँ संशोधन) नियमावली, २०८२, भन्सार (सोह्रौँ संशोधन) नियमावली, २०८२, भन्सार महसुल (पहिलो संशोधन) नियमावली २०८२ र मदिरा (चौथो संशोधन) नियमहरू २०८२ स्वीकृत गर्ने र सोको सूचना नेपाल राजपत्रमा अतिरिक्ताङ्क गरी प्रकाशन गर्ने, नेपाल प्रहरीको रिक्त प्रहरी अतिरिक्त महानिरीक्षक पदमा प्रहरी नायव महानिरीक्षक सिद्धि बिक्रम शाहलाई बढुवा गर्ने, सडक सुरक्षा सम्बन्धमा व्यवस्था गर्न बनेको विधेयक तर्जुमाको लागि सिद्धान्त स्वीकृत गर्ने, हुलाक सेवासम्बन्धी विधेयक तर्जुमाको लागि सिद्धान्त स्वीकृत गर्ने, गोरखापत्र संस्थानसम्बन्धी विधेयक तर्जुमाको लागि सिद्धान्त स्वीकृत गर्ने र राष्ट्रिय समाचार समिति (रासस)सम्बन्धी विधेयक तर्जुमाको लागि सिद्धान्त स्वीकृत गर्ने मन्त्रिपरिषद्को निर्णय छ। त्यस्तै मन्त्री गुरुङका अनुसार १९ गते बसेको मन्त्रिपरिषद् बैठकबाट आगामी असार ३ गते अष्ट्रियाको भियनामा आयोजना हुने ओपेक विकास कोष फोरममा अर्थ मन्त्रालयका सचिवलाई सहभागी हुन स्वीकृति दिइएको छ। त्यसैगरी थाइल्याण्डको राजधानी बैंककमा आगामी असार ४ गतेदेखि ६ गतेसम्म आयोजना हुने हेन्ड इन हेन्ड इन्भेस्टमेन्ट डाइलग फर एसिया एन्ड द पेसिफिक विषयक कार्यक्रममा कृषि तथा पशुपन्छी विकासमन्त्री रामनाथ अधिकारीलाई सहभागी हुन स्वीकृति दिने, नेपाली सेनातर्फ एकजना प्रमुख सेनानीको महासेनानी दर्जामा बढुवा गर्ने, दशजना महासेनानीहरूको सरुवा गर्ने र एकजना महासेनानीको राजीनामा स्वीकृत गर्ने, आगामी असार २ गतेदेखि ९ गतेसम्म जर्मनीमा आयोजना हुने युनाईटेड नेशन्स क्लाइमेट चेन्ज कन्फ्रेन्स, एसबी ६२ मा सहभागी हुन वन तथा वातावरण मन्त्रालयका सचिवलाई स्वीकृति प्रदान गर्ने निर्णय गरेको थियो। त्यसैगरी यही जेठ २८ गतेदेखि ३० गतेसम्म जनवादी गणतन्त्र चीनको बेइजिङमा आयोजना हुने बेजिङ्ग सिबीडी मल्टिनेश्नल इन्टरप्राइजेज कन्फ्रेन्स एन्ड एसियन मेयर्स फोरममा सहभागी हुन ललितपुर महानगरपालिकाका प्रमुख चिरीबाबु महर्जनलाई स्वीकृति प्रदान गर्ने सरकारको निर्णय रहेको मन्त्री गुरुङले जानकारी दिए।"
