शीर्षक,विवरण
एउटै परिवारका ६ जनाले गरे एकैपटक मकालु हिमाल आरोहण,"खाँदबारी : सङ्खुवासभाको मकालु गाउँपालिका२ का एकै पटक एउटै परिवारका ६ जनाले मकालु हिमालको आरोहण गरेका छन्। एकै परिवारका ५ दाजुभाइ र बहिनीसहित एक छोरीले विश्वको पाँचौ अग्लो मकालु हिमाल (८,४८५ मिटर) आरोहण गरेका हुन्। विश्व कीर्तिमानिका लागि मकालु२ का ङिमा ओङ्जुक शेर्पाका ४ छोरा १ छोरीले गत वैशाख २६ मा मकालु हिमाल आरोहण गरेको आरोही दलका सदस्य मुक्टुक लाक्पा शेर्पाले बताए। मुक्टुकले भने, म सहित तीन भाइ, एक बहिनीले एकै परिवारका पाँच जना आरोहणमा विश्व कीर्तिमानी राख्न मकालु आरोहण गरेका हौं। एकै परिवारको कीर्तिमानीका लागि मुक्कुट, उनका भाइहरू ङिमा दोर्ची शेर्पा, आङ डी शेर्पा, पेछुम्वे शेर्पा र वहिनी पासाङ शेर्पाले एक साथ आरोहण गरेका हुन्। मकालु हिमालमा एउटै बाउका पाँच छोराछोरीले आरोहण गरेर कीर्तिमानी राख्ने हाम्रो परिवार पहिलो भएको बहिनी पासाङ याङ्जीले दाबी गरिन्। उनले भनिन्, हामी कीर्तिमानी विश्व कीर्तिमानी लेखाउने प्रक्रियामा रहेका छौं। मकालु हिमालको प्रचारप्रसार गरी पर्यटक भित्राउन एकै परिवारका ५ जनाले एकै पटक मकालु आरोहण गरेको उनको भनाइ छ। यसअघि उनका चार दाजुभाइले विश्वको दोस्रो अग्लो पाकिस्तानको केटु हिमाल(८६११मिटर) एक साथ आरोहण गरिसकेका छन्। एकै परिवारका चार दाजुभाइले एकै पटक आरोहण गरी कीर्तिमानी राखेका थिए। ८ दाजुभाइ मध्ये ५ जाना र २ दिदीबहिनी मध्ये १ जनाले विभिन्न हिमाल आरोहण गरिसकेका छन्। मुक्टुका माइलो दाजु काले छिरिङ शेर्पाले ५ पटक सगरमाथा र एकएक पटक धौलागिरि र अन्नपूर्ण हिमाल आरोहण गरिसकेका छन्। दाजुभाइ दिदीबहिनीको एक साथ कीर्तिमानी राख्ने क्रममा उनीहरू सँगै मुक्टुकका २३ वर्षीय छोरीले पनि मकालु हिमाल सँगै आरोहण गरेकी छन्। बुबा, काका र फुपुसँगै आरोहण गरेकी २३ वर्षीया एनीमा शेर्पा मकालु हिमाल आरोही मध्ये कान्छी महिला आरोही रहेको दाबी गरेकी छन्। एनीमाले भनीन्, कान्छी आरोही महिलाको विश्व कीर्तिमानी दर्ताका लागि लागिरहेको छु। यसअघि गत चैतमा मकालु२ कै २८ वर्षीया किप्पा लामु शेर्पाले कान्छी आरोहीको रूपमा मकालु हिमाल आरोहण गरेकी थिइन्। एकै परिवारका ६ जनाले एकै साथ मकालु आरोहण गरेपछि सो परिवारलाई नेपाल पत्रकार महासंघ सङ्खुवासभाले सोमबार खाँदबारीमा सम्मान पत्रले सम्मान गरेको छ।"
प्यालेस्टिनीहरूलाई इजरायली सेनाले खान युनिस खाली गर्न दियो चेतावनी,"काठमाडौं : इजरायली सेनाले खान युनिस बानी सुहेला र अबासनमा बसोबास गर्ने प्यालेस्टिनीहरूलाई तुरुन्तै त्यो ठाउँ छोड्न चेतावनी दिएको छ। इजरायल डिफेन्स फोर्सेस (आईडीएफ) का प्रवक्ता अवीचाई आड्राईले सामाजिक सञ्जाल प्लेटफर्म एक्समा आईडीएफले आतंकवादी संगठनहरूको शक्तिलाई नष्ट गर्न अभूतपूर्व आक्रमण सुरु गर्ने उल्लेख गरेको छ। उनले भने,तिमीहरू सबै तुरुन्तै पश्चिम तर्फको मावा क्षेत्रतिर लाग्नुपर्छ। अद्राईले खान युनिस अब खतरनाक युद्ध क्षेत्र मानिने बताए। यसअघि इजरायली सेनाले गाजामा ठुलो जमिन अपरेशन सुरु गरेको बताएको थियो। इजरायलले गाजामा आवश्यक मात्रामा खाना पठाउन अनुमति दिएको छ।"
सबै तहको सरकारमा सहभागी भएर पनि कांग्रेसभित्र असन्तुष्टि छ : महामन्त्री थापा,काठमाडौं : नेपाली कांग्रेसका महामन्त्री गगनकुमार थापाले देशमा देखिएको समस्या समाधान गर्ने जिम्मेवारी कांग्रेसको भएको बताएका छन्। सोमबार काठमाडौंमा सुवास घिमिरेद्वारा लिखित बीपी कोइरालाको जीवनकथामा आधारित उपन्यास सान्दाजु विमोचन गर्दै महामन्त्री थापाले कांग्रेस राष्ट्रिय शक्ति भएकाले देशमा देखिएका सबैभन्दा ठूलो समस्या बुझेर सम्बोधन गर्ने सामर्थ्य राख्नुपर्ने बताए। नेपाल कहिल्यै बन्दैन भन्ने विश्वास युवाहरूमा टुटेर जानु डरलाग्दो भएकाले यस्तो परिस्थितिबाट देशलाई बाहिर निकाल्ने जिम्मेवारी कांग्रेसको भएको उनको भनाइ छ। महामन्त्री थापाले कांग्रेस ठूलो पार्टी भएकाले सबै तहको सरकारमा सहभागी भएको बेलामा पनि कांग्रेसभित्र असन्तुष्टि देखिएको जिकिर गरे। उनले अहिले कांग्रेसले पाएको अवसरलाई सदुपयोग गर्दै निराशा चिर्न सक्नुपर्ने बताए।
टिभीएस ग्रेट ग्राण्ड एक्सचेञ्ज एण्ड फाइनान्स मेला,"काठमाडौं : नेपालमा टिभीएसको एकमात्र आधिकारिक वितरक जगदम्बा मोटर्सले टिभीएस ग्रेट ग्राण्ड एक्सचेञ्ज एण्ड फाइनान्स मेला आयोजना गर्न लागेको छ। यही जेठ ७ देखि १२ गतेसम्म काठमाडौँको 'भृकुटीमण्डप' मा मेला आयोजना हुनेछ। यो विशेष अवसरमा ग्राहकहरूले आफ्नो पुरानो मोटरसाइकल वा स्कुटर साटेर नयाँ टिभीएस सवारी घर लैजान सक्नेछन्। जेठ ६ गतेसम्म नयाँ टिभीएस सवारीको प्रिबुकिङ गर्ने ग्राहकले ५ हजार बराबरको उपहार प्राप्त गर्नेछन्। यो सीमित अवधिको अफरले इच्छुक ग्राहकलाई अझ लाभदायक बनाउनेछ। मेला अवधिभर ग्राहकहरूले पुरानो सवारीको न्यूनतम मूल्याङ्कन ३० हजारसम्मको सुनिश्चित प्राप्त गर्नेछन्। ५० भन्दा बढी रिकन्डिसन हाउसहरूको सहभागितासहित मेलामा सबैभन्दा उच्च मूल्याङ्कनको विश्वस्तता दिइनेछ। त्यसका साथै ग्राहकहरूले ८ हजारसम्मको नगद छुट, १० हजार रुपैयाँसम्मको थप मूल्यांकन पाउनेछन् र शून्य प्रतिशत ब्याजदरमा सवारी किन्ने सुविधा पनि उपलब्ध हुनेछ (नियम तथा सर्त लागु हुने)। नयाँ सवारी खरिद गर्ने प्रत्येक ग्राहकले हेल्मेट, झोला, बाइक कभर, र रेनकोट नि:शुल्क उपहारस्वरूप प्राप्त गर्नेछन्। आगन्तुकहरूले लाइभ ब्यान्डको प्रस्तुति, स्टन्ट शो, टेस्ट राइड, विभिन्न खेलहरू, सौन्दर्य ब्रान्डहरूको प्रदर्शनी, स्वादिलो खानेकुरा र बालबालिकाका लागि विशेष क्षेत्रको मजा लिन सक्नेछन्। मेलाले सम्पूर्ण परिवारलाई लक्षित गर्दै रमाइलो वातावरण सहित सम्पूर्ण मनोरञ्जन प्रदान गर्नेछ।"
सुर्ती नियन्त्रणमा योगदानका पुर्याएको भन्दै विश्व स्वास्थ्य संगठनद्वारा नेपाल पुरस्कृत,काठमाडौंः सुर्ती जन्य पदार्थ नियन्त्रणमा महत्वपूर्ण योगदान पुर्याएको भन्दै नेपाललाई विश्व स्वास्थ्य संगठनले पुरस्कृत गरेको छ। विश्व सूर्तीजन्य पदार्थविरुद्धको दिवसका अवसरमा सन् २०२५ का लागि नेपालको स्वास्थ्य तथा जनसंख्या मन्त्रालयले महानिर्देशकको विशेष सम्मान अवार्ड प्राप्त गरेको हो। विश्व स्वास्थ्य संगठनको ७९ औं सभाका क्रममा जेनेभामा आयोजित कार्यक्रममा महानिर्देशक डा टेड्रोस अधानोम घेब्रेएससले स्वास्थ्य तथा जनसंख्या मन्त्री प्रदीप पौडेललाई पुरस्कार प्रदान गरे। हरेक वर्ष सुर्तीजन्य पदार्थ नियन्त्रणमा असाधारण योगदान पुर्याएका व्यक्ति तथा संस्थालाई पुरस्कृत गर्ने सिलसिलामा यस वर्ष नेपालको स्वास्थ्य तथा जनसंख्या मन्त्रालयलाई पुरस्कृत गरिएको संगठनले जनाएको छ। मन्त्री पौडेलले सुर्तीजन्य पदार्थको बट्टाको अग्रभाग र पछाडि सतप्रतिशत चेतावनीजन्य सूचना प्रकाशन गर्नुपर्ने व्यवस्थासम्बन्धी निर्णय गरेका थिए। अब यो निर्णय कार्यान्वयनमा आउनेछ। सरकारको यस निर्णयलाई विश्व स्वास्थ्य संगठनले असाधारण योगदान भनेको छ।
कोशीको नीति तथा कार्यक्रम सार्वजनिक,"विराटनगर : कोशी प्रदेश सरकारको आगामी आर्थिक वर्ष २०८२०८३ को नीति तथा कार्यक्रम सोमबार सार्वजनिक गरिएको छ। प्रदेश प्रमुख पर्शुराम खापुङले आगामी नीति तथा कार्यक्रम प्रदेशसभामा प्रस्तुत गरेका हुन्। प्रदेशसभाको सातौं अधिवेशनको दोस्रो बैठकमा प्रस्तुत नीति तथा कार्यक्रमले प्रदेशको दिगो विकास, वित्तीय सुशासन र प्रशासनिक सुधारलाई प्राथमिकतामा राखेको छ। नीति तथा कार्यक्रमले प्रदेश संरचनाको सुदृढीकरण र संघीय व्यवस्थाको प्रभावकारी कार्यान्वयनमा जोड दिएको छ। आन्तरिक राजस्व वृद्धि, स्रोतको दीर्घकालीन व्यवस्थापन र नीतिगत सुधारका साथै आर्थिक आत्मनिर्भरता र वित्तीय पारदर्शिताका लागि शासकीय सुधारमार्फत स्रोत परिचालनलाई सुदृढ गर्ने योजना प्रदेशसभामा प्रस्तुत गरिएको छ। प्रदेश सरकारले दिगो विकास योजनामा भौतिक पूर्वाधार, कृषि, सूचना प्रविधि, ऊर्जा र पर्यटन क्षेत्रलाई उच्च प्राथमिकतामा राखेको छ। कोशी पर्यटन वर्ष २०८२ लाई आधार वर्षका रूपमा लिएर राष्ट्रिय पुँजी विकास गर्ने लक्ष्य नीति तथा कार्यक्रममार्फत प्रस्तुत गरिएको छ। पर्यटक भित्र्याउन नीतिगत र संरचनागत सुधार तथा पर्यटकीय पूर्वाधार विस्तारमा जोड दिइने नीति तथा कार्यक्रममा उल्लेख छ। यसअघि सम्पन्न प्रदेश लगानी सम्मेलनबाट प्राप्त उपलब्धिलाई संस्थागत गर्दै सार्वजनिकनिजी साझेदारी तथा सहकारी अवधारणामा आधारित परियोजना विकासलाई प्रोत्साहित गरिने योजनासमेत समावेश गरिएको छ। लगानी सम्मेलनले स्थानीय लगानी प्रवाहलाई गति दिएर प्रदेशको समग्र आर्थिक वृद्धिमा टेवा पुर्याउने अपेक्षा गरिएको छ। शासकीय सुधारका लागि सेवाप्रवाहलाई चुस्तदुरुस्त बनाउन नीतिगत पुनरावलोकन, संस्थागत पुनर्संरचना र प्रशासनिक सुधारमा जोड दिइने विषय नीति तथा कार्यक्रममा समेटिएको छ। जनतासँगको सीधा सम्पर्क, सेवा प्रवाहमा पारदर्शिता र नीतिगत स्पष्टतालाई प्राथमिकता दिँदै सुशासन प्रवर्द्धनको योजनासमेत अघि सारिएको छ। प्रदेश सरकारले आर्थिक वृद्धि, रोजगारी सिर्जना, उत्पादन वृद्धिसँगै वातावरण संरक्षण र जलवायु परिवर्तनका असरलाई समेत ध्यानमा राखेर सन्तुलित र दिगो विकासका योजना अघि नीति तथा कार्यक्रममार्फत अघि सारेको छ।"
पृथ्वी संग्रहालय तोडफोड,"नुवाकोट : ऐतिहासिक नुवाकोटको टाकुरोमा रहेको पृथ्वी सङ्ग्रहालय तोडफोड भएको छ। विदुर नगरपालिकाको स्वामित्वमा रहेको विदुर२ नुवाकोट टाकुरोस्थित निर्माण सम्पन्न भएर सञ्चालनको तयारीमा रहेको पृथ्वी सङ्ग्रहालयको मूल ढोकामा तोडफोड भएको हो। सम्बन्धित निकायले छानबिन गर्न माग गरेको छ। उक्त सङ्ग्रहालयलाई विदुर नपाले सञ्चालनका लागि विदुर नपाले पहल गरिरहेको थियो। मेयर राजन श्रेष्ठले संग्रहालय सञ्चालनका लागि आवश्यक तयारी, समन्वय तथा सरोकारवाला निकायहरूसँग सहकार्य भइरहेको जानकारी दिए। सञ्चालन हुन बाँकी र सरसामग्री केही नराखिएकाले सङ्ग्रहालयको मूल ढोकामा तोडफोड भए पनि अन्य थप क्षति नोक्सानी भने नभएको निरीक्षणका क्रममा पाइएको छ। केही समय अगाडि निर्माण गरिएको पृथ्वीनारायण शाह सङ्ग्रहालय सञ्चालनमा ल्याउन मेयर राजन श्रेष्ठ ज्यूबाट विभिन्न सरोकारवाला पक्षहरूसँग सहकार्य गर्ने क्रममा पाटन सङ्ग्रहालयको संरचना डिजाइन गर्ने अस्ट्रियाका नागरिक र उनको साथमा नेपाली नागरिक भरत महर्जनबाट सङ्ग्रहालयको अध्ययनसमेत थालिएको थियो। सङ्ग्रहालय सञ्चालनमा ल्याएर त्यसको अल्पकालीन र दीर्घकालीन संरक्षण तथा प्रवर्द्धनका लागि सङ्ग्रहालयको प्राविधिकसहित विस्तृत अध्ययनको प्रबन्ध मिलाइएको छ। प्रतिवेदनका आधारमा सङ्ग्रहालयलाई जतिसक्दो छिट्टै सञ्चालनमा ल्याउने लक्ष्य लिइएको विदुर नपाले जनाएको छ। सङ्ग्रहालय सञ्चालनार्थ अध्ययन थालिएको छ। यसका लागि सरोकारवाला पक्षहरूसँग सहकार्य गर्ने क्रममा पाटन सङ्ग्रहालयको संरचना प्राविधिक अस्ट्रियाका नागरिक र उनको साथमा नेपाली नागरिकबाट सङ्ग्रहालयको अध्ययन थालिएको हो। उक्त सङ्ग्रहालय सात रोपनी जग्गामा पाँच करोड २८ लाख रुपैयाँको लागतमा निर्माण सम्पन्न हो।"
"महोत्तरीमा ८ लाख रुपैयाँ बरामद, २ जना पक्राउ",महोत्तरी : प्रहरीले महोत्तरीको औरहीबाट अवैध रूपमा ल्याइरहेको अवस्थामा ८ लाख नेपाली रुपैयाँसहित दुई जनालाई नियन्त्रणमा लिएको छ। जिल्ला प्रहरी कार्यालय महोत्तरीका अनुसार पक्राउ पर्नेमा सम्सी गाउँपालिका७ का २५ वर्षीय रवि साह र भारतीय नागरिक कन्हवाँका २० वर्षीय रितेश साह रहेका छन्। सोमबार बिहान उनीहरू सवार रहेको मधेश प्रदेश ०२०००७ प १६८१ नम्बरको मोटरसाइकललाई चेकजाँच गर्दा सो रकम बरामद भएको हो। महोत्तरीको औरही नगरपालिका४ कठुधारस्थित सम्सी गौशाला सडकखण्डमा प्रहरीले चेकजाँच गर्दा उनीहरूको साथबाट १ हजार दरका ८०० वटा नेपाली नोट बरामद भएको महोत्तरी प्रहरीका प्रवक्ता डीएसपी शैलेन्द्र कुमार भट्टले बताए। उनीहरूमाथि थप अनुसन्धानका लागि जिल्ला अदालत महोत्तरीबाट हुण्डी कारोबार मुद्दा शीर्षकमा ७ दिनको म्याद थप लिई आवश्यक कानुनी कारबाही प्रक्रिया अगाडि बढाइएको जिल्ला प्रहरी कार्यालय महोत्तरीले जनाएको छ।
अध्यक्षसँग ज्येष्ठ नागरिक कार्यक्रम,"नुवाकोट : नुवाकोटको तारकेश्वर गाउँपालिकाले अध्यक्षसँग ज्येष्ठ नागरिक कार्यक्रम सञ्चालन गरेको छ। तारकेश्वरको ६ वटै वडामा अध्यक्षसँग ज्येष्ठ नागरिक कार्यक्रम अन्तर्गत स्वास्थ्य परीक्षणसहित निःशुल्क र सामाजिक सुरक्षा भत्ता वितरण गरिएको हो। तारकेश्वर ५ बाट सुरु भएको उक्त कार्यक्रम वडा नम्बर ६, १, ३ र २ हुँदै ४ वुधसिङमा पुगेर सम्पन्न भएको हो। सो कार्यक्रम अन्तर्गत वृद्धवृद्धासहित आठसय जनाको स्वास्थ्य परीक्षण गरी आवश्यक औषधि प्रदान गरिएको स्वास्थ्य शाखाले जनाएको छ। कार्यक्रममा वृद्धवृद्धाहरूको स्वास्थ्यकर्मीले वडामै पुगेर स्वास्थ्य परीक्षण गरी आवश्यक औषधिका साथै सामाजिक सुरक्षा भत्ता प्रदान गरिएको तारकेश्वर गापा अध्यक्ष शिव अधिकारीले जानकारी दिए।"
सिंहदरबारमा मेलम्चीको शुद्ध खानेपानी वितरण कार्यको शुभारम्भ,"काठमाडौं : खानेपानीमन्त्री प्रदीप यादवले सिंहदरबारमा मेलम्चीको शुद्ध खानेपानी वितरण कार्यको शुभारम्भ गरेका छन्। सोमबार एक कार्यक्रमकाबीच मन्त्री यादवले सिंहदरबारभित्र मेलम्चीको शुद्ध, सुरक्षित खानेपानी वितरण कार्यको शुभारम्भ गरेका हुन्। मेलम्चीको पानी अब सिंहदरवारभित्रका सबै मन्त्रालय र कार्यालयहरूमा वितरण गरिने उनले बताए। 'आजबाट सिंहदरबारमा विधिवत रूपमा मेलम्चीको पानी आएको छ। यसभन्दा पहिले भूमिगतको पानी सिंहदरबारमा आएको थियो। अब यहाँ मेलम्चीको शुद्ध र सुरक्षित खानेपानी वितरण हुनेछ,' उनले भने। त्यसैगरी मन्त्री यादवले मेलम्चीको पानी वितरण सुरु भएपछि अबदेखि सिंहदरबार क्षेत्रभित्र प्रयोग हुँदै आएको जार र बोतलको पानी विस्थापित गरिने बताए। उनले भने, 'सिंहदरबारमा मेलम्ची खानेपानी वितरण कार्यको विधिवत रूपमा शुभारम्भ गरेको छु। अब जार र बोतलको पानी विस्थापित हुन्छ।' सिंहदरबारभित्र रहेका सम्पूर्ण मन्त्रालयहरू तथा कार्यालयहरूमा मेलम्चीको शुद्ध र सुरक्षित खानेपानी पुर्याउनका लागि पाइप लाइनको विस्तार गरिने समेत मन्त्री यादवले जानकारी दिए।"
