शीर्षक,विवरण
तोकेको समयभित्र दर्ता नभए सामाजिक सञ्जालमाथि प्रतिबन्ध लाग्छ : मन्त्री गुरुङ,"काठमाडौँ : सञ्चार तथा सूचना प्रविधिमन्त्री पृथ्वीसुब्बा गुरुङले सरकारले तोकेको समयभित्र दर्ता नभए फेसबुक लगायतका सामाजिक सञ्जालमाथि प्रतिबन्ध लाग्ने स्पष्ट पारेका छन् । शुक्रबार काठमाडौँमा सञ्चारीका समूह नेपालको ९ औँ महाधिवेशनलाई सम्बोधन गर्दै मन्त्री गुरुङले नेपालमा सञ्चालन हुने सबै सामाजिक सञ्जाल प्ल्याट्फर्महरुले नेपालको नियम मान्नुपर्ने भन्दै सरकारले तोकेको म्यादभित्र दर्ता नभए प्रतिबन्ध लाग्ने स्पष्ट पारेका हुन् । सामाजिक सञ्जाल दर्ताका लागि सरकारले थप गरेको एक महिनाको म्याद सकिन केही दिन बाँकी रहेको भन्दै उनले फेसबुक लगायतका सामाजिक सञ्जाल दर्ता हुन नआएको उल्लेख गरे । उनले सामाजिक सञ्जालसम्बन्धी कानुन कुनै सञ्चारमाध्यमलाई बन्द गर्नका लागि नभई नियमन गर्नका लागि ल्याइएको स्पष्ट पारे । त्यस्तै मन्त्री गुरुङले चैत्र १५ गते काठमाडौँमा राजावादीले गरेको आन्दोलन प्रतिगामी र संविधान विरोधी आन्दोलन भएको बताए । शान्तिपूर्ण भेला हुन पाउने अधिकार, संविधान विपरीतको कार्यका लागि प्रयोग गर्दा हिंसात्मक घटना भएको भन्दै उनले त्यसमा संलग्न सबैलाई कारबाही हुने स्पष्ट पारे । उनले मुलुकमा राजतन्त्रको कुनै गुञ्जायस नरहेको जिकिर गरे । उनले प्रविधिको दुरुपयोग गर्दै मुलुक, राजनीतिक दलका साथै जनतालाई कमजोर बनाउने काम भइरहेको भन्दै सरकार गम्भीर भएर यसलाई रोक्न लागिपरेको बताए । कार्यक्रममा सञ्चारीका अग्रणी सम्मान पत्रकार उषा लोहनी र डा हरिकला अधिकारीलाई प्रदान गरिएको थियो । त्यस्तै सञ्चारीका समानता पुरस्कार धनु विश्वकर्मालाई प्रदान गरिएको छ भने स्व उमा सिंह पत्रकारिता पुरस्कार पत्रकार सपनाकुमारी कर्णलाई प्रदान गरिएको छ ।"
दाङमा बस दुर्घटना हुँदा २ जनाको मृत्यु,दाङ : दाङमा बस दुर्घटना हुँदा दुई जनाको मृत्यु भएको छ। दुर्घटनामा परी घोराही उपमहानगर पालिका बनगाउँका पुष्पा डाँगी र राजपुर स्थायी घर भई लमही नगरपालिका५ रातो डाँडाका निलसरोज यादवको मृत्यु भएको प्रहरीले जनाएको छ। डाँगीको घटनास्थलमा र यादवको उपचारका क्रममा लमही अस्पतालमा मृत्यु भएको हो। पूर्वपश्चिम राजमार्गको लमहीभालुवाङ सडक खण्डको राप्ती गाउँपालिका५ लठ्ठहवामा बस दुर्घटना हुँदा २ जनाको मृत्यु भएको हो। कपिलवस्तुको कृष्णनगरबाट दाङको तुलसीपुर जाँदै गरेको बा ३ ख ७९९६ नम्बरको बस देउखुरीमा दुर्घटना भएको हो। दुर्घटनामा कम्तीमा २४ जना घाइते भएका छन्। घाइते मध्ये ८ जनाको अवस्था गम्भीर रहेको छ। ७ जनाको मध्यम रहेको प्रहरीले जनाएको छ। घाइतेहरूको लमही र भालुबाङ अस्पतालमा उपचार भइरहेको छ।
आफ्नै कारणले केपी ओलीको सरकार छिट्टै ढल्छ : प्रचण्ड,"कपिलवस्तु : नेकपा माओवादी केन्द्रका अध्यक्ष पुष्पकमल दाहाल 'प्रचण्ड'ले वर्तमान सरकार भष्टचारीलाई संरक्षण गर्न लागिपरेको भन्दै आफ्नै कारणबाट चाँडै केपी शर्मा ओली नेतृत्वको सरकार ढल्ने दाबी गरेका छन्। तराईमधेस हुलाकी राजमार्ग जागरण अभियानका क्रममा कपिलवस्तुको बहादुरगञ्जमा आयोजित सभामा सम्बोधन गर्दै अध्यक्ष प्रचण्डले आफ्नो बोझ थाम्न नसकेर आफैं यो सरकार ढल्ने दाबी गरे। सरकार बिचौलियाहरूले चलाउन थालेको र भष्टचारमा चुर्लम्म डुबेको उनले आरोप लगाए। कुलमान घिसिङलगायतका उत्कृष्ट कर्मचारीहरूलाई हटाएर सरकारले गलत गरेको उनले बताए। अध्यक्ष प्रचण्डले देशमा केही बिचौलियाले चलखेल गर्दा विकास निर्माणका कामहरू अवरुद्ध भएको बताए। सरकार भ्रष्टाचारीहरूलाई रक्षा गर्नका लागि निर्माण भएको उल्लेख गर्दै उनले भने, कुलमान घिसिङलगायतका व्यक्तित्वहरूलाई हटाएर सरकारले गलत गर्यो। यो सरकार भ्रष्टाचारमा डुबेको बिचौलियाले चलाएको सरकार हो। आफूले भूमिहीनलाई अधिकार दिन र भ्रष्टाचारीलाई कारबाही गर्न खोज्दा आफ्नो नेतृत्वको सरकार ढलाइएको अध्यक्ष प्रचण्डले जिकिर गरे। विकास निर्माण र सुशासनका लागि बिचौलियाको हस्तक्षेप रोकेर सरकार परिवर्तन जरुरी रहेको पनि उनले बताए। यसअघि आफूहरू कांग्रेसएमालेसँग मिलेर ठूलो गल्ती गरेको उनको भनाइ छ।"
सात डलर चोर्दा जसले गुमाए ८४ हजार डलरको पेन्सन,काठमाडौं : जापानमा २९ वर्ष सेवा गरेका एक बस चालकले यात्रुको भाडाबाट सातडलर चोरेको आरोपमा बर्खास्त भएपछि ८४ हजार अमेरिकी डलर बराबरको अवकाश प्याकेज गुमाएका छन्। क्योटो सिटीले सन् २०२२ मा एक हजार येन (सात अमेरिकी डलर) ठगी (चोरी) गरेको बसको सुरक्षा क्यामेरामा देखिएको रेकर्डको आधारमा नाम नखुलाइएका ती व्यक्तिलाई बर्खास्त गरेको थियो। चोरीको अभियोगमा एक करोड २० लाख येन (८४ हजार अमेरिकी डलर) भन्दा बढीको अवकाश रकम दिन चालक कार्यरत कार्यालयले अस्वीकार गरेपछि चालकले स्थानीय अदालतमा मुद्दा दायर गरेका थिए जसमा अदालतले सजाय अत्याधिक भएको फैसला सुनाएको थियो। स्थानीय अदालतको फैसला उनको पक्षमा आए पनि यस मुद्दामाथि भएको पुनरावेदनपछि सर्वोच्च अदालतले यसलाई उल्टाएको छ। चालकले मुद्दा हारेका छन्। नगर कार्यालयको पक्षमा सर्वोच्च अदालतले अन्तिम फैसला सुनाएपछि नगर कार्यालयको सजाय पुनः कायम भएको छ। उक्त व्यक्तिको आचरणले प्रणाली र बस सेवाको प्रभावकारी सञ्चालनप्रतिको जनविश्वासलाई कमजोर पार्न सक्ने फैसला सर्वोच्च अदालतले सुनाएको हो। घटनामा पाँच जना यात्रुको एक समूह बसमा पसेर उनलाई एक हजार १५० येन तिरेको फैसलामा उल्लेख छ। चालकले समूहलाई १५० येन मूल्यको भाडा सङ्कलनका लागि सिक्का बाकसमा खसाल्न निर्देशन दिएको र एक हजार येनको बिल हातमा लिएका थिए। क्यामेरामा कैद भए पनि उनले आफ्नो वरिष्ठ अधिकारीले गरेको सोधपुछका क्रममा उनीमाथि लागेको सात डलर चोरीको आरोप अस्वीकार गर्ने प्रयास गरे अर्थात् घटनालाई सही तरिकाले रिपोर्ट गर्न नसकेको देखिन्छ। एजेन्सी
जनताको विश्वास जित्न आवश्यक लगानी र समन्वयलाई निरन्तरता दिन्छौं : मन्त्री यादव,"काठमाडौं : खानेपानीमन्त्री प्रदीप यादवले जनताको विश्वास जित्न आवश्यक लगानी र समन्वयलाई निरन्तरता दिने बताएका छन्। काठमाडौं उपत्यका खानेपानी व्यवस्थापन बोर्डको २०औँ वार्षिकोत्सव समारोहलाई सम्बोधन गर्दै उहाँले नीति निर्माणमा जनआवाजलाई प्राथमिकता दिँदै कार्यान्वयनमा पारदर्शिता र परिणाम सुनिश्चित गरिने बताए। 'खानेपानी जनताको जीवनसँग प्रत्यक्ष जोडिएको संवेदनशील अधिकार हो भन्ने मान्यताका आधारमा नीतिगत, प्रविधिगत र प्रशासनिक सुधारमार्फत दीर्घकालीन, दिगो र समावेशी विकासको दिशामा सरकार र बोर्डसँगसँगै अघि बढ्नेछौं,' उनले भने। बोर्डले अघि सारेका योजनाले नागरिकको जीवनस्तर, जनस्वास्थ्य तथा वातावरणीय दिगोपनमा अतुलनीय योगदान दिएको उल्लेख गरे। उनले थपे, 'खानेपानी क्षेत्रको सुधारका लागि आवश्यक सबै पहल, लगानी र समन्वयलाई मेरो व्यक्तिगत प्रतिबद्धता छ।'"
स्वास्थ्य शिविरमा ११ सय बढीको स्वास्थ्य परीक्षण,"बैतडी : बैतडीको पुर्चौडीमा आयोजित स्वास्थ्य शिविरमा ११ सय ५ जनाले स्वास्थ्य परीक्षण गराएका छन्। वार्षिक नियमित कार्यक्रमअन्तर्गत बैतडी समाज कैलालीले यस पटक बैतडीको पुर्चौडीमा शिविर आयोजना गरेको हो। स्वास्थ्य शिविरका संयोजक गजेन्द्रबीर चन्दले उद्घाटनकै दिन ११ सय ५ जनाले स्वास्थ्य परीक्षण गरेको बताए। शिविरमा फिजिसियन डाक्टर चेतराज भट्ट, युरोलोजिष्ट डाक्टर जोनेश तिवारी, हाडजोर्नी तथा नशा रोग विशेषज्ञ डाक्टर नर बहादुर मौनी, स्त्री तथा प्रसूति रोग विशेषज्ञ डाक्टर रविन्द्र भट्ट, मुटु रोग विशेषज्ञ डाक्टर अजय भट्ट, दन्तरोग विशेषज्ञ डाक्टर सन्तोष कुमार पाण्डे, मेडिकल अफिसर डाक्टर रोहित ठगुन्ना सहितको चिकित्सकको टोलीले स्वास्थ्य परीक्षण गरेका थिए। शिविरमा धनगढी नेत्रालयको नेत्र विशेषज्ञको टोलीले पनि १८७ जनाको आँखाको परीक्षण गरेको छ। आँखा परीक्षणमा २५ जनाको शल्यक्रिया गरिने नेत्रालयका कार्यकारी निर्देशक गजेन्द्र बहादुर चन्दले बताए। आँखाको शल्यक्रियाका लागि वरिष्ठ नेत्र विशेषज्ञ डाक्टर विद्याप्रसाद पन्त सहितको टोली पुर्चौंडी पुगिसकेको छ। शनिबारदेखि आँखाको परीक्षण र शल्यक्रिया गरिने शिविर संयोजक चन्दले बताए। शनिबार पुर्चौंडिमै बृहत रक्तदान महोत्सव पनि आयोजना हुने छ। रक्तदानका लागि नेपाल रेडक्रस सोसाइटी प्रादेशिक रक्तसञ्चार सेवा कैलालीका प्रमुख धरणी प्रसाद पन्त सहितको टोली पुर्चौंडी पुगिसकेको छ। शिविरको शुक्रबार सुदूरपश्चिम प्रदेशका सामाजिक विकास राज्यमन्त्री सरस्वती खड्काले उद्घाटन गरेकी थिइन्। शिविर वैशाख ७ गतेसम्म चल्ने आयोजकले जनाएको छ।"
प्रधानमन्त्री ओली र शिक्षक महासंघका पदाधिकारीबीच भेटवार्ता,"काठमाडौं : प्रधानमन्त्री केपी शर्मा ओलीसँग नेपाल शिक्षक महासङ्घका पदाधिकारीले जारी शिक्षक आन्दोलन र समस्या समाधानका विकल्पका विषयमा छलफल गरेका छन्। विद्यालय शिक्षा विधेयक, २०८१ छिटो पारित हुनुपर्नेलगायत माग राखेर महासङ्घको आह्वानमा चैत २० गतेदेखि शिक्षकहरूले काठमाडौं केन्द्रित आन्दोलन जारी राखेका छन्। प्रधानमन्त्री ओलीले आन्दोलनमा उठाइएका जायज मागका सम्बन्धमा गृहकार्य गरी वार्ता र संवादबाट समस्याको समाधान गर्न गत चैत २५ गते उपप्रधानमन्त्री एवं अर्थमन्त्री विष्णुप्रसाद पौडेल, गृहमन्त्री रमेश लेखक, शिक्षा, विज्ञान तथा प्रविधिमन्त्री विद्या भट्टराईसहितलाई निर्देशन दिएका थिए। मन्त्रिपरिषद्को गत वैशाख २ गतेको बैठकले सङ्घीय संसद्मा विचाराधीन रहेको विद्यालय शिक्षा विधेयक यथासक्य पारित गर्ने समेतका प्रयोजनका लागि सङ्घीय संसद्को अधिवेशन आह्वान गरी सरकारको तर्फबाट सो विधेयक पारित गर्न आवश्यक समन्वय र सहजीकरण गर्ने र यसका लागि वैशाख १२ गते शुक्रबार दिउँसो १ बजे बैठकको आह्वान गर्ने निर्णय गरेको थियो। मन्त्रिपरिषद्को सोही बैठकले महासङ्घले उठाएका मागहरूको यथोचित सम्बोधन गर्ने सम्बन्धमा संवाद निरन्तर रहेको र अझै संवाद गर्न सरकार संवेदनशील र गम्भीर रहेकाले विद्यालय भर्ना अभियान, एसइइको उत्तरपुस्तिका परीक्षण र कक्षा १२ को परीक्षालाई ध्यान दिइ आन्दोलन फिर्ता गरी विद्यालय फर्कन शिक्षकहरूलाई आह्वान गरेको थियो। प्रधानमन्त्री निवास बालुवाटारमा भएको छलफलमा महासङ्घका अध्यक्ष लक्ष्मीकिशोर सुवेदी, सहअध्यक्ष नानुमाया पराजुली, महासचिव तुलाबहादुर थापा र उपमहाचिव मदनराज जोशी सहभागी थिए।"
६ करोडमा निर्मित तातोपानी स्नान गृह सर्वसाधारणका लागि खुला,"सिन्धुपाल्चोक : नेपालचीन सीमा क्षेत्र सिन्धुपाल्चोकको भोटेकोशी गाउँपालिका २ मा रहेको तातोपानी धाराका स्नान गृह सर्वसाधारणको लागि खुला गरिएको छ। गाउँपालिकाले ६ करोड लागतमा निर्माण गरेको स्नान गृहलाई नेपाल सरकारका परराष्ट्र मन्त्री आरजु राणा देउवाले शुक्रबार उद्घाटन गरेसँगै सर्वसाधारणको लागि खुला गरिएको हो। स्नान गृहको उद्घाटन गर्दै मन्त्री राणाले नेपालको तर्फबाट तातोपानी नाकाको विकास लागि धेरै प्रयत्न गर्नुपर्ने देखिएको औल्याउँदै नाका पूर्ण रूपमा सञ्चालनमा ल्याउन सकारको ध्यानाकर्षण गराइन्। उनले दुई देशको व्यापारिक नाकालाई व्यवस्थित गर्न सके मात्र राजश्व संकलन बढ्न सक्ने धारणा व्यक्त गरिन्। तातोपानीमा स्नान गर्न आउने पर्यटकलाई व्यवस्थित स्नान गृहको निर्माण गरेकोमा गाउँपालिकालाई बधाई व्यक्त गर्दै उनले धारालाई व्यवस्थित गर्दा आम्दानीमा समेत वृद्धि हुने जनाइन्। राणाले नेपालचीन सीमा क्षेत्रको निरीक्षणसमेत गरिन्। उनलाई खासास्थित चिनियाँ अधिकारीले स्वागत गरेका थिए। फरक प्रसंगमा बोल्दै मन्त्री राणाले राजनीतिक फेरबदलको खेल खेल्नु भन्दा विकास र समृद्धितिर ध्यान दिनुपर्नेमा जोड दिइन्। अहिलेको समय भनेको सरकार फेरबदलको खेलमा रुमलिएको देखिन्छ, उनले भनिन्, तर नकारात्मकतातिर ध्यान दिनु भन्दा विकास निर्माणमा जोड दिनु आवश्यक छ। तातोपानीमा बाहिर देखिने गरी पुरानो सातवटा धारा छन्। हाल बनेका नयाँ भवनमा ४७ वटा बाथटब निर्माण गरिएको छ। तातोपानी धारा व्यवस्थित भएपछि पर्यटक र भक्तजनलाई स्नान गर्न सहज हुने तातोपानी गाउँपालिका२ का अध्यक्ष कुमार श्रेष्ठले बताए। प्राकृतिक रूपमै तातोपानीको मूल भएको सो स्थानमा परापूर्वकालदेखि नै आन्तरिक तथा बाह्य पर्यटक स्नानका लागि तातोपानी धारा आउँछन्। तातोपानीमा नुहाउँदा छाला तथा हड्डीसम्बन्धी बिरामी निको हुने विश्वास गरिन्छ।"
करेन्ट लागेर बागलुङमा एकको मृत्यु,ढोरपाटन : बागलुङ नगरपालिकाऔ ढोडेनीमा करेन्ट लाग्दा एकजनाको मृत्यु भएको छ। १७ वर्षीय शिव थापा मगरको आज साँझ ४:३० बजे करेन्ट लागेर मृत्यु भएको हो। बारीमा घाँस काट्ने क्रममा रुखको हाँगाले ३३ हजार केभी प्रसारण लाइनको नाङ्गो तारमा छुँदा करेन्ट लागेर गम्भीर घाइते भएका थापालाई उपचारका लागि धौलागिरि अस्पताल पुर्याइएको थियो। अस्पताल ल्याएको केही समयमै डाक्टरले मृत घोषणा रहेको जिल्ला प्रहरी कार्यालयका प्रहरी नायब उपरीक्षक विजय यादवले जानकारी दिए। थापाको शवलाई शव परीक्षणका लागि अस्पतालमै राखिएको छ। घटनाबारे थप अनुसन्धान भइरहेको प्रनाउ यादवले बताए।
पुल्चोकगोन्द्राङ सडकको उद्घाटन गर्दै प्रधानमन्त्रीले भने पूर्वपश्चिम राजमार्गलाई थप फराकिलो बनाउँछौं,"चितवन : प्रधानमन्त्री केपी शर्मा ओलीले चितवनको पूर्वपश्चिम राजमार्गको पुल्चोकगोन्द्राङ ६ लेन सडकको उद्घाटन गरेका छन्। नेपाल सरकारको आफ्नै लगानीमा निर्मित भैरहवा, वीरगञ्ज, पोखरा र काठमाडौंको मध्यभागमा पर्ने उक्त सडक एसियाली मापदण्डअनुसार बनाइएको छ। प्रधानमन्त्री ओलीले देश विकासमा पूर्वाग्रह र मतभेद नराखी काम गर्न आग्रह गर्दै पूर्वपश्चिम राजमार्गलाई थप फराकिलो बनाइने बताए। 'अहिले चुनाव लाग्या पनि छैन र चुनाव प्रचार गर्नु पर्या पनि छैन। त्यतापट्टि गइहाल्नुपर्ने आवश्यकता पनि छैन। म आग्रह गर्न चाहन्छु, सबैलाई सधैं राजनीतिमात्रै, सधैं चुनावमात्रै होइन। विकासमा ध्यान दिउँ। हामीले एक भएर देश बनाउनुपर्नेछ। मतभेदमा होइन एकतामा जोड दिउँ,' उनले भने। उनले विचारमा विविधता हुने भए पनि देशको विकास गर्ने कुरामा मतभेद नराख्न आग्रह गरे। 'देशको विकास हामी सबै मिलेर गर्ने हो। कोही आएर हाम्रो देश बनाउँदैन। आफ्नो बलमा लोकतन्त्रलाई बलियो बनाउँदै राष्ट्रिय एकताका साथ एकजुट भएर अघि बढेर विकास गर्नुपर्छ,' उनले भने। प्रधानमन्त्री ओलीले चितवन जिल्ला त्रेतायुगदेखि नै राम जन्मेदेखिको ऐतिहासिक महत्त्व बोकेको जिल्ला भएको उल्लेख गर्दै यो एउटा सभ्यताको सुरुआत भएको भूभाग रहेको बताए। उक्त सडक खण्डको २०७७ माघ १७ गते प्रधानमन्त्री ओलीले नै शिलान्यास गरेका थिए। ६८ किलोमिटरको सडक एक अर्ब १३ करोड ३५ लाख ३४ हजारमा निर्माण सम्पन्न भएको हो।"
