शीर्षक,विवरण
प्रधानमन्त्रीद्वारा हुम्ला पुगेर बेलिब्रिज उद्घाटन (तस्वीरहरू),"हुम्ला, २२ असार । प्रधानमन्त्री केपी शर्मा ओलीले हुम्ला पुगेर बेलिब्रिज उद्घाटन गरेका छन् । आज सुर्खेत हुँदै हुम्ला पुगेका प्रधानमन्त्री ओलीले कर्णाली कोरिडोर-चुवाखोला बेलिब्रिजको उद्घाटन गरेका हुन् । प्रधानमन्त्रीलाई स्थानीयहरूले स्वागत गरेका थिए । प्रधानमन्त्रीसँगै प्रथम महिला राधिका शाक्य, भौतिक पूर्वाधार तथा यातायात मन्त्री देवेन्द्र दाहाल, कर्णालीका मुख्यमन्त्री यामलाल कँडेल, एमाले उपमहासचिव प्रदीप ज्ञवाली पनि हुम्ला पुगेका छन् । बेलिब्रिज निर्माणको जिम्मा नेपाली सेनाले लिएको थियो। प्रधानमन्त्री ओलीले पुलको उद्घाटन गरेसँगै हुम्ला सदरमुकाम सिमकोट औपचारिक रुपमा राष्ट्रिय सडक सञ्जालमा जोडिएको छ । तस्वीरहरू-। "
भोजपुर घटनाः मृतक चारै जनाको शव सदरमुकाम ल्याइयो,"भोजपुर, २२ असार । शनिबार राति रामप्रसाद राई गाउँपालिका–२ धोद्लेखानीमा सामुहिक हत्या गरिएका चार जनाको शव परीक्षणका लागि जिल्ला अस्पताल ल्याइएको छ । प्रहरीले घटनास्थलको मुचुल्का तयार गरेपछि उनीहरुको शव परीक्षण गर्न ल्याइएको हो । भोजपुर नगरपालिका–२ घर भएका ३० वर्षीय राजेन्द्र राईले १६ वर्षीया श्रीमती मनिषा गिरी, ६८ वर्षीय ससुरा बेलबहादुर गिरी, ४५ वर्षीया सासु मञ्जु गिरी र नौ वर्षीय साला सपन गिरीको शनिबार राति हत्या गरेको प्रहरीको प्रारम्भिक अनुसन्धानबाट खुलेको छ । उनीहरुको हत्या गरेपछि अभियुक्तले नै घटनाबारे प्रहरीलाई जानकारी गराएको जिल्ला प्रहरी कार्यालयका प्रहरी निरीक्षक दिपक श्रेष्ठले जानकारी दिए । अभियुक्त राई पेटमा धारिलो हतियारको चोट रहेको अवस्थामा फेला परेका थिए ।  जिल्ला अस्पताल भोजपुरमा प्रारम्भिक उपचार गरी राईलाई थप उपचारका लागि धरानस्थित बिपी कोइराला स्वास्थ्य बिज्ञान प्रतिष्ठान पठाइएको प्रहरी निरीक्षक श्रेष्ठले बताएका छन् । मनिषा र राजेन्द्रबीच नौ महिना अगाडी प्रेम बिवाह भएको थियो । झगडा भएपछि केही समयदेखि मनिषा माइतमै बस्दै आएकी थिइन् । भोजपुर नगरपालिका–२, हैलोछा घर भएका राजेन्द्र श्रीमतीलाई लिन ससुराली आएका थिए । घटनाबारे अनुसन्धान भइरहेको प्रहरी निरीक्षक श्रेष्ठले बताए । मृतक गिरी दम्पतीका तीन छोरा र एक छोरी काठमाडौँमा बस्दै आएकाले उनीहरु आएपश्चात् मात्र दास संस्कार गरिने प्रहरीले जनाएको छ । "
टीभी हेर्न नदिएको भन्दै छोराले गरे बुबाको हत्या,"बाँके, २२ असार । बाँकेमा छोराले बुबाको हत्या गरेका छन् । बैजनाथ गाउँपालिकामा ३२ वर्षीय भविलाल रोकाले ६० वर्षीय बुवा टोपबहादुर रोका क्षेत्रीको हत्या गरेका हुन् । बुबाले टिभी हेर्न नदिएको भन्दै भविलालले धारिलो हतियार प्रहार गरी बुबाको हत्या गरेका हुन् । बुबाको हत्या गरेर भविलाल फरार भएका छन् । उनको खोजी भइरहेको प्रहरीले जानकारी दिएको छ । भविलाल लागूऔषध सेवनकर्ता रहेका बताइएको छ । "
पूर्वराष्ट्रपति भण्डारी र मेयर बालेनबीच भेटवार्ता,"काठमाडौं, २२ असार । पूर्वराष्ट्रपति विद्यादेवी भण्डारी र काठमाडौँ महानगरपालिकाका मेयर बालेन्द्र शाह (बालेन) बीच भेटवार्ता भएको छ। बालेन पूर्वराष्ट्रपति भण्डारीलाई भेट्न उनकै भंगाल निवास पुगेका थिए । उनीहरूबीच करिब ३० मिनेट विभिन्न समसामायिक विषयमा कुराकानी भएको बताइएको छ । एमालेको सक्रिय राजनीतिमा फर्केको घोषणा गरेकी भण्डारी र मेयर बालेनबीचको भेटलाई अर्थपूर्ण रूपमा हेरिएको छ । "
विद्यालय शिक्षा विधेयकमा सहमतिका लागि पाँच दिन म्याद थप,"काठमाडौं, २२ असार । विद्यालय शिक्षा विधेयकमा सहमतिका लागि पाँच दिन म्याद थप भएको छ । प्रतिनिधिसभाको शिक्षा, विज्ञान तथा प्रविधि समितिले सरकारलाई सहमतिका लागि थप ५ दिनको समय दिएको हो । आज शिक्षामन्त्री रघुजी पन्तले विद्यालय शिक्षा विधेयक पास गराउन भन्दै समिति बैठकमा थप समय माग गरेका थिए । "
"प्रधानमन्त्री ओली हुम्ला प्रस्थान, के छ कार्यक्रम ?","‎सुर्खेत, २२ असार । प्रधानमन्त्री केपी शर्मा ओली हुम्ला गएका छन् । आज बिहा सुर्खेत पुगेका प्रधानमन्त्री दिउँसो हुम्ला गएका हुन् । प्रधानमन्त्री ‎कर्णाली करिडोरअन्तर्गत हुम्लाको चुवाखोलामा नेपाली सेनाले निर्माण गरेको बेलीब्रिज उद्घाटन गर्न प्रधानमन्त्री हुम्ला गएका हुन् । प्रधानमन्त्री ओली बिहान ११ बजे सुर्खेत आइपुगेका थिए । तर मौसम बिग्रिएपछि दिउँसो बल्ल हेलिकप्टरबाट हुम्लाका लागि उडेका हुन् । "
"रौतहट बम काण्डको पीडितको रोदन- काम गर्न पनि सक्दिँन, कसरी बाँचौ यो दुनियाँमा ?","काठमाडौं, २२ असार । रौतहट बम काण्डका पीडित गौरीशंकर राम चमारले घटनाबारे पत्रकार सम्मेलन गरेर जानकारी दिएका छन् । भारतबाट काठमाडौं आएका उनले आज पत्रकार सम्मेलन गरेर घटनाबारे जानकारी दिएका हुन् । उनले मुख्य दोषी काँग्रेस नेता अफ्ताव आलमलाई सफाइ दिने अदालतको फैसला गलत भएको भन्दै न्याय दिलाउन आग्रह गरे । उनका अनुसार घटनाका समयमा उनी
आलमले रौतहटको राजपुर फरहदवामा चलाएको राजा इँटाभट्टामा काम गर्थे । त्यो दिन उनी पैसा लिन घरमा गएका थिए । उनले भनाइअनुसार त्यहाँ बम बनाउने काम भइरहेको थियो । त्यो क्रममा बम पड्किएपछि उनी घाइते भए । बमले दुवै कान उडाइदियो । अनुहार, घाँटी र छातीमा गम्भीर चोट लाग्यो । यस्तो छ, उनको भनाइ–
म रौतहटको राजा इँटाभट्टामा काम गर्दै थिए । हप्ताको दिन थियो । पैसा लिन मलाई बोलाएर लिएर गयो । हामी तीन जना थियौं । मलाई भन्यो– भाइ यता आएर तिमी आफ्नो पैसा लिएर जाउ । घरको ढोकाको छेउमा पुगेको बम पड्कियो । आगो लागेपछि म भागेँ । घरको पछाडि पानी थियो, त्यहाँ पानी हालेँ । फेरि म भागेँ । त्यसपछि मलाई थाहा भएन कि म कहाँ हो ? एकैचोटी मेरो आँखा खुल्यो सीतामढीमा । आँखा खुलेपछि मैले आमालाई सोधे- कहाँ हो यो ? आमाले भन्नुभयो- यो सितामढी हो, म तिमीलाई अस्पताल लिएर गइरखेको छु । केही चिन्ता नगर, ठीक हुन्छ तिमीलाई । त्यसपछि मेरो आँखा फेरि बन्द भयो । मेरो इलाज तीन महिनाजति भयो । मलाई साढे ३ लाख आईसी खर्च भयो । अफ्ताबले एकचोटी पनि सोधेन, मान्छे कस्तो छ, के छ ? एक रुपैया पनि दिएन । सोधेको पनि छैन । आज म सरकारसँग निवेदन गर्छु, त्यस्तो मान्छेलाई छोड्नुभएन । त्यसलाई कडाभन्दा कडा सजाय दिनुपर्‍यो । निर्वाचनको एक दिन पहिला बेलुकातिर बम बिष्फोट भएको थियो । अफताब आलमको काकाको घरमा । मैले पनि सुनेको त्यहाँ धेरै मान्छे जलेको छ, गाउँको मान्छेले मलाई उठाएर कसरी भारतसम्म पुर्याए मलाई थाहा भएन । दुई जना मेरो गाउँको मान्छे पनि जलेको छ, एउटाको हातमा र अर्कोको अलिकति खुट्टामा लागेको छ । कति मान्छे घाइते भए, त्यो त मलाई थाहा भएन । होस् भए पनि थाहा हुन्छ कतिलाई लागेको थियो भन्ने । त्यहाँ बम बिष्फोट भएको छ, मलाई बम लागेको छ । अदालतको फैसलाले मलाई अन्याय भएको छ मैले भनिराखेको छु । मलाई त्यसैमा बम लागेको छ । अरु मान्छे चाहिँ कति मर्यो मलाई थाहा भएन । इलेक्सनको एक दिन पहिला भएको छ, अफ्ताब आलमले नै बम विष्फोट गराएको त मैले भन्न सक्दिनँ । तर, उसैको घरमा भएको छ । सुरुसुरुमा एसपी कार्यालय (प्रहरी चौकी) मा मैले बयान दिँदा मेरो घरमा गएको थियो । म घरमा नहुँदाखेरी त्यसको आद्मी (मान्छे) गएर मेरो आमालाई भनेको छ– तिम्रो छोरा त गयो (मर्यो) अब । तिम्रो छोरा दुई/चार साल बितेपछि बाँच्दैन । अफ्ताब आलमको मान्छे गएर भनेको छ । मलाइ धम्की दिएको छ । अफ्ताब आलम छुटेकोमा मलाई दुःख लाग्यो, बम बनाएर, बम फ्याकेर हामी पीडित मान्छे । त्यस्तो मान्छे छुट्यो, मलाई धम्की पनि दिएको छ । मलाई मार्छ, त्यस्तो मलाई लागेको छ । अब मलाई डर भयो । मेरो शारीरिक अवस्था नाजुक छ । काम पनि भेटिदैन, काम गर्न पनि सक्दिनँ । म मर्ने कि बाच्ने, मैले केही पनि देखिनँ । कसरी बाँचौं म यो दुनियाँमा ? । "
खराब कर्जा बढ्दा बैंक तथा वित्तीय संस्थामा समस्या : गभर्नर पौडेल,"काठमाडौं, २२ असार । नेपाल राष्ट्र बैंकका गभर्नर डा विश्वनाथ पौडेलले कृषि र साना तथा मझौला उद्यमजस्ता प्राथमिकता प्राप्त क्षेत्रमा खराब कर्जा बढ्दा बैंक तथा वित्तीय संस्थामा समस्या देखिएको बताएका छन् । ठूला उद्यमी तथा व्यवसायीलाई हेरेर मात्र मौद्रिक व्यवस्था ल्याइँदा यो समस्या समाधान नहुने उनको भनाइ छ । नेपाल आर्थिक पत्रकार समाज (सेजन( ले आज यहाँ आयोजना गरेको पूर्व–मौद्रिक नीति छलफल कार्यक्रममा गभर्नर पौडेलले कृषि र साना तथा मझौला उद्योगको समस्यालाई केन्द्रमा राखेर अरु सबै क्षेत्रलाई सँगसँगै लैजाने गरि आगामी आर्थिक वर्ष २०८२/८३ को मौद्रिक नीति ल्याउने तयारी भइरहेको बताए । “हामीले बढी कर्जा प्रवाह होस् भन्ने चाहना राखेका कृषि र साना तथा मझौला उद्यम क्षेत्रको खराब कर्जा बढेको छ, यो समस्यालाई कसरी समाधान गर्ने भन्नेमा हामी बढी केन्द्रित हुनुपर्ने  छ”, गभर्नर पौडेलले भने, “अस्थिरताका बेला सबै क्षेत्र प्रभावित हुन्छन्, त्यसकारण सबैलाई सकेसम्म माथि लिएर जाने हो, धनीहरुको एउटा समूह र कृषक तथा साना उद्यमीको अर्को समूह सिर्जना गर्न हुँदैन भन्नेमा हामी चनाखो हुनुपर्ने छ, ऋणमा सबैको हक लाग्नुपर्छ, सबैको पहुँच हुनुपर्छ ।”। त्यस्तै मुलुकको समग्र अर्थतन्त्र र वित्तीय क्षेत्रमा देखिएको समस्या समाधान गर्ने विषय राष्ट्र बैंकको हातमा मात्र नरहेको उनको भनाइ छ । अहिलेको समस्या समाधानका लागि वित्त नीतिले नेतृत्व गरेर ऊर्जा, सडक, पुलजस्ता ठूला पूर्वाधार क्षेत्रमा लगानी विस्तार गर्न अतिआवश्यक भइसकेकामा उनको जोड थियो । वित्त नीति र मौद्रिक नीतिबीच समन्वय चाहिन्छ भन्नेमा आफू स्पष्ट रहेको उल्लेख गर्दै गभर्नर पौडेलले पछिल्लो समय मौद्रिक नीति बैंक तथा वित्तीय संस्थाका वासलातमाभन्दा पनि सूक्ष्म सूचक व्यवस्थापनमा केन्द्रित हुनुपर्ने अवस्था रहेको बताए । बैंक तथा वित्तीय संस्था परिसङ्घ नेपाल (सिबिफिन) का वरिष्ठ उपाध्यक्ष राजेश उपाध्यायले ब्याजदर कम हुँदा पनि कर्जा बढ्न नसक्नुको प्रमुख कारण बचतयोग्य आम्दानी घट्नु रहेको बताए । “हाम्रो खर्च बढेको छ, तर आम्दानी बढ्न सकेको छैन, युवा पलायनले उपभोक्ता बजारमा उपभोग घटेको छ”, उपाध्यायले भने । चालुपुँजी कर्जा मार्गदर्शन आवश्यक रहे पनि सही समयमा नआएको उनको तर्क छ । त्यस्तै ऋण असुलीसम्बन्धी कानुनका व्यवस्था कडा रहेको र यसलाई केही खुकुलो बनाउन सक्नुपर्ने उनले बताए । खराब कर्जा बढ्नु बैंकको मात्र समस्या नभई सामाजिक समस्याका रुपमा देखिएको धारणा उपाध्यायले राखे । “खराब कर्जाको सामाजिक पाटो पनि हेरेर यससम्बन्धी कानुनी व्यवस्थालाई खुकुलो बनाइनुपर्छ, सरकारले निर्माण व्यवसायीलाई गर्नुपर्ने भुक्तानी समयमा गर्न नसक्नु र सहकारी क्षेत्रमा देखिएको समस्याले पनि खराब कर्जाको आकार बढेको देखिन्छ”, उनले भने । खराब कर्जाको समस्या समाधानका लागि सम्पत्ति व्यवस्थापन कम्पनीले केही भूमिका खेल्नसक्ने उपाध्यायको भनाइ छ । अधिक तरलताको विद्यमान अवस्थामा आगामी आवको मौद्रिक नीतिले तरलताको व्यवस्थापन कसरी गर्ने भनेर केन्द्रमा राख्नुपर्ने सुझाव उनको थियो । कार्यक्रममा अर्थशास्त्री डा मेनुका कार्कीले वित्त नीतिमा समन्वय हुनेगरी मौद्रिक नीतिका व्यवस्था आउन नसकेको र अर्थतन्त्र सुधारका लागि मौद्रिक नीतिमा बढी निर्भर हुनुपर्ने अवस्था सिर्जना भएको बताए । “विस्तारकारी मौद्रिक नीति आउँदा वित्त नीति पनि विस्तारकारी रुपमा आउन सक्नुपर्नुपर्ने हो, तर वित्त नीति सङ्कुचनकारी नै देखिन्छ”, कार्कीले भने। निजी क्षेत्रको कर्जा विस्तारलाई वित्त नीतिबाट नभई मौद्रिक नीतिमार्फत हेरिनुपर्ने धारणा उनको थियो । त्यस्तै, घरजग्गा धितोमा आधारित कर्जा विस्तार गर्नेभन्दा भने व्यवसायमा आधारित धितोमा कर्जा प्रवाहलाई बढावा दिनुपर्ने उनको सुझाव थियो । जग्गाको कित्ताकाँट रोकिँदा घरजग्गा क्षेत्रमा समस्या देखिएको र यसले पनि कर्जा विस्तार बढ्न नसकेको कार्कीको भनाइ छ । पूर्वमुख्यसचिव डा. वैकुण्ठ अर्यालले सरकारले सधैँ विस्तारकारी वित्त नीति ल्याएको भनेर दाबी गर्ने गरेको बताए । यद्यपि नीतिगत स्थिरता हुन नसक्दा निजी क्षेत्र बढी समस्यामा पर्ने गरेको उनको भनाइ छ । “सरकारले सधैँ सुधारोन्मुख र विस्तारउन्मुख वित्त नीति ल्याएको भन्छ, जस्तो कि करको दरभन्दा दायरा बढाउने गरेको छ, उत्पादन उत्पादकत्व बढाउनका लागि वित्त नीतिले लिएको बाटोलाई मौद्रिक नीतिले समर्थन गर्नुपर्छ भन्ने हो, तर हामी कहाँ नीतिगत स्थिरता भएन”, अर्यालले भने । वित्त नीतिले लगानीको वातावरण सिर्जना गर्ने र सरकार आफैँ पनि खर्च गर्ने सबैभन्दा ठूलो निकाय पनि भएकाले सरकारको खर्च बढ्यो भने बजार चलायमान हुने र राजस्व पनि बढ्ने उनको भनाइ छ । आगामी आवको बजेट खुकुलो आएको उल्लेख गर्दै उनले मौद्रिक नीति त्यसलाई समर्थन गर्नेगरी आउनुपर्नेमा जोड दिए । कार्यक्रममा अर्थशास्त्री डा समीर खतिवडाले केन्द्रीय बैंकको मुख्य काम मूल्यवृद्धि नियन्त्रण रहेकाले कतिपय अवस्थामा वित्त नीतिसँग विरोधाभास देखिने गरेको बताए । केन्द्रीय बैंकका काममा स्वायत्तता देखिनुपर्नेमा उनले जोड दिए । त्यस्तै, राष्ट्र बैंकले मौद्रिक नीतिमार्फत ब्याजदर, मुद्रास्फीति र विदेशी विनिमय व्यवस्थापन तथा वित्त नीतिले अनौपचारिक अर्थतन्त्रलाई औपचारिक बढाउनतर्फ बढी केन्द्रित हुनुपर्ने उनको सुझाव छ । अहिले बैंक तथा वित्तीय संस्था र निजी क्षेत्रका व्यवसायको वासलातमा समस्या रहेका विषयलाई गम्भीरताका साथ लिइनुपर्ने खतिवडाको भनाइ छ । त्यस्तै, नेपाल उद्योग वाणिज्य महासङ्घका पूर्वअध्यक्ष शेखर गोल्छाले आगामी आवको मौद्रिक नीतिमार्फत निजी क्षेत्रको मनोबल बढाउन आवश्यक रहेको बताए । नेपाल बैंकर्स सङ्घका अध्यक्ष सन्तोष कोइरालाले अधिकार सम्पन्न र शक्तिशाली निकायका रुपमा सम्पत्ति व्यवस्थापन कम्पनी स्थापना गर्न अपरिहार्य रहेको बताएका छन् । “अहिले बैंक आफैँ सम्पत्ति व्यवस्थापन गर्ने कम्पनीका रुपमा काम गरिरहेका छन्, बैंकले मात्रै समस्या समाधान गर्न नसकेको अवस्थामा हामीलाई शक्तिशाली निकायका रुपमा सम्पत्ति व्यवस्थापन कम्पनी चाहिएको हो”, उनले भने । सिबिफिनका अध्यक्ष उपेन्द्रप्रसाद पौडेलले बैंकिङ क्षेत्रमा समस्या हुनेबित्तिकै मुलुकको समग्र अर्थतन्त्रमा नै समस्या हुने भएकाले बैंक, निजी क्षेत्र, राष्ट्र बैंक र सरकारले संयुक्त प्रयासबाट अहिलेको समस्या समाधान गरिनुपर्ने बताए । "
एमालेका अधिकांश कमिटीका अधिवेशन सम्पन्न,"काठमाडौं, २२ असार । नेपाल कम्युनिष्ट पार्टी (एमाले)ले प्रदेश र सबै जिल्लाका अधिवेशन सम्पन्न गरेको छ । स्थानीय तह कमिटीका ९८ प्रतिशत, वडा कमिटीका ९० प्रतिशत र टोल कमिटीका ५० प्रतिशत अधिवेशन सकिएको एमाले निर्वाचन आयोगका अध्यक्ष डा विजय सुब्बाले जानकारी दिए । उनले पार्टीले निर्धारण गरेको समयमा नै कमिटीका अधिवेशन सम्पन्न गरिएको बताए । उनका अनुसार स्थानीय तहका १० वटा कमिटीको अधिवेशन गर्न बाँकी रहेको छ । यसैगरी एमालेका करिब छ हजार वडाका अधिवेशन सकिएका छन् । आयोगका अध्यक्ष डा सुब्बाले अधिवेशन गर्न बाँकी ९८ कमिटीको विधान महाधिवेशनभन्दा पहिला नै सक्नेगरी काम अघि बढाएको जानकारी दिए । एमालेको विधान महाधिवेशन आगामी भदौ २० देखि २२ गतेसम्म तोकिएको छ । पार्टीका २३ जनसङ्गठनमध्ये १६ वटाको महाधिवेशन सम्पन्न भइसकेको छन् । "
काठमाडौं भ्यू टावरका ठेकेदार भेटवाल रिहा,"काठमाडौं, २२ असार । काठमाडौं भ्यू टावरका ठेकेदार मनोजकुमार भेटवाल रिहा भएका छन् । चेक बाउन्सको आरोपमा पक्राउ परेका उनीमाथि अनुसन्धानका लागि अदालतले म्याद थप नगरेपछि उनी गत १९ गते नै रिहा भएका हुन् । उनी गत असार १३ गते पक्राउ परेका थिए । पक्राउ परेलगत्तै अस्पताल भर्ना भएका उनी थुनामा बस्दै नबसी रिहा भएका हुन् । "
