"शीर्षक","विवरण"
"अमेरिकामा लुके प्रचण्डका प्रेस सल्लाहकार","काठमाडौं, २५ असार । नेकपा (माओवादी केन्द्र) का केन्द्रीय सदस्य तथा वाईसीएल इन्चार्ज रामप्रसाद सापकोटा ‘दीपशिखा’ले प्रधानमन्त्री केपी शर्मा ओलीको स्पेन भ्रमणमलाई विवादस्पद बनाउन ‘मानव तस्करी’ गरेको प्रचार गरेपछि माओवादी अध्यक्ष पुष्पकमल दाहाल ‘प्रचण्ड’कै सचिवालय सदस्यसमेत भिजिट भिसामा अमेरिका बसेको तथ्य सार्वजनिक भएको छ । माओवादी केन्द्रका अध्यक्ष पुष्पकमल दाहाल ‘प्रचण्ड’ प्रधानमन्त्री रहँदा प्रेस संयोजक सूर्यकिरण अहिलेसम्म अमेरिकामै लुकेर बसेका छन् । सूर्यकिरण प्रचण्ड दुई पटक प्रधानमन्त्री हुँदा नै सचिवलायमै रहेर प्रेस संयोजनको काम गरेका थिए । प्रधानमन्त्री कार्यालयको सिफारिसबाट अमेरिकाको भिजिट भिसा लगाएका सूर्यकिरण अमेरिकाबाट नफर्किएपछि प्रधानमन्त्री सचिवलायमा हेरफेर भनि सूर्यकिरणलाई हटाइएको थियो । प्रचण्ड प्रधानमन्त्री हुँदा सचिवालयमा सल्लाहकारहरु तथा सचिवालय सदस्यहरु रामदीप आचार्य, तनहुँकी ओमकुमारी पौडेल, देवेन्द्र पराजुलीसँगै सूर्यकिरणलाई हटाइएको थियो । प्रेस सेन्टरको अघिल्लो कार्यकालका उपाध्यक्ष समेत रहेका सूर्यकिरणले प्रेस संयोजकबाट हटाउँदा आफू अमेरिकामा रहेको भनि खुशी शेयर गर्दै फोटो सार्वजनिक गरेका थिए । अमेरिकामा डोनाल्ड ट्रम्प राष्ट्रपति निर्वाचित भएपछि सूर्यकिरणले फेसबुक आइडी नै लुकाएका छन् । त्यसैगरी सुनकाण्ड र चाइनिज व्यावसायीलाई ठगेको आरोप लागेको पूर्वउपराष्ट्रपति तथा माओवादी केन्द्रका उपाध्यक्ष नन्दकिशोर पुन ‘पासाङ’का जेठा छोरा जितेन्द्र पुन पनि भिजिट भिसामा गएर अमेरिका नै लुकेका छन् । पहिलो पटक भिजिट भिसामा गएर फर्किएको भोलीपल्ट नै चाइनिज व्यापारीलाई सुन ठगेको भनि समाचार बाहिरिए लगत्तै जितेन्द्र अमेरिकातिरै भासिएका थिए । जुनबेला ६१ किलो सुन तस्करीमा उनका भाइ दीपेश पुनको नाम जोडिएको भनि चर्चा थियो । त्यहीबेला एक चाइनिज व्यापारीले भिआइपीको छोरा भनेर उधारो सुन लिएको तर, पैसा नदिएको भनि भिडियोसहित मुद्दा दायर गरेका थिए । अर्को रोचक पक्ष भनेको माओवादी केन्द्रका उपमहासचिव जनार्दन शर्माका सबै भन्दा निकट मानिएका रुकुम पश्चिमका पत्रकार ध्रुब बुढाथोकी ‘डङ्की रुट’बाट अमेरिका छिरेका छन् । प्रेस सेन्टरको अघिल्लो महाधिवेशनमा हालका महासचिव मनोज घर्तीमगरलाई पासाङ र वर्षमान पुन ‘अनन्त’को निकट भनेर महासचिव बन्न रोकेका बुढाथोकी अहिले अमेरिकामै लुकेर काम गरिरहेको स्रोतले बतायो । "
"काठमाडौं भ्यूटावरको निर्माण नरोक्न महानगरपालिकालाई अदालतको आदेश","काठमाडौं, २५ असार । उच्च अदालत पाटनले काठमाडौं भ्यूटावरको निर्माण नरोक्न काठमाडौं महानगरपालिकालाई आदेश दिएको छ । आज न्यायाधीश प्रकाश खरेलको एकल इजलासले पुरानो बसपार्कस्थित जग्गामा निर्माणाधीन काठमाडौं भ्यू टावर निर्माणको काम नरोक्न आदेश दिएको हो । भ्यूटावरको निर्माणको मापदण्डका विषयमा लिएर काठमाडौं महागनरपालिकाका मेयर बालेन साहले निर्माण रोक्न आदेश दिएका थिए । यही विषयमा बालेन र प्रमुख प्रशासकीय अधिकृत सरोज गुराँगाईबीच सुरू भएको लडाईँ अझै टुंगिन सकेको छैन । "
"विशेष अदालतले पायो आइएसओको प्रमाणपत्र","काठमाडौं, २५ असार । विशेष अदालतले अन्तरराष्ट्रिय मापदण्ड सङ्गठन ९आइएसओ० को प्रमाणपत्र प्राप्त गरेको छ । न्यायिक प्रणालीे जवाफदेहीता, दिगोपना र प्रशासनिक सुधारमा चुस्त देखिएको भनी उक्त प्रमाणपत्र दिइएको हो । अदालतका अध्यक्ष टेकनारायण कुँवरले उक्त प्रमाणपत्र (यानएसरआइएसओ ९००१ः२०१५) को आज विशेष अदालतमा आयोजित कार्यक्रममा सार्वजनिक गरे । उनले न्यायिक तथा प्रशासनिक प्रक्रियामा उच्चतम इमान्दारीता, जवाफदेहिता र सार्वजनिक विश्वास कायम राख्न प्रयत्न गरिरहेकाले आइएसओको प्रमाणपत्र प्राप्त गर्न सफल भएको जानकारी दिए । अध्यक्ष कुँवरले कानुनबमोजिम निष्पक्ष न्याय सम्पादन, खुला, पारदर्शी र अभिलिखित न्यायिक प्रक्रिया कायम गर्न न्यायिक निकायलाई परीक्षण, तालिम र प्रविधिका माध्यमबाट नियमित रूपमा सुधार गर्न प्रयत्न गरिरहेको बताएका छन् । “विशेष अदालत आइएसआको प्रमाणपत्र पाउने पहिलो अदालत बनेको छ । यो पहलले अदालतको दैनिक कामकाज र प्रक्रियाको दस्तावेजीकरण समावेश गर्नुपर्ने, हरेक वर्ष लेखापरीक्षण (अडिट) गर्नुपर्ने र प्रत्येक तीन वर्षमा पुनःप्रमाणित गर्नुपर्ने हुन्छ”, उनले भने । अध्यक्ष कुँवरले अदालतको अभिलेख प्रणालीलाई आधुनिकीकरणको मार्गमा अगाडि बढाएर कागजविहीन बनाउने, ‘डिजिटल रेकर्डिङ’ प्रणाली र भर्चुअल सुनुवाइमार्फत न्यायमा सहज पहुँचमा ध्यान दिइरहेको बताउए । उनका अनुसार आर्थिक वर्ष २०८१/८२ को असार २५ गतेसम्मको तथ्याङ्कका आधारमा अदालतले कूल २०६ मध्ये १२३ थान मुद्दा फछ्र्यौट गरेको छ भने ८३ बाँकी छन् । विशेष अदालतको विगत पाँच वर्षको मुद्दाको तथ्याङ्कलाई अध्ययन गर्दा सबैभन्दा बढी आव २०८०/८१ मा मुद्दा फछ्र्यौट भएको छ । उक्त आवमा ५७५ मध्ये ५०६ मुद्दा फछ्र्यौट भएको थियो । त्यसअघि, आव २०७७/७८ मा सबैभन्दा कम १५ दशमलव सात प्रतिशत, आव २०७८/७९ मा ४२ दशमलव ८० प्रतिशत, आव २०७९/८० मा ४५ दशमलव ७६ प्रतिशत मात्रै मुद्दा फछ्र्यौट भएको थियो । आव २०७६/७७ मा ७७ दशमलव शून्य पाँच प्रतिशत मुद्दा फछ्र्यौट भएको थियो । विसं २०८२ असार २२ गतेसम्म २०५ मध्ये १२३ मुद्दा फछ्र्यौट भएका छन् । विशेष अदालतले आव २०८०/८१ मा सबैभन्दा बढी मुद्दा फछ्र्यौट गरी न्याय सम्पादनलाई चुस्तदुरुस्त राख्न सफल भई आइएसओ प्रमाणपत्र प्राप्त गरेको अध्यक्ष कुँवरले बताए । जेनेभामा मुख्य कार्यालय रहेको यस सङ्गठनको प्रमाणपत्र प्रक्रिया पूरा गरी नेपाल नापतौल तथा गुणस्तर विभागमार्फत विशेष अदालताई प्रदान गरिएको हो । विशेष अदालतका अध्यक्ष कुँवरले अदालतको व्यवस्थापनलाई नमुना बनाउने, सेवाग्राहीमैत्री वातावरणको सिर्जना, मुद्दाको अङ्ग पु¥याइ छ महिनाभित्र फैसला गर्ने योजनासहित काम गरिरहेको बताउँदै फैसला कार्यान्वयनलाई तीव्रता दिने काममा लागिरहेको जानकारी दिए । उनका अनुसार अदालतले नेपालका साथै विश्वको जुनसुकै स्थानबाट पनि भर्चुअल सुनुवाइ गरिरहेको छ । "
"पोखरा विश्वविद्यालयको सिनेट : बजेट र नीति कार्यक्रम पारित","काठमाडौं, २५ वैशाख । पोखरा विश्वविद्यालयको २५ औँ साधारणसभाको बैठकले आगामी आर्थिक वर्षका लागि रु एक अर्ब ५४ करोडको बजेटसहित नीति तथा कार्यक्रम पारित गरेको छ । प्रधानमन्त्री एवं कुलपति केपी शर्मा ओलीको अध्यक्षतामा आज प्रधानमन्त्री निवास, बालुवाटारमा भएको बैठकले विश्वविद्यालयको शिक्षक कर्मचारीसम्बन्धी नियमावली, २०५५ र आर्थिक नियमावली, २०५५ सेवा आयोग र पुनरावेदन समितिसम्बन्धी नियमावली, २०५७सहित विभिन्न नियमावलीमा संशोधन प्रस्ताव पारित गरेको छ । बैठकमा कुलपति ओलीले विश्वविद्यालयलाई अनुसन्धानमूलक र प्रतिस्पर्धीरुपमा सञ्चालन गर्न आग्रह गर्दै स्वदेशमै उत्कृष्ट उच्चशिक्षा सम्भव छ भन्ने भावनालाई सार्थक तुल्याउनुपर्ने बताएका छन् । सिनेट बैठकमा सहकुलपति एवं शिक्षा, विज्ञान तथा प्रविधिमन्त्री रघुजी पन्तले २१ औँ शताब्दीका लागि आवश्यक पर्ने जनशक्ति उत्पादनमा लाग्न आग्रह गरे । उपकुलपति प्रा.डा. वेदराज केसीले नीति तथा कार्यक्रम प्रस्तुत गर्दै उपलब्ध स्रोत साधनको उपयोग गरी विश्व बजारको माग अनुसारको शिक्षा दिन विश्वविद्यालयले भरमग्दुुर प्रयास गर्ने बताए । विश्वविद्यालयमा चार सङ्कायअन्तर्गत चार आङ्गिक महाविद्यालय, तीन संयुक्त आङ्गिक महाविद्यालय र ५८ वटा सम्बन्धनप्राप्त महाविद्यालयमार्फत ६८ शैक्षिक कार्यक्रममा ३४,६७९ विद्यार्थीहरू अध्ययनरत छन् । "
"रसुवा बाढी : उद्धार गर्न गएका प्रहरी भिरबाट खसे","काठमाडौं, २५ असार । रसुवामा आएको बाढीमा फसेका नागरिकको उद्वार गर्न गएका प्रहरी भिरबाट खसेका छन् । गोसाईंकुण्ड गाउँपालिका वडा नम्बर ३ लिङलिङमा नागरिकको उद्धारको लागि गएका शसस्त्र प्रहरी २ नम्बर गुल्मका सहायक हवल्दार विशाल थापा भिरबाट खसेका हुन् । उनी घाइते अवस्थामा छन् । उनको अवस्था गम्भीर रहेकाले उपचारका लागि हेलिकप्टरबाट काठमाडौं ल्याउने तयारी भएको छ । "
"""पहिरोमा पुरिएर घाँस काटिरहेका बुबाको मृत्यु","एक जना बेपत्ता"",""म्याग्दी, २५ असार । म्याग्दीको मालिका गाउँपालिका–३ लुप्सीपारमा आज दिउँसो पहिरोमा पुरिएर एक जनाको मृत्यु भएको छ भने एक जना बेपत्ता भएका छन् । लुप्सीपारका ३५ वर्षीय जगेन्द्र विकको पहिरोमा पुरिएर मृत्यु भएको हो भने निजका छोरा अन्दाजी १३ वर्षका सरोज विक बेपत्ता रहेका जिल्ला प्रहरी कार्यालयका प्रहरी निरीक्षक सागर पौडेलले जानकारी दिए । उनका अनुसार घर नजिकैको बारीको पाखामा घाँस काट्ने क्रममा अचानक माथिबाट पहिरो खसेर दुवैलाई पुरेको हो । बेपत्ताको खोजीका लागि जनप्रतिनिधि, स्थानीयवासी र इलाका प्रहरी कार्यालय दरवाङका प्रहरी निरीक्षक सोमढास ढकालको नेतृत्वमा सुरक्षाकर्मीको टोली घटनास्थलमा खटिएको छ । """
"सोवितालाई गृहमन्त्रीले भने- को फर्किनुभएन भन्दिनुभयो भने सरकारलाई सजिलो हुन्थ्यो","काठमाडौं, २५ असार । गृहमन्त्री रमेश लेखकले प्रधानमन्त्रीको स्पेन भ्रमणमा गएर नफर्कनेको जानकारी दिन सांसद सोविता गौतमलाई आग्रह गरेका छन् । आजको प्रतिनिधिसभाको बैठकमा गृहमन्त्री लेखकले गौतमको आरोपको खण्डन गर्दै को-को स्पेन गएका थिए र को–को नफर्किएका हुन् जानकारी दिन भनेका हुन् । ‘प्रधानमन्त्री स्पेनको भ्रमणमा जानुभयो, उहाँसँग गएका मान्छे उतै गए भन्ने पनि कुरा उठेको छ,’ लेखकले भने, ‘हामीले कुनै पनि कुराको न्यूनतम जानकारी राख्नुपर्छ र सम्मानित सदनमा अत्यन्त जिम्मेवार भएर विषयवस्तुलाई मर्यादित भएर राख्दा राम्रो हुन्छ।’ उनले थपे, ‘प्रधानमन्त्रीको औपचारिकरुपले विदेश भ्रमण हुँदा उहाँको प्रतिनिधिमण्डलामा जाने सदस्यको मन्त्रिपरिषद्ले निर्णय गरेर मात्रै जाने हुन्छ। म माननीयलाई आग्रह गर्न चाहान्छु, को-को जानु भएको थियो, को फर्किनुभएन भन्दिनुभयो भने सरकारलाई सजिलो हुन्थ्यो।’। "
"कांग्रेस लुम्बिनीका महामन्त्री खनाल पार्टीबाट निष्काशित","काठमाडौं, २५ असार । नेपाली काँग्रेसले लुम्बिनीका महामन्त्री विक्रम खनाललाई पार्टीबाट निष्काशन गरेको छ । असार १७ गते बसेको कांग्रेस केन्द्रीय अनुशासन समितिको बैठकले नवलपरासीका खनाललाई प्रदेशसभा र प्रतिनिधिसभामा पार्टीको आधिकारिक उम्मेदवारलाई असहयोग गरेको भन्दै कारबाही गरेको हो । यसअघि खनाललाई स्पष्टीकरण सोधिएकोमा जवाफ चित्तबुझ्दो नभएको भन्दै कांग्रेसको विधान २०२७ (संशोधनसहित) धारा ३४ को उपधारा १ क ख र घ तथा उपधारा ङ बमोजिम १ वर्षका लागि पार्टी सदस्यबाटै निष्काशन गर्ने निर्णय गरिएको ढुंगानाले जानकारी दिए । "
"""म्याग्दी नदी थुनियो","तटीय क्षेत्रका बस्तीहरुमा सतर्कता अपनाउन आग्रह"",""म्याग्दी, २५ असार । म्याग्दीको धौलागिरि गाउँपालिका–४ बाँसबोटको भिरबाट खसेको पहिरोले आज दिउँसो म्याग्दी नदी थुनिएको छ । पहिरो नदीमा थुप्रिएर तलाउ बनेको धौलागिरि गाउँपालिकाका उपाध्यक्ष रेशम पुनमगरले जानकारी दिनुभयो । त्यहाँ निरन्तर पहिरो खसिरहेको जनाइएको छ । धौलागिरि गाउँपालिका ४ र ७ को सिमाना काउसीबोटको भिरमुनि म्याग्दी नदीमा पहिरो थुप्रिएर थुनिएको हो । बिहान भारी वर्षापछि बढेको म्याग्दी नदीको सतह पहिरोपछि घटेको बासबोटको छिमेकी गाउँ छहरीका बासिन्दा तम पुनले बताए । नदी थुनिएपछि तटीय क्षेत्रका बस्तीहरुमा सतर्कता अपनाइएको छ । छहरी, कल्लेनी, भारवाङ, साँवता, थापाचौर, दरवाङ, छिसवाङ, खोप्टी, पिपलबोट, बाबियाचौर, तोराखेत, सिमलचौर, तातोपानी, सिंगा र बेनी बजार म्याग्दी नदीको तटीय क्षेत्रका बस्तीहरु हुन् । धौलागिरि गाउँपालिकाका अध्यक्ष प्रेमप्रसाद पुन, उपाध्यक्ष रेशम पुनमगरसहित जनप्रतिनिधि र ताकम प्रहरीचौकीबाट सुरक्षाकर्मीको टोली घटनास्थलतर्फ गएको छ । घटनास्थल पुगेपछि तलाउ कत्रो बनेको छ भन्न सकिने अध्यक्ष पुनले जानकारी दिए । उनले नदी थुनिएर बनेको तलाउ एकै पटक बग्दा तटीय क्षेत्रमा कटान र बाढी आउने सक्ने भएकाले प्रशासन कार्यालयमार्फत सतर्कता अपनाउन अनुरोध गरिएको बताएका छन् । धौलागिरि हिमालमा मुहान भएको म्याग्दी नदी बेनी बजारमा आएर कालीगण्डकीमा मिसिन्छ । """
"प्रतिनिधिसभाको कार्यसूचीबाट हटाइयो भूमि विधेयक","काठमाडौं, २५ असार । प्रतिनिधिसभा बैठकको आजको कार्यसूचीबाट भूमि विधेयक हटाइएको छ । आज पारित गर्ने भनिए पनि सांसदहरूको विरोधपछि कार्यसूचीबाट हटाइएको हो । सत्ता साझेदार दल नेपाली कांग्रेसका महामन्त्री विश्वप्रकाश शर्माले विधेयकमाथि छलफल नपुगेको भन्दै कार्यसूचीबाट हटाउन माग गरेका थिए । अन्य पार्टीका सांसदहरूले पनि विरोध गरेपछि कार्यसूचीबाटै हटाइएको हो । "
