शीर्षक,विवरण
राष्ट्रिय खेलकुद सञ्चालन निर्देशिका स्वीकृत नहुँदा दसौं राष्ट्रिय खेलकुद अनिश्चित,"सुर्खेत आगामी चैत २३ देखि ३० गतेसम्म आयोजना हुने दसौं राष्ट्रिय खेलकुद प्रतियोगिताका लागि कर्णालीमा प्रदेश रंगशालासहित आवश्यक संरचनाहरू तयारी अवस्थामा छन् । प्रतियोगिताका लागि संघीय सरकारले ६० करोड रुपैयाँ विनियोजन गरेको छ । तर राष्ट्रिय खेलकुद प्रतियोगिता सञ्चालन निर्देशिका र खर्च मापदण्ड स्वीकृत नहुँदा आवश्यक तयारीका सबै काम अलपत्र परेका छन् ।
निर्देशिका र खर्च मापदण्डको अभाजमा प्रतियोगिताको निर्धारित मिति नजिकिइसक्दा पनि खेल सामग्री, पोसाक, टेन्ट, उपकरणलगायत सामग्री खरिद गर्नका लागि टेन्डर हुन सकेको छैन । कतिसम्म भने संघीय सरकारले राष्ट्रिय खेलकुदका लागि सचिवालय पनि स्थापना गरेको छ । तर निर्देशिका नहुँदा सचिवालय पनि कामविहीन बनेको छ ।कर्णाली प्रदेश खेलकुद विकास परिषद्का निवर्तमान सदस्यसचिव विश्वामित्र सञ्ज्यालले प्रतियोगिताका लागि छुट्याइएको ६० करोड रकमसमेत नटुक्रिएको बताए । न बजेट खर्चका लागि उपसमितिहरू बनेका छन् न एकमुष्ट बजेट विभिन्न शीर्षकमा विभाजन भएको छ, उनले भने, गत वर्ष साउनमै बजेट युवा तथा खेलकुद मन्त्रालयमा जानुपर्ने हो, अहिलेसम्म पनि अर्थ मन्त्रालयमै छ ।कर्णाली प्रदेश खेलकुद विकास परिषद्का अनुसार झण्डै ९९ प्रतिशत काम सकिएको प्रदेश रंगशालामा अब रंगरोगन र सरसफाइका काम मात्र बाँकी छन् । दसौं राष्ट्रिय खेलकुद प्रतियोगिताको मुख्य स्थल रहेको रंगशालामा १० हजार दर्शक अट्नेछन् भने फिफा मापदण्ड अनुसार निर्माण गरिएको फुटबलसहित १६ वटा खेल खेलाउन सकिनेछ ।भीभीआईपी र भीआईपी प्यारापिटमा ४ हजार दर्शक बसेर हेर्न मिल्ने गरी रंगशाला बनाइएको छ । त्यस्तै सुर्खेतमा चिसापानी फुटबल मैदान, कालुंगचोक रग्बी मैदान र प्रदेश रंगशाखा परिसरको क्रिकेट मैदानको निर्माण पनि सकिएको परिषद्ले जनाएको छ । परिषद्का अनुसार हुम्ला हक्की मैदान तथा दैलेख, कालीकोट, जुम्ला, रुकुम पश्चिम र सल्यानमा रहेका कवर्डहलमा पनि केही खेल खेलाउनेगरी तयारी गरिएको छ ।आयोजक प्रदेशले गर्नुपर्ने बसोबास, स्वास्थ्य, सुरक्षा र स्थानीय यातायातको व्यवस्थापनका लागि आफुहरु तयारी अवस्थामा रहेको सामाजिक विकासमन्त्री घनश्याम भण्डारीले बताए । उनका अनुसार अहिलेसम्म सञ्चालन निर्देशिका स्वीकृत नहुँदा संघीय सरकार र आयोजक प्रदेशले केके काम गर्नुपर्ने हो भन्नेबारे पनि स्पष्ट भएको छैन । उनले राष्ट्रिय खेलकुदमा आयोजना हुने ३५ खेलमध्ये २४ खेल कर्णालीमा खेलाउन आवश्यक पूर्वाधार तयार भइसकेको बताए । उनका अनुसार दैनिक करिब ३५ सय जनालाई बसोबासको प्रवन्ध मिलाउने सुविधा प्रदेश राजधानी वीरेन्द्रनगरमा छ भने झण्डै ३ हजार खेलाडी अन्य जिल्लामा बस्न सक्छन् । राष्ट्रिय खेलकुद परिषद्का प्रशासन विभाग प्रमुख भोजानन्द राईले राष्ट्रिय खेलकुद प्रतियोगिता सञ्चालन निर्देशिका बनाएर खेलकुद मन्त्रालयमा पठाए पनि त्यहाँबाट अर्थ मन्त्रालयमा जान नसकेको बताए । अहिलेसम्म खर्च नम्स पनि अझै स्वीकृत भएको छैन, त्यो स्वीकृत भएपछि मात्र राष्ट्रिय प्रतियोगिताका लागि खेल सामग्री, पोसाक, टेन्ट, उपकरणलगायत सामग्री खरिद गर्नका लागि टेन्डर गर्ने बाटो खुल्छ, उनले भने, खरिद प्रक्रियाका लागि कम्तीमा ३० दिनको सूचना निस्कनुपर्छ, त्यसपछि झण्डै एकएक साताको समय प्राविधिक मूल्यांकन र आर्थिक मूल्यांकनको काममा लाग्छ, त्यसपछि सम्झौता भएर मात्र सामान र उपकरण खरिदको काम हुने हो ।"
नेपाल राष्ट्रिय व्यवसायी महासंघको तेस्रो राष्ट्रिय अधिवेशन पुस २० मा,"काठमाडौँ नेपाल राष्ट्रिय व्यवसायी महासंघको ७ औँ साधारणसभा तथा तेस्रो राष्ट्रिय अधिवेशन यही पुस २० गते आयोजना हुने भएको छ । अधिवेशनको पूर्वसन्ध्यामा काठमाडौंमा आयोजित पत्रकार सम्मेलनमा महासंघका अध्यक्ष कुमार कार्कीले अधिवेशन तथा साधारणसभाबारे जानकारी दिए ।
महासंघकाअनुसार अधिवक्ता अर्जुन अर्यालको संयोजकत्वमा पाँच सदस्यीय निर्वाचन समिति गठन गरिएको छ । निर्वाचन समितिले अन्तिम मतदाता नामावली प्रकाशन गरिसकेको छ ।
अध्यक्ष कार्कीले साना तथा मझौला उद्योगी व्यवसायीहरुलाई स्थानीय सरकारको सिफारिस बिना धितो सहुलियत ब्याजदरमा २५ लाख रूपैयाँसम्मको ऋण उपलब्ध गराउनुपर्ने धारणा राखे । 'व्यवसायीले अनुदानमा नभइ सहुलियत दरमा ऋणमा पाउनुपर्छ,' उनले भने । उनले व्यवसाय दर्ता प्रणाली एकद्वार प्रणालीबाट हुनु पर्ने, भन्सारदर समयसापेक्ष पनि परिमार्जन गरिनुपर्नेमा जोड दिए ।
सहरी क्षेत्रमा उद्योग व्यापार व्यवसाय गर्नेका लागि राज्यले वैज्ञानिक घरभाडा कर लागू गर्नुपर्ने, खाता विवरणहरुको आधारमा कर कार्यालयबाट कर चुक्ता प्रमाण पत्र प्रदान गरे पश्चात पुनरावलोकन हुनु नहुने, स्थायी लेखा नम्बरमार्फत गरिने कारोबारको सिमा रु ५० लाखबाट वढाएर रु दुई करोड बनाउनु पर्ने भनाइ राखे ।"
नेसनल लाइफ इन्स्योरेन्सको नेसनल अवार्ड,"काठमाडौँ नेसनल लाइफ इन्स्योरेन्स कम्पनीले नेसनल अवार्ड अन्तर्गत नेसनल रत्न कार्यक्रम गरेको छ । एक समारोहबीच नेपालगन्ज र महेन्द्रनगरमा दुई छुट्टाछुट्टै कार्यक्रम आयोजना गरिएको थियो ।
सम्मान कार्यक्रममा कम्पनीका प्रमुख कार्यकारी अधिकृत सुरेशप्रसाद खत्रीले अवार्ड विजेतालाई चाँदीको मेडल र प्रमाणपत्र प्रदान गरे ।"
नेसनल लाइफको अभिकर्तालाई नेसनल अवार्ड,"काठमाडौँ नेसनल लाइफ इन्स्योरेन्सले नेसनल अवार्डअन्तर्गत नेसनल रत्न छनोट भएका कोशी र मधेशका ८० जना अभिकर्तालाई सम्मान गरेको छ । व्यावसायिक अभिकर्ता उत्पादन गर्न कम्पनीले ल्याउने यस प्रकारको योजना प्रभावकारी हुने इन्स्योरेन्सका बजार विभाग प्रमुख विवेक शर्माले बताए ।
समारोहमा नेसनल अवार्ड विजेता अभिकर्तालाई नेसनल लाइफ लोगो अंकित चाँदीको मेडल, सर्टिफिकेट र खादाबाट सम्मान गरे । कम्पनीका प्रमुख कार्यकारी अधिकृत सुरेशप्रसाद खत्रीले अभिकर्ता सञ्जाललाई प्रविधिमैत्री र व्यवसायिक बनाउन थप लगानी गरिएको र कम्पनीको व्यवसाय वृद्धिमा महत्त्वपूर्ण भुमिका खेल्ने बताए ।"
राष्ट्रिय सभा अध्यक्षको निर्वाचनमा राष्ट्रिय जनमोर्चाले मतदान नगर्ने,"काठमाडौँ राष्ट्रिय जनमोर्चाले राष्ट्रिय सभा अध्यक्ष पदको निर्वाचनको मतदानमा भाग नलिने भएको छ । राष्ट्रिय सभाको मंगलबारको बैठकमा सो पार्टीका सांसद तुलप्रसाद विश्वकर्माले आफ्नो पार्टीले कुनै पनि दलको अध्यक्ष पदका उम्मेदवारलाई मतदान नगर्ने निर्णय गरेको जानकारी दिएका हुन् ।
बैठकका अध्यक्ष पदका लागि सत्तारुढ गठबन्धनका तर्फबाट माओवादी केन्द्रका सांसद नारायणप्रसाद दाहाल र नेपाली काागेसका तर्फबाट युवराज शर्मालाई अध्यक्ष पदमा निर्वाचित गरियोस् भन्ने प्रस्ताव प्रस्तुत भएका छन् ।"
कैलाश मानसरोवर गएका विदेशी नागरिकको मृत्यु,"रसुवा कैलाश मानसरोवरको यात्राका क्रममा एक विदेशी नागरिकको मृत्यु भएको छ ।
मृत्यु हुनेमा फिजीका ५५ वर्षीय दलिप सिंह रहेको प्रहरी नायब उपरीक्षक हेमबहादुर शाहीले जानकारी दिए ।
यही असार ७ गते चीनको भूभागमा उनको मृत्यु भएको थियो । मृतक सिंहको शव केरूङदेखि स्याफ्रुबेँसी हुँदै हेलिकोप्टरमार्फत काठमाडौँ पठाइएको प्रहरीले जनाएको छ । उनको मृत्युको कारण भने खुल्न सकेको छैन ।"
नेकोस कप राष्ट्रिय स्केटिङ,"हेटौंडा हेटौंडा स्केट पार्कमा भएको नेकोस कप राष्ट्रिय रोलर स्केटिङ प्रतियोगिता सकिएको छ ।
चार विधाअन्तर्गत १२ वर्षमुनि र १२ वर्षमाथि गर्ल्स र ब्वाइज खेलाडी सहभागी थिए । ब्वाइजतर्फ १२ वर्षमुनि डिकन महतारा प्रथम र आयुश स्याङ्तान द्वितीय र १२ वर्षमाथि बज्र दोङ प्रथम, सुनिल लामा द्वितीय र आयुश रुम्बा तृतीय भए ।
गर्ल्सतर्फ १२ वर्षमुनि सुरक्षा प्रधान प्रथम, कल्पना राई द्वितीय, समिस्ता प्रधान तृतीय भएका छन् । १२ वर्षमाथि काठमाडौंकी मुस्कान मगर प्रथम, नायना शाक्य द्वितीय, आयुश्मा शाही ठकुरी तृतीय भए ।
गर्ल्सतर्फ १२ वर्षमुनि रश्मी सूचीकार, १२ वर्षमाथि निशिका लामा र ब्वाइज १२ वर्षमाथि सुशील श्रेष्ठ उत्कृष्ट स्केटर भएका छन् ।
करिब एक सय जनाको सहभागिता रहेको प्रतियोगितालाई मकवानपुरको बागमती गाउापालिका अध्यक्ष सर्केस घलानले उद्घाटन गरेका थिए । शीर्ष तीन स्थानका खेलाडीले क्रमशः १० हजार, ५ हजार र ३ हजार पुरस्कार पाए । प्रतियोगिता नेपाल स्केटिङ तथा स्केटबोर्डिङ संघके आयोजना भएको हो ।"
राष्ट्रिय कविता महोत्सव २०८२ : १० सर्वोत्कृष्ट कवि र कविता छनोट,"काठमाडौँ नेपाल प्रज्ञाप्रतिष्ठानले ६८ औं वार्षिकोत्सवका अवसरमा सोमबार राष्ट्रिय कविता महोत्सव २०८२ आयोजना गरेको छ ।
सहभागी कविमध्ये मूल्यांकन समितिले १० जना सर्वोत्कृष्ट कवि र कविता पुरस्कारका लागि छनोट गरेको प्रतिष्ठानका सदस्य सचिव डा धनप्रसाद सुवेदीले जानकारी दिएका छन् ।
को को परे त छनोटमा हेर्नुहोस् :"
महिला राष्ट्रिय भलिबलको सेमिफाइनल समिकरण पूरा,"मकवानपुर हेटौंडामा जारी नेकोस राष्ट्रिय महिला भलिबल प्रतियोगिताको सेमिफाइनल समिकरण पूरा भएको छ ।
हेटौंडा४ स्थित हुप्रचौरमा जारी प्रतियोगिताको अन्तिम चारमा विभागीय टोली सशस्त्र प्रहरी र नेपाल पुलिस क्लब भिड्ने भएका छन् । दोस्रो सेमिफाइनलमा गण्डकी प्रदेश र न्यू डाइमण्ड क्लबबीच प्रतिस्पर्धा हुने भएको हो । समूह क बाट विजेताको रुपमा पुलिस र उपविजेताको रुपमा गण्डकीले नकाउट चरणमा प्रवेश गरेका थिए । समूह खबाट डाइमण्ड विजेता बन्दा एपीएफले उपविजेताको रुपमा अगाडि बढ्न बाध्य भयो ।
प्रतियोगिताअन्तर्गत सोमबार भएको खेलमा डायमण्डले मधेश प्रदेशलाई सोझो सेटमा पराजित गरेको हो । डाइमण्डले मधेशलाई २५६, २५१८ र २५८ को अंकमा पराजित गरेको थियो । मधेशले प्रतियोगितामा कुनै पनि खेल जित्न सकेन। डाइमण्डलाई उपाधिको दाबेदारको रुपमा हेरिएको छ । प्रतियोगितामा उसको फर्म असाध्यै बलियो देखिएको छ । उद्घाटन खेलमा बलियो टोली एपीएफलाई पराजित गरेसँगै डाइमण्डलाई उपाधिको दाबेदारको रुपमा हेरिएको हो ।
लिग चरणको अन्तिम खेलमा पुलिसले गण्डकीलाई २५१३, २५११ र २५१९ को स्कोरमा पराजित गरेको छ । अनुभवी खेलाडीले भरिएको पुलिसको अगाडि गण्डकीको प्रदर्शन कमजोर देखिएको थियो । आफ्नो पुरानो सानलाई फर्काउने गरी गण्डकीले टोली निर्माण गरिरहेको कारण केही कमजोर देखिएको खेलाडीहरुले बताएका छन् । गण्डकीले लिग चरणमा एक मात्र जित हात पार्यो ।
प्रतियोगिताका दुवै सेमिफाइनल खेल मंगलबार हुनेछन् । ६ टोलीको सहभागी प्रतियोगिताका विजेताले ५ लाख, उपविजेताले ३ लाख, तेस्रोले १ लाख र चौथो हुने टिमले ५१ हजार रुपैयाँसहित ट्रफी जित्नेछन् ।"
नेसनल गार्ड परिचालन गर्न राष्ट्रपति ट्रम्पलाई खुल्यो बाटो,"काठमाडौँ राष्ट्रपति डोनाल्ड ट्रम्पले लस एन्जलसमा नेसनल गार्ड परिचालन गरेपछि त्यसका विरुद्ध परेको रिट अदालतले खारेज गरेको छ । अदालतले नेसनल गार्ड परिचालन र नियन्त्रणको अधिकार राष्ट्रपतिमा निहित रहने बताएको छ । क्यालिफोर्नियाका गभर्नर गेभिन न्युसमले भने नेसनल गार्ड परिचालन गर्ने राष्ट्रपतिको कदम अनुचित रहेको बताउँदै आएका थिए ।
अमेरिकी प्रशासनले ल्याएको आप्रवासन नीतिविरुद्ध लस एन्जलसमा प्रदर्शन चर्केपछि ट्रम्पले दुई हजार नेसनल गार्ड सैनिकलाई परिचालन गरेका थिए । क्यालिफोर्नियाका गभर्नर गेभिन न्युसमले नेसनल गार्ड सैनिकलाई परिचालन गर्नुगैरकानुनी र अनैतिक भन्दै चर्को विरोध गरेका थिए । न्युसमले नेसनल गार्ड सैनिकलाई परिचालनलाई लापरबाही र आफ्ना सैनिकहरूप्रतिको अपमान भएको टिप्पणी गर्दै भनेका थिए, यो तानाशाही राष्ट्रपतिको विकृत कल्पना पूरा गर्न आफ्ना देशवासी विरुद्धको सैनिक तैनाथी हो, यो सार्वजनिक सुरक्षाका लागि हुँदै होइन।
अदालतले संघीय कर्मचारी र सम्पत्तिको रक्षा गर्ने अधिकार राष्ट्रपतिमा रहेको बताउँदै नेसनल गार्ड बोलाउनको कानुनी अधिकारमा कुनै अवरोध नरहेको उल्लेख छ । फैसलापछि राष्ट्रपति ट्रम्पले सामाजिक सञ्जालमा राज्य वा स्थानीय प्रहरीले कुनै कारणवश काम गर्न नसकेमामा आफूहरूले त्यो सुरक्षा दिने बताउँदै यो विषय गेभिन (गभर्नर गेभिन न्युसम)को विषय मात्रै नभएर पूरै अमेरिका, यहाँका राज्य र जनताको भएको लेखेका छन् । उनले अदालती निर्णयलाई बधाई दिँदै लेखेका छन्, 'आजको रात अमेरिका तपाईंहरुमाथि गर्व गर्छ ।'
३८ पृष्ठ लामो फैसलामामा न्यायाधीशहरुले राष्ट्रपति ट्रम्प न्यायिक समीक्षा भन्दा बाहिर हुन नसक्ने पनि उल्लेख गरेका छन् । गभर्नर न्युसमले भने सामाजिक सञ्जाल एक्समा ट्रम्प राजा नभएको र उनी कानुनभन्दा माथि नभएको टिप्पणी गरेका छन् ।
ट्रम्प प्रशासनले आप्रवासन नीति कार्यान्वयनको चरणमा इमिग्रेसन एन्ड कस्टम इन्फोर्समेन्ट (आइस)ले लस एन्जलसमा बसोबास गरिरहेका कागजातविहीन आप्रवासीलाई बासस्थानमै गएर छापा मार्न थालेपछि विशेषगरी दक्षिण अमेरिकी मुलुकका आप्रवासीहरूले आन्दोलनको सुरुवात गरेका थिए ।"
