"शीर्षक","विवरण"
"दसौं राष्ट्रिय खेलकुद प्रतियोगिता खेलकुद मन्त्रालयकै कारण स्थगित : मुख्यमन्त्री कँडेल","""सुर्खेत कर्णाली प्रदेशका मुख्यमन्त्री यामलाल कँडेलले प्रदेश सकारको नभई संघीय सरकारकै कारण दसौं राष्ट्रिय खेलकुद प्रतियोगिता स्थगित भएको बताएका छन् । खेलकुद क्षेत्रसँग सम्बन्धित संघ र प्रशिक्षकहरुसँग शुक्रबार भएको भेटघाटमा मुख्यमन्त्री कँडेलले प्रतियोगिता स्थगित हुनुमा प्रदेश सरकारको कुनै संलग्नता नरहेको समेत स्पष्ट पारे ।"
"पछिल्लो समय प्रतियोगिताका लागि सुर्खेतमा सचिवालय स्थापना भए पनि देखिने गरी काम नभएको मुख्यमन्त्री कँडेलले असन्तुष्टि जनाँउदै आएका थिए । खेलकुद प्रतियोगिता कर्णाली हुने भए पनि त्यसको मुख्य आयोजक संघीय सरकार भएकोले पूर्वाधारमा प्रदेशलाई सहयोगका लागि गरिएको आग्रहको समेत सुनुवाइ नभएको मुख्यमन्त्री कँडेलले गुनासो गरे । उनले भने","विगतमा अन्यन्त्र आयोजना गरिएका राष्ट्रिय खेलकुद प्रतियोगिताको लागि पूर्वाधारमा लागि करोडौं खर्च गर्ने संघीय सरकारले कर्णाली प्रदेशमा निर्माण हुने पूर्वाधारमा पनि लगानी गर्नुपर्थ्यो, तर पूर्वाधारमा कुनै पनि लगानी भएन । मुख्यमन्त्री कँडेलले प्रदेश दसौं राष्ट्रिय खेलकुद प्रतियोगिता आयोजना गर्न प्रदेश सरकारबाट कुनै कमी हुन नदिने पनि जानकारी दिए ।"
"अर्को प्रसंगमा मुख्यमन्त्री कँडेलले प्रदेश रंगशालाको काम सकेर हस्तान्तरण भएको दिन भुक्तानीका लागि कुनै समस्या नहुने बताए । 'काम सम्पन्न भएर हस्तान्तरण भयो भने बाँकी रकम दिन प्रदेश सरकार तयार छ","हामीलाई कुनै समस्या छैन,' उनले भने । रिक्त रहेको प्रदेश खेलकुद विकास समिति र जिल्ला खेलकुद विकास समितिमा नियुक्तिबारे छलफल गरेर चाँडै टुंगोमा पुग्ने पनि उनले बताए ।"
"खेलकुद संघहरूको विकासले मात्र समग्र खेल क्षेत्रको प्रवर्द्धन गर्न सकिन्छ : मन्त्री चौधरी","""काठमाडौँ युवा तथा खेलकुदमन्त्री तेजुलाल चौधरीले खेलकुद क्षेत्रको विकासका लागि खेलसँग आबद्ध सबै संघहरूले थप प्रभावकारी काम गर्नुपर्ने बताएका छन् ।"
"उनले आफू मन्त्री बनेको करिब डेढ महिनामा भएको र खेलकुद ऐन","नियमावलीलगायतका अध्ययन गरिरहेको तथा यसमै टेकेर नेपाली खेलकुदको विकासमा आफूले भूमिका निर्वाह गर्ने प्रतिबद्धता व्यक्त गरे ।"
"एनओसीका अध्यक्ष जीवनराम श्रेष्ठले मन्त्री चौधरीलाई सम्मानपत्र प्रदान गरे । उनले मन्त्री चौधरीको कार्यकाल सफलताको शुभकामना व्यक्त गर्दै नेपाली खेलकुदको विकासका लागि खेलकुद मन्त्रालय","राष्ट्रिय खेलकुद परिषद् र नेपाल ओलम्पिक कमिटीबीच समन्वय हुनु आवश्यक रहेको विचार व्यक्त गरे ।"
"कोशी खेलकुद बोर्डले माग्यो खेल विधाको विवरण","""ताप्लेजुङ कोशी प्रदेश खेलकुद विकास बोर्डले कर्णालीमा प्रस्ताव गरिएको दसौं राष्ट्रिय खेलकुद प्रतियोगितामा सहभागिता जनाउने जिल्लालाई खेल विधाको विवरण माग गरेको छ ।"
"राष्ट्रिय खेलकुद प्रतियोगितामा ३६ खेलको सूची रहेको छ । तीमध्ये कुन जिल्लाले कुन विधामा सहभागिता जनाउन सक्छन् भनेर जान्नका लागि पत्राचार गरिएको हो । ३६ विधामा एथलेटिक्स","ब्याडमिन्टन, टेनिस, बक्सिङ, जिम्नास्टिक, सफ्ट टेनिस, स्वास रहेका छन् । यस्तै उसु, आर्चरी, फेन्सिङ, फुल कन्ट्याक्ट कराते, जुडो, शारीरिक सुगठन, बुद्धिचाल, पौडी, टेवल टेनिस, भारोत्तोलन, सुटिङ, गल्फ, साइक्लिङ, ट्रायथोलन, प्याराग्लाइडिङ, कुस्ती, तेक्वान्दो, कराते र आईटीएफ तेक्वान्दो रहेका छन् ।"
"महिला र पुरुष दुवै विधाका लागि क्रिकेट","फुटवल, भलिवल, ह्याण्डवल, बास्केटवल, सेपाकताक्रो, हक्की, रग्वी, कबड्डी र खो खो खेल पनि रहेका छन् ।"""
"खेल क्षेत्रमा राजनीतिकरण बन्द गरौँ : खेलकुदमन्त्री श्रेष्ठ","""कास्की युवा तथा खेलकुदमन्त्री विराजभक्त श्रेष्ठले खेल क्षेत्रमा राजनीतिकरण बन्द हुनुपर्ने बताएका छन् । सहकार्यबाट खेलकुद विकास सम्भव रहेकाले सबैसँग सहकार्य गरेर अघि बढ्ने उनले स्पष्ट पारे ।"
"'खेल क्षेत्रमा राजनीति बन्द गरौँ । खेलकुद संरचना बनाउने","खेलाडीको भविष्य उज्ज्वल बनाउने राजनीति मात्र गरौँ,' उनले भने । खेलकुदमन्त्री श्रेष्ठले पोखरा रंगशालाभित्रका खेल पूर्वाधारको अवलोकनपछि आफू उत्साहितसँगै पूर्वाधार संरक्षणलाई लिएर भने चिन्तित बनेको बताए ।"
"राज्य र जनताको करबाट निर्मित संरचना अधिकतम टिकाउनुपर्ने चुनौती रहेको उल्लेख गरे । उनले भने","'सरकारबाहेक पनि कतिपय संरचना खेलाडी, प्रशिक्षक र खेलाडीका परिवारबाट समेत बनेका रहेछन् । खेल पूर्वाधार संरक्षण भएन भने छिट्टै बिग्रन्छ । राम्रा संरचना संरक्षण नुहुन चिन्ताको विषय रहेको छ ।'"
"मन्त्रालयले आगामी वर्ष खेल पूर्वाधार संरक्षणका लागि बजेट विनियोजन गर्ने तयारी गरेको जानकारी दिए । खेलकुदमा लगाएनी गर्नका लागि पछिल्लो समय नीजि क्षेत्र उत्साहित रहेकाले सार्वजनिक तथा निजी क्षेत्रको सहकार्यबाट खेलकुद विकास गरिने उनले बताए । खेलकुदमन्त्री श्रेष्ठले पोखरा रंगशालाभित्र रहेका अन्तर्राष्ट्रिय फुटबल स्टेडियम","क्रिकेट मैदान, टेनिस कोर्ट, भलिबल कोर्ट, स्क्वास लगायतका खेलका पूर्वाधारको अवलोकन गरेका थिए ।"
"खेलकुदमन्त्री श्रेष्ठलाई राष्ट्रिय खेलकुद परिषद्का सदस्य राजेश गुरुङ","कास्की जिल्ला खेलकुद विकास समितिका अध्यक्ष तोरणबहादुर बानियाँ, प्रादेशिक क्रिकेट संघका अध्यक्ष सञ्जयकान्त सिग्देल लगायतले खेल पूर्वाधार र खेलकुद क्षेत्रका समस्याका बारेमा जानकारी गराएका थिए ।"""
"खेलको उपलब्धिका आधारमा लगानी गर्छौं : खेलकुदमन्त्री श्रेष्ठ","""काठमाडौँ नवनियुक्त युवा तथा खेलकुदमन्त्री विराजभक्त श्रेष्ठले सम्भावनाका आधारमा खेल संघहरूलाई प्राथमिकतामा राखेर लगानी गर्नुपर्ने अवस्थामा राज्य रहेको बताएका छन् ।"
"राष्ट्रिय खेलकुद परिषद् (राखेप) ले नवनियुक्त मन्त्री श्रेष्ठको सम्मानमा बिहीबार आयोजना गरेको स्वागत र बधाई कार्यक्रममा उनले उक्त कुरा बताएका हुन् । राखेपका अध्यक्षसमेत रहेका मन्त्री श्रेष्ठले खेलको इतिहास","सफलता र उपलब्धिका आधारमा मात्र त्यस खेलप्रति लगानी गरिने प्रस्ट पारे ।"
"तेस्रो एनबीएएन स्पोर्ट्स मिट सुरु","""काठमाडौँ मर्चेन्ट बैंकर्सको छाता संगठन नेपाल मर्चेन्ट बैंकर्स संघको आयोजनामा शुक्रबारदेखि तेस्रो एमबीएएन स्पोर्ट्स मिट सुरु भएको छ ।"
"हाडीगाउँस्थित धन्यन्तरी स्पोर्ट्स सेन्टरमा फुटसल","ब्याडमिन्टन र टेबलटेनिस प्रतियोगिता सुरु भएको हो ।"
"ब्याडमिन्टन पुरुष डबल्समा सीआईटीका पुरुषोत्तम र अनिल","महिला डबल्समा प्रभु क्यापिटलका सिर्जना र पूजाको जोडी विजयी भए ।"
"काठमाडौं जिल्लाव्यापी खेलकुद : आलिया र प्रास्ना फाइनलमा","""काठमाडौँ आयोजक काठमाडौं महानगरपालिका वडा २६ का सुरज श्रेष्ठ र गोंगबुका सुशील तामाङ बिहीबार काठमाडौं जिल्लाव्यापी बृहत् खेलकुदअन्तर्गत तेक्वान्दोको पुरुष २८ केजीमुनि फाइनलमा पुगेका छन् ।"
"पुरुष ३५ केजीमुनि स्वयम्भूका प्रज्ज्वल पौडेल र तार्केश्वरका आयु रे तथा ३८ केजीमुनि तार्केश्वरका उत्सव लोहनी र वडा ११ का तपेन्द्र विष्ट फाइनल पुग्न सफल भए । महिला २४ केजीमुनि आयोजककी आलिया खातुन र काठमाडौं महानगरकी प्रास्ना जोशी","२७ केजीमुनि वडा १७ की लिसा तामाङ र लैनचौरकी आकांक्षा पाण्डे, ३१ केजीमुनि गोंगबुकी कृतिका देउला र आयोजककी रितिका शाही तथा ३३ केजीमुनि वडा १६ की समिक्षा तामाङ र वडा ११ की रनिशा गौतम फाइनलमा पुगेका छन् ।"
