शीर्षक,विवरण
व्यापार युद्धले विश्व बजारमा हलचल : उदारीकरण र खुला बजारको भविष्य के होला ?,"यो समग्र परिस्थितिको विश्लेषण गर्दै विज्ञहरूले भनेका छन्, अमेरिकी राष्ट्रपति डोनाल्ड ट्रम्पले सुरु गरेको व्यापार युद्धले आर्थिक उदारवाद र खुला बजारका मूल सिद्धान्तलाई चुनौती दिएको छ । यो आर्थिक राष्ट्रवाद हो जसले संरक्षणवादको बाटो लिएको छ । ट्रम्प प्रशासनले व्यापार र आपूर्ति शृंखलामा सरकारी हस्तक्षेप बढाएर पारम्परिक र प्रतिस्पर्धात्मक खुला बजार अर्थतन्त्रको ढाँचालाई भत्काएको छ ।"
अब कर्मचारीमा बढीमा दुई पटक मात्रै आरक्षणको प्रस्ताव,"सरुवालाई अनुमानयोग्य बनाउनका लागि चक्रीय प्रणालीमा लैजाने प्रस्ताव ल्याउन उपसमितिले संघीय मामिला मन्त्रालयलाई निर्देशन दिएको छ । कार्यसम्पादन मूल्यांकनको व्यवस्था कस्तो राख्ने भन्ने प्रस्ताव ल्याउन पनि सरकारलाई उपसमितिले भनेको छ । यसअघि सरुवा र कार्यसम्पादनको व्यवस्था नियमावलीमा राखिँदै आएको थियो । सरुवा र बढुवाका लागि कर्मचारी युनियन, नेता र विभिन्न शक्तिकेन्द्रले चलखेल गर्ने भएकाले अनुमानयोग्य बनाउनका लागि ऐनमा नै व्यवस्था गर्न लागिएको समितिका एक सदस्यले बताएका छन् । कार्यसम्पादन मूल्यांकनको पारदर्शी विधि ऐनमा नै व्यवस्था गर्न लागिएको उनले जानकारी दिए ।"
अस्ट्रेलियामा नेपाली पढ्दै करिब २ हजार बालबालिका,"नेपाली भाषा पाठशाला अहिले सिड्नी, मेलबर्न एडिलेडजस्ता सहरमा मात्र होइन पर्थ, ब्रिसबनलगायतका राज्य तथा सहरमा फैलिसकेका छन् । यसले अस्ट्रेलियामा हुर्कंदै गरेका दोस्रो पुस्ताका बालबालिकालाई नेपाली भाषा, कला संस्कृति र परम्परासँग नजिक बनाइरहेको छ । अन्य समुदायका बालबालिकासँग पनि उनीहरू नेपालका बारेमा खुलेर बोल्न सक्ने भएका छन् ।"
चितवन निकुञ्ज आसपास वन्यजन्तुको आक्रमणमा ११ वर्षमा १२७ को मृत्यु,"तर पछिल्ला वर्ष मध्यवर्तीमा जाने बजेट पनि कटौती हुँदै गएका कारण प्रभावकारी तरिकाले काम हुन नसकेको मध्यवर्तीका अध्यक्ष ढुंगानाले बताए । पछिल्ला वर्ष बजेट सीमित हुँदै गएका कारण वन्यजन्तु व्यवस्थापनका विषयमा स्थानीय सरकार, प्रदेश सरकारले पनि ध्यान दिन आवश्यक रहेको निकुञ्ज प्रमुख गणेश पन्तले धारणा राखे ।"
"पूर्वराजाप्रति प्रमुख दल सशंकित: संवैधानिक दायराभित्र रहन ओली, देउवा र दाहालको चेतावनी","माओवादीका उपाध्यक्ष एवं प्रवक्ता अग्नि सापकोटाका अनुसार संसद्को कामकारबाहीलाई प्रभावकारी बनाउन, संघीय लोकतान्त्रिक गणतान्त्रिक प्रणालीविरुद्ध भइरहेका गतिविधिको प्रतिवाद गर्न एकमहिने अभियान स्थगित गरिएको हो । गणतन्त्रविरुद्ध गतिविधि गरेर अराजकता मच्चाउन खोजेको देखियो । यसको प्रतिवाद गर्नु अहिलेको आवश्यकता हो, उनले भने, संसद्का काम प्रभावकारी बनाउन अभियान स्थगित गरिएको हो । माओवादीले मधेशमा अभियान चलाइरहेकै बेला शनिबार वीरगन्जमा राजावादीले प्रदर्शन गरेका थिए ।"
त्रिविमा तोडफोड गर्नेलाई कारबाही गर्न सरकारलाई आग्रह,नेविसंघका विद्यार्थी तोडफोडमा संलग्न भएको भेटिएपछि नेविसंघ त्रिवि इकाइ समितिले विज्ञप्ति निकालेर तोडफोडमा संगठनको आधिकारिक संलग्नता नरहेको जनाएको छ । इकाइ सभापति विष्णु बडैलाले जारी गरेको विज्ञप्तिमा यससम्बन्धमा संगठनबाट आधिकारिक निर्णय वा निर्देशन नभएको उल्लेख छ । संगठनलाई आरोप लागेपछि नेविसंघ केन्द्रीय समितिले पनि विज्ञप्ति जारी गरेर निष्पक्ष छानबिनको माग राखेको छ । प्रवक्ता सुरज सेजुवालले विज्ञप्ति जारी गरेर स्ववियु चुनाव सुनिश्चित हुनुपर्नेसमेत जनाएका छन् ।
"विद्यार्थी आन्दोलनको गौरवपूर्ण इतिहास, धमिलो वर्तमान","यसका लागि सरकार र राजनीतिक दलहरू गम्भीर हुनुपर्छ । जस्तो शुक्रबार तोडफोड गर्ने विद्यार्थी संगठन कांग्रेसनिकट हो । सोही पार्टीका गृहमन्त्री पनि भएको अवस्थामा उनीहरूलाई जोगाउने होइन, कारबाही गरेर उदाहरण प्रस्तुत गर्न सक्नुपर्छ । विश्वविद्यालयमा सिर्जित अराजकतालाई विपक्षी पार्टी र सांसदहरूले पनि मूल मुद्दा बनाउनुपर्छ । त्यसले पनि सुधारका लागि दबाब सिर्जना गर्न सक्छ । आमविद्यार्थीदेखि सरोकारवाला अन्य सबै पक्षले पनि यसलाई बहसको विषय बनाइराख्नुपर्छ ।"
कांग्रेसको चरित्रमा धमिरा,सभापति देउवाका हकमा चुनावमा जानुअघि पार्टीको महाधिवेशन गराउनु सही निर्णय हुनेछ । चुनावमा जानुभन्दा पहिले पार्टीमा एकता र जागरण ल्याउनु सभापतिका रूपमा उहाँको कर्तव्य र जिम्मेवारी दुवै हो । सैद्धान्तिक आधार गुमाएका राजनीतिक दलहरू बिस्तारै लोप हुने स्थितिमा पुग्दछन् । नीतिले यही कुरा भन्छ ।
दोषीमाथि कारबाही होस्,"विगतमा पनि यस्ता क्रियाकलाप गर्ने शक्तिमाथि कारबाही नभएकाले उद्दण्ड शक्ति हौसिएको पनि हो । त्यसैले समयमै कारबाही र नसिहत दिन पछि नपरौं । स्ववियु चुनावले गर्दा परीक्षामा अलिक पढ्ने समय नपुग्दा टाइम सारिदेऊ भन्दा नेविसंघले अपराध गरेझैं कुरै नसुनिदिने त्रिवि प्रशासनको पनि यसमा दोषभागी छ कि ? यतातिर पनि ध्यानदृष्टि पुर्याऔं । मनोजकुमार कर्ण,महोत्तरी"
ओली संविधान संशोधनको बाटोबाट पछि हटेकै हुन् ?,"वास्तवमा मुलुकका दुई ठूला पार्टी कांग्रेस र एमालेले जनतासामु आत्मआलोचना गर्दै सबै पार्टीलाई मिलाएर संविधानको ९ वर्षको प्रयोगमा देखिएका कमीकमजोरी हटाउन गहन छलफल थाल्नुपर्छ । यसो गर्दा मात्रै मुलुक र जनताको हितमा हुनेछ । गोपाल देवकोटा, गोकर्णेश्वर८, काठमाडौं"
