शीर्षक,विवरण
प्रदेशको कुल बजेट दुई खर्ब ८७ अर्ब,"काठमाडौँ, असार २ गते । प्रतिपक्षीको विरोध र आन्तरिक किचलोबिच प्रदेश सरकारहरूले आइतबार आगामी आर्थिक वर्ष २०८२/८३ को आय तथा राजस्वको अनुमान अर्थात् बजेट सार्वजनिक गरेका छन् । अन्तरसरकारी वित्त व्यवस्थापन ऐन, २०७४ अनुसार प्रत्येक वर्ष असारको १ गतेभित्र प्रदेश सरकारले बजेट सार्वजनिक गर्नुपर्ने प्रावधान अनुसार प्रदेश सरकारहरूले आआफ्नो प्रदेश सभामा नयाँ बजेट प्रस्तुत गरेका हुन् ।
प्रतिपक्षीको विरोधका कारण कर्णाली प्रदेश सभामा निकै ढिला मात्र बजेट प्रस्तुत गर्ने वातावरण बन्यो । आइतबार राति ११ बजेर ५३ मिनेटमा कर्णालीका आर्थिक मामिला तथा योजनामन्त्री राजिवविक्रम शाहले बजेट वक्तव्य वाचन गर्न सुरु गर्नुभयो । आन्तरिक प्रशासनिक झमेलाका कारण बागमतीको बजेट पनि आइतबार राति मात्र प्रस्तुत भयो । अन्य प्रदेशमा भने सामान्य रूपमै बजेट प्रस्तुत भयो ।
सङ्घीय अनुदान र बाँडफाँटसमेतको रकम घटेपछि चालु वर्ष बजेटको आकार घटाएका प्रदेशहरूले सीमित स्रोतकैबिच आगामी बजेटको समग्र आकार करिब नौ अर्ब रुपियाँले  बढाएका छन् ।
सबै प्रदेशको बजेटको आकार दुई खर्ब ८७ अर्ब रुपियाँ पुगेको छ । चालु आवमा प्रदेशहरूले दुई खर्ब ७८ अर्ब रुपियाँको बजेट प्रस्तुत गरेका थिए । यद्यपि लुम्बिनी र गण्डकी सरकारले भने बजेटको आकार घटाएर ल्याएका छन् । चालु आवमा पनि यी दुई प्रदेशले गत आवको तुलनामा बजेट घटाएर ल्याएका थिए ।

आइतबार सार्वजनिक भएको बजेटमध्ये बागमती प्रदेशको बजेट सबैभन्दा ठुलो बन्न पुगेको छ । बागमतीले चालु आवको तुलनामा तीन अर्ब रुपियाँ बढाएर ६७ अर्ब ४७ करोड रुपियाँको बजेट ल्याएको छ । त्यसपछि मधेश प्रदेशले ४६ अर्ब ५८ करोड रुपियाँको बजेट प्रस्तुत गरेको छ । चालु आवका लागि मधेश प्रदेशले ४३ अर्ब ८९ करोड रुपियाँ बजेट विनियोजन गरेको थियो ।
बजेट आकारको हिसाबले लुम्बिनी प्रदेश तेस्रो स्थानमा छ । चालु आवको तुलनामा सामान्य मात्र बजेट घटाएको लुम्बिनीले ३८ अर्ब ९२ करोड रुपियाँ खर्चको अनुमान गरेको छ । त्यसपछि कोशीले ६० करोड रुपियाँ बढाएर ३५ अर्ब ८७ करोड रुपियाँको बजेट प्रस्ताव गरेको छ । सुदूरपश्चिम प्रदेशले पनि करिब दुई अर्ब रुपियाँ बढाएर ३३ अर्ब ४७ करोड रुपियाँको बजेट प्रस्तुत गरेको छ । यस पटक पनि बजेटको आकार घटाएको गण्डकीले सबैभन्दा कम अर्थात् ३१ अर्ब ५७ करोड रुपियाँको बजेट प्रस्तुत गरेको छ ।
छरपस्ट प्राथमिकता, अधुरालाई स्थान
प्रदेशहरूको बजेट प्राथमिकताका हिसाबले मिश्रित देखिन्छ । निश्चित प्राथमिकताभन्दा पनि सबै किसिमका विषय समेटेर प्रदेशहरूले बजेट तयार गरेका छन् । बजेटमार्फत नवीनतम र प्रतिफलमुखी कार्यक्रम प्रस्तुत गर्न प्रदेश सरकारहरू चुकेका छन् । योजना बैङ्कमा स्वार्थ अनुकूल योजना प्रवेश गराइएको विषयले यस पटक पनि चर्चा पाएको छ । नयाँ कार्यक्रम धेरै नराखे पनि अधुरा आयोजना पूरा गर्नेतर्फ भने प्रदेश सरकारको जोड देखिन्छ । प्रदेशको बजेटमा परेका धेरै कार्यक्रम अलपत्र परेको आलोचना भइरहेको अवस्थामा यसले आयोजना सम्पन्न हुने आशा जगाएको छ ।
कोशी प्रदेशका आर्थिक मामिला तथा योजनामन्त्री रामबहादुर मगरले प्रस्तुत गर्नुभएको बजेटमा प्रदेशको उच्च आर्थिक वृद्धि कायम गरी शिक्षा, स्वास्थ्य, पूर्वाधार विकास तथा कृषि उत्पादन वृद्धि गर्दै बसाइँसराइ न्यूनीकरण गर्ने उद्देश्य राखिएको छ । मधेश प्रदेश सरकारका अर्थमन्त्री सुनीलकुमार यादवले प्रस्तुत गर्नुभएको बजेटमा कृषि र पर्यटनलाई प्राथमिकतामा राखिएको छ ।
बागमती प्रदेशका आर्थिक मामिला तथा योजनामन्त्री कुन्दराज काफ्लेले भौतिक पूर्वाधारलाई करिब २५ अर्ब रुपियाँ विनियोजन गर्दै निर्माण क्षेत्रलाई प्राथमिकतामा राख्नुभएको छ ।
गन्डकी प्रदेशका आर्थिक मामिलामन्त्री डा. टकराज गुरुङले प्रस्तुत गर्नुभएको बजेटले प्रदेशमै सवारी चालक अनुमतिपत्र छपाइ गर्ने, राइड सेयरिङलाई अनुगमन गर्ने जस्ता कार्यक्रम राखेको छ । अधुरा आयोजना पूरा गर्न बजेट लक्षित गरिएको गुरुङले जानकारी दिनुभयो ।
समृद्ध लुम्बिनी : खुसी नागरिकको दीर्घकालीन आकाङ्क्षा हासिल गर्ने उद्देश्यसहित लुम्बिनी प्रदेश सरकारका आर्थिक मामिला तथा योजना मन्त्री धनेन्द्र कार्कीले आगामी आवको बजेट प्रस्तुत गर्नुभएको छ । जस अन्तर्गत कृषिमा उत्पादन र उत्पादकत्व वृद्धि, गुणस्तरीय शिक्षा र स्वाथ्य सेवामा पहुँच, उद्यमशीलता विकास, दिगो पूर्वाधार विकास जस्ता प्राथमिकता लुम्बिनीको बजेटले तय गरेको छ ।
कर्णाली प्रदेशका आर्थिक मामिला तथा योजनामन्त्री राजीवविक्रम शाहले बजेट कृषिको व्यावसायीकरण, उत्पादकत्व अभिवृद्धि, रोजगारी सिर्जना, उद्यमशीलता विकास, जडीबुटीको उपयोग र आर्थिक समृद्धि केन्द्रित रहेको उल्लेख गर्नुभयो । सुदूरपश्चिम प्रदेशका आर्थिक मामिलामन्त्री बहादुरसिंह थापाले प्रस्तुत गर्नुभएको बजेटले भौतिक पूर्वाधार निर्माणलाई प्राथमिकतामा राखेर कुल बजेटको एक तिहाइ बजेट विनियोजन गर्दै पुराना कार्यक्रमलाई सम्पन्न गर्ने प्रतिबद्धता व्यक्त गर्नुभएको छ ।
वित्तीय हस्तान्तरणकै भर
प्रदेश सरकारहरूले आगामी आर्थिक वर्षको खर्च जुटाउने स्रोतका रूपमा वित्तीय हस्तान्तरणलाई बलियो आधार बनाएका छन् । सङ्घले विभिन्न चार वटा शीर्षकमा उपलब्ध गराउने वित्तीय अनुदानलाई नै प्रदेश सरकारहरूले खर्च बेहोर्ने प्रमुख स्रोतका रूपमा प्रस्तुत गरेका छन् ।
यसबाहेक राजस्व बाँडफाँटबाट प्राप्त हुने रकम खर्च जुटाउने अर्को महत्वपूर्ण स्रोत बनाइएको छ । आफ्नो अधिकार क्षेत्रभित्र रहेर आन्तरिक राजस्व बढाउनेतर्फ प्रदेशहरू यस पटक पनि धेरै गम्भीर देखिएनन् । बरु सङ्घले जस्तै अपुग स्रोत जुटाउन आन्तरिक ऋण उठाउने उठाउने योजना प्रदेशहरूको देखिन्छ । यसबाहेक खर्च गर्न नसकेर मौज्दातका रूपमा रहेको रकमलाई पनि प्रदेशहरूले खर्च पूर्तिको स्रोतको रूपमा देखाएका छन् ।

"
प्रदेशको कुल बजेट दुई खर्ब ८७ अर्ब,"काठमाडौँ, असार २ गते । प्रतिपक्षीको विरोध र आन्तरिक किचलोबिच प्रदेश सरकारहरूले आइतबार आगामी आर्थिक वर्ष २०८२/८३ को आय तथा राजस्वको अनुमान अर्थात् बजेट सार्वजनिक गरेका छन् । अन्तरसरकारी वित्त व्यवस्थापन ऐन, २०७४ अनुसार प्रत्येक वर्ष असारको १ गतेभित्र प्रदेश सरकारले बजेट सार्वजनिक गर्नुपर्ने प्रावधान अनुसार प्रदेश सरकारहरूले आआफ्नो प्रदेश सभामा नयाँ बजेट प्रस्तुत गरेका हुन् ।
प्रतिपक्षीको विरोधका कारण कर्णाली प्रदेश सभामा निकै ढिला मात्र बजेट प्रस्तुत गर्ने वातावरण बन्यो । आइतबार राति ११ बजेर ५३ मिनेटमा कर्णालीका आर्थिक मामिला तथा योजनामन्त्री राजिवविक्रम शाहले बजेट वक्तव्य वाचन गर्न सुरु गर्नुभयो । आन्तरिक प्रशासनिक झमेलाका कारण बागमतीको बजेट पनि आइतबार राति मात्र प्रस्तुत भयो । अन्य प्रदेशमा भने सामान्य रूपमै बजेट प्रस्तुत भयो ।
सङ्घीय अनुदान र बाँडफाँटसमेतको रकम घटेपछि चालु वर्ष बजेटको आकार घटाएका प्रदेशहरूले सीमित स्रोतकैबिच आगामी बजेटको समग्र आकार करिब नौ अर्ब रुपियाँले  बढाएका छन् ।
सबै प्रदेशको बजेटको आकार दुई खर्ब ८७ अर्ब रुपियाँ पुगेको छ । चालु आवमा प्रदेशहरूले दुई खर्ब ७८ अर्ब रुपियाँको बजेट प्रस्तुत गरेका थिए । यद्यपि लुम्बिनी र गण्डकी सरकारले भने बजेटको आकार घटाएर ल्याएका छन् । चालु आवमा पनि यी दुई प्रदेशले गत आवको तुलनामा बजेट घटाएर ल्याएका थिए ।

आइतबार सार्वजनिक भएको बजेटमध्ये बागमती प्रदेशको बजेट सबैभन्दा ठुलो बन्न पुगेको छ । बागमतीले चालु आवको तुलनामा तीन अर्ब रुपियाँ बढाएर ६७ अर्ब ४७ करोड रुपियाँको बजेट ल्याएको छ । त्यसपछि मधेश प्रदेशले ४६ अर्ब ५८ करोड रुपियाँको बजेट प्रस्तुत गरेको छ । चालु आवका लागि मधेश प्रदेशले ४३ अर्ब ८९ करोड रुपियाँ बजेट विनियोजन गरेको थियो ।
बजेट आकारको हिसाबले लुम्बिनी प्रदेश तेस्रो स्थानमा छ । चालु आवको तुलनामा सामान्य मात्र बजेट घटाएको लुम्बिनीले ३८ अर्ब ९२ करोड रुपियाँ खर्चको अनुमान गरेको छ । त्यसपछि कोशीले ६० करोड रुपियाँ बढाएर ३५ अर्ब ८७ करोड रुपियाँको बजेट प्रस्ताव गरेको छ । सुदूरपश्चिम प्रदेशले पनि करिब दुई अर्ब रुपियाँ बढाएर ३३ अर्ब ४७ करोड रुपियाँको बजेट प्रस्तुत गरेको छ । यस पटक पनि बजेटको आकार घटाएको गण्डकीले सबैभन्दा कम अर्थात् ३१ अर्ब ५७ करोड रुपियाँको बजेट प्रस्तुत गरेको छ ।
छरपस्ट प्राथमिकता, अधुरालाई स्थान
प्रदेशहरूको बजेट प्राथमिकताका हिसाबले मिश्रित देखिन्छ । निश्चित प्राथमिकताभन्दा पनि सबै किसिमका विषय समेटेर प्रदेशहरूले बजेट तयार गरेका छन् । बजेटमार्फत नवीनतम र प्रतिफलमुखी कार्यक्रम प्रस्तुत गर्न प्रदेश सरकारहरू चुकेका छन् । योजना बैङ्कमा स्वार्थ अनुकूल योजना प्रवेश गराइएको विषयले यस पटक पनि चर्चा पाएको छ । नयाँ कार्यक्रम धेरै नराखे पनि अधुरा आयोजना पूरा गर्नेतर्फ भने प्रदेश सरकारको जोड देखिन्छ । प्रदेशको बजेटमा परेका धेरै कार्यक्रम अलपत्र परेको आलोचना भइरहेको अवस्थामा यसले आयोजना सम्पन्न हुने आशा जगाएको छ ।
कोशी प्रदेशका आर्थिक मामिला तथा योजनामन्त्री रामबहादुर मगरले प्रस्तुत गर्नुभएको बजेटमा प्रदेशको उच्च आर्थिक वृद्धि कायम गरी शिक्षा, स्वास्थ्य, पूर्वाधार विकास तथा कृषि उत्पादन वृद्धि गर्दै बसाइँसराइ न्यूनीकरण गर्ने उद्देश्य राखिएको छ । मधेश प्रदेश सरकारका अर्थमन्त्री सुनीलकुमार यादवले प्रस्तुत गर्नुभएको बजेटमा कृषि र पर्यटनलाई प्राथमिकतामा राखिएको छ ।
बागमती प्रदेशका आर्थिक मामिला तथा योजनामन्त्री कुन्दराज काफ्लेले भौतिक पूर्वाधारलाई करिब २५ अर्ब रुपियाँ विनियोजन गर्दै निर्माण क्षेत्रलाई प्राथमिकतामा राख्नुभएको छ ।
गन्डकी प्रदेशका आर्थिक मामिलामन्त्री डा. टकराज गुरुङले प्रस्तुत गर्नुभएको बजेटले प्रदेशमै सवारी चालक अनुमतिपत्र छपाइ गर्ने, राइड सेयरिङलाई अनुगमन गर्ने जस्ता कार्यक्रम राखेको छ । अधुरा आयोजना पूरा गर्न बजेट लक्षित गरिएको गुरुङले जानकारी दिनुभयो ।
समृद्ध लुम्बिनी : खुसी नागरिकको दीर्घकालीन आकाङ्क्षा हासिल गर्ने उद्देश्यसहित लुम्बिनी प्रदेश सरकारका आर्थिक मामिला तथा योजना मन्त्री धनेन्द्र कार्कीले आगामी आवको बजेट प्रस्तुत गर्नुभएको छ । जस अन्तर्गत कृषिमा उत्पादन र उत्पादकत्व वृद्धि, गुणस्तरीय शिक्षा र स्वाथ्य सेवामा पहुँच, उद्यमशीलता विकास, दिगो पूर्वाधार विकास जस्ता प्राथमिकता लुम्बिनीको बजेटले तय गरेको छ ।
कर्णाली प्रदेशका आर्थिक मामिला तथा योजनामन्त्री राजीवविक्रम शाहले बजेट कृषिको व्यावसायीकरण, उत्पादकत्व अभिवृद्धि, रोजगारी सिर्जना, उद्यमशीलता विकास, जडीबुटीको उपयोग र आर्थिक समृद्धि केन्द्रित रहेको उल्लेख गर्नुभयो । सुदूरपश्चिम प्रदेशका आर्थिक मामिलामन्त्री बहादुरसिंह थापाले प्रस्तुत गर्नुभएको बजेटले भौतिक पूर्वाधार निर्माणलाई प्राथमिकतामा राखेर कुल बजेटको एक तिहाइ बजेट विनियोजन गर्दै पुराना कार्यक्रमलाई सम्पन्न गर्ने प्रतिबद्धता व्यक्त गर्नुभएको छ ।
वित्तीय हस्तान्तरणकै भर
प्रदेश सरकारहरूले आगामी आर्थिक वर्षको खर्च जुटाउने स्रोतका रूपमा वित्तीय हस्तान्तरणलाई बलियो आधार बनाएका छन् । सङ्घले विभिन्न चार वटा शीर्षकमा उपलब्ध गराउने वित्तीय अनुदानलाई नै प्रदेश सरकारहरूले खर्च बेहोर्ने प्रमुख स्रोतका रूपमा प्रस्तुत गरेका छन् ।
यसबाहेक राजस्व बाँडफाँटबाट प्राप्त हुने रकम खर्च जुटाउने अर्को महत्वपूर्ण स्रोत बनाइएको छ । आफ्नो अधिकार क्षेत्रभित्र रहेर आन्तरिक राजस्व बढाउनेतर्फ प्रदेशहरू यस पटक पनि धेरै गम्भीर देखिएनन् । बरु सङ्घले जस्तै अपुग स्रोत जुटाउन आन्तरिक ऋण उठाउने उठाउने योजना प्रदेशहरूको देखिन्छ । यसबाहेक खर्च गर्न नसकेर मौज्दातका रूपमा रहेको रकमलाई पनि प्रदेशहरूले खर्च पूर्तिको स्रोतको रूपमा देखाएका छन् ।

"
प्रदेशको कुल बजेट दुई खर्ब ८७ अर्ब,"काठमाडौँ, असार २ गते । प्रतिपक्षीको विरोध र आन्तरिक किचलोबिच प्रदेश सरकारहरूले आइतबार आगामी आर्थिक वर्ष २०८२/८३ को आय तथा राजस्वको अनुमान अर्थात् बजेट सार्वजनिक गरेका छन् । अन्तरसरकारी वित्त व्यवस्थापन ऐन, २०७४ अनुसार प्रत्येक वर्ष असारको १ गतेभित्र प्रदेश सरकारले बजेट सार्वजनिक गर्नुपर्ने प्रावधान अनुसार प्रदेश सरकारहरूले आआफ्नो प्रदेश सभामा नयाँ बजेट प्रस्तुत गरेका हुन् ।
प्रतिपक्षीको विरोधका कारण कर्णाली प्रदेश सभामा निकै ढिला मात्र बजेट प्रस्तुत गर्ने वातावरण बन्यो । आइतबार राति ११ बजेर ५३ मिनेटमा कर्णालीका आर्थिक मामिला तथा योजनामन्त्री राजिवविक्रम शाहले बजेट वक्तव्य वाचन गर्न सुरु गर्नुभयो । आन्तरिक प्रशासनिक झमेलाका कारण बागमतीको बजेट पनि आइतबार राति मात्र प्रस्तुत भयो । अन्य प्रदेशमा भने सामान्य रूपमै बजेट प्रस्तुत भयो ।
सङ्घीय अनुदान र बाँडफाँटसमेतको रकम घटेपछि चालु वर्ष बजेटको आकार घटाएका प्रदेशहरूले सीमित स्रोतकैबिच आगामी बजेटको समग्र आकार करिब नौ अर्ब रुपियाँले  बढाएका छन् ।
सबै प्रदेशको बजेटको आकार दुई खर्ब ८७ अर्ब रुपियाँ पुगेको छ । चालु आवमा प्रदेशहरूले दुई खर्ब ७८ अर्ब रुपियाँको बजेट प्रस्तुत गरेका थिए । यद्यपि लुम्बिनी र गण्डकी सरकारले भने बजेटको आकार घटाएर ल्याएका छन् । चालु आवमा पनि यी दुई प्रदेशले गत आवको तुलनामा बजेट घटाएर ल्याएका थिए ।

आइतबार सार्वजनिक भएको बजेटमध्ये बागमती प्रदेशको बजेट सबैभन्दा ठुलो बन्न पुगेको छ । बागमतीले चालु आवको तुलनामा तीन अर्ब रुपियाँ बढाएर ६७ अर्ब ४७ करोड रुपियाँको बजेट ल्याएको छ । त्यसपछि मधेश प्रदेशले ४६ अर्ब ५८ करोड रुपियाँको बजेट प्रस्तुत गरेको छ । चालु आवका लागि मधेश प्रदेशले ४३ अर्ब ८९ करोड रुपियाँ बजेट विनियोजन गरेको थियो ।
बजेट आकारको हिसाबले लुम्बिनी प्रदेश तेस्रो स्थानमा छ । चालु आवको तुलनामा सामान्य मात्र बजेट घटाएको लुम्बिनीले ३८ अर्ब ९२ करोड रुपियाँ खर्चको अनुमान गरेको छ । त्यसपछि कोशीले ६० करोड रुपियाँ बढाएर ३५ अर्ब ८७ करोड रुपियाँको बजेट प्रस्ताव गरेको छ । सुदूरपश्चिम प्रदेशले पनि करिब दुई अर्ब रुपियाँ बढाएर ३३ अर्ब ४७ करोड रुपियाँको बजेट प्रस्तुत गरेको छ । यस पटक पनि बजेटको आकार घटाएको गण्डकीले सबैभन्दा कम अर्थात् ३१ अर्ब ५७ करोड रुपियाँको बजेट प्रस्तुत गरेको छ ।
छरपस्ट प्राथमिकता, अधुरालाई स्थान
प्रदेशहरूको बजेट प्राथमिकताका हिसाबले मिश्रित देखिन्छ । निश्चित प्राथमिकताभन्दा पनि सबै किसिमका विषय समेटेर प्रदेशहरूले बजेट तयार गरेका छन् । बजेटमार्फत नवीनतम र प्रतिफलमुखी कार्यक्रम प्रस्तुत गर्न प्रदेश सरकारहरू चुकेका छन् । योजना बैङ्कमा स्वार्थ अनुकूल योजना प्रवेश गराइएको विषयले यस पटक पनि चर्चा पाएको छ । नयाँ कार्यक्रम धेरै नराखे पनि अधुरा आयोजना पूरा गर्नेतर्फ भने प्रदेश सरकारको जोड देखिन्छ । प्रदेशको बजेटमा परेका धेरै कार्यक्रम अलपत्र परेको आलोचना भइरहेको अवस्थामा यसले आयोजना सम्पन्न हुने आशा जगाएको छ ।
कोशी प्रदेशका आर्थिक मामिला तथा योजनामन्त्री रामबहादुर मगरले प्रस्तुत गर्नुभएको बजेटमा प्रदेशको उच्च आर्थिक वृद्धि कायम गरी शिक्षा, स्वास्थ्य, पूर्वाधार विकास तथा कृषि उत्पादन वृद्धि गर्दै बसाइँसराइ न्यूनीकरण गर्ने उद्देश्य राखिएको छ । मधेश प्रदेश सरकारका अर्थमन्त्री सुनीलकुमार यादवले प्रस्तुत गर्नुभएको बजेटमा कृषि र पर्यटनलाई प्राथमिकतामा राखिएको छ ।
बागमती प्रदेशका आर्थिक मामिला तथा योजनामन्त्री कुन्दराज काफ्लेले भौतिक पूर्वाधारलाई करिब २५ अर्ब रुपियाँ विनियोजन गर्दै निर्माण क्षेत्रलाई प्राथमिकतामा राख्नुभएको छ ।
गन्डकी प्रदेशका आर्थिक मामिलामन्त्री डा. टकराज गुरुङले प्रस्तुत गर्नुभएको बजेटले प्रदेशमै सवारी चालक अनुमतिपत्र छपाइ गर्ने, राइड सेयरिङलाई अनुगमन गर्ने जस्ता कार्यक्रम राखेको छ । अधुरा आयोजना पूरा गर्न बजेट लक्षित गरिएको गुरुङले जानकारी दिनुभयो ।
समृद्ध लुम्बिनी : खुसी नागरिकको दीर्घकालीन आकाङ्क्षा हासिल गर्ने उद्देश्यसहित लुम्बिनी प्रदेश सरकारका आर्थिक मामिला तथा योजना मन्त्री धनेन्द्र कार्कीले आगामी आवको बजेट प्रस्तुत गर्नुभएको छ । जस अन्तर्गत कृषिमा उत्पादन र उत्पादकत्व वृद्धि, गुणस्तरीय शिक्षा र स्वाथ्य सेवामा पहुँच, उद्यमशीलता विकास, दिगो पूर्वाधार विकास जस्ता प्राथमिकता लुम्बिनीको बजेटले तय गरेको छ ।
कर्णाली प्रदेशका आर्थिक मामिला तथा योजनामन्त्री राजीवविक्रम शाहले बजेट कृषिको व्यावसायीकरण, उत्पादकत्व अभिवृद्धि, रोजगारी सिर्जना, उद्यमशीलता विकास, जडीबुटीको उपयोग र आर्थिक समृद्धि केन्द्रित रहेको उल्लेख गर्नुभयो । सुदूरपश्चिम प्रदेशका आर्थिक मामिलामन्त्री बहादुरसिंह थापाले प्रस्तुत गर्नुभएको बजेटले भौतिक पूर्वाधार निर्माणलाई प्राथमिकतामा राखेर कुल बजेटको एक तिहाइ बजेट विनियोजन गर्दै पुराना कार्यक्रमलाई सम्पन्न गर्ने प्रतिबद्धता व्यक्त गर्नुभएको छ ।
वित्तीय हस्तान्तरणकै भर
प्रदेश सरकारहरूले आगामी आर्थिक वर्षको खर्च जुटाउने स्रोतका रूपमा वित्तीय हस्तान्तरणलाई बलियो आधार बनाएका छन् । सङ्घले विभिन्न चार वटा शीर्षकमा उपलब्ध गराउने वित्तीय अनुदानलाई नै प्रदेश सरकारहरूले खर्च बेहोर्ने प्रमुख स्रोतका रूपमा प्रस्तुत गरेका छन् ।
यसबाहेक राजस्व बाँडफाँटबाट प्राप्त हुने रकम खर्च जुटाउने अर्को महत्वपूर्ण स्रोत बनाइएको छ । आफ्नो अधिकार क्षेत्रभित्र रहेर आन्तरिक राजस्व बढाउनेतर्फ प्रदेशहरू यस पटक पनि धेरै गम्भीर देखिएनन् । बरु सङ्घले जस्तै अपुग स्रोत जुटाउन आन्तरिक ऋण उठाउने उठाउने योजना प्रदेशहरूको देखिन्छ । यसबाहेक खर्च गर्न नसकेर मौज्दातका रूपमा रहेको रकमलाई पनि प्रदेशहरूले खर्च पूर्तिको स्रोतको रूपमा देखाएका छन् ।

"
नागढुङ्गा–सिस्नेखोला सुरुङमार्गमा प्राविधिक परीक्षण जारी,"काठमाडौँ, असार २ गते । बहुप्रतीक्षित नागढुङ्गा–सिस्नेखोला सुरुङमार्ग आयोजना सञ्चालन गर्नुअघि प्राविधिक परीक्षण (फेसिलिटेट टेस्टिङ) सुरु गरिएको छ । सुरुङमार्ग निर्माण अन्तिम चरणमा रहेको आयोजनाले जनाएको छ । उक्त सुरुङमार्ग आयोजनाको परामर्शदाता कम्पनी निप्पन कोइका इन्जिनियर रमेश कोइरालाले मुख्य सुरुङको काम सम्पन्न भएसँगै सञ्चालनअघि गर्नुपर्ने प्राविधिक परीक्षण सुरु गरिएको जानकारी दिनुभयो । उहाँले यस परीक्षण अन्तर्गत सुरुङभित्र जडान गरिएका प्रकाश प्रणाली, अक्सिजन, सञ्चार, अग्नि नियन्त्रण, सुरक्षा, दुर्घटनाको उद्धारसम्बन्धी प्रणाली, सिसिटिभी, टेलिफोनलगायतका उपकरणको सम्बन्धित विज्ञबाट परीक्षण गरिने बताउनुभयो ।
उहाँले भन्नुभयो, “जडान गरिएका प्रणाली र त्यसका उपकरणले पूर्ण रूपमा काम गरिरहेको छ/छैनलगायतको विषयमा परीक्षण गर्ने गरिन्छ । परीक्षणमा सफल नभएका प्रणाली र उपकरण पुनः जडान गर्ने गरिन्छ ।” उहाँले सुरुङभित्र नियमित रूपमा सवारीसाधन सञ्चालन गर्नुअघि केही दिन परीक्षणस्वरूप गाडीसमेत गुडाउनुपर्ने बताउनुभयो । भौतिक पूर्वाधार तथा यातायात मन्त्रालयका पूर्वसचिव अर्जुनजङ्ग थापाका अनुसार यस परीक्षण अन्तर्गत त्यहाँका लाइटिङ प्रणाली, सञ्चार प्रणाली, फायर फाइटिङ उपकरण, भ्यान्टिलेसनका लागि जडान गरिएका जेट फैन, एफएम प्रणालीलगायतको परीक्षण गर्ने गरिन्छ । त्यसै गरी त्यहाँ राखिएका एम्बुलेन्स, दमकल, सुरुङभित्र दुर्घटनामा परेको गाडी तान्ने मेसिनसमेत परीक्षण गरिने छ ।
विदेशी विज्ञबाट परीक्षण
पूर्वमहानिर्देशक थापाका अनुसार जापानका विषयगत विज्ञबाट यो परीक्षण भइरहेको छ । जापानी प्राविधिकसँग सडक विभागका ४० जना नेपाली प्राविधिकसमेत संलग्न छन् । परीक्षण सकिएपछि जापानी प्राविधिकले नेपाली
प्राविधिकलाई प्रशिक्षण दिने छन् । नेपाली प्राविधिकले सबै कुरा बुझेपछि हस्तान्तरण गरेर जापानी स्वदेश फर्कने छन् । मुख्य सुरुङमा मोटरसाइकल, पेट्रोलियम पदार्थ तथा विस्फोटक पदार्थ बोकेका र गह्रौँ तौल हुने सवारीसाधन प्रवेश नहुने आयोजनाले जनाएको छ । मुख्य सुरुङमा सवारीसाधन बिग्रेमा वा कुनै समस्या आएमा आपतकालीन उद्धारका लागि खटिनुपर्ने सवारीसाधनलाई मात्रै सहायक सुरुङमा
प्रवेश दिइने छ । सुरुङमार्ग निर्माणका लागि जापानी अन्तर्राष्ट्रिय सहयोग नियोग (जाइका) ले सन् २०१५ मा प्रारम्भिक अध्ययन गरेको थियो । यसको विस्तृत परियोजना प्रतिवेदन (डिपिआर) सन् २०१८ मा तयार पारिएको हो । यसै गरी सन् २०१६ मा जाइकासँग १६ अर्ब ६३ करोड रुपियाँको ऋण सम्झौता भएको थियो । ०.०१ प्रतिशत ब्याजदरमा ४० वर्षभित्र फिर्ता गर्ने गरी सो ऋण सम्झौता भएको हो । प्रधानमन्त्री केपी शर्मा ओलीले २०७६ कात्तिक ४ गते यस आयोजनाको शिलान्यास गर्नुभएको थियो ।

"
